[00:00.000 --> 00:07.680]  this is episode CLVI of the talk show. Oh, we're already up to CLVI.
[55:34.360 --> 55:50.360]  That's, I love that kind of stuff. They were so great at that stuff, but you know, so let me ask you a question. I mean, you remember the announcement of home kit and it was kind of alongside a lot of other, this kit, that kit, all this stuff has got to come out eventually, the whatever, the medical stuff and the,
[55:50.360 --> 55:57.360]  the what's called Apple health. But like, for example, like how many, how many things do you have running on home kit right now?
[55:57.360 --> 55:58.360]  Nothing.
[55:58.360 --> 55:59.360]  Zero for me too.
[55:59.360 --> 56:01.360]  I swear to God, I'm not, I'm not trying to be,
[56:01.360 --> 56:16.360]  no, I look through the list. I finally got an app off the store called home that gives you an easy way to like, if you've got this or that device and it's got this inscrutable list of all these, what appear to be like hundreds of, I don't have any of those devices.
[56:16.360 --> 56:23.360]  And I've got like, I've got two kinds of security cameras, three kinds of I've got, I've got hue lights.
[56:23.360 --> 56:33.360]  I mean, there's some stuff you can do, but like, you know, when they announced something like home kit, you're thinking like, Oh my gosh, I'm maybe three months away from being able to talk to my house.
[56:33.360 --> 56:44.360]  Like who, you know, and you're, and of course, you know, you get into the reality distortion field now I'm thinking, Oh my gosh, how soon will it be before there's an Apple device that replaces the airport and the time machine that like it's everything you'd want in an airport
[56:44.360 --> 56:54.360]  and the time machine. Plus it's a home hub, plus it's, you know what I mean? On and on and on. And now we're like twiddling our thumbs going like, okay, what's the next thing I can knock, talk to my phone and do like, what's going to happen with that stuff?
[56:54.360 --> 57:04.360]  Is that going anywhere? We don't have that same confidence that all of these pieces are going to fit together. Hell, when you, when you put on the ATV4, you flip it on, you can't even like use Siri for music.
[57:04.360 --> 57:18.360]  What a weird oversight. Like that was so strange. It's like, how do you have all these strands not being sewn together in the system that with all these parts of the ecosystem need really want to be interlocked and like, how is that not happening?
[57:18.360 --> 57:28.360]  Yeah, I don't know if I could see it too is I could see where on the one hand, maybe it's like, Hey, just wait. We just need another year or two.
[57:28.360 --> 57:44.360]  Or B, the pessimist take would be that apples, we control everything. Everything gets authorized through us. You submit your home kit stuff to us and we say whether it, you know, gets the stamp of approval.
[57:44.360 --> 58:08.360]  Like the equivalent of MFI. Yeah. The equivalent of MFI or the app store even, you know, that sort of mindset versus the Amazon's take, which is more or less, look, you know, we've made echo work with these things and we have some APIs and, and it's, you know, if it works, you just build an echo app and submit it to us and, you know, we'll throw it out in a newsletter on Friday.
[58:08.360 --> 58:20.360]  Right. You know, cause right now you could certainly, you know, you know, you can do stuff with the echo and I know that the people who are the bigger fans of it have stuff like that. I know Marco's got it hooked up to some light bulbs and stuff like that.
[58:20.360 --> 58:38.360]  I do. I use the echo for my office lights. I've got, so, I mean, this is one of those, like, this was not a terribly complex thing to set up. I have a, and so here's a real, real simple example. I have a motion sensor in my office that, you know, basically connects via wifi.
[58:38.360 --> 58:52.360]  And then I have two, this is Wemo, W E M O is the company. And then I have two Wemo plugs that are just simple zero or one. This light is either on or off. I don't use the switch. I only use the Wemo. Could not do this at home because my daughter does not want to have to use an iPhone to turn lights on and off.
[58:52.360 --> 58:58.360]  That's not going to happen. But in my case, I, when I walk into my office, the motion sensor turns the lights on.
[58:58.360 --> 59:17.360]  I can also say, yo, dingus to my echo. I can say, yo, dingus, turn my office lights off. And I've set up a thing where it knows office lights means these two Wemo lights further. I have an I F T T T set up such that when I'm away from my office or move out of the radius of my office or 30 minutes pass without movement, it turns the lights off.
[59:17.360 --> 59:28.360]  So that whole thing, all the setup, every bit of that to set up, what, 45 minutes, half hour. And now I don't think about it, but there's not that many more things like that that I have right now. I can't use.
[59:28.360 --> 59:32.360]  When you say, yo, dingus, turn my lights off. How long does it take for the lights to go off?
[59:32.360 --> 59:55.360]  Um, I would say less than two seconds. Can we test it? No, you don't have to test it. Does it feel as though as, as responsive as if you like had like an intern and part of, part of the intern's job was to be ready to turn the lights off at a moment's notice.
[59:55.360 --> 01:00:09.360]  Like not necessarily, not necessarily standing around with the, with their hand on the switch perm, you know, like, like, like trigger finger, not like that, but just like, Hey, you just hang out in the office and have a, you know, have a button nearby.
[01:00:09.360 --> 01:00:14.360]  And if you, you know, if I tell you to turn the lights off, turn the lights off. Like, is it about that responsive?
[01:00:14.360 --> 01:00:28.360]  First of all, it 100% understands me. I mean, it's very, honestly, 100%. That's silly. It, it, I could count on one hand the number of times it did not understand something I spoke clearly. The echo just gets that.
[01:00:28.360 --> 01:00:43.360]  I would say, imagine you're eight feet away from the garbage can. You got two paper towels to throw away. It's about that amount of time. Let me test it. Hang on. Just cut this out. Be ready to cut the marker of this. Alexa, turn my office lights on.
[01:00:43.360 --> 01:00:57.360]  On. They're on. Ready? Part two. Alexa, turn my office lights off. Off. So there you go. What is that? About second, two seconds?
[01:00:57.360 --> 01:01:08.360]  Uh, yeah, that sounds that, you know, I think that was actually, you know, not quite instantaneous, but I would say satisfyingly close.
[01:01:08.360 --> 01:01:35.360]  Well, it's, for me, it's well within the range of that's fine. Motion detection turns it on. See, to me, turning on, turning on is much more important than turning off. Like turning on, if I walk into the office, I know with confidence that when I walk into the office, I can either address the echo to turn it on, or I can just walk in like a gentleman. It'll see my motion and turn it on. So, I mean, that, that's, that's plenty fine for me. I don't need high performance light depowering.
[01:01:35.360 --> 01:01:51.360]  It's underneath the threshold of impatience. I will. Well, absolutely. And it's also a lot better than a bad day with the Apple TV remote, right? It's just we're not responding. And I don't know why.
[01:01:51.360 --> 01:02:11.360]  I didn't mean to change the subject. No, but if you've like, or if you're out there, you're in iMessage and you're dictating a text message and instead of words showing up, you get the spinner and it just spins and you're like, do I cancel? Is this going to take, do I just need to wait and my words are going to show up or should I cancel and try it again?
[01:02:11.360 --> 01:02:21.360]  And you, once you're, once you're even thinking about that decision, you've already crossed the impatient threshold because even if the words, your wifi is bad, you've posted something to Twitter.
[01:02:21.360 --> 01:02:32.360]  You think it's like 50% grayed out, meaning it's still posting. And you're like, what world am I in right now? I mean, is it posting? Is it not posting? We start to feel a little bit crazy, that kind of feeling.
[01:02:32.360 --> 01:02:54.360]  Yeah, I think so. I, you know, and exactly what the demo you just did live on the show was, is exactly to me at the heart of the praise that Alexa or I guess the Echo, whatever you want to, I don't know what to give credit to, but that the Amazon's dingus is getting.
[01:02:54.360 --> 01:03:09.360]  I can, I can just yell at it. I can say like, how am I doing with Fitbit? I could say play the latest episode of fresh air. Um, there's, there's a, I mean, you know, the one beef some people will have just in passing is, yeah, I mean, there's more to learn because there's more to do.
[01:03:09.360 --> 01:03:17.360]  It's not as simple as just saying to Siri, Hey, do this obvious thing you've been doing for five years. Like with the Echo, there's, it does enough stuff that you have to do a little bit of command line with it, right?
[01:03:17.360 --> 01:03:26.360]  You gotta do a little bit of bash to like address the right thing, but it's a, it's shockingly good at hearing that even kind of, kind of far away in the house.
[01:03:26.360 --> 01:03:35.360]  Like I'm forever yelling at my phone across the room to set a timer and have, I don't mean to bitch. I'm just saying that like there's, there's benefits to all of these things.
[01:03:35.360 --> 01:03:42.360]  And you know, the Echo is the one that got traction, surprised everybody. Everybody's like, Oh, this crazy thing, this crazy future too. There's a lady in the tube. Who's going to buy this?
[01:03:42.360 --> 01:03:55.360]  Well, people did and they love it. And I own two now. And, um, I don't consider it essential, but I consider it in the aggregate more useful than my Apple watch. And I think it has a brighter future.
[01:03:55.360 --> 01:04:05.360]  All right, let's keep going on this, but first I want to thank our second sponsor of the day and it's our, uh, our good friends at meh.com again.
[01:04:05.360 --> 01:04:15.360]  Again, again, you get a two for, uh, you know, they're the daily deal set. You go there, you get a daily deal, the daily deal today. And again, this is too late for you.
[01:04:15.360 --> 01:04:29.360]  It's already, not only is the show going to be out, um, you know, the day later, two days later. Um, but just as an example of how good this is, this, this, this, uh, uh, food saver vacuum sealing system, it is refurbished, but that's, you know, it's still, that's like new.
[01:04:29.360 --> 01:04:40.360]  You get it for 22 bucks. They even tell you what it costs at Amazon. It costs 102 bucks at Amazon. So that's, you know, five X higher almost, you know, crazy.
[01:04:40.360 --> 01:04:46.360]  It's some of the deals they have. It really does make me wonder whether they're getting this stuff off the back of the truck, like on Goodfellas.
[01:04:46.360 --> 01:05:02.360]  And it's weird stuff is so delightfully weird. They, um, they're such a strange company and they'd sponsored back to work not too long ago. And their special the day, the day we did it was two folding knives, like two swish blady, like pocket knives.
[01:05:02.360 --> 01:05:06.360]  Like just in case you get a knife fighting you with two knives.
[01:05:06.360 --> 01:05:13.360]  Right. Or you get it if they, if you're going into a, if you're going into a bar and they, you know, the bouncer takes your one knife, you've still got a backup knife.
[01:05:13.360 --> 01:05:17.360]  You didn't check the sock sucker.
[01:05:17.360 --> 01:05:35.360]  Uh, but they've got other stuff too. They, I told you that just their writeups of the daily deals are worth reading. They've got these videos, but they've also got this, these community forums and it's, you know, you type in it's forming stuff, but on these forums, they're doing interesting stuff like commissioning articles from real writers.
[01:05:35.360 --> 01:05:50.360]  So they, they commissioned a friend of the show, uh, sometimes guest on the show, Glenn Fleishman to do it, uh, a two part history of all caps being interpreted as shouting in written language.
[01:05:50.360 --> 01:06:03.360]  Uh, they've got all sorts of great stuff like that. Actual content. Like you could go to med.com on a regular basis and never want to buy the daily deal. And it just, it's just a site where you go to read cool stuff.
[01:06:03.360 --> 01:06:18.360]  Uh, so Glenn Fleishman's articles on all caps is, it's almost like clickbait for me because I love, you know, that type of analysis of, of how you read in your head. And it goes back to like the 1800s. It's crazy. He's done all this research.
[01:06:18.360 --> 01:06:25.360]  So go to med.com, check out their forums and, uh, check out their daily deals.
[01:06:25.360 --> 01:06:36.360]  Who do you think, who do you think the, uh, who do you think the third sponsor is going to be? You guys know fracture.
[01:06:36.360 --> 01:06:54.360]  I'm not gonna guess. I don't want to spoil it. All right. Um, do you think it's a problem? So you hinted at this and in some ways this, this voice assistant space is almost the, it's almost the conceptual opposite of,
[01:06:54.360 --> 01:07:16.360]  of iOS in so far as most of iOS and certainly iOS starting in 2007 and 2008 in the early years was entirely visual and anything you could do was represented on screen by some sort of physical visual object.
[01:07:16.360 --> 01:07:31.360]  And to me it's actually an overlooked aspect of the genius of iOS is designed, uh, that they, they didn't go with some sort of like what's our, our fabulous new phone user interface going to be like.
[01:07:31.360 --> 01:07:37.360]  And they didn't try to do something that makes regular people say, wow, this is so conceptually clever.
[01:07:37.360 --> 01:07:46.360]  Instead they did like the most obvious thing possible, which was like, Hey, just like the old Palm pilots or, you know, here's a bunch of apps, tap on the app and it launches the app.
[01:07:46.360 --> 01:07:53.360]  And when the app is launched, it takes over the screen and here's one button on the front face that you go back to the home screen.
[01:07:53.360 --> 01:07:59.360]  So here's a bunch of apps, tap one to go in the app. And when you're in an app, tap this button and you go back to the home screen.
[01:07:59.360 --> 01:08:07.360]  And once you're in an app, anything you can do in the app is something you can see on the rectangle of pixels that are lit up.
[01:08:07.360 --> 01:08:22.360]  And since then they've added some shortcuts that you kind of have to know about, like when you slide in from the side or slide down from the top to get the notification center or up from the bottom to get the control center.
[01:08:22.360 --> 01:08:29.360]  But those are things that if you don't know about you, there's still a way to do it visually, right? Everything you can do.
[01:08:29.360 --> 01:08:41.360]  If you're a more simple user of iOS and you don't even know about control center, anything you can do there, you can just go to the home screen, go to settings and just read that list and you'll find it.
[01:08:41.360 --> 01:08:50.360]  When settings now setting. But also to your point, though, settings has gotten so long and so complex. I wonder how many people have realized that there's now a search field inside of settings.
[01:08:50.360 --> 01:08:54.360]  I don't know how many people, but they should. It's very useful.
[01:08:54.360 --> 01:09:02.360]  It's staggering how much stuff is in settings and rather than having to go drill down, there's so much stuff in there that it's actually way faster to do a search.
[01:09:02.360 --> 01:09:24.360]  But it's almost like the difference between a visual video game like, you know, Super Mario Brothers, where you could see where Mario can go because you're watching Mario move around the screen versus the old school text games like Zork or whatever, where you just have to start typing stuff and guess.
[01:09:24.360 --> 01:09:43.360]  Like. It's easier to explore, I think, for most people visually than it is to explore verbally, and it's so much easier to see what an iPhone can do because effectively, for the most part, it's you go to the home screen and look at the apps and here's what your iPhone can do.
[01:09:43.360 --> 01:09:56.360]  It's these apps and, you know, the ones that come from Apple are fairly obvious, and any other ones are ones that you chose to install, so you should, you know, have a basic idea of what they do.
[01:09:56.360 --> 01:10:02.360]  Whereas Siri, it's like, what's the total list of things you can do with Siri?
[01:10:02.360 --> 01:10:13.360]  I have never found a comprehensive list that wasn't somebody's guess on a blog post. I have never seen a full list of everything Siri can do.
[01:10:13.360 --> 01:10:25.360]  The closest thing I've seen is, like I say, some blog posts people have done and basically that marketing page where you can scroll really far down and see lots of suggestions, but it's surprisingly under-documented.
[01:10:25.360 --> 01:10:34.360]  So you're right. How do you learn? I mean, think about how many people you have to say, like, hey, if you want to play with Siri, go to Siri and then go hit that little question mark.
[01:10:34.360 --> 01:10:39.360]  And they're like, what question mark? I'm like, oh, man, hit that question mark because that is in the lower left, I believe.
[01:10:39.360 --> 01:10:44.360]  And that's going to tell you so much stuff you had no idea you could say to Siri. It's not learnable.
[01:10:44.360 --> 01:10:48.360]  Like you're saying, it isn't like you can just look at the pretty glass screen and understand what you're supposed to do.
[01:10:48.360 --> 01:10:57.360]  You either need to get educated or you need to explore. You need to try. And that's not intuitively obvious.
[01:10:57.360 --> 01:11:20.360]  So to me, not the canonical example, I'm trying to see the epitome of where this is going, the ideal of where these voice-driven assistants are going is exemplified by HAL 9000 in 2001, where you watch these characters interact with HAL.
[01:11:20.360 --> 01:11:32.360]  And you never it would be it would be shocking if they said something to them. And HAL was like, I'm sorry, I didn't understand the question.
[01:11:32.360 --> 01:11:39.360]  You know, it's like you just know that HAL is going to get it. And if they said something, did you mean white the color or white the race?
[01:11:39.360 --> 01:11:42.360]  Well, what a weird question, HAL. Of course, you would know that. Right.
[01:11:42.360 --> 01:11:53.360]  Not only that, but how also, as I was boning up last night and reading stuff you were suggesting, if you notice, HAL ends up sounding like the calmest and most human person in the movie in some way.
[01:11:53.360 --> 01:11:56.360]  Oh, yeah, definitely. Well, that was Pauline. I never thought of it that way, but it's true.
[01:11:56.360 --> 01:12:00.360]  That was Pauline Kael's criticism. One of her criticisms of the film.
[01:12:00.360 --> 01:12:01.360]  It's only got one character.
[01:12:01.360 --> 01:12:11.360]  Well, that the most interesting character is the computer. And it's like, well, so what? Isn't that actually kind of fascinating that somebody can make a movie where the most interesting character is the computer?
[01:12:11.360 --> 01:12:14.360]  Like, how is that? How is that a failure?
[01:12:14.360 --> 01:12:21.360]  But if the characters in that movie had said, how can dim the lights, you know that the lights would dim.
[01:12:21.360 --> 01:12:28.360]  There's 100 percent chance. And you know that HAL could do that. Like anything on that ship, you know that HAL could do.
[01:12:28.360 --> 01:12:38.360]  You know, and everything that they it's the the ideal is obviously something that's so aware that it can control everything.
[01:12:38.360 --> 01:12:45.360]  Like it's and we're obviously not there yet, but, you know, we're getting there. You're already you're already turning your lights out with it.
[01:12:45.360 --> 01:12:52.360]  But it's like, you know, you know, you probably can't turn your microwave on with Alexa.
[01:12:52.360 --> 01:12:54.360]  You got me thinking, though, you're bringing up a really good point.
[01:12:54.360 --> 01:13:05.360]  We talk about what they came out of the box with in 2007 and like what was it that was in retrospect, as we look back, what are the things that we really remember as seeming revolutionary?
[01:13:05.360 --> 01:13:15.360]  I think I feel like for myself, the most amazing what trick Steve and team pulled off was calling this thing a phone.
[01:13:15.360 --> 01:13:21.360]  So the first amazing part is that they were to put out this they would have brought this thing that I mean, yeah, it's a phone.
[01:13:21.360 --> 01:13:25.360]  But I mean, there's a lot of other things I would want to call it before I called it a phone.
[01:13:25.360 --> 01:13:29.360]  It is to use his third the third piece. It's an Internet communicator.
[01:13:29.360 --> 01:13:34.360]  That's what made the thing really great. But who's going to go out and buy Internet communicator?
[01:13:34.360 --> 01:13:39.360]  I think that for myself, that's one amazing part is that they put a computer in your pocket and it did actually work.
[01:13:39.360 --> 01:13:49.360]  The other amazing thing in retrospect, and maybe one of the things that is the most revolutionary and influential was that it's just a big piece of glass on front.
[01:13:49.360 --> 01:13:52.360]  Right. There's no there's no there's one dedicated button that does stuff.
[01:13:52.360 --> 01:13:55.360]  But and there's only limited things the apps can do to remember.
[01:13:55.360 --> 01:13:59.360]  These are the days when you're running one app at a time. What you could do with sound was very limited.
[01:13:59.360 --> 01:14:04.360]  What you could do with having, you know, you're only you couldn't copy and paste. It's one app at a time, et cetera, et cetera.
[01:14:04.360 --> 01:14:09.360]  But what did that do? That worked to the advantage of both the strengths and weaknesses of the phone.
[01:14:09.360 --> 01:14:14.360]  It could only do so much. But what you could do was very easy to understand because it was in this paradigm that you're familiar with.
[01:14:14.360 --> 01:14:19.360]  If you've ever used a Windows like a GUI system, this is not going to seem crazy.
[01:14:19.360 --> 01:14:23.360]  It's just that there's no mouse. Your finger is the mouse. So right.
[01:14:23.360 --> 01:14:29.360]  But the thing is so. But so now where are we? Where are we now? Like you say, well, now you can get to stuff by pulling down.
[01:14:29.360 --> 01:14:36.360]  You can get to stuff by pulling up. If you're on a recent phone, like if you're on a sixth generation phone pressing hard on.
[01:14:36.360 --> 01:14:41.360]  I wonder how many people know this pressing hard on the left side of the screen. There'll be a little bloop.
[01:14:41.360 --> 01:14:46.360]  And you go to the previous app. You could be one of the six people who's using the 3D touch.
[01:14:46.360 --> 01:14:52.360]  But so on top of that, let's think about haptics and tactics on the phone and on the watch.
[01:14:52.360 --> 01:14:59.360]  There are now so many more ways to communicate and communication is not just talking. Communication is also listening and hearing.
[01:14:59.360 --> 01:15:07.360]  So our ability. I mean, for example, something I don't know how many people use this on iOS, but you can go into accessibility and flip on the LED.
[01:15:07.360 --> 01:15:11.360]  The LED will blink when you get an alert. So I have that turned on.
[01:15:11.360 --> 01:15:15.360]  So if I'm not paying attention, I can see across the room that there's like a flash.
[01:15:15.360 --> 01:15:20.360]  So there's all these ways that you can talk to the phone. The phone can talk to you.
[01:15:20.360 --> 01:15:26.360]  But we're still I mean, but we still haven't really rethought the whole paradigm of how we interact with the phone.
[01:15:26.360 --> 01:15:31.360]  We're finding new ways to expand what this thing can do. Make it faster. Touch ID. Think about touch ID, right?
[01:15:31.360 --> 01:15:40.360]  But I mean, there hasn't been there hasn't been a need to completely rethink the phone because these are all improvements on the product we had in 2007.
[01:15:40.360 --> 01:15:50.360]  But now, like, I'm not sure this is where you're going, but I mean, I want to know where you're going. Wow. I mean, now that you can do voice, like, how does that change the way you think about this little glass internet communicator?
[01:15:50.360 --> 01:16:03.360]  You know, is it well suited to doing these kinds of things? And what would need to change about the basic technology and the policies of the company to make this into something more than just another another way to interact with the phone?
[01:16:03.360 --> 01:16:18.360]  I don't know. I still want to know, like, like, where, where do we draw the line between having every single device that we get from Apple understand Yo Dingus, right?
[01:16:18.360 --> 01:16:32.360]  Right now, I've got my watch doing it. I've got my phone doing it. My iPad does it. My Mac doesn't. But there's three devices that do and now there's a rumor that an Apple TV, right?
[01:16:32.360 --> 01:16:50.360]  And now they're supposedly building a new device that does it. Well, then when I address Siri with Yo Dingus, how many things turn on at once? I mean, and right now it's not very smart at all. Like, if my iPad is within the same earshot as the phone, they both come on.
[01:16:50.360 --> 01:17:05.360]  Well, I mean, think about iMessages. Like, you know, they seem to have gotten better at that, but you know, you don't want every single device in the world going off. If it has a way to determine where you quote unquote are right now, that's where you prefer to hear about.
[01:17:05.360 --> 01:17:12.360]  I still miss things because it went to the watch and I didn't realize it. So it's trying to be smart with that, but to have a sense of place about what you're doing.
[01:17:12.360 --> 01:17:21.360]  And like I said in this, these notes here, like context awareness, like when it's most appropriate to do a certain kind of thing. Cause you know, do we have to choose one tool?
[01:17:21.360 --> 01:17:37.360]  Aren't we allowed to have like spoons and knives in our house? It's like you, you might want all of these things, but you do need a little help from the devices to be contextually intelligent about what you need to know when, when stuff is likely to be useful and where it is extremely cumbersome and inappropriate.
[01:17:37.360 --> 01:17:51.360]  Do you remember like, this is way back, this is like going back to like 1998, 1999. And on the great, one of the best websites at that time was Macintosh. It's still around, but I don't think it's...
[01:17:51.360 --> 01:17:52.360]  Is that Rick Ford?
[01:17:52.360 --> 01:17:54.360]  Yeah, Rick Ford.
[01:17:54.360 --> 01:18:09.360]  I remember that there was a recurring, like the way that he would do it is somebody would send something in, it would become a story and then a couple more people would email and then he would add to the page with more people's comments, but it wasn't open.
[01:18:09.360 --> 01:18:21.360]  It was curated by Rick Ford and you'd end up with this great discussion. I remember one of the big controversies was when some Mac apps started phoning home on the network, which more or less just to check for a new version.
[01:18:21.360 --> 01:18:34.360]  Like they would, like maybe like once a week, some, you know, little indie app would, would connect to its, you know, parent companies.com and just say, Hey, I'm version 3.7. Is there a new version?
[01:18:34.360 --> 01:18:52.360]  And then if there is, like if 3.8 is out, it could let you know that there's a new version. And people were, you know, were using certain like utilities that would notify them, like super hyper privacy minded people who use utilities, like on Mac OS X, it would be like little snitch. I think there were things like that.
[01:18:52.360 --> 01:19:09.360]  This was a concern though, if you were stealing your copy of Quark, which I heard some people used to do, because it would be able to run out across the network and see which other serial numbers, like things along those lines, where you would actually be able to get another layer of shareware running that would prevent those things from talking to each other.
[01:19:09.360 --> 01:19:23.360]  Yeah, what it would do. Yeah, the one of the anti piracy or anti, you know, using a license on too many machines, mechanisms. I know Quark did it. I think Adobe might. I know for sure Quark did it. Yeah.
[01:19:23.360 --> 01:19:34.360]  Where they would look across the local network. I mean, maybe it was the whole internet. Was it the whole internet? I don't know. I think for our case, it was our Apple talk network. Yeah. And it was enough to it was enough to make it important, but they would look across the local talk network.
[01:19:34.360 --> 01:19:46.360]  And if it saw the same serial number was already running, it would refuse to run on the second machine. And people, you know, were very upset about it because it was like, what right does this app have to do anything on the network without me?
[01:19:46.360 --> 01:19:54.360]  And I remember nodding my head and I wasn't like thinking like, yeah, you know, outrage. I was just thinking, yeah, this is a little creepy. I wonder where this is going.
[01:19:54.360 --> 01:20:11.360]  And to think about like how much like how antiquated that is like privacy wise that I'm thinking I was what made me think about this was that I'm thinking I wouldn't mind if my iMac always had the camera on to look to see if I'm sitting in front of it.
[01:20:11.360 --> 01:20:21.360]  So that it would as soon as I get up from my chair would know to send the iMessage that I'm conversation I'm having with Merlin right to my phone.
[01:20:21.360 --> 01:20:31.360]  Right, like, how does my iMac know if I'm sitting in front of it like right now it doesn't really it just like kind of keeps track of I guess like mouse action or keyboard action or something like that.
[01:20:31.360 --> 01:20:39.360]  But I was either either totally innocuous or really scary depending on what you think of as being watched because what about motion sensors in your home does that creep you out?
[01:20:39.360 --> 01:20:50.360]  Well, no, we just I you know what I mean? Like it depends on what you want it to do. But there's a zero or one feeling there because if there's a camera, we assume that it's always recording us and sending it somewhere to do something.
[01:20:50.360 --> 01:21:01.360]  It's not simply a sensor, right? We assume immediately that it's going to be taking our stuff and throwing it up on the internet somewhere.
[01:21:01.360 --> 01:21:04.360]  We've just come so far in terms of where we draw the line.
[01:21:04.360 --> 01:21:19.360]  It's ludicrous, but I was trying to actually I was telling my daughter I was giving my daughter a bath last night and boring her to tears telling her about how I was going to talk to you about today and I was asking her about what she thought about the distinction between listening and hearing.
[01:21:19.360 --> 01:21:29.360]  And she she was saying she thinks we were disagreeing a little bit on the distinction, but I think to appreciate what we're talking about with this stuff you must see a distinction or should see a distinction between listening and hearing.
[01:21:29.360 --> 01:21:37.360]  So if you don't believe the companies that say they're not actually sending all your stuff to the NSA will definitely don't have these devices.
[01:21:37.360 --> 01:21:41.360]  If you're considering that though, I think it's worth considering the difference between listening and hearing.
[01:21:41.360 --> 01:21:57.360]  It's one thing to listen, right? So listening means that it's basically listening for the trigger words, but then after the trigger words is when it's really hearing and I feel like that's that's a young distinction that we need to start thinking about for all kinds of reasons, including privacy, right?
[01:21:57.360 --> 01:21:59.360]  Do you follow what I'm saying though?
[01:21:59.360 --> 01:22:00.360]  No, I do.
[01:22:00.360 --> 01:22:11.360]  Like in your case you want you want a camera that's that is monitoring even if it's not recording that there's there's we should start to see some kind of a distinction.
[01:22:11.360 --> 01:22:21.360]  Certainly again, I feel like I always have to say this. Yes, I don't want people spying on us, but like what are we willing to throw out for that notional privacy that we may or may not have anyway?
[01:22:21.360 --> 01:22:31.360]  In this instance, I just I think that a lot of people shut that door really fast without looking too much further beyond what they imagine is the worst case scenario.
[01:22:31.360 --> 01:22:36.360]  Would you be okay with your with your Mac using the camera to see if you're you're in front of it?
[01:22:36.360 --> 01:22:37.360]  God, no.
[01:22:37.360 --> 01:22:40.360]  No, even if they see me, you should see what I look like right now.
[01:22:40.360 --> 01:22:53.360]  And I feel like you could, you know, outsiders could independently verify by looking at network traffic that the video isn't being sent anywhere.
[01:22:53.360 --> 01:22:58.360]  No, no, I see what you're saying. But like, for example, like we've got a couple different cameras at the house.
[01:22:58.360 --> 01:23:06.360]  We've got a nest cam that watches the door and we've got a canary and the canary is a camera with a super.
[01:23:06.360 --> 01:23:08.360]  Are you familiar with canary?
[01:23:08.360 --> 01:23:09.360]  No.
[01:23:09.360 --> 01:23:12.360]  Canary is pretty cool. It's Canary dot IS.
[01:23:12.360 --> 01:23:19.360]  So it's a device that's not too different looking from an Amazon Echo, a little shorter, a little fatter.
[01:23:19.360 --> 01:23:30.360]  You basically plug that in and it has a very wide fisheye lens that will cover not 180 degrees, but a pretty wide spectrum.
[01:23:30.360 --> 01:23:37.360]  And but the nice thing about it is it has a very sane mode series of modes.
[01:23:37.360 --> 01:23:46.360]  So there's armed, which means that nobody is in the house and, you know, go ahead and record, you know, whatever, whatever you're seeing with the camera.
[01:23:46.360 --> 01:23:53.360]  If it notices that you're at home, you can set it so that it either keeps running and doesn't isn't sending you notices or you can say shut it off.
[01:23:53.360 --> 01:24:02.360]  So in my case, if the iPhone detects that anybody is at home, you know, the people who should be there, it just shuts it off altogether.
[01:24:02.360 --> 01:24:04.360]  So like, you know, I mean, is that perfect?
[01:24:04.360 --> 01:24:07.360]  No, but like that works pretty well.
[01:24:07.360 --> 01:24:14.360]  So if we're out of town and we see something moving around that's not a cat or a house cleaner, you can have that thing, you know, shut off a siren.
[01:24:14.360 --> 01:24:16.360]  You can hit the police number from it, whatever.
[01:24:16.360 --> 01:24:20.360]  I mainly want to just be able to see what's, you know, nothing's on fire.
[01:24:20.360 --> 01:24:25.360]  You know, the feeling I will I will put I will put the link in the show notes.
[01:24:25.360 --> 01:24:27.360]  I've already written it down. It looks like a great product.
[01:24:27.360 --> 01:24:36.360]  It does. I know exactly what you mean. I get paranoid when we're away from home that, yeah, that, you know, how do I know that the house isn't hasn't burned down?
[01:24:36.360 --> 01:24:37.360]  How do I know that?
[01:24:37.360 --> 01:24:39.360]  Who would know to contact me, you know?
[01:24:39.360 --> 01:24:43.360]  How do I know that squatters haven't broken in and just sort of set up set up home?
[01:24:43.360 --> 01:24:46.360]  I know somebody can draw a penis on your garage door.
[01:24:46.360 --> 01:24:51.360]  Right, exactly.
[01:24:51.360 --> 01:25:00.360]  Trust me, I know firsthand experience. You've got to scrub that as soon as possible before the ink dries.
[01:25:00.360 --> 01:25:01.360]  Sorry, I took you off your topic.
[01:25:01.360 --> 01:25:09.360]  Well, no, no, no. But the rumor about this upcoming Apple thing is that I'll put a link to show notes on that.
[01:25:09.360 --> 01:25:19.360]  But did you see this? That after the initial report came out, there's a report that the thing that Apple is doing does include a camera probably similar to the canary, like a wide angle fisheye camera.
[01:25:19.360 --> 01:25:26.360]  And that it will attempt to recognize the people talking to it.
[01:25:26.360 --> 01:25:40.360]  Yeah. And again, I don't want to be glib about it. I know I'm a Kubrick fanatic, but, you know, it's the concept of how, you know, and one of the things that makes 2001 such a great movie is the scientific rigor.
[01:25:40.360 --> 01:25:47.360]  You know, it really was an honest attempt. And obviously it was very optimistic about about all of it.
[01:25:47.360 --> 01:25:56.360]  You know, there's there is no Hilton orbiting the Earth. Pan Am doesn't have flights to the moon.
[01:25:56.360 --> 01:26:01.360]  We don't have a rocket ship that could take astronauts to Jupiter.
