[00:00.000 --> 00:08.000]  Oh boy. Once you start locking everything down. Wow. Do you unlock, can I ask you a question?
[54:32.000 --> 54:35.000]  because at the very earliest years of computing,
[54:35.000 --> 54:38.000]  the only thing we really had were, literally,
[54:38.000 --> 54:41.000]  we only had text-based displays, and we had keyboards.
[54:41.000 --> 54:45.000]  And those are two things that, with nothing but a text-based display
[54:45.000 --> 54:49.000]  and a keyboard, they were actually way better than what came before it.
[54:49.000 --> 54:53.000]  You could do things like you put all these numbers into your spreadsheet
[54:53.000 --> 54:56.000]  and get an answer for what your budget would be,
[54:56.000 --> 54:59.000]  and then somebody says, well, what if instead of 10% growth,
[54:59.000 --> 55:01.000]  we only have 5% growth?
[55:01.000 --> 55:02.000]  What happens?
[55:02.000 --> 55:06.000]  You start with an electronic analog for something in the physical world,
[55:06.000 --> 55:08.000]  but with this added functionality.
[55:08.000 --> 55:12.000]  What computers have always been good at is, when they take off,
[55:12.000 --> 55:15.000]  is doing things that used to be mundane and making them,
[55:15.000 --> 55:17.000]  saving us tons of time.
[55:17.000 --> 55:20.000]  And you have even a relatively simple spreadsheet.
[55:20.000 --> 55:22.000]  In pre-spreadsheet days, if somebody said,
[55:22.000 --> 55:26.000]  let's say what happens if we only have 5% growth instead of 10% growth,
[55:26.000 --> 55:30.000]  but that number percolates down to 20 different things beneath it,
[55:30.000 --> 55:34.000]  it takes two seconds in a spreadsheet to make that change,
[55:34.000 --> 55:36.000]  and it would take a couple of minutes of math,
[55:36.000 --> 55:40.000]  error-prone arithmetic previously.
[55:40.000 --> 55:43.000]  Word processing, word processing let people who were writing documents
[55:43.000 --> 55:49.000]  make changes without bringing white out and making a mess of the paper,
[55:49.000 --> 55:52.000]  and significant changes like moving paragraphs around
[55:52.000 --> 55:55.000]  or deleting entire chunks without retyping.
[55:55.000 --> 55:59.000]  Like, I would probably, I think there's a good chance
[55:59.000 --> 56:00.000]  that if I had been born 50 years earlier,
[56:00.000 --> 56:03.000]  I still would have been a writer of some sort.
[56:03.000 --> 56:05.000]  But I would have been an angry writer
[56:05.000 --> 56:08.000]  because I think I always would be angry at the rewriting.
[56:08.000 --> 56:10.000]  In high school, I used to have to do it.
[56:10.000 --> 56:11.000]  I had a typewriter in high school.
[56:11.000 --> 56:13.000]  I didn't have a computer.
[56:13.000 --> 56:18.000]  One of the history teachers in my college was infamous for always,
[56:18.000 --> 56:21.000]  she's a very tough reader, very tough critic, tough teacher,
[56:21.000 --> 56:24.000]  and she would invariably send back people's papers.
[56:24.000 --> 56:27.000]  Everybody's got their paper sent back, and you had to make changes on it.
[56:27.000 --> 56:29.000]  And she would mark it up, and you'd have to retype.
[56:29.000 --> 56:31.000]  Any page that had more than three corrections on it,
[56:31.000 --> 56:33.000]  you would have to redo the page.
[56:33.000 --> 56:35.000]  So you've got to retype that page.
[56:35.000 --> 56:37.000]  And if that was a big correction, guess what?
[56:37.000 --> 56:38.000]  You're retyping at least two pages.
[56:38.000 --> 56:40.000]  Yeah, because it would overflow, right?
[56:40.000 --> 56:41.000]  Exactly.
[56:41.000 --> 56:43.000]  And that's a radical change, if you really think about it.
[56:43.000 --> 56:45.000]  I know that there's youngsters out there who have never had to do this,
[56:45.000 --> 56:47.000]  and you think, oh, that sounds bad.
[56:47.000 --> 56:50.000]  But in practice, it was worse than you're imagining
[56:50.000 --> 56:52.000]  because it really just felt like busy work,
[56:52.000 --> 56:54.000]  and that's what computers have been good at.
[56:54.000 --> 56:58.000]  But I feel like for things like Excel, there's no need for voice for that.
[56:58.000 --> 57:01.000]  The existing input methods are better.
[57:01.000 --> 57:02.000]  I think the voice stuff...
[57:02.000 --> 57:03.000]  Totally agree.
[57:03.000 --> 57:09.000]  The voice stuff is entirely for stuff where voice is a better interface
[57:09.000 --> 57:15.000]  than keyboard typing or something like that.
[57:15.000 --> 57:17.000]  Well, my response to that listener,
[57:17.000 --> 57:19.000]  I did one of those turns out Malcolm Gladwell things,
[57:19.000 --> 57:21.000]  because I was like, well, first of all,
[57:21.000 --> 57:23.000]  I don't think that is the best way to interact,
[57:23.000 --> 57:26.000]  but the bigger question, now that I've got my futurist hat on,
[57:26.000 --> 57:30.000]  the bigger question is how many of us will have jobs where we use Excel in 20 years?
[57:30.000 --> 57:33.000]  If you're really thinking about this stuff,
[57:33.000 --> 57:35.000]  not that I'm any scholar on this,
[57:35.000 --> 57:37.000]  but let's think bigger than where we are now.
[57:37.000 --> 57:40.000]  We've got to quit thinking about things as slight iterations
[57:40.000 --> 57:43.000]  on what we're willing to admit has changed about what we understand
[57:43.000 --> 57:46.000]  and start looking instead at what is the trend line for this
[57:46.000 --> 57:51.000]  and where does that end up amidst all these other kinds of things.
[57:51.000 --> 57:56.000]  So how much do you use voice day-to-day now?
[57:56.000 --> 58:00.000]  I use it frequently, but I use it for the same handful of things
[58:00.000 --> 58:01.000]  over and over and over and over again.
[58:01.000 --> 58:03.000]  Are you a dictator?
[58:03.000 --> 58:05.000]  I do. I do dictate.
[58:05.000 --> 58:13.000]  I think that should count, so I definitely dictate like iMessages.
[58:13.000 --> 58:18.000]  I absolutely do, because I can dictate faster than I can type, and it's accurate.
[58:18.000 --> 58:21.000]  If you're typing more than a sentence, if you're typing more than two sentences,
[58:21.000 --> 58:22.000]  just put a clock on it.
[58:22.000 --> 58:26.000]  It'll blow your mind, even accounting for the time to fix small errors.
[58:26.000 --> 58:28.000]  It's so much faster than typing.
[58:28.000 --> 58:33.000]  And for the most part, the people who I'm texting,
[58:33.000 --> 58:35.000]  again, it's a handful of people.
[58:35.000 --> 58:41.000]  It's either my wife, my son, or a close personal friend.
[58:41.000 --> 58:47.000]  And if it makes a homonym error,
[58:47.000 --> 58:51.000]  I often will just let it slide because I think it's funny.
[58:51.000 --> 58:57.000]  If I say, I don't know, that the produce selection is a real horror show,
[58:57.000 --> 59:03.000]  and it comes out with horror, or a Horace show, or something like that,
[59:03.000 --> 59:04.000]  I'll let it go.
[59:04.000 --> 59:09.000]  The truth is, on my iPad, I've got the small iPad Pro,
[59:09.000 --> 59:13.000]  and the truth is, dictation on there, especially on Wi-Fi,
[59:13.000 --> 59:16.000]  for certain kinds of things, like paragraph link things,
[59:16.000 --> 59:19.000]  I would challenge people to actually try this, because here's the thing for me.
[59:19.000 --> 59:22.000]  If I'm laying in bed like an animal typing with my thumbs,
[59:22.000 --> 59:25.000]  I will very frequently be doing stuff like hitting the comma
[59:25.000 --> 59:27.000]  and breaking this word in half for some dumb reason,
[59:27.000 --> 59:30.000]  or I meant to hit A and I hit capital.
[59:30.000 --> 59:35.000]  There's these same three or four typing mistakes I make constantly on devices,
[59:35.000 --> 59:36.000]  and you don't get that.
[59:36.000 --> 59:38.000]  Instead, you get funny homonyms.
[59:38.000 --> 59:41.000]  So dictation, do you do a lot of little tasks?
[59:41.000 --> 59:42.000]  Do you do reminders?
[59:42.000 --> 59:44.000]  Do you do setting meetings and stuff like that?
[59:44.000 --> 59:47.000]  No, not for calendar, but I don't have a lot of meetings.
[59:47.000 --> 59:49.000]  But I'll do reminders.
[59:49.000 --> 59:54.000]  I'll say, you know, add such and such to my shopping list.
[59:54.000 --> 01:00:01.000]  I feel like with iOS voice functionality, I'm trying to avoid triggering things.
[01:00:01.000 --> 01:00:06.000]  I think that's the gateway drug, is like, hey, dingus,
[01:00:06.000 --> 01:00:12.000]  remind me to bring up the laundry when I arrive at the house in two hours.
[01:00:12.000 --> 01:00:14.000]  Because there's a lot to that.
[01:00:14.000 --> 01:00:15.000]  I mean, you do get a reminder.
[01:00:15.000 --> 01:00:16.000]  It's on your reminder list.
[01:00:16.000 --> 01:00:19.000]  It'll go off in two hours no matter what.
[01:00:19.000 --> 01:00:23.000]  But if you're in the geo-fenced area earlier, it goes off as well.
[01:00:23.000 --> 01:00:24.000]  I don't know how many people know that.
[01:00:24.000 --> 01:00:26.000]  And it's really as simple as saying that thing.
[01:00:26.000 --> 01:00:29.000]  If you want to get started with your iPhone in particular,
[01:00:29.000 --> 01:00:31.000]  I think that's a pretty good place to start.
[01:00:31.000 --> 01:00:34.000]  Not great for controlling music on AirPods, I've got to say,
[01:00:34.000 --> 01:00:37.000]  but a good way to get you started with what it does.
[01:00:37.000 --> 01:00:40.000]  Well, I think it would be if the latency were solved.
[01:00:40.000 --> 01:00:44.000]  There's too much of a pause between when you double tap the AirPod
[01:00:44.000 --> 01:00:49.000]  and when the assistant kicks in.
[01:00:49.000 --> 01:00:52.000]  Yeah, my fantasy for the AirPods is it gets something like a,
[01:00:52.000 --> 01:00:54.000]  I know this is impossible at this point,
[01:00:54.000 --> 01:00:59.000]  but that on one side there's something like, I know this sounds crazy,
[01:00:59.000 --> 01:01:04.000]  but there's something like an impossibly small touch pad
[01:01:04.000 --> 01:01:08.000]  that's the size of half a centimeter.
[01:01:08.000 --> 01:01:11.000]  But something that you could press on that you could tap or push
[01:01:11.000 --> 01:01:14.000]  and it has a little bit of slide ability.
[01:01:14.000 --> 01:01:16.000]  So you could, like for example, I know that's nuts,
[01:01:16.000 --> 01:01:19.000]  but it would be pretty cool if you could hit that dingus,
[01:01:19.000 --> 01:01:20.000]  tap it twice, you get Siri.
[01:01:20.000 --> 01:01:24.000]  You hit it once, for example, and if you slide backwards or forwards,
[01:01:24.000 --> 01:01:25.000]  it would be volume.
[01:01:25.000 --> 01:01:27.000]  Something like that would be dynamite,
[01:01:27.000 --> 01:01:29.000]  but probably out of scope at that price.
[01:01:29.000 --> 01:01:31.000]  Yeah, I love my AirPods.
[01:01:31.000 --> 01:01:32.000]  I really do.
[01:01:32.000 --> 01:01:33.000]  I rave about it.
[01:01:33.000 --> 01:01:36.000]  It's my favorite new Apple thing in a long time.
[01:01:36.000 --> 01:01:38.000]  I like them so much more than I expected.
[01:01:38.000 --> 01:01:39.000]  I do too.
[01:01:39.000 --> 01:01:42.000]  I expected to like them, but I actually love them.
[01:01:42.000 --> 01:01:46.000]  But I fully acknowledge that part and parcel of using them
[01:01:46.000 --> 01:01:50.000]  is the fact that there are certain things that the old $10 wired,
[01:01:50.000 --> 01:01:52.000]  I know Apple sold them for $29,
[01:01:52.000 --> 01:01:55.000]  but the old included in the box wired ones,
[01:01:55.000 --> 01:01:58.000]  we're way better at, way better.
[01:01:58.000 --> 01:02:03.000]  Like double clicking to go to the next track.
[01:02:03.000 --> 01:02:06.000]  But it's a little bit like we're back to the truck and the car
[01:02:06.000 --> 01:02:08.000]  in some ways though, or for that matter, voice.
[01:02:08.000 --> 01:02:10.000]  We're like, this will not make sense until you use it.
[01:02:10.000 --> 01:02:13.000]  And when you use it, you will have no problem dithering
[01:02:13.000 --> 01:02:16.000]  about when other headphones are a better choice.
[01:02:16.000 --> 01:02:18.000]  It's not, I mean, you're not, you know,
[01:02:18.000 --> 01:02:20.000]  just the wireless thing is dynamite.
[01:02:20.000 --> 01:02:23.000]  If I'm just going to do dishes and just want to like have a little break
[01:02:23.000 --> 01:02:25.000]  and do dishes and listen to a podcast,
[01:02:25.000 --> 01:02:27.000]  because I mean, what's going to happen?
[01:02:27.000 --> 01:02:29.000]  I mean, the worst I have to do, I reach down and I grab my pocket
[01:02:29.000 --> 01:02:32.000]  and I hit the volume on my pocket to bring it up or down.
[01:02:32.000 --> 01:02:35.000]  But you know, if you're going to be traveling for a long time,
[01:02:35.000 --> 01:02:39.000]  well, you know, also turns out they do, if you include the time
[01:02:39.000 --> 01:02:42.000]  of the battery pack, little tic-tac holder,
[01:02:42.000 --> 01:02:45.000]  like you get pretty good battery out of these things.
[01:02:45.000 --> 01:02:47.000]  It's going to be fun. There's not that many occasions
[01:02:47.000 --> 01:02:49.000]  when you listen to these for five hours.
[01:02:49.000 --> 01:02:51.000]  No, me neither. I don't think I've ever gotten below 80%.
[01:02:51.000 --> 01:02:53.000]  I don't know what I've gotten.
[01:02:53.000 --> 01:02:56.000]  I've gotten close or not, not even close,
[01:02:56.000 --> 01:02:58.000]  but I've gotten to the point where I get like a warning or something,
[01:02:58.000 --> 01:03:02.000]  or I don't know, I somehow notice and I just absentmindedly
[01:03:02.000 --> 01:03:06.000]  put the AirPods case on a lightning cable and it's fixed.
[01:03:06.000 --> 01:03:08.000]  I don't know. The battery life is amazing on them.
[01:03:08.000 --> 01:03:12.000]  And I have to say, I had the $299 Beats ones,
[01:03:12.000 --> 01:03:15.000]  I forget what they were called,
[01:03:15.000 --> 01:03:18.000]  but they're the ones with the little, you know, under the chin cable.
[01:03:18.000 --> 01:03:22.000]  And I liked them enough that they were my main headphones for,
[01:03:22.000 --> 01:03:24.000]  I don't know, eight, nine months or something like that.
[01:03:24.000 --> 01:03:27.000]  But I was constantly running out of battery life on them
[01:03:27.000 --> 01:03:29.000]  at surprising moments.
[01:03:29.000 --> 01:03:30.000]  Really?
[01:03:30.000 --> 01:03:32.000]  That case, that case is brilliant.
[01:03:32.000 --> 01:03:34.000]  And I love your tip, your little YouTube video.
[01:03:34.000 --> 01:03:36.000]  I use your tip all the time for getting them out.
[01:03:36.000 --> 01:03:38.000]  Yeah, it's the way to do it.
[01:03:38.000 --> 01:03:40.000]  You should tell people. This is a really good tip.
[01:03:40.000 --> 01:03:42.000]  I should. I'll put it in the show notes.
[01:03:42.000 --> 01:03:44.000]  Sure you will.
[01:03:44.000 --> 01:03:46.000]  Right after you plug in your ethernet.
[01:03:46.000 --> 01:03:47.000]  Right after I plug it in.
[01:03:47.000 --> 01:03:49.000]  Let me take another break here and thank,
[01:03:49.000 --> 01:03:51.000]  what did I say I was going to put in the show notes? My video.
[01:03:51.000 --> 01:03:54.000]  Oh yeah, your Stanley Kubrick earbud video.
[01:03:54.000 --> 01:03:56.000]  Video, AirPod video.
[01:03:56.000 --> 01:03:58.000]  All right, there it is in the show notes.
[01:03:58.000 --> 01:04:00.000]  Let me break that. I got to thank another great sponsor.
[01:04:00.000 --> 01:04:02.000]  I have their product.
[01:04:02.000 --> 01:04:03.000]  I own it.
[01:04:03.000 --> 01:04:05.000]  I think they sent it to me.
[01:04:05.000 --> 01:04:07.000]  I don't think I paid for it.
[01:04:07.000 --> 01:04:09.000]  I don't even remember, but I would buy it.
[01:04:09.000 --> 01:04:11.000]  And in fact, I'm going to buy more.
[01:04:11.000 --> 01:04:13.000]  It is a fantastic product.
[01:04:13.000 --> 01:04:14.000]  I adore it.
[01:04:14.000 --> 01:04:18.000]  It is a suitcase from a company called Away.
[01:04:18.000 --> 01:04:21.000]  I've got the overhead one.
[01:04:21.000 --> 01:04:24.000]  It's simply a great suitcase.
[01:04:24.000 --> 01:04:27.000]  It is made with premium German polycarbonate.
[01:04:27.000 --> 01:04:30.000]  It looks like you could throw it off the top of a building
[01:04:30.000 --> 01:04:32.000]  and it would be fine.
[01:04:32.000 --> 01:04:33.000]  It has four wheels.
[01:04:33.000 --> 01:04:35.000]  The wheels are almost too good.
[01:04:35.000 --> 01:04:37.000]  There's a terminal in the Philadelphia airport
[01:04:37.000 --> 01:04:40.000]  where to get to the gates that I always have to go to.
[01:04:40.000 --> 01:04:42.000]  For whatever reason, every time I fly,
[01:04:42.000 --> 01:04:45.000]  my gate at every airport I go to in North America
[01:04:45.000 --> 01:04:47.000]  is always at the end of the terminal.
[01:04:47.000 --> 01:04:51.000]  I never, ever, ever get one of those gates near the hub.
[01:04:51.000 --> 01:04:52.000]  Always at the end.
[01:04:52.000 --> 01:04:58.000]  And at Philly Terminal C, there's a downhill slope.
[01:04:58.000 --> 01:05:02.000]  Once you get past gate C20 and it's downhill,
[01:05:02.000 --> 01:05:04.000]  the wheels are so good on the Away suitcase
[01:05:04.000 --> 01:05:07.000]  that the thing wants to run away from you.
[01:05:07.000 --> 01:05:10.000]  It's got four 360-degree spinner wheels.
[01:05:10.000 --> 01:05:12.000]  They are super smooth, great wheels.
[01:05:12.000 --> 01:05:15.000]  A TSA-approved combination lock built under the top
[01:05:15.000 --> 01:05:16.000]  to prevent theft.
[01:05:16.000 --> 01:05:17.000]  Is that great?
[01:05:17.000 --> 01:05:19.000]  Are these TSA?
[01:05:19.000 --> 01:05:20.000]  It's the best you can do, though.
[01:05:20.000 --> 01:05:21.000]  It's better than nothing.
[01:05:21.000 --> 01:05:24.000]  It's nice that it's built in.
[01:05:24.000 --> 01:05:25.000]  I've got one of these and I love it.
[01:05:25.000 --> 01:05:27.000]  It's built in so you don't have to do that thing
[01:05:27.000 --> 01:05:28.000]  that I always do, which is,
[01:05:28.000 --> 01:05:30.000]  oh, great, I've got a lock and I lost the case
[01:05:30.000 --> 01:05:32.000]  and all of my luggage has a lock on it that I can't use.
[01:05:32.000 --> 01:05:33.000]  Exactly.
[01:05:33.000 --> 01:05:34.000]  And then you just put your combination
[01:05:34.000 --> 01:05:37.000]  in your 1Password or whatever you use
[01:05:37.000 --> 01:05:40.000]  and you won't forget it.
[01:05:40.000 --> 01:05:41.000]  But here's the kicker.
[01:05:41.000 --> 01:05:43.000]  The kicker is that they build in.
[01:05:43.000 --> 01:05:44.000]  All that by itself.
[01:05:44.000 --> 01:05:46.000]  It's a great suitcase.
[01:05:46.000 --> 01:05:47.000]  And the prices are great.
[01:05:47.000 --> 01:05:49.000]  Right there, the prices are great.
[01:05:49.000 --> 01:05:50.000]  But here's the thing.
[01:05:50.000 --> 01:05:53.000]  They built into the top of the case
[01:05:53.000 --> 01:05:57.000]  like a really, I forget how many mega amps,
[01:05:57.000 --> 01:05:58.000]  but a big battery.
[01:05:58.000 --> 01:06:00.000]  And there's two USB ports.
[01:06:00.000 --> 01:06:05.000]  One of them is the five watt for a phone
[01:06:05.000 --> 01:06:07.000]  and the other one is like a 15 watt
[01:06:07.000 --> 01:06:10.000]  or something like that for iPads or whatever
[01:06:10.000 --> 01:06:11.000]  or anything that can charge faster.
[01:06:11.000 --> 01:06:15.000]  And so all you need then to charge your phone
[01:06:15.000 --> 01:06:16.000]  when you're at the airport.
[01:06:16.000 --> 01:06:17.000]  You don't have to go around hunting
[01:06:17.000 --> 01:06:21.000]  for a seat at the airport near a socket.
[01:06:21.000 --> 01:06:22.000]  Because guess what?
[01:06:22.000 --> 01:06:23.000]  You know they're already taken.
[01:06:23.000 --> 01:06:24.000]  They're taken.
[01:06:24.000 --> 01:06:25.000]  Because there's like one,
[01:06:25.000 --> 01:06:27.000]  most North American airports
[01:06:27.000 --> 01:06:30.000]  have two wall sockets in the entire airport.
[01:06:30.000 --> 01:06:31.000]  Yep.
[01:06:31.000 --> 01:06:35.000]  So you just charge your suitcase.
[01:06:35.000 --> 01:06:37.000]  Yeah, when you get back to your room,
[01:06:37.000 --> 01:06:38.000]  so you run off your suitcase,
[01:06:38.000 --> 01:06:39.000]  you get back to your room
[01:06:39.000 --> 01:06:40.000]  and when you go to sleep at night,
[01:06:40.000 --> 01:06:41.000]  you charge your suitcase like a gentleman.
[01:06:41.000 --> 01:06:43.000]  It has so much power that you could charge
[01:06:43.000 --> 01:06:45.000]  your suitcase before you go on your trip.
[01:06:45.000 --> 01:06:46.000]  Charge your phone at the airport.
[01:06:46.000 --> 01:06:48.000]  Go somewhere on the way back.
[01:06:48.000 --> 01:06:49.000]  Plug the USB in again.
[01:06:49.000 --> 01:06:52.000]  And it still has a charge to charge up your phone
[01:06:52.000 --> 01:06:53.000]  while you're sitting there waiting for your flight.
[01:06:53.000 --> 01:06:57.000]  I tested it and gave up after three charges of an iPhone.
[01:06:57.000 --> 01:06:58.000]  It's just...
[01:06:58.000 --> 01:07:00.000]  Yeah, no, I mean it's got at least,
[01:07:00.000 --> 01:07:02.000]  I would say very safely at least two.
[01:07:02.000 --> 01:07:03.000]  I don't want to oversell this
[01:07:03.000 --> 01:07:04.000]  because I don't have the spec in front of me.
[01:07:04.000 --> 01:07:06.000]  But you will definitely be able
[01:07:06.000 --> 01:07:07.000]  to charge up your stuff on the road.
[01:07:07.000 --> 01:07:08.000]  It's a big ass battery.
[01:07:08.000 --> 01:07:09.000]  It's really nice.
[01:07:09.000 --> 01:07:10.000]  Or like two of you could.
[01:07:10.000 --> 01:07:11.000]  Like you and a friend or a spouse
[01:07:11.000 --> 01:07:12.000]  or a child, whatever.
[01:07:12.000 --> 01:07:13.000]  Exactly.
[01:07:13.000 --> 01:07:14.000]  I like having portable battery chargers
[01:07:14.000 --> 01:07:15.000]  when I travel.
[01:07:15.000 --> 01:07:16.000]  But like I like,
[01:07:16.000 --> 01:07:18.000]  there's like a balancing act with a real portable charger
[01:07:18.000 --> 01:07:20.000]  where you want one that's like small enough
[01:07:20.000 --> 01:07:21.000]  that like you put it in your pocket.
[01:07:21.000 --> 01:07:23.000]  It doesn't look like you've got a Costanza wallet.
[01:07:23.000 --> 01:07:24.000]  But on the other hand,
[01:07:24.000 --> 01:07:26.000]  the ones that are kind of slim don't really,
[01:07:26.000 --> 01:07:28.000]  they give you like an extra like 50% on your battery.
[01:07:28.000 --> 01:07:31.000]  A suitcase, even a small overhead suitcase,
[01:07:31.000 --> 01:07:34.000]  plenty of space for a battery that will charge your stuff.
[01:07:34.000 --> 01:07:36.000]  It is a brilliant idea.
[01:07:36.000 --> 01:07:37.000]  It is really great.
[01:07:37.000 --> 01:07:39.000]  And the prices are super great.
[01:07:39.000 --> 01:07:41.000]  They have great prices because they sell direct.
[01:07:41.000 --> 01:07:42.000]  So here's where you go.
[01:07:42.000 --> 01:07:44.000]  Go to awaytravel.com.
[01:07:44.000 --> 01:07:48.000]  awaytravel.com slash talk show.
[01:07:48.000 --> 01:07:50.000]  No the, just talk show.
[01:07:50.000 --> 01:07:52.000]  And remember that promo code talk show when you check out.
[01:07:52.000 --> 01:07:53.000]  And guess what?
[01:07:53.000 --> 01:07:56.000]  You'll save an extra 20 bucks off your first order.
[01:07:56.000 --> 01:07:58.000]  20 bucks right in your pocket
[01:07:58.000 --> 01:08:01.000]  for a great suitcase with great stuff inside.
[01:08:01.000 --> 01:08:05.000]  It's well organized, super rugged, great wheels.
[01:08:05.000 --> 01:08:08.000]  But the battery charger is the killer feature.
[01:08:08.000 --> 01:08:11.000]  My thanks to Away Travel.
[01:08:11.000 --> 01:08:12.000]  Good product.
[01:08:12.000 --> 01:08:13.000]  Yeah.
[01:08:13.000 --> 01:08:14.000]  Here's the thing.
[01:08:14.000 --> 01:08:15.000]  I keep saying this.
[01:08:15.000 --> 01:08:17.000]  If you have a voice assistant and you hired somebody,
[01:08:17.000 --> 01:08:21.000]  you hired a real live person,
[01:08:21.000 --> 01:08:23.000]  a kid right out of college,
[01:08:23.000 --> 01:08:27.000]  to just follow you around and do stuff for you.
[01:08:27.000 --> 01:08:29.000]  And you could say things like,
[01:08:29.000 --> 01:08:30.000]  let's say the kid's name is Dingus.
[01:08:30.000 --> 01:08:32.000]  You'd say, hey, Dingus,
[01:08:32.000 --> 01:08:35.000]  what's the score of the North Carolina game?
[01:08:35.000 --> 01:08:39.000]  And then Dingus would look it up on a phone or whatever
[01:08:39.000 --> 01:08:41.000]  and then tell you the score of the game.
[01:08:41.000 --> 01:08:44.000]  Well, that's already slower.
[01:08:44.000 --> 01:08:46.000]  The computers are better at that sort of stuff
[01:08:46.000 --> 01:08:48.000]  than having a person.
[01:08:48.000 --> 01:08:52.000]  But the flip side is that the computers will make errors
[01:08:52.000 --> 01:08:57.000]  that no human being, even if you hired a drunk,
[01:08:57.000 --> 01:09:00.000]  no human assistant would ever make
[01:09:00.000 --> 01:09:02.000]  some of the boneheaded errors
[01:09:02.000 --> 01:09:08.000]  that the computer assistants make.
[01:09:08.000 --> 01:09:12.000]  So for example, I have two contacts named Amy.
[01:09:12.000 --> 01:09:13.000]  One of them is my wife,
[01:09:13.000 --> 01:09:17.000]  and I text her probably more than every other person
[01:09:17.000 --> 01:09:18.000]  in the world combined.
[01:09:18.000 --> 01:09:21.000]  And then there's a PR person who works at a technology company
[01:09:21.000 --> 01:09:25.000]  who I've had contact with maybe five times in years.
[01:09:25.000 --> 01:09:31.000]  And sometimes when I say, hey, Dingus, text Amy, blah, blah, blah,
[01:09:31.000 --> 01:09:34.000]  usually it just knows to send it to my wife.
[01:09:34.000 --> 01:09:37.000]  But every once in a while, it'll say, which Amy?
[01:09:37.000 --> 01:09:40.000]  But you really don't want to get that wrong.
[01:09:40.000 --> 01:09:41.000]  No, you don't.
[01:09:41.000 --> 01:09:46.000]  You don't want to get it wrong.
[01:09:46.000 --> 01:09:48.000]  And so I understand being careful,
[01:09:48.000 --> 01:09:49.000]  and I'd rather have the...
[01:09:49.000 --> 01:09:51.000]  But it's just your point partly being like,
[01:09:51.000 --> 01:09:53.000]  why has it not figured this out yet?
[01:09:53.000 --> 01:09:55.000]  Well, it's not why hasn't it.
[01:09:55.000 --> 01:09:57.000]  I understand that it's a hard problem to figure out.
[01:09:57.000 --> 01:10:01.000]  My point, though, is more that the bar is set
[01:10:01.000 --> 01:10:03.000]  at the common sense of a human being.
[01:10:03.000 --> 01:10:04.000]  And that's...
[01:10:04.000 --> 01:10:05.000]  Okay.
[01:10:05.000 --> 01:10:09.000]  We need to judge these things by that bar of common sense,
[01:10:09.000 --> 01:10:13.000]  that if I had a human assistant and said, tell Amy
[01:10:13.000 --> 01:10:17.000]  I'm going to be late, and I'll let her know soon
[01:10:17.000 --> 01:10:21.000]  how late I'll be, there's a 0% chance that that assistant
[01:10:21.000 --> 01:10:24.000]  isn't going to know exactly who I'm talking about.
[01:10:24.000 --> 01:10:25.000]  That's a good point.
[01:10:25.000 --> 01:10:28.000]  Like a worst assistant I could hire, someone who I'm like,
[01:10:28.000 --> 01:10:33.000]  hey, Dingus, tell yourself you're fired on Friday.
[01:10:33.000 --> 01:10:35.000]  Randomly picks the first Amy, knowing that your wife
[01:10:35.000 --> 01:10:37.000]  is named Amy, it just randomly picks the first Amy
[01:10:37.000 --> 01:10:38.000]  it finds in the Rolodex.
[01:10:38.000 --> 01:10:41.000]  Even an assistant who I'm so upset with their performance
[01:10:41.000 --> 01:10:45.000]  that I'm looking to replace them or let them go
[01:10:45.000 --> 01:10:47.000]  is going to get that right.
[01:10:47.000 --> 01:10:50.000]  Right.
[01:10:50.000 --> 01:10:51.000]  This is not...
[01:10:51.000 --> 01:10:54.000]  Your point is very well taken, just for what it's worth
[01:10:54.000 --> 01:10:56.000]  practically to be well actually, Guy.
[01:10:56.000 --> 01:11:02.000]  Two ways I get around that are by naming relationships
[01:11:02.000 --> 01:11:07.000]  and so you could say, hey, Dingus, Amy Jane Gruber is my wife.
[01:11:07.000 --> 01:11:09.000]  Dingus knows that.
[01:11:09.000 --> 01:11:14.000]  I can say text my wife that, but it never comes out naturally.
[01:11:14.000 --> 01:11:18.000]  I feel like part of the interaction with these things
[01:11:18.000 --> 01:11:24.000]  is that I think that they work best or feel like they work best.
[01:11:24.000 --> 01:11:26.000]  Maybe the stopwatch would tell you there's no difference,
[01:11:26.000 --> 01:11:29.000]  but the cognitive load is so much less if you don't really
[01:11:29.000 --> 01:11:35.000]  have to think about it in a formal, how do I officially want to do this?
[01:11:35.000 --> 01:11:39.000]  If I just say what's on the top of my head, it always comes out as Amy.
[01:11:39.000 --> 01:11:41.000]  It never comes out as my wife.
[01:11:41.000 --> 01:11:43.000]  Right, but the frustrating part, I mean...
[01:11:43.000 --> 01:11:46.000]  I would never call her my wife in a normal...
[01:11:46.000 --> 01:11:47.000]  My wife, yeah.
[01:11:47.000 --> 01:11:49.000]  I sound like Borat.
[01:11:49.000 --> 01:11:51.000]  But it's almost 80% of the way there in that it can do that.
[01:11:51.000 --> 01:11:54.000]  The part that is frustrating to me, and yeah, I know it's a hard problem.
[01:11:54.000 --> 01:11:56.000]  It is frustrating to me, though, that...
[01:11:56.000 --> 01:12:01.000]  For example, when it first mishears you, sometimes it will say,
[01:12:01.000 --> 01:12:04.000]  like, okay, I didn't understand that name. Can you pronounce that for me?
