[00:00.000 --> 00:02.000]  You a Letterman fan?
[1:08:46.120 --> 1:08:51.440]  With exceptions for things like the workout app or the remote app, which if you're using
[1:08:51.440 --> 1:08:56.000]  them, stay there because they assume that, you know, if you're using your watch to control
[1:08:56.000 --> 1:09:00.920]  your TV or if you're doing a workout, you want to have it default to that until you're
[1:09:00.920 --> 1:09:03.160]  done with the whatever it is you're doing.
[1:09:03.160 --> 1:09:07.520]  So it's almost like there's two different hierarchies of interface.
[1:09:07.520 --> 1:09:08.520]  Yes.
[1:09:08.520 --> 1:09:09.520]  Exactly.
[1:09:09.520 --> 1:09:16.120]  And my guess is that the watch face trunk or whatever you would call it, probably gets
[1:09:16.120 --> 1:09:18.720]  the most time.
[1:09:18.720 --> 1:09:19.720]  Yes.
[1:09:19.720 --> 1:09:22.480]  Certainly the quickest, I guess.
[1:09:22.480 --> 1:09:27.400]  I almost think of the, and this sounds denigrating, but I don't mean it that way.
[1:09:27.400 --> 1:09:33.200]  I almost think of the app mode as sort of like a junk drawer, like like the watch world
[1:09:33.200 --> 1:09:35.520]  is so neatly organized.
[1:09:35.520 --> 1:09:39.240]  You've got these limited number of faces to choose from with the complications that you
[1:09:39.240 --> 1:09:40.240]  can play with.
[1:09:40.240 --> 1:09:41.240]  And again, I'm with you.
[1:09:41.240 --> 1:09:42.400]  I think it's a lot of fun to play with them.
[1:09:42.400 --> 1:09:50.160]  I'm still doing it eight weeks later, notifications from the top and the glances from the
[1:09:50.160 --> 1:09:51.160]  bottom.
[1:09:51.160 --> 1:09:56.760]  If you haven't tried, try using glances organize them in a way that seems useful to you.
[1:09:56.760 --> 1:10:01.960]  I just like the icon screen so much, like I almost want to look at that more.
[1:10:01.960 --> 1:10:07.720]  And I, I do always pick the wrong app, but whatever, I've gotten better at it.
[1:10:07.720 --> 1:10:09.400]  I find a little bit or two.
[1:10:09.400 --> 1:10:14.680]  I find like picking the apps off that little screen, it looks, it's like candy, you know.
[1:10:14.680 --> 1:10:15.680]  Yeah.
[1:10:15.680 --> 1:10:19.920]  I find that if you try to tap the top of the app, I, I'm more accurate.
[1:10:19.920 --> 1:10:29.400]  Oh, I wonder if the, the, whatever you would call it, the algorithm it uses to figure
[1:10:29.400 --> 1:10:35.080]  out where you're trying to touch is different on the watch than it is on the, on the iPhone
[1:10:35.080 --> 1:10:36.080]  or iPad.
[1:10:36.080 --> 1:10:40.480]  I'm convinced that it is convinced and it makes it.
[1:10:40.480 --> 1:10:42.720]  Have you ever tried using it not on your wrist?
[1:10:42.720 --> 1:10:43.720]  Like take the watch.
[1:10:43.720 --> 1:10:44.720]  Yes.
[1:10:44.720 --> 1:10:48.320]  Like when I'm giving a demo to someone and I want to type in my passcode, it never works
[1:10:48.320 --> 1:10:49.320]  right.
[1:10:49.320 --> 1:10:53.360]  If it's possible to tap them correctly, I feel like they have corrected for the parallax
[1:10:53.360 --> 1:10:59.040]  of the angle that you're at, you know, it's, it's completely optimized for being on your
[1:10:59.040 --> 1:11:03.840]  wrist at the distance where you would, you know, keep it from your eyes to poke at it
[1:11:03.840 --> 1:11:06.320]  with your other hand index finger.
[1:11:06.320 --> 1:11:07.320]  Yeah.
[1:11:07.320 --> 1:11:10.480]  I'm convinced that they're, that they went through.
[1:11:10.480 --> 1:11:15.080]  And I think they even, I think they even changed the parallax to account for left handed
[1:11:15.080 --> 1:11:16.240]  and right handedness.
[1:11:16.240 --> 1:11:21.200]  But it's not just up down parallax, but like left right that it's, you know, everything
[1:11:21.200 --> 1:11:25.840]  has a little bit of slop in the one direction because, you know, if it, if, if the watch
[1:11:25.840 --> 1:11:32.920]  knows it's on your left wrist with the crown in the upper right, it knows something about
[1:11:32.920 --> 1:11:38.960]  which way you're likely to, you know, mistap with your other hand index finger.
[1:11:38.960 --> 1:11:40.200]  Hmm.
[1:11:40.200 --> 1:11:41.360]  Wow.
[1:11:41.360 --> 1:11:43.240]  I just discovered something crazy.
[1:11:43.240 --> 1:11:44.240]  All right.
[1:11:44.240 --> 1:11:52.000]  So if you, if you open an app and very quickly scroll down on the digital crown, it quits
[1:11:52.000 --> 1:11:55.040]  the app.
[1:11:55.040 --> 1:11:58.720]  As if you're zooming out of the way you can zoom into it now, yeah.
[1:11:58.720 --> 1:12:03.040]  If you launch it and then quickly scroll out, it quits it for you.
[1:12:03.040 --> 1:12:04.040]  Huh.
[1:12:04.040 --> 1:12:05.040]  Weird.
[1:12:05.040 --> 1:12:08.360]  Yeah, it totally does.
[1:12:08.360 --> 1:12:09.680]  I find that a little weird.
[1:12:09.680 --> 1:12:13.200]  I do find it a little weird that you can zoom into an app, but can't zoom out, but I guess
[1:12:13.200 --> 1:12:14.200]  you can.
[1:12:14.200 --> 1:12:16.280]  But if you're fast enough, no, you can.
[1:12:16.280 --> 1:12:19.320]  I think that the zooming into an app seems like a gimmick.
[1:12:19.320 --> 1:12:21.960]  Well, to me, it only happens by accident.
[1:12:21.960 --> 1:12:22.960]  Right.
[1:12:22.960 --> 1:12:26.560]  When would you ever do it by, you know, purposefully put an app in the middle and then
[1:12:26.560 --> 1:12:27.760]  zoom into it?
[1:12:27.760 --> 1:12:35.080]  I mean, you have to, you have to have your finger on the screen, not the wheel, not the
[1:12:35.080 --> 1:12:39.000]  crown, to get it centered in the first place.
[1:12:39.000 --> 1:12:40.000]  Right.
[1:12:40.000 --> 1:12:45.120]  And the only app I ever want to zoom into is the watch, right, which you can do just by tapping
[1:12:45.120 --> 1:12:46.120]  the button.
[1:12:46.120 --> 1:12:47.120]  You don't even have to zoom in.
[1:12:47.120 --> 1:12:52.960]  So I wish that zooming in anywhere, it's re-centered it onto the watch, but maybe that would
[1:12:52.960 --> 1:12:53.960]  be.
[1:12:53.960 --> 1:12:56.400]  I don't think that would work.
[1:12:56.400 --> 1:12:58.160]  Yeah, I don't know.
[1:12:58.160 --> 1:12:59.760]  I don't know what the alternative is though.
[1:12:59.760 --> 1:13:06.000]  They're not going to zoom into the icons so far that it blurs and they're not going
[1:13:06.000 --> 1:13:08.440]  to stop the zoom at some point.
[1:13:08.440 --> 1:13:09.440]  Are they?
[1:13:09.440 --> 1:13:10.440]  No.
[1:13:10.440 --> 1:13:11.440]  No.
[1:13:11.440 --> 1:13:16.520]  But my point though is that I think that the watch face world being the primary interface,
[1:13:16.520 --> 1:13:19.040]  it could have been the only interface.
[1:13:19.040 --> 1:13:24.760]  And in that scenario, every app you had would have to be a glance.
[1:13:24.760 --> 1:13:29.880]  And you couldn't, you know, if you deleted the glance, you'd be deleting the app.
[1:13:29.880 --> 1:13:31.440]  But you could do everything that way.
[1:13:31.440 --> 1:13:36.840]  And now it wouldn't be a good interface for supporting more than, I mean, what's the
[1:13:36.840 --> 1:13:39.960]  most number of those glances that you could have that would be practical?
[1:13:39.960 --> 1:13:44.160]  I would say maybe like 20 and even then it's because you had to say five or six.
[1:13:44.160 --> 1:13:47.880]  Well, I'm just saying the maximum of 20.
[1:13:47.880 --> 1:13:52.480]  And so I think, you know, I think the basic idea behind the watch is you're going to
[1:13:52.480 --> 1:13:57.960]  live in the, you know, most of what you do is is the watch face and stuff you can get
[1:13:57.960 --> 1:13:59.320]  from there.
[1:13:59.320 --> 1:14:04.280]  And you put your favorite, you know, five or six things as glances that you can just swipe
[1:14:04.280 --> 1:14:06.640]  up to get to.
[1:14:06.640 --> 1:14:13.840]  You can deal with most notifications right there without switching to any kind of app.
[1:14:13.840 --> 1:14:19.920]  And then for everything else, yada, yada, yada, that's why there's the app mode.
[1:14:19.920 --> 1:14:27.080]  And you switch to the app mode to do everything else instead of trying to shoehorn any
[1:14:27.080 --> 1:14:28.080]  additional complex.
[1:14:28.080 --> 1:14:30.840]  I know the whole thing, I think that there's so many people who complained about it being
[1:14:30.840 --> 1:14:34.840]  complex, but I feel like separating this into two different modes and that people don't
[1:14:34.840 --> 1:14:35.840]  need to worry about.
[1:14:35.840 --> 1:14:40.480]  You know, it took me eight weeks of thinking about it every day to come to this conclusion
[1:14:40.480 --> 1:14:45.320]  that it's sort of just two base, you know, two, two modes that you switch between.
[1:14:45.320 --> 1:14:47.480]  People don't need to understand that to use it.
[1:14:47.480 --> 1:14:52.600]  You just, you know, you just kind of have to just keep tapping the crown a couple of times
[1:14:52.600 --> 1:14:55.680]  until what you want to see shows up.
[1:14:55.680 --> 1:14:57.680]  So it is a complex interface.
[1:14:57.680 --> 1:14:58.680]  It is.
[1:14:58.680 --> 1:14:59.680]  There's a lot of complexity to it.
[1:14:59.680 --> 1:15:00.800]  I think they put a lot of thought into it.
[1:15:00.800 --> 1:15:05.200]  But I also think that you don't, one doesn't need to really understand that to any degree
[1:15:05.200 --> 1:15:06.200]  to use it.
[1:15:06.200 --> 1:15:11.160]  You just kind of have to keep stabbing at the digital crown maybe twice, maybe three times
[1:15:11.160 --> 1:15:13.840]  and then you'll be back to where you want to be.
[1:15:13.840 --> 1:15:17.880]  Do you think that the, so right now, so many of the, you know, it's so early, so many
[1:15:17.880 --> 1:15:22.520]  of the, the glances and apps are effectively the same thing.
[1:15:22.520 --> 1:15:27.640]  Do you think they'll differentiate more as people start to understand what these things
[1:15:27.640 --> 1:15:28.640]  do right now?
[1:15:28.640 --> 1:15:32.200]  It seems like the glance is just a dumb version of the app.
[1:15:32.200 --> 1:15:38.840]  Yeah, like a, a version with just one button that launches the app, really, because you
[1:15:38.840 --> 1:15:43.760]  can't have buttons and glances, even Apple's glances don't have buttons, except for
[1:15:43.760 --> 1:15:44.760]  well, some of them.
[1:15:44.760 --> 1:15:45.760]  Now playing.
[1:15:45.760 --> 1:15:48.440]  Which is the, the glance I use the most, really.
[1:15:48.440 --> 1:15:49.440]  Yeah.
[1:15:49.440 --> 1:15:50.440]  Yeah.
[1:15:50.440 --> 1:15:55.320]  I, I, I, I take a pack, Apple does cheat with their glances by having buttons.
[1:15:55.320 --> 1:15:56.320]  Yeah.
[1:15:56.320 --> 1:15:57.320]  Now playing is a pretty cool one.
[1:15:57.320 --> 1:16:01.240]  Um, third party wants just launch the app and even some of Apple's just launch the app
[1:16:01.240 --> 1:16:03.120]  like weather and stuff like that.
[1:16:03.120 --> 1:16:09.320]  I find, like in the early days of using it, I, even knowing and deliberately trying
[1:16:09.320 --> 1:16:14.400]  not to use it as a little mini iPhone on my wrist, I found myself, you know, when I wanted
[1:16:14.400 --> 1:16:19.320]  to do something that wasn't right there on the watch face, like I love the way that you
[1:16:19.320 --> 1:16:22.240]  can just cut, if you have the temperature showing, you just tap the temperature and it
[1:16:22.240 --> 1:16:24.400]  jumps you over to the weather app.
[1:16:24.400 --> 1:16:25.400]  Love that.
[1:16:25.400 --> 1:16:28.640]  I love that if you have like a calendar showing, you can do the same thing for calendar.
[1:16:28.640 --> 1:16:34.000]  Um, like I think that's such a great way to jump to your, if you use the activity app all
[1:16:34.000 --> 1:16:37.640]  the time, just tap it right there on your watch face and you go there.
[1:16:37.640 --> 1:16:42.520]  Um, but then for everything else, I would go to the home screen and pan around the thing
[1:16:42.520 --> 1:16:43.840]  and launch an app.
[1:16:43.840 --> 1:16:49.240]  Um, I just, I found I wasn't using glances much, but, but purposefully trying to use
[1:16:49.240 --> 1:16:51.640]  glances more, I really do think they're pretty great.
[1:16:51.640 --> 1:16:52.640]  Yeah.
[1:16:52.640 --> 1:16:53.640]  I'm going to, all right.
[1:16:53.640 --> 1:16:59.520]  This is like a goal now is to spend more consciously spend more time with glances.
[1:16:59.520 --> 1:17:02.320]  I will do that and I will report back.
[1:17:02.320 --> 1:17:03.320]  All right.
[1:17:03.320 --> 1:17:08.520]  So something we didn't get to talk to at the beginning was I still have about the addition
[1:17:08.520 --> 1:17:12.880]  series and I still have not seen, I thought I saw a guy with one the other day, but it
[1:17:12.880 --> 1:17:18.520]  was just the stainless steel reflecting kind of a warm, a warm color.
[1:17:18.520 --> 1:17:19.520]  Yeah.
[1:17:19.520 --> 1:17:21.120]  And I haven't even seen any on Instagram.
[1:17:21.120 --> 1:17:27.720]  I may be sides of the celeb, you know, the celebs who have their fancy special models.
[1:17:27.720 --> 1:17:28.720]  Yeah.
[1:17:28.720 --> 1:17:33.400]  I was thinking about it the other day and the thought that occurred to me was we spent
[1:17:33.400 --> 1:17:38.760]  so much time over the six months between when they announced it and when it came out talking
[1:17:38.760 --> 1:17:44.880]  about the addition stuff, you know, what, you know, speculation on the price, commentary
[1:17:44.880 --> 1:17:50.360]  on what does it mean for Apple as a, as a whole strategically, you know, is this a shift?
[1:17:50.360 --> 1:17:51.360]  Is this something new?
[1:17:51.360 --> 1:17:57.200]  Is it, have they become a new, a different company is bad for the, you know, the typical
[1:17:57.200 --> 1:18:02.960]  user, you know, like the two sides of the argument, and we debate it all this to death
[1:18:02.960 --> 1:18:09.840]  is it doesn't mean that Apple, it only cares about the super rich because they can get
[1:18:09.840 --> 1:18:17.840]  a better device than the people who buy the $399 sport edition or does it mean that it's
[1:18:17.840 --> 1:18:22.400]  great for the typical person because you get a device with the exact same functionality
[1:18:22.400 --> 1:18:28.960]  and electronics for $399 that somebody with money to burn spent $17,000 on, right?
[1:18:28.960 --> 1:18:31.760]  I got, there's two ways to look at it.
[1:18:31.760 --> 1:18:35.520]  But in the, I was thinking about the other day, maybe, I mean, if nobody's buying these
[1:18:35.520 --> 1:18:38.800]  things, maybe the whole thing is like irrelevant.
[1:18:38.800 --> 1:18:44.280]  I get my, like the difference between the world where the edition line exists and the hypothetical
[1:18:44.280 --> 1:18:47.480]  world where they only had the steel and sport ones.
[1:18:47.480 --> 1:18:50.120]  There's no difference between those two worlds because nobody actually has the edition
[1:18:50.120 --> 1:18:51.120]  ones.
[1:18:51.120 --> 1:18:57.000]  And I wonder how many actual, you know, models they made.
[1:18:57.000 --> 1:18:58.000]  I wonder too.
[1:18:58.000 --> 1:19:02.360]  Maybe, maybe it truly was limited, maybe there was like a hundred of each or something.
[1:19:02.360 --> 1:19:03.360]  I don't know.
[1:19:03.360 --> 1:19:04.360]  I don't know.
[1:19:04.360 --> 1:19:07.960]  It just seems like there's the, and it seems, so there's the ones that, you know, that
[1:19:07.960 --> 1:19:12.000]  they list and that they show on the website, they have them in the tables and some of
[1:19:12.000 --> 1:19:18.720]  the stores, the Philly store has the edition ones and that you can, you know, order and buy.
[1:19:18.720 --> 1:19:23.160]  But then there's also like the edition edition ones that they've had some of these press
[1:19:23.160 --> 1:19:27.040]  events where there's like band options that aren't even available.
[1:19:27.040 --> 1:19:31.800]  You know, like Carl Loggerford has the, the gold millenies loop band.
[1:19:31.800 --> 1:19:32.800]  Yeah.
[1:19:32.800 --> 1:19:37.640]  Um, you know, these, somebody else had that one too.
[1:19:37.640 --> 1:19:41.880]  I don't know if it was, it was, it would be on, say, something like gold link band,
[1:19:41.880 --> 1:19:42.880]  print link bracelet.
[1:19:42.880 --> 1:19:43.880]  No, no, no.
[1:19:43.880 --> 1:19:44.880]  Oh, really?
[1:19:44.880 --> 1:19:45.880]  Oh, no.
[1:19:45.880 --> 1:19:47.680]  Maybe it is, no, maybe you're right.
[1:19:47.680 --> 1:19:48.680]  Maybe it was the link bracelet.
[1:19:48.680 --> 1:19:49.680]  Yeah, it was the link bracelet.
[1:19:49.680 --> 1:19:50.680]  I'm sorry.
[1:19:50.680 --> 1:19:51.680]  I'm sorry.
[1:19:51.680 --> 1:19:52.680]  Gold link bracelet.
[1:19:52.680 --> 1:19:57.320]  Um, that aren't even option offered and there were color options that, that people had
[1:19:57.320 --> 1:20:00.400]  for like the leather bands that, you know, you can't get elsewhere.
[1:20:00.400 --> 1:20:05.920]  That's how you know you had a good year when you get a gold link bracelet.
[1:20:05.920 --> 1:20:06.920]  Yeah.
[1:20:06.920 --> 1:20:09.840]  Just, you know, something that's not even on the website.
[1:20:09.840 --> 1:20:10.840]  Yeah.
[1:20:10.840 --> 1:20:11.840]  I guess.
[1:20:11.840 --> 1:20:15.520]  But I, that doesn't mean I was thinking about this too, that doesn't mean though that
[1:20:15.520 --> 1:20:18.800]  it was folly for Apple to do it.
[1:20:18.800 --> 1:20:24.080]  And it might be like, I think that the, the cynical take is that it's like just satisfying
[1:20:24.080 --> 1:20:30.440]  Johnny Ive and Mark Newson's, uh, desire to make, you know, crazy ass expensive gold
[1:20:30.440 --> 1:20:31.440]  watches.
[1:20:31.440 --> 1:20:36.480]  Um, but there might be a practical benefit to it too, where it has that psychological
[1:20:36.480 --> 1:20:47.680]  effect of the seven, eight, nine, $1,100 steel ones looking a lot more purchasable when
[1:20:47.680 --> 1:20:51.240]  they're next to $10,000, $15,000 gold watches.
[1:20:51.240 --> 1:20:55.080]  Like how do you get someone to buy a $1,000 watch, put it next to a $10,000 watch?
[1:20:55.080 --> 1:20:56.080]  Yeah.
[1:20:56.080 --> 1:20:57.080]  That's true.
[1:20:57.080 --> 1:20:58.080]  Uh, yeah.
[1:20:58.080 --> 1:20:59.080]  Yeah.
[1:20:59.080 --> 1:21:00.080]  I don't know.
[1:21:00.080 --> 1:21:04.080]  Well, maybe, maybe next time I'm in an international airport, I'll look more closely.
[1:21:04.080 --> 1:21:06.840]  I haven't been to Asia yet since, uh, they launched.
[1:21:06.840 --> 1:21:11.280]  So maybe I'll, I'll ask my sister at Hong Kong how many she's seen around the office
[1:21:11.280 --> 1:21:14.360]  and we'll, we'll get a better idea.
[1:21:14.360 --> 1:21:18.600]  I wonder if Ben Thompson has seen any because Ben, Ben would be maybe the guy to maybe
[1:21:18.600 --> 1:21:21.040]  spot a couple over there and maybe that is.
[1:21:21.040 --> 1:21:25.640]  So that would be, that would be the argument C, argument C would be, like argument A is
[1:21:25.640 --> 1:21:27.160]  that it was just folly.
[1:21:27.160 --> 1:21:33.600]  Argument B is that it's sort of a strategic marketing move to make this, the steel ones look
[1:21:33.600 --> 1:21:39.480]  mid range and affordable, whereas if there were no gold Apple watches, the $1,100 or, you
[1:21:39.480 --> 1:21:44.720]  know, whatever I spit, it's paid for this space black thing would look extravagant, whereas
[1:21:44.720 --> 1:21:48.800]  it looks, you know, downright cheap compared to a $10,000 one.
[1:21:48.800 --> 1:21:52.240]  Argument C would be that it was that they are, they are selling these things and they're
[1:21:52.240 --> 1:21:56.240]  going to sell them, but it's all, it's totally an Asian thing.
[1:21:56.240 --> 1:22:00.880]  Or just that that was like the last priority in terms of manufacturing them.
[1:22:00.880 --> 1:22:10.160]  So they, they're holding out, right, maybe, maybe it's like a holiday or, and so one more
[1:22:10.160 --> 1:22:17.400]  question I have is, do you think they will update the, the offerings at all before the holiday
[1:22:17.400 --> 1:22:18.400]  season?
[1:22:18.400 --> 1:22:20.600]  Oh, that's a great question.
[1:22:20.600 --> 1:22:25.240]  I think no, not this year, not even any new bands or anything like that.
[1:22:25.240 --> 1:22:29.440]  Yeah, I wonder if maybe they would come, that would be something that it wouldn't surprise
[1:22:29.440 --> 1:22:35.160]  me, that maybe like come September when they have new iPhones to announce.
[1:22:35.160 --> 1:22:39.600]  And last year, the watch shared the stage with the iPhone, maybe the watch shares the
[1:22:39.600 --> 1:22:46.680]  stage with the iPhone again and maybe, maybe they've got the third party SDK update ready
[1:22:46.680 --> 1:22:47.840]  to ship.
[1:22:47.840 --> 1:22:51.280]  If not, maybe it's, you know, at least some kind of update on it.
[1:22:51.280 --> 1:22:55.600]  You know, I presume we're going to hear about that WWDC next month.
[1:22:55.600 --> 1:23:01.480]  And that developers will get to start writing the native apps that run on the watch, not
[1:23:01.480 --> 1:23:06.200]  just watch kit apps running on the phone projected on the watch, but that that's not going
[1:23:06.200 --> 1:23:10.720]  to ship to, you know, in a consumer update to the watch for months and months to come.
[1:23:10.720 --> 1:23:14.120]  But maybe they'll show that in September and then maybe to have something to sell, they'll
[1:23:14.120 --> 1:23:16.320]  have new bands.
[1:23:16.320 --> 1:23:21.520]  That's, you know, and there was one of those celebrity Instagram photos where they had,
[1:23:21.520 --> 1:23:26.840]  you know, a rainbow of sport bands on offer.
[1:23:26.840 --> 1:23:31.120]  And you know, having the sport model, I'm very excited about the idea of having many
[1:23:31.120 --> 1:23:35.160]  different, because these bands are 50 bucks or, you know, probably third party ones will
[1:23:35.160 --> 1:23:41.160]  be even, even less, I'm very excited about the opportunity to have three or four different
[1:23:41.160 --> 1:23:47.400]  color bands to wear with different, you know, during different seasons or whatever.
[1:23:47.400 --> 1:23:52.000]  And some of those other colors, like the yellow look super cool, I would definitely want
[1:23:52.000 --> 1:23:54.040]  like a navy blue or something like that.
[1:23:54.040 --> 1:23:58.280]  So I hope that those exist sooner than later.
[1:23:58.280 --> 1:24:01.560]  My son would love a red one, like a project red red.
[1:24:01.560 --> 1:24:02.560]  Yeah.
[1:24:02.560 --> 1:24:06.560]  Like any kind of funky red just red, he's got the, the black, you know, sport model.
[1:24:06.560 --> 1:24:07.560]  I think it would look great.
[1:24:07.560 --> 1:24:08.560]  That'd be a great combo.
[1:24:08.560 --> 1:24:09.560]  Yeah.
[1:24:09.560 --> 1:24:10.560]  Yeah.
[1:24:10.560 --> 1:24:11.560]  But that seems like the most natural combo in the way.
[1:24:11.560 --> 1:24:13.560]  In fact, it beats headphones I have right here, a black and red.
[1:24:13.560 --> 1:24:17.400]  I'm oh yeah, red is a, is a fantastic combo.
[1:24:17.400 --> 1:24:21.000]  Yeah, you got to imagine that's going to happen at some point.
[1:24:21.000 --> 1:24:25.680]  It seems like they've had enough trouble just getting the, the ones they've, they picked
[1:24:25.680 --> 1:24:26.680]  out the door.
[1:24:26.680 --> 1:24:27.680]  So, yeah.
[1:24:27.680 --> 1:24:32.640]  I think too, I, that there's sort of a, the apple has looked and part of the thing with
[1:24:32.640 --> 1:24:36.240]  the watch thing is that, yes, they are more personal and you do want to personalize it.
[1:24:36.240 --> 1:24:41.840]  But the funny thing is like, um, so I, like the live version of the talk show at WWE
[1:24:41.840 --> 1:24:47.440]  VDC next month, which I have to talk about, um, don't let me sign off on the show without
[1:24:47.440 --> 1:24:49.120]  talking about it.
[1:24:49.120 --> 1:24:53.960]  But let's face, you know that it, that live talk show at WWE C in San Francisco next month,
[1:24:53.960 --> 1:24:58.560]  that out of 500 people in the room, there's probably going to be about 480 wearing an apple
[1:24:58.560 --> 1:24:59.560]  watch.
[1:24:59.560 --> 1:25:03.200]  And yeah, so it can be all sorts of bands and band colors, but there's probably going to
[1:25:03.200 --> 1:25:08.960]  be 300 of them wearing the black sport with the black, yeah, sport band.
[1:25:08.960 --> 1:25:19.480]  And even with, if every single sport and steel, uh, combination is somebody has it, there's
[1:25:19.480 --> 1:25:24.080]  a, you know, there's a uniformity there that holy crap, this room is full of people wearing
[1:25:24.080 --> 1:25:28.200]  an apple watch with all the different, I mean, it's still, it's way less, you know, it's
[1:25:28.200 --> 1:25:32.200]  way closer to being uniform than being individual.
[1:25:32.200 --> 1:25:37.240]  Um, even given that and that need to, you know, have some kind of expression with the
[1:25:37.240 --> 1:25:42.600]  watch thing, the band that you choose, I do think that Apple has looked at the, the case
[1:25:42.600 --> 1:25:48.600]  market for phones and house, you know, such a, a large majority of people put their phones
[1:25:48.600 --> 1:25:53.520]  in a case and how much money that represents and that they are kind of looking at these
[1:25:53.520 --> 1:25:54.520]  bands.
[1:25:54.520 --> 1:25:57.320]  And yes, there's going to be a third party band program and they're going to have a certified
[1:25:57.320 --> 1:26:01.280]  thing and they're going to take a cut out of the certified stuff that they sell through
[1:26:01.280 --> 1:26:04.240]  the store and it has the made for Apple watch logo.
[1:26:04.240 --> 1:26:08.360]  Um, but they're really looking at, and they're like, we would like to take most of the
[1:26:08.360 --> 1:26:10.520]  money from people buying third party bands.
[1:26:10.520 --> 1:26:13.760]  So we're going to have a lot of them.
[1:26:13.760 --> 1:26:18.160]  Like they totally could have watched launch the first version of the watch with a far fewer
[1:26:18.160 --> 1:26:20.200]  band combinations.
[1:26:20.200 --> 1:26:21.920]  Oh, definitely.
[1:26:21.920 --> 1:26:26.200]  And I think that they just looked at it as this is just pure, not pure margin, but there's
[1:26:26.200 --> 1:26:32.480]  an awful lot of margin, you know, by upselling every but a large majority of people to
[1:26:32.480 --> 1:26:40.240]  an extra $50 or even more more, yeah, under $50 for, I'm kind of eyeing the blue leather
[1:26:40.240 --> 1:26:46.000]  loop, but I want to try it on first and it's still two to three weeks shipping time.
[1:26:46.000 --> 1:26:51.520]  So let's see, uh, breaking news, you know what, I'm going to hold this, uh, I'll come
[1:26:51.520 --> 1:26:54.840]  back to the breaking news and let's do a sponsor read and, uh, and then I'll come back
[1:26:54.840 --> 1:27:01.840]  and remind me to go to the, to the, uh, breaking news, um, but let me tell you about our
[1:27:01.840 --> 1:27:07.440]  next sponsor and it is another one of our, uh, longtime friends of the show, igloo, igloo
[1:27:07.440 --> 1:27:15.080]  makes the intranet you'll actually like, um, intra, INTRA, it's a, it, you know, if you've
[1:27:15.080 --> 1:27:20.080]  never heard of intranet, maybe you're young, maybe you don't know, uh, in the late 90s,
[1:27:20.080 --> 1:27:22.760]  it, I feel like this is worth going over for the kids.
[1:27:22.760 --> 1:27:29.880]  So in the late 90s, when the intranet, you know, blew up and became a huge thing, uh, companies
[1:27:29.880 --> 1:27:34.760]  enterprises, teams said, well, this is great, but we need something private, something that
[1:27:34.760 --> 1:27:40.640]  is off the public internet for us to use for private communications, secure communication
[1:27:40.640 --> 1:27:41.840]  within our team.
[1:27:41.840 --> 1:27:46.520]  And so the word intranet came up and it's just like the internet except it's within your
[1:27:46.520 --> 1:27:52.280]  little team, uh, and there's companies like Microsoft has like share point and there's
[1:27:52.280 --> 1:27:57.160]  other ones, uh, and they all blew, you know, blew up and people spent tons of money on
[1:27:57.160 --> 1:28:00.840]  all this crap, uh, and it stinks and everybody hates it.
[1:28:00.840 --> 1:28:05.840]  And it became, anybody who's ever had to use an intranet, uh, it's like a dirty word.
[1:28:05.840 --> 1:28:10.560]  It's like, uh, uh, so igloo, what they've done is they've taken that word, which is sort
[1:28:10.560 --> 1:28:14.120]  of become a dirty word and they're embracing it and they're saying, look, here's an intranet.
[1:28:14.120 --> 1:28:18.400]  This is a great, the basic idea of making a little private thing for your team to communicate
[1:28:18.400 --> 1:28:21.960]  on with a whole bunch of features is a great idea.
[1:28:21.960 --> 1:28:24.960]  And let's just keep the word and we're going to make one that you're actually going
[1:28:24.960 --> 1:28:25.960]  to like.
[1:28:25.960 --> 1:28:30.200]  You sign up for igloo, you have your team, you get all sorts of stuff, little apps that
[1:28:30.200 --> 1:28:34.760]  are built into the system, shared calendars, Twitter like micro blogs, so you can have like
[1:28:34.760 --> 1:28:39.960]  your own little team, Twitter type thing where you post things like tweets except it's not
[1:28:39.960 --> 1:28:40.960]  on Twitter.
[1:28:40.960 --> 1:28:41.960]  It's totally private.
[1:28:41.960 --> 1:28:47.200]  It's right there on your intranet, uh, file sharing, task management, and more.
[1:28:47.200 --> 1:28:53.680]  Uh, it's everything you need to work better together in one very configurable cloud platform.
[1:28:53.680 --> 1:28:56.200]  Uh, they've added new features recently.
[1:28:56.200 --> 1:29:04.280]  They've got this thing where you can get, um, um, uh, if you have a good document that
[1:29:04.280 --> 1:29:08.360]  has to have, you know, somebody else like, uh, I mean you're on a team for the talk
[1:29:08.360 --> 1:29:12.400]  show and you, I've got to get you to sign off on the thing.
[1:29:12.400 --> 1:29:13.400]  I can do that.
[1:29:13.400 --> 1:29:17.200]  I can share the file and have like a read receipt, you know, like a read receipt for
[1:29:17.200 --> 1:29:18.520]  email to prove that you saw it.
[1:29:18.520 --> 1:29:23.600]  I can prove that Dan from or saw this document, uh, through this new feature in igloo.
[1:29:23.600 --> 1:29:24.600]  Really great.
[1:29:24.600 --> 1:29:30.720]  If you've got that sort of process on your team, um, uh, they, they igloo always brags
[1:29:30.720 --> 1:29:31.720]  about this thing.
[1:29:31.720 --> 1:29:36.640]  They got this thing called Gartner's magic quadrant and it sounds like a bunch of gibberish,
