[00:00.000 --> 00:02.000]  How is sunny California?
[01:02:50.000 --> 01:02:52.000]  what is the behavior, like how do you know
[01:02:52.000 --> 01:02:53.000]  which device is closest to me,
[01:02:53.000 --> 01:02:55.000]  or which one I'm talking to,
[01:02:55.000 --> 01:02:56.000]  because maybe my watch is closer,
[01:02:56.000 --> 01:02:58.000]  but I didn't move it, so Siri's not listening,
[01:02:58.000 --> 01:03:01.000]  and maybe my iPhone is across the room
[01:03:01.000 --> 01:03:02.000]  and my Mac is in my lap,
[01:03:02.000 --> 01:03:03.000]  but I really am talking to my iPhone,
[01:03:03.000 --> 01:03:06.000]  and solving those are interesting problems.
[01:03:06.000 --> 01:03:07.000]  Yeah, I would say that's exactly the point
[01:03:07.000 --> 01:03:09.000]  I was gonna make is that, okay,
[01:03:09.000 --> 01:03:12.000]  I don't think that this Echo-like speaker thing
[01:03:12.000 --> 01:03:15.000]  is the ultimate solution to this,
[01:03:15.000 --> 01:03:18.000]  to what is the device you buy to have this interaction
[01:03:18.000 --> 01:03:20.000]  with a voice assistant, but conversely,
[01:03:20.000 --> 01:03:22.000]  I don't know that Apple's like,
[01:03:22.000 --> 01:03:25.000]  let's just have, hey, and then the name of the,
[01:03:25.000 --> 01:03:29.000]  I don't wanna have to beep it out, hey, you know.
[01:03:29.000 --> 01:03:30.000]  Yo, Siri.
[01:03:30.000 --> 01:03:31.000]  Hey, you know.
[01:03:31.000 --> 01:03:36.000]  I don't think that's the answer either
[01:03:36.000 --> 01:03:38.000]  to have it on all of your devices,
[01:03:38.000 --> 01:03:39.000]  because I've had the situation, too,
[01:03:39.000 --> 01:03:42.000]  where you try it and multiple devices are plugged in
[01:03:42.000 --> 01:03:44.000]  and they all answer, or the iPhone doesn't even
[01:03:44.000 --> 01:03:46.000]  have to be plugged in anymore.
[01:03:46.000 --> 01:03:48.000]  So I don't know what the answer is,
[01:03:48.000 --> 01:03:51.000]  but it's definitely coming,
[01:03:51.000 --> 01:03:52.000]  and I thought that some of the stuff
[01:03:52.000 --> 01:03:56.000]  that they showed in the Google Home
[01:03:56.000 --> 01:03:59.000]  is really impressive, but then some of it, too,
[01:03:59.000 --> 01:04:03.000]  is also, it's so hand-wavy, it's like, are you serious?
[01:04:03.000 --> 01:04:06.000]  It's like, you know, like, I could see,
[01:04:06.000 --> 01:04:10.000]  like, the mom in the video, she got a notice
[01:04:10.000 --> 01:04:12.000]  that her flight was delayed by half an hour,
[01:04:12.000 --> 01:04:13.000]  and it's like, you know what, number one,
[01:04:13.000 --> 01:04:16.000]  nobody ever, your flight is never delayed by half an hour.
[01:04:16.000 --> 01:04:18.000]  Like, if it's half an hour delayed,
[01:04:18.000 --> 01:04:21.000]  you just bored late, they don't give you a warning.
[01:04:21.000 --> 01:04:23.000]  If your flight's delayed, it's like hours.
[01:04:23.000 --> 01:04:26.000]  But I think they wanted to make it like a nice, happy story,
[01:04:26.000 --> 01:04:28.000]  so it's like, oh, your flight's delayed by half an hour.
[01:04:28.000 --> 01:04:30.000]  And so she said, move my dinner reservation
[01:04:30.000 --> 01:04:33.000]  from 7.30 to 8, and it worked.
[01:04:33.000 --> 01:04:34.000]  And I could see that working,
[01:04:34.000 --> 01:04:36.000]  because it's surely through OpenTable,
[01:04:36.000 --> 01:04:40.000]  and I think OpenTable's AVPIs would allow that to work.
[01:04:40.000 --> 01:04:44.000]  But there were other things that they did
[01:04:44.000 --> 01:04:47.000]  that it just seemed like, come on, it's too easy.
[01:04:47.000 --> 01:04:50.000]  You know, I absolutely agree,
[01:04:50.000 --> 01:04:52.000]  and one of the things about this technology
[01:04:52.000 --> 01:04:53.000]  is it really is a parallel interface.
[01:04:53.000 --> 01:04:55.000]  Like, we will still have our tactile interfaces,
[01:04:55.000 --> 01:04:57.000]  but natural language and voice is so powerful
[01:04:57.000 --> 01:04:59.000]  that we'll have these running in parallel,
[01:04:59.000 --> 01:05:02.000]  and we won't really see, it's taken years to evolve,
[01:05:02.000 --> 01:05:04.000]  just a lot of the basic things we now take for granted
[01:05:04.000 --> 01:05:06.000]  on the old mouse interfaces
[01:05:06.000 --> 01:05:08.000]  and now on the gesture-based interfaces,
[01:05:08.000 --> 01:05:09.000]  and it'll take some time to sort of,
[01:05:09.000 --> 01:05:11.000]  like, one of the things I worry about is immediacy.
[01:05:11.000 --> 01:05:13.000]  Like, I forget if it was this demo or the other demo
[01:05:13.000 --> 01:05:15.000]  where it just said, you know, buy movie tickets.
[01:05:15.000 --> 01:05:18.000]  And I'm petrified. Ever since the iMessage changes,
[01:05:18.000 --> 01:05:21.000]  yesterday I shared my location with somebody by accident
[01:05:21.000 --> 01:05:22.000]  because it was instant,
[01:05:22.000 --> 01:05:24.000]  and it wasn't a person that it was a problem for,
[01:05:24.000 --> 01:05:26.000]  but location is highly sensitive information
[01:05:26.000 --> 01:05:27.000]  and me hitting that by accident
[01:05:27.000 --> 01:05:30.000]  and not having sort of a confirmed deny request
[01:05:30.000 --> 01:05:32.000]  in between that was hugely problematic for me.
[01:05:32.000 --> 01:05:34.000]  And the same idea with here, like, just get movie tickets,
[01:05:34.000 --> 01:05:35.000]  just make a reservation,
[01:05:35.000 --> 01:05:37.000]  and I can go back and say, oh, no, don't make them,
[01:05:37.000 --> 01:05:39.000]  but just the, we don't seem to have all the steps
[01:05:39.000 --> 01:05:41.000]  that we have on our traditional interfaces
[01:05:41.000 --> 01:05:42.000]  yet established for this.
[01:05:42.000 --> 01:05:46.000]  Yeah, I know Syracuse had called out the,
[01:05:46.000 --> 01:05:48.000]  well, Get Indian Food, and it was like,
[01:05:48.000 --> 01:05:49.000]  oh, hey, it'll be at your house,
[01:05:49.000 --> 01:05:54.000]  and it's like no confirmation as to what you're ordering
[01:05:54.000 --> 01:05:55.000]  or what restaurant.
[01:05:55.000 --> 01:05:57.000]  It's just, okay, there'll be Indian food
[01:05:57.000 --> 01:06:00.000]  in a bag on your porch by the time you get home,
[01:06:00.000 --> 01:06:01.000]  and it's like, come on.
[01:06:01.000 --> 01:06:03.000]  Oh, yeah, in the back.
[01:06:03.000 --> 01:06:06.000]  It's one of those things that's really hard to do by voice,
[01:06:06.000 --> 01:06:07.000]  and it would have to,
[01:06:07.000 --> 01:06:10.000]  it would necessarily require a lot of back and forth, right?
[01:06:10.000 --> 01:06:13.000]  It should more or less be the same amount of back and forth
[01:06:13.000 --> 01:06:16.000]  that you would have if you actually called the restaurant
[01:06:16.000 --> 01:06:17.000]  and talked to a person.
[01:06:17.000 --> 01:06:19.000]  And you could have a standing,
[01:06:19.000 --> 01:06:20.000]  like you could have gone to the trouble of pre-setting,
[01:06:20.000 --> 01:06:21.000]  like this is my standard order.
[01:06:21.000 --> 01:06:23.000]  If I don't say anything else, this is the order,
[01:06:23.000 --> 01:06:24.000]  but that's a lot of faffing work
[01:06:24.000 --> 01:06:26.000]  that they don't show off in the beginning.
[01:06:26.000 --> 01:06:27.000]  And otherwise, exactly to your point,
[01:06:27.000 --> 01:06:29.000]  there are sometimes when it's faster,
[01:06:29.000 --> 01:06:30.000]  just tap a quick button
[01:06:30.000 --> 01:06:31.000]  because your brain is reading all the information
[01:06:31.000 --> 01:06:34.000]  on a screen and can react to it with fingers and taps
[01:06:34.000 --> 01:06:35.000]  faster than it could
[01:06:35.000 --> 01:06:37.000]  if you'd have a long, involved conversation with something.
[01:06:37.000 --> 01:06:39.000]  Yeah.
[01:06:39.000 --> 01:06:41.000]  I think I'm gonna buy one of these,
[01:06:41.000 --> 01:06:43.000]  but I don't know that I'm going to leave it on.
[01:06:43.000 --> 01:06:44.000]  I don't know.
[01:06:44.000 --> 01:06:46.000]  I've still got the Echo downstairs,
[01:06:46.000 --> 01:06:49.000]  but I might as well mention it
[01:06:49.000 --> 01:06:54.000]  because in light of the...
[01:06:54.000 --> 01:06:55.000]  I just don't see how you can avoid
[01:06:55.000 --> 01:06:57.000]  the privacy implications of this.
[01:06:57.000 --> 01:06:59.000]  And even above and beyond the,
[01:06:59.000 --> 01:07:02.000]  do you trust Amazon with an always-on microphone
[01:07:02.000 --> 01:07:03.000]  in your kitchen?
[01:07:03.000 --> 01:07:05.000]  Do you trust Google with this?
[01:07:05.000 --> 01:07:09.000]  And the answer, obviously, for many, many people is yes.
[01:07:09.000 --> 01:07:11.000]  And is Google learning anything more about you
[01:07:11.000 --> 01:07:12.000]  than it already knows
[01:07:12.000 --> 01:07:16.000]  if you're a heavy Google services user?
[01:07:16.000 --> 01:07:18.000]  But just think about it from a law enforcement angle.
[01:07:18.000 --> 01:07:21.000]  This is like a dream from the FBI.
[01:07:21.000 --> 01:07:23.000]  We're bugging ourselves.
[01:07:23.000 --> 01:07:26.000]  Right, because imagine if you're under investigation
[01:07:26.000 --> 01:07:30.000]  and FBI goes to Google with a warrant and says,
[01:07:30.000 --> 01:07:32.000]  you know, we're investigating this individual,
[01:07:32.000 --> 01:07:37.000]  Rene Ritchie, does he have a Google home?
[01:07:37.000 --> 01:07:40.000]  And if Google is legally compelled to say yes,
[01:07:40.000 --> 01:07:42.000]  then they can issue a warrant that says,
[01:07:42.000 --> 01:07:44.000]  well, we would like to have that microphone
[01:07:44.000 --> 01:07:48.000]  recording everything that, you know,
[01:07:48.000 --> 01:07:50.000]  please send us a 24-hour MP3 file
[01:07:50.000 --> 01:07:53.000]  of everything that gets said every day in this house.
[01:07:53.000 --> 01:07:57.000]  Like, that is something that they could compel Google to do.
[01:07:57.000 --> 01:07:59.000]  It's funny, one of my favorite,
[01:07:59.000 --> 01:08:01.000]  you know, it's not a phenomenal movie,
[01:08:01.000 --> 01:08:03.000]  but there's a movie called Equilibrium,
[01:08:03.000 --> 01:08:04.000]  and they have Christian Bale in it,
[01:08:04.000 --> 01:08:05.000]  and he's a grammaton cleric,
[01:08:05.000 --> 01:08:07.000]  and they want to kill him at the end,
[01:08:07.000 --> 01:08:08.000]  and they say, what's the easiest way
[01:08:08.000 --> 01:08:09.000]  to get your weapon away from you?
[01:08:09.000 --> 01:08:10.000]  And he says, what?
[01:08:10.000 --> 01:08:12.000]  And he says, to ask you for it.
[01:08:12.000 --> 01:08:13.000]  And it's true with passwords.
[01:08:13.000 --> 01:08:14.000]  I mean, any law enforcement will tell you
[01:08:14.000 --> 01:08:15.000]  that often the easiest way to get something
[01:08:15.000 --> 01:08:16.000]  is just to ask it,
[01:08:16.000 --> 01:08:18.000]  because we're happy to do a lot of things to ourselves,
[01:08:18.000 --> 01:08:21.000]  just out of convenience, with no sense of security.
[01:08:21.000 --> 01:08:22.000]  And that was one of the more troubling aspects
[01:08:22.000 --> 01:08:24.000]  of the Google IOT of me,
[01:08:24.000 --> 01:08:26.000]  is that a lot of the things that they're doing
[01:08:26.000 --> 01:08:29.000]  requires me to remove encryption in order to have it done.
[01:08:29.000 --> 01:08:30.000]  Like, they showed off their,
[01:08:30.000 --> 01:08:31.000]  and I know we'll get to it later,
[01:08:31.000 --> 01:08:32.000]  but they showed off their chat app,
[01:08:32.000 --> 01:08:33.000]  and they have an incognito mode,
[01:08:33.000 --> 01:08:35.000]  and only when you go into incognito mode
[01:08:35.000 --> 01:08:37.000]  does it have end-to-end encryption,
[01:08:37.000 --> 01:08:38.000]  and that's because they want to do
[01:08:38.000 --> 01:08:40.000]  a lot of machine-learning bots, you know, inside that.
[01:08:40.000 --> 01:08:42.000]  But that, to me, is dumb.
[01:08:42.000 --> 01:08:43.000]  If I'm talking to you, John,
[01:08:43.000 --> 01:08:45.000]  and then I want to ask a bot something,
[01:08:45.000 --> 01:08:47.000]  I still want that parsed.
[01:08:47.000 --> 01:08:49.000]  I want my communication with you to be end-to-end encrypted.
[01:08:49.000 --> 01:08:50.000]  Then if I address the bot, you know,
[01:08:50.000 --> 01:08:51.000]  turn off the encryption,
[01:08:51.000 --> 01:08:52.000]  if I go back to talking to you,
[01:08:52.000 --> 01:08:54.000]  turn it back on again,
[01:08:54.000 --> 01:08:56.000]  and for the very reasons you mentioned.
[01:08:56.000 --> 01:08:57.000]  Like, I have a personal belief
[01:08:57.000 --> 01:09:00.000]  that our phones are like hard drives for our brains
[01:09:00.000 --> 01:09:02.000]  and that they should be covered with a privilege
[01:09:02.000 --> 01:09:04.000]  that is beyond what spouses or priests
[01:09:04.000 --> 01:09:06.000]  or doctors or anybody enjoys in the law,
[01:09:06.000 --> 01:09:08.000]  that they should just be almost inviolate
[01:09:08.000 --> 01:09:09.000]  and that their data should not be accessible
[01:09:09.000 --> 01:09:11.000]  to law enforcement.
[01:09:11.000 --> 01:09:12.000]  But we don't live in that world,
[01:09:12.000 --> 01:09:14.000]  and the world we're living in now,
[01:09:14.000 --> 01:09:16.000]  we are giving away and leaking so much data
[01:09:16.000 --> 01:09:20.000]  that all of these products are a huge concern.
[01:09:20.000 --> 01:09:22.000]  Uh, yeah, you know,
[01:09:22.000 --> 01:09:25.000]  I think that it's not going to keep people from using it,
[01:09:25.000 --> 01:09:27.000]  and there's also been questions, you know,
[01:09:27.000 --> 01:09:30.000]  now that our phones can listen to us,
[01:09:30.000 --> 01:09:33.000]  is has law enforcement ever tried to compel Apple
[01:09:33.000 --> 01:09:38.000]  or somebody else to turn your iPhone into a bug?
[01:09:38.000 --> 01:09:40.000]  And I don't think that that's ever happened,
[01:09:40.000 --> 01:09:43.000]  and I'm not, you know, but it's obviously a concern
[01:09:43.000 --> 01:09:44.000]  now that we have these devices
[01:09:44.000 --> 01:09:46.000]  that are literally always listening to us.
[01:09:46.000 --> 01:09:47.000]  I mean...
[01:09:47.000 --> 01:09:49.000]  Did you see the Edward Snowden documentary?
[01:09:49.000 --> 01:09:50.000]  No, I haven't seen it.
[01:09:50.000 --> 01:09:51.000]  It's great.
[01:09:51.000 --> 01:09:52.000]  There's a scene in the very beginning,
[01:09:52.000 --> 01:09:53.000]  and they're filming him,
[01:09:53.000 --> 01:09:56.000]  and it's actual film of him doing the first interviews
[01:09:56.000 --> 01:09:58.000]  that led to the articles, I believe, in The Guardian.
[01:09:58.000 --> 01:10:01.000]  And right away, there's an IP phone on the table,
[01:10:01.000 --> 01:10:03.000]  and he unplugs it, takes it apart,
[01:10:03.000 --> 01:10:04.000]  and they're saying, why are you doing that?
[01:10:04.000 --> 01:10:05.000]  And he said, it has a speaker.
[01:10:05.000 --> 01:10:06.000]  And they said, it's not on.
[01:10:06.000 --> 01:10:08.000]  He goes, what do you mean it's not on?
[01:10:08.000 --> 01:10:10.000]  I used to sit on the opposite ends of these things,
[01:10:10.000 --> 01:10:11.000]  and he would put his blanket over his head
[01:10:11.000 --> 01:10:12.000]  to type in his password,
[01:10:12.000 --> 01:10:14.000]  because there were cameras outside of the windows.
[01:10:14.000 --> 01:10:16.000]  And he's like, you don't understand the degree
[01:10:16.000 --> 01:10:18.000]  to which we are doing surveillance on you.
[01:10:18.000 --> 01:10:20.000]  That's creepy.
[01:10:20.000 --> 01:10:22.000]  What's the name of the documentary?
[01:10:22.000 --> 01:10:23.000]  It's chilling.
[01:10:23.000 --> 01:10:25.000]  Citizen 4, Citizen 5, or something like that.
[01:10:25.000 --> 01:10:26.000]  No, I haven't seen it.
[01:10:26.000 --> 01:10:28.000]  I can't really say why,
[01:10:28.000 --> 01:10:30.000]  because it's something I'm interested in,
[01:10:30.000 --> 01:10:31.000]  and I love a good documentary.
[01:10:31.000 --> 01:10:33.000]  It's terrific.
[01:10:33.000 --> 01:10:36.000]  And I know that the feature film is coming out soon
[01:10:36.000 --> 01:10:38.000]  with Edward Norton, right?
[01:10:38.000 --> 01:10:39.000]  Isn't Edward Norton playing?
[01:10:39.000 --> 01:10:41.000]  Sort of a dead ringer.
[01:10:41.000 --> 01:10:42.000]  Yeah.
[01:10:42.000 --> 01:10:44.000]  And all these things go through your mind.
[01:10:44.000 --> 01:10:48.000]  And Apple's taking great pains to take care of security,
[01:10:48.000 --> 01:10:49.000]  and they're building systems
[01:10:49.000 --> 01:10:51.000]  that they themselves cannot get into.
[01:10:51.000 --> 01:10:52.000]  And that's the thing,
[01:10:52.000 --> 01:10:54.000]  is that you might trust Google with your data,
[01:10:54.000 --> 01:10:56.000]  but once someone else has your data,
[01:10:56.000 --> 01:10:58.000]  I'll take responsibility for losing my own data,
[01:10:58.000 --> 01:11:00.000]  but once somebody else has it,
[01:11:00.000 --> 01:11:01.000]  even if they don't do anything bad with it,
[01:11:01.000 --> 01:11:03.000]  they're like employees at that company,
[01:11:03.000 --> 01:11:05.000]  or that company gets exploited
[01:11:05.000 --> 01:11:08.000]  or some place that they're using to store data
[01:11:08.000 --> 01:11:09.000]  gets broken into.
[01:11:09.000 --> 01:11:11.000]  It creates this ability for that information
[01:11:11.000 --> 01:11:13.000]  to get even further out.
[01:11:13.000 --> 01:11:14.000]  It's just one step removed.
[01:11:14.000 --> 01:11:16.000]  It's one step less safe.
[01:11:16.000 --> 01:11:18.000]  We don't think about it,
[01:11:18.000 --> 01:11:20.000]  because convenience is such a good selling point,
[01:11:20.000 --> 01:11:22.000]  but this is super valuable thing.
[01:11:22.000 --> 01:11:23.000]  It's the most valuable thing that we have,
[01:11:23.000 --> 01:11:24.000]  is our information.
[01:11:24.000 --> 01:11:27.000]  And I really worry about a lot of these products
[01:11:27.000 --> 01:11:28.000]  and what they'll turn us into.
[01:11:28.000 --> 01:11:29.000]  Yeah.
[01:11:29.000 --> 01:11:30.000]  So the next thing they did announce,
[01:11:30.000 --> 01:11:31.000]  and you mentioned it,
[01:11:31.000 --> 01:11:32.000]  it's their new chat app.
[01:11:32.000 --> 01:11:36.000]  It's, you know, effectively, it's like they're...
[01:11:36.000 --> 01:11:38.000]  Well, Google has had a lot of chat apps over the years.
[01:11:38.000 --> 01:11:40.000]  So they're starting over with a new one.
[01:11:40.000 --> 01:11:41.000]  It's called Allo.
[01:11:41.000 --> 01:11:44.000]  A-L-L-O.
[01:11:44.000 --> 01:11:46.000]  It's like French for hello.
[01:11:46.000 --> 01:11:48.000]  Obviously.
[01:11:48.000 --> 01:11:50.000]  Allo.
[01:11:50.000 --> 01:11:51.000]  Not a bad name. I like it.
[01:11:51.000 --> 01:11:53.000]  But they've wiped the slate clean.
[01:11:53.000 --> 01:11:55.000]  This is not Google Hangouts.
[01:11:55.000 --> 01:11:57.000]  This is a new thing.
[01:11:57.000 --> 01:11:58.000]  It's a chat app,
[01:11:58.000 --> 01:11:59.000]  so it's sort of a cross between iMessage
[01:11:59.000 --> 01:12:02.000]  and, like, WhatsApp or something like that.
[01:12:02.000 --> 01:12:03.000]  And it's not Spaces,
[01:12:03.000 --> 01:12:05.000]  which they introduced, I think, three days before this one,
[01:12:05.000 --> 01:12:07.000]  which also has chat features.
[01:12:07.000 --> 01:12:11.000]  Yeah, that's curious that they released Spaces before this
[01:12:11.000 --> 01:12:14.000]  and then didn't talk about Spaces in the keynote at all.
[01:12:14.000 --> 01:12:16.000]  I haven't really looked closely at Spaces yet,
[01:12:16.000 --> 01:12:18.000]  but I've heard from a couple people that I should,
[01:12:18.000 --> 01:12:19.000]  because it looks like a really, you know,
[01:12:19.000 --> 01:12:21.000]  seems like a really useful thing.
[01:12:21.000 --> 01:12:22.000]  I just have so much fatigue.
[01:12:22.000 --> 01:12:24.000]  It's like the virtual real estate is free,
[01:12:24.000 --> 01:12:26.000]  so people can build as many things as they want.
[01:12:26.000 --> 01:12:28.000]  But it's almost like if you have a garden
[01:12:28.000 --> 01:12:29.000]  and you're tending it
[01:12:29.000 --> 01:12:30.000]  and somebody gives you another garden
[01:12:30.000 --> 01:12:31.000]  and you've got to tend that
[01:12:31.000 --> 01:12:33.000]  and then another garden and then another garden
[01:12:33.000 --> 01:12:34.000]  and you start forgetting about the first one.
[01:12:34.000 --> 01:12:36.000]  And it feels that way with all these programs.
[01:12:36.000 --> 01:12:38.000]  Like, I still have people contacting me on Hangouts.
[01:12:38.000 --> 01:12:40.000]  No Google Wave anymore, thankfully.
[01:12:40.000 --> 01:12:42.000]  But, you know, there was Google Buzz
[01:12:42.000 --> 01:12:44.000]  and then there's Google Spaces.
[01:12:44.000 --> 01:12:46.000]  And people have expectations once you use that,
[01:12:46.000 --> 01:12:48.000]  if they send you a WhatsApp message or a Snapchat,
[01:12:48.000 --> 01:12:50.000]  that you're going to get back to them.
[01:12:50.000 --> 01:12:51.000]  And there's just more and more proliferation
[01:12:51.000 --> 01:12:52.000]  of all these services,
[01:12:52.000 --> 01:12:54.000]  and it doesn't look like it's slowing down.
[01:12:54.000 --> 01:12:57.000]  Just the demands on our attention are ridiculous.
[01:12:57.000 --> 01:12:58.000]  Yeah.
[01:12:58.000 --> 01:13:00.000]  And people's not doing anything coherent with it.
[01:13:00.000 --> 01:13:01.000]  And I understand it's easier for them
[01:13:01.000 --> 01:13:02.000]  to launch them a separate service,
[01:13:02.000 --> 01:13:04.000]  but it's going back to what we were talking about with Apple.
[01:13:04.000 --> 01:13:06.000]  It's not their job to do things that are easy for them.
[01:13:06.000 --> 01:13:08.000]  It's their job to do things that are better for me.
[01:13:08.000 --> 01:13:10.000]  And my world, maybe burying it all in Slack
[01:13:10.000 --> 01:13:11.000]  would be the best thing.
[01:13:11.000 --> 01:13:13.000]  But, you know, Google could make a product
[01:13:13.000 --> 01:13:15.000]  that is coherent and that produces these features
[01:13:15.000 --> 01:13:17.000]  and gets rid of ones that they don't find as valuable anymore.
[01:13:17.000 --> 01:13:21.000]  That would be better for me as a customer.
[01:13:21.000 --> 01:13:25.000]  The thing about Allo is the privacy thing that you said.
[01:13:25.000 --> 01:13:26.000]  So there's two modes in Allo.
[01:13:26.000 --> 01:13:30.000]  And the default mode includes, like, the, you know,
[01:13:30.000 --> 01:13:34.000]  what's new is that it includes a Google bot interaction.
[01:13:34.000 --> 01:13:37.000]  And so you can, like, at Google and, you know,
[01:13:37.000 --> 01:13:40.000]  in the middle of your chat and get answers to questions
[01:13:40.000 --> 01:13:42.000]  that you could ask Google.
[01:13:42.000 --> 01:13:45.000]  I can imagine that being useful.
[01:13:45.000 --> 01:13:48.000]  But it seems weird that it's the default.
[01:13:48.000 --> 01:13:52.000]  And then they call the other mode incognito mode,
[01:13:52.000 --> 01:13:54.000]  which to me is very problematic.
[01:13:54.000 --> 01:13:57.000]  I really, really don't like using that.
[01:13:57.000 --> 01:14:00.000]  And I know that the term comes from Chrome,
[01:14:00.000 --> 01:14:05.000]  where that's what they call the private mode for your tabs.
[01:14:05.000 --> 01:14:10.000]  And I guess they're, you know, if you want to be,
[01:14:10.000 --> 01:14:12.000]  give them the benefit of the doubt,
[01:14:12.000 --> 01:14:15.000]  that's why they chose the word incognito.
[01:14:15.000 --> 01:14:18.000]  But to me, calling it incognito
[01:14:18.000 --> 01:14:21.000]  puts a slightly negative connotation on it,
[01:14:21.000 --> 01:14:24.000]  that it's, you know, that that's something that you use
[01:14:24.000 --> 01:14:27.000]  for something that you want to keep secret.
[01:14:27.000 --> 01:14:29.000]  Or something where you want to be anonymous
[01:14:29.000 --> 01:14:31.000]  or you want to hide.
[01:14:31.000 --> 01:14:34.000]  And it sort of carries, like, a negative connotation to me.
[01:14:34.000 --> 01:14:36.000]  Whereas the word private,
[01:14:36.000 --> 01:14:38.000]  which is what I think they should call it,
[01:14:38.000 --> 01:14:40.000]  and I think it should be the default,
[01:14:40.000 --> 01:14:42.000]  is, well, of course you want privacy.
[01:14:42.000 --> 01:14:44.000]  You know, who doesn't want privacy?
[01:14:44.000 --> 01:14:46.000]  And, you know, as Christopher,
[01:14:46.000 --> 01:14:48.000]  I'm going to botch his last name.
[01:14:48.000 --> 01:14:51.000]  Soyihan, how do you pronounce his name?
[01:14:51.000 --> 01:14:52.000]  I'm not sure.
[01:14:52.000 --> 01:14:53.000]  Do you know who he is?
[01:14:53.000 --> 01:14:54.000]  No.
[01:14:54.000 --> 01:14:57.000]  He's a privacy advocate,
[01:14:57.000 --> 01:14:59.000]  and he's a super good follower.
[01:14:59.000 --> 01:15:02.000]  I'll put his Twitter in the show notes.
[01:15:02.000 --> 01:15:03.000]  Thank you.
[01:15:03.000 --> 01:15:06.000]  But as he described it yesterday,
[01:15:06.000 --> 01:15:10.000]  the default mode of Allo,
[01:15:10.000 --> 01:15:13.000]  which is encrypted, but it's not end-to-end encrypted.
[01:15:13.000 --> 01:15:16.000]  So the privacy mode and the way iMessage works,
[01:15:16.000 --> 01:15:19.000]  and I think the way WhatsApp works is end-to-end encrypted.
[01:15:19.000 --> 01:15:22.000]  So if I send a message on iMessage to you,
[01:15:22.000 --> 01:15:25.000]  it is encrypted leaving my phone,
[01:15:25.000 --> 01:15:30.000]  and it isn't decrypted until it gets to your phone.
[01:15:30.000 --> 01:15:33.000]  And in between, like, when it's in Apple's hands,
[01:15:33.000 --> 01:15:35.000]  it is in an encrypted state that they can't read.
[01:15:35.000 --> 01:15:37.000]  That's end-to-end encryption.
[01:15:37.000 --> 01:15:40.000]  Apple's really only there to facilitate the, you know,
[01:15:40.000 --> 01:15:44.000]  connecting your Apple ID to your phone.
[01:15:44.000 --> 01:15:47.000]  It's just a route, and it's end-to-end encrypted.
[01:15:47.000 --> 01:15:49.000]  That's, you know, the term is exactly what it sounds like.
[01:15:49.000 --> 01:15:52.000]  And it makes it impervious to person-to-person
[01:15:52.000 --> 01:15:53.000]  in the middle attacks, which is the important thing.
[01:15:53.000 --> 01:15:54.000]  Yes, right.
[01:15:54.000 --> 01:15:58.000]  So if somebody, you know, hacks my, or, you know,
[01:15:58.000 --> 01:16:00.000]  if I'm in Starbucks and I'm using the Wi-Fi
[01:16:00.000 --> 01:16:02.000]  and somebody else, you know, is, you know,
[01:16:02.000 --> 01:16:05.000]  is reading all the stuff that goes through the Wi-Fi router,
[01:16:05.000 --> 01:16:09.000]  all they see is the encrypted version of the message.
[01:16:09.000 --> 01:16:13.000]  The default mode for Allo that includes the Google bot
[01:16:13.000 --> 01:16:17.000]  by definition in order to have this interaction with the Google bot.
[01:16:17.000 --> 01:16:22.000]  It is over HTTPS, but it's encrypted from you to Google server.
[01:16:22.000 --> 01:16:24.000]  Then Google sees what you type,
[01:16:24.000 --> 01:16:28.000]  and then Google encrypts it to send it on to you.
[01:16:28.000 --> 01:16:32.000]  That's, like, exactly how the FBI wants all of these services to work.
[01:16:32.000 --> 01:16:35.000]  That's exactly what the FBI has been pushing for
[01:16:35.000 --> 01:16:37.000]  in this entire argument.
[01:16:37.000 --> 01:16:40.000]  And maybe, you know, not just the FBI here in the U.S.,
[01:16:40.000 --> 01:16:41.000]  but law enforcement, you know,
[01:16:41.000 --> 01:16:44.000]  like-minded law enforcement in Europe and elsewhere.
[01:16:44.000 --> 01:16:47.000]  And I'm certain that the Chinese government
[01:16:47.000 --> 01:16:51.000]  would like to see messaging services work like that, too,
[01:16:51.000 --> 01:16:57.000]  because if it's only secure over the air from me to Google,
[01:16:57.000 --> 01:16:59.000]  and then it's unencrypted on Google's side,
[01:16:59.000 --> 01:17:02.000]  then if Google has served a warrant to say,
[01:17:02.000 --> 01:17:05.000]  let us see these messages, we're really, you know,
[01:17:05.000 --> 01:17:08.000]  we're conducting an investigation between John Gruber and Rene Ritchie.
[01:17:08.000 --> 01:17:12.000]  They're running some kind of scam.
[01:17:12.000 --> 01:17:14.000]  We need to see their messages.
[01:17:14.000 --> 01:17:16.000]  There they are, right?
[01:17:16.000 --> 01:17:19.000]  I mean, I understand why Google's doing it,
[01:17:19.000 --> 01:17:21.000]  because they're all about machine learning,
[01:17:21.000 --> 01:17:23.000]  and the more data you feed that, the better it is.
[01:17:23.000 --> 01:17:25.000]  And they're getting access to what we're typing,
[01:17:25.000 --> 01:17:27.000]  how we're typing it, when we're typing it.
[01:17:27.000 --> 01:17:31.000]  All those discussions, it really feeds, at an enormous scale,
[01:17:31.000 --> 01:17:32.000]  it feeds their machine learning
[01:17:32.000 --> 01:17:34.000]  and their artificial intelligence projects.
