[00:00.000 --> 00:01.000]  So where to start?
[1:08:44.680 --> 1:08:45.680]  upgraded.
[1:08:45.680 --> 1:08:50.200]  I just, I would look at it when I'd podcast and it would just look wrong to me.
[1:08:50.200 --> 1:08:52.960]  And it was a visuals, I think more than anything else that encouraged me to upgrade.
[1:08:52.960 --> 1:08:56.960]  Yeah, I think I over the holiday break, I'm going to upgrade this machine to a dad can't
[1:08:56.960 --> 1:08:59.800]  think of a good reason to keep on around anymore, either.
[1:08:59.800 --> 1:09:04.400]  There's nothing, you know, it's really just out of laziness and the fact that I don't
[1:09:04.400 --> 1:09:07.400]  use this machine for much anymore.
[1:09:07.400 --> 1:09:12.680]  It just happens to be all set up with the, you know, software I used to record the shows.
[1:09:12.680 --> 1:09:17.920]  And so it's sort of like, and if it ain't broke, don't fix it situation.
[1:09:17.920 --> 1:09:21.080]  But it, just staring at it, it just looks ugly.
[1:09:21.080 --> 1:09:25.480]  And I got the retina 5K iMac after the event, I just couldn't un, unsee it.
[1:09:25.480 --> 1:09:31.440]  And you know, that shipped with, I shipped with, you know, somebody, yeah, and I was
[1:09:31.440 --> 1:09:32.440]  just all in.
[1:09:32.440 --> 1:09:33.440]  Yeah.
[1:09:33.440 --> 1:09:39.440]  Um, I've also grown to be completely, I don't, I wouldn't quite say in love, but I'm
[1:09:39.440 --> 1:09:45.360]  completely accustomed to the, the system version of Helvetic and Neuya as the system
[1:09:45.360 --> 1:09:47.360]  fun.
[1:09:47.360 --> 1:09:50.800]  It's, it looks so good on a retina, we were arguing the other day whether it, you would
[1:09:50.800 --> 1:09:54.880]  prefer to have something like San Francisco or the mythical Apple songs if, if they ever
[1:09:54.880 --> 1:09:58.960]  shipped it, but they, they did a really great job of putting Helvetic and Neuya on, on
[1:09:58.960 --> 1:09:59.960]  the Mac.
[1:09:59.960 --> 1:10:02.480]  Do you have any idea whether San Francisco is Apple sand?
[1:10:02.480 --> 1:10:05.320]  I've heard that it isn't, I don't know if that's true or not, because I haven't heard
[1:10:05.320 --> 1:10:08.600]  it from a lot of people, but I heard an offhand comment that it wasn't.
[1:10:08.600 --> 1:10:12.640]  I wouldn't be surprised if it's not, but I have no, no idea, like the little birdies
[1:10:12.640 --> 1:10:16.320]  that told me about Apple sands and the little birdies that told me about San Francisco.
[1:10:16.320 --> 1:10:20.240]  Well, they didn't really tell me about it, they didn't know about it in advance, but, uh,
[1:10:20.240 --> 1:10:25.200]  but that told me that internally they were calling it, didn't vetica, but nobody's told
[1:10:25.200 --> 1:10:28.360]  me whether they're one and the same, and I can't help but think that they're not the
[1:10:28.360 --> 1:10:29.360]  same.
[1:10:29.360 --> 1:10:30.360]  Yeah.
[1:10:30.360 --> 1:10:33.240]  It's almost like reading smoke signals, and it could just mean that this is an optimized
[1:10:33.240 --> 1:10:36.360]  version of Apple sands for the watch, and that's why they're considered different, but
[1:10:36.360 --> 1:10:37.920]  it struck me that they were different.
[1:10:37.920 --> 1:10:38.920]  Yeah.
[1:10:38.920 --> 1:10:43.600]  The thing I've found playing with San Francisco is that it really only looks good, very,
[1:10:43.600 --> 1:10:44.600]  very small.
[1:10:44.600 --> 1:10:45.600]  Yeah.
[1:10:45.600 --> 1:10:50.760]  I mean, and from my hands on time, you know, months ago at the Apple watch event, I thought
[1:10:50.760 --> 1:10:57.200]  it looked fantastic up close, like just really, really look good.
[1:10:57.200 --> 1:11:00.800]  Looking with it on my Mac now that we have the SDK, it doesn't really look good to me
[1:11:00.800 --> 1:11:03.200]  at the sizes that I use fonts on the Mac.
[1:11:03.200 --> 1:11:04.200]  Yeah.
[1:11:04.200 --> 1:11:05.200]  It's not optimized.
[1:11:05.200 --> 1:11:06.200]  Right.
[1:11:06.200 --> 1:11:10.360]  And I tried the, I think I mentioned this a few shows ago, but I tried, there's like a GitHub
[1:11:10.360 --> 1:11:16.160]  thing with a hacked versions of San Francisco that have metadata set that make it look
[1:11:16.160 --> 1:11:18.920]  like they tell the system, it's the system fun.
[1:11:18.920 --> 1:11:23.040]  And if you put them in, I don't recommend anybody try this because it's, you know, hacking
[1:11:23.040 --> 1:11:26.040]  with your system that you're on your own, but more or less what you do is you put these
[1:11:26.040 --> 1:11:27.040]  hacked versions.
[1:11:27.040 --> 1:11:32.640]  And also it's, you know, like a copyright violation in a direct violation of the terms
[1:11:32.640 --> 1:11:37.080]  of the SDK download that you do not allow to diddle with the San Francisco font.
[1:11:37.080 --> 1:11:40.360]  And you're expressly not allowed to use it for anything other than developing watch
[1:11:40.360 --> 1:11:42.120]  kit apps.
[1:11:42.120 --> 1:11:47.320]  But what you could do is go to find this project on GitHub, download these versions of the
[1:11:47.320 --> 1:11:49.400]  fonts, which are different from Apple's versions.
[1:11:49.400 --> 1:11:52.800]  There's some kind of metadata that's set that tells the system, hey, this is the system
[1:11:52.800 --> 1:12:02.480]  fun, you put them in a slash library or, yeah, slash library fonts slash library slash
[1:12:02.480 --> 1:12:10.000]  fonts, and you can't put them in your user fonts file, not, you know, users, your name
[1:12:10.000 --> 1:12:13.840]  library fonts because the system won't look there for system fonts.
[1:12:13.840 --> 1:12:17.920]  The system looks first in slash system library fonts.
[1:12:17.920 --> 1:12:20.720]  And that's your Helvetica system fun is still there.
[1:12:20.720 --> 1:12:23.600]  You're not replacing it, you're not deleting it, you're not renaming it, you're not moving
[1:12:23.600 --> 1:12:24.600]  it.
[1:12:24.600 --> 1:12:28.000]  But then the system will look in slash library fonts, and if it finds another system
[1:12:28.000 --> 1:12:29.840]  font there, we'll use that one instead.
[1:12:29.840 --> 1:12:36.480]  So you just put these font files there, log out, log back in, and you'll semi, you know,
[1:12:36.480 --> 1:12:41.440]  we'll draw as with the system font, it'll use San Francisco.
[1:12:41.440 --> 1:12:44.280]  So I tried it just to see what it was like.
[1:12:44.280 --> 1:12:49.000]  And it's, it doesn't work, it gets, it's not that it doesn't work like it's broken and
[1:12:49.000 --> 1:12:55.520]  you know, it's, you know, a technical failure, just aesthetically, it's just kind of not
[1:12:55.520 --> 1:12:56.520]  right.
[1:12:56.520 --> 1:12:59.760]  Which is interesting, because I didn't think I'd like Helvetica on the Mac as much as I did,
[1:12:59.760 --> 1:13:05.680]  but then after the Apple TV update, which came much after, much after WC, and now I'm seeing
[1:13:05.680 --> 1:13:09.760]  Helvetica on my Apple TV, that is much more, every time I see it, I get a little reaction
[1:13:09.760 --> 1:13:10.760]  to it.
[1:13:10.760 --> 1:13:11.760]  Yeah.
[1:13:11.760 --> 1:13:16.720]  And it feels, it's somehow crazy to me how Apple has made it a font that is available
[1:13:16.720 --> 1:13:20.560]  to everyone anywhere, feel like they own it.
[1:13:20.560 --> 1:13:21.560]  Yeah.
[1:13:21.560 --> 1:13:24.880]  And it just, when they use it, it's, it's such an established font, it's such a classic
[1:13:24.880 --> 1:13:27.480]  unit, it feels so modern in the way they're using it.
[1:13:27.480 --> 1:13:28.640]  Yeah.
[1:13:28.640 --> 1:13:33.480]  But I don't think at San Francisco to me, it's, it's completely designed, I think, for
[1:13:33.480 --> 1:13:38.720]  the watch, and it's meant to be used at watch like sizes, which are physically very, very
[1:13:38.720 --> 1:13:39.720]  small.
[1:13:39.720 --> 1:13:40.720]  Yeah.
[1:13:40.720 --> 1:13:43.560]  Like the biggest you're ever going to see text on your Apple watch is a pretty small
[1:13:43.560 --> 1:13:45.600]  size.
[1:13:45.600 --> 1:13:46.600]  It's sort of in context.
[1:13:46.600 --> 1:13:50.320]  Like I know you've spoken with us on previous shows with the vibrancy, and you know, some
[1:13:50.320 --> 1:13:54.120]  people turn it off, but I've even gotten used to that, I've gotten used to seeing areas
[1:13:54.120 --> 1:13:58.640]  of red or black or things, and it, it just, I don't buy the argument that it brings
[1:13:58.640 --> 1:14:02.840]  a desktop through, but it does sort of, of make the whole system seem more alive.
[1:14:02.840 --> 1:14:03.840]  Yeah.
[1:14:03.840 --> 1:14:07.640]  But I was no doubt that like Syracuse has mentioned several times, there's no doubt that
[1:14:07.640 --> 1:14:11.640]  that's going to get toned down next year and a year after, you know, that they start out
[1:14:11.640 --> 1:14:18.240]  with taking an idea to the maximal level, and then over the years dial it back to where
[1:14:18.240 --> 1:14:19.240]  it should be.
[1:14:19.240 --> 1:14:24.840]  But they, you know, Apple is it as a company tends to err on the side of taking an idea
[1:14:24.840 --> 1:14:27.240]  too far, then taking, not taking it far enough.
[1:14:27.240 --> 1:14:28.240]  Yeah.
[1:14:28.240 --> 1:14:30.840]  And it's also they're very, for a giant company, they have, they have a lot of respect
[1:14:30.840 --> 1:14:34.520]  for the singular designer vision, like the person who designed Yosemite had a lot of ideas
[1:14:34.520 --> 1:14:37.440]  and those ideas, not all of them made it through, but a lot of them did.
[1:14:37.440 --> 1:14:41.040]  And a lot of companies, it would have fallen to design by committee very quickly.
[1:14:41.040 --> 1:14:42.040]  Yeah.
[1:14:42.040 --> 1:14:49.640]  Um, so I think overall Yosemite has been a pretty, pretty strong success.
[1:14:49.640 --> 1:14:50.640]  Yeah.
[1:14:50.640 --> 1:14:51.640]  Agreed completely.
[1:14:51.640 --> 1:14:56.200]  And for all the bugs that iOS 8 had and, you know, hit so many people, I think I, I think
[1:14:56.200 --> 1:15:01.800]  Yosemite has been pretty stable and, and, you know, deserves a pause right from the
[1:15:01.800 --> 1:15:07.000]  get-go for, for being pretty trouble free if you were an early adopter.
[1:15:07.000 --> 1:15:10.680]  They had a couple Wi-Fi patch and Wi-Fi and Bluetooth seemed to be something that just affects
[1:15:10.680 --> 1:15:13.040]  some percentage of people every time.
[1:15:13.040 --> 1:15:16.520]  They had some security things, uh, even today, they've patched it with things yesterday.
[1:15:16.520 --> 1:15:20.000]  They're, they're patching security now faster than they ever done before.
[1:15:20.000 --> 1:15:21.000]  Yeah.
[1:15:21.000 --> 1:15:24.200]  It's, it's really a new age and, in, at least a delivery of max software.
[1:15:24.200 --> 1:15:25.200]  Yeah.
[1:15:25.200 --> 1:15:29.640]  Today, as we record, we're recording on December 23rd and, uh, it might have rolled out,
[1:15:29.640 --> 1:15:34.040]  I think it rolled out last night, at least on US time, but within the 24 hours that we're
[1:15:34.040 --> 1:15:39.440]  recording as, as we speak, there was a bug fix that Apple rolled out that for the first
[1:15:39.440 --> 1:15:46.800]  time ever, they pushed to, uh, at least in Yosemite, I don't know if Mavericks got the push.
[1:15:46.800 --> 1:15:50.320]  But if you're running Yosemite, I got the notification like when I logged in this morning,
[1:15:50.320 --> 1:15:52.960]  it just said a security update was applied.
[1:15:52.960 --> 1:15:53.960]  Yeah.
[1:15:53.960 --> 1:15:54.960]  And that's it.
[1:15:54.960 --> 1:15:59.840]  It's like, you know, and I, you know, it's a lot of pressure for them because if they
[1:15:59.840 --> 1:16:06.320]  ever pushed one of those that did break things, it's, it's, it's going to be, you know,
[1:16:06.320 --> 1:16:07.320]  quite a scandal.
[1:16:07.320 --> 1:16:08.320]  Yeah.
[1:16:08.320 --> 1:16:09.320]  Yeah.
[1:16:09.320 --> 1:16:10.320]  No.
[1:16:10.320 --> 1:16:11.320]  No.
[1:16:11.320 --> 1:16:12.320]  No.
[1:16:12.320 --> 1:16:13.320]  No.
[1:16:13.320 --> 1:16:14.320]  No.
[1:16:14.320 --> 1:16:15.320]  No.
[1:16:15.320 --> 1:16:16.320]  No.
[1:16:16.320 --> 1:16:17.320]  No.
[1:16:17.320 --> 1:16:18.320]  No.
[1:16:18.320 --> 1:16:19.320]  No.
[1:16:19.320 --> 1:16:20.320]  No.
[1:16:20.320 --> 1:16:21.320]  No.
[1:16:21.320 --> 1:16:22.320]  No.
[1:16:22.320 --> 1:16:23.320]  No.
[1:16:23.320 --> 1:16:24.320]  No.
[1:16:24.320 --> 1:16:25.320]  No.
[1:16:25.320 --> 1:16:26.320]  No.
[1:16:26.320 --> 1:16:27.320]  It does seem like they're getting faster.
[1:16:27.320 --> 1:16:31.680]  Um, I can't help but think that with the Bluetooth and Wi-Fi, that it must, it must just be that
[1:16:31.680 --> 1:16:38.320]  the matrix of how many different Wi-Fi chip sets there are in all the supported Macs
[1:16:38.320 --> 1:16:45.320]  that run Yosemite multiplied by all the various chip sets in the Wi-Fi routers out in a real
[1:16:45.320 --> 1:16:53.560]  world is just, it's just a testing nightmare, like, you know, you know, it's almost, we're
[1:16:53.560 --> 1:16:58.320]  almost lucky that it works at all because it just happens over and over and over again.
[1:16:58.320 --> 1:17:01.360]  I just run all Apple stuff and I've never had a Wi-Fi or Bluetooth bomb.
[1:17:01.360 --> 1:17:04.200]  I imagine when you, like you said, if you have every single vendor in there and every single
[1:17:04.200 --> 1:17:07.520]  variant, you're going to, you're going to hit whatever bugs are in both those stocks fairly
[1:17:07.520 --> 1:17:08.520]  often.
[1:17:08.520 --> 1:17:09.520]  Yeah.
[1:17:09.520 --> 1:17:13.800]  I have Apple router downstairs, I think it's the latest, whatever extreme.
[1:17:13.800 --> 1:17:18.960]  I don't know what they call it anymore, but the one that's tall, um, and to have for years
[1:17:18.960 --> 1:17:23.640]  and I've never been hit with those problems either because I'm surely, you know, every
[1:17:23.640 --> 1:17:30.560]  single standard Apple Wi-Fi chip set in a Mac does get tested against Apple zone routers.
[1:17:30.560 --> 1:17:31.560]  Yeah.
[1:17:31.560 --> 1:17:32.560]  I think they're first in line.
[1:17:32.560 --> 1:17:33.720]  Right.
[1:17:33.720 --> 1:17:40.240]  Um, and I think that Max or, I mean, you see bugs with iOS and Wi-Fi too, but I do think
[1:17:40.240 --> 1:17:43.120]  it seems to hit the Mac more and I can't help but think it's because the Mac hardware
[1:17:43.120 --> 1:17:45.800]  is not as unified as, as iOS hardware.
[1:17:45.800 --> 1:17:48.920]  I think iPad Air 2 is the first iPad where we didn't see a bunch of people complaining
[1:17:48.920 --> 1:17:52.120]  about Wi-Fi as soon as it launched.
[1:17:52.120 --> 1:17:53.120]  Yeah.
[1:17:53.120 --> 1:17:58.040]  I get the feeling that like supporting Wi-Fi at the driver level is, you know, sort of
[1:17:58.040 --> 1:18:03.880]  like supporting IMAP when you're writing a mail client, which it meaning that every single
[1:18:03.880 --> 1:18:08.600]  IMAP server has like a different interpretation of the IMAP spec at some level.
[1:18:08.600 --> 1:18:09.600]  Yeah.
[1:18:09.600 --> 1:18:15.320]  Like there's no way to just write a generic IMAP client, every IMAP client that gains
[1:18:15.320 --> 1:18:20.320]  any popularity because it hasn't, you know, it's actually useful effectively as, you
[1:18:20.320 --> 1:18:26.600]  know, it, you know, I'm server by server list of exceptions and stuff like that.
[1:18:26.600 --> 1:18:30.800]  Which was the big complaint about mail and Mavericks, especially with Gmail's eccentric
[1:18:30.800 --> 1:18:34.560]  to use a polite word IMAP implementation and now with Yosemite, you don't hear that very much
[1:18:34.560 --> 1:18:35.560]  anymore either.
[1:18:35.560 --> 1:18:36.560]  No, you don't.
[1:18:36.560 --> 1:18:41.200]  I think it's, I think they've cleaned that up pretty well.
[1:18:41.200 --> 1:18:42.360]  Where are we at in a calendar year?
[1:18:42.360 --> 1:18:46.000]  I think we're heading towards the iPhone 6 and 6 plus event.
[1:18:46.000 --> 1:18:47.560]  Yeah.
[1:18:47.560 --> 1:18:50.280]  Which was also the debut of the watch.
[1:18:50.280 --> 1:18:51.280]  Yeah.
[1:18:51.280 --> 1:18:53.600]  Big and bigger and then small.
[1:18:53.600 --> 1:18:55.080]  Right.
[1:18:55.080 --> 1:18:56.480]  And Apple Pay.
[1:18:56.480 --> 1:18:57.480]  Yeah.
[1:18:57.480 --> 1:19:01.040]  And in the demo area, I mean, they had, the iPhones laid out, they had the, they had
[1:19:01.040 --> 1:19:04.720]  the Apple watch laid out and then they had a whole area where you could go and see
[1:19:04.720 --> 1:19:09.280]  Apple Pay both in the app and at a simulated checkout station.
[1:19:09.280 --> 1:19:10.280]  Yeah.
[1:19:10.280 --> 1:19:17.860]  And I do think that's a good example of how, how difficult this, you know, and broads
[1:19:17.860 --> 1:19:23.320]  broke strokes, how difficult Apple and, you know, anybody else who's in the industry, but
[1:19:23.320 --> 1:19:29.840]  how it's not a month to month year to year game, it's a decade long game, because even
[1:19:29.840 --> 1:19:36.040]  with Apple Pay, you know, it's intertwined with the iPhone 6 because it's the iPhone 6 and
[1:19:36.040 --> 1:19:43.360]  6 plus or the only phones that work with Apple Pay, at least it retail terminals.
[1:19:43.360 --> 1:19:45.920]  And you know, you had to have touch ID first.
[1:19:45.920 --> 1:19:52.320]  So that was a year, that goes back a year ago to the iPhone 5 S. You had to have it and
[1:19:52.320 --> 1:19:54.040]  it had to work really well.
[1:19:54.040 --> 1:19:55.880]  So that starts a year ago.
[1:19:55.880 --> 1:20:01.960]  Now this year, you've got the two new phones that have NFC built in and the rollout in
[1:20:01.960 --> 1:20:09.000]  the retail stores of the terminals, you know, that accept it.
[1:20:09.000 --> 1:20:14.000]  But you're still talking about a service that only works two months in for people who've
[1:20:14.000 --> 1:20:18.320]  bought a brand new top of the line iPhone within the last two months, right?
[1:20:18.320 --> 1:20:24.680]  The real, the real Apple Play is two, three years ago, when 85% of active iPhone users
[1:20:24.680 --> 1:20:28.840]  are using something iPhone 6 or newer.
[1:20:28.840 --> 1:20:33.560]  It shows the patients that Apple has for some things and it shows how, for example, NFC
[1:20:33.560 --> 1:20:36.520]  to a lot of their competitors was just a chipset, they would just throw it in there,
[1:20:36.520 --> 1:20:39.400]  they didn't really care what you did with it, different manufacturers would do different
[1:20:39.400 --> 1:20:40.400]  things.
[1:20:40.400 --> 1:20:43.800]  Where Apple, there's no such thing as a chipset, it's a feature set and they experimented
[1:20:43.800 --> 1:20:47.000]  with NFC, they were prototypes with NFC for years and they just never shipped it because
[1:20:47.000 --> 1:20:49.080]  they didn't have a feature set that needed it.
[1:20:49.080 --> 1:20:54.040]  Not that it was a curiosity and might be a benefit, but actually needed it as a core technology
[1:20:54.040 --> 1:20:55.040]  in the phone.
[1:20:55.040 --> 1:20:57.160]  And when they did, they put NFC in and they shipped it.
[1:20:57.160 --> 1:20:59.240]  And it took until iPhone 6 for that to happen.
[1:20:59.240 --> 1:21:03.360]  But like you said, they had to have past book, they had to have touch ID to have all these
[1:21:03.360 --> 1:21:04.520]  things in place.
[1:21:04.520 --> 1:21:06.800]  And then when it made sense as a product, it gets shipped.
[1:21:06.800 --> 1:21:09.240]  Yeah, I've heard about NFC for iPhone.
[1:21:09.240 --> 1:21:16.080]  I think as far back as 2009, which was the year that the 3GS came out and that,
[1:21:16.080 --> 1:21:20.960]  I'm trying to think when that was, I heard that, I mean, it wouldn't have been right
[1:21:20.960 --> 1:21:26.320]  before, it would have been like seven or eight months before that it was a maybe for the
[1:21:26.320 --> 1:21:31.520]  next iPhone, you know, and clearly, you know, obviously did not happen.
[1:21:31.520 --> 1:21:33.880]  And I, you know, I think ultimately, you know, why not?
[1:21:33.880 --> 1:21:38.960]  And then again, it was a recurring thing, like 2009, maybe 2010, definitely maybe Apple
[1:21:38.960 --> 1:21:42.360]  was very, very interested in NFC.
[1:21:42.360 --> 1:21:45.320]  So that would have been the iPhone 4, you know, wasn't there.
[1:21:45.320 --> 1:21:49.880]  And I think it was always, you know, is that there was no story behind it, right?
[1:21:49.880 --> 1:21:54.680]  There's no, how, how was this actually going to be useful to people in the real world?
[1:21:54.680 --> 1:21:55.680]  Absolutely.
[1:21:55.680 --> 1:21:59.840]  I mean, they would prototype, but Apple prototypes almost anything that you can find a blog
[1:21:59.840 --> 1:22:04.240]  post about that makes even the slightest logical sense, Apple will prototype it.
[1:22:04.240 --> 1:22:07.640]  Like when they say max, make no sense for multi touch, it's not because they're just,
[1:22:07.640 --> 1:22:10.880]  you know, daydreaming or saying it for the sake of saying it is because they built it,
[1:22:10.880 --> 1:22:13.840]  they spent a lot of time trying it and they decided it wasn't an experience they want
[1:22:13.840 --> 1:22:14.840]  to ship.
[1:22:14.840 --> 1:22:17.480]  And it's in one day, maybe it will be in with NFC.
[1:22:17.480 --> 1:22:20.600]  It was in later stage prototypes for different phones and they're trying things and they're,
[1:22:20.600 --> 1:22:21.680]  like you said, no story.
[1:22:21.680 --> 1:22:22.680]  So it didn't ship.
[1:22:22.680 --> 1:22:26.080]  And then as soon as they had a really compelling story, which was Apple pay, that's in
[1:22:26.080 --> 1:22:27.400]  every phone we have now.
[1:22:27.400 --> 1:22:28.400]  Yeah.
[1:22:28.400 --> 1:22:34.320]  So tying it in, you know, the iPhone 6 announcement with this week's news, there's another
[1:22:34.320 --> 1:22:43.440]  rumor that came out of Asia, some analysts that Apple is considering a, a, a new four inch
[1:22:43.440 --> 1:22:45.520]  iPhone for next year.
[1:22:45.520 --> 1:22:46.520]  Did you see that?
[1:22:46.520 --> 1:22:47.520]  Yeah.
[1:22:47.520 --> 1:22:49.560]  I think Mac rumors had it.
[1:22:49.560 --> 1:22:51.920]  I think the name the guy came up with it was totally stupid.
[1:22:51.920 --> 1:22:54.800]  He called it the iPhone 6S mini.
[1:22:54.800 --> 1:22:55.800]  Yeah.
[1:22:55.800 --> 1:22:58.320]  Mitch called me 6S minus.
[1:22:58.320 --> 1:23:01.800]  I think the name would be, clearly it would be that iPhone 6C, right?
[1:23:01.800 --> 1:23:02.800]  Yep.
[1:23:02.800 --> 1:23:08.480]  I think it almost certainly would be the iPhone 6C and if not C, then air maybe.
[1:23:08.480 --> 1:23:13.040]  It's got to be 6S minus 6S and 6S plus.
[1:23:13.040 --> 1:23:14.040]  Use them.
[1:23:14.040 --> 1:23:16.440]  Just ride that math analogy into the ground.
[1:23:16.440 --> 1:23:17.440]  Minus.
[1:23:17.440 --> 1:23:21.000]  And they'd actually spell it out like am I in US?
[1:23:21.000 --> 1:23:24.760]  I think, again, I'm almost, you know, I can't say I'm positive, but I think it's very
[1:23:24.760 --> 1:23:28.600]  likely that Apple is prototyping four inch iPhones because they prototype tons of different
[1:23:28.600 --> 1:23:29.600]  sizes.
[1:23:29.600 --> 1:23:32.000]  What was interesting to me is I heard you say that on a previous show, it might have been
[1:23:32.000 --> 1:23:34.200]  two episodes ago or three episodes ago.
[1:23:34.200 --> 1:23:37.480]  And I was curious, you know, what Android people thought of that because their phones,
[1:23:37.480 --> 1:23:42.680]  I mean, their, their version of the HTC One Mini was I think, you know, five inches or something.
[1:23:42.680 --> 1:23:46.080]  And so I asked them, you know, is there a demand for four inch Android phones and I heard
[1:23:46.080 --> 1:23:50.600]  crickets, people said, no, 4.7 is the smallest we'd ever want.
[1:23:50.600 --> 1:23:52.680]  And to me that, that doesn't mean Apple should make one.
[1:23:52.680 --> 1:23:56.520]  That means there's probably a segment of the market that is totally underserved by the
[1:23:56.520 --> 1:24:01.160]  volume vendors and that there is opportunity for people who are distinguished or have very
[1:24:01.160 --> 1:24:04.680]  specific tastes and would enjoy iOS of that size.
[1:24:04.680 --> 1:24:05.680]  Yeah.
[1:24:05.680 --> 1:24:08.000]  The thing that makes, and this isn't based on this guy's reporting.
[1:24:08.000 --> 1:24:12.160]  This is just my, I close my eyes and think about the way Apple thinks and the way Apple is
[1:24:12.160 --> 1:24:14.320]  acted over the last seven years.
[1:24:14.320 --> 1:24:19.880]  And I think it's probably true, but I also think that calling it the 6C, whether they
[1:24:19.880 --> 1:24:23.640]  call it that or not, tells you exactly what it's going to be, is I think it's going to
[1:24:23.640 --> 1:24:34.800]  be an A8, you know, this year's A8 and a camera like this year's camera.
[1:24:34.800 --> 1:24:38.920]  It's, you know, going to be effectively an iPhone 6 shrunk to four inches.
[1:24:38.920 --> 1:24:45.720]  Whereas the iPhone 6S and 6S plus, if they call them that, will get the A9 and they'll
[1:24:45.720 --> 1:24:52.080]  get a better camera and other, you know, whatever the 2015 technical improvements are.
[1:24:52.080 --> 1:24:57.160]  So that you'll be able to buy a four inch iPhone next year.
[1:24:57.160 --> 1:25:02.480]  And you'll have touch ID and you'll have Apple pay and you'll have an A8 and you'll have
[1:25:02.480 --> 1:25:04.480]  a camera like the one we have today.
[1:25:04.480 --> 1:25:08.880]  But if you want the top of the line, if you want the latest and greatest camera, if
[1:25:08.880 --> 1:25:13.800]  you want the latest and greatest system on a chip, you're still going to have to go 4.7
[1:25:13.800 --> 1:25:14.800]  or 5.5.
[1:25:14.800 --> 1:25:21.520]  Yeah, it makes a lot of sense with the same reasons, like because the iPhone 5C was always
[1:25:21.520 --> 1:25:24.800]  called the cheap iPhone and Apple never makes cheap products, but they wanted to make
[1:25:24.800 --> 1:25:25.800]  a popular iPhone.
[1:25:25.800 --> 1:25:29.040]  They wanted something that was sit on the shelves, not like a blockbuster movie, but like
[1:25:29.040 --> 1:25:31.600]  a TV show that just people could buy any time.
[1:25:31.600 --> 1:25:34.760]  But it also let them shove that down to the bottom of the line much faster.
[1:25:34.760 --> 1:25:36.720]  They wouldn't have to leave an iPhone 5 there.
[1:25:36.720 --> 1:25:41.200]  And the same logic makes sense for an iPhone 6C to be able to move that down the product
[1:25:41.200 --> 1:25:45.560]  line faster and make Apple pay more accessible to more people and to have it in more parts
[1:25:45.560 --> 1:25:46.880]  of their product line up.
[1:25:46.880 --> 1:25:52.920]  Yeah, and I think the other thing that they don't want is that third pricing tier that
[1:25:52.920 --> 1:25:53.920]  starts it.
[1:25:53.920 --> 1:25:54.920]  Because that's the other thing.
[1:25:54.920 --> 1:25:59.520]  If you do want a new four inch phone next year, I do, if I'm right, then it's going to be
[1:25:59.520 --> 1:26:03.720]  the 2014 technical stuff, the A8 and the camera, etc.
[1:26:03.720 --> 1:26:09.000]  The upside will be that you'll save money because I think it'll start at $99 on a contract.
[1:26:09.000 --> 1:26:13.720]  If it's off contract, it'll be $100 less than the six ass.
[1:26:13.720 --> 1:26:19.760]  Yeah, you have 4.7 at the $199 mark, the four inch just based on human behavior has to be
[1:26:19.760 --> 1:26:20.760]  cheaper.
[1:26:20.760 --> 1:26:26.000]  Yeah, the thing that I think they wanted to get away from is having that $99 tier.
[1:26:26.000 --> 1:26:32.280]  And I'm speaking in the subsidized terms, but the $99 tier look virtually identical
[1:26:32.280 --> 1:26:35.400]  to the $199 tier, right?
[1:26:35.400 --> 1:26:43.800]  That's what the five C did is they, you know, it had exactly the same tech specs almost
[1:26:43.800 --> 1:26:48.440]  to a T as the iPhone 5, but it looked different.
[1:26:48.440 --> 1:26:50.920]  And some people, you know, obviously some people thought it looked better.
[1:26:50.920 --> 1:26:54.760]  I know people who bought it because they wanted a colorful phone, but it's still, even
[1:26:54.760 --> 1:26:59.440]  if that's the case, then, you know, good for you, you saved $100.
[1:26:59.440 --> 1:27:06.480]  But I don't think Apple liked it, where up until the five C was introduced, the $99 option
[1:27:06.480 --> 1:27:11.160]  looked, or nearly identical, you know, there were obviously some certain tells that you
[1:27:11.160 --> 1:27:16.040]  could tell an iPhone 4 from a 4S, you know, the antenna bands where it's certainly different,
[1:27:16.040 --> 1:27:18.280]  it's slightly different points.
[1:27:18.280 --> 1:27:24.400]  And earlier, when they first started keeping the old phone around the 3G and the 3GS, you
[1:27:24.400 --> 1:27:29.000]  could tell them apart because the word iPhone on the back was written, yes, shiny letters
[1:27:29.000 --> 1:27:30.600]  instead of flat letters.
[1:27:30.600 --> 1:27:32.120]  Well, people want to show they have the new one, right?
[1:27:32.120 --> 1:27:34.200]  It's part of the esteem of having the new iPhone.
[1:27:34.200 --> 1:27:35.200]  Right.
[1:27:35.200 --> 1:27:39.800]  No, I totally think so, you know, and it's, and Apple wants to enable that.
[1:27:39.800 --> 1:27:46.840]  So that's why I think that, you know, I don't know if, I don't know if an iPhone 6C would
[1:27:46.840 --> 1:27:52.760]  be plastic, like the 5C, like I wouldn't be surprised if it's metal or it ended, you
[1:27:52.760 --> 1:27:55.800]  know, with rounded corners, like the 6S and 6 Plus.
[1:27:55.800 --> 1:27:59.640]  But just the size of it would tell you that it's, you know, the lesser model.
[1:27:59.640 --> 1:28:04.080]  Yeah, it was funny with the iPhone 5, even though Apple rebuilt it from the atoms on up,
