[00:00.000 --> 00:02.000]  You sound wonderful. Do you have a new microphone?
[51:32.020 --> 51:36.980]  It gets back to like my complaint about 3d touch not being integrated because it wasn't there from the beginning
[51:36.980 --> 51:40.960]  I find that the multitasking in iOS still isn't quite
[51:40.960 --> 51:47.220]  it's not quite seamless because it wasn't there from the beginning and the fact that every app doesn't support it and it's
[51:47.440 --> 51:52.500]  Impossible to predict which apps are going to or not and finding the apps in that right picker
[51:52.500 --> 51:58.080]  I don't think I've ever used that picker. Honestly, I opened it once and I was just like no then well, then how how do you?
[51:58.080 --> 52:05.880]  Do multitasking if you don't use the command tab, so I I always have my my iPad connected to that create keyboard
[52:05.880 --> 52:11.920]  so the all the ways that I switch is just constant command tab command cab command tab and I'll open one app and then I'll
[52:11.920 --> 52:17.140]  Split-screen it and then I'll just command tab until I find the right the right apps for it to put in the other
[52:18.200 --> 52:20.600]  Exactly exactly and it's still you know, it's not
[52:21.320 --> 52:26.880]  Perfect because there as you said it's it's something that was essentially developed what last year
[52:26.880 --> 52:30.600]  um, and it's missing things like drag-and-drop which would be
[52:31.240 --> 52:34.680]  Crucial between one pain to the other pain and which it just does not have
[52:34.680 --> 52:42.320]  For sandbox reasons and probably just development reasons and there's a I made a whole laundry list of you know
[52:42.360 --> 52:49.760]  potential features that the that the next generation of iOS for for iPad is currently lacking that people who are using it for
[52:49.920 --> 52:51.480]  professional uses
[52:51.480 --> 52:53.480]  desperately want
[52:53.480 --> 52:57.400]  But but that's you know, if you want to use the iPad as a professional machine
[52:57.960 --> 53:00.700]  You basically have to attach a keyboard to it right now
[53:00.700 --> 53:07.780]  And you can use you know, it's it's nice. The touchscreen is nice because then you can turn it into something else
[53:07.980 --> 53:13.300]  like what I really liked about the 12-inch 12.9 inches that I can take it with the keyboard and I can write up a
[53:13.300 --> 53:17.820]  Storm and I can do professional work and then just as easily I collapse it
[53:17.820 --> 53:22.260]  you know on top of the keyboard and it's just a screen and I can use that in the pencil and
[53:22.700 --> 53:25.420]  Very quickly like edit dust out of photos
[53:26.180 --> 53:29.460]  for for like I'm more hero shots or you know, I went on a
[53:29.460 --> 53:30.580]  I
[53:30.580 --> 53:35.500]  Helped some friends take some engagement photos and I was using one of the adapters
[53:35.500 --> 53:41.820]  I just pulled out the SD card and I all I uploaded them all on to my my iPad and we were able to basically go
[53:41.820 --> 53:45.820]  Through them on that 12.9 inch screen with like with a couple behind me
[53:46.020 --> 53:52.900]  Immediately pick out the favorites and then send all of those to Lightroom so that I could you know properly batch and color correct them
[53:52.900 --> 54:00.340]  And that took, you know, probably 15 minutes where on a on a Mac it probably like it's not it's not that the workflow would have
[54:00.340 --> 54:06.260]  Been it's like dramatically more difficult, but it's just it's it's taking out some of the steps
[54:06.780 --> 54:08.340]  And it's a little bit easier
[54:08.340 --> 54:08.940]  You know
[54:08.940 --> 54:14.260]  It's easier to view an iPad and pass it between people than it is to like pick up a laptop and hand it
[54:14.420 --> 54:19.020]  it's just it's it's slightly slightly different use cases and
[54:19.020 --> 54:22.380]  And again, it's not that one is better than the other
[54:22.900 --> 54:27.740]  Like overall, I think they're both great machines, especially when you talk about portability
[54:28.260 --> 54:33.740]  But if you're doing certain certain tasks and especially if you're variating tasks, you know
[54:33.740 --> 54:40.920]  You don't just use your laptop for writing you want to edit photos or you want to draw that's when the you know
[54:40.920 --> 54:49.380]  The flexibility of having an iPad with the keyboard that also just turns into an iPad when you need it is really something special. Mm-hmm
[54:49.980 --> 54:51.980]  I
[54:51.980 --> 54:58.700]  I find that the like one of the things that slows me down the most and there's just I don't know if there's if it's
[54:58.700 --> 55:06.340]  Ever gonna be good enough is the ability to precisely select ranges of text like and I don't know. Maybe it's I
[55:06.340 --> 55:09.820]  I I because I do so much of it
[55:09.820 --> 55:10.180]  it's
[55:10.180 --> 55:16.900]  It's and I've done it for years like I'm really really really fast on a Mac at taking my mouse or a trackpad if I'm
[55:16.900 --> 55:18.700]  on a MacBook and
[55:18.700 --> 55:24.220]  Selecting exactly the range of text that I want copying command tabbing to the other app and pasting it where I want it to go
[55:24.220 --> 55:30.500]  And I find that like that to me is one of those things that always feels like I'm pedaling uphill on an iPad
[55:31.380 --> 55:33.220]  It's awful. Yeah
[55:33.220 --> 55:39.300]  It's definitely better with a keyboard all of the the keyboard, you know text selection shortcuts work
[55:39.300 --> 55:40.740]  So I basically just you know
[55:40.740 --> 55:46.780]  I'll do like command control and use the arrow keys and command shift and just you know select everything I need that way
[55:47.340 --> 55:49.080]  And that and like command C
[55:49.080 --> 55:54.600]  Like all of the all of the shortcuts that I normally and I've pretty much moved entirely away from mouse based
[55:54.820 --> 56:00.620]  Text selection once I once I figured out the right like set of keyboard commands to use
[56:00.620 --> 56:05.500]  the only place where this bites me in the ass in in iOS and it's one of the things that
[56:05.660 --> 56:08.740]  You mentioned it earlier where like some apps don't support split view
[56:08.740 --> 56:13.820]  Well, some apps don't support, you know simple things like keyboard shortcuts
[56:13.820 --> 56:18.160]  Yeah, um, and I'm not calling out anybody here Google. Um
[56:18.980 --> 56:20.980]  have have basically a
[56:21.260 --> 56:26.880]  hate hate affair with the iPad right now where things like for instance in Google Docs an
[56:26.880 --> 56:34.520]  M dash doesn't work you try and do the keyboard command for an M dash and it just won't it just doesn't exist and
[56:34.880 --> 56:39.400]  And it's just like things like that or being able to select text just doesn't exist
[56:39.880 --> 56:44.440]  How I mean, how do you even break something like that? Maybe they have like a command tied to it
[56:44.440 --> 56:50.940]  I remember when the first version of text mate came out and as a longtime BB edit user the appeal of it escaped me
[56:50.940 --> 56:56.360]  But I also kept an open mind and I thought well I can see why people don't like BB edit even though I love it
[56:56.360 --> 57:02.160]  And therefore if they don't like BB at maybe this is the glass of ice water and hell that they've been waiting for
[57:02.480 --> 57:07.880]  But there were so many weird things in the first version of text mate including the fact that there was a menu command
[57:08.120 --> 57:11.440]  That was tied to just option P
[57:11.920 --> 57:17.140]  Just like it was some kind of like print setup or I don't know but some command in the app
[57:17.360 --> 57:21.480]  You had to type option P and I thought well wait how that how in the world?
[57:22.360 --> 57:24.280]  Instantly as a longtime Mac user I thought well
[57:24.280 --> 57:27.440]  How would you type the pie character and the answer was now you can't?
[57:28.920 --> 57:33.220]  And it just was that like the guy who made the app didn't know that you know
[57:33.220 --> 57:37.560]  Did you that option plus a character who's not for menu commands?
[57:37.560 --> 57:44.820]  It was really reserved for typing extended characters because he was relatively new to the Mac. It would just didn't occur to him
[57:45.800 --> 57:49.560]  Like you should never not be able to type in em to know
[57:49.560 --> 57:54.880]  And it makes you feel it makes you feel stupid and then it makes you
[57:55.440 --> 57:59.840]  Question is the keyboard broken and finally you get to the point where you're like oh
[58:00.520 --> 58:06.880]  Google just didn't build a good fucking app. You know what I'm wearing cuz I'm very angry about this. I'll give an example
[58:06.880 --> 58:11.240]  Here's an example on the iPad Pro of an app that I love I would I and I you know
[58:11.240 --> 58:14.540]  There's a rant in me holding it up. I love tweet bot for iOS
[58:14.540 --> 58:18.360]  I consider tweet bot for iOS to be my favorite iOS app
[58:18.360 --> 58:21.800]  period like by Apple or from anybody else
[58:24.560 --> 58:32.160]  But that's primarily based on my interaction with it on the phone and I find that their iPad version is not it's good
[58:32.160 --> 58:37.580]  It still is the it's the iPad Twitter app that I use but I there's little things about it that I don't like as much
[58:38.920 --> 58:41.280]  The embeds are so big. That's my problem
[58:41.280 --> 58:47.640]  Well my entire screen my thing is that I don't know what to do with that right hand column when you have it in portrait
[58:47.640 --> 58:49.080]  or not
[58:49.080 --> 58:55.100]  Landscape and I have it and and using the iPad in the keyboard. It has to be in landscape
[58:56.320 --> 59:01.720]  But the other little thing that they don't do and again, you know, I'm complaining about an app that I love
[59:02.160 --> 59:05.200]  But it doesn't it's not hooked up to the spacebar in any way
[59:06.000 --> 59:11.160]  In terms of like just scroll down. So you can't yeah, you can't just you have to put your finger on the screen
[59:11.160 --> 59:18.920]  which sort of defeats the the comfort of using the iPad in a laptop configuration with the with a any keyboard in
[59:20.760 --> 59:27.080]  One of my complaints with the iPad pro 12 inch or in 12.9 inch back in September was that using this
[59:27.480 --> 59:33.040]  Spacebar to scroll was messed up in so many apps like Safari scrolled by very strange
[59:33.840 --> 59:38.520]  Page in a quarter. Yeah, I would skip like two paragraphs every time you try this
[59:38.520 --> 59:45.160]  Yeah, so like and scrolling too much is way worse than scrolling too little because at least if it's scrolling too little you could you just
[59:45.160 --> 59:50.520]  Have to hit space too many times where if it scrolls more than a screen you've actually missed text and it defeats the purpose
[59:51.720 --> 59:57.320]  Apple commendably has actually done a lot of work and one of my biggest things that I would sing the praises of
[59:57.520 --> 01:00:02.120]  Using the iPad Pro and that this applies to both iPad pros at this point, but it's because it's an iOS
[01:00:02.400 --> 01:00:04.720]  9.3 thing but the spacebar
[01:00:04.720 --> 01:00:10.320]  Does what I mean in way more cases including especially in Safari?
[01:00:10.320 --> 01:00:15.920]  so you open up Safari and even if you're at a weird scaling factor because it's not like an iPad optimized thing you hit space and
[01:00:16.040 --> 01:00:18.040]  It scrolls by a sensible amount
[01:00:18.440 --> 01:00:21.840]  Almost almost every time I can't remember, you know in the week weeks
[01:00:21.840 --> 01:00:25.320]  I've been using this like I can only remember a handful of cases where it didn't work
[01:00:26.440 --> 01:00:30.280]  Another thing they do that's great is and I think it's new 99% sure
[01:00:30.280 --> 01:00:35.100]  It's new is that when you're using mail the up and down arrows always go to the next and previous message
[01:00:35.120 --> 01:00:38.380]  So you can do I find myself able to like
[01:00:38.900 --> 01:00:45.000]  Triage my inbox and just go through all of my unread emails from the day on the iPad with the keyboard
[01:00:45.200 --> 01:00:48.360]  Way way better than I could before iOS 9.3
[01:00:48.840 --> 01:00:53.000]  Simply for the fact that I can just use the up and down arrows to go between messages
[01:00:53.000 --> 01:00:57.840]  Yeah, you can use the delete key to get rid of them. So it's really nice big big improvement
[01:00:57.840 --> 01:01:02.560]  But the fact that tweetbot doesn't really do anything with the keyboard really kind of not
[01:01:02.560 --> 01:01:04.760]  I'm not gonna say it's useless because that's that's hyperbole
[01:01:04.760 --> 01:01:10.040]  But if I want to do Twitter on the iPad Pro, I I find that I need to take it off the keyboard
[01:01:10.760 --> 01:01:15.300]  Yeah, I usually I almost never run tweetbot full screen
[01:01:15.300 --> 01:01:20.000]  I'll usually run it in like 70 30 where it's the 30 little bit and then I'll have my
[01:01:20.040 --> 01:01:25.720]  My thumb and like the bottom right corner of wherever the the iPad is like propped up
[01:01:25.720 --> 01:01:32.040]  So I'll just scroll really little bit that but it's it's a it's a problem and for me for something like tweetbot
[01:01:32.040 --> 01:01:35.360]  I read it bottom-up. Like I won't read from like most recent
[01:01:35.360 --> 01:01:38.940]  I still am sort of a timeline completionist because I apparently hate myself
[01:01:41.120 --> 01:01:45.540]  So it's like I need a river I just need arrow keys like the spacebar would be bad for me
[01:01:46.160 --> 01:01:47.760]  But but there are apps like that
[01:01:47.760 --> 01:01:52.400]  There are apps where it's half finished and and that's I think key to a lot of folks
[01:01:52.400 --> 01:01:56.040]  I pad as a work machine complaints and
[01:01:56.480 --> 01:02:01.440]  honestly was my complaint until very recently when I went like when the pencil came out my
[01:02:02.000 --> 01:02:05.600]  my perception of pro of iPad had to change because
[01:02:06.040 --> 01:02:12.240]  The pencil is basically what I'd been asking for since 2010 as like this is an amazing drawing device
[01:02:12.240 --> 01:02:17.760]  And even if it sucks at everything else, I am going to carry it around because it's an amazing drawing device
[01:02:17.760 --> 01:02:22.880]  So if I have to carry it around and at this time the twelve point nine inch was the only model if I have to
[01:02:22.880 --> 01:02:27.020]  Carry it around. Well, I might it let I might as well at least figure out what else I can do with it
[01:02:27.640 --> 01:02:28.640]  and
[01:02:28.640 --> 01:02:30.320]  Turns out I can do quite a lot
[01:02:30.320 --> 01:02:35.420]  But when I was coming to the iPad in pre in prior versions like even the iPad air 2
[01:02:35.420 --> 01:02:41.760]  I was so excited about it for about a week and then it went into like my bookshelf of iOS
[01:02:41.760 --> 01:02:44.880]  Devices and then I never touched it because I just I hadn't found
[01:02:44.880 --> 01:02:47.920]  Found anything that the iPad was really good for
[01:02:49.120 --> 01:02:51.660]  Where it's like it's it's great for reading
[01:02:52.520 --> 01:02:58.360]  But because I had at the time, you know, I had I had switched to an iPhone
[01:02:59.080 --> 01:03:03.800]  6-plus just to try it and this have since gone back to the 6s
[01:03:04.280 --> 01:03:07.000]  but with a with a screen that big I
[01:03:07.400 --> 01:03:12.640]  I was so lazy about getting off the iPhone and reading on a device that was better for me
[01:03:12.640 --> 01:03:16.860]  Despite the fact that the the iPad has a much a much nicer screen
[01:03:17.520 --> 01:03:24.760]  and is much more comfortable honestly in the hand to read than trying to like prop up the iPhone with your pinky because it's just
[01:03:24.760 --> 01:03:30.480]  Small enough that you think that you can balance it like that while you read. I was just I was being lazy about it
[01:03:30.480 --> 01:03:36.960]  I was I was blowing off the iPad for that and just because when I would try and do something professionally
[01:03:36.960 --> 01:03:43.760]  Like when I try and prep an article with earlier versions of iOS and get to the point where I couldn't upload
[01:03:44.320 --> 01:03:50.700]  Thumbnails like I couldn't I couldn't upload a video or a photo because the upload file button in Safari didn't work
[01:03:50.700 --> 01:03:54.920]  I would just throw up my hands and be like, well, you know F this this is stupid
[01:03:54.920 --> 01:03:57.360]  This is this is not worth my time again
[01:03:57.360 --> 01:04:00.360]  It feels like you're using chopsticks instead of your fingers exactly
[01:04:00.760 --> 01:04:05.280]  Except sometimes when it's something like you that you can't even get to the file upload thing from Safari
[01:04:05.280 --> 01:04:07.120]  it's like
[01:04:07.120 --> 01:04:10.920]  Like using a Lego robot to control chopsticks from across the room
[01:04:11.400 --> 01:04:15.120]  Yeah, and it's like, you know, I'm just it'd be easier for me to just go upstairs to my Mac
[01:04:15.120 --> 01:04:17.920]  it would actually be easier to get up from where I am and
[01:04:18.520 --> 01:04:23.840]  To not be lazy or even if you're not home like to just it would be easier for me to go home
[01:04:24.480 --> 01:04:26.160]  And get on a Mac and do this
[01:04:26.160 --> 01:04:26.680]  Yeah
[01:04:26.680 --> 01:04:27.960]  and and since then
[01:04:27.960 --> 01:04:34.440]  You know iOS 9 has a has a file picker built in and iCloud Drive and workflow both make it so much easier to deal
[01:04:34.440 --> 01:04:37.280]  With files on on iOS then, you know
[01:04:37.280 --> 01:04:43.600]  It actually it feels like a normal file system if when you when you set it up to your liking which is really nice
[01:04:43.600 --> 01:04:50.680]  but but I feel like so many people have had those bad experiences where they go in and they try and do something on iOS and
[01:04:50.680 --> 01:04:56.760]  It just does not work full stop that they've given up or they or they see something not work and they're just like well
[01:04:56.760 --> 01:05:01.880]  That's never gonna get fixed. And why would I even try I don't even like the iPad that much
[01:05:01.880 --> 01:05:08.000]  so I get I get the hesitation and I and that's honestly why I'm really
[01:05:08.360 --> 01:05:14.080]  Excited for the 9.7 inch iPad Pro, you know as somebody I'm going to use the 12.9
[01:05:14.120 --> 01:05:21.680]  at least until I get a MacBook I knew a new Mac laptop if I get a new Mac laptop because it's it's comfortable and it
[01:05:21.920 --> 01:05:25.220]  Mostly does what I need like 90% of my job
[01:05:25.220 --> 01:05:30.200]  I can do on an iPad Pro and I can do it in such a way that it doesn't make me feel like I'm tearing
[01:05:30.200 --> 01:05:34.680]  My hair out where it's actually enjoyable and in some cases better than on my Mac
[01:05:35.120 --> 01:05:42.240]  But for the vast majority of people they're either not gonna have the time to give that a try or they're just not going to
[01:05:42.240 --> 01:05:47.080]  Be interested in giving that a try and the 9.7 inch both in cost and form factor
[01:05:47.080 --> 01:05:52.640]  I think is a lot easier sell of a here's a way to get into iPad and to mess around with iPad
[01:05:53.000 --> 01:05:59.360]  without having to make the commitment of this is going to be your only device and you're gonna carry around or you're gonna carry around
[01:05:59.360 --> 01:06:02.360]  A three pound iPad and keyboard along with a Mac
[01:06:02.720 --> 01:06:07.620]  The the iPad Pro the baby at the baby Pro as I've been calling it
[01:06:07.980 --> 01:06:13.160]  With one of like Apple's smart keyboards and and like a back cover
[01:06:13.920 --> 01:06:16.800]  Doesn't weigh that what it weighs like two two point three
[01:06:17.960 --> 01:06:19.880]  maybe if that
[01:06:19.880 --> 01:06:24.000]  I've got my hand right now with yeah with the keyboard cover on and I don't know what it weighs
[01:06:24.000 --> 01:06:29.840]  But it it it if you think of it just as an iPad it feels like this is a very heavy cover. Yeah
[01:06:29.840 --> 01:06:34.400]  And if I could take the cover off and just hold the iPad, it's like wow that cover really weighs it down
[01:06:34.400 --> 01:06:37.760]  But if I think of it as as a portable computer, you could take around that
[01:06:37.760 --> 01:06:42.920]  I remember what it used to be like to tell ya, you know, even the earlier errors, you know, it's like wow
[01:06:42.920 --> 01:06:49.900]  This is absolutely amazing in comparison. Yeah, it's it's it's like you're I was holding the 9.7 inch outside
[01:06:49.900 --> 01:06:56.120]  Because I was trying out the two-tone display drawing outside and we had a pretty gusty day
[01:06:56.120 --> 01:07:01.380]  And the thing almost blew out of my hands because it's just it's so light and because it's flat like that
[01:07:01.380 --> 01:07:06.460]  You get it the wrong way. Um, it's a really nice, you know, it's a nice shape to hold
[01:07:06.460 --> 01:07:10.020]  It feels really great and you pair it with the pencil like the thing
[01:07:10.020 --> 01:07:17.360]  I'm really I'm most excited about is getting this into the hands of like kids and teenagers who are interested in drawing
[01:07:17.360 --> 01:07:25.120]  Who are interested in you know doing more unconventional things with a computer than you might do traditionally with a Mac?
[01:07:25.720 --> 01:07:30.440]  There's an there like I've been testing drawing apps. I've been testing handwriting apps and things like that
[01:07:30.440 --> 01:07:36.700]  Um, there's an app that allows you to make your your own fonts. Oh, I saw your article about this
[01:07:36.920 --> 01:07:39.400]  This is this was like blew my mind
[01:07:40.000 --> 01:07:41.200]  Because I you know
[01:07:41.200 --> 01:07:46.120]  I I used to date somebody who was a who was a professional typographer and like built fonts
[01:07:46.120 --> 01:07:48.120]  and I would watch him for like
[01:07:48.920 --> 01:07:55.160]  Hours and hours while he would like perfect kerning and and change drawing paths and with the pencil
[01:07:55.200 --> 01:08:01.160]  Not only is it really easy to just sketch out like your your initial set of characters in this app
[01:08:01.320 --> 01:08:05.520]  But it has all of the all of the kerning features and all of the path
[01:08:05.560 --> 01:08:10.240]  You know adjustments that the professional version of like fontographer would have
[01:08:10.240 --> 01:08:16.800]  And it and you can upload it directly to the system with a profile so you can literally
[01:08:16.800 --> 01:08:22.800]  You know make make your own font and then install it immediately on iOS and use it in a project like pages
[01:08:23.080 --> 01:08:28.560]  Which is just it's like that kind of very specific niche thing
[01:08:28.560 --> 01:08:30.560]  I feel like is going to make
[01:08:30.640 --> 01:08:34.880]  Typographers sing for joy because you can you can start this and then you could bring it somewhere else, right?
[01:08:34.880 --> 01:08:42.120]  You could work you could start a font you have a stroke of an inspiration and you can start a font on your on your iPad
[01:08:42.120 --> 01:08:47.240]  Whether it's at nine point seven or a twelve point nine and then bring it to your Mac and work on it more
[01:08:48.440 --> 01:08:51.000]  It just I see so many
[01:08:51.720 --> 01:08:54.880]  So many kids like if I had had a device like this as a kid
[01:08:55.040 --> 01:09:02.520]  like my Wacom is probably the best the the most comparable thing and even that was so so like light years behind what this is
[01:09:02.520 --> 01:09:10.440]  that it's it's it's so much potential and the the price and the size and the fact that it works with the pencil just I
[01:09:10.440 --> 01:09:11.720]  feel like
[01:09:11.720 --> 01:09:19.240]  Poises the potential for for huge huge growth in that sector assuming that people will buy into it
[01:09:19.880 --> 01:09:21.480]  I'm wondering
[01:09:21.480 --> 01:09:27.360]  Because one thing about it is that if you get the whole rig with meaning, let's say the the mid mid capacity one
[01:09:27.360 --> 01:09:34.720]  Mm-hmm 749 and then you want the cellular it goes up to I think that's eight eight forty nine an extra
[01:09:35.040 --> 01:09:37.040]  129 one six one
[01:09:38.480 --> 01:09:44.520]  So it's an extra hundred at least a hundred bucks 120 bucks the keyboards 150 bucks and the pencils 100 bucks
[01:09:44.520 --> 01:09:51.480]  So overall you're looking at even just for the 128 one. You're looking at at least like $1,100
[01:09:51.480 --> 01:09:58.200]  Yes, and it's a it's pretty expensive if you want to try and outfit it now, there's all sorts of those things that aren't necessarily
[01:10:00.120 --> 01:10:02.200]  Required you don't have to get the cellular one
[01:10:02.200 --> 01:10:09.200]  You don't know you could get you know, thankfully the mid the the entry level is 32 gigs. Not 16 gigs and and
[01:10:09.840 --> 01:10:12.480]  decently priced right I think if you
[01:10:13.000 --> 01:10:18.600]  Know that you're never going to draw you could I think most I I think you can skip the pencil
[01:10:18.600 --> 01:10:20.600]  I think if you you know
[01:10:20.600 --> 01:10:23.720]  There might be some handwriting type things that you could do with it
[01:10:23.720 --> 01:10:25.560]  But I think as a general rule if you know
[01:10:25.560 --> 01:10:30.400]  You don't draw then I think it's easy to know not to get the pencil or if you're not planning
[01:10:30.440 --> 01:10:34.100]  The other thing that I think the pencil does really well is precision editing
[01:10:34.280 --> 01:10:40.400]  so if you're if you're a photographer or if you're anybody who's doing any kind of film work or
[01:10:41.160 --> 01:10:44.560]  Editing work audio work. This is can be really really hit
[01:10:44.560 --> 01:10:47.440]  It's like it's imagine the most precise mouse that you can
[01:10:47.440 --> 01:10:53.840]  And that's really cool. But yes, if you don't if you're not doing those things then absolutely. Yeah, and my you know
[01:10:54.680 --> 01:11:00.760]  Very small sample survey of asking my wife, you know, who is it? Very she loves her iPad
[01:11:00.760 --> 01:11:03.280]  Her iPad is her portable computer. She has an iPad air
[01:11:03.800 --> 01:11:10.580]  One, I guess so she's due for an upgrade. I mean she uses it. I mean just hours every day
[01:11:12.080 --> 01:11:14.920]  And so, you know, this is perfect for her the 9.7
[01:11:14.920 --> 01:11:18.320]  I was like, do you think do you want the keyboard and she's like no way because she's still
[01:11:18.800 --> 01:11:24.700]  You know, she'll peck out text messages on the on-screen keyboard, but she doesn't want a heavier cover. She wants the light cover
[01:11:25.320 --> 01:11:29.640]  And she still used to use her Mac for if she really has like a long email to write
[01:11:29.640 --> 01:11:33.980]  She's goes to her Mac. Sure. And do you want the pencil and she's like, what would I use it for?
[01:11:33.980 --> 01:11:37.000]  I was like, I don't know. She goes like no, I don't want a pencil. So that was it
[01:11:37.000 --> 01:11:40.480]  So it's you know, I think and it but I like that it's just a sensible like
[01:11:40.480 --> 01:11:46.980]  Do you get or not get that you don't need to spend the extra 250 bucks on the keyboard and the pencil if you're not
[01:11:46.980 --> 01:11:48.980]  Gonna use them and the answer is yes
[01:11:49.660 --> 01:11:56.580]  But still that's a pretty, you know, it's not like you're saving money by getting an iPad Pro instead of a MacBook
[01:11:56.580 --> 01:12:02.820]  I mean, yeah, maybe you compared to a MacBook Pro, but you know, you're still talking about a thousand dollar a thousand dollar plus setup
[01:12:03.400 --> 01:12:10.360]  Which in the grand scheme of the industry is not that cheap. No, it's not it just depends on what you're using it for, right?
[01:12:10.360 --> 01:12:15.960]  Because if it if you don't if you don't have the intention of ever using the pencil
[01:12:16.420 --> 01:12:22.080]  I feel like for 99% of people a Mac's probably going to be better
[01:12:22.420 --> 01:12:28.620]  But if you need touchscreen accessibility or if you have any desire to work with the pencil
[01:12:29.200 --> 01:12:34.300]  The iPad instantly becomes a really really exciting piece of technology, especially good
[01:12:34.300 --> 01:12:37.800]  Well, I want to tell you my favorite before I forget I want to I want to get this out
[01:12:37.800 --> 01:12:45.360]  There's my favorite iPad pencil hack is take the cap and put it either throw it away or just put it somewhere
[01:12:45.360 --> 01:12:49.040]  But there you're never going to use it again and don't ever use the cap and instead
[01:12:49.560 --> 01:12:56.360]  Use the little lightning adapter as the cap and I keep the little lightning adapter on the pencil at all times
[01:12:56.360 --> 01:12:59.280]  And that means that you can charge the pencil at any time
[01:12:59.640 --> 01:13:05.420]  Either way, you can either charge it as a male or as a female at any time and fun
[01:13:05.420 --> 01:13:13.300]  it and I don't understand why it wasn't like this why they're not encouraging that like the cap doesn't do any purpose other than to
[01:13:13.300 --> 01:13:15.940]  cover the protect the lightning port right and
[01:13:16.980 --> 01:13:21.200]  Instead they give you the little they give you this little adapter that you can use either way
[01:13:21.860 --> 01:13:23.860]  That's it. That's a good hack. I like that
[01:13:24.500 --> 01:13:26.460]  You know, although to be honest
[01:13:26.460 --> 01:13:33.180]  I have never charged my pencil with anything but the iPad in that way like wacky configuration, right? Just never
[01:13:33.180 --> 01:13:39.860]  Because it charges so fast with the iPad that I never even think like if I bring my pencil somewhere and it's like 5%
[01:13:39.980 --> 01:13:46.540]  Battery, but early five minutes gets you 20 25 percent charge, which is kind of crazy to me
[01:13:46.540 --> 01:13:49.920]  Well, you can charge it the other way and it's if you have an iPhone charge
[01:13:50.920 --> 01:13:56.480]  But then you have to find the wall, right and it's like though the beauty of the iPad set up to me
[01:13:56.480 --> 01:14:02.260]  Is that as long as my iPads charged when I leave the house, I don't have to bring connectors
[01:14:02.260 --> 01:14:07.980]  Do you have to worry about it or do you just keep the keep the lightning port exposed? I have the cap on
[01:14:08.380 --> 01:14:09.440]  the
[01:14:09.440 --> 01:14:14.940]  Someone on Twitter and I can't remember who it is now gave me the amazing tip where the cap is magnetic
[01:14:14.940 --> 01:14:20.460]  So it'll grab on to the to the smart magnets the smart cover magnets on your iPad
[01:14:20.540 --> 01:14:24.980]  So when you take the cap off to plug in your to plug in the pencil to the iPad
[01:14:24.980 --> 01:14:28.240]  You just drop it on the iPad and it's actually really it's a fun game
[01:14:28.240 --> 01:14:32.500]  You can just drop it anywhere on the iPad and it'll go and grab on one of the smart cover magnets
[01:14:34.300 --> 01:14:38.780]  So that's my that's my and my my other iPad good iPad pencil hack is
[01:14:39.260 --> 01:14:45.400]  buy a $2 micron pen and then steal the clip off the micron pan and then you can just slide it over the
[01:14:45.940 --> 01:14:48.900]  The silver pencil so I have a nice little clip there
[01:14:50.060 --> 01:14:54.360]  Keeps it from rolling to mm-hmm. $2 micron. I'm gonna write this down
[01:14:54.360 --> 01:15:01.280]  So that's the micron pens have like a clip. That is the right sort of exactly the right size. Yep, right
[01:15:01.360 --> 01:15:07.480]  What would you call that the right sir the right diameter? Yeah diameter circumference one of those six one. Well, six one half of those
[01:15:07.480 --> 01:15:08.920]  Yeah, exactly
[01:15:08.920 --> 01:15:10.920]  six of one pie
[01:15:12.440 --> 01:15:17.760]  Yeah option option P there we go pie we have a theme for this episode. Yeah
[01:15:17.760 --> 01:15:24.600]  So the other what else is there to talk about with the the iPad Pro there's the display
[01:15:24.600 --> 01:15:25.280]  This is the fan
[01:15:25.280 --> 01:15:32.040]  I know Jason and I talked about it last week and everybody's you can't not talk about it that now there is a weird like
[01:15:33.040 --> 01:15:34.640]  off-cycle
[01:15:34.640 --> 01:15:37.240]  pace to the iPad pros where
[01:15:37.760 --> 01:15:43.320]  Even though this one is six months after the twelve point nine inch one. It has some
[01:15:43.320 --> 01:15:47.260]  Technology that is clearly like an entire generation ahead
[01:15:47.600 --> 01:15:52.200]  Specifically with the display with the fact that it has the true tone feature for changing the color
[01:15:52.880 --> 01:15:58.600]  Temperature of what's on screen based on the ambient color of wherever it is that you're using it and this new
[01:15:59.000 --> 01:16:03.960]  I think I'm gonna misspeak but more or less that it has a high it displays a higher gamut
[01:16:04.240 --> 01:16:06.840]  Significantly higher gamut of colors. What is it? PC 3?
[01:16:06.840 --> 01:16:13.480]  Yeah, the same it's the same color gamut is on the 4k and 5k IMAX, which is pretty neat it which is extremely neat and I think
[01:16:13.480 --> 01:16:15.980]  All of this is going to come everywhere eventually
[01:16:15.980 --> 01:16:23.180]  Oh, yeah within I'm gonna say like three years two three years every Mac every iPhone every iPad will have
[01:16:23.400 --> 01:16:25.480]  The high gamut and the true tone
[01:16:26.520 --> 01:16:30.480]  Because it's just it both of them are just remarkably. It's mind-blowing
[01:16:31.120 --> 01:16:32.440]  You know, I see
[01:16:32.440 --> 01:16:37.680]  I don't know if you've ever get this John because you run your own site and you're not really beholden to publishing schedules
[01:16:37.760 --> 01:16:39.880]  But I'll occasionally do this thing on iMoreWorld
