[00:00.000 --> 00:02.000]  I've got too many iPads
[01:28:29.000 --> 01:28:37.000]  15 to 20 percent performance improvements aren't that big for one year, but compounded add up tremendously.
[01:28:37.000 --> 01:28:42.000]  And if they want to keep moving them out every year, I think we're going to see years like this
[01:28:42.000 --> 01:28:48.000]  where really the only news is, oh, it went from the MX to the MX plus one.
[01:28:48.000 --> 01:28:58.000]  I would guess, for example, that come next summer or maybe sooner, maybe like in May or something like that or April,
[01:28:58.000 --> 01:29:07.000]  there will be a new MacBook Air with the M3 and it's going to look exactly like this year's brand new MacBook Airs,
[01:29:07.000 --> 01:29:11.000]  maybe just different colors to refresh per year.
[01:29:11.000 --> 01:29:15.000]  But otherwise, exactly the same and just goes to the M3.
[01:29:15.000 --> 01:29:19.000]  If we assume that the M3 is based on the A16, yes.
[01:29:19.000 --> 01:29:27.000]  The only question there in my mind is, given what's going on at TSMC, do they hold out for next fall's A series?
[01:29:27.000 --> 01:29:33.000]  Are they kind of like, we're going to jump over that one and make the next one the basis of the M3?
[01:29:33.000 --> 01:29:35.000]  That's the only question.
[01:29:35.000 --> 01:29:37.000]  But otherwise, yes, I think you're right.
[01:29:37.000 --> 01:29:41.000]  There's going to be an M3 MacBook Air at some point and it will be as soon as the M3 is available,
[01:29:41.000 --> 01:29:43.000]  they'll just start rolling it out.
[01:29:43.000 --> 01:29:45.000]  Again, it's not like Intel.
[01:29:45.000 --> 01:29:48.000]  They control the rollout and why would you not want that chip everywhere?
[01:29:48.000 --> 01:29:51.000]  Especially since most people aren't upgrading from the previous model.
[01:29:51.000 --> 01:29:55.000]  They're upgrading from two or three models past, so that compound interest.
[01:29:55.000 --> 01:30:00.000]  Again, if you've got a 2018 iPad Pro, you probably don't need to update to the M2 version,
[01:30:00.000 --> 01:30:04.000]  but if you do, you're going from an A12X to an M2.
[01:30:04.000 --> 01:30:14.000]  That is a substantial, in my tests, for single processors especially, but the A12Z and the A12X,
[01:30:14.000 --> 01:30:19.000]  the A14 iPad is basically as fast as they are, if not a little bit faster at some things.
[01:30:19.000 --> 01:30:23.000]  So you could get a big update that way, but you're probably not coming from the M1 to the M2
[01:30:23.000 --> 01:30:28.000]  unless you're an artist who really wants the new hover feature for Apple Pencil.
[01:30:28.000 --> 01:30:34.000]  Unless you're editing high-end video or something, that speed boost is not going to really matter to you.
[01:30:34.000 --> 01:30:37.000]  Yeah, the hover feature is really interesting to me.
[01:30:37.000 --> 01:30:43.000]  I really wonder if they've artificially gated this.
[01:30:43.000 --> 01:30:46.000]  They claim that it requires the M2.
[01:30:46.000 --> 01:30:51.000]  Maybe there's something involved with the M2, this proximity detection,
[01:30:51.000 --> 01:31:00.000]  but I'm a little suspicious that it was gated just so they could have a feature to say this feature is new on the new iPad Pros.
[01:31:00.000 --> 01:31:06.000]  It might have required a radio update or a little bit of an update to the digitizer or something like that.
[01:31:06.000 --> 01:31:10.000]  It's possible that to get the extra precision, they had to update a part.
[01:31:10.000 --> 01:31:14.000]  That might not even be a very expensive part, who knows, but it was enough that they said,
[01:31:14.000 --> 01:31:21.000]  let's do this. It's like the Apple TV 4K where they were saying that HDR10 Plus was going to be a feature of tvOS,
[01:31:21.000 --> 01:31:24.000]  and then they said, no, no, no, it's just on the new hardware.
[01:31:24.000 --> 01:31:28.000]  It might just be that they looked at it on the old hardware and it wasn't quite great,
[01:31:28.000 --> 01:31:32.000]  and they're like, let's pull it because the new hardware can do it and this one, it's a little iffy.
[01:31:32.000 --> 01:31:38.000]  It might be that simple that they looked at this and were like, this feature is not good enough on the current hardware,
[01:31:38.000 --> 01:31:43.000]  so when we do the next iPad Pro, let's do a little bit more so that we can roll this feature out.
[01:31:43.000 --> 01:31:44.000]  That's my guess.
[01:31:44.000 --> 01:31:51.000]  But other than the hover, the only real difference from the previous generation of iPad Pros to this generation,
[01:31:51.000 --> 01:31:56.000]  the only difference is the M1 to M2 transition and the performance increase it does.
[01:31:56.000 --> 01:31:59.000]  It's that and hover, and I think that's it.
[01:31:59.000 --> 01:32:01.000]  Or is there Wi-Fi 6E?
[01:32:01.000 --> 01:32:02.000]  Wi-Fi 6E.
[01:32:02.000 --> 01:32:06.000]  Which again is like, it's a pretty esoteric list of items.
[01:32:06.000 --> 01:32:09.000]  It's a speed bump, what we always called the speed bump.
[01:32:09.000 --> 01:32:14.000]  It is faster and slightly better, but otherwise it's a very familiar product.
[01:32:14.000 --> 01:32:17.000]  It's not like going to the 10th generation iPad.
[01:32:17.000 --> 01:32:19.000]  It's not like going from the M1 Air to the M2 Air.
[01:32:19.000 --> 01:32:21.000]  It's not that kind of a thing.
[01:32:21.000 --> 01:32:24.000]  No, and the hover thing though is really neat.
[01:32:24.000 --> 01:32:27.000]  I don't know what, we probably saw the same demos from Apple.
[01:32:27.000 --> 01:32:30.000]  Yeah, like Procreate was the big one that I saw,
[01:32:30.000 --> 01:32:33.000]  and I was sitting with somebody who's a Procreate professional basically,
[01:32:33.000 --> 01:32:37.000]  was the other person at my briefing, and she was levitating during that part.
[01:32:37.000 --> 01:32:40.000]  And I know for a lot of people it's going to be a nothing feature,
[01:32:40.000 --> 01:32:42.000]  because what it really is doing is showing you a preview
[01:32:42.000 --> 01:32:44.000]  of what you're going to do when you put your pencil down.
[01:32:44.000 --> 01:32:47.000]  So when you're hovering over it, and it's using a lot of the stuff
[01:32:47.000 --> 01:32:50.000]  that is involved in the iOS or iPad OS pointer,
[01:32:50.000 --> 01:32:54.000]  so like it'll make icons bigger when you hover over them
[01:32:54.000 --> 01:32:56.000]  before you tap on them, and there's some stuff.
[01:32:56.000 --> 01:32:58.000]  There's an API to do more.
[01:32:58.000 --> 01:33:01.000]  For me, the moment where I thought, okay, that is interesting,
[01:33:01.000 --> 01:33:06.000]  and not just kind of a nice like a preview for artists to like,
[01:33:06.000 --> 01:33:09.000]  oh, that's not what my setting should be, and I'm going to fix it,
[01:33:09.000 --> 01:33:13.000]  is the idea that you're adding another state, right?
[01:33:13.000 --> 01:33:16.000]  Like there used to be two pencil states, which was
[01:33:16.000 --> 01:33:19.000]  the pencil's not down, and the pencil is down.
[01:33:19.000 --> 01:33:21.000]  And now there's three pencil states.
[01:33:21.000 --> 01:33:24.000]  There's the pencil's nowhere, the pencil's down,
[01:33:24.000 --> 01:33:28.000]  and the pencil is hovering close, but not there.
[01:33:28.000 --> 01:33:34.000]  And as a developer, you can use that to either infer things,
[01:33:34.000 --> 01:33:36.000]  the state changes, infer things about them.
[01:33:36.000 --> 01:33:41.000]  So Apple's doing that with Scribble, where Apple can,
[01:33:41.000 --> 01:33:45.000]  they can infer that you're done writing faster
[01:33:45.000 --> 01:33:47.000]  because you leave the focus state,
[01:33:47.000 --> 01:33:49.000]  and they know that the pencil has left.
[01:33:49.000 --> 01:33:53.000]  And so it can like process it faster because it's able to tell
[01:33:53.000 --> 01:33:56.000]  is the pencil still hovering or is it gone,
[01:33:56.000 --> 01:33:57.000]  which it couldn't do before.
[01:33:57.000 --> 01:33:58.000]  So that's interesting.
[01:33:58.000 --> 01:34:00.000]  But the Procreate stuff is where it really blew me away
[01:34:00.000 --> 01:34:02.000]  because that's where they're saying,
[01:34:02.000 --> 01:34:05.000]  oh, well, when you're hovering and you double tap,
[01:34:05.000 --> 01:34:06.000]  it does something different.
[01:34:06.000 --> 01:34:09.000]  Or if you're hovering and you move your finger on the screen,
[01:34:09.000 --> 01:34:13.000]  you slide or you pinch, it does a completely different thing
[01:34:13.000 --> 01:34:17.000]  than if you were to slide or pinch with the pencil not present.
[01:34:17.000 --> 01:34:20.000]  It does a, you know, you're changing the opacity
[01:34:20.000 --> 01:34:21.000]  or you're changing the size of the brush.
[01:34:21.000 --> 01:34:22.000]  Right.
[01:34:22.000 --> 01:34:24.000]  And that was that moment where I thought, okay,
[01:34:24.000 --> 01:34:26.000]  that, for people who use the Apple Pencil,
[01:34:26.000 --> 01:34:28.000]  especially in artistic areas,
[01:34:28.000 --> 01:34:32.000]  the ability to add a second level of gestures
[01:34:32.000 --> 01:34:36.000]  based on a hover state versus a pen down state
[01:34:36.000 --> 01:34:39.000]  is a place where like the Procreate demo was the perfect one.
[01:34:39.000 --> 01:34:42.000]  Like that's really good because you can preview,
[01:34:42.000 --> 01:34:44.000]  see what you're doing, not like it,
[01:34:44.000 --> 01:34:47.000]  use your double tap or use your fingers on the iPad
[01:34:47.000 --> 01:34:50.000]  to change what is going to be put down
[01:34:50.000 --> 01:34:53.000]  when you put the pencil down and then put the pencil down.
[01:34:53.000 --> 01:34:56.000]  I know it's a little esoteric and it's only going to work
[01:34:56.000 --> 01:35:00.000]  for very specific kind of pencil oriented workflows on the iPad,
[01:35:00.000 --> 01:35:02.000]  but that was my moment where I said, okay,
[01:35:02.000 --> 01:35:04.000]  this isn't just kind of a novelty and a preview
[01:35:04.000 --> 01:35:10.000]  because all of a sudden you can have a whole second set of gestures
[01:35:10.000 --> 01:35:11.000]  based on where the pencil is.
[01:35:11.000 --> 01:35:12.000]  That's cool.
[01:35:12.000 --> 01:35:13.000]  Yeah.
[01:35:13.000 --> 01:35:15.000]  The one that really got me and I could really see,
[01:35:15.000 --> 01:35:20.000]  I'm not a serious artist at all, even an unserious artist,
[01:35:20.000 --> 01:35:25.000]  but I love watching good artists, talented artists work digitally.
[01:35:25.000 --> 01:35:27.000]  I love watching anybody who's good at their job work,
[01:35:27.000 --> 01:35:29.000]  but anybody who's ever done that,
[01:35:29.000 --> 01:35:31.000]  or if you're out there listening
[01:35:31.000 --> 01:35:34.000]  and you are like a serious Photoshop jockey or something like that,
[01:35:34.000 --> 01:35:37.000]  everybody I know who's like that works with two hands
[01:35:37.000 --> 01:35:40.000]  where they've got their dominant hand on the drawing thing,
[01:35:40.000 --> 01:35:44.000]  but a stylus or their trackpad or the mouse or whatever,
[01:35:44.000 --> 01:35:48.000]  and their other hand on the keyboard, like in Photoshop,
[01:35:48.000 --> 01:35:52.000]  and Photoshop has long had these like single character keystrokes
[01:35:52.000 --> 01:35:53.000]  where you just hit, I don't know,
[01:35:53.000 --> 01:35:55.000]  I actually don't have them memorized,
[01:35:55.000 --> 01:35:57.000]  but you hit like E to get the eraser.
[01:35:57.000 --> 01:36:02.000]  So you don't have to go click a palette tool over there.
[01:36:02.000 --> 01:36:05.000]  You just have the mouse right here and you hit a button
[01:36:05.000 --> 01:36:08.000]  and it instantly changes from the paintbrush to the eraser
[01:36:08.000 --> 01:36:11.000]  and you erase and then you just hit another button.
[01:36:11.000 --> 01:36:14.000]  You watch somebody and they have these things memorized
[01:36:14.000 --> 01:36:17.000]  the way that like a touch typist knows how to type
[01:36:17.000 --> 01:36:20.000]  or a pianist knows how to play the piano
[01:36:20.000 --> 01:36:23.000]  without thinking about where these things are
[01:36:23.000 --> 01:36:27.000]  and that pinching with your off hand to change the brush size
[01:36:27.000 --> 01:36:30.000]  as you hover close to the iPad surface
[01:36:30.000 --> 01:36:33.000]  to go from a fine point to a broader point
[01:36:33.000 --> 01:36:37.000]  and without having to look off to the side
[01:36:37.000 --> 01:36:40.000]  to where there's a dial to adjust the brush size,
[01:36:40.000 --> 01:36:44.000]  that seems like something that's not a minor update
[01:36:44.000 --> 01:36:47.000]  but a major one because it keeps you in the flow
[01:36:47.000 --> 01:36:50.000]  and you're just flying through your work like that.
[01:36:50.000 --> 01:36:52.000]  I think it's really cool.
[01:36:52.000 --> 01:36:55.000]  It also plays off all of the stuff that they did
[01:36:55.000 --> 01:36:58.000]  for the trackpad support in iOS.
[01:36:58.000 --> 01:37:00.000]  So like when you're on a web page now,
[01:37:00.000 --> 01:37:06.000]  you finally for the first time in iOS without the trackpad,
[01:37:06.000 --> 01:37:08.000]  you can get hover effects.
[01:37:08.000 --> 01:37:12.000]  So if you hover the pencil over a link on a web page,
[01:37:12.000 --> 01:37:15.000]  the link lights up before you tap it.
[01:37:15.000 --> 01:37:18.000]  And that's all lifted from the pointer support.
[01:37:18.000 --> 01:37:21.000]  And same thing with like all the little buttons,
[01:37:21.000 --> 01:37:24.000]  the way buttons get like a hover effect with the mouse pointer,
[01:37:24.000 --> 01:37:26.000]  they get it with a pencil now too
[01:37:26.000 --> 01:37:28.000]  throughout the whole user interface.
[01:37:28.000 --> 01:37:32.000]  And hovering has been a lost, for lack of a better word,
[01:37:32.000 --> 01:37:36.000]  dimension in user interface on touch screens
[01:37:36.000 --> 01:37:39.000]  ever since the iPhone came out, right?
[01:37:39.000 --> 01:37:42.000]  And as much as touch screens have proven to be
[01:37:42.000 --> 01:37:46.000]  the most popular way of doing personal computing
[01:37:46.000 --> 01:37:48.000]  ever since the iPhone came out,
[01:37:48.000 --> 01:37:51.000]  losing hover has been a loss, right?
[01:37:51.000 --> 01:37:54.000]  It's many steps forward, but one step back
[01:37:54.000 --> 01:37:57.000]  with the loss of hover, which is a useful dimension
[01:37:57.000 --> 01:37:59.000]  in user interface.
[01:37:59.000 --> 01:38:02.000]  Just one example would be
[01:38:02.000 --> 01:38:07.000]  somebody who makes poor choices in their color and decoration
[01:38:07.000 --> 01:38:10.000]  for their web page to highlight a link.
[01:38:10.000 --> 01:38:13.000]  If you have black text on a white background
[01:38:13.000 --> 01:38:16.000]  and your links are navy blue,
[01:38:16.000 --> 01:38:19.000]  but aren't even underlined,
[01:38:19.000 --> 01:38:21.000]  visually it's hard to see.
[01:38:21.000 --> 01:38:24.000]  And somebody who maybe doesn't pick up color that well
[01:38:24.000 --> 01:38:26.000]  may not see it.
[01:38:26.000 --> 01:38:29.000]  So you could always on a Mac or a Windows machine
[01:38:29.000 --> 01:38:32.000]  just hover the mouse over something if you think it's a link
[01:38:32.000 --> 01:38:35.000]  and it will hopefully have a hover effect that lights up
[01:38:35.000 --> 01:38:36.000]  and you're like, oh, yes.
[01:38:36.000 --> 01:38:39.000]  So without clicking it or right-clicking it or anything,
[01:38:39.000 --> 01:38:41.000]  you can just tell, okay, that's a link.
[01:38:41.000 --> 01:38:43.000]  Well, you get that with a pencil now.
[01:38:43.000 --> 01:38:45.000]  Now, is that a reason to buy a new iPad Pro
[01:38:45.000 --> 01:38:47.000]  just to have, I mean, how many people
[01:38:47.000 --> 01:38:49.000]  are surfing with their pencil as opposed to their finger?
[01:38:49.000 --> 01:38:51.000]  No, but it's a nice use.
[01:38:51.000 --> 01:38:54.000]  And it shows that they are trying to align
[01:38:54.000 --> 01:38:56.000]  work that they've done before, right?
[01:38:56.000 --> 01:38:59.000]  It's like, well, we already did this work for a hover state
[01:38:59.000 --> 01:39:02.000]  for the Magic Keyboard and for any external pointing devices.
[01:39:02.000 --> 01:39:04.000]  Why would we not use that for this state too?
[01:39:04.000 --> 01:39:05.000]  And that's nice.
[01:39:05.000 --> 01:39:07.000]  Yeah, I write my Mac roll column every week.
[01:39:07.000 --> 01:39:12.000]  I need to put in IDG system and they have,
[01:39:12.000 --> 01:39:16.000]  like to create a new entry is a menu with a hover state.
[01:39:16.000 --> 01:39:18.000]  And I often write those on the iPad.
[01:39:18.000 --> 01:39:20.000]  And then when I started doing this,
[01:39:20.000 --> 01:39:23.000]  it was like you had to tap and it didn't open the menu.
[01:39:23.000 --> 01:39:24.000]  It just took you to a second screen
[01:39:24.000 --> 01:39:26.000]  and then you load that screen and then you could press new.
[01:39:26.000 --> 01:39:29.000]  And I still am delighted by the fact
[01:39:29.000 --> 01:39:31.000]  that I can now move my pointer over that menu.
[01:39:31.000 --> 01:39:33.000]  It drops down the dropdown menu
[01:39:33.000 --> 01:39:35.000]  and I can click new directly from there.
[01:39:35.000 --> 01:39:37.000]  And that's because there's a hover state on iPad OS now,
[01:39:37.000 --> 01:39:38.000]  and it's a good thing.
[01:39:38.000 --> 01:39:40.000]  But otherwise it's pretty pedestrian.
[01:39:40.000 --> 01:39:41.000]  And I will say here,
[01:39:41.000 --> 01:39:43.000]  so I got a really interesting email
[01:39:43.000 --> 01:39:46.000]  from a Daring Fireball reader after Monday's
[01:39:46.000 --> 01:39:47.000]  or Tuesday's announcement.
[01:39:47.000 --> 01:39:52.000]  And this is a fellow who works at a very large corporation.
[01:39:52.000 --> 01:39:54.000]  Probably, I think he might've even said Fortune 500
[01:39:54.000 --> 01:40:00.000]  and they have to my ears, draconian IT requirements.
[01:40:00.000 --> 01:40:03.000]  And the nature of his job is he travels a lot
[01:40:03.000 --> 01:40:05.000]  and he flies all the time.
[01:40:05.000 --> 01:40:08.000]  And his colleagues are in the same boat there.
[01:40:08.000 --> 01:40:09.000]  I don't know what they do.
[01:40:09.000 --> 01:40:11.000]  It doesn't matter, but he's always traveling.
[01:40:11.000 --> 01:40:15.000]  And his go-to machine for years now
[01:40:15.000 --> 01:40:18.000]  has been an iPad Pro with a Magic Keyboard
[01:40:18.000 --> 01:40:21.000]  because primarily, his primary reason
[01:40:21.000 --> 01:40:23.000]  is that the IT department mandates
[01:40:23.000 --> 01:40:27.000]  that if you're using a Mac or Windows laptop,
[01:40:27.000 --> 01:40:31.000]  you can only use the apps, their enterprise apps
[01:40:31.000 --> 01:40:34.000]  within the company when you're connected to the VPN
[01:40:34.000 --> 01:40:36.000]  for security reasons.
[01:40:36.000 --> 01:40:39.000]  But with iPads, they let you use the apps
[01:40:39.000 --> 01:40:41.000]  installed locally on the device.
[01:40:41.000 --> 01:40:44.000]  That sounds draconian to me that they don't let you use it.
[01:40:44.000 --> 01:40:46.000]  But like he said, therefore it's the choice.
[01:40:46.000 --> 01:40:48.000]  With the iPad, for all the reasons
[01:40:48.000 --> 01:40:53.000]  he might prefer using a MacBook to an iPad for productivity,
[01:40:53.000 --> 01:40:55.000]  the fact that he can just use his software
[01:40:55.000 --> 01:40:59.000]  when he's on a plane and couldn't with the VPN
[01:40:59.000 --> 01:41:01.000]  or can't reliably.
[01:41:01.000 --> 01:41:03.000]  And he said, a bunch of my colleagues
[01:41:03.000 --> 01:41:04.000]  are in the same boat.
[01:41:04.000 --> 01:41:06.000]  So him and his colleagues are largely
[01:41:06.000 --> 01:41:08.000]  iPad Pro users for this reason.
[01:41:08.000 --> 01:41:10.000]  And that makes all the sense in the world to me,
[01:41:10.000 --> 01:41:12.000]  given those restrictions.
[01:41:12.000 --> 01:41:14.000]  And he said the single biggest complaint
[01:41:14.000 --> 01:41:16.000]  that he and all of his colleagues
[01:41:16.000 --> 01:41:19.000]  have had all along is the placement of the camera
[01:41:19.000 --> 01:41:21.000]  because they're also, the nature of their work
[01:41:21.000 --> 01:41:24.000]  as corporate employees who travel a lot,
[01:41:24.000 --> 01:41:27.000]  they're on Zoom or whatever else,
[01:41:27.000 --> 01:41:29.000]  Webex, whatever their company uses,
[01:41:29.000 --> 01:41:31.000]  all the time for meetings.
[01:41:31.000 --> 01:41:36.000]  And they've got a camera that is wrongly placed.
[01:41:36.000 --> 01:41:38.000]  So if he were buying a new iPad right now,
[01:41:38.000 --> 01:41:40.000]  he'd insta-buy the regular iPad,
[01:41:40.000 --> 01:41:44.000]  downgrading from an iPad Pros just for the camera.
[01:41:44.000 --> 01:41:47.000]  And because he knows that the A14 is good enough,
[01:41:47.000 --> 01:41:51.000]  none of the apps he uses need an M1.
[01:41:51.000 --> 01:41:56.000]  That type of app, he knows it would run just fine.
[01:41:56.000 --> 01:41:59.000]  The camera alone would make him upgrade.
[01:41:59.000 --> 01:42:00.000]  I thought that was very interesting.
[01:42:00.000 --> 01:42:02.000]  I'm sure he's not alone.
[01:42:02.000 --> 01:42:04.000]  I was flying a little bit recently.
[01:42:04.000 --> 01:42:06.000]  I've noticed, I do see more and more people
[01:42:06.000 --> 01:42:08.000]  with iPads in airports.
[01:42:08.000 --> 01:42:12.000]  It is slowly a growing trend, in my opinion.
[01:42:12.000 --> 01:42:13.000]  I see them on a plane.
[01:42:13.000 --> 01:42:16.000]  I mean, that's like my favorite thing to do
[01:42:16.000 --> 01:42:18.000]  as I wander up and down the aisle
[01:42:18.000 --> 01:42:22.000]  to go pee as I inevitably do every flight.
[01:42:22.000 --> 01:42:25.000]  I like to see what devices are people using
[01:42:25.000 --> 01:42:26.000]  and what are they doing on them?
[01:42:26.000 --> 01:42:27.000]  Are they watching movies?
[01:42:27.000 --> 01:42:28.000]  Are they doing spreadsheets?
[01:42:28.000 --> 01:42:30.000]  What are people doing?
[01:42:30.000 --> 01:42:32.000]  Definitely more iPads.
[01:42:32.000 --> 01:42:34.000]  I have bad news for this fellow, though,
[01:42:34.000 --> 01:42:37.000]  or anybody else who was thinking similarly
[01:42:37.000 --> 01:42:38.000]  that I'll just buy an iPad
[01:42:38.000 --> 01:42:40.000]  because I want the camera in the right place.
[01:42:40.000 --> 01:42:43.000]  If you're a frequent traveler is, to me,
[01:42:43.000 --> 01:42:45.000]  one of the biggest downsides
[01:42:45.000 --> 01:42:49.000]  of this new magic keyboard folio
[01:42:49.000 --> 01:42:54.000]  is because it uses a kickstand to support the screen,
[01:42:54.000 --> 01:42:57.000]  it has an enormous footprint on the desk,
[01:42:57.000 --> 01:42:59.000]  and there's no way that it would fit
[01:42:59.000 --> 01:43:01.000]  on an airplane tray.
[01:43:01.000 --> 01:43:03.000]  No, or in your lap, really.
[01:43:03.000 --> 01:43:06.000]  Right, it needs a tabletop, right?
[01:43:06.000 --> 01:43:09.000]  And it's a $250 product.
[01:43:09.000 --> 01:43:12.000]  It is the 11-inch magic keyboard
[01:43:12.000 --> 01:43:17.000]  for the 11-inch Pro and the iPad Air is $299,
[01:43:17.000 --> 01:43:19.000]  so it's $50 different.
[01:43:19.000 --> 01:43:20.000]  So it's in the ballpark.
[01:43:20.000 --> 01:43:23.000]  I find this keyboard for the regular iPad
[01:43:23.000 --> 01:43:25.000]  to be a very curious design.
[01:43:25.000 --> 01:43:27.000]  Especially for that reason,
[01:43:27.000 --> 01:43:29.000]  the footprint, to me, is significant.
[01:43:29.000 --> 01:43:30.000]  I was just on the train
[01:43:30.000 --> 01:43:33.000]  because I went to New York for the briefing,
[01:43:33.000 --> 01:43:36.000]  and on the train, I like to get the seats
[01:43:36.000 --> 01:43:38.000]  that have on the Acela,
[01:43:38.000 --> 01:43:40.000]  or even the non-Acelas have them.
[01:43:40.000 --> 01:43:41.000]  There's fewer of them, though,
[01:43:41.000 --> 01:43:44.000]  but you can sit at a table and you face.
[01:43:44.000 --> 01:43:47.000]  There's four people, two on each side of the table,
[01:43:47.000 --> 01:43:50.000]  and you're half of the table
[01:43:50.000 --> 01:43:52.000]  if you draw the invisible border
[01:43:52.000 --> 01:43:55.000]  that's between your side and the person facing you
[01:43:55.000 --> 01:43:59.000]  is certainly deeper than an airplane tray,
[01:43:59.000 --> 01:44:02.000]  but I don't think that this would fit.
[01:44:02.000 --> 01:44:04.000]  I think you could fit it on the table,
[01:44:04.000 --> 01:44:06.000]  but you'd have to extend the kickstand
[01:44:06.000 --> 01:44:10.000]  past your I'm going to be polite to my fellow traveler
[01:44:10.000 --> 01:44:12.000]  and not cross the 50-yard line.
[01:44:12.000 --> 01:44:15.000]  Yeah, there's a lot of depth there.
[01:44:15.000 --> 01:44:16.000]  You need a lot of space.
[01:44:16.000 --> 01:44:18.000]  Again, I kind of get why they did it,
[01:44:18.000 --> 01:44:20.000]  which is I think they decided, honestly,
[01:44:20.000 --> 01:44:23.000]  I think they decided that they don't want to make
[01:44:23.000 --> 01:44:26.000]  a new keyboard without a trackpad.
[01:44:26.000 --> 01:44:28.000]  They've got the ones that they've put out before
[01:44:28.000 --> 01:44:31.000]  that are still out there that are those smart keyboards
[01:44:31.000 --> 01:44:33.000]  that are only keyboards and no trackpads,
[01:44:33.000 --> 01:44:35.000]  but I feel like they've decided,
[01:44:35.000 --> 01:44:36.000]  no, we're going to move,
[01:44:36.000 --> 01:44:39.000]  really want everything to be kind of like this,
[01:44:39.000 --> 01:44:43.000]  but the problem is that in this case,
[01:44:43.000 --> 01:44:45.000]  it's attaching to the smart connector on the side,
[01:44:45.000 --> 01:44:49.000]  not the back, and then how do you keep it upright?
[01:44:49.000 --> 01:44:53.000]  And short of building a cantilevered magic keyboard style
[01:44:53.000 --> 01:44:55.000]  for this, which would require them to move
[01:44:55.000 --> 01:44:57.000]  where the smart connector is and all of that,
[01:44:57.000 --> 01:45:00.000]  they fell back on something that actually third-party iPad cases
[01:45:00.000 --> 01:45:01.000]  have been doing for a long time,
[01:45:01.000 --> 01:45:03.000]  which is this kickstand approach.
[01:45:03.000 --> 01:45:04.000]  And of course, Microsoft does this.
[01:45:04.000 --> 01:45:07.000]  They put a kickstand in their surfaces and things like that,
[01:45:07.000 --> 01:45:10.000]  and I feel like the message is very much like,
[01:45:10.000 --> 01:45:14.000]  we know it's not as good, but this is the low-end iPad,
[01:45:14.000 --> 01:45:15.000]  so what do you want?
[01:45:15.000 --> 01:45:18.000]  I will point out that it's 249.
[01:45:18.000 --> 01:45:19.000]  It is not cheap.
[01:45:19.000 --> 01:45:21.000]  This keyboard case is 249.
[01:45:21.000 --> 01:45:22.000]  It is in two pieces.
[01:45:22.000 --> 01:45:24.000]  They don't attach to each other.
[01:45:24.000 --> 01:45:26.000]  There's a magnetic attach on the back
[01:45:26.000 --> 01:45:28.000]  that's much thicker than you think it's going to be
[01:45:28.000 --> 01:45:31.000]  because it's got the kickstand built into it,
[01:45:31.000 --> 01:45:34.000]  and then there's the part that magnetic attaches on the side
[01:45:34.000 --> 01:45:36.000]  to the smart connector,
[01:45:36.000 --> 01:45:38.000]  and that's got the trackpad and the keyboard.
[01:45:38.000 --> 01:45:40.000]  So I would not choose to use this,
[01:45:40.000 --> 01:45:43.000]  mostly because I do use my iPad in my lap all the time
[01:45:43.000 --> 01:45:47.000]  when I'm in keyboard mode, and this doesn't work that way.
[01:45:47.000 --> 01:45:52.000]  That said, I'm really happy that it's got function keys at the top
[01:45:52.000 --> 01:45:54.000]  because that's the thing that's missing
[01:45:54.000 --> 01:45:56.000]  from the existing iPad Magic Keyboard,
[01:45:56.000 --> 01:45:59.000]  and I assume you can't never say never,
[01:45:59.000 --> 01:46:02.000]  but I assume this is Apple admitting
[01:46:02.000 --> 01:46:04.000]  that it's better with them than without them.
[01:46:04.000 --> 01:46:07.000]  I wonder on that point because all along,
[01:46:07.000 --> 01:46:09.000]  ever since the first Magic Keyboard,
[01:46:09.000 --> 01:46:12.000]  and again, for anybody who's confused, I keep messing it up.
[01:46:12.000 --> 01:46:16.000]  Magic Keyboard is the cantilevered 300,
[01:46:16.000 --> 01:46:18.000]  and it's 350 for the 12.9-inch.
[01:46:18.000 --> 01:46:21.000]  It's the one for the iPad Pros and the iPad Air,
[01:46:21.000 --> 01:46:27.000]  and it's a one-piece thing that has a stiff cantilevered hinge.
[01:46:27.000 --> 01:46:30.000]  The new thing for the iPad is the smart key...
[01:46:30.000 --> 01:46:33.000]  No, it's the smart...
[01:46:33.000 --> 01:46:36.000]  Yes, no. Jesus.
[01:46:36.000 --> 01:46:39.000]  It's the Magic Keyboard Folio.
[01:46:39.000 --> 01:46:43.000]  Magic means trackpad.
[01:46:43.000 --> 01:46:45.000]  So the one that doesn't...
[01:46:45.000 --> 01:46:47.000]  The one that doesn't have a trackpad
[01:46:47.000 --> 01:46:49.000]  is just called the Smart Keyboard Folio,
[01:46:49.000 --> 01:46:51.000]  and that's only for the same models
[01:46:51.000 --> 01:46:53.000]  that take the Magic Keyboard.
[01:46:53.000 --> 01:46:55.000]  To me, I don't know who's buying that product.
[01:46:55.000 --> 01:46:57.000]  I can only imagine it's only being bought
[01:46:57.000 --> 01:46:59.000]  by someone who's never really tried the trackpad
[01:46:59.000 --> 01:47:02.000]  with their iPad because if you've tried it,
[01:47:02.000 --> 01:47:06.000]  I can't imagine why you would want it without the trackpad.
[01:47:06.000 --> 01:47:09.000]  I mean, I really can't because the trackpad support
[01:47:09.000 --> 01:47:13.000]  is so game-changing when you're using an iPad
[01:47:13.000 --> 01:47:17.000]  in one of these products.
