[00:00.000 --> 00:01.360]  Dieter, it's good to have you here.
[01:06:45.200 --> 01:07:00.200]  Yeah, so this isn't guaranteed because they haven't done the full X-ray and taken apart this actual sensor module, but you can one-for-one swap it out with the iPhone 8, which is a pretty good sign that it's probably the same, or very, very close.
[01:07:00.200 --> 01:07:08.200]  It looks like it's a little bit smaller than a XR module when you look at the photos, and that is a thing to be concerned about long-term.
[01:07:08.200 --> 01:07:15.200]  It might not hold up as well, but it is a thing to absolutely marvel at in terms of the camera quality that they have right now.
[01:07:15.200 --> 01:07:22.200]  You know, when they said, we put the A13 in it, therefore the pictures are going to be better, I was like, yeah, we'll see.
[01:07:22.200 --> 01:07:23.200]  Yeah, I thought the same thing.
[01:07:23.200 --> 01:07:36.200]  But if it's using a sensor or something that's virtually equivalent to the sensor of the iPhone 8, and it's able to get the quality of photos that come out of this thing, I'm shocked at how good it is.
[01:07:36.200 --> 01:07:38.200]  I think it's pretty bad in low light.
[01:07:38.200 --> 01:07:48.200]  I think it actually falls down like a steeper cliff in low light than an iPhone 11 does, for example, or maybe even a XR.
[01:07:48.200 --> 01:07:51.200]  But other than that, there's really not a whole lot to complain about.
[01:07:51.200 --> 01:07:54.200]  Yeah, and it doesn't do night mode.
[01:07:54.200 --> 01:07:55.200]  Right.
[01:07:55.200 --> 01:07:57.200]  Which is weird, isn't it?
[01:07:57.200 --> 01:08:07.200]  Yeah, because it does have the full array of portrait mode modes, for lack of a sub-mode.
[01:08:07.200 --> 01:08:10.200]  Lighting effects, I guess we could call them, in portrait mode.
[01:08:10.200 --> 01:08:17.200]  And the ones that mask out the background, you know, whatever Apple calls them, I always forget.
[01:08:17.200 --> 01:08:27.200]  But the ones that just isolate you, the person, and mask out the background as black or white, the stage light ones and high key light ones.
[01:08:27.200 --> 01:08:28.200]  Yeah.
[01:08:28.200 --> 01:08:38.200]  The other phones they've had don't do that because it's, I guess, computationally or machine learning wise, expensive.
[01:08:38.200 --> 01:08:40.200]  And with the A13, they're able to do it.
[01:08:40.200 --> 01:08:43.200]  And the results are really good.
[01:08:43.200 --> 01:08:52.200]  And I put it in a footnote in my review, but I kind of like, eh, not really use those modes since they were new.
[01:08:52.200 --> 01:08:55.200]  Not that I never used them, but I don't use them as much.
[01:08:55.200 --> 01:09:03.200]  And I realized, I was saying that other people may not, but what I really was doing was writing about myself, is that the live preview in the camera is rough.
[01:09:03.200 --> 01:09:12.200]  And then you snap your self-portrait, like with the selfie mode and the high key lighting, and it doesn't look good as you're taking it.
[01:09:12.200 --> 01:09:22.200]  And then you give it a second or two to process and you get, you can, not always, sometimes it's funky and, you know, your glasses are off or your ears not right or something.
[01:09:22.200 --> 01:09:29.200]  But more often than not, it's actually really credible and a hundred times better than the preview would suggest.
[01:09:29.200 --> 01:09:30.200]  Yeah.
[01:09:30.200 --> 01:09:33.200]  So I was like, oh, this actually does deserve to be here.
[01:09:33.200 --> 01:09:39.200]  But if that's computational, I thought that the night mode was purely computational.
[01:09:39.200 --> 01:09:43.200]  And so the A13 would have allowed it and it doesn't.
[01:09:43.200 --> 01:09:46.200]  And I don't know if that's just like deliberate marketing.
[01:09:46.200 --> 01:09:58.200]  Like, well, like I'm sure it's not just a secret switch they could flip to enable it, but that they didn't spend time on it because they didn't want the $400 phone to have it for marketing reasons.
[01:09:58.200 --> 01:10:01.200]  Yeah, I don't want to ascribe that.
[01:10:01.200 --> 01:10:06.200]  Like that's like one step too far down like a conspiracy rabbit hole for me, although I'm tempted to say it.
[01:10:06.200 --> 01:10:12.200]  I think the fact that if it is in fact something similar to the iPhone sensor, maybe that's a piece of the puzzle.
[01:10:12.200 --> 01:10:24.200]  But the thing that they've done here that they didn't do before the XR and the X was they are doing, you know, they're taking multiple, multiple, multiple photos and, you know, whatever they call their advanced HDR.
[01:10:24.200 --> 01:10:28.200]  Like the foundation of what computational photography is these days.
[01:10:28.200 --> 01:10:33.200]  And they are doing that with this camera and this A13 processor.
[01:10:33.200 --> 01:10:52.200]  The one thing that they're not doing that's pretty modern is their depth map, as far as I know, is completely done via machine learning just by like semantically looking at what's in the image, trying to guess that they're not doing, you know, the weird thing where you can like do a differential between like two sides of a pixel or whatever.
[01:10:52.200 --> 01:11:08.200]  Yeah. So let me just say before we go on, my personal belief is not that it's marketing spite. I just I think that there is something about this iPhone 8 era sensor that does not makes it incompatible with the way they do night mode.
[01:11:08.200 --> 01:11:15.200]  I really and the fact that they didn't hold back on the portrait mode stuff makes me think that if they could have done it relatively easy, they would have.
[01:11:15.200 --> 01:11:44.200]  And the fact that the thousand dollar plus iPad pros that they just came out with don't have those portrait mode features, but they do have an A12 series chip makes me think that it really is A tied to the A13 specifically, which the SE has and even the new iPad pros don't and needs a very recent sensor.
[01:11:44.200 --> 01:11:57.200]  And so it the iPad SE has this the A13, which enables the portrait mode stuff, but can't do the night mode. So that's my theory. But yeah, I feel like on a podcast, you have to toss it out, you know, as who knows?
[01:11:57.200 --> 01:12:14.200]  Yeah, for sure. Yeah. And again, like, I cannot wait for someone to actually like break the metal on this thing and look directly at the sensor and confirm that it is the same because it might not be it might be something slightly different. But the fact that you could just swap the part out seems like a pretty good sign.
[01:12:14.200 --> 01:12:29.200]  It's crazy. I mean, the other thing with the SE that it so Apple is so different than any other phone maker. I mean, they control their own OS, which is the thing everybody thinks about and is the most notable aspect.
[01:12:29.200 --> 01:12:53.200]  But the little things like it's just underappreciated that they make their own chips and that their chip team is like, seriously, like years ahead of the competition. It's really a strange situation that doesn't have any historical comparison and enables them to top of the line chip in a $400 phone.
[01:12:53.200 --> 01:13:17.200]  Yeah. Well, and also, like, nobody else has, I mean, Samsung sells a shit ton of phones, don't get me wrong, but nobody else has the economy of scale to be like, well, we're already making so many of these 813s anyway, it would probably cost us more to put a lower end chip in it and keep that production line spun up just for this phone than it would to just use our top of the line one that we're already making anyway. Nobody else could do that.
[01:13:17.200 --> 01:13:39.200]  But so the one of the downsides that Apple faces, though, is that they just don't make many phones model wise, right? So they like, you know, yeah. And even if you count and I do, you know, people underestimate this when you go to apple.com or when when you go into the actual Apple store when when the Apple stores are open.
[01:13:39.200 --> 01:14:05.200]  And you see what they have on the table they've got now they've got the se the 10 are and the iPhone 11 and then the 11 pros, and that's it. But they still make a lot of the other ones from recent years, they're still in man being manufactured and they're sold, quote unquote, in the channel, like if you go to Best Buy, there's a lot more iPhones available, like the iPhone 10 s and 10 s max.
[01:14:05.200 --> 01:14:15.200]  And, you know, you could buy I don't think they still make the original 10 anymore but you could you could buy it for years after it was out of Apple's official lineup.
[01:14:15.200 --> 01:14:21.200]  You can even there I don't know if they're still making it but in channel the iPhone eight plus is still out there in the world.
[01:14:21.200 --> 01:14:42.200]  I think they might still be making it and if they're not making it making it they they stockpiled it because somebody somebody had it in their review that that it's officially in the channel, because they don't have a home screen iPhone in the plus size, that's called the se there is no se plus.
[01:14:42.200 --> 01:14:44.200]  Right.
[01:14:44.200 --> 01:14:59.200]  That means though that Apple has always kind of has to try to kill multiple market segment birds with one stone. And there's the se is trying to do a bunch of things at once. Right.
[01:14:59.200 --> 01:15:10.200]  It's, it's the low cost new phone that will have technical relevance for years to come like you're going to get four or five years of software updates for an se that you buy tomorrow.
[01:15:10.200 --> 01:15:24.200]  It's only 400 bucks right and and again, maybe from just for a lot of people 400 bucks still sounds like a lot for a phone, but it's not a lot for a new iPhone, and that's their answer to that.
[01:15:24.200 --> 01:15:46.200]  But then there's also the segment and, you know, I know people toss out their mom as a quote unquote, you know, example of a technically unsavvy person but my mom is a really is the perfect target for the new iPhone se she has a six or a success, I forget which one, but it's, you know, at the very newest it's a success.
[01:15:46.200 --> 01:16:01.200]  Her battery is failing. And, you know, it's usable but it's like she doesn't get through a day and she doesn't do anything like so she like leaves the house. Her phone is like, you know, in the red by the time she kept comes home from, you know, like a day out.
[01:16:01.200 --> 01:16:08.200]  And I've been telling her you should wait. And now, you know, last couple of weeks it's been really easy to tell her she could wait.
[01:16:08.200 --> 01:16:23.200]  She doesn't want new she wants, you know, and I, she's gotten in, you know, Apple has her numbers she's gotten the email to her mac.com address with with telling her about the se and she's like this is what I want and I'm like mom that's the one I've been telling you.
[01:16:23.200 --> 01:16:47.200]  You should wait for her. But she loves that it looks like the phone she already knows, you know, that that is a market segment, you know, and, and the touch ID versus face ID thing is huge. There are millions of people who just because they've never used face ID and it sounds weird to have your phone facially recognize you.
[01:16:47.200 --> 01:17:12.200]  They want they want a fingerprint sensor. And so the apples trying to, you know, sell something to this market and the fact that for all of we enthusiasts who think that it looks dated that it has this chin and forehead that go back to the iPhone six is comforting to people who just want a new phone that's faster and has a fresh battery and works exactly like they did.
[01:17:12.200 --> 01:17:16.200]  They, you know, the se is trying to do all those things at once.
[01:17:16.200 --> 01:17:22.200]  Yeah, and it's a lot and the fact that it's able to pull off most of that stuff for all of it actually is really impressive.
[01:17:22.200 --> 01:17:29.200]  It's funny I, I made a joke of this in my video but I forgot how much I liked home button.
[01:17:29.200 --> 01:17:37.200]  It gets really nice. I actually it's not even just the home button. It's, it's swiping up from the bottom for control center.
[01:17:37.200 --> 01:17:44.200]  I'm so used to that at home for going home now that it felt really really weird to swipe up and have control center pop up.
[01:17:44.200 --> 01:18:04.200]  But it's just it's it's such a larger target of a swipe than that upper right hand corner that as soon as I went back to it and after a day it's like, Oh yeah, I prefer this in a funny way now, I would never want to go back to not having the full gesture navigation and swiping up from the bottom is the appropriate way to do that to go home.
[01:18:04.200 --> 01:18:16.200]  It is like the thing you want to be the easiest so it makes sense. Apple made the right call there. But you know, just like for a little while, at least it's nice to like just have easier access to control center.
[01:18:16.200 --> 01:18:34.200]  Yeah, I kind of feel, you know, and there's, you know, I've heard it from from home button diehards who are enthusiasts because they read during fireball and follow me on Twitter and that they're, you know, oh, yeah, I forgot the other market that this has been to peace is the people who want the smallest possible iPhone.
[01:18:34.200 --> 01:18:41.200]  Right. Well, I didn't bring it up because it's not I mean, it is the smallest possible iPhone, but that's not necessarily saying much.
[01:18:41.200 --> 01:18:56.200]  Right, but you know, and those people are really, you know, hearts sick that it wasn't iPhone five sized, which is what they really want. They wanted a new se that looked like the old se which looked like an iPhone five.
[01:18:56.200 --> 01:19:12.200]  And I tried to explain that a week or two ago and during fireball as to why that isn't really aligned with Apple strategy, even though that's a reasonable idea. And if Apple made seven different iPhones at a time, maybe one of them would still be that size.
[01:19:12.200 --> 01:19:33.200]  But yeah, I think all the developers that are looking forward to dropping that from their UI support are like, No, no, really fewer screen sizes would be a little better. Yeah. But it I, you know, I did.
[01:19:33.200 --> 01:19:50.200]  So the one thing about the the iPhone 10 style, I wish we had a name for it. You know, like, like when when when Mac OS 10 first shipped, and they had the back way back in like 2001 or two, whatever year it was, Steve Jobs introduced the new user interface.
[01:19:50.200 --> 01:20:11.200]  They gave it a name, they called it aqua. And aqua was that look and feel that they, you know, look so good, you could lick it. And it's, you know, at this, it just, it was nice to have a name for it. It would be nice if we had a name for the iPhone 10 style interface where you swipe up from the bottom and control centers in the top right.
[01:20:11.200 --> 01:20:26.200]  And, you know, some things are the same, but some things are fundamentally different. I, you know, and I've, I've gone back and forth in my writing, calling it like the post post iPhone 10 interface or whatever.
[01:20:26.200 --> 01:20:39.200]  I get it why Apple hasn't named it, they just sort of want you not to think about it. But when you do write about it, there's nothing to call it. But the one thing that it would to me, it's like fitting jigsaw puzzle pieces together as designers.
[01:20:39.200 --> 01:20:49.200]  And I feel like Apple was like, okay, we don't have a button anymore. What can we do? Well, we could swipe up from the bottom like web OS used to do. I don't know if you remember that, Dieter?
[01:20:49.200 --> 01:20:54.200]  Do you think? Yeah, I mean, I vaguely, I vaguely remember web OS.
[01:20:54.200 --> 01:21:10.200]  You could swipe up from the bottom and your apps would look like cards and then you could go side to side and you start fitting in all these things that the home button and touch ID used to do. And it's like, well, what, what about if you want to authorize a purchase and you're looking at the phone already?
[01:21:10.200 --> 01:21:24.200]  Well, you could double click the power button after face ID identifies you and they're like, okay, you know, that's not perfect, but that works. And then I feel like the one puzzle piece that was left over was control center, right?
[01:21:24.200 --> 01:21:41.200]  It's like top down was notifications and it still is. And bottom up now is home screen and multitasking. And the sides mean other things, you know, like the left side is how you go back in an app.
[01:21:41.200 --> 01:21:58.200]  And it's like they had this puzzle piece and they're like, well, you go down from the top right corner where the wifi and cellular signal strength is because that's where the wifi and signal strength things are, control center.
[01:21:58.200 --> 01:22:19.200]  Also, that's, um, just, just going to say that's how, that's how webOS did it. Well, maybe, maybe, maybe that's, wouldn't you like to think that there's somebody on the team who was working on that, who was at Palm, you know, 10, 10, 11 years ago, who was just like, just keeps raising their hand.
[01:22:19.200 --> 01:22:32.200]  By the way, we solve this problem once before, I'd like to think that maybe the way they sold it internally was they didn't even mention it. They were like, how, how about, they're like, wow, that could work.
[01:22:32.200 --> 01:22:46.200]  It is, it's, it's, it's just, it's not, it's a ill fitting puzzle pieces. Not quite right, but it, it's still, it, it just feels overloaded at the top of the screen that it's well.
[01:22:46.200 --> 01:22:55.200]  So the, the way Android solves this is it just, it combines those two things. There's a quick settings area that comes down and then the notification shade is attached to that.
[01:22:55.200 --> 01:23:06.200]  And so you can expand the quick settings or the notification shade. So the entire top of the Android phone is both of those things. And what you see when it comes down depends on like how many times you swipe down.
[01:23:06.200 --> 01:23:20.200]  Yeah. Well, neither is great. There's trade-offs with both, but, um, yeah, it's weird. I had a really hard time with it with when I was trying to use the SE for a week where I just kept going top right.
[01:23:20.200 --> 01:23:35.200]  Cause I've great. I I've really ingrained it into my, into my habits. The one that I just could not, a few of the things I just could not get used to is I could not get used to the fact that you can't tap the screen anywhere to wake it up.
[01:23:35.200 --> 01:23:45.200]  I, I, I just, I cannot tell you how many times I thought the battery had died and I was like, wait, that might be a problem. Cause I know I had like 60% battery and now this thing's dead.
[01:23:45.200 --> 01:23:54.200]  Yep. But it did, it does still have the accelerometer where if you like, it feels that you pulled, picked it up or it feels you pulled it out of your pocket, it will light up the screen.
[01:23:54.200 --> 01:23:59.200]  And so I couldn't just tap it on the table, but I got the habit of just like picking the thing up to wake it up.
[01:23:59.200 --> 01:24:12.200]  Yeah. But it's, and maybe it's like a review thing too, where I'm spending a lot of time in a review at a keyboard, you know, and the iPad or iPhone I'm reviewing is right there on the desk next to me.
[01:24:12.200 --> 01:24:18.200]  And I, but I want to, I want to wake it up. I just kept poking at it. Didn't wake up.
[01:24:18.200 --> 01:24:23.200]  I'm trying to think what else on the iPhone I see. Anything else?
[01:24:23.200 --> 01:24:27.200]  I mean, you can make fun of me for being sad about the headphone jack.
[01:24:27.200 --> 01:24:33.200]  Well, I'm not going to make fun. I mean, at this point, at this point I give you credit for sticking with it, you know?
[01:24:33.200 --> 01:24:52.200]  Well, so the, the, the only reason on the iPhone SE in particular, and maybe, maybe this is patronizing, maybe this is whatever, is that a bunch of Android phones in this price class make it a point to leave the headphone jack in because they figure if you're price sensitive enough to want to spend that little on a phone,
[01:24:52.200 --> 01:24:58.200]  you're price sensitive enough to not want to have to go out and spend 150 bucks on a pair of Bluetooth headphones.
[01:24:58.200 --> 01:25:12.200]  Yeah. And you know, that if you want to get replacements, you do just want to pop into the drugstore and get the $7 ones, you know, that you don't even, you know, you just, you know that they work.
[01:25:12.200 --> 01:25:24.200]  You can just look at it. You don't have to look for like a works with iPhone logo or something. It's you just, you know, just has a headphone jack, you know, it's going to work, you know, and, and you also know you have a drawer full of them.
[01:25:24.200 --> 01:25:32.200]  Even if you're not the sort of person like us who has a drawer full of all sorts of cables, everybody's got a drawer full of headphones.
[01:25:32.200 --> 01:25:48.200]  I keep a stockpile of the original iPhone earbuds that, you know, nobody really likes because they fall out of your ear just because that's the most, it's the most reliable microphone I have for conference calls, like last ditch, my Bluetooth headphones failed, blah, blah, blah, blah.
[01:25:48.200 --> 01:25:54.200]  I just grab those, plug it into my Mac and know that I'm going to have reliable headphones and a microphone for a conference call.
[01:25:54.200 --> 01:26:04.200]  I used to have a stockpile of them because I've bought a bunch of over the years, I just wound up, how could you not in my racket wind up with a ton of them.
[01:26:04.200 --> 01:26:19.200]  I owned a bunch of iPods by the mid 2000s by the early end of the 2000s at least I started doing reviews on a regular basis and getting review units and Apple doesn't even want the headphones back when you send the review units back.
[01:26:19.200 --> 01:26:25.200]  And I wouldn't even open the new ones, I would just put them, you know, keep them in a nice little case and put them aside.
[01:26:25.200 --> 01:26:37.200]  I wound up going through my whole stockpile because I'm not going to name names, but it was my son Jonas who slowly but surely destroyed them all.
[01:26:37.200 --> 01:26:55.200]  Because while there are good things to say about them and the microphone is one of them, the durability, much like Apple's lightning cables, the durability of the connector where it goes in is not great.
[01:26:55.200 --> 01:27:03.200]  Once he found out which drawer I kept them in, eventually I went in, I was like, hey, there's no more of these left.
[01:27:03.200 --> 01:27:08.200]  And he's like, yeah, do you have any more of those? And I was like, oh my God.
[01:27:08.200 --> 01:27:15.200]  But on the plus side, we got him AirPods for Christmas like two years ago, two Christmases ago, and he hasn't lost them, either of them.
[01:27:15.200 --> 01:27:24.200]  And so kudos to him and it is completely alleviated his destruction of my entire collection of Apple branded.
[01:27:24.200 --> 01:27:33.200]  All right, let me take another break here and thank our other sponsor for this episode, our good friends at Squarespace. Hey, Squarespace, make your next move.
[01:27:33.200 --> 01:27:37.200]  Look, everybody's got a lot of extra time on their hands right now.
[01:27:37.200 --> 01:27:45.200]  If one of the things you're looking to do while you have time at home is start a new website or maybe update an old website.
[01:27:45.200 --> 01:27:58.200]  Take a look at Squarespace. Squarespace does it all, everything from registering domain names to templates for any type of design to start with.
[01:27:58.200 --> 01:28:06.200]  Award winning templates that scale across devices, responsive design from the phone up to a giant screen.
[01:28:06.200 --> 01:28:21.200]  Two elements that you can embed right in your website, like a store that includes all the commerce stuff or a blog where you have an actual CMS right built into the Squarespace system for adding posts or hosting a podcast.
[01:28:21.200 --> 01:28:37.200]  Anything like that. Analytics, find out who's coming to your website from where Squarespace has it built in. Award winning tech support, everything you can imagine, great pricing, great support, great documentation, great templates to choose from.
[01:28:37.200 --> 01:28:55.200]  You name it, Squarespace has it. Go there, start it. Included with it is 30 days free when you just start building a website. Spend a month building a website, see if you like it. When you decide to sign up, use this code, talk show.
[01:28:55.200 --> 01:29:06.200]  Go to squarespace.com slash talk show to start. And then when you pay, which you don't have to do for 30 days, use that code talk show. You save 10% off your first purchase.
[01:29:06.200 --> 01:29:19.200]  So go to squarespace.com slash talk show. Remember that code talk show. And if it's not you, if it's somebody else you know who in the quarantine is like, hey, maybe I should make a new website, send them to Squarespace, give them the code, save them 10%.
[01:29:19.200 --> 01:29:32.200]  My thanks to Squarespace. So let's, we don't have tons of time left, but let's talk Android. So I'm curious to hear what you think are the the flagships worth talking about in 2020 so far.
[01:29:32.200 --> 01:29:42.200]  So the most interesting stuff so far, there's a couple of Samsung Galaxy S20s, the Ultra and the regular, and I put those in two different categories.
[01:29:42.200 --> 01:29:52.200]  Then there is the new OnePlus 8 Pro, that's three. And then we're soon to have something from Motorola trying to make a comeback.
[01:29:52.200 --> 01:30:05.200]  You know, there's a bunch of other stuff in and around all those, but those are like the most interesting ones. I mean, the thing to know about Android flagships is they're all completely dependent on Qualcomm processors, right?
[01:30:05.200 --> 01:30:12.200]  Like Qualcomm has a monopoly in the US, Samsung is doing its level best to break it with Exynos processors that it tries to sell internationally.
[01:30:12.200 --> 01:30:24.200]  But like in the US, it's just Qualcomm and like you get what Qualcomm gives you. And what Qualcomm is giving Android manufacturers this year is the Snapdragon 865.
[01:30:24.200 --> 01:30:31.200]  And then there's a 700 series. And the 865 is notable because the 865 is the fastest one. It's the one everybody's going to want.
[01:30:31.200 --> 01:30:41.200]  And it only works with 5G. There is no 4G version because it has a separate LTE, has a separate modem from the processor, which is weird.
[01:30:41.200 --> 01:30:51.200]  But that modem, the only compatible modem is a 5G modem. All of which is to say flagship Android phones are just like every other phone, but especially this year.
[01:30:51.200 --> 01:31:03.200]  They're coming in pretty expensive. Even the quote unquote cheap one like OnePlus is still, you know, 800 bucks, 900 bucks, because they've got that 5G radio that costs a bit more money.
[01:31:03.200 --> 01:31:11.200]  And so the cadence is also weird because you expect phones to come in the fall, but Qualcomm releases these processors basically in the spring.
[01:31:11.200 --> 01:31:15.200]  And so the first one out of the gate with them is usually Samsung with the Galaxy S line.
[01:31:15.200 --> 01:31:22.200]  So this year, Samsung was trying to pull off two things. They were, you know, this is the big year for 5G.
[01:31:22.200 --> 01:31:28.200]  It's a big year that 5G is actually real and matters and it's something you're going to want. I think that's not true, but whatever.
[01:31:28.200 --> 01:31:38.200]  And so they wanted to push 5G with the Galaxy S20 line. And then they have in the Galaxy S20 Ultra, which is the big, big, big one, the huge one.
[01:31:38.200 --> 01:31:46.200]  They were trying to push this whole new camera system that has a periscope, you know, so there's a mirror that like pushes down so you can get extra zoom, whatever.
[01:31:46.200 --> 01:31:57.200]  But they also have a 108 megapixel camera sensor in it that Samsung makes instead of just using a Sony sensor, which is what everybody else has been doing for years.
[01:31:57.200 --> 01:32:07.200]  So Samsung really wanted to be like, we can do this whole thing ourselves now. And the Ultra is just like 1400 bucks.
[01:32:07.200 --> 01:32:13.200]  It turns out that 108 megapixel camera, they didn't figure it out. Like they couldn't wrangle it.
[01:32:13.200 --> 01:32:18.200]  And so it's got really bad focus problems and it's just kind of meh.
[01:32:18.200 --> 01:32:24.200]  Whereas the Galaxy S20, which has a less ambitious camera, is just a great phone. It's really, really good.
[01:32:24.200 --> 01:32:30.200]  It's probably my favorite Android phone in the past, you know, six months to a year. I really enjoy it.
[01:32:30.200 --> 01:32:44.200]  And then the story with OnePlus, just to ramble, get through the rest of the ramble here, is to date their whole shtick has been we give you really good quality phone, but we hold back one or two features to save a bunch of money.
[01:32:44.200 --> 01:32:53.200]  So you can get virtually the same quality as Samsung phone, but you can spend a few hundred dollars less for stuff you don't care about.
[01:32:53.200 --> 01:33:01.200]  Usually that's something like wireless charging. But this year they decided they were going to take Samsung head on by including wireless charging.
[01:33:01.200 --> 01:33:07.200]  That's like super fast wireless charging. It's really fascinating. But also with working with more carriers.
[01:33:07.200 --> 01:33:20.200]  So now it works with both T-Mobile and Verizon for the first time. So they are really, really trying to come at Samsung's dominant monopoly in Android phones.
[01:33:20.200 --> 01:33:25.200]  I don't know if it's a monopoly, but they've got a huge dominant position, especially in the US, and they're finally getting challenged head on.
[01:33:25.200 --> 01:33:40.200]  Yeah, well, yeah, monopolies. It's like a lowercase m monopoly, right? It's sort of like Apple's monopoly on iPhones, where they don't have 50% of the market share of the phones, but they do have the only iPhones and the only phones running iOS.
[01:33:40.200 --> 01:33:56.200]  And Samsung's monopoly is sort of like mental monopoly, you know, on high end state of the art flagship Android phones. I mean, however you want to describe flagship, you know, Samsung has sort of had like, they're at the forefront of this.
[01:33:56.200 --> 01:34:11.200]  And Huawei was coming for them until that whole all went to hell. But the reason Samsung has that monopoly on the high end is because they've spent the past 20 years, like forming relationships with carriers and cutting deals with with carriers in the US.
[01:34:11.200 --> 01:34:17.200]  And so when Verizon wants to have a new phone, Samsung is at the door with a suitcase full of 10 of them.
[01:34:17.200 --> 01:34:34.200]  Yeah, I thought so that the 108 megapixel phone it, I still don't really understand how like, if most phones have like 12 megapixels, and how it jumps up to 108 because it's it's sort of like a funny definition of megapixels.
[01:34:34.200 --> 01:34:52.200]  Yeah, so they, they bin it down to, I think 12 most of the time, so they combine all the, you know, megapixels together into one larger pixel. But they, the way the sub pixels work is a little bit fuzzy in terms of what the RGB is.
[01:34:52.200 --> 01:35:14.200]  And so there it's, it's not quite exactly like one to one what you would expect, just you just get RGB and then you know, multiply it times never, never megapixels you have. But the way the binning works, the way that they like combine those pixels in like really solid conditions, you do actually get a really high megapixel image that does have a little bit more detail.
[01:35:14.200 --> 01:35:31.200]  The problem comes is you don't actually want you're not shooting in perfectly bright light with a perfectly still camera on a tripod 99% of the time. And so what you want to do is you want to combine all those pixels, you know, in the hardware in some way, so that it acts more like a manageable 12 or 16 megapixel sensor.
[01:35:31.200 --> 01:35:50.200]  And they just didn't get it. They like they weren't able to wrangle all that stuff. Like the thing that makes the Samsung Galaxy S20 Ultra, terrible name. Oh, there's a 5g in there somewhere to what makes the thing that makes that camera good in so far as it's good, is it's just a larger sensor, right?
[01:35:50.200 --> 01:36:08.200]  It's just physically bigger. And that makes a huge difference. Right. And that's sort of in even laypersons terms, bigger sensor is in and of itself is always better. It just means because it means more light hits the sensor, and doesn't even matter how you count the pixels, it's bigger sensors better.
[01:36:08.200 --> 01:36:27.200]  And it even goes, you know, goes back to the film days where the large format cameras, you know, that like professional fashion photographers would use or landscape photographers like Ansel Adams, you could just get these fantastic images out of this enormous compared to a 35 millimeter frame of film. Yeah, negative.
[01:36:27.200 --> 01:36:47.200]  But so the the dynamic with especially flagship Android phones is is really interesting and I think different than iPhone. So, you know, everybody's cycle is slowing down that people are upgrading less often. Right. So that's thing one is, everybody knows that they're not necessarily going to get everybody to upgrade every year.
[01:36:47.200 --> 01:37:12.200]  So that's fine. With the iPhone, Apple, just like Apple just keeps, you know, it's another iPhone, here you go, these are the new things we added to it. But with Android phones, there's so much more competition amongst you know, the different players there, that they have to find some way to not only get convinced people they might want to upgrade, but also convince people that they want to buy, you know, a Samsung or one plus phone instead of you know, a competitor's phone.
[01:37:12.200 --> 01:37:32.200]  And so they get into these like sort of weird spec horse races that sometimes lead them down blind alleys. I sort of think of it in the same way that I think about television. So everybody bought HDTV and they the reason they actually bought it is because it was a thin LCD not because it was 1080p.
[01:37:32.200 --> 01:37:51.200]  And then after that cycle, all the TV manufacturers are like, well, what's next? Well, maybe everybody wants 3D TVs. Nope, nobody wants 3D. Maybe everybody wants curved TVs. Nope, nobody wants curved TVs. What about 4K? Maybe. What about 4K plus HDR? Okay, now you're getting somewhere and like they're starting to get more upgrades.
[01:37:51.200 --> 01:38:11.200]  So Android phones have a similar challenge. They're trying to come up with like the mix of magical upgrades that will convince you, okay, I'm going to upgrade more than every three years or whatever. And that more than anything is the reason for 5G hype is the carriers also benefit from people upgrading their phones.
[01:38:11.200 --> 01:38:28.200]  And so they really want to convince you that 5G is hot shit that you need. And so they are pushing in. There's like a cabal between the carriers and the Android makers and Qualcomm to try and spin up 5G into something magical that convinces you you want to upgrade.
[01:38:28.200 --> 01:38:46.200]  And in certain areas, on certain networks, 5G is very fast and very impressive. But it is nowhere near, I think, worth the cost premium right now. A year from now, they might bill out the networks even more and might impress me and that'll be fine.
[01:38:46.200 --> 01:38:58.200]  But if you want to buy a new phone this year, especially new Android phone, get it because you need a new phone or you want the camera or whatever the other feature is. Don't get it because it has 5G appended to the end of the name.
[01:38:58.200 --> 01:39:17.200]  And it's always, it's like everything in technology, there's always diminishing returns as the years go by. And, you know, you name it, it's always true. You know, CPU speeds used to be such a huge deal where if you bought a new PC 18 months after your last one, it's like, Oh, my God, it's like 10 times faster.
[01:39:17.200 --> 01:39:34.200]  And, you know, going from edge to 3G was like turning the lights on in a dark room. It's like, Oh, my God, this is unbelievable. And then going from 3G to LTE wasn't quite as fantastic as pre 3G to 3G.
[01:39:34.200 --> 01:39:48.200]  But it was still like, wow, this LTE is seriously like might be faster than my Wi-Fi. This is really good. And it's good up to and sure 5G might be better than LTE, but LTE is like really good.
[01:39:48.200 --> 01:40:09.200]  Well, it's like where are the pain points with LTE? There's actually fewer than you think. Like streaming quality maybe could be better. You know, like how often are you really uploading files? Like the whole point of 5G is that it's going to enable you to do things that you otherwise would only do on Wi-Fi or, you know, on Ethernet or whatever.
[01:40:09.200 --> 01:40:33.200]  And I just don't think a lot of people are like hankering for that right now. And I've seen, you know, a lot of reports that 5G might have a better story for covering rural areas, you know, that they might be able to have few, you know, with fewer towers, and spread out more, get a signal so that places that still don't have a good LTE signal or any LTE signal might be able to get a 5G signal.
