[00:00.000 --> 00:02.000]  fashionably late as always.
[1:26:12.000 --> 1:26:14.000]  and demo your app.
[1:26:14.000 --> 1:26:17.000]  Um, and that ends up, I know the replay guys a little bit too.
[1:26:17.000 --> 1:26:20.000]  I didn't recognize their names when they first got called up,
[1:26:20.000 --> 1:26:22.000]  but they've sent me, you know, just, you know, as the guy
[1:26:22.000 --> 1:26:24.000]  writes during Fireball, they've sent me emails on various things
[1:26:24.000 --> 1:26:26.000]  over the years.
[1:26:26.000 --> 1:26:28.000]  And, you know, we were right there in town hall.
[1:26:28.000 --> 1:26:30.000]  We had a couple of minutes before they were going to kick us out.
[1:26:30.000 --> 1:26:33.000]  And they're, you know, they're not going to just give me any kind
[1:26:33.000 --> 1:26:36.000]  of state secrets about what, what life was like the last couple of weeks
[1:26:36.000 --> 1:26:38.000]  while they were working on this, but they, you know,
[1:26:38.000 --> 1:26:39.000]  they could speak a little bit.
[1:26:39.000 --> 1:26:43.000]  And both of them, like the replay guy said that he thinks
[1:26:43.000 --> 1:26:48.000]  if anything, Apple has completely undersold the graphics
[1:26:48.000 --> 1:26:52.000]  performance of the AADX that, that when, you know,
[1:26:52.000 --> 1:26:54.000]  from what they were doing the last couple of weeks getting the demo
[1:26:54.000 --> 1:26:58.000]  together for replay, that it was way faster than what Apple is saying
[1:26:58.000 --> 1:27:01.000]  compared to like the iPhone 6.
[1:27:01.000 --> 1:27:04.000]  That's the thing about the power on these, like they're putting
[1:27:04.000 --> 1:27:07.000]  so much power into iPad and building up to the next sort of,
[1:27:07.000 --> 1:27:10.000]  the next sort of big leap, like we're going to have to,
[1:27:10.000 --> 1:27:12.000]  we're going to be able to get a different class of applications,
[1:27:12.000 --> 1:27:15.000]  but especially for graphics performance,
[1:27:15.000 --> 1:27:17.000]  the, the, the different class of application that you can get
[1:27:17.000 --> 1:27:21.000]  is a extremely graphically six sophisticated game.
[1:27:21.000 --> 1:27:25.000]  And you're never going to really have one of those on,
[1:27:25.000 --> 1:27:29.000]  on the iPad Air 2, because it's the same reason like when,
[1:27:29.000 --> 1:27:32.000]  you know, when like a watchdogs or, you know,
[1:27:32.000 --> 1:27:36.000]  what it would like, you know, shadow of more to orchestral
[1:27:36.000 --> 1:27:38.000]  because it's cross platform, but at any like modern console game
[1:27:38.000 --> 1:27:40.000]  that's on the current generation consoles,
[1:27:40.000 --> 1:27:44.000]  there's no we part of those because the we is standard definition
[1:27:44.000 --> 1:27:48.000]  and incredibly weak and there is no way to scale a modern
[1:27:48.000 --> 1:27:53.000]  PlayStation 4 game that all the way down to something that's that darn,
[1:27:53.000 --> 1:27:54.000]  like there's not, you can't, well,
[1:27:54.000 --> 1:27:57.000]  we'll just use fewer vertexes and lower resolution textures
[1:27:57.000 --> 1:27:58.000]  in the game will run fun.
[1:27:58.000 --> 1:27:59.000]  It's just not possible, right?
[1:27:59.000 --> 1:28:01.000]  You cannot take a game and scale that.
[1:28:01.000 --> 1:28:04.000]  So any game that takes full advantage of the 8X,
[1:28:04.000 --> 1:28:06.000]  I don't know if you can make a version of that game
[1:28:06.000 --> 1:28:10.000]  that also runs on the $249 iPad mini within a five and five.
[1:28:10.000 --> 1:28:13.000]  I'd like, there's nothing you can do to the game to make it run on that.
[1:28:13.000 --> 1:28:17.000]  And so like, you kind of stuck, you can never make,
[1:28:17.000 --> 1:28:20.000]  you can never make an app that can really take advantage of that GPU
[1:28:20.000 --> 1:28:23.000]  because really have to think either games or like scientific imaging
[1:28:23.000 --> 1:28:25.000]  of the only two things that you could do
[1:28:25.000 --> 1:28:27.000]  could really use the GPU like that.
[1:28:27.000 --> 1:28:29.000]  So it's kind of, it's kind of a shame that that, you know,
[1:28:29.000 --> 1:28:32.000]  I mean, I guess you can do core image effects really, really fast
[1:28:32.000 --> 1:28:35.000]  and the, you know, the A5 can do core image effects.
[1:28:35.000 --> 1:28:38.000]  The same one's just much slower and that's how you can get away with doing something
[1:28:38.000 --> 1:28:41.000]  like Pixelmator on both platforms, but games,
[1:28:41.000 --> 1:28:43.000]  I feel like people are stuck there.
[1:28:43.000 --> 1:28:47.000]  And also, if you're those type of games that graphical sophistication
[1:28:47.000 --> 1:28:50.000]  costs so much money to make, you have to sell a lot of them.
[1:28:50.000 --> 1:28:55.000]  And I'm not sure that the touch interface is sufficient to, you know,
[1:28:55.000 --> 1:28:58.000]  be it, you know, to sell a game like a $500 million game
[1:28:58.000 --> 1:29:00.000]  like Destiny to the iPad.
[1:29:00.000 --> 1:29:02.000]  I don't know if you could, you could sell that
[1:29:02.000 --> 1:29:04.000]  with people who are going to be swiping on the screen.
[1:29:04.000 --> 1:29:06.000]  This is great because now that I have a 10 year old son,
[1:29:06.000 --> 1:29:09.000]  I actually am familiar with just about every title that you've mentioned,
[1:29:09.000 --> 1:29:11.000]  including Destiny.
[1:29:11.000 --> 1:29:13.000]  Do you have, did you end up getting a PS4?
[1:29:13.000 --> 1:29:14.000]  No, you know what we have.
[1:29:14.000 --> 1:29:16.000]  Oh, did you have the free Xbox box?
[1:29:16.000 --> 1:29:18.000]  And it's, I don't know what to do about it
[1:29:18.000 --> 1:29:21.000]  because I kind of feel like the PlayStation 4 looks like the better,
[1:29:21.000 --> 1:29:23.000]  the more time goes on looks like it's the better platform.
[1:29:23.000 --> 1:29:25.000]  Well, so do you have Destiny?
[1:29:25.000 --> 1:29:27.000]  Yeah, we have it on the Xbox.
[1:29:27.000 --> 1:29:29.000]  Yeah, so there you go.
[1:29:29.000 --> 1:29:31.000]  Yeah, pretty good game.
[1:29:31.000 --> 1:29:32.000]  Have you played it?
[1:29:32.000 --> 1:29:35.000]  Just, just a toy around a little bit.
[1:29:35.000 --> 1:29:39.000]  It's, you know, I'm total like the old man to learn into play games.
[1:29:39.000 --> 1:29:42.000]  But it's, you know, it's really, really graphically.
[1:29:42.000 --> 1:29:43.000]  You should, you got an Xbox.
[1:29:43.000 --> 1:29:44.000]  You should check Xbox Live Arcade.
[1:29:44.000 --> 1:29:46.000]  I think there was a version of Crystal Quest.
[1:29:46.000 --> 1:29:48.000]  You can tell you, you get about it.
[1:29:48.000 --> 1:29:50.000]  Son, let me tell you.
[1:29:50.000 --> 1:29:51.000]  I was a kid.
[1:29:51.000 --> 1:29:52.000]  This is what we played.
[1:29:52.000 --> 1:29:53.000]  Although you can't play Crystal Quest.
[1:29:53.000 --> 1:29:54.000]  It's a friggin thump stick.
[1:29:54.000 --> 1:29:55.000]  No, but anyway.
[1:29:55.000 --> 1:29:56.000]  You need a mouse.
[1:29:56.000 --> 1:29:57.000]  Yeah.
[1:29:57.000 --> 1:29:59.000]  Do they really have it?
[1:29:59.000 --> 1:30:02.000]  Yeah, I believe, and then maybe now in the Xbox one,
[1:30:02.000 --> 1:30:05.000]  but way back when I was either on the original Xbox or the 360,
[1:30:05.000 --> 1:30:08.000]  Cassidy and Green, I think it was the actual real company
[1:30:08.000 --> 1:30:10.000]  made a part of Crystal Quest for Xbox.
[1:30:10.000 --> 1:30:13.000]  I do think, I do think though that this is,
[1:30:13.000 --> 1:30:15.000]  it games in particular.
[1:30:15.000 --> 1:30:19.000]  I do think that they're really pushing Apple to open up the
[1:30:19.000 --> 1:30:23.000]  App Store to, to hardware limit that the app somehow.
[1:30:23.000 --> 1:30:27.000]  You know, if they already let you limit it by OS,
[1:30:27.000 --> 1:30:31.000]  I just can't see why it's getting to be untenable
[1:30:31.000 --> 1:30:36.000]  as they extend the life of these, you know, these devices.
[1:30:36.000 --> 1:30:40.000]  And that's the thing that the, as Alan Pike called it,
[1:30:40.000 --> 1:30:47.000]  the zombie iMac, that $249 retina, not retina.
[1:30:47.000 --> 1:30:50.000]  I pad many, the original iPad mini,
[1:30:50.000 --> 1:30:55.000]  which is from two years ago, is really from four years ago
[1:30:55.000 --> 1:31:00.000]  because the A5 system on a chip and the 512 megabytes of RAM
[1:31:00.000 --> 1:31:03.000]  and everything is really it's the iPad 2 shrunken down.
[1:31:03.000 --> 1:31:06.000]  Like the iPhone 4S right within the same generation as that.
[1:31:06.000 --> 1:31:08.000]  Yeah, it must have been around the 4S.
[1:31:08.000 --> 1:31:09.000]  A5, yeah, no, I know.
[1:31:09.000 --> 1:31:10.000]  My iPad touches the same thing.
[1:31:10.000 --> 1:31:13.000]  The 512 megabytes of RAM at A5 present.
[1:31:13.000 --> 1:31:16.000]  So they've actually, it's just in a weird way,
[1:31:16.000 --> 1:31:21.000]  like they've actually, the lineup, I think only has a,
[1:31:21.000 --> 1:31:27.000]  it goes A5 at $249, but then there is no A6 iPad left.
[1:31:27.000 --> 1:31:30.000]  They're already gone.
[1:31:30.000 --> 1:31:34.000]  So it's, it's like a year behind,
[1:31:34.000 --> 1:31:37.000]  an extra year behind the next step up.
[1:31:37.000 --> 1:31:41.000]  It's, it's a really old piece of technology.
[1:31:41.000 --> 1:31:43.000]  Yeah, I don't know, like, and again,
[1:31:43.000 --> 1:31:45.000]  we've said this, we keep saying this every time,
[1:31:45.000 --> 1:31:47.000]  you know, the middle came out and now the A8X,
[1:31:47.000 --> 1:31:52.000]  or it's like, and the Apple TV playing video games
[1:31:52.000 --> 1:31:54.000]  on your television through an Apple device
[1:31:54.000 --> 1:31:56.000]  is like just sitting there in front of Apple for you.
[1:31:56.000 --> 1:31:57.000]  Yeah.
[1:31:57.000 --> 1:31:58.000]  Like they've got, they've got every single freaking piece
[1:31:58.000 --> 1:32:00.000]  of the puzzle, they just don't have the desire to do it,
[1:32:00.000 --> 1:32:02.000]  but just fine, like you can't be in every business.
[1:32:02.000 --> 1:32:04.000]  Maybe they don't feel like they want to enter that fray,
[1:32:04.000 --> 1:32:06.000]  but as they accumulate the pieces,
[1:32:06.000 --> 1:32:09.000]  especially with metal and the Apple TV,
[1:32:09.000 --> 1:32:11.000]  and like they're building their own arm chips
[1:32:11.000 --> 1:32:13.000]  with these crazy GPUs in them.
[1:32:13.000 --> 1:32:15.000]  Like I, I don't necessarily recommend that they go for it,
[1:32:15.000 --> 1:32:17.000]  because I don't think they're really equipped to compete
[1:32:17.000 --> 1:32:19.000]  in that space, but it's just so weird to see them.
[1:32:19.000 --> 1:32:21.000]  It's kind of like when it was back at the e-book,
[1:32:21.000 --> 1:32:25.000]  the dawning of the e-book era around 2001, 2002,
[1:32:25.000 --> 1:32:27.000]  when it was like Apple's got these iPods,
[1:32:27.000 --> 1:32:29.000]  and they've got a way to sell the things digitally online
[1:32:29.000 --> 1:32:33.000]  with the iTunes store, and like they have all the pieces
[1:32:33.000 --> 1:32:34.000]  to dominate the e-book space.
[1:32:34.000 --> 1:32:36.000]  Like they basically, you know, I think this is maybe
[1:32:36.000 --> 1:32:37.000]  even before the Kindle came out.
[1:32:37.000 --> 1:32:38.000]  It's like, or maybe around the same time,
[1:32:38.000 --> 1:32:40.000]  the Kindle was eating, it wasn't quite the same thing.
[1:32:40.000 --> 1:32:42.000]  It's like, why is Apple not, you know,
[1:32:42.000 --> 1:32:44.000]  the e-book market is there for the taking for Apple.
[1:32:44.000 --> 1:32:46.000]  They have all the pieces, they have the momentum,
[1:32:46.000 --> 1:32:48.000]  they could, they could do it.
[1:32:48.000 --> 1:32:49.000]  They're just not interested.
[1:32:49.000 --> 1:32:51.000]  And eventually they kind of like, yeah, I guess we'll do e-books too,
[1:32:51.000 --> 1:32:52.000]  but then it was too late.
[1:32:52.000 --> 1:32:54.000]  Amazon was the dominant player and i-books
[1:32:54.000 --> 1:32:57.000]  kind of an also ran, and the gaming space obviously
[1:32:57.000 --> 1:32:59.000]  has been heavily populated for years and years,
[1:32:59.000 --> 1:33:01.000]  but here's Apple just dutifully working
[1:33:01.000 --> 1:33:04.000]  to essentially build the ingredients of world-class
[1:33:04.000 --> 1:33:07.000]  gaming console platform, and then just not doing that.
[1:33:07.000 --> 1:33:10.000]  Yeah, it's, like you said, it's laying right in front of them
[1:33:10.000 --> 1:33:14.000]  because the A8X, I think the A8 is probably pretty good,
[1:33:14.000 --> 1:33:18.000]  and you could make a reasonable gaming console out of it,
[1:33:18.000 --> 1:33:23.000]  especially with metal, which, you know, again,
[1:33:23.000 --> 1:33:26.000]  talking to, you know, developers, you know,
[1:33:26.000 --> 1:33:30.000]  Apple calling it 10 times faster than OpenGL seems fair.
[1:33:30.000 --> 1:33:32.000]  It seems like in real world-
[1:33:32.000 --> 1:33:34.000]  No, no, that's a BS.
[1:33:34.000 --> 1:33:36.000]  Well, because it's 10X in like, you know,
[1:33:36.000 --> 1:33:39.000]  if you do something stupid and you're just measuring draw calls,
[1:33:39.000 --> 1:33:40.000]  it's a micro benchmark.
[1:33:40.000 --> 1:33:43.000]  But the thing is, that type of low-level API,
[1:33:43.000 --> 1:33:45.000]  every game console has something like that.
[1:33:45.000 --> 1:33:47.000]  Apple has something like that.
[1:33:47.000 --> 1:33:50.000]  Well, that's the, that's the advantage Apple to modern Apple
[1:33:50.000 --> 1:33:53.000]  today has is that they have enough developer support
[1:33:53.000 --> 1:33:58.000]  and so many customers that they can get developers to use their thing.
[1:33:58.000 --> 1:34:00.000]  To port, like to port all their game engines, you know,
[1:34:00.000 --> 1:34:02.000]  that Unity and Unreal 4 engine, everything like,
[1:34:02.000 --> 1:34:05.000]  we'll make a port solely for, you know, so they can sell iOS games, right?
[1:34:05.000 --> 1:34:06.000]  Because that's a big market.
[1:34:06.000 --> 1:34:07.000]  They make a lot of money off that.
[1:34:07.000 --> 1:34:09.000]  So all those engines are say, yeah, hell yeah,
[1:34:09.000 --> 1:34:11.000]  we'll, we'll make a port of our engine to, to metal,
[1:34:11.000 --> 1:34:13.000]  and then everybody who builds games on our engine
[1:34:13.000 --> 1:34:15.000]  will be able to take advantage of it, and like,
[1:34:15.000 --> 1:34:17.000]  to build the full-fledged console,
[1:34:17.000 --> 1:34:20.000]  they have to do something like wimpy, like the, not wimpy,
[1:34:20.000 --> 1:34:22.000]  but like lower-powered, like the PlayStation TV or something
[1:34:22.000 --> 1:34:25.000]  because the A8X is not going to compete in power
[1:34:25.000 --> 1:34:27.000]  with the PlayStation 4, but there's not,
[1:34:27.000 --> 1:34:30.000]  but there's no reason that Apple couldn't build a device
[1:34:30.000 --> 1:34:32.000]  that can piece with the PlayStation 4.
[1:34:32.000 --> 1:34:34.000]  It would not be just an A8X in a box,
[1:34:34.000 --> 1:34:38.000]  but like by making the A8X and metal and having a store
[1:34:38.000 --> 1:34:40.000]  and talking to game developers and getting the engine support
[1:34:40.000 --> 1:34:43.000]  to their technology shows that if they wanted to,
[1:34:43.000 --> 1:34:45.000]  they could make a product like this
[1:34:45.000 --> 1:34:47.000]  that is of similar power to the PlayStation 4,
[1:34:47.000 --> 1:34:48.000]  wherever the next generation is,
[1:34:48.000 --> 1:34:50.000]  and decide to compete in that space.
[1:34:50.000 --> 1:34:52.000]  I don't, they just don't want to, which is fine.
[1:34:52.000 --> 1:34:54.000]  Like it's all about what do you say yes to what he's saying into it.
[1:34:54.000 --> 1:34:57.000]  Like the, the recent Tim Cook interview where he keeps saying like,
[1:34:57.000 --> 1:34:58.000]  there's plenty of things we could do.
[1:34:58.000 --> 1:35:00.000]  We have plenty of great ideas.
[1:35:00.000 --> 1:35:01.000]  And we don't, we don't not do them
[1:35:01.000 --> 1:35:02.000]  because we're not capable of them.
[1:35:02.000 --> 1:35:04.000]  We just choose what they want to do.
[1:35:04.000 --> 1:35:06.000]  And thus far, they have not made this choice.
[1:35:06.000 --> 1:35:07.000]  Just like for all those years,
[1:35:07.000 --> 1:35:09.000]  they chose not to enter the ebook market.
[1:35:09.000 --> 1:35:12.000]  Well, or even honestly even chose not to enter the phone market.
[1:35:12.000 --> 1:35:16.000]  I mean, people were clamoring for an Apple phone,
[1:35:16.000 --> 1:35:20.000]  ever since cell phones became consumer priced items.
[1:35:20.000 --> 1:35:22.000]  Yeah, well, that's because like they hadn't figured out
[1:35:22.000 --> 1:35:24.000]  what they wanted to do for a phone.
[1:35:24.000 --> 1:35:26.000]  You're like, that's different competing internal products
[1:35:26.000 --> 1:35:27.000]  and everything.
[1:35:27.000 --> 1:35:28.000]  Whereas the game console, the reason you don't do is like,
[1:35:28.000 --> 1:35:30.000]  well, we're just going to make another game console
[1:35:30.000 --> 1:35:31.000]  like everybody else.
[1:35:31.000 --> 1:35:32.000]  Like they've seen like they don't want to enter the space
[1:35:32.000 --> 1:35:34.000]  until they feel like they have something significant to add.
[1:35:34.000 --> 1:35:35.000]  Right.
[1:35:35.000 --> 1:35:36.000]  And with the iPhone, they didn't enter the phone space.
[1:35:36.000 --> 1:35:38.000]  Like they did the Motorola rocker and all that slings
[1:35:38.000 --> 1:35:39.000]  but they didn't feel their own phone.
[1:35:39.000 --> 1:35:41.000]  That was just like a candy bar phone.
[1:35:41.000 --> 1:35:42.000]  Right.
[1:35:42.000 --> 1:35:43.000]  They didn't enter the space until they had something.
[1:35:43.000 --> 1:35:44.000]  Right.
[1:35:44.000 --> 1:35:47.000]  Even though their candy bar phone would have been the best candy bar phone.
[1:35:47.000 --> 1:35:48.000]  They just didn't.
[1:35:48.000 --> 1:35:49.000]  Right.
[1:35:49.000 --> 1:35:50.000]  And that would have hamstrung them
[1:35:50.000 --> 1:35:52.000]  because that would have made an interesting iPhone harder
[1:35:52.000 --> 1:35:54.000]  because then you got to transition people.
[1:35:54.000 --> 1:35:55.000]  What about my old Apple phone?
[1:35:55.000 --> 1:35:56.000]  I liked it.
[1:35:56.000 --> 1:35:57.000]  What is this new thing blah, blah, blah?
[1:35:57.000 --> 1:35:59.000]  Whereas if the iPhone is your first phone.
[1:35:59.000 --> 1:36:00.000]  No problem.
[1:36:00.000 --> 1:36:02.000]  And lastly, the performance thing.
[1:36:02.000 --> 1:36:07.000]  And again, I don't often go to benchmarks when I write reviews
[1:36:07.000 --> 1:36:09.000]  but I really just think it's so fascinating
[1:36:09.000 --> 1:36:12.000]  how quickly the high-end iPad is gaining
[1:36:12.000 --> 1:36:15.000]  on the low-end MacBook Airs.
[1:36:15.000 --> 1:36:17.000]  And again, it's not Apple's Dapples
[1:36:17.000 --> 1:36:21.000]  because OS X and iOS have so many different interface things
[1:36:21.000 --> 1:36:23.000]  and just rules about multitasking
[1:36:23.000 --> 1:36:25.000]  and how much stuff can be going on in the background.
[1:36:25.000 --> 1:36:27.000]  And how much RAM you can get like a MacBook Air
[1:36:27.000 --> 1:36:28.000]  with like 16.
[1:36:28.000 --> 1:36:29.000]  Exactly.
[1:36:29.000 --> 1:36:32.000]  Which can have enormous performance,
[1:36:32.000 --> 1:36:36.000]  especially not even benchmark, but just real-world,
[1:36:36.000 --> 1:36:38.000]  you know, real-world advantages
[1:36:38.000 --> 1:36:40.000]  because when you're switching between these things,
[1:36:40.000 --> 1:36:42.000]  you know, they're all still in memory.
[1:36:42.000 --> 1:36:44.000]  And I would have to think the SSD storage
[1:36:44.000 --> 1:36:45.000]  on the Airs is also a press like,
[1:36:45.000 --> 1:36:47.000]  I think this is the first generation of iOS products
[1:36:47.000 --> 1:36:50.000]  to use PCI Express for the SSD connections.
[1:36:50.000 --> 1:36:52.000]  I heard that as a vague thing.
[1:36:52.000 --> 1:36:53.000]  I haven't seen like an iFixit hair down,
[1:36:53.000 --> 1:36:54.000]  so that's the case.
[1:36:54.000 --> 1:36:57.000]  But like, but they've been doing that on MacBook Airs for a while.
[1:36:57.000 --> 1:36:58.000]  But yeah.
[1:36:58.000 --> 1:37:00.000]  I heard that I saw a thing on Twitter last night.
[1:37:00.000 --> 1:37:01.000]  Again, not verified.
[1:37:01.000 --> 1:37:04.000]  It's not like somebody showed pictures of it.
[1:37:04.000 --> 1:37:08.000]  Yeah, somebody seemingly reliable said it's PCI Express,
[1:37:08.000 --> 1:37:10.000]  which is, you know, it's desktop.
[1:37:10.000 --> 1:37:13.000]  You know, when they say desktop class performance,
[1:37:13.000 --> 1:37:15.000]  they're actually, they're not hyping it.
[1:37:15.000 --> 1:37:16.000]  They're being serious.
[1:37:16.000 --> 1:37:18.000]  And that's what, like, that's the gates,
[1:37:18.000 --> 1:37:20.000]  that type of stuff, the more boring stuff.
[1:37:20.000 --> 1:37:21.000]  If you're not playing a game,
[1:37:21.000 --> 1:37:25.000]  the thing that gates your performance on just using your iOS device
[1:37:25.000 --> 1:37:27.000]  is a amount of memory you have
[1:37:27.000 --> 1:37:28.000]  and how fast the storage is.
[1:37:28.000 --> 1:37:29.000]  Because what do you think it's doing
[1:37:29.000 --> 1:37:30.000]  when you're launching an app and putting an app
[1:37:30.000 --> 1:37:31.000]  and launching this app?
[1:37:31.000 --> 1:37:34.000]  Like, it's not the CPU is mostly spending its time waiting
[1:37:34.000 --> 1:37:37.000]  for iOS during those times when you're waiting.
[1:37:37.000 --> 1:37:39.000]  Yeah, which is exactly why I splurged
[1:37:39.000 --> 1:37:43.000]  and cut the SSD storage for the iMac.
[1:37:43.000 --> 1:37:46.000]  I feel like my last spinning hard disk
[1:37:46.000 --> 1:37:49.000]  that I've ever bought, you know, is in the past.
[1:37:49.000 --> 1:37:51.000]  I would like mine to be in the past,
[1:37:51.000 --> 1:37:52.000]  but they're not getting that.
[1:37:52.000 --> 1:37:54.000]  Well, other than external drives that I would use
[1:37:54.000 --> 1:37:56.000]  for like backup or something like that,
[1:37:56.000 --> 1:37:59.000]  where I'm not going to be waiting on it as a user.
[1:37:59.000 --> 1:38:03.000]  Even then, like at work on my machine as SSDs
[1:38:03.000 --> 1:38:04.000]  for all the stuff that I use,
[1:38:04.000 --> 1:38:06.000]  but my super duper clone is spinning.
[1:38:06.000 --> 1:38:07.000]  And it's just so painful.
[1:38:07.000 --> 1:38:09.000]  Like how long a super duper clone makes.
[1:38:09.000 --> 1:38:12.000]  It's just, you know, it's just like read from the SSD
[1:38:12.000 --> 1:38:14.000]  and then just like go get a coffee.
[1:38:14.000 --> 1:38:16.000]  Oh, the spinning hard disk wrote.
[1:38:16.000 --> 1:38:18.000]  Okay, I'll read one more thing from the SSD.
[1:38:18.000 --> 1:38:19.000]  Like just see super duper.
[1:38:19.000 --> 1:38:20.000]  So it's so asymmetrical.
[1:38:20.000 --> 1:38:22.000]  So I would love to be all SSD,
[1:38:22.000 --> 1:38:25.000]  but unfortunately I keep accumulating stuff
[1:38:25.000 --> 1:38:28.000]  and SSD is set up for the reset button.
[1:38:28.000 --> 1:38:32.000]  Like storage used to be scaling with my digital hoarding.
[1:38:32.000 --> 1:38:33.000]  And then SSDs would be like,
[1:38:33.000 --> 1:38:34.000]  oh, no, actually.
[1:38:34.000 --> 1:38:35.000]  It struck everything with like that.
[1:38:35.000 --> 1:38:37.000]  It's just now barely catching up again
[1:38:37.000 --> 1:38:38.000]  with one terabyte SSD.
[1:38:38.000 --> 1:38:39.000]  Right.
[1:38:41.000 --> 1:38:42.000]  All right, let me take a third break here
[1:38:42.000 --> 1:38:45.000]  and thank our last sponsor,
[1:38:45.000 --> 1:38:47.000]  another long time friend of the show,
[1:38:47.000 --> 1:38:49.000]  our good friends at Squarespace.
[1:38:49.000 --> 1:38:54.000]  And they've got brand new Squarespace 7.
[1:38:54.000 --> 1:38:57.000]  It's an all new interface to Squarespace.
[1:38:57.000 --> 1:38:58.000]  You don't have to do anything.
[1:38:58.000 --> 1:39:00.000]  It's not like a new product you have to sign up for.
[1:39:00.000 --> 1:39:01.000]  If you're already on Squarespace,
[1:39:01.000 --> 1:39:04.000]  you can just opt in to get the new interface.
[1:39:04.000 --> 1:39:07.000]  But they've done an enormous amount of work.
[1:39:07.000 --> 1:39:09.000]  It's a huge upgrade.
[1:39:09.000 --> 1:39:12.000]  And it's all of it is to make things simple,
[1:39:12.000 --> 1:39:15.000]  simpler and easier while retaining the power
[1:39:15.000 --> 1:39:17.000]  and complexity of the Squarespace platform.
[1:39:17.000 --> 1:39:18.000]  Right.
[1:39:18.000 --> 1:39:19.000]  So what is Squarespace?
[1:39:19.000 --> 1:39:20.000]  It's you need a website.
[1:39:20.000 --> 1:39:21.000]  You go to Squarespace.
[1:39:21.000 --> 1:39:23.000]  You sign up and now you have a website
[1:39:23.000 --> 1:39:25.000]  and they aim to solve all the basics
[1:39:25.000 --> 1:39:28.000]  of your online identity by providing easy,
[1:39:28.000 --> 1:39:31.000]  beautiful solutions for your website,
[1:39:31.000 --> 1:39:33.000]  for email, for images, logos,
[1:39:33.000 --> 1:39:34.000]  domains.
[1:39:34.000 --> 1:39:37.000]  You can do domain registration for them.
[1:39:37.000 --> 1:39:40.000]  And everything that they've learned
[1:39:40.000 --> 1:39:41.000]  from the millions of websites.
[1:39:41.000 --> 1:39:43.000]  And that's they have millions of websites
[1:39:43.000 --> 1:39:44.000]  people have built using Squarespace.
[1:39:44.000 --> 1:39:47.000]  And they've looked at where people were getting stuck
[1:39:47.000 --> 1:39:49.000]  with what Squarespace was before.
[1:39:49.000 --> 1:39:50.000]  And they've addressed it.
[1:39:50.000 --> 1:39:52.000]  So some of the new features they've added in Squarespace 7.
[1:39:52.000 --> 1:39:57.000]  They have title pages, cover pages.
[1:39:57.000 --> 1:40:00.000]  So if you want to put like even brand your product,
[1:40:00.000 --> 1:40:02.000]  you're using Squarespace to promote your product.
[1:40:02.000 --> 1:40:03.000]  You've got a brand new feature.
[1:40:03.000 --> 1:40:05.000]  You can add a cover page,
[1:40:05.000 --> 1:40:07.000]  sort of like what Apple does with their home page.
[1:40:07.000 --> 1:40:10.000]  You can have a cover page that people will see
[1:40:10.000 --> 1:40:14.000]  and click through before they go to your regular home page.
[1:40:14.000 --> 1:40:16.000]  All of their editing stuff they do,
[1:40:16.000 --> 1:40:18.000]  instead of going into a separate mode
[1:40:18.000 --> 1:40:20.000]  when you're logged in, you can just drag and drop
[1:40:20.000 --> 1:40:23.000]  to edit right there on your actual website.
[1:40:23.000 --> 1:40:25.000]  It's a lot more wizzy wick.
[1:40:25.000 --> 1:40:27.000]  Your website will look exactly like you arrange it.
[1:40:27.000 --> 1:40:30.000]  You don't have to have one window where you're in an editing mode.
[1:40:30.000 --> 1:40:32.000]  And a second window where it shows it
[1:40:32.000 --> 1:40:34.000]  and you have to keep switching between the two windows
[1:40:34.000 --> 1:40:39.000]  and reloading to see it, you just do it right there in place.
[1:40:39.000 --> 1:40:42.000]  They have new taste maker templates.
[1:40:42.000 --> 1:40:44.000]  They're working with cool musicians, artists,
[1:40:44.000 --> 1:40:47.000]  architects, and chefs to develop new templates
[1:40:47.000 --> 1:40:50.000]  that cater to each of those professions.
[1:40:50.000 --> 1:40:52.000]  So, whatever field you're in,
[1:40:52.000 --> 1:40:54.000]  whatever you're building a website to promote,
[1:40:54.000 --> 1:40:56.000]  they're expanding the range of templates
[1:40:56.000 --> 1:40:59.000]  that are automatically laid out
[1:40:59.000 --> 1:41:02.000]  to integrate with what you need to give you
[1:41:02.000 --> 1:41:04.000]  an interface that's exactly what you would want
[1:41:04.000 --> 1:41:08.000]  if you are, say, setting up a restaurant website.
[1:41:08.000 --> 1:41:10.000]  All sorts of cool stuff like that.
[1:41:10.000 --> 1:41:13.000]  Where do you go to find out more?
[1:41:13.000 --> 1:41:18.000]  Easy. You go to squarespace.com.
[1:41:18.000 --> 1:41:22.000]  Slash Gruber, GRU-B-E-R.
[1:41:22.000 --> 1:41:26.000]  My last name is Squarespace.com slash Gruber
[1:41:26.000 --> 1:41:29.000]  and they have a discount code when you sign up.
[1:41:29.000 --> 1:41:31.000]  That's just my initials, JG.
[1:41:31.000 --> 1:41:32.000]  10% off.
[1:41:32.000 --> 1:41:34.000]  So go to squarespace.com.
[1:41:34.000 --> 1:41:35.000]  Check out all of these.
[1:41:35.000 --> 1:41:37.000]  I can't, I would take half an hour
[1:41:37.000 --> 1:41:39.000]  to go through all these features in Squarespace 7.
[1:41:39.000 --> 1:41:40.000]  There's so many of them.
[1:41:40.000 --> 1:41:42.000]  Go there, check it out.
