[00:00.000 --> 00:03.640]  So live in life one I'll tell you yeah, you know
[1:27:05.260 --> 1:27:10.140]  So forgive me, but they were like, you know, you can complain about Chris Lee turning to him when you have started a foundation
[1:27:10.140 --> 1:27:14.060]  Which is raised, you know x amount of dollars for for these things like seriously
[1:27:14.060 --> 1:27:21.020]  You know, they could have had anybody on there any any loser who wanted to wear an Apple watch and come on stage or or film a promo
[1:27:21.420 --> 1:27:26.540]  And instead they had somebody who'd really done real good right, and I think that you got to acknowledge that
[1:27:26.540 --> 1:27:30.860]  Yeah, you know could have been you know, Peyton Manning or something not, you know, not even though, you know
[1:27:32.060 --> 1:27:37.100]  No, no, I should say loser and flick it flip it turns, but yeah, they could have had somebody who was just
[1:27:37.660 --> 1:27:40.620]  Just realizing it. I really didn't mean to say I like Peyton
[1:27:40.620 --> 1:27:45.420]  Manning, I didn't mean it, but you know like that was brutal, but I don't know or you know
[1:27:45.420 --> 1:27:49.900]  Like it's some athlete who was injured last year and you know used Apple watch to you know
[1:27:50.540 --> 1:27:56.860]  Conditioning to come back from a knee injury or something. I don't could have been anything that they could have had bubbles in of all out there
[1:27:57.580 --> 1:27:59.580]  Oh, this is how I lost my weight again
[1:28:00.860 --> 1:28:02.860]  I'm sorry Pablo. I apologize
[1:28:03.740 --> 1:28:06.940]  But yeah, I think that it's it's an interesting
[1:28:06.940 --> 1:28:11.500]  It was an interesting choice and in the end, I think it was a
[1:28:12.300 --> 1:28:19.180]  Better choice than it could have been in a lot of ways. I thought there was an interesting moment up front where when Tim was talking about
[1:28:21.020 --> 1:28:29.500]  Digital touch and the as a communication feature with the doodles and the taps and the heartbeat and he said I hope somebody send me one of those
[1:28:30.780 --> 1:28:33.900]  Which was I thought oddly personal, you know like
[1:28:33.900 --> 1:28:39.900]  You know, it seemed as though he was you know, like saying
[1:28:41.420 --> 1:28:43.420]  I'm not quite sure how to
[1:28:43.420 --> 1:28:45.420]  Tim Cook looking for love
[1:28:46.540 --> 1:28:53.180]  Right yeah, I think it was I mean, I think it was a joke and it fell firmly in the dad joke range, right?
[1:28:53.180 --> 1:28:57.740]  Which is what you usually get on Apple stage and I thought that was you know a good nod to that
[1:28:57.740 --> 1:29:04.540]  Um, yeah, it wasn't an interesting one. I remember I remember that. I don't know. I don't want to read too much
[1:29:04.540 --> 1:29:11.580]  It was just it was a good job. Yeah, I don't think you know too much to it, but I do but I think that I do think that's an important part of the watch though
[1:29:12.300 --> 1:29:14.860]  I think it's a very very
[1:29:16.620 --> 1:29:20.620]  I'm gonna say downright essential to its success. I really do think so
[1:29:21.500 --> 1:29:25.500]  I think if those things don't take off and people don't use them there might be in trouble
[1:29:25.500 --> 1:29:27.500]  Yeah, I think that
[1:29:29.420 --> 1:29:34.540]  You know, I wrote I wrote the thing about the Apple Watch saving time which I genuinely believe it's gonna save a lot of time
[1:29:36.300 --> 1:29:41.580]  But I acknowledge that spending $300 or $500 or whatever to save
[1:29:42.140 --> 1:29:45.740]  Time seems silly, but I think it may actually translate to
[1:29:46.620 --> 1:29:49.340]  improved human relationships, right?
[1:29:49.340 --> 1:29:52.700]  So if I spend less time looking at my phone it's been more time looking at my wife and kid
[1:29:52.700 --> 1:29:57.980]  I'm gonna feel good about that and I'm gonna feel happy because you you can't
[1:29:58.940 --> 1:30:00.940]  You can't know
[1:30:01.100 --> 1:30:07.260]  Until you get I think it's may come with age or may come with if you get really busy at work
[1:30:07.580 --> 1:30:13.100]  Or you get really busy in in your career or anything like that you you don't know the impact that
[1:30:13.580 --> 1:30:20.540]  Extra time has you know time with your family time away from that has until you lose it or don't have it and then when you
[1:30:20.540 --> 1:30:26.220]  Don't have it you would do anything to get it back and I think that that is going to be a very powerful thing
[1:30:26.460 --> 1:30:29.660]  But I think along with that that interpersonal relationship
[1:30:30.060 --> 1:30:35.260]  You know with the taps and the constant communication the ability to literally reach out and and
[1:30:36.060 --> 1:30:42.620]  Touch your watch which then figuratively touches the other person which then literally touches the other person, right?
[1:30:42.940 --> 1:30:47.660]  I think that that's an interesting translation and it'll be it'll be neat to see how that develops over time
[1:30:47.660 --> 1:30:51.820]  But it's we're not gonna be able to tell until it people that people actually do it
[1:30:51.820 --> 1:30:57.900]  So they could say it all they want what we have to see whether or not that actually takes off. Yeah, I talked about it on
[1:30:58.700 --> 1:31:00.540]  the debug
[1:31:00.540 --> 1:31:04.220]  podcast with Guy English and Renee Ritchie and
[1:31:04.780 --> 1:31:07.020]  the other special guest with John Edwards who's a
[1:31:07.900 --> 1:31:09.580]  watchmaker and
[1:31:09.580 --> 1:31:15.660]  App developer. He's got apps that are like meant for people who are in the watches like you can you know measure the
[1:31:15.660 --> 1:31:22.300]  The accuracy of your mechanical watch with his apps and it really really smart guy knows a lot about the the traditional watch world
[1:31:22.380 --> 1:31:24.380]  But on that show I was talking about a thing
[1:31:25.900 --> 1:31:29.820]  It was actually my friend Adam Leesegor, you know lonely sandwich on Twitter
[1:31:30.700 --> 1:31:36.900]  The sandwich video guy, but we talked about this the Singleton conference back in October and he really opened my mind about this
[1:31:36.900 --> 1:31:43.660]  He was you know his thing was that he thinks everybody is just overlooking that Apple has invented the first ever
[1:31:43.660 --> 1:31:49.980]  Way to touch someone you're intimate with without being within arms distance of them
[1:31:50.700 --> 1:31:53.580]  and in fact you can be you know around the world and
[1:31:55.420 --> 1:31:58.700]  That's really interesting maybe it'll turn out to be nothing
[1:31:58.700 --> 1:32:03.100]  I don't know but I think that there's an enormous amount of potential there, you know
[1:32:03.100 --> 1:32:06.380]  And I know that Apple keeps using the words intimate and
[1:32:06.380 --> 1:32:13.420]  Personal or most personal device ever and you know it could just be marketing spin, but I I
[1:32:14.460 --> 1:32:18.060]  Don't know I honestly think you know in like I said earlier
[1:32:18.060 --> 1:32:20.620]  I think Apple's product marketing usually is
[1:32:21.260 --> 1:32:28.220]  Really about the development of the product and then the advertising is just telling you what they honestly think about it
[1:32:28.860 --> 1:32:34.700]  And so you know, I think there's a scenario where that's truly what they believe that this is intimate and
[1:32:34.700 --> 1:32:41.020]  And that you know being able to send your heartbeat to someone you have a crush on
[1:32:41.900 --> 1:32:47.580]  You know or you know someone you've been married to for 10 15 years or whatever or your kid
[1:32:48.300 --> 1:32:50.300]  is
[1:32:51.340 --> 1:32:55.420]  Profound, you know, I'm I'm hesitant to to
[1:32:56.700 --> 1:33:02.460]  To brush this aside as a gimmick the most intimate thing that I have
[1:33:02.460 --> 1:33:06.860]  Promotely with like my wife for instance is our I message
[1:33:07.580 --> 1:33:11.660]  Stream, right? Like that is our that's our communication method
[1:33:11.980 --> 1:33:16.300]  We don't talk on the phone a whole lot unless they we have something explicit to say or we're driving
[1:33:16.620 --> 1:33:22.060]  You know in our day-to-day like a picture of my daughter or a picture of where I am
[1:33:22.060 --> 1:33:25.740]  So she just knows I'm safe and where I am because I travel a lot for work
[1:33:26.460 --> 1:33:29.740]  That our I message stream is our intimate communication
[1:33:29.740 --> 1:33:33.500]  Window and yeah, I have an Android phone and I use that too
[1:33:33.500 --> 1:33:36.140]  But she doesn't so that doesn't become a conduit for us
[1:33:36.140 --> 1:33:42.140]  Although I assume it's very similar for an Android user, you know, they're text message inbox with their significant other
[1:33:42.940 --> 1:33:47.180]  Would be one of their most intimate streams of communication back and forth
[1:33:47.500 --> 1:33:51.500]  But text messaging has this problem with emotional context
[1:33:52.060 --> 1:33:57.420]  It's very difficult to to exhibit or transmit emotional context and text messaging
[1:33:57.420 --> 1:34:06.460]  It's a constant problem, right? And you that's why kind of emoji was kind of took off and still obviously still on the rise
[1:34:06.460 --> 1:34:08.220]  I think people are very very fond of it
[1:34:08.460 --> 1:34:09.980]  But I think that that
[1:34:09.980 --> 1:34:14.540]  Translating that into something that's tactile and visual
[1:34:15.420 --> 1:34:21.580]  On your wrist is a would be a very very powerful thing and I'm anxious to see how that developed. Yeah, so here's like a scenario
[1:34:21.580 --> 1:34:23.580]  I was thinking of so um
[1:34:23.740 --> 1:34:24.700]  like
[1:34:24.700 --> 1:34:31.180]  My son desperately wants an Apple watch very very much so it's a you know high expectation that he's gonna get one for Christmas
[1:34:35.340 --> 1:34:40.220]  Like imagine me picking up from school. It's three o'clock and you know
[1:34:41.100 --> 1:34:43.580]  I just want to let him know hey, I'm here, you know
[1:34:44.140 --> 1:34:50.620]  so one tap to communication one tap to pick his thing and then I give the phone a force tap so
[1:34:50.620 --> 1:34:55.500]  Click the button one tap on this green one force touch and then all of a sudden
[1:34:55.820 --> 1:34:59.820]  He gets a tap on his wrist and looks down and it just shows that I sent it, you know
[1:34:59.820 --> 1:35:04.300]  My name is there and it just shows that I sent him a tap and then he'll just know that it's like me saying hey
[1:35:04.620 --> 1:35:07.980]  I'm here like I don't have to say I'm here. I don't have to send him any words
[1:35:08.620 --> 1:35:11.900]  Just tap here. I am I'm out back, right?
[1:35:12.380 --> 1:35:17.020]  Like in the context is the rest. Yeah, the context is the rest because he's on his way out the door
[1:35:17.020 --> 1:35:21.820]  You know at three three o'one after schools over like he'll get it. You know
[1:35:22.860 --> 1:35:26.380]  That's pretty interesting to me. Yeah, and I
[1:35:28.860 --> 1:35:34.220]  This is essentially what the guys at yo were trying to sell I said that right with the context of the yo
[1:35:34.220 --> 1:35:39.980]  Yeah, oh, oh you did okay, maybe that's what I read, but yeah, they it is right. Yeah, I mean, that's the thing
[1:35:40.540 --> 1:35:44.380]  Yeah, and so everybody made fun of yo, you know that right like it became a big
[1:35:44.380 --> 1:35:46.940]  I don't think it's like what is it but
[1:35:48.940 --> 1:35:55.900]  But I totally see it that way, you know, and I feel like by being physical instead of verbal instead of
[1:35:56.540 --> 1:36:01.660]  a stream of ASCII characters that display on a screen that you read by being
[1:36:02.140 --> 1:36:10.220]  Physical it could be that could be super important. I try not to just dismiss stuff like that like yo and like this
[1:36:10.220 --> 1:36:15.580]  Step thing out of hand like I'll make jokes about yo just like anybody else or whatever because I think it's it's funny
[1:36:15.740 --> 1:36:17.740]  Especially when they're giving millions of dollars before
[1:36:18.300 --> 1:36:20.860]  Having proven that it actually has traction or anything
[1:36:21.100 --> 1:36:21.900]  um
[1:36:22.060 --> 1:36:27.740]  But I think that it's there's the simpler something is the easier it is to make jokes and fun about it
[1:36:27.900 --> 1:36:35.100]  You know and yet those are usually the things that have the potential to be the most powerful because of their simplicity
[1:36:35.100 --> 1:36:43.420]  All right, so yeah, you know yo, it's non-verbal communication can be so important, but it's always been about
[1:36:44.460 --> 1:36:50.380]  Being in proximity to each other right like so like just another stupid example now
[1:36:50.380 --> 1:36:53.980]  This one I don't know is replaceable by the watch, but it's like imagine you're at a
[1:36:54.860 --> 1:36:57.180]  Family dinner. It's Thanksgiving or something like that
[1:36:57.180 --> 1:37:00.860]  You're at the grandparents house and it's long and it's boring and people are talking about boring stuff
[1:37:01.580 --> 1:37:03.660]  And if you're sitting next to your kid
[1:37:03.660 --> 1:37:08.460]  You can just and you know that they're bored just give their leg a little squeeze and then they look at you
[1:37:08.460 --> 1:37:13.820]  And you just give them a look like I know. Hey, thanks for putting up. You know, you can just shoot a look like
[1:37:13.820 --> 1:37:16.060]  Hey, thanks for putting up with this. I know this is boring
[1:37:16.700 --> 1:37:21.820]  Uh, you know, I'm just saying anything right and it's like non-verbal communication you can do things so
[1:37:22.300 --> 1:37:26.220]  That are so interesting and truth be told that the word applies. It's intimate
[1:37:27.980 --> 1:37:29.980]  So I'm curious how to play out. I
[1:37:29.980 --> 1:37:34.140]  Do think I think people did associate the oh, yeah, go ahead
[1:37:34.140 --> 1:37:39.020]  Well, I just think the other angle that's important is that it only works if everybody involved has an Apple watch
[1:37:40.700 --> 1:37:44.300]  Check yeah, yeah, that's true. I mean, obviously that's important for Apple
[1:37:46.380 --> 1:37:48.380]  It's important for them to
[1:37:49.020 --> 1:37:53.580]  Convince you that the two-way aspect of it is important because that means that
[1:37:54.220 --> 1:37:56.540]  You know, you're you're gonna get it's not just the most
[1:37:56.540 --> 1:38:02.060]  Techie person in the family will own one because then half the stuff that they that is available to them won't work
[1:38:02.460 --> 1:38:07.260]  Right, you have to have it's sort of a family device that everybody has one
[1:38:08.060 --> 1:38:12.860]  Um, so they have a potential assault a lot of these things. I think yeah, totally
[1:38:13.420 --> 1:38:14.940]  um
[1:38:15.100 --> 1:38:17.660]  What did you think of Kevin Lynch?
[1:38:19.980 --> 1:38:24.140]  So I thought he did pretty well. I thought he was pretty good up there
[1:38:24.140 --> 1:38:28.300]  He seemed much more comfortable than he was last time
[1:38:29.020 --> 1:38:36.380]  Sort of owning his position now and and saying, you know, I'm okay being here. I have things to say and
[1:38:37.500 --> 1:38:41.180]  You know, I'm comfortable in in my knowledge of them
[1:38:41.580 --> 1:38:43.580]  That's the way it seemed to come across
[1:38:43.580 --> 1:38:46.620]  But I liked it. I thought he did a good job. I thought he was personable. He was comfortable
[1:38:47.260 --> 1:38:49.260]  He demonstrated stuff fairly well
[1:38:49.260 --> 1:38:55.260]  Um, yeah, I think you know, we're all it you know, we're just being honest
[1:38:55.260 --> 1:38:57.260]  you know we're harsh critics of
[1:38:57.740 --> 1:39:02.140]  The presenters at Apple events because the bar is so high and
[1:39:03.740 --> 1:39:07.660]  I think it was remarkable how much better he did I don't think he did terribly in September
[1:39:07.660 --> 1:39:14.060]  But it was awkward at times and he seemed a little just a little unpolished and I thought it was remarkable
[1:39:14.060 --> 1:39:16.780]  How much better he did having only done one of them before?
[1:39:16.780 --> 1:39:25.020]  Mm-hmm. Yeah, he was he was very very nervous last time you could tell and he'd definitely overcame that
[1:39:25.420 --> 1:39:31.660]  This time around. I thought it was he stepped up. Yeah, you know because this is the Apple events the super bowl of tech events
[1:39:31.660 --> 1:39:37.260]  So I think he really stuff yeah, and Craig Federigi comes in mind Craig Federigi when he rejoined
[1:39:37.260 --> 1:39:39.580]  Apple and his first on stage appearance was
[1:39:40.140 --> 1:39:44.940]  Forget when it was but I know it was the back to the Mac event where they first announced hey
[1:39:44.940 --> 1:39:49.740]  Here's a whole bunch of things that we've been doing on iOS that we're going to bring to the Mac in the next version and
[1:39:50.700 --> 1:39:57.020]  His hands were literally shaking like he had trouble going through the demo because his hand on the mouse was shaking and he
[1:39:57.340 --> 1:40:01.020]  Wasn't able to click and it was almost like awkward to watch and now
[1:40:01.580 --> 1:40:05.900]  He's one of the best presenters they have in fact on Twitter as much as people
[1:40:06.140 --> 1:40:07.980]  It's you know, we're argue, you know
[1:40:07.980 --> 1:40:10.380]  We're arguing that he's the best that he's even better than you know
[1:40:10.380 --> 1:40:13.340]  Shiller or Tim Cook that he's the best that they have and it only you know
[1:40:13.340 --> 1:40:15.340]  Was only like two or three events in?
[1:40:16.460 --> 1:40:18.620]  Yeah, I agree that he is one of their best
[1:40:18.940 --> 1:40:22.780]  He has a presence. He comes on stage now and he seems like he's having fun
[1:40:23.740 --> 1:40:29.900]  He really he's he works the room. Yeah, you know, and I think that that is a it's a different
[1:40:29.900 --> 1:40:36.220]  It's actually a different very different than chillers measured take or Tim's like passion
[1:40:36.700 --> 1:40:39.900]  Thing that he's got you know, it's very much like hey
[1:40:39.900 --> 1:40:44.860]  We're all here. We got some really cool stuff. We think you'll love to see it. You know
[1:40:44.860 --> 1:40:49.420]  Let's just have some fun up here. Look at my hair. You know, he's he comes across like
[1:40:50.060 --> 1:40:54.780]  To me like Bob Saggot on the old full-house show like he's just
[1:40:55.260 --> 1:41:01.980]  Just owns the dad Joe nature of it, you know, and which is funny because and Bob and Bob's not like that at all, right?
[1:41:01.980 --> 1:41:05.500]  Like Bob Saggot is actually one of the like dirtiest comics
[1:41:05.500 --> 1:41:09.900]  And like I like anybody knows anything about like stand-up comedy comedians
[1:41:09.900 --> 1:41:12.620]  And like knows that Bob Saggot is like just brutally
[1:41:13.580 --> 1:41:15.580]  Blue in his usual stuff
[1:41:15.580 --> 1:41:22.380]  So like the idea that he was like playing this g rated dad on a hit show was like
[1:41:22.860 --> 1:41:27.740]  Just icing on the cake, but but that's what right it was almost stunt cast right, you know
[1:41:27.900 --> 1:41:31.340]  It just he wasn't extremely well-known at the time right, but he totally, you know
[1:41:31.420 --> 1:41:32.700]  He he bought into it though
[1:41:32.700 --> 1:41:36.540]  Like you know, he totally sold and like federated. He's like that like his you know
[1:41:36.540 --> 1:41:40.780]  He totally owns the corny jokes that he you know sprinkles throughout this thing. He's
[1:41:41.740 --> 1:41:47.340]  Yeah, and they don't work if you don't right they don't the they come off as forced or awful or grown
[1:41:47.340 --> 1:41:52.300]  Where the and people will grown even now, but they're grown good naturely because they know he's in on the joke
[1:41:52.300 --> 1:41:54.380]  Yeah, there's like I'm that's why he comes off
[1:41:54.380 --> 1:41:57.660]  There's like a meta level to it. It's like two levels deeper on the one level
[1:41:57.660 --> 1:42:00.140]  He totally tries to sell the joke as hard as he can
[1:42:00.140 --> 1:42:07.500]  But on another level. He's also got like I know this is corny like he's not trying to convince you that this is you know anything
[1:42:07.500 --> 1:42:14.220]  But you know g rated corporate comedy, you know, he owns that's why would people refer to dad jokes
[1:42:14.380 --> 1:42:20.300]  That's what they're saying like your dad knows what he's saying is corny, but he's just like he just wants to talk to you
[1:42:20.300 --> 1:42:26.220]  Right that's all he's doing. He's like trying to initiate a conversation and be like and he knows that you're gonna
[1:42:26.220 --> 1:42:31.500]  Think it's corny and he's doing it big almost because of that right so that you guys are both in on the joke
[1:42:32.060 --> 1:42:34.220]  And I think that's that that's what comes across there
[1:42:34.700 --> 1:42:35.900]  Let me take one last break here
[1:42:35.900 --> 1:42:37.740]  And then we'll we'll keep going on Apple watch
[1:42:37.740 --> 1:42:42.860]  But I want to say I have one more that sponsor to thank and it's our good friends at square space
[1:42:43.580 --> 1:42:46.220]  Now square space is you're all in one
[1:42:46.780 --> 1:42:52.460]  website building designing hosting product you go to square space and
[1:42:52.460 --> 1:42:56.140]  Sign up and boom you have a website
[1:42:57.180 --> 1:43:03.420]  The old days you said you know to to get a website started g's what do we do you just go to a hosting service and what do you have?
[1:43:03.420 --> 1:43:07.660]  You've like a HTML file like index dot HTML that says like
[1:43:08.140 --> 1:43:13.500]  Welcome to my website and then you have to start from there and you have to design your website figure out what it looks like
[1:43:13.900 --> 1:43:21.660]  Then figure out the HTML and CSS that would actually make it look like what you want it to look like and then you have to upload it all
[1:43:21.660 --> 1:43:23.740]  And then you have to figure out some kind of
[1:43:24.540 --> 1:43:30.220]  Content management system if it's something that you want to update regularly like a blog or something like that
[1:43:31.180 --> 1:43:35.100]  And you had to do it all by hand square space is totally different
[1:43:35.100 --> 1:43:39.740]  It's just a whole level up from that you go to square space and sign up
[1:43:40.300 --> 1:43:47.420]  And you start just by picking templates to choose from and they have a whole bunch of them all professionally designed all of them
[1:43:47.420 --> 1:43:55.020]  Responsive so they scale up from everything from a phone to a tablet to a big 30 inch display
[1:43:55.820 --> 1:44:03.660]  And they're configurable not by using code, but just drag and drop if you want this thing on the right instead of on the left
[1:44:03.660 --> 1:44:06.380]  You just drag it from the left to the right and boom there it is
[1:44:07.020 --> 1:44:09.500]  And they've it's always been like that
[1:44:09.500 --> 1:44:13.020]  That's but square space is done right from the beginning but with the newest version
[1:44:13.020 --> 1:44:18.380]  They call it square space seven and you can go to squarespace.com slash seven spell it out
[1:44:18.380 --> 1:44:22.540]  SEV and like like the movie and see all the new stuff
[1:44:23.740 --> 1:44:29.020]  But they've really really taken it to a new level in terms of just how much it's visual and
[1:44:29.500 --> 1:44:33.820]  Dragon Drop and what you see is what you get for web design
[1:44:34.620 --> 1:44:39.020]  And they handle everything all the hosting and everything too everything is all it's not separate
[1:44:39.020 --> 1:44:44.060]  It's all just one thing you go there you build your website and you have a website. It's that easy
[1:44:44.700 --> 1:44:50.220]  Um, they have a partnership now one of the squarespace seven features is a partnership with
[1:44:50.780 --> 1:44:51.740]  Getty images
[1:44:51.980 --> 1:44:56.140]  So if you have something where you need to pull in stock photography
[1:44:56.700 --> 1:45:00.620]  Or illustrations or something like that that's built into the product now to
[1:45:01.260 --> 1:45:05.260]  Um, they take care of all the licensing and everything like that. So you're tall on the up and up
[1:45:05.260 --> 1:45:09.820]  Uh, legally and copyright wise. They have integration now with Google apps
[1:45:10.060 --> 1:45:15.580]  Which is really really profound for people who use Google apps for work and stuff like that
[1:45:16.540 --> 1:45:21.660]  And everything is just beautiful. They have 24 seven support via live chat and email
[1:45:22.460 --> 1:45:28.380]  And the whole thing it starts at just eight bucks a month, which is unbelievably great deal
[1:45:29.500 --> 1:45:34.140]  And if you pay for a year in advance, you even get a free domain name registration
[1:45:34.140 --> 1:45:36.140]  Uh
[1:45:36.140 --> 1:45:41.260]  Commerce every website comes with free online store. So if you have something you want to sell if the website your building is
[1:45:41.340 --> 1:45:42.220]  You know
[1:45:42.220 --> 1:45:44.220]  Something about some kind of product. You're going to sell
[1:45:44.620 --> 1:45:47.180]  That's just a built-in feature. You don't even have to pay extra for it
[1:45:47.260 --> 1:45:51.100]  It's just something you can turn on and use if that's what you're building a website for
[1:45:51.980 --> 1:45:57.580]  Just can't emphasize enough how just about any kind of website you want to build you can build with squarespace
[1:45:57.660 --> 1:46:00.780]  blog if you have a podcast you want to host you can host a podcast
[1:46:00.780 --> 1:46:07.340]  If you're an artist or a designer or something like that you can use it to create
[1:46:08.220 --> 1:46:10.700]  Your product portfolio show off your work
[1:46:11.340 --> 1:46:15.820]  If you create things and make things you have something to sell you can use it to build a store
[1:46:16.380 --> 1:46:22.140]  It's hard to think of something that you couldn't build with square space. So where do you go for more information?
[1:46:22.780 --> 1:46:24.780]  go to
[1:46:24.780 --> 1:46:32.220]  squarespace.com slash Gruber my last name squarespace.com slash Gruber that I'll let him know you came from the show
[1:46:32.940 --> 1:46:38.780]  Um, and you can get started for free. I think you get a whole month just sign up and you can try it for free
[1:46:39.500 --> 1:46:40.540]  Um
[1:46:40.540 --> 1:46:45.500]  You're gonna keep it afterwards when you do pay if you use my code
[1:46:45.740 --> 1:46:54.060]  It's jg my initials just use jg is the code. You'll save 10% off your first purchase and show your support for the talk show
[1:46:54.060 --> 1:46:59.580]  So my thanks to square space go check them out at squarespace.com slash Gruber
[1:47:00.300 --> 1:47:04.060]  So if there's anything that I was disappointed by in the event
[1:47:04.140 --> 1:47:06.140]  It was that they didn't really show
[1:47:06.700 --> 1:47:12.620]  Anything new that they hadn't shown before and I kind of expected that they would accept for third-party stuff
[1:47:13.260 --> 1:47:15.260]  Which they obviously couldn't show with the original
[1:47:15.660 --> 1:47:18.860]  Yeah, I did I wanted them to to
[1:47:19.740 --> 1:47:21.740]  expose
[1:47:21.740 --> 1:47:25.580]  They're reasoning a little bit which they have done in the past, right?
[1:47:26.140 --> 1:47:29.980]  And I think that a lot of this comes in the form of on stage it comes in the form of
[1:47:30.540 --> 1:47:33.900]  We think this is going to be great for x and y, right?
[1:47:34.380 --> 1:47:39.100]  And that is their way of saying these are the things that we were thinking about when we made it
[1:47:39.420 --> 1:47:41.420]  Right and they don't do it always super explicitly
[1:47:41.820 --> 1:47:44.780]  But it seems like you generally get kind of those knots, right?
[1:47:45.180 --> 1:47:49.020]  And it didn't seem like they did a whole lot of that for the watch. Yeah, definitely not
[1:47:49.020 --> 1:47:51.020]  I
[1:47:51.020 --> 1:47:54.780]  And I think I I think it shows. I think it it
[1:47:56.700 --> 1:47:57.740]  For better for worse
[1:47:57.740 --> 1:48:04.140]  I'm not willing to say that they're wrong. I'm not passing judgment yet, but it seems to me like their message is
[1:48:04.860 --> 1:48:11.980]  Starts with the idea that people want the Apple watch and that it's largely about which one do you want?
[1:48:13.020 --> 1:48:17.820]  And that they've they don't see the need to explain why you want it
[1:48:17.820 --> 1:48:19.820]  Do you agree?
[1:48:21.180 --> 1:48:25.500]  I think that's true. I think they don't see the need, but I also think they're wrong
[1:48:26.540 --> 1:48:34.380]  Right, so I think they they they feel that if you have an iPhone this first batch of of watch users
[1:48:34.940 --> 1:48:39.100]  Will be people that have an iPhone that want more iPhone-y stuff, right?
[1:48:39.500 --> 1:48:46.060]  That want more of that experience or want to have you know access to those things and here's some cool other things you can do with it
[1:48:46.060 --> 1:48:49.100]  And that's enough and and that is okay
[1:48:49.100 --> 1:48:50.540]  And it may work just fine
[1:48:50.780 --> 1:48:54.780]  But I think that they're wrong if they think and I'm also
[1:48:55.180 --> 1:48:59.340]  Remember I'm projecting motivations on them at this point, but if they think that that's enough
[1:48:59.340 --> 1:49:05.980]  I think they're wrong. I think they actually do need to or needed to focus a little bit more on
[1:49:06.380 --> 1:49:08.380]  use case scenarios
[1:49:08.380 --> 1:49:11.740]  because they're going up hill
[1:49:12.620 --> 1:49:14.620]  against this
[1:49:14.620 --> 1:49:16.620]  this sort of
[1:49:17.660 --> 1:49:19.660]  downward pressure
[1:49:19.660 --> 1:49:21.660]  of
[1:49:21.660 --> 1:49:24.700]  It's more money and it's another thing
[1:49:24.700 --> 1:49:28.060]  I've got in my life that may take attention from me and I
[1:49:28.540 --> 1:49:32.460]  Obviously because I wrote that I feel that it may actually give you back time
[1:49:32.860 --> 1:49:35.420]  But I think there was none of that explicitly said
[1:49:36.140 --> 1:49:39.260]  Yeah, or very little. I didn't mind the
[1:49:40.300 --> 1:49:41.260]  the
[1:49:41.260 --> 1:49:46.060]  What was the what's the word the the conceit of Kevin Lynch's
[1:49:46.620 --> 1:49:51.340]  demo of let's just run through a typical day in the life of an apple watch
[1:49:51.820 --> 1:49:53.820]  I think that was good
[1:49:53.820 --> 1:50:00.460]  You know and a lot of it was third party, but what was missing and they've never done is like with the original iPhone
[1:50:01.180 --> 1:50:04.860]  Steve Jobs was like here it is and then he showed it and here's the home screen
[1:50:05.660 --> 1:50:09.180]  And it was here's what all the apps do
[1:50:09.180 --> 1:50:15.580]  I'm not quite sure that he opened every app, but he certainly opened all the main ones, right? He opened you know
[1:50:15.580 --> 1:50:17.580]  He went through Safari
[1:50:17.580 --> 1:50:19.580]  he went through mail
[1:50:21.420 --> 1:50:25.020]  He went through the phone app and said, you know, we you know
[1:50:25.020 --> 1:50:29.580]  We've reinvented the phone and you know, here's you know voice mail sucks here now
[1:50:29.580 --> 1:50:33.660]  We've done it the right way. It's visual you get them in a list like just like your email and
[1:50:34.220 --> 1:50:38.300]  You can see who they're from and play them and delete them in a list like this
[1:50:38.300 --> 1:50:42.540]  You know, so you're not like an animal anymore sitting there stabbing buttons, right?
[1:50:42.940 --> 1:50:46.780]  Like you forget I mean I'm voice sucks anyway and everybody nobody really likes getting false
[1:50:46.780 --> 1:50:51.820]  But god voice mail sucked before the iPhone. It was ridiculous. Oh my god. It was yeah
[1:50:51.900 --> 1:50:55.100]  It was so bad and and once you got a few messages deep
[1:50:55.100 --> 1:50:58.060]  It was just horrific and so yeah that on stage it was such a
[1:50:58.540 --> 1:51:03.020]  Cool trick a lot. Yeah, so like maybe like you know your dad and your mom called you know
[1:51:03.020 --> 1:51:06.060]  You know two or three times a week a lot. You have a bunch of voicemails there
[1:51:06.060 --> 1:51:08.060]  But you've got a voicemail from
[1:51:09.260 --> 1:51:11.420]  You know like a doctor appointment or something like that
[1:51:11.420 --> 1:51:12.860]  That's four five deep now
[1:51:12.860 --> 1:51:17.980]  But you still need it because the doctors that that message is the only thing you have that has the phone number of the office
[1:51:18.140 --> 1:51:20.300]  And you need to call them back because you have to move your appointment
[1:51:20.540 --> 1:51:22.540]  So I get sucked before finding that message
[1:51:23.500 --> 1:51:25.500]  And it's you know
[1:51:26.460 --> 1:51:27.900]  He showed it though, right?
[1:51:27.900 --> 1:51:28.460]  I don't know
[1:51:28.460 --> 1:51:29.660]  I think he went through like calendar
[1:51:29.660 --> 1:51:30.700]  I maybe he didn't go through them all
[1:51:30.700 --> 1:51:33.980]  But it just seemed to me like and and at least you could see what they all are
[1:51:33.980 --> 1:51:36.220]  And if he didn't show you the calculator app
