[00:00.000 --> 00:01.160]  Let's do something unusual.
[40:32.560 --> 40:36.240]  It's one of those WTF demos, right?
[40:36.240 --> 40:40.080]  Like your mind is slightly blown by what they're showing you.
[40:40.640 --> 40:40.880]  Right.
[40:40.880 --> 40:47.120]  So I have not tried it firsthand because A, there was no in-person WWDC where they would
[40:47.120 --> 40:50.960]  have had some kind of early version set up perhaps for the media.
[40:50.960 --> 40:55.600]  And B, I don't have spare machines to install all these betas on.
[40:55.600 --> 40:59.760]  Although I would throw my iPad, going back to what we said about the iPad not really
[40:59.760 --> 41:05.760]  being essential to me, I would put the beta or an alpha, I'd put anything on the iPad.
[41:05.760 --> 41:10.240]  That's usually where I put the first, yeah, like the, you know, first betas.
[41:10.240 --> 41:14.160]  But people who are braver than me and have installed it across the board, I think Joe
[41:14.160 --> 41:18.800]  Rossignol, Rossignol, I don't know, I'll go Rossignol.
[41:18.800 --> 41:22.400]  At MacRumors has a video out and he seems very impressed.
[41:22.400 --> 41:27.600]  It certainly sounds cool, but it's not using your iPad as a secondary screen and you move
[41:27.600 --> 41:28.720]  Mac windows over there.
[41:28.720 --> 41:30.160]  We've had that for a while.
[41:30.160 --> 41:34.560]  This is actually like you just run your cursor over to the side and now your Mac trackpad
[41:34.560 --> 41:37.600]  is controlling your iPad running iPad apps.
[41:37.600 --> 41:38.320]  Very cool.
[41:38.320 --> 41:41.680]  I'm not sure if I have a use case for it, particularly.
[41:41.680 --> 41:49.760]  I use, I do use the iPad as a, like a, oh, like a Wacom tablet sort of thing.
[41:49.760 --> 41:55.280]  I do that a fair amount for making, like doing design stuff in Affinity Designer.
[41:55.280 --> 42:00.800]  And that I love and get a lot of use out of, but I'm not sure, I haven't figured out
[42:00.800 --> 42:02.480]  what I would use this for exactly yet.
[42:03.280 --> 42:07.440]  Yeah, I don't know either, but on the other hand, Apple must think it's going to be
[42:07.440 --> 42:12.240]  useful because it seems like it would, it's hard enough to do.
[42:12.240 --> 42:16.640]  I mean, I guess if you're sitting at a desk and you have multiple devices, I can see how
[42:16.640 --> 42:21.280]  you don't want to like set up an ergonomic nightmare where you're suddenly having to
[42:21.280 --> 42:22.480]  reach out for your iPad.
[42:22.480 --> 42:26.560]  When you're using your Mac, you just move your mouse over and you can use the iPad.
[42:26.560 --> 42:30.000]  So I can see, I can see how it might be useful, but I don't probably don't set up that way
[42:30.000 --> 42:30.480]  very much.
[42:31.120 --> 42:36.160]  Color me intrigued to play with it and color me skeptical that I have a need for it.
[42:36.160 --> 42:41.840]  Cause I also feel, and I know that there's stuff like the, under the umbrella name continuity.
[42:41.840 --> 42:45.600]  There's very cool features that have been around for years now where you, if you copy
[42:45.600 --> 42:49.840]  something on your iPhone, you can paste it on your iPad or your Mac.
[42:49.840 --> 42:54.800]  And it works just well enough that I assume it's going to work, but at least once a
[42:54.800 --> 42:55.760]  week, it doesn't.
[42:55.760 --> 42:59.680]  And it's, you copy it on your iPad and you go to your Mac and you paste thinking you're
[42:59.680 --> 43:05.360]  going to paste this URL you just copied and you get whatever crappy nonsense, whatever
[43:05.360 --> 43:08.720]  the random thing that used to be on your Mac clipboard is still there.
[43:08.720 --> 43:09.200]  I don't know.
[43:09.200 --> 43:10.640]  It doesn't work perfectly.
[43:10.640 --> 43:14.080]  That's the thing that I, yeah, it makes me a little bit leery of it as well.
[43:14.080 --> 43:17.280]  One of the things that drives me absolutely crazy, like little bugs like that drive me
[43:17.280 --> 43:17.520]  crazy.
[43:17.520 --> 43:21.840]  And one of the things that drives me berserk currently is when you have the automatic
[43:21.840 --> 43:27.040]  switching on for AirPods and I'm watching something like, cause I have a desk with my
[43:27.040 --> 43:29.440]  Mac mini that has my Plex server on it.
[43:29.440 --> 43:34.400]  And sometimes it'll be watching something and doing something on my air, my MacBook
[43:34.400 --> 43:40.240]  air and list, but listening to something on the Mac mini and a notification comes in like
[43:40.240 --> 43:46.560]  email, like an email comes in or a text comes in and it switches the audio input to the
[43:46.560 --> 43:46.880]  air.
[43:46.880 --> 43:48.720]  And that drives me absolutely bonkers.
[43:48.720 --> 43:51.440]  I wish there was a setting where it's like, don't do system alerts.
[43:52.000 --> 43:55.520]  If I, if I suddenly stop listening to, you know, stop watching when I'm watching on the
[43:55.520 --> 43:59.840]  mini and switch over to listening to music on my air, sure, do that.
[43:59.840 --> 44:02.320]  But like an email comes in, I don't care.
[44:02.320 --> 44:05.200]  I don't stop everything just because an email came in.
[44:06.000 --> 44:06.240]  Ching.
[44:07.040 --> 44:07.280]  Yeah.
[44:07.920 --> 44:10.640]  Or a text, they come in all the time.
[44:10.640 --> 44:12.800]  I think the ATP guys have talked about this.
[44:12.800 --> 44:17.840]  I forget which, which of them, one of them continues to insist on trying to use it.
[44:17.840 --> 44:22.080]  And I think Syracuse is the pessimist who says, don't even do it.
[44:22.080 --> 44:23.280]  I have it turned on.
[44:23.840 --> 44:27.760]  I still do, but I get frustrated when it goes the wrong way.
[44:27.760 --> 44:34.720]  And for me, it's often when I want to make like a phone call using my AirPods, which
[44:34.720 --> 44:35.280]  I love.
[44:35.280 --> 44:37.440]  I just love hearing it in both ears.
[44:37.440 --> 44:42.160]  I just feel like I actually hear the person so much better when I use my AirPods for a
[44:42.160 --> 44:42.640]  phone call.
[44:43.360 --> 44:50.080]  And I don't have, famously, I don't have a lot of like work phone calls, but man, oh
[44:50.080 --> 44:54.320]  man, whenever one does, it seems like that, Oh, somebody's going to call me to talk about
[44:54.320 --> 44:57.200]  something and okay, we'll do it at two o'clock on Tuesday.
[44:57.200 --> 44:59.920]  And it's scheduled and I want to be professional.
[44:59.920 --> 45:05.120]  And then here it is 1 59 and my AirPods will not disconnect from my Mac.
[45:05.120 --> 45:08.480]  And there's nothing like close the lid.
[45:08.480 --> 45:10.560]  I don't know, put this to sleep, shut it down.
[45:10.560 --> 45:11.280]  What do I do?
[45:11.280 --> 45:12.320]  How do I fix this?
[45:12.320 --> 45:18.400]  And it seems like when it's, if there's no pressure involved, if it's just me listening
[45:18.400 --> 45:21.280]  to a podcast on my own, it just all works perfectly.
[45:21.280 --> 45:26.320]  And when I know that somebody is going to call me 15 seconds from now, I cannot make
[45:26.320 --> 45:28.000]  it switch to my iPhone.
[45:28.000 --> 45:30.880]  And instead it's playing beeps and boops from my Mac.
[45:30.880 --> 45:34.160]  And then I think to myself, why did I ever even say, why don't I just keep them on my
[45:34.160 --> 45:34.880]  phone all the time?
[45:35.600 --> 45:36.240]  I don't know.
[45:36.240 --> 45:41.760]  So it's stuff like that that makes me leery of things like this, because I think it looks
[45:41.760 --> 45:45.680]  good, but is it going to work like, or is there going to be something that's just going
[45:45.680 --> 45:47.040]  to drive me absolutely crazy about it?
[45:47.040 --> 45:49.520]  And usually they iron that stuff out over time.
[45:49.520 --> 45:58.560]  It's so close to being good, but the gold standard is wired headphones where you know
[45:58.560 --> 45:59.920]  exactly what's going to happen.
[45:59.920 --> 46:03.200]  Like it gets back to the keyboard thing from before too, right?
[46:03.200 --> 46:10.960]  Where like 99.9% keyboard accuracy, like where you press the E key, do you get an E isn't
[46:10.960 --> 46:11.680]  good enough.
[46:11.680 --> 46:13.280]  99.9 isn't good enough.
[46:13.280 --> 46:18.400]  You really literally, you know, you should be able to use a computer nonstop every day
[46:18.400 --> 46:19.360]  for six years.
[46:19.360 --> 46:24.080]  And every single time you press E you get one E that's what wired headphones are like.
[46:24.080 --> 46:27.280]  You plug it in and it's like, you know, which device it's going to.
[46:27.280 --> 46:27.780]  Yeah.
[46:28.480 --> 46:31.040]  Says me, a guy I'm a big fan of the wireless headphones.
[46:31.040 --> 46:31.520]  I love them.
[46:31.520 --> 46:32.320]  Yeah, me too.
[46:32.320 --> 46:35.520]  I mean, I, I, and I'm so glad to be rid of wires, honestly.
[46:35.520 --> 46:41.120]  Like I, I mean, when podcasting, I'm connected with wires and this, these headphones are
[46:41.120 --> 46:46.800]  not super old, but they're already like janky at the connector part at the port because
[46:46.800 --> 46:49.600]  like I have to, and I have to, every time I sit down to podcast, I have to fiddle with
[46:49.600 --> 46:51.360]  it to make sure that I'm getting the full audio.
[46:51.360 --> 46:55.120]  So I don't like wires and I particularly don't like audio wires.
[46:55.120 --> 46:58.480]  And there's, there's so many other things to love about AirPods, but it's just that
[46:58.480 --> 47:01.360]  one that automatic switching thing is not, it's not perfect.
[47:01.920 --> 47:05.760]  Again, it's just frustrating because nothing short of a hundred percent accuracy is going
[47:05.760 --> 47:06.800]  to be satisfying.
[47:06.800 --> 47:10.800]  And a hundred percent accuracy sort of requires the AirPods to read your mind.
[47:13.200 --> 47:14.240]  So I get it.
[47:14.240 --> 47:17.440]  I just need one more setting, which is ignore system alerts.
[47:18.240 --> 47:19.600]  We were talking about how cold it is.
[47:19.600 --> 47:20.400]  It is very cold.
[47:20.400 --> 47:23.040]  It's winter here and you got to go out with winter coat.
[47:23.040 --> 47:27.520]  And so many people now seem to have AirPods or other wireless headphones.
[47:27.520 --> 47:31.840]  But now when I do see somebody like at the grocery store with a winter coat and like
[47:31.840 --> 47:38.160]  the actual cable snaking under their coat or out of their pocket, it's buddy, you really
[47:38.160 --> 47:39.200]  just a hundred bucks.
[47:39.200 --> 47:43.840]  You know, how about, how about the there's new emoji or emojis?
[47:43.840 --> 47:48.800]  People used to make fun of me cause I would pluralize emoji to emojis and people would
[47:48.800 --> 47:54.080]  make fun of me and say that it was one of the many things I, because it's Japanese.
[47:54.080 --> 47:54.720]  It's Japanese.
[47:54.720 --> 47:56.000]  There's no plural in Japanese.
[47:56.000 --> 47:56.640]  Yeah.
[47:56.640 --> 47:56.800]  Yeah.
[47:56.800 --> 48:00.960]  But the Emojipedia guys who I would think know what they're talking about.
[48:00.960 --> 48:02.640]  It seems as though both are accepted.
[48:02.640 --> 48:03.680]  I think it's fine.
[48:03.680 --> 48:04.080]  Yeah.
[48:04.080 --> 48:04.580]  Yeah.
[48:05.360 --> 48:06.240]  Whatever you want to do.
[48:06.240 --> 48:11.920]  Anyway, there's new, whatever, whether they are emoji or emojis, there's more of them
[48:11.920 --> 48:15.280]  in the new OS, OSs coming out.
[48:15.280 --> 48:20.000]  And I'm still, I love this backstory that it's like the, there's all, you know, like
[48:20.000 --> 48:24.800]  a long tail of people who don't like installing OS updates, but the thing that will make people
[48:24.800 --> 48:28.080]  install a new update is getting new emoji.
[48:28.080 --> 48:28.560]  Yeah.
[48:28.560 --> 48:34.000]  And that you can tell which version Apple thinks this is the one that everybody should
[48:34.000 --> 48:34.640]  update to.
[48:34.640 --> 48:39.120]  If you have a phone that's compatible with this version of iOS, this is the one you definitely
[48:39.120 --> 48:39.520]  should do.
[48:39.520 --> 48:41.520]  And that's when they put the new emojis in.
[48:41.520 --> 48:41.840]  Yeah.
[48:41.840 --> 48:44.880]  Cause nobody wants to be left behind.
[48:44.880 --> 48:46.880]  I don't use that many emoji.
[48:46.880 --> 48:49.760]  So it's not like, it's not at the top of my list.
[48:51.120 --> 48:53.520]  Although it ties into something that we were going to talk about.
[48:53.520 --> 48:57.520]  I don't know if you want to segue into that or not, but like, I have tried to use more
[48:57.520 --> 49:05.600]  emoji instead of the reactions because we have at least one friend who is on Android.
[49:06.640 --> 49:08.240]  Ah, the, the green bubble story.
[49:08.240 --> 49:09.760]  We should talk about it.
[49:09.760 --> 49:10.800]  Why not talk about it?
[49:10.800 --> 49:11.920]  Yeah, actually there's more yet.
[49:11.920 --> 49:16.240]  Cause we are in a carpool with people because Hank, we drive Hank to school, which is like
[49:16.240 --> 49:16.960]  a half an hour away.
[49:16.960 --> 49:18.640]  And so we're in a carpool with a bunch of people.
[49:18.640 --> 49:23.600]  And so that group, obviously there is a couple of people who, who have Android devices as
[49:23.600 --> 49:23.840]  well.
[49:24.880 --> 49:29.200]  And Karen will always react to things that people say on that with the Apple reactions,
[49:29.200 --> 49:31.360]  which drives me crazy because she doesn't see it.
[49:31.360 --> 49:34.080]  She doesn't see Karen liked whatever.
[49:34.080 --> 49:34.320]  Right.
[49:35.360 --> 49:36.240]  What did they say?
[49:36.240 --> 49:41.840]  I like, I guess is the thumbs up reaction or a tap back you're talking about.
[49:41.840 --> 49:43.280]  Yeah, I think that's the thumbs up thing.
[49:43.280 --> 49:43.520]  Yeah.
[49:43.520 --> 49:45.200]  And then love does the heart.
[49:45.200 --> 49:45.440]  Yeah.
[49:45.440 --> 49:50.080]  But what do they say if you give it a ha ha laugh, laughed at, I think laughed at.
[49:50.080 --> 49:50.240]  Yeah.
[49:50.960 --> 49:51.600]  Yeah.
[49:51.600 --> 49:56.000]  And, and, and what's, what's the, the exclamation marks that I don't know.
[49:56.000 --> 49:56.800]  People don't use that much.
[49:56.800 --> 50:00.240]  I use, I think I use that more than other people do, but yeah, I do too.
[50:00.240 --> 50:01.920]  I don't use the question marks.
[50:01.920 --> 50:08.160]  I've said, I said the one I would like to pay for, I would like a middle finger, which
[50:08.160 --> 50:13.760]  of course raises the point on an eggplant or, you know, that's not bad, but why are
[50:13.760 --> 50:14.320]  they separate?
[50:14.320 --> 50:16.560]  Why can't you just tap back with any emoji?
[50:17.360 --> 50:18.880]  Yeah, that'd be the way it works.
[50:18.880 --> 50:21.680]  You know, and I, that's sort of like how Slack reactions work.
[50:21.680 --> 50:28.000]  And I know that Slack has sort of a super set of emoji where you can react on Slack
[50:28.000 --> 50:32.160]  with any emoji and Slack has some custom ones.
[50:32.160 --> 50:38.880]  And for each Slack group that you're in, you can add custom images.
[50:38.880 --> 50:42.880]  I think the one that one of the ones that you and I are on together, there's like a,
[50:42.880 --> 50:45.200]  we have a play date, somebody stuck in there.
[50:45.200 --> 50:50.720]  So you can like type colon play date and get a little yellow panic play date controller.
[50:50.720 --> 50:56.080]  But even if you just stuck to emoji, why are the reactions different than just, you
[50:56.080 --> 51:00.160]  could just send any emoji you want as a reaction and it shows up as a little bubble
[51:00.160 --> 51:00.720]  on the corner.
[51:00.720 --> 51:04.240]  And I guess it's just what, how, I mean, that's how Apple's implemented it, but
[51:04.240 --> 51:06.240]  they implemented their own.
[51:07.280 --> 51:09.680]  Does it seem unhappily to implement their own?
[51:09.680 --> 51:17.440]  Remember when Safari didn't support favicons in tabs and they had the pin tabs, but
[51:17.440 --> 51:20.160]  pin tabs didn't use your favicon either.
[51:20.720 --> 51:25.600]  Apple specified that if you wanted to have an icon in your pin tab for Safari, you
[51:25.600 --> 51:30.240]  had to create a SVG file that was monochrome.
[51:30.240 --> 51:36.800]  And so you would just have a monochromatic icon that would be your pin tab thing and
[51:36.800 --> 51:41.680]  no color favicons, and then I made a stink about it on Daring Fireball and whether
[51:41.680 --> 51:46.480]  that helped change the thinking or not after I made, wrote way too many words about
[51:46.480 --> 51:51.840]  it, a new version of Safari came out with an option for favicons in tabs.
[51:51.840 --> 51:55.360]  But apparently what I heard while I was making a stink about it is that there is
[51:55.360 --> 51:59.600]  some contingent within Apple, I don't know if it was in the Safari group or the human
[51:59.600 --> 52:04.560]  interface team, but some contingent of designers who don't like, didn't like the
[52:04.560 --> 52:09.760]  idea of color icons that they didn't control, junking up the Safari interface.
[52:10.320 --> 52:14.960]  And that's why the pin tabs were, okay, we have to give you an icon because the pin
[52:14.960 --> 52:18.720]  tabs are just little, but we're going to make you do them in black and white because
[52:18.720 --> 52:22.000]  we don't want your garish CNN red in a tab.
[52:22.000 --> 52:26.560]  And I just wonder if that's the thinking with tap backs, it's like, we have these
[52:26.560 --> 52:32.640]  beautiful monochromatic, just blue and white thumbs and exclamation marks, and we
[52:32.640 --> 52:36.400]  don't want your garish, any color goes emoji.
[52:36.400 --> 52:36.960]  I don't know.
[52:36.960 --> 52:37.600]  I don't know.
[52:37.600 --> 52:41.680]  That seems crazy, but because you could still send emoji, so it's almost the same
[52:41.680 --> 52:42.160]  thing.
[52:42.160 --> 52:42.800]  I don't know.
[52:42.800 --> 52:43.760]  It just seems weird.
[52:43.760 --> 52:44.400]  It's it.
[52:44.400 --> 52:44.880]  Yeah.
[52:44.880 --> 52:49.040]  It just seems like the easiest way to upgrade the tap back feature would just be,
[52:49.040 --> 52:53.120]  ah, you could just pick whatever emojis you want and set five of them as your
[52:53.120 --> 52:58.080]  favorites and have like a dot, dot, dot that would let you pick any emoji as last
[52:58.080 --> 52:58.560]  spot.
[52:58.560 --> 52:59.040]  Anyway.
[52:59.040 --> 52:59.520]  Yeah.
[53:00.160 --> 53:03.360]  Aren't they moving to the more universal standard thing?
[53:04.240 --> 53:04.800]  For what?
[53:04.800 --> 53:05.760]  I forget what it's called.
[53:05.760 --> 53:06.960]  There's like, there is a react.
[53:06.960 --> 53:10.800]  There's like a, isn't there something that you can, that Android phones can use as
[53:10.800 --> 53:11.280]  well?
[53:11.280 --> 53:12.400]  No, I don't think so.
[53:12.400 --> 53:12.960]  Oh, really?
[53:12.960 --> 53:15.840]  I thought there was, I thought there was some thing that they were like, we're
[53:15.840 --> 53:17.280]  going to try and, I don't know.
[53:17.280 --> 53:22.960]  No, what happened is that I think the Google messages app on Android will
[53:22.960 --> 53:28.400]  interpret those text messages, like for a mixed iPhone and Android group chat,
[53:28.720 --> 53:33.440]  where it'll say like, John liked, quote the message.
[53:33.440 --> 53:37.920]  They interpret, cause that just comes across as its own SMS message.
[53:37.920 --> 53:43.360]  It's just a string of texts that says, John liked space quote, and then it's a
[53:43.360 --> 53:46.000]  quote of the message the previous.
[53:46.000 --> 53:50.480]  It's like turning, it's turning SMS into email where there's like underneath
[53:50.480 --> 53:51.440]  your message.
[53:51.440 --> 53:57.920]  There's every single quoted version of the previous emails in the chain, even
[53:57.920 --> 54:01.040]  though every modern email client could just show them all together.
[54:01.040 --> 54:05.440]  Now, all of a sudden with the tap backs, we're quoting messages.
[54:05.440 --> 54:11.680]  Anyway, Google's Android messages client will take those and turn them into fake
[54:11.680 --> 54:14.240]  tap backs, supposedly.
[54:14.240 --> 54:17.440]  I don't have much more to say about the green bubble, blue bubble thing.
[54:17.440 --> 54:18.400]  I wrote about it.
[54:18.400 --> 54:24.560]  I just think, I do think it's just so damn curious that no single messaging
[54:24.560 --> 54:28.240]  platform around the world has come to dominate, right?
[54:28.240 --> 54:32.880]  Like with social networks, a handful have, right?
[54:32.880 --> 54:38.400]  Twitter or to some degree, but then of course, Facebook and Instagram and China
[54:38.400 --> 54:40.800]  is weird because they have the great firewall.
[54:40.800 --> 54:42.320]  So of course they have their own.
[54:42.320 --> 54:46.080]  The fact that China has their own social networks is not surprising, but
[54:46.080 --> 54:52.240]  otherwise Facebook sort of dominates worldwide yet for messaging platforms.
[54:52.240 --> 54:54.800]  There's all these little country by country fiefdoms.
[54:54.800 --> 54:57.040]  It's that to me is the strangest part.
[54:57.040 --> 54:57.680]  Yeah.
[54:57.680 --> 55:01.840]  And that's kind of why I think that sort of bullying thing didn't really ring true
[55:01.840 --> 55:07.040]  to me because my kid, he uses messages sometimes, but I'm pretty sure they, he,
[55:07.040 --> 55:10.240]  I don't even know what it is, but Snapchat or whatever he's using to communicate
[55:10.240 --> 55:14.160]  with his friends because he won't tell me and I don't want to ask, but he's
[55:14.160 --> 55:17.840]  communicating with his friends using other stuff for sure.
[55:17.840 --> 55:20.560]  Discord is big with Jonas and his pals.
[55:20.560 --> 55:24.160]  You know, I've used discord a little I've used it enough that I get it.
[55:24.160 --> 55:27.840]  It's more like Slack though, where you get on a group, but there's like a
[55:27.840 --> 55:32.400]  channel and discord and there could be dozens and dozens of people, way more
[55:32.400 --> 55:36.960]  people than you would want in a group chat in any thing like a WhatsApp or
[55:36.960 --> 55:41.360]  iMessage, you wouldn't really want to have three dozen people in an iMessage
[55:41.360 --> 55:41.680]  group.
[55:41.680 --> 55:45.840]  Discord is more like, it's meant for groups in the public hanging out place
[55:45.840 --> 55:46.400]  online.
[55:46.400 --> 55:46.880]  Yeah.
[55:46.880 --> 55:47.600]  I don't know.
[55:47.600 --> 55:52.400]  Maybe it wasn't even worth venting about on daring fireball, but I don't know.
[55:52.400 --> 55:55.040]  I just made the, the bullying angle made me angry.
[55:55.040 --> 55:55.520]  Yeah.
[55:55.520 --> 55:57.200]  Well, and it's also in the wall street journal.
[55:57.200 --> 56:00.000]  It's not, it wasn't in the national enquirer or something.
[56:00.000 --> 56:00.480]  Yeah.
[56:00.480 --> 56:03.360]  A little bit of Paul Theron was going off on it.
[56:03.360 --> 56:06.240]  I did think it was weird that Google latched onto it.
[56:06.240 --> 56:09.680]  And I don't think the wall street journal used the word bullying at all.
[56:09.680 --> 56:15.680]  Google took their anecdotes of teenagers being given a hard time over having
[56:15.680 --> 56:19.680]  green bubbles in a group chat and turned it into use, introduced the word
[56:19.680 --> 56:20.400]  bullying.
[56:20.400 --> 56:23.440]  But then once that happened, it went everywhere.
[56:23.440 --> 56:27.440]  And then there was like a story USA today as a story about teenagers being
[56:27.440 --> 56:28.800]  bullied over green bubbles.
[56:28.800 --> 56:31.840]  And it's like, no, no, that wasn't even in the, that wasn't even in the
[56:31.840 --> 56:33.520]  wall street journal story.
[56:33.520 --> 56:34.000]  Yeah.
[56:34.000 --> 56:34.560]  Okay.
[56:34.560 --> 56:37.280]  Uh, yeah, I didn't, I, yeah, I don't subscribe.
[56:37.280 --> 56:38.320]  So yeah.
[56:38.320 --> 56:41.760]  Have you, do you, would you use any other chats?
[56:41.760 --> 56:44.000]  I use signal, which I have.
[56:44.000 --> 56:45.040]  I do have signal.
[56:45.040 --> 56:45.440]  Yeah.
[56:45.440 --> 56:48.480]  And I've used a little bit, but not much.
[56:48.480 --> 56:48.960]  Yeah.
[56:48.960 --> 56:52.720]  I have it open so that anybody, you know, who wants to send me a secure message
[56:52.720 --> 56:53.360]  can do it.
[56:53.360 --> 56:54.320]  It's worked out pretty well.
[56:54.320 --> 56:58.880]  I don't get very many messages from random, like readers or listeners through
[56:58.880 --> 57:00.880]  signal, but I don't get it.
[57:00.880 --> 57:04.320]  Signal, but I do occasionally and it's there and it's good enough.
[57:04.320 --> 57:07.520]  I'm on one group chat with a couple of friends on signal.
[57:08.160 --> 57:11.520]  I don't really see much of a difference than if we were doing it on iMessage.
[57:11.520 --> 57:15.200]  And I'm not even quite sure why we're on signal since we all have iPhones,
[57:15.200 --> 57:21.120]  but no, I know why we're, I know why my group is on signal, but it's not,
[57:21.120 --> 57:22.880]  like I said, I don't use it much.
[57:23.680 --> 57:27.520]  I've got the WhatsApp too, and I'm on one group in WhatsApp now.
[57:27.520 --> 57:32.480]  And I do see Ben Thompson, my dithering pal has been on me for a while about
[57:32.480 --> 57:37.280]  the fact that WhatsApp has better group messaging features, like quoted
[57:37.280 --> 57:38.160]  replies.
[57:38.160 --> 57:42.400]  And it is, it actually is a nicer way if you're asynchronous, you know,
[57:42.400 --> 57:46.320]  which when Ben and I chat is often the case because we're literally either
[57:46.320 --> 57:49.680]  12 or 13 hours apart all year long.
[57:49.680 --> 57:52.960]  And if you're, you know, you wake up and a bunch of the chat had taken place
[57:52.960 --> 57:56.880]  while you were sleeping and you want to reply to something nine messages ago,
[57:56.880 --> 57:58.960]  you can tap on it and hit reply.
[57:58.960 --> 58:05.600]  The way that WhatsApp does that is much more, it's a much better presentation
[58:05.600 --> 58:08.960]  than the recently added iMessage feature that does it.
[58:09.760 --> 58:13.840]  Would it make me try to convince a group that I'm on on iMessage,
[58:13.840 --> 58:18.240]  hey, everybody sign up for this new WhatsApp thing that's owned by Facebook,
[58:18.240 --> 58:19.840]  let's move it over there?
[58:19.840 --> 58:25.760]  No, but that really is, that is like the sort of mass behavior, right?
[58:25.760 --> 58:28.800]  Nobody really wants to sign up for an entirely new app.
[58:28.800 --> 58:32.400]  Even if you put the Facebook's ownership aside, if you just like Signal,
[58:32.400 --> 58:37.040]  let's say Signal is generally widely regarded as excellent cryptography.
[58:37.040 --> 58:38.000]  And it's not even a company.
[58:38.000 --> 58:41.520]  I think it's a foundation, but that they're in it for the right reasons.
[58:41.520 --> 58:45.680]  They really just want to provide good, secure messaging to everybody.
[58:45.680 --> 58:49.600]  You could encourage people to try Signal without seeming like you're telling
[58:49.600 --> 58:52.160]  them to sign up for a bad company like Facebook.
[58:52.160 --> 58:56.480]  It's still, it's like, nobody wants to download a new app, create an account,
[58:56.480 --> 58:59.120]  remember to have this, get notifications from a different app,
[58:59.120 --> 59:00.880]  just to have one more group chat there.
[59:00.880 --> 59:03.840]  If everybody's already getting by with what they have,
[59:03.840 --> 59:05.360]  they're just going to keep doing it.
[59:05.360 --> 59:05.600]  Yeah.
[59:06.400 --> 59:09.840]  It's crazy how quickly Zoom took off after the pandemic though,
[59:09.840 --> 59:18.800]  because that was an instance of sort of a void of good video chat.
[59:18.800 --> 59:20.640]  That worked on all devices.
[59:20.640 --> 59:21.920]  That worked on all platforms.
[59:21.920 --> 59:27.920]  And was able to handle millions and millions of people suddenly using it.
[59:27.920 --> 59:28.240]  Yeah.
[59:28.240 --> 59:28.960]  Kudos to them.
[59:28.960 --> 59:30.160]  Right place, right time.
[59:30.160 --> 59:31.120]  You can't predict it.
[59:31.120 --> 59:31.680]  I don't even know.
[59:31.680 --> 59:36.640]  I guess I did write about Zoom before the pandemic, because there was like some
[59:36.640 --> 59:41.200]  mini brouhaha about their Mac software doing shady stuff behind the scenes,
[59:41.200 --> 59:44.720]  or the installer doing some shady stuff behind the scenes.
[59:44.720 --> 59:47.520]  But it's like, I hardly even remembered the name of the company.
[59:47.520 --> 59:49.360]  And then all of a sudden it became a verb.
[59:49.360 --> 59:55.600]  It's like one of the best known, most used utilities around the entire globe.
[59:56.560 --> 59:58.160]  All thanks to a simple pandemic.
[01:00:01.280 --> 01:00:04.480]  All they had to do was resequence some bad genes.
[01:00:06.560 --> 01:00:10.000]  Here, let me take one last break here and thank our third and final sponsor.
[01:00:10.000 --> 01:00:12.080]  It's our good friends at Memberful.
[01:00:12.880 --> 01:00:17.200]  Oh man, Memberful is where you can monetize your business,
[01:00:17.200 --> 01:00:20.160]  your passion with memberships.
[01:00:20.160 --> 01:00:23.600]  And it's the easiest way to sell memberships to your audience.
[01:00:23.600 --> 01:00:26.960]  And it's used by some of the biggest and best creators on the web.
[01:00:26.960 --> 01:00:32.320]  Maybe your creative endeavors business situation has changed in the past year
[01:00:32.320 --> 01:00:36.640]  or two, maybe because of the pandemic, maybe just for natural reasons.
[01:00:36.640 --> 01:00:41.520]  But you would like to grow it, maybe expand beyond advertising or whatever
[01:00:41.520 --> 01:00:45.680]  else you're already doing to monetize it and add something new.
[01:00:45.680 --> 01:00:47.280]  Membership is a good way to do it.
[01:00:47.280 --> 01:00:48.880]  Could just be a small part of your business.
[01:00:48.880 --> 01:00:49.840]  Could be the whole business.
[01:00:49.840 --> 01:00:53.280]  You can have your creative endeavor where it's membership only
[01:00:53.280 --> 01:00:54.800]  is the only way you monetize it.
[01:00:54.800 --> 01:00:59.280]  Memberful has features and plans to help you do that
[01:00:59.280 --> 01:01:01.280]  and build a sustainable recurring revenue.
[01:01:01.280 --> 01:01:03.440]  And they take care of all the hard stuff.
[01:01:03.440 --> 01:01:06.960]  So you can concentrate on what you do best while earning revenue.
[01:01:06.960 --> 01:01:10.320]  They pay directly to your Stripe account.
[01:01:10.320 --> 01:01:12.400]  You just sign up, you have a Stripe account.
[01:01:12.400 --> 01:01:15.920]  You sign up when people sign up for your memberships, the money goes right
[01:01:15.920 --> 01:01:17.120]  into your Stripe account.
[01:01:17.120 --> 01:01:21.200]  You don't have to wait 60 days and then get like a lump or something.
[01:01:21.200 --> 01:01:26.960]  They pay directly to your account and you can get started at Memberful for free.
[01:01:26.960 --> 01:01:29.840]  No credit card required just to sign up and get started.
[01:01:29.840 --> 01:01:32.160]  You can check it out, kick the tire, see all the features.
[01:01:34.000 --> 01:01:38.720]  Go to memberful.com slash talk show today to sign up.
[01:01:38.720 --> 01:01:43.760]  And once again, that's memberful.com slash talk show.
