[00:00.000 --> 00:00.840]  Do you have one?
[47:06.080 --> 47:10.960]  know, it's, everything is exquisite, including, and, and I was, this is one of
[47:10.960 --> 47:14.560]  the things I was most interested to sort of poke around about. Like, I'm not the
[47:14.560 --> 47:18.400]  best beta tester cause I'm not, or at least from your perspective, I'm not
[47:18.400 --> 47:25.280]  actually exercising the features. I'm just poking around the UI, but as a
[47:25.280 --> 47:32.640]  company that is so truly focused on Apple's platforms, right, Mac and iOS,
[47:32.640 --> 47:37.040]  you guys don't do Android software and you don't do Windows software. You guys
[47:37.040 --> 47:41.200]  are a traditional, the old school, what we used to call indie Mac developers,
[47:41.200 --> 47:47.040]  but expanded to iOS and focused on those platforms, but therefore using
[47:47.040 --> 47:53.440]  Apple's frameworks and the state of Apple's user interface recommendations
[47:53.440 --> 47:59.600]  and design and going on top of that to build something both branded in the
[47:59.600 --> 48:04.960]  Flexibit style, but still clearly, oh yeah, this is definitely a great Mac app
[48:04.960 --> 48:10.000]  or a great iOS app. I was so curious to see what, you know, like a web app from
[48:10.000 --> 48:15.680]  you guys would look like, and it is very Flexibitsy. It is, it's a really,
[48:15.680 --> 48:21.280]  really nice web app experience for the stuff that has to take place on
[48:21.280 --> 48:26.400]  flexibits.com to do this. Thank you. Yeah, we spent a lot of time, our web
[48:26.400 --> 48:29.680]  team is really, we're growing our web team very quickly, our front and back end
[48:29.680 --> 48:33.120]  teams for the web, and we have a lot more coming for the web, and I know your
[48:33.120 --> 48:37.920]  heart is in the web as mine, and we do have a lot of web-based stuff coming,
[48:37.920 --> 48:42.000]  and we're investing a lot into this web-based back end especially. So, for
[48:42.000 --> 48:45.440]  example, when I share my Fantastical link with you, you don't have to even have a
[48:45.440 --> 48:49.360]  device, right? You just need a web browser. So, we really want to make it so,
[48:49.360 --> 48:52.640]  yeah, you're a Fantastical user, you're on an Apple device, you're a Fantastical
[48:52.640 --> 48:57.280]  user, and you're using it on some device, but the people you send your Flexibits,
[48:57.280 --> 49:01.040]  sorry, your Fantastical links to, they can be on anything because they're just
[49:01.040 --> 49:04.160]  going to open it in a web browser. I do want to say, though, of course, if you're
[49:04.160 --> 49:07.760]  a Fantastical user and we send you one of these links, you do, of course, have
[49:07.760 --> 49:11.440]  the native experience as well, right? So, you get the best of both worlds.
[49:12.080 --> 49:18.640]  Yeah, it feels very, it's a very seamless back and forth, you know, where the stuff
[49:18.640 --> 49:22.320]  that you would expect to be able to do right within Fantastical on your device,
[49:23.120 --> 49:27.120]  you do, and the stuff that has to take place on the web feels natural to take
[49:27.120 --> 49:31.040]  place on the web, but then it also allows, I forget if you mentioned this,
[49:31.040 --> 49:36.720]  but this allows you to involve attendees who don't use Fantastical.
[49:36.720 --> 49:40.080]  Exactly. And that's part of what we're doing with our growth with not only
[49:40.080 --> 49:44.000]  scheduling, but the subscription alike is you don't have to just be a Fantastical
[49:44.000 --> 49:46.640]  user now to get involved with Fantastical.
[49:47.360 --> 49:50.320]  Right. So, you know, and you don't, so you therefore don't even have to have a
[49:50.320 --> 49:56.320]  Mac or an iOS device, anything with a web browser. And then it introduces,
[49:56.320 --> 50:02.240]  it is interesting. It's sort of like the, what iPod was for Apple 20 years ago.
[50:02.240 --> 50:07.840]  It's sort of like that for, for you guys, you know, it's the glass of ice water
[50:07.840 --> 50:09.760]  and hell for people who've never experienced.
[50:10.880 --> 50:14.560]  And I'll tell you, you know, we are Apple guys as you are, and as will always be,
[50:14.560 --> 50:20.640]  and native always rules for us, me personally, but we do have lots and lots
[50:20.640 --> 50:24.720]  and lots and lots of users who at work will have a Windows machine or have an
[50:24.720 --> 50:28.480]  Android device or whatever. And they really, really, really want to use
[50:28.480 --> 50:31.600]  Fantastical. Now I'm not saying we're going to be coming out with an Android
[50:31.600 --> 50:35.520]  app any day now, but you know, at some point you want to have everyone be
[50:35.520 --> 50:38.240]  able to use Fantastical, especially if they don't have a device.
[50:38.240 --> 50:42.640]  So our web, you know, our, our opening of the web and our platform agnostic,
[50:42.640 --> 50:45.440]  if you will, is something very important to us because we really do want to
[50:45.440 --> 50:47.200]  have the Fantastical experience. What?
[50:48.480 --> 50:52.720]  Cardhop too. I can always throw my card. Cardhop's my, my baby. Like I just,
[50:52.720 --> 50:55.360]  once you use it, and I know you use it as well, once you use it, it's just
[50:55.360 --> 50:58.960]  such a great app. The thing is, is just contacts are so boring. So I get,
[50:58.960 --> 51:02.160]  it's not as exciting as a calendar app, but it's a great app Cardhop.
[51:02.160 --> 51:08.720]  Well, I love though, this is a great moment in the history of the talk show
[51:08.720 --> 51:13.760]  is you, you just assuming that people think calendar apps are pretty exciting
[51:13.760 --> 51:16.080]  and you, I know you didn't mean that sarcastically.
[51:16.080 --> 51:20.480]  Oh my God. Yeah, totally. Oh yeah. They're so hot, right?
[51:20.480 --> 51:23.920]  Right. Like for, for new listeners, somebody else who's never even heard
[51:23.920 --> 51:27.360]  the show, what do you do? You know, I have a podcast. What's it about? Well,
[51:27.360 --> 51:30.960]  it talks about how exciting calendar apps are. Yeah, exactly. And then,
[51:30.960 --> 51:34.000]  yeah, but I mean, Fantastical is pretty exciting as is Cardhop, right? If
[51:34.000 --> 51:35.920]  you're into, if you're into product theory, but I hear you a hundred
[51:35.920 --> 51:39.520]  percent. It's so exciting. All right. Hold that thought. Cause I want to,
[51:39.520 --> 51:42.240]  I want to come back to this, but let me just take a break here and thank
[51:42.240 --> 51:46.880]  our next sponsor. It's our good friends at Linode. Oh man, do I love Linode
[51:46.880 --> 51:52.400]  because they host Daring Fireball and I never ever have to think about them.
[51:52.400 --> 51:58.080]  It is just, it's amazing. The uptime, the, the, the, what I pay for what I
[51:58.080 --> 52:03.360]  get, it just is all just under my radar, which is exactly what I want from
[52:03.360 --> 52:08.400]  a web host. You can visit Linode, L I N O D E, Linode.com slash the talk
[52:08.400 --> 52:13.600]  show and see why they have been voted the top infrastructure as a service
[52:13.600 --> 52:18.080]  provider by both G2 and TrustRadius. They have award-winning technical
[52:18.080 --> 52:22.720]  support that's offered 24 hours, seven days a week, 365 days a year. Every
[52:22.720 --> 52:25.920]  day of the year, you want to get technical support on Mother's day,
[52:25.920 --> 52:29.520]  go ahead. I wouldn't recommend it, but you know, I wouldn't recommend
[52:29.520 --> 52:32.720]  working on Mother's day, but somebody has to. And if you're responsible for
[52:32.720 --> 52:36.800]  the site and it goes down, you can get help any day of the year, ease of
[52:36.800 --> 52:40.560]  use and set up that they have everything that you could possibly want.
[52:40.560 --> 52:45.600]  If you just want to get like a setup right off stock, you just click, click,
[52:45.600 --> 52:49.680]  click on the web and you've got it. You now you've got a server instance
[52:49.680 --> 52:54.960]  ready to go. If you want to get in there, SSH in and install your software,
[52:54.960 --> 52:59.520]  compile it from source code, build it all from scratch, like a true system
[52:59.520 --> 53:03.280]  administrator, you can, you have that level of control too. It is very clear
[53:03.280 --> 53:07.200]  why developers have been trusting Linode for projects, both big and small
[53:07.840 --> 53:12.880]  since 2003. I wish I'd gotten involved with them earlier. Honestly, I would
[53:12.880 --> 53:16.080]  host Daring Fireball with Linode, even if they called me up and said, we're
[53:16.080 --> 53:19.440]  never going to sponsor you again. I'd still stick with them unless they,
[53:19.440 --> 53:24.080]  you know, gave me a really unpleasant reason why they weren't sponsoring me,
[53:24.080 --> 53:27.680]  but it's really not. I don't host them. I don't host with them because they
[53:27.680 --> 53:30.960]  sponsor. You can deploy your entire application stack with their one-click
[53:30.960 --> 53:35.760]  app market market space and manage everything yourself with supported
[53:35.760 --> 53:40.080]  centralized tools like Terraform. They have the best price to performance
[53:40.080 --> 53:45.120]  value for all compute instances, including GPUs, block storage,
[53:45.120 --> 53:50.000]  Kubernetes, and their bare metal release. They make cloud computing fast,
[53:50.000 --> 53:53.840]  simple, and affordable, allowing you to focus on your projects, not your
[53:53.840 --> 54:00.160]  infrastructure. Go to linode.com slash the talk show, create a free account.
[54:00.160 --> 54:05.520]  You can use your Google or your GitHub credentials to log in or just use your
[54:05.520 --> 54:08.960]  email address. That's what I do. And when you do that, create a free
[54:08.960 --> 54:12.800]  account by going to linode.com slash the talk show. You get a hundred
[54:12.800 --> 54:16.800]  dollars in credit, a hundred bucks just because you went to Linode from
[54:16.800 --> 54:18.800]  listening to the show. My thanks to them.
[54:18.800 --> 54:21.280]  Yeah. I've told you this before. We love them too. They're great.
[54:21.280 --> 54:26.640]  Oh man. I did not know that this, this is surprise serendipity between
[54:26.640 --> 54:29.040]  guests and, and sponsor.
[54:29.040 --> 54:32.160]  It was a true real segue that you didn't even know.
[54:32.160 --> 54:35.280]  I did not know. That's, that's good to hear. I don't, I'm not surprised
[54:35.280 --> 54:38.720]  though. I honestly, I, you know, it's not like I go around and
[54:38.720 --> 54:41.440]  ask everybody on the street, where do you host your website? But
[54:42.000 --> 54:45.840]  I don't know anybody who doesn't love Linode. Uh, it's, it's just
[54:45.840 --> 54:50.320]  terrific. So Flexibits two main products, you've got Fantastical
[54:50.320 --> 54:53.520]  and you've, which is calendaring and you've got Cardhop, which is
[54:53.520 --> 54:57.760]  Contacts front end. And, but it uses the, because, you know, it's not
[54:57.760 --> 55:05.520]  like you export your contacts from the Apple Contacts app and import
[55:05.520 --> 55:09.360]  them into Cardhop. And now your stuff is in Cardhop. You guys use
[55:09.360 --> 55:14.400]  the system APIs that let you use the same database of contacts. So,
[55:15.200 --> 55:20.160]  you know, if for some reason you only use Cardhop on your Mac and
[55:21.360 --> 55:26.000]  you want to use the Apple Contacts app on your iPhone, or you just
[55:26.000 --> 55:29.360]  set up a new iPad and you'd have an installed Cardhop yet, your
[55:29.360 --> 55:33.520]  contact, the changes you make in Cardhop show up, you know, everywhere
[55:33.520 --> 55:37.200]  because it's just, it's, you're just using these APIs. That's right.
[55:37.200 --> 55:42.000]  I personally find I do, I, I'm not a big contacts user, but, cause I,
[55:42.000 --> 55:47.360]  again, I work by myself, but I love the interface to Cardhop. I, I, if I
[55:47.360 --> 55:51.200]  had to, if I had to only use one, I would stick with Fantastical
[55:51.200 --> 55:59.120]  cause I use a calendar more than I use contacts, but I like Cardhops
[55:59.120 --> 56:02.560]  more than the built-in Contacts app more than I like Fantastical.
[56:02.560 --> 56:06.480]  More than the built-in calendar app. Does that make sense?
[56:06.480 --> 56:09.120]  Absolutely. Yeah. The thing with Cardhop, that's, that's still the
[56:09.120 --> 56:12.480]  nut that we're trying to crack and we're cracking it. We see it working
[56:12.480 --> 56:15.200]  is you don't think about your contacts the way you think about your
[56:15.200 --> 56:17.760]  calendars. Cause your calendars are events that happen throughout the
[56:17.760 --> 56:20.800]  day. So there's time-based things that are happening. People say, Oh, I
[56:20.800 --> 56:23.600]  want to meet up this and that, but with your contacts, you are
[56:23.600 --> 56:26.880]  interacting with them during the day. So whether someone gives you a
[56:26.880 --> 56:29.040]  phone number or someone says, Oh, give me a call, or you're going to
[56:29.040 --> 56:33.840]  message someone. There's also actions in Cardhop. So, you know, love we
[56:33.840 --> 56:35.920]  have tons of users who love it, of course, but the thing that we're
[56:35.920 --> 56:39.440]  trying to do is get people to understand this is how easy it is.
[56:39.440 --> 56:42.080]  Cause I think once people get into the user interface, like you said,
[56:42.080 --> 56:44.880]  they go, Oh, this is a better way. I think people just don't think
[56:44.880 --> 56:48.160]  about contacts cause it's, it's so boring. I know back to that boring
[56:48.160 --> 56:50.640]  thing, but it is, it is a boring topic contacts.
[56:50.640 --> 56:55.680]  So my favorite feature, I really do love it is when you're in Cardhop
[56:55.680 --> 57:01.760]  on the main screen, there's a, a list of recents and then a very clear
[57:01.760 --> 57:06.240]  search box where you could search for anything and a plus button, a
[57:06.240 --> 57:09.440]  plus button, you know, what's your, what's somebody's reasonable guess
[57:09.440 --> 57:13.200]  what that does. Well, that's make a new contact. You hit the plus
[57:13.200 --> 57:17.920]  button and you get a little pop-up menu with two options, new contact,
[57:17.920 --> 57:22.880]  or, and this is where I'm going scan business card. Yes. Now two things
[57:22.880 --> 57:27.520]  about this. Number one, the animation, when you hit the plus button to
[57:27.520 --> 57:32.080]  go to this little pop-up menu is so exquisite. This is what I'm talking
[57:32.080 --> 57:36.240]  about with, with the design. I, and attention to detail you guys have
[57:37.040 --> 57:41.920]  number one, the, the little menu with these two options animates out of
[57:41.920 --> 57:46.320]  the button. It doesn't just appear. It, it grows out of it, which is the
[57:46.320 --> 57:51.360]  style of it design like that, going all the way back to the Scott
[57:51.360 --> 57:56.400]  Forstall era at Apple. It's it's cinematic design. It there's, and it's
[57:56.400 --> 58:01.360]  not just showing off and it's not just looking cool to me. It, it helps
[58:01.360 --> 58:05.440]  emphasize to the user, what is going on? Where did this menu come from?
[58:05.440 --> 58:10.160]  It came from the plus button, right? And it animates out of it. But while
[58:10.160 --> 58:16.960]  the menu is animating out of it, the plus button rotates to just like 45
[58:16.960 --> 58:22.560]  degrees to become an X, which means it, which gives you this clue that you
[58:22.560 --> 58:24.880]  could tap it again and make the menu go away.
[58:26.080 --> 58:28.800]  I love that you noticed this stuff because, you know, going back to
[58:28.800 --> 58:33.120]  literally fantastic Cal 1.0 that came out in 2011, which by the way, it's
[58:33.120 --> 58:36.240]  birthday's coming up soon. And I'm so excited. Yes. I keep track of my
[58:36.240 --> 58:39.440]  apps, birthdays, the floating words that we had, you just said it
[58:39.440 --> 58:43.680]  perfectly. We always try to convey with animation, something that could
[58:43.680 --> 58:47.760]  take a sentence or two, just to say, this is happening. So it's so cool
[58:47.760 --> 58:53.360]  to know that you noticed that like, it's all deliberate. I, I would
[58:53.360 --> 58:57.520]  honestly recommend downloading. I say this all the time about, I say this
[58:57.520 --> 59:02.880]  about like rogue Amoeba software. I say it about, panic software, but
[59:02.880 --> 59:07.280]  it's like, it's worth downloading and trying just to play with the user
[59:07.280 --> 59:11.440]  interface and get ideas for how user interface can work. And just to
[59:11.440 --> 59:13.680]  throw it out there, we're free now, right? Since we switched to
[59:13.680 --> 59:16.320]  subscription, we have free and we have paid. So everyone could
[59:16.320 --> 59:19.200]  download any of our apps for free. They don't even need to pay just
[59:19.200 --> 59:22.400]  even have it to play with it or use it. Basically we have free versions
[59:22.400 --> 59:26.960]  now completely free. I swear, even if you're thinking, I honestly have
[59:26.960 --> 59:32.320]  no interest in a new contacts app or calendar app. I, again, I really
[59:32.320 --> 59:36.640]  mean it. If you care about user user interface design, you should, you
[59:36.640 --> 59:40.560]  should try these free versions and just poke around and examine some of
[59:40.560 --> 59:46.000]  these details and think about how many other apps, including last, a lot
[59:46.000 --> 59:50.960]  of them from Apple don't have such exquisite attention to every single
[59:50.960 --> 59:54.560]  detail. I just love that little rotating plus button, but scanning the
[59:54.560 --> 59:59.920]  business card, it would, this it's like, how has this not been a feature
[59:59.920 --> 01:00:03.200]  ever since the phones have had cameras, right? Somebody gives you a
[01:00:03.200 --> 01:00:06.640]  business card and you actually want to keep it, right? Like that's the
[01:00:06.640 --> 01:00:09.200]  number one thing. A lot of times you get a business card and you're like,
[01:00:09.200 --> 01:00:11.840]  Hey, thanks. Thanks. And then as soon as they turn away, you just throw
[01:00:11.840 --> 01:00:15.760]  it right in the garbage. But if it's a business card, you actually do want
[01:00:15.760 --> 01:00:20.960]  to keep the contact information for instead of sitting down and pecking
[01:00:20.960 --> 01:00:23.680]  it out, you don't want to sit there and pack all these details out on your
[01:00:23.680 --> 01:00:28.000]  phone. What do you think? I used to just think, well, I'll put it in my
[01:00:28.000 --> 01:00:31.680]  back pocket. And when I'm at my Mac, I'll make a new contact. And it's
[01:00:31.680 --> 01:00:35.200]  like, ah, you might forget. Who knows? It might, you might lose the card.
[01:00:35.200 --> 01:00:40.240]  Just, just point your camera at it. And it works really well, right?
[01:00:41.280 --> 01:00:44.480]  Yeah. Our parser is great. And you know, now we have the tools to be
[01:00:44.480 --> 01:00:47.680]  able to take a visual picture of the car. We even keep a visual image of
[01:00:47.680 --> 01:00:50.240]  the card. So let's just say it's a cool design or you just want to have
[01:00:50.240 --> 01:00:52.720]  it for reference. We don't, you could throw the card away because you
[01:00:52.720 --> 01:00:57.440]  now have a digital copy visually and actually textually. Yeah. And not
[01:00:57.440 --> 01:01:01.360]  to get all American psycho into the design of business cards, because
[01:01:01.360 --> 01:01:05.520]  because you can't, because part of the appeal of a truly great card is
[01:01:05.520 --> 01:01:09.600]  actually the quality of the card stock and whether it's like letterpress or
[01:01:09.600 --> 01:01:15.040]  something like that. But I personally, I like the idea of keeping the photo
[01:01:15.040 --> 01:01:21.760]  of the card because even though I love you guys, I trust you guys in terms
[01:01:21.760 --> 01:01:26.720]  of actually being able to parse it accurately. I also love the idea that
[01:01:26.720 --> 01:01:32.320]  just in case, you know, there's like a six, but the font is hard to tell.
[01:01:32.320 --> 01:01:38.720]  And maybe it gets parsed as an eight, right? Like, you know, in some fonts,
[01:01:38.720 --> 01:01:43.280]  the six might, you know, and, and the type is often very, very small on a
[01:01:43.280 --> 01:01:45.920]  business card for the obvious reason. You could see it as a lowercase G
[01:01:45.920 --> 01:01:48.480]  then or something like that. Well, I'm thinking like a phone number,
[01:01:48.480 --> 01:01:52.320]  right? Like you transpose a six into an eight or vice versa or something
[01:01:52.320 --> 01:01:56.320]  like that. And as a one with, it has like the top, top part of the, of the.
[01:01:56.320 --> 01:02:02.080]  Right. Or what about like a font that puts a slash in the zero, you know,
[01:02:02.080 --> 01:02:05.760]  to make it look technical. I love the idea of having a photo of the card
[01:02:05.760 --> 01:02:10.800]  as a backup, right? Just in case, like, so I scan the card a day later,
[01:02:10.800 --> 01:02:14.480]  I'm like, I'm going to call this person and I call them and it's not the
[01:02:14.480 --> 01:02:17.600]  right number. Well, I can still look, even though I've thrown the card
[01:02:17.600 --> 01:02:22.160]  away, I can look at it and say, Oh, I see it actually, the OCR was wrong
[01:02:22.160 --> 01:02:24.960]  on this. Yeah. It was a mis-parse or whatever it is. Right. Yeah.
[01:02:24.960 --> 01:02:30.240]  Are you guys using the OCR features from the latest OSs to, to parse or
[01:02:30.240 --> 01:02:34.240]  did you, are you using your own library? Both. So we are using the
[01:02:34.240 --> 01:02:37.920]  built-in stuff and then obviously we, we train it and we, we improve it
[01:02:37.920 --> 01:02:40.640]  and enhance it on our own, but yeah, no, we're using the built-in stuff.
[01:02:40.640 --> 01:02:43.600]  And the reason why we do it on iOS. So if you haven't noticed, the Mac
[01:02:43.600 --> 01:02:47.120]  version doesn't have the business card scanning is the cameras, right?
[01:02:47.120 --> 01:02:50.640]  So on your Mac to get a business card scanned and you have to use one of
[01:02:50.640 --> 01:02:53.280]  the, I know how this is so funny, how we're tying all this right back to
[01:02:53.280 --> 01:02:56.960]  the FaceTime cameras, but the resolution's just not good enough to get a
[01:02:56.960 --> 01:03:00.560]  good OCR capture. Yeah. Interesting.
[01:03:00.560 --> 01:03:03.200]  Plus you're usually on the go with your phone anyway, when someone hands
[01:03:03.200 --> 01:03:05.760]  you with a business card. So it just kind of makes sense to do it on your
[01:03:05.760 --> 01:03:09.200]  phone. Right. But yeah, we, we, we, if we had better cameras on the Mac
[01:03:09.200 --> 01:03:11.520]  that really did it well, we would have it. Cause why not just hold the
[01:03:11.520 --> 01:03:14.560]  card up and let it work. And in the future, we may do that, but for now,
[01:03:14.560 --> 01:03:19.840]  it's all on iPhone. I bet. And it's in some ways parsing once you
[01:03:19.840 --> 01:03:24.400]  get the OCR part done, right? Like where you actually just know the,
[01:03:25.280 --> 01:03:31.040]  the actual characters on the card, right? Parsing it into the semantics
[01:03:31.040 --> 01:03:36.160]  of, okay, this thing is a person's name. This thing is a person's job
[01:03:36.160 --> 01:03:39.840]  title. This thing is a person's company. This is a phone number. This
[01:03:39.840 --> 01:03:44.240]  is a fax number. This is obviously an email address because it's all
[01:03:44.240 --> 01:03:48.000]  these letters and dots smushed together with an at sign in between
[01:03:48.000 --> 01:03:52.000]  them. I would imagine that one is pretty easy figuring out an email
[01:03:52.000 --> 01:03:55.280]  address that it's like the card hop part parser when you type stuff in,
[01:03:55.280 --> 01:03:59.040]  right? We can kind of glean from the formatting, from the spacing, from
[01:03:59.040 --> 01:04:02.400]  the positioning, things like that, what it's going to be or number of
[01:04:02.400 --> 01:04:05.440]  characters, like a zip code, things like that. Right. So like in other
[01:04:05.440 --> 01:04:11.360]  words, in card hop, if, if you just met somebody named Jane Doe and she
[01:04:11.360 --> 01:04:15.120]  gave you her email address, you know, and you want to make a new
[01:04:15.120 --> 01:04:20.800]  contact, you can just start typing Jane space Doe space and her email
[01:04:20.800 --> 01:04:26.160]  address. And if she were already in your contacts, you'd get a match and
[01:04:26.160 --> 01:04:30.480]  you'd see it, but because it's new, you can hit return and it'll just
[01:04:30.480 --> 01:04:35.520]  make a new contact with the first name, Jane, last name Doe and Jane
[01:04:35.520 --> 01:04:39.600]  Doe at example.com is the email address. That's exactly right. You
[01:04:39.600 --> 01:04:43.440]  want to make some tutorial videos for it, but it's great, but it's not
[01:04:43.440 --> 01:04:48.960]  going to do the, the dumb thing and make a new contact where there's
[01:04:48.960 --> 01:04:54.400]  only one field filled in the first name. And the first name is Jane
[01:04:54.400 --> 01:04:58.800]  space does space Jane Doe at example.com. You know, you got it
[01:04:58.800 --> 01:05:01.120]  exactly right. But once you got, you know, you guys have had that
[01:05:01.120 --> 01:05:04.960]  natural language parsing all the way back to the origins of fantastic
[01:05:04.960 --> 01:05:08.640]  how that was sort of like the first thing I remember as, as a neat
[01:05:08.640 --> 01:05:13.440]  feature that you could just say, uh, podcast with Michael Simmons
[01:05:13.440 --> 01:05:19.840]  tomorrow 12. And it'll just parse it into an event, you know, with all
[01:05:19.840 --> 01:05:24.480]  that information in it, that sort of parsing it, you know, it probably
[01:05:24.480 --> 01:05:27.680]  was pretty reusable scanning the business cards. Not as much as you
[01:05:27.680 --> 01:05:30.320]  think, because since we have to train, since you have to train it,
[01:05:30.320 --> 01:05:32.560]  it's all like computer learning. It's like, it's, it's all different
[01:05:32.560 --> 01:05:37.040]  sets, but I will tell you one thing. The parser and card hop is like,
[01:05:37.040 --> 01:05:40.320]  you know, again, my apps are my babies, but the parser and card hop
[01:05:40.320 --> 01:05:44.560]  is so magical, but it's also because contacts are very strict, right?
[01:05:44.560 --> 01:05:46.640]  Your names, you have address, you have phone numbers. Things can't
[01:05:46.640 --> 01:05:50.960]  really be as abstract as events, but I love how in card hop, it knows
[01:05:50.960 --> 01:05:55.040]  whether you're adding, editing, searching, or interacting with
[01:05:55.040 --> 01:05:58.480]  contacts. And it literally just knows what to do, you know, nine out
[01:05:58.480 --> 01:06:01.360]  of 10 of the times. And I just, I don't know. I know it's been like
[01:06:01.360 --> 01:06:04.160]  a while since we designed it, developed it, all that, but I just
[01:06:04.160 --> 01:06:08.000]  find it so cool how it just works all the time. And I know it's my
[01:06:08.000 --> 01:06:10.560]  app, but I got to say it. Here's a question for you. I'm surprised.
[01:06:10.560 --> 01:06:13.920]  I never asked this privately, but it's popped into my head. Now I
[01:06:13.920 --> 01:06:18.160]  need to know how many, how many cards did you guys get actual real
[01:06:18.160 --> 01:06:25.200]  world cards to train and test? We had, I'd probably say a few
[01:06:25.200 --> 01:06:27.680]  hundred ish. I mean, we didn't go crazy. We didn't have like tons.
[01:06:27.680 --> 01:06:31.360]  Like I had a whole bunch of really old ones from, you know, old Mac
[01:06:31.360 --> 01:06:35.200]  world in person, lots of conferences, speaking at conferences, days,
[01:06:35.200 --> 01:06:38.720]  things like, and then throughout our crew, we had a bunch. But what
[01:06:38.720 --> 01:06:42.160]  we did was we also created some and then printed them out to try to
[01:06:42.160 --> 01:06:45.520]  get weirder fonts and things like that. So yeah, I mean, we definitely
[01:06:45.520 --> 01:06:48.000]  spent a lot of time training and it always gets better. You know,
[01:06:48.000 --> 01:06:50.880]  users will send us an example of a card that doesn't work and we can
[01:06:50.880 --> 01:06:53.760]  retrain it. So we're always wanting to, you know, we're always wanting
[01:06:53.760 --> 01:06:56.560]  to make it better. And will you guys, does it recognize things like
[01:06:56.560 --> 01:07:00.720]  if I put my Twitter handle on my business card, it'll see an
[01:07:00.720 --> 01:07:02.560]  at whatever and know to put that in the right field.
[01:07:02.560 --> 01:07:07.120]  That's it's really cool feature. So before we leave it, what I want
[01:07:07.120 --> 01:07:12.320]  to talk about on this front is the shift to subscription pricing.
[01:07:12.320 --> 01:07:16.240]  Yeah. And so it was January 2020, you said?
[01:07:16.240 --> 01:07:19.360]  Yep. January 29th, 2020. I will remember the day forever.
[01:07:19.360 --> 01:07:26.080]  All right. And so previously and that predates the existence of
[01:07:26.080 --> 01:07:27.360]  Cardhop, am I correct?
[01:07:27.360 --> 01:07:31.680]  No. So Cardhop came out. So we had Cardhop and Fantastical's buy
[01:07:31.680 --> 01:07:34.960]  once apps, you know, the old school. Right. And then when we
[01:07:34.960 --> 01:07:38.080]  switched to subscription on January 29, 2020, it was just
[01:07:38.080 --> 01:07:42.880]  Fantastical 3 with the Flexibits premium subscription. Right.
[01:07:43.760 --> 01:07:46.800]  Then we added a bunch of stuff in the year of COVID. Of course,
[01:07:46.800 --> 01:07:49.520]  COVID hit, you know, great stuff or not great stuff, but we added
[01:07:49.520 --> 01:07:54.400]  great stuff. COVID wasn't great stuff. And then I knew what you
[01:07:54.400 --> 01:07:58.000]  meant, but you know, it's worth you never know. Right. You never
[01:07:58.000 --> 01:08:04.560]  know. You never know. And then the following year in 2021, we
[01:08:04.560 --> 01:08:08.080]  brought Cardhop to the Flexibits premium subscription, no extra
[01:08:08.080 --> 01:08:12.560]  price just included. And we added features to allow cardhop
[01:08:12.560 --> 01:08:14.800]  to be even more powerful and take advantage of the
[01:08:14.800 --> 01:08:17.920]  subscription. And now everyone who was buying a subscription
[01:08:17.920 --> 01:08:20.480]  got both apps, all platforms and everything. And then, of course,
[01:08:20.480 --> 01:08:23.200]  this past year we added scheduling again, same price, no
[01:08:23.200 --> 01:08:26.000]  increase because the whole point of an ongoing subscription is
[01:08:26.000 --> 01:08:31.280]  that you get ongoing value. Right. Right. And more value for
[01:08:31.280 --> 01:08:36.160]  the existing price. Exactly. Like we don't want to increase
[01:08:36.160 --> 01:08:38.240]  our price because that's the whole point why you keep paying
[01:08:38.240 --> 01:08:41.520]  over time is you keep getting more. Right. So you can use
[01:08:41.520 --> 01:08:46.720]  Fantastical and Cardhop for free. Correct. In perpetuity.
[01:08:46.720 --> 01:08:50.480]  Correct. With a certain subset of features. So instead of like
[01:08:50.480 --> 01:08:55.280]  the old method would be download Fantastical and use it for 30
[01:08:55.280 --> 01:08:59.120]  days. And then when the 30 days are over, you need to pay
[01:08:59.120 --> 01:09:04.560]  whatever the price is. And then two years later, whatever, you
[01:09:04.560 --> 01:09:08.960]  know, maybe a new dot O release comes out and it's a paid
[01:09:08.960 --> 01:09:13.280]  upgrade for existing users. And you can choose to try a trial
[01:09:13.280 --> 01:09:15.840]  again or something. And then if you want to pay for the upgrade,
[01:09:15.840 --> 01:09:18.240]  you pay for the upgrade and now you're on it. And that, you
[01:09:18.240 --> 01:09:23.520]  know, is the way software, you know, indie software include
[01:09:23.520 --> 01:09:26.480]  Apple's own software work like that for a long time. I mean,
[01:09:26.480 --> 01:09:29.200]  they moved away from it early, but it used to have to buy
[01:09:29.200 --> 01:09:35.040]  upgrades to the OS. I mean, I know it. People, yup, you might
[01:09:35.040 --> 01:09:37.520]  find it hard to believe, but like a new version of Mac OS 10
[01:09:37.520 --> 01:09:41.280]  would come out and it was $129. And you think, well, that's
[01:09:41.280 --> 01:09:44.000]  crazy. Who would do that? People would line up at the Apple
[01:09:44.000 --> 01:09:46.720]  stores. It was like the early, it was like the first version of
[01:09:46.720 --> 01:09:49.920]  like the iPhone days, but people would line up on the day
[01:09:49.920 --> 01:09:53.840]  that these boxes of, you know, DVDs with the new Mac OS were
[01:09:53.840 --> 01:09:58.240]  coming out. Those were the days, question mark? Well, I don't
[01:09:58.240 --> 01:10:01.680]  know, but I certainly remember them, but it's, there were
