[00:00.000 --> 00:01.000]  Hey, John.
[46:50.000 --> 47:01.000]  It's the same thing just happened just in a very condensed time to Samsung. It's, it's sort of incredible how fast it happened to Samsung, but, you know, they're in, they're in this like precarious situation right now because of that.
[47:01.000 --> 47:09.000]  Yeah, actually, I think Samsung revenue and profits are actually down, not just stagnant. Okay. Yeah.
[47:09.000 --> 47:14.000]  Did it just reported their results? Hold on, let me Google it. Sure.
[47:14.000 --> 47:29.000]  One other thing about China is I wonder, so another thing about the Chinese market that, that you hear come up time and time again is actually that, that the watch industry is pretty massive there as, as the, the population grows and affluence.
[47:29.000 --> 47:41.000]  They're sort of looking to these different traditional areas of affluence like wine and watches, of course, is one. And so what does that mean for Apple watch there? And I don't know.
[47:41.000 --> 47:54.000]  But it could mean major things if, if the product is successful that, you know, it becomes, if maybe from day one, it's a bigger seller in China than it is in the US.
[47:54.000 --> 48:07.000]  Yeah, I think so. I don't know if I mentioned this on the show before. I saw a documentary a couple months ago is great. It's on iTunes called red obsession. Have you seen this? No, it's, it's about the wine industry.
[48:07.000 --> 48:32.000]  Great documentary, just note the name red obsession. But the gist of it is about how the Asian market has completely disrupted the sale and price of wine, like that they'll go in. There's Chinese buyers of wholesale wine who will go into like, you know, high end French.
[48:32.000 --> 48:40.000]  What do you call a winemaker? Not a distillery. What's the word? winery? Yeah, winery. Yeah.
[48:40.000 --> 48:46.000]  And just buy, they'll, they would just come in and just say like, we'll buy all of it. We'll just take it all.
[48:46.000 --> 48:58.000]  Like what? And they're like, we'll just take all of all this is great. Your, your wine this year is this, this, you know, this poor dough is fantastic. Just give it, you know, just send all of it to China. That's it all of it.
[48:58.000 --> 49:09.000]  And then, you know, like there's people who are used to buying the wine from this place in America and, you know, elsewhere in Europe and they're like, what do you mean you don't have any in your life? We sold it all to China.
[49:09.000 --> 49:18.000]  That's it. I have, I have a very, I have a firsthand account of that. I was, you know, being being situated in Europe now. It's pretty easy to obviously get around and go places like Paris.
[49:18.000 --> 49:32.000]  And I think we were in Switzerland over the summer and we're in a small little vineyard place in the middle of nowhere. And we are there with the only other people in the room is a, is a Chinese family sort of tasting the wine.
[49:32.000 --> 49:46.000]  And you look around and we were, you know, thinking about buying a bottle or whatever. They had so few bottles that were actually, you know, earmarked that could be sold to sort of people who walk in.
[49:46.000 --> 49:56.000]  So much was earmarked to go to China and they even print Chinese labels and this is, you know, in the middle of Switzerland and it's like they're this little, this little winery we're in.
[49:56.000 --> 50:10.000]  They are experiencing, you know, just what you're talking about where they just know that their market now is basically China is a huge part of it. I don't know what the percentage was, but say it's 75% and then the rest of the world is like 25%.
[50:10.000 --> 50:16.000]  So they store some for, you know, for the rest of the world, but then the most of it is just going to be sense of China.
[50:16.000 --> 50:34.000]  Right. And, you know, extrapolate from that what happens if China, if their economy keeps growing and a bigger and bigger percentage of their citizens grow into what we would consider like middle or upper class, you know, incomes and, you know, the potential for growth there is just phenomenal.
[50:34.000 --> 50:44.000]  And so what does, so I mean, like the Apple Watch really could be the first product that's that's a massive hits in China bigger than it is in the U.S.
[50:44.000 --> 51:02.000]  And like that's injured, that's weird to think about right that there would be it's always been that the U.S. has sort of been the leader ahead of the game, I guess, in terms of Apple and technology and then the rest of the world sort of catches on by stages and that doesn't also just mean in terms of the U.S. being more affluent
[51:02.000 --> 51:11.000]  and having, you know, more buying power or whatever. Sometimes it's just, you know, it's everything from the Apple releases the products here first.
[51:11.000 --> 51:24.000]  Traditionally they have to, you know, every being sort of the benefits of scale and so everyone you know has an iPhone and so you can use things like air drop and things like that.
[51:24.000 --> 51:33.000]  And so it becomes and and I message and so it becomes a more compelling option, but it hasn't been that another country has really taken off first.
[51:33.000 --> 51:39.000]  And I don't think that it's a crazy notion that Apple Watch could be one of those things.
[51:39.000 --> 51:49.000]  Yeah, I don't think so either. And I think that the gold models, the addition level plays right into that.
[51:49.000 --> 51:57.000]  And that's right, you know, it it's totally like a feel thing, not a thing thing.
[51:57.000 --> 51:59.000]  It doesn't make logical sense, right?
[51:59.000 --> 52:08.000]  It logically it makes no sense for anybody to buy the gold version of the watch if they aluminum one does the exact same function at $350.
[52:08.000 --> 52:15.000]  But that's jewelry jewelry is entirely a, you know, how it makes you feel type thing not like a logical thing.
[52:15.000 --> 52:25.000]  Nobody needs any kind of jewelry. That's right. And you know, it's a long, you know, it's a long standing, you know, it's, you know, it goes back to the beginnings of human civilization.
[52:25.000 --> 52:28.000]  It's, you know, there's no you can't argue with it.
[52:28.000 --> 52:41.000]  But I feel like in America, it's, you know, let's just say when they when they do come out with the watch and they announce the final pricing and let's say that the addition ones are $4,000.
[52:41.000 --> 52:49.000]  There's, I'm telling you, I still think even after all these months of people saying, Hey, I think these gold ones might cost thousands of dollars. I think these gold ones might cost thousands of dollars.
[52:49.000 --> 52:55.000]  When they announce it, I'm telling you, in America, people are going to ship their pants. Oh, yeah, they're going to be like I cannot.
[52:55.000 --> 53:00.000]  I cannot friggin believe this that, you know, they're out of they've Johnny, I've as lost as frickin mine.
[53:00.000 --> 53:09.000]  You know, that wine in the world is anybody again. And in the meantime, people in China and in Asia, you know, other places in Asia are going to start lining up to buy them.
[53:09.000 --> 53:19.000]  Oh, yeah, I totally agree with you. I mean, it could be, it's because it's just there needs to be a mindset change which only can happen sort of over time.
[53:19.000 --> 53:24.000]  I think everyone, including me, even when I think about it, I'm viewing this as a technology product.
[53:24.000 --> 53:40.000]  What technology product will I, would I buy these days that costs say $5,000 for $5,000? I mean, it used to be televisions cost that much. Now they don't anymore. They've come down and price a lot. It used to be computers cost that much. Now they don't anymore. They're about half that price for a high end one.
[53:40.000 --> 53:49.000]  And so what else is there out there in the technology world that would cost that amount of money? I mean, trying to think of something now and I can't really come up with anything, right?
[53:49.000 --> 54:05.000]  And so this, all of a sudden, the small little gadget becomes the most expensive piece of technology that you can buy on the market and why an earth would anyone do that when you can also get basically the same thing, you know, for $350 for the sport edition or whatnot.
[54:05.000 --> 54:15.000]  And yeah, it's exactly what you said. You have to, the mentality has to shift around it that this is actually jewelry and that's, I mean, you know, that's why Apple's doing what they're doing.
[54:15.000 --> 54:25.000]  And that's why they're hiring the people that they're hiring, obviously. There's some serious cultural differences too where, and I'm not an expert on it. I mean, Ben Thompson is, he lives over there.
[54:25.000 --> 54:35.000]  But I mean, I know enough about Asia though to know that they're, they're culturally their view of money is very different than us in the West in the West.
[54:35.000 --> 54:44.000]  Not that we're ashamed of it, but it's money is considered like a private matter, you know, if you're wealthy, it's considered uncouth to flaunt it.
[54:44.000 --> 55:09.000]  Right. And in Asia, that's not the case at all. So like I remember specifically, like when a watch was first announced, I was listening to accidental tech podcast and Marco Arment had just said something something I think in reference to the gold one that like, if he was at WWDC next year after the watch was out, he would be embarrassed to be out like, you know, having cocktails at five or six in the afternoon after WWDC and have a gold watch.
[55:09.000 --> 55:16.000]  But he could know it was $4,000. And I know exactly what he's talking about. I know, you know, I sort of feel the same way.
[55:16.000 --> 55:25.000]  Whereas in Asia, that wouldn't, nobody would ever, that nobody would ever say that. Nobody would ever say I'm embarrassed to have what everybody knows is a $4,000 watch on my wrist.
[55:25.000 --> 55:37.000]  Right. Yeah. No, that's a great point. I mean, and I think that's true. You see that even before the watch, like when, you know, when you buy, when you buy one of the new iPhones for the first time, you know, day one, you get it.
[55:37.000 --> 55:51.000]  And you know that like plenty of people all know that this is especially say with a six plus because it's such a different size. And so everyone's like looking at that like, wow, that guy just dropped, you know, whatever $700 to get that phone.
[55:51.000 --> 56:01.000]  And I'm still stuck here with the with the 3GS model. And you know, one day, you know, I hope to get that. But there's there's already that sort of that sort of thing where you're looking at this.
[56:01.000 --> 56:07.000]  Yeah, everyone's going to know that I just spent $700 and it's even though it's an awesome device and, and I want to use it out there.
[56:07.000 --> 56:12.000]  It's like, should I really take this out of my pocket here and, you know, sort of flaunts it in front of everyone. Yeah.
[56:12.000 --> 56:19.000]  Let's take a break. I'm going to thank our second sponsor. It's our good friends at back blaze.
[56:19.000 --> 56:25.000]  You guys know back blaze. I've been talking about them for months. I can't believe everybody who listens to this show hasn't signed up for yet.
[56:25.000 --> 56:39.000]  It's on online cloud based unlimited backup for your Mac. You sign up for back blaze. You get a month free. Just sign up. No credit card. You install their app.
[56:39.000 --> 56:53.000]  Simple little Mac app written by former Apple engineers runs perfectly quietly. It doesn't doesn't interfere with anything. You install it forget about it. It backs up everything on your Mac to your back blaze account in the cloud.
[56:53.000 --> 57:05.000]  Everything. Your entire startup drive. Do you have external hard drive? It'll back that up to everything. It doesn't matter how much you have unlimited. There's no size limit. There is no catch. There's no pricing tier for more storage.
[57:05.000 --> 57:17.000]  However much you have to back up. You just back it up. You just install back blaze and as soon as it uploads, it's all there. Everything. Then once it's all backed up.
[57:17.000 --> 57:32.000]  If disaster strikes, if your hard drive fails, if your MacBook gets stolen, if you spill water on your MacBook, you can get a complete restore of your system.
[57:32.000 --> 57:41.000]  You don't have to download it even either. You can just log in and have them put it on a USB hard drive and mail it to you. They'll FedEx it to you one day later.
[57:41.000 --> 57:52.000]  You've got your whole thing on a USB drive right there in your hands. Or it's not just for disaster. Maybe you just need one file, but your computers at home and you've got your phone.
[57:52.000 --> 58:06.000]  Well, they've got an app. You fire up the app on your iPhone and you can access every file on your system right there from the iPhone and mail it or text it or share it however you want right there from your phone.
[58:06.000 --> 58:16.000]  A huge majority of the use of back blaze is one file at a time. They've got years of experience.
[58:16.000 --> 58:25.000]  I don't even know the word for how much they have backed up. Terabytes, whatever is bigger than terabytes, petabytes I think.
[58:25.000 --> 58:37.000]  It's such a great thing. I've got it. I've been using it forever. I would wholeheartedly recommend it even if they weren't a sponsor of the show. Just install it, put it on your parents' machine.
[58:37.000 --> 58:47.000]  That way their whole system is backed up offline outside the house. It's just a remarkable peace of mind when you know that everything on your system is backed up.
[58:47.000 --> 58:58.000]  And it's just five bucks a month per Mac. Five bucks a month and you have everything backed up safe and sound outside your house in the cloud.
[58:58.000 --> 59:08.000]  Where do you go? Go to backblaze.com slash daring fireball. Slash daring fireball. That way they'll know you came from the show.
[59:08.000 --> 59:14.000]  So backblaze, go sign up for them.
[59:14.000 --> 59:26.000]  Here's another thing about the iPhone. I want to talk to you about this. I know you've written about it.
[59:26.000 --> 59:34.000]  The iPhone 5C I think is the most misunderstood iPhone that Apple has ever made.
[59:34.000 --> 59:40.000]  Do you think the iPhone 5C, what do you think the point of the iPhone 5C?
[59:40.000 --> 59:48.000]  My thoughts have changed. I don't know obviously. I haven't talked to anyone.
[59:48.000 --> 59:54.000]  Sort of with for secondhand knowledge of this of what the point was.
[59:54.000 --> 59:58.000]  And I don't know. I don't have a good enough sense of that to know for sure.
[59:58.000 --> 1:00:01.000]  But my thought process has changed over time.
[1:00:01.000 --> 1:00:10.000]  At first, everyone is talking about it of course is the quote unquote cheap iPhone which ended up being incorrect.
[1:00:10.000 --> 1:00:22.000]  And then it became sort of the first product that was launched under the unified Johnny I've sort of designed and software and hardware designed at Apple.
[1:00:22.000 --> 1:00:32.000]  So it was iOS 7 and we got the new flat designed of colorful fluorescent look and those phones seem to go nicely with that.
[1:00:32.000 --> 1:00:43.000]  I still think even I still have a blue model of the iPhone 5C that I still think is I know I'm sort of in the minority here.
[1:00:43.000 --> 1:00:53.000]  But I thought it was a beautiful device when paired with iOS 7 at the time. I don't even hope I've upgraded it to iOS 8. It's sitting in a drawer somewhere obviously with iPhone 6 out now.
[1:00:53.000 --> 1:01:00.000]  But I thought it was a beautiful device and sort of the way it played with the wallpapers that they had for iOS 7.
[1:01:00.000 --> 1:01:08.000]  And it just seemed like it was a device that Johnny I wanted to create to showcase the new software that he was creating for the first time.
[1:01:08.000 --> 1:01:22.000]  Whereas the iPhone 5S was also a great design, great industrial design, but different it was sort of the extension of what they had already done before doing this new software.
[1:01:22.000 --> 1:01:25.000]  And so that was my thought process for a while.
[1:01:25.000 --> 1:01:40.000]  Then, you know, Apple just didn't sort of continue the line, right? And so now we have the six and the six plus and we have three colors, three sort of tenths each of those, but no more colorful range anymore.
[1:01:40.000 --> 1:01:50.000]  And now we're sort of going towards as we head towards Apple Watch where that's obviously going to be the most customizable Apple device that Apple has ever done.
[1:01:50.000 --> 1:01:59.000]  You know, maybe that's enough to sort of placate the people who want a different type of design. And I don't know, what are your thoughts on it?
[1:01:59.000 --> 1:02:11.000]  I feel like I gave myself credit for not really buying into the whole like, it leaked months in advance that they were doing a plastic phone.
[1:02:11.000 --> 1:02:18.000]  And that's just inevitable when you're making things in this quantity that the news leaks from the Asian supply chain.
[1:02:18.000 --> 1:02:27.000]  And every, you know, not everybody, but the conventional wisdom was, oh, Apple's going after cheap, the cheap market. They're going to sell this thing cheap, cheap, cheap, cheap.
[1:02:27.000 --> 1:02:39.000]  And then it wasn't cheap. It was like, you know, unlocked. It was started at like 550 bucks, which is not by anybody's, you know, it's certainly cheaper than the five S was, but it wasn't cheap.
[1:02:39.000 --> 1:02:48.000]  And I never bought into that and never made sense to me that Apple would suddenly lurch after the low end of the market and just go for markets here.
[1:02:48.000 --> 1:02:55.000]  So I gave my, you know, padded myself on the back for getting the five C just because I didn't never bought into it being cheap.
[1:02:55.000 --> 1:03:02.000]  But I think I missed the boat though. I think just by just by thinking, well, it's not going to be cheap isn't enough.
[1:03:02.000 --> 1:03:10.000]  And I almost feel like in hindsight, when it came out, it wasn't even, it, not that they didn't want to sell it in the first year.
[1:03:10.000 --> 1:03:25.000]  But it almost wasn't even meant for that year. I think it was meant for the long haul and like where it is now, like at the, you know, the free with contract level of, right, iPhone.
[1:03:25.000 --> 1:03:35.000]  That it had, you know, the news aspect ratio for the screen. It wasn't three and a half inches. It was four inches and 16 by nine.
[1:03:35.000 --> 1:03:42.000]  And the, you know, I do think I agree with you. I think they're proud of the industrial design of it.
[1:03:42.000 --> 1:03:54.000]  I think Apple really likes that look. And I think again, I think you're right. I think it's very astute that it, it does seem to be much more in harmony with the aesthetics of iOS seven and eight.
[1:03:54.000 --> 1:04:01.000]  And then the aluminum phones, the five S and the sixes.
[1:04:01.000 --> 1:04:11.000]  And I know a lot of people, not tons, but I know enough, you know, who, who have the five C because they just, they like the way it looks.
[1:04:11.000 --> 1:04:14.000]  Right, even though it was slower, even though it's fast.
[1:04:14.000 --> 1:04:22.000]  Yeah, yeah, you know, that they're, that the iPhone is sort of gotten to the point where, you know, whatever the difference in performances doesn't matter.
[1:04:22.000 --> 1:04:27.000]  They're not waiting for anything anyway. It doesn't take any longer. You're mostly waiting for stuff to download, right?
[1:04:27.000 --> 1:04:33.000]  Instagram doesn't run slower on the five C. It's, you're just waiting for the pictures to come down the pipe.
[1:04:33.000 --> 1:04:34.000]  Yeah.
[1:04:34.000 --> 1:04:50.000]  Yeah, they just like the way it looks. And I almost feel it was all about like establishing an aesthetic that fits at the lower end of the product lineup so that they don't have the free with contract phone being a premium.
[1:04:50.000 --> 1:04:56.000]  Yeah, that's a really interesting thought. I totally understand what you're, what you're saying there.
[1:04:56.000 --> 1:05:02.000]  Because it, it's weird when you buy something brand new, like say the, the six now.
[1:05:02.000 --> 1:05:08.000]  And then you know in two years, this is going to be viewed as sort of the, the quote unquote, whether it's fair, not the cheap version, right?
[1:05:08.000 --> 1:05:15.000]  It's going to not only will it, we all know things to great in value over time as they're sort of used and everything.
[1:05:15.000 --> 1:05:27.000]  But it's weird, the notion that as soon as you buy it, you know that in two years, this will be on, you know, sort of Verizon ad spreads saying like free.
[1:05:27.000 --> 1:05:44.000]  And this is, this is the cheap version now. And so if Apple can get around that by creating a product that's sort of separate from the high end to begin with from the high end meeting, they're actual most expensive things even though as we just talked about, it's not that much cheaper.
[1:05:44.000 --> 1:05:53.000]  That creates a different sort of psychological dynamic to it. I also think, and I, so I had written a post a long time ago, maybe a year ago, I guess.
[1:05:53.000 --> 1:06:06.000]  Talking about like how odd it is that every advert advertisement I see around, I think it was around still San Francisco and sort of, I think it was in Seattle actually when I saw one that sort of made me think about this.
[1:06:06.000 --> 1:06:16.000]  That every ad I was seeing was for the iPhone 5C and not the 5S. There were a few ads for the 5S, but almost all of them are certainly around the Bay Area refer the 5C.
[1:06:16.000 --> 1:06:22.000]  And I at first I interpreted that as it must not be selling well and Apple feels like they need to pump up the advertising to sort of boost it up.
[1:06:22.000 --> 1:06:33.000]  And that may have been the case, I don't really know, but I did get a lot of pushback for it and I think some of it was a Stute pushback thinking like actually this is sort of the perfect device along lines of what we were just talking about.
[1:06:33.000 --> 1:06:40.000]  This is sort of the perfect device for Apple to showcase in their advertisements because it's colorful. It sort of goes perfectly with iOS 7.
[1:06:40.000 --> 1:06:45.000]  It's sort of part of this, the playful ads that Apple likes to do.
[1:06:45.000 --> 1:06:55.000]  And so it ended up being in a way like the poster child for a long time for all those ads around different cities and certainly in the US, I don't know about the rest of the world.
[1:06:55.000 --> 1:07:12.000]  And what if it was like, you know, just sort of a product that they thought was really beautiful and they knew that it could sort of get people in the stores by having these colorful ads and then, you know, then either they buy this device and that's great for them or they, you know, they decide to buy the more expensive device.
[1:07:12.000 --> 1:07:27.000]  Yeah, I remember that post and it's actually why I brought it up with you. I don't know how I'll look it up and I'll put it in the show notes, but I do remember that post and I remember disagreeing with it because it was right around the time when it first started dawning on me that I had underestimated the 5C.
[1:07:27.000 --> 1:07:44.000]  And like I said, I think that this year is the year where the 5C is exactly where Apple wants it to be. I feel like it's, I feel like the hardest part of Apple's business is now that they've hit these insane quantities for iPhones.
[1:07:44.000 --> 1:07:57.000]  It's really, really hard and their, their pipeline is so long. Like how do you, how do you ship 74 million new iPhones and who knows what percentage of them were they iPhone 6, but it's, I think it's a majority of them last quarter.
[1:07:57.000 --> 1:08:07.000]  How do you make that many in the first quarter that it's available? Well, part of the, how they do it is that it's planned out years in advance.
[1:08:07.000 --> 1:08:20.000]  I mean, like, I think it's about a two year pipeline for their iPhones, you know, like more or less that the iPhone 6 and 6 plus were about two years into making and it's dangerous for them.
[1:08:20.000 --> 1:08:36.000]  And I feel like that's partly why they're, I think in hindsight, they were probably a year late to the big phone market. I think that if they could, if they could go back and do everything over again, I think that they would probably put the iPhone 6 and 6 plus one year ahead on the schedule.
[1:08:36.000 --> 1:08:51.000]  Because it was, but it, it takes too long for them to get everything set up so they can make these quantities. They can't act fast and just say, okay, we'll make a five and a half inch phone, but we're only going to be able to make a million of them because it's new and we're not ready for it.
[1:08:51.000 --> 1:08:57.000]  Well, they can't do that. They can't have a phone that they can only make a million of in the first quarter. Yep, I agree.
[1:08:57.000 --> 1:09:10.000]  But I feel like the five C was something where they were thinking ahead over a year and they wanted to have a phone that sat at this sort of, you know, in fact, they've gone to four levels, right?
[1:09:10.000 --> 1:09:16.000]  They've got the six plus, which is $100 more for the same specs compared to the six.
[1:09:16.000 --> 1:09:23.000]  So they've got the six plus where you pay $100 premium for the bigger screen with the extra pixels.
[1:09:23.000 --> 1:09:31.000]  Then there's the six, which sits where the iPhone always had the new iPhones always have same price levels.
[1:09:31.000 --> 1:09:45.000]  Then one cut down $100 down is the five S, which is still a premium device, right? The five S is an end, you know, we could do all show about it, but in my opinion, it's still my favorite iPhone that they've ever made.
[1:09:45.000 --> 1:10:13.000]  And now the five C at that free with contract level is so much more natural than if they were selling, if they had stuck to the original plan and hadn't made this one device that is so unusual with, you know, the plastic body and it never was at the high end, you know, effectively though the five C is where if they had stuck to the plan and done the same thing they've done every other year, that would still be the original iPhone five without the S.
[1:10:13.000 --> 1:10:24.000]  Right. And instead, which is like visually indistinguishable from the five S, accepted, you know, it doesn't have touch ID, but at a glance it looks the same.
[1:10:24.000 --> 1:10:29.000]  Whereas now it at a glance it's instantly recognizable as different.
[1:10:29.000 --> 1:10:40.000]  Yes, that's a good point. I've thought I've brought, I think I've written about that as well, that sort of notion as well that there was the problem with the S lines where they look the same.
[1:10:40.000 --> 1:10:53.000]  And so it's like, well, yes, they're faster inside. Like what is it that's sort of differentiating on the outside. There was nothing for a while. And now the five C gives you a very differentiated factor.
[1:10:53.000 --> 1:11:02.000]  But what do you think then, you know, sort of the obvious lead into that is what do you think they end up doing the next iteration.
[1:11:02.000 --> 1:11:17.000]  So we're coming up on, you know, the fall of 2015, the assumption I would assume is that they do an iPhone 6S, and then do they have an iPhone 6C?
[1:11:17.000 --> 1:11:24.000]  And what do they do with them? Do they have a plus S? And how do they keep the line going?
[1:11:24.000 --> 1:11:33.000]  How big would it be? How big would it be? Would it be 4.7 inches? Or would it be 5.5? Would it be both? I don't think it would be both.
[1:11:33.000 --> 1:11:40.000]  I think that they, it's an excellent question. I'm really kind of at a loss to guess what they're going to do this year.
[1:11:40.000 --> 1:11:53.000]  Kind of guess they're going to do at the high end 6S and a 6S plus, which would be this look a lot like the, you know, just the typical S, you know, TikTok revisions. Right.
[1:11:53.000 --> 1:12:04.000]  But then what do they do at that pricing level below where the 5S is now? And they're really wonder. Do they keep the 6 and 6 plus? And, you know, I don't think so.
[1:12:04.000 --> 1:12:21.000]  We're getting pretty convoluted then at that point as to what the offerings are. Yeah, I don't think so. I kind of feel, and I kind of feel like the way that they're, and it's somewhat arbitrary because I don't think that the actual cost is that much different for the different sizes.
[1:12:21.000 --> 1:12:39.000]  But I kind of feel like they'll, if I had to guess, maybe like they'll call it a 6C and it would be a 4 inch screen, but with the specs of the iPhone 6. So that's interesting because one thing that has always been humorous to me for the past couple years now.
[1:12:39.000 --> 1:12:49.000]  Remember when the iPhone first came out and everyone was clamoring like we need an iPhone Nano. And, you know, and this is when the iPhone was a 3.5 inch screen, the original iPhone.
[1:12:49.000 --> 1:12:57.000]  And people were saying it's too big like we, you know, we're coming from world of flip phones like the end of razor and things of the Motorola razor.
[1:12:57.000 --> 1:13:11.000]  We need a smaller device. I don't want anything bigger. And now it's like no one talks about that anymore. And when you do hold even a 5 and 5S, you know, next to the 6 plus, it's sort of comical how small it seems.
[1:13:11.000 --> 1:13:24.000]  And I don't even know when the last time I held a 4 was let alone, you know, some of the, even the older ones. But do you think that they go to a world where we have now the 6 inch screen.
[1:13:24.000 --> 1:13:41.000]  Is it a 5, 5 and a half inch screen. And then is it a 4 inch screen. Or do they do some other like variation on that. But is the 3 SKUs. It seems to me like 3 SKUs is pretty good because you can offer different things at each for what people want.
[1:13:41.000 --> 1:13:51.000]  Some people want us may might want a smaller phone. The problem of course is with developers. It's a pain in the ass to have to, you know, support all of these different screen sizes still.
[1:13:51.000 --> 1:14:04.000]  So Apple traditionally, as you know, has been pretty good about retiring older sort of technology and making it so that you don't have to support that rather, you know, they push forward. But what do you think that they would do there.
[1:14:04.000 --> 1:14:23.000]  I don't know. It's interesting to me. I, whether they say 4.7, like one way they could go would be to say 4.7 is the new small iPhone size. And now the $99 mid tier $99 with contract mid tier phone is also 4.7 inches.
[1:14:23.000 --> 1:14:38.000]  They could do that. And then that to me would be a strong signal that the 4 inch size, you know, I'm sure that they would still have something at the, you know, free with contract level that still has a 4 inch screen at the end of, you know, next year.
[1:14:38.000 --> 1:14:56.000]  But that it's on the way out. But on the other hand, I could see them going though where they still say you can still get a 4 inch phone. You know, we've got the, you know, small medium and large such screen sizes and, you know, 4 inch is our mid tier size.
[1:14:56.000 --> 1:15:14.000]  It would, you know, have the same, you know, the A8 from the iPhone 6, the camera from the iPhone 6. But in a 4 inch form factor. But would that form factor be plastic like the 5C or would it be metal like the 5S? I don't know.
[1:15:14.000 --> 1:15:28.000]  Again, and I guess the, you know, the other, the other thing to bring up is that I think now, are we at the point now where everything has the lightning connector? We are right. Yeah, we are with the iPhones. Yeah, that's, but that's, we're not at the place where everything has touch ID.
[1:15:28.000 --> 1:15:41.000]  And I assume that Apple wants to get there for Apple pay, especially. And then just overall to simplify and make it easier for developers who are trying to support touch ID and, you know, there's the fallback of course of just using passwords.
[1:15:41.000 --> 1:15:50.000]  I would assume that they want to get everyone on touch ID so even the low end ones. Do you think you agree with that? Well, I don't know because that's the, so the weird thing.
[1:15:50.000 --> 1:15:59.000]  It's like I said, like I think like this year right now until the end of the year the 5C is exactly what Apple wanted. They've got this, you know, a nice phone.
[1:15:59.000 --> 1:16:04.000]  Everybody likes it. It's easily advertised. It's colorful.
[1:16:04.000 --> 1:16:12.000]  But because they didn't rev it last year, my assumption is at the end of this year, the 5C as we know it goes away.
[1:16:12.000 --> 1:16:20.000]  That just, you know, falls off the bottom of the product list and it's gone. And it's replaced by what?
[1:16:20.000 --> 1:16:29.000]  If they just keep moving things down the line, it would be replaced by the 5S, which does have touch ID but doesn't do retail Apple pay.
[1:16:29.000 --> 1:16:34.000]  Like it only does Apple pay like in apps, which it doesn't seem to have taken off yet.
[1:16:34.000 --> 1:16:37.000]  Right. Because it doesn't have NFC. Right.
[1:16:37.000 --> 1:16:49.000]  Right. And it also, if they do that, it goes against my thinking that they want the bottom of the line phone to not have that premium metal industrial design.
[1:16:49.000 --> 1:16:56.000]  Right. So I don't know. Like do they come out with a new plastic model that they abuse at that free tier?
[1:16:56.000 --> 1:17:01.000]  Well, it seems like an awful lot of new SKUs. Right. Yes. Yes.
[1:17:01.000 --> 1:17:11.000]  Because I also feel like part of, just part of the reason that they can make all these new iPhones is that they're only making one or two new phones a year.
[1:17:11.000 --> 1:17:15.000]  And the other ones are these things, you know, like the 5S that they already know how to make.
[1:17:15.000 --> 1:17:19.000]  And it just, you know, just keep making them like you did last year.
[1:17:19.000 --> 1:17:23.000]  You know, the other thing that throws a wrench into it is what they did this year.
[1:17:23.000 --> 1:17:31.000]  And this is another discussion, you know, to the iPad mini where they didn't update the internals at all.
[1:17:31.000 --> 1:17:38.000]  But they gave it touch ID and like why why even bother to do that, you know, when they're when there was the only sort of upgrade that they did.
[1:17:38.000 --> 1:17:44.000]  And now there's the whole debate, you know, did the iPhone is the iPhone 6 Plus eating into iPad mini sales specifically.
[1:17:44.000 --> 1:17:48.000]  And what do they do with the future of that line? And is there a future of that line?
[1:17:48.000 --> 1:17:57.000]  Yeah, it's a good question. I, you know, so maybe, I don't know, like, could they come out with like the equivalent of a 5C, but just add touch ID?
[1:17:57.000 --> 1:18:03.000]  Yep, potentially. That's, that would be, that would be something that I might guess would be something that they do.
[1:18:03.000 --> 1:18:08.000]  Because I do agree that they want to keep obviously they want to have differentiating factors for the premium.
[1:18:08.000 --> 1:18:14.000]  But I do think that their strategy is, is pretty strong right now around Apple Pay.
[1:18:14.000 --> 1:18:25.000]  And I would imagine that they want, like we talked about earlier, they want that to be a moat, a new moat that sort of creates a reason why you're in the Apple ecosystem, regardless of which device you have.
[1:18:25.000 --> 1:18:35.000]  And so my guess would be, yes, they have something like an iPhone 6C that has touch ID and NFC, they had both of those to it.
[1:18:35.000 --> 1:18:41.000]  Yeah, but maybe like old and a, you know, a seriously older A series chip like an A6 or something like that.
[1:18:41.000 --> 1:18:47.000]  Right. And that's how they differentiate. It's not nearly as fast as sort of the high end and it's maybe plastic.
[1:18:47.000 --> 1:18:55.000]  And so plastic not as fast. The camera's not quite as nice, but it does still have Apple Pay and touch ID.
[1:18:55.000 --> 1:19:05.000]  Yeah, at the very least, I can't imagine that they'll ever, at any price point. I can't imagine that they'll ever come out with any new iPhones that don't do NFC and Apple Pay.
[1:19:05.000 --> 1:19:15.000]  Yeah. But it's a big question is how, you know, if they keep the five S around though and move it down the product here.
[1:19:15.000 --> 1:19:21.000]  Right. You know, that's another year then know that they have a phone that doesn't have Apple Pay and NFC.
[1:19:21.000 --> 1:19:33.000]  Yeah. And yeah, I mean, that's an interesting dilemma for them to have though they've always dealt with that fine in the past sort of keeping those products around longer than anyone else thinks that they should.
[1:19:33.000 --> 1:19:37.000]  And obviously they, they have the data to back that up that they should do that.
[1:19:37.000 --> 1:19:45.000]  Yeah, totally. All right. I want to tell you about a new sponsor here on the show and that sponsor is Oscar.
[1:19:45.000 --> 1:19:57.000]  Oscar is a new health insurance company. Now, this is US centric. And in fact, right now, it's limited to New York and New Jersey.
