[00:00.000 --> 00:04.580]  I can't believe it took this long to get you on my show. I was on like two years ago
[54:17.760 --> 54:23.880]  It's really good stuff. I keep getting feedback from readers on Twitter and stuff like that. They're like, hey, I've signed up
[54:23.880 --> 54:27.400]  I got this trace Pontus really really good coffee. It's really really good
[54:28.800 --> 54:31.120]  So here's the deal you can go to trace Pontus
[54:31.120 --> 54:32.560]  com
[54:32.560 --> 54:39.760]  TR e s p o n t a s dot-com slash coffee and you can find out more about their coffee
[54:39.760 --> 54:41.760]  And you can order it from them right there
[54:42.120 --> 54:47.480]  Or you can just go to Amazon and search for trace Pontus and you can buy it from Amazon
[54:47.800 --> 54:53.200]  They encourage you to do it. They love it when you buy from Amazon, but when you buy from Amazon, it's just the storefront
[54:53.200 --> 54:55.080]  It still ships from trace Pontus
[54:55.080 --> 54:59.320]  It's not coming from like an Amazon warehouse where the coffee is sitting on the shelves for weeks and weeks
[54:59.320 --> 55:02.760]  So do that to try it see if you like it
[55:02.760 --> 55:08.280]  And if you do then you can sign up for a coffee subscription and you can get fresh free fresh beans
[55:08.840 --> 55:13.120]  Sent to you on a regular schedule up to you. Do you want it every week?
[55:13.120 --> 55:16.020]  You want it every two weeks you want it every four weeks. It's your choice
[55:16.280 --> 55:21.100]  But then you don't even have to worry you never have to do anything and it's just you know, ding-dong, you know
[55:21.120 --> 55:24.880]  There's there's your coffee and you never have to shop for coffee again
[55:24.880 --> 55:28.360]  You just always have fresh coffee in the house or in your office or wherever you want to buy it
[55:28.360 --> 55:33.940]  And when you do sign up for a subscription you save 10% off what you pay when you buy it
[55:34.800 --> 55:41.760]  You know just buy a bag and listeners of this show can get an extra 10% off by using the code the talk show
[55:41.960 --> 55:46.320]  All one word the talk show at checkout when you buy a coffee subscription
[55:46.320 --> 55:50.040]  And that means you'll save 20% off every bag in perpetuity
[55:50.040 --> 55:57.520]  Using this code. So enter that code at checkout the talk show at trace Pontos comm slash coffee and
[55:58.600 --> 56:01.360]  You'll save a lot of money and it's good coffee. So
[56:02.280 --> 56:04.280]  My thanks to them
[56:04.760 --> 56:09.760]  All right, let's talk about this camera we promised we were gonna talk about the camera at the last break
[56:13.200 --> 56:15.200]  We're doing great
[56:15.200 --> 56:21.880]  Okay, do you want me to start? Mm-hmm. All right, I do here's here's my read
[56:24.480 --> 56:30.560]  So like we're saying Apple and Google are kind of doing similar things Apple's riff is a little bit different
[56:31.560 --> 56:36.600]  So Google pulls together for underexposed images merges them into an HDR photo
[56:38.160 --> 56:42.080]  They you I think you had in your iPhone review that they do it in the cloud
[56:42.080 --> 56:47.080]  That's not they actually do they do it on the phone at caption. Well, so here's where I screwed up in my review
[56:47.080 --> 56:54.760]  And I since edited it you probably read it right away. I was talking about Google as the maker of Android and
[56:55.800 --> 56:57.800]  Android wide the Android
[56:58.280 --> 57:05.320]  Ecosystems way of doing camera processing not the pixel in particular and that's a complete injustice to the pixel
[57:05.320 --> 57:12.040]  So I since edited the article to specifically mention that the pixel is an exception and that the pixel does stuff on camera
[57:12.040 --> 57:18.440]  It's like Google Photos. Yeah, its input is JPEG images from right every phone in the world and Google Photos is Google photo stuff
[57:18.440 --> 57:20.120]  the pixel has
[57:20.120 --> 57:23.320]  Its own custom coprocessor that Google built whatever
[57:23.960 --> 57:25.960]  Pixel visual core it's like a whole thing
[57:25.960 --> 57:31.760]  But philosophically very similar Apple's doing they just take a bunch of photos and merge them together at capture in the camera
[57:32.200 --> 57:33.800]  Apple takes one
[57:33.800 --> 57:40.040]  Overexposed image and I think this is the heart of where I see the differences in the cameras that
[57:40.040 --> 57:45.600]  That overexposed image gives them gives Apple a ton of shadow detail, right?
[57:45.600 --> 57:53.040]  And so they merge that shadow detail back in to my eye and I just want to stress a I told everybody this phone is
[57:53.040 --> 57:57.520]  Great, you'll be happy if you buy it B. I said it it's better iPhone camera than any other iPhone camera
[57:57.600 --> 58:00.120]  So me being like it's not quite as good as a pixel is
[58:00.240 --> 58:06.000]  One totally subjective and B does not mean that I think it's a bad phone people tend to over read my reviews in that way
[58:06.000 --> 58:11.480]  How about everybody over reads everybody's reviews, right? So I'm just like this is a very narrow criticism
[58:12.160 --> 58:13.560]  I
[58:13.560 --> 58:17.760]  Think app the way Apple adds shadow detail back to the photo
[58:18.520 --> 58:20.220]  to my eye
[58:20.220 --> 58:22.220]  flattens the photo in
[58:23.120 --> 58:27.560]  In a weird way where it just reduces the overall contrast of the photo
[58:27.840 --> 58:33.940]  It makes the dark areas and the light areas have the same tone. It just kind of muddies the the photo
[58:33.940 --> 58:38.460]  it reduces what you might call like the drama of the photo and then
[58:39.160 --> 58:41.040]  Into this I don't know for sure
[58:41.040 --> 58:48.120]  But we we looked it up the you noted in your view the image sensor is 32% bigger in the tennis
[58:48.520 --> 58:53.700]  The only image sensor on the market that matches Apple specs is a Samsung sensor
[58:54.280 --> 59:00.400]  So I think they switched from Sony Samsung and that that brought along some of the color differences that Samsung picks up
[59:00.400 --> 59:03.940]  I didn't want to speculate on that, but I did some research while writing my review
[59:03.940 --> 59:08.120]  And so I didn't put it in and and as we record, I don't know
[59:08.120 --> 59:11.620]  I were recording it in mid-afternoon Eastern Time on Friday
[59:11.620 --> 59:12.580]  I
[59:12.580 --> 59:17.680]  Fix it probably has their teardown up already because I know they always they flew they'd literally fly to
[59:17.860 --> 59:22.780]  Australia to get the phone early, so I don't know but I so, you know
[59:22.780 --> 59:27.200]  See I fix the teardown is up and the sensor isn't labeled. So we may never know. Well, we may never know
[59:27.200 --> 59:33.400]  I suspect you're right though that it is I I did some research and I do suspect it's that Samsung sensor that you're talking about
[59:33.400 --> 59:40.300]  Yeah, so that's the change the sensor. So I think that that that's some of the color difference, but then Apple does
[59:41.440 --> 59:43.640]  pretty aggressive noise reduction and
[59:44.220 --> 59:49.600]  so what you end up with is a photo that in the fine details is smoothed out in a way that
[59:50.520 --> 59:57.120]  Again, we've had this whole conversation like my instinct is to be a photographer and then to edit and so I would like the camera
[59:57.120 --> 01:00:03.020]  To have as much detail as possible and then I will monkey with the color and the contrast that stuff
[01:00:03.160 --> 01:00:08.920]  But if you give me detail, I can't I can't what I can't do is add detail to a photo. So those are my two
[01:00:10.080 --> 01:00:15.500]  Criticisms of the phone like that's where I think compared to the pixel as a photographer as somebody thinks that way first
[01:00:16.640 --> 01:00:21.420]  The pixel preserves that detail and it doesn't flatten that image in that way
[01:00:21.420 --> 01:00:27.540]  And I I completely understand what other people would prefer the iPhone photo, but to me
[01:00:27.540 --> 01:00:31.080]  It's that loss of detail is the thing that that always takes it down a notch
[01:00:31.160 --> 01:00:37.000]  yeah, and and to me and it's exactly why I wanted to have you on the show this week is that you're
[01:00:38.320 --> 01:00:40.320]  fundamentally your sort of
[01:00:41.220 --> 01:00:42.280]  benchmark
[01:00:42.280 --> 01:00:47.560]  for the tennis camera is the pixel 2 and which is fair and
[01:00:47.560 --> 01:00:54.880]  Interesting because the pixel 2 is like 11 months old and there's a pixel 3 coming out in a couple of weeks at the very least
[01:00:55.960 --> 01:01:01.200]  At you know soon. Yeah, so that they've already it's like it's gonna happen. Yeah
[01:01:01.840 --> 01:01:03.960]  It's already leaked as all Google things do
[01:01:05.040 --> 01:01:10.520]  It you know and my comparison is sort of within the you're gonna get it iPhone anyway
[01:01:10.520 --> 01:01:16.840]  Eco system. What is the year-over-year difference between the 10 and the 10s, you know, and
[01:01:17.520 --> 01:01:20.840]  And that's you know, I think they're both interesting comparisons
[01:01:23.480 --> 01:01:28.200]  To me and from my testing from the 10 to 10 s the difference is staggering
[01:01:29.000 --> 01:01:33.960]  I'm honestly I really I hope it came across in my review. I'm
[01:01:33.960 --> 01:01:42.240]  I'm literally flabbergasted that this is a one-year difference in the camera and I really do think that is the single in the entire
[01:01:43.040 --> 01:01:48.800]  What now 11 year history of the iPhone? I think it's the single greatest year-over-year increase in camera quality
[01:01:48.800 --> 01:01:51.040]  I think the five to the six was huge
[01:01:51.040 --> 01:01:55.240]  I don't remember it exactly but I remember the six was like, oh this is a real camera now
[01:01:55.240 --> 01:01:58.120]  Well, it's you know, and it's debatable
[01:01:58.120 --> 01:02:03.160]  I guess and and I know that going to dual lenses was a big deal because all of a sudden you can get a to
[01:02:03.160 --> 01:02:09.960]  You know quote unquote 2x zoom and you're not doing any optical, you know our digital, you know zoom at all. It's literally optical
[01:02:10.520 --> 01:02:12.520]  I
[01:02:12.880 --> 01:02:18.400]  I'm biased. I've always been biased towards low-light photography
[01:02:18.400 --> 01:02:22.060]  You know that and and in terms of low-light photography
[01:02:22.080 --> 01:02:27.680]  I'm I'll go to the mat and say this is the greatest year-over-year upgrade that will ever say because
[01:02:27.920 --> 01:02:32.000]  32% increase in sensor size is just flabbergasting. It is absolutely
[01:02:32.000 --> 01:02:35.640]  You know of of anything, you know
[01:02:35.640 --> 01:02:36.240]  like, you know
[01:02:36.240 --> 01:02:40.840]  like they say like the CPU is 15% faster and the GPU is
[01:02:41.280 --> 01:02:45.080]  50% faster and 50% faster is great for year-over-year, but like
[01:02:46.040 --> 01:02:52.080]  GPUs and CPUs getting faster is just like a thing that happens in the computer industry
[01:02:52.560 --> 01:03:00.280]  Whereas increasing the size of the sensor on a camera by 32% is is is not like a Moore's law thing
[01:03:00.280 --> 01:03:05.160]  It's actual physical thing where this thing in a device that is extremely
[01:03:06.320 --> 01:03:13.680]  Sensitive to you know it think about how small these cameras are compared to quote-unquote real cameras a
[01:03:14.200 --> 01:03:19.140]  32% increase in sensor size. It's just flabbergasting and yeah, it really shows in the low-light
[01:03:19.880 --> 01:03:24.360]  Output. Yeah, you know we were so again, you know, I have this like army of people
[01:03:25.200 --> 01:03:27.400]  helping me make the review and so
[01:03:27.400 --> 01:03:31.620]  The number of people who saw these side-by-side photos our video team
[01:03:32.600 --> 01:03:36.280]  James our creative director who I mean James is a pro photographer
[01:03:37.000 --> 01:03:43.680]  He was the the photographer. I'm like the pro windsurfing tour in Hawaii for like a decade, right?
[01:03:43.680 --> 01:03:46.800]  Like dude has been a pro photographer for 30 plus years
[01:03:47.360 --> 01:03:51.080]  So like we're all like art. I mean, this is like the most fun part of the week, right?
[01:03:51.080 --> 01:03:55.760]  We got the new iPhone we're gonna take a thousand photos and then we're all gonna argue about them
[01:03:55.760 --> 01:04:03.200]  Yeah, that's like what I live for right and every single person was like the 10s makes the 10 look horrible
[01:04:03.200 --> 01:04:08.160]  Yeah, and the 10 isn't bad. It's just next to the 10s. It looks bad
[01:04:08.200 --> 01:04:11.920]  So I I spent I took all of these side-by-side photos
[01:04:11.920 --> 01:04:17.060]  I mean hundreds of photos over the last week and I published a thing on flicker just before we started
[01:04:17.460 --> 01:04:22.000]  You know, I published like the two dozen or so of the the best example some of them
[01:04:22.000 --> 01:04:27.240]  You know not really showing a big difference between the two cameras because they were well-lit in well-lit situations
[01:04:27.240 --> 01:04:29.800]  They're not that different, but I spent the week in
[01:04:30.520 --> 01:04:35.880]  photos for Mac looking at these side-by-side photos and I
[01:04:36.360 --> 01:04:43.920]  Didn't really have like a scientific method of like always shoot with the old iPhone 10 first then shoot with the 10s
[01:04:43.920 --> 01:04:46.400]  It would be like whichever one was already out and in my hand
[01:04:46.400 --> 01:04:50.400]  I'd shoot first and then put it in my pocket take the other one out and try to frame the same photo
[01:04:50.400 --> 01:04:56.440]  And I had the little info window up which will tell you which one is which I
[01:04:57.760 --> 01:05:01.840]  Very quickly no longer need it, especially in low-light and low-light ones
[01:05:01.840 --> 01:05:05.080]  I didn't even need to look which one was 10 and which was 10s
[01:05:05.080 --> 01:05:09.600]  I instantly was like, oh this is 10 and then I'd look at the info window big. Yep. That's the 10
[01:05:09.720 --> 01:05:14.040]  This is the 10s. Yep. That's the tennis. Oh, yeah, I didn't need to double-check
[01:05:14.040 --> 01:05:21.320]  it was that clear and the 10 if you the the amount of smoothing the 10 does through noise reduction is
[01:05:22.240 --> 01:05:28.520]  Wild like you mean the tennis get in there and look no the 10 Oh compared to the tennis is less
[01:05:28.520 --> 01:05:30.680]  Oh, I see 10. Yeah, the 10 is like
[01:05:31.320 --> 01:05:38.080]  Actually more aggressive with the noise reduction right desperately trying to compensate for the noise that's coming off the sensor, right? Yep, exactly
[01:05:38.080 --> 01:05:45.360]  So yeah again, you know, I think it's a it's a great camera like it's the best iPhone camera that they've ever made
[01:05:45.800 --> 01:05:48.320]  to me, it's it really just comes back to
[01:05:49.320 --> 01:05:53.160]  Kind of this core question of what do you want the photo to look like?
[01:05:53.160 --> 01:05:53.760]  Yeah, right
[01:05:53.760 --> 01:06:00.240]  like do you want a great starting point and you're gonna edit or do you want something that is ready to share right away or
[01:06:01.800 --> 01:06:06.800]  Do you want something that's gonna hold up on a big screen right? Yeah or as a print
[01:06:06.800 --> 01:06:11.440]  I think most people are like living on Instagram, right? Yeah, like and
[01:06:12.440 --> 01:06:15.560]  that to me lets them get away with some stuff, but I
[01:06:16.360 --> 01:06:20.800]  There's just a part of me, you know, see you said it's an 11 11 month old camera the pixel 2
[01:06:22.160 --> 01:06:24.040]  There's a part of me it says
[01:06:24.040 --> 01:06:26.000]  You guys know that's the benchmark, right?
[01:06:26.000 --> 01:06:31.240]  But the whole sort of tech press has been saying the pixel 2 is the best camera for a year
[01:06:31.560 --> 01:06:33.560]  it's not just the verge like
[01:06:33.560 --> 01:06:38.440]  Mark has Brownlee. He's a great reviewer has been saying it. He actually said it in his review the tennis too
[01:06:38.440 --> 01:06:42.880]  It's the number two camera behind a pixel to said the same thing. Joanna has been saying at the journal
[01:06:43.960 --> 01:06:51.180]  So, you know, that's the benchmark and you know, Apple will never tell you this you can ask them any which way from Sunday
[01:06:51.520 --> 01:06:54.760]  You can say which metrics did you want to beat the pixel 2 on and they're like, no
[01:06:54.760 --> 01:06:56.120]  We just want to make the great camera
[01:06:56.120 --> 01:07:00.560]  But I'm there I would love to know like where do they think they're better than the pixel?
[01:07:00.560 --> 01:07:04.120]  Where do they think they're worse and where where does smart HDR is a new?
[01:07:04.960 --> 01:07:10.800]  Technology with a new sensor go next because I think that this is a new starting place for them
[01:07:10.800 --> 01:07:16.960]  Yeah, totally instead of refinement of what they've been doing for years with the seven eight nine or seven eight ten
[01:07:17.400 --> 01:07:23.600]  well, and it's such an interesting contrast because it it is sort of a luxury for
[01:07:24.200 --> 01:07:29.200]  Google that they don't have to make the pixel in the quantities that
[01:07:29.200 --> 01:07:33.600]  Apple has to make the iPhone and I'm not trying to excuse it, you know
[01:07:34.680 --> 01:07:41.240]  But it's different, you know, Apple is going to going to sell, you know, 40 million of these things in the first quarter
[01:07:41.560 --> 01:07:44.280]  And Google is not going to sell 40 million
[01:07:48.640 --> 01:07:50.560]  All right, and it's you know
[01:07:50.560 --> 01:07:57.280]  But that means though that and I really I guess I am trying to excuse it that Apple has to source a camera
[01:07:57.280 --> 01:08:00.840]  system an entire hardware camera system that they can make I
[01:08:02.480 --> 01:08:06.240]  Guess I mean what probably over a hundred million in the next 12 months
[01:08:07.440 --> 01:08:11.480]  Literally over a hundred million of them in the next 12 months counting. That's an hour, right?
[01:08:11.480 --> 01:08:16.000]  They've gotten this seems right the 10 are right. So, you know, well, let's count the 10 are right
[01:08:16.000 --> 01:08:17.600]  So it probably like 150 million
[01:08:17.600 --> 01:08:24.080]  I don't know but you know easily way over a hundred million of these camera systems for the wide-angle lens and it's the wide-angle lens
[01:08:24.080 --> 01:08:31.000]  That's the most interesting to me because the telephone quote-unquote telephoto lens is pretty much the same as last year's it's slightly better
[01:08:31.920 --> 01:08:37.320]  But it's technically roughly the same. It's the wide-angle lens that gets this new bigger sensor
[01:08:37.800 --> 01:08:44.380]  And has a different lens element and it's exactly supposedly going to be exactly the same in the 10 are
[01:08:45.320 --> 01:08:51.480]  So they have to source these and and I feel like it's a luxury for Google with the pixels where they can source
[01:08:51.480 --> 01:08:55.960]  You know, they can make cameras that they don't have to make a hundred million of you know
[01:08:55.960 --> 01:09:02.200]  Yeah, I mean the pixel to use is a pretty standard Sony sensor like it's a good sensor, right?
[01:09:02.200 --> 01:09:06.680]  But it's I don't think it was meaningfully different than the Sony sensors Apple was using and Sony
[01:09:07.360 --> 01:09:10.160]  You know, I said to Vlad one of our
[01:09:11.200 --> 01:09:14.080]  editors who folk who is in love with cameras and
[01:09:14.080 --> 01:09:21.120]  Hey, does this mean like Sony imaging is like if they have switched to Samsung this means Sony imaging is like gonna fall apart
[01:09:21.320 --> 01:09:26.480]  Because that happens like, you know Apple switched to Intel modems and Qualcomm falls apart, right?
[01:09:27.360 --> 01:09:32.320]  And he's like no dude, like every phone in China uses a Sony sensor, right? So like
[01:09:33.080 --> 01:09:35.960]  Even at Apple scale, they're just like a little blip for this company
[01:09:35.960 --> 01:09:39.960]  So I I don't know if I agree on the like it's easier for Google
[01:09:39.960 --> 01:09:44.240]  Like there's a lot of things that are easier for Google and because I don't make as many phones
[01:09:44.360 --> 01:09:49.360]  But I think here this is what they're doing is a software thing. Yeah, maybe I don't know
[01:09:50.040 --> 01:09:52.040]  I could be wrong, you know
[01:09:52.200 --> 01:09:57.440]  But I do think it's interesting that like exactly like you said so many people who I respect
[01:09:58.000 --> 01:10:01.960]  You know off the top of my head you you know the verge Joanna
[01:10:03.000 --> 01:10:04.400]  Marquez Brownlee
[01:10:04.400 --> 01:10:09.760]  Are all saying the same thing and and saying that the you know, year-old pixel 2 is still ahead?
[01:10:11.160 --> 01:10:14.460]  That's interesting to me and it makes me like I said at the outset of the show
[01:10:14.460 --> 01:10:16.680]  I wish I had a pixel 2 instead of a pixel 1 and
[01:10:17.720 --> 01:10:24.360]  The pixel 3 is coming out man. Well, I'm sure Google will happily tip you right, right? I want to get on that train
[01:10:24.960 --> 01:10:28.880]  They're gonna try to convince you more than anybody. Well, let me ask you this. So
[01:10:28.880 --> 01:10:34.880]  What are the pixel twos capabilities with video so still aside
[01:10:34.880 --> 01:10:37.400]  Let's just concede for the moment that you think you know
[01:10:37.400 --> 01:10:42.920]  Or let's just say you think still image wise the pixel 2 does a better job than the iPhone tennis. What about video? I
[01:10:43.680 --> 01:10:48.120]  Think that's the iPhone is it is ahead there right for a couple of reasons
[01:10:48.800 --> 01:10:53.080]  Wannick it can I'm pretty sure the pixel can't do 4k 60. Let me double check that. I
[01:10:53.080 --> 01:11:00.280]  I don't think it can either and I know that the I've the iPhone tennis is doing amazing things
[01:11:01.080 --> 01:11:07.960]  With photo with video that is shot at either 30 30 or 24 frames per second where it's shooting
[01:11:09.320 --> 01:11:15.160]  It's like I have notes on this but my notes were so sort of sketchy and you and I were actually in the same briefing together
[01:11:15.480 --> 01:11:17.480]  When we were talking to the camera team
[01:11:17.480 --> 01:11:23.640]  But Apple is is doing this crazy thing where if you're shooting at 30 frames per second or or 24
[01:11:23.960 --> 01:11:29.160]  But you know 30 is the the the default they're actually shooting an entire
[01:11:29.720 --> 01:11:33.240]  Extra frame of video in between frames of video to do
[01:11:35.080 --> 01:11:39.320]  Dynamic range compensation. Yeah and and reduce noise so it
[01:11:39.880 --> 01:11:45.560]  It's you're shooting 30 frames per second video and in the mean in in the meantime in between
[01:11:45.560 --> 01:11:51.400]  The iPhone is taking an extra frame just to make the frames that it's keeping better. Yes
[01:11:51.400 --> 01:11:56.440]  I think that stabilization is incredible. Yeah, and so I looked at the pixel can only do 4k at 30
[01:11:57.000 --> 01:12:02.520]  so I always want to shoot either at 24 or 60 so that I've been just like
[01:12:03.080 --> 01:12:05.480]  Immediately wins like yeah, it's shooting in the formats
[01:12:05.480 --> 01:12:11.560]  I wanted to shoot in and then the thing you're talking about between the optical stabilizer and some of the
[01:12:11.560 --> 01:12:19.320]  The optical stabilizer and some of the the inter frame stabilization they're doing it just looks better. Yeah, and then on top of that
[01:12:19.960 --> 01:12:20.840]  um
[01:12:20.840 --> 01:12:24.600]  Our audio engineer was super impressed with the fact that the tennis
[01:12:25.140 --> 01:12:26.360]  records
[01:12:26.360 --> 01:12:28.360]  Stereo audio. Yes
[01:12:28.600 --> 01:12:35.000]  And you can sort of hear it on the you know, the wide stereo speakers, but it actually is stereo audio
[01:12:35.480 --> 01:12:39.960]  Um, which virtually no other phone can do especially a phone at apple scale
[01:12:39.960 --> 01:12:43.960]  yeah, it's it's absolutely staggering what they're doing with video and
[01:12:44.840 --> 01:12:46.120]  um
[01:12:46.120 --> 01:12:47.880]  It's funny like you and I you know
[01:12:47.880 --> 01:12:51.560]  they they they had us grouped in groups of three and
[01:12:51.800 --> 01:12:57.480]  We recycled around and talked to a bunch of people behind the scenes after the event in these briefings and you and I were in
[01:12:57.480 --> 01:12:58.680]  this group
[01:12:58.680 --> 01:13:00.280]  and we got to talk to
[01:13:00.280 --> 01:13:05.560]  Two people from the camera team one one guy who was sort of on the hardware side and one on the software side and you
[01:13:05.560 --> 01:13:11.400]  You know, we got all this great information and it was really interesting and you particularly asked some great questions
[01:13:11.480 --> 01:13:15.480]  And I've you know, I was like, oh that's interesting and we got these great answers and then we're like on the way out the door
[01:13:15.960 --> 01:13:17.960]  Because they're like you got to go on, you know
[01:13:18.040 --> 01:13:21.880]  You got to go on and the guy just says to us. Oh, by the way, low light video is amazing
[01:13:23.160 --> 01:13:26.360]  Right. It's like be sure to test that and it was like what wait what?
[01:13:27.880 --> 01:13:31.960]  And then I shot some i've got two examples on my this flicker page. I just linked to
[01:13:32.520 --> 01:13:33.560]  um
[01:13:33.560 --> 01:13:40.120]  that are just staggering like just literally not just like oh, this is okay, and this is better but like literally
[01:13:41.000 --> 01:13:41.800]  the
[01:13:41.800 --> 01:13:44.460]  Iphone 10 footage is like borderline
[01:13:45.220 --> 01:13:50.600]  Unusable and the iphone 10s footage on video in low light is actually pretty good
[01:13:50.840 --> 01:13:54.440]  like one is a fountain in a park here in philadelphia and one was
[01:13:55.000 --> 01:14:01.000]  Um, I shot in this uh, great restaurant that my family loves, uh here in philly called uh, double nut
[01:14:01.000 --> 01:14:02.760]  um
[01:14:02.760 --> 01:14:05.560]  But it's super dark. I mean it is like crazy dark
[01:14:05.640 --> 01:14:09.320]  It is like I feel like i'm blind like I feel like I can't even get to my table
[01:14:09.400 --> 01:14:12.360]  it's so dark and I shot this footage of my son and it's like
[01:14:12.920 --> 01:14:18.840]  The the footage from my iphone 10 is exactly what I expected to get from a cell phone camera shooting video in this really dark room
[01:14:18.840 --> 01:14:20.840]  It is like unusable and then I shot
[01:14:21.240 --> 01:14:26.120]  Footage with the 10s and it is like this is actually pretty good. This is brighter than real life
[01:14:26.760 --> 01:14:28.760]  Yeah, that's my that's my
[01:14:28.760 --> 01:14:31.160]  um matt mucannon who is now the um
[01:14:31.880 --> 01:14:34.440]  executive editor eater and he sits just
[01:14:35.160 --> 01:14:39.880]  You know a hundred yards away from me in the office. I didn't know that he was there. I love matt mucannon
[01:14:40.200 --> 01:14:43.960]  Yeah, he's great. He was a eater. He was like when I was at n gadget. I was like baby blogger
[01:14:44.040 --> 01:14:50.860]  He was like my rival at gizmodo. Yeah, they used to want to be smarter than matt all the time and he wrote this headline
[01:14:51.720 --> 01:14:55.080]  uh that I think about every day because it was such a
[01:14:55.080 --> 01:14:59.640]  He was just smarter than me faster that that probably bothers you as much as bothers me but uh
[01:15:00.680 --> 01:15:02.680]  Iso is the new megapixel
[01:15:02.520 --> 01:15:09.160]  Right. Yes, and what he meant was yes performance and this is years ago. It's like yeah 2009 or something
[01:15:09.160 --> 01:15:12.200]  He wrote this and I I think about all the time like that's what you want
[01:15:12.200 --> 01:15:18.360]  You want great low light performance and then you can almost excuse anything else like because that's where you are
[01:15:18.360 --> 01:15:23.880]  You're always you know, you don't have a lighting rig with you or whatever and you're often in like a weird situation
[01:15:23.880 --> 01:15:28.760]  And if you can get the light out of the scene, you're way ahead. Yeah, I remember you know
[01:15:29.320 --> 01:15:33.400]  And it's one of those things that I don't know what the turning point was, but I remember
[01:15:34.120 --> 01:15:40.360]  Let's just say like eight years ago. I don't know like I was totally on the side of you know
[01:15:40.360 --> 01:15:45.320]  Every couple of weeks i'm posting something uh along the lines of you know
[01:15:45.960 --> 01:15:52.520]  Let's stop measuring our cameras by megapixel. This is absolutely, you know, yes more megapixels
[01:15:52.520 --> 01:15:54.520]  In general are better
[01:15:54.520 --> 01:16:00.760]  But given all of the other factors like the fact that sensors can't get bigger and that we're making cameras smaller and smaller
[01:16:00.760 --> 01:16:02.760]  Etc. Etc. Uh
[01:16:03.320 --> 01:16:06.360]  Megapixels is the worst way to measure cameras that you can you know
[01:16:06.360 --> 01:16:14.520]  You're way better off at the same sensor size with bigger pixels and fewer of them than more pixels that are smaller
[01:16:14.520 --> 01:16:19.480]  Yeah, and I remember you know harping about it and then I realized with this phone
[01:16:19.480 --> 01:16:26.360]  Writing this review where where the megapixel count is exactly the same as the iphone 10 and it's 32 bigger
[01:16:26.920 --> 01:16:29.480]  That it I haven't made this argument in a while
[01:16:29.480 --> 01:16:32.360]  it's like people have sort of they have like it like
[01:16:32.920 --> 01:16:38.600]  We like you people like me and you have finally like gotten it through to everybody to stop measuring
[01:16:39.320 --> 01:16:42.440]  Cameras by megapixel 12 megapixels is plenty it is
[01:16:43.080 --> 01:16:48.120]  Way more than enough for almost everything and sure 20 years from now i'm going to have to do it
[01:16:48.120 --> 01:16:53.480]  Sure, 20 years from now. I'm sure we'll look back and laugh at 12 megapixel cameras. We'll be like, oh my god
[01:16:53.480 --> 01:17:00.680]  That's ridiculous. But for the meantime given all of the other constraints and all of the other advantages. It's so much better to have
[01:17:01.720 --> 01:17:06.920]  Bigger pixels and then like you said like with matt bukenstein to be able to go to higher iso and have
[01:17:07.400 --> 01:17:09.880]  Not have you know crazy amounts of noise in the image
[01:17:10.440 --> 01:17:13.400]  Yeah, I mean you see it all over the industry too like
[01:17:13.400 --> 01:17:18.280]  dgi just put out new mavics and one has a smaller sensor and a big like a
[01:17:18.600 --> 01:17:20.600]  A bigger zoom lens, you know has a bigger sensor like
[01:17:21.320 --> 01:17:27.800]  The market is now sophisticated enough that it's applying sort of the right sensor to the right moment, right?
[01:17:27.880 --> 01:17:30.520]  And that it used to just be an arms race, right?
[01:17:31.160 --> 01:17:35.960]  And and you know, let's face it. I mean, I mean, this is a statement of the obvious but
[01:17:36.600 --> 01:17:40.360]  It I think it deserves to be called out like 99 of the photos
[01:17:40.360 --> 01:17:46.120]  Maybe even more maybe even more than 99 percent that i'm almost sure it's got to be more than 99 percent of
[01:17:47.000 --> 01:17:53.080]  The photos that people take with their cell phone camera are handheld with no physical stabilization
[01:17:53.160 --> 01:17:56.840]  Not even like just resting it not even put aside tripods
[01:17:57.080 --> 01:18:02.440]  But not even like putting it on a table or something to stabilize it. Everything is handheld and so
[01:18:03.000 --> 01:18:05.000]  Anything you can do?
[01:18:05.000 --> 01:18:06.600]  to get
[01:18:06.600 --> 01:18:12.280]  Uh slower or faster shutter speeds with a proper exposure is is a win
[01:18:13.480 --> 01:18:17.560]  Yeah, you know, I actually had never really thought about it that way like we're
[01:18:18.520 --> 01:18:20.520]  there the real race is
[01:18:20.840 --> 01:18:27.080]  How much like you captured a fast shutter speed to compensate for for handheld shake, right? How would you put that in a spec?
[01:18:27.480 --> 01:18:29.080]  How can we make that an arms race?
[01:18:29.080 --> 01:18:34.120]  Yeah, I don't know if we just if we make that a number and say this it's better when this number is higher
[01:18:34.120 --> 01:18:38.840]  Like samsung will figure it out, right? That's how they think like we just need to beat that number
[01:18:39.000 --> 01:18:43.320]  well, and the other factor that that figures into that too is that
[01:18:44.520 --> 01:18:47.000]  you don't see the difference between
[01:18:47.800 --> 01:18:50.840]  A faster exposure a shorter, you know
[01:18:51.960 --> 01:18:57.320]  You know being able to shoot at like let's say in really low light and get a 1 30th of a second instead of like
[01:18:57.400 --> 01:18:59.400]  1 15th of a second exposure
