[00:00.000 --> 00:01.680]  Federico
[56:12.620 --> 56:17.100]  The best product to show off on stage right and it would be running ios
[56:17.800 --> 56:21.040]  13.3 or maybe ios probably ios 13.4
[56:21.660 --> 56:25.980]  right because ios 13.4 is far enough in beta that it would probably be the
[56:26.700 --> 56:30.460]  The os for the out of the box for the new this new phone
[56:30.460 --> 56:34.540]  It's running the ios version that everybody around the world already is running
[56:35.420 --> 56:40.700]  Right. It's not a demo. The ipad is the thing that maybe would have a demo, right?
[56:41.580 --> 56:43.580]  and
[56:43.820 --> 56:50.300]  Are everybody's mutual friend the internet's friend steven trout and smith. It's spelunker of betas
[56:51.820 --> 56:53.820]  Has you know
[56:54.220 --> 56:59.500]  Poking around the ipad os 13.4 betas and it's running the ios 13.4
[56:59.500 --> 57:04.640]  Betas has uncovered a whole slew of keyboard related
[57:05.260 --> 57:07.260]  stuff in ios 13.4
[57:07.980 --> 57:09.980]  um
[57:09.980 --> 57:15.420]  It's all it's I don't even know you're probably more familiar with me in terms of what's already been uncovered
[57:15.500 --> 57:18.620]  But it would sort of coincide with a sort of
[57:19.340 --> 57:22.460]  Hey, you know, this is a demo like hey, you know
[57:22.620 --> 57:27.020]  People are using their ipads with a keyboard for all sorts of stuff and you know
[57:27.020 --> 57:33.660]  It fits in with the years-long narrative that for a lot of people. This is the portable that you can use in a laptop type
[57:34.460 --> 57:36.380]  setup
[57:36.380 --> 57:41.020]  So, I don't know what what what all have we already know is new in 13.4 for keyboard
[57:41.500 --> 57:44.220]  so the things that that we've seen tie in
[57:45.020 --> 57:48.540]  uh in a bunch of different ways with some potential, um
[57:49.580 --> 57:55.020]  Good demo candidates in the sense that there's one feature which is called full keyboard access
[57:55.020 --> 57:57.820]  this one was actually available for
[57:58.700 --> 58:02.780]  At least a couple beta builds last summer in 13.0
[58:03.260 --> 58:10.300]  And then it got pulled and never came back and now it's back in 13.4 and so full keyboard access lets you essentially
[58:10.940 --> 58:12.940]  define
[58:12.940 --> 58:15.020]  I believe like custom shortcuts
[58:16.300 --> 58:20.780]  That you can execute from the keyboard to perform specific functions. It's
[58:20.780 --> 58:25.980]  Essentially, it's it's another version of something that is already available in accessibility
[58:27.180 --> 58:30.620]  And that is if you connect a mouse in in ipads 13
[58:31.180 --> 58:33.900]  And you have a programmable mouse that has multiple buttons
[58:34.220 --> 58:41.260]  I mean usually two buttons, but you know, I have a logitech mouse that has five of them and you can configure each button in accessibility
[58:42.060 --> 58:46.060]  right now to do things like um, show me notification center or
[58:46.060 --> 58:51.820]  Show me notification center or um reveal the dock or go back to the home screen all that kind of stuff
[58:52.300 --> 58:59.900]  Now with full keyboard access you can do that. You can assign those system functions to keyboard commands and one of the
[59:00.540 --> 59:03.580]  Interesting features is that you can run a shortcut
[59:04.540 --> 59:05.820]  from the shortcuts up
[59:05.820 --> 59:11.900]  Uh with the system wide hotkey basically, uh, and it's not as good as on the mac
[59:11.900 --> 59:17.900]  Uh, because you cannot pass any input. So like it's not like on the mac with automator, right?
[59:17.900 --> 59:22.780]  If you have an automated workflow and you can say run this when I press command shift x
[59:23.660 --> 59:27.580]  But you can pass the selected finder item as input
[59:27.900 --> 59:33.680]  You cannot do that with full keyboard access in 13.4, but it's a step forward nonetheless
[59:34.300 --> 59:40.620]  And also the other big change is the is support for key up and down events. Yes
[59:40.620 --> 59:47.660]  Right, so that that's a one of the big features missing from developers who wanted to have like
[59:47.980 --> 59:53.660]  Serious keyboard integration with their apps. And so there's the productivity angle that I could see
[59:54.300 --> 59:59.740]  Being demoed of like now you can fully control your ipad pro in two different ways with touch
[59:59.740 --> 01:00:03.660]  Of course and with the keyboard and if you want to use the keyboard you never have to leave
[01:00:03.820 --> 01:00:07.420]  The keyboard you never have to reach the screen because you can do it all in theory
[01:00:07.420 --> 01:00:14.780]  Yeah, but there's also the gaming angle. Yeah, because now games can have proper keyboard integration because of key up and down events
[01:00:15.420 --> 01:00:17.420]  And so I could see a story
[01:00:17.740 --> 01:00:23.500]  Sort of like now on apple arcade you can here's a bunch of pc quality games that you can now play with the keyboard
[01:00:23.580 --> 01:00:26.060]  or with touch yeah, and if
[01:00:26.940 --> 01:00:28.940]  It it sounds so rudimentary
[01:00:29.580 --> 01:00:34.380]  Right, but just to further explain for anybody who doesn't know what key up and down events are literally
[01:00:34.380 --> 01:00:38.220]  it's it let's say you're the developer of an application and and
[01:00:39.500 --> 01:00:43.420]  The old days there were always apis on you know, mac windows
[01:00:43.500 --> 01:00:50.220]  whatever you were on where you could say is the a key down or notify me when the a key is pressed right and is the
[01:00:50.860 --> 01:00:53.900]  Was it it was the key pressed or is it being pressed and held?
[01:00:54.140 --> 01:00:57.500]  Right, and you would think that there should be a way for computer programs
[01:00:58.540 --> 01:00:59.820]  to tell
[01:00:59.820 --> 01:01:06.620]  But ios and ipad os have not had those sort of events until 13.4, which is still in beta
[01:01:08.300 --> 01:01:14.060]  And so for example, and again very demoable and speaking of you know friends in san jose
[01:01:14.780 --> 01:01:17.340]  There's a small company in san jose called adobe
[01:01:17.980 --> 01:01:19.420]  that made
[01:01:19.420 --> 01:01:22.220]  That makes a now 30 year old app called photoshop
[01:01:23.900 --> 01:01:28.380]  And anybody who's ever used photoshop extensively on the desktop knows
[01:01:28.380 --> 01:01:34.700]  That they use the keyboard in all sorts of ways and a casual photoshop user is going to use
[01:01:34.860 --> 01:01:40.060]  every do everything with the mouse and you click on a tool and then you go over to the you know, your your
[01:01:40.620 --> 01:01:42.220]  Your image and you start painting
[01:01:42.780 --> 01:01:48.780]  But a photoshop export expert is using the keyboard all the time and they have single key
[01:01:48.860 --> 01:01:53.340]  You know switches where you can just type. Uh, I forget what all of them are honestly
[01:01:53.340 --> 01:01:57.420]  I haven't used them in a while, but I don't know you can just type like b for the brush or something
[01:01:57.420 --> 01:01:59.260]  like that
[01:01:59.260 --> 01:02:03.980]  People who use photoshop all the time know them by heart and then you can do things like hold down the space bar
[01:02:03.980 --> 01:02:10.860]  And the cursor turns into a hand that you can use to page around without using scroll bars or something like that
[01:02:11.580 --> 01:02:14.700]  And you can hold down the option key to do different, you know
[01:02:15.020 --> 01:02:20.860]  Get different behavior or the shift key to constrain a selection to a fixed. Uh
[01:02:20.860 --> 01:02:27.600]  Aspect ratio as opposed to a freeform rectangle all sorts of ways that that photoshop uses the keyboard
[01:02:28.300 --> 01:02:30.300]  and um
[01:02:30.380 --> 01:02:32.380]  Has been problematic
[01:02:32.940 --> 01:02:37.980]  To say the least on ipad up until now would make for a very good demo
[01:02:38.300 --> 01:02:42.460]  And yeah again the gaming thing is obvious, you know in terms of being able to
[01:02:43.260 --> 01:02:48.140]  Get fast key events to be able to drive a game from the keyboard
[01:02:48.140 --> 01:02:51.180]  Yeah, now when you think about it, not so many companies can have
[01:02:51.740 --> 01:02:56.860]  Can say we have a tablet that that's as a really amazing gpu
[01:02:57.580 --> 01:03:01.260]  that gives you this kind of graphical performance and lets you
[01:03:01.900 --> 01:03:07.260]  And of course if this is all true lets you play games with two different, uh input methods
[01:03:07.340 --> 01:03:09.820]  Uh, like you can play with touch or you can play with the keyboard
[01:03:10.540 --> 01:03:16.380]  I you know not even I mean the nintendo switch has some kind of touch control, but it's not even a keyboard
[01:03:16.380 --> 01:03:19.820]  kind of touch control, but it's basically never used in games and
[01:03:20.300 --> 01:03:26.220]  The gpu is not nearly as good as the as the current ipad pro. I cannot I cannot imagine the next ipad pro. So
[01:03:26.780 --> 01:03:30.700]  It's it's definitely an interesting proposition and and from a productivity standpoint
[01:03:31.340 --> 01:03:36.220]  As you mentioned photoshop and and all the existing productivity apps, uh, there's you know
[01:03:36.220 --> 01:03:42.140]  There's there's a few developers who over the past couple of years have tried to enable
[01:03:42.140 --> 01:03:45.740]  Full keyboard navigation in their apps in their ipad apps
[01:03:46.380 --> 01:03:53.020]  You look at something like agenda for example or things or just today the the rss client
[01:03:53.580 --> 01:03:59.340]  Unread as a new version unread 2 and one of the features is you can fully navigate
[01:03:59.340 --> 01:04:01.420]  Unread with the keyboard if you have an ipad
[01:04:02.300 --> 01:04:06.220]  So developers have been doing like their own custom implementations
[01:04:06.220 --> 01:04:09.740]  But again, they're custom and they need they require a lot of work
[01:04:09.740 --> 01:04:12.940]  And they do not support key up and down events
[01:04:12.940 --> 01:04:18.380]  So in theory having a proper, uh framework from apple with support for key up and down events
[01:04:18.380 --> 01:04:21.820]  It makes a world of difference if you're an ipad developer, so
[01:04:22.700 --> 01:04:25.100]  That's very demoble for sure. Yeah
[01:04:27.420 --> 01:04:29.420]  And I think that there's
[01:04:30.140 --> 01:04:34.860]  It's just it's it's just the roots showing through the roots of the
[01:04:34.860 --> 01:04:41.180]  And it's funny because and I say this and it's like people forget it and it's come up a couple times in recent weeks
[01:04:41.180 --> 01:04:43.980]  But it is funny that the original
[01:04:44.700 --> 01:04:46.700]  ipad from 2010
[01:04:47.260 --> 01:04:51.260]  Was demoed with a first first party keyboard doc
[01:04:52.460 --> 01:05:00.140]  I had that I had that doc I used it twice and then I forgot about I you know what I knew I didn't want it
[01:05:00.140 --> 01:05:06.300]  You know what? I knew I didn't want it. And so I didn't buy it and I don't know how I knew it and I was like
[01:05:07.100 --> 01:05:13.420]  And and it was funny because i'll never forget that demo. Uh, it was you know, I went to the event and uh,
[01:05:13.980 --> 01:05:15.980]  The hands-on area was open
[01:05:16.540 --> 01:05:18.220]  and
[01:05:18.220 --> 01:05:24.940]  I'm always one of the often one of the last to leave because I don't i'm not under pressure to immediately get something up
[01:05:25.420 --> 01:05:26.220]  on
[01:05:26.220 --> 01:05:33.420]  Daring fireball I can take my time. Whereas an awful lot of the media who are in attendance either are required to
[01:05:33.660 --> 01:05:38.620]  You know file a story very quickly or just feel that pressure to you know file very quickly
[01:05:39.100 --> 01:05:42.140]  And nowadays, you know 2010 it wasn't as big a deal
[01:05:42.140 --> 01:05:45.980]  But nowadays, you know a lot of them have to shoot video and it's there's all this going on
[01:05:46.380 --> 01:05:48.380]  And i'll just sit there and play with the devices
[01:05:48.860 --> 01:05:53.020]  And I just remember it was like and they're so very nice, but they came up
[01:05:53.020 --> 01:05:56.380]  It was me and dan moran for it was then at mac world
[01:05:56.620 --> 01:06:01.100]  We're playing with the ipad on the dock and we were like trying to figure out all the keyboard shortcuts
[01:06:01.260 --> 01:06:06.140]  What worked and what didn't work and we're going through like mail and we're like, all right, let's go to and this was before
[01:06:06.700 --> 01:06:09.760]  You know, you could hold down the command key and just see the shortcuts
[01:06:10.140 --> 01:06:15.660]  But we're like, oh what about shift command d? Can you do shift command d to send an email and we're like, yes, you know
[01:06:16.220 --> 01:06:17.260]  uh
[01:06:17.260 --> 01:06:23.580]  And we're just going through and this very nice woman came over and she was like, hey, you know, hey guys, uh, you know
[01:06:23.580 --> 01:06:25.180]  We're wrapping up
[01:06:25.180 --> 01:06:30.540]  And like we look around and we look around and there's literally nobody left except apple employees
[01:06:31.260 --> 01:06:33.260]  And we're like, oh, I guess we should go
[01:06:33.740 --> 01:06:37.100]  We're like, we're sorry and we're like laughing like we literally got like
[01:06:37.660 --> 01:06:39.100]  dragged out
[01:06:39.100 --> 01:06:47.500]  While we were like using the keyboard, uh doc to like try to figure out all the keyboard shortcuts that they managed to hook up. Uh,
[01:06:47.500 --> 01:06:54.060]  But I didn't use but anyway, the keyboard was clearly an afterthought right at least originally even though they sold a keyboard
[01:06:54.060 --> 01:07:00.300]  That's my point. They sold one originally and it was to sort of sell the line that hey, they've got like a full-blown
[01:07:01.900 --> 01:07:07.020]  Full-blown version of numbers and pages and you can actually sit there and write and stuff
[01:07:07.020 --> 01:07:11.660]  But actual proper first-class support of a hardware keyboard
[01:07:12.460 --> 01:07:15.740]  Honestly, it's still not there and it sounds like you know
[01:07:15.740 --> 01:07:19.020]  We don't may not have to wait for ios or ipad os 14
[01:07:19.420 --> 01:07:24.300]  It seems like 13.4 might be the the height, you know the mark where we say
[01:07:24.700 --> 01:07:27.660]  This is where ipad os crossed the line and now uh
[01:07:28.940 --> 01:07:30.940]  You know has
[01:07:31.500 --> 01:07:35.500]  It's it's over the 50-yard line. It's over the halfway mark of having good keyboard support
[01:07:35.500 --> 01:07:38.140]  That's a sports metaphor, right? Yes. Yeah, i'm, sorry
[01:07:39.100 --> 01:07:46.060]  That's why I switched yards, uh, that's football. Well, that's what that's why I switched. Uh, what do you what do you call the center line?
[01:07:46.300 --> 01:07:48.300]  on a soccer pitch
[01:07:49.340 --> 01:07:50.380]  Um
[01:07:50.380 --> 01:07:55.740]  Midfield cross midfield. Yeah. Yes. All right. Yes. All right. So 50-yard line is midfield
[01:07:56.380 --> 01:08:00.940]  Uh, so we've we've crossed midfield, you know, we've gone over and now we're on the scoring end
[01:08:00.940 --> 01:08:06.940]  Uh, got it, you know, like for me one of the ones one of the things that is just it's just so frustrating
[01:08:06.940 --> 01:08:13.580]  And I don't think 13.4 does this but boy it's like man when I i'm when I have a hardware keyboard
[01:08:13.580 --> 01:08:16.700]  Connected to my ipad and I don't want to go off on the whole ipad stretch
[01:08:17.260 --> 01:08:19.900]  Here because that that'll be the closing segment of the show
[01:08:19.900 --> 01:08:24.300]  We have a lot to talk about but just in terms of like driving your ipad with the keyboard
[01:08:25.020 --> 01:08:27.020]  When i'm on the home screen
[01:08:27.020 --> 01:08:34.620]  When i'm on the home screen, it drives me insane that you can't just use the arrow keys to select between apps
[01:08:34.780 --> 01:08:41.660]  And then hit the return key to open it or something to open it, you know, like in the finder know, you know on the mac
[01:08:43.020 --> 01:08:46.300]  People might think that you hit return to open something but no return
[01:08:46.600 --> 01:08:52.460]  Renames it which is sort of a historical artifact. You have to use command open or command down arrow to open
[01:08:52.460 --> 01:08:58.140]  Uh, you know, i'm not going to argue with whether those keyboard shortcuts were a historical mistake or not
[01:08:58.140 --> 01:09:00.140]  But we're stuck with them, but there should be some way
[01:09:00.700 --> 01:09:08.220]  With a with a keyboard connected to an ipad to arrow key around and you know, and they enforce the grid, right?
[01:09:08.220 --> 01:09:13.340]  It's not like the desktop on the mac where you can kind of have your icons on your ipad home screen
[01:09:13.980 --> 01:09:20.700]  strewn about you know in a mess it enforces a nice grid which is just begging
[01:09:20.700 --> 01:09:22.700]  For up down left right, right?
[01:09:22.700 --> 01:09:24.700]  Yes, yeah begging
[01:09:25.100 --> 01:09:27.980]  Yeah, and really the main problem when you think about it
[01:09:27.980 --> 01:09:32.780]  It's is that the the ipad and that is not changing in 13.4
[01:09:33.020 --> 01:09:40.540]  It lacks any kind of selection state from the keyboard right any kind like on tvos you have the
[01:09:41.020 --> 01:09:47.740]  The focus engine right and you can select items and then you can click and there's none of that on the ipad
[01:09:47.740 --> 01:09:54.380]  There's none of that on the ipad, uh, which is why some developers some third-party developers have done their own custom thing
[01:09:54.700 --> 01:09:59.580]  But at a system level like even the basic stuff like I want to select icons on the home screen
[01:09:59.580 --> 01:10:05.500]  Well, it's not possible because the idea of selection is just not there just like the idea of hovering over
[01:10:06.140 --> 01:10:09.500]  Items in uik it. It's just not there. It doesn't exist which is why the
[01:10:10.380 --> 01:10:12.380]  the current implementation of the
[01:10:12.380 --> 01:10:18.060]  Pointing device is via accessibility. That's not a real pointing device. You're not hovering over anything
[01:10:18.060 --> 01:10:23.900]  You're just simulating a finger on screen and then you click which means you tap right but I totally agree with you
[01:10:23.900 --> 01:10:29.420]  Like it's so annoying that whenever you're on the home screen the really the only way to launch an app
[01:10:29.820 --> 01:10:34.620]  Without touching the screen is to search for it and then press return, right?
[01:10:34.860 --> 01:10:39.180]  Which yeah sort of works, but no just let me select stuff
[01:10:39.180 --> 01:10:45.500]  Well, I really the other thing that drives me nuts about you do command space and then you search for an app and it is
[01:10:45.500 --> 01:10:52.380]  The first search result you can hit the return key and it will open but there's still no selection state to show you that
[01:10:52.380 --> 01:10:58.140]  You just kind of have to trust that the return key will open but then you can use the arrow keys to move up and down
[01:10:58.140 --> 01:11:02.140]  This selection, you know it, you know much like spotlight on the mac
[01:11:02.780 --> 01:11:07.180]  So I want to say and I may be wrong then maybe you can do command down
[01:11:07.180 --> 01:11:14.220]  To jump between different sets of results. Like maybe you can do command down and you select
[01:11:14.780 --> 01:11:16.780]  There still should be a selection
[01:11:17.340 --> 01:11:24.540]  Yeah, and it should be better than it is right now for sure. I really, what I do, I hope that in 14 we get
[01:11:25.660 --> 01:11:29.660]  Some kind of selection state API and just hover state
[01:11:31.340 --> 01:11:34.220]  It's really necessary if you want to have serious keyboard integration
[01:11:34.220 --> 01:11:40.860]  Speaking of which did you see this, this rumor about the smart keyboard possibly getting a trackpad?
[01:11:41.420 --> 01:11:45.900]  Yes, yes the the information which you know is
[01:11:46.780 --> 01:11:49.420]  Not like a regular source of Apple stuff
[01:11:49.420 --> 01:11:56.620]  You know the information is subscriber only and it's sort of like most it's largely sort of like startup focused and sort of
[01:11:56.620 --> 01:12:03.660]  VC, I often think sort of VC centric, but then when they do pipe up with Apple stuff, it's usually pretty accurate
[01:12:03.660 --> 01:12:09.980]  You know, they're you know, and they everyone, you know, they'll go months without anything and then pop up with a blockbuster and this one
[01:12:09.980 --> 01:12:11.980]  This is a report from Wayne Ma
[01:12:12.780 --> 01:12:15.580]  Apple planning iPad keyboard with trackpad
[01:12:16.220 --> 01:12:21.340]  Apple is planning to release an iPad keyboard accessory later this year that will include a built-in trackpad
[01:12:21.340 --> 01:12:25.260]  That's, you know, I don't know that we even need to go any further
[01:12:25.260 --> 01:12:30.940]  I think, you know, their article goes on and on but I feel like we all kind of, you know
[01:12:30.940 --> 01:12:34.940]  I guess the one thing we don't know and they don't know in the article is
[01:12:35.820 --> 01:12:37.820]  To me it
[01:12:38.460 --> 01:12:40.460]  It would imply
[01:12:40.780 --> 01:12:44.940]  That it's going to be promoted out of accessibility
[01:12:45.500 --> 01:12:48.380]  And will be promoted out of accessibility
[01:12:48.380 --> 01:12:52.300]  And will become a first-class mouse cursor
[01:12:52.940 --> 01:12:58.860]  When you have a pointing device attached whether it's a trackpad on a keyboard
[01:12:59.420 --> 01:13:04.140]  Or a mouse or I guess I mean since you can connect mice you can connect
[01:13:04.860 --> 01:13:11.260]  I don't even know if this is true. Can you connect like a magic trackpad to an iPad? No, you cannot right now
[01:13:11.260 --> 01:13:17.900]  So you can't so you can plug in like a USB mouse, but you can't do a trackpad, but you know in theory
[01:13:17.900 --> 01:13:19.900]  They could support it, you know
[01:13:21.100 --> 01:13:25.740]  Theory I and I would think that then you you know and
[01:13:27.420 --> 01:13:31.260]  You know, oh here we go into the meat of the subject maybe I should take a break before
[01:13:32.380 --> 01:13:37.580]  Before we continue I'm gonna take a break and thank our next sponsor. It is
[01:13:37.580 --> 01:13:40.700]  Oh, I love this sponsor. This is a great company
[01:13:41.020 --> 01:13:43.020]  hover h-o-v-e-r
[01:13:45.420 --> 01:13:49.920]  Look hover is a jumping-off point for a ton of entrepreneurs
[01:13:51.420 --> 01:13:56.620]  Because they want you to start your business your idea your new project. Maybe it's not even a business
[01:13:56.620 --> 01:14:03.500]  Maybe it's like an open-source project or something like that. But what do you need to start you want a great domain name hover?
[01:14:03.500 --> 01:14:09.820]  Has over three hundred domain name extensions to choose from when building your brand online
[01:14:09.980 --> 01:14:13.660]  That's the top-level domain like back in the day man. I'm so old
[01:14:13.660 --> 01:14:15.820]  I remember when there were three there was like
[01:14:15.980 --> 01:14:21.580]  No, four.com.org.net and.edu and if you didn't like one of those you were stuck
[01:14:21.820 --> 01:14:25.580]  Well, they've got over 300 of those to choose from at this point
[01:14:25.820 --> 01:14:28.860]  So no matter what you want to build there's a domain name waiting for it
[01:14:28.860 --> 01:14:34.540]  You'll find excellent text tech support from hover available to answer any questions you may have
[01:14:34.860 --> 01:14:40.860]  And their support team does not upsell you they only work hard to help you get online
[01:14:41.420 --> 01:14:45.340]  They offer stuff like free who is privacy protection?
[01:14:45.820 --> 01:14:52.860]  So when you register a domain name with hover keeping your personal information like your address and your phone number and your email address
[01:14:53.100 --> 01:14:55.580]  Etc. It's not an upsell that you have to pay for
[01:14:55.580 --> 01:14:59.740]  And your email address etc. It's not an upsell that you have to pay extra for it
[01:14:59.740 --> 01:15:02.540]  It's included free because of course who doesn't want
[01:15:03.180 --> 01:15:06.540]  Privacy protection on that information. They have a really clean
[01:15:07.180 --> 01:15:15.020]  Great user interface to their website and it just just the simplest thing like the search interface for searching for
[01:15:15.660 --> 01:15:17.660]  Whatever it is you want.com
[01:15:18.220 --> 01:15:22.060]  And you find out the.com version of whatever it is you want isn't available
[01:15:22.060 --> 01:15:28.300]  But what other domains are available and what other things are similar with you you put like a hyphen in or something like that
[01:15:28.700 --> 01:15:32.940]  They offer all their their suggestion interface for what is available
[01:15:33.660 --> 01:15:37.180]  It's just perfect. It's really good. It's exactly what you want
[01:15:39.100 --> 01:15:43.580]  They also have monthly sales and promotions on popular top-level domains
[01:15:45.420 --> 01:15:46.620]  It's just
[01:15:46.620 --> 01:15:49.580]  Once you look at hover and compare it to other domain name registrars
[01:15:49.580 --> 01:15:52.300]  You can just see why hover is so popular and why they've been
[01:15:53.100 --> 01:15:55.100]  so popular for so long
[01:15:55.340 --> 01:15:56.300]  I
[01:15:56.300 --> 01:15:58.300]  Love the search interface
[01:15:58.300 --> 01:16:00.220]  also their tech support
[01:16:00.220 --> 01:16:06.780]  If you have an existing domain name registered at another registrar and you want to move it to hover
[01:16:07.420 --> 01:16:13.340]  They will help you as much as you need. So even if you're like a total non-expert and you don't know
[01:16:13.980 --> 01:16:16.620]  You don't want to screw up like the mx records that
[01:16:16.620 --> 01:16:22.140]  Uh deliver email and stuff like that and you just don't want to screw it up hover tech support will walk you through
[01:16:22.780 --> 01:16:25.100]  Every step of the way if you need it
[01:16:26.460 --> 01:16:32.700]  And it just to make you feel completely confident that moving your domain from your old registrar to hover is
[01:16:33.100 --> 01:16:35.500]  Gonna go off without a hitch. It really is great
[01:16:36.220 --> 01:16:37.820]  um
[01:16:37.820 --> 01:16:44.140]  It's a great interface. Like I said 300 domain name extensions to choose from grab your domain name
[01:16:44.140 --> 01:16:45.980]  and
[01:16:45.980 --> 01:16:49.340]  Just find out more by going to hover dot com slash talk show
[01:16:49.420 --> 01:16:56.380]  H-o-v-e-r dot com slash talk show and use that link and you get a ten percent discount on all new purchases
[01:16:56.780 --> 01:16:59.360]  Make a name for yourself with hover at hover.com
[01:16:59.900 --> 01:17:00.940]  slash
[01:17:00.940 --> 01:17:07.660]  Talk show. Let me see if I can remember post sponsor break where we were we were talking about the mouse cursor support
[01:17:08.220 --> 01:17:09.020]  Yeah
[01:17:09.020 --> 01:17:13.660]  It's got to be if they're going to do a trackpad which I think they should and I would love I really
[01:17:13.660 --> 01:17:16.940]  Really really hope that this rumor is true. Not just
[01:17:18.220 --> 01:17:25.340]  For the idea of a smart keyboard cover with a trackpad that you could use but the just the the in the broader sense
[01:17:25.340 --> 01:17:28.860]  The idea that they would add first-class mouse pointer support to ipad os
[01:17:31.260 --> 01:17:35.820]  Jason snare just posted on on six colors a post with a
[01:17:35.820 --> 01:17:43.500]  Post with um, uh questions about a potential smart keyboard with a trackpad and all those questions basically match the the things that I was
[01:17:43.500 --> 01:17:45.260]  thinking about um
[01:17:45.260 --> 01:17:52.620]  What does it mean if they do a trackpad in terms of the kind of pointer pointer that we get because right now?
[01:17:53.260 --> 01:17:58.620]  I could see apple saying uh, look it's got a trackpad, but it's just for text editing, right?
[01:17:59.020 --> 01:18:00.220]  Just like now for example
[01:18:00.220 --> 01:18:05.820]  You can hold down two fingers on the software keyboard and you get a trackpad when you're editing text, right?
[01:18:07.340 --> 01:18:10.060]  I could see a scenario where yes, there's a trackpad
[01:18:10.060 --> 01:18:14.940]  but it only helps when it comes to text editing and I think that will make sense, but also
[01:18:15.820 --> 01:18:21.500]  I would be disappointed because I would love to see a full-blown trackpad support and and actual
[01:18:22.540 --> 01:18:24.540]  support in uikid for
[01:18:24.540 --> 01:18:29.900]  controlling the entire interface with the trackpad, but also what does it mean in terms of um
[01:18:30.540 --> 01:18:33.900]  hardware keyboard design like does it mean that apple is going to have
[01:18:34.540 --> 01:18:39.900]  A keyboard with a hinge like fully adjustable viewing angle for example, right?
[01:18:39.900 --> 01:18:43.340]  So there's a lot of questions right now, but I guess the main point being
[01:18:44.780 --> 01:18:51.580]  Do we do we foresee a scenario where the ipad you can actually control the entire ipad osui
[01:18:51.580 --> 01:18:56.860]  With a pointing device with the trackpad built into the keyboard so that you never have to touch the screen
[01:18:57.420 --> 01:19:00.460]  I really hope so and I for a couple of reasons one of them
[01:19:01.020 --> 01:19:08.540]  Is that it it touch screens have been around? I mean, I mean really I mean we're like 13 years into it at this point, right?
[01:19:08.540 --> 01:19:10.540]  It was uh
[01:19:10.920 --> 01:19:12.460]  2007
[01:19:12.460 --> 01:19:16.620]  In january when apple announced the original iphone, so
[01:19:16.620 --> 01:19:22.940]  We're now 13 years after we you know, not quite to the point. I mean this was the point when everybody was still speculating
[01:19:22.940 --> 01:19:26.460]  That it was going to be a dud. It wasn't going to work blah blah blah. We nobody had it yet
[01:19:27.100 --> 01:19:32.880]  So, you know, you know, but we're easily over a 10 years into the period where people have touchscreens
[01:19:33.740 --> 01:19:41.900]  And apple has answered questions about well, why isn't doesn't the mac have touch screen support for a long time and it's you know
[01:19:41.900 --> 01:19:46.460]  And it's you know until and if they ever do release touch screen max
[01:19:47.020 --> 01:19:49.340]  they're going to keep answering it and their answer is
[01:19:50.380 --> 01:19:57.120]  One of the answers has always been that the ergonomics are terrible. All right, especially for like an ipad
[01:19:57.980 --> 01:20:02.940]  Or imac right where you're pointing at the screen an arm's length in front of you
[01:20:03.420 --> 01:20:08.940]  Your arm gets tired, you know, and they've mentioned it many times but even on a laptop, you know
[01:20:08.940 --> 01:20:16.540]  It's you know a swipe here a swipe there tap here and put your hands back down. There's no problem. But if the only way
[01:20:17.580 --> 01:20:19.580]  to
[01:20:19.660 --> 01:20:24.620]  Let's say you have a text editing document a long article, you know school paper
[01:20:25.500 --> 01:20:27.500]  Someone like me or you who writes for the web
[01:20:28.140 --> 01:20:30.140]  and you've got edits to make
[01:20:30.300 --> 01:20:33.020]  And editing is often largely
[01:20:33.740 --> 01:20:38.540]  You know selecting, you know, you don't necessarily want to do it all with arrow keys, you know
[01:20:38.540 --> 01:20:40.060]  Mm-hmm
[01:20:40.060 --> 01:20:43.580]  It's tiresome to sit there and touch the screen over and over again
[01:20:43.980 --> 01:20:49.420]  And touching the screen obscures the thing you're looking at right your hand is actually in front of your face
[01:20:50.380 --> 01:20:52.380]  um
[01:20:54.620 --> 01:20:57.260]  It doesn't make sense if apple's
[01:20:58.360 --> 01:21:03.980]  Argument one of apple's arguments against touch screen max is the ergonomics are bad
[01:21:03.980 --> 01:21:09.340]  Which I believe is true. I actually think that is actually true. The ergonomics are bad, but then it doesn't make sense
[01:21:09.740 --> 01:21:11.260]  that when they say
[01:21:11.260 --> 01:21:17.920]  Here with our ipad pro you can get this smart keyboard and turn it into a laptop like physical configuration
[01:21:18.380 --> 01:21:22.460]  And then when you want to do anything, you have to touch the screen which we've already told you with our other thing is
[01:21:22.460 --> 01:21:27.740]  Ergonomically bad, right? I mean that's yeah, it fundamentally doesn't make sense and when i've
[01:21:28.940 --> 01:21:31.580]  Confronted apple folks with that
[01:21:31.580 --> 01:21:37.660]  They you know, they just give non-answer answers, you know, but I it clearly doesn't hold water, right?
[01:21:38.300 --> 01:21:41.900]  And basically the ergonomic argument in favor of this
[01:21:43.020 --> 01:21:47.740]  Is beyond arguments over the operating system and the ui for it, right?
[01:21:48.300 --> 01:21:55.740]  But if your hands your fingers are on the home row keys of your keyboard, right? And the keyboard is flat on the desk
[01:21:56.700 --> 01:21:58.700]  Where are your thumbs your thumbs?
[01:21:58.700 --> 01:22:02.720]  Are right where trackpads go right like ergonomically
