[00:00.000 --> 00:04.520]  In the old days if if I were gonna have a show it would we would have to be together
[01:14:10.720 --> 01:14:26.720]  I think Windows 95 obviously had some part of it where the mass market, lower cost PCs jumped from having a really janky operating system like Windows 3.1 to having something that looked pretty nice and was a little, certainly a lot better organized.
[01:14:26.720 --> 01:14:33.720]  But the bigger thing is just the internet itself, which is that, and you know, people who love computers, I certainly didn't foresee it.
[01:14:33.720 --> 01:14:42.720]  I, you know, I was of the opinion as somebody, a kid who grew up loving computers, I couldn't understand why everybody else didn't love computers and want to spend as many hours a day as they possibly could on computers.
[01:14:42.720 --> 01:14:50.720]  But for normal people, what made computers something that they didn't care about, something they cared about deeply was that they got turned into communication devices.
[01:14:50.720 --> 01:14:58.720]  It's communication. Everything, you know, humans are creatures as we're born to want to communicate with each other.
[01:14:58.720 --> 01:15:04.720]  And the technologies that allow us to do so are the ones that rocket off.
[01:15:04.720 --> 01:15:16.720]  I mean, you could even talk about the automobile from the Henry Ford era a century ago as ultimately as a communications device, you know, that, yes, you could use it to bring things from one place to another faster than you could.
[01:15:16.720 --> 01:15:24.720]  But the fact that you could go visit people who you otherwise couldn't visit because you wouldn't have time to get there is a huge part of it, right?
[01:15:24.720 --> 01:15:35.720]  And computers before they were communication devices or in like the dial-up modem era when you had to dial in and telnet into a bulletin board and use, you know, cryptic command line things and nobody would understand it.
[01:15:35.720 --> 01:15:41.720]  Like, geeks got it early. We spent time on bulletin boards communicating with each other.
[01:15:41.720 --> 01:15:48.720]  When simple, easy to understand communication technology became available on the Internet, that's when it exploded.
[01:15:48.720 --> 01:15:57.720]  But Walt had his column from 1991, five years before that. And so he was already established as this voice of authority when the explosion already happened.
[01:15:57.720 --> 01:16:04.720]  Yeah. And I mean, the most obvious thing in the world is that the iPhone was the ultimate extrapolation of that, right?
[01:16:04.720 --> 01:16:13.720]  Because then you had not only was it a physical communication device, it blended everything together and you had it with you all the time.
[01:16:13.720 --> 01:16:29.720]  Right. One thing that I was curious to your take about this topic on with, you know, with Walt moving on was who do you think takes up the mantle then as sort of the I guess that go to either technology columnist or reviewer?
[01:16:29.720 --> 01:16:38.720]  You know, we know the names who are sort of at the at the bigger places, you know, Farhad Manjoo at the New York Times.
[01:16:38.720 --> 01:16:52.720]  Wall Street Journal is still doing the combo, right? With Joanna and the other guy.
[01:16:52.720 --> 01:17:02.720]  But so what and then David Pogue, I, you know, is still at Yahoo, I guess, or is he not? I don't even know, like, what's going to happen? Is he going to be at?
[01:17:02.720 --> 01:17:07.720]  I think so, but I feel like I don't know, because Yahoo's future is so uncertain.
[01:17:07.720 --> 01:17:13.720]  Right. Is he going to be at Ethos or whatever the hell that company is going to be called?
[01:17:13.720 --> 01:17:15.720]  So, oh, Jeffrey Fowler.
[01:17:15.720 --> 01:17:17.720]  Yes, Jeffrey Fowler. Sorry, Jeffrey.
[01:17:17.720 --> 01:17:26.720]  Sorry, Jeffrey. But so like, so how do you think that that plays out? Or is it not one of the giant, you know, sort of old school publications?
[01:17:26.720 --> 01:17:35.720]  Is it some some other is it so Mark Gurman, you know, was announced this morning that Bloomberg's launching a like a gadget show with with Gurman?
[01:17:35.720 --> 01:17:36.720]  Oh, I didn't see that.
[01:17:36.720 --> 01:17:44.720]  Yeah, it was unlike Axios. So Axios, you know, the new the new newsletter thing from Mike Allen and that group.
[01:17:44.720 --> 01:17:51.720]  Yeah, they broke the story about it looks like it's going I don't know exactly what it's going to be called.
[01:17:51.720 --> 01:17:55.720]  Hold on. I actually had the link here, so I got it up, but.
[01:17:55.720 --> 01:18:01.720]  Yeah, I was just talking about Axios because Ina Fried is took over and is running the technology beat for them.
[01:18:01.720 --> 01:18:05.720]  And she was at the Appleschindig last week and I was talking to her about it.
[01:18:05.720 --> 01:18:13.720]  It's an interesting format. And I said to her, I said, you know, I'm not just saying this because you're here, but I have to say that especially politics wise.
[01:18:13.720 --> 01:18:18.720]  You know, I'm more keenly attuned ever, ever since November.
[01:18:18.720 --> 01:18:24.720]  And in the last few months, it's surprising how many of the links that have bubbled up to the surface politically have been Axios sites.
[01:18:24.720 --> 01:18:28.720]  Like it didn't take very long after Axios launched before I noticed it.
[01:18:28.720 --> 01:18:33.720]  And I was like, how long has this been around? Because all of a sudden this is in my it's popping up every day.
[01:18:33.720 --> 01:18:36.720]  And then I checked and I was like, oh, it's only like two weeks old.
[01:18:36.720 --> 01:18:38.720]  Yeah, it's not like I missed it.
[01:18:38.720 --> 01:18:40.720]  It's like right from the get go, though.
[01:18:40.720 --> 01:18:46.720]  They've been they're doing great. And not not to do too much of an aside on the aside, but yeah.
[01:18:46.720 --> 01:18:56.720]  So, you know, in my world, in my current world, in VC, obviously everyone was reading Dan Primack when he was at Fortune, his newsletter, and he moved over to Axios sort of around the time of their launch.
[01:18:56.720 --> 01:19:03.720]  And then they have the Mike Allen guy who famously sort of wrote the, you know, the Politico newsletter for a long time.
[01:19:03.720 --> 01:19:08.720]  And it's insane because he literally writes it every single day and just fills it with a ton of content every single day.
[01:19:08.720 --> 01:19:12.720]  It seems to get legitimate inside the White House scoops.
[01:19:12.720 --> 01:19:13.720]  And obviously, Primack gets his scoops.
[01:19:13.720 --> 01:19:16.720]  You know, we'll get hers. And it's just like on down the line.
[01:19:16.720 --> 01:19:18.720]  They have a they have a pretty killer product and team.
[01:19:18.720 --> 01:19:26.720]  Yeah. Yeah. They really it's they did a very keen job of focusing on just getting great talent.
[01:19:26.720 --> 01:19:30.720]  Just, you know, they have a great format. And I like you know, it's a good it looks good.
[01:19:30.720 --> 01:19:34.720]  There's not I don't see any clutter on screen that is annoying me.
[01:19:34.720 --> 01:19:42.720]  It's they've got this focus on writing really short articles that just get to the point which I think goes over really well.
[01:19:42.720 --> 01:19:50.720]  Like there's no padding in the articles, but they've got great talent on all these beats, which is to me a great combination.
[01:19:50.720 --> 01:19:55.720]  It's a good format with a good focus. It's user friendly.
[01:19:55.720 --> 01:20:00.720]  And they've assembled a really good team of talented people with with deep sources.
[01:20:00.720 --> 01:20:04.720]  So anyway, and they do a great and just they do a great job with brevity, too.
[01:20:04.720 --> 01:20:07.720]  It's like they don't just they don't drag on. That's what I'm saying.
[01:20:07.720 --> 01:20:10.720]  There's so much on the web that drags on because it's like they want now.
[01:20:10.720 --> 01:20:20.720]  It's like I feel like in the old days, the problem, like eight, nine years ago, was that the sites, because they were counting pages, they would break up.
[01:20:20.720 --> 01:20:25.720]  They would break up articles, you know, click here for next page, next page.
[01:20:25.720 --> 01:20:38.720]  But now I feel like articles are padded for the sake of being able to algorithmically interrupt between paragraphs to insert either ads or promotions for other thing on the site.
[01:20:38.720 --> 01:20:43.720]  And so I know mostly reading on the phone is it.
[01:20:43.720 --> 01:20:47.720]  There was this. Oh, my God, I forget who it was. I don't want to mention it because I don't want to give them any attention.
[01:20:47.720 --> 01:20:59.720]  But there was an article I was reading last night where they had three interruptions in the same article to promote a new podcast that they were launching for the same podcast, three times in the article between paragraphs.
[01:20:59.720 --> 01:21:05.720]  And on the phone, it's a huge it's a huge interruption between like where your eyes find the next paragraph.
[01:21:05.720 --> 01:21:08.720]  Right. Anyway, Axios does a good job on that.
[01:21:08.720 --> 01:21:10.720]  So Gurman Singh is called Gadgets with Gurman.
[01:21:10.720 --> 01:21:12.720]  That's a great idea.
[01:21:12.720 --> 01:21:13.720]  Bloomberg show.
[01:21:13.720 --> 01:21:19.720]  So it's going to be a digital video series that they're going to launch across all the Bloomberg stuff, including the terminal, it sounds like.
[01:21:19.720 --> 01:21:24.720]  But then they're going to package it together and eventually sort of put it on Bloomberg Television as well.
[01:21:24.720 --> 01:21:26.720]  I know he's been very interesting.
[01:21:26.720 --> 01:21:30.720]  I know that's you know, I can't say I'm close friends with them, but I certainly am friendly with them.
[01:21:30.720 --> 01:21:38.720]  He's been on the show and whenever, you know, I like now that now that he's, you know, really gone pro, he's he's getting invited to Apple events.
[01:21:38.720 --> 01:21:48.720]  And I always try to make make a point of saying I know from talking to him that a big reason he went to Bloomberg instead of anywhere else was the promise of video and TV stuff.
[01:21:48.720 --> 01:21:51.720]  You know, he's right. He's super interested in that.
[01:21:51.720 --> 01:21:54.720]  So I'm not surprised at all that he's getting his own thing.
[01:21:54.720 --> 01:22:06.720]  But so, you know, amongst those people or someone else, like, is there someone who takes up that mantle or are we just in an era now where it's so it's such the norm that there's going to be sort of the, you know, five to 10 go to.
[01:22:06.720 --> 01:22:09.720]  I don't think there's anybody who takes the mantle from Mossberg. I really don't.
[01:22:09.720 --> 01:22:23.720]  And and I just don't I just don't see how it happens because I don't see it's not like the New York Times and Wall Street Journal aren't still important, but they're differently important.
[01:22:23.720 --> 01:22:33.720]  Now, where I don't feel like they have singular voice, maybe like on the New York Times op-ed page, you know, like Paul Krugman and Maureen Dowd still have that influence.
[01:22:33.720 --> 01:22:50.720]  But I don't know. In technology, I just don't see it. I just I think the fact that Walt was there so early and was so established that it combined with the incredible power of the Wall Street Journal, even today.
[01:22:50.720 --> 01:22:56.720]  I mean, Wall Street Journal is still super popular, but the fact that he was doing it at the Journal, I just don't see how anybody's going to take that position.
[01:22:56.720 --> 01:22:59.720]  It's almost like, you know, Michael Jordan retires. Who takes over as Michael Jordan?
[01:22:59.720 --> 01:23:04.720]  Like maybe there will be a Lebron who comes along, but I think whoever that is isn't here yet.
[01:23:04.720 --> 01:23:08.720]  Yeah. And it's going to have to be sort of different thing, maybe even a different format.
[01:23:08.720 --> 01:23:12.720]  And, you know, maybe this this German thing becomes interesting.
[01:23:12.720 --> 01:23:21.720]  I do think, like, you know, some of some of the other other folks who have great history, like Steven Levy is a good, good friend of mine.
[01:23:21.720 --> 01:23:27.720]  Obviously, he's still getting some amazing stories for for his back channel stuff, which is under wired now.
[01:23:27.720 --> 01:23:36.720]  And, you know, there's so there's going to be sort of there's still the the group of folks who have so much prestige around them.
[01:23:36.720 --> 01:23:43.720]  And the bigger companies are still comfortable sort of, you know, talking to them versus, you know, just some some random person.
[01:23:43.720 --> 01:23:51.720]  Like you said, like sort of when when Mark was at when Mark Gurman was at a nine to five Mac, he didn't get invited to any of the Apple things.
[01:23:51.720 --> 01:23:53.720]  Right. Even though he's breaking every single story.
[01:23:53.720 --> 01:23:57.720]  Well, it was already too late to come to the event. Right. Like what he was doing.
[01:23:57.720 --> 01:24:06.720]  That was that was that was adding adding to the overall quantity of the information in the world had nothing to do with what was at the events.
[01:24:06.720 --> 01:24:10.720]  It was, you know, five months before the event. Right.
[01:24:10.720 --> 01:24:20.720]  I feel like the closest would be and I wonder, I think he did the right thing because I think part of being prescient with Walt was that.
[01:24:20.720 --> 01:24:27.720]  I think he was I think he was smart to go to create the all things dbrand while at the Wall Street Journal.
[01:24:27.720 --> 01:24:31.720]  And the again, the Columbia Journalism Review mentions that they did that.
[01:24:31.720 --> 01:24:40.720]  He and Kara Swisher did that when the consensus among print journalists was still to treat the Web as an ugly stepchild.
[01:24:40.720 --> 01:24:43.720]  Right. Right. You're writing primarily for print.
[01:24:43.720 --> 01:24:53.720]  And then there's some B team that takes the print stuff after it after it's gone through the print process and put it on the Web thing, whatever, you know, treat it as an ugly stepchild.
[01:24:53.720 --> 01:25:00.720]  I mean, here in Philadelphia, I don't want to go on a super long side, but in Philadelphia, the two newspapers are the Inquirer and the Daily News.
[01:25:00.720 --> 01:25:08.720]  And they made a decision in the late 90s that rather than focus on having like an Inquirer dot com and Philly,
[01:25:08.720 --> 01:25:13.720]  Daily News dot com or whatever you want to call the domains be a quality things.
[01:25:13.720 --> 01:25:22.720]  They made like a joint thing called Philly dot com and they had content from both newspapers, but they just sort of it was never really clear which articles were from which paper,
[01:25:22.720 --> 01:25:27.720]  even though they independently as print operations, they were completely separate and rivals,
[01:25:27.720 --> 01:25:32.720]  completely separate rivals, even though they were under the same parent obligation, our organization.
[01:25:32.720 --> 01:25:41.720]  But the Philly dot com and it was an ugly website. It was slow to load. They they always they were at the forefront of using paywalls
[01:25:41.720 --> 01:25:44.720]  and it almost bankrupted the color. It did bankrupt the company.
[01:25:44.720 --> 01:25:51.720]  The company is you know, they ended up having to sell their their magnificent headquarters and and move into, you know,
[01:25:51.720 --> 01:25:57.720]  janky office space and it, you know, not treating the Web seriously, really almost random into the ground.
[01:25:57.720 --> 01:26:04.720]  I would say Walt was at the opposite where Walt was, you know, with all things D, they they were like, we'll make you know, we'll write for the Web first.
[01:26:04.720 --> 01:26:10.720]  Yep. And we'll make Web only content. That plus the conference business.
[01:26:10.720 --> 01:26:14.720]  I mean, right. You know, they which came first curve. Right. That was 2003.
[01:26:14.720 --> 01:26:24.720]  And I think they started the all things D website in 2007. I also think that, you know, leaving leaving the journal for the last, you know, what, five, six years of his career to start Recode,
[01:26:24.720 --> 01:26:31.720]  which they then merged with, you know, Vox and the Verge, et cetera, was probably the right thing to do.
[01:26:31.720 --> 01:26:39.720]  I really do think so. And I think it was had an eye on the future. But I wonder how much it lessened his influence.
[01:26:39.720 --> 01:26:47.720]  Like, yeah, like I think really, I think for Kara and what she does best with breaking scoops, it's fine.
[01:26:47.720 --> 01:26:50.720]  I think, in fact, it's I don't think I think it was all win.
[01:26:50.720 --> 01:26:57.720]  And the fact that she's got equity in the thing and the scoops go out to everybody who cares about scoops when they come out.
[01:26:57.720 --> 01:27:03.720]  But for Mossberg's thing of being a sort of spokesperson for the every man.
[01:27:03.720 --> 01:27:12.720]  Right. As a product reviewer, I do wonder whether his his voice was lessened by leaving the journal.
[01:27:12.720 --> 01:27:22.720]  Right. And I mean, that's that's the hard the hard sort of gap to close, because the every man may not read the Wall Street Journal only,
[01:27:22.720 --> 01:27:25.720]  but like they know of the Wall Street Journal. The every man knows the Wall Street Journal.
[01:27:25.720 --> 01:27:29.720]  They'll know Walt Mossberg at the Wall Street Journal.
[01:27:29.720 --> 01:27:34.720]  And certainly he had a big enough name for when he leaves the Wall Street Journal to take some of that audience with him.
[01:27:34.720 --> 01:27:41.720]  But it will never be the full audience of, you know, a nationwide distributed paper.
[01:27:41.720 --> 01:27:51.720]  And so. Right. I it was almost like was recode more of a, you know, sort of back to the tech enthusiast crowd versus the every man.
[01:27:51.720 --> 01:27:54.720]  Right. Like Walt's writing never didn't change. Like. Right.
[01:27:54.720 --> 01:28:03.720]  You know, I don't think that you could Pepsi challenge the difference between Walt's columns under the Recode or Verge banner and his Verge columns under the Journal banner.
[01:28:03.720 --> 01:28:07.720]  He had the same style and the same approach and the same attitude. If you just look at the words.
[01:28:07.720 --> 01:28:12.720]  But I think it reached fewer people. I think it was almost like a magnifier where he built the Walt Mossberg brand,
[01:28:12.720 --> 01:28:19.720]  where if you put a quote up in a keynote and just had a quote from Walt Mossberg, that says a lot right there.
[01:28:19.720 --> 01:28:23.720]  But Walt Mossberg, comma, the Wall Street Journal is like it's like a multiplier,
[01:28:23.720 --> 01:28:31.720]  because now you've got both the power of the Wall Street Journal brand combined, you know, multiplied by the power of Walt's personal brand.
[01:28:31.720 --> 01:28:40.720]  Yeah. And so, I mean, that speaks to why it was probably the smart move to then do the sort of the Vox sale and merge basically, you know, with the Verge,
[01:28:40.720 --> 01:28:46.720]  because it is well, you know, we can argue about whether it's been successful yet in doing so.
[01:28:46.720 --> 01:28:54.720]  It is trying to reach a more mainstream audience rather than, you know, what I think what Recode was doing itself, which was much more targeted.
[01:28:54.720 --> 01:29:05.720]  Right. And, you know, obviously, I'm a surprise, surprise, I'm a big proponent of writers and independent journalists going off on their own and building their own brands.
[01:29:05.720 --> 01:29:11.720]  But I'm also keenly aware of the brand equity of things like the Journal and the New York Times.
[01:29:11.720 --> 01:29:16.720]  I feel like Pogue is in the same boat where career rise, it might have been exactly the right thing.
[01:29:16.720 --> 01:29:20.720]  I'm not criticizing him in the least. It might have been exactly the right thing to go to Yahoo.
[01:29:20.720 --> 01:29:26.720]  And, you know, it might be great for his career and his family and his personal finances.
[01:29:26.720 --> 01:29:32.720]  But I can't help but think that if Pogue were still at the New York Times, he might be in that position to sort of take over as the de facto.
[01:29:32.720 --> 01:29:41.720]  Like David Pogue at the New York Times is a much more powerful voice and brand than David Pogue at Yahoo tech or whatever the umbrella is.
[01:29:41.720 --> 01:29:51.720]  Yeah, it's sort of interesting. I know it's not a direct analogy and it's in some ways probably unfair, but it's like, you know, reminds me of sort of like the Siskel and Ebert thing, right?
[01:29:51.720 --> 01:30:00.720]  When they were at sort of the pinnacle of doing film reviews and, of course, the getting the television show and everything doing that.
[01:30:00.720 --> 01:30:05.720]  And then, you know, both unfortunately passed away.
[01:30:05.720 --> 01:30:12.720]  And like who then takes up that mantle? And they're really, you know, there's some people like A.O. Scott at the New York Times, who I think is great.
[01:30:12.720 --> 01:30:16.720]  And there's a handful of other people, but no one has that same influence.
[01:30:16.720 --> 01:30:20.720]  That's a perfect example that I think because there is no there's no no more Siskel and Ebert.
[01:30:20.720 --> 01:30:26.720]  And even after Gene Siskel died, I think Ebert Ebert was enough of a voice where he was still.
[01:30:26.720 --> 01:30:29.720]  Yes, he was still upright.
[01:30:29.720 --> 01:30:32.720]  But after after he died, nobody really took that.
[01:30:32.720 --> 01:30:36.720]  I can't think of who I would think, you know, I personally do like A.O. Scott.
[01:30:36.720 --> 01:30:42.720]  I personally I love to hate read.
[01:30:42.720 --> 01:30:46.720]  What's his name? Anthony Lane and the New Yorker. Oh, right.
[01:30:46.720 --> 01:30:51.720]  Yep. Yep. I read those, too. Yep.
[01:30:51.720 --> 01:30:58.720]  I get to the end of every issue of the New Yorker and I either if I see I don't read them unless I've seen the movie.
[01:30:58.720 --> 01:31:04.720]  But sometimes I keep all the ones and I bookmark them. And then when I do see the movie, I go back and I do the same exact thing.
[01:31:04.720 --> 01:31:08.720]  I can read Anthony Lane's review and I do the exact same thing for the same reason.
[01:31:08.720 --> 01:31:17.720]  I rip it up and I want to I want to just throw these ripped up reviews in his face and say, you joyless.
[01:31:17.720 --> 01:31:22.720]  Don't you realize that sometimes the movie is just meant to be fun?
[01:31:22.720 --> 01:31:26.720]  But he's very good at writing those reviews. So I still read them.
[01:31:26.720 --> 01:31:30.720]  But I can't say that like anybody is like that, like Ebert. I would say that.
[01:31:30.720 --> 01:31:35.720]  Yeah. Walt is sort of the Ebert and Cisco combined, maybe. Anyway.
[01:31:35.720 --> 01:31:39.720]  Yeah. Anyway, good luck. It's gonna be weird. It's gonna be weird not seeing him around.
[01:31:39.720 --> 01:31:46.720]  I tell you that. Yeah. Are you going to I'll be at the the code conference for I guess that's where he's saying the the the actual goodbye.
[01:31:46.720 --> 01:31:52.720]  So that'll be an interesting. I've never gone. I should see if I can wrangle it.
[01:31:52.720 --> 01:31:58.720]  It is, you know, not to not to promote that to be a promotion here, but it is a very good conference.
[01:31:58.720 --> 01:32:04.720]  They do a very good job with it. I think the reason I never have even thought about seeing if I could go is that it seems so close to WWDC.
[01:32:04.720 --> 01:32:09.720]  And I'm sort of a homebody and I don't want to go away two times in short.
[01:32:09.720 --> 01:32:13.720]  Yeah. And it's in Southern California. Not not up here. So. Right. Well, I don't really care.
[01:32:13.720 --> 01:32:18.720]  It's just it's all that matters to me is that I'm a gazillion thousand miles away from home.
[01:32:18.720 --> 01:32:23.720]  But can't be away from that U-Haul desk.
[01:32:23.720 --> 01:32:27.720]  So you want to do you want to go back to your iPad? Well, let me finish this.
[01:32:27.720 --> 01:32:31.720]  I have one more sponsor to thank. And then I'll go back to my iPad point, which is perfect.
[01:32:31.720 --> 01:32:37.720]  And it's our good friends. One of our best sponsors, Fracture. Fracture is a photo decor company.
[01:32:37.720 --> 01:32:42.720]  Here's what they do. You send them your personal photos. You pick a size and they have all sorts of sizes to pick from.
[01:32:42.720 --> 01:32:46.720]  And then they print your photos directly on glass. You've probably heard about them before.
[01:32:46.720 --> 01:32:52.720]  You've probably heard me talk about them. They've been a longtime sponsor. I cannot emphasize what a great gift this item is.
[01:32:52.720 --> 01:32:57.720]  Now, as we record, it's the middle of April. Mother's Day is coming up.
[01:32:57.720 --> 01:33:02.720]  I don't know if there's time left. Maybe as you hear me listen to the words that are coming out of my mouth.
[01:33:02.720 --> 01:33:09.720]  You can hurry up and order some fractures for Mother's Day. If not, order them for Father's Day.
[01:33:09.720 --> 01:33:16.720]  These are the greatest gifts of all time that I've given them out to members on both sides of our family.
[01:33:16.720 --> 01:33:24.720]  And every single time, even to people we've given them to before. Do you ever give a gift and then you're like, wow.
[01:33:24.720 --> 01:33:28.720]  And it was great. It was well received. And you're like, wow, I wish I could give them the same gift again next year.
[01:33:28.720 --> 01:33:37.720]  Guess what? With Fracture, you can. You can just pick new photos of kids who are growing up or trips that you've been on or anything that's happened in the last year.
[01:33:37.720 --> 01:33:43.720]  It's a great gift. And you can give it to them again and again and again. And it goes over well each time.
[01:33:43.720 --> 01:33:50.720]  And they don't think. The reaction is never, oh, one of these again. The reaction is always, oh my God, that's beautiful. Thank you so much.
[01:33:50.720 --> 01:33:55.720]  Great photos printed directly on class. They do it right down in Gainesville, Florida. They're made in the USA.
[01:33:55.720 --> 01:34:00.720]  And if you've never seen one in person, I just can't say how cool it is to have an edge-to-edge photo.
[01:34:00.720 --> 01:34:06.720]  No bezel. It just goes right from one edge to another. And it comes with all the stuff you need to mount it on a wall.
[01:34:06.720 --> 01:34:19.720]  And it just looks so striking to have a really high-quality photo that looks like it's printed directly on glass on the wall with no frame, no bezel, just edge-to-edge glass that is pure photo.
[01:34:19.720 --> 01:34:25.720]  It's a great, great gift. It's a great product for your own home if you've got walls to fill and decorate.
[01:34:25.720 --> 01:34:36.720]  Where do you go? Go to fractureme.com slash podcast. Now, that sounds like a fill-in URL that I'm botching.
[01:34:36.720 --> 01:34:41.720]  Like, it's supposed to be my own code, but it's not. It's just fractureme.com slash podcast.
[01:34:41.720 --> 01:34:45.720]  All they do is keep track of all the people who come from any podcast.
[01:34:45.720 --> 01:34:51.720]  And in the end, when you buy something, they will ask you a one-question survey, which is where did you hear a fracture from?
[01:34:51.720 --> 01:34:56.720]  That's where you can say The Talk Show or Daring Fireball or whatever you want to say, and they'll know you came from here.
[01:34:56.720 --> 01:35:00.720]  So my thanks to that. Go ahead and buy them. They're the greatest gift you'll ever have.
[01:35:00.720 --> 01:35:05.720]  fractureme.com fractureme.com fracture.
[01:35:05.720 --> 01:35:08.720]  All right, back to the iPad. Here's the thing I would like to see them do.
[01:35:08.720 --> 01:35:19.720]  My biggest request would be to have a multitasking mode similar to the one they have now, where you arrange multiple apps in full height columns.
[01:35:19.720 --> 01:35:28.720]  I would like to be able to make them, I don't know exactly, I haven't envisioned or invented an interface to make this, to figure out exactly how they would do it.
[01:35:28.720 --> 01:35:35.720]  But I would like to have it be more arbitrary. So if you want to have three, you could have three.
[01:35:35.720 --> 01:35:48.720]  If you want to drag one from the middle to the left, you could somehow drag the, you know, put your finger in like the nav bar or something, or do a long press on it and drag it over, rearrange them.
[01:35:48.720 --> 01:36:07.720]  And I would like them to do away with, it bothers me somehow, and I can't quite put my finger on it, but it just feels like the whole thing, it still makes the whole thing feel tacked on to me, that the left one is always main and the right one is like the junior app.
[01:36:07.720 --> 01:36:21.720]  And it doesn't feel right to me. It doesn't feel, it's like on the Mac, there's never, there's a front most window and then there's all other windows and they're all equal and if you click on one, it becomes front most and it's every bit as legit as the other ones.
[01:36:21.720 --> 01:36:34.720]  So if I have three apps on my iPad in columns side by side, when I'm in the middle one, I feel like it should be every bit the real, the main app as it would be if it were the left one.
[01:36:34.720 --> 01:36:41.720]  And secondarily, I would like them to figure out a way to more visually clarify which one currently has the focus.
[01:36:41.720 --> 01:36:52.720]  Right, right. But so with that three, the notion of three, does that work ratio wise for sort of the, you know, how big?
[01:36:52.720 --> 01:37:10.720]  Yeah, because I think that if you do the size classes right, it could be it, your app should rearrange themselves, you know, should use using auto layout, etc, to any arbitrary width, you shouldn't be worried about exact whether it's exactly, you know, 767 pixels, or I got that wrong.
[01:37:10.720 --> 01:37:21.720]  But you know, that you shouldn't be worried about hitting this short list of exact pixel widths, you should be more like a Mac app, you should be able to rearrange to any arbitrary width.
[01:37:21.720 --> 01:37:29.720]  And I'm not saying that the that the iPad should let you drag the little divider and change it from 750 pixels to 748 pixels.
[01:37:29.720 --> 01:37:38.720]  I feel like the fact that the iPad isn't so fussy, and has these set sizes that it that the apps clip to is actually nice.
[01:37:38.720 --> 01:37:50.720]  Yeah, right. Like it's, it's always bothered me a little that you that when you resize a Mac app window, that it's never really perfect. It's always just where, you know, whichever, wherever you left off the mouse.
[01:37:50.720 --> 01:38:01.720]  Right. So you want you want a combination of those things, like it just it being strict in sort of formatting, but just being more options for what you write, how you can format that.
[01:38:01.720 --> 01:38:10.720]  And I don't want infinite options. I feel like, you know, like a 9.7 inch iPad, maybe the maximum is three, maybe on the 12.9 the maximum is four.
[01:38:10.720 --> 01:38:21.720]  You know, I trust Apple to work that out. But if I want to go 50-50, and I want to have two that are exactly 50-50, or if I want to go like two thirds, one third, I could do that very easily.
[01:38:21.720 --> 01:38:27.720]  And if I want to go one third, one third, one third for three, I could do that easily.
[01:38:27.720 --> 01:38:36.720]  And do you do you think now I assume the iPad, certainly the iPad Pro is at the point where it could run three apps simultaneously without an issue?
[01:38:36.720 --> 01:38:46.720]  Oh, I think so. Without question. And especially with the way that, yeah, I think so. I think it has enough RAM to do that.
[01:38:46.720 --> 01:39:01.720]  Yeah, I would love to see something like that. I think, you know, one of the biggest drawbacks, it's not huge, but one that I have, because I use the iPad a ton, is just there's still a little cutesy with sort of switching between the apps.
[01:39:01.720 --> 01:39:09.720]  You know, they still have sort of these, the animations that go on to sort of, you know, flip it around and whatnot. And it just makes it a little bit longer than it needs to be, right?
[01:39:09.720 --> 01:39:17.720]  And so if you're really into like using two apps, yeah, and I know you could do this side by side things, and I do that for certain apps, it makes sense to do that for.
[01:39:17.720 --> 01:39:21.720]  But I would even just like it, just make it as fast as possible to switch between two.
[01:39:21.720 --> 01:39:25.720]  Yeah, they tweaked that in iOS 10.3.
[01:39:25.720 --> 01:39:27.720]  Yeah, I think it's a little bit faster.
[01:39:27.720 --> 01:39:29.720]  Yeah, they shortened some of the animation times.
[01:39:29.720 --> 01:39:37.720]  Yeah, like I'm using it right now. Yeah, I mean, it is faster because it slides right in now. But they still, you know, they're still cute, a little cutesy with the animations.
[01:39:37.720 --> 01:39:54.720]  Yeah, and the longer you use a computer, like the more that you use an iPad as like your main writing computer, the more those animations grate on you, because the more sensitive you are to knowing that you're waiting for the animation and not really waiting for the computer.
[01:39:54.720 --> 01:39:55.720]  Totally.
[01:39:55.720 --> 01:40:09.720]  And I feel like in the classic days, like in the original Mac, like the 84, 85, 86, when the first Macs first came out, and you know, in hindsight, they were desperately, desperately slow and desperately starved for every resource you can imagine.
[01:40:09.720 --> 01:40:14.720]  Disk space and RAM and video RAM and everything.
[01:40:14.720 --> 01:40:27.720]  When you double clicked something, and you got those resume rectangles that showed it coming up, part of it was to help you understand, okay, you've opened this folder, and it's opening into a window and the animation would help you do that.
[01:40:27.720 --> 01:40:36.720]  But the other reason the animations were there was to give you something to look at while you were waiting for the computer to actually do it because it wasn't going to happen instantaneously anyway.
[01:40:36.720 --> 01:40:46.720]  It was sort of solving two birds with one stone, which was, it was giving you this visual clue of telling you what was happening, like, oh, this folder is opened into a window now.
[01:40:46.720 --> 01:40:51.720]  And when I close the window, it closes into the icon from which it opened.
[01:40:51.720 --> 01:40:54.720]  I see the folder is a window and the window is a folder.
[01:40:54.720 --> 01:41:02.720]  And the folder, if I go back to that window, has a different visual state when the window, its corresponding window is open.
[01:41:02.720 --> 01:41:07.720]  But the animations never felt like they were slowing you down because you were waiting for the computer anyway.
[01:41:07.720 --> 01:41:22.720]  And as the computers got faster, I feel like those visual clues, like I still like, in some ways, like on the iPad or iPhone, when you tap an icon and the app animates as it opens up, I still feel like it's, I don't feel like it should, I don't feel like the screen should flash instantly.
