[00:00.000 --> 00:02.000]  Don't remember if I was barefoot last year
[50:25.720 --> 50:32.560]  Could see them making a smaller one that is less expensive and maybe still sounds really good for its size or I could see them
[50:32.680 --> 50:37.880]  Completely dropping it and getting out of the business of making it. Yeah, I mean cuz to some to some degree
[50:37.880 --> 50:43.080]  I think they might argue that the kitchen home pod is called the iPad right, you know
[50:43.080 --> 50:46.200]  And I don't I don't think that's necessarily a good replacement
[50:46.600 --> 50:50.920]  But that is I think what a lot of their marketing would would would try to have you believe
[50:50.920 --> 50:53.680]  And for some people it is a good replacement
[50:53.680 --> 50:57.960]  Like if you want like a device that responds to voice commands and can play music and stuff and has a screen to show you
[50:57.960 --> 51:02.560]  Stuff. Yeah, actually an iPad is pretty good for that. And I do I do use my iPad in the kitchen very frequently
[51:02.560 --> 51:04.160]  It's a great kitchen device
[51:04.160 --> 51:05.560]  but you know
[51:05.560 --> 51:11.100]  I I think what's most likely to happen with the home pod is I think they they're just gonna kind of slowly
[51:11.240 --> 51:16.160]  Peter out and eventually bow to the market similar to how they did with Wi-Fi routers for similar reasons
[51:16.160 --> 51:20.280]  That's exactly I was trying to think about what I was thinking of and I was thinking about the way that they got out
[51:20.280 --> 51:22.280]  of the Wi-Fi routers
[51:23.160 --> 51:28.040]  Even though they in some ways I think deserve credit for starting it
[51:28.040 --> 51:31.980]  You know that Airport was like one of the first highly publicized Wi-Fi systems
[51:31.980 --> 51:37.680]  I mean it was you know, they did the hula hoop. Yeah. Yeah, you know, it was all it was all radical
[51:37.680 --> 51:39.920]  They had Phil Schiller jumping off off a 20-foot
[51:39.920 --> 51:48.460]  Platform mm-hmm to show that the accelerometer working on the on the thing and it's still broadcasting. Yeah
[51:49.080 --> 51:54.120]  Wi-Fi yeah, but ultimately like I don't I don't think like they're never gonna compete
[51:54.120 --> 52:01.160]  well against Amazon because Amazon is so good at making really cheap hardware that if you don't care so much about like the
[52:01.640 --> 52:07.760]  Materials quality and design and UI quality. I mean Amazon's uis are atrocious for the for their products that do have screens
[52:07.760 --> 52:13.080]  They're horrendous but but if you don't care about all that stuff and you just want a voice assistant cylinder that can play music
[52:13.080 --> 52:15.080]  And have multiple timers in your kitchen
[52:15.400 --> 52:19.720]  Amazon is gonna kill them over and over and over again at that Apple is just not good at making
[52:20.280 --> 52:27.900]  Cheap frequently updated like commodity hardware that interacts with a frequently updated web service that interact integrate with a bunch of third-party things
[52:27.900 --> 52:31.860]  like none of that's an Apple's DNA and so I think the HomePod is
[52:31.860 --> 52:38.380]  You know rather than become competitive by having a wider range or spans multiple price points and making Siri really good on it
[52:38.380 --> 52:42.020]  I think the more likely outcome is they just slowly bow out, you know
[52:42.020 --> 52:45.240]  They're already doing a whole lot of airplay to hardware with other hardware partners
[52:45.240 --> 52:49.820]  I think that's that's that's the first step in getting themselves out of this business and then you know
[52:49.820 --> 52:52.780]  Give it a couple more years where I play two is in more products that themselves
[52:53.220 --> 52:59.460]  Have voices it's built in like that like Sonos has a couple I think apples out of this business in a couple years
[52:59.460 --> 53:02.700]  Yeah, and something like Sonos is you know?
[53:04.020 --> 53:09.140]  It's so much more flexible because they've got like a whole range of products, you know, it's
[53:10.020 --> 53:13.860]  Yeah, I like HomePod as a product a lot, but it is not
[53:15.380 --> 53:18.160]  Like I wouldn't want it to be my TV sound system
[53:18.580 --> 53:21.900]  Well, and honestly they sound great like if you get a stereo pair of them
[53:21.900 --> 53:27.380]  They sound awesome, but they have no inputs and they and you can you can make them work with an Apple TV
[53:27.380 --> 53:29.460]  But it's pretty hard
[53:29.460 --> 53:33.620]  But it's a little clumsy to do that and it's nearly impossible to make them work well with anything else
[53:33.620 --> 53:39.100]  Right, and so it's it's just not like Apple did a really good job engineering the microphones
[53:39.100 --> 53:42.500]  They did a really good job engineering the sound it looks kind of cool
[53:42.620 --> 53:47.040]  It's a good size it like it is a really nice product for a narrow
[53:47.780 --> 53:52.900]  for a narrow set of use cases and unfortunately that that set of use cases is too narrow for the market and
[53:52.900 --> 53:58.560]  It's the kind of thing that I would love for Apple to keep going on that and make it better
[53:58.700 --> 54:02.580]  Make Siri support behind it better make the software better make the hardware
[54:02.580 --> 54:06.740]  You know move it forward make a bigger range make smaller ones make bigger ones. I would love that
[54:06.740 --> 54:09.460]  I just don't think they're gonna do it if they did it
[54:09.460 --> 54:13.980]  I think they could be better than everyone if they really put their heart behind it and if they really
[54:14.220 --> 54:20.660]  You know make Siri really good as the general, you know initiative that I hope is happening there and really put their back into HomePod
[54:20.660 --> 54:25.520]  I think they could really make it amazing and I would love that because I would like that way better than all the other alternatives
[54:25.520 --> 54:29.500]  That are kind of creepy and made with crappy hardware, but I just I just don't see it happening
[54:29.660 --> 54:35.460]  it's also a little frustrating knowing that it comes from the same company that made AirPods which are amazing and
[54:36.420 --> 54:38.340]  in a lot of ways are a
[54:38.340 --> 54:45.460]  Sibling product, you know, they're wireless you you talk to Siri. You're you're listening to music and
[54:46.180 --> 54:47.500]  everybody
[54:47.500 --> 54:50.780]  Everybody I know I know you have issues with the fitting in your ears
[54:51.380 --> 54:58.180]  But other than like what if you think that they're comfortable most people absolutely love AirPods. It would be interesting to see
[55:00.100 --> 55:01.340]  Somehow
[55:01.340 --> 55:03.340]  Rub some of that AirPod magic on
[55:04.260 --> 55:09.580]  Yeah, and I mean, I think ultimately it's it just again comes down to like what?
[55:10.140 --> 55:14.780]  How much are they willing to play in that commodity hardware business? Like how cheap are they willing to make this thing?
[55:14.780 --> 55:16.780]  How how well are they able to compete?
[55:16.780 --> 55:20.180]  To get you know, I'm not saying they have to beat or match the echoes price
[55:20.220 --> 55:23.780]  but they have to get closer to it like that, you know, it has to cost like
[55:24.460 --> 55:27.140]  30 or 50 percent more not like 300 percent
[55:27.940 --> 55:34.740]  It's sort of in a way that AirPods are they're expensive for earpods, you know, what I still 160 bucks 150
[55:34.740 --> 55:38.540]  I think the base is 170 now or something and the wireless charging is 200. Yeah
[55:40.140 --> 55:42.500]  But when you compare them to the highest rated
[55:42.500 --> 55:45.340]  Wireless buds from other companies
[55:46.100 --> 55:52.060]  Like I just read a review last week of somebody somebody was reviewing the new Sony ones which seemed like a really good product
[55:52.740 --> 55:58.100]  But they're more expensive. Yeah, the AirPods are actually pretty price competitive for what they are for the other for the you know
[55:58.100 --> 55:59.180]  other competitive
[55:59.180 --> 56:04.140]  You know both small wireless buds and just like the market of generally like decent
[56:04.380 --> 56:10.420]  Bluetooth had decent portable Bluetooth headphones. They're all around 200 bucks at least so like it's actually you know
[56:10.420 --> 56:14.260]  That those are actually pretty well priced for what they are. So we know Apple can do it
[56:14.780 --> 56:20.060]  But the HomePod, I think I think they wanted they wanted to kill Sonos with it
[56:20.940 --> 56:26.380]  Unfortunately, they didn't right and they didn't come anywhere near competing with the echo family
[56:27.180 --> 56:33.300]  Alright, let's take a break. Thank our next sponsor. It's another another company Marco. It's very familiar with Linode
[56:33.300 --> 56:39.300]  Oh, yeah Linode is proud to announce their newest data center in Toronto, Canada built using their most up-to-date
[56:39.300 --> 56:42.140]  hardware and their next-generation network backbone
[56:42.780 --> 56:47.540]  Linode Toronto allows users to comply with in-country data protect protection
[56:48.060 --> 56:52.500]  Requirements while taking advantage of all Linode's technology and tools
[56:52.500 --> 56:55.980]  So if you are in Canada and you have some kind of legal compliance
[56:55.980 --> 57:00.420]  You need a Canadian data server data center Linode has you covered now. I
[57:01.180 --> 57:03.660]  Think India to that the Mumbai one I think just opened
[57:03.660 --> 57:07.980]  I don't know my talking points might be out of date on that but that's another I know that was the other one
[57:07.980 --> 57:10.940]  I know that was the other one that was on the on the agenda
[57:10.940 --> 57:16.220]  Here's what they get you get a $20 credit for all new customers and they have a five dollar a month plan
[57:16.220 --> 57:17.820]  Which is actually pretty good
[57:17.820 --> 57:22.940]  It's a pretty good plan that a lot of people could get by with you get that's effectively four months of free service
[57:23.820 --> 57:29.420]  And they've got everything you could possibly need. I don't even know what some of this stuff is, but you can get a dedicated
[57:30.220 --> 57:32.220]  CPU
[57:32.220 --> 57:37.640]  CI CD environments, I don't even know what that is Casey knows what that is kind of like testing thing
[57:38.500 --> 57:45.100]  Everything features native SSD storage. Of course. It's all a 40 gigabit network industry leading processors
[57:45.100 --> 57:53.020]  And again, they have 10 worldwide data centers might be 11 says here additional data center opening in Mumbai India by the end of 2019
[57:53.020 --> 57:55.460]  Yeah, I think it either is about to open or just did open
[57:56.140 --> 58:01.560]  You pay for what you use with hourly billing across all plans and add-on services
[58:01.560 --> 58:04.380]  So if suddenly you got a big deal big announcement
[58:04.380 --> 58:08.300]  You need to you need to increase your bandwidth get more RAM
[58:08.300 --> 58:11.980]  You can do that on the fly dial it back down when the traffic is over
[58:12.740 --> 58:19.260]  And they have a brand new cloud manager featuring an improved user interface at cloud dot linode.com. You can check it out
[58:20.740 --> 58:22.740]  Anyway great company
[58:23.420 --> 58:27.340]  I'm a customer. Everything I do is going to be hosted there pretty soon
[58:27.340 --> 58:31.180]  I'm not quite there yet, but I know Marco hosts
[58:31.180 --> 58:38.220]  Oh, yeah overcast and Marco org and the ATP livestream and it's all it's all Linode. I absolutely love it. It's the best
[58:38.220 --> 58:42.180]  Well, here's the talk. Here's the promo code you need talk show 2019
[58:42.220 --> 58:47.020]  No, the just talk show 2019 and that's what gets you the $20 credit
[58:47.260 --> 58:53.100]  But the URL is linode.com slash the talk show my thanks to Linode
[58:54.020 --> 58:56.020]  Go check them out if you need a web server
[58:56.020 --> 58:58.380]  Did you see the essay? I just linked to it the other day
[58:59.300 --> 59:06.180]  Craig mod. Yeah, but performance the fast software fast software is great software. Yeah. Yeah, that was really good. He said he's a great writer
[59:06.180 --> 59:08.180]  I've known Craig for years
[59:08.300 --> 59:10.300]  Very very thoughtful guy
[59:10.420 --> 59:13.180]  And it's funny because he's writing about fast software
[59:13.700 --> 59:17.060]  But it struck a chord with me because it's something I've thought about
[59:17.060 --> 59:21.380]  I mean, I've spent hundreds of hours here on the show talking about software quality
[59:22.180 --> 59:24.180]  but the very
[59:24.180 --> 59:26.180]  specific nature of software that
[59:26.860 --> 59:33.980]  feels fast and responsive and that the way that that makes him feel that that software is well-built and
[59:34.460 --> 59:37.860]  when you're using an app like one of his examples was
[59:39.260 --> 59:42.700]  the web export dialogue in Photoshop and
[59:44.160 --> 59:48.860]  You know, that's a dialog box. A lot of people have to use a lot of time and it's I
[59:48.860 --> 59:54.980]  I like I literally think that it's like a dialog box that was written using chromium or something like that
[59:54.980 --> 59:59.460]  Like they're actually firing up like a web browser inside the window takes you hit the command
[59:59.700 --> 01:00:04.980]  Takes a couple seconds before the dialogue even appears makes you feel it makes you not trust the software
[01:00:05.580 --> 01:00:07.580]  And it makes it feel
[01:00:07.620 --> 01:00:13.860]  Just crappy. It feels it feels like almost uncared for right because like, you know a lot of times
[01:00:13.860 --> 01:00:16.680]  You know those of us who are who are you know lucky enough to be on?
[01:00:16.680 --> 01:00:22.200]  Fast hardware like if you buy like a nice Mac, you know a nice MacBook Pro or iMac or iMac Pro
[01:00:22.360 --> 01:00:22.960]  You know
[01:00:22.960 --> 01:00:27.200]  You got a lot of performance under that hood and if if then some software that you run
[01:00:27.600 --> 01:00:31.040]  Performs horribly doing some common tasks like showing its new file dialog
[01:00:31.120 --> 01:00:36.080]  You kind of know like this is not a hardware problem like and which makes it even more frustrating
[01:00:36.080 --> 01:00:42.560]  Like I have you know, all these cores of all this memory. I have this fast SSD all at your disposal software
[01:00:42.560 --> 01:00:48.100]  What are you wasting it on? Like what are you doing? Well and Photoshop is an interesting example because
[01:00:48.760 --> 01:00:50.760]  Photoshop used to be
[01:00:50.760 --> 01:00:54.840]  Amazingly fast and this was you know, we're talking like the early years
[01:00:57.280 --> 01:00:59.760]  Yeah, like early to mid 90s and
[01:01:00.420 --> 01:01:03.140]  The hardware at the time, you know
[01:01:03.140 --> 01:01:08.040]  I literally I don't think it's an exaggeration to say that it was hundreds of times slower than yeah
[01:01:08.040 --> 01:01:10.040]  I'm not a modern high-end desktop
[01:01:10.040 --> 01:01:16.600]  And in certain ways even like in things like IO even more like, you know, cuz first we got cheap RAM
[01:01:16.720 --> 01:01:20.660]  Then we got SSD right and like and like, you know in the 90s
[01:01:20.660 --> 01:01:25.520]  Like I've said before like the sound of computing in the 90s was the sound of your hard drive grinding, right?
[01:01:25.760 --> 01:01:31.840]  Because you know because hard drives were slow to begin with and also RAM was incredibly expensive in the 90s
[01:01:31.840 --> 01:01:33.200]  And so it was you know
[01:01:33.200 --> 01:01:39.200]  Nobody had enough RAM to do what the operating systems and everything wanted to do. So just constant swapping just constant hard drive grinding
[01:01:39.200 --> 01:01:40.760]  Well, I forget the exact details of it
[01:01:40.760 --> 01:01:47.520]  But I remember in those early years when everything was so limited Photoshop even had its own custom swap disk code
[01:01:47.880 --> 01:01:54.140]  Yeah, I think it had to yeah because they couldn't trust they I think they wanted to write their own code because it was so
[01:01:54.140 --> 01:01:56.000]  mission-critical but
[01:01:56.000 --> 01:01:59.400]  It just wasn't something that the OS really provided at the time
[01:01:59.440 --> 01:01:59.960]  Yeah
[01:01:59.960 --> 01:02:04.920]  Or at least not all the OS's that ran on would have provided it and you used to have to wait for so much stuff
[01:02:04.920 --> 01:02:12.060]  In Photoshop not because again, I'm the app felt fast and if there was something you needed to do in an export dialog
[01:02:12.060 --> 01:02:14.580]  And you and you did it all the time because you're using Photoshop
[01:02:14.580 --> 01:02:20.440]  So you have the keyboard shortcut memorized you'd hit that keyboard shortcut and the dialogue was there instantly
[01:02:20.440 --> 01:02:23.360]  no waiting the things you'd have to wait for was the
[01:02:24.000 --> 01:02:26.000]  computationally
[01:02:26.400 --> 01:02:32.920]  Difficult stuff like if you're applying a Gaussian blur to a right at the time what we thought of as large JPEGs
[01:02:32.920 --> 01:02:35.940]  Yeah, right and then you know 40 by 480
[01:02:36.600 --> 01:02:41.040]  But even that there was certain there was even though you had to wait you might wait like
[01:02:41.480 --> 01:02:44.200]  30-40 seconds to apply a filter to a photograph
[01:02:44.600 --> 01:02:50.760]  But everything about it was responsive the dialog box appeared as soon as you hit the command
[01:02:51.360 --> 01:02:52.800]  the
[01:02:52.800 --> 01:02:59.380]  Actual filter started being applied the second you hit the return key or click the button to do it on screen
[01:02:59.380 --> 01:03:03.580]  The progress dialog would appear instantly
[01:03:03.780 --> 01:03:09.100]  Would update at a regular basis and then as soon as it got to the end of the progress bar to the pixel
[01:03:09.100 --> 01:03:11.700]  It would disappear and you would see your result
[01:03:13.580 --> 01:03:17.820]  Like that that's it was a slow process because the computers were so slow
[01:03:18.140 --> 01:03:24.100]  but the the responsiveness to your user actions was impeccable and
[01:03:24.100 --> 01:03:28.580]  It's just an interesting contrast that we have these faster computers and now
[01:03:29.380 --> 01:03:32.020]  Slower interfaces. Well, I think you know
[01:03:32.020 --> 01:03:38.180]  You could say a lot a lot of the same things apply to the original iPhone that the original iPhone was very slow hardware
[01:03:38.380 --> 01:03:40.380]  Really like compared to anything
[01:03:40.620 --> 01:03:43.580]  But at the time it was like this is the best we can do. So let's deal with it
[01:03:43.580 --> 01:03:49.540]  and so they they actually really engineered the software with with tons of of effort to
[01:03:49.540 --> 01:03:55.740]  Maximize responsiveness while they knew they'd be waiting for the hardware. So, you know things like the Safari drawing a little grid
[01:03:55.740 --> 01:03:58.860]  Well, you know before things would render and stuff like that checkerboard. Yeah
[01:03:58.860 --> 01:04:03.540]  Yeah, the checkerboard is scrolled too fast. You'd get ahead right it would only it because it was so RAM constrained
[01:04:03.540 --> 01:04:06.420]  They couldn't read do the whole front page of the New York Times
[01:04:06.740 --> 01:04:11.820]  So they'd render the top of it and then as you scrolled they would render more of it on the fly
[01:04:11.820 --> 01:04:13.100]  But if you've scrolled too fast
[01:04:13.100 --> 01:04:17.260]  They would just show you that checkerboard so that it was always responsive to your touch and and there's all the you know
[01:04:17.260 --> 01:04:22.140]  All the stuff, you know deep in the system about things like being responsive to touches and scrolling being very smooth and things like that
[01:04:22.140 --> 01:04:26.660]  And you know and they did all this because they knew the hardware was very constrained
[01:04:26.660 --> 01:04:30.740]  So they had they they took a lot of effort and were very conscientious about
[01:04:31.180 --> 01:04:33.460]  Making sure everything stayed fast as much as possible
[01:04:33.740 --> 01:04:39.420]  while they knew they'd be waiting on the hardware to do some more complicated things and that's how early computers were to like early computers like
[01:04:39.420 --> 01:04:46.420]  in the 90s and 80s and even the early 2000s like they they they too were very constrained by their hardware and
[01:04:46.420 --> 01:04:47.820]  so
[01:04:47.820 --> 01:04:51.000]  Programmers at the time both OS and application programmers
[01:04:51.540 --> 01:04:55.560]  Had to be more conscientious about what they did and and I think what has happened in
[01:04:56.020 --> 01:04:57.820]  Probably the last 10 years or so
[01:04:57.820 --> 01:05:03.860]  Is that hardware has gotten so good and so fast and we have so much CPU power so much RAM
[01:05:04.260 --> 01:05:07.820]  SSDs came around to eliminate a lot of IO bottlenecks and now
[01:05:09.100 --> 01:05:14.840]  Programmers at almost every level don't really have to think about performance for most of the things they write anymore
[01:05:14.840 --> 01:05:17.800]  So even though the hardware is faster than ever
[01:05:18.500 --> 01:05:19.380]  also
[01:05:19.380 --> 01:05:25.520]  Programmers have stopped caring about performance unless it's really a big problem and as you get into things like big companies
[01:05:26.100 --> 01:05:29.520]  Like Adobe and working on big projects like Photoshop
[01:05:30.060 --> 01:05:37.020]  The argument for like we need to make the new dialogue fast has to go through so many people and they have so many conflicting
[01:05:38.100 --> 01:05:41.780]  Priorities of things like well if we write this code once using web technologies
[01:05:41.780 --> 01:05:47.260]  it can run on all of our platform at the same code look the same fit our branding guidelines and all those other crap and
[01:05:48.660 --> 01:05:53.620]  Performance is not an on in top of anybody's mind anymore because everything is so fast
[01:05:54.500 --> 01:06:00.780]  probably half the team working on stuff like that has never had to write performance code and it's sort of just sort of a
[01:06:00.780 --> 01:06:02.420]  loss of the sense of
[01:06:02.420 --> 01:06:08.020]  Craftsmanship. Yeah in the work and another example and you know right up your alley and from your
[01:06:08.820 --> 01:06:10.820]  personal experience is
[01:06:10.820 --> 01:06:16.900]  Tumblr was always very fast. I haven't used it in a while. I don't know if that's actually there but still true
[01:06:17.540 --> 01:06:19.540]  but a
[01:06:20.740 --> 01:06:28.260]  Lot of CMS is you know, you save an article and then it sits there and spins for you know seconds at a time
[01:06:29.500 --> 01:06:31.500]  enough that it's like
[01:06:31.700 --> 01:06:38.740]  You could see how somebody thought this is fine. You don't need who needs to be back at in control of your CMS
[01:06:38.740 --> 01:06:41.820]  instantaneously upon hitting the post button
[01:06:42.580 --> 01:06:44.180]  but
[01:06:44.180 --> 01:06:46.220]  It's it's actually not true
[01:06:46.220 --> 01:06:52.620]  like my CMS is actually a little slow in that regard where it takes a couple seconds for when I post an article to
[01:06:53.340 --> 01:06:58.700]  To get back in control of everything and when you notice the typo and you hit
[01:06:59.020 --> 01:07:02.900]  Update and you still have to wait like seven seconds before you can fix it
[01:07:02.900 --> 01:07:05.980]  It's just sitting there right in front of you, but it's spinning
[01:07:05.980 --> 01:07:11.900]  It'll drive you nuts. Whereas tumblr was always you hit publish and it was like did something happen. Yeah. Oh, yeah
[01:07:11.900 --> 01:07:16.100]  It's already done. There it is. There's there's my new there's my new picture of my kid
[01:07:16.300 --> 01:07:21.780]  well, and part of that is you know, you like your your CMS first of all was made back when RAM was expensive and
[01:07:22.500 --> 01:07:27.500]  And is and is also I believe rebuilding static files every time you publish. Yeah, but that shouldn't take long
[01:07:27.500 --> 01:07:32.460]  Oh, it shouldn't but you know you also if it's like rebuilding a bunch of archive pages or something then no then you might have
[01:07:32.460 --> 01:07:34.460]  Okay, so maybe not but anyway, it's just bad software
[01:07:34.460 --> 01:07:40.180]  Yeah, and and your and your software doesn't have to be that performing in that way because it has one user at a time
[01:07:40.180 --> 01:07:42.180]  Right like with tumblr
[01:07:42.460 --> 01:07:47.860]  Everything had to be really fast because if it wasn't the servers would explode
[01:07:48.380 --> 01:07:54.100]  Because it had so many users and so much traffic in any given time like things that we couldn't do quickly
[01:07:54.100 --> 01:07:58.140]  We just couldn't do right so like so everything was was designed
[01:07:58.140 --> 01:08:03.980]  And to a large degree overcast servers I've made the same way because I take a lot of the same design approaches to them
[01:08:04.260 --> 01:08:10.260]  Of basically like if something's going to be a very heavy operation that I can't do quickly. I just don't do it. I
[01:08:11.740 --> 01:08:18.140]  Thought I know I've talked about this before but what our podcast for other than retelling old stories
[01:08:18.140 --> 01:08:21.500]  But I thought one of the interesting changes Apple made philosophically
[01:08:21.500 --> 01:08:28.780]  would number one I'll go even further back out like I've been thinking a lot lately as the iPhone and
[01:08:29.020 --> 01:08:31.020]  iOS settle in as
[01:08:31.300 --> 01:08:35.860]  Long-standing platforms like they're not new. I mean, you know, we had the 10th year anniversary last year
[01:08:35.860 --> 01:08:38.460]  I mean, this is a well-established software platform
[01:08:39.780 --> 01:08:45.140]  But we went from the first version of Mac OS X to the iPhone in
[01:08:45.140 --> 01:08:52.700]  Like six years. I mean, I know that Apple spent like five years working on Mac OS X before it actually shipped as a 10.0
[01:08:54.220 --> 01:09:01.620]  But it that era from like 2001 to you know, and the iPod was new to
[01:09:02.380 --> 01:09:04.100]  Okay, here's the iPhone
[01:09:04.100 --> 01:09:05.940]  Feels like a long stretch of time
[01:09:05.940 --> 01:09:11.980]  but it wasn't it was very that's actually just a handful of years and a lot of the people were the same and
[01:09:11.980 --> 01:09:18.140]  I thought one of the interesting things that Apple obviously changed its mind about between Mac OS X and
[01:09:18.900 --> 01:09:20.380]  the original
[01:09:20.380 --> 01:09:21.660]  iPhone
[01:09:21.660 --> 01:09:23.660]  Was what to make?
[01:09:26.740 --> 01:09:32.700]  Seem impressive with Mac OS X they they valued
[01:09:34.100 --> 01:09:36.100]  Rendering quality above all else
[01:09:36.100 --> 01:09:43.260]  so like when you and again this seems like a goofy thing to get excited about but back then when you'd resize a window and
[01:09:43.260 --> 01:09:49.780]  The contents would update live right as opposed to just drawing an outline and then refreshing once when you let go of the window
[01:09:50.300 --> 01:09:56.460]  That that seemed impressive and they were doing all of this fancy anti aliasing and then you know
[01:09:57.300 --> 01:10:00.540]  All these drop shadows and they had translucency
[01:10:00.540 --> 01:10:06.580]  They just went all way overboard with the quote-unquote lickability of the interface
[01:10:06.780 --> 01:10:12.980]  But it was slow it was slow to resize windows when you would drag a window around real fast
[01:10:12.980 --> 01:10:18.740]  You could see it shearing on screen and then six years later with the iPhone
[01:10:18.900 --> 01:10:22.060]  They went the other way and they were like if we can't keep up
[01:10:22.060 --> 01:10:27.140]  we'll just draw this checkerboard and make sure that the scrolling speed keeps up and
[01:10:27.140 --> 01:10:30.180]  I remember talking to somebody at Apple about this once
[01:10:31.700 --> 01:10:35.100]  And he told me an interesting story that
[01:10:37.020 --> 01:10:41.660]  They knew that Mac OS X was slow they you know, there was they weren't fooling themselves that the
[01:10:42.460 --> 01:10:49.660]  What was the word everybody's the snappiness wasn't there and they set up a lab where they what was the?
[01:10:50.540 --> 01:10:55.620]  Version of Windows that would have been current in like 2001 XP. Yeah, I think it was XP
[01:10:55.620 --> 01:11:01.380]  Yeah. Yeah, it was XP. So they had a lab and they used high-speed cameras and
[01:11:02.740 --> 01:11:09.940]  Timed things like you click on the file menu and how many milliseconds does it take for the drop-down menu to?
[01:11:10.420 --> 01:11:12.420]  to finish rendering and
[01:11:12.940 --> 01:11:20.020]  if you drag your mouse down the menu and it starts highlighting things how quickly after the mouse gets there does the highlight come and
[01:11:20.020 --> 01:11:25.660]  They tested, you know Mac OS X side, but they had a whole list. He said of things that we timed
[01:11:26.260 --> 01:11:28.500]  that were mostly just rendering things and
[01:11:29.740 --> 01:11:31.700]  Their gold standard was XP
[01:11:31.700 --> 01:11:35.300]  They won't you know, they're like look at how much faster all of this is and sure they weren't
[01:11:35.300 --> 01:11:38.820]  It wasn't as fancy looking but they wanted you know, this is our goal
[01:11:39.820 --> 01:11:41.820]  to get it as fast as this and
[01:11:42.900 --> 01:11:43.500]  You know
[01:11:43.500 --> 01:11:47.460]  It's the sort of thing that they're never gonna talk about publicly because they're not gonna admit
[01:11:47.460 --> 01:11:51.820]  That there's their stuff wasn't slow and Windows was fast
[01:11:52.140 --> 01:11:55.420]  but then the funny thing is when Windows 7 shipped they
[01:11:55.620 --> 01:11:59.540]  Installed it and they set up another machine and they realized everything had gotten slow
[01:12:00.420 --> 01:12:02.620]  And they didn't know what to do
[01:12:02.620 --> 01:12:08.900]  And he said it was a real fight within the company as to whether they should still be benchmarking themselves against XP
[01:12:09.380 --> 01:12:14.340]  Because that was the fast one and there were others who were like no see they're slow to that's now we're fine
[01:12:14.340 --> 01:12:18.740]  This is all interesting. That's it's kind of sad that that was even a debate. Yeah
[01:12:18.740 --> 01:12:22.620]  Well, the the people who wanted to keep testing on XP won the debate. I hope so
[01:12:22.620 --> 01:12:27.220]  Yeah, because it's like oh, yeah, everyone else sucks. We can suck too. It's a terrible argument, right?
[01:12:28.180 --> 01:12:32.100]  But I but I think that's sort of the nut
[01:12:32.780 --> 01:12:36.000]  like why did Craig mod write this essay because there's
[01:12:36.220 --> 01:12:41.180]  So many people out there doing work who don't have that philosophy. I'm like, ah, yeah, it takes four seconds
[01:12:41.180 --> 01:12:46.300]  It takes four seconds. Well, and I feel like it's even it's we're talking about a lot of times smaller times than that like
[01:12:46.740 --> 01:12:48.740]  it's like like one of the
[01:12:49.220 --> 01:12:51.220]  one of the tricky things about
[01:12:52.420 --> 01:12:57.020]  Trying to match responsiveness of like old hardware is like it used to be that when you
[01:12:57.260 --> 01:12:58.940]  Pressed a key on your keyboard
[01:12:58.940 --> 01:13:03.740]  It would generate a hardware interrupt and and it would basically like appear
[01:13:03.920 --> 01:13:08.640]  Immediately on the screen like within some tiny amount of time because of like and and that but that depended on
[01:13:08.640 --> 01:13:13.640]  how the keyboard technology worked how the screen technology works like the cathode gun like how
[01:13:13.760 --> 01:13:16.280]  All that stuff worked to get that level of responsiveness
[01:13:16.720 --> 01:13:23.280]  hardware today is way more complicated than that and there's all these different levels and layers and a lot of things that introduce small amounts of
[01:13:23.280 --> 01:13:26.200]  Latency like like having keyboards be wireless, you know stuff like that
[01:13:26.200 --> 01:13:29.960]  Like there's there's all these like little levels of latency that are the result of
[01:13:30.520 --> 01:13:33.100]  Technological advancement of like the hardware got better in certain ways
[01:13:33.100 --> 01:13:35.100]  It got more capable more complicated
[01:13:35.100 --> 01:13:38.720]  The OS has got more advanced and there's different layers of everything now
[01:13:38.720 --> 01:13:41.120]  so a lot of that's just down to the end of that but then like I
[01:13:41.480 --> 01:13:44.960]  feel like the the big challenge that we have with software is not
[01:13:45.440 --> 01:13:48.920]  Not the things take four seconds when they should take one
[01:13:49.360 --> 01:13:54.080]  But that things that should take 20 milliseconds take 200 milliseconds
[01:13:54.080 --> 01:13:58.160]  so we're talking about like much smaller time intervals here, but
[01:13:58.740 --> 01:14:02.880]  that adds up and or simple things like how I believe you said before how
[01:14:02.880 --> 01:14:06.640]  when you do when you invoke spotlight with command space on a Mac or
[01:14:06.960 --> 01:14:12.240]  when you when you like open a new window on a Mac or do something like that and then you start typing the commands of
[01:14:12.240 --> 01:14:15.240]  What you want to appear in like a text field or a name or something?
[01:14:15.800 --> 01:14:19.680]  It'll cue up those commands and it will it will put them in as soon as it can on
[01:14:20.160 --> 01:14:22.880]  iOS if you hit command space with the keyboard on an iPad Pro
[01:14:23.400 --> 01:14:29.240]  It doesn't start accepting input until it has finished the animation and showing you the text box and there's like there's little things like that
[01:14:29.240 --> 01:14:32.920]  We're like that is the responsiveness. Oh, it hasn't been uh, uh
[01:14:34.120 --> 01:14:40.200]  Don't quote me on this but I actually think it is shipped in the latest version of iOS 12 a little birdie
[01:14:40.200 --> 01:14:42.720]  just a little birdie who saw my rant about that was like
