[00:00.000 --> 00:03.940]  It's good to have you on Skype tells me that we haven't talked on Skype for over a year
[55:11.100 --> 55:15.820]  Like it wasn't like when you know, like apple talk was speaking in plain text that if you wanted to debug it
[55:15.820 --> 55:19.980]  You could just look at what's going over the wire and read it. Whereas the unix philosophy has always been
[55:20.540 --> 55:22.540]  when and when it's
[55:22.540 --> 55:25.980]  At when it's feasible make it as human readable as possible
[55:26.540 --> 55:29.020]  And I feel like the whole industry has come back around on that
[55:29.500 --> 55:33.420]  Like json is a perfect that the rise of json is a perfect example of that
[55:35.740 --> 55:41.500]  I remember being so surprised when I first saw the web and learned that it's just a text file
[55:41.900 --> 55:46.620]  Behind that page and like and you could even figure out what things meant, you know
[55:46.860 --> 55:51.420]  If you know that h stands for header then h1 is like, oh that's got to be the big one. I mean
[55:51.420 --> 55:54.220]  No, like holy cow. Yeah coming from the
[55:55.180 --> 55:57.180]  computing world before then
[55:57.180 --> 55:59.260]  Yeah, nothing was that transparent or simple?
[55:59.340 --> 55:59.820]  Yeah
[55:59.820 --> 56:06.860]  Well, I remember when I figured out how email worked that you could this is before everything was encrypted. You could just log on to
[56:07.260 --> 56:09.740]  the smtp server for your host
[56:10.380 --> 56:16.860]  And you would just type email commands and then you can just type the headers you would just you could just instead of using an email
[56:16.860 --> 56:21.820]  Client, you could just talk right to the smtp server and just write two colon space
[56:23.580 --> 56:29.340]  Brent I think I yeah, I think I did that exactly once just to prove that like wow. Yeah. Hey that really works
[56:29.500 --> 56:31.500]  well, I did it to send like like
[56:31.900 --> 56:36.620]  prank messages to other drexel students from like the provost saying that they were on academic suspension and
[56:37.660 --> 56:39.340]  See what I did
[56:39.340 --> 56:39.980]  I did like that
[56:39.980 --> 56:45.980]  But what I do is I would you couldn't manually do it, but you could use apple script to make you dora use a different
[56:45.980 --> 56:50.460]  Yeah going yeah email address, right? Yeah, but then when I did do it
[56:50.460 --> 56:57.100]  I I in those days everyone had email signatures, which you dora would automatically apply. So I forgot to turn that off
[56:58.460 --> 57:00.460]  That was the kind of confusing
[57:01.420 --> 57:03.420]  Thing but yeah
[57:06.220 --> 57:08.380]  But it was a revelation it really was though
[57:09.180 --> 57:13.200]  I think it not only was a good practice in terms of debug ability and maintainability
[57:13.200 --> 57:15.920]  and hey this you know, uh,
[57:16.560 --> 57:17.840]  like
[57:17.840 --> 57:22.400]  I learned this lesson before I should I this is why i'm mad at myself that 10 years ago
[57:22.480 --> 57:28.480]  John rupert used this stupid database file for a thing that didn't need to be optimized at all for
[57:29.440 --> 57:35.200]  Literally up to a million on a million entries let alone the tens of thousands that I would ever get to in practice
[57:35.680 --> 57:37.680]  I can't believe I didn't try the obvious thing first
[57:37.680 --> 57:44.240]  um, and by the 10 years ago, I knew that like I I knew better than that that that the
[57:45.840 --> 57:49.840]  The person to write comments for when I write scripts and code is not
[57:50.160 --> 57:57.360]  Some hypothetical dummy who might be reading my code and it's me in the future because i'm going to forget everything about why I did
[57:57.360 --> 57:58.560]  It this way
[57:58.560 --> 58:00.560]  yes, yeah, uh
[58:00.720 --> 58:03.760]  I don't you know, I don't really tweak markdown often but markdown is
[58:03.760 --> 58:06.960]  My markdown script is fairly complicated
[58:08.320 --> 58:14.320]  But I I still think it's very well commented because at least when I do want to change something or add something
[58:15.520 --> 58:16.960]  And I go in
[58:16.960 --> 58:22.720]  I'm like the only way I can figure out what the hell is going on is by reading the comments and the comments were all written
[58:24.480 --> 58:30.480]  For me to read in the future, you know, right which so they're written with respect for what I think will be my intelligence
[58:30.480 --> 58:36.800]  But they're also written knowing you're going to forget everything about how you did this or why this thing that looks like it doesn't
[58:37.520 --> 58:39.360]  Like it's why are you doing all this work here?
[58:39.920 --> 58:47.040]  That doesn't look like it needs to be done. And here's the comment explaining what happened when you didn't do this. Yeah, right
[58:48.800 --> 58:52.640]  Uh speaking of apple script net newswire 5.0 apple scriptable
[58:53.280 --> 58:54.240]  Yeah
[58:54.240 --> 58:58.880]  You know, I had a much longer list of things that were going to be in 5.0. Of course
[58:58.880 --> 59:00.880]  Most of the time I thought it was a 1.0 app
[59:01.200 --> 59:07.200]  And there were a lot of things that got cut but one thing I was adamant about was that apple script support had to be
[59:07.200 --> 59:11.200]  in there on day one people need to know it's there and to expect it and
[59:11.920 --> 59:16.560]  Friend of mine named olaf helman did did all of that work and did a great job
[59:17.840 --> 59:25.280]  One of the it is i'd like to talk about that because you know, it's it is in some ways a 1.0 app
[59:25.280 --> 59:28.320]  Yeah, it's a 1.0 app in disguise as a 5.0. Yeah
[59:30.160 --> 59:32.740]  It's you know, sort of like a reboot of the franchise
[59:36.400 --> 59:44.320]  And you know, it's it's the the the only real complaints i've seen people writing about are the obvious things which is obvious for every
[59:44.560 --> 59:51.520]  1.0, which is that well, here's some feature requests x y and z and some of them are things that are certainly on the list
[59:51.520 --> 59:55.520]  You know, everybody has every app has feature requests that you can't get to all of them
[59:56.240 --> 01:00:02.100]  But some of them, you know, like the obvious one is that right now net newswire 5.0
[01:00:02.960 --> 01:00:06.080]  Only has one syncing service option, which is feedbin
[01:00:07.040 --> 01:00:13.600]  Right, if you are a long time or current user of a different feed syncing service
[01:00:13.600 --> 01:00:15.600]  And there are several and they're a bunch of good ones
[01:00:15.600 --> 01:00:23.840]  That's obvious. I wouldn't I guess it's not a non-starter. You could you could decide to just switch over but it's probably a non-starter because you want to keep using
[01:00:24.480 --> 01:00:28.320]  Your iot the ios app of choice that you're using for feed reading or something like that
[01:00:29.520 --> 01:00:34.560]  But you have to draw the line somewhere right? I mean this app has been in the works for five years
[01:00:36.400 --> 01:00:40.400]  So, you know shipping is an art, right? Yeah
[01:00:40.400 --> 01:00:47.200]  Yeah, yeah, and so yeah, there are so many decisions and calls to make and luckily i've been doing this a long time
[01:00:47.200 --> 01:00:49.600]  So I have some practice at it
[01:00:49.600 --> 01:00:51.920]  so my thinking when it came to to
[01:00:52.480 --> 01:01:00.000]  Feedbin and other syncing systems was I had to have one I couldn't ship without anything because if I have one it tells the people
[01:01:00.720 --> 01:01:02.720]  Even if I didn't do theirs
[01:01:03.040 --> 01:01:07.840]  It's the kind of thing that will do right, you know, but it's it's it's the kind of thing that will do
[01:01:07.840 --> 01:01:11.920]  It's the kind of thing that will do right, you know that we care about it and you know
[01:01:12.000 --> 01:01:16.480]  It's a it's a matter of adding more rather than doing syncing at all
[01:01:18.560 --> 01:01:20.160]  And it's a pretty easy call to say yeah
[01:01:20.160 --> 01:01:26.240]  we want to add feedly syncing and fresh rss and inoreader and you know, basically all of them because
[01:01:26.960 --> 01:01:28.960]  You know, there's there's no reason not to
[01:01:29.920 --> 01:01:31.920]  The hard work was getting syncing
[01:01:32.480 --> 01:01:34.080]  the infrastructure
[01:01:34.080 --> 01:01:39.700]  In the first place and then after that, it's really kind of just plugging in the details of the different apis
[01:01:41.120 --> 01:01:47.600]  So we'll be able to do the rest with less less effort, but then there are so many feature requests that
[01:01:49.200 --> 01:01:52.160]  I'm not sure if they belong in the app or not or
[01:01:52.800 --> 01:01:57.280]  Like yeah when you get to that, I think 10 roughly if people probably would like that
[01:01:57.360 --> 01:01:59.360]  So where does that go on the priority list?
[01:01:59.360 --> 01:02:04.240]  Um, there's all kinds of stuff like that. So a lot of decisions still to make in the future
[01:02:05.040 --> 01:02:12.480]  well, the other big difference between net newswire this net newswire project and previously is that it is
[01:02:13.520 --> 01:02:16.240]  an open source project both in
[01:02:17.520 --> 01:02:23.280]  in terms of licensing and in terms of actual practice where you actually have
[01:02:24.240 --> 01:02:25.280]  uh
[01:02:25.280 --> 01:02:29.440]  a community of contributors who are actually writing
[01:02:30.240 --> 01:02:32.240]  Lots a lot of the code
[01:02:32.400 --> 01:02:36.400]  Right. So in theory you can have an open source app where you just say here's my source code
[01:02:36.800 --> 01:02:39.040]  Here's a you know, an open source license
[01:02:39.200 --> 01:02:43.760]  You can download the source code and do what you want with it, but there may not be a actual
[01:02:44.700 --> 01:02:46.220]  community
[01:02:46.220 --> 01:02:48.220]  contributing to to the app
[01:02:48.220 --> 01:02:54.540]  Yeah, so that's a whole new thing for me learning how to manage that kind of community and it's really
[01:02:54.940 --> 01:02:57.500]  Tons of fun i'm enjoying it hugely. Um
[01:02:58.220 --> 01:03:00.220]  And we've been taking it slow. We we have
[01:03:00.860 --> 01:03:02.060]  You know
[01:03:02.060 --> 01:03:04.460]  Maybe a half dozen contributors or so by now
[01:03:05.340 --> 01:03:09.500]  You know, I don't have to manage, you know, 40 people or something working on this all at once
[01:03:11.020 --> 01:03:13.580]  But yeah, it's interesting and um
[01:03:13.580 --> 01:03:19.340]  So one of the things of course that can happen is, you know, I might think to myself. Well, i'd like feedly syncing next
[01:03:19.820 --> 01:03:26.300]  But then someone comes along and says long. I want to do whatever other system first and then
[01:03:26.700 --> 01:03:28.860]  I'm, like, okay go for it start work
[01:03:29.580 --> 01:03:35.580]  We'll answer any questions help you out do it, you know, and they meant that might happen before feedly happens for instance
[01:03:35.580 --> 01:03:40.460]  So some things really depend on you know who comes in and what they feel like working on
[01:03:40.460 --> 01:03:45.980]  The ultimate calls of how things work and what goes in the app or not are are still mine, obviously
[01:03:45.980 --> 01:03:47.980]  but there's an element of
[01:03:48.700 --> 01:03:53.980]  Serendipity, I guess I don't know what to call it. Um, just based on who shows up and who wants to do stuff
[01:03:54.940 --> 01:04:00.460]  One of the interesting technical decisions you made and I say this I do most of my computing for long
[01:04:00.460 --> 01:04:01.740]  I won't go into the details
[01:04:01.740 --> 01:04:06.700]  But lately I do almost all of my mac computing on my macbook and that is running mohavi
[01:04:06.700 --> 01:04:10.140]  Dot latest, um, but my iMac
[01:04:10.940 --> 01:04:15.660]  Just because of the distance I sit from it and where my eyes are. I don't see it as well. Um,
[01:04:16.300 --> 01:04:19.020]  So it's sort of my podcast station
[01:04:19.740 --> 01:04:21.740]  I'm actually using it right now to podcast
[01:04:22.860 --> 01:04:25.820]  But i'm actually very conservative about updating i'm still running
[01:04:26.860 --> 01:04:32.460]  10.13 i've already forgotten. What's what's the name? I I hate that high sierra
[01:04:32.460 --> 01:04:37.420]  High sierra. Um, I hate the names. I I really wish they would stay
[01:04:37.500 --> 01:04:43.580]  I like that ios uses numbers because I can I I can always tell which one you know, guess what comes after 13 14
[01:04:44.460 --> 01:04:51.820]  Right, I really but anyway, i'm running high sierra net news wire 5.0 requires, uh, 10.14.6 or later
[01:04:52.620 --> 01:04:53.660]  Yeah
[01:04:53.660 --> 01:04:56.860]  And i'm curious of your thinking behind that
[01:04:56.860 --> 01:05:04.700]  Well, we do have to draw the line somewhere. There has to be you know, a baseline and I think it's actually 10.14.4
[01:05:05.340 --> 01:05:10.380]  Whatever, uh, it was the first release where you didn't have to embed the swift libraries in the app
[01:05:11.020 --> 01:05:16.300]  And I think the swift libraries were bigger than the whole rest of the app combined, you know
[01:05:16.380 --> 01:05:19.020]  Including the app icon and everything and you know
[01:05:19.100 --> 01:05:23.100]  That's like a pretty good place to start like, you know, we can be a little bit more efficient
[01:05:23.100 --> 01:05:28.300]  You know, that seemed like a pretty good place to start like, you know, we can be one of the first apps that you know
[01:05:28.380 --> 01:05:30.380]  You don't need all that. So
[01:05:30.380 --> 01:05:35.340]  It's like a five megabyte download. I just I just wonderful. I just double clicked it here on my
[01:05:35.980 --> 01:05:41.260]  High sierra machine and is it you're correct. It is indeed 10.14.4 is the required version
[01:05:42.380 --> 01:05:46.780]  So that to me is also so I get it at a technical level that now
[01:05:47.020 --> 01:05:51.500]  Where I just mentioned that before that you no longer have to embed all these swift libraries. Um
[01:05:51.500 --> 01:05:53.500]  You can make the download smaller
[01:05:53.500 --> 01:05:57.660]  It's just is that's just more elegant, but it's also clearly
[01:05:58.460 --> 01:05:59.500]  a
[01:05:59.500 --> 01:06:06.620]  Privilege of being a free and open source project that you probably if you were intending to sell this for forty dollars
[01:06:06.700 --> 01:06:08.700]  I don't think you would have drawn the line there
[01:06:09.260 --> 01:06:12.540]  Probably true. Um, that's a that's tough though because
[01:06:13.260 --> 01:06:15.260]  In previous years, I always
[01:06:15.260 --> 01:06:19.660]  Tended to become more aggressive about requiring the latest os and the reason is
[01:06:19.660 --> 01:06:24.620]  If supporting the previous version, uh, it's more work. It's more testing
[01:06:25.740 --> 01:06:30.060]  It's it's not nearly as as inexpensive as people might think
[01:06:30.620 --> 01:06:35.660]  And so one of the big deals here with net newswire is you know, it is free and open source
[01:06:35.660 --> 01:06:39.500]  We make no money. Everyone's a volunteer. I've got a day job. I need to
[01:06:40.380 --> 01:06:43.740]  I need to be pretty ruthless about what the priorities are and
[01:06:45.260 --> 01:06:48.060]  Supporting an older os just isn't a priority
[01:06:48.060 --> 01:06:53.260]  OS just isn't a priority because that's a problem that kind of solves itself
[01:06:53.820 --> 01:06:57.520]  Right every day. There are fewer people still on 10.13
[01:06:59.900 --> 01:07:04.380]  And so it just didn't and it hurts because I want hey I want everyone to use the app
[01:07:04.540 --> 01:07:06.940]  But it just didn't make sense to make that
[01:07:07.740 --> 01:07:08.780]  um
[01:07:08.780 --> 01:07:10.620]  Make that a priority
[01:07:10.620 --> 01:07:11.660]  so
[01:07:11.660 --> 01:07:18.300]  I wanted to draw the line at 10.14 and then 10.14.4 really ended up being the perfect spot. Yeah
[01:07:19.260 --> 01:07:21.100]  I do think that's one way
[01:07:21.100 --> 01:07:22.140]  that
[01:07:22.140 --> 01:07:27.420]  The mac world i'm not going to say it's worse. It's different though, and I feel like in the old days
[01:07:27.980 --> 01:07:30.140]  A well-written mac app would run
[01:07:31.580 --> 01:07:33.580]  Further back and further forward
[01:07:34.620 --> 01:07:36.060]  without
[01:07:36.060 --> 01:07:38.060]  changes and I feel like
[01:07:38.060 --> 01:07:40.060]  It for various reasons
[01:07:40.220 --> 01:07:46.940]  Developers are more on the treadmill of requiring across the board and you know for people who don't know your day job
[01:07:46.940 --> 01:07:48.940]  You work at the omni group
[01:07:49.500 --> 01:07:55.580]  But you're not a developer there anymore. You are what you do. You have a title or you just unofficially product marketing director
[01:07:55.900 --> 01:07:59.180]  My title is marketing human marketing human. Yep
[01:08:01.100 --> 01:08:04.620]  And basically my job is I write for the blog I do the podcast
[01:08:04.620 --> 01:08:10.460]  Right, you know add sponsorships various stuff like that interact with users. Yep
[01:08:12.460 --> 01:08:14.460]  But the omni group
[01:08:14.780 --> 01:08:16.540]  Do you guys have a hard and fast rule?
[01:08:16.540 --> 01:08:21.100]  I mean, I guess it depends on how old the app is that you've got apps that you know new ones that are more recent
[01:08:21.100 --> 01:08:27.260]  And probably cut move the cutoff date and ones that are a little you know, none of them are old. That's one of the
[01:08:28.060 --> 01:08:29.100]  great
[01:08:29.100 --> 01:08:32.060]  achievements of the omni group that they've sort of
[01:08:32.060 --> 01:08:39.580]  been doing this for 25 years and have never really had like a down cycle or let something languish too long
[01:08:41.020 --> 01:08:44.060]  But how far back do you guys tend to go at the omni group?
[01:08:44.700 --> 01:08:48.700]  So I think in years past omni group would go back maybe
[01:08:49.420 --> 01:08:53.100]  A couple releases the os I think these days it's more likely to be
[01:08:54.060 --> 01:08:57.260]  Back one. Yeah, I don't know. It's not all in my head
[01:08:57.260 --> 01:09:02.140]  But I think omni has moved along with the rest of the industry to be a little more aggressive about that
[01:09:02.940 --> 01:09:07.820]  And frankly, you know, it's easier now back, you know back in the hmm. I mean you had to go buy
[01:09:08.380 --> 01:09:15.740]  Jaguar right right 10.2. I mean, I remember people lining up outside the app store, you know to get the new mac
[01:09:15.740 --> 01:09:17.740]  Os release these days, you know, it's just
[01:09:18.300 --> 01:09:24.700]  It was also software update. It was also expensive. Like I I believe the first few updates to macos 10 were like 120 bucks
[01:09:24.700 --> 01:09:26.700]  Absolutely, right, right
[01:09:26.700 --> 01:09:33.180]  Yeah, and people would like line up. Yeah, I totally would. Yeah 120. Could you imagine if they could you even imagine if like
[01:09:33.820 --> 01:09:35.820]  Next month that the you know apple
[01:09:36.140 --> 01:09:42.700]  Phil sheller comes on stage and and he's proud to introduce, you know, we told you about it at wwdc
[01:09:42.700 --> 01:09:45.900]  Here's macos catalina and it's 120 dollars
[01:09:46.620 --> 01:09:52.140]  Yeah, right like and it ships on dvds. I I think people would like even if he didn't say dvd
[01:09:52.140 --> 01:09:57.340]  Even if you just said it was gonna be 120 in the app store. I I think the audience would laugh
[01:09:57.340 --> 01:10:02.140]  I don't even think they would believe him, you know, like I think it would play as a gag even if they were serious like
[01:10:02.940 --> 01:10:05.420]  and I think that there's such a high percentage of
[01:10:07.260 --> 01:10:10.140]  Apple customers across all the platforms including the mac
[01:10:10.780 --> 01:10:16.540]  Which is neat in my opinion when they talk about how many new to the mac customers they still have every quarter
[01:10:16.540 --> 01:10:21.580]  Who I don't think I think you would have a hard time convincing them that 10 years ago we paid
[01:10:22.220 --> 01:10:26.940]  120 dollars to get the new version of macos 10. Yeah, and not only that people lined up
[01:10:27.660 --> 01:10:32.140]  Long lines around the block to get the new macos. Yeah. Yeah
[01:10:33.260 --> 01:10:39.740]  The other another long-standing developer. I know you use and love the app but bbedit from barebone software
[01:10:40.460 --> 01:10:43.980]  Has also and it's just why i've been doing this for a long time
[01:10:43.980 --> 01:10:49.580]  Another app that i've noticed the trend where bbedit is required. I don't know what its current requirements are
[01:10:49.580 --> 01:10:53.980]  But it's I think somewhere like you said, I think it's pretty much like current minus one
[01:10:56.300 --> 01:10:59.580]  And for similar reasons, it's just too hard to test too hard to
[01:11:01.740 --> 01:11:08.460]  It almost put your name behind right like if you're yeah if you've tried to support further back you don't want
[01:11:08.460 --> 01:11:15.980]  You're not trying to anger like if you have a customer who is very conservative about updating their their system software
[01:11:15.980 --> 01:11:18.860]  And they have a mac running iowa or macos
[01:11:19.580 --> 01:11:21.580]  10.12 say or
[01:11:21.660 --> 01:11:25.980]  You know, I don't know my parents imac is probably running like 10 12 or something like that
[01:11:27.740 --> 01:11:28.780]  You know
[01:11:28.780 --> 01:11:30.220]  whether through
[01:11:30.220 --> 01:11:34.540]  Apathy or whether through just a very conservative nature, which is very
[01:11:34.540 --> 01:11:40.060]  Reasonable, right, especially if you're using machine for this, you know some kind of important production stuff and you've got everything working just right
[01:11:40.060 --> 01:11:42.060]  And you know, it all just works, right?
[01:11:42.620 --> 01:11:48.060]  Uh, and you just don't want to take a chance that updating the system, you know, and all sorts of stuff does break
[01:11:48.060 --> 01:11:50.060]  You know, there's there's uh
[01:11:51.100 --> 01:11:55.100]  Uh, I believe catalina is gonna finally break 32-bit
[01:11:56.940 --> 01:12:00.620]  Compatibility, so if there are any apps that people depend on
[01:12:00.620 --> 01:12:05.500]  That are 32-bit mac apps. Uh, you better not update to catalina
[01:12:06.860 --> 01:12:12.220]  So it's real after all these years userland frontier. This is the last right because it's os it runs on yeah
[01:12:12.220 --> 01:12:17.820]  That's it because it's a 32-bit app and the work the work to 64-bit eyes. I don't know what the verb is
[01:12:19.340 --> 01:12:23.100]  I don't know how to verb for bid eyes that works. 64-bit eyes is uh
[01:12:23.980 --> 01:12:26.300]  I'm, not gonna say impossible, but it's it can't be
[01:12:26.300 --> 01:12:31.500]  Rewriting it. I would I would guess knowing. Yeah, knowing how old that c code is and how many assumptions there are
[01:12:33.020 --> 01:12:39.900]  Well, and that that c code is using carbon apis and right yeah, so you just start from scratch. Yeah
[01:12:44.700 --> 01:12:48.220]  But you you know, so you want to respect those customers and you would like to make them happy
[01:12:48.220 --> 01:12:51.580]  But there's a part of there's a part two that you'd want to say to them you would just say
[01:12:51.580 --> 01:12:57.420]  To be honest with them and say uh, I get it I get why you're still running an old version of mac os
[01:12:57.420 --> 01:13:00.620]  And I respect that we respect that as a company or whatever
[01:13:00.620 --> 01:13:05.980]  But we can't stand behind the latest version of our app running on that because we don't have the resources to test it adequately
[01:13:06.860 --> 01:13:09.900]  Yeah, that's right. Right. So keep running our old version of our app
[01:13:10.700 --> 01:13:15.740]  Yeah, and and that's what I you know, people have asked me about menus or quite a bit and so I say yeah
[01:13:16.060 --> 01:13:19.020]  Yeah, I wish I could do that. I wish I could do that. I wish I could do that
[01:13:19.020 --> 01:13:22.460]  And that's what I say. Yeah, I wish I had a better answer for you
[01:13:22.460 --> 01:13:25.500]  but our priorities are with new features rather than
[01:13:26.220 --> 01:13:32.380]  The great amount of work that that would entail right and you know sooner rather than later 10.14 is going to be old
[01:13:38.700 --> 01:13:42.060]  Another thing people have commented on with net newsware five
[01:13:42.620 --> 01:13:47.500]  Is that there as of this moment there's no theming options at all
[01:13:47.500 --> 01:13:54.780]  Well, it's, you know, articles all render with this default article theme, modern, generous
[01:13:54.780 --> 01:14:01.940]  font sizes, but very, very, I think it's very appropriate as the default theme and I find
[01:14:01.940 --> 01:14:07.780]  it very readable and I read a lot of stuff with it every day, but it's also very generic.
[01:14:07.780 --> 01:14:15.220]  It is very much along the lines of, you know, it's using the system font, so it's San Francisco
[01:14:15.220 --> 01:14:24.160]  it's very plain, which I think is great as a default, but obviously some people would,
[01:14:24.160 --> 01:14:30.420]  you know, and NetNewsWire has a history of supporting themes that you could customize
[01:14:30.420 --> 01:14:34.300]  to the full extent of what CSS and HTML allow.
[01:14:34.300 --> 01:14:39.220]  Yeah, so that's something I'd like to get to fairly soon.
[01:14:39.220 --> 01:14:44.140]  When that feature first came out in NetNewsWire 2, people really loved it and people would
[01:14:44.140 --> 01:14:49.460]  make new themes and send them to me and some of them I would actually include in the app.
[01:14:49.460 --> 01:14:50.460]  Did you include mine?
[01:14:50.460 --> 01:14:51.460]  I think you did.
[01:14:51.460 --> 01:14:54.620]  Yeah, was yours the one that looked like mail, basically?
[01:14:54.620 --> 01:14:55.620]  Yeah, sort of.
[01:14:55.620 --> 01:14:57.100]  Yeah, I think I did, yeah.
[01:14:57.100 --> 01:14:59.380]  Yeah, it looked like a cross between mail and Mailsmith.
[01:14:59.380 --> 01:15:00.380]  Yeah, okay.
[01:15:00.380 --> 01:15:01.940]  Yeah, that was in there.
[01:15:01.940 --> 01:15:02.940]  Yeah.
[01:15:02.940 --> 01:15:06.300]  And so that was tons of fun and so people really, that was just a way to have fun with
[01:15:06.300 --> 01:15:13.740]  the app and I, you know, I love that, so there were, yeah, that was just a great thing and
[01:15:13.740 --> 01:15:17.740]  I get why people might not want the, you know, plain kind of default theme.
[01:15:17.740 --> 01:15:19.300]  Yeah, I totally do.
[01:15:19.300 --> 01:15:25.740]  So I would like to not only make, do that feature, but make the old NetNewsWire themes
[01:15:25.740 --> 01:15:26.740]  compatible.
[01:15:26.740 --> 01:15:32.340]  So you could use an old theme file and just, I don't know, I don't know how that'll turn
[01:15:32.340 --> 01:15:34.860]  out, but I don't know, I'm going to give it a try.
[01:15:34.860 --> 01:15:39.260]  That's an interesting idea, but I don't know about that.
[01:15:39.260 --> 01:15:43.100]  It shouldn't be difficult to find out if it's cool or not, so that's like an evening's work,
[01:15:43.100 --> 01:15:44.100]  I suspect.
[01:15:44.100 --> 01:15:48.380]  Do you read more, do you subscribe to more feeds now than you used to, about the same
[01:15:48.380 --> 01:15:49.380]  or fewer?
[01:15:49.380 --> 01:15:51.820]  In the old days, I used to have around 150.
[01:15:51.820 --> 01:15:56.220]  These days I have double that.
[01:15:56.220 --> 01:16:05.180]  I read fewer, but the ones who I, because, and what I've, but I, what I do is I've unsubscribed
[01:16:05.180 --> 01:16:17.740]  or stopped subscribing to feeds from bigger publications, like, because they don't, they
[01:16:17.740 --> 01:16:21.180]  don't put the, you know, if they don't put the full article in the feeds, I just don't,
[01:16:21.180 --> 01:16:22.380]  I don't want it.
[01:16:22.380 --> 01:16:23.380]  I don't want it.
[01:16:23.380 --> 01:16:24.380]  I don't want it.
[01:16:24.380 --> 01:16:27.460]  I don't want to use NetNewsWire just to know that there's something new there.
[01:16:27.460 --> 01:16:30.700]  It's I really do want to do my reading in the app.
[01:16:30.700 --> 01:16:32.260]  Right.
[01:16:32.260 --> 01:16:36.660]  A lot of my feeds are from people who blog like once a month or whatever.
[01:16:36.660 --> 01:16:40.620]  I mean, there are plenty like yours that are more frequent bloggers, but there are people
[01:16:40.620 --> 01:16:44.180]  who don't write that often, but when they do, I sure want to see it.
[01:16:44.180 --> 01:16:49.940]  The old NetNewsWire had a feature that I loved where I forget what the cutoff was, but if
[01:16:49.940 --> 01:16:58.860]  a feed hadn't been updated in X days, it would turn the name of the feed Brown.
[01:16:58.860 --> 01:17:05.020]  And people would say, Oh God, my blog has turned Brown in NetNewsWire.
[01:17:05.020 --> 01:17:06.340]  Any thought to bringing that back?
[01:17:06.340 --> 01:17:07.340]  Yeah.
[01:17:07.340 --> 01:17:08.340]  I've thought about it.
[01:17:08.340 --> 01:17:15.940]  I, I, I intended to at least have the the old dinosaurs window in, in the new NetNewsWire.
[01:17:15.940 --> 01:17:20.340]  And I, you know, I still might, but it got cut for the shipment.
[01:17:20.340 --> 01:17:23.760]  But so that was a related feature where you could open up a window that would show you
[01:17:23.760 --> 01:17:28.820]  all your dinosaurs and you could pick whatever last hasn't been updated in 30 days or nine
[01:17:28.820 --> 01:17:29.820]  days or whatever.
[01:17:29.820 --> 01:17:35.460]  And you could see which ones were apparently dead and you could unsubscribe right from
[01:17:35.460 --> 01:17:36.460]  there.
[01:17:36.460 --> 01:17:42.460]  But yeah, that, that was related to the Brown feeds feature.
[01:17:42.460 --> 01:17:47.680]  One of my favorite little things, and it was funny because I didn't, I guess I noticed
[01:17:47.680 --> 01:17:55.320]  it, but I only noticed it subliminally because I didn't complain about it.
[01:17:55.320 --> 01:18:02.380]  But in it was Josh, Josh Ginter who wrote the sweet set up review of NetNewsWire.
[01:18:02.380 --> 01:18:07.700]  I linked to it yesterday when I linked to the NetNewsWire announcement.
[01:18:07.700 --> 01:18:12.620]  But he pointed out explicitly that right now there's not a lot of smart feed options in
[01:18:12.620 --> 01:18:17.840]  NetNewsWire, but one of them is last day, which is to me super useful.
[01:18:17.840 --> 01:18:21.460]  But he observed, and it's something I, like I said, I noticed it subliminally cause I
[01:18:21.460 --> 01:18:23.340]  hate when software works the other way.
[01:18:23.340 --> 01:18:29.020]  But last day doesn't mean like from midnight on, it means like whatever time it is, it's
[01:18:29.020 --> 01:18:30.740]  like a rolling 24 hours.
[01:18:30.740 --> 01:18:31.740]  Yeah.
[01:18:31.740 --> 01:18:33.300]  And it's called actually called today.
[01:18:33.300 --> 01:18:34.300]  Yeah.
[01:18:34.300 --> 01:18:38.180]  Like, yeah, we're, we're stretching the meaning, but yeah, I mean, come on.
[01:18:38.180 --> 01:18:44.300]  I only had a couple of complaints as a, as a night owl who does often does read after
[01:18:44.300 --> 01:18:45.300]  midnight.
[01:18:45.300 --> 01:18:50.980]  Uh, you know, like I've, I'm trying to think what apps, like I feel like there's a way
[01:18:50.980 --> 01:18:51.980]  that I set up a smart.
[01:18:51.980 --> 01:18:55.060]  I have a similar smart mailbox in apple mail.
[01:18:55.060 --> 01:19:00.500]  Um, but I think that like on iOS where you can't, I could be wrong if I'm wrong, forgive
[01:19:00.500 --> 01:19:05.860]  me, but I think that on iOS where you can't, you don't customize your smart feeds.
[01:19:05.860 --> 01:19:07.740]  You only get the ones that are built in.
[01:19:07.740 --> 01:19:09.900]  There is no customization.
[01:19:09.900 --> 01:19:14.620]  You the today feed cuts off at midnight and I hate it.
[01:19:14.620 --> 01:19:16.900]  Oh, it makes me mad all the time.
[01:19:16.900 --> 01:19:17.900]  Yeah.
[01:19:17.900 --> 01:19:20.220]  Where I like check and I'll be like, I mean, make sure I don't have an email.
[01:19:20.220 --> 01:19:21.940]  I'm like, I don't have two unread emails today.
[01:19:21.940 --> 01:19:22.940]  That's great.
[01:19:22.940 --> 01:19:29.420]  And then I realized it's 1205 and I have like 98 from yesterday and I have to fish about,
[01:19:29.420 --> 01:19:36.180]  it's just little things like that that make me happy about apps.
