[00:00.000 --> 00:02.480]  Hello podcast fans
[01:05:49.200 --> 01:05:55.200]  We lost my train of thought there. Well, like when I put my finger through the cake.
[01:05:55.200 --> 01:05:59.200]  Oh, yeah. So, yeah. So the thing we're talking about was if you're going to do that, you know,
[01:05:59.200 --> 01:06:05.200]  digital content is we can't like how do we put it behind your hands?
[01:06:05.200 --> 01:06:10.200]  Because if we just draw it, it's just going to draw on top of your hands and you're not going to see your hands.
[01:06:10.200 --> 01:06:18.200]  So we had to do a very sophisticated, real time matting algorithm that recognizes where your hands are,
[01:06:18.200 --> 01:06:25.200]  does an outline on our one, then composites it with the video coming through and the contour putting down.
[01:06:25.200 --> 01:06:30.200]  So you can actually have your hands in front of the digital content and interact with it.
[01:06:30.200 --> 01:06:37.200]  And you it just seems natural. But there's a lot going on behind the scenes to make that one single thing possible.
[01:06:37.200 --> 01:06:42.200]  So Gruber, John, why don't you give me John?
[01:06:42.200 --> 01:06:46.200]  What are you talking about the butterfly? What? Tell him about the butterfly.
[01:06:46.200 --> 01:06:51.200]  Oh, right. So the butterfly jump into the end, John.
[01:06:51.200 --> 01:06:56.200]  Well, it's germane to this. All right. Yeah, well,
[01:06:56.200 --> 01:07:01.200]  the three most compelling demos was the dinosaur adventure, dinosaur expedition.
[01:07:01.200 --> 01:07:06.200]  But it starts with, I guess, a prehistoric butterfly. I don't know.
[01:07:06.200 --> 01:07:11.200]  Yeah. So butterflies are around that we didn't just like, you know, teleport them back in time.
[01:07:11.200 --> 01:07:16.200]  But but we have that starts and it's now ruining the wonderful thing.
[01:07:16.200 --> 01:07:20.200]  Thank you, Jaws. The surprise. This butterfly flies out into the room.
[01:07:20.200 --> 01:07:25.200]  And if you hold your hand out, it lands on your finger. And it's it's amazing.
[01:07:25.200 --> 01:07:29.200]  We had so many people tell us they actually felt the butterfly land on their finger.
[01:07:29.200 --> 01:07:32.200]  It was it's that realistic and compelling.
[01:07:32.200 --> 01:07:38.200]  And because of our super precise hand tracking and our ability to do the compositing and all the stuff that I've talked about,
[01:07:38.200 --> 01:07:41.200]  it just feels like it's there. It's so freaking cool, right?
[01:07:41.200 --> 01:07:44.200]  Because it's sort of it's like your brain is a prediction engine.
[01:07:44.200 --> 01:07:51.200]  And one of the reasons we feel like we perceive everything in real time is that our brain is constantly in all sorts of senses anticipating.
[01:07:51.200 --> 01:07:56.200]  And so when your brain sees this butterfly about to land, it like it feels it.
[01:07:56.200 --> 01:08:01.200]  It tells the finger, get ready. You know, you're going to feel, you know, a weird tickle.
[01:08:01.200 --> 01:08:06.200]  We won't break all of the, you know, secrets out on that. Well, it's definitely worth people are going to talk.
[01:08:06.200 --> 01:08:10.200]  OK. Yeah. So the dinosaur does come out of the portal into your room.
[01:08:10.200 --> 01:08:17.200]  And it's it's one of I think it's a pretty amazing AR experience.
[01:08:17.200 --> 01:08:26.200]  And you can really it truly is. I mean, and again, it's it when the dinosaur comes out and, you know, eight, nine, 10 feet tall.
[01:08:26.200 --> 01:08:31.200]  Certainly a lot bigger than me and look dangerous.
[01:08:31.200 --> 01:08:42.200]  It's so realistic, though, that, you know, even cynical me, who's not going to pretend to be freaked out during, you know, professional press demo of a new tech product.
[01:08:42.200 --> 01:08:45.200]  It's like there's a part of my brain going like, what are you doing?
[01:08:45.200 --> 01:08:49.200]  What are you doing? And it's like your brain is saying, am I going to get eaten? Right.
[01:08:49.200 --> 01:08:58.200]  It's like if you told me, you know, that Apple had invented a new kind of cookware and you can put a pan on a hot stove and just let it run.
[01:08:58.200 --> 01:09:00.200]  And then you're like, here, go ahead. Put your hand on it.
[01:09:00.200 --> 01:09:02.200]  Yeah, I'd be like, I don't know.
[01:09:02.200 --> 01:09:05.200]  And there's a part of my brain, red. We're telling you.
[01:09:05.200 --> 01:09:09.200]  Yeah, there's a part of my brain that was like, are you really going to get this close to this dinosaur?
[01:09:09.200 --> 01:09:13.200]  And it's really, really compelling.
[01:09:13.200 --> 01:09:24.200]  Did you see that in the keynote? And that kind of makes me think one of the things I wanted to make sure I got out tonight is when a lot of people ask us about what they were seeing in the keynote, was it real?
[01:09:24.200 --> 01:09:34.200]  Right. Because, look, one of the challenges we had in making the video is the fact we have to take this incredible spatial experience and try to translate it onto a 2D screen.
[01:09:34.200 --> 01:09:42.200]  But all the UI you see, all the stuff that came, you know, that we were showing coming out of the device was rendered on device.
[01:09:42.200 --> 01:09:46.200]  And it's out there, even in the third person view, that's composited onto a scene.
[01:09:46.200 --> 01:09:52.200]  So this isn't like us having graphic artists with an M2 Ultra, you know, coming up with all this stuff.
[01:09:52.200 --> 01:09:53.200]  This is all coming off.
[01:09:53.200 --> 01:09:54.200]  It's all rendered real time.
[01:09:54.200 --> 01:10:12.200]  Yeah, real time. And then, you know, that's how we showed it in the film. And, you know, that's important. That was not fake.
[01:10:12.200 --> 01:10:19.200]  I'm trying to think of another adjective or another synonym for uncanny.
[01:10:19.200 --> 01:10:38.200]  Whatever that synonym is, the part that, to me, it just, and I kept trying to break it or trick it, was the best I can describe it is the stability of things in your environment when you're using Vision Pro is 100%.
[01:10:38.200 --> 01:10:52.200]  So if you've set up, like in my demo, I think it was Messages, Safari, and Photos, three windows, make them each bigger than any display I've ever owned in a carousel around me.
[01:10:52.200 --> 01:11:03.200]  And no matter what I did or look at, they stay as completely stable in the space around me as my actual studio display on my desk, right?
[01:11:03.200 --> 01:11:20.200]  And in the way that my brain, you don't think about it, but you just expect that if you're at your desk and you turn around to talk to somebody and then you come back, that your display is going to be literally exactly where it was, and you'd be freaked out if it was moved.
[01:11:20.200 --> 01:11:34.200]  But no other, you know, we laugh, but no other AR experience that I've ever seen has that sort of stability. I mean, they get good, and hopefully all shipping products get it close, but not 100% stable.
[01:11:34.200 --> 01:11:38.200]  And I'm just blown away by that.
[01:11:38.200 --> 01:11:42.200]  Yep.
[01:11:42.200 --> 01:11:46.200]  How do you do it? Let me tell you the question. How do you do it?
[01:11:46.200 --> 01:11:51.200]  It's a secret. Just little magic pixies in there.
[01:11:51.200 --> 01:12:12.200]  No, I mean, it is the combination of all of these cameras and sensors and the real-time silicon, and in particular, I talked about on VisionOS that there's this real-time part of the system that we have, and that is where these algorithms run,
[01:12:12.200 --> 01:12:26.200]  and we have the system so tightly tuned that we're able to make it just rock solid, and you can trust it. It just is always there, and it is using all these cameras to do that.
[01:12:26.200 --> 01:12:38.200]  And the other thing that's interesting, and you may or may not have seen it in the keynote, is we can also do this on a plane, which for those who are in this kind of space,
[01:12:38.200 --> 01:12:50.200]  that's not an easy thing to do, because planes kind of like turn and fly and move around, and the IMU on the system, how does it know what to do in that case, because it doesn't have a fixed inertial space.
[01:12:50.200 --> 01:13:05.200]  So there's some magic going on there, but you can get that same level of stability when you use it on a plane, which means that when you're at 40,000 feet, and the baby's crying next to you, and you really kind of want to be somewhere else, you can be.
[01:13:05.200 --> 01:13:34.200]  My last question would be, or nearly last question, 34.99 is a very pro-price, and the software that I was shown, and again, we're waiting until early next year until it ships, but was very consumer-y.
[01:13:34.200 --> 01:13:39.200]  It's Safari, Mail, Messages, Photos.
[01:13:39.200 --> 01:13:44.200]  Is this going to be something for pro software, too?
[01:13:44.200 --> 01:14:02.200]  I mean, again, I know future products, blah, blah, blah, we don't talk about them, but like, for example, Final Cut Pro just came to the iPad, and people have been looking for that for a long time.
[01:14:02.200 --> 01:14:12.200]  Well, let me say a couple things on the kinds of things that are awesome on the product that might be pro use cases that you would do.
[01:14:12.200 --> 01:14:28.200]  One is collaboration. I mean, all of us are doing some form of hybrid work, or working from different places, or working on the road, and this product has superpowers for doing that, because you can create the perfect environment for you to work,
[01:14:28.200 --> 01:14:43.200]  and I know many of you have been on Webexes or Zoom calls, and somebody's presenting something, and what you see is a bunch of people in a conference room, and they're all about one little tiny thing, and so you get one pixel per person.
[01:14:43.200 --> 01:14:55.200]  When you have this Vision Pro, that can be a massive window, and you can have the presentation, and you can be working with folks in that way, and it's pretty amazing.
[01:14:55.200 --> 01:15:09.200]  The other thing is you take something like Freeform, which is a fantastic collaboration app, and when you share it inside of Vision Pro, you are able to have multiple people go up and work on it.
[01:15:09.200 --> 01:15:13.200]  It really is like you're in the same room, so you start to think about collaboration use cases.
[01:15:13.200 --> 01:15:26.200]  The last thing is we talked about bringing the monitor from your Mac into here, so let's say you've got a MacBook Air with a smaller screen, not the new one that's awesome, but they're all awesome.
[01:15:26.200 --> 01:15:30.200]  We love them all. Now, JAWS is going to cattle prod me.
[01:15:30.200 --> 01:15:32.200]  They're all fun, Mike.
[01:15:32.200 --> 01:15:52.200]  We love them all, but you have them with a smaller screen, and you're on the road, you can now take that and have a 4K monitor, and you might be running Final Cut Pro, or you might even have a Mac Studio that you've taken with you, and now you can have a massive monitor and be running Final Cut Pro with 20, what is it, how many 8K streams, 22 8K streams?
[01:15:52.200 --> 01:15:53.200]  22 8K streams.
[01:15:53.200 --> 01:16:04.200]  Yeah, running, and you see that inside of Vision Pro, and by the way, you've also got iPad and iOS apps that can run in here, too, unchanged.
[01:16:04.200 --> 01:16:14.200]  You can bring those down, and it's amazing when you take an iPad app that's used for some professional use case, and you now have it on a large screen.
[01:16:14.200 --> 01:16:23.200]  All of those can coexist in here, and you think about creating the perfect space for productivity, this device is able to do it.
[01:16:23.200 --> 01:16:33.200]  We showed you a lot of cases that are fantastic for consumers, but it is a super-powered device for somebody who is trying to get work done.
[01:16:33.200 --> 01:16:45.200]  John, let me just add a little bit to it, because it's no accident we did this at WWDC. It's a developer conference.
[01:16:45.200 --> 01:16:54.200]  This is the idea, just like our opening video, where the thought bubbles go above developers' heads and they chase those ideas, that's what we want to start here.
[01:16:54.200 --> 01:17:03.200]  You even saw a taste of it. Susan Prescott, in her section, showed PTC doing that Alfa Romeo car.
[01:17:03.200 --> 01:17:15.200]  I'm telling you, when you see that in headset, you swear to God it's real, because you can get in it, and you're like, why is it not supporting my back?
[01:17:15.200 --> 01:17:25.200]  Mike's working on that part. It's just unbelievable stuff with that assembly line that you put in your room.
[01:17:25.200 --> 01:17:30.200]  Things, remember, don't have to be in Windows. It's great that a lot of apps work in Windows, and it's amazing.
[01:17:30.200 --> 01:17:36.200]  Those all work, and like Mike said, we'll have hundreds of thousands of things that work today that will go in here.
[01:17:36.200 --> 01:17:40.200]  Microsoft even brought their stuff over. People are excited, but stuff doesn't have to live in Windows.
[01:17:40.200 --> 01:17:45.200]  You saw the mindfulness app, and that's a nice one, because it shows you that digital content can be all around you.
[01:17:45.200 --> 01:17:49.200]  It can be anywhere. It doesn't have to be put in a rectangle.
[01:17:49.200 --> 01:17:54.200]  We're pretty excited about where it's going to go. We've already had a lot of enterprises already expressing interest.
[01:17:54.200 --> 01:17:59.200]  We've made this platform extremely easy for folks to develop for.
[01:17:59.200 --> 01:18:03.200]  We put an immense amount of effort in there for developers.
[01:18:03.200 --> 01:18:15.200]  If you're an iOS developer, you go into Xcode, you set destination to VisionOS, and you compile.
[01:18:15.200 --> 01:18:22.200]  Now you have the starting point for you to be able to create a completely spatial application.
[01:18:22.200 --> 01:18:28.200]  If you're somebody who has started in Unity, we have done something that's really unprecedented.
[01:18:28.200 --> 01:18:39.200]  We've made a shared simulation where you can have apps that are written in our tools and apps that are written in Unity share the same 3D space.
[01:18:39.200 --> 01:18:42.200]  In fact, cast shadows on each other. That's never been done.
[01:18:42.200 --> 01:18:52.200]  This is an incredibly powerful multi-app, multi-tasking operating system that will allow for just amazing productivity and pro-use cases.
[01:18:52.200 --> 01:19:00.200]  I want to correct myself because credit credit, JigSpace did the call. Sorry, no one had to text me that.
[01:19:00.200 --> 01:19:05.200]  PTC did the assembly line. Great developers, great job.
[01:19:05.200 --> 01:19:09.200]  What I'm hearing here is...
[01:19:09.200 --> 01:19:15.200]  I think JigSpace just left.
[01:19:15.200 --> 01:19:21.200]  One thing I couldn't gauge from 30 minutes with it is how precise input tracking can be with just your fingers.
[01:19:21.200 --> 01:19:26.200]  It sounds to me like you get the hang of it and you really get past something like...
[01:19:26.200 --> 01:19:31.200]  Look, just a fundamental introduction demo for you today.
[01:19:31.200 --> 01:19:38.200]  You can be very precise in there. I saw one of the videos you guys did where somebody was handwriting.
[01:19:38.200 --> 01:19:45.200]  It can be incredibly precise. The hand tracking is just very, very precise.
[01:19:45.200 --> 01:19:48.200]  I'm not going to quote the numbers here because they'll get in trouble.
[01:19:48.200 --> 01:19:56.200]  We had to do that because we didn't want your hands to require you to hold controllers.
[01:19:56.200 --> 01:20:05.200]  That is unbelievably freeing because now you can actually use input devices that you might use for productivity for other things like a keyboard and a trackpad.
[01:20:05.200 --> 01:20:10.200]  You can look at your phone. You can look at your watch all while you're using the device.
[01:20:10.200 --> 01:20:15.200]  All the things that you're used to doing, you're not prevented from doing those things.
[01:20:15.200 --> 01:20:22.200]  It's very, very precise. When you use Freeform in there, you'll see just how precise.
[01:20:22.200 --> 01:20:26.200]  You can do drawing. Somebody from the Freeform team is here.
[01:20:26.200 --> 01:20:35.200]  Well, I told John I could talk his ear off for a lot longer. I could talk your ear about this off a lot longer.
[01:20:35.200 --> 01:20:40.200]  But it is time to move on. Mike, congratulations. Let me just say that.
[01:20:40.200 --> 01:21:03.200]  Ladies and gentlemen, Mike Rockwell.
[01:21:03.200 --> 01:21:06.200]  Sorry. Once again, I'm not leaving.
[01:21:06.200 --> 01:21:10.200]  We're running a little long. I think it's going pretty well. It's having fun.
[01:21:10.200 --> 01:21:17.200]  All right. Everything is fun, John.
[01:21:17.200 --> 01:21:39.200]  I'll just cut right to the chase. Ladies and gentlemen, Craig Federighi.
[01:21:39.200 --> 01:21:48.200]  Thank you. Did you saunter and not run out here? I thought I had a little bounce in my step.
[01:21:48.200 --> 01:21:52.200]  Kind of excited about this whole Vision Pro thing.
[01:21:52.200 --> 01:21:56.200]  Got me a little pumped. Yeah.
[01:21:56.200 --> 01:22:02.200]  Well, the fun part's over.
[01:22:02.200 --> 01:22:07.200]  I kid.
[01:22:07.200 --> 01:22:14.200]  I have to ask, though, what's it like not not to be the star?
[01:22:14.200 --> 01:22:19.200]  It's OK. Wow. OK. Wow. Yeah. Wow.
[01:22:19.200 --> 01:22:23.200]  Well, your run of eight shows ended really kind of abruptly. It really did.
[01:22:23.200 --> 01:22:27.200]  That was it. That was it. Yeah. Yeah. No, it's all right.
[01:22:27.200 --> 01:22:31.200]  Team feel pretty good about it. Team play.
[01:22:31.200 --> 01:22:41.200]  I guess so. It's very exciting to not watch the keynote. He's in it for like an hour and 20 minutes.
[01:22:41.200 --> 01:22:47.200]  By duration alone. Is that really it? Yeah.
[01:22:47.200 --> 01:22:51.200]  It's all anyone was talking about, really. I think when the show ended, you're still a star to me, Craig.
[01:22:51.200 --> 01:22:57.200]  Oh, Joss. All right. Well, let me just start.
[01:22:57.200 --> 01:23:13.200]  Let's move on. It's it's ducking great to see you.
[01:23:13.200 --> 01:23:17.200]  That was I mean, that's a good one.
[01:23:17.200 --> 01:23:29.200]  We agree. Thank you. But we are I mentioned it before when John was out here that that we're going through industry wide worldwide.
[01:23:29.200 --> 01:23:35.200]  An A.I. moment. Right. Something is leveled up. Something is different on this front than before.
[01:23:35.200 --> 01:23:42.200]  And your ducking joke was in the context of something that's true of feature everybody uses.
[01:23:42.200 --> 01:23:49.200]  Right. And yeah, autocorrect. And that autocorrect is now, I guess, reengineered.
[01:23:49.200 --> 01:23:55.200]  I mean, it's not tweaked and a little better. It sounds to me like this is a new way of doing autocorrect.
[01:23:55.200 --> 01:24:02.200]  Yeah. Yeah, it is. So we as I as I mentioned briefly and I was like, blah, blah, blah, blah, blah.
[01:24:02.200 --> 01:24:06.200]  Where's the vision probe? Blah, blah.
[01:24:06.200 --> 01:24:16.200]  There. So we use a transformer language model. We did not in the past. I mean, if you look at the field around text prediction, what are called LSTM's were kind of in vogue for many years.
[01:24:16.200 --> 01:24:25.200]  And that's what we used. And now we use a much more powerful classic model called transformer models, which are used for all kinds of all the hotness you're hearing about now is built around transformer models.
[01:24:25.200 --> 01:24:34.200]  Now, this is one that's meant to be incredibly fast on device so that on every keystroke we can be predicting the next word with much greater accuracy.
[01:24:34.200 --> 01:24:43.200]  But it's not just about for us the model. A lot of what we did is the experience. So as you're typing, sometimes it's ambiguous how we should autocorrect.
[01:24:43.200 --> 01:24:49.200]  And now we make sure that if we did do an autocorrect, we actually leave a little blue highlight to tell you, like we did it.
[01:24:49.200 --> 01:24:53.200]  And if you just tap, you can correct you can say, no, no, no, not that this right.
[01:24:53.200 --> 01:24:58.200]  And so we want to make it really easy to use use autocorrect.
[01:24:58.200 --> 01:25:04.200]  And we also do multi-word autocorrections, which is part of what the power of the language model lets us do.
[01:25:04.200 --> 01:25:11.200]  And so often you find it doesn't just protect predict the word you're typing, but several words ahead of what you're typing.
[01:25:11.200 --> 01:25:17.200]  You just hit the space bar and take it all in. So I think it's really around optimizing the whole experience.
[01:25:17.200 --> 01:25:21.200]  But I think your broader question about AI, I mean, I don't know.
[01:25:21.200 --> 01:25:31.200]  We didn't say I don't know if we said the words AI during the talk, and we certainly didn't say it much in the Vision Pro thing.
[01:25:31.200 --> 01:25:40.200]  But everything you guys were just talking about, all the magic that makes that experience happen is because of amazing work with machine learning.
[01:25:40.200 --> 01:25:49.200]  I mean, the fact it can see your hands, the fact your hands are properly matted with respect to the images behind it and the windows.
[01:25:49.200 --> 01:25:52.200]  The fact it's tracking your eyes. All of this is machine learning.
[01:25:52.200 --> 01:26:00.200]  And I think for us, it's the experience that is the headline and the technology is all in support of that.
[01:26:00.200 --> 01:26:11.200]  Right. It's sort of like.
[01:26:11.200 --> 01:26:25.200]  When you're talking about the performance of 8K video output rendering, you're not going to get into the weeds in the keynote talking about the silicon level things that make that happen.
[01:26:25.200 --> 01:26:30.200]  And in some ways, that's AI is something from the user's perspective that's in the box.
[01:26:30.200 --> 01:26:33.200]  You don't really worry about that. That's how it's done.
[01:26:33.200 --> 01:26:46.200]  And I don't think you guys mentioned AI in the keynote once, which I'm not surprised that you didn't, because I do think it's sort of like us to AI, AI, AI.
[01:26:46.200 --> 01:26:51.200]  But it's there. Right. It is. It's everywhere. Right.
[01:26:51.200 --> 01:26:56.200]  That's what I guess. Yeah, it's everywhere. But the great point, we're just talking about what it does for you versus how it does it.
[01:26:56.200 --> 01:26:58.200]  Right.
[01:26:58.200 --> 01:27:08.200]  What are there other features like in iOS 17 or any of the new operating systems that are AI backed that maybe we wouldn't think are. Oh, my God.
[01:27:08.200 --> 01:27:11.200]  Yeah, it is. It is almost it is almost every one.
[01:27:11.200 --> 01:27:19.200]  So whether you're pulling a sticker out of a photo or now live stickers out of photos.
[01:27:19.200 --> 01:27:22.200]  Yeah.
[01:27:22.200 --> 01:27:28.200]  They're stickers. Do you see that? They're stickers out there. They're out there.
[01:27:28.200 --> 01:27:38.200]  All right. One, I mean, I don't know if you may have noticed that, you know, we had a lot to talk about in the two plus hours of that keynote.
[01:27:38.200 --> 01:27:45.200]  And so things were packed so tight that if you blinked, you could you could miss a feature or really major detail feature.
[01:27:45.200 --> 01:27:58.200]  One of the things we talked about with PDF was this fact that you could literally take a picture of a form like, you know, your kid brings home like a thing and you could just take a picture of it.
[01:27:58.200 --> 01:28:07.200]  And it will figure out where all the fields are that you need to fill out and what they're asking you and then suggest to you what you should be filling out in that form.
[01:28:07.200 --> 01:28:16.200]  Right. That's just it's like magic paper. Right. It's automatic. But that's you aren't having to think about it. You're not in you know, you're not chatting with the thing.
[01:28:16.200 --> 01:28:24.200]  It's it's it's doing the job for you.
[01:28:24.200 --> 01:28:30.200]  By the way, another cool one was even before the conference. Right. We did personal voice, which is went over very well for us.
[01:28:30.200 --> 01:28:35.200]  That's right. Yeah.
[01:28:35.200 --> 01:28:47.200]  Well, going back last to last year, I distinctly remember you mentioning with last year's feature of text detection in images.
[01:28:47.200 --> 01:29:01.200]  You know, whether it's whether they're screenshots or photographs, you know, you take a picture of a restaurant and it's not even perpendicular, but you can like just select the name of the restaurant even though it's in a font because it's the logo of the restaurant.
[01:29:01.200 --> 01:29:09.200]  That's right. You copy and paste it. And all of a sudden, anything that looks like text that I can't just copy and paste feels broken.
[01:29:09.200 --> 01:29:21.200]  Right. And it sounds to me like that's what you're saying, like with this PDF form thing where like we've all had PDF forms that have been electronic from creation output to PDF.
[01:29:21.200 --> 01:29:30.200]  Now you've got it in the forms. The fields are there because it's digital. Right. But now, you know, you take a picture of a piece of paper and the fields are there.
[01:29:30.200 --> 01:29:41.200]  Well, you know, you see the field. Right. You know, when you tap on the field, what you want to have happen. Now the device knows what you mean. Now it can see the form and it knows what to do for you.
[01:29:41.200 --> 01:29:51.200]  And I think that's how we view all these things are transparent part of meeting the most natural expression of your experience of your of your intent when you're using the device.
[01:29:51.200 --> 01:30:02.200]  And are you saying that, like, for example, a super common field on any form would be one that's labeled date. And so if there's a field labeled date, it might already prompt you like today's date.
[01:30:02.200 --> 01:30:10.200]  Yeah. First name, last name, credit card. It'll give away your Social Security number. I mean, all the stuff is just.
[01:30:10.200 --> 01:30:20.200]  No, no, you have control. He's kidding.
[01:30:20.200 --> 01:30:33.200]  But speaking of privacy is a fundamental human right.
[01:30:33.200 --> 01:30:40.200]  Speaking of privacy, though, it's another recurring theme every year at this show that I do with you guys.
[01:30:40.200 --> 01:30:54.200]  Where Apple's top prioritization of privacy and you guys reiterate it every time it's a human right.
[01:30:54.200 --> 01:31:12.200]  But going back in time, like a decade to before I when it was the shift towards cloud computing and the knock was, well, all of these companies that are the leaders in cloud computing are the ones that aren't as focused on privacy.
[01:31:12.200 --> 01:31:24.200]  And that's why Apple might be behind. And now, you know, years ago, I mean, I think iCloud is invisible at this point, which is the biggest compliment that I pay to it.
[01:31:24.200 --> 01:31:34.200]  And it, you know, and you said we talked about differential privacy several years ago. And you really amazed me with the math, you know, off the top of your head.
[01:31:34.200 --> 01:31:42.200]  Like, I was like, I didn't tell them to prepare for that question. And it's still there. But I kind of hear it again now.
[01:31:42.200 --> 01:31:47.200]  And it's as though people don't remember that you guys went through this like, no, no, no.
[01:31:47.200 --> 01:31:55.200]  Our focus on privacy isn't going to hold us back from succeeding in cloud computing and cloud storage.
[01:31:55.200 --> 01:32:17.200]  And I feel like the knock now is that Apple's focus on our rock unshakable focus on privacy is going to hold you back from advancing in AI, where so many of the services and products that are popping up the chats and stuff like that.
[01:32:17.200 --> 01:32:31.200]  And so I'm curious to hear your argument that, no, Apple's stance on privacy isn't going to slow you down at taking advantage of state of the art AI.
[01:32:31.200 --> 01:32:39.200]  No, Apple stayed on privacy will not slow us down.
[01:32:39.200 --> 01:32:47.200]  The answer was in the question, wasn't it? Somebody knows we're running long.
[01:32:47.200 --> 01:33:05.200]  No, not at all. I mean, just not at all. If you look at everything that is being done now, it's it's become less and less the case over time, not more and more that the data that's interesting to train these models is data that is, you know,
[01:33:05.200 --> 01:33:18.200]  publicly available data, not personal data. We do not need your personal data to make our system smart. And when we need to get specific data for a specific person, hand tracking data, eye tracking data, we're not doing that by spying on people.
[01:33:18.200 --> 01:33:37.200]  We're, you know, we're going to go out and get it the right way. And we can do that, you know, being respecting users privacy takes thinking about it carefully, doing great engineering and design up front, but it doesn't stop you from building a great experience.
[01:33:37.200 --> 01:34:05.200]  And so that's, and I think one of the things that people that makes you guys hard for people to, to guess where you are, is that you hold your fire until you're ready, and you're not coming out with stuff like, for example, let's just say you're a company
[01:34:05.200 --> 01:34:22.200]  that already makes VR headset type things and, and everybody thinks next Monday, your biggest computer rival company is going to come out with a big new VR headset type thing.
[01:34:22.200 --> 01:34:36.200]  And you're like, let's just tell them what we're going to come out with in September.
[01:34:36.200 --> 01:34:40.200]  Farfetch'd hypothetical.
[01:34:40.200 --> 01:35:02.200]  I'm a creative writer, but Apple doesn't do that. I was going to say Apple doesn't seem to do that, but Apple doesn't do that. And so if the whole industry, you know, starting like late last year and it's AI this and AI chat that and language models and language and training these massive things that are extremely computationally expensive.
[01:35:02.200 --> 01:35:12.200]  And it is, you know, only the biggest companies can possibly fund. I'm sure I'm sure it was tremendously expensive to train the model for this new just the autocorrect feature.
[01:35:12.200 --> 01:35:27.200]  I mean, it's not something that you can do in your garage. You need massive, massive paralyzation. But you guys aren't going to pop pipe up in the middle of January like us to, you know, we've got AI stuff coming.
[01:35:27.200 --> 01:35:41.200]  The point is to get the point is to get it right, right to and I think it's, you know, there are a lot of exciting kind of experiments being carried on in public and a lot of press releases being done. But for us, it is deliver the deliver the experience.
[01:35:41.200 --> 01:35:57.200]  Do you think that there's and I know it was like a very oft repeated Steve Jobs axiom that technology is not enough, and it's you can't start with technology and work backwards to a product.
[01:35:57.200 --> 01:36:00.200]  You've got to start with a vision for a product.
[01:36:00.200 --> 01:36:13.200]  And if parts of it can't be realized, then you invent technology to realize that part of it. And is that sort of where people are distracted by AI at the moment where the technology itself is amazing.
[01:36:13.200 --> 01:36:15.200]  I mean, there's no doubt about it.
[01:36:15.200 --> 01:36:38.200]  But what a lot of it is like, Well, what's the product. Yeah, I mean, this is not a new dynamic in our industry, right? If you look at any area of technology, I think what we've seen is whether it was the microprocessor bitmap displays touch technology, the internet, all of these things.
[01:36:38.200 --> 01:37:00.200]  In the end, had a lot of experimentation going on in public. And then in the end, were great areas for Apple to figure out the right way to deliver compelling customer value.
[01:37:00.200 --> 01:37:23.200]  Shifting gears zooming up a little bit, I'm going to talk about something I don't think you guys have a name for it. But I'm going to call it the Apple experience. And one of the other oft repeated things I would say exemplified several years ago at WWDC with you on stage with are the iPad and Mac OS converging into one.
[01:37:23.200 --> 01:37:36.200]  No, right. It's one of my favorite slides of all time. Big No, had a big period was yes, made a big thud dust dropped up.
[01:37:36.200 --> 01:37:59.200]  But there is an overarching Apple experience that these multiple platforms, the Mac is the Mac iPad is iPad. I mean, and and I think as the years have gone by with the forking of iOS to iOS and iPad OS iPad OS is justifying that more and more each year as a distinct
[01:37:59.200 --> 01:38:14.200]  Aside from screen, you know, take the biggest iPhone and the iPad mini where they're as close as they can get screen size. It's a it feels different. They feel like different platforms. The naming seems justified.
[01:38:14.200 --> 01:38:32.200]  But there's an overarching Apple experience that you guys are cool. It's not just happening. It's not just falling out of nowhere by coincidence, but there's a familiarity. You know, you're using notes across all of these apps and it's as consistent as can be.
[01:38:32.200 --> 01:38:44.200]  And I think that really shows this week with vision OS and with my brief demo with it how familiar some of it is even though the overall experience was
[01:38:44.200 --> 01:39:03.200]  Silence me and flabbergasted me, but yet my memories of is like, oh, it's just notes. Yep, 100% and I think we want each of the platforms to be the best embodiment of what they can be, but in a way that is as consistent as it can be with.
[01:39:03.200 --> 01:39:25.200]  So you carry from one to the other and I am finding that every year, the movement from one of my devices to another is is without thought, you know that you you just move from one to the other, your data is there, the experience is consistent, the even the way that
[01:39:25.200 --> 01:39:34.200]  Different gestures and actions they are. Oh, well, that's of course how you would do that on a Mac. That thing I just did on my iPad, the way I do it on the Mac is this way and that's how you do it.
[01:39:34.200 --> 01:39:51.200]  And so this has is not an accident. It's part of the way that we view that we want the entire experience to feel like it is the work of a single hand the design, you know, designing hand that said I am I am penning
[01:39:51.200 --> 01:40:09.200]  The right Mac experience and the right iPad experience the right Apple Watch experience, but with it with a common set of values across all of them and I feel better than ever this year, the way that is shining through.
[01:40:09.200 --> 01:40:21.200]  So I, I feel like it's only fair. We talked a year ago about the new then new system preferences in Mac OS.
[01:40:21.200 --> 01:40:45.200]  No, you laugh I do recall I was skeptical and I thought it was my favorite part of last year show I thought your, your answer to the question of why why make it look like this is this just a superficial iOS application of a 20 plus year Mac stalwart
[01:40:45.200 --> 01:41:00.200]  Yeah, application, and I won't repeat what you said but it you know it reassured me at the show and I will say a year later and you know full time on on Ventura, since it came out.
[01:41:00.200 --> 01:41:10.200]  You were right, I now.
