[00:00.000 --> 00:01.680]  David, happy Thanksgiving.
[38:04.680 --> 38:08.880]  Yeah, it drives me crazy, and it's something that,
[38:08.880 --> 38:11.100]  I really wish they would just stop doing that
[38:11.100 --> 38:13.680]  on the Series 7, it was one of the first things I noticed
[38:13.680 --> 38:17.040]  when I got the watch that it made sense on the Series 5
[38:17.040 --> 38:19.040]  where they really were distinct states,
[38:19.040 --> 38:23.160]  and on many of the faces, Apple was making
[38:23.160 --> 38:26.480]  meaningful changes to it, like they would hollow out
[38:26.480 --> 38:29.480]  parts of the UI, or they would do things to save power,
[38:29.480 --> 38:31.740]  but if you're in a place where the two
[38:31.740 --> 38:33.920]  are essentially identical, and it's not really
[38:33.920 --> 38:36.300]  anything changing except this having the second hand
[38:36.300 --> 38:39.380]  sort of fade in and out, it feels, yeah,
[38:39.380 --> 38:40.760]  it feels kind of pointless to do,
[38:40.760 --> 38:42.660]  and I hope at some point that goes away,
[38:42.660 --> 38:45.100]  or it's an option that happens, or something,
[38:45.100 --> 38:47.560]  but it definitely bothers me too,
[38:47.560 --> 38:49.600]  that on a lot of these faces, it doesn't have to work
[38:49.600 --> 38:52.760]  that way, and especially I see this in WatchOS 8,
[38:52.760 --> 38:54.660]  Apple added the ability for third party apps
[38:54.660 --> 38:56.540]  to integrate with the always on display,
[38:56.540 --> 38:59.600]  and in my own apps, I can experiment with what it's like
[38:59.600 --> 39:03.160]  between making the UI change dramatically between the two,
[39:03.160 --> 39:05.680]  and I found on a Series 7, the best thing to do
[39:05.680 --> 39:08.120]  is to make as few changes as possible,
[39:08.120 --> 39:10.160]  and it makes it feel like the watch is just
[39:10.160 --> 39:13.000]  sort of always ready for you, and it feels
[39:13.000 --> 39:15.160]  way more responsive and capable as a result.
[39:15.160 --> 39:17.840]  I like one of the changes, and it makes sense,
[39:17.840 --> 39:22.640]  but let's say you have a solid color background,
[39:22.640 --> 39:25.560]  like there's a watch face called color,
[39:25.560 --> 39:28.960]  and your entire watch face from round corner
[39:28.960 --> 39:32.080]  to round corner is blue, when it goes to always on,
[39:32.080 --> 39:34.320]  that goes to black for power saving reasons
[39:34.320 --> 39:36.840]  because black is low power, that makes sense,
[39:36.840 --> 39:40.960]  but if you already have one of the more typical
[39:40.960 --> 39:43.520]  or probably more common watch faces with a black background,
[39:43.520 --> 39:45.760]  it doesn't really make sense to worry about that
[39:45.760 --> 39:47.320]  at this point, in my opinion.
[39:47.320 --> 39:48.680]  Yeah, I totally agree.
[39:49.920 --> 39:52.600]  The other thing, and while we're talking about the corners,
[39:52.600 --> 39:55.820]  and it occurred to me to want to talk about Apple Watch
[39:55.820 --> 39:58.380]  this week on the show is just,
[39:59.520 --> 40:01.120]  my mother-in-law was asking me for tips
[40:01.120 --> 40:04.860]  she's buying somebody else a gift, an Apple Watch gift,
[40:04.860 --> 40:08.680]  and wanted my advice on which one to get,
[40:08.680 --> 40:11.800]  and she was leaning towards the Series 3
[40:11.800 --> 40:14.260]  because there was some kind of promotion she saw somewhere
[40:14.260 --> 40:15.980]  where it was only 150 bucks,
[40:15.980 --> 40:17.400]  but that's too good to be true,
[40:17.400 --> 40:19.520]  and when she actually clicked through,
[40:19.520 --> 40:22.640]  it was actually $195,
[40:22.640 --> 40:25.520]  which is only $5 less than Apple's retail price
[40:25.520 --> 40:26.660]  for the Series 3,
[40:27.800 --> 40:31.920]  and I talked her into buying this person
[40:31.920 --> 40:36.800]  at the Apple Watch SE, which is $280.
[40:36.800 --> 40:40.480]  Everybody complained after the keynote in September,
[40:40.480 --> 40:42.640]  everybody's de-jerk reaction was,
[40:42.640 --> 40:44.640]  ah, still the Series 3?
[40:47.120 --> 40:50.520]  Two months later, it's even more annoying to me
[40:50.520 --> 40:54.040]  because I see the problems that a typical non-expert,
[40:54.040 --> 40:57.280]  somebody who doesn't have John Gruber as their son-in-law
[40:57.280 --> 41:00.800]  to ask for advice, that they might buy one,
[41:00.800 --> 41:04.400]  and percentage-wise, going from 200 to 280
[41:04.400 --> 41:05.880]  is pretty significant, right?
[41:05.880 --> 41:09.840]  I mean, that's a 40% increase in price.
[41:09.840 --> 41:11.120]  So I get it, right?
[41:11.120 --> 41:13.560]  And it's easy for me to spend other people's money
[41:13.560 --> 41:15.340]  and tell my mother-in-law to spend it,
[41:15.340 --> 41:18.040]  but once I explained to her some of the differences
[41:18.040 --> 41:20.480]  and that it just was gonna have way more of a future
[41:20.480 --> 41:22.760]  ahead of it and significantly better battery life,
[41:22.760 --> 41:24.520]  she was like, okay, that's worth it.
[41:24.520 --> 41:29.520]  But as a developer, somebody who writes watch complications
[41:29.600 --> 41:32.580]  and even custom apps for the Apple Watch,
[41:32.580 --> 41:34.800]  I'll bet your custom app does not support Series 3.
[41:34.800 --> 41:37.640]  Tell me the frustrations you have as a developer
[41:37.640 --> 41:42.640]  still supporting Series 3 and knowing that the kick
[41:42.840 --> 41:45.040]  in the pants in September, two months ago,
[41:45.040 --> 41:48.600]  if they said Series 3 is still the base model,
[41:48.600 --> 41:50.480]  then it's not just that they're gonna sell it
[41:50.480 --> 41:52.440]  for the next year, but they're gonna support it
[41:52.440 --> 41:54.560]  for a couple of years after that.
[41:54.560 --> 41:57.440]  Yes, I mean, I think that's the part of it
[41:57.440 --> 42:01.440]  that it doesn't change necessarily right now
[42:01.440 --> 42:02.260]  what I would do.
[42:02.260 --> 42:04.700]  I mean, it's frustrating, and I really don't like supporting
[42:04.700 --> 42:06.120]  a Series 3 Apple Watch
[42:06.120 --> 42:08.240]  because the screen is totally different, it's tiny,
[42:08.240 --> 42:10.960]  the device is slower, but really, yeah,
[42:10.960 --> 42:15.400]  that even if they stop selling it, say, next fall,
[42:15.400 --> 42:18.540]  that it goes away, it probably is gonna be something
[42:18.540 --> 42:22.160]  that watchOS supports for at least another year after that,
[42:22.160 --> 42:23.040]  and that's optimistic.
[42:23.040 --> 42:24.880]  Realistically, I think it's gonna be another two years
[42:24.880 --> 42:28.400]  after that, and it's continuing to sell well.
[42:28.400 --> 42:31.580]  Users of Pedometer++, which is probably the best case
[42:31.580 --> 42:33.040]  for judging this kind of thing,
[42:33.040 --> 42:37.920]  is about 20% of Apple Watch users are on a Series 3.
[42:37.920 --> 42:39.320]  That's a meaningful percentage,
[42:39.320 --> 42:41.760]  and it's not getting very much smaller over time.
[42:41.760 --> 42:44.160]  I think what really frustrates me about the Apple Watch,
[42:44.160 --> 42:45.960]  Series 3 sticking around, is there's parts
[42:45.960 --> 42:47.560]  of the development part that I don't like,
[42:47.560 --> 42:50.440]  that obviously it's annoying, it's a different thing.
[42:50.440 --> 42:54.360]  I can make better apps on the modern rounded corner,
[42:54.360 --> 42:57.760]  sort of edge-to-edge screens that are more capable.
[42:57.760 --> 42:59.800]  I can do a lot more with that, and that's exciting to me,
[42:59.800 --> 43:01.880]  and it's annoying that when I do a design,
[43:01.880 --> 43:03.440]  essentially I have to come up with two designs,
[43:03.440 --> 43:06.080]  one for the Series 3 and one for everything else.
[43:06.080 --> 43:10.200]  It annoys me what the impression the Series 3 gives people
[43:10.200 --> 43:11.720]  of what an Apple Watch can be,
[43:11.720 --> 43:14.840]  because an Apple Watch, I think, is a great device
[43:14.840 --> 43:17.640]  that can do so many things, it can be so many,
[43:17.640 --> 43:19.520]  do you take lots of different roles,
[43:19.520 --> 43:23.560]  that it can be something that is just a notification hub
[43:23.560 --> 43:24.720]  if you're super connected,
[43:24.720 --> 43:26.240]  it can be a health management thing,
[43:26.240 --> 43:28.560]  it can be something that's trying to,
[43:28.560 --> 43:30.680]  I love that both of my parents wear an Apple Watch
[43:30.680 --> 43:34.400]  that has fall detection on it, that makes me feel good,
[43:34.400 --> 43:36.640]  and that's kind of important,
[43:36.640 --> 43:39.240]  but a Series 3 doesn't have a lot of that stuff,
[43:39.240 --> 43:41.440]  it doesn't have the ECG,
[43:41.440 --> 43:43.240]  it doesn't have blood oxygen sensor,
[43:43.240 --> 43:46.360]  I'm not sure it can do fall detection, actually,
[43:46.360 --> 43:51.200]  and so often I feel like Apple does this great trick
[43:51.200 --> 43:53.480]  in the app, since you go into the Apple Store
[43:53.480 --> 43:55.440]  and there's a good, better, best,
[43:55.440 --> 43:57.600]  and that works really well because you're always coming out
[43:57.600 --> 44:00.720]  with something good, at least.
[44:00.720 --> 44:02.560]  I feel like the current structure in the Apple Store
[44:02.560 --> 44:07.080]  is it's like, it's kind of bad, alright, and excellent,
[44:07.080 --> 44:09.480]  and that doesn't feel as good,
[44:09.480 --> 44:12.440]  that I think if your first Apple Watch was a Series 3,
[44:12.440 --> 44:14.360]  it's souring you a little bit to it,
[44:14.360 --> 44:16.400]  and obviously the Series 3 was great at its time,
[44:16.400 --> 44:19.200]  that it's like, I'm judging it
[44:19.200 --> 44:20.840]  because I know what's possible,
[44:20.840 --> 44:22.680]  not necessarily on its own.
[44:22.680 --> 44:27.400]  If the Series 7 or the SE or the 4 or 5 didn't exist,
[44:27.400 --> 44:29.560]  then the Series 3 was a good product,
[44:29.560 --> 44:31.640]  and that would have had different expectations
[44:31.640 --> 44:34.240]  for what your Apple Watch life could be,
[44:34.240 --> 44:36.000]  and so it's kind of just a frustrating thing
[44:36.000 --> 44:39.000]  that it's gonna be there and it's gonna be used
[44:39.000 --> 44:41.400]  by a lot of people for a long time,
[44:41.400 --> 44:45.560]  and obviously it's easy for me to say,
[44:45.560 --> 44:46.880]  oh, they should have just gotten rid of it
[44:46.880 --> 44:49.160]  and dropped it down, but it's like,
[44:49.160 --> 44:51.520]  I think in my ideal world, we would be in a place
[44:51.520 --> 44:53.760]  where all of the Apple Watches would have always on now,
[44:53.760 --> 44:55.600]  that it would be, the three for sale
[44:55.600 --> 44:57.760]  would be the Series 7, 6, and 5,
[44:57.760 --> 44:59.520]  like, you can't make a wrong choice there.
[44:59.520 --> 45:01.320]  You would just sort of be trading off
[45:01.320 --> 45:02.400]  on what sensors you have,
[45:02.400 --> 45:04.600]  or if you want an edge-to-edge screen,
[45:04.600 --> 45:05.720]  and that would be great,
[45:05.720 --> 45:07.960]  and that's sort of what we have on the iPhone side,
[45:07.960 --> 45:09.480]  but it's just, it really frustrates me
[45:09.480 --> 45:12.360]  that that's not what we have for the Apple Watch.
[45:12.360 --> 45:13.840]  It feels like there's a little bit
[45:13.840 --> 45:18.560]  of product marketing spite in the limitations of the SE,
[45:18.560 --> 45:23.560]  because the SE is sort of based on the Series 5,
[45:23.560 --> 45:28.560]  the Series 5, but it's like a Series 5 spec-wise,
[45:29.000 --> 45:31.680]  minus certain features, right?
[45:31.680 --> 45:33.720]  Minus the always on screen,
[45:34.680 --> 45:39.680]  minus the EKG, ECG, whatever the initials are for that.
[45:41.280 --> 45:43.040]  Whereas with the iPhone,
[45:43.040 --> 45:46.400]  when they've come out with SE models both times,
[45:46.400 --> 45:50.360]  it was a better version of the thing that it was based on.
[45:50.360 --> 45:54.720]  So the original SE was based on the 5S form factor,
[45:54.720 --> 45:56.760]  but it was a faster 5S,
[45:56.760 --> 46:00.440]  and the current iPhone SE is based on,
[46:02.160 --> 46:04.760]  I guess, an iPhone 8.
[46:04.760 --> 46:05.600]  Is that right?
[46:05.600 --> 46:06.440]  Yes, I think so.
[46:06.440 --> 46:07.440]  It's like an iPhone 8
[46:07.440 --> 46:10.000]  with last year's A-series system on a chip.
[46:10.000 --> 46:12.680]  So it's like an iPhone 8, but faster,
[46:12.680 --> 46:16.560]  whereas it's not that the SE Watch is slower.
[46:16.560 --> 46:17.680]  It's the same speed,
[46:17.680 --> 46:20.240]  but it is missing some pretty cool features,
[46:20.240 --> 46:22.040]  and so it's bad enough
[46:22.040 --> 46:24.200]  that it's that far behind the state of the art
[46:24.200 --> 46:26.920]  with no always on and no ECG
[46:27.880 --> 46:30.480]  if that were the base model at 199,
[46:30.480 --> 46:33.120]  let alone that there's the Series 3.
[46:33.120 --> 46:36.160]  In general, I mean, people get frustrated
[46:36.160 --> 46:39.360]  with, Android phone makers have been notorious.
[46:39.360 --> 46:40.800]  I think they've gotten better about it,
[46:40.800 --> 46:43.840]  but everybody who's followed tech for the last decade
[46:43.840 --> 46:47.400]  of the smartphone era knows that Android phones
[46:47.400 --> 46:51.800]  tend not to get OS updates as many years into the future
[46:51.800 --> 46:53.800]  as some people would like,
[46:53.800 --> 46:57.640]  and Apple has done an increasingly better job of that,
[46:57.640 --> 47:01.080]  of keeping older devices running great.
[47:01.080 --> 47:02.720]  There used to be a reputation
[47:02.720 --> 47:05.240]  that if you had like a four or five-year-old iPhone
[47:05.240 --> 47:07.200]  and updated the OS, sure, they'll give it to you,
[47:07.200 --> 47:08.480]  but everything runs real slow
[47:08.480 --> 47:11.320]  because they didn't really test it well or something.
[47:11.320 --> 47:13.200]  There was something to that.
[47:13.200 --> 47:16.160]  Whereas for some benchmarks for a post,
[47:16.160 --> 47:17.920]  I actually still haven't gotten around
[47:17.920 --> 47:18.760]  to publishing last week.
[47:18.760 --> 47:21.680]  I actually charged up a bunch of my older iPhones,
[47:22.720 --> 47:26.640]  and I upgraded my iPhone 10 to iOS 15.
[47:26.640 --> 47:28.000]  It runs great.
[47:28.000 --> 47:29.400]  There's absolutely no hiccups.
[47:29.400 --> 47:31.480]  It's actually really great.
[47:31.480 --> 47:34.960]  My son had been using an iPhone 10 until recently.
[47:34.960 --> 47:38.280]  We got him this year's new one, and he had no complaints,
[47:38.280 --> 47:42.040]  and it was his years-old iPhone 10
[47:42.040 --> 47:44.360]  running the latest OS was running great.
[47:44.360 --> 47:45.680]  We praise Apple for that,
[47:45.680 --> 47:46.800]  and I think they deserve it,
[47:46.800 --> 47:48.040]  and I think they do a better job
[47:48.040 --> 47:50.280]  than any of their competition.
[47:50.280 --> 47:51.720]  But on the other hand, the flip side
[47:51.720 --> 47:54.520]  is that sinking feeling of, well,
[47:54.520 --> 47:56.080]  that means if they're selling the iPhone,
[47:56.080 --> 47:57.280]  the Series 3 right now,
[47:57.280 --> 48:00.520]  it's gonna be around for two or three years to come at least.
[48:00.520 --> 48:01.800]  Yeah.
[48:01.800 --> 48:04.040]  Yeah, and it's just disheartening.
[48:04.040 --> 48:06.720]  And the other thing that Apple doesn't do
[48:06.720 --> 48:08.760]  is, like you said, at their best,
[48:08.760 --> 48:11.960]  and Steve Jobs would say it,
[48:11.960 --> 48:15.480]  it was explicit on the slides in many of the older keynotes,
[48:15.480 --> 48:16.800]  good, better, best,
[48:16.800 --> 48:19.920]  and that the worst thing you'll come out with is good.
[48:19.920 --> 48:22.840]  It's really hard to say that the Series 3 is good.
[48:22.840 --> 48:24.320]  I mean, people might enjoy it,
[48:24.320 --> 48:27.440]  but not knowing what they could be enjoying, right?
[48:27.440 --> 48:29.760]  In the same way that when the Series 3 was brand new,
[48:29.760 --> 48:31.840]  everybody was like, oh, man, this is so much better
[48:31.840 --> 48:34.800]  than the first two generations of Apple Watch.
[48:34.800 --> 48:36.080]  Yeah.
[48:36.080 --> 48:39.840]  And the other thing, too, is Apple doesn't give you,
[48:39.840 --> 48:42.360]  I mean, there's so many Apple stores now,
[48:42.360 --> 48:43.640]  and so many people work there,
[48:43.640 --> 48:45.720]  that maybe somebody's got a horror story
[48:45.720 --> 48:47.880]  of getting a bad Apple employee
[48:47.880 --> 48:49.720]  who upsold them on something,
[48:49.720 --> 48:51.520]  but in my experience,
[48:51.520 --> 48:54.960]  Apple never badmouths any of their products, you know?
[48:54.960 --> 48:56.000]  So they're not going to,
[48:56.000 --> 48:57.800]  if you come in there and really seem hell-bent
[48:57.800 --> 49:00.760]  on spending only $199 on a Series 3,
[49:00.760 --> 49:03.600]  they'll be happy to tell you what you would get
[49:03.600 --> 49:07.280]  and tell you what the features are in the Apple Watch SE
[49:07.280 --> 49:08.600]  that are better and might be,
[49:08.600 --> 49:10.800]  you might think are worth 80 bucks,
[49:10.800 --> 49:13.720]  but they're not going to talk you out of the Series 3.
[49:13.720 --> 49:14.560]  Yeah.
[49:14.560 --> 49:16.600]  Which in general is good, you know,
[49:16.600 --> 49:20.320]  that if you really want like a $999 MacBook Air,
[49:20.320 --> 49:21.560]  which is a great computer,
[49:21.560 --> 49:24.760]  and you really don't need more RAM
[49:24.760 --> 49:26.480]  or more than the default storage,
[49:26.480 --> 49:27.880]  they'll just happily sell it to you,
[49:27.880 --> 49:30.520]  and you might be very happy,
[49:30.520 --> 49:32.640]  you should probably be very happy with it.
[49:32.640 --> 49:36.520]  Whereas the Series 3, hmm, feels a little,
[49:36.520 --> 49:39.040]  and again, I'm sure there's a complicated backstory.
[49:39.040 --> 49:41.600]  Who knows if COVID made it worse, you know,
[49:41.600 --> 49:43.480]  and maybe there was a plan for the SE
[49:43.480 --> 49:47.440]  to move further down the pipeline to $199,
[49:48.520 --> 49:50.720]  but it's like the one sour note
[49:50.720 --> 49:53.160]  in the whole current Apple Watch lineup.
[49:54.240 --> 49:55.080]  Yeah.
[49:55.080 --> 49:55.920]  All right, let me take a break here.
[49:55.920 --> 49:57.480]  Thank our next sponsor.
[49:57.480 --> 49:59.760]  It's another repeat sponsor from way back.
[49:59.760 --> 50:02.000]  Love this company, Hover.
[50:02.000 --> 50:06.040]  Hover is the best domain registrar in the world.
[50:06.040 --> 50:08.600]  It's a great jumping off point for a ton of entrepreneurs
[50:08.600 --> 50:09.600]  starting a new business,
[50:09.600 --> 50:11.840]  but also for hobbyists and enthusiasts,
[50:11.840 --> 50:14.160]  somebody is just making a website for themselves
[50:14.160 --> 50:18.040]  or for a gag or for an app or whatever you're doing.
[50:18.040 --> 50:20.920]  If you need a website, you need a domain name,
[50:20.920 --> 50:23.560]  and Hover is a great place to get started.
[50:23.560 --> 50:27.240]  They offer over 300 domain name extensions
[50:27.240 --> 50:29.120]  to choose from when building your brand online.
[50:29.120 --> 50:31.040]  I remember when there were like five,
[50:31.040 --> 50:32.760]  and two of them you couldn't even register
[50:32.760 --> 50:35.440]  because like.edu was only for accredited schools
[50:35.440 --> 50:38.520]  and.mil was for the military.
[50:38.520 --> 50:43.000]  300 top level domain extensions at Hover.
[50:43.000 --> 50:44.200]  So no matter what you want to build,
[50:44.200 --> 50:45.560]  there's a domain name waiting for it.
[50:45.560 --> 50:47.640]  You'll find excellent tech support,
[50:47.640 --> 50:49.880]  willing to answer any questions you might have.
[50:49.880 --> 50:51.920]  Their support team doesn't upsell you.
[50:51.920 --> 50:54.280]  They only work hard to help you get online.
[50:54.280 --> 50:58.040]  And so stuff like, who is privacy protection?
[50:58.040 --> 50:59.280]  You don't have to pay extra for that.
[50:59.280 --> 51:00.680]  That's all just included.
[51:00.680 --> 51:02.320]  They want you to have the good experience.
[51:02.320 --> 51:03.400]  They want it to be private.
[51:03.400 --> 51:05.280]  They don't upsell you on those things.
[51:05.280 --> 51:07.560]  And they just have a great user interface.
[51:07.560 --> 51:09.920]  It's really just a terrific way.
[51:09.920 --> 51:14.040]  So you type foo.com and that's not available,
[51:14.040 --> 51:17.080]  but their suggestions for what is available,
[51:17.080 --> 51:21.200]  maybe with the same root word on the left side of the dot,
[51:21.200 --> 51:23.280]  but a different top level domain
[51:23.280 --> 51:26.440]  or something else you can do to get that word
[51:26.440 --> 51:28.240]  and put some other word in front of it.
[51:28.240 --> 51:30.760]  It's just really, really intelligent, the suggestions.
[51:30.760 --> 51:32.440]  It's not like the sort of thing
[51:32.440 --> 51:34.400]  where they just put a random number
[51:34.400 --> 51:36.960]  after the word you want and expect that,
[51:36.960 --> 51:41.960]  foo2536758.com might be a fine domain name for you.
[51:42.960 --> 51:46.200]  Forget it, no, they have a great interface for this,
[51:46.200 --> 51:48.040]  great tech support.
[51:48.040 --> 51:50.880]  Here's where you go, hover.com, H-O-V-E-R,
[51:50.880 --> 51:53.520]  hover.com slash talk show.
[51:53.520 --> 51:56.520]  And use that domain, you get 10% with that referral link
[51:56.520 --> 51:58.440]  on all new purchases.
[51:58.440 --> 52:00.040]  They will even help you, their tech support.
[52:00.040 --> 52:02.040]  If you've got domains at a registrar
[52:02.040 --> 52:05.120]  who you're not happy with, Hover will help you.
[52:05.120 --> 52:07.280]  Hold your hand every step of the way
[52:07.280 --> 52:09.000]  to transfer them over to Hover.
[52:09.000 --> 52:10.880]  You'll be so much happier for it.
[52:10.880 --> 52:13.640]  Once again, hover.com slash talk show.
[52:15.200 --> 52:18.480]  So before we leave your wild camping trip and post,
[52:18.480 --> 52:21.400]  I wanna say the thing that caught my eye first
[52:21.400 --> 52:24.080]  when I read the blog post were there's two photographs
[52:24.080 --> 52:26.440]  that illustrate it of the Scottish Highlands,
[52:26.440 --> 52:29.280]  and they are absolutely gorgeous.
[52:29.280 --> 52:30.960]  Did you take them with the iPhone?
[52:30.960 --> 52:33.960]  Yeah, yeah, those are just with the 13 Pro
[52:33.960 --> 52:34.840]  that I have with me.
[52:34.840 --> 52:37.640]  The first one, both of them reminded me
[52:37.640 --> 52:41.640]  of there's an iconic scene in the James Bond movie Skyfall
[52:41.640 --> 52:45.320]  where Bond and M are driving through Scotland
[52:45.320 --> 52:48.720]  to his ancestral home, and he stops the car
[52:48.720 --> 52:52.680]  so he can pose, and it's moody and dark and glum
[52:52.680 --> 52:53.640]  and very Scotland-like.
[52:53.640 --> 52:56.640]  But your photos make Scotland look sunny and warm,
[52:56.640 --> 53:00.560]  even though it looks like it's a very similar area.
[53:00.560 --> 53:04.560]  Yeah, well, amusingly, so the first picture in the post
[53:04.560 --> 53:08.600]  is actually the backside of exactly the same valley
[53:08.600 --> 53:12.320]  that James Bond is in, in that scene in Skyfall
[53:12.320 --> 53:15.800]  that when I was doing my research for this particular trip,
[53:15.800 --> 53:17.160]  I kept seeing on Google Maps,
[53:17.160 --> 53:19.360]  there would be the point of interest marker.
[53:19.360 --> 53:22.400]  It would be like the James Bond Skyfall spot,
[53:22.400 --> 53:24.760]  and people would presumably be going to pose
[53:24.760 --> 53:28.400]  by their own cars, looking pensive like James Bond.
[53:28.400 --> 53:30.240]  So yeah, so it was exactly where I was,
[53:30.240 --> 53:34.840]  and I will say, though, those two pictures
[53:34.840 --> 53:36.720]  maybe give a slightly rosier impression
[53:36.720 --> 53:40.360]  of what Scotland is like in November than is the reality,
[53:40.360 --> 53:43.080]  that these are the moments when there was beautiful,
[53:43.080 --> 53:45.000]  gorgeous light breaking through the clouds.
[53:45.000 --> 53:48.080]  And like that first picture, it's lovely, it looks sunny,
[53:48.080 --> 53:49.960]  and then a couple of hours later,
[53:49.960 --> 53:52.840]  I was forced to break camp and move down into the valley
[53:52.840 --> 53:56.600]  because I had howling winds and icy rain.
[53:56.600 --> 54:00.840]  So Scotland definitely does have that moodiness,
[54:00.840 --> 54:02.160]  but if you give it a chance,
[54:02.160 --> 54:05.040]  it can have some gorgeous moments too.
[54:05.040 --> 54:07.320]  It has its moments, as you're trying to say.
[54:08.600 --> 54:09.440]  Absolutely beautiful.
[54:09.440 --> 54:12.280]  I was just watching Skyfall last week, actually,
[54:12.280 --> 54:14.480]  after I posted a blog post
[54:14.480 --> 54:16.600]  about the cinematography of Skyfall and Spectre,
[54:16.600 --> 54:19.040]  and of course it made me want to watch them again.
[54:19.960 --> 54:22.160]  And it's funny, when you have movies
[54:22.160 --> 54:26.160]  that you've watched a million times over the years,
[54:26.160 --> 54:28.720]  could be like Back to the Future or Raiders of the Lost Ark
[54:28.720 --> 54:29.880]  or any of your favorites.
[54:29.880 --> 54:32.400]  And for me, of course, everybody knows I'm a big Bond fan,
[54:32.400 --> 54:34.600]  so I've watched all of them many times,
[54:34.600 --> 54:35.740]  including the newish ones.
[54:35.740 --> 54:38.900]  But it's funny, the more familiar you are,
[54:38.900 --> 54:41.600]  you start to have funny thoughts and notice weird things
[54:41.600 --> 54:43.440]  that just didn't strike you
[54:43.440 --> 54:45.040]  like the first or second time you watched it.
[54:45.040 --> 54:47.500]  And that scene where Bond, again,
[54:47.500 --> 54:49.520]  pensive is the exact right adjective,
[54:49.520 --> 54:53.280]  stops the car, gets out, and it just looks pensive and moody
[54:53.280 --> 54:56.280]  while Scotland looks pensive and moody
[54:56.280 --> 54:58.940]  and foreboding and gloomy.
[54:58.940 --> 55:01.280]  It occurred to me, why did he stop the car and get out?
[55:01.280 --> 55:02.480]  Yeah.
[55:02.480 --> 55:03.680]  Except...
[55:03.680 --> 55:04.800]  What's he doing?
[55:04.800 --> 55:06.160]  Except to pose.
[55:07.240 --> 55:09.080]  Yeah, no, he was just taking out his iPhone
[55:09.080 --> 55:10.360]  to take a quick snap,
[55:10.360 --> 55:11.400]  because it was just, you know,
[55:11.400 --> 55:14.160]  the light happened to look good at that moment.
[55:14.160 --> 55:16.440]  Right, imagine how different that scene would play
[55:16.440 --> 55:17.960]  if Bond got out of the car
[55:19.320 --> 55:21.560]  and took his phone out to take a picture.
[55:21.560 --> 55:25.040]  Yeah, instead of being all moody and foreboding
[55:25.040 --> 55:27.640]  and setting this tone, it would just be goofy.
[55:27.640 --> 55:29.120]  And then the other idea that I had
[55:29.120 --> 55:31.800]  that made me laugh to myself
[55:31.800 --> 55:33.640]  as I watched the movie by myself
[55:33.640 --> 55:35.760]  was how funny it would be if the scene started
[55:35.760 --> 55:37.240]  with Bond pulling up a zipper
[55:37.240 --> 55:39.840]  because he had to get out to take a leak.
[55:39.840 --> 55:41.600]  That seems like something Roger Moore would do,
[55:41.600 --> 55:44.680]  like the side of Daniel Craig, Bond,
[55:44.680 --> 55:47.760]  but yeah, I could totally see the comedy moment of that.
[55:48.880 --> 55:51.040]  It would not be a very Bondian moment,
[55:51.040 --> 55:51.920]  but it would have been.
[55:51.920 --> 55:53.880]  It made me laugh imagining it,
[55:53.880 --> 55:55.240]  because then it would at least explain
[55:55.240 --> 55:56.600]  why he stopped the car.
[55:56.600 --> 55:57.440]  Yeah.
[55:59.680 --> 56:01.240]  Anyway, good job with the photos.
[56:01.240 --> 56:03.080]  The Scotland Board of Tourism,
[56:03.080 --> 56:05.680]  I'm sure, has a check in the mail to you.
[56:05.680 --> 56:06.520]  Sure, yeah, I know.
[56:06.520 --> 56:11.520]  It's a place worth surviving the bad weather, too,
[56:12.040 --> 56:14.080]  to get the gorgeous moments, for sure.
[56:15.360 --> 56:17.680]  There are worse things to do, sensibly.
[56:17.680 --> 56:19.480]  I mean, I didn't do this for my work,
[56:19.480 --> 56:21.080]  but vaguely for my work,
[56:21.080 --> 56:23.720]  going and hiking around in the Scottish mountains
[56:23.720 --> 56:26.600]  to test out Apple Watch battery life performance.
[56:26.600 --> 56:29.040]  There are worse things to spend a week doing.
[56:30.520 --> 56:31.960]  Let me just take another break here
[56:31.960 --> 56:33.600]  and thank our third and final sponsor,
[56:33.600 --> 56:36.240]  and then we can head down the homestretch of the show,
[56:36.240 --> 56:39.320]  and it's our good friends at Memberful.
[56:39.320 --> 56:43.040]  Memberful allows you, a creative person with an audience,
[56:43.040 --> 56:46.880]  to monetize your audience with memberships.
[56:46.880 --> 56:49.840]  Memberful allows you to build a sustainable, recurring
[56:49.840 --> 56:52.440]  revenue, and it is the easiest way
[56:52.440 --> 56:54.240]  to sell memberships to your audience,
[56:54.240 --> 56:56.880]  and it is used by some of the biggest creators on the web,
[56:56.880 --> 56:59.120]  and they have everything you need
[56:59.120 --> 57:00.600]  to run a membership program,
[57:00.600 --> 57:03.520]  including custom branding, gift subscriptions,
[57:03.520 --> 57:06.880]  Apple Pay support, free trials, and tons more.
[57:06.880 --> 57:08.480]  Maybe you do a podcast and you wanna have
[57:08.480 --> 57:11.080]  a special episodes just for members,
[57:11.080 --> 57:12.560]  or maybe you do something else
[57:12.560 --> 57:15.040]  but wanna have a members-only podcast,
[57:15.040 --> 57:16.120]  and you think, well, that would be something
[57:16.120 --> 57:17.960]  people would pay for, but then you start thinking,
[57:17.960 --> 57:19.800]  how do I do that, how do I even set that up
[57:19.800 --> 57:23.520]  so that only the members get access to the podcast?
