[00:00.000 --> 00:05.600]  It's a very special week for you. You're now on the on the door for both Google and Microsoft
[55:47.180 --> 55:53.900]  It strains the limits of the simple up-down left-right infrared remote more and more
[55:54.540 --> 56:00.860]  So I'd still think that it's a sign that a new Apple TV is coming with some kind of new UI
[56:02.100 --> 56:06.620]  Yeah, at this point, you know, and you can like kind of hide this the stuff
[56:06.620 --> 56:08.620]  I guess but
[56:10.100 --> 56:13.220]  Up you know all the things that make the app store so
[56:14.060 --> 56:21.260]  Logical and great like you know developers being able to issue updates and all that kind of stuff that's still very much missing from
[56:22.220 --> 56:27.860]  Apple to current yeah, and the infrared things it's just it's just strained bar more because it's like
[56:27.860 --> 56:33.900]  Especially like some coasters in front of my Apple TV and I couldn't use the remote
[56:33.900 --> 56:38.020]  I had to move them right so they were blocking the line of sight right like we have
[56:38.420 --> 56:43.180]  the Xbox one now and I don't you really use it as a TV
[56:43.180 --> 56:46.660]  But it's like the main Xbox interface though is is
[56:47.260 --> 56:49.060]  Sort of like Windows 7
[56:49.060 --> 56:51.820]  You know with tiles and some of the tiles are big and some are small
[56:51.820 --> 56:57.900]  But you largely navigate it up-down left-right select but because you have a real controller and it's you know
[56:57.900 --> 57:02.140]  Got a Bluetooth connection every time you hit up it goes up every time you hit
[57:02.140 --> 57:08.940]  Right it goes right and it happens instantly because it's a controller. It's built for you know video game like
[57:12.260 --> 57:18.140]  Timing and then every time I go back to the Apple TV and it's like up up up up up up just to go up once
[57:19.540 --> 57:26.260]  Trying to target the loadling the little sensor exactly. It's like God this is maddening even just switching the Bluetooth would be a huge upgrade
[57:26.260 --> 57:27.620]  I think that they'll probably do more
[57:27.620 --> 57:32.820]  But even if they just came out with an Apple TV that had a Bluetooth remote and stuck to up-down left-right select
[57:33.140 --> 57:35.140]  It would be an upgrade
[57:35.140 --> 57:37.900]  I think that's probably the kind of thing that's ready to roll
[57:37.900 --> 57:39.740]  They're just they're waiting for other stuff
[57:39.740 --> 57:44.860]  But I wonder too though if they have something more in mind for the main interface than just a
[57:45.700 --> 57:50.980]  Five by whatever grid of apps because it's there's a certain limit to that, you know
[57:51.500 --> 57:53.740]  To the usefulness of that
[57:53.740 --> 57:55.740]  Yeah, I see you know
[57:55.740 --> 58:00.500]  But you also think they may have done that for the phone by now and they haven't yeah, I've done anything like that
[58:00.500 --> 58:05.020]  So I wonder and if they do it with the beats app. I wonder it would be an interesting sign of
[58:05.780 --> 58:11.220]  How are they gonna treat beats like are they gonna treat beats as part of Apple cuz you know how like there's you can?
[58:11.620 --> 58:17.180]  Hold select down on Apple TV on any of the apps outside the top row and move them around
[58:17.260 --> 58:21.580]  So like if you use Netflix all the time you can make sure that it's in the upper left
[58:21.580 --> 58:30.060]  Right below the built-in movies app, but the movies TV shows music computers and settings apps are locked in in the top row
[58:30.060 --> 58:36.940]  The ones that are tied to Apple stuff like would be beats treated as one of those Apple things that you can't move around over to be
[58:37.540 --> 58:39.540]  like
[58:39.540 --> 58:44.260]  More like iTunes trailers which is an app that you can move all the way to the bottom if you don't use it
[58:45.020 --> 58:49.380]  Right yeah, I mean my guess is probably more like iTunes trailers
[58:49.380 --> 58:54.260]  Yeah, I think so, but then they have two different music services. I don't know. It gets weird
[58:54.260 --> 58:55.460]  but I
[58:55.460 --> 59:03.220]  Where does beats go on in iOS to is it become part of the music app or is it always a separate app store app right?
[59:03.220 --> 59:06.500]  I think it'll I think they're gonna keep it separate and I think they're gonna keep
[59:07.060 --> 59:09.900]  Again the and the retail stores. I brought this up weeks ago
[59:09.900 --> 59:12.420]  Like when it was first announced, but like are they going to get rid of the
[59:12.420 --> 59:19.020]  Bose headphones and then you know, oh no JBL no, but are they gonna give beats special treatment?
[59:19.020 --> 59:25.020]  I mean, I don't think they'll give beats bad treatment if they might give them slightly premium treatment, you know in terms of
[59:25.020 --> 59:26.900]  I think they kind of do already. I mean half
[59:26.900 --> 59:30.500]  Yeah, it seems like so many of the headphones were beats to begin
[59:30.500 --> 59:32.820]  Yeah, I noticed that I when as soon as they announced
[59:33.300 --> 59:39.060]  Before they even announced it when it just was like a reported hey Apple is going to buy them for this much money
[59:39.060 --> 59:45.900]  And we were all like wow, I stopped in the Apple store just to look at how much beat stuff they had and where it was and I guess
[59:45.900 --> 59:50.900]  I think it was safe to say that that it was the most dominant headphone in the Apple store already
[59:50.900 --> 59:53.340]  But but still treated like this is
[59:53.900 --> 59:57.820]  Here's a section of the store where we sell stuff from other companies. Yeah
[59:58.340 --> 1:00:05.700]  All right, let me take a break and thank our second sponsor our good friends at square space you guys know square space
[1:00:05.700 --> 1:00:07.700]  It's the all-in-one
[1:00:07.700 --> 1:00:10.980]  Website hosting building designing platform
[1:00:11.860 --> 1:00:14.100]  You go to square space you sign up
[1:00:14.740 --> 1:00:20.020]  You get to pick from a bunch of really cool professional templates for your website
[1:00:20.700 --> 1:00:23.380]  You can register your own domain through them
[1:00:24.220 --> 1:00:25.340]  and
[1:00:25.340 --> 1:00:27.340]  You get access to
[1:00:27.980 --> 1:00:33.340]  24 seven tech support which they've won awards for and now has locations in
[1:00:34.340 --> 1:00:36.340]  Ireland New York and
[1:00:36.340 --> 1:00:38.900]  Portland so that they cover
[1:00:39.700 --> 1:00:41.700]  Literally 24 hours of the clock
[1:00:41.700 --> 1:00:43.300]  I
[1:00:43.300 --> 1:00:49.020]  Don't know what more to say about it the other thing about square space that I always repeat is that they also offer
[1:00:50.020 --> 1:00:52.020]  amazing built-in
[1:00:52.340 --> 1:00:58.340]  Commerce capabilities you can build a store in square space that takes credit cards securely
[1:00:58.340 --> 1:01:08.180]  So much easier than anything else. I've ever seen with customization of how you present the items in your in your store. What's available?
[1:01:10.580 --> 1:01:14.580]  It's just so much easier than anything else I've ever seen to do online commerce
[1:01:14.580 --> 1:01:18.900]  It's ridiculous. So if that's part of what you're planning to do and you don't check out square space
[1:01:20.180 --> 1:01:26.020]  You're nuts. Where do you go to find out more? Here's here's the URL go to squarespace.com
[1:01:26.020 --> 1:01:27.520]  slash
[1:01:27.520 --> 1:01:28.540]  Gruber
[1:01:28.540 --> 1:01:35.260]  GRU BER and I know you came from the show and I have an offer code. It's just my initials JG
[1:01:35.540 --> 1:01:38.060]  Just JG, but if you use that code
[1:01:38.820 --> 1:01:44.940]  You'll save 10% off whatever it is that you sign up for it and so if you sign up for like a year sign up for a year
[1:01:44.940 --> 1:01:47.220]  You'll save 10% off that year. It's like getting a
[1:01:48.900 --> 1:01:50.900]  Couple of months for free
[1:01:50.900 --> 1:01:56.540]  Great deal cannot emphasize enough and I know they're a repeat sponsor. I know you've heard me talk about squarespace before
[1:01:56.660 --> 1:01:59.980]  But maybe you didn't have a website to build before but now you have something on your plate
[1:01:59.980 --> 1:02:06.980]  You need to build a website for go check them out squarespace.com slash Gruber my thanks to square space long time
[1:02:07.340 --> 1:02:08.860]  supporter of this show
[1:02:08.860 --> 1:02:13.860]  So what else were we talking about? We're talking about I guess the events next week next month. Yeah, well
[1:02:15.420 --> 1:02:17.420]  Do you want to talk about the
[1:02:17.420 --> 1:02:21.740]  International like the Samsung's troubles in
[1:02:22.740 --> 1:02:28.340]  Yeah, cuz you wrote about that that was actually I wrote a little about it and I mean, I've been reading a lot about it
[1:02:28.340 --> 1:02:30.740]  And obviously I don't have the
[1:02:31.820 --> 1:02:37.540]  Encyclopedic knowledge that say Benedict Evans or Ben Thompson have about
[1:02:38.460 --> 1:02:40.460]  You know the Asian markets
[1:02:40.460 --> 1:02:48.980]  For mobile devices, but it's really interesting what's happening right now because and this was I don't know if I should
[1:02:48.980 --> 1:02:55.180]  I don't know if I was gonna write this poster not but remember that slide from the original iPhone announcement
[1:02:55.180 --> 1:03:02.740]  Where Steve Jobs had all the old smart phones up. Yeah, it seems like all those companies are gone basically
[1:03:03.340 --> 1:03:09.260]  Yeah, it was like palm palm Nokia and blackberry, right something like that
[1:03:09.260 --> 1:03:15.380]  Yeah, and did he have a Samsung up if he did it was the Samsung blackjack, which was their
[1:03:16.940 --> 1:03:20.300]  Lariously literally a copy of the of the blackberry right?
[1:03:20.820 --> 1:03:26.140]  I know he referenced the blackjack here. It's the the Motorola Q
[1:03:26.700 --> 1:03:30.500]  The blackberry the palm trio and the Nokia E62
[1:03:30.860 --> 1:03:33.700]  Yeah, so mola Nokia palm
[1:03:33.700 --> 1:03:38.980]  Blackberry. Yeah, basically all toast. So it's interesting because
[1:03:40.540 --> 1:03:47.860]  You know and that happened over the course of several years and of course Motorola is still technically I think now part of
[1:03:49.180 --> 1:03:53.980]  It's going to be part of Lenovo. That's what I don't know if that's actually finalized yet though
[1:03:53.980 --> 1:03:58.660]  I don't know that it has think so. I don't know but and then you know Nokia is part of Microsoft and
[1:03:59.460 --> 1:04:01.460]  HP price still owns the
[1:04:01.460 --> 1:04:06.100]  Rights to someday relaunch palm or something like that. Yeah
[1:04:06.740 --> 1:04:12.460]  and blackberry is still technically in business too, but you know you you see Samsung flying high and
[1:04:12.700 --> 1:04:17.500]  You know besides Apple the only truly profitable company and mobile and then all of a sudden
[1:04:17.980 --> 1:04:19.980]  Things are looking so great
[1:04:20.300 --> 1:04:22.700]  You know in the story that they're getting
[1:04:23.380 --> 1:04:29.140]  Kind of their butts kicked in in China and things aren't so great in India either where they supposedly
[1:04:29.140 --> 1:04:33.860]  You know had built such a great distribution system and that kind of stuff, and it's it's fascinating and and
[1:04:34.740 --> 1:04:39.380]  What in China they've been passed they've lost the number one spot for smartphones to?
[1:04:40.260 --> 1:04:42.260]  Xiaomi right I
[1:04:42.340 --> 1:04:47.740]  Guess you know, of course, that's a kind of thing that that it's probably close and it could probably change back
[1:04:48.740 --> 1:04:55.780]  But still yeah, and it's to be fair it's based on largely on third-party market share
[1:04:55.780 --> 1:05:00.980]  Some of these from companies like IDC, which I just linked to a few weeks ago about how
[1:05:01.540 --> 1:05:06.180]  Yeah, how made up some of their PC market share numbers have been over the years, you know
[1:05:06.180 --> 1:05:10.700]  But it's the best that we can go by but at the very least we're in there pretty you know
[1:05:10.700 --> 1:05:13.500]  I'm sure they're in the ballpark right, but sticking to facts
[1:05:13.500 --> 1:05:17.700]  We do know that financially Samsung has had reported a bad a bomb quarter
[1:05:18.500 --> 1:05:23.180]  Yeah, that's a fact so it's not out of the question that you know
[1:05:23.180 --> 1:05:29.540]  It seems like it it matches with that that they've lost momentum in China and then they've lost momentum in India
[1:05:29.780 --> 1:05:31.940]  Which is very different and we and I linked to
[1:05:32.820 --> 1:05:38.700]  Ben Thompson piece and a news report, you know, but about how different India is from China that we
[1:05:39.780 --> 1:05:41.420]  They call it the brick countries
[1:05:41.420 --> 1:05:46.060]  I've said this before and it's so weird to me, but it's Brazil, Russia, India and China
[1:05:46.060 --> 1:05:52.580]  But really all that those that they're you know that there's different economics from like Western Europe in the US
[1:05:53.140 --> 1:05:58.620]  But the thing that the only thing that those countries really have in common is that they're huge and then there's a lot of people in all of them
[1:05:58.820 --> 1:06:05.180]  But like India and China really can't be lumped together as one thing because economically they're so very different
[1:06:05.700 --> 1:06:09.500]  like there may be you know a billion poor people
[1:06:09.500 --> 1:06:14.700]  culturally and you know so many electronics are made in China that that was
[1:06:14.700 --> 1:06:23.660]  natural for for local Chinese companies to all of a sudden, but the biggest difference and Ben Thompson wrote about this was is that
[1:06:24.500 --> 1:06:26.500]  China has incredible economic
[1:06:28.620 --> 1:06:30.620]  What's it called inequality?
[1:06:30.900 --> 1:06:35.500]  Where yes, there are the poor people in China are very very poor by our standard
[1:06:35.700 --> 1:06:40.780]  But there's an awful lot of people who are some number of people in China who make, you know, I
[1:06:40.780 --> 1:06:48.340]  Have a little a very high income. It's spread tremendously and even if it's only a few percent a few percent of you know
[1:06:48.340 --> 1:06:56.740]  2 billion people in China is is tens if not hundreds of millions of people and in India the poor are even poorer and
[1:06:57.340 --> 1:07:04.260]  There's not as much income inequality where the people at the top aren't making as much as the the people in China
[1:07:04.260 --> 1:07:06.260]  And so it's a very different economic situation
[1:07:06.260 --> 1:07:07.180]  I
[1:07:07.180 --> 1:07:13.340]  Think the problem Samsung fail or the other thing that the Samsung is one I want to mention and I think I'd like to hear your thoughts on it is
[1:07:13.660 --> 1:07:20.740]  To me it ties in with the trend that I've noticed recently is that people have sort of shut up about Apple needs to make a cheap iPhone
[1:07:21.380 --> 1:07:25.700]  Which I think was part of a narrative that started about two two to three years ago
[1:07:25.980 --> 1:07:29.180]  Which was hey Samsung is gaining market share?
[1:07:30.700 --> 1:07:33.500]  Whether it was in the US or worldwide and smartphones and
[1:07:34.540 --> 1:07:36.540]  Android is you know
[1:07:36.540 --> 1:07:42.700]  Gaining even faster, but Samsung's gobbling up a huge part of it and that that there go apples and trouble and
[1:07:43.460 --> 1:07:47.460]  To the only way they can win back market shares with a cheap
[1:07:48.060 --> 1:07:49.900]  cheap iPhone
[1:07:49.900 --> 1:07:54.820]  Which is very different thing than a lower priced iPhone like just gently
[1:07:55.140 --> 1:07:58.860]  edging lower and lower into lower price points year over year
[1:07:59.260 --> 1:08:03.980]  That Apple needs to jump in head first with a cheap iPhone to stave this off and
[1:08:03.980 --> 1:08:10.740]  And cuz look Samsung's killing them Samsung is just or is growing too fast and now that Samsung's cooled off
[1:08:10.740 --> 1:08:12.740]  I think it coincides with people
[1:08:13.980 --> 1:08:21.660]  What was J. I wrote had a post on business insider maybe Apple knows what it's doing with the iPhone strategy after all something to that
[1:08:21.660 --> 1:08:23.580]  Yeah, totally, but it was just funny
[1:08:23.580 --> 1:08:26.740]  It's a funny headline and I know that the macelope made fun of it
[1:08:26.740 --> 1:08:30.860]  But it's in some ways it's actually a great head headline because it actually to me
[1:08:30.860 --> 1:08:37.820]  It encapsulates what I think a lot of analysts pundits and investors have actually are actually thinking I
[1:08:38.780 --> 1:08:44.340]  Think it's a little more nuance in that though because it's not just that Samsung
[1:08:45.020 --> 1:08:47.020]  the phone maker was
[1:08:47.740 --> 1:08:49.740]  Cleaning apples clock. It's that
[1:08:50.540 --> 1:08:52.540]  Android the platform
[1:08:52.940 --> 1:08:56.220]  Was you know if if market shares what you're going by
[1:08:56.220 --> 1:09:01.860]  Android has destroyed Apple period like it's you know, it's not even close
[1:09:01.860 --> 1:09:08.340]  It's not Windows Mac level, but it's like whatever 70-30 or something like that worldwide
[1:09:09.060 --> 1:09:11.060]  80-20 I don't know and
[1:09:11.980 --> 1:09:19.020]  The thinking was that you know if this is the new if this is the new OS platform war and
[1:09:19.020 --> 1:09:26.020]  and you know for the for the next 20 years or something like that then Apple can't afford to
[1:09:26.420 --> 1:09:31.500]  not be the dominant player there because this isn't just about phones
[1:09:31.500 --> 1:09:37.540]  This is about tablets and and you know all kinds of future devices and now extending to televisions and
[1:09:38.220 --> 1:09:42.140]  Probably not wearables and all that kind of stuff. So if Apple loses
[1:09:42.940 --> 1:09:46.620]  People's phones they've lost that that person's whole life
[1:09:46.620 --> 1:09:53.380]  And if you know if this is the new software platform for the next couple of decades, then that's that's potentially troublesome
[1:09:54.180 --> 1:10:01.900]  But I think we've seen that maybe you know that the market share advantage that Android has is a lot more splintered than
[1:10:02.260 --> 1:10:06.820]  The Western dominated Windows Mac war, you know like
[1:10:07.620 --> 1:10:10.860]  What's going on with Android and China is probably
[1:10:10.860 --> 1:10:19.020]  Pretty different than what's going on with Android in in Western markets, you know hardware and software wise and you know you have these
[1:10:19.940 --> 1:10:21.940]  these messaging companies
[1:10:21.940 --> 1:10:23.940]  that that catch on in
[1:10:24.460 --> 1:10:32.140]  Different markets and become really huge and popular and that kind of stuff and I don't know so maybe it's a dawning realization on more people that
[1:10:32.540 --> 1:10:34.540]  Market share isn't everything
[1:10:34.540 --> 1:10:40.580]  That it's not it doesn't trump every that mobile is different and that market share and mobile is different than it
[1:10:40.580 --> 1:10:42.580]  meant in the PC
[1:10:42.980 --> 1:10:49.900]  Platform yeah, and even as I've said before though even in PCs right the Mac still exists and by most by most accounts
[1:10:49.900 --> 1:10:57.740]  I've seen in terms of traditional PC not counting tablets just counting what we always thought of things with Intel CP is X86 CPUs
[1:10:57.740 --> 1:11:03.820]  Right laptops desktops running either windows or Mac or you know Linux that Apple
[1:11:04.540 --> 1:11:08.300]  Makes about 50% of the profit in the whole PC industry
[1:11:08.300 --> 1:11:16.300]  Yeah, by far and away number one in terms of the profit. They have in the PC industry in a what everybody would consider a
[1:11:19.100 --> 1:11:23.820]  Mature market a settled mature market, right? And I would say it's also
[1:11:24.780 --> 1:11:27.740]  Almost never now that you run into the to the real problem
[1:11:27.740 --> 1:11:33.900]  Which was that software existed for Windows but not for Mac right you could pretty much get whatever you want for Mac
[1:11:33.900 --> 1:11:40.100]  You know, obviously there's some stuff that's still games only games still it is still a different situation
[1:11:40.540 --> 1:11:45.340]  Right although mobile has kind of you know and the game consoles have kind of made PCs
[1:11:45.780 --> 1:11:53.060]  Less important for gaming. Yeah, I don't see people complain. I still think clearly windows PCs are but you know far more
[1:11:53.060 --> 1:11:56.180]  You know have more new titles and run things better
[1:11:57.300 --> 1:12:03.180]  Excel is still better for windows obviously but but I don't see people complaining about games on Macs anymore
[1:12:03.180 --> 1:12:08.020]  So much mainly because I think mobile is a bigger deal in consoles or a bigger you know bigger deal
[1:12:08.020 --> 1:12:15.780]  Yeah, but this was the big fear that you know if Android gets this this huge advantage and market share that all the sudden
[1:12:16.180 --> 1:12:24.540]  All the best apps are gonna be either Android first or Android only and you know is my reporting about a month and a half ago
[1:12:24.980 --> 1:12:27.300]  prove that's not the case like
[1:12:27.300 --> 1:12:33.940]  Android despite its massive market share lead is still either getting developed
[1:12:34.140 --> 1:12:42.940]  You know at the same time as iOS or after yeah, there are very few important apps that are Android first or Android only and
[1:12:44.620 --> 1:12:46.940]  You know, I don't know if that's gonna change it might
[1:12:48.220 --> 1:12:51.420]  But it doesn't look like it doesn't seem to be happening. No
[1:12:51.420 --> 1:12:58.260]  So so that you know, so that's what that whole market share slash platform war
[1:12:59.100 --> 1:13:03.740]  Argument was about and I know you know, that's what Jay was thinking because Jay and I were working together
[1:13:03.740 --> 1:13:10.620]  And we were talking about this stuff and that's you know and and Henry are you know our boss was the one who was the one writing that
[1:13:10.620 --> 1:13:14.620]  That the iPhone was dead in the water right for that right now
[1:13:15.180 --> 1:13:17.180]  on the argument that
[1:13:17.180 --> 1:13:24.060]  You know this platform war really really really mattered and that market share was key to to that
[1:13:24.060 --> 1:13:28.820]  And I think we're learning the mobiles a little different at least so far. I mean, you know
[1:13:29.580 --> 1:13:35.900]  No, no, no, so it's gonna happen in a few years. Well, I think the thing that's different is the post-internet world
[1:13:35.900 --> 1:13:41.140]  I think that's the thing that really like a lot of things happened between 95
[1:13:42.340 --> 1:13:44.540]  1994 95 and
[1:13:44.540 --> 1:13:47.140]  1998
[1:13:47.140 --> 1:13:56.140]  Which I think people confused in their head as meaning hey when you lose the market share war you go away you go by by and that a lot of people summed it up as
[1:13:57.100 --> 1:13:59.100]  in the back of their heads that
[1:13:59.740 --> 1:14:01.900]  Windows 95 came out and was
[1:14:02.420 --> 1:14:05.780]  either as good or good at least good enough as the Mac and
[1:14:06.740 --> 1:14:12.700]  People you know, I'm Windows 95 came out and people lined up around stores to get it at midnight
[1:14:12.700 --> 1:14:20.580]  Like they do for Apple products, right? It was that popular, right? I mean that's that's I mean just a good basic rule of thumb
[1:14:20.580 --> 1:14:21.740]  if you have
[1:14:21.740 --> 1:14:30.940]  Normal consumers lining up around the block to get into a store to buy your product. You've got something right Apple has that now Microsoft had it then and
[1:14:32.500 --> 1:14:37.100]  It you know it was a problem for Apple and but a big thing too was with the big
[1:14:37.100 --> 1:14:46.500]  Whether it was 90 to 10 95 five whatever the percentage split was between Windows and Mac PCs when you had to interchange stuff by floppy disk and
[1:14:46.980 --> 1:14:52.460]  They even even the floppy disks had different formats and if you put a Mac floppy disk into a you know
[1:14:52.460 --> 1:14:58.420]  Windows PC it would say do you need to reformat this and you'd lose everything on it and max eventually gain the ability to
[1:14:58.700 --> 1:15:06.780]  Read DOS formatted disks, but went Microsoft was never gonna bother supporting Mac formatted disks and the file formats weren't the same and if you had a
[1:15:06.780 --> 1:15:10.300]  Word document that was created in PC and you opened it Microsoft Word on your
[1:15:10.780 --> 1:15:15.180]  On your Mac and everything reflowed and then when you sent it back to people it was all screwed up
[1:15:15.340 --> 1:15:21.860]  It was all a problem and it was all didn't we buy some like $60 app to like just convert. Yeah, I forget the name
[1:15:21.860 --> 1:15:26.660]  That was great. Oh, it worked to charm. I forget the name of that. I know exactly what you're talking about
[1:15:26.860 --> 1:15:34.300]  But all those things but then the internet happened and or and then Apple got into financial problems and really was on the cusp of bankruptcy
[1:15:34.300 --> 1:15:38.340]  But not really so much just because of market share and problems on the Mac
[1:15:38.340 --> 1:15:41.740]  But just that the company was horribly run and that they'd had these failed
[1:15:42.460 --> 1:15:46.460]  Initiatives at an extra it was a far more complex story than just market share
[1:15:47.860 --> 1:15:49.860]  But the internet really
[1:15:49.940 --> 1:15:56.780]  Heeled over the whole hey, I'm using platform A and you're using platform B and we need to communicate and exchange stuff
[1:15:56.780 --> 1:16:03.740]  Right and that really helped I think it's not just Apple but anybody you know who wanted to come up with a new platform forever after is
[1:16:04.060 --> 1:16:11.180]  That you don't have to worry about I mean even just simple networking just getting a Mac and Windows computer on the same network in the early 90s was like
[1:16:11.780 --> 1:16:15.300]  Almost impossible and especially to have them both be treated as peers
[1:16:15.980 --> 1:16:20.580]  Whereas the internet is this open standard, you know involves all these open standards for networking
[1:16:20.580 --> 1:16:26.780]  Yeah, and even if you look at the native apps that are the most popular on Android and iOS
[1:16:26.900 --> 1:16:30.180]  They're all basically just interface code, you know
[1:16:30.900 --> 1:16:37.580]  Interacting with an API so even if you know Android gets some sort of you know market share advantage
[1:16:37.580 --> 1:16:43.180]  It's not that hard like people would build Windows apps and then not build a Mac app because it was
[1:16:43.940 --> 1:16:49.460]  in a lot of money and time and all this stuff and and documents and all that sort of everything you just described
[1:16:49.460 --> 1:16:54.860]  But the difference between building an iOS app and an Android app is mostly just interface code at this point
[1:16:54.860 --> 1:17:01.260]  Right, so in really broad terms conceptually the whole computing world is built on the foundation is now the internet
[1:17:01.620 --> 1:17:06.820]  Yeah, and it's you know not just the worldwide web TCP IP in general and HTTP
[1:17:07.540 --> 1:17:11.540]  It's the internet and then we all pick devices that run a certain platform and
[1:17:12.980 --> 1:17:14.180]  Connect to the internet
[1:17:14.180 --> 1:17:21.700]  Whereas pre-internet the foundation of the world was whatever operating system your computer was running and so if you were on a Mac
[1:17:21.900 --> 1:17:28.540]  The Mac OS and the ecosystem of Mac apps was the foundation of the computing world and for PCs
[1:17:28.540 --> 1:17:36.300]  It was Windows and Windows apps and that meant that they were not compatible. So I think in the modern world. It's it's it's it's just
[1:17:37.220 --> 1:17:43.580]  It's very possible not just for two platforms to co-exist and thrive like Android and iOS
[1:17:43.580 --> 1:17:49.100]  But you know could be could be three. I think it's unlikely that there'd be a slew that there'd be like ten different
[1:17:49.740 --> 1:17:52.460]  You know platforms for mobile devices that would thrive
[1:17:52.820 --> 1:17:59.020]  But yeah, we're seeing like third place now dip to you know what three percent of the market or four
[1:17:59.020 --> 1:18:02.360]  So yeah, it looks like a two-horse race at this point
[1:18:02.360 --> 1:18:09.540]  But I don't think it's inconceivable re-rolled the dice for the last six or seven years of the end you come up with an alternate universe where
[1:18:09.540 --> 1:18:16.820]  You know, maybe if it had come out a little sooner and it had more corporate support that palm OS, you know was still yeah, you know
[1:18:17.380 --> 1:18:23.140]  Six seven percent like a Mac-sized market and with good margins, you know, it's a good business
[1:18:23.620 --> 1:18:24.540]  Yeah
[1:18:24.540 --> 1:18:30.940]  But I think a lot of people looked at those you know that that Apple's near bankruptcy and and decided that you know
[1:18:30.940 --> 1:18:38.940]  Platform battle if you don't win you're gonna go bankrupt and don't really think about the fact that Apple came back and that that was a long time ago
[1:18:38.940 --> 1:18:45.260]  And it now that the market is mature the Mac business has been thriving for well over a decade consistently
[1:18:45.980 --> 1:18:54.700]  So by those lines the company then that may be in the greatest position of power is not necessarily the company that runs the
[1:18:55.100 --> 1:18:58.460]  OS but the company that runs those back-end services
[1:18:59.580 --> 1:19:06.780]  Which increasingly is Google yeah, and so but I'm also a little surprised by how
[1:19:06.780 --> 1:19:08.940]  Committed Google has been to
[1:19:10.300 --> 1:19:12.300]  Continuing to make stuff for iOS
[1:19:13.300 --> 1:19:17.300]  You know to the to the point that they would even sponsor your your website
[1:19:18.140 --> 1:19:25.260]  When they when they could theoretically say okay from now on our best stuff is is Android only and you know
[1:19:25.260 --> 1:19:29.740]  There's some like Google now. I think it's probably going to be a better experience in Android because yeah
[1:19:29.740 --> 1:19:33.260]  Well Google now's a unique example because it's really tied into the
[1:19:33.260 --> 1:19:38.540]  The right system, you know, the idea that you need to launch an app for it really defeats it really wants to be in that
[1:19:38.860 --> 1:19:47.500]  That gifted position that Siri is in yeah, so if that if that sort of feed its stream AI type thing is the future of
[1:19:48.620 --> 1:19:52.140]  You know mobile computing then that's the kind of thing where Apple
[1:19:52.860 --> 1:19:54.860]  Market share could be
[1:19:54.860 --> 1:20:00.220]  A problem right like like if you know unless Apple does a better job at that with Siri although you know
[1:20:00.220 --> 1:20:05.020]  I think for example, I think there were an R third party keyboard apps for
[1:20:05.420 --> 1:20:09.980]  iOS now, but they just run as an app and you know show their keyboard
[1:20:09.980 --> 1:20:14.220]  And you do your typing and copy and paste it and go back to another app and paste it into the app
[1:20:14.540 --> 1:20:21.260]  Which nobody's going to do like the only way you could really have a thriving market of third party keyboards for your OS
[1:20:21.420 --> 1:20:23.420]  Is if you really support them at the system level
[1:20:24.060 --> 1:20:27.260]  Like Apple's doing it on your own. I think that that's probably going to prove popular
[1:20:27.260 --> 1:20:32.860]  Whereas something like Google now isn't really going to have a chance to thrive unless Apple somehow made Siri
[1:20:33.180 --> 1:20:36.380]  That sort of thing where you could replace Siri with
[1:20:37.260 --> 1:20:39.260]  Google now or with
[1:20:41.020 --> 1:20:42.380]  Katana
[1:20:42.380 --> 1:20:46.940]  Yeah, I don't know if they would ever do that. Do you hear that? Just me talking made the iOS 8
[1:20:48.300 --> 1:20:50.940]  Hey Siri thing. I was wondering what that was
[1:20:51.980 --> 1:20:53.660]  That's funny
[1:20:53.660 --> 1:21:01.420]  Seems like I cut you off. Can you please repeat that? Yeah, it said that it heard me save replace Siri with and and she got upset
[1:21:02.140 --> 1:21:03.180]  Nice
[1:21:03.180 --> 1:21:10.860]  Yeah, so I wonder if there's a point at which Google you know sees the the market share in their advantage says all right
[1:21:10.860 --> 1:21:17.500]  Well, we're done doing Google Maps for iOS now or something like that, but it doesn't seem to be the direction they're going in
[1:21:17.660 --> 1:21:23.500]  Yeah, and as Microsoft in as Google sometimes old Microsoft in as Google sometimes is that doesn't seem to be the way
[1:21:23.500 --> 1:21:24.860]  They think
[1:21:24.860 --> 1:21:26.380]  That would be I
[1:21:26.620 --> 1:21:31.420]  Think there might be some people within Google who think that but I think that certainly the people making the iOS at
[1:21:31.660 --> 1:21:35.740]  S apps aren't would be and I and I think they're so scared of
[1:21:37.900 --> 1:21:43.500]  Antitrust stuff that they won't because yeah, you could really screw them up. Yeah, they had to
[1:21:44.300 --> 1:21:47.260]  chop themselves up so you know a public
[1:21:48.140 --> 1:21:49.660]  Seeming
[1:21:49.660 --> 1:21:55.180]  Support for iOS probably makes them look really good. Yeah in the same way that it did for Microsoft in
[1:21:55.500 --> 1:21:59.340]  1997 when they cut the deal with Apple and can get it to five years of
[1:21:59.980 --> 1:22:01.980]  You know office support and stuff like that
[1:22:02.220 --> 1:22:07.100]  Even more so because that Microsoft was already in the anti big antitrust trouble at the time right
[1:22:07.660 --> 1:22:13.180]  Yeah, yeah, that's something Google has to worry about that Apple doesn't because Google has at least one
