[00:00.000 --> 00:09.040]  Good evening, podcast listeners.
[54:20.840 --> 54:21.840]  Right.
[54:21.840 --> 54:24.440]  And then when they said PS4, the room truly erupted.
[54:24.440 --> 54:31.720]  I mean, no offense to our friends at Microsoft, but it really seems like this is a PlayStation
[54:31.720 --> 54:32.720]  crowd.
[54:32.720 --> 54:33.720]  Yes.
[54:33.720 --> 54:38.000]  I think people were happy with both of them, John.
[54:38.000 --> 54:46.720]  Both of our valued partners were appreciated by our audience.
[54:46.720 --> 54:55.760]  One last semi-technical question about SwiftUI is it sounds to me, from what I've read and
[54:55.760 --> 55:01.040]  what people have dug into it, it is definitely way more significant.
[55:01.040 --> 55:06.320]  It's not a thin wrapper around UIKit and AppKit.
[55:06.320 --> 55:11.120]  But it might, in some places, fall back, and that the, more or less, the implementation
[55:11.120 --> 55:16.640]  details of views are internal, and developers don't have to worry about it.
[55:16.640 --> 55:23.080]  Just follow the API, and behind the scenes, maybe it'll fall back to UIKit or AppKit.
[55:23.080 --> 55:26.680]  Maybe it'll be something new that's implemented right in SwiftUI.
[55:26.680 --> 55:27.680]  Don't worry about it.
[55:27.680 --> 55:28.680]  It's a black box.
[55:28.680 --> 55:32.960]  That's right, because a lot of times, you end up having to use views in the past to
[55:32.960 --> 55:37.920]  achieve layout grouping and so forth, and then you're getting overhead you don't really
[55:37.920 --> 55:38.920]  need.
[55:38.920 --> 55:42.480]  So it gives you views that make a ton of sense from a control point of view.
[55:42.480 --> 55:48.440]  So SwiftUI is able to make that choice in a way that does the most efficient thing but
[55:48.440 --> 55:50.120]  gives you all the capability you need.
[55:50.120 --> 55:58.480]  It certainly was a hard goal from the outset that we know our developers have an investment
[55:58.480 --> 56:01.040]  in custom controls they've created.
[56:01.040 --> 56:06.560]  They want to be able to build SwiftUI around a control they have.
[56:06.560 --> 56:10.800]  They want to be able potentially to create a component in SwiftUI that fits inside the
[56:10.800 --> 56:17.120]  context of an app that has a traditional AppKit or UIKit view hierarchy.
[56:17.120 --> 56:24.000]  And so making those worlds completely interoperate was critical, and that's going to make it
[56:24.000 --> 56:25.000]  really easy to adopt.
[56:25.000 --> 56:30.600]  And it also means all the frameworks we've built and you've built become accessible in
[56:30.600 --> 56:31.600]  this world.
[56:31.600 --> 56:36.640]  I don't know if you've gone through the really excellent SwiftUI tutorials, but yeah, isn't
[56:36.640 --> 56:42.960]  that I think the doc team, I mean, they knocked it out of the park on this.
[56:42.960 --> 56:47.600]  And if you go through that, at one point they're like, hey, let's use a map, let's use MapKit.
[56:47.600 --> 56:53.560]  There's no custom work that we did to integrate MapKit into SwiftUI, but it's nearly effortless
[56:53.560 --> 57:00.280]  for you to take that existing massive investment in this UIKit control and incorporate it into
[57:00.280 --> 57:01.480]  a SwiftUI app.
[57:01.480 --> 57:08.440]  So I think that's going to be huge for everyone who wants to adopt the technology.
[57:08.440 --> 57:15.200]  The other big back of the room applause moment was during the demo when it was shown how
[57:15.200 --> 57:22.560]  easy it is to get the UI you're working on running on an actual voice, and you just select
[57:22.560 --> 57:29.360]  the word gray and type B-L-U-E, and on the phone the button changes from gray to blue.
[57:29.360 --> 57:33.240]  The back of the room erupted, and the front of them was like, what?
[57:33.240 --> 57:37.120]  Of course it changed to blue, you typed blue.
[57:37.120 --> 57:38.120]  Right?
[57:38.120 --> 57:44.420]  Was I that obvious?
[57:44.420 --> 57:52.880]  It's like you had to have experience going through the build, install, launch cycle,
[57:52.880 --> 57:57.960]  and then you realize, and especially in the earlier days of iOS development when everything
[57:57.960 --> 58:01.560]  was a little slower, computers were slower, and Xcode was slower, and the transfer might
[58:01.560 --> 58:05.400]  have been a little slower, and the phones were slower, and then you're like, ah, shit,
[58:05.400 --> 58:09.180]  I was supposed to change the color to blue, I forgot.
[58:09.180 --> 58:10.180]  Right?
[58:10.180 --> 58:15.320]  One of my coworkers was saying, she talked to her mom, and her mom and dad had sat down
[58:15.320 --> 58:19.360]  and watched the keynote, and she's talking to her mom, and her mom says, there was this
[58:19.360 --> 58:25.160]  point when dad just kept yelling at the TV, oh my god, oh my god, you know, she's like,
[58:25.160 --> 58:32.240]  I'm not sure what was happening, but it really seemed to speak to him, and he was an engineer.
[58:32.240 --> 58:36.920]  So, yes, there are things that if you've ever gone through the normal cycle, you realize
[58:36.920 --> 58:42.680]  that if you can iterate that fast, that you're just going to pursue more ideas, you're going
[58:42.680 --> 58:46.840]  to try more things, you're going to end up with a better result, you're going to be more
[58:46.840 --> 58:52.640]  creative, and so accelerating that cycle is so important, and that really did take the
[58:52.640 --> 58:57.640]  work between the compiler team, the IDE team, the language, the way the frameworks work,
[58:57.640 --> 59:01.480]  to achieve what in the end should feel, oh yeah, it should work that way.
[59:01.480 --> 59:10.360]  But I got to say, as we did preview this for some members of the front of the room internally,
[59:10.360 --> 59:17.320]  I think there was a degree as we're going through it, except for JAWS, of nodding, because
[59:17.320 --> 59:20.320]  they're, like you said, they're looking at the code, and they're going, I think for the
[59:20.320 --> 59:27.520]  first time, I understand what looks like code, so that was a good sign, right.
[59:27.520 --> 59:30.160]  I think I know how I could change that to red.
[59:30.160 --> 59:31.720]  Yeah, exactly.
[59:31.720 --> 59:35.560]  I can do that.
[59:35.560 --> 59:40.520]  Well, I'm so happy that this shipped.
[59:40.520 --> 59:44.400]  I was asked earlier today, what is my favorite announcement so far.
[59:44.400 --> 59:45.400]  I'm not even a developer.
[59:45.400 --> 59:46.400]  I just think it's very cool.
[59:46.400 --> 59:47.400]  I can't wait to dig into it.
[59:47.400 --> 59:49.680]  I think SwiftUI is my favorite software.
[59:49.680 --> 59:50.680]  Right.
[59:50.680 --> 59:51.680]  Hi.
[59:51.680 --> 01:00:09.200]  So, tvOS has multi-user support now at a new control center, which is how you change users.
[01:00:09.200 --> 01:00:18.920]  Are there any other platforms that you think could use multi-user support?
[01:00:18.920 --> 01:00:25.560]  Is the tv not enough for you, John?
[01:00:25.560 --> 01:00:26.560]  Yeah, geez.
[01:00:26.560 --> 01:00:27.560]  None that I can think of.
[01:00:27.560 --> 01:00:28.560]  The tv is meant for it, right.
[01:00:28.560 --> 01:00:32.240]  You sit in a family, you sit in a couch, you have different people who use that same tv,
[01:00:32.240 --> 01:00:33.600]  come on, it's perfect.
[01:00:33.600 --> 01:00:35.800]  Everyone should buy their own devices.
[01:00:35.800 --> 01:00:44.200]  Yeah, I'm trying to think what other devices families might have in their living room that
[01:00:44.200 --> 01:00:47.480]  other people use, but I'm drawing a blank.
[01:00:47.480 --> 01:00:48.480]  No.
[01:00:48.480 --> 01:00:49.480]  Thank you.
[01:00:49.480 --> 01:00:51.800]  You can do multi-user with iPad and education.
[01:00:51.800 --> 01:00:52.800]  Don't forget that.
[01:00:52.800 --> 01:00:53.800]  Yeah.
[01:00:53.800 --> 01:00:54.800]  It works actually.
[01:00:54.800 --> 01:00:55.800]  It works great.
[01:00:55.800 --> 01:01:03.440]  I see Michael Chow in the crowd cheering.
[01:01:03.440 --> 01:01:04.560]  Is it a coincidence?
[01:01:04.560 --> 01:01:08.680]  Is it a coincidental timing that this is the year where you support Xbox and PlayStation
[01:01:08.680 --> 01:01:13.600]  game controllers and it's also the year when Apple Arcade is coming in the fall?
[01:01:13.600 --> 01:01:14.600]  It's probably not.
[01:01:14.600 --> 01:01:15.600]  I mean.
[01:01:15.600 --> 01:01:16.600]  You're saying is that coincidental?
[01:01:16.600 --> 01:01:17.600]  Is it coincidental?
[01:01:17.600 --> 01:01:22.760]  No, I think it makes a lot of sense, yeah.
[01:01:22.760 --> 01:01:24.560]  These things don't happen on accident.
[01:01:24.560 --> 01:01:29.360]  There are a lot of games there that are going to play great with a controller.
[01:01:29.360 --> 01:01:31.360]  I think we want to make sure we have the best people.
[01:01:31.360 --> 01:01:34.120]  Apple Arcade and here's some new game controllers.
[01:01:34.120 --> 01:01:36.640]  It was like we connected those two concepts.
[01:01:36.640 --> 01:01:37.640]  We tried our best.
[01:01:37.640 --> 01:01:39.640]  I mean, that was marketing.
[01:01:39.640 --> 01:01:44.160]  I was going to say we're moving fast, but that's tiff's part.
[01:01:44.160 --> 01:01:50.600]  To that point, to your point, we could spend longer on these things.
[01:01:50.600 --> 01:01:52.200]  We could spend longer on everything.
[01:01:52.200 --> 01:01:57.120]  When we first put these keynotes together, they're about three hours.
[01:01:57.120 --> 01:01:59.560]  There's another company in our neighborhood who tried that a couple of times.
[01:01:59.560 --> 01:02:01.220]  It doesn't go over well.
[01:02:01.220 --> 01:02:05.240]  We try to keep it around 215, give or take, which we've run the last few years at.
[01:02:05.240 --> 01:02:07.040]  We figure that's as long as we can go.
[01:02:07.040 --> 01:02:08.480]  We run things down to the minute.
[01:02:08.480 --> 01:02:12.920]  When we're creating slides, we have to figure out how many roughly slides can we create
[01:02:12.920 --> 01:02:15.480]  so we get in a ballpark of knowing how much time.
[01:02:15.480 --> 01:02:21.600]  What our MarCom team has done a brilliant job of is they have mapped every presenter
[01:02:21.600 --> 01:02:25.960]  over the years and how many slides they can do a minute.
[01:02:25.960 --> 01:02:28.720]  It's like a baseball card.
[01:02:28.720 --> 01:02:34.120]  It's like a... I won't out the slower people, but the fastest one by far.
[01:02:34.120 --> 01:02:45.880]  I give them a little bit of grief because in his prime, Craig could do nine slides a
[01:02:45.880 --> 01:02:46.880]  minute.
[01:02:46.880 --> 01:02:51.560]  He slowed down to about seven slides a minute as he's getting a little older, but I think
[01:02:51.560 --> 01:02:55.840]  he still does a pretty good job.
[01:02:55.840 --> 01:02:58.040]  I feel like you guys have been holding me back lately.
[01:02:58.040 --> 01:03:01.800]  We get out of rehearsal like we did not see the image on the screen.
[01:03:01.800 --> 01:03:05.600]  You can't just yell a word and push next.
[01:03:05.600 --> 01:03:12.920]  Actually, I think we'd all agree, he does a brilliant job up there.
[01:03:12.920 --> 01:03:24.840]  I don't know why I never asked this before.
[01:03:24.840 --> 01:03:27.280]  Do you guys click the slides yourselves?
[01:03:27.280 --> 01:03:28.280]  Yes.
[01:03:28.280 --> 01:03:31.280]  I know you always... That's a thing I'm doing.
[01:03:31.280 --> 01:03:34.080]  You have to, right?
[01:03:34.080 --> 01:03:36.080]  It would be freaky to have someone else do it.
[01:03:36.080 --> 01:03:38.280]  That did happen in rehearsal at one point.
[01:03:38.280 --> 01:03:39.280]  Oh, yeah.
[01:03:39.280 --> 01:03:42.280]  We had something where we're out there and then someone backstage is pushing the button.
[01:03:42.280 --> 01:03:44.280]  Tim is like, what's going on with my slides?
[01:03:44.280 --> 01:03:45.280]  They're moving forward.
[01:03:45.280 --> 01:03:50.280]  After rehearsal, Kevin Lynch admitted he was backstage playing with the clicker.
[01:03:50.280 --> 01:03:52.800]  What does this thing do?
[01:03:52.800 --> 01:03:56.280]  They are live clickers, yes.
[01:03:56.280 --> 01:03:59.280]  All right, let's go.
[01:03:59.280 --> 01:04:02.280]  IOS 13.
[01:04:02.280 --> 01:04:03.280]  Yes.
[01:04:03.280 --> 01:04:08.280]  What can you tell me about this new packaging format that makes downloads smaller?
[01:04:08.280 --> 01:04:13.280]  I kind of could get so that you could do something on the server side and take out resources.
[01:04:13.280 --> 01:04:18.280]  If you're running on a 2X retina device, you could take out 3X resources or something and
[01:04:18.280 --> 01:04:19.280]  do something.
[01:04:19.280 --> 01:04:21.280]  But the apps launch twice as fast?
[01:04:21.280 --> 01:04:22.280]  Yeah, isn't that crazy?
[01:04:22.280 --> 01:04:24.280]  That was quite a discovery for us.
[01:04:24.280 --> 01:04:32.280]  Sometimes you just stumble into something and you take it.
[01:04:32.280 --> 01:04:37.280]  Just kidding.
[01:04:37.280 --> 01:04:45.280]  It turns out that over time, in terms of the way the apps were encrypted and the way FairPlay
[01:04:45.280 --> 01:04:53.280]  worked and so forth, the encryption became part of the critical path, actually, of launching
[01:04:53.280 --> 01:04:54.280]  the apps.
[01:04:54.280 --> 01:04:58.280]  I mean, the processors are capable of ripping through the thing that actually was a problem.
[01:04:58.280 --> 01:05:04.280]  Then there are other optimizations that, based on what was visible to the system at certain
[01:05:04.280 --> 01:05:07.280]  points, we couldn't prebind certain things.
[01:05:07.280 --> 01:05:10.280]  So, it actually cut out optimization opportunities.
[01:05:10.280 --> 01:05:15.280]  So, when we really identified that opportunity, we said, okay, well, we can actually come
[01:05:15.280 --> 01:05:19.280]  up with a better format that's going to eliminate that being on the critical path.
[01:05:19.280 --> 01:05:22.280]  It's going to enable all these prebinding things.
[01:05:22.280 --> 01:05:26.280]  Then we did a whole bunch of other work to optimize the Objective-C runtime, to optimize
[01:05:26.280 --> 01:05:29.280]  the dynamic linker, a bunch of other things.
[01:05:29.280 --> 01:05:34.280]  You put it all together and, yeah, the cold launch, we've never had a win like this to
[01:05:34.280 --> 01:05:37.280]  launch time in a single release.
[01:05:37.280 --> 01:05:38.280]  So, it's fantastic.
[01:05:38.280 --> 01:05:42.280]  I can't wait for those videos where people do this.
[01:05:42.280 --> 01:05:43.280]  Those videos.
[01:05:43.280 --> 01:05:45.280]  Like, that defines the performance of a phone, right?
[01:05:45.280 --> 01:05:46.280]  They're like, watch this.
[01:05:46.280 --> 01:05:48.280]  This is what you do all day.
[01:05:48.280 --> 01:05:57.280]  Okay, we'll win one of those.
[01:05:57.280 --> 01:06:03.280]  Which phone is faster?
[01:06:03.280 --> 01:06:08.280]  Sorry, if you're in the audience, whoever that dude is.
[01:06:08.280 --> 01:06:12.280]  Wait till they write about you tomorrow.
[01:06:12.280 --> 01:06:15.280]  You know, I've watched those videos.
[01:06:15.280 --> 01:06:19.280]  I've watched those videos, too, and then you watch them, and then sometimes you look over
[01:06:19.280 --> 01:06:23.280]  on the side and they show you in the sidebar other videos from the same creator, and it's
[01:06:23.280 --> 01:06:27.280]  like, oh, my God, this guy makes one of these every week with the other phone.
[01:06:27.280 --> 01:06:30.280]  And it's like, oh, my God, once a week he's doing this thing.
[01:06:30.280 --> 01:06:31.280]  That's his thing.
[01:06:31.280 --> 01:06:32.280]  He's the guy.
[01:06:32.280 --> 01:06:35.280]  Kind of like, will it blend?
[01:06:35.280 --> 01:06:44.280]  The Photos app clearly has a major upgrade for iOS this year.
[01:06:44.280 --> 01:06:51.280]  It just has to be among the most used apps on the platform in the world.
[01:06:51.280 --> 01:06:57.280]  I mean, it's a real problem, exactly as pitched on stage.
[01:06:57.280 --> 01:07:01.280]  All right, now you've had this phone for all these years, and you've maybe had other digital
[01:07:01.280 --> 01:07:05.280]  cameras, and you've put them in your same iCloud photo library, and you've got, I don't
[01:07:05.280 --> 01:07:09.280]  know, I've got like 28,000 items in my iCloud photo library.
[01:07:09.280 --> 01:07:10.280]  Something like that.
[01:07:10.280 --> 01:07:11.280]  I don't know.
[01:07:11.280 --> 01:07:12.280]  It's ridiculous.
[01:07:12.280 --> 01:07:13.280]  How do you surface them?
[01:07:13.280 --> 01:07:14.280]  How do you surface them?
[01:07:14.280 --> 01:07:23.280]  And I really, really think that this month, year interface to collecting these things
[01:07:23.280 --> 01:07:25.280]  really seems smart.
[01:07:25.280 --> 01:07:33.280]  And this is an instance where the big bet you guys have made on machine learning in
[01:07:33.280 --> 01:07:41.280]  recent years on device is really showing its effects, because it's not just collecting
[01:07:41.280 --> 01:07:42.280]  them by month.
[01:07:42.280 --> 01:07:43.280]  That's easy.
[01:07:43.280 --> 01:07:45.280]  It's this, here's the best ones.
[01:07:45.280 --> 01:07:47.280]  Here's three that are almost exactly the same.
[01:07:47.280 --> 01:07:50.280]  We'll just show one for now so that you're not seeing it all.
[01:07:50.280 --> 01:07:52.280]  And that's all through the machine learning.
[01:07:52.280 --> 01:07:53.280]  Yeah.
[01:07:53.280 --> 01:07:57.280]  This is another one where we're in the meeting, and Justin TD.
[01:07:57.280 --> 01:07:59.280]  This was his real photo library.
[01:07:59.280 --> 01:08:00.280]  Which was awesome.
[01:08:00.280 --> 01:08:02.280]  I don't know if you guys noticed that in the keynote.
[01:08:02.280 --> 01:08:03.280]  Yeah, yeah.
[01:08:03.280 --> 01:08:10.280]  I think the fact that Justin and his entire family are gingers helped.
[01:08:10.280 --> 01:08:13.280]  They were like, we have no understudy for this.
[01:08:13.280 --> 01:08:15.280]  We've got nobody.
[01:08:15.280 --> 01:08:21.280]  But he obviously is a member of the, leader of the photos team takes a lot of pictures.
[01:08:21.280 --> 01:08:25.280]  And as a proud father, obviously takes an unbelievable number of photos.
[01:08:25.280 --> 01:08:29.280]  But he's there demoing it and going through it.
[01:08:29.280 --> 01:08:34.280]  And he starts paging back through the life of his child going backwards.
[01:08:34.280 --> 01:08:38.280]  And we're all sitting here trying to avoid looking at each other, because we're tearing
[01:08:38.280 --> 01:08:39.280]  up.
[01:08:39.280 --> 01:08:47.280]  I mean, and I had, I literally had that experience myself, where I opened it, and I'm seeing
[01:08:47.280 --> 01:08:52.280]  like my children, and I go back and back, and then I have two of them, and then there's
[01:08:52.280 --> 01:08:58.280]  one of them, and then there's my wife and I at the altar.
[01:08:58.280 --> 01:09:00.280]  It was crazy.
[01:09:00.280 --> 01:09:05.280]  And you just never have those experiences in this just sea of photos.
[01:09:05.280 --> 01:09:13.280]  But the team has gotten so much more advanced over the last several years in not just saying
[01:09:13.280 --> 01:09:14.280]  what's a good photo.
[01:09:14.280 --> 01:09:15.280]  That's a piece of it.
[01:09:15.280 --> 01:09:16.280]  What's a good photo?
[01:09:16.280 --> 01:09:22.280]  What's the arc of a meaningful event for you and a story?
[01:09:22.280 --> 01:09:26.280]  And then looking at across big spans of time.
[01:09:26.280 --> 01:09:28.280]  What were big events that were important to you?
[01:09:28.280 --> 01:09:34.280]  I mean, intuiting all of that is an art and one that, yes, if we were all to do that,
[01:09:34.280 --> 01:09:39.280]  then maybe back in the old days with iPhoto, you'd go try to tag things and organize
[01:09:39.280 --> 01:09:40.280]  and build the albums.
[01:09:40.280 --> 01:09:43.280]  Like, you might have done it, but now we're taking so many more photos.
[01:09:43.280 --> 01:09:45.280]  It's just totally impractical.
[01:09:45.280 --> 01:09:46.280]  And you get it for free.
[01:09:46.280 --> 01:09:54.280]  And then I think, like many of us, my wife must wonder when suddenly she gets these flurry
[01:09:54.280 --> 01:09:58.280]  of iMessage photos from our past and our children coming at her.
[01:09:58.280 --> 01:10:02.280]  And it's because I'm using the app, and I'm literally like rediscovering my photo
[01:10:02.280 --> 01:10:05.280]  library and going, oh, my god, this is so great and sharing.
[01:10:05.280 --> 01:10:08.280]  And it has that effect on you.
[01:10:08.280 --> 01:10:10.280]  And it's the toughest feature in some ways.
[01:10:10.280 --> 01:10:14.280]  I mean, I hope the demo came across, but it's in a way the toughest feature to really
[01:10:14.280 --> 01:10:20.280]  get across the meaning because you have to see it with your own photos because suddenly
[01:10:20.280 --> 01:10:23.280]  that all becomes, you're like, oh, my god, this is it for me.
[01:10:23.280 --> 01:10:26.280]  You see someone else's photos, you're like, nice family, Justin.
[01:10:26.280 --> 01:10:30.280]  But other than that, it's like, I don't know, but the emotional resonance of your
[01:10:30.280 --> 01:10:31.280]  own photos, it's incredible.
[01:10:31.280 --> 01:10:33.280]  Justin did a brilliant job, too.
[01:10:33.280 --> 01:10:36.280]  And it was touching because Craig's exactly right.
[01:10:36.280 --> 01:10:38.280]  When you put your own photos in this is when you melt.
[01:10:38.280 --> 01:10:42.280]  But I thought that came across still in Justin's demo really well because, you know, I mean,
[01:10:42.280 --> 01:10:46.280]  we do spend so much of our time taking these pictures, and for years people didn't look
[01:10:46.280 --> 01:10:47.280]  at them, right?
[01:10:47.280 --> 01:10:51.280]  And we've given you more ways every year to expose these, including memories, right,
[01:10:51.280 --> 01:10:53.280]  that come, you know, it's brilliant.
[01:10:53.280 --> 01:10:59.280]  And it ties back to a question, a topic that you and I have talked about maybe on this
[01:10:59.280 --> 01:11:04.280]  stage two years ago, maybe back in San Francisco, but probably more back in San Francisco because
[01:11:04.280 --> 01:11:09.280]  I think that was a little bit more, at least from our perspective outside, where you guys
[01:11:09.280 --> 01:11:15.280]  really were committing to this machine learning and becoming best of industry at AI stuff.
[01:11:15.280 --> 01:11:22.280]  And there's a strong sentiment held by many people out there that this on-device strategy
[01:11:22.280 --> 01:11:26.280]  is doomed to failure because there's other companies that do it all in the cloud, and
[01:11:26.280 --> 01:11:30.280]  theirs works, and so therefore the cloud is the only way to make it work.
[01:11:30.280 --> 01:11:34.280]  And you and Phil, when he's been here, I've asked this question.
[01:11:34.280 --> 01:11:39.280]  Are you convinced that this on-device, let the billion iPhones out there do this machine
[01:11:39.280 --> 01:11:44.280]  learning in a distributed fashion on all of this amazing hardware that's out there being
[01:11:44.280 --> 01:11:45.280]  used?
[01:11:45.280 --> 01:11:46.280]  Are you committed to it?
[01:11:46.280 --> 01:11:47.280]  Oh, totally.
[01:11:47.280 --> 01:11:48.280]  Yeah, yeah, yeah.
[01:11:48.280 --> 01:11:55.280]  And in fact, if you watch recent events from our, the other guys, you'd be surprised how
[01:11:55.280 --> 01:11:58.280]  many times they've started to say on-device machine learning.
[01:11:58.280 --> 01:12:04.280]  I mean, they're actually seeing the light a little bit on that topic.
[01:12:04.280 --> 01:12:10.280]  But I think they're disadvantaged in the sense that part of what makes this possible is building
[01:12:10.280 --> 01:12:15.280]  great hardware and having a consistent baseline of great hardware that's capable of this.
[01:12:15.280 --> 01:12:17.280]  And the integration of that hardware and software.
[01:12:17.280 --> 01:12:20.280]  And the integration of the hardware and the software, because if you have to try to pull
[01:12:20.280 --> 01:12:26.280]  this off over this random fleet of different devices of different capabilities, it's really
[01:12:26.280 --> 01:12:28.280]  tough to provide a decent experience.
[01:12:28.280 --> 01:12:35.280]  And you look at the A&E in the most recent iPhones, it's astounding what you have to
[01:12:35.280 --> 01:12:44.280]  work with there and how they can just, what they can do with processing photos on device,
[01:12:44.280 --> 01:12:49.280]  even doing the kind of voice synthesis that you saw with the neural TTS.
[01:12:49.280 --> 01:12:51.280]  We can do that on the A&E.
[01:12:51.280 --> 01:12:56.280]  It's just incredible where you're actually generating literally through a network every
[01:12:56.280 --> 01:13:02.280]  sample in the waveform of the voice is being, you know, sort of hallucinated in real time
[01:13:02.280 --> 01:13:04.280]  out of the network.
[01:13:04.280 --> 01:13:06.280]  And it's, yeah, it's incredible.
[01:13:06.280 --> 01:13:08.280]  So, yeah, this stuff has legs.
[01:13:08.280 --> 01:13:10.280]  Yeah, it really is starting to show.
[01:13:10.280 --> 01:13:14.280]  And you're starting to see it in other places too, like in the sharing sheets where the
[01:13:14.280 --> 01:13:20.280]  sharing sheets now have recommended guesses as to who you might want to send this to.
[01:13:20.280 --> 01:13:21.280]  And how.
[01:13:21.280 --> 01:13:22.280]  And how you want to send it.
[01:13:22.280 --> 01:13:23.280]  Yeah, I'm going to make that clear.
[01:13:23.280 --> 01:13:28.280]  But, you know, maybe you often, with this kind of content, you email it to this person,
[01:13:28.280 --> 01:13:35.280]  you iMessage it to this person, you WeChat it to this person, and that combination is,
[01:13:35.280 --> 01:13:37.280]  you know, one tap.
[01:13:37.280 --> 01:13:42.280]  And that makes a huge difference just in terms of your desire to think like, hey, I'm going
[01:13:42.280 --> 01:13:45.280]  to do this because it's going to be fast and easy.
[01:13:45.280 --> 01:13:48.280]  And it turns out we can do a really great job figuring out where you're going to share
[01:13:48.280 --> 01:13:49.280]  with.
[01:13:49.280 --> 01:13:56.280]  Yeah, and in some ways being local has advantages where the iOS knows which apps you're using.
[01:13:56.280 --> 01:14:00.280]  You know, the operating system on your device knows that you use WeChat.
[01:14:00.280 --> 01:14:01.280]  Right.
[01:14:01.280 --> 01:14:02.280]  Right.
[01:14:02.280 --> 01:14:03.280]  The cloud doesn't know what you do on your phone.
[01:14:03.280 --> 01:14:07.280]  Yeah, and honestly, having your device know you is cool.
[01:14:07.280 --> 01:14:21.280]  Having some cloud person know you is creepy.
[01:14:21.280 --> 01:14:27.280]  iPadOS, we have a new OS.
[01:14:27.280 --> 01:14:31.280]  Michael goes crazy, starting to wave out there.
[01:14:31.280 --> 01:14:36.280]  Tell me the thinking, why change the name to iPadOS now?
[01:14:36.280 --> 01:14:40.280]  What pushed it over the edge in 2019?
[01:14:40.280 --> 01:14:46.280]  Yeah, and I'll say this one, even though it's a marketing thing, I think engineering.
[01:14:46.280 --> 01:14:54.280]  I mean, marketing gets to name things at Apple, but engineering felt very strongly on this
[01:14:54.280 --> 01:15:05.280]  one because we have, I mean, we've been on this trajectory for the iPad from the outset
[01:15:05.280 --> 01:15:10.280]  co-evolving with this incredibly, the hardware has been incredibly more and more advanced
[01:15:10.280 --> 01:15:13.280]  over time and has been enabling more and more software experiences.
[01:15:13.280 --> 01:15:17.280]  To that point, our worst nightmare was it's a big iPod touch.
[01:15:17.280 --> 01:15:18.280]  Right.
[01:15:18.280 --> 01:15:19.280]  Right.
[01:15:19.280 --> 01:15:21.280]  That was never the iPad experience.
[01:15:21.280 --> 01:15:27.280]  No, and in fact, from a UI design perspective, the very first iPad had these incredibly distinct
[01:15:27.280 --> 01:15:32.280]  experiences visually and taking advantage of the canvas at the time, but as the experience
[01:15:32.280 --> 01:15:38.280]  went on and we started saying, well, what do you want to do with a device that has these
[01:15:38.280 --> 01:15:42.280]  kinds of characteristics?
[01:15:42.280 --> 01:15:45.280]  What's the right kind of interaction model?
[01:15:45.280 --> 01:15:50.280]  Things like split view and slide over and drag and drop and Apple pencil started to
[01:15:50.280 --> 01:15:56.280]  be a factor, and then you start to see Apple and third party developers really start to
[01:15:56.280 --> 01:15:58.280]  take advantage of that and tailor the experience.
[01:15:58.280 --> 01:16:03.280]  When we think about a platform, when you think about a name, what makes TV OS TV OS?
[01:16:03.280 --> 01:16:05.280]  I mean, under the hoods, there's a lot of iOS in there.
[01:16:05.280 --> 01:16:09.280]  Why don't we call that like iOS for TVs or something like that?
[01:16:09.280 --> 01:16:12.280]  Well, because it defines an experience, right?
[01:16:12.280 --> 01:16:14.280]  TV OS means there's a 10-foot experience.
[01:16:14.280 --> 01:16:18.280]  Watch OS means it's an experience optimized for your wrist.
[01:16:18.280 --> 01:16:24.280]  iPad OS has evolved to have an experience that has its own distinct nature to the point
[01:16:24.280 --> 01:16:30.280]  that it deserved to be recognized in that way, and when you put some of the next set
[01:16:30.280 --> 01:16:36.280]  of changes that, you know, along the path that we are steadily on, we felt like we just
[01:16:36.280 --> 01:16:42.280]  crossed to the point where it was just silly to no longer say this is its own thing.
[01:16:42.280 --> 01:16:46.280]  Sure, technically it shares all these underpinnings, but fundamentally we're communicating
[01:16:46.280 --> 01:16:50.280]  to users, there's a distinctive experience here, and we're communicating to developers.
[01:16:50.280 --> 01:16:54.280]  Like, if you build an iPad app, you should support, if you're a document-based app,
[01:16:54.280 --> 01:16:56.280]  you should support multiple windows.
[01:16:56.280 --> 01:16:57.280]  You should support drag and drop.
[01:16:57.280 --> 01:17:00.280]  That's what it means to be a great iPad OS app.
[01:17:00.280 --> 01:17:07.280]  Well, and I think it was a good reminder, at least a lot of the coverage, that a lot
[01:17:07.280 --> 01:17:14.280]  of the coverage today was very positive on iPad OS and a reminder that the other guy's
[01:17:14.280 --> 01:17:17.280]  tablet experience really isn't a tablet experience, right?
[01:17:17.280 --> 01:17:22.280]  It was nothing but big phone experience, and that's a huge advantage for iPad.
[01:17:22.280 --> 01:17:27.280]  It is a real experience that is very distinct and unlike anything in the industry.
[01:17:27.280 --> 01:17:34.280]  And what struck me from a lot of the demos, not just, like, Notes and Mail, but even,
[01:17:34.280 --> 01:17:43.280]  like, the Microsoft Office iPad apps, is that 2UP is sort of a magic number, you know?
[01:17:43.280 --> 01:17:46.280]  Like, one, you know, like, the iPhone has always been a single-screen device.
[01:17:46.280 --> 01:17:49.280]  You launch an app, it gets the whole screen, and the iPad started that way and has sort
[01:17:49.280 --> 01:17:53.280]  of evolved with more multitasking screen arrangements.
[01:17:53.280 --> 01:17:55.280]  But 2 is sort of a magic number.
