[00:00.000 --> 00:06.000]  I just get it out of the way. Let's just start right off the bat. It's a big day for you.
[01:09:02.000 --> 01:09:22.000]  It doesn't have to have a personality but you should at least be able to have a conversation and we're not there yet so I would yeah Siri has got to be there and and anyway the fact that the first impression is so bad just means it has to get so much better before it re earns the trust of people who are like I'm not even going to bother asking, you know, my voice system for this because I just don't want a stupid answer.
[01:09:22.000 --> 01:09:39.000]  Well, I think it's a mixed blessing like I think Steven and Scott forced all were deeply invested in it. But when Scott left it sort of got handed off to a vice president and Eddie's org and I didn't really get the attention it needed because no one really foresaw even now it's going to be critically important in an AR if they're working on the AR operating system.
[01:09:39.000 --> 01:10:05.000]  It's going to be critically important for that and they have John Jean Andrea there now who's absolutely phenomenal and I think his organization will be as important to the next 10 years as John Suruji silicon team has been to the last 10 years, but there's a lot of rebuilding to do and because they're assistant number one, even if they allow default apps to be changed default assistance when you first install a new OS or you first get a new phone, they'll have an opportunity to like do something spectacular to get your attention.
[01:10:05.000 --> 01:10:21.000]  But I just think that that like just maybe make a whole separate Siri cloud that you can beta and just have people go through that over and over again because every beta process now Siri breaks a little bit more because they're busy working on the back end and that just makes it it makes it harder to build that trust relationship.
[01:10:21.000 --> 01:10:38.000]  I would add as a second service that I would like to seek continue to improve is iCloud as a whole and I think iCloud is done very well and I think that and again it's another thing where maybe it got off to a bad start and because it left a bad first impression with an awful lot of people.
[01:10:38.000 --> 01:10:57.000]  It's had to get better even better than it would have had to have been originally to get people to trust it again, but it's really I really do in trust most of my digital syncing life to iCloud and it for years now has been really, really solid.
[01:10:57.000 --> 01:11:06.000]  It is up there with the best of any sync service that I've used, but I still think that there's room for improvement.
[01:11:06.000 --> 01:11:16.000]  I would like to see it and it's a small thing, but I'd like to see it get decoupled further from OS releases like.
[01:11:16.000 --> 01:11:31.000]  It would be nice and I get why I understand the way Apple thinks in the way Apple approaches stuff like a new version of the reminders app or a new version of the notes app and why you have to upgrade to Catalina to get it.
[01:11:31.000 --> 01:11:41.000]  But there's no real reason for that. There's no, you know, like look at Safari the way that Safari is still made new versions of Safari are still made available.
[01:11:41.000 --> 01:11:47.000]  To people who are still using 10.14 and 10.13.
[01:11:47.000 --> 01:12:02.000]  It would be nice if you're upgrading reminders to a major new version and it is such a great. It's one of the great highlights that we don't talk too much about from last year reminders really went from an afterthought app to a really nice app.
[01:12:02.000 --> 01:12:24.000]  But it kind of stinks that it's coupled so tightly to being on the latest and greatest OS, especially on the Mac where for professional reasons, there's an awful lot of reasons, not just vague conservatism about upgrading to the new version of Mac OS 10, but just in a professional environment where you've got everything set up just so you don't want to be upgrading your OS.
[01:12:24.000 --> 01:12:39.000]  Yeah, if you're dependent on 32-bit plugins. Yes, right, right, right. And especially the 10.14 to 10.15 transition where it, you know, a whole chunk of 32-bit software is literally cannot be run.
[01:12:39.000 --> 01:12:44.000]  It's not even, you know, you have to click a warning. Yeah, it just doesn't run.
[01:12:44.000 --> 01:12:56.000]  I agree with that totally, but I'd love to see it like a step further. I've been advocating for a while that Apple just not get away from monolithic software releases because I think there's a lot of advantage to having that big WWDC announcement.
[01:12:56.000 --> 01:13:02.000]  But instead of saying coming September, I want them just to say coming over the next year and then there's no pressure enough.
[01:13:02.000 --> 01:13:18.000]  iMessage sync is late or AirPlay 2 is late. It's not like, oh, Apple failed to deliver it. It's like this is the roadmap for the next year of iOS and some of the stuff comes in September and some comes in October, some comes in March, some comes in June before the next announcement.
[01:13:18.000 --> 01:13:26.000]  And then decouple the online stuff entirely. Microsoft and Google did that years ago and just that stuff gets updated almost all the time.
[01:13:26.000 --> 01:13:33.000]  It allows so much more freedom and we don't have to worry about it as users either, and I think it has huge advantages.
[01:13:33.000 --> 01:13:44.000]  Yeah, I think so, too. So I would like to see Apple continue to work on that regard and be able to push iCloud updates off cycle.
[01:13:44.000 --> 01:13:55.000]  All right, next question. Ricardo Lamas asks, very short to the point, iPhone 2020 pricing, are we screwed with all the things going on in the world?
[01:13:55.000 --> 01:14:16.000]  I'm interpreting part two of his question to are we screwed getting iPhones in September, new iPhones in September as opposed to the darker question of are we collectively screwed with all the things going on in the world?
[01:14:16.000 --> 01:14:26.000]  I'm going to take it as an iPhone question, but if he meant the bigger sense, I guess the honest answer is I don't know, but I hope not.
[01:14:26.000 --> 01:14:32.000]  I think the 2020 iPhones thing, I know that there was some news.
[01:14:32.000 --> 01:14:46.000]  I think Nikkei had a news report that said that Apple was in discussions about planning discussions for whether the new iPhones.
[01:14:46.000 --> 01:14:58.000]  Again, you can't cancel what hasn't been announced, but everybody knows that the schedule Apple's been on for years now, which is the second Tuesday of September is iPhone introduction Tuesday.
[01:14:58.000 --> 01:15:06.000]  And then they start shipping at the 21st of the month that are somewhat later in the month, and that's also when iOS 14 comes out, blah, blah, blah.
[01:15:06.000 --> 01:15:10.000]  Everybody knows that schedule. Will that schedule hold this year with everything going on?
[01:15:10.000 --> 01:15:18.000]  And Nikkei reported that Apple at the highest levels is discussing, well, maybe not, and if so, what does that mean?
[01:15:18.000 --> 01:15:25.000]  And then Digitimes came out with a counter report that said, no, they're not talking about it, blah, blah, blah.
[01:15:25.000 --> 01:15:41.000]  I think if you just pause for a second and just think, of course, Tim Cook and Phil Schiller and Craig Federighi and engineering teams and everybody at Apple and the finance teams like Luca's team.
[01:15:41.000 --> 01:15:46.000]  And if everybody is looking, everything is on the table, right?
[01:15:46.000 --> 01:15:53.000]  Is it the supply chain that might screw Apple and prevent stuff from being ready in September?
[01:15:53.000 --> 01:16:05.000]  Is it the work from home regulations that are ongoing that are keeping Apple's end software engineering teams from collaborating like they're used to and hindering travel restrictions?
[01:16:05.000 --> 01:16:07.000]  They can't go to China and work on the prototypes.
[01:16:07.000 --> 01:16:14.000]  Exactly right. It's all of the above. All of it. All of it factors into it.
[01:16:14.000 --> 01:16:28.000]  Oh, and then there's the macroeconomic question of and the reading the room where the room is the world is, you know, will the world be ready for it?
[01:16:28.000 --> 01:16:33.000]  Will it play the way that Apple wants it to play as a here? Here's good news.
[01:16:33.000 --> 01:16:39.000]  We have exciting new iPhones to introduce. Will the world be ready for that in in September?
[01:16:39.000 --> 01:16:47.000]  Who knows? So, of course, of course, they're they're considering what are the plan B, C, D, E, right?
[01:16:47.000 --> 01:16:55.000]  Yeah. And I think it's interesting in a couple of ways, because first, usually every year there's rumors that Apple is going to be late with the new iPhone.
[01:16:55.000 --> 01:17:04.000]  It goes all the way back to that old video where Jim Cramer said, yeah, every year, you know, to protect my shorts, I call up an Apple news site and say it's going to be late.
[01:17:04.000 --> 01:17:10.000]  And they love to run with that stuff. And then the market dumps my cover my cover my nut and I go home.
[01:17:10.000 --> 01:17:15.000]  You know, it's like so I think there's a huge amount of market manipulation that goes on in the best of years.
[01:17:15.000 --> 01:17:26.000]  But this year, there's no expectation. I don't think anyone, anyone reasonable, anyone of a right mind would have an expectation that products will come out the way they would in a year that didn't have everything going on now.
[01:17:26.000 --> 01:17:40.000]  But the other two pressures I see is there's rumors of a smaller iPhone, like the iPhone will move to a smaller 11 style and a normal size 11 style and then an 11 sized pro and an even bigger pro.
[01:17:40.000 --> 01:17:47.000]  And typically the smaller ones are less expensive. The bigger ones are more expensive, but most of them are going to go 5G.
[01:17:47.000 --> 01:17:56.000]  The basic ones are going to go sub six, which is like the T-Mobile real kind of slightly better than LTE 5G.
[01:17:56.000 --> 01:18:06.000]  And the pros are going to go a millimeter wave and sub six and millimeter wave is the Verizon AT&T one that I'm still not convinced will ever be a real consumer technology.
[01:18:06.000 --> 01:18:18.000]  It might end up like WiMAX, but those are typically $100 more expensive. If you look at Android vendors or like Samsung, the lightest generation of Samsung phones are fairly similar to what the rumors are going to be.
[01:18:18.000 --> 01:18:23.000]  The rumors have been for iPhones and they're all much more expensive than they were previously.
[01:18:23.000 --> 01:18:39.000]  So I think if Apple, like they can do what they did with the iPad where they move down the lower end ones, people get really happy, like the iPhone 9 will be $399 and the smaller iPhone 11 will be a little bit cheaper than $700, maybe $600 or something.
[01:18:39.000 --> 01:18:50.000]  And then if they have to boost the higher end one that's even bigger, because people originally already think they're going to pay more for bigger anyway, and it has 5G on it, I think that's how they'll balance out the pricing this year.
[01:18:50.000 --> 01:19:03.000]  Can I can I I'm just going to toss in my sense here as a 5G skeptic, and I don't want to go down here I don't want to be quoted like Bill Gates 640 kilobytes of memory ought to be enough for anyone.
[01:19:03.000 --> 01:19:12.000]  Which quote I believe if you actually look at the further context of isn't nearly as foolish as the soundbite version makes Bill Gates seem.
[01:19:12.000 --> 01:19:36.000]  I don't want to say that 5G is never going to be an important thing, and I don't want to say that we're never going to in a handful of years, you know, somewhere between now and 2024, let's say that we won't be looking back at the pre 5G network performance and thinking that was that was kind of crappy.
[01:19:36.000 --> 01:19:52.000]  Maybe, but I have to say, there's a point of diminishing returns and I don't I don't I refuse to believe that any 5G could be that much better than the LTE performance.
[01:19:52.000 --> 01:19:55.000]  I'm getting all the time nowadays.
[01:19:55.000 --> 01:20:11.000]  So that's totally true and my colleague Daniel, my former colleague Daniel Bader, my friend Daniel Bader opened my eyes to this when he explained that for people like us, there won't be much difference. They say like at best it's a 20% improvement for sub six, but there are vast swaths of the country that just don't have LTE.
[01:20:11.000 --> 01:20:23.000]  It's never been delivered and the increase in bandwidth because they're freeing up so much capacity for it that the 5G will really do is deliver on the promise of LTE for far more people.
[01:20:23.000 --> 01:20:33.000]  I think like the mm millimeter wave stuff, you're exactly right. It's a fantasy. It's just not like if you have to turn if you turn around, or it rains and you lose your signal, that's not a consumer technology.
[01:20:33.000 --> 01:20:41.000]  But the sub six version, which is the cheaper and more ubiquitous version, that's just going to make LTE real for everybody. And I think that that part of it's a win.
[01:20:41.000 --> 01:20:55.000]  Yeah, so that's and that's, you know, as I live in a big city with good LTE coverage, and I don't want to be dismissive of people who live elsewhere. I have family who lives places where I can't wait to go. Well, remember when you could visit your family, but
[01:20:55.000 --> 01:21:23.000]  Yes. But like so long ago, I look forward to visiting them and having a strong signal that would be tremendous. So I'm not putting it down. But I do think you know that that is a much that's much that's compelling, that that there are swaths, big swaths of area that don't get an LTE signal at all and could get 5g because of whatever reasons you know that the bandwidth the what the the
[01:21:23.000 --> 01:21:33.000]  Yeah, just all the you know, all the bands that they're opening up for 5g and also the reliability of it. It looks like it's gonna be better than it's more robust than LTE at least.
[01:21:33.000 --> 01:21:52.000]  Right. So that is a huge win in terms of like day to day for me and probably most people who actually do get a good LTE signal. I just don't see it like what if I can already stream 4k video, what the hell else? Am I what am I doing? What am I going to be doing that needs that needs
[01:21:52.000 --> 01:22:02.000]  Even the carriers don't know their advertising is such garbage. It's like, oh, I forget the joke. It's like 8k. You'll be able to beam 8k over 5g to your television and none of those things are real.
[01:22:02.000 --> 01:22:27.000]  Right. And I the other thing that I would like them and it has to be on their radar, they have to be thinking about it. But it's like what I would like them to be thinking about is not just going from LTE to 5g and selling people new handsets and presumably somehow tacking on a 5g service feed to my monthly bill so they can charge me more.
[01:22:27.000 --> 01:22:52.000]  I would like to see them start looking at building out a capacity that would allow them to take on the landline based broadband providers, right? Yeah. Like, that's the only chance I'm ever going to have of getting a serious option competitor to Comcast, I think, is going to be over the air wireless.
[01:22:52.000 --> 01:23:10.000]  And performance wise, and I have a pretty good Comcast. I mean, up is no good. You know, it's the nature and maybe I can do some, maybe there's somebody I can call it Comcast and get that change. But, you know, I get about 200 megabits per second down.
[01:23:10.000 --> 01:23:28.000]  My hero, not a sponsor this week, but my hero system that I have in the house gives us, you know, somewhere close to that theoretical maximum of 200 plus and at times, you know, I get close to 300 down from the wall right over the wire.
[01:23:28.000 --> 01:23:46.000]  The hero gives us Wi Fi throughout the house. That is pretty close, you know, in practical terms to what you could expect. If that's what you're getting from the wire, what could you possibly expect by Wi Fi up isn't, you know, at best 20, but usually closer to 10.
[01:23:46.000 --> 01:23:59.000]  And so yes, when I upload a new version of the podcast, and I have to wait a while. I am annoyed. But, you know, for the most part, I would just like a lower bill.
[01:23:59.000 --> 01:24:21.000]  Yeah. And the big reason I can't do that now, performance wise, my LTE upstream LTE for me on a daily basis is way faster than my modem, my cable. The reason I can't just cancel Comcast is the bandwidth, the you know, the limits, you know, that we would shoot over it in a, you know, probably a day with the way my son watches YouTube.
[01:24:21.000 --> 01:24:37.000]  Yeah, absolutely. I think I think about it because we go to the conferences or events like the iPhone event in the hotel has crappy Wi Fi. Yeah, and I'm trying to upload and then I figured it'd be great if I could do it. But then how expensive would that be? And if I'm the 18th YouTuber trying to do it, how much bandwidth will actually be left on the signal?
[01:24:37.000 --> 01:25:03.000]  Well, we were talking about this, I think we're repeating ourselves. But I know that it was one of those times where it was like last WWDC, me not being a YouTuber, even though I guess I sort of am at WWDC, normal WWDC is because my live show does get put on YouTube, but I don't do it. I'm not the one uploading it. But like, you and Marquez. Marquez moved to a new hotel.
[01:25:03.000 --> 01:25:08.000]  Yes. And I tried to follow him, but they did the last room.
[01:25:08.000 --> 01:25:37.000]  He abandoned his hotel room. And again, it sounds ridiculous. But if you think well, you know, for a couple 100 bucks on a you know, for, you know, when you pay a couple 100 bucks for what is your profession? Yeah, yeah, it's worth it. But anyway, that's my thing. The other thing I noticed is amidst all this, I don't know if other carriers are doing the same. I don't know what the story is up your way in Canada. But here in the US Verizon has given everybody 15 gigabytes of monthly.
[01:25:37.000 --> 01:26:04.000]  tethering, or what do they call it hotspot support. Just tacked onto your plan, no charge. You know, we know everybody's working at home. In the midst of all this, here's 15 gigabytes of tethering. Why the hell, you know, if they can do that, now that everybody's using it, why? What are they doing with all that excess capacity in the normal months? Right?
[01:26:04.000 --> 01:26:27.000]  Well, I think I also heard conversely, that a lot of people are vastly reducing their plans, because they're not out in data. They're all home using Wi Fi. So I wonder if they're, they're afraid that people won't up their plans again. Yeah. And they have extra capacity because people are using it less. Yeah. It's almost like there's no cars on the road. So they're trying to do this. So that you think they're a nice, a nice company. And when you go back, you go back to what you used to use.
[01:26:27.000 --> 01:26:38.000]  Yeah, I've heard the same thing from a couple of friends on Slack, who were just like, yeah, I just actually checked my usage. And it's like, yeah, I haven't used anything. And then they're like, duh, I haven't left the house in 72 hours.
[01:26:38.000 --> 01:26:44.000]  I have like 30 gigabytes on my plan because I was traveling so much, and I reduced it down to very little and no roaming anymore.
[01:26:44.000 --> 01:26:57.000]  All right, let's take a break here. And I'll thank our next sponsor. Linode. I used to call them Linode, but they're not. They're Linode because they're Linux hosting, even though it looks like Linode.
[01:26:57.000 --> 01:27:09.000]  Look, whether you're working on a personal project or managing your enterprise's infrastructure, big enterprise. Linode cloud hosting has the pricing support and scale. You need to take your project to the next level.
[01:27:09.000 --> 01:27:20.000]  They have 11 data centers worldwide, enterprise grade hardware and their next generation network. Linode cloud hosting delivers the server performance you expect at a price that you don't.
[01:27:20.000 --> 01:27:39.000]  As a special offer for all talk show listeners and new Linode customers, use the promo code, talk show 2020. No the, just talk show 2020. Name of the show in the year 2020.
[01:27:39.000 --> 01:27:53.000]  And guess what? You check out, you receive $20 in free credit. As an added bonus, get a free three month trial of object storage. That's their S3 compatible, redundant, highly available storage option.
[01:27:53.000 --> 01:28:02.000]  So any kind of backend you have that's programmed against the S3 APIs, you can use their object storage instead. Plug it right in.
[01:28:02.000 --> 01:28:14.000]  Really, it's a great option starting on March 2nd, so that was earlier in the month and it ends on April 30th. Anybody with a Linode count can test out object storage.
[01:28:14.000 --> 01:28:26.000]  You can just log into the cloud manager, add a new object storage bucket and get started. And you get a three free month trial of object storage when you sign up using the code talk show 2020.
[01:28:26.000 --> 01:28:37.000]  One click installs of popular apps, WordPress, the lamp stack, game servers for Minecraft, CS GO. I don't even know what that is and more. I know what Minecraft is.
[01:28:37.000 --> 01:28:47.000]  And I mentioned this the last time they sponsored the show and a couple of listeners wrote to me and said, you know, I never really thought about that. My kid loves Minecraft. I play Minecraft.
[01:28:47.000 --> 01:28:59.000]  You can get one of their Nanode accounts, $5 a month. It's a terrific deal, the Nanode plan. And you can install your own Minecraft server and you have a great place to play the game.
[01:28:59.000 --> 01:29:07.000]  Giving your kid their own Minecraft server, then they and their pals can play there. It's a nice safe place where, you know, there's no goofballs there.
[01:29:07.000 --> 01:29:16.000]  It's funny. Minecraft is such a great game. My 16 year old son has gotten back into it. You think it's like for little kids, but now him and his pals in 10th grade are back into it running.
[01:29:16.000 --> 01:29:33.000]  A Minecraft server that only costs $5 a month. It's great. Everything they do at Nanode at native SSD storage. So whether it's something as goofy as a little Minecraft server for you and your kid and pals or seriously important stuff to your business.
[01:29:33.000 --> 01:29:48.000]  Everything at Nanode, native SSD storage, 40 gigabit network, industry leading processors, their revamped cloud manager, which has a terrific, terrific user interface. They have their own API with a Python library.
[01:29:48.000 --> 01:29:56.000]  So if you really got to write your own code to to integrate the stuff you want to do with your production servers or your testing servers or whatever you're doing, you can do it.
[01:29:56.000 --> 01:30:07.000]  And they even have GPU compute plans that you can get that are suitable for AI, machine learning, video processing, anything that really needs GPU computational stuff.
[01:30:07.000 --> 01:30:15.000]  So anyway, remember the code talk show 2020 when you create a new Linode account, you'll get $20 credit towards your next project.
[01:30:15.000 --> 01:30:22.000]  Again, that's four free months with their Nanode plan, four free months of a great, great plan that is totally useful.
[01:30:22.000 --> 01:30:35.000]  And last but not least, they are still hiring Linode dot com slash careers. You can find out more talk show 2020 and go to Linode dot com slash the talk show.
[01:30:35.000 --> 01:30:41.000]  And you can find out more Linode dot com slash the talk show and the coupon is talk show 2020.
[01:30:41.000 --> 01:30:44.000]  All right, let's keep going. Let's power through this list.
[01:30:44.000 --> 01:30:53.000]  How is my question from Brian? No last name. How's your titanium series five watch holding up? Initially, there seemed to be some concern about how easily it might scratch.
[01:30:53.000 --> 01:31:11.000]  Great question. I haven't talked about this in a while. I would say it is holding up terrifically. I picked up a scratch early on on the side facing me, like underneath, like I would say at about 33 minutes past the hour on the titanium part.
[01:31:11.000 --> 01:31:22.000]  Right. So the 33 minute mark, not quite in the middle. And it's not really a scratch. It's almost like it's like a some kind of coding came off there.
[01:31:22.000 --> 01:31:28.000]  I don't know what I did. That's the only one that happened early on. I haven't seen any other marks. I love it.
[01:31:28.000 --> 01:31:37.000]  Overall, I've been a space black Apple Watch where until now I couldn't be happier with my decision to go titanium this time.
[01:31:37.000 --> 01:31:46.000]  It really makes me happy as a watch nerd that I have this watch. I'm even wearing the I didn't think about this, but I'm wearing the I don't know why.
[01:31:46.000 --> 01:31:53.000]  But during this isolation thing, I've been digging out old Apple Watch straps and putting putting.
[01:31:53.000 --> 01:32:01.000]  I mean, any anything to occupy my brain. Absolutely. I've worn Apple Watch straps I haven't worn ever or before.
[01:32:01.000 --> 01:32:08.000]  I'm wearing the the sport band that comes with the titanium model. It's a sort of a grayish thing.
[01:32:08.000 --> 01:32:14.000]  It has a titanium. What do you call the plug that pokes through the hole? Yes.
[01:32:14.000 --> 01:32:20.000]  I never really wore it. I'm usually a black, dark strap person. And this is sort of a medium one.
[01:32:20.000 --> 01:32:25.000]  But I've been wearing it the last couple of days. I really like it. I've been wearing the gray bands.
[01:32:25.000 --> 01:32:31.000]  I was wearing one of the new ones. I forget what the color is called, but it's the gray sport loop with the orange trim on it.
[01:32:31.000 --> 01:32:37.000]  And I like the gray ones just because if I forget the color chart in my videos and I hold up my hand,
[01:32:37.000 --> 01:32:42.000]  I can freeze it for one second and white balance off the watch band, which is such a nerdy thing to do.
[01:32:42.000 --> 01:32:49.000]  But it's I've been wearing my titanium too. It's the brush titanium. I imagine the DLC is like the DLC stainless steel,
[01:32:49.000 --> 01:32:56.000]  which means it's like Batman's watch or something. It breaks things. But I have two tiny little and they aren't scratches.
[01:32:56.000 --> 01:33:02.000]  They just look like the polished coating they put on top of the brushed metal has been dented a little bit.
[01:33:02.000 --> 01:33:07.000]  The titanium looks fine. Yeah. And I have the same one to the regular titanium, not the DLC one,
[01:33:07.000 --> 01:33:11.000]  because my thinking on the darker one is if you're going to go black, go all the way.
[01:33:11.000 --> 01:33:17.000]  Go to space. Black stainless steel. If you're going to if you're going to upgrade over the aluminum ones,
[01:33:17.000 --> 01:33:22.000]  then you're going to go black. Go black, black. Whereas I like this.
[01:33:22.000 --> 01:33:33.000]  And I still can't beat Panzerino's description from like the day of the event where he described it as like a sort of DeLorean look.
[01:33:33.000 --> 01:33:39.000]  Yeah. It's like the old quick time window come to life. Yeah, I just and it does.
[01:33:39.000 --> 01:33:50.000]  And I the other strap I've been wearing that I really like a lot is the and never wore before this this Apple Watch is the leather.
[01:33:50.000 --> 01:33:56.000]  Magnetized one. I don't know what the leather loop, the leather loop, and I like the leather loop.
[01:33:56.000 --> 01:34:07.000]  It's it's a different way of looping than the sport band and the the mesh metal one.
[01:34:07.000 --> 01:34:15.000]  The Milanese, the Milanese, which has like at one side you can choose top or bottom, but one side it has to double over.
[01:34:15.000 --> 01:34:21.000]  The leather one only loops double over right at the bottom of your wrist, which I happen to like a lot.
[01:34:21.000 --> 01:34:26.000]  But that leather, the black leather, I don't think they call it black. It's like super dark gray or something.
[01:34:26.000 --> 01:34:32.000]  It's like near black. But the way that that leather is pebbled, I don't know that I like it in the abstract,
[01:34:32.000 --> 01:34:49.000]  but combined with this sort of 80s DeLorean look gives it just goes so well with this watch and has sort of a DeLorean 80s Back to the Future vibe without looking kitschy at all.
[01:34:49.000 --> 01:34:57.000]  I like it. And I said it before, like if the sports loops are like sweatpants for your wrist, the leather loops are like yoga pants for your wrist.
[01:34:57.000 --> 01:35:02.000]  They're just so comfortable. They really are a little bit classier. They really are.
[01:35:02.000 --> 01:35:09.000]  Let me just say this while we're on the subject of Apple Watch straps, the sport bands are not the sport bands.
[01:35:09.000 --> 01:35:14.000]  The I keep calling them sport bands. The sport band is the polyurethane.
[01:35:14.000 --> 01:35:19.000]  I don't know what they call it. The rubbery ones and the sport loops are the Velcro ones.
[01:35:19.000 --> 01:35:33.000]  The default Apple Watch strap from day one clearly has been the sport band, the rubber one that's based on the Mark Newsome design from his what was his watch called back in the day.
[01:35:33.000 --> 01:35:38.000]  Oh, I'm blanking on it. Yeah, whatever it was called, you know, and it's not like they ripped him off.
[01:35:38.000 --> 01:35:42.000]  They Johnny Ive is pals with them and they brought him in and they hired him.
[01:35:42.000 --> 01:35:47.000]  Yeah, they hired him and obviously paid him for the rights to this strap design.
[01:35:47.000 --> 01:35:52.000]  You see it everywhere. It is clearly, you know, it comes as the default strap with a lot of watches.
[01:35:52.000 --> 01:36:01.000]  Most Apple watches. You see lots of people who wear it every day. It's part of the the iconic nature of the Apple Watch, right?
[01:36:01.000 --> 01:36:06.000]  I mean, this is a very but it's also as a watch nerd. It is super clever.
[01:36:06.000 --> 01:36:13.000]  And one of the things with an awful lot of watch straps is what do you do with the extra part, right?
[01:36:13.000 --> 01:36:18.000]  I could pod. Sorry, I think it was I could pod. Yeah, that's it. I could pod, right?
[01:36:18.000 --> 01:36:25.000]  What do you do with the extra part of a watch strap? And there's always like, you know, a lot of watch straps have a little belt, you know, that you tuck it under.
[01:36:25.000 --> 01:36:37.000]  But then you can kind of see it over the top of the wrist and it feels back over time and it, you know, phrase the design of this where it just tucks under the other side of the strap.
[01:36:37.000 --> 01:36:45.000]  It's so extraordinarily clever. And in the years since Apple Watch has come out, it's, you know, it's been ripped off by a whole bunch of other people.
[01:36:45.000 --> 01:36:54.000]  You know, because anything popular gets ripped off. Yes. But the other thing that I so a it's a very clever design and it deserves its iconic nature.
[01:36:54.000 --> 01:36:59.000]  It's it really does. It's comfortable. It is convenient. It looks good.
[01:36:59.000 --> 01:37:06.000]  It is super clever and has solved a problem that has plagued watches for decades as to what do you do with the extra part.
[01:37:06.000 --> 01:37:19.000]  But the other thing that I think really deserves praise is that these bands last forever, like poking a hole, you know, where you poke the little knob through the hole to get it to fit.
[01:37:19.000 --> 01:37:28.000]  You would think and with most watch straps, whether they're especially leather, leather inevitably, you know, starts to get a, you know, a bigger hole over time.
[01:37:28.000 --> 01:37:39.000]  If you're poking a thing through the hole like a belt, these it's like you can never tell. Like I've been, you know, I have I have some of these that I've worn a lot.
[01:37:39.000 --> 01:37:45.000]  You take it off and kind of hold the lights up and you can't tell which is the hole that you use every day.
[01:37:45.000 --> 01:37:52.000]  Like the durability of this material is incredible. And if you just floor elastomer, I think they call floral elastomer.
[01:37:52.000 --> 01:37:57.000]  That is the term you use. It's incredibly durable. It's really amazing.
[01:37:57.000 --> 01:38:11.000]  And then the other part that the top part of the strap that has the pin and has the slot that the other side of the watch tucks under, it gets very thin at that point.
[01:38:11.000 --> 01:38:20.000]  Right. There's very little at that part where where the little slot where you tuck it under, there's not much floral elastomer there.
[01:38:20.000 --> 01:38:26.000]  If you didn't know better, you would think, well, that's going to rip. It looks like something that would rip after time.
[01:38:26.000 --> 01:38:30.000]  It doesn't. I've never seen anybody have one that rips.
[01:38:30.000 --> 01:38:35.000]  And you work out with it, you sweat with it, you swim with it. It really is a remarkable bass band for the whole system.
[01:38:35.000 --> 01:38:39.000]  You go, you know, all sorts of ways that you can knock your wrist against something.
[01:38:39.000 --> 01:38:44.000]  I mean, watch straps, you know, aren't known for lasting forever.
[01:38:44.000 --> 01:38:48.000]  Or at least the rubber type ones aren't. Really, Apple deserves.
[01:38:48.000 --> 01:38:57.000]  It's another one of the ways that their materials engineering teams are just doing work that just doesn't get commented upon enough.
[01:38:57.000 --> 01:39:11.000]  Like their floral elastomer team has made these watch straps that I've never seen one where there's all sorts of ways that you can have like a belt like watch strap with holes and you poke a thing through the hole for the size that you want.
[01:39:11.000 --> 01:39:14.000]  Those holes inevitably get bigger and wear out.
[01:39:14.000 --> 01:39:21.000]  I don't know what the hell that black magic they've done that doesn't happen with these, but it doesn't seem like they get kudos for that.
[01:39:21.000 --> 01:39:22.000]  And they should.
[01:39:22.000 --> 01:39:26.000]  It's one of those things where people, especially tech people, love to complain that Apple's not innovating.
[01:39:26.000 --> 01:39:30.000]  And they point to what I would describe as gimmicks on a lot of other devices that don't last.
[01:39:30.000 --> 01:39:32.000]  Like a year later, you never see them again.
[01:39:32.000 --> 01:39:37.000]  And Apple just does these things like makes interchangeable watch straps that are really durable.
[01:39:37.000 --> 01:39:44.000]  Or you see people with other phones say, I try to take a picture, but it didn't the camera app didn't load or it lost frames or the video keeps stuttering.
[01:39:44.000 --> 01:39:50.000]  And Apple makes this whole performance controller just to make sure every frame gets saved to the storage.
[01:39:50.000 --> 01:39:53.000]  And those kind of things, I think, are less than less in your face.
[01:39:53.000 --> 01:39:56.000]  But I think a lot of it makes real difference as to how we use our products.
[01:39:56.000 --> 01:39:58.000]  Yeah, I totally agree.
[01:39:58.000 --> 01:40:13.000]  I also think, you know, that as the years go on and more people have Apple watches and people who have them have worn them more and more, that the basic idea of, well, wait, everybody sort of shows their individuality through what watch they pick.
[01:40:13.000 --> 01:40:22.000]  Isn't it a little weird that everybody is inevitably having the same watch and having all of the variety or almost all of it, right?
[01:40:22.000 --> 01:40:24.000]  We were just talking about titanium versus aluminum.
[01:40:24.000 --> 01:40:32.000]  But for the most part, at a glance, you can't tell if titanium one's titanium or if it's aluminum.
[01:40:32.000 --> 01:40:36.000]  It's the bands that really stand out at a glance. And it's been successful.
[01:40:36.000 --> 01:40:44.000]  It's I think it's actually a remarkably successful way of people still feeling individual.
[01:40:44.000 --> 01:40:53.000]  They've individualized their Apple Watch, even though at a basic level, their watch is exactly the same as everybody else's.
[01:40:53.000 --> 01:40:55.000]  Yeah, no, 100 percent.
[01:40:55.000 --> 01:41:09.000]  Next question. Oliver Thomas asks, now that iCloud folder sharing has gone live with the release of iOS 13.4 and whatever the new version of Catalina is, 15.4 or whatever.
[01:41:09.000 --> 01:41:15.000]  Anyway, whatever new versions came out last week, have either of you switched away from Dropbox?
[01:41:15.000 --> 01:41:24.000]  I'll answer first. No, although I do use iCloud a lot, but I use it all for personal stuff and none of my collaboration stuff yet.
