[00:00.000 --> 00:02.000]  Tough fact to follow
[54:34.320 --> 54:37.680]  I was like that because you know I ship software
[54:38.240 --> 54:41.520]  I don't want my name attached to software that I have me noticed test
[54:42.720 --> 54:46.000]  So that was kind of a big that was troublesome
[54:47.040 --> 54:49.040]  um
[54:49.120 --> 54:51.120]  What actually happens is that
[54:51.120 --> 54:55.680]  um
[54:56.000 --> 55:00.960]  Bitcode which is what they call it and I know it's confusing is bytes and bits and whatever
[55:03.760 --> 55:05.760]  But the bit code that LLVM
[55:07.040 --> 55:09.040]  Emmits is
[55:09.840 --> 55:16.560]  Very much targeted to the processor that you planted the point on and the only changes that
[55:16.560 --> 55:19.680]  um Apple is going to make in this process are
[55:21.200 --> 55:23.200]  Quote provably correct
[55:23.760 --> 55:26.640]  Um and that gets hard to sort of explain
[55:27.120 --> 55:29.120]  uh
[55:30.160 --> 55:35.760]  If I'm doing something in the loop and at the beginning of the loop if I have to do something a hundred times and every time
[55:36.400 --> 55:38.400]  um, I have to write down
[55:38.640 --> 55:42.320]  Five different things that never change and memorize them
[55:43.040 --> 55:45.040]  um
[55:45.040 --> 55:50.240]  And then go through the loop and you know do all of the tasks that have to do and then do it again
[55:50.240 --> 55:53.920]  And then I have to write them all down again one optimization would be
[55:54.560 --> 55:59.280]  To well, why don't you just write them down once and use them every time through the loop now
[56:00.560 --> 56:03.840]  Modern compilers can do that for you. They can reorder your code
[56:04.800 --> 56:06.480]  in order
[56:06.640 --> 56:07.840]  To achieve
[56:07.840 --> 56:11.520]  Like efficiencies in this way and then to compile your code faster
[56:11.520 --> 56:15.920]  No, not to correct if those five things are that and you're saying it in this case
[56:16.400 --> 56:22.400]  Those five things are exactly the same and have to be exactly the same you can prove that they'll be exactly the same
[56:23.040 --> 56:25.040]  All hundred times through the loop
[56:25.920 --> 56:29.680]  Well, okay, so there's two things. There's there's yes. There's that which is
[56:30.480 --> 56:34.160]  the basically the the optimization level of rebutting code
[56:34.400 --> 56:36.400]  It'll pull those out and we'll put them on
[56:36.400 --> 56:41.040]  up top now the problem where that comes from is that if
[56:42.000 --> 56:44.000]  Okay, here the stages. I'm gonna
[56:44.320 --> 56:46.960]  Ask you your name. I'm gonna ask you your
[56:47.920 --> 56:52.000]  Your family name and then I am going to write them down on a piece of paper
[56:52.000 --> 56:55.120]  And I'm gonna pass it to somebody else. That's my iteration, okay?
[56:55.760 --> 57:02.320]  Oh, I'm gonna and I'll probably add a number to how many times I've done it so that each iteration is a little bit different now
[57:02.320 --> 57:09.840]  Ask you your name ask you your family name. I write them down. I'm doing that over and over and over now
[57:11.040 --> 57:13.040]  one day
[57:13.040 --> 57:15.840]  You're like, you know what John is a shitty name
[57:16.960 --> 57:19.680]  I'm gonna call myself guy cuz that's an awesome name
[57:20.960 --> 57:27.760]  And so now when I when I go through the loop, I've asked you your name and it's now guy Gruber and
[57:27.760 --> 57:31.760]  And so the output you're making me feel weird
[57:32.960 --> 57:34.960]  Yeah, I know that's it's all right
[57:35.200 --> 57:40.640]  I'm trying to explain in advance compiler optimations. No, that's a pretty good stuff. So
[57:41.840 --> 57:43.840]  if you took those two
[57:45.200 --> 57:49.040]  Steps like asking you your name and your last name and I took them out of the loop
[57:49.920 --> 57:54.480]  Most of the time it'd be totally correct, but there's a weird edge case word
[57:54.480 --> 58:00.640]  By analyzing the code. You can't necessarily tell that you're likely to you may change your name at some point
[58:01.600 --> 58:04.560]  Right, so that breaks code
[58:05.200 --> 58:09.120]  And that's the kind of optimization that happens with like
[58:10.560 --> 58:17.920]  O3 or O2 like that you set a flag about how much you want the code to be optimized when you compile these things
[58:18.720 --> 58:22.240]  Debug has no optimization so you can step through and see exactly what's happening
[58:22.240 --> 58:28.560]  At higher and higher levels of optimization the compiler gets smarter smarter about doing this kind of thing, but
[58:30.320 --> 58:32.320]  The compiler is not always
[58:33.360 --> 58:36.960]  Able to reason fully about your code and
[58:38.320 --> 58:41.520]  Therefore can introduce some bugs
[58:43.200 --> 58:47.040]  So that's why I was concerned and you're saying with big code that cannot happen
[58:47.040 --> 58:55.040]  So with big code, they're different they they have already done that entire stage of trying to be smart and
[58:55.680 --> 59:01.760]  Moving, you know, rewriting the code in order to achieve algorithm making they've done that on your machine
[59:01.760 --> 59:09.040]  You the machine underneath your desk as a developer and so what what what you've gotten from Xcode on your machine
[59:09.440 --> 59:12.080]  You can test to your satisfaction
[59:12.080 --> 59:20.400]  Exactly yeah now what bit code will allow Apple to do and I'm going to come up with a
[59:22.000 --> 59:24.000]  Similarly stupid example
[59:24.720 --> 59:26.720]  Is that
[59:27.200 --> 59:29.200]  If you have
[59:29.760 --> 59:32.800]  I don't know like some operations come like a multiple operation
[59:34.720 --> 59:36.720]  Maybe there's a fast way to do it
[59:36.720 --> 59:43.520]  Like if you're only multiplying powers of well be powers of two on a GPU bonus CPU
[59:43.520 --> 59:46.000]  But if you're only multiplying powers of
[59:46.880 --> 59:54.400]  Ten like so it's ten and a hundred and all that all you have to do is add a bunch of zeros, right? Like what logically? That's how you learn to do math
[59:56.720 --> 1:00:00.040]  There can be a very fast way to do multiplication
[1:00:02.320 --> 1:00:05.440]  That this compiler can take advantage of
[1:00:05.440 --> 1:00:08.960]  Because it's it's been introduced as a new
[1:00:09.760 --> 1:00:13.680]  It's called an intrinsic function like it's a new capability of the CPU
[1:00:15.760 --> 1:00:19.440]  Now a multiply is a multiply. It doesn't matter if it happens faster slow
[1:00:19.440 --> 1:00:24.240]  It's the same multiply the same order of operations apply like everything is fine
[1:00:24.960 --> 1:00:30.000]  whether they take a shortcut or they do the full-on multiply is
[1:00:30.800 --> 1:00:32.800]  You know is
[1:00:32.800 --> 1:00:37.520]  Something that is basically decision based on it that the CPU has to make
[1:00:38.880 --> 1:00:45.920]  And so Apple is basically reserving the right to change your code a little bit in order to better take advantage of these
[1:00:46.400 --> 1:00:47.520]  minute
[1:00:47.520 --> 1:00:58.560]  Optimization right and so it's not as has widely been speculated a way to future proof compiled code for as yet
[1:00:58.560 --> 1:01:01.520]  All together new processors
[1:01:02.720 --> 1:01:08.560]  That's my understanding. Yeah, this would be as hard to target retarget to a new processor as taking assembly
[1:01:09.120 --> 1:01:12.000]  And targeting it to a processor and under the hood
[1:01:12.720 --> 1:01:14.720]  So this article that was on
[1:01:15.520 --> 1:01:20.240]  There's a widely cited article written by I don't even know who it is like this he goes here
[1:01:20.800 --> 1:01:25.040]  He or she goes by the name inertial lemon and I don't know who this is but it
[1:01:25.040 --> 1:01:28.800]  That this inertial lemon wrote an article that it was sort of
[1:01:31.600 --> 1:01:36.320]  I think we're saying that they're probably wrong that it's it's a good article
[1:01:36.320 --> 1:01:38.960]  I recommend eating it. It's where I started with
[1:01:39.600 --> 1:01:41.600]  Until I spoke to people that
[1:01:41.920 --> 1:01:44.160]  Had to make it it's a little bit more magic
[1:01:44.800 --> 1:01:50.080]  Than then they can probably get away with and maybe even like from your perspective as a developer more magic
[1:01:50.640 --> 1:01:53.120]  Then you would be comfortable them trying to get away with
[1:01:53.120 --> 1:01:55.120]  well, so
[1:01:58.000 --> 1:02:02.480]  Ms. Lemon, I'm gonna I'm already forgetting last year inertial name inertial lemon
[1:02:04.080 --> 1:02:06.240]  I that's where I started. I thought that was
[1:02:07.360 --> 1:02:13.600]  They seem excited about the possibilities and it is it's exciting that you could retarget an application to a different platform
[1:02:14.480 --> 1:02:17.520]  On the other hand if somebody retargets my code to different platform
[1:02:17.520 --> 1:02:23.280]  and I don't get to approve it and it's shipped under my name
[1:02:24.080 --> 1:02:26.800]  I'm gonna feel very uncomfortable with that now
[1:02:27.920 --> 1:02:29.920]  Turns out that's not what they're doing
[1:02:30.400 --> 1:02:34.640]  They're they're they're doing small optimizations that they can have
[1:02:37.280 --> 1:02:39.280]  Probably pretty small benefits
[1:02:39.920 --> 1:02:42.480]  but in under certain certain conditions
[1:02:42.480 --> 1:02:47.720]  They're they're certainly worth doing so I'm you know, I'm excited about that
[1:02:49.040 --> 1:02:51.040]  What next so
[1:02:51.680 --> 1:02:55.360]  And this was cool to me and just as somebody who you know
[1:02:56.160 --> 1:03:02.800]  Majorting computer science used to think about computer science. It's like a purely computer science-y type thing is Apple unveiled a new
[1:03:05.040 --> 1:03:07.040]  Compression algorithm. They're calling
[1:03:07.040 --> 1:03:13.040]  L Z F S E almost surprised me cuz Apple usually comes up with some kind of name for everything
[1:03:14.640 --> 1:03:18.560]  Yeah, but this is some hardcore. Yeah, and it's a replacement for
[1:03:19.600 --> 1:03:22.320]  Well, like sort of a drop-in replacement for
[1:03:23.760 --> 1:03:29.760]  What was Z Lib or whatever, but that it's it? It's got different. I mean, I don't know if replacement
[1:03:29.760 --> 1:03:34.240]  We're thing right cuz it's an alternative. It's an alternative. Yeah, right. Yeah, I'll turn it up
[1:03:34.240 --> 1:03:37.360]  Yeah, cuz they should like speed versus a compression factor
[1:03:38.400 --> 1:03:40.880]  And it's it's way faster than Z Lib
[1:03:42.240 --> 1:03:44.240]  in the talk correctly and
[1:03:45.360 --> 1:03:47.920]  Compresses better too, right? So yeah
[1:03:48.800 --> 1:03:53.600]  And but the only thing that they didn't unveil about this they didn't say anything about it being open-sourced
[1:03:53.760 --> 1:03:58.640]  And I'm guessing that they probably will but they just didn't want to say anything right now because they're not
[1:03:58.640 --> 1:04:00.640]  They're not ready, but who knows
[1:04:02.240 --> 1:04:08.400]  Well, like you said, I think this is like serious comp side nerd territory. Yeah, if they don't open-sourced it
[1:04:08.400 --> 1:04:13.120]  I think there's gonna be a paper on it like he does. Yeah, it just seems to me like even if they've you know
[1:04:14.240 --> 1:04:16.400]  I can't see why they wouldn't open-sourced it
[1:04:16.400 --> 1:04:21.840]  I mean, the only thing I can think of is if there's some part of it that they've patented but even so it's like to me
[1:04:21.840 --> 1:04:23.840]  It would be better for Apple if they
[1:04:23.840 --> 1:04:29.200]  It would be more an Apple's interest to have this as widely used as possible assuming everything they say about it
[1:04:29.200 --> 1:04:35.600]  It is as good that it has the tight compression that you want, but it's like three times faster than Z Lib or whatever
[1:04:36.320 --> 1:04:40.720]  They wouldn't yeah, but you you can patent something and still describe the like right
[1:04:41.280 --> 1:04:46.720]  Like that's kind of the kind of the point right you can even uh like give if it exists like that for
[1:04:48.160 --> 1:04:49.520]  I mean
[1:04:49.520 --> 1:04:51.760]  You'd know better than I would like for
[1:04:51.760 --> 1:04:56.240]  20 years seems like before the patent expired. Yeah, the problem with
[1:04:56.880 --> 1:05:01.760]  Gift the Unisys on the patent on gift and it was like that they didn't enforce it
[1:05:01.760 --> 1:05:05.920]  They had a patent on it didn't enforce it then the web. Yeah, they did the submarine right
[1:05:05.920 --> 1:05:11.200]  And it was like all of a sudden on the web everybody was using it and then somebody at Unisys realized hey
[1:05:11.200 --> 1:05:13.200]  We own a patent on this and then you know
[1:05:14.000 --> 1:05:16.560]  Everybody sort of yeah, it was specifically if I
[1:05:16.560 --> 1:05:21.920]  Remember clearly the LCW yeah, I just very much in the family of things that we're talking
[1:05:21.920 --> 1:05:25.360]  I think what they could do an apple could do or some anybody could do
[1:05:25.360 --> 1:05:29.280]  And I think other people have done is you can patent it and say this is an apple patent
[1:05:29.280 --> 1:05:34.800]  But then they can they can bestow that patent, you know, they can say this is open to the world and you know and lee
[1:05:35.200 --> 1:05:40.400]  Yeah, once you have the patent you're the boss you can do it, but they could like like you can license it freely
[1:05:40.400 --> 1:05:46.800]  Right in it you didn't know legally binding you determine the licensing terms. So you know if
[1:05:47.520 --> 1:05:53.520]  The terms are everybody can use it and everybody can use it. That's fine, but I don't see that this is not a
[1:05:55.120 --> 1:06:00.960]  This is not a major benefit to apple. This is not gonna it. It'd be more of a better than your iPhones is gonna sell zero more
[1:06:00.960 --> 1:06:05.680]  It would be more of a benefit to apple if everybody else started using it even you know
[1:06:05.680 --> 1:06:12.160]  So like google servers were using it Amazon servers were using it or other you know startups
[1:06:12.160 --> 1:06:18.160]  You know people with web services could deploy it anywhere from anywhere so that iPhones
[1:06:19.680 --> 1:06:26.560]  Receiving these you know this stuff over the air could take advantage of this and have tighter compression and you know less CPU intensive
[1:06:29.280 --> 1:06:33.200]  Decompression of the compressed up and one one thing they pointed out was that
[1:06:33.200 --> 1:06:38.880]  A lot of the compression algorithms that we use today were developed 20 30 years ago and
[1:06:39.520 --> 1:06:41.520]  CPUs looked very different back right
[1:06:42.400 --> 1:06:46.400]  So creating a modern one that takes full advantage of you know modern
[1:06:48.560 --> 1:06:51.360]  Instruction sets and the ability to work on a lot of data with
[1:06:52.480 --> 1:06:53.440]  uh
[1:06:53.600 --> 1:07:00.880]  Man we're getting into the nerd weeds on this one, but there's methods to work with a lot of data with very few
[1:07:00.880 --> 1:07:05.280]  Instructions and and the CPU can just optimize that. Yeah. Well, I you know
[1:07:05.280 --> 1:07:09.040]  We don't have to say much more about it, but I do say I still think it's an interesting thing to be coming out of
[1:07:09.040 --> 1:07:13.920]  I'm not surprised, but it's it's an interesting just pure computer science wind to come out of apple
[1:07:14.720 --> 1:07:18.240]  Yeah, one thing I did want to mention about this is what I mentioned to you while we were
[1:07:19.280 --> 1:07:21.280]  Kind of chatting about this before the show
[1:07:22.000 --> 1:07:25.520]  I see FaceTime as the open source exception rather than well
[1:07:25.520 --> 1:07:29.280]  They're they're really pretty good about releasing stuff that they said they're gonna be able to yeah
[1:07:29.280 --> 1:07:35.520]  But if people remember that though the fan infamous one day when they unveiled FaceTime and and Steve Jobs said and it's gonna
[1:07:35.520 --> 1:07:39.600]  Be open, you know an industry standard. We're gonna you know, we're gonna tomorrow morning
[1:07:39.600 --> 1:07:44.320]  We're gonna send this to all the industry standard, you know, the standard committees and blah, blah, blah
[1:07:44.720 --> 1:07:49.840]  And so whenever Apple says anything's gonna be open people are like, yeah, I'll still hold my breath on FaceTime
[1:07:49.840 --> 1:07:54.640]  But FaceTime is definitely the exception, you know, yeah, and I've said this before but
[1:07:56.080 --> 1:07:58.080]  I'll say it on your show
[1:07:58.080 --> 1:08:00.080]  I went out
[1:08:00.080 --> 1:08:04.240]  To a party with the FaceTime guys the day it was announced and they had no idea
[1:08:04.400 --> 1:08:11.080]  They were like what the fuck happened there. We don't know and I've since heard from people that would know
[1:08:12.400 --> 1:08:13.760]  that
[1:08:13.760 --> 1:08:15.760]  Steve asked somebody
[1:08:16.320 --> 1:08:22.440]  Can be open sources and they just came back with sure and they didn't really check with the team
[1:08:22.440 --> 1:08:28.760]  I like whoever gave the answer wasn't from engineer. Yeah, like the manager and the entire team was sitting in the audience
[1:08:28.760 --> 1:08:34.680]  And they were like when they heard they was gonna be open source day they were as shocked as we were probably more so
[1:08:35.800 --> 1:08:41.160]  So anyway, yeah, and plus in the internal everybody but it's not that's not some kind of weird
[1:08:41.160 --> 1:08:43.640]  Maccabillion thing that's just a complete
[1:08:44.120 --> 1:08:48.440]  Fuck up for like a better expression and it's sort of you know, it's
[1:08:48.440 --> 1:08:52.920]  You know, you got to take the good with the bad with Steve jobs where he can be
[1:08:53.160 --> 1:08:55.160]  impetuous and impulsive and
[1:08:55.480 --> 1:08:57.960]  Sometimes that works to your advantage and sometimes it doesn't
[1:08:58.840 --> 1:09:01.720]  Right, I get the impression that it was just like sure Steve
[1:09:03.000 --> 1:09:08.200]  And they had all sorts of other problems with that too where they had like a patent lawsuit and and there was a time
[1:09:08.200 --> 1:09:09.720]  I think I might be
[1:09:09.720 --> 1:09:13.320]  Yada Yada yada yada eating some of stuff in the middle, but some of this there were problems
[1:09:13.560 --> 1:09:17.000]  You know from when FaceTime debuted to where we are today
[1:09:17.000 --> 1:09:20.760]  where because of a patent lawsuit they had to unroll some stuff and
[1:09:21.480 --> 1:09:25.800]  It made it let work less well and there were some you know drop calls and stuff like that
[1:09:26.040 --> 1:09:31.560]  It got worse for a while before it got better because they had to take out some stuff because of a patent lawsuit obviously
[1:09:32.440 --> 1:09:37.760]  That would have been a problem if they'd opened if they had just just quote-unquote open source the original thing anyway
[1:09:39.160 --> 1:09:42.560]  Yeah, you don't just decide to open source something like that. There's
[1:09:42.560 --> 1:09:46.560]  technical and
[1:09:46.560 --> 1:09:50.320]  All right, so next big topic. We've got watch kit 2.0
[1:09:50.560 --> 1:09:53.760]  Which is seriously a major major major difference?
[1:09:53.760 --> 1:09:56.640]  So watch kit as we know it with what they unveiled last November
[1:09:57.120 --> 1:10:00.800]  What every single watch app in the App Store today is
[1:10:01.920 --> 1:10:08.000]  Is code that runs on your phone and projects a UI onto the watch
[1:10:08.000 --> 1:10:14.080]  And watch kit 2.0 as promised by Jeff Williams a month or so ago
[1:10:14.800 --> 1:10:17.920]  Is native native native code that can run on on the watch
[1:10:22.400 --> 1:10:27.600]  1.0 still works, which is nice and might be good for some uses, you know
[1:10:27.600 --> 1:10:32.520]  I asked yeah, sure about that last week and there might be some apps that don't even need to run natively
[1:10:32.520 --> 1:10:37.960]  If they you know really do just need occasional status updates why even bother with it?
[1:10:39.080 --> 1:10:41.560]  So I do think that the watch kit was sort of the
[1:10:42.440 --> 1:10:46.200]  That was the big thing right like we've got a whole new platform. Yeah, I think so
[1:10:49.480 --> 1:10:51.480]  What I was surprised about
[1:10:51.480 --> 1:11:01.320]  Was just exactly how much access we got to it because we get we all expected apps, right?
[1:11:03.240 --> 1:11:06.840]  But we get a lot more we get complications notifications glances and apps
[1:11:07.880 --> 1:11:09.880]  I really did not think that
[1:11:10.040 --> 1:11:10.840]  uh
[1:11:11.080 --> 1:11:14.360]  We as third-party developers would be afforded
[1:11:15.240 --> 1:11:17.240]  Access to the complications machinery
[1:11:17.240 --> 1:11:21.160]  I always expected that we would be eventually, but I thought that would be an exterior thing
[1:11:22.200 --> 1:11:25.160]  Well eventually sure but as like a
[1:11:26.360 --> 1:11:31.480]  I know it's called a watch kid 2.0, but whatever I'm gonna call it like a first release of native
[1:11:32.120 --> 1:11:36.200]  Yeah, I Apple would never use a version number like this, but more or less like what we had
[1:11:36.920 --> 1:11:40.920]  With the current, you know watch kit is sort of like watch kit 0.1
[1:11:42.440 --> 1:11:45.000]  I'm surprised that they call it watch kit still
[1:11:45.000 --> 1:11:47.000]  uh
[1:11:47.160 --> 1:11:50.440]  It seems like watch kit could have been that weird bluetooth thing and then
[1:11:51.960 --> 1:11:54.920]  I don't know watch SDK could have been
[1:11:56.360 --> 1:12:01.160]  I don't know, but here's the interesting thing you still need to have an iPhone app
[1:12:01.800 --> 1:12:06.840]  In order to have a watch app you cannot sell watch apps directly they need to be a complement
[1:12:07.480 --> 1:12:09.480]  to your iPhone app
[1:12:09.960 --> 1:12:13.320]  What that means is you know probably lost to the muddy
[1:12:13.320 --> 1:12:18.680]  Vegas or app approval like can you just have a screen that comes up and say hey check it watch
[1:12:19.960 --> 1:12:21.960]  probably not
[1:12:23.640 --> 1:12:25.160]  but
[1:12:25.400 --> 1:12:27.400]  What watch kit 2.0 it is is
[1:12:29.000 --> 1:12:31.000]  Remarkably robust
[1:12:31.880 --> 1:12:33.880]  and forward-looking
[1:12:33.880 --> 1:12:38.120]  Especially compared to how we saw the launch of yeah, I want to my
[1:12:38.120 --> 1:12:45.240]  Go-to moves during WWDC is when I run into somebody. I haven't seen them in all somebody. I know it's just asked them, you know and
[1:12:46.440 --> 1:12:49.400]  Especially this week. I just had last week. I had you know while I was there
[1:12:49.400 --> 1:12:51.400]  I had more meetings and stuff outside
[1:12:51.800 --> 1:12:57.480]  Moscone than usual almost every day. I had something going on and I really I didn't make it to any sessions at all
[1:12:58.040 --> 1:12:58.600]  All week long
[1:12:58.600 --> 1:13:01.960]  So I was woefully under informed even compared to usual
[1:13:02.200 --> 1:13:06.040]  So I just asked people like tell me something cool you learned this week and you know what what's your take?
[1:13:06.040 --> 1:13:10.680]  And I kept hearing over and over from people that who were surprised who were like I knew they were going to
[1:13:10.920 --> 1:13:14.120]  That they said we're going to get native watch apps. I can't believe how
[1:13:15.000 --> 1:13:18.040]  How much they've exposed to watch apps already, you know
[1:13:18.280 --> 1:13:24.760]  Even knowing that we're going to have something quote-unquote native running on the app people are you know developers are very surprised at how much there is
[1:13:26.200 --> 1:13:28.200]  I'm shot
[1:13:29.800 --> 1:13:31.800]  You know not to
[1:13:31.800 --> 1:13:41.400]  Whatever not to be too nasty you but I did like that. You brought up the watchcate 1.0 period to fill
[1:13:42.280 --> 1:13:47.080]  I'm calling him fill his days to to killing you to give me all that compliments, isn't it?
[1:13:48.280 --> 1:13:52.520]  Yeah, it really is I mean usually have me on the show and I like you want me to be a dick
[1:13:52.920 --> 1:13:55.800]  It's like like when we disagree with something you want me to
[1:13:55.800 --> 1:14:00.600]  It's I I you did a guy checks that I texted down rumple today
[1:14:00.600 --> 1:14:06.040]  We were I forget what we were texting about, but I told him that it killed me to admit publicly. How good he looks
[1:14:08.280 --> 1:14:11.720]  I was almost a faithful thing. I've written on daring fireball all year
[1:14:12.760 --> 1:14:17.000]  It's a good looking fellow these days. I don't want to mess with him. No, I
[1:14:17.320 --> 1:14:24.520]  Don't want we got to buy him a lot more beer and so here's an interesting thing so complications everybody is excited that there's a really good
[1:14:24.520 --> 1:14:34.360]  Complications API and that third-party apps can add complications to all these faces. It is a fascinating design challenge
[1:14:35.080 --> 1:14:37.080]  I was talking to the guys
[1:14:37.720 --> 1:14:41.400]  My friends who work at MLB.com and they do the MLB app and
[1:14:42.200 --> 1:14:45.240]  They were like they heard about this. They were they were just like us
[1:14:45.240 --> 1:14:51.000]  They were surprised that they were gonna get it and then they immediately started plotting what they were gonna do and for most of these
[1:14:51.000 --> 1:14:57.560]  Complications you're so limited in space and how much size it's like like their first thought was that you could pick a favorite team
[1:14:57.560 --> 1:15:01.800]  And then you'd have a complication that while the game is going on would show you the score
[1:15:02.440 --> 1:15:08.360]  But they for most of the sizes of complications. They there's I don't maybe they figured it out by now
[1:15:08.360 --> 1:15:15.080]  But at least last week they still hadn't figured out how to do it because you can't use color because the colors come from the
[1:15:15.080 --> 1:15:24.440]  The settings. Yeah, so you can't like say the Yankees are blue and the Phillies are red and indicated with dots that way or something like that
[1:15:24.440 --> 1:15:31.400]  You have to has to be without using color to indicate that and they're so little space that you you know
[1:15:32.120 --> 1:15:37.320]  It's it's really it's gonna be a great design challenge in terms of like constraints being you know
[1:15:39.320 --> 1:15:41.320]  Fourcing you to be super creative
[1:15:41.320 --> 1:15:48.280]  Yeah, I agree. I'm just as a bit of backstory
[1:15:48.680 --> 1:15:56.840]  I know you bring up the MLB guys a lot, but it's not just you'd love to baseball those guys do an amazing job
[1:15:57.640 --> 1:16:03.480]  Like we've had lunch, but I mean I've joined you for lunch a couple of you don't even know the rules are based on you have a
[1:16:03.480 --> 1:16:04.480]  I don't know the rules
[1:16:04.480 --> 1:16:11.040]  You have a good time guys are talking to those guys awesome to talk to you. They are amazing to talk to like it's like they are very
[1:16:11.040 --> 1:16:16.040]  very smart guys, and they all love baseball and they're not jackasses when I'm like
[1:16:17.080 --> 1:16:19.080]  So do you swing the bat this way?
[1:16:20.040 --> 1:16:24.200]  Batty in a thousand is that that's a hundred percent right? Yeah. Yeah. I'm asking about it
[1:16:27.000 --> 1:16:30.440]  But they are killing it in terms of technology
[1:16:31.360 --> 1:16:37.440]  Like you're killing it. I think I'm correct in that they're back-end is the one that's powering a bunch of
[1:16:37.440 --> 1:16:43.520]  Yeah, their video back-end does all of the WWE stuff and the HBO now
[1:16:43.960 --> 1:16:47.560]  They're not doing HBO go HBO go is still the old HBO back-end
[1:16:48.720 --> 1:16:53.400]  But new stuff is yeah, and I think it a I think the new stuff is probably more popular
[1:16:54.240 --> 1:16:59.960]  Yeah, and I mean just wrap your head around that MLB is a major
[1:17:00.680 --> 1:17:07.120]  Technology that's crazy. Well think about this like they deserve it because those guys are smart right and last year with HBO
[1:17:07.120 --> 1:17:08.160]  Go
[1:17:08.160 --> 1:17:15.280]  When Game of Thrones the you know last year season of game of thrones came out their servers crapped out and they had to say stuff like
[1:17:17.000 --> 1:17:22.320]  We know it Sunday night and there's a new episode of Game of Thrones if you want to watch it on game on HBO go
[1:17:22.320 --> 1:17:24.320]  Why don't you wait a day or two?
[1:17:25.320 --> 1:17:29.360]  And there was none of that this year with the HBO now
[1:17:30.120 --> 1:17:32.360]  And it's like one of those things people just you know
[1:17:32.360 --> 1:17:39.680]  When when you're online stuff fails everybody talks about it and when it works perfectly everybody just assumes that it was supposed to be
[1:17:39.680 --> 1:17:41.680]  But they the MLB
[1:17:41.680 --> 1:17:47.200]  dot com back to HBO now stuff with Game of Thrones just just worked and everybody if you wanted to watch
[1:17:47.200 --> 1:17:49.200]  Yeah, you know you could watch Sunday night
[1:17:49.720 --> 1:17:54.880]  Anyway, just wanted to step out a bit there and sing their praises because those guys are not dummies
[1:17:55.800 --> 1:17:57.800]  But you know
[1:17:58.200 --> 1:18:00.200]  Complications on the watch seem perfect for that
[1:18:00.200 --> 1:18:04.320]  I don't yeah, I can't even tell you how many times have been hanging out with you and you just like
[1:18:05.680 --> 1:18:07.680]  Just dodged the conversation
[1:18:07.680 --> 1:18:09.920]  Not to check out what's going on with the game
[1:18:10.920 --> 1:18:12.760]  That'd be great
[1:18:12.760 --> 1:18:17.680]  And the way complications work is pretty cool and that you provide a timeline right
[1:18:18.640 --> 1:18:22.000]  obviously that's not gonna work for a game because again particularly future but
[1:18:23.000 --> 1:18:25.000]  for you know
[1:18:25.000 --> 1:18:33.000]  Stuff like weather or upcoming events. You can provide a timeline and then when you start dying the digital crown you get to see into the future
[1:18:34.360 --> 1:18:38.720]  I haven't tried the beta cuz I don't want to put on my regular watch
[1:18:40.880 --> 1:18:42.880]  You still have your
[1:18:43.680 --> 1:18:50.080]  Yeah, the review you know watch I thought about that I do I was getting ready to send it back and now I'm wondering why that maybe I should keep it a couple
[1:18:50.080 --> 1:18:56.160]  Weeks so I can put 2.0 on it. Yeah, but two. No, really that's going in the garbage van that they're gonna insinuate that
[1:18:56.480 --> 1:18:58.480]  Because I wore it
[1:18:58.480 --> 1:19:00.480]  Yeah, probably
[1:19:00.480 --> 1:19:02.480]  They don't want that
[1:19:02.920 --> 1:19:06.240]  Somebody plastic gloves is gonna put that in the zip-like bag and it's going
[1:19:06.240 --> 1:19:09.960]  I think like a lot of people while I was watching the keynote and they said okay
[1:19:09.960 --> 1:19:16.400]  And now we've got this timeline interface for complications and you spin the digital crown that go forward or backward in time
[1:19:16.400 --> 1:19:19.440]  And it'll show you you know like so if you have the temperature
[1:19:19.440 --> 1:19:24.000]  Obviously they're not gonna be able to show you the future temperature, but you can go back in time and and
[1:19:24.960 --> 1:19:27.840]  See the previous temperature or the joke that they made that the stock
[1:19:28.720 --> 1:19:32.040]  You know, right this talk. It does not go into the future
[1:19:32.040 --> 1:19:35.520]  But you can go into the past and see the stock moving throughout the day as the hours
[1:19:35.840 --> 1:19:39.920]  You know change on your on your hand. I like I'm sure a lot of people
[1:19:39.920 --> 1:19:45.640]  I immediately thought well what the hell happens now when I spin the crown on my watch and I went and spun the crown and of course nothing happens
[1:19:45.640 --> 1:19:55.320]  Well, it depends on the astronomy and I believe the Sun. Yeah, the solar one. Yeah, you can do that
[1:19:55.320 --> 1:20:01.800]  You can spin the the thing and it shows you what happens, but that those are two faces where you don't get to customize the complications
[1:20:03.000 --> 1:20:08.520]  Right, and it makes me wonder maybe because that might be why you didn't get to customize the complications
[1:20:09.480 --> 1:20:11.480]  because they didn't want to have
[1:20:11.480 --> 1:20:13.480]  I
[1:20:14.760 --> 1:20:18.760]  Had that I didn't yeah, so it makes me wonder whether in the you know
[1:20:19.560 --> 1:20:24.160]  2.0 what maybe they'll add some minor complications to like the solar face because
[1:20:25.760 --> 1:20:28.240]  Those will update too as you spin the crown
[1:20:29.240 --> 1:20:31.960]  Well, we'll have to ask your friends. Yeah, we'll have to see
