[00:00.000 --> 00:04.520]  Still there. Oh, yeah, you know what it did it. Oh, you sound so much better
[01:04:55.320 --> 01:05:01.600]  Use the code talk show know the and you'll save five bucks and you can get a kit for like 15 bucks
[01:05:01.600 --> 01:05:05.760]  So you did only cost you like 10. So for 10 bucks, you can totally upgrade your your shave
[01:05:07.200 --> 01:05:09.200]  Good people at Harry's. Yeah, great service
[01:05:10.600 --> 01:05:13.320]  You know, I'll make a great code good offer code
[01:05:14.040 --> 01:05:19.400]  What would make a good I will never buy anything from assholes who paid John Gruber for sponsorships
[01:05:21.960 --> 01:05:23.960]  That was
[01:05:23.960 --> 01:05:28.840]  That was from our friend Dave over at math. He was looking through his
[01:05:28.840 --> 01:05:35.720]  He was looking through his his refers his refers over at mad.com. They sponsored a whole slew
[01:05:35.720 --> 01:05:39.760]  I love their sponsorships. Oh my god. That was the best sponsors ever
[01:05:39.760 --> 01:05:43.480]  I said still blows me away what they did with the Darren fireballs like the four
[01:05:43.480 --> 01:05:45.960]  Oh, did they do like a was like a 404 page or something?
[01:05:45.960 --> 01:05:50.800]  They once the one they did like three straight weeks and the water is a was a it was a typo
[01:05:50.800 --> 01:05:54.440]  And they wanted a typo at the URL. So it went to a 404 page
[01:05:54.440 --> 01:06:01.200]  And so they got one referral it's like a Google Analytics screenshot they posted right they had one
[01:06:01.200 --> 01:06:04.880]  That was just the title of the link was an ellipse
[01:06:05.840 --> 01:06:10.480]  It's just three dots and then it just said the message that only went in the feed
[01:06:10.480 --> 01:06:12.320]  It just said in this week before Christmas
[01:06:12.320 --> 01:06:16.120]  We thought it'd be nice to take our daring fireball sponsorship and not pitch you on anything
[01:06:16.120 --> 01:06:20.520]  Enjoy the holidays math and they didn't have a link it didn't it they signed it math
[01:06:20.520 --> 01:06:25.240]  But they didn't link to their website. There was no there was no URL. It just went nowhere
[01:06:25.240 --> 01:06:32.080]  And then the week before was the one where they had the the ASCII art of a guy flipping a table
[01:06:33.280 --> 01:06:35.280]  That said Amazon
[01:06:35.680 --> 01:06:39.800]  Upside down like with those crazy Unicode characters that were happy holidays
[01:06:40.440 --> 01:06:44.780]  Right, which only made sense which was cool because it only made sense if you knew the backstory
[01:06:44.780 --> 01:06:52.720]  Yeah, that relationship. Yeah that they had started woot. That's the same guys who did woot and they sold the Amazon and
[01:06:54.300 --> 01:06:58.540]  Did you ever read that story like Paul kafasa sleep? Oh, yeah, I think I think I did it
[01:06:58.540 --> 01:07:04.100]  It sounds like it was not ideal. Yeah, it was like Amazon bought them and they didn't do well. They weren't happy
[01:07:04.100 --> 01:07:06.420]  it didn't seem like Amazon cared and and
[01:07:07.620 --> 01:07:09.620]  the founder had
[01:07:09.620 --> 01:07:17.940]  Like a breakfast with Jeff Bezos Bezos. Yeah, whatever and you know basis is going on and on about whatever and he's like
[01:07:17.940 --> 01:07:21.100]  Well, look, can I ask you a question? He was like, why did you buy woot?
[01:07:21.100 --> 01:07:27.840]  And it was like he just like stared at his like breakfast and there was like this one weird thing on his you know
[01:07:27.840 --> 01:07:31.180]  Breakfast platter, right like a some weird vegetable
[01:07:31.700 --> 01:07:33.380]  he was like
[01:07:33.380 --> 01:07:40.540]  Your thing was like this this piece of weird lettuce. I didn't understand it. So I wanted to buy it. I didn't get it
[01:07:40.700 --> 01:07:45.340]  So I just wanted to buy it. What a psycho. Yeah, it seems like a real nut job
[01:07:45.460 --> 01:07:51.580]  He does he seems easy and like the whole story of like the Amazon the fire phone. It just sounds nuts
[01:07:52.180 --> 01:07:54.660]  Yeah, that was some great reporting
[01:07:54.660 --> 01:07:57.980]  I forget if I talked about this on the show or if I just linked it up on during fireball
[01:07:57.980 --> 01:08:01.580]  but Austin Carr wrote that for a fast company and
[01:08:01.580 --> 01:08:05.980]  and really really top-notch like if you want to bemoan the lack of
[01:08:06.780 --> 01:08:08.860]  Actual reporting that goes on today, man
[01:08:08.860 --> 01:08:11.420]  That's a great counterexample because he really did the legwork
[01:08:11.420 --> 01:08:18.660]  He clearly got people who worked on that phone to talk and Bezos sounds like basically Bezos like it was his passion project
[01:08:18.660 --> 01:08:22.220]  He dove in with both feet and I don't say micromanaged
[01:08:22.220 --> 01:08:27.620]  But he like he had would not he would not go off his decisions at any point, right?
[01:08:27.620 --> 01:08:32.540]  Like he was very decisive about exactly how this thing was gonna work and wasn't listening to anybody. Yeah
[01:08:33.100 --> 01:08:37.280]  Yeah, I think long story short. Well, how did the fire phone come to be?
[01:08:37.280 --> 01:08:40.140]  I would say long story short based on Austin Carr's reporting
[01:08:40.460 --> 01:08:45.500]  It was something to the effect of we should do a phone if we do a phone
[01:08:45.700 --> 01:08:51.260]  Should it it should either be really cheap or it should be asked if it's not really cheap
[01:08:51.260 --> 01:08:55.320]  Then it has to compete with the iPhone. Oh in the 3d. It's got to do 3d, right?
[01:08:55.320 --> 01:08:59.060]  Well, it become like a thing. That was the thing like so then the next step Bezos was like, well
[01:08:59.060 --> 01:09:03.620]  I want to compete with the iPhone and because I think he wanted to make a phone that he would actually use right so like
[01:09:03.620 --> 01:09:07.820]  What's the point of like them making a cheap phone if they themselves are also gonna use iPhone?
[01:09:07.820 --> 01:09:12.300]  So they wanted to they're gonna go high-end then then the next step in the logical chain is well
[01:09:12.300 --> 01:09:15.980]  Then we have to have a hook right there has to be something if we're gonna sell a phone
[01:09:15.980 --> 01:09:20.780]  that's like four or five hundred bucks there has to be something that is compelling about it and
[01:09:20.780 --> 01:09:26.020]  Bezos latched on to this 3d thing, you know, everybody knows the basic, you know
[01:09:26.020 --> 01:09:33.800]  That there's 3d interface that using accelerometers and the four cameras on the front, you know that it can it without any special glasses
[01:09:33.980 --> 01:09:39.420]  it makes like a fake 3d effect on the flat surface of the phone and
[01:09:40.540 --> 01:09:44.620]  It there was like no budging him off that that's you know, that's like our Siri
[01:09:44.620 --> 01:09:48.060]  that's our hook that we can advertise everybody's gonna go nuts for it and
[01:09:48.060 --> 01:09:54.300]  There was apparently a lot of internal skepticism that this would have any actual appeal like well, what's the point?
[01:09:54.300 --> 01:09:57.900]  It's a neat the gist of a lot of the people seem to think well, it is a neat trick
[01:09:57.900 --> 01:10:03.460]  But what is the point and then the phone shipped and everybody said well, it's a neat trick, but what's the point?
[01:10:04.260 --> 01:10:06.080]  But he stuck with it
[01:10:06.080 --> 01:10:10.740]  Right. Well, he printed up a lot of cardboard boxes that said buy a fire phone
[01:10:10.940 --> 01:10:14.880]  That was so weird the first time I got an Amazon box with that that on the tape
[01:10:14.880 --> 01:10:19.900]  I was like what I was like somebody sent me an Amazon fire phone. I thought the same thing
[01:10:19.900 --> 01:10:24.500]  I thought the same thing cuz every you know, and I thought it was be believable for me because
[01:10:25.700 --> 01:10:30.740]  Nobody's ever sent me a phone like no company, but like I do get some equipment to try
[01:10:30.860 --> 01:10:33.060]  You weren't in that Sprint program back in the day
[01:10:34.220 --> 01:10:35.900]  No, I was in some I well
[01:10:35.900 --> 01:10:41.100]  I've gotten I got the g1 from Google HTC was nice enough to send me that I remember that that was fun
[01:10:41.100 --> 01:10:47.660]  And but I was in this thing where Sprint would just they were sending bloggers like new phones every few months like in the days
[01:10:47.660 --> 01:10:51.220]  Before I remember cuz it was around the time of the iPhone and I finally got this
[01:10:51.500 --> 01:10:57.900]  Totally crazy looking one where it had screens on both sides and it was kind of meant to look like an iPhone
[01:10:58.060 --> 01:11:03.140]  But you would do stuff you would need to flip the phone around and use different keyboards and a touchscreen was totally crazy
[01:11:03.420 --> 01:11:07.500]  Well, but it's not outlandish to know that somebody would send me a fire phone
[01:11:07.500 --> 01:11:09.140]  And that's what I thought it was and it was a box
[01:11:09.140 --> 01:11:11.700]  It was a box that was about the size that a phone might come in
[01:11:11.700 --> 01:11:14.020]  I was like, I cannot believe somebody sent me a fire phone
[01:11:14.900 --> 01:11:18.140]  And I opened it up and it was I don't know toothpaste so great
[01:11:19.580 --> 01:11:21.580]  All right
[01:11:23.180 --> 01:11:27.500]  Should we do it? Well, let's do one more thing and then we'll do it. Here's the other thing
[01:11:27.500 --> 01:11:31.180]  I want to go circle back on the on the vaccination. Oh Jesus
[01:11:31.340 --> 01:11:36.380]  Well, not vaccinations in particular, but to me it's it's a product of the internet age
[01:11:36.380 --> 01:11:42.540]  this is why I'm a little pessimistic about it getting fixed because I think pre-internet you
[01:11:43.180 --> 01:11:45.020]  There just wasn't enough
[01:11:45.020 --> 01:11:46.860]  information for people to do that like
[01:11:46.860 --> 01:11:52.220]  You know your best source of information on the health of your kid was what your pediatrician told you and if your pediatrician said
[01:11:52.340 --> 01:11:55.760]  We recommend these immunizations on this schedule
[01:11:56.900 --> 01:12:01.620]  Well, you know your way and maybe you might rely on your family, too, right?
[01:12:01.620 --> 01:12:05.620]  Yeah, think about like the things you hear about brand loyalty and how people who are pampers
[01:12:05.620 --> 01:12:10.980]  You know the mom used pampers so they use pampers and we're Heinz ketchup family and so forth
[01:12:10.980 --> 01:12:11.380]  Like, you know
[01:12:11.380 --> 01:12:13.740]  I think a lot of people especially at a young and impressionable age
[01:12:14.000 --> 01:12:18.280]  Having a kid take a lot of that from from what their family would say they'd be like, are you kidding me?
[01:12:18.340 --> 01:12:23.020]  You know, you know aunt Linda died because she wasn't vaccinated. Of course, you're gonna vaccinate your kids
[01:12:23.380 --> 01:12:26.260]  And it's you know that now though, you know
[01:12:26.260 --> 01:12:30.500]  I'm not that I'm not trying to say that pre-internet that nobody questioned their doctor. Of course
[01:12:30.500 --> 01:12:34.800]  I mean, you know the second opinion is part of our vernacular, you know
[01:12:34.800 --> 01:12:38.580]  Of course people might question their doctor, especially if you know
[01:12:39.080 --> 01:12:41.680]  The recommendation was surgery or something like that
[01:12:41.720 --> 01:12:45.580]  But now it's so easy for people to just find what they want to find
[01:12:45.880 --> 01:12:50.580]  Whereas you couldn't do that before and there's that stencil. It's a spray-painted stencil
[01:12:50.580 --> 01:12:56.240]  It's all you know, you can't go anywhere without seeing it, but you see it everywhere this the saying stop making stupid people famous
[01:12:57.400 --> 01:13:00.640]  Right, which is trite, but it's true
[01:13:00.640 --> 01:13:05.100]  It is absolutely the problem of the modern age is that we've made a lot of stupid people
[01:13:05.480 --> 01:13:08.960]  Very famous and not but we also feel like think about something like web MD
[01:13:09.120 --> 01:13:12.520]  And I don't think any of us can say we've never looked at web MD
[01:13:12.520 --> 01:13:15.240]  Well, we're pretty sure we have cancer like, you know
[01:13:15.240 --> 01:13:22.400]  There is also the the internet has empowered us to believe that we we can learn a lot on our own
[01:13:22.400 --> 01:13:23.920]  I guess this is kind of what you're already saying
[01:13:23.920 --> 01:13:28.900]  But you know now we feel like there's this resource in the same way that we might not go spend several weeks at the library
[01:13:28.900 --> 01:13:35.060]  You know looking up carcinoma now today, like we'll keep fun. Let's keep looking until we find the thing that makes sense to us
[01:13:35.580 --> 01:13:37.240]  Yeah, and it's you know
[01:13:37.240 --> 01:13:37.620]  Yeah
[01:13:37.620 --> 01:13:42.660]  Again, the worst thing you can possibly do when you have some kind of health problem is Google it and it's of course the first
[01:13:42.660 --> 01:13:47.580]  Thing that we all do I mean you can't help but do it, but it's the worst thing you can do totally
[01:13:47.580 --> 01:13:53.140]  It's because it's just gonna it now you have whatever your problem is and now you've got terrible anxiety about it
[01:13:53.660 --> 01:13:55.660]  Because you've proven that you have you know
[01:13:55.660 --> 01:13:59.120]  Something incurable. Have you ever gone into a doctor's office with the printout?
[01:14:00.120 --> 01:14:06.360]  No, I have not. Mmm. They do not like that. Nope, but I'm not saying I wouldn't though, right?
[01:14:06.360 --> 01:14:09.720]  I'm not saying I wouldn't I'm just saying I haven't see Amy doing a
[01:14:10.200 --> 01:14:14.720]  Lot of research I could see her being a very well-informed, you know with the kid stuff
[01:14:14.720 --> 01:14:20.200]  I could see her being a very well-informed parent all that stuff. Yeah, I think she's very she's hyper informed
[01:14:20.200 --> 01:14:23.660]  You know, I'd you know hyper vigilant right like she's got him
[01:14:23.660 --> 01:14:27.220]  She's got that EpiPen like, you know, she's like Marshall Dillon with that thing, right?
[01:14:27.300 --> 01:14:31.540]  Yeah, and she does she really does know an awful lot about it. I'm again
[01:14:31.540 --> 01:14:34.500]  I don't I think she'd be the first to tell you that she does not know more than
[01:14:35.540 --> 01:14:41.200]  Our Jonas's allergist does but she certainly knows a lot more than she used to yeah
[01:14:42.020 --> 01:14:44.100]  But I do think that that's I don't know
[01:14:44.100 --> 01:14:48.220]  I feel like that's a big part of the problem of the modern age is that you're gonna be you know
[01:14:48.220 --> 01:14:53.940]  there's a there's a it's easy for anybody to have a a
[01:14:55.380 --> 01:15:01.300]  Soap box and get you know more than just the people who can you know in the old days if you're a lunatic
[01:15:02.340 --> 01:15:07.580]  Only the people within your earshot could hear you now anybody can can listen. Yeah, it's funny
[01:15:07.580 --> 01:15:11.020]  There's all these little setting aside the dark web or the darknet or whatever
[01:15:11.620 --> 01:15:13.780]  there's this one funny sort of
[01:15:13.780 --> 01:15:18.140]  Source of information that's been around for a long time, but still remains
[01:15:18.860 --> 01:15:22.720]  Largely hidden from plain sight which is forums or fora I guess
[01:15:22.720 --> 01:15:23.180]  Yeah
[01:15:23.180 --> 01:15:29.340]  There are so many places with you Google for certain kinds of information all kinds of certain kinds of information
[01:15:29.500 --> 01:15:34.080]  You are very likely to and and I just somebody suggested for example yesterday
[01:15:34.080 --> 01:15:38.300]  I was talking I think yesterday on back to work talking about how I'm trying not to drink too much coffee
[01:15:38.620 --> 01:15:39.240]  You know
[01:15:39.240 --> 01:15:42.220]  I don't want to be too spazzy and somebody had recommended this stuff called L
[01:15:42.220 --> 01:15:47.500]  thea mean or something like that which is like a green tea extract or something and so I went in and I googled it and
[01:15:48.020 --> 01:15:54.100]  Like so many results on forums where people are like saying the most outlandish things
[01:15:54.420 --> 01:15:56.020]  But like I kept reading it
[01:15:56.020 --> 01:15:57.860]  I I immediately felt like
[01:15:57.860 --> 01:15:58.500]  You know
[01:15:58.500 --> 01:16:00.420]  I gotta take all this with a grain of salt
[01:16:00.420 --> 01:16:05.260]  But I still kept reading looking for somebody who sounded like they knew what they were talking about and I have no way of knowing
[01:16:05.260 --> 01:16:08.220]  If anybody's knows what they're talking about. I think it's a very common thing
[01:16:08.220 --> 01:16:14.860]  Do you find I find that as I'm getting older and if I find that I'm getting a lot more sensitive to things like
[01:16:15.500 --> 01:16:17.500]  Having drunk too much coffee
[01:16:17.660 --> 01:16:21.540]  And I don't think it's I don't think it's like I think it's actually more of like a self-awareness
[01:16:21.660 --> 01:16:27.900]  though then like not that I used to be able to metabolize more it's that I would drink too much coffee and
[01:16:28.540 --> 01:16:33.780]  Wouldn't even notice whereas now I'm like, wow, my brain is bananas right now. Oh, yeah
[01:16:33.780 --> 01:16:39.860]  I yeah, I talk about this a lot on the show with Dan. I I mean I have to be very circumspect about
[01:16:40.420 --> 01:16:43.620]  Something that sounds I'm unbelievable to me now
[01:16:43.620 --> 01:16:48.380]  Which is that I have to be very careful about how much caffeine or stimulants in general
[01:16:48.380 --> 01:16:50.380]  I put in my body after about 12 for one
[01:16:50.500 --> 01:16:55.500]  Because they say the half-life or like that's mostly out of your body in like eight hours and that's not true for me
[01:16:55.500 --> 01:16:57.180]  I'll just be laying if I have a coffee at two
[01:16:57.180 --> 01:16:59.180]  I'll just be laying there in bed with my heart beating and
[01:16:59.180 --> 01:17:04.700]  So and and also the nothing I said other places is I feel like I don't always get the same positive
[01:17:04.940 --> 01:17:08.300]  Effects that I used to get but I definitely still get all the negative effects
[01:17:08.740 --> 01:17:09.380]  You know what?
[01:17:09.380 --> 01:17:09.980]  I mean
[01:17:09.980 --> 01:17:12.100]  where I don't used to be where I was like
[01:17:12.100 --> 01:17:15.700]  I'm young and virile and I can have Thai food and coffee at 11 at night
[01:17:16.020 --> 01:17:22.840]  And now today like that's just that's a terrible idea for me. So yeah the sensitivity for real. Yeah, there's lots of stuff like that
[01:17:23.460 --> 01:17:25.460]  Foods too. I mean
[01:17:25.460 --> 01:17:31.040]  Anyway, I make the same amount of coffee every day and I think it's you know, it's like the right dose for me
[01:17:31.040 --> 01:17:36.240]  But then like I used to I don't really do anymore like sometimes I just get bored at 4 in the afternoon and think well
[01:17:36.240 --> 01:17:39.860]  I'll have another I'll you know, go make my whole life. That's exactly what I would do
[01:17:39.860 --> 01:17:44.140]  So people eat at 3 o'clock and I'm like, I want to have a coffee. I'll go make one
[01:17:44.140 --> 01:17:52.060]  I'll make one cup with the Aeropress and then I'll you know taste a little better and and then I'm you know at like 6 p.m
[01:17:52.060 --> 01:17:59.740]  I'm like wait, I've been trying to read this 800 word article for half an hour and instead I've got 20 other tabs here
[01:17:59.740 --> 01:18:03.780]  I won't really wanted to read this article. What happened? I totally had that this morning. I think then I'm like
[01:18:04.300 --> 01:18:10.020]  Yeah, well and then I'm like, oh, that's a freaking coffee. I should not have had that extra coffee
[01:18:10.020 --> 01:18:11.060]  I did that this morning
[01:18:11.060 --> 01:18:17.100]  I had two cups of coffee and I sat down to read the entire Wikipedia page on the history of the MPAA
[01:18:17.500 --> 01:18:20.980]  Rating system which doesn't seem that hard, you know, it's pretty standard English
[01:18:20.980 --> 01:18:24.980]  I got like I got like two headings in and I was like, let's ride bikes. I you know, I couldn't even concentrate
[01:18:26.860 --> 01:18:28.860]  So I'm slightly prepped but
[01:18:29.100 --> 01:18:31.100]  Alright, let me do one more
[01:18:31.240 --> 01:18:34.740]  Sponsor. Okay, and that is our good friends at
[01:18:35.380 --> 01:18:38.020]  fracture and you guys know fracture fracture is
[01:18:38.580 --> 01:18:44.400]  A place you send them your photos your images they print those photos
[01:18:45.020 --> 01:18:48.540]  Directly onto glass and then they put them in a really cool
[01:18:48.540 --> 01:18:53.100]  cardboard package that serves after you open the package as
[01:18:54.900 --> 01:19:00.420]  The thing that you can use to hang it on the wall or the thing you can fold out to prop it up on your
[01:19:00.420 --> 01:19:02.460]  Desk or your mantle or wherever you want to put it
[01:19:03.460 --> 01:19:05.300]  all self-contained
[01:19:05.300 --> 01:19:10.700]  Right there and your photos printed beautifully directly on glass. I
[01:19:11.300 --> 01:19:18.080]  Always use the same analogy that it comes across like the way when they started laminating the LCDs to the iPhone displays
[01:19:18.080 --> 01:19:20.460]  And makes the pixels look like they're right on the glass
[01:19:20.460 --> 01:19:25.460]  Well, that's what your printed photos look like when you get them from fracture really beautiful
[01:19:25.980 --> 01:19:31.220]  I just can't emphasize how easy it is. Once you get them in your house. It's ready to be hung
[01:19:31.220 --> 01:19:36.940]  You don't have to take it and go get the frames at IKEA or wherever and then put the photo in a frame
[01:19:37.340 --> 01:19:40.680]  That it is a frame. It's right there has no border. It's beautiful
[01:19:41.780 --> 01:19:43.780]  great great gift idea
[01:19:43.780 --> 01:19:48.940]  Probably too late, I guess for you guys for Valentine's Day, but I don't know Mother's Day is coming up
[01:19:48.940 --> 01:19:50.980]  That's for sure great gift idea
[01:19:52.020 --> 01:19:56.880]  Just go there check them out and they have great prices. They have all sorts of sizes
[01:19:58.180 --> 01:20:00.940]  From really small to really really big
[01:20:02.820 --> 01:20:08.320]  There's the square ones so you can print your instagrams whatever you want to do really great stuff
[01:20:08.320 --> 01:20:12.840]  I cannot emphasize enough if you have any reason that you want to print a photo take a good photo of your kid
[01:20:12.840 --> 01:20:17.500]  I should I should get this one. Hang on on the wall. Go to fracture do it there. You will not regret it
[01:20:18.460 --> 01:20:24.580]  Their website fracture me calm fracture me calm and they have a code
[01:20:25.180 --> 01:20:30.980]  Daring fireball all one word and you'll save 15% on any order. That's real cash
[01:20:31.340 --> 01:20:36.980]  So go to fracture me calm get a photo printed out and use that code during fireball. You'll save some money
[01:20:39.140 --> 01:20:41.140]  All right, here's the idea
[01:20:41.140 --> 01:20:44.760]  What do you want to do out you you you mentioned it because it was actually your idea at first
[01:20:44.760 --> 01:20:50.120]  No, you know, you can go ahead. Well the basic idea not to turn it into a parenting podcast, but it's it's
[01:20:50.960 --> 01:20:52.720]  the
[01:20:52.720 --> 01:20:55.360]  overarching dilemma of what movies
[01:20:55.960 --> 01:20:58.200]  Do you let your kids watch when?
[01:20:58.680 --> 01:21:03.120]  Like what age like where do you balance this and I have found it to be Oh
[01:21:05.200 --> 01:21:10.600]  For the you know from the get-go right from when he was Jonas was old enough to just sit in front of a TV
[01:21:10.600 --> 01:21:15.640]  It's a vexing dilemma, and I never totally a moving target. I
[01:21:16.360 --> 01:21:19.000]  Totally and I never anticipated it being difficult. I
[01:21:19.640 --> 01:21:23.320]  Just always thought before I had a kid that at any given moment
[01:21:23.320 --> 01:21:28.160]  You could give me any movie or TV show and I could instantly tell you whether it was age-appropriate or not
[01:21:28.160 --> 01:21:31.520]  But it ends up being I think devilishly tricky. Well exactly right
[01:21:31.520 --> 01:21:35.400]  So, I mean the only thing I would want to establish is that you know, we went to college and stuff
[01:21:35.400 --> 01:21:42.800]  We understand that there are things like ratings. I think that the part that makes this so challenging is how different every kid is in
[01:21:42.880 --> 01:21:44.880]  terms of what they are sensitive to
[01:21:46.280 --> 01:21:51.460]  What's likely to be problematic or you know to cause troubles and nightmares?
[01:21:51.760 --> 01:21:57.640]  It's it's not as simple I would I would I would postulate it's not nearly as simple as just saying I'm gonna trust the MPAA
[01:21:57.960 --> 01:22:02.320]  Because there are plenty of g-rated movies with stuff in it that a three-year-old some three-year-olds
[01:22:02.320 --> 01:22:05.840]  Right a given three-year-old should not see and if the parents know that
[01:22:06.600 --> 01:22:10.960]  Like, you know, it's really good to avoid that. I mean one that comes up a lot
[01:22:10.960 --> 01:22:15.520]  It's like scary music a genre of what's just called scary music like boom cellos
[01:22:15.520 --> 01:22:18.720]  We're going into the woods some kids that could watch somebody be decapitated
[01:22:19.320 --> 01:22:25.000]  Freak out my daughter things jumping into and out of frame completely freak her out real
[01:22:25.000 --> 01:22:28.600]  Oh, yeah, you know like in like a horror movie kind of thing like where somebody I know you yeah
[01:22:28.600 --> 01:22:30.560]  They're like in the background pops up
[01:22:30.560 --> 01:22:35.800]  Even in in any kind of a movie no matter how innocuous it can kind of freak her out
[01:22:35.800 --> 01:22:36.600]  So yeah, exactly
[01:22:36.600 --> 01:22:39.280]  It's it's not the thing is it's and then on the other hand
[01:22:39.280 --> 01:22:43.960]  There are some kids we're like if you fast forward through this one scene or this other scene
[01:22:43.960 --> 01:22:51.320]  They would be totally fine watching some pg-13 movies and it's just it's I I think it's I'm sure we both have some horror
[01:22:51.320 --> 01:22:52.800]  stories about terrible decisions
[01:22:52.800 --> 01:22:58.200]  But also just I think it's interesting to talk about because I think everybody wants to look like they're real smart about it
[01:22:58.200 --> 01:23:00.960]  And I think almost everybody who less their kid watch movies
[01:23:02.160 --> 01:23:05.880]  Worries about it. We're worried about getting the mix wrong. Yeah, and
[01:23:06.720 --> 01:23:09.560]  I'll give you one example from from Jonas
[01:23:10.040 --> 01:23:16.360]  When he was young and we I would say on the grand scheme of things. We are relatively permissive and I always have been
[01:23:16.880 --> 01:23:19.280]  but I don't think I do and
[01:23:21.280 --> 01:23:24.100]  Because I used to shake my head when you would tell me things that you
[01:23:24.520 --> 01:23:26.760]  would let him do and now I do the same stuff I
[01:23:26.760 --> 01:23:34.560]  But also I really feel like a big part of that though was knowing what he was good with and he was good
[01:23:34.560 --> 01:23:37.120]  Well, I think with relatively advanced
[01:23:37.640 --> 01:23:43.400]  Like violence in movies, you know, he watched Star Wars very very young and you know
[01:23:43.400 --> 01:23:47.200]  I don't think that there I watched it when I was in kindergarten too. That was my thinking
[01:23:47.200 --> 01:23:49.520]  I don't know. I was in kindergarten when I came out and I turned out alright
[01:23:51.440 --> 01:23:54.580]  But I remember but it you never know though there's always a little thing
[01:23:54.580 --> 01:23:58.360]  So one of the we let him watch the Pirates of the Caribbean movies at a very early age
[01:24:00.640 --> 01:24:05.040]  And I think that those are PG I don't think they're pg-13, I don't know man, they got some pretty spooky stuff
[01:24:05.080 --> 01:24:07.200]  Well, he didn't but the point is he didn't mind it
[01:24:07.440 --> 01:24:14.800]  No, not at all except for one scene which is and I don't remember which one of them it's in but there's one scene where?
[01:24:16.880 --> 01:24:22.360]  I must have been the first one where they're going after the gold that if you stole the gold you became a ghost or whatever
[01:24:22.360 --> 01:24:25.000]  And he had a drop a piece of blood and they cut
[01:24:25.280 --> 01:24:30.320]  Somebody somebody takes a knife and just puts like a little like a PG rated cut on the palm of somebody's hand
[01:24:30.320 --> 01:24:31.920]  oh, yeah, and
[01:24:31.920 --> 01:24:37.520]  He it just flipped him out and he had like a fit and he was like we're like, what's wrong?
[01:24:37.520 --> 01:24:41.080]  What's wrong? And he just was holding his hand and he said like I can feel it
[01:24:41.080 --> 01:24:48.300]  I can feel it and he's just screaming like it made him feel as though his hand had been cut but my kid will come
[01:24:48.300 --> 01:24:51.260]  Compulsively and I was the word I'm looking for
[01:24:51.260 --> 01:24:55.580]  Well, like automatically like violently turn away from the screen whenever there's blood like, you know
[01:24:55.580 --> 01:25:00.500]  Like a cut or something like that or like a wound. It's it's she absolutely turns away. Yeah, and so we
[01:25:01.420 --> 01:25:06.620]  You know, it was like, you know middle of the day noon, you know me working at home, you know
[01:25:08.540 --> 01:25:10.540]  You know five six years ago
[01:25:11.020 --> 01:25:15.300]  And we both looked at each other like we just gave each other this look like oh my god
[01:25:15.300 --> 01:25:20.340]  What if we don't we've we've wrecked this poor child's mind by letting him watch this movie that we should have known
[01:25:20.340 --> 01:25:22.340]  He was too young to watch
[01:25:22.900 --> 01:25:25.940]  But you just never know and then and he would be good
[01:25:25.940 --> 01:25:30.800]  He wouldn't refuse to watch that movie, but I'll tell you what he had it down stone
[01:25:30.800 --> 01:25:36.160]  He knew exactly when that scene was coming up and he would run out and he would say what he used to say
[01:25:36.160 --> 01:25:38.220]  He'd call it past past forward
[01:25:39.420 --> 01:25:41.420]  My daughter would say fast over
[01:25:42.060 --> 01:25:44.060]  fast over that
[01:25:44.060 --> 01:25:46.020]  anytime when they got to the point
[01:25:46.020 --> 01:25:51.700]  Where in Toy Story 2 when buzz has to at the beginning in the video game when he has to walk out across the floating
[01:25:51.700 --> 01:25:54.980]  Discs. Oh, yeah. Yeah. Should I say daddy fast over?
[01:25:55.620 --> 01:26:00.780]  Fast over. I like that one too. They're both good pass forward. Oh my god. It's
[01:26:01.580 --> 01:26:03.580]  Jonas's list included
[01:26:04.100 --> 01:26:10.180]  The Wampa no Wampa. Oh, and that's a good that's another example of it of a jumping into frame thing
[01:26:10.180 --> 01:26:11.700]  Yeah, you know what? That's it
[01:26:11.700 --> 01:26:18.020]  Yeah, because you know and and they and the suspense right it's because the the Wampa
[01:26:19.340 --> 01:26:21.340]  The first time you see him
[01:26:21.380 --> 01:26:22.740]  It's the shock here
[01:26:22.740 --> 01:26:26.660]  Right, like Luke is like looking for comments or whatever to hit the you know
[01:26:26.660 --> 01:26:31.500]  Hit the ground and all of a sudden boom the Wampa jumps into frame. Yep, and may and makes a terrible noise
[01:26:31.500 --> 01:26:38.060]  So you've got that right that in the ad that Jonas didn't like that and Jonas wanted that whole the whole thing
[01:26:38.060 --> 01:26:43.900]  Skip though because he also could not bear the suspense of Luke. I think hang in there like a side of beef
[01:26:44.180 --> 01:26:48.780]  Yeah, and not you know, it's like the first time he's ever even tried to use the force to get a lightsaber
[01:26:48.780 --> 01:26:53.500]  And it's just sitting there jiggling, you know, it's it's like, you know, it's like film school 101, you know
[01:26:53.500 --> 01:26:57.740]  Like how to build a little suspense, you know, jiggle the lightsaber do this the mute, you know
[01:26:58.260 --> 01:27:04.160]  Perfect, of course John Williams score for the moment which furthers the the suspense couldn't take it
[01:27:04.160 --> 01:27:10.180]  It would just is it would just what about one that I was scared of and my kid was scared of what about when?
[01:27:10.220 --> 01:27:14.420]  in episode four when Luke's looking through the binoculars and the Tusken Raider
