[00:00.000 --> 00:02.680]  How's your week? Oh my god. Oh
[51:46.460 --> 51:50.020]  they it's a terrible format it for so many reasons and
[51:50.460 --> 51:54.200]  You know not least of which is that it isn't very efficient at compression
[51:54.860 --> 51:58.380]  But it for so many other reasons like it has the fixed
[51:59.020 --> 52:02.100]  256 color palette right which is really limiting
[52:02.100 --> 52:06.540]  Oh, it's soul-crushing. It's so like that's and and those colors
[52:06.540 --> 52:10.660]  I don't think those colors can change between frames of an event animation video about that
[52:10.660 --> 52:17.220]  Oh, I'm almost certain that I don't think so. I don't think between frames. Yeah, I I would be very surprised if that were true
[52:17.220 --> 52:21.200]  Yeah, I remember can't change the path. Anyway, yeah, it's a terrible format. It's terrible
[52:21.540 --> 52:23.740]  Well, you know right back to the 90s, you know
[52:23.740 --> 52:28.700]  But there was that whole debate when when was it unisys started trying to enforce the patent on gif
[52:28.700 --> 52:35.260]  It was like they had it patented and didn't do anything with it and while they didn't do anything with it
[52:35.580 --> 52:37.580]  You know the world the World Wide Web
[52:37.740 --> 52:42.440]  Grew up with tons and tons of gif files and then all of a sudden somebody unisys was like well
[52:42.440 --> 52:44.760]  We have a patent on that. Yeah, the submarine patent
[52:46.340 --> 52:48.600]  It's like the canonical example of
[52:49.460 --> 52:56.420]  Like a submarine patent I think yeah patent role. Yeah, right why you should never trust a company that says hey just use our stuff
[52:56.420 --> 52:57.780]  We're never gonna enforce it
[52:57.780 --> 53:03.980]  Yeah, but I remember that that the subcurrent of the whole argument about what we should replace it with and what are we gonna do?
[53:03.980 --> 53:09.780]  And blah blah blah was we're doing all this to replace an awful truly awful file format
[53:09.780 --> 53:16.060]  And you can find people who complain about JPEG and that other there were other formats at the time for photographs
[53:16.060 --> 53:22.420]  You know, which you know the role that JPEG plays that that there were better alternatives and stuff like that
[53:22.420 --> 53:26.340]  There could have been done better in certain ways, but nobody really says JPEG is terrible
[53:26.340 --> 53:32.220]  I mean JPEG is JPEG. It's you know, pretty good served. Yeah, I mean JPEG like it and similar mp3
[53:33.420 --> 53:35.700]  MP3 is a very old format
[53:36.580 --> 53:44.660]  What people don't realize it stands for mpeg1 layer 3 right like mpeg1 files are I believe from the late 80s
[53:44.660 --> 53:49.220]  I mean it was what it was why before they were commonplace but late 80s or early 90s
[53:49.220 --> 53:53.420]  I believe is when mpeg1 became a standard and became playable
[53:53.420 --> 54:00.500]  And like that is when the mp3 format like it's from that era. Yeah JPEG is not from that much later than that
[54:00.500 --> 54:02.620]  It's I think it's also from the very early 90s
[54:02.620 --> 54:09.340]  Yeah, and and it was a while before it was, you know fast enough that computers could display them very quickly. But now
[54:10.020 --> 54:13.060]  Like and there are better formats like there was a format called JPEG 2000
[54:13.060 --> 54:18.780]  Yeah that no one ever uses and I believe there were some patent issues with it, which is one of the reasons why but
[54:18.780 --> 54:26.220]  You know JPEG is good enough. Yeah GIF is a horrible just a horrible format. Yeah, but it was there were billions
[54:26.220 --> 54:29.980]  I forget there are the estimates for how many gif files that were on like the early internet
[54:29.980 --> 54:34.380]  But it was it quickly went from like hundreds to billions. Well, and they're back now
[54:34.380 --> 54:40.220]  I feel like this is like our bell-bottoms moment. Yeah, we're like it like this this this thing that was like a weird fad
[54:41.100 --> 54:47.440]  15 years ago 20 years ago like mostly 15 years ago that thing that this thing was a weird fad back then
[54:47.440 --> 54:52.360]  Now it's back and all of us who were around back then like why is this back? This is terrible
[54:53.080 --> 54:55.080]  It's the fashion has come back around
[54:55.360 --> 55:00.960]  These are definitely these are definitely our bell-bottoms. Yeah, but it's used in a way that that is
[55:01.760 --> 55:03.440]  There's a little bit of retro to it
[55:03.440 --> 55:07.840]  But then in most ways there's not because the gifs that people post now these huge
[55:07.960 --> 55:13.620]  animated ones with lots of frames from video and TV and stuff like that are so humongous that that
[55:13.620 --> 55:19.180]  In computers in the mid 90s and internet connections in the mid 90s couldn't even handled one of them
[55:19.180 --> 55:20.540]  Oh, yeah, they're like three megs
[55:20.540 --> 55:27.100]  I mean you got a figure like imagine the concept of a three meg gif in 1997
[55:27.620 --> 55:30.980]  Right. We used to try to make I forget the target for our web pages
[55:30.980 --> 55:33.980]  But you know, you know a lot of times you have part of your
[55:34.740 --> 55:41.140]  Project specs for building websites were what was the target size for the web page and it was always measured in kilobytes
[55:41.140 --> 55:45.260]  You know, it was like how many seconds would it take to load over a 56k modem, right?
[55:45.260 --> 55:51.300]  It was you know somewhere between for most projects that I worked on was usually like 10 20 kilobytes for the whole page all assets
[55:52.340 --> 55:56.700]  Right because old cuz that would take a few seconds to load it would take forever to love it. It was horrible
[55:58.740 --> 56:06.020]  So to answer your actual question, but it's about three megabyte gif mile in the middle of the page would be terrible, right?
[56:06.020 --> 56:10.340]  I mean if it could even load without something running out of memory and crashing while decoding it
[56:10.340 --> 56:14.180]  Which is unlikely but if it could even load it would have taken 45 minutes to load
[56:14.740 --> 56:21.060]  I also think if I'm remembering correctly I'd been this hike here. I could be I could be way off my rocker
[56:21.060 --> 56:22.940]  But I seem to recall
[56:22.940 --> 56:24.740]  that like
[56:24.740 --> 56:26.060]  early
[56:26.060 --> 56:32.580]  Hosting accounts like if you were hosting a website somewhere like storage and bandwidth were measured in megabytes
[56:34.140 --> 56:37.180]  Like I don't know how many megabytes but like, you know
[56:37.180 --> 56:43.420]  You you just you couldn't serve up a couple hundred copies of a three megabyte file. You just definitely not
[56:44.660 --> 56:46.740]  God and now people just crap them out
[56:47.700 --> 56:51.020]  Well, cuz now you can host them for free and a million different services that all want your privacy
[56:51.940 --> 56:55.180]  All right back to audio programming. So you did have some experience in college
[56:55.660 --> 57:02.500]  Yeah, and I I've I've like toyed with it here and there which was a complete failure. Yeah. Yeah, my college experience was awful
[57:02.500 --> 57:08.900]  But uh, but you know, I got the basic concept of you know, the samples and the frames and the formats and everything
[57:08.900 --> 57:12.060]  So, you know, I and I've I've always been an audio nerd
[57:12.700 --> 57:17.420]  So I was I've always been familiar with you know, editing audio and in basic forms
[57:18.140 --> 57:20.140]  playing with it, you know, I I've
[57:20.580 --> 57:26.500]  Music and and talk radio have always been very important to me. And so I've always kind of been in this
[57:27.140 --> 57:28.780]  anyway, so
[57:28.780 --> 57:30.860]  the audio programming in overcast
[57:30.860 --> 57:37.780]  was by far my favorite part and it was ridiculously hard, but it was the it was the kind of good
[57:38.300 --> 57:41.740]  hard for a programmer which is like it's very intellectually stimulating and
[57:42.140 --> 57:46.300]  So it was it's exactly what I love to do which is working at very low level C code
[57:46.860 --> 57:50.780]  Doing stuff that you don't think will be possible to do quickly
[57:51.580 --> 57:57.060]  And you know, like it's questionable whether it will run on an iPhone at reasonable speed and that reasonable battery drain
[57:57.060 --> 58:01.620]  You know doing very low-level stuff like that using things, you know, try to make it even more efficient
[58:01.620 --> 58:06.020]  Try to take an even better trick to get this way, you know throw in some of the vector algorithms and stuff like that
[58:07.540 --> 58:10.260]  That it was it was a very very fun
[58:10.900 --> 58:12.900]  hard if that makes sense and
[58:13.300 --> 58:19.220]  It didn't take that much time, you know relative to the entire rest of the app the audio engine
[58:20.580 --> 58:24.020]  It's it's actually easier in in many ways because
[58:24.020 --> 58:31.300]  It is self-contained and and what it's doing. It's a relatively simple task. It's easy to test. It's easy to benchmark. It's easy to
[58:32.180 --> 58:34.180]  Find bugs and fix them
[58:34.820 --> 58:39.860]  whereas if you compare if you compare that to like UI programming or sync logic to the server
[58:40.500 --> 58:42.980]  Like those things are much higher level code
[58:43.780 --> 58:46.340]  There's much more code to do that sort of stuff
[58:46.980 --> 58:48.980]  You know relatively in total for the whole app
[58:48.980 --> 58:54.980]  And it's much harder to test. There's always all these weird edge cases, you know, the audio code really was it isn't that way
[58:54.980 --> 59:00.260]  it you have a stream of numbers coming in and you got to put out a stream of numbers and there's some buffering issues you
[59:00.260 --> 59:02.260]  Got to take care of and some some performance issues
[59:02.260 --> 59:07.620]  you got to take care of and and you know some edge cases here there, but it's nowhere near the level of
[59:08.420 --> 59:10.420]  of like possibility complexity
[59:11.300 --> 59:13.300]  That programming and interface is
[59:13.300 --> 59:18.340]  Hmm, I think it helps that you're an audio file. I really in fact, I don't know that it would have worked that way
[59:18.340 --> 59:22.820]  Otherwise because I'm not I'm a complete anti audio file. I just want to hear it
[59:23.460 --> 59:24.180]  Yeah, I don't know
[59:24.180 --> 59:30.820]  I'm well, I shouldn't say anti because I do care about quality but my threshold for what sounds good seems a lot lower than than
[59:31.460 --> 59:36.900]  People who you know like you who are really into headphones and stuff like that like like my you know
[59:36.900 --> 59:39.220]  line up 20 pairs of headphones and
[59:39.220 --> 59:45.220]  I'm gonna say there's a decent chance. I might find that they all sound pretty good if you know, they're all cost
[59:45.220 --> 59:47.460]  I don't know 60 70 80 bucks or above
[59:48.820 --> 59:54.900]  And I would have a harder time talking about the differences if I did hear a difference between the two I'd have a harder time
[59:55.300 --> 59:56.740]  Describing it
[59:56.740 --> 01:00:01.860]  Right, right and I think that helps because I would think most people and I wondered you know, maybe you know this
[01:00:01.860 --> 01:00:05.460]  Maybe you can even tell like if I were gonna write a program
[01:00:05.460 --> 01:00:11.220]  Or I were gonna be part of a team that was writing one. My idea would be well, I would just let the system
[01:00:11.220 --> 01:00:16.580]  I'd let iOS handle all the audio playback we get that there's a part we get for free we give the system
[01:00:17.460 --> 01:00:22.980]  An audio format that core audio knows how to play and then to play it and we don't have to worry about that
[01:00:23.620 --> 01:00:25.620]  And then start from there
[01:00:27.060 --> 01:00:31.700]  And I think that you know clearly that would rule out a whole bunch of the features that you know
[01:00:31.700 --> 01:00:36.900]  And I think that you know clearly that would rule out a whole bunch of the features that are in overcast
[01:00:37.780 --> 01:00:43.940]  Yeah, I mean the biggest one like you can do voice boost using the simpler apis
[01:00:44.180 --> 01:00:47.380]  It is not you can't do it very well, but you can do it
[01:00:48.020 --> 01:00:50.900]  There's just a few little downsides, but most people wouldn't notice it. It'd be fine
[01:00:52.420 --> 01:00:54.500]  You definitely cannot do smart speed
[01:00:55.140 --> 01:00:57.140]  in any reasonable approachable way
[01:00:57.700 --> 01:00:59.060]  and so
[01:00:59.060 --> 01:01:02.500]  I had to do this if I wanted smart speed and
[01:01:03.140 --> 01:01:07.780]  It was an important enough feature for me that I that I said it was worth it, you know, and and the reality is
[01:01:08.660 --> 01:01:10.660]  As I said, like the audio engine
[01:01:10.900 --> 01:01:15.460]  Was very very hard for about you know, a few weeks or a month maybe and then it was done
[01:01:15.460 --> 01:01:18.500]  And then the rest of the app was was the rest of the development time
[01:01:19.140 --> 01:01:21.700]  I haven't touched the audio processing code in months
[01:01:22.260 --> 01:01:24.900]  Because it's just it's fine. Like I made it over the course, you know
[01:01:24.900 --> 01:01:29.300]  I'd like i'd go in every once in a while and make a little tweak to like how something was dealt with or
[01:01:29.620 --> 01:01:32.500]  you know the levels or the eq stuff like that, but
[01:01:33.300 --> 01:01:37.940]  Uh for the most part it has barely changed in almost two years since I wrote it
[01:01:39.060 --> 01:01:43.060]  Um, so those are the two like magic here just make this better
[01:01:43.780 --> 01:01:45.780]  features in
[01:01:46.020 --> 01:01:50.100]  In overcast smart speed and voice boost and I I think of them
[01:01:50.100 --> 01:01:55.220]  Is there the audio equivalent of like that magic wand thing in the photos app exactly, right?
[01:01:55.540 --> 01:02:00.180]  And you say just make it better and a lot of times for me that button makes the photo better
[01:02:00.580 --> 01:02:04.020]  And then every once in a while it doesn't and then you can tap it again and it goes away
[01:02:04.260 --> 01:02:07.700]  And it's just like that with podcasts where you can say turn on smart speed
[01:02:08.260 --> 01:02:13.300]  And if you think this is better, this is an easier way to listen to the show. Keep it on if not turn it off
[01:02:14.180 --> 01:02:19.140]  Exactly, and and there are some shows where one or both those options will actually make it sound worse
[01:02:19.140 --> 01:02:21.780]  And that's why there's buttons for those instead of just being on all the time
[01:02:22.820 --> 01:02:24.980]  But I found in the majority of shows I listen to
[01:02:26.660 --> 01:02:28.980]  The combination of both of them usually make it sound better
[01:02:29.620 --> 01:02:33.300]  What was the deal? I remember this there was a really interesting thread on the beta
[01:02:33.940 --> 01:02:36.900]  glass board about the names of those features
[01:02:37.940 --> 01:02:40.260]  And early on I hope i'm not talking
[01:02:40.820 --> 01:02:46.260]  No, no behind the scenes, but the voice voice boost had a different name, right? I think it just said boost
[01:02:46.980 --> 01:02:48.340]  early on
[01:02:48.340 --> 01:02:51.220]  Voice boost was not on or off there were
[01:02:51.940 --> 01:02:58.580]  There were three modes to it. There was um, there are four modes. There was off where it didn't process anything there was
[01:02:59.120 --> 01:03:00.580]  enhance
[01:03:00.580 --> 01:03:02.980]  And then boost and then also reduce
[01:03:03.540 --> 01:03:09.060]  Yeah, deuce was was a mode that would actually cut off the spectrum on the extreme highs and extreme lows
[01:03:09.140 --> 01:03:13.700]  So it would like if somebody sometimes you have a podcast where it's like way too much bass
[01:03:13.700 --> 01:03:19.780]  And if you play it like in a bathroom or something like it, it sounds really echoey and horrible and it's it's hard to listen to
[01:03:20.900 --> 01:03:26.340]  Some of them also will leave in like very very high-pitched wines as an artifact of
[01:03:26.740 --> 01:03:31.700]  Some part of their processing and I never quite figured out what causes that but some podcasts will have that occasionally
[01:03:31.700 --> 01:03:33.460]  And this has been true for years way before overcast
[01:03:34.340 --> 01:03:36.900]  And so reduce mode would cut those ends off
[01:03:38.020 --> 01:03:40.020]  And then enhance and boost
[01:03:40.020 --> 01:03:44.660]  Boost both did the same thing just boost did it more severely
[01:03:45.460 --> 01:03:48.020]  Boost was like a larger boost basically
[01:03:48.500 --> 01:03:52.900]  um, and so I had this this slider reduce off enhance boost and
[01:03:53.860 --> 01:03:56.180]  That was true for about half of the beta really
[01:03:56.980 --> 01:04:02.500]  Yeah, I was always confused as hell by the whole thing. Yeah, I I kind of just wanted I really just wanted
[01:04:03.220 --> 01:04:05.220]  Marco just make it sound better for me
[01:04:05.220 --> 01:04:12.660]  Right, and I think that was that was a common request actually and and what I what I eventually found what I realized is that even myself
[01:04:13.380 --> 01:04:15.620]  I was just leaving everything on boost all the time
[01:04:15.620 --> 01:04:17.700]  Yeah, like I wasn't using any of the other settings
[01:04:17.700 --> 01:04:21.220]  I thought I would when I made them and then it turns out I was not using them at all
[01:04:21.220 --> 01:04:26.340]  Yeah, and so that's when I redesigned that screen to just be just a button. Is this on or off?
[01:04:27.300 --> 01:04:35.140]  Yeah, and it sounds like it's also a real interesting difference between where you listen to podcasts and it's like it seems like
[01:04:35.140 --> 01:04:39.300]  This feature the voice booster in particular really comes in handy to people who listen in their car
[01:04:40.260 --> 01:04:44.420]  Yes, definitely. That's I mean, that's why I made it because I listen all the time in my car. I I
[01:04:44.980 --> 01:04:46.980]  I I got a new car a couple years ago
[01:04:46.980 --> 01:04:51.780]  And it came with a serious radio and probably like, you know, a six-month trial subscription. I never activated it
[01:04:52.260 --> 01:04:55.060]  I've i'm only listening to podcasts now. I I used to listen to
[01:04:55.620 --> 01:05:01.060]  Satellite radio before that I would listen to like mp3s and cds and everything now in my car
[01:05:01.060 --> 01:05:08.500]  I'm always listening to either either nothing like if i'm talking to tiff or if i'm writing alone, usually it's always podcasts. That's it
[01:05:08.900 --> 01:05:13.940]  Yeah, and yeah voice boost makes a massive difference in the car, right because it's a noisy environment and you yeah
[01:05:13.940 --> 01:05:18.900]  It's a noisy environment. So the baseline for where you need the quietest voice on the show to be
[01:05:20.100 --> 01:05:21.620]  audible is
[01:05:21.620 --> 01:05:25.300]  potentially dangerously high for like a burst of laughter or
[01:05:25.940 --> 01:05:29.060]  Somebody else who's who was recorded at a higher level, right?
[01:05:29.060 --> 01:05:33.540]  You know if you have somebody who's very, you know, polite and soft-spoken like brent, you know
[01:05:33.540 --> 01:05:36.740]  I I used his old show as an example the um
[01:05:37.460 --> 01:05:40.020]  What was that show called with the calendar guy?
[01:05:40.660 --> 01:05:46.660]  Oh the simmons the simmons brothers. I don't have cousins. Yeah. Um, yeah, I use that show as one of the oh, that's good
[01:05:46.740 --> 01:05:48.740]  Because michael simmons is
[01:05:49.140 --> 01:05:53.300]  So loud. He was like a loud boisterous voice and brentwood was soft-spoken
[01:05:53.380 --> 01:05:55.780]  Yeah, that's a perfect example and they didn't level it very well at first because they you know
[01:05:55.780 --> 01:05:59.320]  They were when they first started the show they were you know, they were in the experience producing podcasts
[01:05:59.620 --> 01:06:00.740]  And they got better at it afterwards
[01:06:00.740 --> 01:06:07.220]  but I use I use the earlier episodes as a test for this feature because it was the perfect case where I wanted to hear
[01:06:07.220 --> 01:06:11.220]  What brent was saying without having my ears blown out when michael would talk?
[01:06:11.700 --> 01:06:16.420]  And so it was uh, it was exactly the situation where voice boost is necessary
[01:06:16.420 --> 01:06:20.760]  So voice boost is a it's a combination of an eq and a compressor
[01:06:20.760 --> 01:06:25.640]  And the compressor, uh, and it looks at the files in a couple other ways, but for the most part it's a compressor
[01:06:25.800 --> 01:06:28.440]  That's that most of what you're hearing is the compressor
[01:06:28.920 --> 01:06:29.800]  um
[01:06:29.800 --> 01:06:30.600]  and uh
[01:06:30.600 --> 01:06:35.960]  And and that was exactly exactly what it's for which is make brent loud enough so I can hear him in the car
[01:06:36.440 --> 01:06:42.760]  Without blowing out my ears when anyone else talks. Yeah, and there's like an old record producer adage that you know, you don't
[01:06:43.480 --> 01:06:46.680]  You don't optimize like a music album for
[01:06:46.680 --> 01:06:53.480]  High quality studio headphones you optimize it for the actual way that people in real world are going to listen to this music
[01:06:53.480 --> 01:06:55.960]  Which might be you know, 10 20 years ago
[01:06:57.160 --> 01:06:59.160]  You know a piece of crap portable radio
[01:06:59.400 --> 01:07:02.280]  You want to make sure it sounds good on that because that's where you know that
[01:07:02.760 --> 01:07:06.680]  If it doesn't sound good on that you're never going to have a hit song no matter how good it sounds on your you know
[01:07:07.320 --> 01:07:11.800]  Thousand dollar studio headphones exactly. Yeah, you got to optimize for the real world
[01:07:12.040 --> 01:07:15.080]  Yeah, and that's true. It's true web design app design. It's true of everything
[01:07:15.080 --> 01:07:21.160]  Um, one more question I had i'm surprised brent didn't ask uh is I was is feed parsing a nightmare
[01:07:22.040 --> 01:07:26.120]  For podcasts. Is it just like as bad as rss because
[01:07:27.400 --> 01:07:29.960]  you know, first of all podcasts are just simpler than
[01:07:30.840 --> 01:07:38.200]  the entirety of rss feeds because you know the entirety of rss feeds first of all includes adam and four different versions of rss and
[01:07:38.200 --> 01:07:45.160]  And four different versions of rss and and the the use cases for rss feeds are very varied
[01:07:45.800 --> 01:07:50.680]  Uh, there's all sorts of things like it isn't just a site like in gadget posting news headlines
[01:07:50.920 --> 01:07:55.640]  There's all sorts of things that publish rss feeds that that any feed parser has to handle
[01:07:57.060 --> 01:07:59.720]  podcasts have two things going for them not only are
[01:08:00.600 --> 01:08:06.920]  Is the scope of what they cover much smaller than that because for the most part it's audio shows that are produced
[01:08:06.920 --> 01:08:09.240]  You know once a day once a week
[01:08:09.240 --> 01:08:13.160]  Maybe the most extreme ones might be published once an hour if it's like a dump from a radio station
[01:08:13.800 --> 01:08:15.800]  But there's you know, not much more than that
[01:08:15.960 --> 01:08:21.400]  And you know, usually it's pretty, you know, pretty well formed for the most part and the and the second big thing
[01:08:21.880 --> 01:08:30.120]  Is that for all of the mediums history itunes has been the dominant player and historically it itunes is less picky now
[01:08:30.440 --> 01:08:34.280]  But before in in previous years itunes used to be very picky
[01:08:34.280 --> 01:08:39.640]  About what kind of feeds it would accept if your feed was malformed at all itunes wouldn't take it
[01:08:40.280 --> 01:08:45.980]  And so it kind of enforced a level of consistency and quality even even a format itunes
[01:08:46.440 --> 01:08:51.960]  For the for the longest time only supported rss. It didn't even support adam and it still doesn't support it that well
[01:08:52.680 --> 01:08:53.960]  Right. Yeah exactly today
[01:08:53.960 --> 01:08:59.080]  it does support adam but not well because I looked into that when I had to take over the feed for this show and
[01:08:59.080 --> 01:09:03.480]  Yeah, my back end publishing stuff is all set up for adam
[01:09:04.920 --> 01:09:07.080]  Or at least it would work better with adam in theory
[01:09:07.560 --> 01:09:14.040]  And the bottom line was you could but you don't want to if you really want you really want your podcast to be our rss
[01:09:15.240 --> 01:09:23.480]  Exactly actual rss not rss as a catch-all term that includes adam, which is confusing and adam in I know this is like
[01:09:23.480 --> 01:09:29.880]  This is like a holy war of 2003. But uh, I really don't like adam as a format. Um,
[01:09:30.760 --> 01:09:35.560]  You know rss was clearly designed to be pragmatic and adam was designed
[01:09:36.120 --> 01:09:41.560]  To be the standard that ends all standards. It can and can reproduce anything. Yeah, and it shows, you know
[01:09:41.560 --> 01:09:47.720]  It shows in the complexity of these two formats and and adam has a lot of uh, ambiguity in like, okay
[01:09:47.720 --> 01:09:47.960]  well
[01:09:47.960 --> 01:09:52.120]  there are 17 different ways to represent the date and you have you need to support all of these because some people might use
[01:09:52.120 --> 01:09:57.640]  this one and then what the heck is an author does everything have an author what how is this author relevant to this other author and
[01:09:57.960 --> 01:09:59.320]  there's like
[01:09:59.320 --> 01:10:06.360]  Everything in adam is well, it depends, you know, and there's like 17 different ways to do it and in rss
[01:10:06.920 --> 01:10:08.120]  You know, it isn't a perfect format
[01:10:08.120 --> 01:10:13.480]  There are there are some ambiguities built in the into the format that are kind of annoying like the lack of required gu IDs for instance
[01:10:13.800 --> 01:10:14.920]  but
[01:10:14.920 --> 01:10:16.920]  for the most part
[01:10:16.920 --> 01:10:23.880]  Rss, you know as its name states, uh is way simpler and just to deal with to publish and to consume
[01:10:24.200 --> 01:10:30.440]  It is so much simpler because the format just can't represent all the little tiny nuances that adam can
[01:10:31.000 --> 01:10:33.560]  And adam sees that as a flaw. I see that as a feature
[01:10:34.360 --> 01:10:41.400]  Yeah, I totally agree in hindsight and who knows maybe someday i'll just change everything at during fireball to go rss instead of adam
[01:10:41.400 --> 01:10:44.840]  But for some reason I picked the wrong side back then and I somehow
[01:10:44.840 --> 01:10:47.960]  Convinced myself that I don't know. I think I kind of bought into the
[01:10:52.280 --> 01:10:56.360]  The the the that does sound good arguments behind the adam people
[01:10:56.360 --> 01:10:59.320]  I mean, I never got involved in it and wasn't really active but
[01:11:00.040 --> 01:11:04.120]  You know rick reading mark pogrom's blog back then and a couple other people who were involved
[01:11:04.120 --> 01:11:07.480]  It all made a lot of sense to me and there were certain aspects of it
[01:11:08.040 --> 01:11:11.560]  That if you if you rendered a very simple feed in adam
[01:11:11.560 --> 01:11:15.000]  It looked better to me than rss and still does in a way
[01:11:15.240 --> 01:11:19.400]  Like i'm not thinking about it from the perspective of someone writing a parser and you have to handle everything
[01:11:19.720 --> 01:11:26.600]  I was thinking of it in terms of what would make my the daring fireball feed look better if you just looked at it
[01:11:26.840 --> 01:11:28.840]  And I still think adam is better
[01:11:29.720 --> 01:11:33.960]  In that regard but that's a stupid thing to make the judgment on I think I think
[01:11:34.520 --> 01:11:40.200]  The smarter way to look at it is just to say rss is super pragmatic and it is
[01:11:40.200 --> 01:11:45.800]  Designed from the get-go for doing exactly and only what I was doing which was here's a bunch of articles
[01:11:46.600 --> 01:11:52.200]  Yeah, right as opposed to like here we have to we have to design an overarching standard that will encompass every possible thing
[01:11:52.200 --> 01:11:56.200]  Everyone will ever want to do again. Yeah, you know, it's it's all and and adam was also, you know
[01:11:56.200 --> 01:11:59.800]  a lot more strict with certain things and it's it's almost there's almost a parallel between
[01:12:00.440 --> 01:12:06.200]  X html being adam. Yeah, and like html5 or even old html being rss
[01:12:06.200 --> 01:12:11.720]  Yeah, where it's just like, you know, they it was more structured more defined but way more complex
[01:12:11.720 --> 01:12:16.680]  Yeah, and it sounded good in in theory that in practice. It just doesn't really work that well
[01:12:16.680 --> 01:12:19.240]  And it's it's actually more complicated to deal with in practice
[01:12:19.240 --> 01:12:25.320]  Yeah, and the rss thing went by really quickly in just a handful of years. Whereas the html thing played out over
[01:12:26.040 --> 01:12:33.240]  Almost 20 years, but I think it is pretty I think that's a pretty decent high-level analogy and then in that analogy
[01:12:33.240 --> 01:12:36.280]  I think rss 2.0 is html5
[01:12:36.520 --> 01:12:40.120]  Which is yeah. Yeah. Yeah the early the rss and it had weird numbers. It was like
[01:12:40.680 --> 01:12:45.000]  0.9 and 0.91 and 0.92 and the weird thing was that like
[01:12:45.640 --> 01:12:51.720]  0.91 was from netscape and dave wiener had nothing to do with it and 0.92 went back to dave wiener
[01:12:52.040 --> 01:12:57.640]  And ignored everything that was in 0.91. It was really a sequel to 0.90. I know i'm getting these version numbers wrong
[01:12:57.640 --> 01:12:59.640]  But it doesn't matter
[01:12:59.640 --> 01:13:03.560]  It doesn't matter that i'm getting the exact version numbers wrong. It's it's yeah, and brent was
[01:13:04.120 --> 01:13:09.240]  Literally at ground zero for all of that. Yeah, he was like writing all the parsers and generators for all of these things
[01:13:09.800 --> 01:13:13.400]  And and to be clear when i'm talking about rss i'm talking about rss 2 the earlier ones
[01:13:13.400 --> 01:13:18.040]  Yeah, like the rdf based ones that disaster but we went but that was the battle though, right?
[01:13:18.040 --> 01:13:23.480]  That was you know, that's like with a x x html never really was pitted against html4
[01:13:23.480 --> 01:13:26.120]  It was really pitted against it, you know html5
[01:13:26.120 --> 01:13:32.440]  I mean even though the time, you know, they weren't at the same time effectively. It was well the world's gonna move off html4 eventually
[01:13:33.080 --> 01:13:37.400]  and you know the standards people, you know, really thought it was uh,
[01:13:41.000 --> 01:13:43.800]  Gonna be xed html because my god it's gonna be great
[01:13:43.800 --> 01:13:50.600]  It'll enforce that all of your web pages are xml compliant because if it's not it won't render right? Yeah, everything everything was like
[01:13:51.240 --> 01:13:54.760]  Structure and this is a battle that you know computing has gone on for a long time
[01:13:54.760 --> 01:13:58.680]  This is a battle that you know computing has gone back and forth in this in cycles for decades
[01:13:59.080 --> 01:14:06.780]  It was a battle for like structure and definitions and schemas and well-defined everything and extremely unforgiving
[01:14:07.380 --> 01:14:13.960]  implementations versus you know, forgiving flexible just kind of you know, spew something out and we'll try to figure out what it is and
[01:14:14.520 --> 01:14:18.920]  the same the same thing is happening now with like objective c versus swift even I mean
[01:14:18.920 --> 01:14:25.160]  It's like it's this that we keep having the same battle over and over again where you know, somebody will want you know, the there
[01:14:25.160 --> 01:14:28.920]  will be some kind of uh, you know class of problems that
[01:14:29.460 --> 01:14:35.560]  Academic, uh people will try to will think needs to be solved and the way to solve it is to require standards
[01:14:35.560 --> 01:14:37.560]  so everything can be strictly typed and
[01:14:38.440 --> 01:14:39.560]  And you know
[01:14:39.560 --> 01:14:45.000]  We can validate everything and everything has to be defined in a file and we're going to write everything in java with 10
[01:14:45.000 --> 01:14:49.800]  Met with 10 class deep hierarchies of every model. This isn't this isn't just a person
[01:14:49.800 --> 01:14:56.200]  we need to have a person factory constructor to construct the factory that builds people and like all this like there's levels and levels of
[01:14:56.420 --> 01:14:58.420]  complexity and structure
[01:14:58.520 --> 01:15:03.000]  Um to combat the free-form wild west of dirty data, you know
[01:15:03.000 --> 01:15:06.680]  and then the dirty data people come in and do everything faster and everything just works anyway, and then
[01:15:07.320 --> 01:15:09.320]  Then the cycle repeats again. It's
[01:15:09.880 --> 01:15:13.560]  I'm I think we're going to always see this cycle just go back and forth
[01:15:13.560 --> 01:15:17.660]  I don't even know I was not going to get into this and this could be this could absolutely
[01:15:18.680 --> 01:15:20.680]  sink the entire um
[01:15:21.320 --> 01:15:22.920]  You might as well now I mean
[01:15:22.920 --> 01:15:27.960]  Have you seen this thing where there's this group that wants to turn markdown into an ietf standard?
[01:15:28.600 --> 01:15:33.880]  No, it let me guess jeff atwood. I I don't even know you know what it it broke
[01:15:34.440 --> 01:15:37.960]  last weekend I was out of town with with amy and
[01:15:38.520 --> 01:15:43.160]  It wasn't paying attention and i've been busy this week on other stuff. I haven't even paid attention to it
[01:15:43.160 --> 01:15:47.080]  But I don't know if it's I don't know if it's associated with atwood's crusade or not
[01:15:47.880 --> 01:15:49.720]  um
