[00:00.480 --> 00:01.920]  You were at CES.
[01:09:50.820 --> 01:09:54.180]  He must've been like right before me. Um, but I saw,
[01:09:54.180 --> 01:09:57.580]  I was going into a hotel while he was coming out. Um, so he's, you know,
[01:09:57.580 --> 01:09:59.820]  he still does, but I don't know why. I don't know what it is.
[01:09:59.820 --> 01:10:01.140]  There's some kind of, you know,
[01:10:01.140 --> 01:10:06.180]  like tech meme search optimization
[01:10:06.180 --> 01:10:10.500]  strategy that the Yahoo people aren't doing. Cause I don't see his stuff.
[01:10:10.540 --> 01:10:13.660]  I don't know what, I don't know why that is. Yeah. I don't know.
[01:10:13.780 --> 01:10:15.980]  Like now that Mossberg is, you know,
[01:10:15.980 --> 01:10:18.940]  not at the journal and is writing for recode and diverge and stuff.
[01:10:18.940 --> 01:10:21.780]  I still see Mossberg reviews, you know, like they,
[01:10:21.860 --> 01:10:25.660]  they percolate into my peripheral vision and it's like, Oh, open that in a tab.
[01:10:27.380 --> 01:10:31.300]  Whereas pogues don't, I somehow wind up not without any David pogues tabs.
[01:10:31.860 --> 01:10:36.500]  Yeah. Same. Maybe it just needs to tweet more. Yeah, maybe.
[01:10:36.500 --> 01:10:40.060]  I don't know. Uh, let's take one last break here.
[01:10:40.060 --> 01:10:42.980]  And I'll thank our third and final sponsor of the day.
[01:10:42.980 --> 01:10:47.560]  And it's our good friends at igloo. Now you guys know what an intranet is.
[01:10:47.560 --> 01:10:51.980]  Intranet is a thing that your company has for internal communication that nobody
[01:10:51.980 --> 01:10:56.980]  ever looks at or updates igloo is an intranet you will actually like because it
[01:10:58.500 --> 01:11:01.180]  doesn't look like it was designed in the late nineties because it wasn't,
[01:11:01.180 --> 01:11:06.020]  it's really just been designed in the last few years and it is entirely designed
[01:11:06.020 --> 01:11:10.460]  around the modern concepts of how the web should work. Everything,
[01:11:10.500 --> 01:11:14.780]  it works on all devices. It scales from your phone to your tablets to desktop,
[01:11:14.780 --> 01:11:19.140]  uh, and it has features that are modern things like a micro block.
[01:11:19.140 --> 01:11:20.780]  So you could have for your internal team,
[01:11:21.100 --> 01:11:24.900]  a little Twitter like thing that's private on your internet and you can do the
[01:11:24.900 --> 01:11:27.340]  links and texts and stuff like that. Um,
[01:11:28.140 --> 01:11:31.700]  but it's entirely private and it's hosted and you can access it anywhere from
[01:11:31.700 --> 01:11:35.260]  your phone, from the road, anything like that.
[01:11:35.580 --> 01:11:38.940]  All sorts of great features. You can have, uh, to do's,
[01:11:38.940 --> 01:11:42.100]  you can manage the to do's calendars, uh,
[01:11:42.100 --> 01:11:45.380]  so many features and all the features you would want for internal communication
[01:11:45.380 --> 01:11:47.500]  on an intranet. They've got it.
[01:11:47.780 --> 01:11:51.300]  So where do you go to find out more and get started with a free trial?
[01:11:51.340 --> 01:11:56.340]  Go to igloo software.com slash T T S the initials of the show igloo software.com
[01:12:00.020 --> 01:12:04.140]  slash T T S and you'll get a free trial. Go check them out.
[01:12:04.140 --> 01:12:06.820]  If you have any kind of team that needs an internet.
[01:12:06.820 --> 01:12:10.260]  Uh, what else is on the list?
[01:12:10.900 --> 01:12:13.460]  I just want to say that's something I think of a lot is like how,
[01:12:13.500 --> 01:12:18.100]  how to get your stuff noticed. Um, it's really interesting.
[01:12:18.100 --> 01:12:22.660]  It's almost hard to predict who's going to read your stuff and it's almost, uh,
[01:12:23.300 --> 01:12:24.300]  it really,
[01:12:24.300 --> 01:12:28.420]  it doesn't seem to be correlated with how much traffic your site gets even or
[01:12:28.420 --> 01:12:30.460]  anything like that. Um, it's,
[01:12:30.500 --> 01:12:34.820]  it's almost a different kind of science and I don't know,
[01:12:34.820 --> 01:12:37.820]  I don't know if there's a way to crack it, but it's something that fascinates me,
[01:12:37.820 --> 01:12:42.300]  because sometimes a lot of put a lot of effort into an article and it just
[01:12:42.300 --> 01:12:45.380]  won't, it just won't get read or the other way around. Like, you know,
[01:12:45.380 --> 01:12:49.500]  something that, that surprisingly does really well. And sometimes it's,
[01:12:49.500 --> 01:12:52.660]  you know, you get lucky with a headline or a link here or there, but, um,
[01:12:53.020 --> 01:12:55.180]  it really is weird how the web,
[01:12:55.380 --> 01:13:00.380]  how the web works with sharing and just getting read and who's reading it and
[01:13:00.380 --> 01:13:01.220]  sharing it.
[01:13:01.220 --> 01:13:06.220]  I, I have found that, and I don't know quite why it would be,
[01:13:08.260 --> 01:13:12.940]  but to me in my career, in the time I've been writing during fireball,
[01:13:13.180 --> 01:13:17.700]  one of the apical moments was, you know, it's like,
[01:13:17.820 --> 01:13:19.820]  like a meteor that changed the, you know,
[01:13:19.820 --> 01:13:23.900]  hit and change the world forever was when Google shuttered, uh,
[01:13:24.380 --> 01:13:27.860]  Google reader, Google reader, uh,
[01:13:27.860 --> 01:13:32.140]  shuttering instantly cut into the traffic that during fireball gets.
[01:13:32.140 --> 01:13:34.260]  So if I measure, I don't think it cut people.
[01:13:34.340 --> 01:13:38.300]  I honestly don't truly believe that the number of people who read my writing on
[01:13:38.300 --> 01:13:41.620]  a regular basis, if anything, continued to slowly grow.
[01:13:41.900 --> 01:13:43.380]  But in terms of like page views,
[01:13:43.460 --> 01:13:48.460]  it was instantaneous and permanent and the number of pages I get per month is
[01:13:50.220 --> 01:13:52.220]  way fewer than from before.
[01:13:52.300 --> 01:13:56.020]  And it correlates to exactly to where Google pulled the plug on Google reader.
[01:13:56.020 --> 01:13:59.940]  And I think my, my, my guess is that,
[01:14:01.620 --> 01:14:02.340]  uh, a lot of,
[01:14:02.340 --> 01:14:05.780]  awful lot of people who read during fireball used Google reader and they
[01:14:05.780 --> 01:14:09.580]  subscribed to my site and whenever something new came up,
[01:14:09.620 --> 01:14:10.980]  they would go to, you know,
[01:14:11.300 --> 01:14:15.300]  click the thing that would go to my website and I would register, you know,
[01:14:15.300 --> 01:14:20.220]  my analytics and whatever would register as a, as a hit. And anyway,
[01:14:20.220 --> 01:14:22.900]  long story short, I don't get the traffic I used to in terms of page views.
[01:14:22.900 --> 01:14:27.340]  I've never been happier that I don't have page view tied advertising,
[01:14:28.780 --> 01:14:31.020]  uh, because that would have been, it really would have hit.
[01:14:31.060 --> 01:14:32.660]  It absolutely would have hurt if I,
[01:14:32.700 --> 01:14:35.820]  if the advertising on during fireball was correlated to page views.
[01:14:36.300 --> 01:14:38.260]  And I think it's just that people now more,
[01:14:38.300 --> 01:14:41.860]  a lot of people check it when it comes to mind instead of checking as soon as,
[01:14:42.020 --> 01:14:43.060]  you know, getting, you know,
[01:14:43.060 --> 01:14:45.540]  treating Google reader as like a notification system of, Oh,
[01:14:45.580 --> 01:14:49.620]  Gruber posted something, I'll go check it out. Um, and, uh,
[01:14:49.620 --> 01:14:53.300]  well the other thing, and this is where I'm getting at, is that pre Google reader,
[01:14:53.340 --> 01:14:54.220]  I was very,
[01:14:54.220 --> 01:14:57.860]  very good at guessing which longer pieces I wrote were going to have legs and
[01:14:57.860 --> 01:15:02.780]  which ones weren't. And now I don't, I, I'm often, I often think, wow,
[01:15:02.780 --> 01:15:06.460]  I think I hit a home run with this one and it doesn't really like the next day,
[01:15:06.460 --> 01:15:09.380]  my nothing is, you know, there's no, there's no bump.
[01:15:09.780 --> 01:15:11.580]  And then like last month I wrote,
[01:15:11.660 --> 01:15:16.420]  I spent an awful lot of time really examining that the battery case,
[01:15:16.460 --> 01:15:18.300]  you know, like, uh, an awful,
[01:15:18.300 --> 01:15:21.420]  I remember an awful lot of the feedback I got was why in the world would you
[01:15:21.420 --> 01:15:25.540]  spend that much time on the battery case? And the explanation is I,
[01:15:25.660 --> 01:15:28.820]  it's because I could write about it. I've, I found it interesting.
[01:15:28.820 --> 01:15:30.740]  I think there were some very interesting things about it.
[01:15:31.180 --> 01:15:36.180]  And because it's such a simple little thing, you can fully consider it.
[01:15:36.420 --> 01:15:39.540]  There's, you know, you can explore every little alley and crevice and,
[01:15:39.580 --> 01:15:41.180]  and notion about it. But it,
[01:15:41.220 --> 01:15:44.700]  it was one of the most popular things I've written in months. I think it,
[01:15:44.780 --> 01:15:47.260]  I think it was more popular than like my iPhone success review.
[01:15:47.260 --> 01:15:48.100]  Yeah.
[01:15:48.100 --> 01:15:52.700]  If I just measure by, by page views and seemingly how many new people did it.
[01:15:52.700 --> 01:15:54.340]  And I wasn't even the first to write the article,
[01:15:54.580 --> 01:15:57.660]  but somehow that one really took off and I, I, I'm,
[01:15:57.780 --> 01:16:00.420]  I no longer can predict which ones are going to be popular or not.
[01:16:01.420 --> 01:16:04.460]  Uh, speaking of that article, I mean, I still can't believe how,
[01:16:04.500 --> 01:16:08.300]  how controversial that, uh, battery case was. That was,
[01:16:08.660 --> 01:16:11.660]  well, I guess that's, I think that that's why the article was popular.
[01:16:11.660 --> 01:16:15.100]  I think that there really are people really have strong feelings about this.
[01:16:15.100 --> 01:16:17.380]  I mean, you also went very deep on it.
[01:16:17.780 --> 01:16:19.740]  Yeah. I think what it is too,
[01:16:19.780 --> 01:16:22.820]  is that there's an awful lot of people who viscerally hate this design.
[01:16:22.860 --> 01:16:27.740]  They really do. I mean, they are, it, it is like,
[01:16:29.980 --> 01:16:33.100]  you know, like bringing up Obama or something, you know, with your, your,
[01:16:33.300 --> 01:16:37.260]  you know, your crazy uncle who's a Donald Trump supporter, you know, it like,
[01:16:37.620 --> 01:16:40.620]  it like turns on like a red anger bulb in people's heads.
[01:16:40.620 --> 01:16:44.820]  And there are some people cannot even talk about it in a, you know,
[01:16:44.820 --> 01:16:48.180]  you know, you would, you would think that an argument, a little debate,
[01:16:48.180 --> 01:16:48.860]  if you will,
[01:16:48.860 --> 01:16:53.180]  over the design of a phone battery pack would be the sort of thing that would
[01:16:53.180 --> 01:16:55.620]  not make anybody angry, but you would be wrong.
[01:16:56.380 --> 01:17:00.660]  And so the people who dislike it really, really dislike it. And it, it, it,
[01:17:00.700 --> 01:17:04.100]  it seemsingly, it seems to offend them on an emotional level.
[01:17:04.740 --> 01:17:06.620]  And on the other side,
[01:17:06.620 --> 01:17:10.660]  I think what maybe made my article popular is that the people who either are
[01:17:10.660 --> 01:17:14.500]  intrigued by it or actually like it, they can't articulate what,
[01:17:14.500 --> 01:17:18.060]  why it's, it's again, almost like at an emotional level, they're like, Oh,
[01:17:18.060 --> 01:17:22.820]  I don't know. It doesn't look bad to me. Um, but they are, uh, they,
[01:17:23.140 --> 01:17:27.340]  I think that they've largely been quiet in public because if you try to take
[01:17:27.340 --> 01:17:28.180]  that position,
[01:17:28.820 --> 01:17:33.460]  anything other than this design is an abject failure and maybe Johnny I've is,
[01:17:33.500 --> 01:17:36.900]  you know, we ought to investigate whether he's losing his mind. Um,
[01:17:36.940 --> 01:17:38.700]  if you take any position short of that,
[01:17:38.740 --> 01:17:40.660]  the people who hate it will jump all over you.
[01:17:40.660 --> 01:17:44.260]  And most people don't want to be jumped all over me. I don't care.
[01:17:46.340 --> 01:17:49.180]  Uh, the only way to, you know, it reminds me of,
[01:17:49.180 --> 01:17:53.140]  have you ever seen the Boeing dream lifter? Oh, I think so. Yeah.
[01:17:53.220 --> 01:17:58.300]  Just like the, uh, the 747 that they just added a bubble on top of, uh,
[01:17:58.660 --> 01:18:02.860]  to make it a big enough so they could carry the fuselage of another of the
[01:18:02.860 --> 01:18:07.260]  dreamliner. Yeah. Yeah. It's literally like just putting a bump on the, uh,
[01:18:07.260 --> 01:18:11.540]  you know, around, around the 747. Um,
[01:18:12.300 --> 01:18:14.900]  yeah, I think it's funny. Uh,
[01:18:15.140 --> 01:18:19.460]  it reminds me a lot of when a new logo comes out and everyone just jumps on it
[01:18:19.620 --> 01:18:22.860]  the first day, you know, this is horrible. I can't believe it.
[01:18:22.940 --> 01:18:27.300]  And then no one cares after that. Um, I think, you know,
[01:18:27.380 --> 01:18:32.340]  and so much of the design of that thing is how it works and I
[01:18:32.340 --> 01:18:37.260]  haven't used it. I have a six S plus, so I don't need a battery pack, but, um,
[01:18:38.180 --> 01:18:42.740]  brag, but, uh, actually I did need a battery pack at CES.
[01:18:42.820 --> 01:18:45.220]  Oh, that's interesting. Even with the plus. Yeah.
[01:18:45.220 --> 01:18:49.020]  Cause the cell signal is so bad there that I'm sure you're using way more
[01:18:49.020 --> 01:18:52.220]  battery than you should be. And, uh, even when, even,
[01:18:52.260 --> 01:18:54.980]  I've never been in CS, obviously, you know, or repeated again,
[01:18:55.020 --> 01:18:58.900]  but I've been to Vegas many times and Vegas has notoriously bad, in my opinion,
[01:18:58.900 --> 01:19:02.540]  cellular coverage. And in addition to the fact that the cellular coverage,
[01:19:02.540 --> 01:19:03.380]  isn't that great in general,
[01:19:03.380 --> 01:19:05.620]  that's just talking like if you're outside or near a door,
[01:19:05.620 --> 01:19:09.260]  but the buildings are these caverns and they're, you know,
[01:19:09.260 --> 01:19:13.620]  the Faraday cage aspect of, you know, what it's like when you're covered by,
[01:19:14.140 --> 01:19:17.340]  you know, three tons of concrete and who even knows whether, you know,
[01:19:17.340 --> 01:19:20.780]  if you're underground or above ground or where the hell you are, you know, it could,
[01:19:20.780 --> 01:19:22.500]  it could definitely be a challenge.
[01:19:23.300 --> 01:19:28.140]  Yeah. I got one of those anchor packs. That's supposedly, you know,
[01:19:28.140 --> 01:19:32.780]  big enough to charge a Mac book and an iPad and a phone and all kinds of stuff.
[01:19:32.820 --> 01:19:37.020]  So, uh, so I did use that, but, uh, anyway, I don't remember where I was,
[01:19:37.020 --> 01:19:40.300]  but it's, you know, if, if you need a battery pack,
[01:19:40.300 --> 01:19:43.740]  it seems like it actually works pretty well, which is the whole point. So I don't,
[01:19:43.780 --> 01:19:48.140]  I don't know, whatever I, I re I thought you went deliciously over the top on
[01:19:48.140 --> 01:19:49.580]  that post, but as you say,
[01:19:49.580 --> 01:19:54.380]  like it's a small enough thing where you can really examine it from
[01:19:54.380 --> 01:19:59.540]  every angle. And why not? Like, that's the whole point of being a self publisher
[01:19:59.540 --> 01:20:02.060]  on the web is you could do something ridiculous like that.
[01:20:02.180 --> 01:20:05.380]  I, the other thing I'm, I'm thinking about, and I've,
[01:20:05.620 --> 01:20:09.060]  I went and bought a bunch of them. Um, but I've always been,
[01:20:09.100 --> 01:20:11.100]  and I even said it there on bottom of my article, my,
[01:20:11.140 --> 01:20:15.980]  my solution to battery challenge days is to have a little external battery
[01:20:15.980 --> 01:20:17.580]  pack, but I like the little ones.
[01:20:17.620 --> 01:20:20.540]  I like ones that I can put in my other pocket and it's almost like I don't even
[01:20:20.540 --> 01:20:24.460]  notice that it's there. Um, and Mophie makes a bunch of them,
[01:20:24.500 --> 01:20:28.340]  but I honestly consider it to be a shortcoming in their company in that they
[01:20:28.340 --> 01:20:31.540]  make too many of them. And that one of the things I really,
[01:20:31.540 --> 01:20:35.620]  really appreciated about Apple is that if you're going to buy an Apple blank and
[01:20:35.620 --> 01:20:40.060]  insert any product there, you can go and decide which one to get. And it's, uh,
[01:20:40.100 --> 01:20:42.940]  it's, I'm an indecisive person and I will pause it,
[01:20:42.940 --> 01:20:46.620]  but I never have a problem figuring out which Mac book to buy. I,
[01:20:46.620 --> 01:20:51.100]  and even now at a moment when their lineup is in flux and they still have the
[01:20:51.100 --> 01:20:53.740]  old Mac book airs and the new Mac book one,
[01:20:53.740 --> 01:20:57.820]  which is underpowered and the Mac book, I know which, which Mac I want.
[01:20:57.820 --> 01:21:01.140]  I want a third. I want the 13 inch Mac book pro. That's the best.
[01:21:01.220 --> 01:21:04.740]  That's the one I want. Uh, I find it so hard to figure out,
[01:21:04.780 --> 01:21:08.420]  go to mophie.com and figure out which battery pack to buy because they not only
[01:21:08.420 --> 01:21:10.380]  have different sizes in terms of like, well,
[01:21:10.380 --> 01:21:13.220]  here's the small one that'll refill one iPhone from, you know,
[01:21:13.220 --> 01:21:17.500]  uh, throughout the day or here's a really big one that you could use to charge
[01:21:17.500 --> 01:21:20.780]  an iPad and two phones or something like that. Um,
[01:21:20.820 --> 01:21:22.700]  but they also have multiple designs.
[01:21:22.700 --> 01:21:26.900]  They have ones with built in cables, not with built in cables, ones, you know,
[01:21:26.940 --> 01:21:30.940]  the, it's too much. They should be the ones who, they're the battery experts.
[01:21:30.940 --> 01:21:34.740]  They should design the right design and then I don't have to worry about it.
[01:21:35.420 --> 01:21:39.940]  It's almost like when you go to mophie.com and pick a battery pack, uh,
[01:21:39.940 --> 01:21:44.620]  or the bat, you know, external battery pack, you almost have to design it yourself.
[01:21:44.620 --> 01:21:47.900]  Cause you've got to figure out, do you want an integrated cables?
[01:21:47.900 --> 01:21:50.620]  Do you want to have separate cables? Do you care that it's,
[01:21:50.820 --> 01:21:53.780]  that the battery is going to charge by micro USB,
[01:21:53.780 --> 01:21:55.820]  but the phone is going to charge by lightning.
[01:21:55.820 --> 01:21:58.260]  So you have to bring two different things at night.
[01:21:58.780 --> 01:22:00.580]  Does it do pass through charging?
[01:22:00.620 --> 01:22:04.020]  Meaning that at the end of the day when you put up next to your hotel bed,
[01:22:04.340 --> 01:22:07.660]  do you have one thing to plug in and it'll, you know, the battery will plug,
[01:22:07.660 --> 01:22:09.860]  do you fill your phone first and then fill itself up?
[01:22:09.860 --> 01:22:13.420]  Or do you have to plug two different things in because the battery pack won't
[01:22:13.420 --> 01:22:16.540]  charge the phone while it itself is being charged there.
[01:22:16.540 --> 01:22:20.060]  They have all of those options are there for you to consider from just one
[01:22:20.060 --> 01:22:23.460]  company. And I kind of, I find it maddening.
[01:22:23.660 --> 01:22:25.980]  So I feel like I want to write an article and figure out which,
[01:22:26.020 --> 01:22:29.100]  which is the best one and effectively design it for mophie.
[01:22:29.980 --> 01:22:34.300]  This is your version of Marco's headphone test. Yes, exactly. It's exactly it.
[01:22:34.300 --> 01:22:37.900]  It's my version of Marco's headphone test is battery packs, except that I'm only
[01:22:37.900 --> 01:22:40.500]  going to do mophies. And speaking of Marco,
[01:22:40.500 --> 01:22:44.020]  Marco recommended one to me personally. Uh,
[01:22:44.740 --> 01:22:49.260]  can't find it here. The other one to check out is anchor and K E R,
[01:22:49.660 --> 01:22:52.500]  which are some ex Google people who make, um,
[01:22:52.540 --> 01:22:56.340]  very nice battery and charging stuff. They're like,
[01:22:56.340 --> 01:23:00.340]  they're the ones who I also have a four port USB charger, which I care,
[01:23:00.340 --> 01:23:04.740]  which I travel with now so I can, don't have to bring any of the apple charging
[01:23:04.740 --> 01:23:08.740]  bricks. I just bring this and plug in my Mac book,
[01:23:08.900 --> 01:23:12.300]  iPhone, Apple watch, and, um,
[01:23:12.500 --> 01:23:14.540]  can charge something else at the same time. All right.
[01:23:14.540 --> 01:23:17.620]  I'll take a look at the anchor ones, but anyway, Marco recommended one to me.
[01:23:18.180 --> 01:23:22.300]  He bought at, at Amazon for 24 bucks. Um,
[01:23:22.380 --> 01:23:26.260]  and it has built in cables and I'm, I'm a built in cable fan. So you don't,
[01:23:26.260 --> 01:23:27.940]  you know, it's just one thing to put in your pocket.
[01:23:27.940 --> 01:23:31.060]  And the son of a bitch and thing broke. I didn't,
[01:23:31.060 --> 01:23:33.700]  I hadn't even gotten past the point where I was just testing how, you know,
[01:23:33.700 --> 01:23:37.420]  like how, how quickly and you know,
[01:23:37.860 --> 01:23:39.060]  just testing a whole bunch of different,
[01:23:39.060 --> 01:23:41.820]  these battery packs on my phone every time I'd let my phone go down.
[01:23:42.220 --> 01:23:45.020]  I'd only used it like three times and I'd never even taken it out of the house.
[01:23:45.020 --> 01:23:47.860]  So it wasn't like it, it, you know, it was dropped or anything like that.
[01:23:47.860 --> 01:23:50.940]  It just, the lightning poured on, it just stopped working.
[01:23:52.700 --> 01:23:55.340]  So I think there's a sort of, you get what you pay for aspect in there.
[01:23:55.340 --> 01:23:57.980]  And I also found it curious that Marco of all people was the one who recommended
[01:23:57.980 --> 01:24:02.300]  this cheap one to me. Hmm. Yeah.
[01:24:03.620 --> 01:24:05.940]  Maybe an imposter. I don't remember.
[01:24:05.940 --> 01:24:08.580]  I don't remember the name of the company. It was weird. Oh, here it is.
[01:24:08.580 --> 01:24:10.700]  It's underneath the pile of shit on my desk. Uh,
[01:24:11.980 --> 01:24:15.940]  I hate to throw the company under the bus, but it's a volt ready view.
[01:24:15.980 --> 01:24:18.020]  L T R E a D Y.
[01:24:18.020 --> 01:24:20.020]  And if you go to Amazon and look at the vault ready,
[01:24:20.020 --> 01:24:22.100]  you'll see what I mean about these integrated cables.
[01:24:22.100 --> 01:24:24.980]  And they're super, super thin. The cables. I mean, it's,
[01:24:25.140 --> 01:24:28.660]  it's so much thinner than the lightning port itself. And I, you know, it don't,
[01:24:28.980 --> 01:24:30.100]  I think that's probably why it broke.
[01:24:31.740 --> 01:24:33.100]  I think you need like a good, thick cable.
[01:24:36.140 --> 01:24:40.580]  Have you installed, uh, iOS 9.3 yet? No, I have not.
[01:24:41.380 --> 01:24:44.540]  I haven't either. I'm not, uh, I'm not in the beta cycle.
[01:24:46.700 --> 01:24:47.860]  What's what's different about it.
[01:24:47.860 --> 01:24:51.460]  Uh, the, the, the like fake, uh,
[01:24:51.500 --> 01:24:54.460]  the Sherlock flux or whatever that thing is called F flux.
[01:24:54.460 --> 01:24:58.980]  So you can get the, uh, warmer colors at nighttime.
[01:24:58.980 --> 01:25:03.260]  So it's easier on your eyes when you're about to go to sleep. Interesting.
[01:25:04.060 --> 01:25:07.580]  And, um, there were all those new features for education,
[01:25:07.580 --> 01:25:11.100]  like the multiple user mode and that kind of stuff,
[01:25:11.100 --> 01:25:13.580]  which you assume is going to be part of, uh,
[01:25:13.580 --> 01:25:06.860]  the
[01:25:06.860 --> 01:25:11.140]  iOS 10. So everyone can sell, but it's still, it's still just in beta, right?
[01:25:11.500 --> 01:25:15.860]  Yes. Yeah. Yeah. I thought maybe I really out to lunch. No,
[01:25:15.860 --> 01:25:17.460]  I'm kind of done. I, I,
[01:25:17.740 --> 01:25:21.140]  I do the betas of the major new OS over the summer,
[01:25:21.180 --> 01:25:23.900]  but that's mainly because I know, you know, my phone's a year old.
[01:25:23.900 --> 01:25:26.700]  I'm getting a little bit of a headache. I'm getting a little bit of a headache.
[01:25:26.700 --> 01:25:30.500]  I'm getting a little bit of a headache. I'm getting a little bit of a headache.
[01:25:30.500 --> 01:25:31.260]  So, uh,
[01:25:31.260 --> 01:25:34.780]  I'm getting a little bit of a headache. So I'm getting a little bit of a headache.
[01:25:34.780 --> 01:25:37.660]  I know, you know, my phone's a year old, I'm getting a new phone anyway.
[01:25:37.660 --> 01:25:41.380]  So if it goes belly up and it's usually there's like major, major features,
[01:25:41.380 --> 01:25:44.300]  I want to get, get ahold of them. But for stuff like the minor ones,
[01:25:44.300 --> 01:25:48.340]  I usually don't do the betas. Yeah. Same. Have you, uh,
[01:25:49.660 --> 01:25:54.460]  uh, have you been using the Apple TV a lot? Uh, every day, every day.
[01:25:55.060 --> 01:25:58.900]  Have you used the game controller yet? Yeah, I have the game controller. Uh,
[01:25:58.980 --> 01:26:02.860]  I don't use it very frequently cause I just, I just don't play video games. Um,
[01:26:02.860 --> 01:26:05.420]  um, yeah, I bought one to,
[01:26:06.140 --> 01:26:10.700]  to hopefully play games on and I used it the first day I had it and then I
[01:26:10.700 --> 01:26:13.940]  haven't used it since then. Yeah. But that's really just me.
[01:26:13.940 --> 01:26:16.100]  It's not like that I couldn't find some games I liked.
[01:26:16.100 --> 01:26:18.700]  I found a couple of games I really liked, but, uh,
[01:26:18.820 --> 01:26:22.420]  it just never occurs to me to play video games. Yeah, me neither.
[01:26:22.940 --> 01:26:25.580]  I thought I would though. I thought so too.
[01:26:26.060 --> 01:26:30.820]  I think of all the things like if I time traveled back and talked to my like
[01:26:30.820 --> 01:26:32.700]  10, 11, 12 year old self,
[01:26:32.860 --> 01:26:35.940]  I think that I would have lots of good news to tell young John Gruber.
[01:26:36.100 --> 01:26:38.140]  And I think he would be very happy about his future.
[01:26:38.140 --> 01:26:41.860]  But I think of all the things he'd be most surprised by is that I would tell
[01:26:41.860 --> 01:26:43.580]  him that I, you,
[01:26:44.020 --> 01:26:47.260]  you're going to grow up and have the financial ability, uh,
[01:26:47.340 --> 01:26:52.340]  and the flexibility in your daily schedule to own and play any video game you
[01:26:53.140 --> 01:26:57.020]  want for as long as you want, practically speaking. And you're not going to.
[01:26:57.020 --> 01:26:57.860]  Yeah.
[01:27:00.140 --> 01:27:02.420]  Yeah. I think that pretty much,
[01:27:02.580 --> 01:27:07.580]  I think that my like 12 year old self would instantly suspect that whoever this
[01:27:08.660 --> 01:27:11.460]  guy who does kind of look like me, uh,
[01:27:11.500 --> 01:27:16.500]  and it was credibly well cast to play the person who's going to prank me and
[01:27:16.540 --> 01:27:20.300]  tell me that it's me when I'm 42, uh,
[01:27:20.380 --> 01:27:24.580]  is obviously full of shit because there's no chance that if I could spend four
[01:27:24.580 --> 01:27:27.660]  to five hours every night playing cool video games that I wouldn't be doing it.
[01:27:29.020 --> 01:27:32.820]  I downloaded one, uh, for the Apple watch, which, you know,
[01:27:32.820 --> 01:27:34.940]  that was another one of those things where they were like, Oh,
[01:27:34.940 --> 01:27:38.100]  watch OS two is going to be, uh, you know,
[01:27:38.100 --> 01:27:40.580]  it's going to be really helpful for games because they'll be able to run
[01:27:40.580 --> 01:27:45.580]  directly on the watch and also be able to use the digital crown as a controlling
[01:27:46.460 --> 01:27:50.060]  mechanism. And, um, no, not fun.
[01:27:50.180 --> 01:27:51.580]  One of the games was like a,
[01:27:51.580 --> 01:27:55.980]  almost like a card game type thing and it was just too, too weird.
[01:27:56.060 --> 01:28:00.540]  And the other one was like pong type thing and it was just so jerky that I saw
[01:28:00.540 --> 01:28:05.220]  that I kept losing because I either got the same one or I downloaded a similar
[01:28:05.220 --> 01:28:07.220]  one and I think maybe there might be a month,
[01:28:07.260 --> 01:28:10.020]  a bunch because if all you have is the crown,
[01:28:10.060 --> 01:28:13.860]  pong is a very obvious concept and it was terrible.
[01:28:13.900 --> 01:28:18.820]  It was absolutely terrible. Yeah, I did not enjoy that. As, as,
[01:28:18.820 --> 01:28:23.380]  as we head into the new Apple watch season and I suspect that they're going to
[01:28:23.380 --> 01:28:26.620]  announce it early this year. Um, you know,
[01:28:26.620 --> 01:28:29.380]  at this event that they're supposedly having in March, um,
[01:28:30.340 --> 01:28:33.460]  I do think we'll get a new watch. Uh, and as we, you know,
[01:28:33.460 --> 01:28:36.380]  what do we think of Apple watch? I have to write this piece.
[01:28:36.380 --> 01:28:40.180]  I do cause I have a lot of thoughts on it. Um, but bottom line, I think,
[01:28:40.180 --> 01:28:43.380]  I think it's very clear in hindsight that they should not have had any apps at
[01:28:43.380 --> 01:28:47.900]  all for the first Apple watch. I mean maybe eventually it'll be adapt platform,
[01:28:47.900 --> 01:28:49.460]  but it's clearly not ready for it yet.
[01:28:49.940 --> 01:28:54.700]  And slow apps is way worse than no apps in my opinion.
[01:28:54.900 --> 01:28:59.380]  And to me even now, even, you know, with watchos two and everything,
[01:28:59.660 --> 01:29:04.660]  it's also still incredibly inconsistent where if I go to like a weather app on
[01:29:05.300 --> 01:29:06.140]  the watch,
[01:29:06.900 --> 01:29:10.700]  sometimes it'll just spin and spin and spin until the screen goes off.
[01:29:10.860 --> 01:29:15.580]  And if I go to the exact same app like dark sky or something and take my phone
[01:29:15.580 --> 01:29:19.100]  out of my pocket and go to dark sky, it works instantly and has all, you know,
[01:29:19.140 --> 01:29:20.900]  all the data I want, you know,
[01:29:20.900 --> 01:29:24.060]  the information about the weather that I was looking for. And so what,
[01:29:24.060 --> 01:29:27.420]  it doesn't take long to be psychologically conditioned to,
[01:29:27.900 --> 01:29:30.780]  because you don't trust that it's even going to work at all on the watch.
[01:29:30.820 --> 01:29:34.940]  It doesn't take you very long at all that you just instinctively go for the app
[01:29:34.980 --> 01:29:35.820]  on your phone.
[01:29:37.620 --> 01:29:39.940]  Totally. Especially with, uh, the,
