[00:00.000 --> 00:03.000]  Hello there. Hello.
[1:13:00.000 --> 1:13:03.000]  all of that is an advantage to being on there.
[1:13:03.000 --> 1:13:05.000]  So start with the advantages of why you'd
[1:13:05.000 --> 1:13:07.000]  want to be on somebody's wrist
[1:13:07.000 --> 1:13:09.000]  rather than start with a watch.
[1:13:09.000 --> 1:13:12.000]  Never underestimate how much
[1:13:12.000 --> 1:13:14.000]  the stuff that you've just gotten used to
[1:13:14.000 --> 1:13:16.000]  is actually a huge pain in the ass.
[1:13:16.000 --> 1:13:17.000]  Yeah.
[1:13:17.000 --> 1:13:19.000]  I'm sure when indoor plumbing came,
[1:13:19.000 --> 1:13:21.000]  you know, that there were people who were like,
[1:13:21.000 --> 1:13:23.000]  oh my God, put a thing I'm going to
[1:13:23.000 --> 1:13:25.000]  crap in right in my house.
[1:13:25.000 --> 1:13:26.000]  No way.
[1:13:26.000 --> 1:13:29.000]  You're going to put water pipes all throughout the house
[1:13:29.000 --> 1:13:31.000]  and drains.
[1:13:31.000 --> 1:13:32.000]  Do you realize how much harder it's going to be
[1:13:32.000 --> 1:13:34.000]  to make a house when you do that?
[1:13:34.000 --> 1:13:35.000]  Right, exactly.
[1:13:35.000 --> 1:13:38.000]  And then, you know, it's, of course,
[1:13:38.000 --> 1:13:41.000]  you don't want to go out and have a little dirty box
[1:13:41.000 --> 1:13:44.000]  in your backyard to go to the bathroom.
[1:13:44.000 --> 1:13:46.000]  Very few outhouses anymore.
[1:13:46.000 --> 1:13:48.000]  Yeah, very few outhouses anymore.
[1:13:48.000 --> 1:13:50.000]  And, you know, that's one thing,
[1:13:50.000 --> 1:13:52.000]  I was just talking to somebody on Twitter
[1:13:52.000 --> 1:13:54.000]  just like a random reader who's like,
[1:13:54.000 --> 1:13:57.000]  hey, if the watch has NFC
[1:13:57.000 --> 1:14:00.000]  and admit, you know, everybody's excited about this stuff.
[1:14:00.000 --> 1:14:02.000]  If, you know, he was like,
[1:14:02.000 --> 1:14:03.000]  I know it's a big if,
[1:14:03.000 --> 1:14:04.000]  but just go with me.
[1:14:04.000 --> 1:14:06.000]  If the watch has NFC
[1:14:06.000 --> 1:14:08.000]  and is part of this payments thing,
[1:14:08.000 --> 1:14:11.000]  then it's got to have touch IT too, right?
[1:14:11.000 --> 1:14:13.000]  And my answer was no.
[1:14:13.000 --> 1:14:15.000]  I think it definitely wouldn't have touch ID
[1:14:15.000 --> 1:14:16.000]  because touch ID would be ugly
[1:14:16.000 --> 1:14:18.000]  because it's got to be, you know,
[1:14:18.000 --> 1:14:21.000]  reasonably fingertip-sized.
[1:14:21.000 --> 1:14:23.000]  And there's nowhere on a watch
[1:14:23.000 --> 1:14:26.000]  to put a fingertip-sized thing
[1:14:26.000 --> 1:14:28.000]  that's just for you to put your finger on.
[1:14:28.000 --> 1:14:29.000]  Right.
[1:14:29.000 --> 1:14:30.000]  And it's already touching your skin.
[1:14:30.000 --> 1:14:31.000]  And I know that's not your fingerprint
[1:14:31.000 --> 1:14:32.000]  underneath there,
[1:14:32.000 --> 1:14:34.000]  but my guess might just random guess.
[1:14:34.000 --> 1:14:35.000]  I don't know, but I just said
[1:14:35.000 --> 1:14:37.000]  there's got to be some other biometric thing
[1:14:37.000 --> 1:14:40.000]  that it could maybe do to create an ID.
[1:14:40.000 --> 1:14:44.000]  Because I don't think it would have that.
[1:14:44.000 --> 1:14:47.000]  And then there were other people who like chirped in
[1:14:47.000 --> 1:14:49.000]  and they're like, it doesn't need a touch ID
[1:14:49.000 --> 1:14:51.000]  because you'll have your iPhone with you.
[1:14:51.000 --> 1:14:52.000]  And that is touch ID.
[1:14:52.000 --> 1:14:53.000]  So then you can just take your iPhone out
[1:14:53.000 --> 1:14:55.000]  and use that for the touch ID part.
[1:14:55.000 --> 1:14:57.000]  Well, then what's the point of having the thing on your wrist?
[1:14:57.000 --> 1:14:58.000]  Right.
[1:14:58.000 --> 1:14:59.000]  There's no point.
[1:14:59.000 --> 1:15:01.000]  Don't underestimate how much of a pain in the as it might be
[1:15:01.000 --> 1:15:03.000]  that we'd have to take our phone out all the time.
[1:15:03.000 --> 1:15:04.000]  Yep.
[1:15:04.000 --> 1:15:05.000]  Right?
[1:15:05.000 --> 1:15:07.000]  That's, to me, the key to this, you know,
[1:15:07.000 --> 1:15:08.000]  having the thing on your wrist.
[1:15:08.000 --> 1:15:11.000]  Like all of a sudden, maybe we start using the iPhone last.
[1:15:11.000 --> 1:15:12.000]  Well, yeah.
[1:15:12.000 --> 1:15:13.000]  I mean, if you wave,
[1:15:13.000 --> 1:15:16.000]  if you imagine going up to the at the drug store
[1:15:16.000 --> 1:15:21.000]  bottle of soda and you're, or you're like a milk jug
[1:15:21.000 --> 1:15:24.000]  because you ran out of milk and just like waving your wrist,
[1:15:24.000 --> 1:15:26.000]  like boop and walking out.
[1:15:26.000 --> 1:15:30.000]  And then eventually, presumably, you know, with RFID
[1:15:30.000 --> 1:15:31.000]  just walking out.
[1:15:31.000 --> 1:15:32.000]  Right.
[1:15:32.000 --> 1:15:35.000]  And you get charged for the milk and that's it.
[1:15:35.000 --> 1:15:38.000]  Then, you know, that, yeah, that is easier
[1:15:38.000 --> 1:15:39.000]  than pulling it out of your pocket.
[1:15:39.000 --> 1:15:41.000]  It's marginally easier, but over time,
[1:15:41.000 --> 1:15:44.000]  even marginally easier is easier.
[1:15:44.000 --> 1:15:45.000]  Right.
[1:15:45.000 --> 1:15:48.000]  And it could be, it could be.
[1:15:48.000 --> 1:15:53.000]  You know, Marco Arman linked to a site of one of these like
[1:15:53.000 --> 1:15:54.000]  mock-up sites.
[1:15:54.000 --> 1:15:59.000]  And it was the, it was the only round watch thing
[1:15:59.000 --> 1:16:01.000]  that I've seen that I thought I, I thought I liked.
[1:16:01.000 --> 1:16:03.000]  And I'm not saying that Apple would do it,
[1:16:03.000 --> 1:16:06.000]  but the one thing that intrigued me about this site is that
[1:16:06.000 --> 1:16:09.000]  it was suggesting using the watch metaphor as user interaction.
[1:16:09.000 --> 1:16:13.000]  And what I liked about it was the idea they had actually said
[1:16:13.000 --> 1:16:15.000]  it might not even be a touch screen.
[1:16:15.000 --> 1:16:17.000]  That if you, if you're going to have a round device,
[1:16:17.000 --> 1:16:20.000]  you could use the ring, kind of like the click wheel.
[1:16:20.000 --> 1:16:22.000]  You could actually use the ring for navigation.
[1:16:22.000 --> 1:16:25.000]  Perhaps you push down or tap, and you can spin around.
[1:16:25.000 --> 1:16:28.000]  And then you might even have like some wheels on the side.
[1:16:28.000 --> 1:16:30.000]  I doubt that Apple would do it,
[1:16:30.000 --> 1:16:34.000]  but I thought that was kind of an interesting idea that
[1:16:34.000 --> 1:16:37.000]  I hadn't really thought of before, which is
[1:16:37.000 --> 1:16:42.000]  could, could a device like this not be driven by
[1:16:42.000 --> 1:16:44.000]  swipes and taps on a touch screen.
[1:16:44.000 --> 1:16:47.000]  But some other, you know, in this case it was spinning,
[1:16:47.000 --> 1:16:51.000]  essentially turning a dial, turning like sort of like
[1:16:51.000 --> 1:16:52.000]  the old iPod.
[1:16:52.000 --> 1:16:54.000]  I thought it was really, it wasn't something I thought of
[1:16:54.000 --> 1:16:56.000]  and I thought it was really interesting.
[1:16:56.000 --> 1:16:58.000]  I kind of feel, I think like, like you do,
[1:16:58.000 --> 1:17:01.000]  that they're much more likely to just kind of walk away
[1:17:01.000 --> 1:17:03.000]  from the traditional watch interface and not try to make a,
[1:17:03.000 --> 1:17:06.000]  a watch that looks like a watch, but is actually not,
[1:17:06.000 --> 1:17:07.000]  but instead make a new thing.
[1:17:07.000 --> 1:17:10.000]  But I thought it was an interesting idea of like the other
[1:17:10.000 --> 1:17:13.000]  part of Apple's history, which is this kind of circular
[1:17:13.000 --> 1:17:16.000]  navigation thing that I guess if Tony Fadell
[1:17:16.000 --> 1:17:18.000]  were still at Apple, maybe that would be the direction.
[1:17:18.000 --> 1:17:19.000]  I don't know.
[1:17:19.000 --> 1:17:21.000]  But I wouldn't be surprised though.
[1:17:21.000 --> 1:17:25.000]  Like it seems, there's a great idea in there and it may not
[1:17:25.000 --> 1:17:29.000]  be going back to circle, but I think the right idea is
[1:17:29.000 --> 1:17:32.000]  just because we've gotten used to this,
[1:17:32.000 --> 1:17:35.000]  doesn't mean the next thing is still going to be this, right?
[1:17:35.000 --> 1:17:38.000]  So we got used to the command line with our Apple twos
[1:17:38.000 --> 1:17:39.000]  and then the Mac came out.
[1:17:39.000 --> 1:17:41.000]  And there was no command line.
[1:17:41.000 --> 1:17:42.000]  None.
[1:17:42.000 --> 1:17:44.000]  There were no way to issue commands.
[1:17:44.000 --> 1:17:45.000]  Mine boggles the keyboard.
[1:17:45.000 --> 1:17:46.000]  Right.
[1:17:46.000 --> 1:17:47.000]  It truly was.
[1:17:47.000 --> 1:17:50.000]  And I know that the people who are born post Macintosh
[1:17:50.000 --> 1:17:53.000]  cannot, that you just can't fathom it.
[1:17:53.000 --> 1:17:55.000]  A computer was the thing that when you turned on,
[1:17:55.000 --> 1:17:58.000]  you got a blinking prompt and you would type
[1:17:58.000 --> 1:18:00.000]  computery things and they could be dangerous.
[1:18:00.000 --> 1:18:01.000]  First of all, I saw the Mac.
[1:18:01.000 --> 1:18:03.000]  I thought, how do you write programs on this thing?
[1:18:03.000 --> 1:18:04.000]  Right.
[1:18:04.000 --> 1:18:05.000]  Somebody tried to explain it to me.
[1:18:05.000 --> 1:18:07.000]  I was like, I don't understand how that can be.
[1:18:07.000 --> 1:18:10.000]  It just, it doesn't make any sense how there could be programs
[1:18:10.000 --> 1:18:11.000]  on this.
[1:18:11.000 --> 1:18:13.000]  Well, that my thought when I first saw the Mac was,
[1:18:13.000 --> 1:18:14.000]  how do you do something?
[1:18:14.000 --> 1:18:17.000]  How do you do the things you need to do that this?
[1:18:17.000 --> 1:18:21.000]  I was infatuated with the graphical user interface.
[1:18:21.000 --> 1:18:23.000]  But to me, it was like a game.
[1:18:23.000 --> 1:18:28.000]  It was like the interface was a game that let you play
[1:18:28.000 --> 1:18:29.000]  computer.
[1:18:29.000 --> 1:18:31.000]  And I was like, well, when you need to do something else,
[1:18:31.000 --> 1:18:32.000]  how do you do it?
[1:18:32.000 --> 1:18:34.000]  If you don't have a, if there's no way to close this,
[1:18:34.000 --> 1:18:36.000]  I want to close this and get back to the black screen.
[1:18:36.000 --> 1:18:39.000]  It has a, has a prompt.
[1:18:39.000 --> 1:18:40.000]  Yep.
[1:18:40.000 --> 1:18:43.000]  You know, and I was, right, and I remember thinking like,
[1:18:43.000 --> 1:18:46.000]  oh my God, and what are we going to deal with those spaces
[1:18:46.000 --> 1:18:49.000]  on the file names when you're on the command line?
[1:18:49.000 --> 1:18:52.000]  I don't think I'd ever seen a system that had backslashes
[1:18:52.000 --> 1:18:53.000]  at that point.
[1:18:53.000 --> 1:18:54.000]  Or if I did, I'd never learned it.
[1:18:54.000 --> 1:18:55.000]  Right.
[1:18:55.000 --> 1:18:57.000]  And then, you know, there was none.
[1:18:57.000 --> 1:18:58.000]  It's a new thing.
[1:18:58.000 --> 1:19:00.000]  And with the,
[1:19:00.000 --> 1:19:04.000]  this is actually kind of how I feel about the iPod Nano
[1:19:04.000 --> 1:19:07.000]  by the way right now, which is that it is a weird product
[1:19:07.000 --> 1:19:09.000]  that does feel like it's aping.
[1:19:09.000 --> 1:19:10.000]  Yeah.
[1:19:10.000 --> 1:19:11.000]  Badly.
[1:19:11.000 --> 1:19:12.000]  The iPhone.
[1:19:12.000 --> 1:19:13.000]  Yeah.
[1:19:13.000 --> 1:19:14.000]  Because it's not iOS.
[1:19:14.000 --> 1:19:15.000]  You can swipe and tap.
[1:19:15.000 --> 1:19:17.000]  And it's, you know, when you tap things happen,
[1:19:17.000 --> 1:19:18.000]  it's just, it's not right.
[1:19:18.000 --> 1:19:21.000]  It's, you know, here's a, here's a really great example.
[1:19:21.000 --> 1:19:24.000]  So a great example to me is the original iPod.
[1:19:24.000 --> 1:19:28.000]  And we had handheld devices and they had like navigation
[1:19:28.000 --> 1:19:30.000]  and it was up and down, left and right.
[1:19:30.000 --> 1:19:31.000]  Right.
[1:19:31.000 --> 1:19:33.000]  It was joystick style or up, down, up, down.
[1:19:33.000 --> 1:19:35.000]  And all the music players today used that.
[1:19:35.000 --> 1:19:39.000]  And the problem, the biggest problem was it had gotten
[1:19:39.000 --> 1:19:42.000]  to the point where it was easy to have a thousand songs
[1:19:42.000 --> 1:19:46.000]  and going up, up, up, up, up a thousand times is just no good.
[1:19:46.000 --> 1:19:49.000]  You can't do it and holding the button down.
[1:19:49.000 --> 1:19:51.000]  It just, you don't have enough control.
[1:19:51.000 --> 1:19:55.000]  So that wheel, it was genius because I had speed.
[1:19:55.000 --> 1:19:58.000]  It was, you know, it was completely under control.
[1:19:58.000 --> 1:19:59.000]  You could flick it.
[1:19:59.000 --> 1:20:02.000]  And all of a sudden you had this new thing that we'd never used
[1:20:02.000 --> 1:20:04.000]  before, but it was really useful.
[1:20:04.000 --> 1:20:08.000]  And you could use it to navigate literally thousands of songs.
[1:20:08.000 --> 1:20:11.000]  Uh, you know, and then, you know,
[1:20:11.000 --> 1:20:14.000]  flash forward 10 years or actually it wasn't 10 years,
[1:20:14.000 --> 1:20:15.000]  six years.
[1:20:15.000 --> 1:20:16.000]  Uh, people with that.
[1:20:16.000 --> 1:20:19.000]  Yeah, that's my phone was only six years after the iPod.
[1:20:19.000 --> 1:20:20.000]  Six years.
[1:20:20.000 --> 1:20:23.000]  And you know, we all went in thinking that the iPhone was going
[1:20:23.000 --> 1:20:27.000]  to be that gag slide of a click wheel with a phone on top.
[1:20:27.000 --> 1:20:28.000]  Right.
[1:20:28.000 --> 1:20:29.000]  Uh, no.
[1:20:29.000 --> 1:20:31.000]  So yeah, I do kind of think that.
[1:20:31.000 --> 1:20:34.000]  Mano shows that like you shrink the size small enough.
[1:20:34.000 --> 1:20:37.000]  And your finger covers the screen, you know, and it's,
[1:20:37.000 --> 1:20:40.000]  it's a problem even on an iPad.
[1:20:40.000 --> 1:20:43.000]  It's always a problem that your finger covers what it is.
[1:20:43.000 --> 1:20:45.000]  You're touching when you touch.
[1:20:45.000 --> 1:20:47.000]  But if you shrink the screen small enough,
[1:20:47.000 --> 1:20:49.000]  you can't compensate for it, you know,
[1:20:49.000 --> 1:20:52.000]  like on the way that the, the perfect example is the way on the,
[1:20:52.000 --> 1:20:54.000]  the standard iPhone keyboard.
[1:20:54.000 --> 1:20:58.000]  Um, do you love how I now have to refer to it?
[1:20:58.000 --> 1:21:00.000]  Is that the standard iPhone keyboard?
[1:21:00.000 --> 1:21:04.000]  When you type a key, it shows you what you typed above your finger.
[1:21:04.000 --> 1:21:05.000]  It flashes up.
[1:21:05.000 --> 1:21:06.000]  Right.
[1:21:06.000 --> 1:21:09.000]  And that's an affordance for the fact that you can't see which one you're touching
[1:21:09.000 --> 1:21:13.000]  because it's underneath your, your thumb or your finger.
[1:21:13.000 --> 1:21:16.000]  On something the size of a watch, there's no way to afford that
[1:21:16.000 --> 1:21:19.000]  because your thumb covers over half of it.
[1:21:19.000 --> 1:21:20.000]  Exactly.
[1:21:20.000 --> 1:21:28.000]  So I would not be surprised at all, even if it has a very nice color display
[1:21:28.000 --> 1:21:32.000]  that it is not a touch screen because I don't know that touch is right at all
[1:21:32.000 --> 1:21:33.000]  for something that's not.
[1:21:33.000 --> 1:21:36.000]  Especially if it's small and especially if there's a, you know,
[1:21:36.000 --> 1:21:40.000]  a version that, that women would want to wear or people with smaller
[1:21:40.000 --> 1:21:41.000]  wrists would want to wear.
[1:21:41.000 --> 1:21:44.000]  At that point, you either get these devices that are huge
[1:21:44.000 --> 1:21:47.000]  or you get something that's smaller and there's no,
[1:21:47.000 --> 1:21:48.000]  there's no touch target left.
[1:21:48.000 --> 1:21:53.000]  At least, at least touch in the sense of tapping objects on a screen.
[1:21:53.000 --> 1:21:56.000]  I mean, it's possible that you could do something with touch that is,
[1:21:56.000 --> 1:22:00.000]  you know, swiping up and down on the side or something like that as a,
[1:22:00.000 --> 1:22:04.000]  as a movement, but it's not the same as like, I am going, I see a thing
[1:22:04.000 --> 1:22:08.000]  and I'm going to touch it with my finger and then it'll do something.
[1:22:08.000 --> 1:22:10.000]  Below a certain size, you just can't do it.
[1:22:10.000 --> 1:22:13.000]  And the Nano is sort of there where it's almost pointless to navigate
[1:22:13.000 --> 1:22:15.000]  because you can really only touch on one.
[1:22:15.000 --> 1:22:18.000]  Maybe there's a couple things, but it's like, with the point.
[1:22:18.000 --> 1:22:22.000]  Think about the previous generation Nano, the one that was turned into a watch
[1:22:22.000 --> 1:22:27.000]  with the TikTok and stuff like that.
[1:22:27.000 --> 1:22:31.000]  And which I've mentioned before on the show that if you're a smartwatch,
[1:22:31.000 --> 1:22:35.000]  actual smartwatch doesn't look better than a,
[1:22:35.000 --> 1:22:40.000]  than a previous generation iPod Nano, which wasn't designed to be a watch.
[1:22:40.000 --> 1:22:41.000]  Right.
[1:22:41.000 --> 1:22:44.000]  On the TikTok, which was a Kickstarter project,
[1:22:44.000 --> 1:22:48.000]  then you've got a serious problem because that wasn't meant to be a watch.
[1:22:48.000 --> 1:22:55.000]  And some of these smartwatches don't look as good as my three-year-old Nano on a TikTok.
[1:22:55.000 --> 1:22:56.000]  Right.
[1:22:56.000 --> 1:23:00.000]  But on that size touchscreen, it's a real problem.
[1:23:00.000 --> 1:23:02.000]  I never know what to do.
[1:23:02.000 --> 1:23:05.000]  Yeah, they've got like two buttons, or four buttons you can tap,
[1:23:05.000 --> 1:23:08.000]  but it's just, and the swipe area is very small.
[1:23:08.000 --> 1:23:09.000]  Right.
[1:23:09.000 --> 1:23:13.000]  And it's a nice try at unifying your product line if you're Apple
[1:23:13.000 --> 1:23:15.000]  and saying, look, people are used to this, so we'll do it.
[1:23:15.000 --> 1:23:19.000]  But it is not, if you were designing that in a vacuum,
[1:23:19.000 --> 1:23:22.000]  you would not design it that way, because it doesn't fit right.
[1:23:22.000 --> 1:23:23.000]  And so I wonder about that.
[1:23:23.000 --> 1:23:27.000]  Whether it's something like what Marco showed me,
[1:23:27.000 --> 1:23:31.000]  that is this, it's circular, and the ring is like the click wheel,
[1:23:31.000 --> 1:23:36.000]  or it's something that is a rectangular, and you're not expecting to touch on the screen.
[1:23:36.000 --> 1:23:38.000]  But there's some other interaction.
[1:23:38.000 --> 1:23:39.000]  I don't know.
[1:23:39.000 --> 1:23:42.000]  It's an interesting, interesting problem, and it will be interesting to see
[1:23:42.000 --> 1:23:45.000]  whether Apple leans on the side of a new interaction,
[1:23:45.000 --> 1:23:49.000]  or whether they try to make it feel as iPhone-like as possible.
[1:23:49.000 --> 1:23:55.000]  I just can't help coming back to the idea that what's happened is
[1:23:55.000 --> 1:23:59.000]  everybody in the industry has gotten the ability to make these.
[1:23:59.000 --> 1:24:02.000]  I've, I'm just going to call them iPhone-like devices.
[1:24:02.000 --> 1:24:03.000]  Right.
[1:24:03.000 --> 1:24:07.000]  And everything post-PC that we've had, Android, Windows Phone,
[1:24:07.000 --> 1:24:08.000]  whatever you want to call the OS.
[1:24:08.000 --> 1:24:10.000]  And there's, you know, I'm not saying they're all copies,
[1:24:10.000 --> 1:24:14.000]  I'm just saying, no, they're all derivative of this idea of a touch screen,
[1:24:14.000 --> 1:24:21.000]  and a Unix-like operating system running on a real computer under the hood,
[1:24:21.000 --> 1:24:26.000]  and a real operating system on top where you can put apps and stuff like that.
[1:24:26.000 --> 1:24:30.000]  And we've gotten to the point where everybody can make one now
[1:24:30.000 --> 1:24:32.000]  that is small enough to be called a watch.
[1:24:32.000 --> 1:24:34.000]  And maybe not a small watch.
[1:24:34.000 --> 1:24:37.000]  In fact, all of these things are kind of huge by the standard of watches,
[1:24:37.000 --> 1:24:41.000]  but we can make them like Dick Tracy's watch size,
[1:24:41.000 --> 1:24:44.000]  which is a remarkable achievement.
[1:24:44.000 --> 1:24:49.000]  And I think that all of the enthusiasm you do see on sites that are reviewing them
[1:24:49.000 --> 1:24:54.000]  and giving them positive reviews, even though they seemingly have glaring problems
[1:24:54.000 --> 1:24:59.000]  in terms of just, is it actually useful and is it actually a good product?
[1:24:59.000 --> 1:25:05.000]  I think it's just general excitement of holy crap you can have a computer on your wrist.
[1:25:05.000 --> 1:25:07.000]  Yeah, it's a technological achievement, it really is.
[1:25:07.000 --> 1:25:08.000]  Right, right.
[1:25:08.000 --> 1:25:13.000]  I mean, just, you know, you and I are, if not identically aged, we're very close in age,
[1:25:13.000 --> 1:25:17.000]  you go back to the 90s until Jason Snell and John Gruber
[1:25:17.000 --> 1:25:21.000]  that you're going to have a Unix computer running on your wrist in the year 2014.
[1:25:21.000 --> 1:25:26.000]  And I'm going to, I'm thinking, holy shit, we're having jet cars and jet packs too, right?
[1:25:26.000 --> 1:25:33.000]  I mean, that's crazy, because a Unix computer in 1993 was like a room.
[1:25:33.000 --> 1:25:35.000]  It was like a refrigerator.
[1:25:35.000 --> 1:25:40.000]  I'm imagining like, like one of those wrist things that like space ghost had.
[1:25:40.000 --> 1:25:43.000]  It's like, it's like doubles the size of your wrist.
[1:25:43.000 --> 1:25:44.000]  It's like, that's what I would think.
[1:25:44.000 --> 1:25:45.000]  It's like, well, it's going to be huge.
[1:25:45.000 --> 1:25:47.000]  And why would you put that on your wrist?
[1:25:47.000 --> 1:25:49.000]  Not thinking, you know, how could it be?
[1:25:49.000 --> 1:25:50.000]  These are mainframes.
[1:25:50.000 --> 1:25:53.000]  These are like more computer than a computer.
[1:25:53.000 --> 1:25:56.000]  And you're going to have that in my, in your pocket or on your wrist.
[1:25:56.000 --> 1:25:57.000]  That's crazy talk.
[1:25:57.000 --> 1:26:01.000]  And so just because you can build it, it's cool that you can't,
[1:26:01.000 --> 1:26:04.000]  but just because you can't, doesn't mean that that's actually a good form factor for that.
[1:26:04.000 --> 1:26:07.000]  And it's the exact same as thinking.
[1:26:07.000 --> 1:26:09.000]  The nano and the TikTok and the lunatic.
[1:26:09.000 --> 1:26:10.000]  I mean, showed that, right?
[1:26:10.000 --> 1:26:11.000]  It's like, you could do it.
[1:26:11.000 --> 1:26:13.000]  It's not that good, but you could do it.
[1:26:13.000 --> 1:26:14.000]  Right.
[1:26:14.000 --> 1:26:19.000]  And it's the exact same thing of why didn't the original iPhone run the Mac OS,
[1:26:19.000 --> 1:26:22.000]  where you drag little windows around and you have a file menu,
[1:26:22.000 --> 1:26:24.000]  you know, a menu bar at the top.
[1:26:24.000 --> 1:26:27.000]  It would have worked at some level conceptually,
[1:26:27.000 --> 1:26:32.000]  but it definitely would have been, you know, would have been a bad idea.
[1:26:32.000 --> 1:26:33.000]  Yeah.
[1:26:33.000 --> 1:26:35.000]  I mean, we would have bought them or we would have reviewed them.
[1:26:35.000 --> 1:26:37.000]  And it might have been some cool things you could do it.
[1:26:37.000 --> 1:26:39.000]  And I'm sure they would have, you know, scaled the things up.
[1:26:39.000 --> 1:26:42.000]  It wouldn't have been like you're trying to touch a tiny little,
[1:26:42.000 --> 1:26:44.000]  20 pixel thing at the top.
[1:26:44.000 --> 1:26:47.000]  But, you know, it just wasn't the right interaction model.
[1:26:47.000 --> 1:26:49.000]  Because can't help but think, but that's where the wearables are.
[1:26:49.000 --> 1:26:54.000]  But everybody else is, is stuck thinking that they should make a tiny,
[1:26:54.000 --> 1:26:58.000]  modern cell phone on your wrist and nobody would want to,
[1:26:58.000 --> 1:27:00.000]  you don't want to, you don't want to phone that small.
[1:27:00.000 --> 1:27:01.000]  Right.
[1:27:01.000 --> 1:27:02.000]  Well, I mean, yeah.
[1:27:02.000 --> 1:27:06.000]  I think, I think no, no sane person would want a phone that small.
[1:27:06.000 --> 1:27:08.000]  In fact, I think that's actually a strong argument.
[1:27:08.000 --> 1:27:11.000]  I wrote a piece about this a while ago that the idea that, um,
[1:27:11.000 --> 1:27:14.000]  I don't want, I don't want something on my wrist to be a phone.
[1:27:14.000 --> 1:27:15.000]  Right.
[1:27:15.000 --> 1:27:17.000]  Like, I don't think it's the right place for a phone.
[1:27:17.000 --> 1:27:20.000]  I wouldn't, if you could say you don't need to carry your iPhone around anymore.
[1:27:20.000 --> 1:27:22.000]  I'm going to strap this thing to your wrist and it's your iPhone.
[1:27:22.000 --> 1:27:26.000]  I don't think I would want that because it's so, it would have to be so small
[1:27:26.000 --> 1:27:30.000]  that the way you interacted with it would be difficult.
[1:27:30.000 --> 1:27:33.000]  And, you know, this is why bigger phones are more popular in the room,
[1:27:33.000 --> 1:27:35.000]  whereas that Apple's going to have larger phones.
[1:27:35.000 --> 1:27:38.000]  So what goes on your wrist, you know, is, it's, it's,
[1:27:38.000 --> 1:27:41.000]  that real estate is great, but it's different.
[1:27:41.000 --> 1:27:46.000]  And, and I don't want it to be the same interaction because it's not the same.
[1:27:46.000 --> 1:27:49.000]  It's not only in a different place on my body, it's, it's strapped to my wrist.
[1:27:49.000 --> 1:27:52.000]  So I've got to hold my arm in a certain way to get to it.
[1:27:52.000 --> 1:27:57.000]  Which also means it's one-handed operation because I can't bend my other hand back.
[1:27:57.000 --> 1:27:58.000]  And it's tiny.
[1:27:58.000 --> 1:28:01.000]  So it's not, you know, the rules don't apply.
[1:28:01.000 --> 1:28:05.000]  Even though it's convenient to say, hey, it falls the same rules as your phone,
[1:28:05.000 --> 1:28:06.000]  it's not the same place.
[1:28:06.000 --> 1:28:08.000]  So the rules should not apply.
[1:28:08.000 --> 1:28:10.000]  It's a different device.
[1:28:10.000 --> 1:28:11.000]  Yeah.
[1:28:11.000 --> 1:28:14.000]  Let's come back to that idea of a big-ass iPhone.
[1:28:14.000 --> 1:28:18.000]  But at first, I want to tell you about our third sponsor and start good friends at Hover.
[1:28:18.000 --> 1:28:23.000]  Hover is the domain name registrar that doesn't suck.
[1:28:23.000 --> 1:28:31.000]  And these guys, I, I, I repeat it every time, but it's such a scummy industry.
[1:28:31.000 --> 1:28:35.000]  And it's, it's, it's like going into the bad part of town.
[1:28:35.000 --> 1:28:37.000]  Usually when you go to a domain name registrar.
[1:28:37.000 --> 1:28:39.000]  Hover has been around forever.
[1:28:39.000 --> 1:28:42.000]  They've always just been an honest company.
[1:28:42.000 --> 1:28:44.000]  They may not be the cheapest.
[1:28:44.000 --> 1:28:49.000]  I'm sure you could go somewhere else and register a domain name for less.
[1:28:49.000 --> 1:28:50.000]  That's not what they're trying to be.
[1:28:50.000 --> 1:28:51.000]  They're trying to be the best.
[1:28:51.000 --> 1:28:54.000]  And they've been in business for a long time.
[1:28:54.000 --> 1:28:58.000]  And they have so many great features.
[1:28:58.000 --> 1:29:04.000]  The best one, the best thing that they have, on my opinion, is their customer service.
[1:29:04.000 --> 1:29:07.000]  And what they call valetransfer.
[1:29:07.000 --> 1:29:12.000]  They make it easy to manage all your domains in one place.
[1:29:12.000 --> 1:29:17.000]  And so let's say you've been registering domain names like a dummy since the mid 90s.
[1:29:17.000 --> 1:29:20.000]  Every time you have a goofy idea for a domain name.
[1:29:20.000 --> 1:29:22.000]  I'm not looking at anybody in particular.
[1:29:22.000 --> 1:29:24.000]  That sounds familiar to me.
[1:29:24.000 --> 1:29:27.000]  Yeah, it sounds familiar to a lot of you who are listening, right?
[1:29:27.000 --> 1:29:30.000]  And you've got them registered all over the place.
[1:29:30.000 --> 1:29:33.000]  And every time they come up for renewal and you get the email and you think,
[1:29:33.000 --> 1:29:36.000]  oh my God, I've had that thing since 1998, but it's still such a funny domain.
[1:29:36.000 --> 1:29:38.000]  I better keep it, right?
[1:29:38.000 --> 1:29:40.000]  It's only 15 bucks or whatever for a couple years.
[1:29:40.000 --> 1:29:45.000]  But they're all over the place and you've got them registered at three different places.
[1:29:45.000 --> 1:29:48.000]  And some of them you don't even like because they're the bad businesses.
