[00:00.000 --> 00:05.180]  Feel like we got to talk about the thing which thing my thing. How was your with your eyeball? Yeah
[01:13:16.520 --> 01:13:24.360]  Like the poor kid some poor kid at I download blog like by the next day had written. These are the Apple watch prices
[01:13:25.520 --> 01:13:28.480]  And then had to retract it. Yeah, I had to retract it with a
[01:13:29.200 --> 01:13:32.040]  Horribly can he's very contrite about it. But you know
[01:13:32.040 --> 01:13:37.000]  Well, this is what was interesting about the whole thing. I still get it. If you look at my Twitter stream, by the way
[01:13:37.000 --> 01:13:38.240]  Right now as we speak
[01:13:38.240 --> 01:13:43.640]  There's you won't have to go more than 20 or 30 before you'll find somebody asking me what I think about this leaked
[01:13:44.320 --> 01:13:46.160]  priceless
[01:13:46.160 --> 01:13:48.400]  Which is based on your own predictions
[01:13:49.000 --> 01:13:54.600]  Right from like two weeks earlier, right, but it's actually not I actually think that these prices are off
[01:13:54.600 --> 01:14:00.400]  There's some things that I think he probably got right and he was very thoughtful about but I think once he gets past
[01:14:00.400 --> 01:14:02.400]  Apple watch sport he's vastly
[01:14:02.720 --> 01:14:04.720]  underestimating the price of these things
[01:14:04.920 --> 01:14:10.560]  Well, what I thought was interesting about it was just how clunky the image was and it shows
[01:14:10.920 --> 01:14:15.120]  Yeah, I have to pull the thing up, but it shows there's like 18 rows aren't there?
[01:14:16.280 --> 01:14:22.880]  At least right right and it's it's showing, you know, here's the intro sport. Here's the steel sport
[01:14:22.880 --> 01:14:30.280]  Here's the main Apple watch. Here's the Apple watch in space gray or whatever and he's got 12 pricing tiers
[01:14:30.280 --> 01:14:35.400]  Okay, and each one in two sizes 38 and 42
[01:14:36.200 --> 01:14:38.240]  And we mentioned this earlier in the show
[01:14:38.240 --> 01:14:43.460]  I think that actually makes sense that I don't know about at the sport level. I could see like maybe it's sport
[01:14:43.460 --> 01:14:46.280]  They're both just 349 and you just pick the size you want
[01:14:46.280 --> 01:14:50.980]  But then I think once you go to steel and gold there there probably will be a small difference in price
[01:14:52.120 --> 01:14:53.280]  right
[01:14:53.280 --> 01:14:57.000]  But it was interesting just because of how clunky it actually is and you know
[01:14:57.000 --> 01:14:59.120]  We were talking about how clunky it is to talk about the different
[01:14:59.120 --> 01:15:01.120]  collections
[01:15:02.080 --> 01:15:06.480]  and I think it's I don't know it'll be interesting to see just how this plays out because
[01:15:06.800 --> 01:15:12.320]  Apple has not really ever had anything at least not recently that was this complex or this complicated, right?
[01:15:12.320 --> 01:15:14.240]  It is like buying a watch
[01:15:14.240 --> 01:15:18.680]  I mean like when you go and buy, you know a watch at a jewelry store, you know
[01:15:18.680 --> 01:15:22.360]  you can't just say I want a you know Rolex Explorer and
[01:15:23.400 --> 01:15:26.200]  Well, I guess Rolex Explorer is actually one where there is just one
[01:15:26.200 --> 01:15:28.200]  Maybe that's a bad example
[01:15:29.040 --> 01:15:35.280]  Right, you know like a Rolex Submariner has all sorts of color choices just on the dial. There's a blue dial
[01:15:35.280 --> 01:15:42.560]  There's green dial. The black dial is the traditional one steel steel with gold all gold, you know, etc, etc
[01:15:43.520 --> 01:15:47.440]  And that there's you know, all sorts of matrixes like that within
[01:15:48.040 --> 01:15:53.840]  The line of all the major watch brands where you know certain watches come in all sorts of different
[01:15:53.840 --> 01:15:56.880]  You know dial colors and band colors and stuff like that
[01:15:56.880 --> 01:16:01.660]  But it's absolutely nothing like any Apple product before right and and you know
[01:16:02.360 --> 01:16:05.280]  Apple used to have these terrible major matrices of products
[01:16:05.360 --> 01:16:09.720]  you know the ten different models of performa back in the early 90s and so on right and
[01:16:10.160 --> 01:16:12.360]  Then I think it's in my mind
[01:16:12.360 --> 01:16:17.240]  It's sort of burned in where Steve Jobs would have a grid and there would just be four items
[01:16:17.480 --> 01:16:22.640]  Right, right and it's you know, good better best and and I don't know I guess that's only three items, but
[01:16:22.640 --> 01:16:24.640]  well famously the
[01:16:25.840 --> 01:16:30.600]  To me it was like a moment where I remember thinking like I think that this guy is gonna do it
[01:16:30.600 --> 01:16:35.320]  I think he's gonna turn the company around. Is that that four-way matrix for?
[01:16:36.000 --> 01:16:40.400]  It was laptop desktops. Yeah pro consumer and
[01:16:41.680 --> 01:16:46.080]  So it's the iBook. It's the power book. It's the iMac. It's the power Mac, right? Yeah. Yeah
[01:16:46.120 --> 01:16:49.960]  That's really the one I'm thinking. Yeah, and it was brilliant and it in hindsight
[01:16:49.960 --> 01:16:53.000]  I think it's so easy to underestimate the brilliance of that decision
[01:16:53.040 --> 01:16:55.600]  But it it cut all sorts, you know
[01:16:55.600 --> 01:17:01.160]  Cutting products out of a company is always painful politically unless you're somebody like jobs who just doesn't give a shit about the policy
[01:17:01.360 --> 01:17:07.960]  Screw you if your job was running the performance 700 line, you know, you know get with the program
[01:17:08.840 --> 01:17:13.840]  And none of the no other computer company had a had a lineup like that, right?
[01:17:13.840 --> 01:17:17.040]  I mean even to this day if you go to like Dell calm and try to configure
[01:17:17.040 --> 01:17:24.080]  It's a nightmare trying to it's hard to even figure out like even if you just know I want like the the maxed out
[01:17:24.080 --> 01:17:27.160]  You know, I want the best laptop I can get it's like hard to figure it out
[01:17:28.520 --> 01:17:30.680]  All right, it's this is nothing like that
[01:17:30.680 --> 01:17:35.360]  And again, that's not to say that if Steve Jobs were still around they wouldn't be doing this
[01:17:35.360 --> 01:17:40.080]  Who knows, you know, maybe you know, he and Johnny I've mapped out these watches, you know five years ago
[01:17:40.080 --> 01:17:44.160]  And you know, he'd be right on board watches are different. You know, there's no you know
[01:17:44.160 --> 01:17:46.560]  I do you can't sell watches like you sell
[01:17:47.760 --> 01:17:49.760]  PCs and laptops well
[01:17:50.400 --> 01:17:52.120]  Well, are you well?
[01:17:52.120 --> 01:17:57.280]  They're not they're not willing to try at least right now or they're looking to try doing it the way you normally sell a watch
[01:17:57.280 --> 01:18:00.760]  As opposed to the way that they sell phones and computers. Yeah. No, I guess you're right
[01:18:00.760 --> 01:18:05.960]  I shouldn't say you can't I should say it doesn't Apple apparently doesn't think that they can or I should
[01:18:06.480 --> 01:18:11.360]  well, and so the interesting thing to me is I was in an Apple store what about a week ago and
[01:18:12.120 --> 01:18:13.120]  I
[01:18:13.120 --> 01:18:17.040]  They haven't shown how the stores are gonna change, but they're clearly gonna have to change
[01:18:17.680 --> 01:18:23.960]  And I think that's something that everyone will see in the near future and and that to me is is more interesting than speculating on
[01:18:23.960 --> 01:18:29.120]  The price is you know, you've been in a store recently, right? Yeah a couple times. Yeah. What are they gonna do?
[01:18:29.120 --> 01:18:30.640]  I don't know
[01:18:30.640 --> 01:18:35.640]  I mean and they even said in the New Yorker story on Johnny I've that big one profile
[01:18:35.640 --> 01:18:41.200]  They even mentioned that one of the things he's got going on is that he's leading a redesign of the story
[01:18:41.200 --> 01:18:44.920]  it sounds to me like from it was sort of an offhand remark in
[01:18:45.560 --> 01:18:49.840]  You know, the article was so long that it's easy to just throw something off
[01:18:49.840 --> 01:18:55.080]  But it it seems like a huge undertaking that they're gonna redesign all of the stores, you know
[01:18:55.080 --> 01:18:57.840]  He's working hand in hand with Angela aren'ts on that, right?
[01:19:00.080 --> 01:19:01.600]  Partly for the watch for sure
[01:19:01.600 --> 01:19:06.700]  I'm I'm guessing partly just to build for the future because who knows what they're gonna do next, you know
[01:19:06.700 --> 01:19:11.300]  But I have no idea what they're gonna do. I'm my best guess at this point
[01:19:11.300 --> 01:19:16.580]  Is that there's nowhere near enough time for them to renovate even if it's not a total redesign of every store
[01:19:16.580 --> 01:19:22.020]  Even if it's some kind of we're gonna renovate the where the Genius bar used to be or something, you know
[01:19:22.020 --> 01:19:24.020]  we're gonna get rid of all the
[01:19:24.400 --> 01:19:29.500]  you know take this take the spot in the stores where they used to sell gift cards and if I guess if you want a
[01:19:29.500 --> 01:19:33.780]  Gift card now you just talk to somebody and we'll use that space to sell the watches
[01:19:34.300 --> 01:19:35.500]  I
[01:19:35.500 --> 01:19:40.540]  Don't think the I don't think the vast majority of stores are gonna have the addition models
[01:19:40.540 --> 01:19:43.140]  I think that at least it started out my best
[01:19:43.140 --> 01:19:46.940]  This is my bet because I just don't think there's enough time like it's already March 2nd
[01:19:46.940 --> 01:19:53.820]  If they don't ship until April 30, which would be the lot and I don't think that's good given that the event is on March 9th
[01:19:53.820 --> 01:19:56.920]  I'm kind of thinking they're gonna ship in early April, right?
[01:19:57.620 --> 01:20:02.220]  But you know the the longest period of time they have between like seven weeks, right?
[01:20:02.220 --> 01:20:05.860]  And there's no way that they could do that across. However many hundred stores they have
[01:20:06.080 --> 01:20:08.900]  So do you think I think it's like three or four hundred stores now? Yeah, so do you think?
[01:20:09.700 --> 01:20:13.340]  the addition models will be something that you go to New York City or LA or
[01:20:13.980 --> 01:20:21.220]  You know could be to start and certainly San Francisco, right? Right, you know, there's whatever wherever the major cities
[01:20:21.220 --> 01:20:25.420]  Yeah, well and maybe that's all the stores that are like landmarks
[01:20:26.080 --> 01:20:31.660]  Okay, you know there's I don't know what I don't quite think that they have like a tier of those stores
[01:20:31.660 --> 01:20:33.660]  You know like a name for it, but they're you know
[01:20:34.140 --> 01:20:37.700]  The ones like in London that Tim Cook was just at this week, you know
[01:20:37.700 --> 01:20:43.680]  The ones that look architecturally interesting in it and that are physically bigger that they'll have, you know a separate little
[01:20:46.060 --> 01:20:48.900]  Salon, you know where you'll buy the addition models
[01:20:48.900 --> 01:20:53.980]  I think I you know, and I think they could they could even start and just say it's only in three cities to start
[01:20:53.980 --> 01:20:57.620]  New York, you know Los Angeles and San Francisco and
[01:20:58.740 --> 01:21:00.740]  Then they'll slowly roll that out over time
[01:21:00.740 --> 01:21:04.700]  Right. Yeah, I don't know. It's the to me
[01:21:04.700 --> 01:21:07.580]  That's that's a very interesting aspect of it that you know
[01:21:07.580 --> 01:21:10.540]  Not a lot of people will consider and then maybe it doesn't really matter that much
[01:21:10.540 --> 01:21:15.260]  But this is it's not it's not changing the company the way that the iPad changed the company
[01:21:15.380 --> 01:21:20.520]  Because that was or it's changing it much more than the iPad or even the iPhone changed the company because those are still
[01:21:20.960 --> 01:21:27.900]  Computing devices that are sold the way computing devices are sold and the watch clearly is not going to be sold that way, right?
[01:21:27.900 --> 01:21:32.300]  And it's there's so many different ways where it's like you can't have it both ways
[01:21:32.300 --> 01:21:37.540]  like if you're going to say we're going and I just I really do believe that this is true that these are
[01:21:37.940 --> 01:21:44.000]  $10,000 watches maybe you know if and again if I'm right that they're that they sell a gold link band
[01:21:44.740 --> 01:21:46.740]  $20,000 watches
[01:21:46.740 --> 01:21:54.480]  And that's totally reasonable given the price of fine watches and solid gold bracelets in the market today
[01:21:54.480 --> 01:21:56.480]  But
[01:21:56.480 --> 01:22:01.460]  You can't have those things being sold by kids wearing jeans and t-shirts
[01:22:03.040 --> 01:22:07.400]  Right who like their next the next thing that they're doing is
[01:22:09.000 --> 01:22:11.400]  Scanning somebody's Hello Kitty iPhone case
[01:22:14.640 --> 01:22:19.400]  Yeah, what can I help you with I'm buying a Hello Kitty iPhone case, oh, okay, thank you here you go
[01:22:19.400 --> 01:22:24.400]  Do you want a receipt? Nope? All right, I'm buying a $15,000 watch. Okay, here you go
[01:22:25.000 --> 01:22:29.400]  Like well, I won't said last week. Do you think they're gonna let you do the walk out and pay on your
[01:22:31.400 --> 01:22:34.900]  Walk out the door you even imagine how hard you'd get tackle
[01:22:36.600 --> 01:22:39.680]  I don't walk out of the store with a self-paid
[01:22:40.520 --> 01:22:42.040]  $15,000
[01:22:42.040 --> 01:22:45.380]  Like they're just gonna have them on the shelf just in a little little case
[01:22:45.380 --> 01:22:49.940]  I just grab it and you flash your receipt and you're good to go. No, I I don't know
[01:22:49.940 --> 01:22:53.140]  I'm having so much fun with this watch thing
[01:22:53.140 --> 01:22:54.020]  and again
[01:22:54.020 --> 01:22:58.140]  It's not even because I know I want one and I can't wait to get it because I don't even know I'm so
[01:22:58.560 --> 01:23:00.980]  So many questions about what I would find useful with it
[01:23:00.980 --> 01:23:06.380]  I just find it useful like as somebody who's professionally paid to write about the company that there's so many things
[01:23:06.380 --> 01:23:10.620]  We don't know and it did and there don't seem to be good answers for it
[01:23:10.620 --> 01:23:16.220]  There just does not seem to be a good answer for how do you sell a $10,000 gold watch in the Apple store?
[01:23:16.220 --> 01:23:18.220]  I don't know
[01:23:19.180 --> 01:23:24.860]  Like I said the moles last week I know in the Philly store we have an upstairs that's not retail you can't wander up there
[01:23:24.860 --> 01:23:27.580]  It's like the business center and they have classes and stuff like that
[01:23:29.180 --> 01:23:34.820]  And I could see them apportioning, you know, like like if you go in to buy the edition you would be taken up there
[01:23:34.820 --> 01:23:38.580]  But even then even if if like you get escorted to a quiet
[01:23:38.580 --> 01:23:44.460]  Salon type experience and get you know a concierge level of sales. It's a cucumber water
[01:23:44.460 --> 01:23:47.700]  Yeah, cucumber water and you know, maybe a glass of bubbly
[01:23:49.060 --> 01:23:52.460]  And you get to try these watches on while sitting, you know, or whatever
[01:23:52.460 --> 01:23:56.660]  I still don't see how you go from the front of the store to where you tell somebody
[01:23:57.620 --> 01:24:01.020]  You know, that's what you're here for right like at some, you know
[01:24:01.020 --> 01:24:07.060]  Like that's like it my big irritation with Apple stores in general is that it sometimes it's so hard to get somebody's attention
[01:24:07.060 --> 01:24:09.540]  Like if you know exactly what you want to get right
[01:24:10.900 --> 01:24:17.300]  You know, like we got Jonas a Macbook for Christmas
[01:24:19.300 --> 01:24:22.940]  And I knew I knew exactly what I wanted to get and it's like, you know
[01:24:22.940 --> 01:24:25.540]  What didn't take too long and you know, I have to say I don't given it
[01:24:25.540 --> 01:24:27.300]  It was the holiday season and everything
[01:24:27.300 --> 01:24:28.300]  It didn't take too long
[01:24:28.300 --> 01:24:32.820]  But it seemed to take a little bit too long given that I knew exactly what I wanted when I stepped foot into the store
[01:24:32.820 --> 01:24:36.420]  Right. Yeah. Yeah, and and now they're adding a whole
[01:24:37.300 --> 01:24:43.340]  Separate section most likely right like if you walk into a Tiffany to buy some fine jewelry
[01:24:43.340 --> 01:24:46.380]  You know, there's no there aren't any there's no loud crowds
[01:24:47.260 --> 01:24:53.180]  You know, you don't kids sitting on round balls playing bugs life or I write it and it's
[01:24:54.020 --> 01:24:58.100]  You know and who knows, you know, I you know, maybe if it's like the Christmas or whatever
[01:24:58.100 --> 01:25:02.900]  Maybe you might have to wait to before a sales person will will come greet you
[01:25:02.900 --> 01:25:09.700]  But once the first salesperson who greets you is going to be able to handle your request whether it's for a hundred and fifty dollar
[01:25:10.100 --> 01:25:14.100]  Pendant or whether it's for a fifteen thousand dollar pendant, right?
[01:25:14.100 --> 01:25:18.980]  It's like whatever it is that you're there to buy a Tiffany that your sales rep is going to make you feel
[01:25:18.980 --> 01:25:22.900]  You know comfortable and you know, like you're in the right place, right?
[01:25:24.020 --> 01:25:26.020]  I just don't get it with that
[01:25:26.020 --> 01:25:28.020]  I
[01:25:28.980 --> 01:25:33.860]  Think the more I think I wrote about this last week I the more I look at the bands the more I think that there's gonna
[01:25:33.860 --> 01:25:35.020]  be
[01:25:35.020 --> 01:25:38.140]  wide variation and pricing based on the band
[01:25:38.460 --> 01:25:42.040]  I'm convinced of it and I think it's sort of how they fill in the gaps
[01:25:42.040 --> 01:25:45.800]  Like if you're looking I think if you're looking and I this is how I from months
[01:25:45.800 --> 01:25:49.420]  I just thinking well three main price points, you know 349 for sport
[01:25:49.420 --> 01:25:56.700]  Something maybe a thousand for the steel and five thousand for gold or whatever. I think that within each collection
[01:25:56.700 --> 01:26:01.500]  I'm making sure I use the right word within each collection. There's gonna be I think a
[01:26:03.060 --> 01:26:08.500]  Not startlingly big but a very wide variety like I could see the still based on fans
[01:26:08.620 --> 01:26:12.840]  Yeah, I could see the steel one like starting at like seven hundred dollars
[01:26:13.500 --> 01:26:16.140]  With the rubber band. What do they call it? Poly you?
[01:26:16.140 --> 01:26:20.380]  You're a theme. What's the famous their fancy word for rubber band rubber?
[01:26:22.300 --> 01:26:24.300]  Floral elastomer
[01:26:28.700 --> 01:26:30.460]  Black floral
[01:26:30.460 --> 01:26:31.740]  elastomer
[01:26:31.740 --> 01:26:37.340]  So I could see that starting at let's say 700 which would be double the price of the sport watch which to me is like
[01:26:37.340 --> 01:26:41.500]  A reasonable like increment to go from aluminum to steel you double it
[01:26:41.500 --> 01:26:43.500]  But
[01:26:44.300 --> 01:26:49.260]  Then I would think like the ones with the leather bands would be a couple hundred bucks more than that and I could see like
[01:26:49.260 --> 01:26:53.860]  The the metal link band one being like fifteen hundred dollars or even two thousand dollars
[01:26:53.860 --> 01:26:59.980]  And I know everybody else is like nobody else is thinking that for the steel one, but I I could see them doing it. I
[01:27:01.060 --> 01:27:06.220]  Read I just reread it before we started the show on an Apple watches page. You go to apple.com
[01:27:06.220 --> 01:27:11.540]  Apple.com slash watch slash Apple dash watch now, this is probably going to change
[01:27:12.260 --> 01:27:16.500]  Next week. So you you know, go check it out before, you know, I'm guessing the website will be redone
[01:27:17.740 --> 01:27:24.220]  After it's released, but if here's their description for the link bracelet, this is for the steel watch. This isn't for the addition
[01:27:24.220 --> 01:27:25.420]  this is for
[01:27:25.420 --> 01:27:27.420]  Steel watch crafted from the same
[01:27:27.620 --> 01:27:33.300]  316 L stainless steel alloy is the case the link bracelet has more than 100 components
[01:27:33.300 --> 01:27:40.340]  The machining process is so precise. It takes nearly nine hours to cut the links for a single band in
[01:27:41.060 --> 01:27:47.140]  Part that's because they aren't simply a uniform size but subtly increase in width as they approach the case
[01:27:47.660 --> 01:27:50.780]  Once assembled the links are brushed by hand
[01:27:51.460 --> 01:27:58.980]  to ensure that the texture follows the contours of the design the custom butterfly closure folds neatly within the bracelet and
[01:27:58.980 --> 01:28:06.420]  several links feature a simple release button so you can add and remove links without any special tools available in stainless steel and black
[01:28:06.660 --> 01:28:07.780]  stainless steel
[01:28:07.780 --> 01:28:09.780]  If it takes nine hours for them
[01:28:10.420 --> 01:28:17.340]  One and then after it's assembled it's polished by hand that that's not going to be like a hundred and fifty dollars
[01:28:17.740 --> 01:28:21.860]  Extra like I I see I'm not exaggerating like that
[01:28:21.940 --> 01:28:24.780]  That might be like a fifteen hundred dollar bracelet
[01:28:24.780 --> 01:28:30.300]  Like it might mean that the you know, the watch that comes with that bracelet is is two thousand dollars. I
[01:28:31.940 --> 01:28:38.620]  Mean reading that description. It certainly sounds more much more expensive than I think what people are anticipating. Yeah, right
[01:28:38.620 --> 01:28:41.940]  It's like at first like the way they showed it at the event in September
[01:28:41.940 --> 01:28:44.500]  It's like you can get a bracelet that matches your taste
[01:28:45.060 --> 01:28:51.980]  Maybe you're you know, maybe and I like I've had over the years. I've had many watches with like a rubber plastic strap
[01:28:51.980 --> 01:28:56.380]  I find them to be very comfortable. I think you know, I always feel like you can get them nice and tight
[01:28:56.380 --> 01:29:01.780]  And then they have a little bit of give I I think that the floral elastomer band is gonna be great
[01:29:03.420 --> 01:29:07.380]  But they made it seem as though it's like pick the one that matches your style and you know
[01:29:07.380 --> 01:29:11.380]  Maybe you know, I think everybody thought well, maybe this the link bracelet will cost a little bit more
[01:29:11.380 --> 01:29:12.940]  But I if you think about it
[01:29:12.940 --> 01:29:18.500]  If you just start with the assumption that it's gonna cost a lot more that description makes a lot more sense
[01:29:18.500 --> 01:29:21.640]  Nine hours to cut the links is for one
[01:29:24.180 --> 01:29:28.300]  I'll tell you what, they're saying, you know, that's because they chained with slightly
[01:29:28.760 --> 01:29:32.980]  Maybe they could have just made them the same width. Well, or maybe you could have cut in about four hours
[01:29:33.060 --> 01:29:38.140]  Well, why couldn't you have one machine that cuts the first link one machine, you know, right, right, right?
[01:29:39.540 --> 01:29:45.860]  It actually it seems kind of crazy that it takes nine hours, you know, but I mean I have no reason to doubt them
[01:29:45.860 --> 01:29:51.980]  But they're certainly seem to be setting it up it that to me sounds like the description of a fifteen hundred dollar bracelet of an expensive
[01:29:51.980 --> 01:29:53.140]  piece of
[01:29:53.140 --> 01:29:55.140]  Watch band. Yeah, right
[01:29:55.900 --> 01:30:00.820]  And I think that's the thing that's so interesting to me is that all of these watches are the same
[01:30:01.820 --> 01:30:07.100]  Like the gold whatever it costs whether it's only fifteen hundred bucks or whether it's fifteen thousand bucks
[01:30:07.100 --> 01:30:12.300]  It's still the exact same device as the watch that you're gonna get for three hundred forty nine bucks
[01:30:12.300 --> 01:30:14.300]  And that's nuts
[01:30:14.700 --> 01:30:18.380]  well, but there is precedent for that in the the
[01:30:19.260 --> 01:30:22.620]  Some precedent not scaling all the way down to 349
[01:30:22.620 --> 01:30:28.700]  But that's you know, like if you buy a Rolex Submariner in stainless steel in the fashion world
[01:30:28.700 --> 01:30:35.420]  There's huge precedent right right or yeah or like handbags right that there, you know, there might be two Louis Vuitton bags
[01:30:35.420 --> 01:30:37.420]  but one is made out of
[01:30:37.900 --> 01:30:39.900]  You know, I don't know some kind of
[01:30:39.900 --> 01:30:44.460]  Special rare leather and the other one is made out of the regular leather and it's you know
[01:30:44.460 --> 01:30:49.180]  $5,000 difference and it's the exact same bag same dimension same pocket same zippers
[01:30:49.340 --> 01:30:55.580]  Everything's the same except one is made out of a different kind of leather and it costs $5,000 more, you know
[01:30:56.140 --> 01:30:58.140]  but in terms of technology
[01:30:58.780 --> 01:31:05.980]  What has besides besides the outlier like what's the virtue is the one that makes a case for your phone that makes it worth like?
[01:31:05.980 --> 01:31:10.780]  A case for your phone that makes it worth like no not a case. It is a phone. It's it's a whole phone, right?
[01:31:10.780 --> 01:31:14.220]  Right, but it's oh well, but the value in it is all in the case, right?
[01:31:15.500 --> 01:31:19.900]  The case of the phone the the casing molson and I were talking about this last week. They also offer a
[01:31:21.020 --> 01:31:27.580]  Concierge service where there's like a special button on the phone and then it you just hit this button and then you get like a virtue
[01:31:27.580 --> 01:31:32.220]  Person who will be like we want on star for your phone. Yeah. Yeah, and you're like, oh, I want to you know
[01:31:32.220 --> 01:31:34.220]  I want to go to an Italian restaurant tonight
[01:31:34.220 --> 01:31:38.780]  Well, but I mean besides these outliers in terms of selling technology
[01:31:39.660 --> 01:31:42.380]  I don't think there's ever been anything like this. No
[01:31:42.860 --> 01:31:47.180]  No, you cannot think of it as a technology product. You really kid doesn't make any sense, right?
[01:31:48.060 --> 01:31:51.660]  Well, but I think I think that's completely true. But I think the
[01:31:52.140 --> 01:31:55.420]  $349 one as a technology product is very interesting. Yeah
[01:31:55.820 --> 01:32:02.300]  So it's it's almost like they're selling, you know an Apple watch for 349 bucks or Apple watch sport, whatever
[01:32:02.300 --> 01:32:08.620]  and then they're also entering the fashion world with this, you know, all these bands and all these different cases and
[01:32:09.260 --> 01:32:11.260]  And it's it's two completely different
[01:32:11.940 --> 01:32:13.940]  Markets. Yeah, absolutely
[01:32:15.020 --> 01:32:17.500]  it's it also I
[01:32:18.500 --> 01:32:24.060]  Remember the day of the event the very day of the event back in September. I met Michael Lop
[01:32:24.780 --> 01:32:30.060]  in San Francisco, you know like after he got out of work at five and
[01:32:30.060 --> 01:32:33.620]  We got a drink and like the first thing he said and I thought was so astute
[01:32:33.620 --> 01:32:37.100]  Is that it it seems as though they're launching this product?
[01:32:37.940 --> 01:32:39.940]  three years in
[01:32:40.100 --> 01:32:43.940]  You know that the Apple way to do it would have been the first one. Here's the here's Apple watch
[01:32:43.940 --> 01:32:48.540]  It's one size one color one style as a white band. Here's what it does
[01:32:48.540 --> 01:32:54.940]  And then the next year they fix it and make it better whatever and then maybe in the third year they say, okay
[01:32:54.940 --> 01:32:56.860]  This has been great. It's been a great success
[01:32:56.860 --> 01:33:01.860]  Now you can get it in steel. You can get it in gold etc. You know, here's all these other leather bands
[01:33:03.420 --> 01:33:08.620]  Right, this is fully formed in terms of they didn't just make the watch and they didn't just make the watch in three different cases
[01:33:08.620 --> 01:33:14.660]  They made all these bands and they've they've done every they've really fine-tuned every aspect of it
[01:33:14.660 --> 01:33:18.420]  Yeah, definitely. And I think I think that they're going to cover a
[01:33:19.300 --> 01:33:23.460]  Incredible gamut of price points. I think that you know, and I think you know, I think 90
[01:33:23.460 --> 01:33:31.100]  90-some percent. This is another thing. We the Wall Street Journal had this goofy story two weeks ago about some sources in the supply chain
[01:33:31.100 --> 01:33:35.660]  It said that they expect to sell like 50 percent sport and 33 percent
[01:33:36.580 --> 01:33:40.140]  Steel and 16 percent gold. That's that's crazy
[01:33:40.140 --> 01:33:45.380]  I the more I think about the more I think that whoever told them that was just you know, I got screwing with them
[01:33:45.380 --> 01:33:47.380]  Yeah, just totally screwing with them
[01:33:48.100 --> 01:33:51.980]  Because there is no way well unless it's possible that I'm completely
[01:33:51.980 --> 01:33:57.380]  It's possible that I'm completely wrong could be that I'm completely wrong and the gold one is only going to cost
[01:33:57.380 --> 01:34:03.900]  I don't know fifteen hundred dollars or something. That's you know far more, you know in line with the
[01:34:04.280 --> 01:34:10.340]  349 price if I'm right though that it's even if I'm only right that it's five thousand let alone ten thousand to start
[01:34:10.580 --> 01:34:16.100]  There's no way that sixteen percent of the ones they'd sell they're not gonna sell a million of those a month. That's right
[01:34:16.620 --> 01:34:18.020]  crazy town
[01:34:18.020 --> 01:34:22.900]  Right. I mean like Rolex only sells I mean the Rolex is a very secretive company
[01:34:23.020 --> 01:34:27.500]  But best that anybody can tell is the Rolex sells somewhere around six hundred thousand
[01:34:28.220 --> 01:34:32.820]  Watches a year. There's some weird thing where they do they they they have to submit them to a
[01:34:33.660 --> 01:34:41.700]  The Swiss some Swiss government agency that's officially logical society. Yeah, it's like it's called COSC certification
[01:34:41.700 --> 01:34:45.580]  I don't know I could it that maybe one of those seasons is already a certification
[01:34:45.580 --> 01:34:50.420]  But it officially certifies it as a chronometer that the government agency does certain testing
[01:34:50.620 --> 01:34:56.140]  that's probably less rigorous than what Rolex themselves is but it lets them say it's an officially certified chronometer and
[01:34:56.380 --> 01:35:01.200]  That because it's like a government thing the numbers come out and it's something like Rolex certifies
[01:35:02.460 --> 01:35:08.440]  800,000 watches a year or at least they did in 2012, but that they might only sell six hundred thousand of them
[01:35:08.440 --> 01:35:11.900]  I guess you don't get the watch certified you get the movement certified the
[01:35:11.900 --> 01:35:18.480]  The okay, you know some of those might be for repairs or who knows but there's such they're they're almost Apple like in their secrecy
[01:35:18.480 --> 01:35:25.380]  And it you know, maybe it's just purposeful miss miss direction. Yeah, but it could be that they're you know extras for repairs or whatever
[01:35:26.140 --> 01:35:30.660]  But at the very least though long long way of saying that's just a baseline for what?
[01:35:31.500 --> 01:35:36.420]  You know the world's premier luxury watchmaker sells in a year 600 rounds. It's almost a ceiling
[01:35:36.420 --> 01:35:38.420]  I mean not that Apple can't sell more
[01:35:38.420 --> 01:35:44.100]  But it's it's a likely ceiling right and a lot of Rolex's watches do not cost more than $10,000
[01:35:44.100 --> 01:35:48.020]  I mean a lot of them do but I think by volume, you know, a lot of them sell less
[01:35:48.020 --> 01:35:52.020]  So if the edition starts at $10,000, which I really do think it does
[01:35:52.460 --> 01:35:55.220]  The idea that they would sell a million of them a quarter
[01:35:55.820 --> 01:36:00.260]  In the first year, it just does not compute
[01:36:00.260 --> 01:36:06.260]  I mean and this is I think I don't think anybody would accuse me of being a pessimist on
[01:36:06.260 --> 01:36:13.900]  Apple, you know future Apple products success, you know possibilities, but I'm just saying that in terms of you know, just
[01:36:14.500 --> 01:36:19.460]  How the world seems to what work in terms of people who spend that kind of money on on jewelry
[01:36:19.460 --> 01:36:24.220]  It just seems out of scale. So I think the Wall Street Journal is not I think the addition is gonna be like
[01:36:24.220 --> 01:36:29.140]  I think they could I think the company could make wind up making tons of money on them because even if only like
[01:36:29.300 --> 01:36:36.180]  1% of the watches sold are the addition ones if there are 15,000 on average that's tons of money, right?
[01:36:36.180 --> 01:36:41.340]  It's 30 or 40 times. Each one of them is 30 or 40 times more expensive than a sport edition
