[00:00.000 --> 00:01.740]  Jason, how you doing?
[01:31:34.360 --> 01:31:36.420]  because it sounded kind of old-timey,
[01:31:36.420 --> 01:31:38.700]  but also like new as well,
[01:31:38.700 --> 01:31:40.580]  because it's got the word hypertext in it.
[01:31:40.580 --> 01:31:43.400]  But it's, you know, it's like I'm a dry goods store,
[01:31:43.400 --> 01:31:45.060]  but you know, online.
[01:31:45.060 --> 01:31:49.340]  I often, or in fact generally, I alter it up sometimes,
[01:31:49.340 --> 01:31:51.660]  but usually when I post links to the show
[01:31:51.660 --> 01:31:54.100]  on Daring Fireball, I mean, I link to the sponsors,
[01:31:54.100 --> 01:31:56.300]  I say brought to you by these fine sponsors,
[01:31:56.300 --> 01:32:00.260]  which is, I both mean genuinely,
[01:32:00.260 --> 01:32:03.100]  I'm very proud of the sponsors that we have for the podcast
[01:32:03.100 --> 01:32:04.420]  and for the site, and I'm picky,
[01:32:04.420 --> 01:32:06.460]  and I really, you know, it doesn't happen often,
[01:32:06.460 --> 01:32:09.040]  but we really do reject some sponsors.
[01:32:09.040 --> 01:32:12.220]  And also I like the old-timey feel of it.
[01:32:12.220 --> 01:32:13.940]  Yeah.
[01:32:13.940 --> 01:32:17.540]  Do you remember the dearly departed Dean Allen?
[01:32:17.540 --> 01:32:20.220]  One of his sites was Cardigan Industries.
[01:32:20.220 --> 01:32:21.220]  Yes.
[01:32:21.220 --> 01:32:23.560]  And I always really liked that.
[01:32:23.560 --> 01:32:27.080]  And it had sort of like an industrial letterhead
[01:32:27.080 --> 01:32:29.540]  sort of aesthetic to go with it as well.
[01:32:29.540 --> 01:32:34.200]  And I always just really liked, I liked that whole vibe.
[01:32:35.980 --> 01:32:38.200]  Dean, I don't want to go on a side rant, you know,
[01:32:38.200 --> 01:32:41.100]  which I could do, and maybe should someday.
[01:32:41.100 --> 01:32:45.220]  Dean's influence on what I do at Daring Fireball
[01:32:45.220 --> 01:32:48.660]  cannot be overstated, because Textism,
[01:32:48.660 --> 01:32:50.860]  Textism came out first.
[01:32:50.860 --> 01:32:54.960]  I mean, honestly, if you look at Textism
[01:32:54.960 --> 01:32:59.420]  circa August 2002 when I launched,
[01:32:59.420 --> 01:33:03.260]  if you go back to the Wayback Machine and look at,
[01:33:03.260 --> 01:33:06.420]  Daring Fireball's layout actually has changed.
[01:33:07.980 --> 01:33:09.700]  I forget, it was about two years in.
[01:33:09.700 --> 01:33:12.080]  There was an actual redesign.
[01:33:12.080 --> 01:33:17.080]  It wasn't drastic, but it was redesigned once,
[01:33:17.820 --> 01:33:21.940]  or tweaked, you know, call it a 1.5 instead of a 2.0.
[01:33:21.940 --> 01:33:25.300]  But the 1.0 version was so, to me,
[01:33:25.300 --> 01:33:28.700]  still looks so clearly inspired by Textism, you know,
[01:33:28.700 --> 01:33:31.840]  like that it, in my mind, it bordered it on a rip-off.
[01:33:31.840 --> 01:33:34.300]  And then when I, and that was one of my biggest concerns
[01:33:34.300 --> 01:33:38.000]  when I first went public and started my first post.
[01:33:38.000 --> 01:33:39.800]  Like, here it comes, people are gonna say
[01:33:39.800 --> 01:33:42.900]  it's a Textism rip-off, and nobody ever said that.
[01:33:42.900 --> 01:33:44.980]  And then a couple of months in,
[01:33:44.980 --> 01:33:49.800]  I got a really nice note from Dean about my writing.
[01:33:49.800 --> 01:33:54.700]  And I was just like, and then, you know, we became friends.
[01:33:54.700 --> 01:33:57.380]  He wrote to me and said that he'd noticed that
[01:33:58.420 --> 01:34:01.860]  after a few months, I'd zeroed in on my voice,
[01:34:01.860 --> 01:34:03.220]  and that it's really good.
[01:34:03.220 --> 01:34:05.420]  And I was like, oh, thank God he's not mad.
[01:34:05.420 --> 01:34:09.900]  Listen to me.
[01:34:09.900 --> 01:34:11.960]  And you know, I guess most other people,
[01:34:11.960 --> 01:34:13.180]  I think when you're a designer
[01:34:13.180 --> 01:34:16.020]  and you've got something that really inspires you,
[01:34:16.020 --> 01:34:18.100]  you, the design, and if you're worried,
[01:34:18.100 --> 01:34:19.480]  if you're an honest designer
[01:34:19.480 --> 01:34:21.680]  who doesn't want to rip anybody off,
[01:34:21.680 --> 01:34:24.860]  you see a rip-off that other people don't see.
[01:34:24.860 --> 01:34:28.940]  But yeah, Dean's Cardigan Industries, again, was more,
[01:34:28.940 --> 01:34:32.180]  as I recall, a little bit more episodic, too.
[01:34:32.180 --> 01:34:33.140]  You know, it was-
[01:34:33.140 --> 01:34:33.980]  Yeah, I think so.
[01:34:33.980 --> 01:34:36.240]  I mean, textism was a blog-blog,
[01:34:36.240 --> 01:34:38.280]  just exactly what we've been talking about,
[01:34:38.280 --> 01:34:41.180]  chronological posts, top to bottom,
[01:34:41.180 --> 01:34:43.500]  period, you know, once a day, every other day,
[01:34:43.500 --> 01:34:44.340]  something like that.
[01:34:44.340 --> 01:34:46.820]  But Cardigan Industries was in that,
[01:34:46.820 --> 01:34:49.220]  I don't know what we would call it, Neolithic period.
[01:34:49.220 --> 01:34:50.660]  I don't know if that's the right word,
[01:34:50.660 --> 01:34:55.660]  but that gestational period of self-publishing
[01:34:55.800 --> 01:34:58.420]  where nobody knew what the form was supposed to be.
[01:34:59.260 --> 01:35:00.080]  Right.
[01:35:00.080 --> 01:35:02.140]  But yeah, I totally agree about the aesthetic at the time.
[01:35:02.140 --> 01:35:04.120]  And I always loved his aesthetic.
[01:35:04.120 --> 01:35:05.020]  Yeah.
[01:35:05.020 --> 01:35:06.340]  Even when he went minimal,
[01:35:06.340 --> 01:35:08.860]  when he relaunched textism towards the end,
[01:35:08.860 --> 01:35:11.260]  and it didn't really last long, he totally changed.
[01:35:11.260 --> 01:35:13.340]  Although I don't love that last textism,
[01:35:13.340 --> 01:35:16.860]  that super-minimal one, I don't love it.
[01:35:16.860 --> 01:35:19.100]  It's my, but I got it,
[01:35:19.100 --> 01:35:22.540]  and I do think he foresaw where things were going.
[01:35:22.540 --> 01:35:23.780]  Like, it was-
[01:35:23.780 --> 01:35:24.620]  Yeah.
[01:35:24.620 --> 01:35:28.780]  It was super prescient about where graphic design
[01:35:28.780 --> 01:35:31.820]  was going at the time and ahead of his time.
[01:35:31.820 --> 01:35:34.140]  And of course he noticed that trend,
[01:35:34.140 --> 01:35:35.900]  but I don't have the affection for it
[01:35:35.900 --> 01:35:38.460]  that I did for his ornate, earlier style.
[01:35:38.460 --> 01:35:40.100]  I mean, God, that textism thing
[01:35:40.100 --> 01:35:41.860]  with the guy at the top sweating
[01:35:41.860 --> 01:35:45.200]  and the little sort of copper plate,
[01:35:45.200 --> 01:35:46.580]  I know it wasn't copper plate,
[01:35:46.580 --> 01:35:49.100]  but copper plate style, all cap slogan,
[01:35:49.100 --> 01:35:52.660]  make haste slowly.
[01:35:52.660 --> 01:35:54.620]  Which again, and again, I was like,
[01:35:54.620 --> 01:35:57.660]  God damn it, that should be my slogan, make haste slowly.
[01:35:57.660 --> 01:36:01.940]  Fuck, I was like, God damn it.
[01:36:01.940 --> 01:36:06.420]  And again, you and I are not exactly alike,
[01:36:06.420 --> 01:36:08.540]  nobody's gonna confuse me for you or you for me,
[01:36:08.540 --> 01:36:11.220]  but we share a lot of similarities.
[01:36:11.220 --> 01:36:12.320]  And in the same way,
[01:36:12.320 --> 01:36:15.180]  nobody was gonna mistake me for Dean or Dean for me,
[01:36:15.180 --> 01:36:19.820]  but there are the large Venn diagram overlaps
[01:36:19.820 --> 01:36:23.500]  and make haste slowly, God damn, that was a good slogan.
[01:36:25.420 --> 01:36:26.940]  Yep.
[01:36:26.940 --> 01:36:29.420]  Yeah, Dean was one of those people along with,
[01:36:29.420 --> 01:36:31.660]  I don't know, I would say like him and Paul Ford,
[01:36:31.660 --> 01:36:34.940]  like they had really good design sense,
[01:36:34.940 --> 01:36:36.180]  they had a great voice.
[01:36:36.180 --> 01:36:41.180]  They could write just so well, so beautifully.
[01:36:41.360 --> 01:36:43.540]  So it just made me so angry.
[01:36:43.540 --> 01:36:45.620]  It's just like so angry.
[01:36:45.620 --> 01:36:47.420]  I was like, if these guys,
[01:36:47.420 --> 01:36:49.540]  if they wanted to, for whatever reason,
[01:36:49.540 --> 01:36:52.060]  become like the best bloggers in the universe,
[01:36:52.060 --> 01:36:53.020]  like they totally could.
[01:36:53.020 --> 01:36:55.020]  And there was nothing I could do about it.
[01:36:55.020 --> 01:36:57.740]  They would just be like, boop, you're done.
[01:36:57.740 --> 01:37:00.420]  Dean's biography page, his about page,
[01:37:00.420 --> 01:37:01.280]  whatever he called it,
[01:37:01.280 --> 01:37:04.220]  is one of the great pieces of writing of all time.
[01:37:04.220 --> 01:37:07.900]  I mean, it was just unbelievable.
[01:37:07.900 --> 01:37:09.620]  While we're throwing it out, I should go back.
[01:37:09.620 --> 01:37:12.540]  I actually, and I just saw him a few months ago.
[01:37:12.540 --> 01:37:14.700]  I actually don't remember if I asked him this.
[01:37:14.700 --> 01:37:17.940]  I should mention Andy Baio and waxy.org,
[01:37:17.940 --> 01:37:22.180]  as again, came out before Daring Fireball.
[01:37:22.180 --> 01:37:23.180]  He's still going.
[01:37:23.180 --> 01:37:25.220]  And I wonder, I don't know if he's still
[01:37:25.220 --> 01:37:26.980]  on movable type or not.
[01:37:26.980 --> 01:37:28.320]  Maybe.
[01:37:28.320 --> 01:37:30.100]  Oh, that's a good question.
[01:37:30.100 --> 01:37:30.940]  I don't know.
[01:37:30.940 --> 01:37:31.780]  I'm gonna have to find out.
[01:37:31.780 --> 01:37:33.900]  I'm gonna have to ask Andy and find out.
[01:37:33.900 --> 01:37:35.220]  He might be the missing member
[01:37:35.220 --> 01:37:37.740]  of the movable type users group, or maybe not.
[01:37:37.740 --> 01:37:39.380]  His format hasn't changed.
[01:37:39.380 --> 01:37:44.380]  Andy, he posts full articles far less frequently,
[01:37:44.900 --> 01:37:46.540]  but when he does, they're gold,
[01:37:46.540 --> 01:37:51.540]  and they're more pulled straight from Andy's id
[01:37:51.540 --> 01:37:53.200]  than ever before.
[01:37:53.200 --> 01:37:54.400]  I'm looking at his site right now,
[01:37:54.400 --> 01:37:57.000]  and his last one was from the end of January.
[01:37:57.000 --> 01:37:59.360]  Lost media finding Bill Clinton's
[01:37:59.360 --> 01:38:02.440]  Boxer's Briefs MTV moment.
[01:38:02.440 --> 01:38:05.640]  Find, tell me that's not, right there.
[01:38:05.640 --> 01:38:07.580]  It just happens to be the most recent article.
[01:38:07.580 --> 01:38:09.680]  Tell me that's not Andy Baio.
[01:38:09.680 --> 01:38:14.680]  Finding Bill Clinton's 1991 or 92 appearance on MTV
[01:38:16.000 --> 01:38:17.560]  where somebody in the audience asked him
[01:38:17.560 --> 01:38:20.680]  where he wears Boxer's Briefs and finding the video, right,
[01:38:20.680 --> 01:38:22.880]  from the pre-web era.
[01:38:22.880 --> 01:38:24.520]  But his format hasn't really changed
[01:38:24.520 --> 01:38:27.840]  where he's stuck with the two-column layout
[01:38:27.840 --> 01:38:31.320]  of big articles on the left
[01:38:31.320 --> 01:38:33.740]  and then a sidebar with his links.
[01:38:33.740 --> 01:38:36.800]  He's re-CSSed it.
[01:38:36.800 --> 01:38:38.520]  The type is all new,
[01:38:38.520 --> 01:38:41.540]  but that fundamental layout structure is the same,
[01:38:41.540 --> 01:38:45.360]  which I now think of as the Andy Baio layout.
[01:38:45.360 --> 01:38:47.320]  I believe, at one point, though,
[01:38:47.320 --> 01:38:50.440]  did you have your short links in a sidebar?
[01:38:50.440 --> 01:38:51.280]  Or no?
[01:38:51.280 --> 01:38:53.440]  I did, yeah, I did, yeah.
[01:38:53.440 --> 01:38:55.280]  And I think the first place I remember seeing it
[01:38:55.280 --> 01:38:57.920]  was probably in Anil doing it.
[01:38:57.920 --> 01:38:59.480]  Like, he had the links in the sidebar
[01:38:59.480 --> 01:39:02.360]  and then he had the regular stuff on the left.
[01:39:02.360 --> 01:39:05.120]  Yeah, yeah, I had it that way for quite a while.
[01:39:05.120 --> 01:39:06.580]  I don't know, and I've been thinking, like,
[01:39:06.580 --> 01:39:10.040]  maybe I need to go back to that, but who knows?
[01:39:10.040 --> 01:39:11.520]  Oh, let me steer you the other way.
[01:39:11.520 --> 01:39:14.400]  I think, no, I think Andy, I think it works for Andy.
[01:39:14.400 --> 01:39:15.880]  No, I think it works for Andy, though,
[01:39:15.880 --> 01:39:18.080]  but it works for Andy because, to me,
[01:39:18.080 --> 01:39:22.020]  even though it's width-wise his sidebar,
[01:39:22.020 --> 01:39:24.120]  it's his main blog, to me.
[01:39:25.080 --> 01:39:28.880]  And his left column is periodic.
[01:39:28.880 --> 01:39:31.960]  It works for him, but I don't think it would work for you
[01:39:31.960 --> 01:39:33.080]  because you post too frequently.
[01:39:33.080 --> 01:39:35.960]  I think the single stream is the way to go,
[01:39:35.960 --> 01:39:39.440]  which I've always had because I puttered around
[01:39:39.440 --> 01:39:41.480]  before I'd started adding link items,
[01:39:41.480 --> 01:39:44.620]  and by that time, I think you'd gone to single column
[01:39:44.620 --> 01:39:47.760]  and I just ripped it off from you, shamelessly.
[01:39:47.760 --> 01:39:49.240]  But he might be- Everything is a remix.
[01:39:49.240 --> 01:39:52.840]  Before we keep going, I wanted to bring up Stellar,
[01:39:52.840 --> 01:39:54.720]  S-T-E-L-L-A-R.
[01:39:54.720 --> 01:39:57.800]  That was your, well, you described Stellar.
[01:39:59.100 --> 01:40:03.000]  So Stellar was a site that you could pull-
[01:40:03.000 --> 01:40:05.800]  When did you start your-
[01:40:05.800 --> 01:40:06.640]  Oh, Jesus.
[01:40:06.640 --> 01:40:08.920]  Just to put it in our timeline.
[01:40:08.920 --> 01:40:12.840]  2000, hmm, hmm, hold on a minute,
[01:40:12.840 --> 01:40:16.200]  like 2007, 2008, somewhere in that arena,
[01:40:16.200 --> 01:40:18.320]  somewhere in that area, maybe later than that.
[01:40:18.320 --> 01:40:19.160]  No, you're wrong.
[01:40:19.160 --> 01:40:19.980]  I don't even remember.
[01:40:19.980 --> 01:40:20.820]  You know what?
[01:40:20.820 --> 01:40:22.280]  I've got a bookmark in my notes here at the Atlantic.
[01:40:22.280 --> 01:40:23.760]  Jason Kocke launches Stellar,
[01:40:23.760 --> 01:40:26.220]  a new social bookmarking site, 2011.
[01:40:27.400 --> 01:40:29.080]  Oh, 2011, okay, there you go.
[01:40:29.080 --> 01:40:31.160]  Well, so much for our memory.
[01:40:31.160 --> 01:40:33.480]  Yeah, and I was inspired by that site
[01:40:33.480 --> 01:40:37.300]  that Dean Allen had called Favored or Farved
[01:40:37.300 --> 01:40:38.580]  or however you're pronounced it.
[01:40:38.580 --> 01:40:39.420]  Do you remember that site?
[01:40:39.420 --> 01:40:40.260]  Yeah, of course.
[01:40:40.260 --> 01:40:43.580]  We were, some friends and I were just talking about it.
[01:40:43.580 --> 01:40:44.740]  Favored, Favored?
[01:40:44.740 --> 01:40:45.580]  Yeah.
[01:40:45.580 --> 01:40:47.920]  A-V-R-D, yeah, I don't know.
[01:40:47.920 --> 01:40:49.380]  Yes, exactly.
[01:40:49.380 --> 01:40:52.820]  And so that was, it collected like what the most
[01:40:52.820 --> 01:40:56.520]  sort of favorited posts on Twitter were,
[01:40:56.520 --> 01:40:58.000]  the most favorited tweets on Twitter
[01:40:58.000 --> 01:41:00.520]  are within sort of a certain like universe.
[01:41:00.520 --> 01:41:02.560]  Right, right.
[01:41:02.560 --> 01:41:06.500]  Dean kept a hard-coded list of Twitter accounts
[01:41:06.500 --> 01:41:09.000]  that he thought were in the universe.
[01:41:09.000 --> 01:41:12.480]  And of the tweets from those accounts,
[01:41:12.480 --> 01:41:16.640]  it was a popularity list of favorites by the day
[01:41:16.640 --> 01:41:20.660]  or the last rolling 36 hours or something like that.
[01:41:20.660 --> 01:41:22.080]  Right, right.
[01:41:22.080 --> 01:41:25.400]  And it was gold, it was gold.
[01:41:25.400 --> 01:41:29.480]  Yeah, yeah, it was really good, it was really good.
[01:41:29.480 --> 01:41:32.740]  But at some point he, I can't remember if he shut it down
[01:41:32.740 --> 01:41:36.220]  before I started Stellar or after I launched or what,
[01:41:36.220 --> 01:41:38.400]  but at some point he shut it down.
[01:41:38.400 --> 01:41:43.400]  And, but I thought with the favorites thing
[01:41:43.480 --> 01:41:44.880]  like he was kind of onto something.
[01:41:44.880 --> 01:41:49.880]  And so I was like, okay, I'm gonna do a site
[01:41:50.000 --> 01:41:52.360]  where you can sign up and sort of authenticate
[01:41:52.360 --> 01:41:53.640]  with different services.
[01:41:53.640 --> 01:41:57.200]  And I think I launched with Twitter, Flickr, YouTube,
[01:41:57.200 --> 01:41:59.080]  and Vimeo.
[01:41:59.080 --> 01:42:03.360]  And so you could collect your favorites all in one place
[01:42:03.360 --> 01:42:06.560]  and then you could follow other people's favorites.
[01:42:06.560 --> 01:42:08.340]  And that sort of became your main.
[01:42:08.340 --> 01:42:11.320]  So it was like a, instead of Dean
[01:42:11.320 --> 01:42:12.580]  just having a hard-coded list,
[01:42:12.580 --> 01:42:13.820]  you could have your own list of people
[01:42:13.820 --> 01:42:16.880]  that you wanted to follow in their favorites.
[01:42:16.880 --> 01:42:18.720]  And then I did some stuff I pulled out.
[01:42:18.720 --> 01:42:21.480]  Okay, what are the, like within the community,
[01:42:21.480 --> 01:42:22.580]  within the Stellar community,
[01:42:22.580 --> 01:42:23.920]  like what are the trending links
[01:42:23.920 --> 01:42:27.600]  and what are the trending like videos and things like that?
[01:42:27.600 --> 01:42:29.200]  So I did some stuff like that too.
[01:42:29.200 --> 01:42:31.820]  And yeah, and I think it lasted for, I don't know,
[01:42:31.820 --> 01:42:34.680]  two, three years, four years, I don't know how long.
[01:42:34.680 --> 01:42:37.100]  As I recall though, you always described it
[01:42:37.100 --> 01:42:38.160]  as an experiment.
[01:42:38.160 --> 01:42:40.640]  Like it was never, I don't know if you said beta,
[01:42:40.640 --> 01:42:41.840]  I don't know if you said experiment,
[01:42:41.840 --> 01:42:46.840]  but it seemingly never really officially went out.
[01:42:47.600 --> 01:42:50.480]  Not that it wasn't public, it had to be secret, but.
[01:42:52.040 --> 01:42:54.680]  Yeah, it was public, but basically like,
[01:42:54.680 --> 01:42:58.200]  I think I let the first like few thousand people in,
[01:42:58.200 --> 01:42:59.400]  like there was a waiting list of,
[01:42:59.400 --> 01:43:01.440]  I think 15,000 people or something.
[01:43:01.440 --> 01:43:04.200]  And I let the first few thousand in.
[01:43:04.200 --> 01:43:06.720]  And at that point, like my technical ability
[01:43:06.720 --> 01:43:09.680]  ran into problems with trying to figure out
[01:43:09.680 --> 01:43:10.940]  how to scale this damn thing,
[01:43:10.940 --> 01:43:15.240]  because it was like tens of thousands of new items a day
[01:43:15.240 --> 01:43:16.960]  and streaming into the database.
[01:43:16.960 --> 01:43:18.320]  And then it's like, oh crap,
[01:43:18.320 --> 01:43:19.800]  like I don't really know anything
[01:43:19.800 --> 01:43:22.380]  about how to design a database for this.
[01:43:22.380 --> 01:43:25.960]  And at some point it became too much for me.
[01:43:25.960 --> 01:43:30.360]  And also like the writing was on the wall for like open APIs.
[01:43:30.360 --> 01:43:31.980]  It was Instagram had come out
[01:43:31.980 --> 01:43:34.780]  and it was obvious that Instagram was never really
[01:43:34.780 --> 01:43:38.960]  gonna have an open API in the way that Twitter did.
[01:43:38.960 --> 01:43:41.360]  And I think that TikTok maybe,
[01:43:41.360 --> 01:43:42.940]  no, it wasn't TikTok, it was Snapchat.
[01:43:42.940 --> 01:43:45.840]  And like Snapchat, there was no API in sight.
[01:43:45.840 --> 01:43:49.720]  And I was like, oh, okay, so this is where things are going.
[01:43:49.720 --> 01:43:52.320]  And I can't have a whole service
[01:43:52.320 --> 01:43:54.220]  that relies on these open APIs
[01:43:54.220 --> 01:43:56.980]  when there aren't gonna be any open APIs going forward,
[01:43:56.980 --> 01:44:01.120]  perhaps, and now we're seeing that with Twitter.
[01:44:01.120 --> 01:44:02.760]  I mean, Twitter has always been back and forth
[01:44:02.760 --> 01:44:03.760]  with their API, right?
[01:44:03.760 --> 01:44:05.240]  It's come on in, you can do anything.
[01:44:05.240 --> 01:44:07.580]  And it's like, no, go away, we hate you.
[01:44:07.580 --> 01:44:09.080]  And then it's like, oh no, come on in.
[01:44:09.080 --> 01:44:12.480]  And then it's like, after a while, it's like, fuck you.
[01:44:12.480 --> 01:44:14.840]  Now I'm gonna do something else, so.
[01:44:14.840 --> 01:44:19.200]  Yeah, it's funny, and everything starts small, right?
[01:44:19.200 --> 01:44:23.720]  Apple famously, but it's true, it's absolutely true
[01:44:23.720 --> 01:44:26.540]  that Apple started with two Steves in a garage,
[01:44:26.540 --> 01:44:29.880]  an actual garage, and it was two guys
[01:44:29.880 --> 01:44:34.700]  who were both, happened to be historic level geniuses
[01:44:34.700 --> 01:44:37.800]  in their own very different ways, and got along.
[01:44:37.800 --> 01:44:41.700]  But it was two guys putting boards together,
[01:44:41.700 --> 01:44:44.920]  and then selling them at hobbyist meetups.
[01:44:44.920 --> 01:44:49.920]  Facebook famously started as one kid in a dorm at Harvard.
[01:44:52.600 --> 01:44:55.500]  So at some point, Facebook was the size
[01:44:55.500 --> 01:44:58.000]  of Daring Fireball or Katky.org, right?
[01:44:58.000 --> 01:45:03.000]  It's a guy typing PHP and publishing stuff by himself.
[01:45:04.640 --> 01:45:09.420]  And Twitter never was one person, it wasn't an indie thing,
[01:45:09.420 --> 01:45:13.920]  but when Twitter debuted and spun out of Odeo,
[01:45:13.920 --> 01:45:16.320]  it was tiny, right?
[01:45:16.320 --> 01:45:19.700]  I just was telling this story to Ben Thompson,
[01:45:19.700 --> 01:45:21.800]  I think on Dithering the other day,
[01:45:21.800 --> 01:45:26.800]  that in 2007, I believe, I think Twitter started in 2006,
[01:45:26.800 --> 01:45:29.680]  and I got on it right away,
[01:45:29.680 --> 01:45:30.960]  because I just got it right away,
[01:45:30.960 --> 01:45:32.600]  and I was like, oh, this is awesome.
[01:45:32.600 --> 01:45:35.720]  And in 2007, I was in San Francisco for WWDC,
[01:45:35.720 --> 01:45:38.120]  and somebody invited me to Twitter headquarters,
[01:45:38.120 --> 01:45:40.640]  which was like right down the street from WWDC,
[01:45:40.640 --> 01:45:44.040]  for lunch one of the days with the whole staff.
[01:45:44.040 --> 01:45:48.000]  And they wanted to talk to a semi-popular Twitter user,
[01:45:48.000 --> 01:45:50.760]  which tells you how early it was
[01:45:50.760 --> 01:45:54.720]  that I counted as semi-popular on Twitter.
[01:45:54.720 --> 01:45:57.320]  But the whole company, we all had lunch together,
[01:45:57.320 --> 01:45:59.080]  and it wasn't like I needed a microphone,
[01:45:59.080 --> 01:46:02.040]  or it was about, I don't know, I'd say about 20 people.
[01:46:02.040 --> 01:46:03.400]  I mean, I don't know if there was somebody
[01:46:03.400 --> 01:46:06.120]  who knocked off that day, but as far as I could tell,
[01:46:06.120 --> 01:46:09.320]  the whole company was 20 people, so the scale was,
[01:46:09.320 --> 01:46:11.460]  that's still like the same ballpark, right?
[01:46:11.460 --> 01:46:14.120]  Like, I can comprehend 20 person staff.
[01:46:14.120 --> 01:46:18.020]  And there was one guy, I think it was Blaine Cook,
[01:46:18.020 --> 01:46:21.160]  I think Craig Hockenberry has been writing about it
[01:46:21.160 --> 01:46:25.200]  in the RIP Twitter Clients thing,
[01:46:25.200 --> 01:46:28.560]  where it was like one guy who was doing the APIs
[01:46:28.560 --> 01:46:31.960]  for Twitter, and he was just taught at a personal level.
[01:46:31.960 --> 01:46:33.420]  It wasn't like you're interacting
[01:46:33.420 --> 01:46:37.200]  with the Twitter developer connection board
[01:46:37.200 --> 01:46:39.200]  and posting tickets and stuff.
[01:46:39.200 --> 01:46:41.260]  Craig wanting to write the Mac app
[01:46:41.260 --> 01:46:43.260]  instead of interacting with the website,
[01:46:43.260 --> 01:46:44.940]  and then the iPhone gets announced,
[01:46:44.940 --> 01:46:46.160]  and he's, oh, I can take this thing
[01:46:46.160 --> 01:46:49.200]  I've been writing for the Mac and put it on the iPhone.
[01:46:49.200 --> 01:46:51.360]  But when he was making Twitterrific for the Mac,
[01:46:51.360 --> 01:46:53.520]  which was before the iPhone was announced,
[01:46:53.520 --> 01:46:54.800]  he just talked to Blaine Cook,
[01:46:54.800 --> 01:46:56.320]  and Blaine would be like, well, what do you need?
[01:46:56.320 --> 01:46:59.880]  And he'd be like, oh, because Blaine was thinking,
[01:46:59.880 --> 01:47:02.200]  oh, we never really thought about somebody doing
[01:47:02.200 --> 01:47:04.720]  like a Mac or a Windows client for this,
[01:47:04.720 --> 01:47:06.520]  but that's an awesome idea.
[01:47:06.520 --> 01:47:08.380]  Wow, instantly got it, and was like,
[01:47:08.380 --> 01:47:10.760]  oh, that would be an awesome idea.
[01:47:10.760 --> 01:47:12.080]  He was like, well, what would you need?
[01:47:12.080 --> 01:47:13.840]  Because you never thought of it as something
[01:47:13.840 --> 01:47:16.040]  that someone would make an app for,
[01:47:16.040 --> 01:47:18.000]  this is what's missing from the API,
[01:47:18.000 --> 01:47:21.360]  and the next day, Blaine is like, here, how about this?
[01:47:21.360 --> 01:47:22.280]  Does that work for you?
[01:47:22.280 --> 01:47:24.520]  And it's there, and he could use it.
[01:47:24.520 --> 01:47:27.940]  And so it was like that level of indie spirit
[01:47:27.940 --> 01:47:31.280]  in the early days, and then it's Elaine Bennis's
[01:47:31.280 --> 01:47:34.360]  famous words, yada, yada, yada, then,
[01:47:36.060 --> 01:47:39.680]  and then it's a multi-billion dollar public corporation,
[01:47:39.680 --> 01:47:43.780]  and it's an orifice in terms of interacting with them.
[01:47:43.780 --> 01:47:47.100]  But it was a slow boil, though,
[01:47:47.100 --> 01:47:51.260]  and it's hurt what you and I do terribly, in my opinion,
[01:47:52.760 --> 01:47:55.940]  because most of what we used to, I think it's true,
[01:47:55.940 --> 01:47:59.460]  I know most of what I used to link to in the early days,
[01:47:59.460 --> 01:48:02.020]  or what I was happier linking to,
[01:48:02.020 --> 01:48:04.860]  was other people's blog posts,
[01:48:04.860 --> 01:48:08.280]  and it felt more social, in a way, right,
[01:48:10.940 --> 01:48:13.060]  because it's of somebody else's voice,
[01:48:13.060 --> 01:48:15.300]  and it just, I don't wanna call anybody,
[01:48:15.300 --> 01:48:17.140]  but it could be Andy, it could be you,
[01:48:17.140 --> 01:48:19.140]  it could be Mark Pilgrim, who stopped,
[01:48:19.140 --> 01:48:22.100]  and just dozens, but just dozens and dozens of people,
[01:48:22.100 --> 01:48:25.900]  including people who weren't blogging
[01:48:25.900 --> 01:48:28.060]  to become popular bloggers,
[01:48:28.060 --> 01:48:30.580]  but maybe only posted once a month,
[01:48:30.580 --> 01:48:32.540]  but they did post once a month,
[01:48:32.540 --> 01:48:34.660]  but they had their own blog,
[01:48:34.660 --> 01:48:38.820]  and if it was just a clever solution to a CSS problem,
[01:48:38.820 --> 01:48:43.820]  and then you'd publish it, and then I'd link to it,
[01:48:44.420 --> 01:48:48.860]  and it really is just the slowest boiling
[01:48:48.860 --> 01:48:53.220]  of slow boiling frogs in a pot of water problem
[01:48:53.220 --> 01:48:55.580]  that I just kind of saw it happening,
[01:48:55.580 --> 01:48:58.440]  but in hindsight, it's so crystal clear
[01:48:58.440 --> 01:49:03.440]  that the Pied Piper song of the ease of tweeting,
[01:49:04.500 --> 01:49:07.080]  and in the universe of people I would've linked to
[01:49:07.080 --> 01:49:10.100]  back in the blogging days, pre-Twitter,
[01:49:11.460 --> 01:49:15.820]  it's Twitter that took all of their posting, not Facebook.
[01:49:15.820 --> 01:49:17.340]  I've never even been on Facebook,
[01:49:17.340 --> 01:49:21.300]  and I've never, I can count literally,
[01:49:21.300 --> 01:49:25.300]  maybe on one hand, certainly on both hands,
[01:49:25.300 --> 01:49:28.860]  the number of times that there's been something on Facebook
[01:49:28.860 --> 01:49:31.220]  that I'd wished I could link to from Daring Fireball,
