[00:00.000 --> 00:00.840]  What time you got?
[1:30:33.240 --> 1:30:39.240]  you know, obviously it's a political hot button thing. Anyway, he was also a consultant on the
[1:30:39.240 --> 1:30:44.680]  national version of this law. And then years ago, this is what the weird thing about it is that
[1:30:44.680 --> 1:30:50.600]  it wasn't something he said recently, but it was like years ago at some kind of, um, uh,
[1:30:50.600 --> 1:30:54.760]  conference for other economists. So he wasn't speaking to the public had no, you know, it was
[1:30:54.760 --> 1:30:58.760]  being videotaped obviously, but you know, it wasn't, he's not a politician. It wasn't going to
[1:30:58.760 --> 1:31:06.120]  go spread wide. It was this discussion about how the word tax is just toxic in American political
[1:31:06.120 --> 1:31:10.360]  culture. And so to pay for the new healthcare law, they couldn't call anything they did to raise
[1:31:10.360 --> 1:31:16.120]  money for it attacks. And so they called it, I don't know, what a subsidy instead. There's some kind
[1:31:16.120 --> 1:31:23.560]  of way that through the, the, the vagaries of the way that the US Congress, uh, budget department,
[1:31:23.560 --> 1:31:27.080]  classifies different types of legislature. It wouldn't be called a tax. It would be called a
[1:31:27.080 --> 1:31:32.920]  subsidy, but it's a rose by any other name. It's people paying more money to a collection that would
[1:31:32.920 --> 1:31:40.760]  then be distributed to pay for the mechanics of the law. Uh, and his explanation was very, it was
[1:31:40.760 --> 1:31:46.680]  honest, but it was more or less that the, you know, American voters are too stupid to know the difference,
[1:31:46.680 --> 1:31:52.920]  you know, that calling it something else doesn't make it something else, right? Which is true,
[1:31:52.920 --> 1:31:58.360]  in a sense, but, you know, I mean in a way that, but it was taken by Republicans as an insult that
[1:31:58.360 --> 1:32:03.720]  he was, you know, that the, the law was passed under false pretenses and he became, you know,
[1:32:04.440 --> 1:32:10.600]  the public enemy number one of American Republicans and, and all a lot of them, uh,
[1:32:10.600 --> 1:32:18.280]  to that at Gruber at Gruber was because they would like, I, even if they went so far as to see
[1:32:18.280 --> 1:32:23.720]  what at Gruber was and then saw, it was in fact somebody named John Gruber, whether it had nature
[1:32:23.720 --> 1:32:29.480]  or not, and he had a bunch of followers, uh, they just assumed it was him. And so for about a week,
[1:32:29.480 --> 1:32:36.680]  I, I was inundated with vitriolic. And, and I think part of it is that you had to make a mistake
[1:32:36.680 --> 1:32:41.800]  to do that, which increased the chance that the people doing it weren't really the sharpest
[1:32:42.520 --> 1:32:49.640]  pencils in the case. And so I took to retreating some of them. It was, it was interesting. It was,
[1:32:49.640 --> 1:32:55.160]  you know, if you think that like the vitriol that I, I get, you know, from, let's say,
[1:32:55.160 --> 1:33:00.120]  Android fanatics when I say something disparaging about Android or something like that,
[1:33:00.120 --> 1:33:04.680]  if you think that's harsh, the way that the political stuff is, is just unbelievable.
[1:33:04.680 --> 1:33:09.800]  Well, it's, it's, it's, yeah, it's incredible. Yeah, people, I mean, just seriously saying things
[1:33:09.800 --> 1:33:16.280]  like, you know, go kill yourself at Gruber. I mean, no, no exaggeration. Uh, and I, you know,
[1:33:16.280 --> 1:33:19.400]  it just occurred to me and I would write back to some of that, some of them I would retweet,
[1:33:19.400 --> 1:33:23.720]  some of them I would tweak a little, and then some of them I would just write back totally honest.
[1:33:23.720 --> 1:33:27.800]  It's like, did you, you know, what were you thinking, you know, were you thinking that I would
[1:33:27.800 --> 1:33:32.680]  see this when you wrote it? You know, like what goes through your mind if you're doing that,
[1:33:32.680 --> 1:33:37.480]  do you, do you assume, do you think that the Jonathan Gruber was going to read that and perhaps
[1:33:37.480 --> 1:33:42.280]  feel bad about himself because here's somebody wishing you would kill him, like kill himself?
[1:33:42.280 --> 1:33:47.320]  Why, why would you write that? Like, what is going through your mind? How can you go through your
[1:33:47.320 --> 1:33:54.360]  day with so much hate? It was interesting to me. It's like the extreme opposite of like,
[1:33:54.360 --> 1:33:57.960]  we were talking about before, like the ability to like see a product through someone's eyes.
[1:33:57.960 --> 1:34:04.280]  It's like just a complete and utter lack of empathy. Yeah. And, you know, you go through the rest
[1:34:04.280 --> 1:34:09.320]  of your life like that or does this only spew out on Twitter? And then there were a few people
[1:34:09.320 --> 1:34:13.320]  who I tweaked. I told some people that we were, I was, we were going to next, the next step was
[1:34:13.320 --> 1:34:21.560]  we were going to come take your guns. Wait until next year when we come take your guns, it's
[1:34:21.560 --> 1:34:27.960]  a healthcare issue. They're like, I'd like to see you try and it's like we're on our way.
[1:34:29.960 --> 1:34:33.640]  You tell some of these people you're coming to take their guns and it really rattles them up.
[1:34:33.640 --> 1:34:41.560]  Those are the best. Oh, anyway, that's died off for the most part. But it really elevated this
[1:34:41.560 --> 1:34:47.000]  guy in the Twitter rankings for Gruber though. Jeez. Anyway, but it's the best thing that happened.
[1:34:47.000 --> 1:34:54.360]  I know it was Fox in particular. Um, it would really help to, but Fox News, it was very clear to me
[1:34:55.080 --> 1:35:00.680]  has like probably the second most interesting observer in the country that they, they, uh,
[1:35:00.680 --> 1:35:04.280]  there must have been a memo that circulated with, and I don't know, I don't think it had anything
[1:35:04.280 --> 1:35:09.960]  to do with me. I don't think it had anything to do with me. But they, they, they, they clarified on
[1:35:09.960 --> 1:35:15.480]  Jonathan Gruber instead of John Gruber. MIT economist, they at first, when the whole thing first broke,
[1:35:15.480 --> 1:35:20.280]  it was like half and half where they would spell it J-O-N or spell out the whole Jonathan in about
[1:35:20.280 --> 1:35:25.640]  halfway through the week. Fox started consistently calling him Jonathan Gruber and it helped a lot,
[1:35:25.640 --> 1:35:30.520]  I think. Interesting. Well, maybe, uh, you know, your friendship with, uh, with Clayton Morrison helped out
[1:35:30.520 --> 1:35:36.040]  there. You know, I thought about it. I actually was like at the, it's funny because I was thinking
[1:35:36.040 --> 1:35:41.320]  about it. And I was halfway thinking maybe I should write to Clayton and, and just say, you know,
[1:35:41.320 --> 1:35:45.240]  I know you can't do anything about this whole thing. But if you could just, you know, pass the
[1:35:45.240 --> 1:35:49.160]  word around to call the guy Jonathan instead of John, I would appreciate it. But I never even had to do
[1:35:49.160 --> 1:35:56.120]  that. It seemed like Fox, uh, it happened on its own. Much, much too, uh, the decrease in entertainment
[1:35:56.120 --> 1:36:01.960]  for the rest of us. Yeah. Um, only other thing I could see in the news this week was, uh, other than
[1:36:01.960 --> 1:36:06.360]  a big Microsoft stuff, which I do want to talk about. But, uh, did you see Mark Gurman's report on
[1:36:06.360 --> 1:36:12.440]  Apple Watch? Yeah. Somebody had Apple or sold them there. Yeah, which is a little weird. I
[1:36:12.440 --> 1:36:17.000]  thought the more interesting thing that he had was that according to Mark Gurman and it's
[1:36:17.000 --> 1:36:22.920]  unnamed source at Apple that they have 3,000 units, uh, already in use by Apple employees,
[1:36:22.920 --> 1:36:28.200]  although he doesn't say by Apple employees. But from what I understand, you know, I had heard a
[1:36:28.200 --> 1:36:32.520]  few weeks ago that there were a thousand in use. So, Gurman says 3,000. It could just be that they've
[1:36:32.520 --> 1:36:38.840]  expanded it. But it's all that they are all in the hands of Apple employees. Well, I mean,
[1:36:38.840 --> 1:36:44.920]  you, you have to think it's relatively easy to pull off. I mean, more, even more so than, than a
[1:36:44.920 --> 1:36:51.240]  phone. Um, I mean, I guess the, the kind of screen being black is a bit of a giveaway. But I mean,
[1:36:51.240 --> 1:36:56.280]  a watch, watch is a watch, especially now, I mean, I mean, California never gets particularly cold,
[1:36:56.280 --> 1:36:59.960]  but people are more like who are in long sleeves and jackets and stuff like that. It's kind of an
[1:36:59.960 --> 1:37:05.000]  ideal time to do it. I've thought for weeks, uh, when I heard weeks ago that there were a thousand
[1:37:05.000 --> 1:37:09.960]  of them in use, uh, I was a little surprised we haven't seen more, because I remember in the six
[1:37:09.960 --> 1:37:15.160]  month run up to the iPhone coming out, there were none of them leaked. It wasn't like the time
[1:37:15.160 --> 1:37:20.840]  the iPhone 4, you know, was found in a bar. But there were like a steady stream of, here's a,
[1:37:20.840 --> 1:37:25.880]  here's a blurry shot of a guy on Bart who was using an iPhone until I took out my, you know,
[1:37:25.880 --> 1:37:29.240]  camera phone to take a picture of him and then he put it back in his pocket. You know, but
[1:37:29.240 --> 1:37:33.960]  there were all, there were a steady stream of reports of people who had spotted Apple employees with
[1:37:33.960 --> 1:37:38.520]  iPhones before it came out at the end of June. And I haven't seen the single people of anybody saying,
[1:37:38.520 --> 1:37:42.920]  you know, I saw a guy with an Apple watch at such and such. No, that's a good point.
[1:37:44.120 --> 1:37:48.760]  I think it's, you know, I think it's like, you said a watch is just to, you know, especially if
[1:37:48.760 --> 1:37:53.400]  you're being even just a little bit circumspect about when you take it out, when you're not at work
[1:37:53.400 --> 1:37:58.280]  or at home, it's really, really hard to notice that somebody's got an Apple watch.
[1:37:58.840 --> 1:38:04.280]  That said, I mean, I, I mean, I saw someone using, using a smartwatch the other day and it was like,
[1:38:04.280 --> 1:38:09.320]  it was super obvious he was using a smartwatch. Uh, so maybe they're, they're just not using them
[1:38:09.320 --> 1:38:13.960]  in public. Maybe that's part of the, the instruction. Yeah. Well, my understanding is the
[1:38:13.960 --> 1:38:18.120]  instruction is your allowed to use it and take it. And if anybody even asks, they are allowed
[1:38:18.120 --> 1:38:21.640]  to say yes, it's an Apple watch. I work for Apple, but they're not allowed, certainly not allowed
[1:38:21.640 --> 1:38:26.040]  to take it off. And they're not allowed to do any kind of demonstration. Yeah. And they are, but
[1:38:26.040 --> 1:38:28.920]  but they're allowed to say, but I'm not allowed to do a demonstration. Well, that's one of the
[1:38:28.920 --> 1:38:34.440]  benefits of having announced it already is there's, there's nothing to hide. Right. There's nothing
[1:38:34.440 --> 1:38:38.600]  to hide. And, and what you see when you're not using it is all, you know, you'll get a much better
[1:38:38.600 --> 1:38:43.080]  view of it on apple.com than you will on somebody's wrist. It's interesting. I mean, we, I think
[1:38:43.080 --> 1:38:47.000]  the last time I was on, we were talking about all of the watch. Um, and it was funny because like,
[1:38:47.000 --> 1:38:51.560]  I have a, I have a spidey sense when you're going to bite me on the talk show. Uh, so I kind of
[1:38:51.560 --> 1:38:55.480]  kind of had an idea that this week was going to be one of those weeks. Um, the safety with, with
[1:38:55.480 --> 1:39:02.840]  the watch thing, uh, probably because I had to be clear. I asked you to be on about 30 seconds
[1:39:02.840 --> 1:39:08.760]  before we started recording. That's a, that's a little bit of an exaggeration, but um, it was funny.
[1:39:09.320 --> 1:39:13.320]  I swear to God today. I went to the gym. I came back and I was, um, I don't know why I was thinking
[1:39:13.320 --> 1:39:18.440]  about it. Oh, I think I was listening to last week's episode was working out. And I was like,
[1:39:18.440 --> 1:39:21.960]  oh, I think I was thinking like, Oh, I actually, I thought John was going to hand me on this week,
[1:39:21.960 --> 1:39:26.520]  but I guess not. And then like 30 minutes later, God measures from you. I know it's a little late,
[1:39:26.520 --> 1:39:36.120]  but, uh, the, the uptime today. Um, but, uh, no, the, I mean, um, one thing with the watch is, uh,
[1:39:36.840 --> 1:39:43.400]  another program actually pretty intrigued about is the Amazon Echo like the box in your room.
[1:39:43.400 --> 1:39:47.000]  And the reason I am, and I'm actually much more intrigued by that than I ever was by the fire
[1:39:47.000 --> 1:39:51.320]  phone. And I think people kind of just dismissed out of hand because it came on the heels of the
[1:39:51.320 --> 1:39:57.960]  fire phone. But, um, like it sounds stupid, but the idea of just like talking to something,
[1:39:57.960 --> 1:40:02.280]  instead of like pulling something out of your pocket and then talking to it, or with the watch
[1:40:02.280 --> 1:40:06.280]  just looking at your wrist instead of pulling out your phone and looking, looking at something,
[1:40:06.280 --> 1:40:12.920]  like it sounds, it sounds so trivial, but like convenience always wins, right? I think we might
[1:40:12.920 --> 1:40:20.120]  have talked about this before, but it's, it's little conveniences add multiplied by all the times
[1:40:20.120 --> 1:40:26.040]  that they matter, end up being a big deal. And, uh, and it's funny, I think that Echo has gotten
[1:40:26.040 --> 1:40:30.280]  kind of mixed reviews, but I'm still, a lot of people, there are people who do really like it.
[1:40:30.280 --> 1:40:34.760]  And I think it's, it's because it's, it's in a similar vein to what I think the watch is going to
[1:40:34.760 --> 1:40:42.040]  be where it's, you don't kind of realize until you use it like how it just makes life a little bit
[1:40:42.040 --> 1:40:49.080]  less a little more frictionless. And, um, you know, it's the idea of it being the center is
[1:40:49.080 --> 1:40:54.840]  a long ways off just for all the technical reasons more than anything. But I think the conveniences
[1:40:54.840 --> 1:41:01.000]  always, convenience is always are easier to see backwards than forward. Yes. Yes. It's more easy to
[1:41:01.000 --> 1:41:07.720]  tell how much you appreciate it when it's taken away than when you first get it always, you know,
[1:41:07.720 --> 1:41:14.600]  and it's the same way that like, uh, uh, when you go back to an older iPhone, it makes your current
[1:41:14.600 --> 1:41:19.240]  iPhone feel so much faster than it felt when you first got the new iPhone. You get a new iPhone next,
[1:41:19.240 --> 1:41:23.640]  next generation A, whatever chip. You're like, wow, this is great. It's a lot faster. And if you
[1:41:23.640 --> 1:41:27.960]  put it down and take your year old old one or your two year old one, especially like a two year
[1:41:27.960 --> 1:41:34.680]  old one, you're like, holy shit, this is so jaggy and school. Um, uh, you know, coming out of college
[1:41:34.680 --> 1:41:38.440]  and you get your first apartment and it has a dishwasher and you're like, great, this is great.
[1:41:38.440 --> 1:41:43.400]  I love having a dishwasher. Well, when your dishwasher breaks and you don't have a dishwasher anymore,
[1:41:43.400 --> 1:41:48.760]  you're like, holy shit, how do I live without a dishwasher? Right? Yep. No. And I think, I think,
[1:41:48.760 --> 1:41:54.200]  you know, that voice could be something like that. No, I agree. And I think it's one of those
[1:41:54.200 --> 1:42:00.360]  things where if you, I mean, it's easy to look back and just like, but I really do think that
[1:42:00.360 --> 1:42:04.040]  people said like when the phone came out, it's like, well, I could do this, I can do this on a
[1:42:04.040 --> 1:42:07.480]  computer or I can do this or it was supposed to be the iPad. I think you probably saw this more
[1:42:07.480 --> 1:42:15.880]  than anything. Um, like little, little, making it just a little bit easier, uh, makes, uh, makes a
[1:42:15.880 --> 1:42:22.760]  really big difference. And, um, and I, I, I think that that's a good vector to look at any new
[1:42:22.760 --> 1:42:27.720]  product. Like, does it, does it make life just a little bit easier? And if it does, then that product
[1:42:27.720 --> 1:42:32.440]  probably has a chance. The thing I didn't understand about Amazon Echo when they announced it,
[1:42:32.440 --> 1:42:36.600]  and I, you know, they announced it and I watched their, their little video with the family,
[1:42:36.600 --> 1:42:42.680]  you know, using it. Uh, I didn't understand that it was going to be invitation only for some
[1:42:42.680 --> 1:42:47.000]  period of time. Um, Dave Whisk is actually was just telling me he was thinking about getting one,
[1:42:47.000 --> 1:42:50.760]  but it's like, you don't buy one. You can't just buy one. You go to the site and you request an
[1:42:50.760 --> 1:42:54.680]  invitation to buy one. Yeah. Uh, so I actually just in the, in the other thing is I just got,
[1:42:54.680 --> 1:42:59.240]  I, my request just got granted and it said it's going to ship in three to four months or something
[1:42:59.240 --> 1:43:05.080]  like that. Uh, I suspect like they just got burned so badly by the phone that they way,
[1:43:05.080 --> 1:43:10.200]  like they got way too conservative, like they over corrected. And it's really hard to ramp something.
[1:43:10.200 --> 1:43:15.240]  And if you, if you, if you kind of started out with the assumption we're going to sell 100,000
[1:43:15.240 --> 1:43:20.840]  units or you get a million orders, like it's not just that you're behind infinite million orders,
[1:43:20.840 --> 1:43:26.920]  but that, that being behind kind of compounds. Yeah. So it's interesting though, I do think that,
[1:43:26.920 --> 1:43:31.640]  you know, like you said, there is something, and this is, you know, it's this,
[1:43:31.640 --> 1:43:37.480]  this is sort of closest to the how style interface of 2001, right? Where what was the interface
[1:43:37.480 --> 1:43:43.720]  with how on the discovery it was, you just talked to how, you know, there was no button to push,
[1:43:43.720 --> 1:43:47.640]  there was nothing. You didn't have to go and push a button to start talking to him. You just
[1:43:47.640 --> 1:43:52.680]  talk to him because he was always listening. No. Yeah. That's the thing. It's so when you look at
[1:43:52.680 --> 1:43:59.800]  any new product, you have to think it's so easy to, to, um, so made a bingo card for my podcast
[1:43:59.800 --> 1:44:06.200]  exponent and a notorious word I say is over index, so I'm going to use it. It's so easy to over index
[1:44:06.200 --> 1:44:11.480]  on what the product is today, but to evaluate, you have to think about what's this product going to
[1:44:11.480 --> 1:44:15.480]  be after three or four iterations. And like for example, the original Kindle, like the original
[1:44:15.480 --> 1:44:20.920]  Kindle was a piece of crap. And it looked terrible and it felt terrible, but like it was so obvious
[1:44:20.920 --> 1:44:26.040]  that this is how we're going to read books going forward, right? And once it's thin and easy to hold,
[1:44:26.040 --> 1:44:31.400]  and actually I think the version two Kindle was, was very good. They actually, the, there's a huge
[1:44:31.400 --> 1:44:36.600]  jump from one to two. But I think that, that's something with, see with the iPhone, and I think
[1:44:36.600 --> 1:44:40.680]  that's something with something like the Echo. And I think, I think it will be the case with the watch
[1:44:40.680 --> 1:44:45.320]  as well, where it's not just, you, you have to look at it not just as what it can do right now
[1:44:45.320 --> 1:44:49.080]  and what capability has right now or what battery life it has right now. You have to think about
[1:44:49.080 --> 1:44:55.000]  what is this going to be in five years? And can you see a path from here to there? And if that
[1:44:55.000 --> 1:45:01.000]  path is a path that's easily understandable as in like, our chip's going to get more efficient.
[1:45:01.000 --> 1:45:04.680]  Yes, our shoes get more efficient. Yes, our battery's going to improve not as fast as those are
[1:45:04.680 --> 1:45:10.040]  getting more efficient, but yes, they're going to improve. Like there's, and you, it's just like
[1:45:10.040 --> 1:45:12.840]  you have to be able to put yourself in the shoes of a new user. It's the same sort of thing when
[1:45:12.840 --> 1:45:17.560]  you look at a product, you have to, you have to be able to assimilate what you know about the way
[1:45:17.560 --> 1:45:21.800]  technology progresses. And that's how you evaluate a product. Not, you can't evaluate it on
[1:45:21.800 --> 1:45:26.760]  version one. Yeah, one of the interesting things about Echo is to me, it's the first new product
[1:45:26.760 --> 1:45:33.160]  from any of these companies in my memory, where battery isn't an issue because it's not battery
[1:45:33.160 --> 1:45:36.360]  operated. It's something you plug in. Yeah. Like when's the last time somebody's come out with
[1:45:36.360 --> 1:45:43.960]  something that doesn't, isn't battery operated? It's, you know, that's fascinating to me because
[1:45:43.960 --> 1:45:50.360]  it's, it just hasn't happened in so long. No, it's, it's a great point. Um, yeah, I think people
[1:45:50.360 --> 1:45:53.800]  were like joked about it. Like Amazon actually sold, tried to sell that as a feature I can plug it
[1:45:53.800 --> 1:45:59.480]  in. And I totally got that. Like yeah, it's, it's, it's, it's like it's your home, it's your home
[1:45:59.480 --> 1:46:04.920]  assistant a lot of ways. Um, I think the problem for Amazon obviously is, uh, you know, they're,
[1:46:04.920 --> 1:46:08.920]  they don't have the entire like, they don't have the mobile companion really to go with it.
[1:46:08.920 --> 1:46:14.520]  Um, which, you know, obviously the phone, you know, their phone was intended to be, I would imagine,
[1:46:14.520 --> 1:46:20.440]  but, uh, but still, I think, I think the concept is at least compelling. And if, if Echo is in it,
[1:46:20.440 --> 1:46:25.000]  I wouldn't be surprised if, you know, in five, 10 years, we all have a similar sort of device,
[1:46:25.560 --> 1:46:31.960]  uh, in our houses that we just talked to. Yeah, I wonder, I wonder if it's already in the works,
[1:46:31.960 --> 1:46:37.560]  if the, you know, whatever the next generation Apple TV is, is always listening. Uh,
[1:46:37.560 --> 1:46:42.360]  Xbox, you know, Microsoft's done it with Xbox for a while or, I don't know, is it okay Xbox,
[1:46:42.360 --> 1:46:47.000]  something like that has been a trigger for, you've been able to give vocal commands to your
[1:46:47.000 --> 1:46:52.120]  Xbox for a while. Yeah. I think going back to the previous Xbox, the 360. No, I mean, it's,
[1:46:52.120 --> 1:46:56.600]  it seems like an obvious thing for the Apple TV. I mean, man, talk about a product that's stagnated.
[1:46:58.120 --> 1:47:02.840]  Yeah. Well, yeah, I think that's basically I don't know if they've missed a deadline,
[1:47:03.160 --> 1:47:06.920]  you know, and something is slipped or what, but there's clearly something that was coming.
[1:47:06.920 --> 1:47:12.040]  I mean, at this point, I would say, I probably would have bet on something, you know, a year ago,
[1:47:12.040 --> 1:47:15.320]  if we had talked to year ago, I probably would have bet on some kind of new Apple TV at the end of
[1:47:15.400 --> 1:47:21.720]  2014. So at this point, I would call it overdue. And I kind of expect to see, or more,
[1:47:21.720 --> 1:47:25.240]  I wouldn't be shocked if we don't see it in 2015 because I, you know, maybe they've,
[1:47:25.240 --> 1:47:30.760]  but if we're talking a year from now and they still don't have a new, uh, like a truly new
[1:47:30.760 --> 1:47:35.320]  Apple TV, then then I would, at a year from now, I would think maybe they've written it off.
[1:47:35.320 --> 1:47:41.800]  Maybe they've, you know, abandoned. Yeah, I thought it was in 2013. So like, yeah, that's what I
[1:47:41.800 --> 1:47:47.880]  meant by stagnating, like, stagnating as in like the Mac Pro stagnated. Um, like, so yeah, either
[1:47:47.880 --> 1:47:54.200]  it's dying or it's because there's a wholesale kind of like refresh coming. They're way,
[1:47:54.200 --> 1:47:59.160]  yeah, they're waiting on something either piece some kind of hardware or end or software that
[1:47:59.160 --> 1:48:04.120]  they need to make the one they want to make and it's not ready. I don't think they're giving
[1:48:04.120 --> 1:48:09.240]  up on it though, because especially, I mean, I think that home kit is, is important, even though
[1:48:09.240 --> 1:48:15.320]  we haven't heard a ton about it. And Apple TV is pretty important to home kit. So, uh, I don't think
[1:48:15.320 --> 1:48:21.320]  they would do that if it was something they were giving up on. Yeah. And at the very least, even in a,
[1:48:21.320 --> 1:48:27.400]  in an Apple TV list world, you need something in your house always plugged in to make home kit
[1:48:27.400 --> 1:48:33.000]  really sing. And so why not just make it a thing you put in your TV, since everybody has a TV?
[1:48:33.000 --> 1:48:38.920]  Yep. Nope. Right. Like, it doesn't have to be Apple TV. It could be anything, but why not just
[1:48:38.920 --> 1:48:43.160]  make it Apple TV? Yeah. No, I've always thought, I mean, I've, I've, I've long thought like they're
[1:48:43.160 --> 1:48:49.560]  going to unify like the router and the Apple TV. And, you know, that would, I would take
[1:48:49.560 --> 1:48:55.640]  care of some lag issues for one for, for airplay. Um, if you, like, if the app ecosystem ends up
[1:48:55.640 --> 1:49:01.000]  like running off an iPhone or whatever, whatever it might be. Um, but now I love the idea that you
[1:49:01.000 --> 1:49:06.200]  perform of like, they're being an echo types type angle to it as well. I think it makes, I mean,
[1:49:06.200 --> 1:49:10.680]  obviously Siri would be involved in it, but having it be kind of a, an assistant that you can just
[1:49:10.680 --> 1:49:15.640]  talk to, I think is, is really compelling. I thought about that two years ago that why, why not
[1:49:15.640 --> 1:49:21.960]  combine Apple TV with, um, the airport router? So then there's only one thing to plug in. And I didn't
[1:49:21.960 --> 1:49:28.200]  think latency is even, it's just a plus. I'm just thinking, Hey, just one thing, plug this in, put
[1:49:28.200 --> 1:49:33.480]  your cable thing in the back, put the power plug in and you're done. Um, and then I kind of thought,
[1:49:33.480 --> 1:49:38.680]  ooh, maybe not when I got the latest generation airport, which was so much bigger. Right. But,
[1:49:38.680 --> 1:49:43.880]  I think, I mean, I think that, but that has, that has the, that's an actual router like an
[1:49:43.880 --> 1:49:50.040]  has multiple ports and stuff like that. Um, I think the airport express is probably a, a fuller
[1:49:50.040 --> 1:49:54.600]  expression of like Apple's ideal router in a lot of ways. Well, my understanding is that the reason
[1:49:54.600 --> 1:50:01.480]  that the new airport extremist, so tall is that it was it, and who knows, you know, who knows how
[1:50:01.480 --> 1:50:06.600]  long it was in the works, you know, with Steve Jobs being gone, but it was just purely engineering
[1:50:06.600 --> 1:50:11.960]  that having antennas that are up bigger antennas that are up just is big part of why it gets
[1:50:11.960 --> 1:50:16.840]  better reception to your house. No, I, whereas deal, whereas the older ones that were so much smaller,
[1:50:16.840 --> 1:50:20.520]  we're always constrained in terms of the energy, you know, the power of their intent. Right,
[1:50:20.520 --> 1:50:24.680]  because like the super like long range ones have like actual antennas that like stick up.
[1:50:25.400 --> 1:50:30.200]  So that makes sense. It's a little bit more of a practical design than a, you know,
[1:50:30.760 --> 1:50:36.920]  it's, it's function over form. But I don't know, it might be a hard sell when all the other boxes
[1:50:36.920 --> 1:50:42.120]  are so small and the old Apple TV was so small to say your new Apple TV is, you know, 10 times.
[1:50:42.120 --> 1:50:46.680]  Yeah, that's a good point. I don't know, but, you know, but on the other hand, hey, just plug
[1:50:46.680 --> 1:50:53.640]  this one thing in and you're done is is compelling. Um, what was the other thing? So german's
[1:50:53.640 --> 1:50:59.080]  other thing was all about how the battery sucks on Apple watch. Uh, but I see to me, that's
[1:50:59.080 --> 1:51:02.840]  like no surprise. Of course it does. All right. Of course that's the biggest thing that that's
[1:51:02.840 --> 1:51:08.440]  holding them up. I mean, I, you know, I don't really need sources to tell you that. Yeah, I mean,
[1:51:08.440 --> 1:51:15.880]  it's going to, the thing I've always kind of maintained about the, about about the watches,
[1:51:16.840 --> 1:51:23.240]  20, it just has to get you through the day. And the funk, the way to address battery life is
[1:51:23.240 --> 1:51:27.800]  not to make like week, long battery life or month, long battery life. It's to make battery life that
[1:51:27.800 --> 1:51:31.880]  it's to make the functionality so great that you're willing to put up with charging it all the
[1:51:31.880 --> 1:51:35.800]  time. And that, like that's what they do with the phone, right? The iPhone, iPhone, battery,
[1:51:35.800 --> 1:51:42.280]  life relative to our old phones is still drastically worse than it was before. But we don't care
[1:51:42.280 --> 1:51:48.440]  about that because the functionality is so superior that we put up with charging it like it's
[1:51:48.440 --> 1:51:53.160]  assumed that we're going to carry, like you go around, like you can go to any shopping mall here
[1:51:53.160 --> 1:51:57.400]  and there's lockers when you walk in the door where you can pay to plug in your phone. And
[1:51:57.400 --> 1:52:01.880]  like, you know, you can go shopping and go back to your phone. It'll be charged. Like that's,
[1:52:01.880 --> 1:52:06.360]  if you kind of think about it, that's kind of crazy, but it's, it's not crazy anymore because
[1:52:07.320 --> 1:52:11.640]  that's, of course, why wouldn't you, why wouldn't you, no one's going to give up functionality to get
[1:52:11.640 --> 1:52:16.360]  better battery life today. That's just the way it is. Right. Every, every time an airport is a new
[1:52:16.360 --> 1:52:21.960]  terminal is added or a terminal is, is refurbished. It's always, you know, a huge factor is,
[1:52:21.960 --> 1:52:30.040]  you know, getting power outlets to, to, to more people. Yeah. Yeah. Yeah. Yeah. It's so fresh
[1:52:30.040 --> 1:52:33.160]  to go to an airport with no power outlets. And then, yeah, people are like huddled around,
[1:52:33.160 --> 1:52:38.440]  like, we'll never always are there. It's it, you know, it's like, it's nobody had the idea,
[1:52:38.440 --> 1:52:43.960]  but it's a just, you know, a dystopian science fiction future come to life where, you know, everybody
[1:52:43.960 --> 1:52:47.640]  waits around sucking up power. Yeah. There's, there's like rows of seats and notes in there,
[1:52:47.640 --> 1:52:51.960]  I would say on the floor on like the one pillar that has like outlets with it. Right.
[1:52:53.160 --> 1:52:55.880]  It's interesting because I've eventually that'll happen though, because you remember,
[1:52:55.880 --> 1:53:02.200]  and I know Jason Snow has written about this lately where clearly Apple has these target numbers in
[1:53:02.200 --> 1:53:09.400]  mind like X number of hours for an iPhone and 10 hours battery life for an iPad. And they stick to them.
[1:53:09.400 --> 1:53:16.600]  And with the iPad in particular, like it's been dead solid every single iPad. And they have that
[1:53:16.600 --> 1:53:21.240]  number in their head. And then they just keep making the devices as thin as they possibly can walk
[1:53:21.240 --> 1:53:26.680]  hitting that number, you know, and it's every single year when iPhones come out or every other year
[1:53:26.680 --> 1:53:31.080]  when a new generation comes out and it's so much thinner. There's a decent chunk of people who have,
[1:53:31.080 --> 1:53:35.080]  you know, personally have different sets of priorities who say, why couldn't they just make it as
[1:53:35.080 --> 1:53:39.720]  thick as the last one, which was plenty thin and just give me more battery life. But eventually
[1:53:39.720 --> 1:53:43.880]  that's going to happen because it happened with laptops, laptops, MacBooks, Powerbooks,
[1:53:43.880 --> 1:53:48.680]  or everyone to call them got like three to four hours of battery life year after year after year
[1:53:48.680 --> 1:53:55.720]  after year after year. And then all of a sudden, boom, you know, it's shot up to seven, eight, nine
[1:53:55.720 --> 1:53:59.800]  hours of battery life. And eventually that'll happen with phones, like eventually we'll have an
[1:53:59.800 --> 1:54:05.000]  iPhone that instead of getting thinner instead gives you like you go two or three days without
