[00:00.000 --> 00:04.400]  No, seriously, do you do you do you wear polarized sunglasses? I have sunglasses
[51:59.540 --> 52:07.780]  Yeah, I you know and did you know the 5s has yeah, it was like the 16 gigabyte 5s versus the 32 gigabyte
[52:08.180 --> 52:12.260]  5c doesn't matter I I could be wrong on that don't even email me but you know
[52:12.260 --> 52:20.100]  It's something like that. You get a 32 gigabyte 5c or 16 gigabyte 5s at the exact same price and I thought that was interesting because
[52:20.420 --> 52:21.700]  that's
[52:21.700 --> 52:24.740]  It's like for some people who someone is less informed
[52:25.220 --> 52:29.940]  You know, maybe that's a difficult decision and how did they think that was gonna break out and they're like, we don't know
[52:30.020 --> 52:35.380]  You know, we you know, we really don't know we have some estimates but you know until we put this stuff out
[52:35.540 --> 52:38.180]  You know, we're off. We're always a little surprised by with which
[52:39.380 --> 52:41.220]  You know exact
[52:41.220 --> 52:43.220]  configuration sell better than others
[52:43.860 --> 52:47.540]  You know, there's some consistency year over year, but sometimes, you know, you can't predict it
[52:47.860 --> 52:51.780]  So I think they're probably a little surprised that the 5c didn't sell
[52:52.980 --> 52:58.020]  Great right off the bat and maybe they're a little surprised that it has legs as strong as it does
[52:58.020 --> 53:00.020]  But I think you know, there's a there's an easy
[53:01.040 --> 53:04.660]  Explanation, you know that it it the one that people who are
[53:04.660 --> 53:10.600]  Enthusiasts are gonna buy is always going to be the the top of the line brand. Yeah a real new one, right?
[53:10.680 --> 53:15.320]  That you care about things like that. The camera is a little better has, you know an extra half stop
[53:16.040 --> 53:22.200]  Of exposure and you care about the fact that the a7 is a faster, you know, CPU
[53:22.440 --> 53:26.120]  I mean every day my life is better every day because my phone runs 64-bit
[53:27.080 --> 53:30.680]  I can't believe there's people out there running in 32 32-bit cell phone
[53:30.680 --> 53:32.680]  If
[53:32.840 --> 53:38.180]  I had a 32-bit cell phone. I probably couldn't read my phone with either eye. I just kill myself. That's right
[53:38.180 --> 53:40.180]  Yeah, that's what I would do
[53:41.240 --> 53:42.160]  But no, you know
[53:42.160 --> 53:47.720]  I mean we think about things like that and then we do stupid things like go get in line on day one to buy
[53:47.720 --> 53:50.600]  One so that we can have it the first day that it comes out
[53:51.240 --> 53:53.400]  Whereas people who are not like that
[53:53.960 --> 54:00.320]  Like just buy a phone whenever their old one breaks or whenever they feel like their old one man. I'm sick of this old phone
[54:00.320 --> 54:06.040]  I got to get a new phone and then they go in and they're like, wow, I like that pink one. That looks cool
[54:06.280 --> 54:11.240]  I'm gonna get that one and they don't care about the fact that the you know cameras one year old
[54:11.480 --> 54:12.000]  Yeah
[54:12.000 --> 54:16.600]  and so of course it makes sense that that's the one that I think in hindsight it not now is
[54:16.920 --> 54:19.480]  Make sense that that's the one that would
[54:20.280 --> 54:23.320]  Do better year over year more like us more of a slow burn
[54:24.560 --> 54:26.280]  Right and it still looks new
[54:26.280 --> 54:32.320]  it looks like a new phone whereas like a year ago if you were gonna buy the mid-tier phone you were getting the 4s and
[54:32.320 --> 54:34.320]  it kind of looked a little older and
[54:34.360 --> 54:39.040]  You know just you know, kind of looked like a year old phone compared to the 5s
[54:39.800 --> 54:44.080]  Whereas the 5c looks just as new just you know a different style
[54:44.940 --> 54:49.380]  There was another there was a rumor about did you see this? I can't was at the Wall Street Journal
[54:50.760 --> 54:52.760]  That Apple was ordering
[54:52.760 --> 54:55.760]  60 to 80 million
[54:56.760 --> 55:01.540]  Big phones. Oh, I saw something about this right some huge number of
[55:02.160 --> 55:08.080]  Right, whereas like the ones for the you know, like I think like last year in the fall. They sold like 50 million and
[55:08.800 --> 55:12.180]  So like something like 80 is like a huge spike. Yeah
[55:12.180 --> 55:18.460]  I saw some stuff on Twitter about that where it's like one rogue report that they're ordering 80 million. Yeah iPhones
[55:18.460 --> 55:25.660]  Now means that you know six months from now and they've report the holiday quarter. It's full sell 75. It's
[55:26.380 --> 55:29.760]  Yeah, anything less than that is gonna be a huge mess
[55:30.580 --> 55:33.780]  No matter how much higher it is than what it actually was a year ago
[55:35.020 --> 55:39.020]  Let's well a hold that thought let's I'm gonna do a sponsor read and I want to hold that thought on
[55:39.740 --> 55:41.220]  bigger iPhones
[55:41.220 --> 55:46.700]  And thank another longtime friend of the show our good friends at Lynda
[55:46.700 --> 55:48.300]  dot-com
[55:48.300 --> 55:50.300]  ly nda.com
[55:52.740 --> 55:54.740]  They have a seven-day free trial
[55:55.620 --> 56:00.380]  Why do you want the seven-day free trial? Here's why you just go there. I'll give you the code
[56:01.340 --> 56:03.340]  Yeah at the end of the read
[56:03.500 --> 56:10.080]  You go there you sign up you get a seven-day free trial and then you get access to their entire library
[56:10.820 --> 56:12.820]  Library of what here's what they do
[56:12.820 --> 56:20.180]  lynda.com helps you learn and keep up to date with software and other skills like photography or shooting video
[56:22.940 --> 56:29.160]  Programming languages learning objective-c learning to write iPhone apps right learning to create a website learning to
[56:29.380 --> 56:37.020]  CSS something like that or something like learning Photoshop learning to master Photoshop anything like that. They've got entry-level
[56:38.500 --> 56:41.680]  Courses, they've got mid-level courses. They've got high-level courses
[56:41.680 --> 56:46.680]  2,400 courses in total right you get your free trial you can watch any of them
[56:47.360 --> 56:52.400]  And they've like I said courses for all experience levels. You'll see how much you like it
[56:52.400 --> 56:57.040]  You'll see how much you've learned and then for one low monthly price if you want to become a regular customer
[56:58.080 --> 57:05.000]  25 bucks 25 bucks a month and you get unlimited access every month to the entire library and lynda.com
[57:05.400 --> 57:09.240]  Including the new stuff that they put out on a continuous basis
[57:09.240 --> 57:11.960]  And the thing is this is so unlike anything
[57:12.720 --> 57:19.040]  That you get on like YouTube or who knows what the quality is everything on lynda.com is really high production values
[57:19.200 --> 57:25.480]  Really high quality and great teachers the type of people who you want to be learning from real pros
[57:25.480 --> 57:28.400]  Not just some idiot with a webcam real pros
[57:29.500 --> 57:35.720]  Great production values and new stuff coming out all the time. It's amazes me whenever I check in and see what they've got
[57:35.720 --> 57:42.920]  Just how everything like new versions of the Adobe CS suite come out and new lynda.com
[57:44.000 --> 57:46.880]  Courses on them come out immediately. It's amazing
[57:49.880 --> 57:55.600]  Can't emphasize enough just how great the quality is and and the deal it sounds too good to be true you go there
[57:55.600 --> 57:58.680]  You know for seven days free trial watch all you can eat that
[57:59.080 --> 58:03.620]  That's how confident they are that if you try it you go there for seven, you know
[58:03.620 --> 58:08.520]  Try the seven-day thing start watching it. That's how confident lynda.com is that you're gonna
[58:09.080 --> 58:13.960]  Cough up the dough to sign up for a subscription. Here's where you go to find out more and
[58:14.960 --> 58:19.780]  Get the seven days and let them know you're coming from this show go to lynda.com with a Y
[58:20.800 --> 58:29.440]  Slash the talk show with the the lynda.com slash the talk show you get seven days free trial
[58:29.560 --> 58:31.400]  My thanks to them
[58:31.400 --> 58:33.880]  All right, big iPhone. I
[58:35.480 --> 58:38.400]  Might be a week or two behind but on ATP
[58:39.040 --> 58:43.280]  Syracuse a brought up I thought a great question and I was like, how come nobody's talking about this?
[58:43.360 --> 58:50.240]  They're talking about you know, this there's this pervasive rumors that there's gonna be too big our iPhones 4.7 inch and 5.5 inch
[58:51.960 --> 58:54.960]  How come if there's going to be a 5.5 inch iPhone
[58:54.960 --> 59:03.040]  That wire where are the component leaks because there's all sorts of component leaks purported at least for the
[59:03.360 --> 59:06.220]  4.7 and they're from people who've had
[59:07.000 --> 59:13.940]  Like a year ago when they had component leaks of things like the gold back of the 5s
[59:13.940 --> 59:15.940]  You know, we're pretty much spot-on
[59:16.960 --> 59:22.760]  But there's no and there's so, you know the for the 4.7 inch new iPhone
[59:22.760 --> 59:26.600]  Is seems to be tracking exactly on pace?
[59:27.680 --> 59:30.880]  Leakwise as the last two or three years of iPhones
[59:31.360 --> 59:37.920]  Which to me it makes it seem like a slam-dunk like unless something you know goes wrong or you know
[59:38.440 --> 59:41.500]  It seems like that's that's going to be a new product soon
[59:42.220 --> 59:44.080]  But there's nothing I haven't seen anything
[59:44.080 --> 59:49.720]  There's you know, like there have been screens that have come out for the 4.7. There have been cases nothing for the 5.5
[59:49.720 --> 59:54.040]  And then like Reuters had a story last week. I think it was Reuters. Maybe it was business week
[59:54.040 --> 59:56.400]  but one of them had a story that said that
[59:57.440 --> 59:58.980]  that the
[59:58.980 --> 01:00:04.160]  4.7 inch iPhone 6 is going into production now like meaning July and that the
[01:00:04.320 --> 01:00:07.920]  5.5 inch one is going into production next month meaning August
[01:00:08.280 --> 01:00:13.640]  but she's you might think well if it's a month behind then
[01:00:14.200 --> 01:00:16.680]  You know, maybe the leaks are gonna start coming soon
[01:00:16.680 --> 01:00:23.420]  But the leaks for the 4.7 inch phone came more than a month ago started a long time, right? They started months plural ago
[01:00:24.080 --> 01:00:29.540]  I mean, of course, it makes sense that they would pick up if it is, you know entering production, but I
[01:00:30.200 --> 01:00:35.680]  Don't know there's something about this 5.5 inch thing that to me is starting to sound like it isn't gonna happen
[01:00:36.000 --> 01:00:40.920]  And it seems kind of crazy to think that they would have phone phones in three sizes. I don't know it just
[01:00:41.840 --> 01:00:43.840]  that seems to
[01:00:43.840 --> 01:00:51.840]  Just I've said it before on numerous much it just seems like it's it's and to introduce to at the same time seems very
[01:00:51.840 --> 01:00:57.920]  Odd, yeah, it seems like it would make Phil Schiller's head explode like from a product marketing perspective. How do you frame it?
[01:00:57.920 --> 01:00:59.920]  you know, how do you frame the story like
[01:01:00.680 --> 01:01:02.200]  it
[01:01:02.200 --> 01:01:09.280]  Like with the iPads, they've got the same specs same camera same, you know CPU same pixel dimensions
[01:01:09.280 --> 01:01:15.000]  it's just you want one bigger or smaller and you have to pay, you know extra hundred bucks or 129 bucks or whatever the
[01:01:15.000 --> 01:01:20.520]  difference is for the bigger one and it somehow seems to make sense in consumer minds that you pay a little more to get a
[01:01:20.520 --> 01:01:25.240]  Bigger one pay a little less to get a smaller one or maybe it doesn't maybe that's why iPad sales are down
[01:01:25.240 --> 01:01:29.760]  I don't know, but but it somehow comes across as feeling fair
[01:01:29.880 --> 01:01:34.000]  Whereas if they come out with two new iPhone sixes and they're like the same a8
[01:01:34.000 --> 01:01:40.220]  a system on a chip the same new and improved camera the same thinness and
[01:01:41.060 --> 01:01:47.460]  One cost more than the other. Well, which one cost more? I'd rather have the smaller one. So would I right?
[01:01:47.460 --> 01:01:50.260]  It doesn't seem to me like you should pay more for a bigger one
[01:01:51.340 --> 01:01:54.460]  So I don't it doesn't make any sense to me, but maybe up maybe we're in luck
[01:01:54.460 --> 01:02:00.120]  Maybe this will be the year where I don't want to buy the most expensive. I mean it particularly because they've approached this so
[01:02:00.120 --> 01:02:05.900]  Slowly and carefully to date. Yeah jumping up to 5.5 inches seems
[01:02:06.620 --> 01:02:11.860]  Unnecessary and they're still they're still growing sales. I mean, it's not like it, you know, you know
[01:02:12.500 --> 01:02:17.820]  If it was the iPad maybe then we might think okay. Well sales are falling. Maybe they need to do something
[01:02:18.500 --> 01:02:23.860]  Else, but you know, it's not like it's not like they have a big problem selling iPhones
[01:02:23.860 --> 01:02:28.700]  Yeah, please these four-inch iPhones are only selling in record numbers
[01:02:29.700 --> 01:02:32.940]  And conversely, I don't think it makes any sense product marketing wise
[01:02:33.420 --> 01:02:41.300]  for if there's two for one to be like an a tier and one to be the B tier because there's some number of people who
[01:02:41.300 --> 01:02:43.060]  are going to
[01:02:43.060 --> 01:02:47.500]  Want the other one but want the other specs, right?
[01:02:47.820 --> 01:02:51.660]  somebody is going to say I want a top-of-the-line iPhone and if the top-of-the-line one is
[01:02:51.660 --> 01:02:53.460]  the
[01:02:53.460 --> 01:02:59.980]  5.5 inch and the mid tier one is 4.7 inch like the 5c equivalent class spec wise
[01:03:00.180 --> 01:03:04.260]  Well, I'm gonna be upset because I don't want a 5.5 inch iPhone
[01:03:04.260 --> 01:03:07.980]  Even though I'm spent half an hour being a show talking about how I can't read
[01:03:10.140 --> 01:03:17.420]  I don't want it. I don't I'd rather not be able to read my phone then carry something that big I
[01:03:17.420 --> 01:03:20.900]  Don't get it. I don't see how they could do it, you know
[01:03:20.900 --> 01:03:26.420]  And then if you know, like let's say that the 5.5 inch one has a better camera than a 4.7 inch one
[01:03:26.420 --> 01:03:28.420]  Well that I mean that's gonna make me angry
[01:03:29.180 --> 01:03:36.520]  Right. I just don't see it. It doesn't make any never made any sense to me like the iPhone. I don't know. I'll
[01:03:37.220 --> 01:03:42.480]  wait and then and then do they still they sell for phones or do they sell or does the
[01:03:42.480 --> 01:03:49.880]  Yes, this doesn't make any sense if they switch to a thing where the new iPhone 6 is out
[01:03:49.880 --> 01:03:52.800]  And it has now it has a 4.7 inch screen. I
[01:03:53.400 --> 01:03:55.320]  Don't that doesn't sound good to me
[01:03:55.320 --> 01:04:00.680]  I like four inches, but I'll try it and it does sound reasonable and it just maybe you know as batteries get bigger
[01:04:00.680 --> 01:04:06.280]  You know, you know, maybe I'll be happy with it. I don't think you know what? I kind of like having a bigger phone and
[01:04:07.040 --> 01:04:08.520]  You know
[01:04:08.520 --> 01:04:10.520]  You know, like I said, my eyes are getting worse
[01:04:10.520 --> 01:04:17.000]  Maybe maybe I mean and when they get when the five came out, it was physically smaller than the 4s, right?
[01:04:17.000 --> 01:04:21.520]  It is a larger screen, but in terms of volume, it was actually a smaller phone, right?
[01:04:21.800 --> 01:04:26.160]  And so I would hope they would do something like that again. Yeah, it felt like a fair trade-off
[01:04:26.480 --> 01:04:29.880]  Yeah, whereas going to 5.5 is just ridiculous
[01:04:30.240 --> 01:04:35.280]  Although I'm not saying no that I can't believe that other people would want a device like that
[01:04:35.280 --> 01:04:38.160]  I do I totally understand that some people love them and
[01:04:38.160 --> 01:04:42.320]  That they you know that there is like it's like a sweet spot between you know
[01:04:42.320 --> 01:04:46.680]  I don't need a tablet and a phone. I just have this one device. It's this I know it's not for me
[01:04:47.040 --> 01:04:52.520]  I've seen such similar devices. I can't imagine carrying them around carrying it around in my pocket everywhere I go
[01:04:53.280 --> 01:04:55.280]  So I just don't see it. I
[01:04:55.320 --> 01:05:00.160]  Also don't I do think that also though and and with the discussions no, you know joking aside about
[01:05:01.080 --> 01:05:03.080]  You know my presbyopia
[01:05:03.080 --> 01:05:08.120]  It does raise the question though of what is the point of getting a bigger screen?
[01:05:08.120 --> 01:05:13.760]  Is it to make everything bigger so that you see the same amount of text, but now it's bigger
[01:05:13.760 --> 01:05:18.640]  Or is it to put more on the screen and keep the text the same size?
[01:05:18.640 --> 01:05:20.680]  And now that you can have more text at the same time
[01:05:22.200 --> 01:05:29.080]  Yeah, I think the answer is maybe both a little bit of both right with the settings, you know liked with the
[01:05:29.080 --> 01:05:35.160]  What do they call it? Oh, so you could have one of the other they don't call it adaptive text
[01:05:35.160 --> 01:05:39.120]  But there's you know with iOS 7 they introduced the thing where you go into general
[01:05:40.200 --> 01:05:46.080]  Text size and you can make text bigger system-wide and maybe you know
[01:05:46.080 --> 01:05:48.320]  It always seems to me like when you make it bigger on
[01:05:49.520 --> 01:05:54.320]  The current iPhone it just takes up too much space maybe with a 5.5 inch phone
[01:05:54.320 --> 01:05:56.680]  that it would be a great option for people with
[01:05:56.680 --> 01:05:58.160]  a
[01:05:58.160 --> 01:06:01.120]  Failing eyesight that I could see that as a great product
[01:06:01.120 --> 01:06:04.320]  But I just I still don't see how they sell it alongside the 4.7 inch
[01:06:04.880 --> 01:06:06.880]  at least at the same year
[01:06:08.480 --> 01:06:12.000]  It just seems like a lot to sell yeah, I don't know that to me I'm
[01:06:12.560 --> 01:06:14.680]  Leaks, even though there are leaks coming out
[01:06:14.680 --> 01:06:21.320]  I feel like we know less about what they're going to announce iPhone wise then in years many years
[01:06:21.320 --> 01:06:25.320]  I can't even remember the last time that we that I've had so much
[01:06:25.320 --> 01:06:30.320]  Yeah, because last year about this time we had oh, oh, well, I don't know if was quite this time
[01:06:30.720 --> 01:06:32.720]  certainly by August we had seen
[01:06:33.280 --> 01:06:34.640]  the
[01:06:34.640 --> 01:06:36.860]  5c I had already written my review
[01:06:39.160 --> 01:06:42.840]  No, no, we didn't see the 5c did we know but I thought we saw the shells
[01:06:42.840 --> 01:06:47.400]  Oh, I thought we only saw the 5s the the metal ones. I didn't think we saw the plastic ones
[01:06:47.400 --> 01:06:50.400]  Oh, no, maybe we did neighbor. Why did me? Yeah, I think they were white
[01:06:50.400 --> 01:06:55.640]  Yeah, but we didn't see all the colors. I don't think I think we just saw like a white plastic one. Yeah
[01:06:56.160 --> 01:07:01.640]  Yeah, I do remember something like that. So we're we're in agreement. Well, I thought 5.5
[01:07:02.280 --> 01:07:08.320]  Yet anyway, I don't know and then there's people in the people saying the rumors saying that it's a month behind
[01:07:08.440 --> 01:07:10.740]  Or that it might come early next year. I
[01:07:11.480 --> 01:07:16.240]  Why they wouldn't announce that in September then that seems weird that they would do that
[01:07:16.240 --> 01:07:22.920]  Like if it's three or four months behind that seems to me like that's a non-starter like it should either be
[01:07:23.800 --> 01:07:25.800]  at the same time and
[01:07:26.000 --> 01:07:30.220]  Therefore in time for the holidays or like six months later
[01:07:30.220 --> 01:07:33.320]  You could you know, maybe do it in April or something like that. Like when they
[01:07:33.840 --> 01:07:35.840]  announced the first couple of events. Yeah
[01:07:36.280 --> 01:07:40.640]  But if you know the holidays, it's such a weird blip on their quarter
[01:07:40.640 --> 01:07:45.460]  I mean you can see it every time they have these, you know, like today every time they do the quarterly finance announcements
[01:07:45.460 --> 01:07:48.700]  It's such a weird blip. There's such a holiday heavily
[01:07:50.240 --> 01:07:56.680]  Company that it just doesn't make sense that they would have something that would debut and I don't know January or something like that
[01:07:56.680 --> 01:08:02.400]  And they can't announce it in September because then people would you know, it's the whole Osborne effect thing
[01:08:02.400 --> 01:08:04.700]  Like they're not gonna want to buy the 4.7 inch one
[01:08:05.440 --> 01:08:09.040]  Until they can see the 5.5 inch one and make a side-by-side comparison
[01:08:10.000 --> 01:08:15.000]  Or you know, they can't just have five point, you know, we're not gonna sell it until January
[01:08:15.000 --> 01:08:20.000]  But we'll put them in the stores so you can see them. Well, then if people love them that you know
[01:08:20.000 --> 01:08:26.120]  What they're gonna did they wait that doesn't make any sense, you know, you don't show people something unless you can sell it to them
[01:08:26.400 --> 01:08:30.200]  Yeah, I just don't get it. Something just doesn't doesn't some of those rumors came from
[01:08:30.960 --> 01:08:33.720]  Ming Chi cool. I'm sure I'm pronouncing that wrong
[01:08:34.920 --> 01:08:37.680]  who is held up as like
[01:08:38.880 --> 01:08:40.880]  one of the really good
[01:08:41.080 --> 01:08:43.480]  rumor, you know rumor sources and
[01:08:43.480 --> 01:08:44.440]  and
[01:08:44.440 --> 01:08:49.080]  used to work for digitimes and now works now works for KGI securities
[01:08:50.160 --> 01:08:53.760]  Everybody I don't even know if it's a he or she but it's a he
[01:08:53.760 --> 01:08:58.280]  All right, if he got he got fired from digitized for track record
[01:08:59.320 --> 01:09:02.680]  And he's and he's been you know, he's gotten a number of things, correct
[01:09:02.680 --> 01:09:07.560]  but he's also gotten a number of things completely incorrect because last year he said that the iPhones was going to be announced at
[01:09:07.560 --> 01:09:14.920]  WW DC right and and he's the one saying that oh the the iPhones delayed, you know
[01:09:14.920 --> 01:09:16.920]  the big iPhones are delayed and
[01:09:17.640 --> 01:09:20.240]  Won't because won't be coming it might not come until next year
[01:09:20.240 --> 01:09:25.560]  I think that if the 5.5 inch iPhone is quota is delayed. Maybe they were working on it
[01:09:25.560 --> 01:09:27.560]  Maybe it is delayed for whatever reason
[01:09:28.160 --> 01:09:31.320]  That means it's pushed back a year. That's what I think
[01:09:31.320 --> 01:09:37.440]  Yeah, I would I would think so too, right? They are not going to do something like the read two three months after the initial one
[01:09:37.440 --> 01:09:42.080]  So here's the thing. Here's what I can't wait for then. Imagine this scenario September comes
[01:09:42.080 --> 01:09:48.080]  There's a big iPhone event that your Buena Center is rented out. They put up some kind of big colorful poster
[01:09:49.800 --> 01:09:54.760]  I fly out there where they have a big showing dog and show dog and pony show
[01:09:56.280 --> 01:09:59.200]  and the only new iPhone they announce is
[01:09:59.200 --> 01:10:04.080]  A 4.7 inch iPhone 6. It doesn't matter how awesome that phone is
[01:10:04.880 --> 01:10:08.480]  How many people are gonna say where's my 5.5 inch iPhone?
[01:10:11.520 --> 01:10:16.160]  Right, I mean that's it's like the can't win situation that Apple is in like
[01:10:17.200 --> 01:10:21.120]  It if they I I don't see how they could do this
[01:10:21.120 --> 01:10:25.840]  I still doesn't make sense to me how they would do both but if they don't do both there's gonna be some number of people
[01:10:25.840 --> 01:10:27.280]  Who are outraged?
[01:10:27.280 --> 01:10:30.960]  And are gonna say that they are out of touch. They're you know
[01:10:32.240 --> 01:10:36.960]  Gonna disappear in 60 days if they don't get a 5.5 inch phone out
[01:10:41.120 --> 01:10:46.800]  Did they did they disappear after that that 60 days I wanted to know someone would ask on the conference call
[01:10:47.600 --> 01:10:53.600]  I'm guessing I guess he tripped Chaudhary does not get on the conference call
[01:10:53.600 --> 01:10:56.800]  Trip Chaudhary does not get on the conference call. It would be great
[01:10:56.880 --> 01:11:00.800]  If he's not get to answer to ask questions on the conference. Can we kickstarter that I
[01:11:01.600 --> 01:11:06.960]  I would totally kickstarter a project to get trip Chaudhary onto the uh,
[01:11:07.520 --> 01:11:12.960]  Every conference call, you know at least for the next four, you know, we'll pay whatever it costs
[01:11:13.600 --> 01:11:16.800]  And we'll get trip Chaudhary on every he gets one question on every call
[01:11:16.800 --> 01:11:22.240]  He can just take gene Munster's spot right because Munster's just gonna ask about apple tv he's gonna ask you guys
[01:11:22.240 --> 01:11:24.400]  You know, he's gonna burn a question on the apple tv. Yeah
[01:11:24.960 --> 01:11:26.960]  Let's give one to trip Chaudhary
[01:11:27.920 --> 01:11:33.280]  Tim chip Chaudhary here. Are you still in business? Are you still in business? I've got you penciled in for
[01:11:34.080 --> 01:11:37.840]  Disappearing in early June when you didn't release an iwatch thing
[01:11:39.280 --> 01:11:41.280]  That guy this is Tim
[01:11:42.560 --> 01:11:44.560]  I don't do him for the first time
[01:11:44.560 --> 01:11:49.680]  I don't do impressions. This is my this is my Tim Cook southern accent. I'm gonna take that question
[01:11:50.640 --> 01:11:52.640]  Uh, no, we're still here
[01:11:57.200 --> 01:12:02.080]  Talk to you next quarter. Yeah, I don't know check in in 90 days
[01:12:03.760 --> 01:12:05.760]  Hopefully, yeah
[01:12:07.600 --> 01:12:12.560]  If we can keep the lights on the uh, the other one other thing from the
[01:12:12.560 --> 01:12:14.800]  one other thing from the uh that I
[01:12:16.480 --> 01:12:20.960]  Heard on the little bit of the conference call that I heard before we got on the air
[01:12:21.600 --> 01:12:24.400]  Was that well the ipad sales were down
[01:12:25.600 --> 01:12:28.640]  Overall, they were up about 50 percent in
[01:12:29.280 --> 01:12:31.280]  countries like china and india
[01:12:31.440 --> 01:12:34.640]  yeah, which was interesting and they were down in the
[01:12:35.840 --> 01:12:36.960]  the
[01:12:36.960 --> 01:12:44.080]  mature countries or developed nations, whatever they call them brick countries br ic now, what what is that brazil
[01:12:45.120 --> 01:12:48.720]  Russia india china, what's the oh, yeah brazil russia india china
[01:12:49.280 --> 01:12:52.080]  brazil russia india china sounds it sounds like
[01:12:52.560 --> 01:12:59.380]  Like four random countries which is yeah, although they're except that they're both all four are enormously
[01:13:00.140 --> 01:13:02.140]  Populous. Mm-hmm, right?
[01:13:03.280 --> 01:13:05.280]  Right
[01:13:05.280 --> 01:13:10.640]  Um, yeah, so those those four countries it's way up and isn't that exactly the the
[01:13:11.120 --> 01:13:16.320]  Those are exactly the sort of countries where I feel like everybody said they would would never
[01:13:17.040 --> 01:13:19.040]  Never sell any ipads
[01:13:19.040 --> 01:13:20.160]  uh
[01:13:20.160 --> 01:13:27.840]  Well, and that they also are like the sort of countries where everybody was saying last year when the 5c came out and wasn't cheap
[01:13:28.480 --> 01:13:33.920]  Mm-hmm, you know that everybody's saying oh they're gonna make a cheap iphone and they came out and it wasn't it was you know
[01:13:33.920 --> 01:13:36.800]  They had nothing to do with the cost it had to do with
[01:13:37.280 --> 01:13:44.720]  Having the mid-tier occupied by a new device at the same price point instead of a year-old device coming down
[01:13:45.040 --> 01:13:47.280]  That's all they did. It had nothing to do with the price
[01:13:48.080 --> 01:13:48.960]  um
[01:13:48.960 --> 01:13:52.320]  it was about replacing the middle tier with a new phone rather than
[01:13:53.120 --> 01:13:54.000]  um
[01:13:54.000 --> 01:13:59.760]  And one that was probably cheaper to build. Yeah, I think so helped helped helped their margin, right?
[01:13:59.840 --> 01:14:02.080]  I think because yeah, I think that there's something
[01:14:02.080 --> 01:14:08.640]  Yeah, there's something to that where I think that the the the refined aluminum if you know if they had held the past
[01:14:09.520 --> 01:14:15.600]  Pattern instead of the 5c the 5c wouldn't exist and the the iphone 5 would still be sold at that point
[01:14:16.080 --> 01:14:18.080]  Which is what the 5c is
[01:14:18.080 --> 01:14:20.080]  internally
[01:14:20.720 --> 01:14:26.800]  Which also I guess if we want to speculate about iphones I I do you think there's gonna be an iphone 5cs
[01:14:26.800 --> 01:14:32.160]  5cs which would be an iphone 5s in a plastic case. No, I would
[01:14:32.800 --> 01:14:36.560]  hmm, I can't I don't know if they're gonna call it a 5cs because it's starting to get like a
[01:14:37.100 --> 01:14:43.840]  Mouthful to me the simplest thing is the the 5c drops down the 5s drops down and you get a 4.7 inch
[01:14:44.400 --> 01:14:49.040]  Yeah, but I kind of feel like the pattern they set last year is they don't want to sell the nice
[01:14:49.840 --> 01:14:51.360]  metal
[01:14:51.360 --> 01:14:54.320]  Case or you know exterior in the middle in the middle?
[01:14:54.320 --> 01:14:55.520]  I
[01:14:55.520 --> 01:15:01.840]  Do feel uh, I feel like I feel like that year was a setup just to get to the point where the plastic case
[01:15:01.840 --> 01:15:06.800]  Is on the bottom level? Yeah, maybe it could be it's either one or the other. That's a good that's a good point
[01:15:06.800 --> 01:15:10.960]  It could be about that. They needed to get it out one year in advance before it. Yeah, it's down
[01:15:12.480 --> 01:15:14.480]  Could be could be
[01:15:16.320 --> 01:15:21.120]  I don't know though. I'm not so sure about I don't know. I don't know either. I think it's sort of about
[01:15:21.120 --> 01:15:28.160]  See my my guess is that it's sort of about setting your expectations for which one will cost more before you even turn them on
[01:15:29.600 --> 01:15:34.560]  That you can look at a 5c and a 5s side-by-side while the screens are off
[01:15:34.640 --> 01:15:38.400]  And I think most people would be able to guess which one's more expensive than the other
[01:15:39.120 --> 01:15:40.480]  whereas
[01:15:40.480 --> 01:15:41.680]  my
[01:15:41.680 --> 01:15:43.680]  5s the current 5s
[01:15:43.680 --> 01:15:49.200]  Pick your favorite color versus the iphone 6 this 4.7 inch iphone 6
[01:15:50.080 --> 01:15:52.080]  I don't know that you'd be able to do that
[01:15:52.160 --> 01:15:57.200]  Right if you you know, if you just purely like bigger devices, I guess you'd think this one's nicer
[01:15:57.200 --> 01:16:00.160]  But you know if you like smaller devices, you might think
[01:16:00.960 --> 01:16:08.160]  That the 5s is whereas if they put the 5s internals into a 5c style plastic case then it it sets that up
[01:16:08.880 --> 01:16:11.200]  I don't know. That's a good qua that's one of the things i'll be looking at
[01:16:11.200 --> 01:16:15.600]  I don't know. That's a good qua. I I that's one of the things i'll be looking forward to next month or september
[01:16:15.680 --> 01:16:17.840]  I guess right the brick countries
[01:16:18.560 --> 01:16:22.640]  Uh, no, I I think that everybody said last year that that they need to sell a cheap
[01:16:22.960 --> 01:16:27.280]  Iphone for china because people in china per capita don't have a lot of money
[01:16:28.000 --> 01:16:32.640]  Um, what do they call them emerging markets? Is that the term emerging markets, right?
[01:16:33.120 --> 01:16:39.440]  And I think I don't think apple thinks there are such things as emerging markets. I really don't I think the way they approach it
[01:16:39.440 --> 01:16:46.320]  Is that there's people who can afford iphones and people who can't you know, and I know I don't mean it to
[01:16:46.960 --> 01:16:50.640]  To be flippant, you know, but the fact that the average person in china
