[00:00.000 --> 00:02.320]  How's your week? Oh my god
[52:46.260 --> 52:52.980]  It's like the canonical example of of like a submarine patent. I think yeah, yeah, right
[52:52.980 --> 52:57.300]  Why you should never trust a company that says hey, just use our stuff. We're never gonna enforce it
[52:57.860 --> 53:04.000]  Yeah, but I remember that the subcurrent of the whole argument about what we should replace it with and what are we gonna do?
[53:04.000 --> 53:11.780]  blah, blah, blah, was we're doing all this to replace an awful truly awful file format and you can find people who complain about
[53:11.780 --> 53:14.980]  JPEG and that other there were other formats at the time for
[53:15.580 --> 53:22.380]  Photographs, you know, which you know the role that JPEG plays that that there were better alternatives and stuff like that
[53:22.380 --> 53:27.740]  They could have been done better in certain ways, but nobody really says JPEG is terrible. I mean JPEG is JPEG
[53:27.740 --> 53:32.540]  Right, you know pretty good served. Yeah, I mean JPEG like it and similar mp3
[53:32.540 --> 53:35.740]  mp3 is a very old format
[53:36.500 --> 53:44.700]  What people don't realize it stands for mp1 layer 3 right like mp1 files are I believe from the late 80s
[53:44.700 --> 53:50.820]  I mean it was a while it was a while before they were commonplace, but late 80s or early 90s is I believe is when mp1 became
[53:52.220 --> 53:57.900]  Extended and became playable and like that is when mp3 format like it's from that era
[53:57.900 --> 54:02.620]  Yeah, JPEG is not from that much later than that. It's I think it's also from the very early 90s
[54:02.620 --> 54:08.420]  Yeah, and and it was a while before it was you know fast enough that computers could display them very quickly
[54:08.700 --> 54:10.060]  But now
[54:10.060 --> 54:15.260]  Like and there are better formats like there was a format called JPEG 2000. Yeah, that no one ever uses
[54:15.260 --> 54:18.780]  And I believe there were some patent issues with it which is one of the reasons why but
[54:19.660 --> 54:26.260]  You know JPEG is good enough. Yeah, gift is a horrible just a horrible format. Oh, yeah, it was there were billions
[54:26.260 --> 54:30.020]  I forget there are the estimates for how many gift files that were on like the early internet
[54:30.020 --> 54:32.020]  But it was it quickly went from like
[54:32.340 --> 54:40.260]  Hundreds to billions one they're back now. I feel like this was like our bell bottoms moment. Yeah, we're like it like this this this thing that was like a weird fad
[54:41.220 --> 54:42.660]  15 years ago
[54:42.660 --> 54:44.260]  20 years ago like
[54:44.260 --> 54:51.340]  Mostly 15 years ago that thing that this thing was a weird fad back then now it's back and all of us who were around back then like why is this back?
[54:51.340 --> 54:59.500]  This is terrible. It's the fashion has come back around. These are definitely our bell bottoms. Yeah, but it's used in a way that
[55:00.300 --> 55:01.820]  That is
[55:01.820 --> 55:03.420]  There's a little bit of retro to it
[55:03.420 --> 55:11.340]  But then in the most ways there's not because the gifts that people post now these huge animated ones with lots of frames from video and TV and stuff like that
[55:11.820 --> 55:17.820]  Are so humongous that that in computers in the mid 90s and internet connections in the mid 90s
[55:17.820 --> 55:24.860]  Couldn't have even handled one of them. Oh, yeah, they're like three megs. I mean you got to figure like imagine the concept of a three-meg
[55:25.020 --> 55:26.460]  Give in
[55:26.460 --> 55:27.660]  1997
[55:27.660 --> 55:31.660]  Right, we used to try to make I forget the target for our web pages, but you know
[55:31.980 --> 55:33.980]  Just you know a lot of times you if part of your
[55:34.700 --> 55:41.140]  Project specs for building websites were what was the target size for the web page and it was always measured in kilobytes
[55:41.140 --> 55:45.260]  You know it was like how many seconds would it take to load over a 56k modem, right?
[55:45.260 --> 55:51.340]  It was you know somewhere between for most projects. I worked on it was usually like 10 20 kilobytes for the whole page all assets
[55:52.380 --> 55:56.780]  Right cuz old cuz that would take a few seconds to load take forever to load. It is horrible
[55:58.780 --> 56:05.540]  So it answers your actual question, but if a three megabyte gift mile in the middle of the page would be terrible
[56:05.540 --> 56:10.340]  Right, I mean if it could even load without something running out of memory and crashing while decoding it
[56:10.340 --> 56:14.180]  Which is unlikely but if it could even load it would have taken 45 minutes to load
[56:14.180 --> 56:19.020]  All right, I also think if I'm remembering correctly. I'd then this hike here
[56:19.020 --> 56:22.180]  I could be I could be way off my rocker, but I seem to recall
[56:22.980 --> 56:24.660]  that like
[56:24.660 --> 56:26.060]  early
[56:26.060 --> 56:32.580]  Hosting accounts like if you were hosting a website somewhere like storage and bandwidth were measured in megabytes
[56:33.380 --> 56:41.460]  Like I don't know how many megabytes, but like you know you you just you couldn't serve up a couple hundred copies of a three megabyte file
[56:41.460 --> 56:43.460]  You just couldn't definitely not
[56:44.460 --> 56:46.700]  God and now people just crap them out
[56:47.860 --> 56:51.180]  Because now you can host them for free and I'm million different services that I want your privacy
[56:52.020 --> 56:58.940]  All right back to audio program. So you did have some experience in college. Yeah, and I've I've like to wait with it here and there
[56:58.940 --> 57:02.500]  It was a complete failure. Yeah. Yeah, my college experience was awful
[57:04.340 --> 57:09.460]  But you know, I got the basic concept of you know the samples and the frames and the formats and everything so you know
[57:09.460 --> 57:12.060]  And I've I've always been an audio nerd
[57:12.660 --> 57:17.380]  So I was though. I've always been familiar with you know editing audio in in basic forms
[57:18.180 --> 57:24.780]  Playing with it, you know, I've I've music and and talk radio have always been very important to me
[57:24.780 --> 57:27.860]  And so I've always kind of been in this anyway, so
[57:28.820 --> 57:30.820]  the audio programming in overcast
[57:30.820 --> 57:38.820]  Was by far my favorite part and it was ridiculously hard, but it was that it was the kind of good
[57:39.140 --> 57:45.260]  Hard for a programmer which is like it was it's very intellectually stimulating and so it was it's exactly what I love to do
[57:45.260 --> 57:52.180]  Which is working at a very low-level C code doing stuff that you don't think will be possible to do quickly and
[57:53.060 --> 57:58.340]  You know like it's questionable whether it will run on an iPhone at reasonable speed and that reasonable battery drain
[57:58.340 --> 58:04.140]  You know doing very low-level stuff like that using things that you know try to make even more efficient
[58:04.140 --> 58:08.300]  Try to take an even better trick to get this way, you know throw in some of the vector algorithms and stuff like that
[58:09.820 --> 58:12.620]  That it was it was a very very fun
[58:13.060 --> 58:17.780]  hard if that makes sense and it didn't take that much time
[58:17.780 --> 58:21.700]  You know relative to the entire rest of the app the audio engine
[58:22.740 --> 58:26.220]  It's it's actually easier in in many ways because
[58:26.220 --> 58:32.140]  It is self-contained and and what it's doing. It's a relatively simple task. It's easy to test
[58:32.140 --> 58:34.140]  It's easy to benchmark. It's easy to
[58:35.060 --> 58:37.060]  Find bugs and fix them
[58:37.660 --> 58:42.860]  Whereas if you compare if you compare that to like UI programming or sync logic to the server
[58:43.300 --> 58:45.940]  Like those things are much higher level code
[58:46.460 --> 58:49.260]  There's much more code to do that sort of stuff
[58:49.820 --> 58:53.900]  You know relative in total for the whole app and it's much harder to test
[58:53.900 --> 58:58.540]  There's always all these weird edge cases. You know the audio code really was it isn't that way
[58:58.540 --> 59:03.860]  It you have a stream of numbers coming in and you gotta put out a stream of numbers and there's some buffering issue
[59:03.860 --> 59:08.940]  You got to take care of and some some performance issues. You got to take care of and and you know some edge cases here there
[59:08.940 --> 59:13.540]  But it's nowhere near the level of of like possibility
[59:13.940 --> 59:16.660]  Complexity that programming and interface is
[59:17.340 --> 59:19.540]  Hmm, I think it helps that you're an audio file
[59:19.540 --> 59:26.020]  I really in fact I don't know that it would have worked that way otherwise because I'm not I'm a complete anti audio file
[59:26.020 --> 59:28.860]  I just want to hit yeah, I don't know. I'm well
[59:28.860 --> 59:31.020]  I shouldn't say anti because I do care about quality
[59:31.020 --> 59:39.100]  But my threshold for what sounds good seems a lot lower than then people who you know like you who are really into headphones and stuff like that
[59:39.100 --> 59:43.940]  Like like my you know line up 20 pairs of headphones and I'm gonna say
[59:44.300 --> 59:48.420]  There's a decent chance. I might find that they all sound pretty good if you know
[59:48.420 --> 59:51.620]  They're all costs. I don't know 60, 70, 80 bucks or above
[59:52.500 --> 59:54.500]  And I would have a harder time
[59:55.020 --> 59:59.060]  Talking about the differences if I did hear a difference between the two I'd have a harder time
[59:59.540 --> 1:00:05.220]  Describing right right and I think that helps because I would think most people and I wondered you know
[1:00:05.220 --> 1:00:09.820]  Maybe you know this maybe you can even tell like if I were gonna write a podcast app
[1:00:10.220 --> 1:00:14.460]  Or I were gonna be part of a team knows writing one my idea would be well
[1:00:14.460 --> 1:00:19.060]  I would just let the system I'd let iOS handle all the audio playback we get that there's a part
[1:00:19.060 --> 1:00:21.060]  We get for free we give the system
[1:00:21.780 --> 1:00:29.260]  An audio format that core audio knows how to play and then it'll play it and we don't have to worry about that and then start from there
[1:00:30.260 --> 1:00:36.860]  And I think that you know clearly that would rule out a whole bunch of the features that are in overcast
[1:00:37.500 --> 1:00:42.060]  Yeah, I mean the biggest one like you can do voice boost
[1:00:42.060 --> 1:00:47.420]  Using the simpler API's it is not you can't do it very well, but you can do it
[1:00:47.780 --> 1:00:50.860]  There's just a few little downsides, but most people wouldn't notice it'd be fine
[1:00:52.100 --> 1:01:01.660]  You definitely cannot do smart speed in any reasonable approachable way and so I had to do this if I wanted smart speed and
[1:01:02.900 --> 1:01:08.060]  It was an important enough feature for me that I said it was worth it, you know and and the reality is as
[1:01:08.060 --> 1:01:15.500]  As I said like the audio engine was very very hard for about you know a few weeks or a month maybe and then it was done
[1:01:15.500 --> 1:01:18.460]  And then the rest of the app was was the rest of the development time
[1:01:18.460 --> 1:01:21.620]  I haven't touched the audio processing code in months
[1:01:22.220 --> 1:01:24.700]  Because it's just it's fun. Okay, I made it over the course
[1:01:24.700 --> 1:01:29.940]  You know, I'd like I'd go in every once in a while and make a little tweak to like how something was dealt with or you know
[1:01:29.940 --> 1:01:32.540]  The levels or the EQ stuff like that, but
[1:01:32.540 --> 1:01:37.940]  For the most part it has barely changed in almost two years since I wrote it
[1:01:39.620 --> 1:01:42.940]  So those are the two like magic here just make this better
[1:01:43.700 --> 1:01:45.700]  features in
[1:01:45.700 --> 1:01:54.300]  In overcast smart speed and voice boost and I think of them as they're the audio equivalent of like that magic one thing in the photos app
[1:01:54.540 --> 1:02:01.620]  Exactly right and you say just make it better and a lot of times for me that button makes the photo better and in every once in a while
[1:02:01.620 --> 1:02:03.980]  It doesn't and then you can tap it again and it goes away
[1:02:03.980 --> 1:02:09.740]  And it's just like that with podcasts where you can say turn on smart speed and if you think this is better
[1:02:09.740 --> 1:02:13.260]  This is an easier way to listen to the show keep it on if not turn it off
[1:02:14.220 --> 1:02:19.060]  Exactly and and there are some shows where one or both those options will actually make it sound worse
[1:02:19.060 --> 1:02:22.060]  And that's why those buttons for those instead of just being on all the time
[1:02:22.860 --> 1:02:25.460]  But I found in the majority of shows I listened to
[1:02:26.700 --> 1:02:29.340]  The combination of both of them usually make it sound better
[1:02:29.340 --> 1:02:33.660]  What was the deal? I remember this there was a really interesting thread on the beta
[1:02:34.260 --> 1:02:37.640]  Glassport about the names of those features and
[1:02:38.340 --> 1:02:42.220]  Early on. I hope I'm not talking not a good behind the scenes
[1:02:42.220 --> 1:02:47.860]  But the voice voice boost had a different name, right? I think it just a boost early on
[1:02:48.460 --> 1:02:53.500]  Voice boost was not on or off. There were there were three modes to it
[1:02:53.740 --> 1:02:56.900]  There was their four modes. There was off
[1:02:56.900 --> 1:03:02.900]  Where it didn't process anything there was enhance and then boost and then also reduce
[1:03:03.300 --> 1:03:09.060]  Yeah, it was was a mode that would actually cut off the spectrum on the extreme highs and extreme lows
[1:03:09.060 --> 1:03:13.620]  So it would like if somebody sometimes you have a podcast where it's like way too much base
[1:03:13.620 --> 1:03:20.300]  And if you play it like in a bathroom or something like it it sounds really echo-y and horrible and it's it's hard to listen to
[1:03:20.300 --> 1:03:28.500]  Some of them also will leave in like very very high-pitched wines as an artifact of some part of their processing
[1:03:28.500 --> 1:03:33.260]  And I never quite figured out what causes that but some podcast will have that occasionally and this has been true for years
[1:03:33.260 --> 1:03:34.660]  way before ever cast
[1:03:34.660 --> 1:03:37.740]  And so reduce mode would cut those ends off and
[1:03:38.540 --> 1:03:44.620]  Then enhance and boost both did the same thing just boost did it more severely
[1:03:45.340 --> 1:03:48.060]  Boost was like a larger boost basically
[1:03:48.060 --> 1:03:52.180]  and so I had this the slider reduce off enhance boost and
[1:03:53.580 --> 1:03:56.180]  That was true for about half of the beta really
[1:03:56.740 --> 1:04:01.220]  Yeah, I was always confused as hell by the whole thing. Yeah, I kind of just wanted
[1:04:01.220 --> 1:04:05.940]  I really just wanted Marco just make it sound better for me, right?
[1:04:05.940 --> 1:04:10.540]  And and that was that was a common request actually and and what I what I eventually found
[1:04:10.780 --> 1:04:15.700]  What I realized is that even myself I was just leaving everything on boost all the time
[1:04:15.700 --> 1:04:20.380]  Like I wasn't using any of the other settings. I thought I would when I made them and then it turns out
[1:04:20.380 --> 1:04:26.460]  I was not using them at all. Yeah, and so that's when I reread it on that screen to just be just a button is this on or off
[1:04:27.500 --> 1:04:34.660]  Yeah, and it sounds like it's also a real interesting difference between where you listen to podcasts and it's like
[1:04:34.660 --> 1:04:39.340]  It seems like this feature the voice boost in particular really comes in handy to people who listen in their car
[1:04:40.340 --> 1:04:43.700]  Yeah, definitely that's I mean, that's why I made it because I listen all the time in my car
[1:04:43.700 --> 1:04:50.620]  I I I got a new car a couple years ago and it came with a serious radio and probably like you know a six-month trial subscription
[1:04:50.620 --> 1:04:54.020]  I never activated it. I'm only listening to podcasts now
[1:04:54.020 --> 1:05:01.060]  I I used to listen to satellite radio before that I would listen to like mp3s and CDs and everything now in my car
[1:05:01.060 --> 1:05:07.620]  I'm always listening to either either nothing like if I'm talking a tip or if I'm running alone usually it's always podcasts
[1:05:07.780 --> 1:05:12.020]  That's it. Yeah, and yeah voice boost makes a massive difference in the car
[1:05:12.020 --> 1:05:15.060]  All right, because noisy environment and you yeah, it's a noisy environment
[1:05:15.060 --> 1:05:18.980]  So the baseline for where you need the quietest voice on the show to be
[1:05:20.100 --> 1:05:28.660]  Audible is potentially dangerously high for like a burst of laughter or somebody else who's who was recorded at a higher level
[1:05:28.820 --> 1:05:36.500]  Right, you know if you have somebody who's very you know polite and soft-spoken like Brent, you know, I used his old show as an example the
[1:05:36.500 --> 1:05:44.100]  I'm what was that show called with the calendar guy. Oh the Simmons the Simmons brothers. Yeah, I don't because yeah
[1:05:44.740 --> 1:05:47.860]  Yeah, I use that show as one. Oh, that's good because Michael Simmons
[1:05:49.060 --> 1:05:53.300]  So loud he was like a loud boisterous voice and Brent would was soft-spoken
[1:05:53.300 --> 1:05:55.940]  Yeah, and they didn't level it very well at first because they you know
[1:05:55.940 --> 1:05:57.700]  They were when they first started the show they were you know
[1:05:57.700 --> 1:06:00.820]  They were in the experience producing podcasts and they got better at it afterwards
[1:06:00.820 --> 1:06:06.460]  But I use I use the earlier episodes as a test for this feature because it was the perfect case
[1:06:06.460 --> 1:06:12.860]  Where I wanted to hear what Brent was saying without having my ears blown out when Michael would talk and so it was
[1:06:13.180 --> 1:06:16.420]  It was exactly the situation where voice boost is necessary
[1:06:16.420 --> 1:06:22.260]  So a voice boost is it it's combination of an EQ and a compressor and the compressor
[1:06:22.660 --> 1:06:28.380]  And it looks at the files on a couple other ways, but for the most part it's a compressor that that's that most of what you're hearing is the compressor
[1:06:28.380 --> 1:06:35.980]  and and and that was exactly exactly what it's for which is make Brent loud enough so I can hear him in the car
[1:06:36.380 --> 1:06:40.780]  Without blowing up my ears when anyone else talks. Yeah, and there's like an old record producer
[1:06:41.340 --> 1:06:46.780]  Atage that you know you don't you don't optimize a music album for
[1:06:48.220 --> 1:06:54.620]  High quality studio headphones you optimize it for the actual way that people in real world are going to listen to this music
[1:06:54.620 --> 1:06:57.260]  Which might be you know 10 20 years ago
[1:06:57.260 --> 1:07:00.380]  You know a piece of crap portable radio
[1:07:00.380 --> 1:07:05.260]  You want to make sure it sounds good on that because that's where you know that if it doesn't sound good on that
[1:07:05.260 --> 1:07:08.060]  You're never gonna have a hit song no matter how good it sounds on your you know
[1:07:08.620 --> 1:07:10.620]  $1,000 studio headphones
[1:07:10.620 --> 1:07:16.500]  Exactly. Yeah, got it optimized for the real world. Yeah, and that's true. It's true web design app design. It's true everything
[1:07:17.900 --> 1:07:23.660]  One more question I had I'm surprised Brent is you ask is I was feet is feet parsing a nightmare
[1:07:23.660 --> 1:07:28.460]  for podcasts is it just like as bad as RSS because
[1:07:29.500 --> 1:07:32.220]  You know first of all podcasts are just simpler than
[1:07:32.860 --> 1:07:37.980]  the entirety of RSS feeds because you know the entirety of RSS feeds first of all includes Adam and
[1:07:38.620 --> 1:07:40.620]  40 from versions of RSS and
[1:07:41.260 --> 1:07:45.180]  And the the use cases for RSS feeds are very varied
[1:07:46.060 --> 1:07:50.700]  There's all sorts of things like it isn't just a site like in gadget posting news headlines
[1:07:50.700 --> 1:07:55.660]  There's all sorts of things publish RSS feeds that that any feed parser has to handle
[1:07:56.860 --> 1:08:04.140]  Podcasts have two things going for them. Not only are it is the scope of what they cover much smaller than that because for the most part
[1:08:04.700 --> 1:08:07.500]  It's audio shows that are produced, you know
[1:08:07.980 --> 1:08:13.180]  Once a day once a week maybe the most extreme ones might be published once an hour if it's like a dump from a radio station
[1:08:13.740 --> 1:08:20.060]  But there's you know not much more than that and you know usually it's pretty you know pretty well formed for the most part
[1:08:20.060 --> 1:08:24.060]  And the and the second big thing is that for all of the mediums history
[1:08:24.540 --> 1:08:27.100]  iTunes has been the dominant player and
[1:08:27.660 --> 1:08:30.140]  Historically it it iTunes is less picky now
[1:08:30.460 --> 1:08:32.460]  But before in previous years
[1:08:32.460 --> 1:08:38.140]  iTunes used to be very picky about what kind of feeds it would accept if your feed was malformed at all
[1:08:38.700 --> 1:08:45.180]  iTunes wouldn't take it and so it kind of enforced a level of consistency and quality even even a format
[1:08:45.180 --> 1:08:51.980]  iTunes for the for the longest time only supported RSS it didn't even support Adam and it still doesn't support it that well
[1:08:52.540 --> 1:08:53.500]  Right, yeah exactly
[1:08:53.500 --> 1:08:59.020]  It does support Adam, but not well because I looked into that when I had to take over the feed for this show and
[1:09:00.140 --> 1:09:03.500]  My back-end publishing stuff is all set up for Adam
[1:09:04.620 --> 1:09:11.660]  Or at least it would work better with Adam and theory and the bottom line was you could but you don't want to if you really want
[1:09:11.660 --> 1:09:15.820]  You really want your podcast to be our RSS?
[1:09:15.820 --> 1:09:23.500]  Actual RSS not the RSS as a catch all term that includes Adam which is amazing and Adam in I know this is like
[1:09:23.980 --> 1:09:29.820]  This is like a holy war of 2003. Yeah, but I really don't like Adam as a format
[1:09:31.340 --> 1:09:39.100]  You know RSS was clearly designed to be pragmatic and Adam was designed to be the standard that ends all standards
[1:09:39.100 --> 1:09:45.980]  It kind of can reproduce anything. Yeah, it shows. You know it shows in the complexity of these two formats and and Adam has a lot of
[1:09:46.620 --> 1:09:48.540]  ambiguity in like okay, well
[1:09:48.540 --> 1:09:53.100]  There's 17 different ways to represent the date and you if you need to support all these because some people might use this one
[1:09:53.100 --> 1:09:59.260]  And then what the heck is an author does everything have an author how is this author relevant to this other author and there's like
[1:09:59.900 --> 1:10:02.940]  Everything in Adam is well it depends
[1:10:03.420 --> 1:10:06.940]  You know and there's like 17 different ways to do it and in RSS
[1:10:06.940 --> 1:10:13.020]  You know, it isn't a perfect format. There are some ambiguities built in the into the format that are kind of annoying like the lack of required
[1:10:13.020 --> 1:10:16.540]  GUID's for instance, but for the most part
[1:10:17.900 --> 1:10:22.140]  RSS, you know as its name states is way simpler and
[1:10:22.540 --> 1:10:27.580]  Just to deal with to publish and to consume it is so much simpler because the format
[1:10:27.580 --> 1:10:34.540]  Just can't represent all the little tiny nuances that Adam can and Adam sees that as a flaw. I see that as a feature
[1:10:34.540 --> 1:10:38.940]  Yeah, I totally agree in hindsight, and you know who knows maybe someday
[1:10:38.940 --> 1:10:42.220]  I'll just change everything at during Fireball to go RSS instead of Adam
[1:10:42.220 --> 1:10:48.380]  But for some reason I picked the wrong side back then and I somehow convinced myself that I don't know
[1:10:48.380 --> 1:10:50.380]  I think I kind of bought into the
[1:10:53.820 --> 1:10:58.060]  The the that does sound good arguments behind the Adam people
[1:10:58.060 --> 1:11:00.780]  I mean, I never got involved in it and wasn't really active
[1:11:00.780 --> 1:11:07.260]  But you know Rick reading Mark Pilgrim's blog back then and a couple other people who were involved it all made a lot of sense to me
[1:11:07.260 --> 1:11:13.100]  And there were certain aspects of it that if you if you rendered a very simple feed in Adam
[1:11:13.100 --> 1:11:16.140]  It looked better to me than RSS and still does in a way
[1:11:16.620 --> 1:11:21.020]  Like I'm not thinking about it from the perspective of someone writing a parser and you have to handle everything
[1:11:21.020 --> 1:11:28.140]  I was thinking of it in terms of what would make my the daring fireball feed look better if you just looked at it
[1:11:28.140 --> 1:11:34.140]  And I still think Adam is better in that regard, but that's a stupid thing to make the judgment on
[1:11:34.620 --> 1:11:41.660]  I think I think the smarter way to look at it is just to say RSS is super pragmatic and it is
[1:11:42.140 --> 1:11:47.820]  Designed from the get-go for doing exactly and only what I was doing which is here's a bunch of articles
[1:11:48.620 --> 1:11:50.300]  Yeah, we're as opposed to like here
[1:11:50.300 --> 1:11:55.260]  We have to we have to design an overarching standard that will encompass every possible thing everyone will ever want to do again
[1:11:55.260 --> 1:12:01.820]  Yeah, you know, it's it's all and and Adam was also, you know a lot more strict with certain things and it's almost there's almost a parallel between
[1:12:02.380 --> 1:12:08.140]  XHTML being Adam. Yeah, I think it's ML five or even old HTML being RSS
[1:12:08.700 --> 1:12:13.820]  Where it's just like you know, they it was more structured more defined but way more complex
[1:12:14.060 --> 1:12:16.060]  And it sounded good in theory
[1:12:16.460 --> 1:12:21.660]  Then in practice. It just doesn't really work that well and it's it's actually more complicated to deal with in practice
[1:12:21.660 --> 1:12:27.580]  Yeah, and RSS thing went by really quickly and just a handful of years whereas the HTML thing played out over
[1:12:28.220 --> 1:12:31.580]  Almost 20 years, but I think it is pretty
[1:12:31.980 --> 1:12:35.420]  I think that's a pretty decent high-level analogy and in that analogy
[1:12:35.420 --> 1:12:37.820]  I think RSS 2.0 is HTML five
[1:12:38.460 --> 1:12:41.740]  Which is yeah, yeah, yeah, the early the RSS and it had weird numbers
[1:12:41.740 --> 1:12:46.940]  It was like point nine and point nine one and point nine two and the weird thing was that like
[1:12:46.940 --> 1:12:53.300]  point nine one was from Netscape and Dave Weiner had nothing to do with it and point nine two went back to Dave
[1:12:53.300 --> 1:12:57.900]  Weiner and ignored everything that was in point nine one. It was really a sequel to point nine
[1:12:57.900 --> 1:13:03.940]  Oh, I know I'm getting these version numbers wrong, but it doesn't matter that it doesn't matter that I'm getting the exact version numbers wrong
[1:13:03.940 --> 1:13:07.740]  It's it's yeah, Brent was literally a ground zero for all of that
[1:13:07.740 --> 1:13:11.260]  Yeah, he was like writing all the parsers and generators for all of these things
[1:13:11.820 --> 1:13:15.500]  And to be clear when I'm talking with RSS I'm talking with RSS two the earlier ones
[1:13:15.500 --> 1:13:20.060]  Yeah, the RDF based ones that disaster, but we went but did that was the battle though, right?
[1:13:20.060 --> 1:13:25.500]  That was you know, and that's like were they xx html never really was pitted against HTML 4
[1:13:25.500 --> 1:13:28.220]  It was really pitted against a state, you know HTML 5
[1:13:28.700 --> 1:13:31.740]  I mean even though the time, you know, they weren't at the same time effectively
[1:13:31.900 --> 1:13:39.660]  It was well the world's gonna move off HTML 4 eventually and you know the standards people you know really thought it was
[1:13:39.660 --> 1:13:45.260]  Uh, I'm gonna be x states email because my god
[1:13:45.260 --> 1:13:50.540]  It's gonna be great. It'll enforce that all of your web pages are XML compliant because if it's not it won't render
[1:13:51.020 --> 1:13:53.820]  Right. Yeah, everything everything was like structure
[1:13:54.380 --> 1:13:58.620]  This is a battle that you know computing has gone back and forth in this in cycles for decades
[1:13:59.100 --> 1:14:06.860]  It was a battle for like structure and definitions and schemas and well-defined everything and extremely unforgiving
[1:14:06.860 --> 1:14:13.260]  implementations versus you know forgiving flexible just kind of you know spew something out and we'll try to figure out what it is
[1:14:13.660 --> 1:14:18.780]  And the same the same thing is happening now with like objective c versus swift even
[1:14:18.780 --> 1:14:23.980]  I mean it like it's this that we keep having the same battle over and over again where you know somebody will want you know
[1:14:23.980 --> 1:14:28.860]  The there will be some kind of you know class of problems that
[1:14:29.340 --> 1:14:35.100]  Academic people will try to well think needs to be solved and the way to solve it is to require
[1:14:35.100 --> 1:14:39.260]  Standards so everything can be strictly typed and and and you know
[1:14:39.580 --> 1:14:42.940]  We can validate everything and everything has to be defined in a file
[1:14:43.180 --> 1:14:48.060]  And we're gonna write everything in Java with 10 met with 10 class deep hierarchies of every model
[1:14:48.060 --> 1:14:49.820]  This isn't this isn't just a person
[1:14:49.820 --> 1:14:56.220]  We need to have a person factory constructor to construct the factory to build people and like all this like this levels and levels of
[1:14:56.460 --> 1:14:58.460]  complexity and structure
[1:14:58.940 --> 1:15:02.380]  To combat the free form wild west of dirty data
[1:15:02.380 --> 1:15:06.700]  You know, and then the dirty data people come in and do everything faster and everything just works anyway and then
[1:15:07.340 --> 1:15:09.340]  The cycle repeats again. It's uh
[1:15:09.900 --> 1:15:13.500]  I'm I think we're gonna always see this cycle just go back and forth
[1:15:14.060 --> 1:15:17.820]  I mean no, I was not going to get into this and this could be this could absolutely
[1:15:18.620 --> 1:15:20.620]  sink the entire
[1:15:21.020 --> 1:15:26.620]  You might as well now. I mean have you seen this thing where there's this group that wants to turn mark down into an i
[1:15:27.020 --> 1:15:28.220]  ETF standard
[1:15:28.620 --> 1:15:30.620]  No, let me guess Jeff atwood
[1:15:30.620 --> 1:15:37.820]  I I don't even know. You know, it it broke last weekend. I was out of town with with Amy and
[1:15:38.460 --> 1:15:41.740]  It wasn't paying attention and I've been busy this week on other stuff
[1:15:41.740 --> 1:15:47.100]  I haven't even paid attention to it, but I don't know if it's I don't know if it's associated with that would screw say it or not
[1:15:47.820 --> 1:15:49.820]  um
[1:15:49.820 --> 1:15:56.620]  And there's talk from some people and the funny thing is they're doing it on a mailing list that I still host and I haven't participated on in
[1:15:56.620 --> 1:16:02.780]  Years and I don't know why I haven't pulled the plug on the damn mailing list, but I still host the mark down discuss mailing list
[1:16:02.780 --> 1:16:06.220]  And there's people saying that they should just take the name mark down from me
[1:16:07.020 --> 1:16:07.980]  um
[1:16:07.980 --> 1:16:16.780]  Because I've been such a lousy steward of it of it and at whatever meanwhile, you know, there's the the web pages on my site for mark down with
[1:16:17.020 --> 1:16:19.020]  Describing this in text and everything
[1:16:19.020 --> 1:16:21.420]  Uh are more popular every single day
[1:16:22.300 --> 1:16:26.220]  It's more popular the mark that I could actually I've thought about selling a sponsorship
[1:16:26.220 --> 1:16:28.220]  Just for mark down alone
[1:16:28.220 --> 1:16:36.060]  Because it's more popular the mark down pages on Daring Fireball get more traffic than Daring Fireball did as a whole when I went professional with Daring Fireball
[1:16:38.060 --> 1:16:42.940]  And you could even you could get like you know web development kind of advertisements for that too like it's a different market
[1:16:42.940 --> 1:16:46.940]  Right, that's what I've that's exactly why I thought that I could have a job board just on that page
[1:16:47.580 --> 1:16:52.140]  Although I do actually think a lot of the traffic is not coming from web developers
[1:16:52.140 --> 1:16:58.460]  It's coming from people who are using a new a site that is switched to mark down as the format
[1:16:59.260 --> 1:17:01.820]  Um, you know for that makes sense or whatever
[1:17:02.140 --> 1:17:04.780]  But anyway long story. I mean I could go on forever about this
[1:17:04.780 --> 1:17:10.620]  But to me mark downs not successful despite not being a standard
[1:17:11.820 --> 1:17:16.460]  And and and etc and etc and all that would entail but it because of that
[1:17:17.100 --> 1:17:21.900]  Now it's possible that it would be better off if there were some kind of spec that could you know
[1:17:21.900 --> 1:17:25.740]  If there were a spec that implementers could implement for some things
[1:17:28.060 --> 1:17:30.060]  And you know, maybe I'll do I there's
[1:17:31.020 --> 1:17:32.220]  I don't want to get too deep in this
[1:17:32.220 --> 1:17:37.100]  But there's some ideas and some work that some people have done that's really interesting in that regard because
[1:17:37.420 --> 1:17:41.900]  99.999% of people wouldn't have to worry about it and it wouldn't change things
[1:17:42.380 --> 1:17:49.420]  Um, but some of the things that people see as a problem like the fact that different mark down implementations are slightly different
[1:17:49.420 --> 1:17:53.980]  It's not a problem. It's actually, you know, that's actually a good thing because then github
