[00:00.000 --> 00:06.720]  Ah Craig's good to hear your voice. Yeah. Likewise. It's been a while since we talked. Yeah
[53:27.400 --> 53:33.000]  You just keep respawning and you all you lose are these coins and when you finish the level with the most coins
[53:33.000 --> 53:35.000]  It's an accomplishment. So, you know you can
[53:35.720 --> 53:38.920]  You know finishing without dying which is gives you more coins
[53:39.000 --> 53:40.920]  So there's an advantage to not dying
[53:40.920 --> 53:46.840]  but you never actually like have to start the level over but there would be certain things where he just spatially couldn't navigate and it
[53:48.040 --> 53:51.080]  I think i'm a pretty patient father, but eventually it's like just give me the give me the
[53:53.800 --> 53:55.800]  Dad's gonna help you out here, right
[53:56.600 --> 54:00.760]  And it wasn't like getting him past like a boss, you know villain
[54:00.840 --> 54:06.600]  It was just getting him through like a very narrow hard to navigate little thing. Uh, and it's just very
[54:06.600 --> 54:12.760]  Very it's very comical now when I try to play video games with him because probably it's actually the opposite
[54:12.840 --> 54:18.280]  Yeah, I was gonna say he kicked he's kicking your ass now, right? Because he's young he's got good eyesight good reflector
[54:19.300 --> 54:21.080]  Reflexes. Yeah, he's
[54:21.080 --> 54:21.800]  What was it?
[54:21.800 --> 54:24.680]  It was a lego game like lego batman or something like that
[54:24.760 --> 54:28.600]  And I was like i'll play that with you and I started playing and it was clear that I was holding him back
[54:29.960 --> 54:31.640]  Right
[54:31.640 --> 54:33.960]  He's not gonna say anything, you know, he loves you and everything
[54:33.960 --> 54:36.920]  he's not gonna like hurt your feelings, but he's like dad just just
[54:37.480 --> 54:40.680]  Well, I was like remember when you'd be the one holding me back and he'd be he laughed
[54:40.680 --> 54:44.760]  He had a good sense of humor. Yeah, but it was very clear that I was the one holding him back
[54:45.880 --> 54:51.720]  Uh, anyway, I wish nintendo the best. I think they're going to do very well with it complaints about the price aside
[54:51.960 --> 54:55.160]  it does seem like they're being very aggressive on the trying to keep the
[54:56.920 --> 55:00.520]  Whatever countermeasures they've taken against piracy it seems like they've
[55:00.520 --> 55:05.160]  Done quite a bit one of them being and here's the one that's going to affect honest people
[55:05.320 --> 55:10.520]  The most is the game does not play if you don't have a network connection. I tested it. It's very true
[55:10.920 --> 55:13.560]  Like if you turn on airplane mode and try to start the game it says
[55:14.120 --> 55:19.560]  Oops, you know try to move just try to move somewhere where you have a better network connection. Oh, that's not gonna
[55:20.840 --> 55:25.720]  That's not gonna play out. Well, I mean as soon as somebody you know, it's like on launch day
[55:25.720 --> 55:30.040]  You're not gonna notice that but over time, you know, you're gonna be wanting to play it in the game
[55:30.040 --> 55:31.480]  play it in a
[55:31.480 --> 55:38.380]  In the subway on an airplane airplane, right? Yeah. Well, and it's funny people have even pointed out that at the announcement
[55:39.460 --> 55:41.460]  miyamoto even said because
[55:41.880 --> 55:46.600]  It's totally playable one-handed that it's great to play in a subway now. Maybe you know, maybe
[55:47.160 --> 55:50.280]  He's thinking of I don't know. I've never been to tokyo, but maybe tokyo
[55:50.280 --> 55:55.640]  I wouldn't be surprised if it is one of those cities where the subways even part you'd be good at cell service
[55:56.360 --> 55:58.360]  Yeah, I noticed the last time up
[55:58.360 --> 56:00.440]  uh last trip to wwtc that that
[56:01.320 --> 56:08.520]  The their cell service and bart now, you know from the airport to downtown you pretty much have a network connection all the time
[56:09.080 --> 56:09.320]  All right
[56:09.320 --> 56:13.960]  but when this when this news came out that the game doesn't work without a network connection a bunch of readers wrote to me and
[56:13.960 --> 56:15.960]  Just said well my kid, you know has
[56:16.200 --> 56:18.200]  an ipod touch or
[56:18.600 --> 56:23.480]  You know the the the the ipod touch that an awful lot of kids have is a two or three year old iphone
[56:23.480 --> 56:25.080]  That doesn't have a sim card
[56:25.080 --> 56:29.800]  You know just to hand me down here's my you know, this was dad's iphone from two years ago
[56:29.960 --> 56:35.400]  Just take the self just take the sim card out and you've got a you know, a hand-me-down ipod touch
[56:36.040 --> 56:38.040]  Uh, yeah
[56:38.120 --> 56:42.440]  Yeah car trips that's another, you know, you know, that's it. That's exactly it
[56:42.520 --> 56:47.820]  Do you want it and and then okay. Okay, well you have to set up a wi-fi hotspot just so the kids can play nintendo
[56:48.760 --> 56:50.600]  right
[56:50.600 --> 56:52.600]  Right. It's like no, thanks
[56:52.600 --> 56:57.820]  Right. No, okay. Let's let's drain mom and dad's batteries so we can play nintendo
[56:58.120 --> 57:04.760]  And I saw something about the fact that the game has a lot of it doesn't seem to run on a lot of jail bricks
[57:05.160 --> 57:11.000]  uh, it seems which only makes me think that nintendo is specifically looking for signs of
[57:11.560 --> 57:14.120]  Common jail breaks and is refusing to run
[57:15.560 --> 57:19.100]  How are they gonna do that? That's actually a hard thing to do in a sandbox
[57:19.100 --> 57:23.340]  You the uh, apple might have looked the other way
[57:24.380 --> 57:26.540]  I wonder some of these things. I don't know
[57:27.500 --> 57:30.380]  And I don't want to I don't you know, not knowing how it works or anything
[57:30.460 --> 57:32.460]  But my that would be my first reaction. It's like
[57:34.780 --> 57:37.100]  Maybe there's there's my other question. My other question is
[57:37.900 --> 57:44.620]  It's it is ios exclusive right now. It is apparently coming to android eventually. How long do you think until it comes out on android?
[57:45.420 --> 57:46.700]  and
[57:46.700 --> 57:53.820]  Google will probably want to use it like apple did as a way to to promote a new software release or something like that. Um,
[57:54.620 --> 57:56.620]  I could see it happening at the next io
[57:57.260 --> 58:04.140]  Or something, you know, just like it played well at the iphone 7 launch. It'll play well at some google launch
[58:04.620 --> 58:06.620]  So I think that that would be your answer
[58:06.940 --> 58:10.140]  So maybe like six months, I don't know but is it old news in six months? I don't know
[58:10.140 --> 58:16.140]  Yeah, who knows? I mean, it's the the half-life for games these days is pretty uh,
[58:17.260 --> 58:22.960]  Pretty insane. It's it's like, you know pokemon go right middle of summer. It was just everywhere
[58:23.660 --> 58:26.780]  In fact, you know, we had a deck down at the beach where you know, I go every day
[58:26.860 --> 58:33.280]  It's like there's there was one tree that everybody'd be standing under because it had shade and pokemon characters
[58:34.620 --> 58:38.620]  And it got to be kind of funny. It's like everybody walked by. Oh, yeah, that's the pokemon spot, you know
[58:38.620 --> 58:41.820]  And and you you know, you talk to people there. Oh, yeah, i'm waiting for the you know
[58:42.060 --> 58:46.940]  You know the gym or whatever it is and oh my god. I saw a thing on I saw a thing on twitter
[58:47.180 --> 58:50.940]  I wish I had had it but it was the gist of it was somebody was like, oh my god
[58:51.020 --> 58:53.580]  I can't believe they had to put this sign up. Somebody was in like a museum
[58:54.620 --> 58:59.500]  Or something and it was like a part where they were showing like, uh, something really grave and serious
[58:59.500 --> 59:02.220]  it was like relics from uh, I don't know like a
[59:03.400 --> 59:07.900]  Concentration camp or something like that, you know something really really grave and serious, you know
[59:07.900 --> 59:09.900]  like here's a bunch of artifacts from some kind of
[59:10.460 --> 59:16.380]  Uh internment camp or I don't think it was the holocaust but something like that though where like a bunch of people were were you know?
[59:16.860 --> 59:17.820]  political
[59:17.820 --> 59:19.820]  You know prisoners and and people died
[59:20.380 --> 59:22.860]  And it went on a long time and and there was a sign up that said
[59:23.500 --> 59:25.500]  Please no pokemon go
[59:25.500 --> 59:30.540]  Right like because you can only imagine like a sign like that doesn't go up unless people were doing it
[59:31.020 --> 59:34.380]  Yeah, you know like somehow they're really yeah, they're reacting to something
[59:34.380 --> 59:38.540]  Yeah, right. Well, I you know, I thought the you know what the in it in the middle of summer
[59:38.540 --> 59:42.860]  I was my one of the thoughts I had was like what happens when it gets cold, right?
[59:42.860 --> 59:46.700]  All these people going out hunting for pokemon. What what the hell are they gonna do when it's you know
[59:46.700 --> 59:51.660]  raining or snowing or you know middle of a hurricane or whatever and it's like
[59:53.100 --> 59:54.940]  you know so that they launched that in a
[59:55.980 --> 59:57.980]  really good time and
[59:58.060 --> 01:00:03.340]  You know, maybe they had the expectation that it's gonna have six great months and then
[01:00:03.340 --> 01:00:04.780]  Who knows?
[01:00:04.780 --> 01:00:07.820]  I think we're in the who knows right now, you know, it's like, you know, maybe
[01:00:08.380 --> 01:00:11.820]  You know mario on ios is going to be the same way
[01:00:12.620 --> 01:00:16.380]  I suspect or not. It's there's a lot to be said for that brand
[01:00:17.580 --> 01:00:21.420]  Same is true with pokemon there. You know, it's a huge brand a lot of uh
[01:00:22.460 --> 01:00:28.300]  Nostalgia in that brand. I mean that's you know, the fact that you were, you know talking about you know, all your past
[01:00:28.300 --> 01:00:33.760]  Consoles and the games you played. I mean, that's it's it's nostalgia is a powerful thing and
[01:00:34.560 --> 01:00:36.400]  you know, that's
[01:00:36.400 --> 01:00:37.920]  and it it's
[01:00:37.920 --> 01:00:39.920]  it's interesting too that that that
[01:00:40.560 --> 01:00:42.560]  mario is is
[01:00:42.640 --> 01:00:49.280]  Is nostalgia that's getting passed on right? There's there's a there's a generation of kids now who are going to grow up and
[01:00:50.320 --> 01:00:55.440]  their first encounter with mario is going to be you know on their their iphone or their ipad or their
[01:00:55.440 --> 01:01:02.000]  Ipod touch, you know, that's that's their beginning and where's it gonna go from here. Uh, who knows?
[01:01:02.800 --> 01:01:08.480]  Yeah, the comparison I think is you know, and it's it's obvious one that a thousand people have made before
[01:01:09.280 --> 01:01:14.320]  Is to mickey mouse and the donald duck and you know the whole gang of characters
[01:01:14.960 --> 01:01:21.300]  That is you know, so old that they disney literally has to keep petitioning the us federal government to keep extending
[01:01:21.300 --> 01:01:25.300]  the copyright, uh expiration date, uh
[01:01:26.020 --> 01:01:32.340]  Because they're sold that they would have already passed into the public domain by now and yet are completely relevant and popular
[01:01:32.980 --> 01:01:35.540]  And and and a good source of revenue
[01:01:36.180 --> 01:01:38.180]  right well
[01:01:38.180 --> 01:01:41.060]  Yeah, I mean that but they're usually popular for a reason, right?
[01:01:41.300 --> 01:01:46.660]  Well, and one reason one reason why that they've remained popular is that the even under walt disney
[01:01:46.660 --> 01:01:50.740]  I think it started with walt disney. I think it started with walt disney. I think it started with walt disney
[01:01:50.740 --> 01:01:53.700]  I think it started with walt was don't be afraid to move them into new
[01:01:54.580 --> 01:01:58.580]  Media just keep keep going up with technology. Don't don't
[01:01:59.140 --> 01:02:02.100]  Don't say well mickey is a movie star. So he's never going to be on tv
[01:02:02.260 --> 01:02:06.180]  No, we're going to have a tv show and and you know get everybody to watch it
[01:02:06.260 --> 01:02:08.260]  I mean, it's one of my favorite stories and it's one of the
[01:02:08.660 --> 01:02:14.500]  best comparisons between walt disney and steve jobs that i've ever seen was that he was so willing to let go of the past
[01:02:14.740 --> 01:02:19.300]  And always hungry for the future which was the it goes against human nature
[01:02:19.300 --> 01:02:21.300]  I mean it even ties back to
[01:02:21.300 --> 01:02:28.100]  our discussion on trump and those tech leaders and trump seeing his job as president as protecting the current top companies
[01:02:28.660 --> 01:02:30.660]  As opposed to just keeping it fair and letting
[01:02:30.980 --> 01:02:35.700]  The revolution happen, you know walt was you know in the 50s when tv started to become a thing
[01:02:36.340 --> 01:02:42.980]  Uh, the movie studios were totally disdainful of television and saw it as a lesser medium. I mean we saw that until
[01:02:44.100 --> 01:02:47.140]  really up until just a handful of years ago where
[01:02:47.140 --> 01:02:52.820]  Being an actor and in the movies was is was seen as way more serious than being an actor in tv
[01:02:52.900 --> 01:02:56.180]  it really took until the last handful of years and shows like
[01:02:57.220 --> 01:03:01.300]  The sopranos and madmen and westworld where people and game of thrones
[01:03:01.700 --> 01:03:06.500]  Where people see tv as being as good or even better than movies. Yeah. Yeah walt disney
[01:03:06.900 --> 01:03:12.900]  Unlike all the other hollywood studios the other holly the way that hollywood attacked the tv was by and part of it is cool
[01:03:12.900 --> 01:03:19.300]  I love cinemascope and 70 millimeter prints is that that's when tv that's when movies switched from the four three
[01:03:20.500 --> 01:03:25.700]  Aspect ratio 16 16 to 9 and the bigger the bigger cinemascope 2.1
[01:03:26.980 --> 01:03:31.780]  Widescreen and they built bigger screens that had curves and they'd start shooting in 70 millimeter
[01:03:32.100 --> 01:03:39.300]  It was okay. You want to have a little dinky rinky dink, you know 19 inch black and white display with a lot of static on it
[01:03:39.300 --> 01:03:44.500]  Well, we're gonna you know start shooting in color and we're gonna make it bigger and that's a fine response
[01:03:44.580 --> 01:03:48.660]  but it certainly didn't stop the march of progress with tv walt disney on the other hand was like
[01:03:49.300 --> 01:03:53.700]  We'll keep making movies. But hell yeah, I want I want to be I want mickey mouse on that tv
[01:03:54.020 --> 01:04:00.100]  He i've always loved that quote of his where you know, he he made movies so that he could make more movies, right?
[01:04:00.900 --> 01:04:05.780]  No, he made money so he could. Yeah, exactly. He made money on movies so that he could make more movies and that's
[01:04:05.780 --> 01:04:12.500]  Tv was just another way for him to make money to make more cool things, right? Right. And that's why I hope you know things like
[01:04:13.940 --> 01:04:18.980]  Nintendo I hope they do really well on on ios because if they do they're gonna do more
[01:04:19.700 --> 01:04:24.580]  And they'll embrace it. We don't make we don't make movies to make money. We make money to make movies. There you go
[01:04:24.660 --> 01:04:28.420]  Yes, and he met it, you know, you can roll your eyes, but he meant it, right?
[01:04:28.420 --> 01:04:36.420]  Right and and tying that in is the recent announcement that nintendo has signed a big big long-term deal with universal to get
[01:04:36.740 --> 01:04:41.620]  Uh, like nintendo world into universals theme parks around the world. Sure
[01:04:42.660 --> 01:04:49.460]  Makes sense, which I am i'm looking forward to tremendously. I I don't you've probably never been there but uh at universal in florida
[01:04:49.460 --> 01:04:54.580]  They have a big I don't know. I gotta be billion dollar deal with uh, the harry potter franchise, right?
[01:04:54.580 --> 01:05:00.520]  I've seen pictures of it. I've never been there. But yeah, it's and it looks great. I mean, yeah, we love nostalgia
[01:05:02.660 --> 01:05:04.660]  Were you a madman fan
[01:05:05.620 --> 01:05:09.540]  A whatever wants to show mad madman. Oh madman. Yeah, you ever watch it. Yeah
[01:05:10.900 --> 01:05:14.180]  Yeah, oh right, of course. Yeah don draper and that's
[01:05:15.380 --> 01:05:17.380]  That's probably where I got that from
[01:05:17.380 --> 01:05:25.960]  Nostalgia, it's delicate but potent. Yeah, teddy told me that in greek nostalgia literally means the pain from an old wound
[01:05:26.680 --> 01:05:28.360]  It's a twinge in your heart
[01:05:28.360 --> 01:05:29.880]  for more
[01:05:29.880 --> 01:05:31.880]  More powerful than memory alone
[01:05:33.240 --> 01:05:35.560]  That's nostalgia. Yep, that's good writing
[01:05:36.600 --> 01:05:44.120]  Yeah, that's the uh, the one with the the kodak, uh slide. Yep. It's really it's the it's it was like the first season
[01:05:44.120 --> 01:05:47.960]  But it's the best it's the best episode and you know, you look at that kodak thing, right?
[01:05:47.960 --> 01:05:50.840]  That's that that was revolutionary at the time, right?
[01:05:51.320 --> 01:05:57.880]  And we as you know kids growing up that was like, you know, we didn't have eye photos and swiping through, you know
[01:05:57.960 --> 01:05:59.160]  we had
[01:05:59.160 --> 01:06:01.160]  oh, let's put up the screen and
[01:06:01.560 --> 01:06:03.560]  stare at dad's slides
[01:06:03.640 --> 01:06:05.640]  Well and another example of a company
[01:06:05.880 --> 01:06:12.520]  A company that lost its way by protecting what it had rather than going to its future. They were making all their money from film
[01:06:12.520 --> 01:06:14.520]  and they were
[01:06:15.320 --> 01:06:18.840]  it's it's absolutely astounding when you look at how many of the uh,
[01:06:19.720 --> 01:06:22.780]  The foundations of digital photography started at kodak
[01:06:23.400 --> 01:06:31.240]  And the people that you know in charge at kodak patted the engineers who had all these digital camera technologies ready to go
[01:06:31.880 --> 01:06:35.640]  You know and patted them on their head and said nice work boys, but uh, we can't sell film
[01:06:36.280 --> 01:06:41.080]  Yeah, well, we're not selling any film for digital cameras. So, you know keep that in the labs
[01:06:41.080 --> 01:06:47.640]  But it was actually worked out so well exactly is that actually polaroid who came up with the first digital camera like oh, whoa
[01:06:48.200 --> 01:06:51.000]  Why didn't you guys follow through with that so much of it, right?
[01:06:51.400 --> 01:06:56.840]  Polaroid and kodak did so much work on it and never took it to market because it would have disrupted their own film business
[01:06:57.000 --> 01:06:59.000]  Well bottom line
[01:06:59.000 --> 01:07:06.680]  Xerox did the same thing, right? It's a there's a there's a line of companies that that we remember fondly because they
[01:07:06.680 --> 01:07:13.240]  Didn't do what apple does which is you know, kill your babies right preach into the choir here, but it's in 2006
[01:07:13.240 --> 01:07:18.280]  The single most important product that apple computer made was their line of ipods
[01:07:18.840 --> 01:07:23.160]  And it was very clear to anybody who looked at the iphone
[01:07:24.520 --> 01:07:28.680]  With open eyes that well once you have one of these you'll never buy an ipod again
[01:07:29.480 --> 01:07:34.120]  Yeah, except maybe the cheap no screen one that you don't care about wearing in the pool
[01:07:34.120 --> 01:07:37.560]  Right, the one that doesn't actually make the company money, right? Yeah
[01:07:38.840 --> 01:07:40.840]  The
[01:07:40.840 --> 01:07:42.760]  At the same time. I don't think we
[01:07:43.320 --> 01:07:49.880]  Appreciated how important that camera was going to be. No, we definitely no, definitely not because I mean the first camera was like
[01:07:49.960 --> 01:07:56.600]  Yeah, it's yeah, it's it's better than that that that feature phone I used to have but yeah
[01:07:57.160 --> 01:08:01.320]  But barely i'll still carry my ds i'll barely carry my dslr around, you know
[01:08:01.320 --> 01:08:06.680]  Barely carrying my dslr around, you know, yeah barely better, right? It was it was more convenient though
[01:08:06.760 --> 01:08:08.600]  that was the thing that
[01:08:08.600 --> 01:08:10.760]  It was like ah, right and you know
[01:08:11.400 --> 01:08:16.200]  Instagram and all this other stuff took off because oh shit. It's always there
[01:08:17.960 --> 01:08:23.000]  I just think that the the time nobody maybe even apple just didn't foresee how quickly
[01:08:24.680 --> 01:08:28.840]  Cameras that could fit in the space that was available theoretically just you know
[01:08:28.840 --> 01:08:34.760]  However much however much space you want to devote into a iphone size device to the camera
[01:08:35.320 --> 01:08:37.720]  Uh how good the image quality could be out of that camera?
[01:08:37.800 --> 01:08:41.480]  I just don't think anybody really foresaw what the next five years were going to be that first one
[01:08:41.640 --> 01:08:43.640]  It's ridiculous. I i've said this before on the show
[01:08:43.640 --> 01:08:47.960]  Like every every time it comes up i'm like I I don't think it even shot video and then i'm like no wait
[01:08:47.960 --> 01:08:52.360]  That's not possible and then I look it up and it's like yep. Didn't you didn't even shoot shitty video?
[01:08:53.240 --> 01:08:55.240]  Shot, you know video whatsoever
[01:08:55.240 --> 01:08:59.720]  And now you know, it doesn't even fit in the case anymore. And that's okay, right?
[01:08:59.720 --> 01:09:03.160]  you know that we got we've got the camera bulge because it's like it it's
[01:09:03.560 --> 01:09:09.080]  It's more important to have that good camera than it is to have that clean. I'm not gonna say it's okay. I accept it
[01:09:09.960 --> 01:09:18.040]  It's it's a compromise, right? It's definitely a compromise. But yes, we'd all love it if that back was completely smooth, but
[01:09:19.640 --> 01:09:21.640]  We also love the fact that it's not
[01:09:21.640 --> 01:09:25.320]  I have that's the one thing. I I don't know what to think about with the pixel
[01:09:25.320 --> 01:09:31.880]  I have a google pixel and so google pixels google's just google's way around that wasn't to have they have no bump for the camera
[01:09:32.040 --> 01:09:33.080]  on the back
[01:09:33.080 --> 01:09:33.960]  but
[01:09:33.960 --> 01:09:36.840]  The entire device is slightly wedge shaped
[01:09:37.320 --> 01:09:43.560]  So down at the bottom it's thin and that's the that's the thinness they like to talk about and up by the camera
[01:09:43.640 --> 01:09:46.600]  It's thick and there's no one point where there's a bulge
[01:09:47.560 --> 01:09:49.720]  um, and it's not super
[01:09:49.720 --> 01:09:54.600]  At a glance it's you can't even tell but in your hand it's obvious and it is sort of top-heavy
[01:09:55.480 --> 01:10:00.040]  It's I have mixed feelings about that. I do think just I don't want to go too deep on the camera bulge
[01:10:00.040 --> 01:10:05.800]  But I but now that the iphone 7 has been in my hands for what three months october november december
[01:10:05.800 --> 01:10:07.800]  Yeah, about three months. Uh
[01:10:08.200 --> 01:10:12.440]  I do what two little things that I really really like about it
[01:10:13.240 --> 01:10:15.960]  And I know people keep saying that it's the same industrial design
[01:10:15.960 --> 01:10:21.160]  It's the same industrial design, but it's only at a glance the two little things that I really like number one
[01:10:21.640 --> 01:10:25.080]  I like that. This camera bump is more of an honest camera bump
[01:10:25.720 --> 01:10:33.400]  Right. Yeah. Yeah, it's absolutely. Um, i'm 100 with you there. It's like it's it's it it looks like a bump
[01:10:34.120 --> 01:10:36.120]  Right and and it is a bump
[01:10:37.000 --> 01:10:44.680]  And they're still running those ads that show the hero shot of the shiny jet black iphone 7 plus
[01:10:44.680 --> 01:10:51.880]  Where the the entire central focus of the hero shot is the big capsule sized camera bump on the back
[01:10:52.280 --> 01:10:57.320]  Like, you know and it's perfectly lit and glossy to highlight it and I just keep thinking
[01:10:57.320 --> 01:11:04.600]  Yeah, it's the complete opposite of the original iphone 6 ads where the articles were apple's product shots are
[01:11:05.000 --> 01:11:09.880]  Hiding the bump, you know where they'd show it from the side and you had you had to hunt for it on the apple site
[01:11:09.880 --> 01:11:15.000]  In order to see it. Yeah, it was just it like they just pretending it wasn't there
[01:11:15.320 --> 01:11:22.840]  The other thing I really like and I can't explain why I like it so much is that the volume buttons are no longer in a channel
[01:11:24.120 --> 01:11:25.800]  on the side
[01:11:25.800 --> 01:11:28.040]  They're just two buttons that stick out of the side
[01:11:28.600 --> 01:11:34.440]  There used to be a little feel them. Yeah. Well, but I think I think they're easy to locate for me at least
[01:11:34.440 --> 01:11:40.600]  But there's like a there was like a little channel dug in and the gap between the two volume buttons was therefore more
[01:11:41.320 --> 01:11:44.840]  I don't know. It just felt cheap to me on the iphone six and six
[01:11:45.400 --> 01:11:47.400]  s in a way that the
[01:11:47.480 --> 01:11:51.880]  I really like the volume buttons on this better. But anyway, that's neither here nor there
[01:11:52.440 --> 01:11:54.920]  Quick quick question. Did you get the jet black? Yes
[01:11:55.800 --> 01:11:59.640]  I did. Do you love it? I love it and I I have I have I made it I
[01:12:00.200 --> 01:12:03.160]  Love being able to carry a phone without a case again
[01:12:03.160 --> 01:12:06.680]  It's just like it's sticky in my hand and that's all I wanted. I don't you know, yeah
[01:12:06.680 --> 01:12:10.600]  Yeah, I got the micro abrasions. I hold it up here to the light. It's like I can see them but
[01:12:11.560 --> 01:12:15.560]  I don't spend my time looking at the back of the phone. I spend my time holding the back of the phone
[01:12:15.800 --> 01:12:21.320]  Yeah, and it's just so clearly better there. Yeah, and I think it's awesome after three months of daily use
[01:12:21.480 --> 01:12:24.680]  I can tell I can project what it'll look like after two years
[01:12:25.320 --> 01:12:29.640]  I mean I will only use it for one year but I mean it but somebody who who a normal
[01:12:29.640 --> 01:12:34.120]  A normal smart person would do and use the phone for at least two years. It's gonna look fine
[01:12:34.280 --> 01:12:38.200]  It's not gonna look perfect, but it looks fine. And at a glance it still looks nice black and shiny
[01:12:38.760 --> 01:12:42.680]  Um, but it's the feel of it. The feel is so much greater the other thing I can happily, you know
[01:12:42.680 --> 01:12:45.880]  Going back to the weather. That was my question in september
[01:12:45.960 --> 01:12:50.200]  It was like in september when I first felt it. I was like this definitely feels better to my touch
[01:12:50.280 --> 01:12:56.040]  But september was a warm month for us. Um, and so my hands, you know had that like, you know
[01:12:56.040 --> 01:13:01.320]  It was warm hands now that it's freezing cold. I can say it still feels better even with very very cold hands
[01:13:01.480 --> 01:13:03.480]  It it's not slippery
[01:13:04.200 --> 01:13:06.200]  Total win I recommend it wholeheartedly
[01:13:07.240 --> 01:13:09.000]  Yeah, I mean it
[01:13:09.000 --> 01:13:12.200]  Like I said, it's just so nice to be carrying a phone without a case anymore
[01:13:12.520 --> 01:13:17.480]  And that's it. That was the only reason I put it, uh on my on my five and my six. Yeah
[01:13:18.120 --> 01:13:23.400]  Is I know a lot of people it felt slippery. It really felt slippery and I mean I got big hands, right?
[01:13:23.400 --> 01:13:27.880]  It's like, you know, I think you know, it shipples out on me really easy
[01:13:28.840 --> 01:13:32.620]  It's like it's for you holding a phone is like a normal person holding like a matchbook
[01:13:33.800 --> 01:13:35.800]  It's easily it just slips
[01:13:35.800 --> 01:13:38.840]  You know, yeah, the ipad mini is the right size
[01:13:41.640 --> 01:13:46.860]  Uh, let me take a break here and thank our next sponsor it is longtime friend of the show what a great company squarespace
[01:13:47.800 --> 01:13:51.880]  Start building your website today at squarespace.com enter the offer code talk show
[01:13:51.880 --> 01:13:54.680]  Once again, just talk show at checkout and you'll get 10 off
[01:13:56.040 --> 01:13:59.560]  What you mean there's they do websites. Yeah, it's great
[01:13:59.640 --> 01:14:04.920]  You just go there and they can do any type of website you want. It is absolutely amazing
[01:14:05.320 --> 01:14:10.520]  It really is more of a software platform than uh, like a hosting service. It's it's
[01:14:11.080 --> 01:14:16.520]  They do the hosting so you can go there and register your domain and they they're the ones who take care of hosting the server
[01:14:16.520 --> 01:14:22.040]  Um, but it's so much more than that. It's not it. It's not work. You shouldn't think of squarespace as a web hosting
[01:14:22.680 --> 01:14:27.240]  Provider that has wizzy wig stuff. It really is a platform for building websites
[01:14:27.800 --> 01:14:34.040]  Sites look professionally designed regardless of your skill level. No coding required. You can pick through a whole bunch of templates
[01:14:34.680 --> 01:14:38.040]  For like a blog you could host a podcast
[01:14:38.600 --> 01:14:45.560]  You could host a store you can host a portfolio if you're like an artist or or a designer
[01:14:45.560 --> 01:14:48.440]  Intuitive to easy to use and easy to use tools
[01:14:48.600 --> 01:14:54.200]  But if you want to get in there and modify the code you can do that, too
[01:14:54.440 --> 01:14:56.600]  There's like a I wouldn't even call it an escape hatch
[01:14:56.600 --> 01:14:59.000]  but you can get out of the wizzy wig mode and
[01:14:59.320 --> 01:15:04.120]  Inject your own code if you want if you're if that's something you can do you can definitely do it
[01:15:05.320 --> 01:15:07.720]  And if you sign up for a year you get a free domain name
[01:15:09.160 --> 01:15:12.840]  Is this is the easiest and best way
[01:15:12.840 --> 01:15:16.840]  The easiest and best way to get a website off the ground
[01:15:17.240 --> 01:15:23.000]  One of the all other ways that squarespace is a great service for the sort of people who listen to this show
[01:15:23.560 --> 01:15:26.200]  Is if you have somebody else in your life
[01:15:26.920 --> 01:15:31.000]  Like let's say like a school maybe you're a parent you're involved with the school
[01:15:31.400 --> 01:15:37.720]  Or a church or at some other community group and they need a website and you're sort of the technically minded person
[01:15:37.720 --> 01:15:39.720]  Who's involved with the group or whatever?
[01:15:39.720 --> 01:15:47.020]  So squarespace is a great way to get somebody like that to get them a site at a low price
[01:15:48.220 --> 01:15:54.220]  On a monthly basis and have it in a way where once you've got this for them and you can hand it over
[01:15:54.460 --> 01:16:00.380]  You don't ever get your phone never rings with we need to update this. We need to change this it can all just happen
[01:16:01.180 --> 01:16:05.900]  By the people who are involved you you can just wash your hands of it and they'll thank you so much because they've got this
[01:16:05.900 --> 01:16:07.900]  website that they love
[01:16:07.900 --> 01:16:14.140]  It's a really really great thing to keep in your mind for anybody else any other organization in your life that needs a website
[01:16:14.140 --> 01:16:16.140]  So you can get a free trial
[01:16:16.380 --> 01:16:18.720]  And get your site off the ground and see what it looks like at squarespace.com
[01:16:19.340 --> 01:16:24.140]  And when you decide to sign up and start paying just remember that offer code talk show and you get 10%
[01:16:24.620 --> 01:16:27.980]  Off your first purchase squarespace i've got a question for you
[01:16:28.860 --> 01:16:35.260]  About you can ask me anything craig could could they make daring fireball a uh, uh responsive web design
[01:16:35.260 --> 01:16:37.260]  Uh
[01:16:37.980 --> 01:16:43.740]  Well, I could make during fireball a responsive website I do think all the squarespace's default templates are yeah
[01:16:43.820 --> 01:16:45.020]  responsive
[01:16:45.020 --> 01:16:50.300]  I bring that up because that's an important thing these days and I know I know and that's a cheap shot
[01:16:50.380 --> 01:16:52.700]  But no it's not it's overdue. It's overdue by years
[01:16:53.260 --> 01:16:59.260]  And it's it's it the fact that it's overdue by years is that only contributes to the inertia of of not updating it
[01:16:59.820 --> 01:17:03.260]  Uh part of it's your fault really as much as anybody. Oh, yeah, i'm sure
[01:17:03.260 --> 01:17:05.260]  because back in
[01:17:05.640 --> 01:17:07.500]  2007
[01:17:07.500 --> 01:17:10.860]  Uh when oh, right. Yeah. Yeah. Yeah
[01:17:11.580 --> 01:17:15.420]  You gave me the meta tag that made daring fireball
