[00:00.000 --> 00:03.000]  You know, I can't believe I missed the holiday party again.
[01:22:50.000 --> 01:22:57.000]  And I remember seeing all the metro stuff and thinking, you know, with the original surface and thinking, damn, that is really good.
[01:22:57.000 --> 01:22:59.000]  Here comes Microsoft. You know, everybody watch out.
[01:22:59.000 --> 01:23:09.000]  And then they did that moment where they're like, and if you want to run Office instead of showing what I expected to see, which was like a demo of a touch based Office, like Office or iPad is today.
[01:23:09.000 --> 01:23:17.000]  And they were like, boom, now you're in the Windows desktop and you plug in a mouse and a keyboard and you have a PC.
[01:23:17.000 --> 01:23:18.000]  And I thought, no, no, no, no, no.
[01:23:18.000 --> 01:23:20.000]  I remember, you know, I wrote a piece.
[01:23:20.000 --> 01:23:21.000]  You wrote a piece about it.
[01:23:21.000 --> 01:23:22.000]  We were talking about it.
[01:23:22.000 --> 01:23:24.000]  And it's like, no, no, you're so close.
[01:23:24.000 --> 01:23:35.000]  And I still believe, like, the right thing to do was for Microsoft to say, we have taken all our knowledge of Windows and we have built a touch based operating system that will, you know, it's related.
[01:23:35.000 --> 01:23:38.000]  And if Steve Ballmer wants to call it Windows something, we'll call it that.
[01:23:38.000 --> 01:23:39.000]  But it's different.
[01:23:39.000 --> 01:23:46.000]  And the Windows RT was like that, but it was like already compromised and half-hearted, like they had already kind of sold it out.
[01:23:46.000 --> 01:23:56.000]  That all said, given the strength of Apple and Google in mobile operating systems and what has happened with all of Microsoft's attempts to make just a mobile operating system,
[01:23:56.000 --> 01:24:04.000]  I'm not really convinced now that even if they had done what I think would have been the best product, that anybody would have bought it.
[01:24:04.000 --> 01:24:12.000]  Because they would have been selling, they couldn't have leveraged any of their or much of their strength, which was Windows, to get people on board.
[01:24:12.000 --> 01:24:15.000]  So they'd be starting from scratch like they did with Windows Phone.
[01:24:15.000 --> 01:24:26.000]  And so, you know, I think it would have been a way better product, but I feel like by the time they got to Metro and making that demo, the ship had kind of sailed already.
[01:24:26.000 --> 01:24:28.000]  Which is too bad because it was cool.
[01:24:28.000 --> 01:24:37.000]  Yeah, I think it was the right thing to do from a design perspective, but it was not going to work from a market perspective.
[01:24:37.000 --> 01:24:39.000]  It just wasn't going to gain traction.
[01:24:39.000 --> 01:24:50.000]  I don't know that there's anything they could have done to make Metro better, just better in terms of if we had done a better job designing it, if we'd done a better job making the initial set of apps, it would have succeeded.
[01:24:50.000 --> 01:24:54.000]  I don't think it failed because it wasn't good enough.
[01:24:54.000 --> 01:24:57.000]  I think it failed for other reasons.
[01:24:57.000 --> 01:24:59.000]  Yeah, yeah.
[01:24:59.000 --> 01:25:06.000]  And it's tough because you look at Microsoft and, you know, Microsoft's ambition was that of a dominant operating system vendor.
[01:25:06.000 --> 01:25:16.000]  But their position was that of a newcomer, essentially, because, you know, Android and iOS gobbled that market up very quickly.
[01:25:16.000 --> 01:25:19.000]  And they were left kind of with not a whole lot.
[01:25:19.000 --> 01:25:25.000]  Like they were there in the Blackberry camp down and also receiving votes were these people with five percent of the market.
[01:25:25.000 --> 01:25:26.000]  And that's tough.
[01:25:26.000 --> 01:25:28.000]  That's a tough position to be in.
[01:25:28.000 --> 01:25:36.000]  I don't, you know, I love a lot of what Microsoft's doing now, but it's still a tough position to be in because they do need to be Windows and try to innovate.
[01:25:36.000 --> 01:25:51.000]  And, you know, I know a lot of people, especially creative people, people who use pen input all the time on their Mac with a tablet and all that, people who are really kind of going ape over the surface studio.
[01:25:51.000 --> 01:25:54.000]  And I'm not one of those people.
[01:25:54.000 --> 01:25:56.000]  So it didn't really thrill me.
[01:25:56.000 --> 01:26:04.000]  And in fact, when I looked at it, I thought I would much I think I would much rather have a desktop iPad.
[01:26:04.000 --> 01:26:05.000]  But that's me.
[01:26:05.000 --> 01:26:07.000]  I will say this.
[01:26:07.000 --> 01:26:16.000]  If you draw for a living, I don't know if you draw comics, if you are an architect or something like that, I can totally see how the tablet is a device for you.
[01:26:16.000 --> 01:26:24.000]  But I don't I don't see any reason to like that device if you're not if you're not someone who makes a living with a pen in your hand.
[01:26:24.000 --> 01:26:30.000]  The funny thing and then there's this is part of the people coming back to people being grumpy with Apple about various things.
[01:26:30.000 --> 01:26:42.000]  It's like one of the things I've seen, it's like, yeah, if you're a cartoonist or a comic book artist or anybody who is who is using these certain kind of inputs, there is going to be a class of user for whom the surface studio is the perfect computer.
[01:26:42.000 --> 01:26:43.000]  And you know what?
[01:26:43.000 --> 01:26:54.000]  A lot of those people are going to be loyal Mac users and they're going to they're going to feel torn and they're going to feel like Apple has left, let them down a little bit because Apple isn't providing them with that same kind of product.
[01:26:54.000 --> 01:26:57.000]  And all of those feelings are valid.
[01:26:57.000 --> 01:27:01.000]  But I would also say it's also valid for Apple to say we're never going to make a product like that.
[01:27:01.000 --> 01:27:04.000]  Like that is not how big how big a market is that?
[01:27:04.000 --> 01:27:07.000]  How many how many surface studios are going to sell?
[01:27:07.000 --> 01:27:07.000]  Right.
[01:27:07.000 --> 01:27:11.000]  I mean, it's a cool product that will be perfect for a very specific group of people.
[01:27:11.000 --> 01:27:16.000]  And they should love it because, you know, because it's it's made for them and it's brilliant for them.
[01:27:16.000 --> 01:27:22.000]  But I'm not sure that I can see the logic of Apple like making their next iMac like a surface studio.
[01:27:22.000 --> 01:27:23.000]  It just doesn't make sense to me.
[01:27:23.000 --> 01:27:33.000]  I could see not in the very near future, not within the next handful of years, but I could see with it in 10 years, I could see Apple having a 30 inch iOS device.
[01:27:33.000 --> 01:27:34.000]  Oh, I agree.
[01:27:34.000 --> 01:27:42.000]  I mean, that's that's the at some point I was talking to somebody about it and that's what I said is it's way more likely that Apple makes a giant iPad.
[01:27:42.000 --> 01:27:45.000]  Then they make a touch screen Mac on your desk.
[01:27:45.000 --> 01:27:46.000]  Way more likely.
[01:27:46.000 --> 01:27:47.000]  Way more likely.
[01:27:47.000 --> 01:27:55.000]  I had so much more likely that, you know, says the guy says the guy who thought Hillary Clinton was locked to win.
[01:27:55.000 --> 01:27:57.000]  Yeah, that's right.
[01:27:57.000 --> 01:28:06.000]  That's right. Are you the guy from Princeton who said it was a 99 percent or Nate Silver who said it was, you know, two to one odds?
[01:28:06.000 --> 01:28:08.000]  Because that makes the difference there.
[01:28:08.000 --> 01:28:16.000]  Oh, I woke up loving that guy from Princeton and I woke up the next day wanting to have a talk with him.
[01:28:16.000 --> 01:28:21.000]  He wrote a blog post and it's just kind of hilarious because it's like, dude, you said greater than 99 percent probability.
[01:28:21.000 --> 01:28:24.000]  I don't think you know how probability works like that was and that was Nate Silver.
[01:28:24.000 --> 01:28:28.000]  People were really ragging on Nate Silver about it, not to get too much into the election, but it's like Nate Silver all along.
[01:28:28.000 --> 01:28:32.000]  He got crap from so many people saying Donald Trump had a chance.
[01:28:32.000 --> 01:28:37.000]  He's like, look, if we miss our numbers up, then she's going to have a she's going to have a sweep.
[01:28:37.000 --> 01:28:45.000]  But if we miss the if the polls are all off 2 percent down, which like by less than they were off for Obama Romney, which was like off by 3 percent.
[01:28:45.000 --> 01:28:50.000]  If they're off in Trump's favor by 2 percent, he's going to win in the electoral college.
[01:28:50.000 --> 01:28:55.000]  Like he said that days before the election. They were off by 2 percent.
[01:28:55.000 --> 01:28:59.000]  Yeah. So it was within that cone of a problem.
[01:28:59.000 --> 01:29:07.000]  The final polls nationwide had her up 3 percent and she wound up winning the popular vote by 1 percent, which is not please don't email me.
[01:29:07.000 --> 01:29:10.000]  I know I'm not arguing. That means she should be president. I know the rules.
[01:29:10.000 --> 01:29:16.000]  The idea, though, is that if a candidate, especially a Democrat, only wins because of the Electoral College,
[01:29:16.000 --> 01:29:25.000]  only wins the popular vote by 1 percent, that there is a very high probability that the Republican candidate will win the Electoral College and that is exactly will happen.
[01:29:25.000 --> 01:29:32.000]  Yes. And this year, in 2012, Silver said that that it was actually in Obama's favor the way the states were stacking up.
[01:29:32.000 --> 01:29:37.000]  He could have lost the popular vote by half a percent or something and he would have won the electoral.
[01:29:37.000 --> 01:29:43.000]  But for this election, the way it's stacked up, that that and they factored in like four weeks before you can go back and look,
[01:29:43.000 --> 01:29:49.000]  they had like an 8, 10, 12 percent chance that Trump would lose the popular vote and win the Electoral College.
[01:29:49.000 --> 01:29:53.000]  And so, like, you know, probabilities are hard. It's hard for people to understand them.
[01:29:53.000 --> 01:29:56.000]  The New York Times had that field goal the whole time.
[01:29:56.000 --> 01:30:01.000]  That was one of my thoughts on election night was like, I guess you missed the field goal.
[01:30:01.000 --> 01:30:08.000]  It's a 30 any NFL fan when they say her chances are like making a 38 yard yard field goal in the NFL.
[01:30:08.000 --> 01:30:12.000]  It's like, you know what? People miss it. 38 yard field goals all the time. Ask Buffalo Bills fans.
[01:30:12.000 --> 01:30:16.000]  Yeah, yeah, it happened. Let me take a break here and thank our next sponsor.
[01:30:16.000 --> 01:30:24.000]  It is one of our best friends of the show. It's Harry's. Harry's makes shaving products.
[01:30:24.000 --> 01:30:28.000]  They make them themselves. They're terrific. Big razor companies.
[01:30:28.000 --> 01:30:32.000]  I'm not going to name names. I'm not going to name the Gillette chick.
[01:30:32.000 --> 01:30:38.000]  They have this annoying habit of putting out new models, you know, the Mach seven, whatever the hell they call the new thing.
[01:30:38.000 --> 01:30:43.000]  And what they do every time they put out a new model is they raise their already high prices.
[01:30:43.000 --> 01:30:48.000]  Unlike those guys, Harry's doesn't want to upcharged. They're going for low prices.
[01:30:48.000 --> 01:30:50.000]  That's why they made their razors even better.
[01:30:50.000 --> 01:30:58.000]  They have just upgraded their whole line of razors and handles and they're keeping the prices exactly the same.
[01:30:58.000 --> 01:31:01.000]  They're not just putting in a new line to make you feel like, well, now I spend more to get more.
[01:31:01.000 --> 01:31:08.000]  Now you pay the same prices that they already had, which were already lower than the national big brands.
[01:31:08.000 --> 01:31:16.000]  And they've improved everything. There are five blade razors now include softer flex hinge for a more comfortable glide.
[01:31:16.000 --> 01:31:24.000]  They now include a trimmer blade for hard to reach places, which I think for most men at least is like that little area right under your nose.
[01:31:24.000 --> 01:31:29.000]  A lubricating strip and a textured handle for more control when it's wet.
[01:31:29.000 --> 01:31:33.000]  They sent me one and I have to say, I love my old one. I've had it for years.
[01:31:33.000 --> 01:31:39.000]  I mean, I've had it since Harry started sponsoring my show, which was like, I think around 20 years ago, it feels like.
[01:31:39.000 --> 01:31:44.000]  And when I put the old one away, here's the thing. It still looks brand new, which is bizarre.
[01:31:44.000 --> 01:31:49.000]  Their stuff is built to last. But the new one, the textured handle, it's clearly better.
[01:31:49.000 --> 01:31:51.000]  Instant upgrade. No problem.
[01:31:51.000 --> 01:32:00.000]  And it's still just two bucks per blade compared to four dollars or more that you'll pay at the drugstore for brands like Gillette.
[01:32:00.000 --> 01:32:08.000]  They own their own factory in Germany where they make blades. They don't just buy like cut rate blades on some kind of open market and then just slap a Harry's label on them.
[01:32:08.000 --> 01:32:18.000]  They have their own razor blade factory in Germany where they make these blades and then they can keep the prices low because they sell them direct to you.
[01:32:18.000 --> 01:32:22.000]  Harry's is so confident in the quality of their blades.
[01:32:22.000 --> 01:32:31.000]  They'll send you their popular free trial set, which comes with a razor five blade cartridge and shaving gel.
[01:32:31.000 --> 01:32:37.000]  It's free when you sign up for a shave plan. All you do is pay shipping.
[01:32:37.000 --> 01:32:51.000]  Plus, there's a special offer for fans of the talk show. Get a bottle of Harry's post shave bomb added to your order for free when you visit Harry's dot com and use the code talk show.
[01:32:51.000 --> 01:32:59.000]  No, the just talk show at checkout. You will get a free bottle of their post shave bomb. It's good stuff. Smells good. Feels good. I've got it.
[01:32:59.000 --> 01:33:11.000]  It's really, really nice stuff. So go to Harry's dot com right now and use talk show at checkout to claim your free trial set and post shave bomb, which is better than the deal you get from most other podcasts.
[01:33:11.000 --> 01:33:18.000]  So remember that that's Harry's dot com code talk show.
[01:33:18.000 --> 01:33:29.000]  You talked about the control strip before we move on to other things, but do you remember? I mean, this is the stupidest question I'm ever going to ask. Do you remember the control strip classic Mac OS?
[01:33:29.000 --> 01:33:40.000]  Do I remember the control strip? Yeah, I actually booted up a, uh, an emulator the other day to look at it to just remind myself. But God, I had that on my power book.
[01:33:40.000 --> 01:33:48.000]  I don't know if you remember, like CPU Connectix power book utilities, which, like, added items to the control strip. Oh, I loved it. Yes. Yeah, totally.
[01:33:48.000 --> 01:33:54.000]  I mean, that was that was that was like the doc of its day to put it in context to people who are modern Mac users.
[01:33:54.000 --> 01:34:00.000]  But to me, it was better. It was one of the things I mean, famously or maybe not famously because I was maybe more obscure.
[01:34:00.000 --> 01:34:08.000]  But the first like three, four years at Daring Fireball is mostly me bitching about Mac OS 10 in the ways that the interface is not as good as the classic Mac OS.
[01:34:08.000 --> 01:34:22.000]  And control strip is one of those things where it was so perfectly Mac like every pixel of it was perfectly of the way that things were supposed to look in that OS and just everything.
[01:34:22.000 --> 01:34:34.000]  The close button, the little the little zipper thing that you would just tap to make it expand and contract that just everything about it was so nice and it was so elegant.
[01:34:34.000 --> 01:34:42.000]  And it felt so right for the Mac system wide that you just have this little thing and then you eventually you could drag it around to any corner that have to be in a corner.
[01:34:42.000 --> 01:34:48.000]  I think it had to be in a corner, right? No, it could be it could be anywhere on either side, anywhere along the left or right.
[01:34:48.000 --> 01:34:57.000]  And you'd zip it open and you'd get all these little icons and they opened it up to third parties and third parties did some really useful stuff.
[01:34:57.000 --> 01:35:07.000]  And like the Mac equivalent Mac OS 10 equivalent of it is all these little turd icons in the top right of our menu bar toolbar or the menu bar in the menu bar.
[01:35:07.000 --> 01:35:21.000]  We've still got them all those in the old Mac OS that those would all be control strip items and your menu bar would only have menus and then anything else would be in a control strip, which was really nice.
[01:35:21.000 --> 01:35:33.000]  It bothers me to no end 15 years later that we had something so elegant as the control strip and now we've put all these turds in our menu bars.
[01:35:33.000 --> 01:35:42.000]  I wonder if bartender, does bartender let you put their bar anywhere? I wonder about that.
[01:35:42.000 --> 01:35:47.000]  Because bartender is kind of like that where you can actually pull things out of the menu bar and put them in the little bartender bar.
[01:35:47.000 --> 01:35:52.000]  And I wonder if you can, I think you can move it around.
[01:35:52.000 --> 01:36:00.000]  Hmm, I should look at that. I looked at bartender, I remember looking at it years ago and for some reason rejected it, but maybe I should take another look.
[01:36:00.000 --> 01:36:06.000]  Yeah, I don't know. It's kind of hacky, although it's got some things going for it.
[01:36:06.000 --> 01:36:12.000]  I use it to clean up my menu bar because there's some items that I don't need to see most of the time, but I occasionally need to get to it.
[01:36:12.000 --> 01:36:22.000]  It's in the ballpark, right? And the idea there is, could you imagine pulling all of the stuff off the menu bar and putting it in this little bar that you dock somewhere else or you pop up somewhere else?
[01:36:22.000 --> 01:36:35.000]  And yeah, we just, I think the answer is screen real estate is that the control strip was designed to be very small when collapsed and then you'd pop it open to get to the UI and it floated above everything.
[01:36:35.000 --> 01:36:43.000]  And then you'd turn off Apple talk or do whatever you need to do or connect via PPP to the internet and dial in with your modem.
[01:36:43.000 --> 01:36:49.000]  And then you snap it closed and it just is this little tiny thing in the corner and then you're done.
[01:36:49.000 --> 01:36:53.000]  And now we've got these huge monitors and they just littered with menu bar items on the top.
[01:36:53.000 --> 01:37:00.000]  But yeah, control strip was great. It was an unsung hero of the sort of latter day classic Mac OS.
[01:37:00.000 --> 01:37:08.000]  Yeah, it really was. And I'm so, I think it started on laptops too. And that was so popular. They, they brought it to the desktop, to every computer, even though it started on PowerBooks.
[01:37:08.000 --> 01:37:20.000]  I haven't, I wish that I'd asked while I was talking to people from Apple, but I can't help but think that they named the new thing, the control strip, that it's not a coincidence that it's, you know, built by people who remember the old one.
[01:37:20.000 --> 01:37:25.000]  Because it's so similar in concept, the way it zips open from the side.
[01:37:25.000 --> 01:37:36.000]  I mentioned it to them. I was like, oh, that's a familiar name. And they're like, yeah, we knew, we knew, you know, some of you guys would notice that we reuse the name and you know, it's, it's, uh, it's a cute reference.
[01:37:36.000 --> 01:37:47.000]  Like, I think that's what they were going for was those in the know, you know, Apple's aware of all these things that it has the intellectual property and the trademark for, and that was a name that they had and it was doing a similar job.
[01:37:47.000 --> 01:37:48.000]  And so they used it.
[01:37:48.000 --> 01:37:52.000]  Yeah. And it just has similar character, you know, just the way that it animates.
[01:37:52.000 --> 01:37:56.000]  Ah, it's so nice.
[01:37:56.000 --> 01:38:06.000]  Anything else on the MacBook Pros? I have one, I guess, broad topic about it, but anything you want to talk about with the new MacBook Pros?
[01:38:06.000 --> 01:38:14.000]  I don't know. I mean, it's the other big thing about them. Well, I mean, we mentioned Touch Bar, we mentioned Touch ID.
[01:38:14.000 --> 01:38:24.000]  The other big thing about them is the ports and I feel sort of talked out about it cause we've been talking about it since the MacBook came out a year ago and almost two years ago now.
[01:38:24.000 --> 01:38:30.000]  And certainly in the last month since the Apple event and I'm kind of over it.
[01:38:30.000 --> 01:38:36.000]  Like it's a port transition. It stinks. Everybody knows it stinks. Everybody buys adapters.
[01:38:36.000 --> 01:38:41.000]  Uh, there's a period where everybody's got the adapters and has old hardware and then eventually it goes away.
[01:38:41.000 --> 01:38:45.000]  And I think USB-C and Thunderbolt 3 is like a good direction to go.
[01:38:45.000 --> 01:38:49.000]  And the only way you get there is by going through a transition. So here we are.
[01:38:49.000 --> 01:38:59.000]  And, you know, I don't know if, I'm kind of drained of outrage for something like that because I do think it's superior in almost every way.
[01:38:59.000 --> 01:39:08.000]  Every time I try to plug something into the back of my iMac and get the USB orientation wrong and have to flip it over and peer into the port to make sure that I'm doing it right.
[01:39:08.000 --> 01:39:13.000]  I think, well, USB-C and Thunderbolt 3 solve this. This is dumb.
[01:39:13.000 --> 01:39:20.000]  And so, you know, I get people complaining about it and they're right to complain about it.
[01:39:20.000 --> 01:39:24.000]  But at the same time, I feel like in the long run, it's going to be great.
[01:39:24.000 --> 01:39:28.000]  And I'm going to miss MagSafe. I will.
[01:39:28.000 --> 01:39:34.000]  But at the same time, I think it's also cool that you can, on the touch bar models, you can plug in your Mac on either side.
[01:39:34.000 --> 01:39:39.000]  That is great. That is so great. It's so many.
[01:39:39.000 --> 01:39:47.000]  There are so many times where it's the worst is when you're far enough away from the power where it would fit to the right, but not the left.
[01:39:47.000 --> 01:39:54.000]  It's just at the end. But then there's just other times where you just don't want to have to drape it around the outside where it just is inelegant.
[01:39:54.000 --> 01:40:05.000]  Like, I mean, one case for me as an East coaster is sometimes if you're on the Acela on the East Coast train, the Amtrak Acela,
[01:40:05.000 --> 01:40:12.000]  you can get there's some really cool seats that have a table in between them, but you're facing people on the other side.
[01:40:12.000 --> 01:40:17.000]  And the tables are relatively, as you might expect, it's not a very wide table.
[01:40:17.000 --> 01:40:26.000]  You know, you're pretty close, but you have enough space where two people back to back can, you know, put their laptops, you know, fairly, you know, easily.
[01:40:26.000 --> 01:40:38.000]  But if you want to stretch the power around the other side, it's, you know, you can do it, but it would be so much easier if you could always just plug it in on the side closest to the wall.
[01:40:38.000 --> 01:40:43.000]  Yeah. Yeah. So it's, again, I get people's complaints about it.
[01:40:43.000 --> 01:40:50.000]  Maybe I'm just a little jaded because I've seen it all before. It's like, yes, everybody will complain. Yes, it will be a pain. Yes, we will need adapters.
[01:40:50.000 --> 01:40:57.000]  Then we'll get over it. And then in a few years, we'll look back and think, wow, I can't believe that we used that stuff. This stuff is so much better.
[01:40:57.000 --> 01:41:10.000]  I linked to a couple of examples from like the four years ago MacBook Pros, and they, it was so uncanny how the almost word for word, you didn't even have to like edit out like, you know, one, you know, the name of the port.
[01:41:10.000 --> 01:41:16.000]  They would just be like, you know, not enough ports to thin on, you know, they're exactly word for word.
[01:41:16.000 --> 01:41:39.000]  People are saying about these. I also believe I've written about this, too, but I believe firmly that Apple's aggressive traditional, not just in this case with the going all USB C Thunderbolt three, but they've you know, that they've done this so many times in the past that it it brings about the future where being all USB C is fine.
[01:41:39.000 --> 01:41:51.000]  Sooner than if they had stuck a couple of legacy ports on on the devices if they'd put it, you know, old school USB and one old Thunderbolt or something like that.
[01:41:51.000 --> 01:42:06.000]  In I firmly I can't prove it. There is no way to prove it without the ability to fork the universe, you know, but in the alternate universe where these new MacBook Pros have like a USB port and a Thunderbolt port.
[01:42:06.000 --> 01:42:13.000]  I don't know what other ports people still wish they had, but all right SD card reader or something like that.
[01:42:13.000 --> 01:42:22.000]  I really believe that two or three years ago, it's less of a it's less of a USB C everywhere world.
[01:42:22.000 --> 01:42:35.000]  Oh, sure. I mean, I think it's only a matter of degrees because you I think you made this point on daring fireball, which is if you have legacy ports, you have no motivation to switch because you can just keep using your legacy ports.
[01:42:35.000 --> 01:42:58.000]  But once you've switched and you have no more of the old ports, then there's no longer any point in buying anything using the old ports and you move to the new ports and that and then you move on and and the longer you leave the bridge and Apple's done that in the past where they've left the bridges and they've done it where they rip the band-aid off and I this time they decided to rip the band-aid off and I'm I'm okay with it.
[01:42:58.000 --> 01:43:15.000]  I in fact the people that I I have the most sympathy for are probably like photographers and videographers who use that SD card slot and I totally get why it is a pain to have to go from having no reader to having a reader as somebody who used an 11 inch air.
[01:43:15.000 --> 01:43:38.000]  I didn't have a slide. I already I already felt that pain but I get it. I totally get that's I get that one too. I do get it and it speaks to how useful the S the built-in SD slot is to serious photographers that Apple did it ever in the first place because it's the least appley thing that they've done in a long time.
[01:43:38.000 --> 01:43:53.000]  It is it's like since they put S video on the Macintosh TV. Yeah, it's like why is this port here? Right? It has to be if it's so really it's it the SD card slot on Macs is the return of the floppy drive.
[01:43:53.000 --> 01:44:10.000]  I mean, it's way, you know, you know thousands of times faster and thousands of you know times more storage but it's you know, it's the floppy drive is least appley thing. I know so it's the fact that it's so useful is the reason they did it in the first place.
[01:44:10.000 --> 01:44:18.000]  But the fact that they removed it is the reason why you know Apple was the first company to remove the floppy drive.
[01:44:18.000 --> 01:44:31.000]  Right. Although I mean, I just bought for experimenting for like podcasting stuff. I bought an SD card that does Wi-Fi. It's not the iFi. It's a it's a Toshiba. I think one and it's pretty good.
[01:44:31.000 --> 01:44:43.000]  You know, it's again not perfect but I can see Apple's philosophy here too of saying, you know, you can get a card reader and then there are also new wireless technologies in in the SD cards in the cameras.
[01:44:43.000 --> 01:45:03.000]  You know, there are other ways to transfer this stuff or you bring a cable and attach your camera direct, you know, it's not but I get it. I like I get why why that's a bit major inconvenience because that was their, you know, their storage medium of choice and it had a reader built in now it's gone. I totally get it.
[01:45:03.000 --> 01:45:13.000]  That said, though, there's still a fair number. I realize SD is the most popular size, but there's still a fair number of people shooting on cannons that shoot the CF card.
[01:45:13.000 --> 01:45:30.000]  And there's other cameras that that use the super micro almost like SIM card size SD card, right? The super tiny one. Yeah. And then with them, you have to bring and adapt, you know, usually it's I think most people probably use there's SD standard SD card size adapters that you slide it in and then you put it in.
[01:45:30.000 --> 01:45:47.000]  So you're still, you know, it wasn't an ideal world. And I feel like the world where everything just works wirelessly and you can very, very quickly airdrop things equivalent of airdrop, whether it's actually official airdrop or not, but just, you know, plop a thing from your standalone camera to your MacBook.
[01:45:47.000 --> 01:45:53.000]  It's going to come quicker now that the SD card is not in Macintoshes.
[01:45:53.000 --> 01:46:03.000]  Yeah, I think that's true, but I think I think maybe there'll be a little longer of a pain. The pain transition will be a little different there than for like USB stuff.
[01:46:03.000 --> 01:46:14.000]  But I just think back to like, you know, the iMac throw out serial ADB and SCSI all in one throw for USB. And this is this is a little bit like that.
[01:46:14.000 --> 01:46:30.000]  I guess the last thing I want to talk about is the the people arguing that these aren't pro devices that okay, they're nice. It's nice enough, but it's not a pro device because it's not the fastest Intel mobile chipset.
[01:46:30.000 --> 01:46:45.000]  It's not the one that I don't want to get into the details, but Apple wants to use the low energy RAM and use it by wanting to use the low energy RAM. They're limited to 16 gigabytes right now.
[01:46:45.000 --> 01:46:53.000]  That's going to change soon enough. I would bet in 2017 there will be an update to the MacBook Pros that support at least 32 gigabytes of RAM.
[01:46:53.000 --> 01:47:15.000]  I don't know if it could go to 64, but it would be at least 32. But there's people who would want just to name one thing that they would rather have Apple build, at least as an option, another level of MacBook Pro that say has a better graphics card,
[01:47:15.000 --> 01:47:28.000]  higher energy RAM that would support up to 32 or more gigabytes of RAM, even if it takes more energy, and would rather have a significant hit on battery life, but a performance improvement.
[01:47:28.000 --> 01:47:36.000]  And they'll just plug it in or get less battery life. Why won't Apple build that machine and let them buy it?
[01:47:36.000 --> 01:47:56.000]  Yeah, and I get that. Although I think if you're Apple, you know what the sweet spot of your market is, and you know who's buying these things. And again, it sucks if you are the person who's in the corner of the market that is small, but you're in it, so it's super important to you.
[01:47:56.000 --> 01:48:07.000]  And Apple looks at it and goes, are we really going to solve, are we going to build one reference sort of design for the MacBook Pro, and it's going to cater to 2% of our market or 4% of our market?
[01:48:07.000 --> 01:48:16.000]  Are we really going to do that? And the customer, not everybody needs to be targeted. The customer is not always right. Not everybody needs to be targeted.
[01:48:16.000 --> 01:48:22.000]  And that stinks if you're in that area where Apple's like, look, you're just going to have to suffer because we're not going to build this product.
[01:48:22.000 --> 01:48:28.000]  We would have to make major changes in order to build this product so that it would also overlap your needs. So I get that.
[01:48:28.000 --> 01:48:37.000]  I also think, though, Apple knows about the march of time and the march of technology, and as in so many of these Apple product designs, they're kind of looking ahead.
[01:48:37.000 --> 01:48:41.000]  And maybe some of that is that they expected more from Intel than not. Maybe that's true.
[01:48:41.000 --> 01:48:43.000]  I can't help but think that's true a little. I do.
[01:48:43.000 --> 01:48:55.000]  Yeah, yeah, yeah. And I have this, you talk about next year, it's like, yeah, you'd think Apple would use its influence with Intel maybe to say, how about a 32 gig ceiling next time, right?
[01:48:55.000 --> 01:49:06.000]  Can you work on that? Because we really could use that. But in this same enclosure, with the same power profile and all of that, next year's stuff is going to be able to do way more than this year's stuff.
[01:49:06.000 --> 01:49:15.000]  And the year after that, because this model will probably be the same one that we see in terms of the shape of it and the touch bar and all of that.
[01:49:15.000 --> 01:49:20.000]  This is probably also the 2018 MacBook Pro and the 2019 MacBook Pro, honestly.
[01:49:20.000 --> 01:49:24.000]  And every year, they're going to have more capabilities fitting in this small case.
[01:49:24.000 --> 01:49:29.000]  So this is the year where it's kind of a tough ask, and next year it'll be better.
[01:49:29.000 --> 01:49:37.000]  And that, again, stinks if you're not in there now and you need a laptop now. I have no arguments for you. Yeah, that's terrible. I get it.
[01:49:37.000 --> 01:49:42.000]  Right. I think, you know, you have to think, I keep thinking about it from like a marketing perspective.
[01:49:42.000 --> 01:49:50.000]  Product marketing perspective is that Apple has three slots for MacBooks, for families of MacBooks.
[01:49:50.000 --> 01:50:01.000]  And they, you know, there are gradients that blend between them at price points, you know, where there's like $100, every $100 from like $999 up to, you know, $4,000 almost.
[01:50:01.000 --> 01:50:05.000]  You know, there's configurations that you can buy.
[01:50:05.000 --> 01:50:11.000]  But fundamentally, there's the MacBook cheap. In other words, price is your biggest concern.
[01:50:11.000 --> 01:50:15.000]  And that is the MacBook Air. And it has been for the last few years.
[01:50:15.000 --> 01:50:21.000]  The entire reason the MacBook Air is still being sold is to hit the $999 starting price point.
[01:50:21.000 --> 01:50:26.000]  Right. It's like the old plastic MacBook was back in the day before it got eclipsed by the MacBook Air.
[01:50:26.000 --> 01:50:34.000]  You know what? I forgot about this. The last time you were on the show, the last time you were on the show back in August, we were talking about MacBooks, speculating about what we're now talking about in hindsight.
[01:50:34.000 --> 01:50:39.000]  And you had said something about the MacBook Pro being the best-selling Mac.
[01:50:39.000 --> 01:50:45.000]  Yeah. And everybody said, no, no, no, it's the Air. Because the price is so good.
[01:50:45.000 --> 01:50:49.000]  Right. And me and you are thinking too much about people like us.
[01:50:49.000 --> 01:50:53.000]  And really, I heard from a couple of people who work in Apple retail stores.
[01:50:53.000 --> 01:50:59.000]  And they're like, you just cannot even believe how many people when they come in to get a new Mac.
[01:50:59.000 --> 01:51:04.000]  And they say, because dealing with them.
