[00:00.000 --> 00:02.000]  Hello there
[01:15:35.180 --> 01:15:43.340]  That is that is easier than pulling it out of your pocket. It's marginally easier but over time even marginally easier is easier and and
[01:15:43.340 --> 01:15:45.340]  easier and and
[01:15:45.660 --> 01:15:50.860]  It could be it could be um, you know, marco, uh armant linked to uh,
[01:15:51.660 --> 01:15:56.220]  Site of one of these like mock-up sites and it was the it was the only um
[01:15:57.180 --> 01:15:58.540]  round watch
[01:15:58.540 --> 01:16:02.700]  Thing that i've seen that I thought I I thought I liked and i'm not saying that apple would do it
[01:16:02.780 --> 01:16:09.340]  But the one thing that intrigued me about this site is that it was suggesting using the watch metaphor as user interaction
[01:16:09.340 --> 01:16:14.540]  And what I liked about it was the idea they had actually said it may not even be a touch screen
[01:16:14.700 --> 01:16:17.100]  That if you if you're going to have a round device
[01:16:17.340 --> 01:16:21.680]  You could use the ring kind of like the click wheel you could actually use the ring for navigation
[01:16:22.140 --> 01:16:24.140]  Perhaps you push down or tap
[01:16:24.380 --> 01:16:29.660]  And you can spin around and then you might even have like some wheels on the side. I I doubt that apple would do it
[01:16:30.140 --> 01:16:32.380]  But I thought that was kind of an interesting idea
[01:16:32.940 --> 01:16:33.900]  that
[01:16:33.900 --> 01:16:36.540]  um, I hadn't really thought of before which is
[01:16:36.540 --> 01:16:38.860]  Could could a device like this?
[01:16:39.180 --> 01:16:46.620]  Um not be driven by swipes and taps on a touch screen, but some other you know in this case it was spinning
[01:16:47.260 --> 01:16:51.100]  Essentially turning a dial turning like like sort of like the old ipod
[01:16:51.500 --> 01:16:54.780]  Um, I I thought it was really it wasn't something i'd thought of and I thought it was really interesting
[01:16:55.180 --> 01:16:57.820]  I kind of feel I think like like you do that
[01:16:57.820 --> 01:17:02.780]  They're much more likely to just kind of walk away from the traditional watch interface and not try to make a
[01:17:02.780 --> 01:17:07.340]  Try to make a a watch that looks like a watch but is actually not but instead make a new thing
[01:17:07.500 --> 01:17:11.020]  But I thought it was an interesting idea of like the other part of apple's history
[01:17:11.100 --> 01:17:17.900]  Which is this kind of circular navigation thing that I guess if tony fidel were still at apple. Maybe that would be the direction
[01:17:17.980 --> 01:17:21.580]  I don't know. I I but I wouldn't be surprised though. Like it seems
[01:17:22.700 --> 01:17:28.620]  There's a great idea in there and it may not be going back to circle, but I think the right idea is
[01:17:28.620 --> 01:17:34.140]  Just because we've gotten used to this doesn't mean the next thing is still going to be this, right?
[01:17:34.220 --> 01:17:40.060]  Right, so we got used to the command line with our apple twos and then the mac came out and there was no command line
[01:17:40.620 --> 01:17:44.540]  None. Yeah, there were no way to issue commands mind boggling the keyboard, right?
[01:17:45.180 --> 01:17:49.520]  It truly was and I know that the people who are born post macintosh
[01:17:50.220 --> 01:17:56.220]  Cannot that you just can't fathom it a computer was a thing that when you turned on you got a blinking prompt
[01:17:56.220 --> 01:18:01.340]  Yep, and you would type computery things and they could be dangerous first time. I saw the mac
[01:18:01.420 --> 01:18:03.420]  I thought how do you write programs on this thing?
[01:18:03.420 --> 01:18:06.540]  Right, somebody tried to explain to me. I was like, I don't understand how that could be
[01:18:07.420 --> 01:18:10.380]  It just it doesn't make any sense how there could be programs on this
[01:18:10.540 --> 01:18:13.660]  Well that my thought when I first saw the mac was how do you do something?
[01:18:14.300 --> 01:18:16.620]  How do you do the things you need to do that this?
[01:18:17.260 --> 01:18:22.860]  I was infatuated with the graphical user interface, but you know to me it was like a game
[01:18:22.860 --> 01:18:26.940]  It was like the the the interface was a game that let you
[01:18:27.580 --> 01:18:31.180]  Play computer and I was like, well when you need to do something else, how do you do it?
[01:18:31.580 --> 01:18:36.940]  if you don't have a if there's no way to close this I want to close this and get back to the black screen that has a
[01:18:37.820 --> 01:18:39.660]  Has a prompt. Yep
[01:18:39.660 --> 01:18:41.660]  you know and I was
[01:18:42.060 --> 01:18:43.580]  Right, and I remember thinking like oh my god
[01:18:43.580 --> 01:18:48.300]  And what how are we going to deal with those spaces on the file names when you're on the command line?
[01:18:48.300 --> 01:18:54.380]  Um, I don't think i'd ever seen a system that had backslashes at that point or if I did i'd never learned it. Um, right
[01:18:55.100 --> 01:18:59.420]  And then you know, there was none. It's a new thing and with the um
[01:19:00.860 --> 01:19:04.140]  This is actually kind of how I feel about the ipod nano by the way right now
[01:19:04.140 --> 01:19:07.820]  Which is that it is a weird product that is does feel like it's aping
[01:19:08.700 --> 01:19:10.700]  Uh, yeah badly the iphone
[01:19:10.700 --> 01:19:11.740]  Yeah
[01:19:11.740 --> 01:19:17.260]  Yeah, because it's not ios you can swipe and tap and you when you tap things happen. It's just it's not right
[01:19:17.260 --> 01:19:23.360]  It's you know, here's a here's a really great example. So a great example to me is the original ipod
[01:19:24.460 --> 01:19:30.300]  And we had handheld devices and they had like navigation and it was up and down left and right, right?
[01:19:30.460 --> 01:19:37.660]  It was joystick style or up down up down and all the music players to date used that and the problem the biggest problem was
[01:19:38.300 --> 01:19:44.060]  It had gotten to the point where it was easy to have a thousand songs and going up up up up up
[01:19:44.060 --> 01:19:51.660]  A thousand times is just no good. You can't do it and holding the button down. It's just you don't have enough control. So that wheel
[01:19:53.020 --> 01:19:58.620]  It was genius because it had speed it was you know, it was completely under control you could flick it
[01:19:59.260 --> 01:20:03.900]  And all of a sudden you had this new thing that we'd never used before but it was really useful
[01:20:04.140 --> 01:20:07.820]  And you could use it to navigate literally thousands of songs
[01:20:08.540 --> 01:20:09.660]  uh
[01:20:09.660 --> 01:20:14.940]  You know and then you know flash forward 10 years or actually it wasn't 10 years six years. Uh,
[01:20:15.500 --> 01:20:19.340]  Do you believe that? Yeah, the iphone was only six years after the ipod six years
[01:20:19.980 --> 01:20:26.540]  And you know, we all went in thinking that the iphone was going to be that gag slide of a click wheel with a phone on
[01:20:26.540 --> 01:20:27.900]  top, right
[01:20:27.900 --> 01:20:31.900]  Uh, no, so yeah, I do kind of think that I think the nano shows that like you
[01:20:32.300 --> 01:20:36.620]  Shrink the size small enough and your finger covers the screen, you know
[01:20:36.620 --> 01:20:42.540]  And it's it's a problem even on an ipad. It's always a problem that your finger covers what it is
[01:20:42.780 --> 01:20:48.540]  You're touching when you touch but if you shrink the screen small enough, you can't compensate for it, right?
[01:20:48.540 --> 01:20:53.340]  You know like on the way that the the perfect example is the way on the the standard iphone keyboard
[01:20:55.900 --> 01:20:59.420]  Do you love how I now have to refer to it is that the standard iphone keyboard
[01:20:59.900 --> 01:21:04.860]  When you type a key it shows you what you typed above your finger it flashes up
[01:21:04.860 --> 01:21:11.180]  And that's an affordance for the fact that you can't see which one you're touching because it's underneath your your thumb or your finger
[01:21:12.220 --> 01:21:18.140]  On something the size of a watch. There's no way to afford that because your thumb covers over half of it
[01:21:18.700 --> 01:21:22.940]  Exactly. So I I would not be surprised at all. Even if it has
[01:21:23.900 --> 01:21:25.900]  a very nice color
[01:21:26.620 --> 01:21:32.780]  Display that it is not a touch screen because I don't know that touch is right at all for something that size
[01:21:32.780 --> 01:21:37.340]  especially if it's small and especially if there's a you know a version that
[01:21:37.740 --> 01:21:42.380]  That women would want to wear or people with smaller wrists would want to wear at that point
[01:21:42.620 --> 01:21:46.700]  You either get these devices that are huge or you get something that's smaller and there's no
[01:21:47.180 --> 01:21:51.100]  there's no touch target left at least at least touch in the sense of
[01:21:51.740 --> 01:21:53.420]  uh tapping objects on a screen
[01:21:53.420 --> 01:21:56.780]  I mean, it's possible that you could do something with touch that is you know
[01:21:57.340 --> 01:22:01.260]  Swiping up and down on the side or something like that as a as a movement
[01:22:01.260 --> 01:22:05.500]  But it's not the same as like I am going I see a thing and i'm going to touch it with my finger
[01:22:05.580 --> 01:22:07.580]  And then it'll do something
[01:22:07.980 --> 01:22:13.020]  Below a certain size. You just can't do it and the nano is sort of there where it's almost pointless to navigate because
[01:22:13.500 --> 01:22:15.500]  You can really only touch on one
[01:22:15.420 --> 01:22:20.140]  Maybe there's a couple things but it's like what's the point think about the previous generation nano?
[01:22:20.380 --> 01:22:25.020]  The one that was turned into a watch with the tick tock. Oh, yeah and stuff like that
[01:22:25.020 --> 01:22:29.660]  Um, and which i've mentioned before on the show that if your smart watch
[01:22:30.460 --> 01:22:33.100]  Actual smart watch doesn't look better
[01:22:34.300 --> 01:22:40.460]  Than it than a previous generation ipod nano which wasn't designed to be a watch right on the tick tock
[01:22:40.700 --> 01:22:42.700]  Which was a kickstarter project
[01:22:43.180 --> 01:22:50.460]  Then you've got a serious problem because that wasn't meant to be a watch and some of these smart watches don't look as good as my
[01:22:51.180 --> 01:22:52.540]  three-year-old
[01:22:52.540 --> 01:22:55.340]  Nano on a tick tock, right?
[01:22:56.460 --> 01:23:01.900]  But I do that on that size touch screen. It's a real problem. I never know what to do
[01:23:02.380 --> 01:23:07.980]  Yeah, you got like two buttons or four buttons you can tap but it's just and the swipe area is very small
[01:23:08.540 --> 01:23:10.380]  Right, and it just it's not
[01:23:10.380 --> 01:23:15.180]  It's a nice try at unifying your product line if you're apple and saying look people are used to this so we'll do it
[01:23:15.180 --> 01:23:17.180]  but it is not
[01:23:17.260 --> 01:23:19.660]  If you were designing that in a in a vacuum
[01:23:19.660 --> 01:23:23.900]  you would not design it that way because it doesn't it doesn't fit right and so I wonder about that whether it's
[01:23:24.380 --> 01:23:26.140]  whether it's um
[01:23:26.140 --> 01:23:32.140]  something like what marco showed me the that is this it's circular and and the ring is like the click wheel or it's something that
[01:23:32.220 --> 01:23:37.500]  Is a rectangular and you're not expecting to touch on the screen, but but there's some other
[01:23:38.120 --> 01:23:41.580]  Interaction, I don't know. It's it's an interesting interesting problem
[01:23:41.580 --> 01:23:44.780]  And it will be interesting to see whether apple leans on the side of
[01:23:44.780 --> 01:23:49.340]  A new interaction or whether they try to make it feel as iphone-like as possible
[01:23:49.820 --> 01:23:54.700]  I I just can't help coming back to the idea that it what's happened is
[01:23:55.980 --> 01:23:59.100]  Everybody in the industry has gotten the ability to make these
[01:24:00.220 --> 01:24:03.340]  I'm just gonna call them iphone like devices, right?
[01:24:03.740 --> 01:24:09.500]  All right, there's and everything post pc that we've had android windows phone, whatever you want to call the os and there's you know
[01:24:09.500 --> 01:24:16.860]  I'm not saying they're all copies. I'm just saying no, they're all derivative of this idea of a touch screen and a unix-like operating system
[01:24:17.260 --> 01:24:18.380]  running on
[01:24:18.380 --> 01:24:19.900]  a real computer
[01:24:19.900 --> 01:24:21.500]  under the hood
[01:24:21.500 --> 01:24:26.540]  And uh a real operating system on top where you can put apps and stuff like that
[01:24:26.940 --> 01:24:32.460]  And we've gotten to the point where everybody can make one now that is small enough to be called a watch
[01:24:32.860 --> 01:24:37.260]  And maybe not a small watch. In fact, all of these things are kind of huge by the standard of watches
[01:24:37.260 --> 01:24:42.800]  But we can make them like dick tracy watch size, which is a remarkable achievement
[01:24:44.300 --> 01:24:47.420]  And I think that all of the enthusiasm you do see on on
[01:24:47.900 --> 01:24:52.700]  Sites that are reviewing them and giving them positive reviews, even though they seemingly have glaring
[01:24:54.200 --> 01:25:01.100]  Problems in terms of just is it actually useful and is it actually a good product? I think it's just general excitement of
[01:25:01.900 --> 01:25:03.900]  Holy crap, you can have a computer
[01:25:03.900 --> 01:25:09.340]  On your wrist. Yeah, it's a technological achievement. It really is right. I mean just you know, you and I are
[01:25:10.460 --> 01:25:15.100]  If not identically aged we're very close in age you go back to the 90s and tell
[01:25:15.820 --> 01:25:21.120]  Jason snell and john gruber that you're going to have a unix computer running on your wrist in the year 2014
[01:25:21.820 --> 01:25:25.980]  And i'm gonna i'm thinking holy shit. We're having jet cars and jet packs too, right?
[01:25:26.060 --> 01:25:29.260]  I mean that's crazy because a unix computer in you know
[01:25:30.120 --> 01:25:31.740]  1993 was
[01:25:31.740 --> 01:25:34.860]  Like a room. Yeah, it was like a refrigerator
[01:25:34.860 --> 01:25:36.380]  i'm imagining like uh
[01:25:36.380 --> 01:25:42.700]  Like uh, one of those wrist things that like space ghost had that's like the side like doubles the size of your wrist
[01:25:42.780 --> 01:25:45.100]  It's like that's what I would think. It's like well, it's going to be huge
[01:25:45.180 --> 01:25:49.580]  And why would you put that on your wrist not thinking, you know, how how could it be? These are mainframes
[01:25:49.660 --> 01:25:55.580]  These are like more computer than than a computer and you're going to have that in my in your pocket or on your wrist
[01:25:55.660 --> 01:25:57.420]  That's crazy talk
[01:25:57.420 --> 01:26:02.700]  And so just because you can build it. It's cool that you can but just because you can't doesn't mean that
[01:26:02.700 --> 01:26:05.660]  That's actually a good form factor for that and it's exact same
[01:26:06.300 --> 01:26:10.140]  As thinking the nano and the and the tick tock and the lunatic. I mean showed that right?
[01:26:10.220 --> 01:26:13.020]  It's like you could do it. It's not that good, but you could do it
[01:26:14.140 --> 01:26:20.940]  Right, and it's exact same thing of why didn't the original iphone run the mac os where you drag little windows around?
[01:26:21.020 --> 01:26:23.660]  And you have a file menu, you know a menu bar at the top
[01:26:23.660 --> 01:26:28.140]  it would have worked at some level conceptually, but it it
[01:26:28.940 --> 01:26:31.420]  Definitely would have been a you know would have been a bad idea. Yeah
[01:26:32.140 --> 01:26:35.660]  I mean we would have bought them or we would have reviewed them and it might have been some cool things you could do with
[01:26:35.660 --> 01:26:40.620]  It i'm sure they would have you know scaled the things up. It wouldn't have been like you're trying to touch a tiny little
[01:26:41.500 --> 01:26:43.500]  20 pixel thing at the top
[01:26:43.500 --> 01:26:46.060]  But it you know, it just wasn't the right interaction model
[01:26:46.060 --> 01:26:49.740]  I just can't help but think but that's where the wearables are but everybody else is
[01:26:49.740 --> 01:26:54.860]  is stuck thinking that they should make a tiny modern cell phone on your wrist and
[01:26:55.820 --> 01:26:58.620]  Nobody would want you to you don't want to you don't want a phone that small
[01:26:59.980 --> 01:27:05.180]  Right. Well, I mean, yeah, I think I think no no sane person would want a phone that small in fact
[01:27:05.180 --> 01:27:09.420]  I think that's actually a strong argument. I wrote a piece about this a while ago that the idea that um,
[01:27:09.980 --> 01:27:15.020]  I don't want I don't want something on my wrist to be a phone right like I don't I don't think it's the right place for
[01:27:15.020 --> 01:27:18.380]  A phone I I wouldn't if you could say you don't need to carry your iphone around anymore
[01:27:18.380 --> 01:27:20.540]  I'm going to strap this thing to your wrist and it's your iphone
[01:27:20.700 --> 01:27:26.620]  I don't think I would want that because it's so it would have to be so small that the way you interacted with it would be
[01:27:27.260 --> 01:27:33.100]  Difficult and you know, this is why bigger phones are more popular and the rumor is that apple's going to have larger phones
[01:27:33.100 --> 01:27:40.780]  So what goes on your wrist, you know is it it's that real estate is great, but it's different and and I don't want it to be
[01:27:41.500 --> 01:27:46.140]  The same interaction because it's not the same. It's not only in a different place in my body
[01:27:46.140 --> 01:27:49.740]  It's it's strapped to my wrist. So i've got to hold my arm in a certain way to get to it
[01:27:50.380 --> 01:27:57.260]  Which also means it's one-handed operation because I can't bend my other hand back and it's tiny so it's not
[01:27:57.820 --> 01:28:02.620]  You know, the rules don't apply even though it's convenient to say hey, it follows the same rules as your phone
[01:28:03.260 --> 01:28:07.340]  It's not the same place. So the rules should not apply. It's a different device
[01:28:08.380 --> 01:28:09.340]  Yeah
[01:28:09.340 --> 01:28:11.900]  Uh, let's come back to that idea of a big ass iphone
[01:28:11.900 --> 01:28:16.540]  But at first I want to tell you about our third sponsor and start good friends at hover
[01:28:17.180 --> 01:28:19.680]  Hover is the domain name registrar
[01:28:20.540 --> 01:28:22.380]  that doesn't suck
[01:28:22.380 --> 01:28:23.340]  and
[01:28:23.340 --> 01:28:25.340]  these guys
[01:28:25.500 --> 01:28:30.860]  I I repeat it every time but it's such a scummy industry and it's it's
[01:28:31.660 --> 01:28:37.660]  It's like going into the bad part of town. Usually when you go to a domain name registrar hover has been around forever
[01:28:37.660 --> 01:28:41.740]  They've always just been an honest company. They may not be the cheapest
[01:28:41.740 --> 01:28:46.300]  Yeah, i'm sure you could go somewhere else and register domain name for less. Uh,
[01:28:46.940 --> 01:28:50.860]  That's not what they're trying to be. They're trying to be the best and they've been in business for a long time
[01:28:52.540 --> 01:28:59.820]  And they have so many great features the best one the best thing that they have on my opinion is
[01:29:00.700 --> 01:29:04.940]  Their customer service and what they call valet transfers
[01:29:04.940 --> 01:29:08.940]  They make it easy to manage all your domains in one place
[01:29:09.420 --> 01:29:12.700]  And so let's say you've been registering domain names like a dummy
[01:29:13.180 --> 01:29:19.340]  Since the mid 90s every time you have a goofy idea for a domain name. I'm not looking at anybody in particular
[01:29:19.660 --> 01:29:25.820]  That sounds familiar to me. Yeah, it probably sounds familiar to a lot of you who are listening right and you've got them registered
[01:29:25.820 --> 01:29:30.700]  All over the place and every time they come up for renewal and you get the email anything. Oh my god
[01:29:30.700 --> 01:29:35.020]  I've had that thing since 1998, but it's still such a funny domain. I better keep it, right?
[01:29:35.020 --> 01:29:39.520]  It's only 15 bucks or whatever for a couple years day, but they're all over the place and you've got them registered
[01:29:40.220 --> 01:29:43.980]  at you know three different places and some of them you don't even like because they're
[01:29:44.220 --> 01:29:48.700]  the bad businesses and you go to the website and it's terrible what you can do is you go to hover
[01:29:49.500 --> 01:29:55.600]  and you sign up at hover and you just give them your information for the places where you have your domain names registered
[01:29:55.600 --> 01:30:01.440]  and they'll take care of everything in terms of moving them over and even if you haven't hooked up and they're in use and you
[01:30:01.440 --> 01:30:07.360]  Have it pointed to a silly, you know single-purpose website where you're making a joke for one of your friends or something like that
[01:30:08.240 --> 01:30:11.280]  It's not just moving the domain name into your name and putting it at hover
[01:30:11.440 --> 01:30:17.120]  They'll take care of everything with updating dns and getting it all pointed the right way so that everything is just seamless
[01:30:17.280 --> 01:30:20.880]  And then when the dns updates all of a sudden your domains are registered at hover
[01:30:20.880 --> 01:30:25.760]  And all of your sites just keep working and these guys that they know this like I I
[01:30:26.320 --> 01:30:30.560]  every time I have to do anything related to dns, I panic because
[01:30:31.280 --> 01:30:35.360]  It's so easy to screw up because I don't deal with it on a regular basis
[01:30:36.080 --> 01:30:39.040]  Whereas that's all hover does is deal with domain names
[01:30:39.920 --> 01:30:41.920]  amazing
[01:30:41.920 --> 01:30:48.320]  Amazing stuff and it here's the best thing you do if you can find somebody find one of your friends who has a domain name
[01:30:48.320 --> 01:30:51.600]  Somebody find one of your friends who has domains at hover
[01:30:51.920 --> 01:30:59.040]  They will tell you I they'll say you're nuts if you don't move over because it's it's that good. I have 15 domains at hover now
[01:31:00.640 --> 01:31:05.280]  I might have a problem how many of them in actual use? Oh, well if you can't read I
[01:31:05.360 --> 01:31:07.040]  I have a lot of them redirecting where you know
[01:31:07.040 --> 01:31:10.960]  You buy one and you're like, oh but I could get the.co and I could get this alternate spelling and I could have them
[01:31:10.960 --> 01:31:17.040]  All redirect and all of that and a couple that like you said are the jokes where it's like, oh, how could I not?
[01:31:17.040 --> 01:31:23.760]  We did this in the 200th episode of the incomparable a guy said that wrote in he said we hit him in the butter zone
[01:31:24.160 --> 01:31:28.720]  And we just just started laughing and we we that we went with that joke for a long time
[01:31:28.960 --> 01:31:31.360]  And I realized I could register the butter zone
[01:31:32.080 --> 01:31:34.080]  Right. So I did
[01:31:36.720 --> 01:31:41.060]  See that's what you can do now with these wacky new top level domains is instead of going to butterzone.com
[01:31:41.060 --> 01:31:47.220]  Butterzone.com now the entire domain is part of the joke and there's no superfluous non-joke part of the domain
[01:31:47.380 --> 01:31:49.060]  No, it's a hundred percent pure stupid joke
[01:31:49.060 --> 01:31:54.980]  Oh and they've got all those and that and they're totally on board that I I probably should mention that that they're you know
[01:31:54.980 --> 01:31:56.980]  with all these goofy new
[01:31:57.060 --> 01:31:59.060]  top level domains
[01:31:59.220 --> 01:32:02.660]  You can do that. Uh, you know, I think I think there's a marco coffee
[01:32:03.460 --> 01:32:06.500]  That everybody should check out probably registered through hover
[01:32:06.500 --> 01:32:11.700]  All sorts of stuff like that use this code. Here's the code for the month. It's chowder
[01:32:12.340 --> 01:32:17.300]  Ch ow der that's that's their in joke for daring fireball readers
[01:32:17.940 --> 01:32:21.620]  And go to hover.com and find out more of my thanks to hover
[01:32:25.540 --> 01:32:28.500]  So I would smoke so much smoke where there's fire
[01:32:28.660 --> 01:32:35.380]  Yep, the thing with two iPhones 4.7 and 5.5 inches. There's still a lot of people out there who are skeptical of it
[01:32:35.380 --> 01:32:38.340]  I don't know for a fact anything. Nobody tells me anything
[01:32:38.980 --> 01:32:45.540]  I'm telling you it's got to be true because somebody would have leaked don't don't expect a 5.5 inch iPhone by now
[01:32:45.540 --> 01:32:49.220]  If there wasn't one coming I agree. There's too much. It's like what we said about um,
[01:32:50.020 --> 01:32:52.100]  A couple of these topics earlier that you know, apple
[01:32:53.140 --> 01:32:58.660]  apple doesn't leak all this stuff they and they don't like that it leaks but one thing apple does do
[01:32:59.300 --> 01:33:04.340]  And and you know, you know this and I know this and certainly like the times and the journal
[01:33:04.340 --> 01:33:10.980]  Know this is apple does leak to manage expectations because they are in risk of
[01:33:11.540 --> 01:33:14.660]  Risk of being harmed if people go into an event
[01:33:15.380 --> 01:33:20.580]  Expecting things that are totally not going to happen because then they'll be disappointed. And so sometimes you will see
[01:33:21.380 --> 01:33:26.900]  These stories where it'll be like look it's they're not going to do this or or what we saw was look
[01:33:26.900 --> 01:33:31.380]  It's probably not going to be out until next year right just like don't get don't get your hopes up that it's going to ship
[01:33:31.380 --> 01:33:36.340]  Next week. It's probably not going to be out until next year. And I feel like since they haven't said that like you said
[01:33:36.340 --> 01:33:38.980]  They haven't said no. No, there's no bigger iPhone. It's not going to happen
[01:33:39.620 --> 01:33:44.180]  That it's probably going to happen because they probably the the buzz is so large
[01:33:44.580 --> 01:33:47.780]  Probably somebody would have batted it down if it was totally untrue
[01:33:48.420 --> 01:33:53.380]  Especially at this point days before yeah, like and that's why I think there's a bunch
[01:33:53.380 --> 01:33:57.140]  you know, there does seem to be a spurt of stuff coming out like
[01:33:57.140 --> 01:34:01.620]  Brian x chen it is might be the thing you're talking about. He had a piece in the new york times yesterday
[01:34:03.300 --> 01:34:05.300]  Where among other things
[01:34:05.620 --> 01:34:09.300]  He said that the new bigger iphones have a
[01:34:10.020 --> 01:34:15.620]  One-handed mode right which is the thing I made fun of on the samsung galaxy note a year ago
[01:34:15.620 --> 01:34:19.540]  Which was you know, well, how did in the world do you use these giant phones?
[01:34:21.220 --> 01:34:23.620]  With when you're only holding it in one hand and
[01:34:23.620 --> 01:34:27.140]  You know, the samsung galaxy note had a thing. I forget how you engaged it
[01:34:27.140 --> 01:34:33.300]  But then all of a sudden it just put like the equivalent of like a regular four-inch phone in the the lower
[01:34:34.340 --> 01:34:39.240]  Right corner of the phone and I presume you could also put it in the lower left if you're left-handed
[01:34:39.780 --> 01:34:43.460]  But then it just you know, and then all the other there's like a big l-shaped
[01:34:44.500 --> 01:34:50.580]  Letter boxing around it. I have no idea chen does not describe the one-handed mode
[01:34:50.580 --> 01:34:54.580]  chen does not describe the one-handed mode of
[01:34:55.460 --> 01:35:02.100]  the the new iphone, but I would not be surprised at all if that's true because 5.5 inch phones are
[01:35:02.720 --> 01:35:04.580]  ridiculous as
[01:35:04.580 --> 01:35:06.260]  Phones as we know
[01:35:06.260 --> 01:35:08.260]  You know i've used
[01:35:08.500 --> 01:35:12.580]  The 5.5 inch or something very close to a 5.5 inch nokia
[01:35:13.300 --> 01:35:16.900]  When I was at build i've said this before it is a fascinating device
[01:35:16.900 --> 01:35:22.500]  It is, you know, it seems very intriguing. I think an apple iphone that was that size will sell
[01:35:23.300 --> 01:35:28.740]  Huge, I don't think a majority of people want that though. I think the people who do are gonna love it
[01:35:29.220 --> 01:35:33.700]  but one thing there's just no if ands or buts about it, you know, like when um
[01:35:34.740 --> 01:35:42.740]  When the iphone grew from 3.5 to 4 inches, which was minimal change in size compared to what we're talking about with 5.5 inches
[01:35:42.740 --> 01:35:45.380]  5.5 inches, um
[01:35:45.380 --> 01:35:51.300]  There was all sorts of stuff in the event talking about the features in the os that help you so that you know
[01:35:51.300 --> 01:35:56.820]  Yes, now it's harder to navigate but we have this edge gesture where you can swipe back from the left to go back
[01:35:56.900 --> 01:36:00.020]  So you don't have to hit that back button all the way up in the top corner
[01:36:00.740 --> 01:36:01.620]  like
[01:36:01.620 --> 01:36:04.500]  There's no way to to mitigate this with
[01:36:05.220 --> 01:36:09.140]  You know little software tricks like that if you have a 5.5 inch display on your phone
[01:36:09.140 --> 01:36:15.140]  Even if all of the surrounding area or it was minimized to the most possible degree
[01:36:15.700 --> 01:36:17.700]  It's still too big to use in one hand
[01:36:18.020 --> 01:36:22.900]  You have to hold it in one hand and use it in the other and there's no way around it for many people
[01:36:22.900 --> 01:36:28.580]  That's not that's I I that what I'm I don't think it's a deal breaker. Obviously if apple shipping it they don't either
[01:36:29.060 --> 01:36:34.600]  Um, it doesn't mean they shouldn't build the device. It just means in the world of trade-offs
[01:36:34.600 --> 01:36:38.760]  People are willing to have x y and z bigger video
[01:36:39.400 --> 01:36:45.080]  Games that are bigger better battery life, which I want to come back to in a second. Um,
[01:36:46.600 --> 01:36:52.360]  And they're willing to give up i'm able to use the phone in one hand or if chen is right and there's a mode
[01:36:52.680 --> 01:36:58.040]  They're willing to invoke what I think is good. Even if apple does it it's gonna be silly sure
[01:36:58.040 --> 01:37:03.240]  It's gonna be like what direction are you tilted and it's like oh now it's suddenly this app is smaller and now you can
[01:37:03.240 --> 01:37:06.360]  Now you can reach the although. I don't know. I don't I don't
[01:37:08.040 --> 01:37:13.640]  Think about it from an ipad's perspective. I don't I don't worry about not being able to use my ipad in one hand
[01:37:15.160 --> 01:37:19.320]  Yeah, but you don't walk around the city with it. I know but I mean, but this is a big device
[01:37:19.320 --> 01:37:23.160]  I mean, yeah, I get that I get that you you there's more need for it than there is on an ipad
[01:37:23.160 --> 01:37:27.000]  But i've got an ipad mini and I sometimes I think there is not you know
[01:37:27.320 --> 01:37:31.400]  This is an interesting intersection between this very large iphone and the very small ipad
[01:37:31.400 --> 01:37:36.360]  Where they're well, let me put it. Yeah, let me put it to you this way if brian chen hadn't written that I wouldn't have brought
[01:37:36.360 --> 01:37:37.880]  up a one-handed mode
[01:37:37.880 --> 01:37:41.720]  With you right on this show because it wouldn't have because it's such a silly thing to me
[01:37:41.880 --> 01:37:45.880]  That it's such a silly notion to me that it wouldn't have even occurred to me, but he wrote it
[01:37:45.880 --> 01:37:50.920]  He says is if you know, he doesn't say he's seen it, but he says, you know sources familiar with the matter
[01:37:51.560 --> 01:37:53.560]  say that it's going to have it and
[01:37:54.760 --> 01:37:55.720]  so
[01:37:55.720 --> 01:37:58.680]  Given that and i'm not saying that means it's true. I'm just saying
[01:37:58.680 --> 01:38:04.120]  You know, it's the new york times and brian x chen. I mean, you know, I have some issues with brian x chen, but
[01:38:04.760 --> 01:38:11.480]  His his his reporting when he says the source says x is excellent, you know, it's it's typical times quality
[01:38:11.480 --> 01:38:13.320]  So like I said, it's not a done deal
[01:38:13.320 --> 01:38:19.800]  i'm sure there's some kind of wiggle room out where it could be something else entirely and it was mistaken as a
[01:38:21.480 --> 01:38:26.120]  One-handed mode but or they tried it and it didn't you know, right
[01:38:26.120 --> 01:38:30.760]  And go or it didn't make it into the final version, but I would not be surprised at all having
[01:38:31.560 --> 01:38:36.360]  Played with one of these devices. I wouldn't be surprised at all if they did it, you know if there's some kind of thing
[01:38:36.360 --> 01:38:41.880]  Maybe it's just in the control center and you flick up from the bottom and there's a new button you can hit and it shrinks
[01:38:41.880 --> 01:38:43.880]  The screen to the lower right corner
[01:38:44.520 --> 01:38:47.400]  I don't know. I think it would be silly but I wouldn't be surprised if they did it
[01:38:48.600 --> 01:38:51.960]  Because these phones are ridiculously big compared to
[01:38:51.960 --> 01:38:57.240]  What we're used to so if you've built your usage, you know, here's how I typically use my phone. I have
[01:38:57.960 --> 01:39:03.000]  Often using it while holding it in the same device you're using it with you're not going to be able to do that with the new
