[00:00.000 --> 00:03.180]  There's a lot going on. Yeah, it's good time to be us
[01:13:37.940 --> 01:13:39.940]  Yeah
[01:13:40.580 --> 01:13:43.940]  Boy this put apple in a bad position and I really I
[01:13:44.260 --> 01:13:49.860]  Wish they had just weathered the storm and left the app in the store and just had nothing to say about it
[01:13:50.820 --> 01:13:51.860]  um
[01:13:51.860 --> 01:13:54.420]  But instead they pulled it again two days later
[01:13:54.420 --> 01:13:58.740]  And that's where it really gets interesting. I don't know what you think about it
[01:13:59.220 --> 01:14:07.060]  The assumption on the outside is clearly that apple's simply placating the mainland chinese government and that's again I say that's perfectly reasonable
[01:14:07.140 --> 01:14:09.140]  There's no reason to think otherwise
[01:14:09.540 --> 01:14:12.980]  but from what i've heard internally from multiple people is that
[01:14:14.340 --> 01:14:17.380]  um higher level and lower level, uh
[01:14:18.900 --> 01:14:20.900]  Is basically that
[01:14:20.900 --> 01:14:24.500]  What what tim cook's company-wide memo said
[01:14:25.460 --> 01:14:31.060]  Which I I even said really just didn't stand up to scrutiny. I mean, I think you kind of agreed with that, too
[01:14:31.700 --> 01:14:35.060]  absolutely, it stands up a little better if you
[01:14:35.700 --> 01:14:41.780]  Assume and this is what I believe to be the case that apple sort of got thrown under the bus by the hong kong government
[01:14:42.340 --> 01:14:46.660]  Not the mainland china. It wasn't you know, the mainland china communicates very
[01:14:46.660 --> 01:14:51.780]  I don't think apple heard from them. I really don't i've and i've heard from no one who said they did. I don't think
[01:14:52.500 --> 01:14:56.580]  mainland china sends messages like that they communicate, uh
[01:14:58.340 --> 01:15:04.180]  Indirectly disappointed editorials is usually anonymous in state newspapers. Exactly
[01:15:05.380 --> 01:15:08.200]  Whereas so apple's internal apparatus
[01:15:09.380 --> 01:15:11.380]  Isn't really hooked up
[01:15:12.420 --> 01:15:14.420]  They're they're hooked up
[01:15:14.420 --> 01:15:19.460]  On the hong kong in particular to protect hong kong from mainland china
[01:15:20.500 --> 01:15:24.660]  And their assumption is that if there's pressure overt or otherwise
[01:15:27.620 --> 01:15:35.480]  With tensions between mainland china's laws and rules and desires and and hyper-sensitivity
[01:15:36.020 --> 01:15:41.460]  To perceptive issues, you know, like there's there's this whole thing in recent years where where
[01:15:41.460 --> 01:15:47.620]  China effectively demanded that a bunch of airlines around the world that if you fly into like taiwan and hong kong
[01:15:47.860 --> 01:15:51.700]  That that these places be labeled as part of china and not as independent
[01:15:52.800 --> 01:15:54.800]  locations
[01:15:55.060 --> 01:15:58.020]  Very very sensitive to stuff like this. Um, yeah
[01:16:02.180 --> 01:16:06.900]  Apple set up internally to protect hong kong from china and so they they're
[01:16:07.700 --> 01:16:08.660]  their
[01:16:08.660 --> 01:16:12.660]  their internal
[01:16:12.660 --> 01:16:18.100]  Systems were set up to hey if hong kong tells us blank. We should take their word for it and do it and
[01:16:18.740 --> 01:16:24.260]  hong kong authorities not mainland chinese authorities hong kong authorities told apple
[01:16:24.420 --> 01:16:29.540]  Hey, this app is no good. This this isn't helping, you know, the right people this is causing
[01:16:30.100 --> 01:16:33.700]  You know looters and rioters are using it to circumvent police, you know
[01:16:33.700 --> 01:16:39.860]  The stuff that tim cook says they were told I actually think they were told by the hong kong authorities. That's part of the
[01:16:40.480 --> 01:16:42.480]  conflict in this whole
[01:16:43.300 --> 01:16:46.020]  You know, we could obviously do a whole podcast about it and
[01:16:46.900 --> 01:16:50.500]  We're not experts. I'm certainly not an expert on the politics of the hong kong thing
[01:16:50.500 --> 01:16:54.420]  But part of it is that what people are protesting for is they'd like to elect their own leaders
[01:16:54.980 --> 01:16:56.980]  whereas the wade stuff is set up with the
[01:16:59.220 --> 01:17:01.940]  Two systems one country promise ever since
[01:17:01.940 --> 01:17:03.940]  The united kingdom handed over
[01:17:06.100 --> 01:17:12.180]  Control of hong kong to china in 1997, you know that the the hong kong authorities
[01:17:13.860 --> 01:17:15.540]  Aren't representatives of mainland china
[01:17:15.540 --> 01:17:21.460]  But they're appointed by mainland china and part of this whole thing with these protests is that the protesters are arguing, you know that
[01:17:22.180 --> 01:17:26.980]  That you know, they'd like they'd like to replace them with people of their own choosing, you know
[01:17:26.980 --> 01:17:33.860]  and I I think like the the the current leader of hong kong is something like 15 or 19 percent approval rating or something like that something
[01:17:34.100 --> 01:17:38.760]  Totally untenable if if if the position were duly elected in a real democracy
[01:17:40.580 --> 01:17:45.140]  Apple just isn't set up to deal with that or wasn't set up to deal with that that they you know
[01:17:45.140 --> 01:17:50.180]  Hong kong said x y and z and apple said okay x y and z we should you know, pull this app from the store
[01:17:50.900 --> 01:17:54.900]  Knowing I mean i'm not saying that the people at apple who made that decision
[01:17:54.900 --> 01:17:56.900]  who made that decision of
[01:17:57.460 --> 01:18:04.020]  Weren't fully aware that hey this looks terrible for us because it looks like we're flip-flopping all over the place reject accept
[01:18:04.340 --> 01:18:11.380]  Reject all within five days and they knew that that looks bad and they knew that that there were all these op-eds in china
[01:18:11.940 --> 01:18:16.580]  Decrying them for this and so they knew how weak it makes them look but they thought it was the right thing to do
[01:18:16.660 --> 01:18:18.660]  Because hong kong was asking for it
[01:18:18.660 --> 01:18:24.760]  Yeah, I I I think they were it was a like to your original point the minute that app was first projected
[01:18:25.620 --> 01:18:27.940]  By putting it back on the store that there was no
[01:18:28.500 --> 01:18:30.820]  Easy out for them on this whole thing
[01:18:30.820 --> 01:18:35.940]  It was either they have to keep it in the store and risk what is happening in hong kong and china
[01:18:36.180 --> 01:18:40.100]  Or take it down and risk being seen as an instrument of mainland china
[01:18:40.740 --> 01:18:45.860]  The whole the whole issue with apple and china is so fascinating because they are so deeply intertwined with china
[01:18:45.860 --> 01:18:51.060]  You know, one of my favorite things about reviews is when people say oh a phone shouldn't cost this much is if they have any
[01:18:51.060 --> 01:18:53.380]  Idea what a phone what goes into making a phone?
[01:18:54.100 --> 01:18:59.380]  and the reason the phones don't cost way more in part is the way that they're manufactured and
[01:19:00.580 --> 01:19:05.220]  Apple has been leveraging that in china for years. There's no easy exit for them there
[01:19:05.380 --> 01:19:10.980]  and at the same time tim cook has this consistent policy and you can see this everywhere from how he deals with
[01:19:10.980 --> 01:19:17.800]  Situations with the mining of materials to civil liberties in the us to engaging the trump administration
[01:19:18.260 --> 01:19:23.620]  To engaging china is that he believes if he's not part of the conversation. He has no ability to affect change
[01:19:24.420 --> 01:19:29.960]  but that's always dangerous because one you're going to get those editorials that say that you're appeasing people because engagement
[01:19:30.420 --> 01:19:36.740]  And appeasement is a very very small buffer between them and one can quickly be perceived as if not become the other
[01:19:36.740 --> 01:19:41.620]  But at the same time you give them a conduit back into you and it's often easier
[01:19:42.020 --> 01:19:46.760]  I think you said this really well in one of your posts a while ago. The only thing you can't tolerate is intolerance
[01:19:47.060 --> 01:19:51.700]  but by reaching out and making those engagements you give them a bridge back to you and they start to
[01:19:52.500 --> 01:19:56.900]  Whether they actually influence your policy or not. It's perceived again that they're influencing your policy
[01:19:57.220 --> 01:20:00.820]  So apple has all of these things happening in china the removal of the courts app
[01:20:01.060 --> 01:20:04.980]  Tim cook being elected chairman of the china is a very important part of the policy
[01:20:04.980 --> 01:20:10.420]  App tim cook being elected chairman of the business school, which you know could have been anybody it used to be
[01:20:10.820 --> 01:20:15.620]  There's a whole bunch of us ceos on that board and they all take turns and but right now at the same time
[01:20:15.700 --> 01:20:20.340]  It just happens to be his turn and could he have gone? No, no, give it to zuckerberg this time
[01:20:20.420 --> 01:20:25.940]  I'll take it next time but all these things happen at once and it creates really bad optics for them
[01:20:26.820 --> 01:20:30.900]  And the concern is always that china for example wants iCloud storage
[01:20:30.900 --> 01:20:36.580]  Um in china and people will find that dangerous but by the same token there are a lot of people outside the u.s
[01:20:36.580 --> 01:20:39.380]  Who want nothing to do with having data stored in the us right now?
[01:20:39.860 --> 01:20:44.580]  And france wants their you know, their citizens their data and that's going to be an increasing movement around the world
[01:20:44.900 --> 01:20:48.900]  But the fear is that china will ask for encryption keys one day the same way
[01:20:49.220 --> 01:20:53.380]  the fbi were asked for a back door the same way the us government did and
[01:20:54.100 --> 01:20:57.480]  The us government you can see it. It's apparent. There's a legal battle. There's litigation
[01:20:57.480 --> 01:21:01.800]  Uh, all this stuff happens in the open where with china it's not that form of government
[01:21:02.040 --> 01:21:05.160]  and I think that's sort of the fear that underlies all this is that
[01:21:05.960 --> 01:21:11.960]  When it happens in china, it's going to be much harder for apple to affect to to sort of stand their ground especially given
[01:21:12.680 --> 01:21:15.000]  All the small negotiations that are happening now
[01:21:15.960 --> 01:21:17.960]  Uh, I forget what the context was
[01:21:18.600 --> 01:21:22.920]  This week, but I thought I had a good observation on um
[01:21:22.920 --> 01:21:25.320]  Something with apple in china where
[01:21:25.960 --> 01:21:30.360]  Apple didn't fully. Oh, I know what it was. It's the safe browsing story. Yeah
[01:21:30.920 --> 01:21:37.320]  So one of the other little stories this week was that uh safari as long had this safe browsing feature
[01:21:38.120 --> 01:21:44.940]  Where I didn't even notice when it expanded to include tencent which is the state-owned japanese conglomerate
[01:21:46.120 --> 01:21:50.200]  You know, but google famously is shut out of china at the moment
[01:21:50.200 --> 01:21:54.280]  So, you know if you're in china and you're on behind the china the great firewall
[01:21:55.400 --> 01:21:59.400]  You you can't use google search. You can't use google anything for the most part
[01:22:00.920 --> 01:22:07.960]  And so the safe browsing feature that safari has had for a while which uses a blacklist of either known or
[01:22:09.160 --> 01:22:11.820]  Pre for all effects and purposes known malware
[01:22:13.240 --> 01:22:16.280]  Or otherwise, you know stuff that you would want blocked
[01:22:16.280 --> 01:22:20.920]  Uh, safari uses google's server for this can't use it in china. So they use tencent
[01:22:21.560 --> 01:22:24.760]  but the way google or the way apple wrote the
[01:22:26.440 --> 01:22:31.560]  Description like if you're like, hmm, let me find out about this feature. Uh, yeah
[01:22:32.760 --> 01:22:38.440]  You it just said like apple. It just said like safari may send your ip address. Uh,
[01:22:39.320 --> 01:22:41.720]  Is like the privacy policy for the features like safari may send your ip address
[01:22:41.720 --> 01:22:48.040]  To uh, google or tencent. Yeah, it was completely tone-deaf. Uh, and people
[01:22:49.160 --> 01:22:51.080]  rightly, uh
[01:22:51.080 --> 01:22:53.320]  Jump to the the plain reading of it
[01:22:53.320 --> 01:22:57.960]  Which is that you don't know if when they're using one or the other and so they might be you know
[01:22:57.960 --> 01:22:59.320]  You might be in the united states
[01:22:59.320 --> 01:23:03.880]  You might be in the middle of tennessee or texas and they're sending your ip address to its server in china
[01:23:04.040 --> 01:23:06.920]  And a state-owned media conglomerate which is a very good example of that
[01:23:06.920 --> 01:23:12.360]  And they're sending your ip address to its server in china and a state-owned media conglomerate with all your eyes
[01:23:14.120 --> 01:23:16.680]  The the feature is as you would expect from apple
[01:23:16.760 --> 01:23:23.880]  It is designed with privacy in mind and it uses hashed URLs and prefixes of the URLs instead of the whole thing to keep
[01:23:24.120 --> 01:23:25.560]  You know google
[01:23:25.560 --> 01:23:29.880]  Or tencent from seeing the specific URLs you're visiting. There's no way to avoid
[01:23:30.680 --> 01:23:35.000]  Well, I guess I shouldn't say there's no way I guess they could proxy the calls through an apple server
[01:23:35.000 --> 01:23:37.240]  Which is an interesting question as to why they're not
[01:23:37.960 --> 01:23:44.840]  why you know the ip address is getting sent to these providers because safari is calling them directly and you know, you can
[01:23:45.880 --> 01:23:49.320]  I I guess there's a performance argument there that proxying is
[01:23:49.720 --> 01:23:55.000]  By necessity going to have an extra hop where your device is talking to apple and apple's talking
[01:23:55.480 --> 01:23:59.880]  To google and then google talks back to apple and then apple potential source of failure
[01:23:59.880 --> 01:24:03.080]  Which is what happens with syria when it's like wait a second. Hold on
[01:24:03.080 --> 01:24:09.080]  Uh, so, you know, there's obviously reasons for performance and simplicity to let your device talk directly to google
[01:24:09.160 --> 01:24:13.800]  Uh, and then there's reasons of privacy where you'd want it proxied. Um, anyway, that's a separate
[01:24:14.600 --> 01:24:19.080]  Thing to me. The problem was was the the way this uh,
[01:24:20.440 --> 01:24:23.800]  Feature was described by apple. Absolutely and what I wrote is
[01:24:24.520 --> 01:24:30.600]  Trust us is not good enough like effectively these things are sort of written with a trust us attitude that look you can trust us
[01:24:30.600 --> 01:24:36.200]  Look, you can trust us. We're apple and so my assumption when this story broke last weekend was well
[01:24:36.920 --> 01:24:42.600]  I would guess that they're only using tencent for users in mainland china and they're using google everywhere else in the world
[01:24:42.680 --> 01:24:45.320]  And in fact that is how the feature works
[01:24:45.880 --> 01:24:49.720]  But they didn't say that and so the people who jump to the wrong conclusion
[01:24:49.800 --> 01:24:57.240]  I don't think they're crazy and I happen to know it ties into hong kong specifically because this story went nuts in the hong kong
[01:24:57.240 --> 01:24:59.240]  Um
[01:24:59.400 --> 01:25:03.560]  The the multi-user chat groups that they use what do they use, uh, what's the app, uh,
[01:25:04.360 --> 01:25:05.560]  I forget
[01:25:05.560 --> 01:25:09.800]  I'm, not sure it's weibo in china. I'm not sure what it is. It's not signal. It's the other one
[01:25:09.960 --> 01:25:11.960]  No, the one that starts with the t
[01:25:12.440 --> 01:25:14.440]  Telegram telegram. Yeah, so telegram
[01:25:15.080 --> 01:25:22.760]  Uh supports big multi-user chats. And so there's a whole bunch of groups in in in hong kong who are using telegram
[01:25:22.760 --> 01:25:27.400]  And and it went rampant when it's old, you know, super, you know, uh,
[01:25:29.000 --> 01:25:31.960]  You know like kindling going up in a in a fire
[01:25:32.680 --> 01:25:38.200]  viral of hey turn off safe browsing because they're going to send your ip address to tencent and
[01:25:38.520 --> 01:25:43.560]  You know protesters in hong kong obviously don't want anything sent. I mean your ip address isn't that
[01:25:44.360 --> 01:25:46.040]  You know, it doesn't reveal that much about you
[01:25:46.040 --> 01:25:48.360]  But you know if I were a protester in hong kong
[01:25:48.360 --> 01:25:53.480]  I'd want to be sure that my even my ip address wasn't being sent to china. I don't want it sent to google
[01:25:53.560 --> 01:25:57.880]  So I totally get that and so the downside to this is that anybody who got caught up in this?
[01:25:58.680 --> 01:26:02.680]  You know, it could really it wasn't getting sent to tencent. It was getting sent to google
[01:26:03.400 --> 01:26:09.400]  Uh, but you could wind up disabling a useful feature, you know that and now all of a sudden you're browsing
[01:26:09.720 --> 01:26:14.840]  You think you've made your browsing safer because you've protected yourself from having your ip address sent to tencent
[01:26:14.840 --> 01:26:18.520]  but it wasn't being sent there in the first place and now you're
[01:26:18.600 --> 01:26:24.360]  liable, you know, you're susceptible to all the sites that safe browsing would have blocked you from which might be sites that the
[01:26:25.080 --> 01:26:30.520]  That the yes, the chinese government is using to try to hack hong kong protesters. Yeah
[01:26:31.800 --> 01:26:33.000]  uh
[01:26:33.000 --> 01:26:36.680]  and so anyway trust this isn't good enough and and my take my my quip was
[01:26:37.240 --> 01:26:41.880]  If apple is too embarrassed to explain in detail exactly what they're doing to comply with chinese law
[01:26:41.880 --> 01:26:47.240]  Then they shouldn't be doing it and I really feel like they I wish that they had a white paper describing in more detail
[01:26:48.200 --> 01:26:50.520]  How the setup is that icloud users?
[01:26:51.720 --> 01:26:53.960]  Server data is stored in mainland. China
[01:26:54.600 --> 01:27:00.440]  On third-party company hardware. I wish that they would describe that in as much detail as they as they could
[01:27:01.080 --> 01:27:05.160]  Instead my understanding is that it's there but apple retains the encryption keys
[01:27:05.880 --> 01:27:10.680]  But I it shouldn't be our understanding. There should be a white paper that explains it in my opinion
[01:27:10.680 --> 01:27:18.680]  Uh, you know and so that you can make your own informed decision about how likely it is that the chinese police could
[01:27:18.760 --> 01:27:22.360]  store them in and demand stuff how what what
[01:27:23.400 --> 01:27:31.000]  What what the dangers are just that the chinese government might have moles working for the company that hosts these servers, etc
[01:27:31.000 --> 01:27:35.800]  Etc, but we don't know anything. It's it's way more of a black box than it should be in my opinion
[01:27:36.280 --> 01:27:39.800]  And I don't mean to be flippant about it at all. But you know that that line from
[01:27:39.800 --> 01:27:44.460]  Um equilibrium where he said the easiest way to get a weapon from a grammaton cleric is to ask him for it
[01:27:44.700 --> 01:27:48.300]  They just made tik toks. We just all give them our ip address and everything anyway
[01:27:49.660 --> 01:27:53.900]  It's not like they need to trick us into it anymore. They just made a catchy social media company
[01:27:54.540 --> 01:27:58.940]  Yeah, yeah, ben and ben thompson has some good takes on this where you know
[01:27:59.980 --> 01:28:03.100]  And his observation which is to me was very keen and i'm like, yeah
[01:28:03.100 --> 01:28:05.900]  Why isn't everybody saying this is that with the nba thing?
[01:28:05.900 --> 01:28:11.420]  So the this nba executive dan mori, I think his name is who tweeted this one pro hong kong
[01:28:11.900 --> 01:28:15.020]  Tweet which was really just like stand up for hong kong. It wasn't like
[01:28:15.740 --> 01:28:18.540]  You know hong kong should set the city on fire. It was you know
[01:28:19.180 --> 01:28:21.180]  We support hong kong. Yeah
[01:28:22.780 --> 01:28:29.900]  It was tweeted it's on it which is a social network that is completely blocked within china and yet somehow the chinese state media
[01:28:29.900 --> 01:28:36.220]  Would have us believe that millions of chinese nba fans saw this tweet and were deeply offended by it
[01:28:36.860 --> 01:28:42.140]  like, you know, I thought it was a pretty keen observation of uh, this is manufactured because
[01:28:42.780 --> 01:28:44.780]  How could us how could one?
[01:28:45.180 --> 01:28:50.620]  Message on a social network bandwidth in china have caused millions of people to be angry in china. They can't read it
[01:28:50.940 --> 01:28:55.420]  But meanwhile thing meanwhile we on the west with our open values
[01:28:55.420 --> 01:29:03.020]  Uh, totally allowed. So we allow them to block our social networks. Yeah, I mean here I am standing up for facebook, you know, uh,
[01:29:04.060 --> 01:29:08.700]  But I mean on principle it doesn't seem right that that we allow them to say yeah
[01:29:08.700 --> 01:29:15.020]  No instagram in china, but we'll take tik tok and let everybody install it on their phones and if it's fun enough people will have it
[01:29:17.020 --> 01:29:19.020]  Yeah, no, absolutely it's uh
[01:29:19.660 --> 01:29:24.780]  It it well the thing that scares me is that this is like there's that old saying from the west wing where
[01:29:24.780 --> 01:29:29.340]  There's no amount of there's no amount of manpower or money that equals a criminal being stupid
[01:29:29.820 --> 01:29:33.260]  And a lot of the stuff that we see all the time is buffoonery. It's just so dumb
[01:29:33.260 --> 01:29:35.660]  It's easy to catch and especially with this stuff
[01:29:35.660 --> 01:29:40.940]  It creates such a streisand effect that it ends up shining a huge light on on things that are happening
[01:29:41.260 --> 01:29:43.420]  But it's the stuff that we don't hear about that worries me
[01:29:43.420 --> 01:29:48.300]  It's the requests that get made that aren't, you know, oh as we saw twitter for an nba that's ludicrous
[01:29:48.300 --> 01:29:54.140]  It's just absolutely ludicrous, but it's the stuff that's not uh, so above board or or so public that's
[01:29:54.140 --> 01:29:57.100]  So public that I worry more about. Yeah, totally
[01:29:58.540 --> 01:29:59.740]  uh
[01:29:59.740 --> 01:30:04.540]  so anyway apple they're in a tough spot in china, I think that it could get I think that
[01:30:05.340 --> 01:30:09.420]  My takeaway from this this whole saga though, is that it's not that apple
[01:30:11.580 --> 01:30:13.580]  Just got through a terrible
[01:30:17.080 --> 01:30:18.700]  Exposure
[01:30:18.700 --> 01:30:24.060]  To to their foothold in china. It's that it just sort of hinted at how bad it could be
[01:30:24.780 --> 01:30:26.780]  Yes, right. Like what happens?
[01:30:27.500 --> 01:30:33.900]  I mean if there is a tiananmen square like crackdown on the hong kong protesters, you know
[01:30:33.980 --> 01:30:36.700]  What happens if if if the chinese government?
[01:30:37.260 --> 01:30:43.420]  Sends, you know the their military into hong kong to put it put an end to this, you know, it's yeah
[01:30:43.420 --> 01:30:51.500]  Yeah, they you know, they're it's it's in my opinion right up there with natural disasters, you know as
[01:30:52.220 --> 01:30:55.020]  Which would affect every company though, right?
[01:30:55.900 --> 01:31:01.100]  like apple is sort of uniquely exposed in china as as a western company because no other
[01:31:01.500 --> 01:31:05.260]  western company is so reliant on them for manufacturing and
[01:31:06.940 --> 01:31:10.700]  You know the this the second factor of apple's sales within china
[01:31:10.700 --> 01:31:15.100]  It's like this more or less tied, you know, it goes back and forth it ebbs and flows more
[01:31:15.580 --> 01:31:20.940]  But you know us is the is the biggest market us, you know, or call it north america if you want to include
[01:31:21.260 --> 01:31:23.260]  You know our canadian friends like you
[01:31:24.460 --> 01:31:26.620]  You know the north america is the biggest market
[01:31:27.260 --> 01:31:32.380]  China and europe greater western europe are more or less tied as their second biggest markets
[01:31:33.580 --> 01:31:36.300]  It's a big market for apple. It's certainly one of growth
[01:31:36.300 --> 01:31:41.420]  It's certainly part of their growth story and everybody knows growth is important for the message of apple to wall street
[01:31:42.060 --> 01:31:47.420]  It would obviously be a shit show if apple had to pull out or if their sales within mainland
[01:31:47.500 --> 01:31:53.500]  China were decimated through bad publicity or tariffs or any of their various things that could go bad, but apple
[01:31:54.140 --> 01:31:56.140]  Could exist as we know it
[01:31:56.380 --> 01:31:58.380]  with their sales in
[01:31:59.260 --> 01:32:02.940]  Two consumers in mainland china being cut off. It would be a significant hit
[01:32:02.940 --> 01:32:08.380]  It would be reflected in the stock price. But apple as we know it would would still be there, you know, it would be like
[01:32:09.100 --> 01:32:13.500]  I don't know. I think ball parking it. I don't know like 20 percent 25 percent something like that
[01:32:15.420 --> 01:32:18.140]  Yeah, and it's hard too because even if it's not a disaster
[01:32:19.180 --> 01:32:20.700]  Sorry, keep going. No keep going
[01:32:21.500 --> 01:32:25.580]  No, I was gonna say even if it's not something like an incident in hong kong even if it's something like tariffs
[01:32:25.900 --> 01:32:30.700]  And people will say well apple represents way too much of the gross domestic product of southern china for
[01:32:30.700 --> 01:32:37.020]  Any of that to like the chinese government to want to affect that in any way, but they have a remarkable ability for absorbing pain
[01:32:37.580 --> 01:32:42.140]  I I think we don't understand the extent at which they would allow something to happen. That was
[01:32:42.700 --> 01:32:48.460]  Moderately that was even severely painful for them if it was worse for whomever they were contending with
[01:32:48.860 --> 01:32:54.540]  Yeah, and just the if the tariffs got too bad and it destroyed apple's ability to compete manufacturing in china
[01:32:54.700 --> 01:32:57.100]  Even if it cost every job in shengzhen province
[01:32:57.100 --> 01:33:00.780]  I don't think they would have it. I don't think at the end of the day they would have that big a problem with it
[01:33:01.420 --> 01:33:02.940]  yeah, uh
[01:33:02.940 --> 01:33:07.740]  You know the manufacturing thing is just the angle that cannot be it just cannot be understated, you know
[01:33:07.740 --> 01:33:10.780]  And there was a story that you know, the wall street journal just had a story over the weekend
[01:33:10.780 --> 01:33:15.580]  Do you see this about how you know, there's iphone 10r's I think being made in india now
[01:33:16.780 --> 01:33:20.860]  Which is a weird thing to see it's you know, just a weird thing to see that small print that says
[01:33:21.420 --> 01:33:24.140]  You know designed by apple in california assembled in india
[01:33:24.140 --> 01:33:27.580]  But india the indian national government is making a huge press
[01:33:28.860 --> 01:33:35.420]  To appeal to smartphone manufacturers in particular to to build up india as a major production center
[01:33:36.460 --> 01:33:38.460]  for smartphone hardware
[01:33:38.620 --> 01:33:40.780]  and you know apple's part of it, but it's
[01:33:41.500 --> 01:33:44.960]  Even if they put the pedal to the metal and and accelerated
[01:33:45.660 --> 01:33:47.340]  their
[01:33:47.340 --> 01:33:48.700]  trying to
[01:33:48.700 --> 01:33:50.060]  to become
[01:33:50.060 --> 01:33:54.300]  independent of china if they wanted to for manufacturing and assembly
[01:33:55.100 --> 01:34:00.140]  Even the fastest they could do it the most efficient way if they didn't make any mistakes
[01:34:00.300 --> 01:34:04.380]  Made all the right moves spent as much money as they needed to it's still a years-long process
[01:34:05.100 --> 01:34:06.300]  possibly
[01:34:06.300 --> 01:34:12.620]  Many years long fascinating made a deliberate choice not to own the core technologies when it comes to manufacturing and that gives them exposure
[01:34:13.020 --> 01:34:18.300]  Right, there's absolutely exposed and it in particular the iphone, you know, it's everybody knows it's a technology
[01:34:18.300 --> 01:34:21.980]  You know, it's the most important best-selling biggest revenue and profit maker
[01:34:22.860 --> 01:34:24.860]  Will be for years to come
[01:34:26.140 --> 01:34:28.300]  It's utterly dependent on china at the moment
[01:34:29.740 --> 01:34:34.940]  All right, let me take one final break here and thank our third and final sponsor
[01:34:36.380 --> 01:34:38.380]  Of this episode of the talk show
[01:34:39.820 --> 01:34:41.820]  Squarespace
[01:34:41.980 --> 01:34:45.740]  You guys know squarespace. Come on. I talk about them all the time sponsoring the show
[01:34:45.740 --> 01:34:50.940]  Forever place you go to do it all for a website for your company
[01:34:51.820 --> 01:34:53.820]  for your personal use
[01:34:53.820 --> 01:34:59.260]  For a company your friends have a business a restaurant personal portfolio, you name it
[01:34:59.260 --> 01:35:05.920]  You can build it with squarespace and they do everything from domain name registration to picking from their award-winning
[01:35:06.460 --> 01:35:11.420]  templates that scale to any size device from a big 27-inch retina iMac
[01:35:11.420 --> 01:35:16.460]  To a iphone se in your pocket. Uh, you could do it all right there
[01:35:17.100 --> 01:35:19.100]  award-winning support
[01:35:19.340 --> 01:35:25.420]  And they have everything from analytics so you can see who's coming to your site from where to the design tools
[01:35:25.660 --> 01:35:31.020]  That you don't have to know any kind of code to do if you don't even know what the difference is between html and css
[01:35:31.900 --> 01:35:33.900]  That's all right. You'll be fine
[01:35:33.900 --> 01:35:37.660]  It's all drag and drop if you do know html and css and javascript you'll be fine
[01:35:37.660 --> 01:35:42.060]  It's all drag and drop if you do know html and css and javascript and you want to
[01:35:42.300 --> 01:35:45.500]  Get in there and be able to customize at that level you can do that, too
[01:35:45.900 --> 01:35:49.980]  It truly is the sort of system that scales from a true novice
[01:35:50.460 --> 01:35:52.460]  Somebody who just wants to drag stuff around
[01:35:52.620 --> 01:35:58.780]  Click a button have it be done to the sort of person who who has strong opinions on a text editor for editing javascript
[01:35:59.400 --> 01:36:01.400]  Squarespace can handle it
[01:36:02.460 --> 01:36:05.500]  So here's what you need to remember next time you need a website
[01:36:05.500 --> 01:36:11.100]  A new website you want to redo an old website or somebody comes to you for help with a website you send them to squarespace
[01:36:12.220 --> 01:36:19.900]  Go to squarespace.com and remember the offer code talk show know the just talk show at checkout and you'll get
[01:36:20.300 --> 01:36:21.500]  10
[01:36:21.500 --> 01:36:24.700]  Off my thanks to squarespace for their continuing support
[01:36:25.660 --> 01:36:27.660]  of this podcast
[01:36:29.820 --> 01:36:33.980]  All right, how about this let's go forward thinking do we do it are you done I think we're done on china
[01:36:33.980 --> 01:36:40.620]  What do you think? Yes, I agreed. Uh apple event as we record this could this is the sort of segment of a podcast
[01:36:40.620 --> 01:36:46.620]  That could be could be blown apart by between recording and publishing but as we speak on monday
[01:36:47.180 --> 01:36:48.620]  October 21st
[01:36:48.620 --> 01:36:53.260]  There are no signs no invitations. No rumors that i've seen that there's going to be an apple event
[01:36:53.900 --> 01:36:55.900]  This fall another no
[01:36:56.540 --> 01:36:58.540]  No event this month at least
[01:36:58.620 --> 01:37:01.820]  Uh, it's possible. I look back at the last few years
[01:37:01.820 --> 01:37:07.420]  So last year they sent out invitations on the 18th of october for the october 30 event. That was in brooklyn
[01:37:08.700 --> 01:37:13.920]  Two years before that in 2016. They sent out invitations on october 19th
[01:37:14.540 --> 01:37:18.480]  For I think it was the last ever event at town hall in cupertino
[01:37:19.180 --> 01:37:22.780]  But that was only eight days ahead. It was actually on the 27th and it was weird
[01:37:22.860 --> 01:37:25.260]  it was a thursday, which is I don't remember that but
[01:37:25.980 --> 01:37:29.580]  Uh, it was right. So i'm going to use the dreaded my understanding language again
[01:37:29.580 --> 01:37:35.180]  But my understanding is they're way too busy learning launching launching tv plus to have the resources to do an event in october
[01:37:35.660 --> 01:37:41.180]  That that sounds right to me, uh october because they're all over the place that the premiere is right, right?
[01:37:41.660 --> 01:37:44.620]  Uh, the pr is spread thin. Um, yeah
[01:37:45.420 --> 01:37:48.540]  And that's launching november 1st, right? Yeah, uh
[01:37:50.700 --> 01:37:54.780]  That makes sense to my knowledge apple has never held a fall event in november
[01:37:55.420 --> 01:37:58.380]  And the closer you get to thanksgiving the more impossible it would be
[01:37:58.380 --> 01:38:00.460]  uh, also the further along you get
[01:38:01.500 --> 01:38:02.540]  the
