[00:00.000 --> 00:02.000]  How are you?
[01:23:23.220 --> 01:23:27.180]  That's the way to do it. That's and it makes sense right before it was sort of like well
[01:23:27.540 --> 01:23:33.260]  You know, which iPad do I want? So now it's I think it's pretty clear like these have this pay pay more
[01:23:33.260 --> 01:23:38.620]  These don't pay less and it's like alright great and they even the size like because that first iPad Pro
[01:23:38.820 --> 01:23:42.460]  Well, the first was the 12 9 but then they did the 9.7 and it was like, okay
[01:23:42.460 --> 01:23:47.420]  wait a second now you've got like an iPad air 2 and an iPad Pro 9.7 and
[01:23:47.740 --> 01:23:52.100]  So they're exactly the same and so the next rev they're like no, it's 10.5 screen
[01:23:52.100 --> 01:23:56.020]  Now we've they're pushing it and I think this fall will probably see them push even further
[01:23:56.460 --> 01:24:01.900]  Away with what makes an iPad Pro and iPad Pro and that's like that level of clarity
[01:24:01.900 --> 01:24:03.640]  I think is really good for a product line
[01:24:03.640 --> 01:24:08.060]  Which is why it's been so frustrating to look at the MacBook line and be like what is happening?
[01:24:08.380 --> 01:24:12.280]  What are you guys doing there? And I think Apple I mean what I feel bad is like
[01:24:12.280 --> 01:24:17.820]  Apple the people inside Apple know like they know they knew this was a problem way before we did probably
[01:24:18.180 --> 01:24:22.680]  But they know that it just is gonna take they probably would there was like two years where they're like
[01:24:22.680 --> 01:24:25.120]  Yeah, we're gonna have to take our lumps for two years while we sort this one out
[01:24:25.420 --> 01:24:29.920]  And maybe they'll reach the end of the line. Maybe they'll finally get something that makes sense this fall
[01:24:29.920 --> 01:24:33.900]  I hope so a very slow-moving ship to turn around I think yeah, I think so
[01:24:33.900 --> 01:24:40.300]  I think the other kudo that they deserve for the current lineup of iPads is that the both iPad pros the
[01:24:40.300 --> 01:24:42.980]  10.5 and the 12.9 are a bit long in the tooth
[01:24:42.980 --> 01:24:50.020]  They're certainly more each more than a year old and nobody and you know people expect based on just you know
[01:24:50.100 --> 01:24:54.580]  Sticking your finger in the air and thinking well, it seems like they should be new one soon and based on the rumor
[01:24:54.580 --> 01:24:57.160]  You know, there are rumors that there's ones coming out with
[01:24:57.860 --> 01:25:01.740]  Significantly shrunk bezels, you know, everything is smaller bezels these days
[01:25:02.540 --> 01:25:06.620]  But there's nobody's really like up in arms like boy. These are these are outdated, right?
[01:25:06.620 --> 01:25:12.180]  Like they did such a good job with the current available iPad pros that they were
[01:25:12.420 --> 01:25:15.940]  They could last for well longer than a 12-month cycle
[01:25:16.500 --> 01:25:20.940]  And be completely credible as as still being good purchases today
[01:25:21.100 --> 01:25:28.300]  I'm still using my iPad pro that I bought in December of was that 15 the original
[01:25:28.300 --> 01:25:35.980]  12 9 iPad pro is still my mobile device of choice basically, and it's great. Yeah, it doesn't have the
[01:25:36.500 --> 01:25:43.460]  True-tone doesn't have the wide color gamut, but it's not not as good a processor, but it's still great
[01:25:43.460 --> 01:25:49.380]  It's still legitimately great and I'm going to buy a new one this fall, but I will have gotten three years out of that thing
[01:25:49.380 --> 01:25:54.180]  Yeah, it's not without any any moaning and complaining about it's still pretty great. Yeah
[01:25:54.180 --> 01:25:56.180]  So
[01:25:56.860 --> 01:25:58.860]  Back to the MacBooks. I
[01:25:59.860 --> 01:26:02.140]  Still I don't know. I I
[01:26:03.500 --> 01:26:07.220]  Don't think there I think the bottom line is that they're not going to completely get out of this
[01:26:07.780 --> 01:26:11.700]  mess this year mess being a lineup that offers
[01:26:12.880 --> 01:26:16.460]  Significant clarity because I don't you know, I don't even rumors aside
[01:26:16.460 --> 01:26:18.520]  I don't think they're gonna get rid of the 12-inch MacBook
[01:26:18.780 --> 01:26:23.280]  But I don't think the 12-inch MacBook can serve as their low-end model, even if they could sell it for $9.99
[01:26:23.280 --> 01:26:25.280]  I don't think that would be a good idea
[01:26:26.780 --> 01:26:31.540]  And so I think they do need something else whether that's the MacBook escape with a new name or
[01:26:32.420 --> 01:26:37.620]  You know and maybe and maybe engineered to be made out of cheaper bits or something. I don't know
[01:26:37.860 --> 01:26:42.260]  Or whether it's that new thing. I think it's got to be one of those two because I think you're right
[01:26:42.260 --> 01:26:46.340]  I don't think they could just take the MacBook make it $9.99 and say see buy it now
[01:26:46.460 --> 01:26:52.180]  I'm not I think people would be a little resistant because it's unless unless they do some upgrades to it
[01:26:52.180 --> 01:26:54.340]  Which would probably preclude it being $9.99
[01:26:54.340 --> 01:26:59.700]  It's gonna have the one port and it's small and it's got a small screen and that's gonna turn a lot of people off
[01:26:59.700 --> 01:27:02.740]  So it doesn't seem to be the right vehicle to do
[01:27:03.140 --> 01:27:05.360]  It might be the right vehicle to get to $9.99
[01:27:05.360 --> 01:27:11.180]  They could probably do that but it the air isn't just succeeding because it's $9.99
[01:27:11.580 --> 01:27:17.620]  Yeah, maybe it's as simple as just effectively taking the MacBook escape and
[01:27:17.620 --> 01:27:23.580]  And given an extra what it almost two years, right?
[01:27:23.580 --> 01:27:29.940]  I think that that those came out in 2016. I forget if there was a speed bump, but the original ones were 2016
[01:27:30.740 --> 01:27:36.620]  And just being able to put what that is today into a wedge shape case
[01:27:36.820 --> 01:27:43.980]  That's more like the air right? Yeah, and then that separates because that wedge the difference between what would you call the MacBook Pro?
[01:27:43.980 --> 01:27:51.260]  It's like is that rectilinear the way that it doesn't have any kind of wedge or teardrop shape to it. Yeah, it's just a yeah
[01:27:51.260 --> 01:27:57.220]  It's just a yeah, it's a rectangle. Yeah extruded. It's just it is just a shape. It's not doesn't have a weird shape
[01:27:57.220 --> 01:27:58.700]  it's just kind of a
[01:27:58.700 --> 01:28:04.980]  Blob and yeah, the air had that that kind of wedge and was a little curvier. All right, if they just took them
[01:28:05.500 --> 01:28:07.500]  effectively just took the
[01:28:07.500 --> 01:28:11.100]  MacBook escape put it in a wedge-shaped aluminum case
[01:28:11.100 --> 01:28:14.140]  And because maybe you know they could do this or that
[01:28:14.300 --> 01:28:20.580]  To you know reduce the amount of battery and whatever else was in there without affecting battery life with two years of advances in
[01:28:20.860 --> 01:28:23.160]  Power efficiency and there you go
[01:28:23.160 --> 01:28:28.980]  And then it's visually distinctive from the MacBook Pros in addition to which name is stamped underneath the display
[01:28:29.700 --> 01:28:32.820]  Because oh I see it's teardrop shape. That's more like the air. I
[01:28:33.740 --> 01:28:35.740]  also think there's I
[01:28:35.740 --> 01:28:43.220]  Mean there's an argument to be made Marco talked about this quite a lot when he was buying and returning his MacBook escape
[01:28:43.860 --> 01:28:46.220]  Or escapes. I think it might have done it more than once is that
[01:28:47.180 --> 01:28:51.140]  technically the part the processor that's in the
[01:28:51.520 --> 01:28:55.700]  Escape is the successor to the processor that's in the air, right?
[01:28:55.700 --> 01:29:01.180]  so like and if you look at the weight, this is one of my favorite things is look at the weight and
[01:29:01.180 --> 01:29:08.580]  The size of the 13-inch MacBook escape compared to the 13-inch MacBook Air. They are practically the same
[01:29:08.580 --> 01:29:10.100]  They're not quite there
[01:29:10.100 --> 01:29:14.880]  It is that MacBook escape with weird name where it's like there's two 13 MacBook Pros
[01:29:14.980 --> 01:29:17.660]  like it's hard for me not to think that they really
[01:29:18.140 --> 01:29:23.460]  intended that for it to be a MacBook and then they realized that they had to sell it for $15.99 and
[01:29:23.460 --> 01:29:30.820]  They couldn't call it a MacBook. They had to call it a MacBook Pro, but I do wonder I do wonder if their way
[01:29:30.820 --> 01:29:32.820]  I think it's a scenario just
[01:29:33.900 --> 01:29:36.620]  Spitballing here that they find a way to get that thing
[01:29:37.060 --> 01:29:43.700]  To be not quite as nice and not quite as advanced but enough to shove it down in the product line
[01:29:43.940 --> 01:29:50.260]  To have it be kind of down there with the MacBook and not and ideally by the way, just purely on semantics
[01:29:50.260 --> 01:29:55.620]  I know that you and I like to talk about how products get named and product lines get formed like that thing
[01:29:55.620 --> 01:30:01.500]  We do not need 13 inch MacBook Pro with touch bar and right out touch bar
[01:30:01.500 --> 01:30:06.060]  Right, like that needs to stop that map quick escape. It's a cute nickname
[01:30:06.060 --> 01:30:11.660]  But like it needs a real name that is not the name of another computer currently being sold. That's gotta stop
[01:30:11.660 --> 01:30:14.200]  I try to avoid using nicknames
[01:30:14.980 --> 01:30:16.980]  not not out of
[01:30:16.980 --> 01:30:23.740]  Allegiance to Apple's marketing whims. I mean because for example, I refused to like spell Mac OS with a lowercase M
[01:30:24.740 --> 01:30:29.060]  Mac mini with a lowercase M or anything like that. So it's not out of that
[01:30:29.060 --> 01:30:33.220]  It's just that I don't want I I find it. It can be a little bit disdainful
[01:30:33.260 --> 01:30:37.980]  You know that it's it's not like I feel like you have to do what Apple says, but I feel like it's shameful
[01:30:37.980 --> 01:30:43.260]  But I actually feel like the MacBook escape thing is so much more clear like people know what that is
[01:30:43.260 --> 01:30:45.980]  And when you do the mouthful 13 inch MacBook Pro
[01:30:45.980 --> 01:30:47.660]  without
[01:30:47.660 --> 01:30:52.460]  Touch bar it is like you have to stop and think it's like a double negative almost, you know
[01:30:52.460 --> 01:30:54.980]  I mean the name includes something that it doesn't have
[01:30:57.060 --> 01:31:03.220]  It's the thing that it doesn't have there are lots of things that that computer doesn't have it doesn't have you know a
[01:31:04.460 --> 01:31:12.060]  Spinning wheel. It doesn't have a USB a port. It doesn't have there, you know a floppy drive. It doesn't there's lots of things
[01:31:12.060 --> 01:31:17.100]  It doesn't have including the touch bar which is in its name that it doesn't have it
[01:31:17.100 --> 01:31:19.260]  Like it's just I agree with you
[01:31:19.260 --> 01:31:25.220]  Also, there's a communication thing like you reach a lot of people who are not tuned in to what's happening on Marco's podcast
[01:31:25.220 --> 01:31:29.480]  or you know other places in the Apple kind of blogosphere and so
[01:31:30.020 --> 01:31:31.220]  These names are cute
[01:31:31.220 --> 01:31:36.140]  like Marco always called the MacBook the 12-inch MacBook the MacBook one right and I kind of like that as a
[01:31:36.580 --> 01:31:40.780]  Little bit of a needle to Apple for like there's only the one port on it
[01:31:40.780 --> 01:31:46.200]  But if you if you use that name people are gonna be like, I don't get it. What are you talking about?
[01:31:46.580 --> 01:31:52.140]  That's a perfect example of a nickname that I either avoid it or mostly avoid it. That's a perfect example
[01:31:52.140 --> 01:31:54.980]  I just call it the 12-inch MacBook and leave it at that
[01:31:54.980 --> 01:31:59.180]  That that is that that you can gain some clarity on for people but the MacBook escape
[01:31:59.500 --> 01:32:04.220]  Like not only is it kind of a great name makes me think of like it's a journey album. It's weird
[01:32:04.220 --> 01:32:09.300]  Like it's a throwback. It's like why why is this happening? Is it trying to escape? We don't know
[01:32:09.300 --> 01:32:13.020]  But it needs a name because basically Apple didn't give it a name
[01:32:13.020 --> 01:32:18.260]  They just said that it's not the other one and I hope I hope it because it's actually a pretty great computer
[01:32:18.260 --> 01:32:20.260]  I hope it kind of escapes the
[01:32:20.780 --> 01:32:22.300]  See what I did there
[01:32:22.300 --> 01:32:27.860]  escapes the MacBook Pro name and get some other name because it really doesn't it deserve to be
[01:32:28.260 --> 01:32:30.100]  My I do wonder though
[01:32:30.100 --> 01:32:32.240]  If maybe it just we haven't seen the likes of it
[01:32:32.240 --> 01:32:39.480]  Or we've seen the last of it that what we're gonna get is like a reconstituted Mac MacBook escape. That's something else. I
[01:32:39.880 --> 01:32:42.560]  Another thing I'm gonna promise to put this in the show notes
[01:32:42.560 --> 01:32:46.600]  But somebody on Twitter today in the midst of all this conversation about this. I
[01:32:47.600 --> 01:32:54.240]  Remembered it. I remembered it the this bit from Phil Schiller at the debut of the current generation of MacBook Pros
[01:32:55.080 --> 01:32:56.240]  and
[01:32:56.240 --> 01:33:03.280]  basically, he's making the point that the 13-inch Mac new MacBook Pro is roughly the same size and weight as the
[01:33:03.800 --> 01:33:05.800]  MacBook Air. Yeah
[01:33:05.920 --> 01:33:11.480]  But somebody linked to that part of the video like and had they even you know use the little
[01:33:11.800 --> 01:33:16.720]  code on YouTube to start right right at the point where he's talking about it and it's actually it's you know
[01:33:16.720 --> 01:33:20.000]  It's Phil Schiller at his best and Apple at their best at making
[01:33:20.000 --> 01:33:26.200]  Some points that it might be a bit delicate to make like here you've introduced
[01:33:26.200 --> 01:33:32.440]  you've spent all this time bragging about the touch bar this new invention that they're very proud of and that it is
[01:33:32.640 --> 01:33:34.800]  expensive and that they want people to be excited about
[01:33:36.920 --> 01:33:40.720]  I'll link to the video because I don't want to summarize the whole thing because it's really so good
[01:33:40.720 --> 01:33:46.080]  But he makes the point that hey, we still love the MacBook Air. We're still selling the MacBook Air. That's fine
[01:33:46.080 --> 01:33:52.320]  We know people like it, but we challenged the team and that's like a phrase that often comes up with Apple, right?
[01:33:52.360 --> 01:33:54.240]  But it you know, it means this was tricky
[01:33:54.240 --> 01:34:00.680]  but we challenged the team to maybe do a version with this MacBook Pro that might be tempting for people looking at the MacBook Air and
[01:34:01.160 --> 01:34:04.000]  It has the function keys that you're used to
[01:34:04.960 --> 01:34:06.960]  and
[01:34:07.920 --> 01:34:11.760]  You know starting price that was lower, you know, I forget what is the starting price 1299
[01:34:11.760 --> 01:34:16.280]  I forget if it was then 1299 it was not that was something that yeah
[01:34:16.280 --> 01:34:18.800]  They cut it by a couple hundred which is interesting, right?
[01:34:18.800 --> 01:34:23.080]  Yes, because right away from the pros even more right if it was
[01:34:23.560 --> 01:34:28.360]  1499 in November of 2016 and then dropped to 1299 a year later
[01:34:28.360 --> 01:34:34.220]  Could it drop another $200 now and maybe even with you know, like a thinner case or something?
[01:34:35.360 --> 01:34:39.720]  But anyway, he made the point that the footprint is smaller because they reduce the bezels
[01:34:39.720 --> 01:34:45.120]  But it's still a thirteen point three inch diagonal. So if the bezels are reduced, then the footprint has to be reduced
[01:34:46.080 --> 01:34:49.880]  And by volume it was like 13% smaller
[01:34:50.320 --> 01:34:56.640]  Even though it doesn't have the wedge shape because of the footprint smaller. It actually does it they showed a little video of a
[01:34:57.280 --> 01:35:01.680]  13-inch MacBook Pro on top of a MacBook Air, you know
[01:35:01.680 --> 01:35:06.500]  Just lids closed and you could see how much smaller it is by surface area on the footprint
[01:35:06.500 --> 01:35:13.500]  And that the weight was exactly the same. I mean, it's literally I mean, it's not quite exactly it's one ounce difference
[01:35:13.500 --> 01:35:19.160]  It's like, you know, like two business cards on top of a MacBook Air and you've got the same weight as the 13-inch
[01:35:19.860 --> 01:35:25.860]  MacBook escape so the weight is exactly the same three point zero pounds footprint smaller volume is smaller
[01:35:26.020 --> 01:35:30.700]  so if they could make that volume even smaller, that would really be a you know, a
[01:35:31.820 --> 01:35:33.820]  You know in some ways
[01:35:33.820 --> 01:35:38.180]  Ignoring the 12-inch MacBook. It would be a nice successor to the MacBook Air as we know it
[01:35:38.540 --> 01:35:44.940]  Yeah, it is essentially that's the thing that I think gets lost in the naming is that it is that it's the same processor
[01:35:45.020 --> 01:35:50.380]  The price doesn't not the same price not the same name, but same processor class same weight
[01:35:50.860 --> 01:35:55.160]  Same size essentially functionally the same size because although it doesn't have the wedge
[01:35:55.580 --> 01:36:01.540]  It's I think it's you know, other dimensions have contracted and like it's a it's a great laptop
[01:36:01.540 --> 01:36:06.420]  I think I think the big problem with it was the yeah, it was introduced at way too high price and they obviously did made
[01:36:06.420 --> 01:36:09.420]  Some effort to get it down in price a couple hundred bucks. So now it's
[01:36:10.100 --> 01:36:12.300]  It's basically the same price as the MacBook
[01:36:14.860 --> 01:36:19.040]  One of these days I want to hear I gotta tell you one of these days I really want to hear what happened
[01:36:19.860 --> 01:36:25.100]  So clearly like something went wrong and I don't know what but like they totally didn't plan it this way
[01:36:25.100 --> 01:36:29.940]  They didn't plan to be selling the MacBook Air in 2018, right? Like there's no way
[01:36:29.940 --> 01:36:35.660]  And they don't nobody at Apple. So I got a great idea. Let's sell two different 13-inch MacBook Pros, right?
[01:36:35.780 --> 01:36:37.620]  That'll be great. People will love that
[01:36:37.620 --> 01:36:37.940]  No
[01:36:37.940 --> 01:36:44.740]  They had to because something went wrong and one day maybe we'll find out what what happened that surprised them that they
[01:36:45.060 --> 01:36:49.680]  That I couldn't do it. Yeah, one thing Apple really cares about is the way their things look
[01:36:49.680 --> 01:36:52.700]  I mean and a lot of times when they'll cheap out on things
[01:36:52.700 --> 01:36:58.180]  It's not by making them look worse and look at the iPad versus iPad Pro, right?
[01:36:58.180 --> 01:37:02.820]  It's it it's a great looking tablet. It's still made of an aluminum back
[01:37:02.820 --> 01:37:09.820]  Yeah, it's not not cheap plastic or anything like that. And so it's like I don't think that the the iPad has true tone
[01:37:09.820 --> 01:37:15.660]  Right. It's no way that 329 iPad has true tone. I could be wrong. I don't think it
[01:37:15.660 --> 01:37:17.340]  I think that's one of the ways that it's less expensive
[01:37:17.340 --> 01:37:20.380]  But that's that's like nice to have and I do love true tone
[01:37:20.380 --> 01:37:24.340]  But it's you know, but having a non retina display looks bad
[01:37:24.340 --> 01:37:30.960]  I mean it really is, you know, you just look right at it. It looks ridiculous in to my eyes today
[01:37:31.660 --> 01:37:32.620]  And they know it
[01:37:32.620 --> 01:37:37.620]  I think they're about they have to be embarrassed by it then but nobody at Apple is happy that they're still selling it in
[01:37:37.780 --> 01:37:44.100]  2018 and it's so unfortunate really really is that the timing on this, you know
[01:37:44.100 --> 01:37:48.220]  I think the other one of those other backstories is I think whatever is going on behind the scenes that
[01:37:48.940 --> 01:37:52.140]  Whatever MacBooks they might be announcing later this year
[01:37:52.140 --> 01:37:59.220]  I think they had really hoped to have announced earlier this year because anybody who got a laptop for back-to-school is getting it
[01:37:59.220 --> 01:38:02.700]  You know got a 13 inch MacBook Air with a non retina screen
[01:38:02.700 --> 01:38:08.600]  I had so many people ask me this summer because I wrote a piece last summer about what laptop you should buy
[01:38:08.600 --> 01:38:13.380]  Yeah, and this summer they're all like, oh, yeah, what what's the update to that? So quite frankly, there isn't one
[01:38:14.100 --> 01:38:16.740]  And that was like people were getting gifts for graduates
[01:38:16.740 --> 01:38:23.180]  Yeah, and I said I got nothing and then WWDC happened and it's like I still don't have anything and a month goes by
[01:38:23.180 --> 01:38:27.100]  And there they update the pros but only the pros not even the escape
[01:38:27.100 --> 01:38:32.060]  And so now we're at the point where everybody's going, you know college students are back in school
[01:38:32.060 --> 01:38:33.180]  My kids are back in school
[01:38:33.180 --> 01:38:40.320]  Like that whole period is over and they completely missed it and you gotta think they would have rather not missed it
[01:38:40.320 --> 01:38:45.020]  So that's that's another part of this story. Like I feel I feel for them on the same
[01:38:45.020 --> 01:38:48.660]  They obviously made some bad calls. They obviously made some calls that turned out to be wrong
[01:38:49.020 --> 01:38:55.340]  I feel bad for the people involved because like when you make that mistake, then you got to live with it for years
[01:38:56.180 --> 01:38:59.900]  What before it really can get resolved and that you know?
[01:38:59.900 --> 01:39:01.860]  That's why I keep coming back to I hope they resolve it
[01:39:01.860 --> 01:39:04.140]  Yeah, like I don't know if they're gonna be able to do it
[01:39:04.140 --> 01:39:09.020]  But like I saw what they did with the iPad where that was a mess and it took them a couple of years
[01:39:09.020 --> 01:39:13.960]  But now it makes sense and I hope that that happens with the with the consumer part of the MacBook line
[01:39:13.960 --> 01:39:16.800]  Yeah, I have to say while I'm on this
[01:39:16.800 --> 01:39:21.840]  I always want to mention this that one thing I've never recovered from and I've been using I
[01:39:23.120 --> 01:39:25.120]  think I
[01:39:25.520 --> 01:39:29.400]  Think I went right from the 11-inch air to this
[01:39:30.040 --> 01:39:33.400]  13 inch MacBook Pro in 2014. I don't think there was anything in between
[01:39:34.680 --> 01:39:41.480]  One thing I've still so it's at least four years one thing. I still have never recovered from is when pulling it out of a bag
[01:39:41.480 --> 01:39:46.620]  using the wedge shape to orient it as I take it out and
[01:39:47.140 --> 01:39:53.180]  Knowing which way is front and which is back and I still have for four years when I take this one out
[01:39:53.180 --> 01:39:56.580]  It is like a 50-50 chance whether I'm gonna put it on the desk the right way
[01:39:56.580 --> 01:40:01.740]  And if anything, I've also got this weird totally old-school
[01:40:02.980 --> 01:40:08.060]  PowerBook user habit of orienting by looking at the Apple logo the wrong way
[01:40:08.060 --> 01:40:12.860]  Like one thing unless you're an old coot like us you will not remember and you'll think well
[01:40:12.860 --> 01:40:18.340]  Why in the world would they have done that is that for the first many years of power books?
[01:40:18.340 --> 01:40:22.020]  The Apple logo was oriented what you would now call upside down
[01:40:22.420 --> 01:40:28.780]  Such that the Apple logo looked correct when the laptop was closed in front of you the user
[01:40:29.100 --> 01:40:35.860]  Yes, and then when open and in use was upside down to anybody looking at your at you face on
[01:40:35.860 --> 01:40:42.940]  To what we now know is the proper way to do it, but and I it the funny thing, too
[01:40:42.940 --> 01:40:45.860]  I think I wrote about this on during fireball as an aside recently that
[01:40:46.380 --> 01:40:51.160]  There are still people who are very angry about that decision who want it to be the other way
[01:40:51.740 --> 01:40:58.060]  Because they they have a mindset that this is their computer and the Apple logo should look correct to them
[01:40:58.060 --> 01:41:02.980]  Which means that and I guess that was the thinking Apple originally had when they did it that way
[01:41:02.980 --> 01:41:04.580]  that
[01:41:04.580 --> 01:41:10.380]  You the user owner of this laptop should have the Apple logo look correct when it's closed in front of you
[01:41:12.500 --> 01:41:17.060]  And they feel that now that it's oriented the other way they see it the wrong way and their
[01:41:17.300 --> 01:41:24.080]  Their machine is acting as an advertisement for Apple by having it oriented the correct way for everybody looking at it now
[01:41:24.080 --> 01:41:28.980]  I disagree with that. I actually think it should look correct while it's being used not not correct
[01:41:28.980 --> 01:41:33.820]  Well, it's not being used but the downside of it is I still if I still sometimes look I think oh
[01:41:33.820 --> 01:41:36.720]  There's the Apple logo, and I put it down in front of me and the hinge is facing me
[01:41:38.940 --> 01:41:40.940]  Can I blow your mind with something
[01:41:40.940 --> 01:41:45.060]  I use my iPad almost entirely in horizontal orientation and
[01:41:45.620 --> 01:41:48.340]  The Apple logo is vertical
[01:41:49.260 --> 01:41:56.140]  All the time so I'm always using it sideways and it's a legacy of the iPhone being vertically oriented
[01:41:56.140 --> 01:41:59.380]  but like I really believe the iPad is a horizontal device and it's like
[01:42:00.660 --> 01:42:03.020]  Forget it unless they make like a swiveling Apple logo
[01:42:03.660 --> 01:42:10.220]  It's just like I don't I don't know something some use case is gonna be wrong. I guess is the the truth of it, but
[01:42:10.840 --> 01:42:11.980]  But yeah, I agree with you
[01:42:11.980 --> 01:42:17.820]  Although you know a cynical person would say they decided that the logo was to advertise it to others instead of it being for
[01:42:17.820 --> 01:42:20.980]  You to have that little moment, but I still think it was the right decision
[01:42:21.340 --> 01:42:25.620]  And if there's anything I miss when they changed the the laptops in the last couple of years
[01:42:25.620 --> 01:42:30.900]  It's that the Apple doesn't light up anymore because that was pretty amazing and you could never miss a Mac
[01:42:31.540 --> 01:42:34.700]  Laptop in a cafe when they lit up now
[01:42:34.700 --> 01:42:40.060]  It's a little bit easier to miss them well or like that that famous famous picture from around 10 years ago
[01:42:40.700 --> 01:42:46.460]  Of like a university lecture hall you know that with a very slope very high slope
[01:42:46.460 --> 01:42:48.460]  you know like stadium seating and
[01:42:48.900 --> 01:42:53.920]  You know it's just some kind of undergraduate lecture hall and like a wide-angle view from the you know
[01:42:53.920 --> 01:42:58.260]  Professor's standpoint, and it was like every student had a laptop
[01:42:58.560 --> 01:43:02.960]  So it was it was sort of like a sign of the times in a couple of ways is like when you and I went
[01:43:02.960 --> 01:43:04.960]  To college nobody had laptops now
[01:43:06.040 --> 01:43:07.840]  and
[01:43:07.840 --> 01:43:12.360]  You know by ten years ago every student had a laptop they had him open
[01:43:12.360 --> 01:43:18.120]  That's what they did to take their notes and whatever else and it just just the number of them that had glowing Apple logos was
[01:43:18.120 --> 01:43:25.200]  Just staggering just as a sign of wow look at how Apple has taken over like the college student. You know portable market
[01:43:27.160 --> 01:43:29.720]  You just don't get that anymore without the glowing thing Marco
[01:43:29.720 --> 01:43:33.320]  And I talked about that and I guess I never I never did the research to figure this out
[01:43:33.320 --> 01:43:36.000]  I spout it off and said that
[01:43:37.480 --> 01:43:44.120]  That at some point originally the app may you but hopefully maybe you can know this I was gonna do research
[01:43:44.120 --> 01:43:46.120]  And I I didn't
[01:43:46.120 --> 01:43:49.080]  originally the Apple logo was
[01:43:49.600 --> 01:43:57.080]  Illuminated from the display so there all they had to do was just put a translucent piece of Apple
[01:43:57.080 --> 01:43:59.800]  logo shaped plastic back there and the display of
[01:44:00.120 --> 01:44:06.720]  The old LCDs or LEDs whatever they were called at the time just glowed in both directions and that modern
[01:44:07.760 --> 01:44:09.240]  LCDs
[01:44:09.240 --> 01:44:11.240]  Don't work that way that at some point
[01:44:11.240 --> 01:44:16.200]  You know they really only glow in one direction and that Apple had to put in a separate
[01:44:17.000 --> 01:44:19.000]  thing to light up the Apple logo
[01:44:20.480 --> 01:44:25.440]  Interesting I had not heard that I don't know if that would be amazing if if they're if they had to cheat I
[01:44:26.280 --> 01:44:30.420]  Don't know I couldn't test it at the time because all I had was this new MacBook Pro
[01:44:30.420 --> 01:44:33.600]  That doesn't have a glowing Apple logo, and I said like in the old days
[01:44:33.600 --> 01:44:37.440]  I knew that when you change the brightness on the display it changed the brightness on the Apple logo
[01:44:37.440 --> 01:44:44.720]  and what people have written in to say is that that never changed the brightness control for the display always controlled the brightness color of
[01:44:44.720 --> 01:44:50.040]  The Apple logo even if I'm correct that they ended up having different lighting elements to make it work
[01:44:50.040 --> 01:44:55.260]  And it makes sense that it would because anywhere where you now that I think about it like if you're in
[01:44:55.400 --> 01:44:58.520]  You know using it in bed next to a sleeping partner
[01:44:59.000 --> 01:45:03.280]  And you want to have the brightness down low because the room is dark and your eyes don't need a bright screen
[01:45:03.280 --> 01:45:07.360]  And you don't want a bright screen to bother you know you're trying to sleep partner
[01:45:07.360 --> 01:45:11.020]  You wouldn't want the Apple logo growing glowing real bright either so of course
[01:45:11.020 --> 01:45:16.620]  They were just tied to the same brightness Center, but I do think though that I really do think it's true
[01:45:16.620 --> 01:45:19.400]  Even even though once again. I'm just pulling this out of my ass
[01:45:19.400 --> 01:45:23.200]  I really do think that at a certain point that when the screen technology changed
[01:45:23.200 --> 01:45:25.960]  They actually put in a separate lighting thing for the Apple logo
[01:45:26.560 --> 01:45:31.000]  It wouldn't surprise me and and it was a cool thing. It was a cool feature like
[01:45:31.600 --> 01:45:35.400]  On ATP it might have even been the same episode where your laptop got wet
[01:45:35.400 --> 01:45:40.000]  They were talking about whimsy and people misinterpret what whimsy means
[01:45:40.000 --> 01:45:43.100]  But I did hear that it is the whimsy is like
[01:45:43.100 --> 01:45:47.240]  I always viewed some of the stuff that Apple did as we did this because it was cool
[01:45:47.240 --> 01:45:50.000]  And we could do it right and it was not because it was practical
[01:45:50.120 --> 01:45:53.120]  But because we're Apple and we're gonna push a little bit further
[01:45:53.120 --> 01:45:59.080]  We're gonna make it cool so in the case of the cutout on the back that probably started with somebody saying oh my god
[01:45:59.240 --> 01:46:05.280]  Look at this we could we could like cut out the Apple logo, and it'll light up when it's in use that's amazing
[01:46:05.280 --> 01:46:09.280]  And then later they get a screen they're like oh no and somebody's like put in a light
[01:46:09.280 --> 01:46:12.120]  We have to keep the light up logo. They're like yeah, okay
[01:46:12.120 --> 01:46:16.600]  We'll do that or the the one that Marco brought up that I think is great is the the breathing sleep light
[01:46:16.600 --> 01:46:18.600]  Yeah, which is like totally unnecessary
[01:46:19.760 --> 01:46:21.840]  But because when you look on PC laptops
[01:46:21.840 --> 01:46:27.380]  They would always have like hard drive access light and Wi-Fi light and all these things like forget that we'll put that on screen
[01:46:27.400 --> 01:46:29.000]  But when it's closed
[01:46:29.000 --> 01:46:30.880]  It's gonna do the slow pulse
[01:46:30.880 --> 01:46:35.520]  To let you know that it's there and that it's still alive and that it's in sleep mode and not shut down
[01:46:35.520 --> 01:46:37.160]  I'm like do they need to do that
[01:46:37.160 --> 01:46:42.840]  It totally didn't need to do that light on the light on the power charger right like they need to do it
[01:46:42.840 --> 01:46:47.880]  No, absolutely not, but it was a nice little bit, and I would you know I like that about Apple
