[00:00.000 --> 00:04.640]  So where to start I say we let's just talk about Renee Ritchie. Let's talk year in review. Yes
[01:12:29.580 --> 01:12:31.580]  So you just put these font files there
[01:12:32.060 --> 01:12:34.060]  log out log back in
[01:12:34.060 --> 01:12:39.680]  And yosemite, you know will draw as with the system font. It'll use san francisco
[01:12:41.180 --> 01:12:43.180]  So I tried it just to see what it was like
[01:12:43.820 --> 01:12:50.300]  And it's it just doesn't work. Like it's it's not that it doesn't work like it's broken and it you know, it's you know
[01:12:50.940 --> 01:12:55.740]  A technical failure just aesthetically. It's just kind of not right
[01:12:56.300 --> 01:12:59.900]  Which is interesting because I didn't think i'd like helvetica on the mac as much as I did but then
[01:12:59.900 --> 01:13:04.620]  Uh after the apple tv update which came much after you much after wwc
[01:13:04.860 --> 01:13:10.700]  And now i'm seeing helvetica on my apple tv. That is much more every time I see it. I get a little reaction to it. Yeah
[01:13:11.740 --> 01:13:18.460]  And it feels it's somehow crazy to me how apple has made it a font that is available to everyone anywhere. Yeah
[01:13:19.180 --> 01:13:20.860]  Feel like they own it
[01:13:20.860 --> 01:13:23.980]  Yeah, and it just when they use it. It's it's such an established font
[01:13:23.980 --> 01:13:27.340]  It's such a classic and yet it feels so modern in the way that they're using it. Yeah
[01:13:27.340 --> 01:13:31.740]  But I don't think I at san francisco to me. It's it's completely designed
[01:13:31.900 --> 01:13:38.140]  I think for the watch and it's meant to be used at watch-like sizes, which are physically very very small
[01:13:38.380 --> 01:13:42.780]  Yeah, like the biggest you're ever going to see text on your apple watch is a pretty small size
[01:13:43.980 --> 01:13:48.400]  It's it's sort of in context like I know you've spoken with us on previous shows with the vibrancy
[01:13:48.620 --> 01:13:51.820]  And you know some people turn it off but i've even gotten used to that
[01:13:51.820 --> 01:13:55.500]  i've gotten used to seeing areas of red or black or or things and it it just
[01:13:55.500 --> 01:14:00.700]  I don't buy the argument that it brings a desktop through but it does sort of of make the whole system seem more alive
[01:14:01.580 --> 01:14:05.100]  Yeah, i'm but there's no doubt that like syracuse has mentioned several times
[01:14:05.100 --> 01:14:10.220]  There's no doubt that that's going to get toned down. Yeah next year and a year after you know that they start out with
[01:14:10.940 --> 01:14:13.660]  Taking an idea to the maximal level
[01:14:14.380 --> 01:14:19.580]  And then over the years dial it back to where it should be but they're they you know, apple is it as a company
[01:14:19.580 --> 01:14:25.100]  Tends to err on the side of taking an idea too far than taking not taking it far enough
[01:14:25.820 --> 01:14:27.660]  Yeah, and it's also they're very for a giant company
[01:14:27.660 --> 01:14:31.260]  They have they have a lot of respect for the singular designer vision like the person who designed
[01:14:31.340 --> 01:14:35.660]  Yosemite had a lot of ideas and those ideas not all of them made it through but a lot of them did in a lot
[01:14:35.660 --> 01:14:39.180]  Of companies it would have fallen to design by committee very quickly. Yeah
[01:14:43.500 --> 01:14:47.340]  So I think overall Yosemite has been a pretty pretty strong success
[01:14:47.340 --> 01:14:53.820]  Yeah, agreed completely and for all the bugs that ios 8 had and you know hit so many people I think I I think
[01:14:54.060 --> 01:15:01.180]  Yosemite has been pretty stable and and you know deserves applause right from the get-go for for being pretty
[01:15:01.820 --> 01:15:03.980]  Trouble-free if you were an early adopter
[01:15:04.380 --> 01:15:10.060]  They had a couple wi-fi patch and wi-fi and bluetooth seem to be something that just affects some percentage of people every time
[01:15:10.380 --> 01:15:14.300]  They had some security things even today. They patched it. I think it was yesterday
[01:15:14.300 --> 01:15:19.820]  Even today they patched it. I think it was yesterday. They're they're patching security now faster than they've ever done before
[01:15:19.900 --> 01:15:23.980]  Yeah, it's it's really a new age in at least a delivery of mac software
[01:15:24.300 --> 01:15:29.500]  Yeah today as we record we're recording on december 23rd, and uh, it might have rolled out
[01:15:29.580 --> 01:15:32.140]  I think it rolled out last night at least on us time
[01:15:32.140 --> 01:15:35.340]  But within the 24 hours that we're recording as as we speak
[01:15:35.820 --> 01:15:40.780]  There was a a bug fix that apple rolled out that for the first time ever they pushed
[01:15:41.420 --> 01:15:42.940]  to
[01:15:42.940 --> 01:15:45.900]  Uh, at least we have semity. I don't know if maverick's got the push
[01:15:46.540 --> 01:15:50.220]  But if you're running Yosemite, I got the notification like when I logged in this morning
[01:15:50.220 --> 01:15:55.260]  It just said a security update was applied. Yeah, and that's it. It's like, you know
[01:15:56.620 --> 01:16:01.900]  And I you know, it's a lot of pressure for them because if they ever pushed one of those that did break things
[01:16:02.460 --> 01:16:04.460]  It's there it's going to be
[01:16:04.940 --> 01:16:06.300]  you know
[01:16:06.300 --> 01:16:09.260]  Quite a scandal. Yeah, I mean they're paying close attention to that stuff now
[01:16:09.260 --> 01:16:12.860]  But it's sort of we complained that they weren't being fast enough with security updates and at a certain point
[01:16:12.860 --> 01:16:16.060]  They just you know, pick up the pace. Yeah, and I you know
[01:16:16.220 --> 01:16:22.380]  The the the thanks for that the applause for that is never as loud as the criticism beforehand. No
[01:16:23.020 --> 01:16:28.240]  No, no, it does seem like they're getting faster. Um, I can't help but think that with the bluetooth and wi-fi
[01:16:28.940 --> 01:16:30.380]  that it must
[01:16:30.380 --> 01:16:33.100]  it must just be that the matrix of
[01:16:33.100 --> 01:16:38.620]  How many different wi-fi chipsets there are in all the supported max that run Yosemite?
[01:16:39.260 --> 01:16:44.780]  Multiplied by all the various chipsets in the wi-fi routers out in the real world
[01:16:45.580 --> 01:16:47.420]  is just
[01:16:47.420 --> 01:16:50.460]  It it's just a testing nightmare like it, you know
[01:16:51.580 --> 01:16:53.980]  You know, it's almost we're almost lucky that it works at all
[01:16:54.860 --> 01:16:57.020]  Because it just happens over and over and over again
[01:16:57.420 --> 01:17:00.220]  I just run all apple stuff and i've never had a wi-fi or bluetooth problem
[01:17:00.220 --> 01:17:03.980]  But I imagine when you like you say if you have every single vendor in there and every single variant you're gonna
[01:17:04.380 --> 01:17:06.860]  You're gonna hit whatever bugs are in both those stacks fairly often
[01:17:07.660 --> 01:17:09.660]  Yeah, I have an apple
[01:17:09.660 --> 01:17:14.860]  Router downstairs. I think it's the latest whatever extreme. I don't know what they call it anymore. But the one that's tall
[01:17:16.860 --> 01:17:22.220]  And have for years and i've never been hit with those problems either because i'm surely you know
[01:17:22.380 --> 01:17:27.980]  Every single standard apple wi-fi chipset in a mac does get tested against apple's own
[01:17:27.980 --> 01:17:31.020]  Routers. Yeah, I think they're first in line, right?
[01:17:32.540 --> 01:17:37.820]  And I think that max or I mean you see bugs with with ios and wi-fi too
[01:17:37.820 --> 01:17:41.980]  But I do think it seems to hit the mac more and I can't help but think it's because the mac hardware is not as
[01:17:41.980 --> 01:17:47.980]  Unified as as ios hardware. I think ipad air 2 is the first ipad where we didn't see a bunch of people complaining about wi-fi
[01:17:48.700 --> 01:17:50.700]  As soon as it launched
[01:17:50.700 --> 01:17:56.460]  Yeah, I I get the feeling that like supporting wi-fi at the driver level is you know, sort of
[01:17:56.460 --> 01:18:03.020]  Like supporting imap when you're writing a male client which it meaning that every single imap
[01:18:03.020 --> 01:18:07.500]  Server has like a different interpretation of the imap spec at some level. Yeah
[01:18:08.700 --> 01:18:15.900]  Like there's no way to just write a generic imap client every imap client that it gains any popularity because it hasn't you know
[01:18:15.900 --> 01:18:17.900]  It it's actually useful
[01:18:17.900 --> 01:18:19.900]  effectively as you know, it
[01:18:19.900 --> 01:18:25.100]  You know, i'm server by server list of exceptions and and stuff like that
[01:18:25.100 --> 01:18:28.540]  Which was the big complaint about mail and mavericks, especially with gmails
[01:18:29.100 --> 01:18:33.980]  Eccentric to use the polite word imap implementation and now with yosemite. You don't hear that very much anymore either
[01:18:34.300 --> 01:18:37.980]  No, you don't I I think it's I think they've cleaned that up pretty well. Yeah
[01:18:39.580 --> 01:18:45.180]  Where are we at in a calendar year? I think we're heading towards the iphone 6 and 6 plus event. Yeah
[01:18:46.140 --> 01:18:49.260]  Which was also the debut of the watch. Yeah
[01:18:50.300 --> 01:18:52.300]  Big and bigger and then small
[01:18:52.540 --> 01:18:53.740]  right
[01:18:53.740 --> 01:18:55.740]  right and apple pay
[01:18:56.460 --> 01:19:00.620]  Yeah, and in the demo area, I mean they had the iphones laid out. They had the ipads
[01:19:00.700 --> 01:19:04.460]  They had the apple watch laid out and then they had a whole area where you could go and see
[01:19:04.700 --> 01:19:07.020]  apple pay both in the app and at a simulated
[01:19:08.300 --> 01:19:10.300]  checkout station
[01:19:10.700 --> 01:19:13.420]  Yeah, and I do think that's a good example of how
[01:19:14.540 --> 01:19:22.460]  How difficult this you know in broad strokes strokes how difficult apple and you know, anybody else who's in the industry but
[01:19:22.460 --> 01:19:29.900]  How it's not a month to month year to year game. It's a decade-long game because even with apple pay
[01:19:30.700 --> 01:19:37.340]  You know, it's intertwined with the iphone 6 because it's the iphone 6 and 6 plus are the only phones that work with apple pay
[01:19:38.060 --> 01:19:39.900]  At least at retail terminals
[01:19:42.300 --> 01:19:47.900]  And you know you had to have touch id first so that was a year that goes back a year ago to the iphone 5
[01:19:48.460 --> 01:19:49.820]  s
[01:19:49.820 --> 01:19:56.300]  You had to have it and it had to work really well. So that starts a year ago now this year
[01:19:56.300 --> 01:19:59.260]  you've got the two new phones that have nfc built in
[01:20:00.140 --> 01:20:05.900]  And the rollout in the retail stores of the terminals, you know that accept it
[01:20:08.700 --> 01:20:12.140]  But you're still talking about a service that only works
[01:20:12.620 --> 01:20:17.340]  Two months in for people who've bought a brand new top of the line iphone within the last two months
[01:20:17.340 --> 01:20:19.900]  right, like the real the real apple play is
[01:20:20.700 --> 01:20:24.700]  Two three years ago when 85 of active iphone users are using
[01:20:25.420 --> 01:20:27.180]  Something iphone 6 or newer
[01:20:27.900 --> 01:20:32.300]  It shows uh the patience that apple has for some things and it shows how for example
[01:20:32.620 --> 01:20:35.900]  Nfc to a lot of their competitors was just a chipset like they would just throw it in there
[01:20:35.900 --> 01:20:39.980]  They didn't really care what you did with it different manufacturers would do different things where apple
[01:20:39.980 --> 01:20:41.100]  There's no such thing as a chipset
[01:20:41.100 --> 01:20:46.540]  It's a feature set and they experimented with nfc there were prototypes with nfc for years and they just never shipped it because they
[01:20:46.540 --> 01:20:51.900]  Didn't have a feature set that needed it not that it was a you know curiosity and might be a benefit but actually needed it
[01:20:52.300 --> 01:20:55.900]  As a core technology in the phone and when they did they put nfc in and they shipped it
[01:20:56.460 --> 01:20:58.460]  And it took until iphone 6 for that to happen
[01:20:58.460 --> 01:21:03.580]  But like you said they had to have passbook they had to have touch id they'd have all these things in place
[01:21:03.820 --> 01:21:08.700]  And then when it made sense as a product it gets shipped. Yeah, i've i've heard about nfc for iphone
[01:21:08.700 --> 01:21:13.820]  I think as far back as 2009 which was the year that the 3gs came out
[01:21:13.820 --> 01:21:15.820]  and that
[01:21:16.540 --> 01:21:18.540]  Trying to think when that was that I heard that
[01:21:19.580 --> 01:21:24.060]  I mean, it would have it wouldn't have been right before it would have been, you know, like seven or eight months before
[01:21:24.700 --> 01:21:29.740]  That it was a maybe for the next iphone, you know, and clearly, you know, obviously did not happen
[01:21:30.300 --> 01:21:31.260]  uh
[01:21:31.260 --> 01:21:37.500]  And I you know, I think ultimately, you know, why not and then again, it was a recurring thing like 2009. Maybe 2010
[01:21:37.740 --> 01:21:40.540]  Definitely, maybe apple is very very interested in nfc
[01:21:40.540 --> 01:21:45.660]  Um, so that would have been the iphone 4, you know, it wasn't there and I think it was always, you know
[01:21:45.740 --> 01:21:49.020]  Is that there was no story behind it, right? There's no
[01:21:49.660 --> 01:21:52.780]  What how how is this actually going to be useful to people in the real world?
[01:21:53.980 --> 01:21:55.100]  Absolutely. I mean
[01:21:55.100 --> 01:22:01.260]  They would prototype apple prototypes almost any anything that you can find a blog post about that makes even the slightest logical sense
[01:22:01.660 --> 01:22:05.100]  Apple will prototyped it like when they say max make no sense for multi-touch
[01:22:05.340 --> 01:22:06.780]  It's not because they're just you know
[01:22:06.780 --> 01:22:11.500]  Daydreaming or saying it for the sake of saying it is because they built it they spent a lot of time trying it and they decided
[01:22:11.500 --> 01:22:14.460]  It wasn't an experience. They want to ship and it in one day
[01:22:14.460 --> 01:22:19.740]  Maybe it will be and with nfc it was in later stage prototypes for different phones and they're trying things and they're like you said
[01:22:19.740 --> 01:22:24.140]  No story, so it didn't ship and then as soon as they had a really compelling story, which was apple pay
[01:22:24.540 --> 01:22:30.380]  That's in every phone we have now. Yeah, so tying it in you know, the iphone 6 announcement with
[01:22:30.940 --> 01:22:32.620]  This week's news. There's another
[01:22:32.620 --> 01:22:38.700]  rumor that came out of asia some analyst that uh, that apple is considering a
[01:22:40.620 --> 01:22:46.140]  For a new four-inch iphone for next year, did you see that? Yep. I think mac rumors had it
[01:22:47.980 --> 01:22:52.220]  I think the name the guy came up with it was totally stupid. He called it the iphone 6s
[01:22:53.100 --> 01:22:55.100]  mini, yeah
[01:22:55.100 --> 01:22:57.100]  They call it a 6s minus
[01:22:57.100 --> 01:23:00.700]  I think the name would be clearly it would be the iphone 6c, right? Yep
[01:23:00.700 --> 01:23:06.460]  I I think it almost certainly would be the iphone 6c and if not see then air maybe
[01:23:07.420 --> 01:23:10.140]  It's got to be 6s minus 6s and 6s plus
[01:23:12.140 --> 01:23:14.220]  Use them just write that math analogy into the ground
[01:23:15.340 --> 01:23:18.560]  Minus and they'd actually spell it out like minus
[01:23:19.340 --> 01:23:25.100]  I think again i'm i'm almost you know, I can't say i'm positive but I think it's very likely that apple's prototyping four-inch iphones
[01:23:25.100 --> 01:23:29.020]  Because they prototype tons of different sizes what was interesting to me is I heard you say that
[01:23:29.020 --> 01:23:33.180]  On a previous show. It might have been two episodes ago or three episodes ago and I was curious
[01:23:33.180 --> 01:23:38.620]  You know what android people thought of that because their phones I mean their their version of the htc1 mini was I think
[01:23:38.620 --> 01:23:41.900]  You know five inches or something and so I asked them, you know
[01:23:41.900 --> 01:23:46.140]  Is there a demand for four-inch android phones and I heard crickets people said no 4.7
[01:23:46.700 --> 01:23:50.780]  Is the smallest we'd ever want and to me that that doesn't mean apple should make one
[01:23:50.780 --> 01:23:54.140]  That means there's probably a segment of the market that is totally underserved
[01:23:54.140 --> 01:24:00.860]  By the volume vendors and that there is opportunity for people who are distinguished or or have very specific tastes and and would enjoy
[01:24:01.260 --> 01:24:05.820]  Ios at that size. Yeah, I the thing that makes and this isn't based on this guy's reporting
[01:24:05.820 --> 01:24:11.260]  This is just my I close my eyes and think about the way apple thinks and the way apple has acted over the last seven
[01:24:11.260 --> 01:24:14.060]  Years, and I think it's probably true
[01:24:14.860 --> 01:24:17.020]  But I also think that calling it the 6c
[01:24:17.420 --> 01:24:21.820]  Whether they call it that or not tells you exactly what it's going to be is I think it's going to be
[01:24:21.820 --> 01:24:23.660]  an a8
[01:24:23.660 --> 01:24:25.660]  You know this year's a8
[01:24:26.380 --> 01:24:28.700]  And a camera like this year's camera
[01:24:31.980 --> 01:24:39.500]  It's you know going to be effectively an iphone 6 shrunk to four inches whereas the iphone 6s and 6s plus
[01:24:39.900 --> 01:24:44.220]  If they call them that we'll get the a9 and they'll get a better camera
[01:24:44.860 --> 01:24:48.780]  And other, you know, whatever the 2015 technical improvements are
[01:24:48.780 --> 01:24:52.460]  So that you'll be able to buy a four-inch iphone next year
[01:24:53.820 --> 01:25:00.860]  And you'll have touch id and you'll have apple pay and you'll have an a8 and you'll have a camera like the one we have today
[01:25:01.260 --> 01:25:04.620]  But if you want the top of the line if you want the newest the latest and greatest
[01:25:05.260 --> 01:25:11.500]  Camera, if you want the latest and greatest, uh system on a chip, you're still going to have to go 4.7 or or
[01:25:12.220 --> 01:25:13.340]  5.5
[01:25:13.340 --> 01:25:16.300]  Yeah, it makes a lot of sense for the same reasons like because the iphone 6s
[01:25:16.300 --> 01:25:22.300]  Yeah, it makes a lot of sense for the same reasons like because the the iphone 5c kept was always called the cheap iphone
[01:25:22.300 --> 01:25:25.500]  And apple never makes cheap products, but they wanted to make a popular iphone
[01:25:25.500 --> 01:25:28.700]  They wanted something that would sit on the shelves not like a blockbuster movie
[01:25:28.700 --> 01:25:31.020]  But like a tv show that just people could buy anytime
[01:25:31.260 --> 01:25:34.460]  But it also let them shove that down to the bottom of the line much faster
[01:25:34.540 --> 01:25:38.540]  They wouldn't have to leave an iphone 5 there and the same logic makes sense to the you know
[01:25:38.540 --> 01:25:41.820]  For an iphone 6c to be able to move that down the product line faster
[01:25:41.820 --> 01:25:46.380]  And make apple pay more accessible to more people or and to have it in more parts of their product lineup
[01:25:47.100 --> 01:25:52.060]  Yeah, and I think the other thing that they don't want is that third pricing tier
[01:25:52.700 --> 01:25:55.740]  That starts it because that's the other thing if you do want a new four inch phone next year
[01:25:55.740 --> 01:25:58.460]  I do the other if i'm right that it's going to be
[01:25:59.340 --> 01:26:03.180]  The 2014 tech technical stuff, you know the a8 and the camera etc
[01:26:03.500 --> 01:26:08.620]  The upside will be that you'll save money because I think it'll start at 99 on a contract and you know
[01:26:08.620 --> 01:26:13.420]  If it's off contract, it'll be a hundred dollars less than the the six ass
[01:26:13.660 --> 01:26:19.980]  Yeah, if you have 4.7 at the 199 mark the four inch just based on human behavior has to be cheaper
[01:26:20.300 --> 01:26:20.540]  Yeah
[01:26:20.540 --> 01:26:27.820]  The thing that I think they wanted to get away from is having that 99 tier and i'm speaking in the subsidized terms
[01:26:27.980 --> 01:26:34.220]  But the 99 tier look virtually identical to the 199 tier. Yeah
[01:26:34.780 --> 01:26:37.740]  Right. That's what the six or the five c
[01:26:37.740 --> 01:26:40.700]  Did is they you know, it had exactly the same
[01:26:41.340 --> 01:26:42.700]  tech specs
[01:26:42.700 --> 01:26:45.500]  Almost to a t as the iphone 5
[01:26:46.060 --> 01:26:50.060]  But it looked different and some people, you know, obviously some people thought it looked better
[01:26:50.060 --> 01:26:52.380]  I know people who bought it because they wanted a colorful phone
[01:26:52.700 --> 01:26:57.020]  But it's still even if that's the case then, you know good for you. You saved 100 bucks
[01:26:58.460 --> 01:27:03.500]  but I don't think apple liked it where up until the 5c was introduced the the
[01:27:03.500 --> 01:27:12.060]  99 option looked or nearly identical, you know, there were obviously some certain tells that you could tell an iphone 4 from a 4s
[01:27:12.060 --> 01:27:16.380]  you know the antenna bands were it's certainly different at slightly different points and
[01:27:16.940 --> 01:27:22.540]  Earlier the when they first started keeping the year old phone around the 3g and the 3gs
[01:27:22.540 --> 01:27:29.020]  You could tell them apart because the eye the word iphone on the back was written. Yes shiny letters instead of flat letters
[01:27:29.020 --> 01:27:32.140]  Well people want to show they have the new one right as part of the esteem of having the new one
[01:27:32.140 --> 01:27:36.940]  It's part of the esteem of having the new iphone, right? No, I totally think so, you know, and
[01:27:37.580 --> 01:27:43.260]  It's an apple wants to enable that so that's why I think that you know, I don't know if I don't know if an iphone
[01:27:43.980 --> 01:27:45.740]  um
[01:27:45.740 --> 01:27:51.020]  6c would be plastic like the 5c like I wouldn't be surprised if it's metal
[01:27:51.580 --> 01:27:55.340]  Or and rounded, you know with rounded corners like the 6s and 6 plus
[01:27:55.580 --> 01:27:59.260]  But just the size of it would tell you that it's you know, the lesser model
[01:27:59.260 --> 01:28:03.420]  Yeah, it was funny with the iphone 5 even though apple rebuilt it from the adams on up
[01:28:03.420 --> 01:28:07.500]  It was boring, but the minute they made it in gold, you know people first made fun of it and then everyone complained
[01:28:07.500 --> 01:28:09.500]  They couldn't get one
[01:28:12.060 --> 01:28:14.940]  Did you you know, yeah, it's still hard to get and uh
[01:28:16.460 --> 01:28:23.020]  Iphones. Yeah, like there's there's still I didn't know that until I was listening to atp and heard syracusea talking about it
[01:28:24.140 --> 01:28:27.180]  It's yeah supply still hasn't caught up with demand
[01:28:27.180 --> 01:28:32.060]  Milton has been trying to get them for weeks. And I think he had to finally call in favors to try to get them shipped to
[01:28:34.140 --> 01:28:39.180]  That makes me laugh well, it's hilarious because people who leave apple have no idea how to get a like how normal people get their phones
[01:28:39.180 --> 01:28:44.220]  Like they just they've never had to deal with carriers or with retail stores or and it sounds like some of them
[01:28:44.220 --> 01:28:48.540]  You know as much as I love them. They're just a little inadequate and equipped to deal with the horrors of retail shopping
[01:28:52.380 --> 01:28:54.380]  Yeah, let me see here if I get a
[01:28:54.380 --> 01:28:58.540]  Six and I get it in space gray. I get it on verizon
[01:29:03.420 --> 01:29:06.060]  If I want well, it looks like I can get I can get
[01:29:08.140 --> 01:29:11.020]  128 gigs is available three to five business days
[01:29:11.740 --> 01:29:17.500]  I think the six plus is still harder than the six. Yeah, but they're starting to fall into more about which is crazy
[01:29:17.500 --> 01:29:19.500]  I mean as much as people complain about
[01:29:20.140 --> 01:29:22.140]  About the iphone you still can't get them
[01:29:22.140 --> 01:29:25.340]  There's their complete their supply constraint for months after launch. Yeah
[01:29:26.300 --> 01:29:28.300]  Just crazy
[01:29:29.340 --> 01:29:33.980]  And I think that's you know, but I still think that's pretty interesting that they're at a point where they still don't catch up
[01:29:34.780 --> 01:29:38.380]  In supply demand until after the holiday. Yeah
[01:29:39.180 --> 01:29:44.220]  And year after year or two, it's not a diminishing thing. They're making more and more money off the iphone. Yeah
[01:29:45.100 --> 01:29:49.820]  What's left? I guess we have the last event of the year, which would be the ipad air
[01:29:49.820 --> 01:29:53.740]  Two. Yes, and you know semity. Oh and the retina iMac. Yeah
[01:29:55.020 --> 01:29:58.460]  Retina iMac is the only one that really sticks out to me. I still I love the ipad air, too
[01:29:58.460 --> 01:30:05.020]  I still think I think it's an amazing device, but it's it's a refinement of the ipad air whereas the
[01:30:05.900 --> 01:30:12.860]  The retina 5k mac is to me like a new a new era the two things that are similar to me about those devices
[01:30:12.860 --> 01:30:17.500]  Are that with the ipad air 2 apple started making their own gpu's, you know, like an anti-con, you know
[01:30:17.500 --> 01:30:20.940]  Like an antique first thought it was a six core. Um
[01:30:21.660 --> 01:30:23.020]  imagination
[01:30:23.020 --> 01:30:27.740]  Chip and they later realized that it was an eight core one which it was totally theoretical until apple made it
[01:30:27.980 --> 01:30:29.180]  It wasn't just a design
[01:30:29.180 --> 01:30:31.740]  They actually took the architecture and built their own custom gpu
[01:30:32.060 --> 01:30:36.860]  And they've been doing cpus for a couple generations like they had swift and they had cyclone now they have cyclone, too
[01:30:37.500 --> 01:30:41.820]  But now they're doing the entire chip almost is in-house at apple
[01:30:42.060 --> 01:30:45.580]  And then you look at the iMac and they made the timing controller
[01:30:45.580 --> 01:30:49.660]  Right where that they made 5k possible in that computer when intel has not yet shipped
[01:30:50.060 --> 01:30:56.140]  Skylake or or thunderbolt 3 or anything so they are there again. They're making more and more of the internals of their machines
[01:30:56.700 --> 01:31:04.780]  yeah, and that's interesting to me that they've done it for the iMac because they've they've they've had this economy of scale with ios devices
[01:31:05.020 --> 01:31:09.820]  Because even as they've expanded the lineups and they've gone out of two iphone sizes
[01:31:09.820 --> 01:31:15.340]  And they've gone out of two iphone sizes and you know, there's two ipad sizes
[01:31:16.060 --> 01:31:20.060]  And there are cellular and non-cellular versions of the ipads
[01:31:20.140 --> 01:31:26.880]  But for the most part it's still in terms of what's actually new this year. It's a very limited number of skus
[01:31:27.660 --> 01:31:32.460]  Right and and they share a lot of stuff, you know that the iphone 6 and 6 plus
[01:31:32.460 --> 01:31:39.680]  Are really very very there's a slight difference in the camera where the the 6 plus camera has optical image stabilization
[01:31:40.380 --> 01:31:43.520]  So that's a different part, but it's the same a8 cpu
[01:31:44.860 --> 01:31:49.340]  And it's you know, just the stuff that has to be different. It's different, you know different display
[01:31:51.660 --> 01:31:53.740]  Because it's a different size and it's different pixels
[01:31:55.820 --> 01:31:57.020]  But that they've you know
[01:31:57.020 --> 01:32:02.540]  They had this great economy of scale which lets them do these things like you're saying like build their own systems on a chip
[01:32:03.500 --> 01:32:07.740]  And not share it with the rest of the you know, have these things that aren't available to anybody else in the industry
[01:32:08.060 --> 01:32:14.140]  It's interesting to me that they've done it with the iMac too, which is clearly lower volume. I mean without question
[01:32:14.220 --> 01:32:20.540]  I mean, I think all iMacs together are are just dropping the bucket volume wise compared to ipad or
[01:32:20.540 --> 01:32:26.380]  any iphone or ipad model, but the retina one in particular existing only at the top of the
[01:32:28.540 --> 01:32:30.540]  Product what do you call it the product?
[01:32:31.100 --> 01:32:38.060]  The pyramid. Yeah, the pyramid right? It's only the best option the good and better ones are still non-retina because the retina display
[01:32:40.380 --> 01:32:46.700]  You know, it's it's this weird combination where it's you know in one sense it's remarkably inexpensive because
[01:32:46.700 --> 01:32:50.540]  Famously like Dell has a 5k display. Didn't they come out with a 5k display?
[01:32:50.540 --> 01:32:53.740]  They yeah, they came out with a month or so ago, but it requires two
[01:32:54.300 --> 01:32:59.500]  Displayport connections, but it costs as much it costs as much or more as the whole iMac. Yes, right
[01:32:59.500 --> 01:33:01.340]  So Dell came out with a 5k display
[01:33:01.340 --> 01:33:03.740]  We're just the display and forget about whether you need you know
[01:33:03.740 --> 01:33:07.900]  How you're gonna actually run it and that you need to display ports and all that. How are you gonna get graphics cards?
[01:33:07.900 --> 01:33:11.740]  How are you gonna get how's everything gonna work? Just forget about it. Just the display itself
[01:33:11.740 --> 01:33:16.540]  Costs as much as the whole iMac which includes a pretty killer computer. Yeah
[01:33:17.820 --> 01:33:22.540]  And the crazy thing is Apple if you asked me for you know, ten years ago, you know, Apple's not a chip fab
[01:33:22.540 --> 01:33:24.060]  They're not an Intel. They're not a TMCH
[01:33:24.060 --> 01:33:29.020]  They're not any one of these companies and they got to 64-bit first and now they're they're making chips that are just
[01:33:29.260 --> 01:33:32.460]  Pushing the industry forward and they're not a peripheral maker
[01:33:32.460 --> 01:33:37.260]  But they're with the original IPS iMac and now with the 5k iMac they're making displays
[01:33:37.260 --> 01:33:44.700]  That's just pushing the industry forward and the the iPad air 2 is so overpowered that you could arguably say, you know guys relax stop
[01:33:44.700 --> 01:33:49.340]  but instead of that Apple's just saying run get as far ahead as fast as you can and just keep going just
[01:33:49.580 --> 01:33:54.060]  push the state of this technology because it will filter down and we will figure out a way to make all this stuff super
[01:33:54.380 --> 01:34:02.540]  Super important and to do things that nobody else can do. Yeah, and that's it's turning the industry's model on its head
[01:34:02.540 --> 01:34:07.180]  Where from the outset from the very beginning of personal computing?
[01:34:07.740 --> 01:34:14.700]  through recently the model was that it's you know, this commodity market where you buy
[01:34:15.420 --> 01:34:22.060]  CPUs from Intel you buy graphics cards from Nvidia or you know, whoever else
[01:34:22.780 --> 01:34:29.580]  Radion, I guess it you know, but there'd be graphics companies. There'd be memory makers, you know, there'd be
[01:34:29.580 --> 01:34:35.180]  Hard drive makers and you would just put all the you know, if you wanted to make a computer you'd pick and choose you get the salad bar
[01:34:35.660 --> 01:34:38.220]  Right, I guess yeah, it's totally like a salad bar
[01:34:38.220 --> 01:34:42.540]  But everybody else could get them too and you could make deals and depending on your volume
[01:34:42.540 --> 01:34:49.580]  I'm sure you know Dell and HP as higher volume vendors would have some sort of leverage and priority versus
[01:34:50.220 --> 01:34:52.220]  You know a smaller
[01:34:52.380 --> 01:34:55.420]  by market share PC maker, you know, but
[01:34:55.420 --> 01:35:01.020]  It was that the what you were possible. What what was possible to do though was
[01:35:01.580 --> 01:35:07.020]  Limited by these specialists. So if you wanted to drive a 5k display
[01:35:08.540 --> 01:35:11.020]  You were limited unless you could get
[01:35:11.500 --> 01:35:17.580]  Somebody, you know that less the state of the art in the graphics industry was a graphics card that could push that many
[01:35:18.140 --> 01:35:20.140]  pixels and a connector
[01:35:20.700 --> 01:35:22.140]  that
[01:35:22.140 --> 01:35:30.140]  Could carry them whereas apple has started turning things like that on its head and it doesn't matter if the industry can't do it
[01:35:30.140 --> 01:35:33.180]  Yet the state of the art in the industry. They just made their own
[01:35:33.980 --> 01:35:37.340]  And made it work. Yeah, and it's not available to anybody else
[01:35:38.620 --> 01:35:42.140]  That's the in like you said like to do things that other people can't do
[01:35:42.860 --> 01:35:44.860]  What goes back to your only apple?
