[00:00.000 --> 00:02.000]  Do you watch football?
[53:55.680 --> 53:59.920]  But there was like there was a youtube ad the one time and I could have skipped it within three seconds
[53:59.920 --> 54:04.560]  But I was instantly like oh i've got to see this and it was really pretty clever and I was like wow
[54:04.560 --> 54:06.240]  That was that was well done
[54:06.240 --> 54:09.040]  Right, but but yeah, I know I mean
[54:09.920 --> 54:13.280]  No one started a tv show with the advertising at the beginning, right?
[54:13.600 --> 54:15.280]  It was always it would be in the middle, right?
[54:15.280 --> 54:20.400]  You'd have the cliffhanger and then it'd go to commercial and then you'd you know, you know who has great pre-rolls geico
[54:21.440 --> 54:24.640]  Geico has a series of pre-rolls that that are uh
[54:25.040 --> 54:29.360]  The gist of it is this this this ad is going to be this ad for geico is going to be over before you can
[54:29.360 --> 54:32.960]  Even skip it right just they just buy like a four second spot
[54:32.960 --> 54:38.320]  No, I think that's the that that that's that's the that's the way to do it right and it really lives leaves me with this incredibly
[54:39.760 --> 54:45.200]  Uh, you're grateful to them for not wasting your time. Well, right. They didn't waste my time and I think hey that was pretty clever
[54:46.160 --> 54:47.200]  You know
[54:47.200 --> 54:52.080]  I it's it's both I they get a little bit of my gratitude and they get a little bit of my admiration for being clever
[54:52.960 --> 54:54.080]  Yeah
[54:54.080 --> 55:00.320]  No, I the the yeah, I agree. Um, but but the thing what's so compelling about facebook is um,
[55:00.320 --> 55:06.560]  You know, I i've I made this joke on my podcast exponent, but like people don't schedule facebook time, right?
[55:06.560 --> 55:07.600]  They don't put in their calendar
[55:07.600 --> 55:12.960]  This is when i'm going to go check facebook like they check facebook when they're standing in line at the store or they're sitting on
[55:12.960 --> 55:19.760]  The couch or like whatever like it's it's found time. It's and your posture is you're not doing anything
[55:19.760 --> 55:23.040]  you're just kind of mindlessly going through it and
[55:23.600 --> 55:24.960]  That sounds bad
[55:24.960 --> 55:32.320]  sounds bad, but that's actually makes it an incredible advertising platform because your your mind's open you're open to
[55:32.800 --> 55:34.800]  Whatever is in your feed, right?
[55:34.800 --> 55:41.620]  And that's when advertisers particularly brand advertisers that want to build sort of an affinity for their brand and a positive association
[55:41.920 --> 55:43.920]  That's when they most want to reach you
[55:44.320 --> 55:49.840]  And it makes I mean, that's what makes facebook's market so incredible. It's not just there's so many devices out there
[55:49.840 --> 55:54.800]  It's not that they have so many users and it's not just that there's more time spent on mobile other devices
[55:54.800 --> 55:56.800]  It's the kind of time that is spent
[55:57.200 --> 56:03.840]  uh, and and they have this feed and they have this great ad format and frankly if you're an advertiser like
[56:04.000 --> 56:05.680]  Why would you want to go?
[56:05.680 --> 56:09.200]  You know, why would you want to go anywhere else and that's the challenge that everyone else?
[56:09.680 --> 56:14.160]  You know and facebook is still growing the user base and there's still facebook last quarter and it
[56:14.720 --> 56:18.960]  This shouldn't be able to happen, but it happened they they got they got more users
[56:19.440 --> 56:22.240]  Their users use the product more than they ever had before
[56:22.240 --> 56:25.760]  They increase the ad load per user
[56:25.840 --> 56:33.440]  So people were seeing more ads and they increase the price charge per ad because they're so effective. They can do that. Like they're they're just this
[56:35.500 --> 56:36.960]  Gargantuan
[56:36.960 --> 56:42.720]  Monster that's gonna eat all the stuff up in and if you're linked in and you want to you want to have your own ad network
[56:42.720 --> 56:45.600]  or your yelp, you have display ads or or like like
[56:46.720 --> 56:48.720]  How can you compete?
[56:49.280 --> 56:50.800]  I don't know
[56:50.800 --> 56:54.000]  Because advertisers don't care advertisers just want the return on their investment
[56:54.240 --> 56:57.440]  And and and so one facebook is providing the best return to the best ads
[56:57.600 --> 57:03.440]  but also there's an investment standpoint facebook's offering an end-to-end product you go in you can do you can do a
[57:03.760 --> 57:05.360]  video ad on instagram
[57:05.360 --> 57:06.160]  uh
[57:06.160 --> 57:10.640]  Anyone who sees it will show them ads in their facebook feed that kind of reminds them of the product
[57:10.800 --> 57:12.960]  And then if you have a promotion you can have you know
[57:12.960 --> 57:17.840]  Do some things you can follow up with messenger like it's an end-to-end offering so you could master
[57:17.840 --> 57:21.920]  the facebook ad interface get really good at it and then why like
[57:22.000 --> 57:24.960]  Oh, you really want to go create a custom ad for pinterest. I mean like
[57:25.520 --> 57:26.560]  it
[57:26.560 --> 57:29.120]  there there's an there's a a degree of
[57:30.320 --> 57:34.480]  People are busy and why should why do they want to waste their time if they can just
[57:35.520 --> 57:37.840]  Their time is better spent spending more on facebook
[57:38.560 --> 57:40.880]  Or in google, I mean google is obviously the other the other one here
[57:40.880 --> 57:43.040]  I think google is less compelling on mobile generally
[57:43.040 --> 57:48.880]  But they also google has even better tools advertising tools like in an end-to-end offering from youtube to double quick
[57:49.280 --> 57:55.920]  To adsense like it's all one interface. You can do one by doing all at the same time. It's very very compelling. Yeah
[57:56.960 --> 57:58.960]  um
[57:59.440 --> 58:06.400]  Speaking of sponsorships, let me take another break here and tell you it's so it's so it's so funny before
[58:06.560 --> 58:08.000]  let's start up to you because like
[58:08.000 --> 58:10.000]  I I I so i'm someone's working with me
[58:10.000 --> 58:14.400]  I mean i'm finally trying to get my archives in order and like categorize them and stuff and and she remarked that
[58:14.720 --> 58:16.720]  While you've had a lot of posts with advertising
[58:16.960 --> 58:22.080]  And i'm like, well, I mean the whole premise of checkery is to be about more about the business and strategy of tech
[58:22.160 --> 58:28.160]  I don't really do product reviews and all that sort of thing. Um, but that entails I talk a lot about advertising
[58:28.240 --> 58:30.800]  It's kind of amazing how little people
[58:31.360 --> 58:36.480]  um think about and talk about that side of it when it's so fundamental to
[58:37.120 --> 58:39.360]  the the experience of technology, I mean, um
[58:39.360 --> 58:43.380]  So, you know, yeah, i'm sure people probably get bored, but I find it fascinating
[58:48.400 --> 58:50.400]  Let me tell you about our good friends at igloo
[58:51.360 --> 58:57.440]  So igloo is the intranet you'll actually like there's a way what is an intranet even just think about it
[58:57.520 --> 59:01.200]  It's a website that is internal for you. That's the intra
[59:02.480 --> 59:03.920]  you
[59:03.920 --> 59:07.040]  Have a website for your team your your company
[59:07.040 --> 59:09.520]  You go there and this is where you
[59:10.160 --> 59:12.880]  Can communicate you can share files
[59:13.360 --> 59:16.320]  You can contact each other you can have shared calendars
[59:16.640 --> 59:21.760]  All this sort of stuff that you might want to do and instead of having it spread across seven different products
[59:21.920 --> 59:23.920]  And different things you have to log into
[59:24.800 --> 59:29.760]  It's all in one place and it is configurable. So if you
[59:31.360 --> 59:36.320]  Only need the microblog and the calendar and the file sharing that's all you really need to do
[59:36.320 --> 59:39.360]  And you can set it up like that. Um, and you can have you know, what's the microblog?
[59:39.360 --> 59:42.640]  It's like a little like internal twitter just for your team really really clever
[59:43.600 --> 59:46.080]  And their stuff it's all in the web. It's all web-based
[59:46.880 --> 59:52.480]  You don't have to host it yourself. They host it. It's private to you though, and it everything works from
[59:53.280 --> 59:55.280]  phone tablet
[59:55.520 --> 01:00:02.160]  Uh big big desktop browser that spreads across your 27-inch iMac, whatever you want. It's going to look great
[01:00:02.160 --> 01:00:05.680]  And they can help you keep doing your way better
[01:00:05.680 --> 01:00:10.000]  You don't have to like work like with the igloo system or whatever your team just keeps working the way it wants to work
[01:00:10.000 --> 01:00:14.240]  Like you share your files to where you want to just igloo is where you put them. It's a really really
[01:00:15.760 --> 01:00:19.440]  It's really just about making collaboration not be painful
[01:00:20.080 --> 01:00:23.760]  It's an internet you'll actually like it's a good they've embraced this word
[01:00:23.760 --> 01:00:28.000]  It's it's it's and like a lot of their advertising stuff and there's talking points, you know
[01:00:28.000 --> 01:00:33.440]  This whole internet you'll actually like is based on the fact that you most people work at a place where they have a quote-unquote
[01:00:33.760 --> 01:00:36.960]  Internet and it's this thing that people hate and that they try to work around
[01:00:37.920 --> 01:00:45.520]  igloo is like embracing the word and they're trying to like just flip it on its head because it's really really clever software modern stuff that
[01:00:45.520 --> 01:00:50.240]  Is really optimized for the way people want to work and making the people who use it happy
[01:00:50.640 --> 01:00:53.680]  As opposed to having this thing that just makes like the it guys happy
[01:00:53.680 --> 01:00:58.880]  For whatever reason that they chose whatever crappy internet throughout there other than igloo. So where do you go?
[01:00:59.760 --> 01:01:01.940]  To find out more. It's easy. You go to igloo software.com
[01:01:03.600 --> 01:01:07.840]  Tts the slash tts is the talk show very very easy to remember
[01:01:08.640 --> 01:01:14.160]  You can try it for free. Anyway, it doesn't even it's not even like a special offer just because you're listening to the show
[01:01:14.160 --> 01:01:18.480]  You can try it for free, but uh go there go to the slash tts version though
[01:01:18.480 --> 01:01:20.640]  And then they'll know you came from the show. My thanks
[01:01:20.640 --> 01:01:26.160]  To igloo longtime sponsors of the show with a great great product that I know a lot of people who listen to the show are already
[01:01:26.160 --> 01:01:28.160]  Using so my thanks to them
[01:01:29.920 --> 01:01:34.720]  The it I am there is a degree of um, I mean I've been right one
[01:01:35.600 --> 01:01:37.600]  area I've been right about advertising is
[01:01:38.400 --> 01:01:41.280]  from a publishing perspective just because I mean publishers are
[01:01:42.160 --> 01:01:47.520]  They're they're the least equipped. I mean if twitter can't compete with facebook. I mean what chance is like you're
[01:01:47.520 --> 01:01:53.520]  Your local newspaper have um, and so i've been you're writing for a few years now
[01:01:53.520 --> 01:01:58.080]  There's going to be kind of a shakeout, you know, not just it's been happening newspapers for a long time
[01:01:58.080 --> 01:02:01.040]  But with digital first platforms as well
[01:02:01.840 --> 01:02:05.520]  um, and the hope is that in the long run there's going to be
[01:02:06.240 --> 01:02:09.680]  Figure out new ways of monetization things that are you know?
[01:02:10.960 --> 01:02:14.000]  Things that work well. Well, it does in the long in a bit
[01:02:14.000 --> 01:02:19.200]  Just I keep thinking about that. Like I said, I wanted to mention that 1.2 percent of spending thing and and
[01:02:19.920 --> 01:02:22.640]  Maybe that'll change in the future. Who knows maybe it'll go up maybe go down
[01:02:22.640 --> 01:02:27.280]  But it's been consistent for so long that you've kind of got to count on it and therefore go back to the 90s
[01:02:27.280 --> 01:02:33.280]  And the web is erupting if there was any idea in your head that the web was going to get some amount of advertising money
[01:02:33.680 --> 01:02:37.040]  Then it was obviously going to come away from existing sources
[01:02:37.200 --> 01:02:41.040]  And I think it was obvious that the most you know, most of the time
[01:02:41.040 --> 01:02:46.180]  And I think it was obvious that the most you know, most obvious place where it's going to come away from is newspapers
[01:02:46.720 --> 01:02:48.720]  and if newspapers
[01:02:48.960 --> 01:02:50.960]  wanted to to
[01:02:51.120 --> 01:02:53.120]  maintain any kind of uh
[01:02:54.240 --> 01:02:58.240]  Even stagnation let alone growth but at least no not deflate
[01:02:58.560 --> 01:03:03.680]  They needed to immediately embrace it and make sure that they were selling as much money on advertising on the web as possible
[01:03:03.840 --> 01:03:05.840]  And very very few of them did
[01:03:05.840 --> 01:03:10.960]  Right. Well, not just you know, it's hard. I mean, it's it's easy to sit and you know armchair quarterback
[01:03:10.960 --> 01:03:13.440]  But it's hard to really change your fundamental business, you know
[01:03:13.920 --> 01:03:15.120]  particularly
[01:03:15.120 --> 01:03:20.080]  Given the better rates. They could always they could always get for print. But I I think one thing that's that's potentially
[01:03:20.860 --> 01:03:27.280]  exciting in the very long run and I I always hesitate to use the word exciting because this is excitement that entails a lot of
[01:03:27.680 --> 01:03:32.480]  A lot of you know creative destruction along the way with um is
[01:03:32.480 --> 01:03:35.360]  Is it's all we you know might their
[01:03:36.400 --> 01:03:41.520]  To like twitter would be better off today if they would have not pursued an ad-based business model
[01:03:41.760 --> 01:03:48.080]  Like if they would have figured out some way to because again, they what they have is incredibly
[01:03:48.960 --> 01:03:52.000]  Valuable and I think the real danger for tour now
[01:03:52.000 --> 01:03:56.640]  Actually, this is kind of I've changed my tune a bit is like they need to not lose what they have, right?
[01:03:56.640 --> 01:03:58.640]  They they need to be very careful
[01:03:58.640 --> 01:04:03.360]  They'd be very careful use the big the big problem for twitter is one
[01:04:03.840 --> 01:04:07.440]  Over a billion people or around a billion people have tried the product and left it
[01:04:07.600 --> 01:04:11.440]  And it's really hard to get people to come back like it's much harder than you know the first time
[01:04:12.800 --> 01:04:17.040]  It's an amazing number, right? It really is an amazing number. I mean, that's incredible
[01:04:17.840 --> 01:04:19.760]  uh, so one
[01:04:19.760 --> 01:04:22.960]  It's questionable if they can even get them back but two, uh
[01:04:23.680 --> 01:04:25.280]  twitter
[01:04:25.280 --> 01:04:29.600]  Is competing in a very different environment now whereas you know when twitter was
[01:04:29.840 --> 01:04:35.360]  cruder came along right when the iphone came along or a year before and it really took off once there were like
[01:04:35.440 --> 01:04:38.320]  Clients on the phone because it was such a perfect mobile product
[01:04:38.800 --> 01:04:44.400]  Like it had the feed and it had it was small bite-sized sort of stuff. You could dip in and dip out so easily
[01:04:44.880 --> 01:04:51.120]  Uh, it just it fit mobile so well and there was a real opportunity where people were forming habits
[01:04:51.120 --> 01:04:54.960]  they were forming the way they interacted with these devices and so
[01:04:55.680 --> 01:04:59.620]  It wasn't just when twitter was competing for users in 2009-2010
[01:05:00.480 --> 01:05:02.640]  They were competing for that mobile habit
[01:05:03.280 --> 01:05:11.040]  And today that people's habits are well established like and it's mostly facebook and and facebook is also now
[01:05:11.520 --> 01:05:18.640]  Facebook has expanded far beyond who you know like to what you're interested in facebook knows more about what you're interested in than twitter
[01:05:18.640 --> 01:05:20.000]  it twitter does
[01:05:20.000 --> 01:05:22.000]  um and
[01:05:22.160 --> 01:05:24.720]  Like it's very legitimate to question like
[01:05:25.600 --> 01:05:31.600]  Does twitter is it really realistic to expect twitter to ever grow its user base? And if it's not
[01:05:32.160 --> 01:05:34.160]  And I would contend it's not
[01:05:34.720 --> 01:05:35.600]  uh
[01:05:35.600 --> 01:05:41.680]  Then twitter should actually be focused first and foremost on preserving its user base, which would argue against
[01:05:42.560 --> 01:05:46.640]  Changes that are too extreme would argue for addressing, you know
[01:05:46.640 --> 01:05:51.440]  sexual abuse issues and stuff like that that drive people away from the platform. Um, and
[01:05:51.920 --> 01:05:55.280]  uh, and i'm not sure that uh twitter
[01:05:56.000 --> 01:06:00.080]  twitter agrees with that and so I it's a real danger for the company that
[01:06:00.400 --> 01:06:04.480]  They pursue an unobtainable goal and then lose what they have in the meantime
[01:06:04.640 --> 01:06:10.800]  I kind of feel like even with jack back at the helm, which I I I do feel like if anybody can fix it
[01:06:10.800 --> 01:06:11.760]  It's him
[01:06:11.760 --> 01:06:12.960]  but
[01:06:12.960 --> 01:06:17.680]  I do feel that there's just this inherent conflict between their internal ambitions
[01:06:18.320 --> 01:06:21.040]  and a realistic measure of
[01:06:21.760 --> 01:06:23.760]  What it could and should be
[01:06:24.080 --> 01:06:28.000]  Yeah, and you also have to feel like you at this point you almost have to kind of hope they get acquired
[01:06:28.400 --> 01:06:30.560]  Um, you know, that's where I was going to go. Yeah
[01:06:31.280 --> 01:06:35.440]  yeah, I mean the the they're a nice like, um, you know,
[01:06:37.120 --> 01:06:41.680]  They're like they're arguably still overvalued based on on on their potential revenue
[01:06:41.680 --> 01:06:44.000]  i'm, i'm not a stock analyst, but um
[01:06:44.720 --> 01:06:46.000]  uh
[01:06:46.000 --> 01:06:47.200]  they
[01:06:47.200 --> 01:06:52.720]  But with you know with under someone someone else if they could be free from that restraint either one build a new kind of
[01:06:52.720 --> 01:06:54.640]  business or two just be
[01:06:54.640 --> 01:06:56.640]  be part of portfolio
[01:06:56.880 --> 01:07:02.640]  Um, the pro a big problem is you know, they're they're the only two requires that really make sense are are google or facebook
[01:07:02.880 --> 01:07:06.240]  Yeah, um who already have scale already have all the infrastructure could plug twitter in
[01:07:06.240 --> 01:07:13.840]  Um, the problem with google is is facebook is twitter did this big deal with with with google to give them access to the tweet
[01:07:14.080 --> 01:07:16.080]  to the fire hose and
[01:07:16.160 --> 01:07:19.280]  Integrate double click with their with their ad buying platform
[01:07:19.520 --> 01:07:23.360]  so in many respects google already has everything from twitter that they need like
[01:07:23.920 --> 01:07:28.000]  They don't necessarily need to buy them to get what they already have. Uh, I think
[01:07:28.560 --> 01:07:31.920]  The couldn't they just unplug the fire plug though
[01:07:31.920 --> 01:07:35.360]  Well, no, no, I mean twitter, you know, if google is getting google is
[01:07:36.240 --> 01:07:43.600]  Google effectively has twitter both from a product perspective and from an advertising perspective because twitter like twitter is building in this this this deep
[01:07:43.920 --> 01:07:45.120]  double-clicking
[01:07:45.120 --> 01:07:47.920]  Um integration, you know integration and so you can
[01:07:48.960 --> 01:07:51.600]  Use your double click data and buy in all sort of stuff. Um
[01:07:53.280 --> 01:07:57.600]  So facebook I think facebook is actually the more likely
[01:07:57.600 --> 01:08:05.440]  more likely acquire unless google does it to prevent facebook from buying twitter, uh, but that's really the the
[01:08:06.320 --> 01:08:11.600]  The two candidates I did josh topolsky's podcast a couple days ago a week ago tomorrow and you know
[01:08:11.600 --> 01:08:15.120]  It's always fun doing a show with him. But because I feel like we fight so much. Um
[01:08:16.480 --> 01:08:17.680]  and uh
[01:08:17.680 --> 01:08:19.600]  We talked about this
[01:08:19.600 --> 01:08:20.800]  and
[01:08:20.800 --> 01:08:26.320]  I just said in broad terms facebook has been one of the things i'm surprised about in the last few years
[01:08:26.320 --> 01:08:32.880]  Is that facebook has been a very good steward of acquisitions and instagram is my favorite example because when facebook bought instagram
[01:08:32.880 --> 01:08:36.640]  I thought well there goes a thing. I you know, I really like instagram
[01:08:37.360 --> 01:08:41.360]  I'm sure it's going to go downhill and they're going to wreck it and instead it's
[01:08:41.840 --> 01:08:45.840]  They've more or less left it alone and let them evolve it in a way
[01:08:45.840 --> 01:08:49.280]  That's very natural to what instagram set out to be from the get-go
[01:08:49.920 --> 01:08:55.200]  Um, you know, if anything all they've done is just add support better better tech on the back end
[01:08:55.200 --> 01:08:58.320]  You know and they've let them grow very organically
[01:09:00.000 --> 01:09:03.140]  And that google is not so good as an acquisition
[01:09:03.680 --> 01:09:09.120]  You know that they they hire a lot of things in recom and some people pointed out to me that actually I I may
[01:09:09.280 --> 01:09:15.700]  I think I maybe i'm overlooking that and maybe i'm also overlooking the the transition from google to alphabet
[01:09:16.320 --> 01:09:22.480]  and that there's companies like nast that google now alphabet acquired and has let stand alone as
[01:09:22.480 --> 01:09:26.640]  As their own entity and let them be their own thing and not have to answer to you know
[01:09:27.280 --> 01:09:30.640]  The wall street on their own and that maybe it would be you know
[01:09:30.640 --> 01:09:35.680]  Don't think of it as a google acquisition of twitter, but think of it as an alphabet acquisition to twitter and they let twitter be twitter
[01:09:36.320 --> 01:09:42.720]  Um, but the value is being a part of yeah. Yeah. Sorry. Go ahead. Well, the value is being a part of google though
[01:09:42.800 --> 01:09:47.680]  Because that's it because you can't forget the money making part of it like the the the the ad part of it
[01:09:47.680 --> 01:09:49.920]  Unless google wants is like some sort of like fashion project
[01:09:49.920 --> 01:09:56.000]  I mean, frankly facebook would be the better acquire. Um, like facebook is an unbelievably well-run company
[01:09:56.720 --> 01:10:00.160]  Uh, like and the acquisition points you made are part of it
[01:10:00.400 --> 01:10:06.080]  Uh, they mark zuckerberg has been very explicit about how he thinks about growing and developing products
[01:10:06.640 --> 01:10:13.360]  And where they get the product right first they grow the user base only when it's at a certain level do they
[01:10:13.840 --> 01:10:19.200]  Slowly figure out then they build a business presence and then they monetize it and then they
[01:10:19.200 --> 01:10:23.920]  Monetize that business presence, you know in in a way that makes sense and it's easy to say
[01:10:23.920 --> 01:10:28.080]  Oh, well, it's easy for facebook to do that because they're making money so they can afford to take their time with instagram
[01:10:28.160 --> 01:10:30.160]  They can afford to take their time with whatsapp
[01:10:30.160 --> 01:10:37.120]  But people forget that facebook was under a lot of pressure after their ipo their their stock was also down by like half
[01:10:37.600 --> 01:10:42.960]  They they were getting a ton of pressure and facebook did not do the easy thing. They didn't just start slapping up ads
[01:10:43.600 --> 01:10:48.320]  Like they took time they rebuilt their mobile their entire mobile stack. They redid everything
[01:10:48.320 --> 01:10:51.440]  They realized that they they had taken the wrong approach with the hdml5 approach
[01:10:51.920 --> 01:10:56.560]  they rebuilt it made a great experience got people on board and then
[01:10:57.280 --> 01:11:02.080]  They figured out how to monetize it and then and they again it's the best digital ad unit
[01:11:02.080 --> 01:11:06.480]  We've ever seen and and now it's just it's it's it's a money spigot
[01:11:06.960 --> 01:11:14.240]  And the point is even when times were hard, they were disciplined and focused on getting the experience right first
[01:11:14.240 --> 01:11:20.080]  And and they're like the company like they they they understand this space. They understand social
[01:11:20.320 --> 01:11:26.880]  I think they'd be the best stewards of twitter. Um as much as that rankles twitter, uh in twitter users in particular
[01:11:27.280 --> 01:11:32.800]  Uh, but I mean who knows here's here this to me is a sign of how run and again
[01:11:32.880 --> 01:11:37.840]  I say this and I feel like i'm an interesting position because it's somebody who does not use facebook. Um
[01:11:37.840 --> 01:11:43.600]  But I do admire them and I do recognize that they are a very well-run company dustin curtis had a tweet last week
[01:11:43.600 --> 01:11:47.280]  This is after everybody released earnings. I'm going to trust his numbers. I didn't double check them
[01:11:47.280 --> 01:11:53.440]  So if there's an area i'll publish a correction next week, but I trust dustin curtis that he went through all these companies
[01:11:53.440 --> 01:11:57.760]  You know the the you know, the revenue the the financial things that they filed last week
[01:11:58.960 --> 01:12:05.360]  And it's revenue per employee for calendar year 2015 yahoo was 419 000 twitter
[01:12:05.360 --> 01:12:07.360]  419 000 twitter
[01:12:07.660 --> 01:12:09.440]  462 000
[01:12:09.440 --> 01:12:10.480]  microsoft
[01:12:10.480 --> 01:12:14.000]  Uh, almost double that 789 000 google
[01:12:14.560 --> 01:12:15.580]  1 million
[01:12:15.580 --> 01:12:16.960]  160
[01:12:16.960 --> 01:12:18.080]  1000
[01:12:18.080 --> 01:12:19.520]  per employee
[01:12:19.520 --> 01:12:20.700]  facebook
[01:12:20.700 --> 01:12:22.400]  1 million
[01:12:22.400 --> 01:12:25.440]  412 thousand dollars per employee in revenue
[01:12:27.200 --> 01:12:33.760]  And then at the top of the pile was apple with a little bit over 2 million in revenue right per employee
[01:12:33.760 --> 01:12:35.120]  um
[01:12:35.120 --> 01:12:40.400]  Which is a really I mean, it's facebook's closer to apple than they are to microsoft in revenue for employee
[01:12:40.720 --> 01:12:45.760]  That is very true. And uh, and they're well ahead of google
[01:12:46.400 --> 01:12:50.480]  Right and they're growing like they they're like their revenue was up like 40 last year or something
[01:12:50.720 --> 01:12:54.080]  But they're they're catching up that to me is a really really
[01:12:56.240 --> 01:13:02.800]  Those numbers really fit with my gut feeling of how well run these companies are, you know
[01:13:02.800 --> 01:13:08.880]  And and how efficient they are how well organized they are like whenever I hear about twitter's head count. I'm just blown away like
[01:13:10.320 --> 01:13:14.400]  4 000 or something like that with that like just little things like i've heard and i'm and this might have
[01:13:14.800 --> 01:13:22.800]  Been reduced recently, but at one point like last year that they had a hundred ios engineers and their ios apps quite frankly are shit
[01:13:23.040 --> 01:13:27.280]  I mean, maybe that's why you know, there's there's there might be a very strong to that like committee
[01:13:27.280 --> 01:13:28.000]  Yeah
[01:13:28.000 --> 01:13:33.040]  Yeah, and too many chefs spoil the you know stew or whatever the hell you're making and you know
[01:13:33.120 --> 01:13:39.040]  The mythical I feel like we butcher like five metaphors, which is butcher them all, you know throw in a uh, uh
[01:13:39.840 --> 01:13:42.080]  What's his name's mythical man month month?
[01:13:42.640 --> 01:13:48.320]  Yes, you know that a hundred ios engineers really it not only does it not get you a better app faster
[01:13:48.400 --> 01:13:50.400]  It gets you a worse app
[01:13:50.880 --> 01:13:55.040]  But I it's it's almost mine instagram has like 10 right or something like that
[01:13:55.040 --> 01:14:01.920]  I it's not a big my understanding at least is that it's not a big uh engineering crew at all and at the very least
[01:14:02.560 --> 01:14:03.760]  they
[01:14:03.760 --> 01:14:10.640]  Up until the point where facebook acquired them their their engineering team was uh easily fit around a conference table. Yep
[01:14:12.560 --> 01:14:18.560]  Really interesting numbers and that facebook's numbers are really astounding and if you think about it, it's not profit
[01:14:18.560 --> 01:14:21.280]  It's revenue per employee and that's where you know
[01:14:21.280 --> 01:14:26.640]  the one company that sticks out here is apple because apple's a hardware company and so it is
[01:14:28.400 --> 01:14:35.040]  Easier in some ways for apple to generate revenue and it's you know that there's a remarkable story with apples
[01:14:36.000 --> 01:14:38.960]  too big of a tangent to go into here, but that apple's uh
[01:14:39.840 --> 01:14:44.800]  Profit is so high because their margins are so probably the most abnormal thing about apple is a company
[01:14:44.960 --> 01:14:49.520]  And there's a lot of things that are abnormal about apple. Are there profit margins on on hardware?
[01:14:49.520 --> 01:14:52.560]  and in in in all of these industries
[01:14:53.120 --> 01:14:59.440]  Maybe other than watches where the margins are notoriously small the margins are notoriously small
[01:14:59.840 --> 01:15:07.120]  In the pc market, they're notoriously small in the phone market. I mean they're negative for some of these companies in the cell phone market
[01:15:09.200 --> 01:15:15.280]  But it is easier for apple to generate just revenue because it's they're selling, you know, $800 phones and
[01:15:15.280 --> 01:15:21.440]  $1,500 macbooks, whereas uh facebook is making all that revenue on you know
[01:15:22.000 --> 01:15:28.400]  A buck or two at a time on these ad ad views. Yep. No it it no it's it's a remarkable stat. Um,
[01:15:29.040 --> 01:15:34.720]  Uh, you actually just dustin posted the profit per employee as well. Oh, did he uh, yeah, it's right below it
[01:15:34.720 --> 01:15:40.880]  Uh, so apple will start at the top apple four four hundred and sixty five thousand per employee facebook second second again
[01:15:40.880 --> 01:15:47.840]  Second second again two hundred ninety thousand per employee, uh, which is again a fantastic number google two hundred fifty thousand per employee
[01:15:48.400 --> 01:15:55.680]  Microsoft one hundred and two thousand per employee yahoo fifty four thousand per employee and twitter negative one hundred and thirty thousand per employee
[01:15:56.320 --> 01:15:58.320]  which
[01:15:59.360 --> 01:16:02.000]  Twitter's ten years old in right in in a month like
[01:16:02.560 --> 01:16:06.400]  That's the problem people think about oh twitter could do this twitter could do that
[01:16:06.400 --> 01:16:12.000]  The the could do should be happening when you're three years old or you're four years old not when you're ten years old in a public
[01:16:12.000 --> 01:16:20.160]  Company it is true. I mean, I'd still kind of chalk them up as sort of a newbie, you know that you know, like somehow google is
[01:16:20.860 --> 01:16:22.160]  established
[01:16:22.160 --> 01:16:26.240]  And facebook even though it's a similar vintage like it acts so mature
[01:16:27.120 --> 01:16:30.320]  That it it you give them credit for it and there's some
[01:16:30.880 --> 01:16:36.000]  Part of me that has been tricked into giving twitter a little bit more slack on they'll figure it out
[01:16:36.000 --> 01:16:43.440]  They're you know, they're still new whereas yeah, it's true. I remember I started my twitter account in 2006. So it's it's ten years
[01:16:45.280 --> 01:16:50.560]  Yahoo's just inexcusable. I mean it's the I mean the more I think about it the more I
[01:16:51.120 --> 01:16:55.360]  I've rolled my eyes at the fact that the basic story of yahoo's
[01:16:55.760 --> 01:16:59.620]  Stock price is that it's entirely based on their holdings in alibaba
[01:16:59.920 --> 01:17:04.480]  And if you subtract what their holdings in alibaba are worth yahoo's worth nothing
[01:17:04.480 --> 01:17:10.080]  Just there's no there is no value in that stuff and I almost feel like i've rolled my eyes at that like come on
[01:17:10.080 --> 01:17:14.800]  Lots of people still use yahoo for stuff and now i'm starting to think you know what I think the market has that exactly, right?
[01:17:15.680 --> 01:17:19.920]  Yeah, well, I mean there's there's just no there's no growth there at all. It's just shrinking
[01:17:20.160 --> 01:17:23.360]  It's these numbers the revenue and earnings are going down every single quarter
[01:17:24.640 --> 01:17:30.320]  You know the of the core business and uh, and you know, they're they're probably going to be acquired by verizon
[01:17:30.320 --> 01:17:37.840]  Acquired by verizon, um, which acquired aol last year, uh, aol actually instead of a missed guy
[01:17:38.640 --> 01:17:40.080]  yahoo hired
[01:17:40.080 --> 01:17:42.640]  uh marissa meyer, uh with the
[01:17:43.680 --> 01:17:44.800]  which
[01:17:44.800 --> 01:17:49.280]  Doubled down on the core yahoo problem, which was thinking that they were a tech company
[01:17:49.440 --> 01:17:54.640]  Yeah, who's never been a tech company like yahoo started with guys making a list of sites on a page, right?
[01:17:54.720 --> 01:17:57.440]  I mean like it's always been a media company
[01:17:57.760 --> 01:17:59.760]  um from the beginning and
