[00:00.000 --> 00:01.720]  Mg
[59:37.720 --> 59:53.720]  Yeah, and I think that that's, I think that's been stated I don't know if it's by Amazon or not that that's one of the main use cases, of course, is playing, playing the music, and it's, um, yeah it's pretty, it's a seamless way to you know do.
[59:53.720 --> 59:58.720]  Hey, Alexa said hey, you don't have to say hey of course, Alexa play.
[59:58.720 --> 01:00:11.720]  You know, this, this station on Pandora or whatever, I think you can hook up obviously Amazon music. You can hook up Pandora. You can't hook up Apple music right now right so.
[01:00:11.720 --> 01:00:27.720]  So there's, I don't expect Apple to get on that quickly. Yeah, no, I don't either. But, so that's one big use case. So the other thing is, it obviously has a decent speaker but it's not great, it's not like a Sonos or something like that.
[01:00:27.720 --> 01:00:42.720]  And you can hook up, because we also got the dot thing you know the dot is a smaller one. As an aside, the one thing I loved about that rollout was the fact that in order to first order a dot you actually had to order it through the echo you had to say like Alexa
[01:00:42.720 --> 01:00:57.720]  order me a dot and it knew what it knew what it was I mean my wife actually did it, and within three minutes or whatever it confirms and so we had a, we had a dot ordered and come in shipping to our house and we got it and it worked beautifully and you couldn't order it on the website,
[01:00:57.720 --> 01:01:08.720]  at least at the time when they when they first sort of rolled that out so that was that was sort of fascinating. I don't think you can now, I mean I just searched Amazon for echo I don't see it echo dot, let me see.
[01:01:08.720 --> 01:01:16.720]  So did you know they do have it, you can get it you can get echo dot for $89 on Amazon.
[01:01:16.720 --> 01:01:22.720]  Do you know it's hilarious. So I just was giving that whole spiel.
[01:01:22.720 --> 01:01:37.720]  And I swear to God I just triggered Alexa and she's now playing music in my bedroom so I'm in my office right now, one, one room down from the bedroom. I all of a sudden heard this music and I'm like is my wife home did she just start playing music,
[01:01:37.720 --> 01:01:50.720]  because I thought I heard a voice. It was Alexa, and it was Alexa saying now playing whatever. And so there's just music playing in the bedroom right now. I stand corrected so there is a web page on Amazon for the echo dot, but it says it's available exclusively
[01:01:50.720 --> 01:02:05.720]  from Alexa echo dot is available in limited quantities and exclusively for prime members through Alexa voice shopping. So I think that that's that's ingenious because it obviously makes it so that first and foremost only sort of quote unquote hardcore users
[01:02:05.720 --> 01:02:19.720]  are going to, to be able to get it and get it that way and people who already understand right the, they have to have Alexa, an echo sorry to be able to do it so it doesn't need like, you know, some sort of new learning curve all of a sudden because you should
[01:02:19.720 --> 01:02:23.720]  already know how to use it based on that. Yeah.
[01:02:23.720 --> 01:02:35.720]  I think the music playing is clearly you know the, the, and when this rumor from the information came out that Apple's has a device like this in the works and that they've been working on it for quite a while.
[01:02:35.720 --> 01:02:46.720]  A bunch of people so well why why have my iPhone with me everywhere I go, you know, if I'm going to use Siri Why do I need, why would the world I want another device. I don't know what else they have planned for it.
[01:02:46.720 --> 01:03:01.720]  I don't know what other home integration you know HomeKit type features they might have in mind for what kind of a hub it might be for your entire home, but the speaker alone makes sense for Apple to do just because music is still such a big part of what
[01:03:01.720 --> 01:03:03.720]  they want to be known for.
[01:03:03.720 --> 01:03:17.720]  Yep. Yeah, and I'm sort of surprised that, you know, they weren't, I know that, you know, they're, they're almost never the first mover in these types of things but I'm sort of surprised that some sort of combination of things didn't lead them down this
[01:03:17.720 --> 01:03:35.720]  path earlier, whether it be the Airport Express or Apple TV as like a basically the way to do this like there were all those rumors remember that Apple TV was going to be the hub of their, of their whole home initiative, and maybe that still ends up being the
[01:03:35.720 --> 01:03:43.720]  case but like that was the whole thing about like why is it running iOS and of course apps but also maybe you know the the HomeKit stuff.
[01:03:43.720 --> 01:04:00.720]  And, yeah, I'm sort of just a little surprised that they didn't make a all in one type device, and especially like knowing, you know, the popularity of things like Sonos, and they're obviously they had to work with Sonos to get Apple Music is one of the
[01:04:00.720 --> 01:04:02.720]  first things on there.
[01:04:02.720 --> 01:04:13.720]  And maybe it was I think you made the joke the other day, maybe it was the iPod Hi Fi thing that sort of dissuaded them from doing that, because that was obviously a disaster.
[01:04:13.720 --> 01:04:16.720]  That's what I want him to call it I want him to call it.
[01:04:16.720 --> 01:04:20.720]  Siri had the trademark. Yeah.
[01:04:20.720 --> 01:04:23.720]  But yeah, it seems like,
[01:04:23.720 --> 01:04:37.720]  I think the way someone was saying this the other day on Twitter, that it's great that we have like Alexa, and, and it's cool that you can sort of hook it up to Sonos it's a pain honestly because you have to do it through like the back of the device
[01:04:37.720 --> 01:04:39.720]  and through a cable.
[01:04:39.720 --> 01:04:50.720]  It's not it's not seamless at all. And now we have things like Euro, and like you know the new the newfangled routers that are out, like it seems like someone should combine all of that into one thing, right.
[01:04:50.720 --> 01:04:53.720]  Yes, I think so.
[01:04:53.720 --> 01:05:10.720]  But you run into I've thought about this right you. It's like, it's it seems like a big, a big but like just thinking about my house now like the cable comes in, in the living room.
[01:05:10.720 --> 01:05:29.720]  And it's sort of like that's where the, the router needs to be. I mean, I guess I could, you know, I'd have to like wire the house with internet or ethernet or something, or get the cable company to come out and put another cable connector somewhere else,
[01:05:29.720 --> 01:05:32.720]  if I wanted it to be in the kitchen.
[01:05:32.720 --> 01:05:45.720]  Because that's well music to play you know what I mean, it's like I don't know I'm not quite sure. I yeah I understand. Yeah, so that's like a, that's one issue but sort of, I don't know if you've had a chance to play around with like things like the Euro
[01:05:45.720 --> 01:05:53.720]  and there's some other ones coming out that are you know these these newfangled routers that that allow you to better spread internet over your entire house.
[01:05:53.720 --> 01:06:05.720]  Because it's better, I have a box downstairs, that's full of Euro kit, and it's still in the box I just came the other day and I haven't had a chance to look at it so it's on my radar and I'm going to set it up, but.
[01:06:05.720 --> 01:06:09.720]  Yeah, you should I mean we have we have one set up now.
[01:06:09.720 --> 01:06:26.720]  And it's great. It's, it's surprisingly great how well it works compared to what I've previously just had a, an airport, both at extreme. And then I had like an express and I had like things like doing bridging and you know trying to get good service
[01:06:26.720 --> 01:06:32.720]  in the bedroom and then in the office, and nothing has worked as well as this Euro thing works.
[01:06:32.720 --> 01:06:46.720]  And so I wonder if sort of this this device things that we're talking about, if they don't do. Yeah, you have the main hub in the living room that's that's sort of connected to the still necessary for whatever reason cable modem.
[01:06:46.720 --> 01:06:58.720]  And then everything else is like a satellite version sort of like the Echo Dot right it's like a smaller version of it. So no matter what room you're in, you're, you're covered by it it's sort of like what you have with Sonos now for people who have
[01:06:58.720 --> 01:07:04.720]  access to Sonos in multiple rooms, you know they wirelessly connect to it.
[01:07:04.720 --> 01:07:14.720]  You can do wired of course but most people I think do the wireless version. And so, so some device it's like a combination of all these things so you have the speaker.
[01:07:14.720 --> 01:07:29.720]  You have your voice assistant type thing, and, and you have your Wi Fi all in one thing I mean, that seems like where all this should go but I would imagine it'll take a while for for someone to actually connect that all together to be able to work well.
[01:07:29.720 --> 01:07:42.720]  Yeah, and it's just you know Apple has a very, you know, right at the forefront of Wi Fi you know I've been making base stations or whatever you want to call them, you know, the thing that great Wi Fi in your house, I mean Apple's been doing it.
[01:07:42.720 --> 01:07:52.720]  We're one of the first companies to really go public with it remember the Phil Schiller demo and he jumped onto a mattress.
[01:07:52.720 --> 01:08:12.720]  It was like to prove that the iBook was getting the internet over the air, it was like heretofore unknown like Phil Schiller actually performed a stunt on stage like he like off a 10 foot high thing onto like a padded landing thing and then showed that the, that the iBook was still getting internet.
[01:08:12.720 --> 01:08:27.720]  So Apple's been doing that for a long time. I think that at this point, it's, it just seems like it's too fiddly especially for a house compared, you know, an apartment, you know, it's easy to fill it with with your Wi Fi but you know, even here we I have it set up pretty good
[01:08:27.720 --> 01:08:42.720]  right now we just have the airport extreme, I don't have any of the satellite devices like I used to have. And it, you know, goes up one floor to my office and it's pretty good. And it goes up two floors to our bedroom.
[01:08:42.720 --> 01:08:58.720]  And it's good enough good enough that it doesn't make me want to get another thing but even one floor down in our garage, it's gone. So like, it's like when you get in the car. It's like one floor down from where the router is, and you want to update something on your phone quick.
[01:08:58.720 --> 01:09:04.720]  It's like sometimes you have to like, do the fiddly thing where you turn off Wi Fi, because it's so bad.
[01:09:04.720 --> 01:09:06.720]  Yeah.
[01:09:06.720 --> 01:09:26.720]  Yeah, you should try the zero thing. I think you'll like Oh, I'm gonna try it. Like I told you, it's done. It's in the house. So it's it's a sure thing that I will that I will try it. Yeah. So I don't know, maybe that's that's what Apple's going with. And I can't help but think that if if the information's report is correct, that they've been working on this device for quite a while. I mean, like, according to the information years.
[01:09:26.720 --> 01:09:50.720]  It can't, it can't just be a speaker that listens for Siri, because they that I, you know, if it's taken Apple years to do a speaker that listens for Siri, that's, that's a problem. It has to be a little bit more ambitious than that in terms of serving as some kind of, you know, hey, you don't have to buy these six different things. You can just buy this plug this thing in and then you're set.
[01:09:50.720 --> 01:10:08.720]  Well, and you brought it up. I mean, the importance of music certainly to Apple and, you know, they obviously know the popularity of something like Sonos. And do you think then it would be just as predicated around being a great speaker sort of a Sonos competitor with Siri built in? Is that is that maybe what they would do?
[01:10:08.720 --> 01:10:29.720]  Maybe I sort of, you know, and and would they launch it as a family of devices at the beginning so that you can, you know, put them throughout your house? I mean, that seems to be the one area that and I obviously Amazon is is working on it or as a solution because they have these dot devices that are meant to be satellite devices.
[01:10:29.720 --> 01:10:39.720]  And I know with Google Home, people asked when they announced it at IO last week, well, what if you have two of these things? And they're like, well, we're working on that. We'll get back. Right. It's a hard problem.
[01:10:39.720 --> 01:11:02.720]  Yes. And the Amazon. So the dot like so in general, I think the consensus is the Echo speaker is OK. It's it's it's good enough, you know, for casual listening or whatever. And the dot one is considered to be much more subpar. It's obviously much smaller. It's just a tiny little thing. And that's why it has sort of the output to be able to hook it into a speaker. And that's what they suggest you do, actually.
[01:11:02.720 --> 01:11:19.720]  So I wouldn't like if I were Apple, I would imagine that the way to do it is just what we were talking about, to do like a really great speaker, like a Sonos-like speaker with the Siri capability built in. And I think that would be a great device for a lot of people.
[01:11:19.720 --> 01:11:37.720]  I don't know how much that would cost, you know, and like, do they run the risk of it being another Hi-Fi like device that's just sort of like a niche product that's that's interesting to a few people? I think not. I think it's a lot more interesting to do it now, especially with everything we just talked about with Alexa. But I don't know.
[01:11:37.720 --> 01:11:56.720]  With the Hi-Fi, they really, it was, I mean, I know for a fact that Steve Jobs was a huge fan of the Hi-Fi. He really was. And I mean, I, you know, obviously, he's willing to, you know, you know, if it wasn't selling, it wasn't selling even if he liked it. So it wasn't like he kept it around just because he liked it, but I know he liked it.
[01:11:56.720 --> 01:12:12.720]  And they really put, it was before I was regularly attending their press events and I was not at the at the intro event for it, but I remember reading about it and they really went all out and they set up, Jason Snell was there and he was talking about it a few weeks ago when he was on the show.
[01:12:12.720 --> 01:12:27.720]  That they, right there in like the upstairs area where they do the press briefings at the press events above town hall, they brought in, you know, they made like an Ikea almost like where they made a whole bunch of like living rooms, you know.
[01:12:27.720 --> 01:12:40.720]  And of course, you know, like Apple, they made them, they were really nice. You know, they made all these, they like furnished the whole place is like an apartment complex and then had, you know, individual people, you come in and it wasn't just like, hey, hit play and listen to it for seconds.
[01:12:40.720 --> 01:12:45.720]  They wanted you to like relax, sit on the couch, pretend you live here and listen to this drink.
[01:12:45.720 --> 01:12:55.720]  Right. And they really pushed like, hey, doesn't this sound amazing? Like they really, really wanted to make that like, I mean, I, I had, I didn't buy one, so I don't know.
[01:12:55.720 --> 01:13:02.720]  I don't know how good it sounded, but Apple at least really went all out, at least in terms of marketing is pitching it as being high quality audio.
[01:13:02.720 --> 01:13:13.720]  So I think that's one area where they could definitely get a leg up on Echo because Echo, it's good. It's not bad. It's, you know, good enough for like a speaker in your kitchen to play music, but it's not great.
[01:13:13.720 --> 01:13:26.720]  And so that plus, so like a great speaker plus what, what, you know, you mentioned from the information report with the Siri APIs, which obviously everyone's been clamoring for since Siri came out.
[01:13:26.720 --> 01:13:34.720]  So that plus the ability to do much more than what the Echo can do. Cause the Echo has an API obviously.
[01:13:34.720 --> 01:13:40.720]  And a lot of people are playing around with it and doing some interesting things with it. Like we mentioned Uber, you know, you can call an Uber from it right now.
[01:13:40.720 --> 01:13:56.720]  And, but it does feel like it's, it's a little bit wonky. It's a little bit, not wonky necessarily. It's just, I'm sure you've used the app. The app is awful for the Echo.
[01:13:56.720 --> 01:14:07.720]  And it's hard to, it would be hard for anyone. Like even, it's even hard for me to figure out how exactly to find things to install and what to install and it looks god awful.
[01:14:07.720 --> 01:14:20.720]  So Apple will obviously do a better job of that. And so it's then a question of like, is it leaps and bounds better than what Amazon can do right now if those APIs are good enough.
[01:14:20.720 --> 01:14:41.720]  Yeah. And I really, I'm really curious what form these APIs come in, in terms of like, I can only presume that it'll be apps somehow, I guess, apps on your iPhone or your iOS device.
[01:14:41.720 --> 01:14:51.720]  Yeah, so do you need to have it, do you need to have that app installed in order to have it be Siri ready, right?
[01:14:51.720 --> 01:15:03.720]  Well, yeah, and if it's on multiple devices, like, how does your Siri, if it's taking advantage of a third party extension, whatever you want to call it.
[01:15:03.720 --> 01:15:15.720]  Like, let's just say, let's just, you know, we've been talking about them, let's just say Uber, right? Let's say that through an extension, you're gonna, you're gonna allow Siri to hail you an Uber.
[01:15:15.720 --> 01:15:26.720]  Do you have to install it on all of your devices? Like, I guess you would if it's through an app, but then how would it get to the standalone device?
[01:15:26.720 --> 01:15:44.720]  Yeah, that's weird. It's a good question, because like, it seems like it's an either or thing, right? Like either you would need it installed on all your devices that have hooked up to your, like to your Hey Siri stuff, or you would only do it on one so it doesn't get confused.
[01:15:44.720 --> 01:15:59.720]  Because like, say you have Uber installed on, they don't have an iPad version, but you can still obviously install it on an iPad. So say you had it on an iPad and your iPhone, and then you summoned the Uber via Siri, like, which one?
[01:15:59.720 --> 01:16:13.720]  I guess it opens both versions. Well, I mean, it doesn't matter because on the back end, if presuming you were you were tied into the same account, the same Uber account, when you open the app, it should know they should be synced right in the back end.
[01:16:13.720 --> 01:16:28.720]  So I guess it doesn't really matter. But there's there's like a lot of more complicated issues like the further you go down with that, like which, which version of the app that's running on which device are you summoning?
[01:16:28.720 --> 01:16:55.720]  Right, I it's I, so I'm, I don't know. So my guess, my best guess is to compare it to Apple Watch. And so let's say they open up this serious DK, then the Uber app on your iOS device could have the Siri extension, and then only on the iOS devices that have the latest version of the Uber app would the Siri integration work.
[01:16:55.720 --> 01:17:11.720]  But then also, maybe you developers would be able to create like a high fi app. And just like the way that it'll say like, oh, there's an Apple Watch app that you can install.
[01:17:11.720 --> 01:17:27.720]  That there would be like, if you have the Siri high fi, yeah, you would have a Siri high fi app on your phone. And then you'd go just like you go to the Apple Watch app to install an app on your watch, you'd go to the high fi app to install the extension on your high fi
[01:17:27.720 --> 01:17:53.720]  that we're getting pretty complicated, right? I see. And it's, it makes sense to me, like, that's exactly what I think is it. This makes sense to me, technically, because I can draw little arrows for all the devices. And I see, okay, so you download it to your phone, and from your phone, you can install it on your watch. And you can install it on the thing. But then it seems to me like you're doing an awful lot of fiddly system administrator type stuff with prices.
[01:17:53.720 --> 01:18:04.720]  Yeah. And so is there a better like, is it just via the app? And now apps require, like, I don't know, some sort of new iCloud instance that it's that's like handling it?
[01:18:04.720 --> 01:18:21.720]  Right. And that's exactly the other that it's, you know, just erase everything that I just speculate about, is there going to be some kind of way that a developer would be able to have like an iCloud instance of this API? And, and, and that's a total new territory for Apple, like that's unlike
[01:18:21.720 --> 01:18:26.720]  anything I can think of that Apple's ever done.
[01:18:26.720 --> 01:18:43.720]  Yeah. Yeah, I've not, I don't know. But it's good that they're, I think it's smart, of course, that they're playing in the space, smart that Google is as well, like, all these guys are pouring so much, so many resources into these assistance.
[01:18:43.720 --> 01:18:58.720]  And, you know, the whole AI aspect, obviously, Marco's post about Apple and AI and stuff, you know, that they need to be able to get enough data to constantly improve these things.
[01:18:58.720 --> 01:19:11.720]  And it's almost like table stakes, it seems like it's going to be now that you need to have the home version of whatever the assistant thing is to be able to, to keep up and remain on par with all the other competitors.
[01:19:11.720 --> 01:19:22.720]  Yeah, one of the things I was thinking about, in light of Marco's post the other day about it is, I was trying to think, because I didn't agree with him fully.
[01:19:22.720 --> 01:19:34.720]  It was a great post. And the ways that I disagree, it's just all, you know, it's not like, Marco's dumb. It's like, no, Marco's smart. And I actually see the logic of what he's saying, but something doesn't sit right with me.
[01:19:34.720 --> 01:19:42.720]  And then I thought about, like, social networking. And social networking is obviously a huge part of the whole industry that we talk about.
[01:19:42.720 --> 01:20:01.720]  I mean, Facebook is a giant company now and super influential. I mean, it's, you know, literally a scandal in the last few weeks, or a controversy, I should say, about whether or not Facebook is single handedly skewing political news in the US.
[01:20:01.720 --> 01:20:20.720]  Hugely influential. Instagram is a huge success. Twitter, you know, Twitter is Twitter. I love it, but it's, you know, it is what it is. But it certainly is, I don't want to go down the route of talking about Twitter as a business.
[01:20:20.720 --> 01:20:33.720]  Culturally, though, its influence is undeniable. I always say, like, the one thing about Twitter, it's just stunning how every time I watch TV news and somebody comes on, they tell you what their Twitter handle is.
[01:20:33.720 --> 01:20:42.720]  Well, and if you watch ESPN at all, it's a significant percentage of ESPN via reporting, via talking about tweets. It's crazy.
[01:20:42.720 --> 01:20:55.720]  Yeah, yeah. Twitter's influence in the sports world alone is astounding. Especially as we go down the path of the NBA playoffs and stuff. I don't know. I think, well, and now Major League Baseball has a ton of Twitter, too.
[01:20:55.720 --> 01:21:11.720]  So no, it's just everywhere in sports. Apple has no real social networking, and they've even tried twice. They had Ping, and then last year, the, I don't even remember what it's called, the middle tab of Apple Music.
[01:21:11.720 --> 01:21:14.720]  Right, the thing that's going away, apparently.
[01:21:14.720 --> 01:21:32.720]  And hasn't taken off, hasn't really, you know, never gained a foothold. But so what? Apple has, in a second level way, sort of thrived on social networking because people use their iPhones to Facebook and to Instagram and to tweet.
[01:21:32.720 --> 01:21:45.720]  And it's, you know, it's only made, the rise of social networking largely coincides with the rise of the iPhone, and it's a big part of why. I think that there's a real difference, though. I was thinking about it.
[01:21:45.720 --> 01:22:00.720]  And the voice assistants aren't like that because the voice assistants, to be useful, have to be built into the system. Like, there is a Cortana app. There is, the Google app has all of the Google assistant type stuff.
[01:22:00.720 --> 01:22:09.720]  You know, the startups that are in this space have apps. I can't remember some of their names, but, you know, like.
[01:22:09.720 --> 01:22:14.720]  Yeah, there's like Operator. Oh, well, Viv is, yeah.
[01:22:14.720 --> 01:22:15.720]  Viv will be an app.
[01:22:15.720 --> 01:22:16.720]  By the Siri people, yeah.
[01:22:16.720 --> 01:22:17.720]  Right.
[01:22:17.720 --> 01:22:18.720]  Yeah.
[01:22:18.720 --> 01:22:28.720]  So you can do that, but that's, that doesn't make it, it doesn't work like that. You can't say go launch an app and then do it. It doesn't work like that. It has to be built into the system.
[01:22:28.720 --> 01:22:36.720]  So the one outside the bounds, though, which I'd be interested in your thoughts on, then, is the Facebook Messenger one. Facebook M, it's called, right?
[01:22:36.720 --> 01:22:50.720]  So that, Facebook, obviously, famously does not have a phone. They run on, you know, other people's devices, but they do, by most accounts, have some of the foremost experts in AI working at Facebook.
[01:22:50.720 --> 01:22:58.720]  But they, so like, how do you square that? Like, where do you think that they, where does that come into play? Because you think like they're going after AI.
[01:22:58.720 --> 01:23:06.720]  They think they're going to be a leader in whatever comes of AI. And certainly these assistant things are a big part of that, at least right now.
[01:23:06.720 --> 01:23:15.720]  And Facebook M is sort of one of the front runners right now for that. But they don't have the system level integration.
[01:23:15.720 --> 01:23:39.720]  It's a good question. It could just be, you know, to, you know, to do the AI while you're in their apps, like, and Facebook's advantage is, and I say this as someone who doesn't use Facebook, but people, you know, part of what makes them so valuable is that, you know, people spend an awful lot of people spend an awful lot of time in Facebook.
[01:23:39.720 --> 01:23:45.720]  So they already have them there. So they, they're, they're almost are, they almost are like their own system.
[01:23:45.720 --> 01:23:47.720]  Yeah, that's true.
[01:23:47.720 --> 01:24:00.720]  If you're already there, you're in Facebook on your phone or, you know, well, I think the phone is probably number one now. So you're in Facebook, you're on your phone, any kind of AI features that they can offer you, you're already there.
[01:24:00.720 --> 01:24:02.720]  So they have the need for that.
[01:24:02.720 --> 01:24:06.720]  Or that's a good way to frame it, I think.
[01:24:06.720 --> 01:24:22.720]  It's almost like, so the browser on a, on a PC or Mac is not, you know, sort of, well, while they are baked into the system, it is a separate application that you're running all the time. Everyone's always running a browser, right?
[01:24:22.720 --> 01:24:24.720]  And that's like Facebook on the phone.
[01:24:24.720 --> 01:24:37.720]  That's been said before, of course, but it is in that context, like basically the same thing. They even helpfully cheat and use the audio API's to make sure they're literally running on your phone all the time.
[01:24:37.720 --> 01:24:41.720]  I keyed, I keyed slightly.
[01:24:41.720 --> 01:24:53.720]  That brings to mind another one of the topics in this space that I want to talk about, and I've seen an awful lot of people bring this up. So one of the other rumors, it's separate from the information report, but there's also a rumor that has come out.
[01:24:53.720 --> 01:25:03.720]  I know MacRumors had it. I don't know if it was their original. I think it was. I think it was their original scoop that the next version of Mac OS is going to have Siri built in.
[01:25:03.720 --> 01:25:14.720]  Yes, and a lot of people read that and the question I got is, well, why do I have to talk to Siri? Why can't I just type like Spotlight and then therefore, well, maybe that's the answer.
[01:25:14.720 --> 01:25:21.720]  Maybe the Spotlight feature goes away and it's replaced by Siri and you can either talk to it or type.
[01:25:21.720 --> 01:25:26.720]  Yeah, that's a good question.
[01:25:26.720 --> 01:25:37.720]  I think that that, you know, thinking about it for a few seconds just now, I think that that's probably the way they should do it. I think it's a little weird, like, Microsoft has done this too with Cortana.
[01:25:37.720 --> 01:25:54.720]  I think it's a little weird to have those things on the desktop in the same, trying to fit them into the same context as they exist right now on mobile devices, because you just use a desktop, laptop, whatever, traditional computer differently.
[01:25:54.720 --> 01:26:07.720]  And you're right, like a lot of it is text-based input. It's not vocal, which sort of ties back to the whole thing of why I also think Alexa is important, because there is no way to interface with it besides the voice.
[01:26:07.720 --> 01:26:18.720]  But, you know, that's a different route to go down. But yeah, so I think that Siri as a text-based thing is interesting and that's also like going to Facebook M.
[01:26:18.720 --> 01:26:29.720]  Right now it is mainly text-based, it's all chat-based, right? So they're doing it the opposite way of what Siri and Alexa and Cortana and...
[01:26:29.720 --> 01:26:36.720]  The Google thing, I guess, is a hybrid, right? Because you can talk to it or it can just be...
[01:26:36.720 --> 01:26:44.720]  I mean, the main interface is like to say, okay, Google, and then it loads, basically, it's doing a search query.
[01:26:44.720 --> 01:26:57.720]  So that's, I guess, the closest thing to that, and that would be Apple, if they did do Siri for Mac OS, doing it with the text thing would be, I guess, most comparable to that?
[01:26:57.720 --> 01:27:10.720]  You know, there's a trick that I just learned recently, I didn't know this, but if you do invoke Siri on your iPhone and she hears you wrong,
[01:27:10.720 --> 01:27:18.720]  you can, on that results screen, you pull down on it and it shows you what Siri thought you said.
[01:27:18.720 --> 01:27:21.720]  And if you tap on that, you can edit that text.
[01:27:21.720 --> 01:27:23.720]  Oh, really? I didn't know that.
[01:27:23.720 --> 01:27:28.720]  I didn't know it either. I just learned it in the last week or two from someone on Twitter in the midst of talking about all of this.
[01:27:28.720 --> 01:27:34.720]  I think it was in the context of that discussion of why can't you just enter text?
[01:27:34.720 --> 01:27:41.720]  And in other words, why can't you invoke Siri and then pull down or something to bring up a text field and just type your query to Siri?
[01:27:41.720 --> 01:27:43.720]  Because there are, there are certain contexts where you can't.
[01:27:43.720 --> 01:27:48.720]  Right. What if you're in a quiet area? Yeah, yeah, right.
[01:27:48.720 --> 01:27:50.720]  Huh. Yeah, I had no idea about that.
[01:27:50.720 --> 01:27:58.720]  So you can edit text after you've made your vocal query to Siri, you can edit it as text, but you can't just type it as text.
[01:27:58.720 --> 01:28:05.720]  So that's, so you should, if you want to use that feature, you just speak gibberish to Siri and then just whisper some quick gibberish.
[01:28:05.720 --> 01:28:09.720]  Right. To invoke the text mode.
[01:28:09.720 --> 01:28:12.720]  Anyway, interesting trick, I thought.
[01:28:12.720 --> 01:28:17.720]  Yeah. And then there was the report, I think it was nine to, it was Gurman, right?
[01:28:17.720 --> 01:28:22.720]  Saying that there, or was it, or maybe it was a riff off of another report or something,
[01:28:22.720 --> 01:28:35.720]  but I know that 95 Mac wrote about it, that the new MacBook Pro conceivably coming out at the end of the year would have the, this like OLED strip.
[01:28:35.720 --> 01:28:42.720]  And you know, one of the reasons why that might make sense is because then you could have a Siri button without having to have like a physical Siri button.
[01:28:42.720 --> 01:28:55.720]  Yeah, I saw that rumor and I don't know what to make of it. It seems kind of interesting. It seems like, maybe it's also sort of like that,
[01:28:55.720 --> 01:29:01.720]  I don't remember if it was a Kickstarter, I think it might have been before Kickstarter, but do you remember a couple of years ago,
[01:29:01.720 --> 01:29:04.720]  there was somebody who was trying to make a keyboard.
[01:29:04.720 --> 01:29:07.720]  Yes, I know what this is, that LED keyboard thing.
[01:29:07.720 --> 01:29:15.720]  Yeah. And it was, the idea was that each key, it was a physical keyboard, but each key would be a standalone LED.
[01:29:15.720 --> 01:29:23.720]  And so like in the quote unquote normal mode, it would be, you know, QWERTY, you know, and it would be alphabetic and have numbers.
[01:29:23.720 --> 01:29:29.720]  But then like when you're using Photoshop, the key caps could change to all of the weird shortcuts.
[01:29:29.720 --> 01:29:37.720]  So you, you know, you could, you know, the H key would change to, you know, whatever the H does in Photoshop.
[01:29:37.720 --> 01:29:39.720]  Right.
[01:29:39.720 --> 01:29:45.720]  Like a game could change all of the buttons to, you know, different weapons or something like that.
[01:29:45.720 --> 01:29:56.720]  Yeah. And it's sort of, I guess, similar to on iOS when you have the virtual thing on top of the keyboard, right, where it suggests stuff.
[01:29:56.720 --> 01:29:59.720]  And so it can sort of dynamically do different things.
[01:29:59.720 --> 01:30:09.720]  Right. So that LED keyboard never really, it never came to be a realistic project, but it certainly got people excited.
[01:30:09.720 --> 01:30:17.720]  I could see how this LED touchscreen in place of the function keys could work like that.
[01:30:17.720 --> 01:30:32.720]  And it gets to, it's like a little bit like the Mac keyboard getting a little taste of that spiel that Steve Jobs gave at the original iPhone introduction about what to do about the buttons on a phone.
[01:30:32.720 --> 01:30:36.720]  Because once you put them there, there's nothing else, you know, they're set.
[01:30:36.720 --> 01:30:42.720]  And then if you come up with a new idea later, you know, that you'd like to have a different button, what do you do?
[01:30:42.720 --> 01:30:46.720]  And he goes, well, the answer is, you know, we've solved this years ago with the graphical user interface.
[01:30:46.720 --> 01:30:49.720]  The answer is do it in software. So I can kind of see that.
[01:30:49.720 --> 01:30:56.720]  And quite frankly, the idea of F1, F2, F3 keys, even it's just fiddly.
[01:30:56.720 --> 01:31:03.720]  And I know Apple's, you know, started printing, hard-coded printing, you know, like this is volume up, this is volume down, this is brightness.
[01:31:03.720 --> 01:31:04.720]  Right.
[01:31:04.720 --> 01:31:08.720]  And that, you know, by default, that's what those keys do now.
[01:31:08.720 --> 01:31:14.720]  You have to actually trigger like a system-wide preference to turn them into regular function keys.
[01:31:14.720 --> 01:31:20.720]  Right. And I think most kids would have no idea, like F1, they would have no idea.
[01:31:20.720 --> 01:31:25.720]  I have no idea. Yeah, my son, if I, I should do it when he gets home from school, I should actually see you.
[01:31:25.720 --> 01:31:30.720]  Yeah, could you hit the F1 key? What, you mean the brightness down key? Which key?
[01:31:30.720 --> 01:31:40.720]  Do you know that, and I remember when, I still have the extended keyboard in front of me, but the Apple extended keyboard, you know, the big tank keyboard that I use,
[01:31:40.720 --> 01:31:48.720]  it's shipped with like a strip that went around the function keys, like a, it was like a, I don't know what you would call it,
[01:31:48.720 --> 01:31:53.720]  like a, like a stencil almost that would surround the function keys.
[01:31:53.720 --> 01:31:54.720]  Oh, yeah, okay.
[01:31:54.720 --> 01:31:58.720]  And different pro apps would come, like QuarkXPress came with one.
[01:31:58.720 --> 01:32:03.720]  Yeah, yeah, yeah. I actually remember that on IBM PCs, they had a similar thing with that, yeah.
[01:32:03.720 --> 01:32:06.720]  When the big, the big keys, the big pushdown keys.
[01:32:06.720 --> 01:32:14.720]  By default, F1, I think it was just like, I think it was just like ZXCV.
[01:32:14.720 --> 01:32:20.720]  So F1 was undo, F2 was cut, F3 was copy, and F4 was paste.
