[00:00.000 --> 00:04.440]  It's been too long since you've been on the show Joanna. It really has been way too long
[52:19.940 --> 52:26.180]  I think i'm i'm estimating but even before like really looking at the the milliamp hours and all that i've seen a lot of it
[52:26.180 --> 52:29.540]  I don't I don't even want to look at it. I just want to i'm betting I can go
[52:29.540 --> 52:37.140]  Two full days without charging. Hmm. What do you think? When did your show up?
[52:37.140 --> 52:40.980]  Oh, I haven't gotten the 10r battery case yet. It's it's going to come next week. They said all right
[52:41.220 --> 52:46.340]  I guess I should just go to the store. But yeah, um, I got the 10s, but i'm not using the 10s anymore
[52:46.420 --> 52:51.620]  I'm not you know, I don't feel like usually it's taken out. I don't like to carry multiple phones anymore. I'm just too forgetful
[52:52.260 --> 52:58.420]  I don't need this battery pack on a daily basis. I I I think in even with the iphone 10
[52:58.420 --> 53:00.420]  It's since i've you know in the last
[53:01.700 --> 53:04.500]  I guess what is that 13 months 14 15 months?
[53:04.580 --> 53:09.460]  Whatever long since i've been using an iphone 10. I think that there have only been maybe two days
[53:10.100 --> 53:12.500]  Where my phone has actually run out
[53:13.140 --> 53:15.140]  and I think maybe even
[53:16.180 --> 53:17.940]  only
[53:17.940 --> 53:22.260]  I could probably count on my fingers and toes the number of days where my phone's gotten to the red
[53:22.820 --> 53:26.340]  Um, probably what kind of life do you live? What do you do?
[53:26.340 --> 53:28.500]  Well, I I don't know
[53:30.180 --> 53:34.740]  I don't know how I I don't know I I guess because i'm not on the phone during the day that much. I don't know
[53:35.380 --> 53:39.380]  Um, but I usually I I get through the day notifications turned off all of them. No
[53:39.540 --> 53:42.020]  No, I don't do anything like that. I get lots of notifications
[53:42.820 --> 53:45.240]  Yeah, like are you not that popular? You don't get a lot of notifications
[53:45.700 --> 53:49.620]  I don't know i'm on my computer so much of the day when i'm working that it's you know
[53:49.860 --> 53:56.020]  I don't know I I get through the day easily on the phone most days and it's days like when we're on vacation or something
[53:56.020 --> 53:58.100]  Like that and i'm on only on the phone
[53:58.740 --> 54:03.140]  And not near a charger or something that I need something like a battery pack or something
[54:03.140 --> 54:06.340]  So I would never it wouldn't even occur to me vaguely to use this battery
[54:07.140 --> 54:10.100]  case all day every day, but like when I go to
[54:11.060 --> 54:16.660]  Like what the days when apple has an event, you know death on the battery because it's i'm on the phone on the phone
[54:16.900 --> 54:18.900]  And it's you know
[54:18.900 --> 54:26.260]  Trying it's a struggle to get a signal because there's a thousand other people all you know, trying to get a signal
[54:26.340 --> 54:33.140]  I'm taking lots of pictures, etc. Etc. Um, so for like something like that. I like this case is definitely going in my
[54:34.340 --> 54:36.260]  travel bag
[54:36.260 --> 54:37.700]  I think it'd be great
[54:37.700 --> 54:40.580]  But it's weird like it's it's the weird thing for me
[54:40.580 --> 54:46.420]  It's like I could I we'll see what happens with the testing but like if I could go two days without test without charging
[54:46.420 --> 54:49.860]  Do do I even care right like I can charge at night?
[54:50.580 --> 54:54.980]  Um, and I also just got this fancy clear case for the 10r
[54:55.060 --> 54:59.620]  I've been testing clear cases for the 10r and by testing I mean just buying random ones on amazon
[55:00.340 --> 55:06.260]  And I put like a wallet attachment on the back and I kind of would rather have the wallet attachment than a big battery hump
[55:08.820 --> 55:12.020]  I actually did a review. I don't know if you saw it. I should write a piece of that
[55:12.020 --> 55:18.100]  Okay, I wrote it but then I did a video review on twitter of the uh, clear battery case. I don't do videos
[55:19.140 --> 55:21.140]  It was my favorite
[55:21.140 --> 55:23.060]  I I I I
[55:23.060 --> 55:26.420]  It was clear. You're like, it's like just like hearing the box. Yeah
[55:27.220 --> 55:32.500]  It was completely wordless and a lot of people enjoyed it. I just opened it up and and yeah
[55:32.500 --> 55:37.220]  I watched that I bent it and I tapped it on our our kitchen counter because I you know
[55:37.220 --> 55:42.020]  I feel like that was the point of that was to sort of try to convey through the video
[55:42.500 --> 55:46.260]  A sense of what type of material it is because that it's you know
[55:46.420 --> 55:51.860]  The clear case is a very different material than apple's other silicone cases because it's you know
[55:51.860 --> 55:55.060]  You have to use a tightly entirely different materials to make it clear
[55:55.780 --> 55:57.540]  um
[55:57.540 --> 55:59.940]  I had so much fun making that video
[56:00.180 --> 56:04.660]  Uh, yeah after I watched it. I said I I watched I said we need him to come work at the wall street
[56:04.660 --> 56:09.380]  Journal video department I watched that and I said now this is i've got to recruit him
[56:09.780 --> 56:13.220]  There were like one or two people though who were really our recruiters should be in touch soon
[56:13.540 --> 56:15.780]  There were one or two people though who were so upset that I didn't
[56:16.500 --> 56:19.140]  Didn't say anything. They were like, but I want to know what you think
[56:20.340 --> 56:22.020]  I was like, I don't know. It's
[56:22.020 --> 56:24.660]  You know wait for the review. Um, but I do think it's a nice
[56:25.540 --> 56:30.500]  It's a nice case, but the button on the side of the apple case is very is very hard
[56:30.500 --> 56:35.540]  Yeah, it's uh, it's it doesn't have a lot of give so now i'm using this case from
[56:36.100 --> 56:41.620]  Spigen and the button on the side is just the right amount of give but I don't it's a little bit thicker than the apple
[56:41.620 --> 56:45.620]  Case I have the spigen one. I bought a few too, even though I
[56:46.420 --> 56:47.700]  I don't
[56:47.700 --> 56:52.660]  Play I don't plan to buy and own a tenar but it you know in the name of uh, uh,
[56:53.460 --> 56:57.140]  Having an opinion and being able to it's perfect that I did now. I feel like i'm justified
[56:57.140 --> 57:01.300]  I've I spent we're having this conversation. This is the review. Yeah, it's a business expense
[57:01.940 --> 57:06.660]  Uh, yeah, but I bought the spigen one because it was well regarded and the thing that drives me nuts about the spigen one
[57:06.660 --> 57:10.820]  Is that they put so much text all over the sides like look at the sides
[57:10.900 --> 57:17.460]  It's like I know and it's all sorts of crazy stuff like like in the corners. They have it labeled as like anti
[57:18.180 --> 57:21.700]  cushioning, you know anti fall cushioning technology and
[57:22.260 --> 57:25.940]  It's clear. I don't have that on mine. No look on the one corner. Come on
[57:25.940 --> 57:30.820]  Come on, it's like the bottom right corner on the side. There's like what color is your oh there it is
[57:30.820 --> 57:36.900]  But yeah, mine's red. So it's really concealed it is because it's a clear case. It is very concealed
[57:38.420 --> 57:40.420]  You know, what color is your 10r?
[57:42.660 --> 57:45.940]  Yeah, you would be able to see this way better if I have like one of the blue ones
[57:46.100 --> 57:50.980]  Yeah, the blue one. I was gonna say if you had a blue one this I didn't notice that till now
[57:50.980 --> 57:54.820]  I mean, it was bothering me already that it said spigen on the side. Oh, no, I don't have the blue one
[57:54.820 --> 57:57.940]  I have the white one. I have the boring. Yeah, you'd see it on that too. Yeah
[57:58.020 --> 58:02.980]  Yeah, because I have the red one, which is the best one and I like the red
[58:02.980 --> 58:07.220]  I asked for red and I got white I bought the red. So yeah, it was just no no-brainer
[58:07.540 --> 58:13.380]  It was funny because I think that they were a bit constrained on the review units and it was like they at first apple
[58:13.380 --> 58:19.380]  PR was like hey, well, you know, what color 10r would you like and I I think I asked for blue
[58:19.380 --> 58:24.420]  I think I asked for blue or blue or red. I think I said and then they were like, how about white?
[58:24.820 --> 58:26.820]  And I was like, okay
[58:27.060 --> 58:32.740]  So my funny story with that is they gave me a black and I said is there any way I can get a red?
[58:33.780 --> 58:37.460]  and I had already known in my head that my I wanted the video to be
[58:38.260 --> 58:40.260]  um
[58:40.260 --> 58:44.100]  I had I had an idea that I wanted to hang the phones in an apple tree
[58:45.380 --> 58:48.580]  And because I wanted the whole review to be you know, which apple do you pick?
[58:48.580 --> 58:50.020]  right and
[58:50.020 --> 58:51.700]  For some reason they were like, yeah
[58:51.700 --> 58:56.660]  We can get you the red and it like just worked out really well because you don't want to have like a black phone hanging
[58:56.660 --> 58:59.540]  in an apple tree well, and that was partly why I
[59:00.740 --> 59:03.540]  happily accepted the white one which I think was the
[59:04.180 --> 59:08.980]  Well black probably would have been the worst one because it would look the most like my the 10
[59:09.300 --> 59:12.340]  I had black iphone 10, right? So white was better than black
[59:13.940 --> 59:16.260]  Even though if I were personally to buy a 10r
[59:16.260 --> 59:19.780]  I'd probably get black because I just buy black everything. Um
[59:20.580 --> 59:23.940]  but the reason I I got the sense from apple pr that
[59:24.580 --> 59:30.100]  There weren't enough of every color for everybody to get red or blue or whatever the most vibrant ones
[59:30.260 --> 59:34.980]  I think i'm the only one who had the red. I I've from the reviews. I saw it. I think so
[59:35.620 --> 59:37.620]  And I don't blame. Oh, no, um
[59:38.580 --> 59:40.580]  MKBHD got red, of course
[59:41.220 --> 59:42.660]  Yeah
[59:42.660 --> 59:44.660]  Because how could you not give him red? Yeah
[59:44.660 --> 59:50.500]  This is brand but I don't do the video reviews and I don't take my own product photography for my reviews. So
[59:51.140 --> 59:52.180]  you know
[59:52.180 --> 59:54.420]  yeah, I happily took one for the the
[59:55.140 --> 01:00:01.780]  My my colleagues my fellow reviewers across the spectrum that you know, let let the ones who actually are going to shoot videos
[01:00:02.340 --> 01:00:06.260]  Take the colorful ones. I'll happily take the boring white one with no complaint
[01:00:06.900 --> 01:00:08.900]  But anyway, and if you're wondering
[01:00:09.300 --> 01:00:13.700]  Or anyone here listening wondering why i've put so much time and effort to my case shopping
[01:00:13.700 --> 01:00:16.900]  It's that I broke my original review unit
[01:00:17.700 --> 01:00:22.340]  You break review units all the time every time I broke the 10s max
[01:00:23.140 --> 01:00:25.140]  And I also broke the 10r
[01:00:26.420 --> 01:00:31.940]  And it's because I don't have cases on it. I they slip out of my pocket they slip off of things
[01:00:33.060 --> 01:00:35.060]  when i'm charging them
[01:00:35.140 --> 01:00:39.940]  And it's yeah the 10r on the back just shattered in the corner
[01:00:39.940 --> 01:00:45.940]  Which by the way, like if you don't have apple care it is like it it costs you like half the phone to replace the back
[01:00:46.260 --> 01:00:50.580]  At this point it's like five hundred dollars to just swap out the back if you don't have apple care
[01:00:51.940 --> 01:00:56.420]  I don't have apple care. I don't either I haven't bought apple care. That's why I have a case
[01:00:56.900 --> 01:01:02.340]  I haven't you on the upgrade program. No, i'm not because I don't like things like that. I don't understand it
[01:01:02.340 --> 01:01:05.380]  I might maybe I would save money. I I do buy myself a new iPhone
[01:01:05.380 --> 01:01:13.540]  I don't I I yeah, but I don't understand it. I I like the simplicity of okay the phone you want costs
[01:01:14.160 --> 01:01:16.160]  1149 dollars and then I pay
[01:01:16.820 --> 01:01:23.700]  1149 plus the tax and now i've paid the money and now I own the phone and the phone is mine. I don't well, I think
[01:01:24.340 --> 01:01:29.140]  We're both probably privileged enough to afford that on one hand. I think we're also I don't know about you
[01:01:29.140 --> 01:01:31.860]  But I like i'm like I don't want to necessarily give that phone back
[01:01:31.860 --> 01:01:35.940]  What if I want to keep it? What if it's a you know, what if I wanted to be a family family heirloom?
[01:01:35.940 --> 01:01:39.300]  Like whoa, I don't want I don't want to give you this phone when i'm done with it
[01:01:39.940 --> 01:01:44.180]  and i'm with you the same the like last one is like I want to pay it out, right and like
[01:01:44.900 --> 01:01:48.900]  Not have any hidden fees anywhere. Like I just want to know where my money's going, right?
[01:01:49.940 --> 01:01:53.780]  Yeah, anytime I do a story on upgrade programs or cellular
[01:01:54.900 --> 01:01:56.020]  whatever
[01:01:56.020 --> 01:02:02.900]  Program monthly bills that at&t or verizon are trying to sell you on some new great monthly thing that's going to bundle everything
[01:02:03.460 --> 01:02:08.340]  It's always it's it's never beneficial to the customer the consumer. It's like
[01:02:09.140 --> 01:02:12.580]  Pretty much my reporting anytime I do anything on cellular plans
[01:02:15.220 --> 01:02:20.180]  Yeah, and so like I and i'm an idiot I keep all i've got every iphone i've ever owned
[01:02:20.180 --> 01:02:26.980]  and so i've got like a little mini museum of iphones and I I don't do that with my other stuff, you know
[01:02:28.020 --> 01:02:29.540]  I I guess but I
[01:02:29.540 --> 01:02:33.620]  I guess I do I guess I do have a bunch of old macs but I don't have them set up like in a museum or
[01:02:33.620 --> 01:02:38.820]  anything like that. They're just in boxes. But every once in a while I like to get out an old
[01:02:38.820 --> 01:02:45.300]  iphone and just sort of compare it. But like with amy's we just you know sell them or give them to
[01:02:45.300 --> 01:02:50.580]  friends or hand, you know, you know, you know, put them to good use, you know, like
[01:02:51.140 --> 01:02:56.900]  trade it in for the 10r. Right. Well, we don't do the trade in but it's like, like my friend lee
[01:02:56.900 --> 01:03:02.820]  who runs a place here in philly hopson laundromat. He doesn't like buying new funds. So we just sell
[01:03:02.820 --> 01:03:10.500]  him amy's old one every year. Yeah. But you can't do that with the trade in program. I again, I
[01:03:10.500 --> 01:03:17.220]  think that yeah, like you said, I almost certainly would save money, but I'm not on it. Yeah. Yeah.
[01:03:17.220 --> 01:03:22.180]  Like, I don't like leasing. I don't I've never leased a car. And I understand if you want to get
[01:03:22.180 --> 01:03:28.020]  a new car every three years, it's better to lease but I just, yeah, currently leasing a car for that
[01:03:28.020 --> 01:03:33.620]  reason. Right. But I see on the other the idiot who's driving a car from 2006 because I own it
[01:03:33.620 --> 01:03:40.100]  and it has nothing wrong with it. I don't know. I don't know. I don't know. I don't know. I don't
[01:03:40.100 --> 01:03:44.180]  know. I actually that's not an idiot. That's like one of the few areas of my life where I'm
[01:03:44.180 --> 01:03:49.780]  financially sensible. Yeah. And if you know that that kind of car is going to work for you for
[01:03:49.780 --> 01:03:57.060]  10 years, then why not know 15 years? Would you say since 2006? Yeah. Yeah. 2006. Well,
[01:03:57.060 --> 01:04:02.900]  we don't drive much. It's we have one car, right? It just literally just this week went over 55,000
[01:04:02.900 --> 01:04:07.620]  miles. So it's we don't we don't do a lot of driving. So what is that? That's like,
[01:04:07.620 --> 01:04:14.260]  5000 55,000 miles since 2006. Yeah. So Wow. 12 years only 55,000 miles.
[01:04:15.220 --> 01:04:23.380]  Wow. Really honest. City driving. Yeah, I'm in the same boat. Right. But I, I just figure I'm
[01:04:23.380 --> 01:04:28.500]  going to outgrow this car. And I had thought last year. It's a five year lease. Yeah. Well,
[01:04:28.500 --> 01:04:32.500]  it is tech. Technically, it's actually ridiculous because the car doesn't even have
[01:04:32.500 --> 01:04:38.820]  it. It doesn't even have a tape deck in there. Yeah, I literally have it has a tape deck and
[01:04:38.820 --> 01:04:44.260]  a CD player. And you have one of those tape. You're the tape to 3.5 millimeter headphone jack
[01:04:44.260 --> 01:04:50.580]  in there. We did, but it at some point broke and I never bothered to replace it. I probably should
[01:04:50.580 --> 01:04:56.420]  buy those work with the night. No, they do. They work with the dongle. Right. Yeah, it's an iPhone.
[01:04:56.420 --> 01:05:00.660]  Yeah, I'd have to get it. I have to use dongle. I guess. I don't know. I guess I should get a new
[01:05:00.660 --> 01:05:06.820]  one. I don't know. We just usually just listen to the XM radio. So but how do you have XM radio in
[01:05:06.820 --> 01:05:11.700]  there? Oh, yeah, it came with it. Oh, like a subscription. Yeah. But we don't have any,
[01:05:11.700 --> 01:05:14.900]  you know, not only, you know, carplay, forget about carplay. We don't even have
[01:05:16.020 --> 01:05:22.420]  the 30 pin connector for the old iPods. Like, there's no, I don't even have a CD player in
[01:05:22.420 --> 01:05:27.060]  here. Yeah, well, we do have a CD player, but we don't have CDs anymore. It's ridiculous.
[01:05:27.060 --> 01:05:34.260]  Yeah, actually, we're in this like book of the month club for for Noah. And it came,
[01:05:34.260 --> 01:05:40.260]  one of the books came with a CD last month. And I was like, What the hell is this? Like,
[01:05:40.260 --> 01:05:43.780]  he's like, look, you know, he's like, he's playing around with it. Like, it's a Frisbee
[01:05:43.780 --> 01:05:46.820]  or something like, it's like, where would I put this CD?
[01:05:46.820 --> 01:05:58.500]  We, we got some friends, kid a gift. It was a pen and teller magic kit for Christmas,
[01:05:58.500 --> 01:06:04.580]  or over the holidays. And it comes with a DVD. And it was like, I even said I was like,
[01:06:05.300 --> 01:06:07.300]  I don't know what you're gonna do with the DVD. Sorry.
[01:06:08.260 --> 01:06:11.540]  Yeah, sorry. It was a DVD. It was a DVD that came in with the book.
[01:06:12.100 --> 01:06:16.340]  Yeah. I don't what am I gonna do with that? I don't have a DVD player anymore.
[01:06:16.340 --> 01:06:27.380]  I bought the I forget what brand. But I bought like a USB DVD player a while back, knowing,
[01:06:28.020 --> 01:06:33.380]  you know, that we don't have any, we don't have any max in inactive use anymore that have
[01:06:34.980 --> 01:06:40.580]  the slot. So I bought one. And so I thought, you know, just in case when I need it,
[01:06:40.580 --> 01:06:44.020]  but I don't know where I put it. It's somewhere in my office, I guess.
[01:06:44.020 --> 01:06:48.500]  No, I have one of those two. I don't know where it is. When I used to, I used to test the MacBook
[01:06:48.500 --> 01:06:58.100]  Air so often the old MacBook Air with Windows. So I had a USB powered, same thing, CD, DVD drive.
[01:06:58.900 --> 01:07:01.780]  Yeah, where's that thing was made by Samsung. It was like pretty cheap.
[01:07:03.060 --> 01:07:08.260]  Yeah, I don't know. So I've got one, but it's, but on the other hand, since buying it probably
[01:07:08.260 --> 01:07:13.780]  at least a year ago, maybe longer, but at least a year ago, I've lost track of where I put it in
[01:07:13.780 --> 01:07:20.980]  the office, never used it, and have never once thought, Oh, now I need it. You know, I just I've
[01:07:20.980 --> 01:07:25.460]  literally gone an entire year without once even having the vague urge of Okay, I've got this
[01:07:26.020 --> 01:07:32.980]  CD or DVD in my hand. You know, where's that thing? So like, that's just a technology that
[01:07:32.980 --> 01:07:39.060]  is just dropped off the face of the earth. Right? Like, possibly at some point soon,
[01:07:39.060 --> 01:07:43.380]  USB ports and headphone jacks. You know, it's kind of funny thinking about it. Like
[01:07:43.380 --> 01:07:49.380]  it wasn't that many years ago where Netflix when they first tried to make the switch from their
[01:07:50.180 --> 01:07:55.940]  discs by mail delivery, and wanted to rename that they picked a goof, I forget what the goofy name
[01:07:55.940 --> 01:08:02.500]  for it was, and just use the Netflix name for the online streaming. And there was outrage,
[01:08:03.300 --> 01:08:09.220]  outrage from the people who were getting their discs by mail. But talk about, you know,
[01:08:09.220 --> 01:08:15.460]  a being ahead of the, you know, being ahead of the curve. Like, I think if you went around to
[01:08:15.460 --> 01:08:20.900]  teenagers today and told them that, you know, yeah, what Netflix used to be, like 10 years ago.
[01:08:21.780 --> 01:08:27.220]  Yeah. You'd have to explain to them. I mean, how many episodes would feel like? How many episodes
[01:08:27.220 --> 01:08:33.460]  of Stranger Things? Or what did I else did I just watch on Netflix? I just watched like the worst
[01:08:33.460 --> 01:08:39.300]  series on fx, would you how many CDs would you need? Well, you couldn't even binge, like we have
[01:08:39.300 --> 01:08:44.420]  any DVDs would you need? Yeah, we've we've had Netflix since that era. And it was wonderful.
[01:08:45.060 --> 01:08:50.100]  It was really so much better than going to video stores. But But to get like a TV series,
[01:08:50.100 --> 01:08:55.860]  you'd have to like mail, you know, watch, I guess TV series, usually the DVDs would have more than
[01:08:55.860 --> 01:08:59.380]  an episode it have, right? Yeah, they would have they'd have multiple but like, I'm looking at
[01:08:59.380 --> 01:09:05.940]  friends because I used to watch friends on DVD. And I feel like one season was a couple of was
[01:09:05.940 --> 01:09:17.940]  a couple of discs. Okay, so it on the box set the complete series of friends on Amazon 100 bucks is
[01:09:17.940 --> 01:09:27.060]  40 discs. Good story. That's a funny story. Like you just give that to like a millennial who's
[01:09:27.060 --> 01:09:32.340]  been watching that millennial I don't know like, yeah, but whatever young teenagers, teenagers,
[01:09:32.340 --> 01:09:37.540]  yeah, teenagers, and see if they could figure it out. Did I tell you? Did I tell you this the last
[01:09:37.540 --> 01:09:43.460]  time you run? It's a total thing that teenagers love friends. My, you know, Jonas just turned 15.
[01:09:43.460 --> 01:09:49.780]  He, over the last two years has watched the entirety of friends. All really all seasons twice.
[01:09:49.780 --> 01:09:56.500]  What I love about it. He's just like, he just I mean, I guess what's changed?
[01:09:56.500 --> 01:10:01.060]  Nothing. I've tried to you know, I'm like, what is it about? And he's like, I don't know. I just
[01:10:01.060 --> 01:10:05.460]  think it's funny, you know, and he's watched Seinfeld too. But friends to me stands out more
[01:10:05.460 --> 01:10:11.060]  as a I can't believe it stands the test of time. And Amy was telling me it's it is such a sensation
[01:10:11.060 --> 01:10:18.180]  on Netflix is so popular on Netflix that the cast of friends is still making every one of them is
[01:10:18.180 --> 01:10:24.500]  still making like $20 million a year from their residuals on friends because of the Netflix deal.
[01:10:25.220 --> 01:10:30.900]  What was funny because last night I was watching shameless. You ever watch the show on no time? No.
[01:10:30.900 --> 01:10:35.140]  And it I mean, you shouldn't anymore. The first couple seasons are amazing. And now it's like,
[01:10:35.140 --> 01:10:39.220]  ninth season. And I'm like, I'm still watching. Why am I still watching? But Courtney Cox was on
[01:10:39.220 --> 01:10:44.180]  it. And I was like, does she have to do this show? No, like, she's Yeah, she's on like the ninth
[01:10:44.180 --> 01:10:50.100]  season in the middle of the series and the season. What is Courtney Cox doing on here? Like what?
[01:10:51.300 --> 01:10:54.900]  She doesn't have to do it. And she's like, what else she's been in? What's it called lately?
[01:10:57.140 --> 01:10:58.740]  Some other cable thing.
[01:11:00.580 --> 01:11:04.420]  I saw somebody had a story I might have been in New York Times somebody had like a
[01:11:04.420 --> 01:11:09.460]  culture story on the the unbelievable popular sustained popularity of friends and and the
[01:11:09.460 --> 01:11:14.980]  bizarreness that it's it's like core audience now are kids who weren't born when friends was on.
[01:11:15.620 --> 01:11:19.460]  And, you know, you can't prove what the appeal is. It's all subjective, but that
[01:11:20.980 --> 01:11:28.580]  that there's something about the pre internet pre phone world that friends has that there's
[01:11:28.580 --> 01:11:34.900]  a simplicity to life in that era that appeals to kids in today's, you know, text, text, text
[01:11:34.900 --> 01:11:41.540]  era. I will read that story because that sounds interesting. Now it's fascinating. And you know
[01:11:41.540 --> 01:11:46.500]  what one of my favorite things about that friends thing because I'm, it just appeals to me. I just
[01:11:46.500 --> 01:11:55.860]  like it when people are good people. And I like it when people behave in a I like that stories
[01:11:55.860 --> 01:12:02.420]  of camaraderie. And I just love that the six key cast members of friends throughout the entire run
[01:12:02.420 --> 01:12:09.140]  of the show, always negotiated together, everybody got paid the same amount. And it was they just
[01:12:09.140 --> 01:12:14.260]  negotiated everything as a block. And as you know, like Jennifer Aniston, maybe Jennifer Aniston got
[01:12:14.260 --> 01:12:20.660]  more popular, or maybe Courtney Cox was more popular at the beginning or Chandler, you know,
[01:12:20.660 --> 01:12:25.620]  whatever, whoever, you know, was it they just they just like, Nope, we like each other. We're
[01:12:25.620 --> 01:12:30.500]  this is great. But let's keep it simple. We'll negotiate as a block and all six of us will get
[01:12:30.500 --> 01:12:35.060]  the same salary. I just love that. Yeah,
[01:12:35.940 --> 01:12:42.180]  it just. I mean, I watch him like on those shows. I watch him on like TBS. I love TBS still.
[01:12:42.740 --> 01:12:46.660]  Because like, I think we've talked about this on one of your podcasts before. It's just like the
[01:12:46.660 --> 01:12:52.020]  the serendipity of turning on and turning on TV and watching something that you didn't think of
[01:12:52.020 --> 01:12:56.180]  watching. Like I love that still. And it's the pretty much the only reason I still have cable.
[01:12:56.180 --> 01:13:02.420]  And like, I just like, yeah, it's just like, for me, like, I don't want to go to something
[01:13:02.420 --> 01:13:06.740]  sometimes in a mood. I've had to made a lot of hard decisions during the day. I don't want to
[01:13:06.740 --> 01:13:10.980]  make a tough decision of what to watch on Netflix. And I don't really want your algorithms trying to
[01:13:10.980 --> 01:13:14.900]  pitch me on something that like, you think I'm going to like, and then I lose myself in it,
[01:13:14.900 --> 01:13:19.780]  because I want to watch till the end, because that's the kind of person I am. Yeah. So yeah,
[01:13:19.780 --> 01:13:23.140]  like, I watch on TBS all the time. And it's every time I turn to turn it on, it's like,
[01:13:23.140 --> 01:13:30.020]  it's still funny, or still like, makes you chuckle at the ridiculousness of, I don't know,
[01:13:30.740 --> 01:13:40.260]  something. I have to go soon. How soon? Like 10 minutes. All right. Well, I got it. I got
[01:13:40.260 --> 01:13:45.540]  to squeeze in pencils at an hour and a half. All right. And I started late. Well, let me let me
[01:13:45.540 --> 01:13:54.260]  tell you about care of what is care of they spell it. C a r e slash o f. It's a monthly subscription
[01:13:54.260 --> 01:13:58.580]  vitamin service that delivers completely personalized vitamin and supplement packs right
[01:13:58.580 --> 01:14:04.260]  to your door. Look, it's a new year. Make your health and wellness a top priority with the help
[01:14:04.260 --> 01:14:09.140]  of care of monthly subscription vitamin service. Whether you're focused on glowing skin, boosting
[01:14:09.140 --> 01:14:14.740]  your energy levels, getting more sleep, or just generally being more healthy. You can build a
[01:14:14.740 --> 01:14:21.460]  vitamin routine that's made just for you and your health goals. Care of has a fun online quiz
[01:14:22.820 --> 01:14:27.380]  that asks you about your diet, your goals, your lifestyle choices takes five minutes.
[01:14:27.940 --> 01:14:32.900]  And then it helps you get scientifically backed vitamin and supplement recommendations based on
[01:14:32.900 --> 01:14:38.500]  your answers to those questions. 90% of people fall short of FDA recommended guidelines for
[01:14:38.500 --> 01:14:45.380]  at least one vitamin or nutrient. Find out where you're lacking with care of online quiz and get
[01:14:45.380 --> 01:14:50.900]  back on track to reaching your health goals. It can be really noted to know it can be really hard
[01:14:50.900 --> 01:14:54.740]  to know what vitamins or supplements you should be taking, but that quiz will really help you make
[01:14:54.740 --> 01:15:00.340]  that decision and be informed rather than just randomly picking this, that and the other thing.
[01:15:01.780 --> 01:15:06.340]  Also, a portion of every sale goes to the good plus foundation, which provides expectant mothers
[01:15:06.340 --> 01:15:12.260]  in need with valuable prenatal vitamins. Really, really great cause very important. They've got
[01:15:12.260 --> 01:15:17.460]  vegan and vegetarian supplement options available to match your dietary needs too. So what do you
[01:15:17.460 --> 01:15:22.100]  do? Take advantage of this month's special new year's offer for 50% off your first month of
[01:15:22.100 --> 01:15:31.220]  personalized care of vitamins. Go to take care of.com and enter code talk show 50. That's take
[01:15:31.220 --> 01:15:40.260]  care of.com with special code talk show 50 talk show five zero is how they spell the code. So
[01:15:40.260 --> 01:15:46.100]  here's before we go, I want to talk Mac book air, got to talk keyboards. I just want to say one
[01:15:46.100 --> 01:15:50.180]  thing about the battery case that showed up. It showed up, had totally dead charge. I put the
[01:15:50.180 --> 01:15:55.540]  phone really put the phone in and it, and the iOS recognized it and instantly gave you that smart,
[01:15:55.540 --> 01:15:59.700]  clever thing that says, okay, your phone's at 99% because it was like first thing in the morning.
[01:15:59.700 --> 01:16:04.260]  The battery case is at zero and so far everybody I've talked to like Renee Richie got one a couple
[01:16:04.260 --> 01:16:07.860]  days ago, every, and a couple of people are starting to get them today. Just, you know,
[01:16:08.660 --> 01:16:13.060]  pre-orders everybody's shows up with zero charge. And I think it's a legal thing with
[01:16:13.060 --> 01:16:17.540]  standalone lithium ion batteries because one thing Apple does say on the ordering page at
[01:16:17.540 --> 01:16:21.620]  apple.com is that they have to ship by ground. You can't pay for air shipping.
[01:16:23.300 --> 01:16:28.180]  And because it's at zero, I mean it was enough to let it see it. I took it up and I put it on my
[01:16:28.180 --> 01:16:32.660]  bedside. I put my phone in it, put it on my bedside charger on the, the key, cheap, cheap
[01:16:32.660 --> 01:16:39.300]  charger. And it did, it lit up the key charger like, okay, this is doing something. And I actually
[01:16:39.300 --> 01:16:44.740]  went back to sleep for a bit and then I woke up and the, the case was even deader than it was
[01:16:44.740 --> 01:16:49.780]  originally. It like no longer even like the iPhone didn't even know it was plugged into a smart chase
[01:16:49.780 --> 01:16:55.860]  smart case. Like the key charging did nothing. And so I think it's supposed to charge the phone
[01:16:55.860 --> 01:17:00.100]  first. Yeah. And I think it did that and it was already at zero and it just was like, I think
[01:17:00.100 --> 01:17:05.620]  you need to have some kind of charge to do Chi because it's like a two way handshake. So I think
[01:17:05.620 --> 01:17:12.020]  a completely dead, but thing can't charge by Chi. I think you, so when you get it, anybody out there
[01:17:12.020 --> 01:17:16.260]  and I think Apple should tell you this and it doesn't seem to tell you in my perusal of the
[01:17:16.260 --> 01:17:20.660]  guide, you should charge it by lightning first, even if you plan to charge it by Chi going
[01:17:20.660 --> 01:17:25.460]  forward. I thought at first it might be broken. I thought maybe I got a, a dud, but I charged it
[01:17:25.460 --> 01:17:29.860]  by lightning and everything is fine after that, including Chi charging. But when you, was the
[01:17:29.860 --> 01:17:35.620]  phone dead or did they had the phone charging? The phone was completely charged, but after,
