[00:00.000 --> 00:02.000]  He says he joined.
[01:41:10.200 --> 01:41:17.080]  being passive and refusing to fight remains unprecedented, and is actually a way more
[01:41:17.080 --> 01:41:22.520]  complex message and story than people give it credit for now, so much so that it's essentially
[01:41:22.520 --> 01:41:23.520]  never been attempted again.
[01:41:23.520 --> 01:41:27.120]  I mean, it wasn't like Captain America was putting down his shield and refusing to fight
[01:41:27.120 --> 01:41:28.120]  Thanos.
[01:41:28.120 --> 01:41:31.700]  I mean, it's just not done.
[01:41:31.700 --> 01:41:37.520]  So you mentioned, and I agree, it actually is, and I totally did not respect it.
[01:41:37.520 --> 01:41:41.000]  Not that I didn't respect it.
[01:41:41.000 --> 01:41:48.000]  As a kid, when Return of the Jedi came out, I loved the opening, and I did not care for
[01:41:48.000 --> 01:41:58.920]  the Ewok stuff at all, and I loved the space battle, and I loved the climactic Vader-Luke-Emperor
[01:41:58.920 --> 01:42:00.720]  finale in the throne room.
[01:42:00.720 --> 01:42:06.720]  I just thought that the whole thing on Endor was like, ah, this is like 40 minutes of filler,
[01:42:06.720 --> 01:42:12.080]  and it's just so blatant that they just wanted to get our main characters together, and okay,
[01:42:12.080 --> 01:42:14.820]  the speeder bikes are cool, blah, blah, blah.
[01:42:14.820 --> 01:42:21.360]  I totally, I didn't think, oh, that sucks that Luke refused to try to fight the Emperor
[01:42:21.360 --> 01:42:25.120]  with his lightsaber, but I didn't respect it at all.
[01:42:25.120 --> 01:42:29.200]  And I agree with you, John, that in hindsight, it's remarkable.
[01:42:29.200 --> 01:42:34.920]  It's this movie about people cutting off arms and shooting people and blowing up things,
[01:42:34.920 --> 01:42:40.760]  and the true climax, and it feels, it is a natural storytelling moment.
[01:42:40.760 --> 01:42:45.200]  It comes about organically and feels true to all of the characters.
[01:42:45.200 --> 01:42:46.800]  And true to what came before it.
[01:42:46.800 --> 01:42:51.920]  We had three movies, like Knowledge and Defense, Never Attack, that wasn't just BS, that was
[01:42:51.920 --> 01:42:52.920]  the teaching.
[01:42:52.920 --> 01:42:53.920]  Yeah, it was earned.
[01:42:53.920 --> 01:42:54.920]  It was so earned.
[01:42:54.920 --> 01:43:02.300]  Yeah, and it is interesting, and to me, it helps that movie stand as a classic, helps
[01:43:02.300 --> 01:43:08.560]  the whole trilogy feel like it was tied off in a bundle, and it stands as a trilogy.
[01:43:08.560 --> 01:43:13.600]  And to me, too, to go back to just my opening point, that it doesn't matter how long the
[01:43:13.600 --> 01:43:19.160]  ongoing cinematic universe goes, and it doesn't matter what's officially canon and what's
[01:43:19.160 --> 01:43:24.080]  not and what used to be canon and got erased when they decided to reset it.
[01:43:24.080 --> 01:43:26.840]  Those three movies stand alone, and there's nothing that can come.
[01:43:26.840 --> 01:43:35.800]  They could make 20 seasons of The Mandalorian and make Obi-Wan and young Princess Leia and
[01:43:35.800 --> 01:43:36.800]  do whatever you want.
[01:43:36.800 --> 01:43:37.800]  Do like a whole series where...
[01:43:37.800 --> 01:43:40.880]  I mean, eventually, I've been saying this a few times, eventually they're going to reboot
[01:43:40.880 --> 01:43:44.880]  the original trilogy, you realize, and I'll be fine with that, too, because that doesn't
[01:43:44.880 --> 01:43:46.420]  take away from the original movies either.
[01:43:46.420 --> 01:43:47.420]  They're going to do it.
[01:43:47.420 --> 01:43:49.920]  They're going to cast the new Luke and Leia, and they're going to redo the trilogy, probably
[01:43:49.920 --> 01:43:51.200]  when we're grandparents, right?
[01:43:51.200 --> 01:43:52.600]  I don't know about that.
[01:43:52.600 --> 01:43:53.600]  That's a good question.
[01:43:53.600 --> 01:43:54.600]  Wait, so that sort of leads me to...
[01:43:54.600 --> 01:43:56.200]  It does lead me to the ones that they absolutely will.
[01:43:56.200 --> 01:44:00.480]  That leads me to something that I was going to ask previously, and eventually it's, what
[01:44:00.480 --> 01:44:03.680]  is it, one hour, 50 minutes, closing in?
[01:44:03.680 --> 01:44:07.700]  We should talk about Mandalorian season two.
[01:44:07.700 --> 01:44:11.360]  What is your pecking order in terms of canon?
[01:44:11.360 --> 01:44:12.740]  And I don't mean in like...
[01:44:12.740 --> 01:44:14.000]  I don't worry about canon.
[01:44:14.000 --> 01:44:15.440]  I don't worry about it either.
[01:44:15.440 --> 01:44:16.440]  Do you know what?
[01:44:16.440 --> 01:44:18.520]  If it existed in the cartoon, that's cool.
[01:44:18.520 --> 01:44:19.520]  I used to worry about it.
[01:44:19.520 --> 01:44:20.880]  If it exists in a TV show, that's cool.
[01:44:20.880 --> 01:44:23.200]  If it's in the movies, that counts.
[01:44:23.200 --> 01:44:25.160]  Is basically it.
[01:44:25.160 --> 01:44:29.440]  You know, there's been a lot of people complaining about the end of season two of The Mandalorian
[01:44:29.440 --> 01:44:30.440]  because...
[01:44:30.440 --> 01:44:32.440]  You can say it.
[01:44:32.440 --> 01:44:33.440]  Spoilers are free.
[01:44:33.440 --> 01:44:34.440]  Just saying.
[01:44:34.440 --> 01:44:35.440]  Spoilers are free.
[01:44:35.440 --> 01:44:40.280]  Take the dark saber, because blah, blah, blah, Mandalorian BS code.
[01:44:40.280 --> 01:44:43.520]  And they were like, well, in the cartoon, somebody asks, who cares?
[01:44:43.520 --> 01:44:44.520]  Don't worry about it.
[01:44:44.520 --> 01:44:47.800]  There's a pecking order to this stuff, and whatever gets written later...
[01:44:47.800 --> 01:44:52.180]  I think it made perfect sense in The Mandalorian season two, because our character, our hero,
[01:44:52.180 --> 01:44:55.960]  is established as, we didn't know this in season one, but in season two, it revealed
[01:44:55.960 --> 01:44:59.120]  that, hey, you know, not all Mandalorians are as straight edge as you are about the
[01:44:59.120 --> 01:45:00.520]  whole helmet business, right?
[01:45:00.520 --> 01:45:01.520]  Yeah.
[01:45:01.520 --> 01:45:02.520]  That's one of the best things.
[01:45:02.520 --> 01:45:06.160]  That's one of the things I love about Worf, is whenever he interacts with Klingons, they're
[01:45:06.160 --> 01:45:08.880]  like, whoa, dude, you just, you got to tone down the Klingon.
[01:45:08.880 --> 01:45:11.360]  And in season one, you didn't realize that, you just thought they were all like that,
[01:45:11.360 --> 01:45:12.360]  but now you realize they're not.
[01:45:12.360 --> 01:45:16.320]  And so the whole rules about the, oh, well, you got to fight for him, it's no more stupid
[01:45:16.320 --> 01:45:21.760]  or reasonable than any of the other rules about Mandalorians, and I can imagine, you
[01:45:21.760 --> 01:45:25.540]  know, for who, depending on who's on either side of the dark saber, saying, oh, I actually
[01:45:25.540 --> 01:45:28.660]  take that rule super seriously, and I can't actually, you can't actually just give it
[01:45:28.660 --> 01:45:30.640]  to me because then I won't be the rightful leader.
[01:45:30.640 --> 01:45:33.280]  People got all sorts of BS rules for their society.
[01:45:33.280 --> 01:45:34.520]  And so I'm willing to let that slide.
[01:45:34.520 --> 01:45:36.720]  And yes, I know it was different in the in the Clone Wars.
[01:45:36.720 --> 01:45:38.960]  But if you don't believe in those rules, you're not bound by them.
[01:45:38.960 --> 01:45:40.400]  But if you do, then you are.
[01:45:40.400 --> 01:45:41.400]  Me too.
[01:45:41.400 --> 01:45:42.400]  Exactly how I feel.
[01:45:42.400 --> 01:45:48.000]  And you know, what I love about that is immediate and very first reaction is, well, I yield.
[01:45:48.000 --> 01:45:51.700]  That's this, anyone of us would be like, I don't care.
[01:45:51.700 --> 01:45:52.700]  You have it.
[01:45:52.700 --> 01:45:53.700]  I yield.
[01:45:53.700 --> 01:45:54.700]  Okay, fine, you beat me.
[01:45:54.700 --> 01:45:55.700]  His thing was the helmet.
[01:45:55.700 --> 01:45:58.880]  And he already got over that because he had, he was forced a couple episodes earlier to
[01:45:58.880 --> 01:46:01.960]  make a choice, like, do you care more about the helmet rules, do you care more about saving
[01:46:01.960 --> 01:46:02.960]  the child?
[01:46:02.960 --> 01:46:03.960]  And he made his choice.
[01:46:03.960 --> 01:46:04.960]  Exactly.
[01:46:04.960 --> 01:46:05.960]  He's like, I don't care.
[01:46:05.960 --> 01:46:06.960]  This is yours.
[01:46:06.960 --> 01:46:07.960]  I yield.
[01:46:07.960 --> 01:46:13.100]  I don't need my ego to fight over this dumb thing that I got off this asshole that was
[01:46:13.100 --> 01:46:14.200]  going to kill a kid.
[01:46:14.200 --> 01:46:17.440]  So he's not interested in going trying to blow up the Death Star too, right?
[01:46:17.440 --> 01:46:18.440]  No.
[01:46:18.440 --> 01:46:19.640]  And if anything, he's frustrated about it.
[01:46:19.640 --> 01:46:20.640]  Just take it.
[01:46:20.640 --> 01:46:22.920]  I don't want any part of any of this.
[01:46:22.920 --> 01:46:26.960]  And this crazy wizard guy that just came in and chopped up a whole bunch of Cylons.
[01:46:26.960 --> 01:46:29.140]  That guy's kind of spooky.
[01:46:29.140 --> 01:46:32.360]  And he just took my kid.
[01:46:32.360 --> 01:46:35.520]  There's a scene in the first season that bothered me.
[01:46:35.520 --> 01:46:38.160]  But in hindsight, now I realized they were right.
[01:46:38.160 --> 01:46:39.440]  I like it.
[01:46:39.440 --> 01:46:44.280]  And the further development of the Mandalorian character says to me that it actually was
[01:46:44.280 --> 01:46:45.280]  right.
[01:46:45.280 --> 01:46:46.800]  But it's the scene, it might have been the first episode, I don't know.
[01:46:46.800 --> 01:46:52.440]  But it was early on, you mentioned it, where he somehow gets caught up with some Jawas
[01:46:52.440 --> 01:46:58.760]  and the Jawas steal his stuff and then he gets him back.
[01:46:58.760 --> 01:47:00.600]  But he doesn't kill all the Jawas.
[01:47:00.600 --> 01:47:03.080]  And I was like, come on, this guy.
[01:47:03.080 --> 01:47:09.240]  And it's because I was reading too much into what I thought the Mandalorian was.
[01:47:09.240 --> 01:47:10.240]  And he was.
[01:47:10.240 --> 01:47:14.160]  He was a badass when he was going after one of his targets.
[01:47:14.160 --> 01:47:20.800]  But it turns out that not killing those Jawas for stealing his stuff was definitely correct
[01:47:20.800 --> 01:47:22.240]  for this character.
[01:47:22.240 --> 01:47:24.400]  And that would have been a darker take on this.
[01:47:24.400 --> 01:47:26.220]  I was thinking about that the other day.
[01:47:26.220 --> 01:47:31.320]  So the first episode of the season one of The Mandalorian, our bounty hunter is faced
[01:47:31.320 --> 01:47:33.680]  with the situation where he's got to kill this cute little thing.
[01:47:33.680 --> 01:47:34.680]  And is he going to do it or not?
[01:47:34.680 --> 01:47:38.080]  It turns out he saves the cute little thing instead of killing it.
[01:47:38.080 --> 01:47:39.080]  The way...
[01:47:39.080 --> 01:47:44.480]  Just for any listeners out there, if you got a choice between shooting a baby and a robot,
[01:47:44.480 --> 01:47:45.480]  shoot the robot.
[01:47:45.480 --> 01:47:46.480]  Shoot the robot every time.
[01:47:46.480 --> 01:47:47.720]  It was a murderous robot.
[01:47:47.720 --> 01:47:49.720]  It wasn't just a bystander.
[01:47:49.720 --> 01:47:50.720]  I don't care.
[01:47:50.720 --> 01:47:51.720]  Shoot the robot.
[01:47:51.720 --> 01:47:52.720]  You can build another robot.
[01:47:52.720 --> 01:47:53.720]  Come on.
[01:47:53.720 --> 01:47:57.800]  The more conventional way to do this character in the modern era of television is to have
[01:47:57.800 --> 01:48:04.360]  a previous series of events where The Mandalorian is established as somebody who does hew to
[01:48:04.360 --> 01:48:10.700]  the bounty hunter code by showing a situation where he is told to bring in a sympathetic
[01:48:10.700 --> 01:48:14.440]  character dead or alive and ends up killing him.
[01:48:14.440 --> 01:48:18.880]  And we see him do that like, oh, this guy's the anti-hero thing.
[01:48:18.880 --> 01:48:20.000]  He's a little bit of a bad guy.
[01:48:20.000 --> 01:48:23.120]  He has a code and maybe he didn't want to kill a guy who was like, well, I'm a bounty
[01:48:23.120 --> 01:48:24.120]  hunter.
[01:48:24.120 --> 01:48:25.120]  I got to do what I got to do.
[01:48:25.120 --> 01:48:26.120]  And I kill him.
[01:48:26.120 --> 01:48:30.620]  And then when he's faced with Baby Yoda, he's like, okay, well, now I make a different choice.
[01:48:30.620 --> 01:48:31.880]  But The Mandalorian doesn't do that.
[01:48:31.880 --> 01:48:38.280]  The Mandalorian says from season one, episode one, this guy's got a gruff exterior, but
[01:48:38.280 --> 01:48:39.280]  he's a softy.
[01:48:39.280 --> 01:48:40.760]  He knows right from wrong.
[01:48:40.760 --> 01:48:42.060]  He's had a hard life.
[01:48:42.060 --> 01:48:43.380]  He puts on a hard front.
[01:48:43.380 --> 01:48:44.740]  He's a great fighter.
[01:48:44.740 --> 01:48:48.000]  But there isn't the episode where he kills the Baby Yoda and then has second choices
[01:48:48.000 --> 01:48:50.720]  about the second and is haunted by it and then makes a different choice on the second
[01:48:50.720 --> 01:48:51.720]  Baby Yoda.
[01:48:51.720 --> 01:48:54.400]  He's good from the jump, right?
[01:48:54.400 --> 01:48:59.600]  I agree with you so much because the Horatio Sans character, the blue guy that they meet
[01:48:59.600 --> 01:49:03.280]  in the bar, it's like, I can bring you in warm or cold.
[01:49:03.280 --> 01:49:07.360]  And then he's an idiot and he goes messing around with things.
[01:49:07.360 --> 01:49:10.600]  And it's like, yeah, he turns up cold, but he's not dead.
[01:49:10.600 --> 01:49:12.120]  He's just frozen in carbonite.
[01:49:12.120 --> 01:49:13.120]  Like that's...
[01:49:13.120 --> 01:49:14.480]  It'll be back in season two and they'll be friends.
[01:49:14.480 --> 01:49:19.280]  And that's part of the family-friendly nature of the show, and it's part of also understanding
[01:49:19.280 --> 01:49:24.200]  that you can have a character who has to do a job and is conflicted and has character
[01:49:24.200 --> 01:49:29.360]  development and moments without first putting them into the super-duper antihero thing.
[01:49:29.360 --> 01:49:34.080]  The farthest Star Wars is ever done in that, famously, is Han Solo shooting Greedo first,
[01:49:34.080 --> 01:49:39.760]  which is the hardest core arc that you get of like, we know Han is good-hearted, but
[01:49:39.760 --> 01:49:44.020]  we also, the first thing we see him do, I mean, granted, it's self-defense, but we don't
[01:49:44.020 --> 01:49:46.200]  see him find a non-violent way out of that situation.
[01:49:46.200 --> 01:49:50.680]  I feel like that's why Lucas regretted that and keeps trying to mess with it or whatever.
[01:49:50.680 --> 01:49:55.360]  And I think that a little harder edge helps in an otherwise fairly fluffy movie, but the
[01:49:55.360 --> 01:50:00.240]  Mandalorian clearly, they want you to know this character, this character has inner turmoil
[01:50:00.240 --> 01:50:06.600]  and everything, but we are on the Mandalorian side from the very beginning and we feel his
[01:50:06.600 --> 01:50:10.400]  struggles as he goes on with his whole code and his helmet and the people and the kid
[01:50:10.400 --> 01:50:13.240]  and whatever, but we always know in his heart that he's good.
[01:50:13.240 --> 01:50:23.440]  Yeah, I think, I forgive Spielberg and Lucas for their re-examination of the violence that
[01:50:23.440 --> 01:50:28.320]  they visited in those earlier films.
[01:50:28.320 --> 01:50:32.640]  It is unfortunate that you can reach back into history and to change things, but I understand
[01:50:32.640 --> 01:50:36.580]  that they've moved their perspective and now they don't want their hero to shoot people
[01:50:36.580 --> 01:50:41.880]  or the bad guys in E.T. to be carrying guns and now you get walkie-talkies.
[01:50:41.880 --> 01:50:52.600]  I think it's a mistake and I reject the revisionism of it, but I understand the evolving nuance
[01:50:52.600 --> 01:50:54.820]  because I think we've changed too, right?
[01:50:54.820 --> 01:51:05.600]  Like if we'd made something in an earlier period, I think whatever work you make, it's
[01:51:05.600 --> 01:51:08.200]  a part of the period in which it's made, right?
[01:51:08.200 --> 01:51:10.000]  You build things within the culture.
[01:51:10.000 --> 01:51:13.720]  Yeah, the solution is to make new things, not to go back and change the old ones.
[01:51:13.720 --> 01:51:14.720]  Exactly.
[01:51:14.720 --> 01:51:15.720]  You're not actually changing anything.
[01:51:15.720 --> 01:51:19.360]  We know you made the old thing the other way, and honestly, Han shooting first is in a life
[01:51:19.360 --> 01:51:23.680]  or death situation anyway, where a Greedo basis is going to kill him, is totally justified
[01:51:23.680 --> 01:51:27.920]  and perfectly fine, and it's not like Han is a super hard-edged thing, you know?
[01:51:27.920 --> 01:51:32.120]  As soon as we see him, his guard down, these guys must really be desperate when he says
[01:51:32.120 --> 01:51:33.920]  that he sounds like a little kid.
[01:51:33.920 --> 01:51:34.920]  Exactly.
[01:51:34.920 --> 01:51:39.760]  And so that's what, sorry, just to finish that thought, that's why I like The Mandalorian
[01:51:39.760 --> 01:51:42.920]  as that is the way you address that.
[01:51:42.920 --> 01:51:48.000]  You have a character that's a total badass and his version of like, I can bring in warm
[01:51:48.000 --> 01:51:49.000]  or cold.
[01:51:49.000 --> 01:51:50.880]  It's like, well, you're still going to be alive.
[01:51:50.880 --> 01:51:51.880]  I'm not going to kill you.
[01:51:51.880 --> 01:51:52.880]  Come on.
[01:51:52.880 --> 01:51:53.880]  What am I, a jerk?
[01:51:53.880 --> 01:51:54.880]  He doesn't want to kill you.
[01:51:54.880 --> 01:51:55.880]  He doesn't want to kill you.
[01:51:55.880 --> 01:51:57.040]  He will if he has to.
[01:51:57.040 --> 01:52:01.680]  He kills plenty of people on this show, but it's not his preferred course.
[01:52:01.680 --> 01:52:04.840]  As we reveal his backstory, he's had a difficult life.
[01:52:04.840 --> 01:52:08.520]  The droids came and killed his parents, he got adopted by these Mandalorians that had
[01:52:08.520 --> 01:52:11.360]  the strict code, he had to learn to be a fighter.
[01:52:11.360 --> 01:52:16.360]  But he doesn't, like, if he had grown up in luxury and not had to worry about this
[01:52:16.360 --> 01:52:19.440]  whole situation, he would not have ended up as a bounty hunter, for sure.
[01:52:19.440 --> 01:52:20.440]  Right.
[01:52:20.440 --> 01:52:22.040]  And even then, he comes to love droids.
[01:52:22.040 --> 01:52:27.800]  Episode one of season two, he's like, you know what, let those stupid droids just go
[01:52:27.800 --> 01:52:28.800]  up my ship.
[01:52:28.800 --> 01:52:29.800]  That's fine.
[01:52:29.800 --> 01:52:32.560]  But they're not going to, you know.
[01:52:32.560 --> 01:52:37.500]  My Han and Greedo analogy is that Lucas went back to that scene as though, imagine if the
[01:52:37.500 --> 01:52:41.000]  original scene had been Han was on his way out.
[01:52:41.000 --> 01:52:42.000]  He was already done.
[01:52:42.000 --> 01:52:44.400]  He's like, all right, we got this deal with this crazy old man.
[01:52:44.400 --> 01:52:45.400]  We're leaving.
[01:52:45.400 --> 01:52:48.960]  And he looks out of his corner of his eye and Greedo just happens to be at a table having
[01:52:48.960 --> 01:52:49.960]  a drink.
[01:52:49.960 --> 01:52:51.600]  And he goes, Greedo!
[01:52:51.600 --> 01:52:56.480]  And Greedo's like, and he's like, hey, remember that time you cheated me at cards?
[01:52:56.480 --> 01:52:58.240]  And Greedo is like, oh yeah, ha ha.
[01:52:58.240 --> 01:53:01.560]  And then Han just shoots him dead and then walks out the door.
[01:53:01.560 --> 01:53:02.560]  Right?
[01:53:02.560 --> 01:53:06.600]  Now, you laugh, but there are scenes like in the Clint Eastwood westerns where stuff
[01:53:06.600 --> 01:53:10.760]  like that happens, where a guy just, you know, just out of the blue just shoots a guy.
[01:53:10.760 --> 01:53:14.720]  If Han had done that, I could see where Lucas would be like, I got it.
[01:53:14.720 --> 01:53:15.720]  That never sat right.
[01:53:15.720 --> 01:53:17.600]  But then Han Solo wouldn't be the Han Solo that we know.
[01:53:17.600 --> 01:53:20.560]  Like the reason we love him so much is because he's not that type of jerk.
[01:53:20.560 --> 01:53:21.560]  Right.
[01:53:21.560 --> 01:53:25.840]  His arc in the first movie is I start off seeming like a jerk, and then I mostly seem
[01:53:25.840 --> 01:53:28.120]  like I'm selfish, but in the end I'm neither one of those things.
[01:53:28.120 --> 01:53:29.720]  And that's movie number one.
[01:53:29.720 --> 01:53:34.040]  I think his first thing when he shoots Greedo is like, I'm just trying to survive.
[01:53:34.040 --> 01:53:35.040]  I'm just trying to get out of here.
[01:53:35.040 --> 01:53:36.920]  I'm going to do this thing that I'm not happy about.
[01:53:36.920 --> 01:53:39.640]  He's a survivor for sure, you know, over my dead body.
[01:53:39.640 --> 01:53:40.640]  That's the idea.
[01:53:40.640 --> 01:53:41.640]  Like, it's clear he's going to be killed.
[01:53:41.640 --> 01:53:44.440]  And it's exactly until he turns around and he comes back and saves Luke, which is the
[01:53:44.440 --> 01:53:45.440]  whole point.
[01:53:45.440 --> 01:53:48.360]  And he does, he tips the bartender extra.
[01:53:48.360 --> 01:53:49.360]  Sorry for the mess.
[01:53:49.360 --> 01:53:50.360]  Sorry for the mess.
[01:53:50.360 --> 01:53:51.360]  Yeah.
[01:53:51.360 --> 01:53:57.480]  Which, I mean, the last time Jon and I killed somebody in a bar, we didn't even tip that
[01:53:57.480 --> 01:53:58.480]  well.
[01:53:58.480 --> 01:53:59.480]  Fine.
[01:53:59.480 --> 01:54:00.480]  Just bolted.
[01:54:00.480 --> 01:54:01.480]  Yeah.
[01:54:01.480 --> 01:54:06.360]  Jon, I'm almost surprised to hear you call the character Baby Yoda.
[01:54:06.360 --> 01:54:07.360]  He has a name.
[01:54:07.360 --> 01:54:10.160]  Does he have a name?
[01:54:10.160 --> 01:54:16.040]  I feel like if they could have ever, I can't help but think that they regretted not giving
[01:54:16.040 --> 01:54:18.040]  him a name instantly.
[01:54:18.040 --> 01:54:21.920]  It's part of the mystery of season one of The Mandalorian.
[01:54:21.920 --> 01:54:23.960]  And it lets you defer a difficult decision until later.
[01:54:23.960 --> 01:54:24.960]  Right.
[01:54:24.960 --> 01:54:28.040]  And it almost- Have you guys seen the gallery for season
[01:54:28.040 --> 01:54:29.040]  two?
[01:54:29.040 --> 01:54:30.040]  Yeah, I did.
[01:54:30.040 --> 01:54:31.040]  Okay.
[01:54:31.040 --> 01:54:33.320]  It's not pertinent to this, but it will come up.
[01:54:33.320 --> 01:54:35.880]  And I just want to- The what for season two?
[01:54:35.880 --> 01:54:36.880]  The gallery.
[01:54:36.880 --> 01:54:37.880]  The Star Wars gallery.
[01:54:37.880 --> 01:54:38.880]  The making of.
[01:54:38.880 --> 01:54:39.880]  The making of.
[01:54:39.880 --> 01:54:40.880]  Oh, no, I did not see it.
[01:54:40.880 --> 01:54:41.880]  I did not.
[01:54:41.880 --> 01:54:42.880]  But you can tell.
[01:54:42.880 --> 01:54:43.880]  So far, making of.
[01:54:43.880 --> 01:54:44.880]  Yeah.
[01:54:44.880 --> 01:54:45.880]  I mean, it's not going to ruin anything.
[01:54:45.880 --> 01:54:48.520]  It's how they made it, but yeah.
[01:54:48.520 --> 01:54:51.940]  But his name is Grogu, which is a fine name.
[01:54:51.940 --> 01:54:56.660]  It's a fine Star Wars name.
[01:54:56.660 --> 01:54:58.480]  It's such a great relationship.
[01:54:58.480 --> 01:54:59.980]  I liked it immediately.
[01:54:59.980 --> 01:55:03.680]  And I know people latched on, and oh my God, he's adorable.
[01:55:03.680 --> 01:55:04.680]  But he is adorable.
[01:55:04.680 --> 01:55:05.680]  He is.
[01:55:05.680 --> 01:55:06.680]  It's that simple.
[01:55:06.680 --> 01:55:08.060]  There's no reason to overcomplicate it.
[01:55:08.060 --> 01:55:09.600]  It's an adorable idea.
[01:55:09.600 --> 01:55:11.840]  You get it immediately.
[01:55:11.840 --> 01:55:13.360]  He's one of Yoda's species.
[01:55:13.360 --> 01:55:15.400]  He's obviously special.
[01:55:15.400 --> 01:55:18.740]  He's powerful in the force.
[01:55:18.740 --> 01:55:27.160]  And it's a fantastic combination of introducing a very Star Warsian character and a MacGuffin
[01:55:27.160 --> 01:55:29.860]  all in one.
[01:55:29.860 --> 01:55:30.860]  It is so great.
[01:55:30.860 --> 01:55:36.820]  But then the other thing, like one of the great tricks of the original Star Wars is,
[01:55:36.820 --> 01:55:41.440]  like Spielberg has said, his favorite character is R2-D2, because he's the most purely cinematic
[01:55:41.440 --> 01:55:43.820]  character in movie history, because he can't talk.
[01:55:43.820 --> 01:55:45.560]  It doesn't even make any technical sense.
[01:55:45.560 --> 01:55:50.280]  You have a universe where the computers can talk, obviously, because C-3PO does.
[01:55:50.280 --> 01:55:52.760]  And this guy just beeps, and he has an astromech.
[01:55:52.760 --> 01:55:56.180]  What does he need to talk for?
[01:55:56.180 --> 01:55:59.540]  It's just a little person at a trash can.
[01:55:59.540 --> 01:56:00.540]  You know what, though?
[01:56:00.540 --> 01:56:04.520]  When we were growing up and we could hear our hard drives whirring and be like, ooh,
[01:56:04.520 --> 01:56:07.760]  that's a bisector.
[01:56:07.760 --> 01:56:11.080]  But Chewbacca never gets a subtitle.
[01:56:11.080 --> 01:56:14.080]  And of course, they do the dialogue thing.
[01:56:14.080 --> 01:56:16.080]  Yeah, they do that with R2 as well.
[01:56:16.080 --> 01:56:18.900]  C-3PO basically translates for him by responding.
[01:56:18.900 --> 01:56:21.380]  The response includes you get to...
[01:56:21.380 --> 01:56:28.040]  But it's a great thing that only really makes sense in cinema, right?
[01:56:28.040 --> 01:56:35.400]  The novelizations never really capture R2-D2 or Chewbacca, or even the comic books, because
[01:56:35.400 --> 01:56:36.760]  it's the actual beeping.
[01:56:36.760 --> 01:56:39.920]  There's nothing you can do in a comic book to make the beep emote.
[01:56:39.920 --> 01:56:46.480]  Do you guys remember Buck Rogers, where there's a little robot who wore a medallion of another
[01:56:46.480 --> 01:56:48.560]  little robot that looked like a speaking spell?
[01:56:48.560 --> 01:56:49.560]  That was Doctor...
[01:56:49.560 --> 01:56:50.560]  Doctor something.
[01:56:50.560 --> 01:56:51.560]  Yeah.
[01:56:51.560 --> 01:56:54.560]  And he used to go like, ba-da, ba-da, ba-da, ba-da, ba-da, ba-da, ba-da, ba-da.
[01:56:54.560 --> 01:56:55.560]  It was Twiggy.
[01:56:55.560 --> 01:56:56.560]  Honestly.
[01:56:56.560 --> 01:56:57.560]  Yeah.
[01:56:57.560 --> 01:56:58.560]  Yes.
[01:56:58.560 --> 01:56:59.560]  That's Planet of the Apes.
[01:56:59.560 --> 01:57:00.560]  That's Planet of the Apes.
[01:57:00.560 --> 01:57:01.560]  Yeah.
[01:57:01.560 --> 01:57:02.560]  I don't know.
[01:57:02.560 --> 01:57:03.560]  You go look it up.
[01:57:03.560 --> 01:57:04.560]  All I'm saying is, like, you know what?
[01:57:04.560 --> 01:57:05.840]  They could have done that for Star Wars.
[01:57:05.840 --> 01:57:06.840]  They did not.
[01:57:06.840 --> 01:57:09.160]  And I think it takes...
[01:57:09.160 --> 01:57:14.240]  One of the things that I think makes Star Wars so great is the willingness not to explain
[01:57:14.240 --> 01:57:18.440]  things to you, is to just let them sit there.
[01:57:18.440 --> 01:57:23.560]  And Chewbacca growls, and you're like, ugh, that didn't seem good.
[01:57:23.560 --> 01:57:27.480]  Or he sort of chuckles at Han, and you're like, yeah.
[01:57:27.480 --> 01:57:32.280]  I don't know what you're laughing about exactly, but yeah, Han's being a bit of an idiot.
[01:57:32.280 --> 01:57:38.400]  And you get that, and you run with it, and it lands.
[01:57:38.400 --> 01:57:41.360]  I think of anything where the prequels...
[01:57:41.360 --> 01:57:47.040]  Well, there's a lot of places where the prequels fell down for me, but it's over-explaining
[01:57:47.040 --> 01:57:48.040]  Vader.
[01:57:48.040 --> 01:57:49.040]  Oh, yeah.
[01:57:49.040 --> 01:57:50.040]  It's just...
[01:57:50.040 --> 01:57:51.040]  Like, just stop.
[01:57:51.040 --> 01:57:52.040]  You don't need to explain this stuff.
[01:57:52.040 --> 01:57:53.040]  Yeah.
[01:57:53.040 --> 01:57:54.040]  The magic is...
[01:57:54.040 --> 01:57:55.040]  Over-explaining isn't the problem.
[01:57:55.040 --> 01:57:56.040]  By the way, it was Dr. Theopolis.
[01:57:56.040 --> 01:57:57.040]  Thank you.
[01:57:57.040 --> 01:57:58.040]  That was it.
[01:57:58.040 --> 01:57:59.040]  That was it.
[01:57:59.040 --> 01:58:00.040]  Thank you.
[01:58:00.040 --> 01:58:01.440]  I was vamping to help you out.
[01:58:01.440 --> 01:58:02.440]  The other...
[01:58:02.440 --> 01:58:05.080]  Like, the trilogy...
[01:58:05.080 --> 01:58:11.960]  The prequel thing, not to go into it too much, but getting back to The Godfather again.
[01:58:11.960 --> 01:58:16.020]  The story that the prequels had to tell was, how did the good man that was your father
[01:58:16.020 --> 01:58:17.020]  become Darth Vader?
