[00:00.000 --> 00:09.000]  I haven't washed my hands. I haven't washed my hands in 20 years.
[01:10:15.000 --> 01:10:31.000]  Even Apple's lowest priced MacBooks, they're at the premium end of the market. $1,000 and up is more than most people spend on a laptop. They should last, and part of lasting is having a processor and GPU performance that's still going to be credible four or five years from now.
[01:10:31.000 --> 01:10:48.000]  I mean, God only knows how long your typical web page is going to take to load 2025, but you're going to want a beefy CPU. So I don't want to downplay the performance improvements in these new MacBook Airs, but the keyboard is what I want to talk about.
[01:10:48.000 --> 01:11:04.000]  I thought that has crossed my mind, and I got an interesting email from a reader today, like somebody who said, hey, I've been reading you forever, at least 10 years, don't even remember when I started, never wrote before.
[01:11:04.000 --> 01:11:20.000]  Just wanted to say I appreciate your reviews this week, and just said that this guy is also a keyboard obsessive, obsesses about external keyboards, cares about keyboards.
[01:11:20.000 --> 01:11:32.000]  He's like, what's wrong with, you know, why do we do this? And there's obviously two types of people in the world, people who really are really, really, really, really fussy about their keyboards and people who don't really care.
[01:11:32.000 --> 01:11:54.000]  And they just, they roll your eyes when a keyboard nerd starts going off about, you know, like me this week, I was talking about in my iPad review, I mentioned that I was using this Bluetooth mechanical keyboard, the Keychron K2, and complaining that not just which color mechanical switches, but that they were Gateron instead of Cherry brand brown switches, and they feel a little cheap.
[01:11:54.000 --> 01:12:07.000]  I mean, there's a lot of people who read that and are rolling their eyes. Those of us who really care, I think, you know, it would be nicer not to care. It would simplify life.
[01:12:07.000 --> 01:12:25.000]  It's just true with so many things that we obsess about over the years. It would be much nicer if I just couldn't care.
[01:12:25.000 --> 01:12:40.000]  It's because the keyboard is the physical interface between me and the machine. And I've always loved that bicycle of the mind analogy to computing.
[01:12:40.000 --> 01:12:56.000]  Like, I really do feel like using computers makes me smarter because I've got like this infinite memory. If I put it in Apple Notes, I can remember it forever because I just always have notes with me and I can look it up, you know.
[01:12:56.000 --> 01:13:09.000]  So like, effectively, I have like all of my bank account numbers memorized. I couldn't tell it to you right now in this mic, but I could look it up in about 20 seconds by going to a note, right?
[01:13:09.000 --> 01:13:19.000]  What an amazing thing. Like 20, 30 years ago, nobody knew what the hell their bank account numbers were, right? I know everything. I know every phone number I need to know.
[01:13:19.000 --> 01:13:27.000]  You know, I can lose my credit cards, but if I have my phone, I can call the credit card company because I have their numbers.
[01:13:27.000 --> 01:13:41.000]  The keyboard is like right there at the intersection of me, a mechanical machine made of bones and meat and teeth.
[01:13:41.000 --> 01:13:43.000]  Right.
[01:13:43.000 --> 01:13:47.000]  And this thing made of aluminum and silicon and glass.
[01:13:47.000 --> 01:13:49.000]  Thank you for that visual, by the way.
[01:13:49.000 --> 01:13:53.000]  Right. Really, we're all just sacks of meat with teeth.
[01:13:53.000 --> 01:14:02.000]  Yeah, it's pretty much it. You just shove some teeth into a meat sack and you get yourself a human being. No, I know what you mean. I know what you mean.
[01:14:02.000 --> 01:14:06.000]  I mean, you know, you as a machine are interfacing with another machine. That's the point of contact.
[01:14:06.000 --> 01:14:20.000]  And there's a feel to it, right? And you know this. I mean, we've always talked about like your dad is a craftsman and there are, you know, if I had been born in another era, maybe I'd be working with my hands making things.
[01:14:20.000 --> 01:14:28.000]  And there's there's a, you know, it's soothing sometimes just to have something physical in your hands.
[01:14:28.000 --> 01:14:36.000]  You know, right now I'm just idly playing with my Apple pencil. I'm not writing anything, but it's just a nice object to have in my hands while I talk to you.
[01:14:36.000 --> 01:14:45.000]  It just feels good. It feels good to have a nice feeling keyboard. And I am a professional writer to some by some measurement.
[01:14:45.000 --> 01:14:53.000]  I write a lot of words. It feels good to have it feel pleasing to my fingers to move the keys up and down.
[01:14:53.000 --> 01:15:01.000]  Right. But I can't the thought that I had today and I never really popped into my head before.
[01:15:01.000 --> 01:15:12.000]  But now that the air has a good keyboard and I really do believe that it is a very good keyboard, it doesn't quite travel as much as the older ones before this whole butterfly fiasco.
[01:15:12.000 --> 01:15:20.000]  And more travel in general is better up to a certain point. But like the stability that you're talking about is so pleasing.
[01:15:20.000 --> 01:15:25.000]  And when you go to the older ones and they wiggle around, it feels like, oh, my God, these keys are going to just come flying off.
[01:15:25.000 --> 01:15:31.000]  If I turn this upside down, they wiggle so much. Right. There's I would say overall, you can quibble about.
[01:15:31.000 --> 01:15:36.000]  Oh, it would be nice to have had a little more travel or something like that. But it's a really good keyboard.
[01:15:36.000 --> 01:15:48.000]  It's a very good laptop keyboard. I feel that those of us who care, you know, and at a certain point, it seems very clear that inside Apple,
[01:15:48.000 --> 01:15:56.000]  a group that doesn't care so much about feel got to make choices on shipping that butterfly keyboard.
[01:15:56.000 --> 01:16:04.000]  Right. Like, I don't know. I know. I think Casey lists says he likes the butterfly keyboard on his 12 inch MacBook.
[01:16:04.000 --> 01:16:12.000]  I know there are people who like it, but they're few. It's hard to find people who say I really like typing on this keyboard.
[01:16:12.000 --> 01:16:25.000]  There certainly are outnumbered by people who don't. And obviously there are there were people within Apple who in a decision making position thought this is good enough to ship or that they actually liked it.
[01:16:25.000 --> 01:16:32.000]  Right. Right. So in a sense, for those of us who didn't like the feel of it.
[01:16:32.000 --> 01:16:41.000]  I think that in a sense, it's possible that we really got lucky that there were profound reliability problems with those keyboards.
[01:16:41.000 --> 01:16:50.000]  Because, oh, I see what you're saying. Right. Like if they didn't break and cost the company money and raise a big cry about repairability and recycling and everything else.
[01:16:50.000 --> 01:16:54.000]  Right. Maybe that cadre would have been like, no, people will get used to it.
[01:16:54.000 --> 01:17:05.000]  Because that's the thing, the thing that really strikes out now that we're and we're not quite entirely in the rearview mirror because the 13 inch MacBook Pro still has the third generation butterfly keyboard.
[01:17:05.000 --> 01:17:15.000]  And now that the air has the new one, inevitably the new 13 inch MacBook Pro, or if they go to 14 inch, you know, like the way that the 15 inch went to 16.
[01:17:15.000 --> 01:17:27.000]  And rumors seem to suggest that 13 is going to go to 14, maybe not by increasing the for the footprint, but just by going closer to edge to edge on the lid.
[01:17:27.000 --> 01:17:30.000]  It's obviously going to get that keyboard.
[01:17:30.000 --> 01:17:40.000]  But I can't help but think because the thing that happened is even the people who don't obsess over the feel of, oh, butterfly switches versus scissor key switches.
[01:17:40.000 --> 01:17:45.000]  And I like the extra, you know, 10th of a millimeter of travel.
[01:17:45.000 --> 01:17:47.000]  And I like the sound. I like the sound of this better.
[01:17:47.000 --> 01:17:57.000]  Even the people who roll their eyes at all of that, they expect when they hit the key to get one and only one E to appear on screen.
[01:17:57.000 --> 01:18:07.000]  Right. When they even the even the least obsessive keyboard user would like a letter to appear once or or or less than two.
[01:18:07.000 --> 01:18:18.000]  When their thumb hits the space bar, they expect one space to appear in the text editing field they're using and they expect the physical space bar to pop back up.
[01:18:18.000 --> 01:18:20.000]  Right. Right.
[01:18:20.000 --> 01:18:27.000]  So all of a sudden, what happened with those butterfly keyboards is that everybody became a keyboard fanatic.
[01:18:27.000 --> 01:18:32.000]  Everybody went from zero to 100 for everybody, because if it don't work, it don't work.
[01:18:32.000 --> 01:18:33.000]  Right.
[01:18:33.000 --> 01:18:40.000]  And I I can't you know, I don't know.
[01:18:40.000 --> 01:18:43.000]  I don't know the back story. I have no inside juice on it.
[01:18:43.000 --> 01:18:56.000]  You know, as to whether even if the reliability thing hadn't been an issue, would they have spent the effort to to engineer the new scissor key keyboard that fits in these same form factors?
[01:18:56.000 --> 01:19:13.000]  And they don't quite sit in the same form factors, because if you actually look at the tech specs, the new MacBook Airs are like one millimeter thicker at the thick end of the wedge than the ones that shipped in November 2018.
[01:19:13.000 --> 01:19:18.000]  And that one millimeter is actually how much more travel there is on the keys.
[01:19:18.000 --> 01:19:27.000]  So it kind of corresponds to if we make that thing a little one millimeter bigger, we can actually use one more millimeter and get a better keyboard in there.
[01:19:27.000 --> 01:19:29.000]  Would they have done it anyway?
[01:19:29.000 --> 01:19:45.000]  I maybe, you know, maybe that that they, you know, within Apple, that even within Apple, there was a well, this isn't the best feeling keyboard in the world, but it's a it's a worthy compromise to ship these things in thinner form factors.
[01:19:45.000 --> 01:19:49.000]  And we'll keep our keyboard engineers at work and see if we can even come up with something better.
[01:19:49.000 --> 01:19:51.000]  And it took a couple of years. Who knows?
[01:19:51.000 --> 01:20:04.000]  But I think it's definitely not off the table that if the butterfly keyboards had been as reliable as all Apple keyboards always have been and as anybody should reasonably expect that we might still have them.
[01:20:04.000 --> 01:20:06.000]  Right.
[01:20:06.000 --> 01:20:10.000]  You know, and and for those of us who care, that's a reasonable assumption to make, to be honest.
[01:20:10.000 --> 01:20:11.000]  Yeah, I do, too.
[01:20:11.000 --> 01:20:17.000]  And I was really thinking about it from this one very thoughtful email from from a longtime reader.
[01:20:17.000 --> 01:20:31.000]  And the more I thought about it, the more I thought, boy, that seems likely because it just seems, you know, it's, you know, for as big and as much money as Apple has there, they are careful about what they shine their attention on.
[01:20:31.000 --> 01:20:41.000]  You know, and would they have deemed fixing these, quote unquote, fixing these keyboards that weren't broken, that were operating completely as design? Would they have prioritized that?
[01:20:41.000 --> 01:20:43.000]  I don't know.
[01:20:43.000 --> 01:20:59.000]  Yeah, I I think it's one of those times where you just you just see and when I say cost, I don't want to treat I don't want to see the word cost here as in a negative light, because it's it's really a neutral term.
[01:20:59.000 --> 01:21:03.000]  But you do see the cost.
[01:21:03.000 --> 01:21:24.000]  You know, put on display here of Apple's policy of making sure that their ideation and creation of their of, you know, their decision making process of creating their devices is not unduly influenced by whatever anybody thinks at that moment in the public.
[01:21:24.000 --> 01:21:35.000]  Like there is a very distinct, you know, auteur driven process that Apple has and has had a lot of success with over the years.
[01:21:35.000 --> 01:21:53.000]  And so you see the cost of it here, because if you had been listening and applying the feedback and the the outcry about the look and feel of these keyboards, you would have been working on a new one before the reliability, you know, aspects came into play.
[01:21:53.000 --> 01:22:00.000]  Right. You would have been seeing like, Oh, doesn't matter what we think people actually do really dislike the feel of this keyboard.
[01:22:00.000 --> 01:22:05.000]  And the people that don't care will probably like whatever we put out.
[01:22:05.000 --> 01:22:22.000]  And the people that do care are the most most voice difference and the highest, you know, sometimes the highest impact users, you know, the people that use our product a lot are genuinely more likely to care about, you know, the the way X or Y or Z feels.
[01:22:22.000 --> 01:22:26.000]  Maybe we should look at the redesign and maybe we should explore blah, blah, blah.
[01:22:26.000 --> 01:22:33.000]  But given the timeline, it seems pretty clear that they weren't exploring it at all until the reliability issues hit a hit a breaking point.
[01:22:33.000 --> 01:22:40.000]  Yeah. One of the things I did, my son has a MacBook Air retina MacBook Air.
[01:22:40.000 --> 01:22:48.000]  I think it's a year old. I forget. But he has some sort of butterfly keyboard. He's fine with it.
[01:22:48.000 --> 01:22:57.000]  But I had him try the review unit and he agreed, felt better. But the thing he noticed right away and I don't think it's visually obvious at all.
[01:22:57.000 --> 01:23:05.000]  I think the difference is so small that it's for me, at least it's hard to see, but you can feel it is that there's a little more space between the keys.
[01:23:05.000 --> 01:23:15.000]  Just a little just a little more space between the keys. But it makes it a lot easier just right as you put your fingers on the home road to orient them.
[01:23:15.000 --> 01:23:22.000]  Just slightly bigger gaps between the keys and therefore a slight reduction in the area. And it's somehow just I don't know.
[01:23:22.000 --> 01:23:26.000]  It's just like the key caps are smaller. Yeah, that's the way he did that.
[01:23:26.000 --> 01:23:32.000]  Key caps are smaller so that therefore the gaps are slightly bigger. But it's very hard to tell visually.
[01:23:32.000 --> 01:23:36.000]  I think you'd almost need you need to feel it. It's easier to feel than to see.
[01:23:36.000 --> 01:23:49.000]  They just dialed it in just right. And they really took what they had, the basic concept of the retina MacBook Air and just made every little thing that really needed to be better.
[01:23:49.000 --> 01:23:54.000]  They made it better. All right, let me take a break. Thank our third and final sponsor of the show.
[01:23:54.000 --> 01:24:05.000]  I want to save more time to talk about iPad because I feel like there's more to talk about, which I'll explain on the other end of this, which is Squarespace.
[01:24:05.000 --> 01:24:09.000]  Hey. We've all got a lot more time on our hands than we used to.
[01:24:09.000 --> 01:24:18.000]  Maybe one of the things on your agenda is creating a new website for you or for somebody you know, or maybe taking an old website.
[01:24:18.000 --> 01:24:24.000]  Moving it, updating it, modernizing it to a new platform. Squarespace has you covered.
[01:24:24.000 --> 01:24:43.000]  They have everything from domain name registration to a whole slew of award winning professionally designed templates to a CMS system so that you can add a blog, host a podcast, something like that where you post on a regular basis, do it all through Squarespace.
[01:24:43.000 --> 01:24:49.000]  Analytics. Who's coming to your site? Where are they coming from? What's your traffic like? They've got you covered.
[01:24:49.000 --> 01:25:00.000]  One of the best analytic dashboards I've ever seen, where instead of just throwing a fire hose of numbers and tabs and sidebar items at you, they organize it.
[01:25:00.000 --> 01:25:07.000]  They organize it in a way that you can just glance at it and see what the hell is going on with your site. Beautiful, beautiful analytics.
[01:25:07.000 --> 01:25:16.000]  Squarespace has award winning tech support, too. You can just go on there, chat with somebody if you have a question.
[01:25:16.000 --> 01:25:23.000]  Everything you'd want is right there. Hey, sign up for a year. Guess what? You get your domain name free.
[01:25:23.000 --> 01:25:28.000]  Just use the use the code talk show. No, the just talk show.
[01:25:28.000 --> 01:25:38.000]  When you check out, you get 10 percent off and sign up for a whole year. Save 10 percent on the whole year and get a free domain name and you get a free trial.
[01:25:38.000 --> 01:25:46.000]  30 days, everything. Free trial. Use the code. When you sign up, you save 10 percent. Sign up for a year. You get a free domain name.
[01:25:46.000 --> 01:25:52.000]  All of that included when you go to Squarespace dot com slash talk show and just keep that in mind.
[01:25:52.000 --> 01:25:58.000]  The thing after the slash talk show, the offer code. Just remember that because you get 30 days free.
[01:25:58.000 --> 01:26:04.000]  You don't even pay for another month when you do pay. Stick that code in the field.
[01:26:04.000 --> 01:26:12.000]  Talk show. Save 10 percent. My thanks to Squarespace for their continuing support of the talk show.
[01:26:12.000 --> 01:26:18.000]  So I'm done with the MacBook Air, honestly talking about my review, said everything I had to say. The keyboard fixed.
[01:26:18.000 --> 01:26:23.000]  I love the new keyboard, if anything. I actually think it feels slightly better than the 16 inch MacBook Pro.
[01:26:23.000 --> 01:26:30.000]  I don't know if that's some kind of placebo effect. I think it might just be that I like the physical form factor of the air better.
[01:26:30.000 --> 01:26:36.000]  It just sort of feels a little I don't know. The keyboard's a little lost on the giant 16 inch thing.
[01:26:36.000 --> 01:26:41.000]  And whereas the keyboard is like just right on the 13 inch. But if I'm wrong, it's identical.
[01:26:41.000 --> 01:26:50.000]  You know, it's either it either feels the same as good or better. It's as good as maybe the best keyboard Apple's ever shipped on a laptop in some ways.
[01:26:50.000 --> 01:26:57.000]  The processors fixed. You've got three options now. Good, better, best. Even the good one is pretty good.
[01:26:57.000 --> 01:27:02.000]  Everything that was good remains good. Still has it has amazing sound for a MacBook Air.
[01:27:02.000 --> 01:27:08.000]  Like if you just actually play video through the speakers and they got the price down to $999.
[01:27:08.000 --> 01:27:15.000]  $899 for education to get a pretty good, credible machine with 256 gigs of storage done. Max done.
[01:27:15.000 --> 01:27:22.000]  The thing about the iPad, which I think could fill up any remaining time we're going to spend on this, is in addition to new hardware,
[01:27:22.000 --> 01:27:29.000]  they have totally like just like a lightning bolt to iPad OS in the middle of March.
[01:27:29.000 --> 01:27:37.000]  I've had OS 13.4 now has truly rich system wide trackpad support. Yes.
[01:27:37.000 --> 01:27:44.000]  Literal, literal nowhere. There you go. Somebody had a nine to five max.
[01:27:44.000 --> 01:27:49.000]  Somebody got a peek at some device running iOS 14 a couple of weeks ago and they're like,
[01:27:49.000 --> 01:27:53.000]  hey, it looks like they've got like really serious APIs for trackpad and mouse support in here.
[01:27:53.000 --> 01:27:59.000]  And everybody's like, oh, that'll be exciting. Hope WWDC hope we learn more about it in June. Hope there is a WWDC.
[01:27:59.000 --> 01:28:04.000]  Can't wait to try it. Maybe I'll run the beta over summer. Can't wait for fall at the very end.
[01:28:04.000 --> 01:28:09.000]  And here we are at the end of March. And it's shipping as of yesterday.
[01:28:09.000 --> 01:28:19.000]  Well, yeah. And you can look at that two ways, I guess. Right. You can look at it like, you know, it.
[01:28:19.000 --> 01:28:26.000]  Well, I guess not two ways. It's two interlocking ways. One, it was quite obviously to support the magic keyboard.
[01:28:26.000 --> 01:28:37.000]  Right. Like that's why the right now. Sure. It works with the you know, with any trackpad that you can attach to the iPad or that you can Bluetooth to it or whatever.
[01:28:37.000 --> 01:28:42.000]  It works with third party keyboards, yada, yada, yada. It's to support the magic keyboard. Right.
[01:28:42.000 --> 01:28:50.000]  It's to support this accessory that probably has a nice profit margin, but that also seems like a really nice additional keyboard,
[01:28:50.000 --> 01:28:57.000]  a better keyboard that takes all of the technology and learnings that they've had from revamping the MacBook keyboards and makes it available to iPad users.
[01:28:57.000 --> 01:29:05.000]  Right. That's why this appeared. However, it is interesting that they were able to develop it and get it all done.
[01:29:05.000 --> 01:29:09.000]  And it only leaked a couple of weeks before they were literally going to drop it.
[01:29:09.000 --> 01:29:22.000]  So normally when these leaks happen, it's like months out and, you know, somebody got a hold of a piece of software through either a partner or a regulatory thing or whatever.
[01:29:22.000 --> 01:29:27.000]  And all of a sudden we're seeing, you know, oh, hey, there's hints of X or hints of Y or whatever.
[01:29:27.000 --> 01:29:35.000]  And so we're like, oh, there's hints of this. That'll be cool if they support it. Oh, no, here it is. It's fully realized. And not only that, it's really cool.
[01:29:35.000 --> 01:29:43.000]  Like it's different than anything you've seen before. It's not just keyboard and mouse support or it's not just cursor support.
[01:29:43.000 --> 01:29:52.000]  It's a reimagined cursor. It's behavioral. It's deeply integrated. And it's probably one of the better implementations anybody's ever done on a tablet.
[01:29:52.000 --> 01:29:59.000]  You know, it was a nice zero to 100 moment for iOS software, I thought.
[01:29:59.000 --> 01:30:08.000]  And even though whispers of it did leak, I have to say as an overall surprise, this is one of the biggest ones that Apple's pulled off in a while.
[01:30:08.000 --> 01:30:18.000]  Because even with the hint of maybe this fall, there's going to be some sort of quote unquote rich trackpad mouse pointer support for the iPad.
[01:30:18.000 --> 01:30:27.000]  Nobody thought it was coming in 13.4. They completely hid it. Nobody saw the magic keyboard coming.
[01:30:27.000 --> 01:30:37.000]  I guess the information had a story that Apple was working on some sort of thing with a trackpad integrated with a keyboard a couple of weeks ago.
[01:30:37.000 --> 01:30:44.000]  So whispers of it leaked, but not any kind of actual description.
[01:30:44.000 --> 01:30:48.000]  And what a nice surprise. And it really is very thoughtful.
[01:30:48.000 --> 01:30:54.000]  I really dig it. I can't believe we're recording this, I think, five days after I upgraded.
[01:30:54.000 --> 01:30:59.000]  Five or six days, at least as of yesterday when I was still writing my review.
[01:30:59.000 --> 01:31:04.000]  Just five days with the trackpad support and iPad OS. And I cannot imagine going back.
[01:31:04.000 --> 01:31:12.000]  Cannot imagine. It was. I always write my reviews of new iPads on an iPad.
[01:31:12.000 --> 01:31:18.000]  And it was just, you know, I know the arrow keys.
[01:31:18.000 --> 01:31:27.000]  I, you know, sometimes I'll use, you know, command and arrow keys to move the insertion point at the beginning or the end of the line, shift key to select words and stuff.
[01:31:27.000 --> 01:31:32.000]  But I use the mouse a lot, too. The mouse is great for precision text editing.
[01:31:32.000 --> 01:31:41.000]  It's one of the things that iPad, iOS, you know, phones in general, it's a problem that I don't think Apple has licked.
[01:31:41.000 --> 01:31:50.000]  You and I talked about this a while back where you, when you interviewed Ken Kishenda.
[01:31:50.000 --> 01:32:02.000]  We were talking about it after, you know, the discussion after it, that one of the problems Apple just seemingly for as great as iOS has been and as revolutionary as it's been to people's daily lives.
[01:32:02.000 --> 01:32:07.000]  One of the little things that say they never really got right is like selecting text.
[01:32:07.000 --> 01:32:11.000]  Even now, they've worked on it, they've tweaked it, you know.
[01:32:11.000 --> 01:32:20.000]  Yeah. And even the people that worked on that whole project from the beginning, I talked to some of the people who were essentially in charge of that software.
[01:32:20.000 --> 01:32:26.000]  And they were like, you know, none of us are ever really happy. We don't really ever think we actually nailed that.
[01:32:26.000 --> 01:32:35.000]  You know, that idea, that concept of insertion, text insertion and long text writing with various formatting and all of that stuff.
[01:32:35.000 --> 01:32:44.000]  I think it's probably best in class still, but, you know, with some exceptions here and there for precise implementations of one feature or another.
[01:32:44.000 --> 01:32:50.000]  Which I totally agree that there's some things out there where I'm like, oh man, that's cool. I wish that was, you know, on iOS or whatever.
[01:32:50.000 --> 01:33:00.000]  But overall, best in class experience. And even then, the people that executed that are still like, yeah, you know, if I need to write a long email, I'm going to use my Mac.
[01:33:00.000 --> 01:33:12.000]  You know what I mean? And I think that that's an interesting thing. You know, it certainly puts the idea of adding a cursor to the iPad in an interesting light.
[01:33:12.000 --> 01:33:31.000]  I mentioned a while, a few weeks ago, and a couple of people wrote to me and were like, holy crap, I had no idea that it worked like that. That there were certain decisions the original Mac team made in 1984 that maybe don't hold up so good.
[01:33:31.000 --> 01:33:41.000]  Or maybe they do. But a lot of it did. It's absolutely astounding how much of what they came up with still holds up great.
[01:33:41.000 --> 01:33:55.000]  It's the nature of the paradigm, though, that there is a sort of select a noun and then choose an action metaphor.
[01:33:55.000 --> 01:34:08.000]  And so, like I said, the official way to open an application on the Mac is to click on it once, which selects it, and then go up to the file menu and the open command, and then that opens it.
[01:34:08.000 --> 01:34:23.000]  Now, nobody actually does this. They double click on the thing. Double click is a shortcut for select and then use the open command, which is either command O or in the finder, you can use command down arrow to open a thing.
[01:34:23.000 --> 01:34:31.000]  But those are just shortcuts to open the thing that is selected. And double clicking it is just a shortcut. Everybody just remembers the shortcut.
[01:34:31.000 --> 01:34:39.000]  But then people who don't really understand that that's how it works, just that short little description, most people don't know, they just know you double click and something happens.
[01:34:39.000 --> 01:34:48.000]  And then you wind up with millions of people around the world who still double click on links in web pages because they think double click is, you just have to double click everything.
[01:34:48.000 --> 01:34:50.000]  Double click means open. Yeah.
[01:34:50.000 --> 01:34:57.000]  And double clicking a link in a web browser actually does open it. You just are wasting a click that you didn't need to do.
[01:34:57.000 --> 01:35:06.000]  But there's also the circumstances where you double click on something and something unintentional happens because that second click actually does a different thing.
[01:35:06.000 --> 01:35:19.000]  Right. And it's one of the reasons people thrive, experts and non-experts alike, but especially non-experts who don't really care about how things work and just want to use it.
[01:35:19.000 --> 01:35:39.000]  The modern touch era introduced with the original iPhone and now spread all over the world on Android and other devices where it's direct manipulation, you're not indirectly moving a pointer around and then selecting a thing or double clicking a thing to open it.
[01:35:39.000 --> 01:35:50.000]  You just see an icon for the app you want and your finger touches it once and it opens and it is, you know, you don't really have to double tap anything.
[01:35:50.000 --> 01:35:54.000]  And for stuff like just launching an app or switching an app, it's all better.
[01:35:54.000 --> 01:36:12.000]  But the original like text editing stuff with the mouse really is hard to imagine beating where if you single click, you know, number one, you drag your mouse into a text area and the mouse pointer changes to the I beam, which is nice and precise.
[01:36:12.000 --> 01:36:24.000]  And you can put it right between two letters perfectly. Click it once and the insertion point goes to where you click, click twice. It selects the word you're on.
[01:36:24.000 --> 01:36:32.000]  Click three times. And I remember when I first learned that shortcut, which was like, oh, holy crap.
[01:36:32.000 --> 01:36:36.000]  Right. Click three times and selects the whole paragraph.
[01:36:36.000 --> 01:36:46.000]  It is, you know, I think there were even apps, I don't know if there still are, but there were definitely apps at some point where like you could click like four times and like select the whole document.
[01:36:46.000 --> 01:36:52.000]  I mean, triple is about as much as I usually use, but to get the whole paragraph.
[01:36:52.000 --> 01:37:02.000]  But without that, without the actual mouse pointer in there, doing some of those things is so cumbersome on iOS.
[01:37:02.000 --> 01:37:16.000]  You know, it always has been a lot of the paradigms still exist, but because you're expecting something to happen right away when you tap the screen, because you've been trained that way, it feels unnatural to be tapping.
[01:37:16.000 --> 01:37:19.000]  And remember, too, that your fingers way less precise.
[01:37:19.000 --> 01:37:37.000]  So what somebody may think is a triple click on the same target, no matter what affordances are built in to the text selection process, if you're triple tapping and your fingers at one coordinate on the first tap and then two different coordinates on the second and third tap,
[01:37:37.000 --> 01:37:44.000]  it can only afford so much to assume that you're triple tapping on the same location rather than rapidly tapping around.
[01:37:44.000 --> 01:37:52.000]  Yeah, here's one I run into all the time because I like to I always try to give byline credit when I link to a post.
[01:37:52.000 --> 01:38:05.000]  So if Matthew Panzerino has a story at TechCrunch and I link to it, I'll write Matthew Panzerino writing at TechCrunch or reporting at TechCrunch or something like that.
[01:38:05.000 --> 01:38:28.000]  And for a lot of the times I have to get somebody's name spelled correctly, I will copy and paste it from the Web page. But if you ever try to select the author's name and a lot of Web sites, it's kind of tricky because most Web sites nowadays, if you just click the author's name, it goes to like the author bio page.
[01:38:28.000 --> 01:38:42.000]  The name is a link to like the author's page. And that makes it hard to just I don't I don't I don't want to get the link. I don't want to go to the link. I don't want to copy the link. I just want to copy this person's surname.
[01:38:42.000 --> 01:39:03.000]  The publication's a jerk and doesn't link the author. Right. But it's really easy with a mouse, even in a Web page. And it's really depending on and it's a weird use case. You know, it's not something it's I don't even fault the designers of Web pages and publications where it's hard to just select it with your big fat finger.
[01:39:03.000 --> 01:39:17.000]  Yeah, but it's hard. And with the iPad, with the trackpad support now, all of a sudden it's just as easy as it is on the Mac. Boom. Just select. There it is. There's the person's last name. Copy. Right. Go back to the other thing. Paste.
[01:39:17.000 --> 01:39:27.000]  It's it's really, really good. I really enjoy it. I think it's so thoughtful and fun. I like I have everything running in the default mode. I know that you can turn off.
[01:39:27.000 --> 01:39:42.000]  There's like a little like when you move the cursor, it doesn't just stop when you lift your finger has a little bit of momentum and it keeps moving. Yeah. And I've seen a couple of people who are like, oh, thank God you can turn it off.
[01:39:42.000 --> 01:39:51.000]  I think that might be an accessibility. Some of this stuff is just in the normal trackpad preferences and some is an accessibility. I can imagine why some people would be annoyed by it.
[01:39:51.000 --> 01:40:00.000]  But if you haven't tried it yet and your first thought, I would just say give it a day or two with the default settings. I find it to be joyful.
[01:40:00.000 --> 01:40:12.000]  I think the way that it makes the mouse pointer feel alive in a way that it's never felt alive on any platform I've ever used before, period.
[01:40:12.000 --> 01:40:24.000]  I think you said in your review that it kind of feels it feels natural in a way that like when you when you scroll on iOS and you get to the bottom, it doesn't just end like you hit a wall. It bounces.
[01:40:24.000 --> 01:40:31.000]  I think that was somebody else. I don't remember saying that, but I think it's a great observation. I don't know if that was Craig Maud's thing or. Yeah, maybe it was.
[01:40:31.000 --> 01:40:56.000]  But I agree. I think it absolutely has a feeling of like exuberance to it, which feels great. It feels fun. It also, I believe, has some affordance implications in that if somebody doesn't have fine motor skill ability or if they're not overly familiar with a mouse and cursor, which it's funny to think.
[01:40:56.000 --> 01:41:20.000]  But this adding trackpad support to the iPad may actually be many people's first experience with a trackpad. I know it seems weird because you and I and of course, many other people who are listening to this podcast are going to all have used a laptop with trackpad support or an external trackpad on a desktop.
[01:41:20.000 --> 01:41:38.000]  But my daughter has never used a trackpad because she has a computer, which is an old iMac that I gave her. And she does her schoolwork on it. She watches She-Ra on it, does video conferences now with her teacher and all that stuff.
[01:41:38.000 --> 01:41:53.000]  But I put a mouse on there very explicitly because I wanted her to get exposed to a mouse because guess what? She's never used a mouse either. She's seven. And sure, she's sort of like at the beginning of her computer lifespan or whatever.
[01:41:53.000 --> 01:42:07.000]  But in previous generations, the only option for a computer was to use a mouse. That was it. That was always your entry point. You used a mouse or of course, previous to that, you used a keyboard because the mouse wasn't really a thing or wasn't really required.
[01:42:07.000 --> 01:42:25.000]  But you forget that this entire generation of kids and even older kids 12 to 14 or whatever, there's a very good chance that if you lived in a household where a phone or a tablet was their first computer, they may never really have used a trackpad much.
[01:42:25.000 --> 01:42:43.000]  And it is interesting to me that this little momentum gives it the ability to move to a location and then snap to it. So it's sort of like, hey, I know where you're headed. Let's make sure that you get all the way there and grab this button or this action.
[01:42:43.000 --> 01:42:57.000]  And of course, there are all of the really cool things it does where it inhabits. I call it possession. Like it possesses an icon or a link or whatever. Sort of like the old, like a Ghostbusters type scenario.
[01:42:57.000 --> 01:43:09.000]  The Ghostbusters cartoon when a ghost possesses somebody and they glow green or whatever. There's a ghost in there. It's like that kind of thing. It's got this little halo.
