[00:00.000 --> 00:03.000]  Where do we even start, Ben?
[01:21:48.000 --> 01:22:03.000]  And then as you edited the document and moved things around, it just worked. Right. You just did not have to worry about your index connections breaking or working. It was brilliant. And it's a tricky, tricky problem to solve.
[01:22:03.000 --> 01:22:19.000]  Really. I mean, doing a good index for a book is infamously difficult and expensive to get someone to do it. And, you know, at the time, the BB edits manual was thick. I mean, it was, I don't know, it was like 300 pages.
[01:22:19.000 --> 01:22:36.000]  And had a great index. And it was so easy. Framemaker made it so easy to keep that index up to date as you went and, you know, added new features and stuff. Great, great, great app. So that's a feather in its cap.
[01:22:36.000 --> 01:22:43.000]  Well, we all have our ups and downs.
[01:22:43.000 --> 01:23:05.000]  Like I said, I was hoping we were not going to have a watch. Now we're an hour and a half in. So I do. It's funny that you brought it up, though, because that's exactly where I was going with the whole, you know, like with with his role with flash and mobile is on the one side, he really believed that it was, you know, could be a could be the future of mobile, which would indicate that he's a bozo.
[01:23:05.000 --> 01:23:33.000]  I don't believe that. I think that I my guess is that he knew exactly what the score was. And he was just being loyal to Adobe. That, though, like you said, in and of itself is maybe not loyalty as a general thing is great. But maybe in that case, it's like I was I was going to go there with the Johnny Ive story about Steve Jobs saying, you know, don't just say good things about it, you got to be honest, if you're not being honest, you're doing a disservice to the people you're talking to.
[01:23:33.000 --> 01:23:51.000]  And that it was a disservice, you know, to Adobe to to let them keep pushing flash forward. Because it's so that's so it's so it's so rare, though. I mean, it's it's well, actually, in big companies, right, and Adobe is doing pretty good. Their last quarter, their results were pretty good.
[01:23:51.000 --> 01:24:09.000]  And I'm happy to see that I think I think the industry is better with a healthy, strong, successful Adobe as an independent company. Oh, no, I completely agree. And like the way they've in the way they've transitioned their products to being to the to being a service basically, has been really impressive.
[01:24:09.000 --> 01:24:25.000]  No, I completely agree. It actually just they just released a new app a couple hours ago. I don't know if you've seen it yet. Adobe Slate, a visual story, storytelling app for the iPad where you can basically use photos and text to create like to create a story.
[01:24:25.000 --> 01:24:44.000]  And it's it's it feels so like Adobe-esque in the best possible way. Right. It's like letting you weigh stuff out, create something that looks really, really great to create like your own product. In a sense, like Adobe lets you create what you create, let you create products in the best possible sense.
[01:24:44.000 --> 01:24:59.000]  And when they're at their best. And what's what's fascinating about this is like, who is arguably if you think about it, who is who, if anyone is pushing the envelope in the iPad right now, like there there aren't many.
[01:24:59.000 --> 01:25:08.000]  And wouldn't it be fascinating if kind of like the the the two companies that arguably are producing some of the most compelling iPad apps right now are Adobe and Microsoft.
[01:25:08.000 --> 01:25:21.000]  Yeah, well, and that was like a replay. All right. Yeah, it is a replay to the Mac. Right. Yep. Because let's just say that 84 84 was, you know, the original Mac was a severely limited machine.
[01:25:21.000 --> 01:25:43.000]  85 86 87 or so is when I would say the Mac really kind of got up off the ground in terms of the performance of the I don't know if they were up to this 68 20 yet. But it was getting close, you know, the 68 20s and the 68 30s eventually.
[01:25:43.000 --> 01:25:51.000]  But other and with other form factors where you could get bigger displays and stuff like that.
[01:25:51.000 --> 01:26:00.000]  And more RAM, and then famously, you know, the desktop publishing industry, which was built on the Mac, that didn't come from Apple, Apple never had a desktop publishing app.
[01:26:00.000 --> 01:26:13.000]  I mean, Apple came out with the laser rider, which certainly helped. But, you know, it was software from Adobe and Quark and who did page maker Aldous? Yep. That really made that an industry.
[01:26:13.000 --> 01:26:22.000]  And, again, Microsoft, it was apps like Excel, Excel started on the Mac, right? Or at least it became a hit on started started on the Mac.
[01:26:22.000 --> 01:26:39.000]  Microsoft Word was a huge Mac app. You know, lots of great software from Microsoft for the app for for the Mac in the 80s and absolutely helped make the Mac for it obviously never got entrenched as a widespread, you know, business computer.
[01:26:39.000 --> 01:26:45.000]  But in places that did have Macs, it was the Microsoft software that made it plausible.
[01:26:45.000 --> 01:27:07.000]  I know this is a little controversial, but I kind of feel like, you know, Apple, you know, to some extent, the way that I feel they've limited the App Store and limited the ability to build sustainable apps in my estimation, you know, without not having things like trials, not having things like easy upgrades.
[01:27:07.000 --> 01:27:18.000]  I I kind of feel like that one, there's the whole, you know, commoditize your compliments like cheap apps is good for the platform within within a certain limit.
[01:27:18.000 --> 01:27:28.000]  But on the other hand, I think they they remembered, you know, being in that position where it got to the point where the Microsoft and Adobe apps were more important than the Mac.
[01:27:28.000 --> 01:27:37.000]  Right. And like Steve Jobs had to like prostrate it, prostrate himself. We might have to edit that out.
[01:27:37.000 --> 01:27:40.000]  No way. No way are we editing that out.
[01:27:40.000 --> 01:27:55.000]  But it's it's it's really morbid considering the person talking about, you know, like almost like literally with this massive visage of Bill Gates up on his screen, you know, Microsoft riding into the rescue.
[01:27:55.000 --> 01:28:01.000]  And then Adobe, when they went to OS 10, Adobe wouldn't even come over. Right. Like they refused them.
[01:28:01.000 --> 01:28:09.000]  Customers aren't really there. And, you know, I feel like Apple never want to build hostage to app makers again.
[01:28:09.000 --> 01:28:20.000]  And and it turns out, though, because no one's really been able to build, especially in the productivity space, a meaningful business on the iPad in particular.
[01:28:20.000 --> 01:28:25.000]  Like it turns out it's the same guys that are there and it's Microsoft and it's Adobe.
[01:28:25.000 --> 01:28:31.000]  And I just find it fascinating and kind of like the the history of this relationship.
[01:28:31.000 --> 01:28:45.000]  Yeah, they were definitely I think that with and again, I don't want to go on a huge digression about circa 1997 industry politics, but it is interesting, though.
[01:28:45.000 --> 01:28:55.000]  I do think so that, you know, that Adobe and Microsoft, at least especially combined, held far more sway over Apple's future than Apple itself did.
[01:28:55.000 --> 01:29:03.000]  Yeah. You know, maybe they could have gotten by with one and on board and not the other either way, but not both.
[01:29:03.000 --> 01:29:23.000]  And, you know, and it certainly, you know, exemplified with the original Rhapsody introduction, like with the first, you know, the first plan that was announced post next reunification, which was a very it was much it was more or less the next step operating system without carbon.
[01:29:23.000 --> 01:29:36.000]  It was you're going to have to rewrite for Coco. I don't even know if they'd called it Coco yet, but more or less, you know, it was more or less we're going to you know, we're going to do it, put a new Apple style UI on the next step operating system.
[01:29:36.000 --> 01:29:42.000]  Right. And there was no there's no carbon, no carbon. And that went over like a lead balloon.
[01:29:42.000 --> 01:29:57.000]  And more or less, like Microsoft said, we're not doing that, because it would be a rewrite. Right. And everybody knows, you know, going from these existing code bases on the Mac to pure next step would have been it's a complete rewrite.
[01:29:57.000 --> 01:30:05.000]  It's an all new platform. And they were going, no, we're not going to do it. Adobe was like, nope, that's, that is not its starter. And they Apple announced it, right?
[01:30:05.000 --> 01:30:28.000]  I mean, and then they had to backtrack. And that's forestalls decision, it was for Scott forestall, who really was the champion of carbon within Apple, which I still think is one of the most telling stories that that paints forestall is as a complex figure, you know, it's there's no way to just say, Oh, he was a, he was a jerk, and so they fired him.
[01:30:28.000 --> 01:30:43.000]  Because if that was true, I mean, and he was a guy who, you know, I think he went to work at next right out of college. I mean, he'd been I mean, I think all he'd ever done in professional life was work for for next. And it was only platforming new and yet he was the guy spearheading.
[01:30:43.000 --> 01:30:54.000]  We need to support we need to create this carbon thing to support this legacy stuff, you know, whereas the public the perception from outside Apple was that the next people came in, and had no respect for the Mac stuff that was already there.
[01:30:54.000 --> 01:31:08.000]  And it couldn't be further. I mean, there might be some people who are like that. But forestall exemplifies that, you know, there were there were here was a guy who couldn't have been more pure blood next, who was pushing for carbon, which was what got them on board.
[01:31:08.000 --> 01:31:17.000]  And I think it was the right decision. But I think jobs always resented that they had to do that. Right? That's absolutely right. It's the fact that they didn't control their own destiny.
[01:31:17.000 --> 01:31:28.000]  Yeah, and that Yeah, and that's Yeah, and that that is so core to to Apple now. And you know, the way the way they think about all their business.
[01:31:28.000 --> 01:31:40.000]  Yeah. Let me take a break here and thank our next sponsor of the show. Casper. You heard about Casper? I have Casper is amazing.
[01:31:40.000 --> 01:31:50.000]  It sounds amazing. Sounds like something I'm making sounds like an April Fool's joke. They're an online retailer of premium mattresses for a fraction of the price.
[01:31:50.000 --> 01:32:03.000]  Sounds like an April Fool's joke. You go online and buy a mattress. No, seriously, this is what you do. You go there. They've it's truly it's revolution. It's a complete different approach than the standard mattress industry. None of this confusing product names.
[01:32:03.000 --> 01:32:19.000]  The regular mattress makers, it's all it's it's seriously it is I don't think it's any exaggeration to call it a cartel. They they they keep prices high, they use all these confusing product names for their mattresses to make it as difficult as possible to comparison shop.
[01:32:19.000 --> 01:32:35.000]  Because when you go to one store and try the Sealy, whatever, whatever, and then you go to another store and try a Sealy, that product isn't even there. That's all got different names, even though it's the exact same mattress. And therefore it makes it really, really hard to tell which one is which.
[01:32:35.000 --> 01:32:50.000]  Forget about all that nonsense. You go to Casper website and they have one mattress technology. It is one of a kind thing. It is a hybrid mattress that combines premium latex foam with memory foam.
[01:32:50.000 --> 01:33:11.000]  I've had one sent to me. I've tried it. It's really good. I don't like pure memory foam mattresses. It is not like that at all. It's not some kind of thing where you get up off the bed and there's like a corpse shape bedded in the mattress, which I don't like that at all. It's not like that at all. They use just enough of the memory foam style stuff that just makes it comfortable while you're laying there.
[01:33:11.000 --> 01:33:24.000]  It's a great mattress. Really great. Shows up at your door in a box. It's a big box, but it is not a mattress sized box. This to me is the most amazing part of it. It shows up in like a dorm room refrigerator box.
[01:33:24.000 --> 01:33:34.000]  And you think there's a queen size mattress in there? A king size mattress? Well, take it up to the room where you want it. And again, they tell you this in the instructions. Do not open the box in another room.
[01:33:34.000 --> 01:33:50.000]  Go to the room. Go to your bedroom. You open the box and all of a sudden there's a mattress. It's amazing. Prices are fantastic. Regular mattresses, premium mattresses usually sell for over 1500 bucks, 2000 or more.
[01:33:50.000 --> 01:34:04.000]  Casper mattresses are way lower than that. 500 for a twin size mattress, 750 for full, 850 for queen size, and just 950 bucks for a king size mattress. Truly, truly great prices.
[01:34:04.000 --> 01:34:15.000]  Here's the thing. They totally understand. Casper understands that buying a mattress online without ever feeling it, without trying it out, laying down on it, seems weird. Seems like even 950 bucks.
[01:34:15.000 --> 01:34:22.000]  Even though it's a great price, who wants to spend 1000 bucks on a mattress that you've never even tried? So here's the deal. It's completely risk free.
[01:34:22.000 --> 01:34:33.000]  You don't like it. Up to 100 days, they'll just, if you don't like it, just call them up and say, I don't want it. Up to 100 days, they'll come and get it from you and take it back and give you your money back. It's that simple.
[01:34:33.000 --> 01:34:41.000]  Statistically, here's the thing they have. Lying on a bed for four minutes in a showroom has no correlation with your eventual satisfaction to the mattress.
[01:34:41.000 --> 01:34:47.000]  So the fact that you can try them in retail stores doesn't even matter in terms of finding one you're actually going to like to sleep.
[01:34:47.000 --> 01:35:03.000]  And Casper, I forget what their old demo period was, but it was less than 100 days and so few people were sending back their mattresses that they extended it to 100 days because they were so confident once they had data that people really, really love their Casper mattresses.
[01:35:03.000 --> 01:35:12.000]  So that's everything you need to know. Oh, one more thing. They're made in America, which I think is pretty cool. Made right here in the USA.
[01:35:12.000 --> 01:35:27.000]  So here's what you do. Go to caspersleep.com slash talk show. Caspersleep.com slash talk show. And you'll save some bucks and they'll know you came from the show.
[01:35:27.000 --> 01:35:37.000]  So my thanks to them. If you need a mattress, go check them out at caspersleep.com slash talk show. All right, what else you want to talk about?
[01:35:37.000 --> 01:35:50.000]  What else do I want to talk about? Well, it's actually been it's been it's been a pretty busy week. The I thought the the title thing was interesting. The music thing I wrote about that.
[01:35:50.000 --> 01:36:02.000]  The Jay-Z streaming service. There's been the Amazon button, which I love you. You were you were debating if it's either if it's genius or stupid. I think it's I think it's absolutely genius.
[01:36:02.000 --> 01:36:13.000]  All right. We've already that's a good lesson. Let's let's see if we can tackle some of these quickly. The Jay-Z music service. I think it here's my take. I haven't read in detail.
[01:36:13.000 --> 01:36:28.000]  It's right. It's been busy week. My high level take on it. What's it called? Title. T i d a l like like the ocean tide. Right. Number one bad name because it's indistinguishable audibly from title.
[01:36:28.000 --> 01:36:46.000]  Like you're you know, tit le bad product name. This to me reeks of everybody. Well, I don't know that we know. But we're pretty close to knowing that beats audio, Apple's beats audio is relaunching soon.
[01:36:46.000 --> 01:36:55.000]  Under I don't know if it's going to keep the name or if it's going to be rebranded under iTunes or Apple or something like that, you know, Apple Music, who knows.
[01:36:55.000 --> 01:37:01.000]  But it's coming. I think probably at WWDC.
[01:37:01.000 --> 01:37:08.000]  And if not soon thereafter, but I think they would love to announce it at WWDC.
[01:37:08.000 --> 01:37:18.000]  Everybody knows it's coming. And it just this title thing from Jay-Z sounds like, well, let's hurry up and announce something beforehand.
[01:37:18.000 --> 01:37:28.000]  I mean, it is it is it is shipping like you can sign up for it right now. But it's I think it's just pretty much a rebrand of the service that they bought.
[01:37:28.000 --> 01:37:39.000]  The thing that I found interesting with in relation to the Apple thing was there was well, first off, there was some reports at the end of last year, I think originally New York Post about about Jimmy Iovine and Apple trying to sign up exclusives for their service.
[01:37:39.000 --> 01:37:50.000]  And after the title launch, there was an interview with Jay-Z in Billboard where they asked him specifically about about competing with Iovine.
[01:37:50.000 --> 01:37:57.000]  And and he said he's like speaking with Billboard about bidding competitively with Iovine behind the scenes of title and beats respective launches.
[01:37:57.000 --> 01:38:02.000]  Jay-Z said, my thing with Jimmy is listen, Jimmy, you're Jimmy Iovine, you're an Apple. Truthfully, you're great.
[01:38:02.000 --> 01:38:10.000]  Did it say you don't have to do this? We don't like I don't have to lose or for you guys to win. Let's just remember that, like, sorry, Jay-Z.
[01:38:10.000 --> 01:38:19.000]  As long as Iovine is with Apple, Apple will absolutely be out to win and they're not going to play nicely for the good of music.
[01:38:19.000 --> 01:38:28.000]  And it just is very convenient that the good of music, according to this group, is happens to be very good for them personally.
[01:38:28.000 --> 01:38:34.000]  And and actually it happens to be good for their labels, too. Yeah, I'm skeptical.
[01:38:34.000 --> 01:38:45.000]  It doesn't really change anything if it doesn't change anything. And if there's not going to be any meaningful exclusives in particular, then they're competing on the merits of the product.
[01:38:45.000 --> 01:38:48.000]  Presumably they'll have some exclusives from Jay-Z.
[01:38:48.000 --> 01:38:58.000]  But they don't. The only the only exclusive they have at launch that is meaningful is Rihanna's latest single.
[01:38:58.000 --> 01:39:02.000]  They don't have anything else. People report they have Taylor Swift's back catalog, but Taylor Swift's back catalog is on Beats right now.
[01:39:02.000 --> 01:39:08.000]  It's on RDO. It's on any service that doesn't have a free tier. Like her objection was always to the to the free tier.
[01:39:08.000 --> 01:39:15.000]  So, no, they don't have any exclusives and they won't have exclusives because to put to from a label perspective and frankly,
[01:39:15.000 --> 01:39:21.000]  from an artist's perspective, to have an exclusive is dumb. Like the cost in making music is upfront.
[01:39:21.000 --> 01:39:27.000]  It's actually recording the music like once it's recorded, you want to get it in as many channels as possible.
[01:39:27.000 --> 01:39:33.000]  Right. Because your your marginal cost is zero. So you want to sell as many as possible, which means having it everywhere.
[01:39:33.000 --> 01:39:41.000]  And so the idea of exclusive like it just doesn't like all the all you're having like a mixture of of business models and stuff like that.
[01:39:41.000 --> 01:39:47.000]  And which means that all the left is compete with on the product. And well, you've got to get you've got to get something in exchange.
[01:39:47.000 --> 01:39:56.000]  Look at when the Apple landed the Beatles catalog. It clearly that was in exchange for an enormous marketing campaign.
[01:39:56.000 --> 01:40:00.000]  Yeah. Right. I mean, Apple was running Beatles ads. Apple was paying for them.
[01:40:00.000 --> 01:40:06.000]  It was an enormous campaign to promote it. You have to get something you can't just say, OK, it's an exclusive and it's only on this thing.
[01:40:06.000 --> 01:40:14.000]  You've got to be getting to do that. You've got to be getting something either promotional or cash, you know, to make it worthwhile.
[01:40:14.000 --> 01:40:20.000]  Right. And the ones that control it or especially in the back catalog, it's mostly the labels.
[01:40:20.000 --> 01:40:30.000]  And like they're the labels interest is having is like they're fine to have a bunch of these guys like competing with each other.
[01:40:30.000 --> 01:40:36.000]  I mean, that's why I'm long term, you know, bearish on Spotify. I don't like subscription services in general.
[01:40:36.000 --> 01:40:45.000]  I think they're a great value for the consumer, but they're you know, I think they're a bad idea for most for for most artists.
[01:40:45.000 --> 01:40:52.000]  But like as long as they as long as they exist, I lost my train of thought.
[01:40:52.000 --> 01:40:57.000]  I was getting a little worked up. Well, here's my thing on Jay-Z's ad. That's the one. That's the one.
[01:40:57.000 --> 01:41:04.000]  30 a.m. lost the train of thought. You don't have to you don't have to win or we don't have to lose for you to win, blah, blah, blah.
[01:41:04.000 --> 01:41:10.000]  Compare and contrast video with video. Apple doesn't have their own custom content.
[01:41:10.000 --> 01:41:19.000]  Right. Apple doesn't have Apple produced shows. So Apple can treat Netflix and HBO Go and HBO.
[01:41:19.000 --> 01:41:27.000]  What's the new on HBO now? Yeah. You know, and. You know, Apple doesn't have to you know, there is no competition with Apple.
[01:41:27.000 --> 01:41:35.000]  Well, guess what? Apple does sell music and Apple's view on how much of the music out there they should be selling is all of it.
[01:41:35.000 --> 01:41:40.000]  Well, not just that, but if you know, if and when Apple launches a streaming service, that's a zero sum game.
[01:41:40.000 --> 01:41:45.000]  No one is going to be subscribed to multiple streaming services. Right. Yeah. That's another good example. Right.
[01:41:45.000 --> 01:41:58.000]  Because people. Yeah. And that's another difference of video where you might. In fact, I am both a Netflix subscriber and an HBO subscriber because I want to watch both shows that are on exclusive to Netflix and exclusive to HBO.
[01:41:58.000 --> 01:42:03.000]  Right. But those are but those are like their vertical business models, like their Apple like in a way. Right.
[01:42:03.000 --> 01:42:10.000]  They're using their exclusive content to get you to sign up for their service because you can only get House of Cards on Netflix.
[01:42:10.000 --> 01:42:19.000]  You can only get Game of Thrones on HBO, whereas when it comes to to the catalog to the to music, because it's controlled by the labels and they want to be everywhere.
[01:42:19.000 --> 01:42:27.000]  That means all the services end up having pretty much the same stuff. What else was going on this week?
[01:42:27.000 --> 01:42:34.000]  Well, along those lines, actually, I thought I love this story because it was so like it was so classic Apple. It's funny.
[01:42:34.000 --> 01:42:44.000]  I thought we could have Apple at all. But I guess that's the way it goes. There's a story yesterday in Recode about how Apple is going to get for their TV service.
[01:42:44.000 --> 01:42:49.000]  They want to get the the networks to pay for the streaming.
[01:42:49.000 --> 01:43:02.000]  So basically, Apple will sign up all the networks on there. And instead of the networks delivering their content to Apple and then Apple streams with Apple TV, they will all they'll stream individually to to the Apple TV.
[01:43:02.000 --> 01:43:16.000]  And the quote here is great. Eddie Q has at the company's media efforts and leading negotiations for the service has told them that Apple feels it should concentrate on what it's best at creating consumer hardware and software and leave other tasks like streaming infrastructure for people who specialize in it.
[01:43:16.000 --> 01:43:21.000]  This is this is so great on multiple levels. It's great because, one, it's true.
[01:43:21.000 --> 01:43:27.000]  And honestly, I don't want Apple focusing on the streaming. I don't want Chinese dubbing.
[01:43:27.000 --> 01:43:33.000]  Two, you missed X. You're actually at the first Apple. Yeah. And the one where I couldn't make it last last month was great streaming.
[01:43:33.000 --> 01:43:40.000]  The stream was perfect for me. And the only complaint I saw of others was that other people seem to get on one that was a minute or two behind.
[01:43:40.000 --> 01:43:45.000]  Yeah, that's that's the case with streaming. Always. I watch the NBA a lot.
[01:43:45.000 --> 01:43:51.000]  We pass and I'm always slightly behind Twitter, which sucks because something big will happen and I'll see it first.
[01:43:51.000 --> 01:44:00.000]  But anyhow, so this Apple thing. Wouldn't that be a cool Twitter client feature if you could tell your Twitter client to put you five minutes behind?
[01:44:00.000 --> 01:44:06.000]  It would be. Yeah, it would be. It would be fantastic. Oh, Twitter. We were going to talk about that, I think.
[01:44:06.000 --> 01:44:22.000]  But the other thing that's great about this is this is what Apple does again and again in industry after industry is because Apple has such a dominant hold on the consumer and the customer relationship.
[01:44:22.000 --> 01:44:31.000]  What they end up doing is they get other people to do the really expensive, undifferentiated commodity work for them.
[01:44:31.000 --> 01:44:38.000]  And then and then Apple gets to blame them when anything goes wrong. So like with the iPhone. Right. What's the actual expensive part of of an iPhone?
[01:44:38.000 --> 01:44:47.000]  It's all it's the carrier service, like the amount of money it costs to build up a network is is is massive.
[01:44:47.000 --> 01:44:54.000]  But Apple doesn't do any of that. They get the carriers to do it for them and the carriers. And and when the call goes bad, you can't get online.
[01:44:54.000 --> 01:44:56.000]  Do you blame Apple? No, you blame AT&T.
[01:44:56.000 --> 01:45:02.000]  And and then they leverage that into getting Verizon to take it because Verizon is losing customers to AT&T.
[01:45:02.000 --> 01:45:09.000]  And and you see this Apple do this again and again, like the at the banks, the banks are paying Apple for the privilege of Apple Pay.
[01:45:09.000 --> 01:45:15.000]  Why? Because the banks are fearful that people will switch banks just to get access to Apple Pay.
[01:45:15.000 --> 01:45:21.000]  And and now they're going to do this with this network thing that the networks like are looking for alternative revenue streams.
[01:45:21.000 --> 01:45:27.000]  They want to get they want to be a part of the Apple thing. And Apple, you can you can see it like Apple has them reeled in.
[01:45:27.000 --> 01:45:31.000]  And then I was like, oh, by the way, we're not so good at this streaming thing. Why don't you take care of that?
[01:45:31.000 --> 01:45:39.000]  Guess what? That's that is really expensive and there is no value add. It's a pure commodity. And Apple is going to somehow get out of paying it.
[01:45:39.000 --> 01:45:47.000]  I had an interesting conversation email conversation yesterday with our friend Darth of the greatest guy on the Internet.
[01:45:47.000 --> 01:45:57.000]  Yes, that with the greatest avatar. Yeah. And he was surprised by it because he's his take was Apple.
[01:45:57.000 --> 01:46:00.000]  He was surprised that Apple wouldn't want to control that because and his take.
[01:46:00.000 --> 01:46:06.000]  And I think he's right here is that if the stream for somebody's stream on this new Apple TV is shitty,
[01:46:06.000 --> 01:46:14.000]  people are going to blame Apple because we may know as insiders that Apple the way that they've architected this is that you bring your own streaming technology.
[01:46:14.000 --> 01:46:20.000]  You know, you know, you bring your own servers and streaming stuff. The consumer isn't going to know that.
[01:46:20.000 --> 01:46:25.000]  The consumer is going to know I bought the new Apple TV and I went to whatever it is.
[01:46:25.000 --> 01:46:29.000]  I wanted to watch the NBA thing and the stream sucked. Apple TV sucks.
[01:46:29.000 --> 01:46:36.000]  But what if every stream works except for that one? Well, see, CBS is patchy, but every other stream works fine.
[01:46:36.000 --> 01:46:45.000]  Like, right. Then who is going to get blamed? Right. Maybe then even a consumer would figure out, you know, oh, I guess I should blame the NBA.
[01:46:45.000 --> 01:46:52.000]  I mean, we had this we had this conversation on Twitter last night about about this topic.
[01:46:52.000 --> 01:47:02.000]  And someone pointed out that if you want to take a cynical view of things, Steve Jobs managed to successfully blame the iPhone four on people holding it wrong.
[01:47:02.000 --> 01:47:09.000]  So never don't. You can always ask just how far Apple can can get people to admit.
[01:47:09.000 --> 01:47:16.000]  Actually, it was our fault. And the other fact, I think it's complicated that the other factor is some of these companies really do do streaming.
[01:47:16.000 --> 01:47:22.000]  Well, Netflix streaming is pretty excellent. MLB has fantastic streaming.
[01:47:22.000 --> 01:47:28.000]  And it's so they're so good at it that they're actually white labeling it for a whole bunch.
[01:47:28.000 --> 01:47:32.000]  I forget. Yeah, I guess they're they're going to do HBO, right? Yeah. They're HBO.
[01:47:32.000 --> 01:47:37.000]  Yeah. They're doing a whole bunch of folks. I'll make a prediction right here, which is that.
[01:47:37.000 --> 01:47:43.000]  And I know that HBO is like go crapped out with Game of Thrones last year.
[01:47:43.000 --> 01:47:53.000]  Now that they're backed by MLB, I'm going to make a prediction that it's going to go well, because I think the MLB stuff is really, really good.
[01:47:53.000 --> 01:48:01.000]  The only times I ever have problems are when I'm pretty sure that it's my Comcast connection and everything in the house seems to be pretty slow.
[01:48:01.000 --> 01:48:08.000]  MLB, the MLB Technologies Group does streaming amazingly well. It's a really great group.
[01:48:08.000 --> 01:48:13.000]  So I think they're going to do well. And I think I think the problem for some of those, you know, like MLB,
[01:48:13.000 --> 01:48:21.000]  I think Apple would have a very difficult time getting MLB on board with a new Apple TV if they couldn't use their own streaming.
[01:48:21.000 --> 01:48:24.000]  No, that's interesting. Yeah, I don't I don't see how they would do it.
[01:48:24.000 --> 01:48:32.000]  I think they've put such an investment into it and they trust it so completely that I think they'd have a hard time getting people to do it.
[01:48:32.000 --> 01:48:40.000]  And I think it's in the interest of these companies like Netflix and MLB to control their own streaming so that they're not tied to Apple's device.
[01:48:40.000 --> 01:48:45.000]  That to me is the difference that they're not looking to lock people in.
[01:48:45.000 --> 01:48:55.000]  The thing that struck me, another great point, the other thing that struck me about it, though, is that if this is it and Apple has no like what I guess what I would kind of hope to see Apple do is if you want to bring your own streaming, bring your own streaming.
[01:48:55.000 --> 01:49:02.000]  If you don't, there's a different tier. And maybe Apple Apple would obviously have to take a bigger cut of the revenue because they'd be providing it.
[01:49:02.000 --> 01:49:08.000]  But it would be interesting and neat to me if Apple had an option where a channel could use,
[01:49:08.000 --> 01:49:19.000]  relay on Apple, rely on Apple to provide all the back end infrastructure so that truly small indie channels could exist for Apple TV.
[01:49:19.000 --> 01:49:32.000]  Right. Like the App Store. So that three guys could start a, you know, Apple TV channel and without paying, you know, an arm and a leg for a massive back end for streaming the video.
[01:49:32.000 --> 01:49:38.000]  That all you need is the camera and the production stuff and you send the video to Apple and Apple takes care of everything else.
[01:49:38.000 --> 01:49:47.000]  Yeah, I don't think so. I mean, that's that's, I think, a harder job than it than it sounds like.
[01:49:47.000 --> 01:49:50.000]  Because, I mean, how many three guys in a camera are you going to allow?
[01:49:50.000 --> 01:49:54.000]  Yeah. Well, I don't know. Is it going to be an App Store? But if it's an App Store.
[01:49:54.000 --> 01:50:05.000]  Right. I don't think they build them all in. I think, you know, I don't think it's going to be like you turn on the app, you know, like it is now where it's you turn on an Apple, the new Apple TV today, you get all the channels.
[01:50:05.000 --> 01:50:10.000]  And I think there's a way you can hide the ones you don't want to see, but they're all there.
[01:50:10.000 --> 01:50:17.000]  I'm thinking of more like an App Store type thing where if you wanted to get a channel, you know, like.
[01:50:17.000 --> 01:50:28.000]  Have you ever seen these YouTube videos? You probably have, because I know you're into stuff like this. There's crazy successful YouTubers who do things like there's a woman who makes a huge amount of money.
[01:50:28.000 --> 01:50:37.000]  Nobody even knows what her name is. Unboxing Disney toys. All she does is unbox Disney toys.
[01:50:37.000 --> 01:50:40.000]  I am aware. And no, I do not watch.
[01:50:40.000 --> 01:50:53.000]  No, I don't think you're I wasn't saying that. I think you're a subscriber to her channel. I'm saying it seems to me that you'd be aware that she exists, that she's making a terrific living doing nothing but unboxing Disney toys.
[01:50:53.000 --> 01:50:54.000]  And kids love it.
[01:50:54.000 --> 01:51:00.000]  And kids love it. So I'm just saying that.
[01:51:00.000 --> 01:51:14.000]  Why wouldn't Apple maybe want to disrupt Google and have let her make an Apple TV channel and it wouldn't show up by default? Everybody wouldn't get the woman who unboxes Disney toys channel on their Apple TV.
[01:51:14.000 --> 01:51:23.000]  But if you wanted it, you'd go to the App Store for Apple TV and get it and you could put it on your home page and it wouldn't go through YouTube. It would just go through Apple.
[01:51:23.000 --> 01:51:31.000]  It is interesting to think about, like, what what will the user interface look like? Will you be able to will it stay kind of like it is?
[01:51:31.000 --> 01:51:42.000]  And, you know, if you get if you get the bundle that people are talking about Apple getting, like, will you be able to only have the channels apps that you want to have on there?
[01:51:42.000 --> 01:51:49.000]  Or will there be a specific TV app where and then it operates more like a traditional TV?
[01:51:49.000 --> 01:51:55.000]  I would I mean, if you think about it, like, why would Apple want to just recreate kind of a broken paradigm?
[01:51:55.000 --> 01:52:06.000]  That's interesting. Well, and it also ties back to something you mentioned like an hour ago, which was the with every major platform, Apple's unveiled a new.
[01:52:06.000 --> 01:52:13.000]  Input device, you know, the remote. Right. And again, they didn't invent the mouse.
[01:52:13.000 --> 01:52:16.000]  But they made the mouse mass market.
[01:52:16.000 --> 01:52:23.000]  They didn't invent. Well, I guess that's it. That's the thing is like people people get so hung up on on the on the actual invention.
[01:52:23.000 --> 01:52:34.000]  And it's it by all means like invention is fantastic, but it is just as innovative to bring something to market in a meaningful way.
[01:52:34.000 --> 01:52:39.000]  And that's what Apple does. Apple makes markets like they made a market for the mouse.
[01:52:39.000 --> 01:52:44.000]  They made a market for for all these other devices. Click wheel spinning device.
[01:52:44.000 --> 01:52:47.000]  Well, they made the market for MP3 players and they made the market for smartphones.
