[00:00.000 --> 00:02.000]  Uh, here we are. We're recording on
[01:13:32.620 --> 01:13:33.820]  Without naming them
[01:13:33.820 --> 01:13:40.820]  I'd say Google and Facebook and the fact that they sell targeted ads based on what they know about you
[01:13:40.820 --> 01:13:42.820]  and
[01:13:43.020 --> 01:13:47.220]  You know, it's got a lot of coverage I think deservedly so I think it's definitely an interesting issue
[01:13:47.220 --> 01:13:49.500]  I think it's one that that you know
[01:13:51.060 --> 01:13:54.400]  Whatever even if you're all in on the Google platform that you want to be aware of
[01:13:55.140 --> 01:13:58.140]  I do think I think Ben Thompson had a good piece
[01:13:58.140 --> 01:14:00.060]  It's behind his paywall for subscribers
[01:14:00.060 --> 01:14:04.580]  But he had a good piece that I would summarize like this that if Tim Cook's being disingenuous
[01:14:05.220 --> 01:14:07.140]  it is in
[01:14:07.140 --> 01:14:13.580]  The way that he's phrasing it and I think it's a sort of very astute point from from Ben, which is
[01:14:14.220 --> 01:14:19.700]  that cook is saying that they're selling your information to advertisers and
[01:14:20.500 --> 01:14:28.540]  They're not actually what they're doing is promising advertisers that their ads will go to the people who are interested
[01:14:28.540 --> 01:14:31.300]  But they're not giving that information to the advertisers
[01:14:31.300 --> 01:14:35.680]  So an advertiser who pays for the targeted ad doesn't know a goddamn thing about Mark Kerman
[01:14:35.680 --> 01:14:41.760]  Right. It's it's because that information is what enables them to sell the ads
[01:14:41.760 --> 01:14:45.400]  They're actually right they they do collect information about you
[01:14:45.400 --> 01:14:48.880]  They do use that information to make money from advertising
[01:14:48.880 --> 01:14:54.400]  But they're not giving that information to advertisers because it's that that information that they have
[01:14:54.720 --> 01:15:00.840]  That is so valuable that if anything they might be more motivated to keep your stuff private than Apple is
[01:15:00.840 --> 01:15:07.120]  because it's the fact that nobody else knows as much about you as Facebook and or Google in the
[01:15:07.360 --> 01:15:12.200]  Different ways that they know stuff about you that makes them so valuable. It's actually an interesting point
[01:15:12.760 --> 01:15:18.280]  but on the flip side and where this ties in with what you and I have just been talking about is I think some people are
[01:15:19.440 --> 01:15:21.200]  overlooking the fact that because
[01:15:21.200 --> 01:15:27.560]  Apple doesn't collect this stuff for the purpose of selling you targeted ads that they're not even in the ballgame of
[01:15:27.560 --> 01:15:31.920]  The exact context sensitive stuff and I don't think that I think that they're there
[01:15:31.920 --> 01:15:38.240]  They're gonna be very very surprised by the next year or two from Apple. Yeah, this is a differentiator here
[01:15:38.240 --> 01:15:43.520]  I agree is that it's it's all about the data that Apple already has with from you on the phone
[01:15:43.520 --> 01:15:45.120]  And maybe this will be on the Mac, too
[01:15:45.120 --> 01:15:52.200]  They're not really opening this up to third-party developers as much as they could if they wanted to
[01:15:52.200 --> 01:15:59.120]  Not care about privacy as much as they do. I'll re retell an anecdote. I told the Topolsky on his show earlier this week
[01:15:59.120 --> 01:16:02.560]  because I think it's so telling and it's an early example of this sort of thing, but
[01:16:04.320 --> 01:16:10.840]  Back in April early April I had an appointment with my accountant and my I live in Center City, Philadelphia
[01:16:10.840 --> 01:16:13.400]  My accountant is out in the suburbs. I've been going to him for years
[01:16:13.400 --> 01:16:17.280]  I know how to get there, but I was testing the Apple watch. It was the first week
[01:16:17.280 --> 01:16:21.000]  it was actually the week in between when I got the review unit and when the review was due and
[01:16:21.000 --> 01:16:23.000]  I don't drive that much
[01:16:23.200 --> 01:16:28.880]  That well, here's the one here's a chance to try out driving directions. I'll let the watch give me driving directions there
[01:16:30.120 --> 01:16:32.880]  Even though I don't really need them and it worked great
[01:16:32.880 --> 01:16:39.260]  But then like halfway there it told me to get off the we call it. It's the Schuylkill Expressway
[01:16:39.260 --> 01:16:42.920]  It's the main artery west out of Philadelphia
[01:16:43.800 --> 01:16:48.520]  And it told me to get off and go a way that I never would have driven
[01:16:48.520 --> 01:16:51.200]  I thought well, I'll listen. I'll listen to Siri
[01:16:51.200 --> 01:16:56.680]  let's see what happens and as I took the exit I looked ahead and I could see that it was all that I it had
[01:16:56.680 --> 01:16:58.680]  taken me off an exit and
[01:16:59.320 --> 01:17:04.660]  Traffic was at a standstill ahead and I was like hmm and it took me this weird way
[01:17:04.660 --> 01:17:08.200]  We through North Philadelphia that I never would have gone
[01:17:08.200 --> 01:17:12.120]  I've never driven there in my life and I ended up getting to my accountant maybe
[01:17:13.160 --> 01:17:17.960]  Ten minutes later than I normally would have given when I left but I was still early
[01:17:17.960 --> 01:17:24.480]  I was on time and I checked on on the news and on maps and a tractor-trailer had overturned on the Schuylkill Expressway
[01:17:24.480 --> 01:17:26.240]  And if I had just stayed on the Schuylkill
[01:17:26.240 --> 01:17:30.620]  I never would have made the appointment and it actually was kind of a big deal because
[01:17:30.840 --> 01:17:34.440]  like rescheduling an appointment with your accountant in early April is
[01:17:34.840 --> 01:17:40.200]  It's like you're asking a huge favor because yeah, not easy pretty much. He's already booked 14 hours a day
[01:17:40.840 --> 01:17:42.840]  I was kind of blown away
[01:17:42.840 --> 01:17:49.780]  It's very very clear to me that the dry turn-by-turn driving the directions I got from Siri took the traffic into
[01:17:50.360 --> 01:17:54.280]  consideration and gave me a bizarre to me a bizarre plan B or
[01:17:54.520 --> 01:17:57.580]  root B until I found out that there is this traffic and I think
[01:17:58.000 --> 01:18:02.640]  Little things like that are the sort of things that people I I think a lot of people think Apple
[01:18:03.000 --> 01:18:08.760]  Isn't doing at all and that that's why they you know, they think Google has a leg up in these regards, right?
[01:18:08.760 --> 01:18:11.540]  So you think they need a better pronounce that they're doing this?
[01:18:11.540 --> 01:18:15.140]  Yeah, and you know, I think it's gonna sneak up on it might you know
[01:18:15.140 --> 01:18:19.260]  It might be the sort of thing that they never get credit for because they might never completely catch up to Google
[01:18:19.260 --> 01:18:25.420]  But they're right, they'll keep pace and and these things are gonna get better, but there's no doubt that this is the future
[01:18:25.420 --> 01:18:27.420]  this is like the next few years of
[01:18:28.460 --> 01:18:33.160]  Like the whole ballgame, right? So maybe like this new spotlight screen will show
[01:18:33.740 --> 01:18:39.760]  Maybe leave a few minutes early because there's a car fire here and there. Yeah or something like that, you know
[01:18:39.760 --> 01:18:44.600]  Yeah, and I wonder how that ties into Siri to like this new spotlights. Yeah
[01:18:45.660 --> 01:18:49.380]  Siri it's a compliment. It's not a replacement or
[01:18:50.080 --> 01:18:54.620]  Really anything like that. It's more of a works with Siri type of thing, right?
[01:18:54.620 --> 01:19:00.140]  So it's I wouldn't call it a textual view of Siri and more so call it a compliment
[01:19:00.140 --> 01:19:02.140]  I think is a good way to do it
[01:19:02.380 --> 01:19:05.700]  But some of it's already tied in like when you do, you know
[01:19:06.280 --> 01:19:09.380]  Like and it's some of its just product marketing. What do they call?
[01:19:09.380 --> 01:19:14.180]  What what do they call Siri exactly see like I honestly when I was writing this report
[01:19:14.180 --> 01:19:19.900]  I didn't have insight into how they're gonna market it because I don't even know if they settled on all that by the time
[01:19:20.140 --> 01:19:21.660]  This story was written
[01:19:21.660 --> 01:19:27.940]  But they could very well kill the name spotlight not username proactive and call all this stuff Siri
[01:19:28.320 --> 01:19:33.500]  Like the new Siri screen on the home screen. Yeah, or they could just keep this as I mean
[01:19:33.500 --> 01:19:37.220]  I think they're just gonna keep this as spotlight as this whole thing called spotlight. All right
[01:19:37.220 --> 01:19:40.100]  So what if they even integrate this onto the Mac, too?
[01:19:40.100 --> 01:19:44.540]  I mean some of the stuff wouldn't make sense, but maybe a better view for appointments and such
[01:19:44.580 --> 01:19:50.020]  Yeah, because some of the stuff definitely involves some of the same partners, you know where?
[01:19:51.300 --> 01:19:57.380]  The the autofill results in Safari come from some of the same partners that they have for Siri
[01:19:57.860 --> 01:19:59.760]  That's yeah, and that's the same deal
[01:19:59.760 --> 01:20:05.120]  it's all it's all one back end type of deal here the spotlight the new proactive stuff and the
[01:20:05.120 --> 01:20:11.020]  Results in Safari and a lot of this is really to try to tackle Google and reduce reliance on them
[01:20:11.860 --> 01:20:17.860]  Eventually, you know, it's very hard to just wake up one day and decide to drop Google search from your platform
[01:20:17.860 --> 01:20:22.620]  But year over year they're adding features that kind of reduce the reliance on Google
[01:20:23.060 --> 01:20:26.020]  Kind of teaching the consumer that Google is not necessary
[01:20:26.300 --> 01:20:33.940]  So last year they took some steps with the new spotlight with the Wikipedia results and all that and some news articles this year
[01:20:33.940 --> 01:20:38.240]  They'll have this next year. Maybe they'll have something else. Maybe a year two or three after that
[01:20:38.740 --> 01:20:44.220]  Everyone will be like there's no point for Google search and it would be easy to go away. I've noticed and it's subtle
[01:20:44.980 --> 01:20:52.420]  And I use duck duck go a lot too, but on I don't even know why I don't really have a strategy for it
[01:20:52.420 --> 01:20:53.220]  But like on my Mac
[01:20:53.220 --> 01:20:59.380]  I have my default search for the search field in Safari said to duck duck go and I have had it set for months and
[01:20:59.380 --> 01:21:04.260]  I've tried it on and off ever since they made it an option and at some point
[01:21:04.260 --> 01:21:06.260]  It was it got to be good enough where it's stuck
[01:21:07.380 --> 01:21:10.060]  On the phone. I still have Google as my default search
[01:21:10.060 --> 01:21:16.000]  I I don't know why but I've noticed that even on the phone how many times the top result is
[01:21:16.920 --> 01:21:23.900]  Yes, that's what I'm looking for. And then I noticed that it's not going through Google. It's the Safari suggestion
[01:21:23.900 --> 01:21:30.040]  Which is backed by Google that they're more or less. It's like their version of I feel lucky
[01:21:30.620 --> 01:21:36.300]  Right, except you get to pre absolutely you get to preview it before you actually tap it and I I've noticed on the phone
[01:21:36.300 --> 01:21:39.740]  That it's it's exactly what I want an awful lot of time
[01:21:39.980 --> 01:21:44.660]  Which right and there's a big emphasis right and there's also a big emphasis part of this proactive thing
[01:21:44.920 --> 01:21:48.240]  to improve that because right now it's not
[01:21:48.240 --> 01:21:54.160]  a hundred percent of the time that you'll get a Wikipedia result or a news article the news article thing for a search term might
[01:21:54.160 --> 01:21:55.400]  only fire
[01:21:55.400 --> 01:22:01.160]  25% of the time so they're working on improving the AI so you can you can get more quick results
[01:22:01.160 --> 01:22:02.800]  Like you said more frequently
[01:22:02.800 --> 01:22:09.360]  Let me take a break here and thank our third sponsor and it is our good friends at Squarespace. You guys know Squarespace
[01:22:09.360 --> 01:22:10.840]  It's the all-in-one
[01:22:10.840 --> 01:22:13.420]  hosting website building platform
[01:22:13.420 --> 01:22:20.300]  You need a website you go to Squarespace and they got it all everything. You can register your domain name you have
[01:22:20.940 --> 01:22:26.820]  The hosting is taken care of they have all sorts of templates you choose from visually through drag-and-drop
[01:22:28.060 --> 01:22:29.900]  You want to get in there? You want to mess with the code?
[01:22:29.900 --> 01:22:35.220]  You can mess with the code you can do it all but it's all there and the framework is there and it's the difference between
[01:22:36.220 --> 01:22:42.300]  Starting like if you're building an app starting with a framework like cocoa or cocoa code
[01:22:42.300 --> 01:22:45.860]  or cocoa touch or just starting with like a
[01:22:46.500 --> 01:22:52.100]  Blank text file and building an app from scratch. That's the difference. That's what Squarespace is like
[01:22:52.100 --> 01:22:56.020]  It's like a framework for websites and you can use it to build
[01:22:56.540 --> 01:23:02.700]  Almost any sort of website you can imagine you want to build a store. They've got it. They've got templates for that
[01:23:02.700 --> 01:23:04.700]  they've got all of the
[01:23:05.740 --> 01:23:11.620]  Commerce stuff built right into the platform. You don't have to pay extra to get an e-commerce enabled account
[01:23:11.620 --> 01:23:14.500]  That's just built in to a regular Squarespace account
[01:23:14.500 --> 01:23:17.660]  So if you have stuff to sell you can sell it you want to set up a podcast?
[01:23:17.740 --> 01:23:24.600]  They've got that you can set up a podcast right there in Squarespace. They've even got podcast specific stuff like the audio player
[01:23:26.780 --> 01:23:33.300]  Analytics and stuff like that their analytics for any kind of website are absolutely drop-dead gorgeous
[01:23:33.300 --> 01:23:38.980]  I just linked to a guy this week who after I linked to his blog which would have I didn't even know it happened to
[01:23:38.980 --> 01:23:40.700]  Be hosted at Squarespace
[01:23:40.700 --> 01:23:42.700]  and his you know, he was
[01:23:42.740 --> 01:23:44.380]  It's this sound self-serving
[01:23:44.380 --> 01:23:49.780]  But he went from serving lane a couple hundred hits a month to serving a couple thousand in a day because I linked to him
[01:23:49.780 --> 01:23:53.460]  From daring fireball. Well a his Squarespace blog held up perfectly
[01:23:53.460 --> 01:23:56.800]  He didn't even notice it took like a friend to text him that I had mentioned it
[01:23:57.440 --> 01:23:59.820]  Your site doesn't go down if you suddenly get a lot of traffic
[01:23:59.980 --> 01:24:07.540]  But then he posted these screenshots of his analytics and they're gorgeous just drop-dead gorgeous analytics
[01:24:07.540 --> 01:24:09.540]  Just looks like something from Edward tough
[01:24:09.540 --> 01:24:11.540]  Really really great
[01:24:12.220 --> 01:24:17.960]  Everything you need all there in one platform if you don't have any kind of coding
[01:24:18.480 --> 01:24:20.140]  Skill, that's okay
[01:24:20.140 --> 01:24:28.020]  You can go from signing up to having your completely launched and perfect looking website all in one if you do have coding skill
[01:24:28.020 --> 01:24:31.940]  There's all sorts of places where you can get in there and customize it to your heart's content
[01:24:33.140 --> 01:24:37.020]  Here's the thing. I just don't even get this doesn't make any sense to me all of this
[01:24:37.020 --> 01:24:43.220]  It starts at just eight bucks a month. And if you sign up for a year in advance you get a free domain name. I
[01:24:43.900 --> 01:24:48.860]  Don't know. I don't know how they provide all this. They've got great support 24 hours a day seven days a week
[01:24:49.380 --> 01:24:52.300]  365 days a year you just get on there and you can open up a chat
[01:24:53.140 --> 01:24:55.140]  with
[01:24:55.140 --> 01:25:01.180]  Customer support agents the way they do it to get it 24-7 is they have some some in New York some over in Ireland and some
[01:25:01.500 --> 01:25:05.580]  Out in Portland, I think so that it spreads it all around the world different time zones
[01:25:05.580 --> 01:25:11.460]  If you have a website that you want to make if you have a website you already have that you're not happy with the way
[01:25:11.460 --> 01:25:15.860]  It's hosted. Give them a try you get a free trial. No credit card required
[01:25:15.860 --> 01:25:21.180]  Just go to squarespace.com and when you sign up to pay here's the new code Gruber
[01:25:21.180 --> 01:25:28.860]  My last name GRUBER and you get 10% off use that code my last name Gruber and you'll save 10% off
[01:25:28.860 --> 01:25:30.860]  So go there sign up for your free account
[01:25:30.860 --> 01:25:36.060]  Free trial and go try Squarespace. I can't recommend them. I highly enough
[01:25:37.580 --> 01:25:41.580]  So iOS 9 we were talking about proactive that doesn't sound like a name that they would use
[01:25:42.300 --> 01:25:47.340]  No, especially with the acne cream with the same name. Maybe it's just an internal thing
[01:25:48.060 --> 01:25:53.820]  Yeah, you never know though. It's very hard to predict the product marketing stuff and it tends to be the tightest kept secret
[01:25:55.100 --> 01:25:57.100]  Partly because they can just change it at the last minute
[01:25:57.100 --> 01:26:04.460]  Right, right. All right. What else is on the agenda for iOS 9 iOS 9 some minor things are on the edges
[01:26:05.420 --> 01:26:06.700]  so
[01:26:06.700 --> 01:26:11.660]  They've been testing a new feature for iMessage where you can set read receipts per contact
[01:26:11.660 --> 01:26:13.980]  So if I want messages sent to you
[01:26:14.940 --> 01:26:18.860]  For you to know that if you if they've been read, that's fine
[01:26:18.860 --> 01:26:21.900]  But if I don't want my parents to see that I've read their messages
[01:26:21.900 --> 01:26:26.220]  Can turn that off right? I that makes a lot of sense
[01:26:26.540 --> 01:26:29.420]  That also makes me think that they're using it a lot internally
[01:26:30.060 --> 01:26:35.340]  Yeah, perhaps also. Oh, this is maybe to your point about internal usage. They're also testing
[01:26:36.060 --> 01:26:38.380]  Read receipts for group chats so you can see
[01:26:39.180 --> 01:26:41.980]  Who in a chat has read each message?
[01:26:43.020 --> 01:26:47.180]  Yeah, that makes sense too. Same thing. Yeah. Yeah same probably the same infrastructure
[01:26:47.180 --> 01:26:51.660]  Deal there. Yeah, um force touch support
[01:26:52.380 --> 01:26:57.340]  Obviously, they won't announce that on monday, but right means that the 6s will have force touch
[01:26:58.620 --> 01:27:01.180]  I'm sure there'll be a developer api for that as well
[01:27:03.420 --> 01:27:07.740]  Yeah, but I wonder and I wonder if that's the sort of thing that will i'm guessing no
[01:27:08.300 --> 01:27:11.100]  But it's you know, obviously they're not going to talk about it
[01:27:11.100 --> 01:27:16.540]  But will it be in the beta builds? Will it will be people be able to look at it? My guess is no
[01:27:16.540 --> 01:27:20.060]  I think they're i'm sure someone will find it hidden right deep down
[01:27:21.980 --> 01:27:27.500]  Trying to think oh on the the homekit app so a new app at least we were planning this
[01:27:27.820 --> 01:27:32.300]  Now that they have homekit accessories in the market, which just happened to come out this past week
[01:27:32.540 --> 01:27:34.540]  You'll be able to set up install
[01:27:34.540 --> 01:27:43.820]  Organize through virtual rooms your homekit setups. So that's an interesting app. They have home and then homekit health health kit and
[01:27:45.020 --> 01:27:46.540]  All that
[01:27:46.540 --> 01:27:50.300]  I wonder how much homekit stuff they're going to have to announce next week
[01:27:51.260 --> 01:27:56.540]  Because that's another one where where the word that i'd understood was that it was
[01:27:57.100 --> 01:27:59.900]  Sort of like a
[01:27:59.900 --> 01:28:06.620]  That the apple tv would be the hub for that sort of thing, you know, right right. Yeah, I did hear that as well
[01:28:07.500 --> 01:28:09.500]  and if they don't have
[01:28:10.380 --> 01:28:15.900]  The apple tv. I don't know what that means for homekit even though they're already out, you know publicly with that
[01:28:15.900 --> 01:28:17.900]  The first homekit products are you know?
[01:28:18.540 --> 01:28:20.540]  Shipping imminently and stuff like that
[01:28:21.100 --> 01:28:23.660]  It'll be interesting to see uh also on the ipad
[01:28:23.660 --> 01:28:29.420]  It sounds like split screen apps are finally ready
[01:28:30.540 --> 01:28:37.260]  Yeah, I saw that and i'm curious that that's not like a thing that they held for new hardware and that they might announce it next week
[01:28:37.500 --> 01:28:44.140]  Oh, they they may be holding it for new hardware. Ah, but but you but you're saying it's definitely in that it's in the os
[01:28:44.380 --> 01:28:49.740]  Right, so they might not announce it. It might not be in the betas, but they're working on it with the os
[01:28:49.740 --> 01:28:56.140]  another thing is uh multi-users on the ipad
[01:28:57.020 --> 01:28:59.020]  That for sure isn't ready
[01:28:59.340 --> 01:29:03.020]  For 9.0, but they are working on that too. So maybe do you know?
[01:29:03.660 --> 01:29:11.660]  Is it true multi-user support like like if if let's say somebody and their spouse both share an ipad and that they could
[01:29:12.540 --> 01:29:14.540]  You know person a can
[01:29:15.180 --> 01:29:17.180]  Use it and then when they put it down
[01:29:17.180 --> 01:29:24.140]  Their spouse can pick it up and switch and then it'll like, you know, do something and then it's completely the other person's ipad
[01:29:24.140 --> 01:29:27.500]  Or is it just like a guest account? No, no, no
[01:29:27.500 --> 01:29:34.780]  No, it's true multi-user on a mac with different home directories and all that. Of course the user can't see home directories in ios
[01:29:35.420 --> 01:29:41.100]  But in terms of the infrastructure and the fundamentals of it, it's just like on the mac from what I understand
[01:29:41.980 --> 01:29:43.740]  Hmm
[01:29:43.740 --> 01:29:48.540]  All right. Let's see if I still got a little game left. All right, what about this? Have you heard anything?
[01:29:49.260 --> 01:29:51.260]  about in ios
[01:29:51.660 --> 01:29:54.060]  Getting a dedicated iCloud drive app
[01:29:55.100 --> 01:29:59.020]  Um, yes that there was a dedicated iCloud drive app
[01:29:59.660 --> 01:30:06.140]  But i'm not sure if that's internal only or if it's going to be released, uh, the last person I talked to
[01:30:06.940 --> 01:30:10.620]  Said they didn't see an iCloud drive app on the ios 9 build they were using
[01:30:10.620 --> 01:30:14.300]  So maybe it's an app store download you activated in settings
[01:30:14.300 --> 01:30:19.820]  But for sure they have one in usage internally and able to be used and ready to go
[01:30:20.060 --> 01:30:25.020]  In fact, i'm surprised they didn't have an iCloud drive app released with iCloud drive last year
[01:30:25.420 --> 01:30:28.380]  But I wouldn't be surprised by an iCloud drive app at all
[01:30:29.020 --> 01:30:33.180]  Right, which should probably be the closest that ios is ever going to get to having a finder
[01:30:33.900 --> 01:30:38.540]  Yeah, I think so right instead of a of access to the file system
[01:30:38.540 --> 01:30:43.420]  It's you get the access to this abstract file system, which isn't really the file system
[01:30:44.060 --> 01:30:46.060]  It's you know, like dropbox
[01:30:46.620 --> 01:30:48.620]  right sort of or like in um
[01:30:49.900 --> 01:30:55.020]  In the finder if you were just limited to the iCloud drive source list item, right?
[01:30:55.180 --> 01:30:58.380]  It'll be interesting to see I mean even thinking about myself right now
[01:30:58.380 --> 01:31:05.020]  I use dropbox if they had a full-fledged ios app. I absolutely consider switching to iCloud drive
[01:31:05.020 --> 01:31:08.220]  Yeah, because why why duplicate it right now?
[01:31:08.220 --> 01:31:13.260]  Let me tell you why I think that you could be right on this iCloud drive app if you were implying that you had heard this
[01:31:14.860 --> 01:31:19.260]  They are kind of going to be pushing iCloud drive more as a service
[01:31:19.980 --> 01:31:27.740]  As in right now the notes app in the calendar app and all that it uses an IMAP infrastructure through iCloud
[01:31:28.220 --> 01:31:30.220]  For syncing what your device is
[01:31:30.220 --> 01:31:38.220]  But what they're wanting to do is remove that and turn notes and calendared reminders into what they're calling iCloud drive apps
[01:31:38.700 --> 01:31:42.860]  So when you launch notes on ios 9 or os 10 10.11
[01:31:43.420 --> 01:31:49.100]  It'll say would you like to transition your data over to iCloud drive now iCloud drive?
[01:31:49.100 --> 01:31:54.300]  Obviously, they have more control over it. It's more secure it goes back to the privacy and security stuff we talked about
[01:31:54.780 --> 01:31:57.260]  And also it's probably quicker than IMAP syncing
[01:31:57.260 --> 01:32:01.740]  So I think it's got to be if it's not quicker than IMAP then they've got a real problem, right?
[01:32:01.740 --> 01:32:08.140]  IMAP is not a quick syncing right protocol, right? So there could be a big iCloud drive portion then there
[01:32:08.940 --> 01:32:16.060]  Yeah, and it's interesting and it's this the it's always hard to migrate right because I can see why and I can see why
[01:32:16.380 --> 01:32:19.900]  That when you launch it they ask because it's a big deal, right?
[01:32:19.900 --> 01:32:24.700]  but the thing is now and notes is the one near and dear to my heart as you know, the
[01:32:24.700 --> 01:32:28.140]  Part of the developers behind Vesper. I know just how bad
[01:32:28.860 --> 01:32:32.620]  IMAP is as a note syncing protocol and and they've done
[01:32:33.180 --> 01:32:39.180]  what I think is the noble thing and allowed you for years to pick any of your IMAP accounts to be
[01:32:40.060 --> 01:32:43.180]  One of you know, it's an option with every IMAP account you set up
[01:32:43.180 --> 01:32:47.740]  Do you want notes to use this too? Right and then they set up a secret mailbox called notes?
[01:32:47.900 --> 01:32:53.180]  And it's actually a mailbox on your mail account that apple mail is a secret mailbox
[01:32:53.180 --> 01:32:56.060]  That apple mail is smart enough not to show you
[01:32:56.780 --> 01:33:00.220]  But the notes are all IMAP messages and it's behind the scenes
[01:33:00.220 --> 01:33:06.620]  It's really a mess because IMAP was never meant to do that messages aren't meant to be read-write some email systems get screwed up
[01:33:07.100 --> 01:33:08.220]  and
[01:33:08.220 --> 01:33:13.020]  As anybody who's ever had anything to do with email development or apis knows?
[01:33:14.060 --> 01:33:21.260]  IMAP server a and IMAP server b never speak quite the same dialect of IMAP. So notes is trying to you know
[01:33:21.260 --> 01:33:28.220]  Like a like a babble fish type thing and treat all these IMAP things as equivalent back ends when they're not
[01:33:28.700 --> 01:33:32.140]  Right, so I guess this serves to fix all that and it could be a bigger deal than
[01:33:32.940 --> 01:33:38.780]  Yeah, it should it if you switch I would switch immediately. Yeah, you know and it should make
[01:33:39.420 --> 01:33:45.100]  Anything that you switch that way. What else is it besides notes? Would it I heard notes is the big one that
[01:33:45.740 --> 01:33:48.540]  That that's the one that they really focused on
[01:33:48.540 --> 01:33:50.860]  but assuming that
[01:33:51.580 --> 01:33:54.140]  You know, they're wanting to get this across the board as a service
[01:33:54.860 --> 01:33:56.140]  notes
[01:33:56.140 --> 01:33:59.580]  Reminders contacts and calendars would all be part of it
[01:34:00.460 --> 01:34:03.180]  What does reminders use now is reminders. I'm not based
[01:34:04.060 --> 01:34:09.580]  I think it is i'm not 100 sure. I don't know or or even if it's not it's probably not using iCloud drive
[01:34:09.580 --> 01:34:10.940]  Which is right
[01:34:10.940 --> 01:34:16.220]  It's it's like a directional shift to positioning iCloud drive as the service for storage
[01:34:16.220 --> 01:34:21.180]  All this data now maybe some more developer enhancements to that as well. Yeah, the other
[01:34:22.300 --> 01:34:29.580]  benefit to this is it's always good when apple is dog food in its own iCloud stuff because
[01:34:30.380 --> 01:34:32.620]  It's it means that any kind of
[01:34:33.340 --> 01:34:38.460]  Bugs or even if it's not a bug even if it's like well when you do this, it's actually kind of slow
[01:34:39.020 --> 01:34:43.340]  Makes it way more likely that it's going to get a higher priority to be addressed because
[01:34:43.340 --> 01:34:48.940]  Quite frankly apple cares more about their own stuff and then they do everybody else's right another big thing
[01:34:48.940 --> 01:34:53.020]  I don't know if this interests most consumers, but big changes to swift
[01:34:53.980 --> 01:34:59.980]  So, you know right now this is not very well known everyone hears the term swift swift is apple's new thing
[01:35:00.460 --> 01:35:07.260]  But as you probably know ios is not written in swift the apples native apps. They're not they're not swift apps
[01:35:07.260 --> 01:35:11.420]  They're still on the objective c because swift is still in its early stages
[01:35:11.420 --> 01:35:17.740]  But I believe that on monday, they're going to announce that swift is moving into stage two that it's
[01:35:18.620 --> 01:35:21.820]  meeting a new level of stability where apple is actually going to
[01:35:22.460 --> 01:35:25.820]  Pre-install the swift programming libraries into ios 9
[01:35:26.380 --> 01:35:32.160]  So developers could write swift apps and not have to include the swift libraries in each of their binaries
[01:35:32.860 --> 01:35:38.860]  Which means that the os will make app downloads for new ios 9 apps about 10 megabytes
[01:35:38.860 --> 01:35:43.420]  Smaller or eight megabytes smaller on average and let's say you have 10
[01:35:44.060 --> 01:35:51.900]  You know swift apps on your ios 8 phone. That's about 80 megabytes back, which is great for people on smaller storage sizes
[01:35:52.620 --> 01:35:56.400]  And then next year with ios 10 and 10.12
[01:35:57.100 --> 01:36:01.820]  They're hoping to hit like 3.0 and ship their own apps written in swift
[01:36:01.820 --> 01:36:07.820]  So that's going to be a major transition next year if they stick to that pace if they're not going to be able to
[01:36:07.820 --> 01:36:11.020]  That pace if they hit that that's actually you know
[01:36:11.420 --> 01:36:17.900]  For anybody who's not a programmer and doesn't understand just how deep apple's roots with objective c goes if they started shipping
[01:36:18.620 --> 01:36:21.820]  apple first party apps written in swift in
[01:36:22.680 --> 01:36:24.680]  2016 that's
[01:36:24.700 --> 01:36:26.380]  startlingly fast
[01:36:26.380 --> 01:36:28.380]  Really really really would be
[01:36:29.420 --> 01:36:34.460]  I think even last year everybody was blown away by the announcement of swift in the kino even then though. I think most people's
[01:36:34.460 --> 01:36:39.580]  Best case scenario was three or four years out. Yeah, I guess the plan could change but yeah
[01:36:39.580 --> 01:36:44.700]  No, i've heard the same thing about the libraries being built into the os
[01:36:45.020 --> 01:36:51.420]  And I think that there's two explanations for that and I could be I think i'm right on both parts
[01:36:51.660 --> 01:36:58.700]  But I think one of them is that swift was developed in secret and very few people knew about it before the keynote last year
[01:36:59.420 --> 01:37:02.300]  inside apple and so therefore there was no way that the
[01:37:02.300 --> 01:37:08.620]  That no matter how stable it was when it debuted there's no way that it was going to make it into ios 8 right?
[01:37:09.260 --> 01:37:12.540]  And number two, it wasn't that stable. It's a fast-moving target
[01:37:12.540 --> 01:37:18.380]  They said so, you know it that they did not over promise, you know, they said hey some of this stuff is going to change
[01:37:18.380 --> 01:37:24.460]  You know, we're showing it to you now because we want it to change based on the feedback we get from you guys outside
[01:37:25.740 --> 01:37:27.740]  And so because it was changing so fast
[01:37:27.740 --> 01:37:32.380]  I don't know that it was even feasible to include the the libraries in the os because
[01:37:32.940 --> 01:37:37.900]  If your app was compiled against an earlier version of swift
[01:37:38.540 --> 01:37:45.020]  From around september and mine was compiled with a newer version of swift like the version 1.2
[01:37:45.660 --> 01:37:49.180]  I think which came out in february. We need different libraries anyway
[01:37:50.220 --> 01:37:54.620]  And so yeah, you're exactly right though that every single swift app written to date includes the swift
[01:37:54.620 --> 01:37:58.220]  Libraries, you know in the app bundle, right?
[01:37:59.100 --> 01:38:05.260]  It definitely adds up over wireless. I mean when you're on cellular, right? Yeah, that's another big thing there. So
[01:38:07.260 --> 01:38:12.380]  Um part of the same quality stability overall low-level improvements type of thing as well
