[00:00.000 --> 00:01.840]  Are you recording?
[48:08.340 --> 48:09.900]  Yep.
[48:09.900 --> 48:11.300]  And who do you pay?
[48:11.300 --> 48:17.260]  We were one of those, like in the late 90s, like one of those cities that was vying for
[48:17.260 --> 48:21.700]  the title of America's most wired city or something like that.
[48:21.700 --> 48:24.420]  But how does it work?
[48:24.420 --> 48:26.140]  They were doing that.
[48:26.140 --> 48:34.900]  So the city runs the network and they have contracted with a few small local private
[48:34.900 --> 48:38.060]  companies to provide the service and come out and do the installation and stuff like
[48:38.060 --> 48:39.060]  that.
[48:39.060 --> 48:40.060]  And there's a good service?
[48:40.060 --> 48:41.060]  Yeah.
[48:41.060 --> 48:42.060]  It's fine.
[48:42.060 --> 48:43.060]  Yeah.
[48:43.060 --> 48:47.060]  I mean, it's certainly no worse than Comcast.
[48:47.060 --> 48:48.060]  That should be their slogan.
[48:48.060 --> 48:50.700]  I feel good that I'm not sending Comcast my money.
[48:50.700 --> 48:52.500]  That should be their slogan.
[48:52.500 --> 48:54.580]  Yeah, right.
[48:54.580 --> 48:56.580]  Certainly no worse than Comcast.
[48:56.580 --> 49:00.900]  I mean, I experience ups and downs.
[49:00.900 --> 49:07.460]  I don't have any idea if I experience more ups and downs than your average Comcast user.
[49:07.460 --> 49:10.820]  And I don't get a lot of them.
[49:10.820 --> 49:14.460]  And I pay for like the cheapest level.
[49:14.460 --> 49:16.420]  So shocker.
[49:16.420 --> 49:19.660]  Yeah.
[49:19.660 --> 49:22.100]  You need that before you ask.
[49:22.100 --> 49:28.180]  Let me take a break here and thank our second sponsor, our good friends at Backblaze.
[49:28.180 --> 49:35.540]  Backblaze is unlimited, unthrottled, uncomplicated backup for your Mac.
[49:35.540 --> 49:44.900]  Multiple anywhere you pay $5 a month per Mac and you get unlimited backup.
[49:44.900 --> 49:47.900]  It sounds too good to be true, but it's not.
[49:47.900 --> 49:48.900]  Makes a lot of sense.
[49:48.900 --> 49:54.460]  Does it take a long time for your initial backload upload of your entire four gigabytes
[49:54.460 --> 49:58.820]  or whatever you have or four terabytes, however big it is to upload?
[49:58.820 --> 50:03.460]  Yeah, it does actually, but you can just do it during your free trial period.
[50:03.460 --> 50:11.620]  And then once your whole Mac is backed up over the cloud to Backblaze's servers, everything
[50:11.620 --> 50:14.620]  else is just incremental after that.
[50:14.620 --> 50:21.540]  And they have iOS apps for your iPhone, for iPad that you can access your data from anywhere
[50:21.540 --> 50:22.740]  at any time.
[50:22.740 --> 50:26.620]  So if you're on your iPhone and there's a file that you know is on your Mac and your
[50:26.620 --> 50:31.040]  whole Mac is backed up to Backblaze, you can just go into Backblaze on your iPhone, go
[50:31.040 --> 50:36.820]  to where that file is on your hard drive, and download it right there to your iPhone
[50:36.820 --> 50:40.100]  from anywhere, anytime.
[50:40.100 --> 50:41.900]  And it's all for just $5 a month.
[50:41.900 --> 50:42.900]  No upgrades.
[50:42.900 --> 50:47.380]  There's no, oh, for, well, there is a $5, $5 a month tier, but it's not really the one
[50:47.380 --> 50:48.380]  you want.
[50:48.380 --> 50:51.180]  You're going to want to upgrade to a bigger thing because you only get so much.
[50:51.180 --> 50:52.180]  No, it's nothing like that.
[50:52.180 --> 50:58.220]  It's just $5 a month for everybody per Mac.
[50:58.220 --> 50:59.220]  Great service.
[50:59.220 --> 51:03.380]  I always say it makes you sleep better knowing you have an offsite backup.
[51:03.380 --> 51:04.380]  I've been using it.
[51:04.380 --> 51:06.820]  I forget how long I've been using it.
[51:06.820 --> 51:09.980]  And it just runs in the background on your Mac.
[51:09.980 --> 51:11.260]  Nothing to worry about.
[51:11.260 --> 51:12.260]  Just a great service.
[51:12.260 --> 51:17.480]  I think it's probably a great thing not just for all of you out here listening to the show,
[51:17.480 --> 51:22.400]  but it's also a great thing that you could set up for your parents or anybody like less
[51:22.400 --> 51:28.800]  technical family and friends members who have Macs so that you know that everything they
[51:28.800 --> 51:34.140]  have is getting backed up off site just in case something bad happens in the house or
[51:34.140 --> 51:38.340]  wherever their Mac is great, great, great service.
[51:38.340 --> 51:42.000]  If you haven't tried it, I just can't imagine what you're waiting for.
[51:42.000 --> 51:43.000]  And I don't even know.
[51:43.000 --> 51:46.420]  I can't imagine why anybody would try it and then not sign up for it because it's just
[51:46.420 --> 51:48.360]  so great.
[51:48.360 --> 51:51.140]  Where do you go to sign up and find out more easy?
[51:51.140 --> 51:59.960]  You go to their website, www dot back blaze dot com slash daring fireball back blaze dot
[51:59.960 --> 52:03.140]  com slash daring fireball.
[52:03.140 --> 52:05.140]  My thanks to them.
[52:05.140 --> 52:08.460]  I'm going there right now.
[52:08.460 --> 52:11.620]  Yes, just you.
[52:11.620 --> 52:14.220]  But you know, I currently don't have offsite backup.
[52:14.220 --> 52:15.660]  Well, then you're not.
[52:15.660 --> 52:16.660]  Is dumb.
[52:16.660 --> 52:17.660]  Yeah, really dumb.
[52:17.660 --> 52:21.620]  You should start it, start it right now while we're recording the show over Skype, because
[52:21.620 --> 52:28.540]  I'm sure that won't cause anything whatsoever until we're done.
[52:28.540 --> 52:35.380]  My thanks to backblaze for ruining this recording of the talk.
[52:35.380 --> 52:36.780]  I already ruined it.
[52:36.780 --> 52:40.340]  I tell you, it does put perspective on it where if you want, you know, Apple, the company
[52:40.340 --> 52:47.380]  with 160 billion in the bank is buying a company for $3 billion and it was mega, mega news
[52:47.380 --> 52:50.220]  for, you know, a week and a half.
[52:50.220 --> 52:54.660]  If assuming it comes to fruition this week, I'm sure it'll pop, pop back up to the top
[52:54.660 --> 53:05.180]  of the tech news was at one 15th the size of AT&T's purchase of DirecTV.
[53:05.180 --> 53:10.940]  Do you think that they would wait until WWDC I thought of that, you know, they're close
[53:10.940 --> 53:15.380]  enough now because what we're as we record today, we're two weeks to the day we're recording
[53:15.380 --> 53:16.740]  on Monday the 19th.
[53:16.740 --> 53:18.060]  So we're two weeks to the day.
[53:18.060 --> 53:24.700]  So I don't know why not, you know, it, you know, would, and especially if they have some
[53:24.700 --> 53:30.140]  sort of consumer based story to tell about why they're doing it and what they have planned
[53:30.140 --> 53:31.140]  together.
[53:31.140 --> 53:32.140]  Why not?
[53:32.140 --> 53:37.580]  You know, why not just get all the paperwork ready to go?
[53:37.580 --> 53:40.100]  Don't put the signatures down until Sunday, June 1st.
[53:40.100 --> 53:45.780]  And then, you know, right, Monday, June 2nd, have something, something on the keynote.
[53:45.780 --> 53:47.580]  It's close enough that I wouldn't be surprised.
[53:47.580 --> 53:51.300]  Then you've got instant news, right?
[53:51.300 --> 53:56.340]  Not that anybody's probably not going to write about it anyway, but well, and they get their
[53:56.340 --> 54:02.940]  own, they get to, they get to spin it their way, tell their story, tell their side of
[54:02.940 --> 54:11.980]  the story and explain themselves first in a, in a, in a forum that's more, you know,
[54:11.980 --> 54:15.940]  a richer medium than just a press release.
[54:15.940 --> 54:16.940]  Right.
[54:16.940 --> 54:17.940]  A press release.
[54:17.940 --> 54:18.940]  You just can write what you want to say.
[54:18.940 --> 54:25.300]  Whereas during a WWDC keynote, you can tell it and you can, you know, use, use your voice
[54:25.300 --> 54:30.300]  and, you know, slides and bring Dr. Dre up on stage if you want.
[54:30.300 --> 54:31.300]  I don't know.
[54:31.300 --> 54:32.300]  I don't know.
[54:32.300 --> 54:36.620]  But it, you know, it's, you know, it's the way that, you know, there's something about
[54:36.620 --> 54:42.260]  watching people talk that's different and better than just reading about it, right?
[54:42.260 --> 54:45.940]  The iPhone announcement in 2007 would not have been the iPhone announcement that if
[54:45.940 --> 54:50.140]  it had just come out in a press release with a picture, it's the fact that it was on, on
[54:50.140 --> 54:52.260]  stage with the crowd, right?
[54:52.260 --> 54:53.820]  Stan Sigmund hadn't been there.
[54:53.820 --> 54:54.820]  Exactly.
[54:54.820 --> 54:57.100]  What would we have laughed at?
[54:57.100 --> 55:04.860]  I wonder if anybody else remembers him as fondly as we did.
[55:04.860 --> 55:13.040]  That was, it was, it was, it was just so because that keynote was so amazing.
[55:13.040 --> 55:16.780]  And then we had to sit there for five minutes and listen to Stan Sigmund.
[55:16.780 --> 55:19.900]  Do you know who Stan Sigmund was?
[55:19.900 --> 55:22.660]  Stan Sigmund, is it Sigmund or Stigman?
[55:22.660 --> 55:23.660]  Sigmund.
[55:23.660 --> 55:32.020]  Stan Sigmund was to the iPhone keynote, what Christian Laitner was to the dream team.
[55:32.020 --> 55:36.540]  Do you remember the dream team, the original, the first time the U.S. sent professional
[55:36.540 --> 55:38.940]  basketball players to the Olympics?
[55:38.940 --> 55:43.740]  And it was Michael Jordan, Larry Bird, Magic Johnson, Charles Bart.
[55:43.740 --> 55:48.460]  I mean, it's just, you know, those three, the three at the top are arguably the, I think,
[55:48.460 --> 55:51.740]  well, you know, LeBron's probably up there now, maybe, I don't know.
[55:51.740 --> 55:55.700]  But you know, at the time they were all three were considered arguably the single greatest
[55:55.700 --> 55:57.820]  player of all time.
[55:57.820 --> 56:03.420]  All on the same team, all, you know, almost all, not just all stars, but hall of famers
[56:03.420 --> 56:04.420]  down the line.
[56:04.420 --> 56:09.660]  And then they had, they had room for one college player and it could have been either Shaq
[56:09.660 --> 56:14.580]  who wound up having a fantastic pro career, you know, hall of fame career or Christian
[56:14.580 --> 56:20.060]  Laitner from Duke and they picked Christian Laitner.
[56:20.060 --> 56:25.040]  That was Stan Sigmund.
[56:25.040 --> 56:30.980]  Greatest announcement in the history of consumer electronics.
[56:30.980 --> 56:39.340]  And then at one point, and then it just like stalls in the midst of outright near pandemonium
[56:39.340 --> 56:49.500]  and delirium in the, in the, in the hall, all of a sudden there was narcolepsy.
[56:49.500 --> 56:52.380]  People had to pass the smelling salts out.
[56:52.380 --> 57:01.620]  Yeah, when, when Jerry Yang is up there, Jerry Yang is up there and he's not like the least
[57:01.620 --> 57:03.620]  charismatic speaker.
[57:03.620 --> 57:04.620]  Right.
[57:04.620 --> 57:07.820]  Bring back Jerry Yang.
[57:07.820 --> 57:08.820]  Yeah, right.
[57:08.820 --> 57:11.820]  Put Jerry Yang back up.
[57:11.820 --> 57:15.700]  Breaking news.
[57:15.700 --> 57:30.620]  It has come to our attention that like a dummy, I forgot to mention something that I wanted
[57:30.620 --> 57:36.220]  to during the recording with John Moltz and that is this.
[57:36.220 --> 57:42.080]  For those of you who will be in San Francisco during the week of WWDC, I'm going to have
[57:42.080 --> 57:45.740]  another live audience episode of the talk show.
[57:45.740 --> 57:51.180]  I've done this last two years as we, the third year, it's been a lot of fun and the show
[57:51.180 --> 57:54.140]  should be even better than before.
[57:54.140 --> 57:55.980]  It's going to be on Tuesday.
[57:55.980 --> 58:00.700]  That's June 3rd, 6 to 9 PM at mezzanine in San Francisco.
[58:00.700 --> 58:02.260]  We've already got the venue.
[58:02.260 --> 58:04.880]  I don't have any ticket information yet.
[58:04.880 --> 58:08.400]  Don't have the URL, but I will.
[58:08.400 --> 58:13.560]  So what I'm going to do is rather than announce it on Daring Fireball, I will announce it
[58:13.560 --> 58:18.580]  here on the show in the next episode, not this episode, not the one you're listening
[58:18.580 --> 58:20.140]  to right now.
[58:20.140 --> 58:27.240]  Next episode, episode 82, I will have instructions URL or something like that where you go to
[58:27.240 --> 58:29.180]  buy your tickets for the show.
[58:29.180 --> 58:34.180]  So the first crack at tickets, we should have about 500 available.
[58:34.180 --> 58:38.280]  The first crack will go to the first people who listen to the show.
[58:38.280 --> 58:41.860]  So if you really want to get a ticket, you want to be sure to get one, pay attention.
[58:41.860 --> 58:45.860]  Keep your eyes peeled for the next episode of the talk show, episode 82.
[58:45.860 --> 58:46.860]  Give it a listen.
[58:46.860 --> 58:50.140]  And in that show, you'll find out how to get a ticket.
[58:50.140 --> 58:51.140]  Thanks.
[58:51.140 --> 58:53.540]  Hope to see you there.
[58:53.540 --> 59:01.500]  And now back to the talk show.
[59:01.500 --> 59:07.540]  So WWDC, two weeks, two weeks.
[59:07.540 --> 59:08.720]  Maybe you want to hold off on.
[59:08.720 --> 59:10.940]  You want to hold off on speculation for your next show?
[59:10.940 --> 59:11.940]  Maybe.
[59:11.940 --> 59:15.140]  But, you know, you could ask me questions.
[59:15.140 --> 59:19.480]  I don't know.
[59:19.480 --> 59:20.480]  Big iPhone?
[59:20.480 --> 59:21.480]  I don't think so.
[59:21.480 --> 59:22.480]  Oh, wait, wait, wait.
[59:22.480 --> 59:23.720]  I got a better I got a better question.
[59:23.720 --> 59:26.860]  Split screen iPad.
[59:26.860 --> 59:29.940]  Yeah.
[59:29.940 --> 59:31.660]  I believe it.
[59:31.660 --> 59:35.420]  I mean, I don't think it's ridiculous.
[59:35.420 --> 59:41.620]  And you know, I trust Mark Gurman, who reported it enough that I don't think that he you know,
[59:41.620 --> 59:47.340]  I think his source probably, you know, is reasonably either in Apple or reasonably could
[59:47.340 --> 59:52.100]  be expected to to know of such a thing.
[59:52.100 --> 59:53.180]  But I don't know.
[59:53.180 --> 59:56.820]  The devil would be in the details in terms of how it's actually how you actually get
[59:56.820 --> 59:59.820]  into and out of this such a mode.
[59:59.820 --> 01:00:05.020]  Yeah, because I think that's been I mean, Microsoft always tells them you can use two
[01:00:05.020 --> 01:00:07.060]  apps at the same time.
[01:00:07.060 --> 01:00:09.300]  But you wouldn't really want to write.
[01:00:09.300 --> 01:00:17.260]  My guess is if it's true, it's something that you manage within the multitasking switcher.
[01:00:17.260 --> 01:00:22.100]  In other words, the thing you get when you double tap the home button, and that you zoom
[01:00:22.100 --> 01:00:27.460]  out a little bit to like a card type view now in iOS seven you do.
[01:00:27.460 --> 01:00:32.260]  And it might even help explain why they switched to that card type view where you actually
[01:00:32.260 --> 01:00:37.580]  see what looks like windows of your apps as you pan left and right.
[01:00:37.580 --> 01:00:41.700]  And that maybe you could take two of them and push them together.
[01:00:41.700 --> 01:00:42.700]  Yeah.
[01:00:42.700 --> 01:00:46.640]  And then, you know, but I don't know, though, it all seems, you know, you start thinking
[01:00:46.640 --> 01:00:51.760]  about this, if you actually try to think it through, and, you know, get it detailed down
[01:00:51.760 --> 01:00:56.860]  enough that you could actually hand over to someone and say, Okay, build this, it, you
[01:00:56.860 --> 01:01:02.260]  start seeing how complicated it is, because it almost certainly would require apps to
[01:01:02.260 --> 01:01:07.340]  support it explicitly, because the size of the app on screen would be it would be a new
[01:01:07.340 --> 01:01:09.380]  size, it would be a new window size, right?
[01:01:09.380 --> 01:01:13.980]  Because it's, you know, it's something that would work with.
[01:01:13.980 --> 01:01:18.180]  If they announced it at WWDC, by definition, it would be part of an announcement of iOS
[01:01:18.180 --> 01:01:20.500]  eight, not a part of new iPad hardware.
[01:01:20.500 --> 01:01:23.980]  So it would have to work on existing iPads.
[01:01:23.980 --> 01:01:27.940]  And so you could just take the half the size of the iPad screen.
[01:01:27.940 --> 01:01:33.100]  And that's the size that the app would be running in, you know, 10 20 2048.
[01:01:33.100 --> 01:01:42.700]  So it'd be like 1024 by I don't know, whatever it would be, I can't do that math, man, right.
[01:01:42.700 --> 01:01:45.540]  But it would still be new dimensions and a new size.
[01:01:45.540 --> 01:01:48.860]  Yeah.
[01:01:48.860 --> 01:01:53.080]  And it would.
[01:01:53.080 --> 01:01:56.300]  So you couldn't just push together any two apps, you'd only be able to push together
[01:01:56.300 --> 01:01:57.700]  two apps that support it.
[01:01:57.700 --> 01:02:01.580]  Well, then how do you show the user which ones you can push together?
[01:02:01.580 --> 01:02:02.580]  I don't know.
[01:02:02.580 --> 01:02:03.580]  Yeah.
[01:02:03.580 --> 01:02:09.940]  And he also he is the other thing was he sort of insinuated that it might have implications
[01:02:09.940 --> 01:02:10.940]  for?
[01:02:10.940 --> 01:02:17.340]  Well, he I guess he said this, but for data sharing between different apps.
[01:02:17.340 --> 01:02:21.820]  On that point, I think he was I think he was guessing, guessing Yeah, I don't think so.
[01:02:21.820 --> 01:02:25.340]  Because I don't think Yeah, it didn't seem like that was, you know, what came from his
[01:02:25.340 --> 01:02:26.340]  source.
[01:02:26.340 --> 01:02:27.740]  It seemed like that was his reference.
[01:02:27.740 --> 01:02:36.460]  Yeah, I don't think it would require the XPC as he said, Yeah, certainly possible.
[01:02:36.460 --> 01:02:39.820]  But again, I think it would have to be you know, you have to figure out have to see the
[01:02:39.820 --> 01:02:42.720]  details of exactly how you get into and out of the mode.
[01:02:42.720 --> 01:02:46.640]  And I think it has to be the sort of thing where I think the most important thing would
[01:02:46.640 --> 01:02:50.820]  be that you can't get into it accidentally, because I think that then all of a sudden
[01:02:50.820 --> 01:02:55.700]  you're in it's starting to turn into something like the Mac where people are easily confused.
[01:02:55.700 --> 01:03:00.060]  And that's so big a part of right, why as a pro, it would be good, it would be great
[01:03:00.060 --> 01:03:03.980]  as a pro feature or something that you turn on explicitly, right?
[01:03:03.980 --> 01:03:10.140]  And you just can't underestimate don't you don't want somebody like my mother or father.
[01:03:10.140 --> 01:03:13.380]  Right and I that everything's always and I don't play that card lately.
[01:03:13.380 --> 01:03:14.380]  You know that?
[01:03:14.380 --> 01:03:22.780]  I know that some people get all incensed about the plane that the non techie tech savvy grandparents
[01:03:22.780 --> 01:03:23.780]  card, but it's true.
[01:03:23.780 --> 01:03:25.260]  No, it's absolutely true.
[01:03:25.260 --> 01:03:29.200]  I mean, my my parents both have iPads now.
[01:03:29.200 --> 01:03:35.560]  And I've, in years, I've gotten like one call about like an iPad problem.
[01:03:35.560 --> 01:03:42.360]  And it was really came down to like a billing thing with the cellular wireless, which is
[01:03:42.360 --> 01:03:47.440]  you know, sort of a complicated aspect of it, but in terms of just using it, it's never
[01:03:47.440 --> 01:03:48.440]  been a problem.
[01:03:48.440 --> 01:03:49.440]  Whereas I think,
[01:03:49.440 --> 01:03:53.940]  I think you and I talked about you didn't you get a call once when somebody was in full
[01:03:53.940 --> 01:03:54.940]  screen mode?
[01:03:54.940 --> 01:03:55.940]  Yeah.
[01:03:55.940 --> 01:03:56.940]  Oh, yeah, absolutely.
[01:03:56.940 --> 01:03:57.940]  I couldn't get out.
[01:03:57.940 --> 01:03:58.940]  Right.
[01:03:58.940 --> 01:03:59.940]  Exactly.
[01:03:59.940 --> 01:04:00.940]  No, that was exactly true.
[01:04:00.940 --> 01:04:09.860]  Where my my parents had got a new iMac and upgraded jumped a couple versions of Mac OS
[01:04:09.860 --> 01:04:13.620]  and never had full screen mode before got into it.
[01:04:13.620 --> 01:04:16.600]  And it was a confusing phone call because I was in there like, how do you quit?
[01:04:16.600 --> 01:04:17.860]  We want to quit mail.
[01:04:17.860 --> 01:04:19.380]  And I was like, just go up to the menu.
[01:04:19.380 --> 01:04:21.300]  And they're like, there is no menu.
[01:04:21.300 --> 01:04:22.300]  There's always a menu.
[01:04:22.300 --> 01:04:25.740]  And then I thought, wait, not when you're in full screen.
[01:04:25.740 --> 01:04:28.820]  Although I guess if you run the mouse up there, there is a menu but because they couldn't
[01:04:28.820 --> 01:04:31.540]  see it in the first place, they never even thought to run the mouse up to see if there
[01:04:31.540 --> 01:04:32.540]  was a menu.
[01:04:32.540 --> 01:04:33.540]  Right?
[01:04:33.540 --> 01:04:37.480]  Yeah, full screen can getting into full screen mode accidentally required a phone call.
[01:04:37.480 --> 01:04:42.660]  And I feel like whatever the iPad does for two apps on the screen at the same time cannot
[01:04:42.660 --> 01:04:45.060]  be something that's going to get me a phone call.
[01:04:45.060 --> 01:04:50.740]  Yeah, if I get a phone call about it, then I then Apple is somebody didn't do their job.
[01:04:50.740 --> 01:04:56.540]  And to me, that's more important than number two, which would be making it convenient enough
[01:04:56.540 --> 01:05:01.500]  that power users who know what they're doing and who really want to do it can get into
[01:05:01.500 --> 01:05:07.260]  it easy enough that it's that they end up using.
[01:05:07.260 --> 01:05:08.260]  I don't know.
[01:05:08.260 --> 01:05:13.900]  It's like there's a lot of people out there who I don't want to call them iPad doubters,
[01:05:13.900 --> 01:05:19.500]  but you know, people who just generally down on the iPad as like a long term replacement
[01:05:19.500 --> 01:05:30.560]  for the Mac and productivity device who want more power user type features in iOS, especially
[01:05:30.560 --> 01:05:34.180]  on the iPad, maybe compared to the phone, just because it's big enough that you could
[01:05:34.180 --> 01:05:38.140]  do stuff like nobody is saying they want two apps on the same time on the iPhone, or at
[01:05:38.140 --> 01:05:41.360]  least nobody's saying.
[01:05:41.360 --> 01:05:46.380]  I just feel like those sort of people gloss just gloss over how confusing computers in
[01:05:46.380 --> 01:05:50.540]  general are to most people.
[01:05:50.540 --> 01:05:54.740]  It's just if you understand it, and you never really find yourself confused or lost on Mac
[01:05:54.740 --> 01:05:57.260]  OS X, you just can't.
[01:05:57.260 --> 01:05:58.260]  It's just so hard.
[01:05:58.260 --> 01:06:01.740]  It's the same people who think that widgets on Android are the killer feature.
[01:06:01.740 --> 01:06:02.740]  Yeah, yeah.
[01:06:02.740 --> 01:06:07.100]  I saw something this week on ZDNet about how much more quoted I didn't link to it because
[01:06:07.100 --> 01:06:10.380]  it was, you know, it's like one of those things like you don't want to draw attention to something.
[01:06:10.380 --> 01:06:11.380]  Yeah.
[01:06:11.380 --> 01:06:14.060]  And it wasn't the guy was I think the guy meant it honestly, but he said, Look at how
[01:06:14.060 --> 01:06:23.580]  do you know how huge the usability advantage of Android is versus iOS usability, he called
[01:06:23.580 --> 01:06:24.580]  it.
[01:06:24.580 --> 01:06:27.420]  And it was his his home screen on both devices.
[01:06:27.420 --> 01:06:29.460]  And he carries both like for work.
[01:06:29.460 --> 01:06:34.980]  For some reason, he has an Android, a galaxy and a iPhone, and his iPhone home screen,
[01:06:34.980 --> 01:06:37.460]  of course, is just a bunch of apps.
[01:06:37.460 --> 01:06:41.860]  And his Android home screen is a couple of apps and a bunch of widgets, including a bunch
[01:06:41.860 --> 01:06:47.380]  of like home automation ones, so that he can like, you know, open his garage door and change
[01:06:47.380 --> 01:06:51.140]  his thermostat and do all this stuff without ever entering an app, but do it right from
[01:06:51.140 --> 01:06:56.560]  his Android home screen, which is cool in a geeky way.
[01:06:56.560 --> 01:06:58.740]  It's kind of, you know, and obviously it makes him happy.
[01:06:58.740 --> 01:07:00.500]  And maybe you know, he's too fiddly.
[01:07:00.500 --> 01:07:05.860]  Yeah, he's a perfect example of a sort of person who truly is better served by Android
[01:07:05.860 --> 01:07:09.920]  than I was that guy, that guy, he tries too hard.
[01:07:09.920 --> 01:07:14.900]  But calling it a user, I know that I know who that is calling it a years, years long
[01:07:14.900 --> 01:07:20.640]  usability advantages, I think stretching it, I just feel like people vastly underestimate
[01:07:20.640 --> 01:07:25.680]  how big of a usability advantage for different people iOS has in terms of never making people
[01:07:25.680 --> 01:07:27.180]  feel like they're lost.
[01:07:27.180 --> 01:07:28.180]  Right?
[01:07:28.180 --> 01:07:29.180]  Because what happens?
[01:07:29.180 --> 01:07:35.980]  You're in two screen mode and you hit the home button, what happens to both apps go
[01:07:35.980 --> 01:07:38.660]  away and replace with your home screen?
[01:07:38.660 --> 01:07:41.660]  Because that's what I would expect to happen, because whenever I hit the home button, I'm
[01:07:41.660 --> 01:07:48.460]  taken back to the safety of I'm back to ground zero, just a home screen full of apps.
[01:07:48.460 --> 01:07:50.460]  You know, there's a perfect solution for that.
[01:07:50.460 --> 01:07:51.460]  What's that?
[01:07:51.460 --> 01:07:57.820]  Two home buttons.
[01:07:57.820 --> 01:08:00.180]  Hold that thought.
[01:08:00.180 --> 01:08:01.180]  Hold that thought.
[01:08:01.180 --> 01:08:07.780]  And let me thank our third and final sponsor of the day, our good friends at Squarespace.
[01:08:07.780 --> 01:08:13.820]  You guys know Squarespace Squarespace is the all in one hosting system for creating hosting
[01:08:13.820 --> 01:08:15.340]  a website.
[01:08:15.340 --> 01:08:21.340]  What kind of website, almost any kind of website, you can host a blog, you could host a podcast,
[01:08:21.340 --> 01:08:25.220]  they have all sorts of podcast specific features.
[01:08:25.220 --> 01:08:32.220]  You could host a store, and they have all sorts of great commerce related features.
[01:08:32.220 --> 01:08:36.500]  They have an award winning, literally award winning, they've won numerous awards for their
[01:08:36.500 --> 01:08:39.580]  customer support.
[01:08:39.580 --> 01:08:47.460]  And that's something like 40 5060 support staff in New York, available 24 hours a day,
[01:08:47.460 --> 01:08:54.340]  seven days a week to help you with any sort of question about getting started about configuring
[01:08:54.340 --> 01:08:55.820]  about getting in there.
[01:08:55.820 --> 01:08:59.900]  You can get in, they have all sorts of templates to choose from, really, really professionally
[01:08:59.900 --> 01:09:00.900]  designed.
[01:09:00.900 --> 01:09:04.500]  But they give you code level control, if you want to geek out, if you want to tweak stuff,
[01:09:04.500 --> 01:09:09.500]  if you know what you're doing in terms of CSS, or injecting your own JavaScript or something
[01:09:09.500 --> 01:09:11.940]  like that in your web pages, you can do all that stuff too.
[01:09:11.940 --> 01:09:16.140]  And they have customer support ready to help you out.
[01:09:16.140 --> 01:09:22.540]  Domain name registration, everything you need to host a website Squarespace offers it.
[01:09:22.540 --> 01:09:26.780]  Just fantastic, almost an unbelievable amount of stuff to choose from.
[01:09:26.780 --> 01:09:29.700]  And you only have to use what it is that you want.
[01:09:29.700 --> 01:09:34.980]  Where do you go to find out more and do it in such a way that you came from this show?
[01:09:34.980 --> 01:09:37.220]  Easy.
[01:09:37.220 --> 01:09:44.780]  Their code this month, the URL at least is squarespace.com slash Gruber, I think, because
[01:09:44.780 --> 01:09:48.220]  we were already in contact with them with this switch, so they didn't want to go talk
[01:09:48.220 --> 01:09:51.620]  show or during Fireball, it's just slash Gruber.
[01:09:51.620 --> 01:09:54.340]  Squarespace.com slash Gruber.
[01:09:54.340 --> 01:10:00.520]  They also have an offer code when you sign up, and it's just two letters, JG.
[01:10:00.520 --> 01:10:06.460]  So when you sign up, if you use that offer code JG, you get 10% off for the lifetime
[01:10:06.460 --> 01:10:10.180]  of your account, you can save tons of money, tons of money, if you're ready to sign up
[01:10:10.180 --> 01:10:14.660]  for Squarespace, if you use that code JG, my thanks to Squarespace for sponsoring the
[01:10:14.660 --> 01:10:19.820]  show and their continued support.
[01:10:19.820 --> 01:10:22.140]  Home button.
[01:10:22.140 --> 01:10:23.140]  Two of them.
[01:10:23.140 --> 01:10:24.140]  Well, here's what I wanted to talk about.
[01:10:24.140 --> 01:10:25.580]  I'm talking about one home button.
[01:10:25.580 --> 01:10:28.860]  So I don't know if you noticed this, I tweeted a couple of times about it, but a couple of
[01:10:28.860 --> 01:10:40.020]  weeks ago, I bought a Firefox phone, the ZTE Open C Firefox OS phone.
[01:10:40.020 --> 01:10:45.260]  I forget what site I was reading, but it said that they started to sell it in the US on
[01:10:45.260 --> 01:10:46.260]  eBay.
[01:10:46.260 --> 01:10:47.260]  It's like an eBay store.
[01:10:47.260 --> 01:10:51.180]  You just go there, $99 smartphone unlocked.
[01:10:51.180 --> 01:10:54.860]  Oh, of course it's unlocked.
[01:10:54.860 --> 01:10:56.020]  Of course it's unlocked.
[01:10:56.020 --> 01:11:03.900]  So you just go there and you spend 99 bucks, and a couple of days later, you get your phone.
[01:11:03.900 --> 01:11:05.580]  I guess I should write about it on Daring Fireball.
[01:11:05.580 --> 01:11:08.100]  A lot of times I get these things and never end up writing about it.
[01:11:08.100 --> 01:11:14.260]  But long story short, it's not a good phone.
[01:11:14.260 --> 01:11:25.420]  B, one thing I know that is interesting is that they copied conceptually.
[01:11:25.420 --> 01:11:28.740]  And I don't mean this in a pejorative way at all.
[01:11:28.740 --> 01:11:35.760]  I just mean in terms of, look, they're following years behind the footsteps of the modern smartphone,
[01:11:35.760 --> 01:11:42.840]  which is a touchscreen device that more or less runs something that's like a real computer
[01:11:42.840 --> 01:11:48.740]  operating system, the post-iPhone smartphone.
[01:11:48.740 --> 01:11:53.700]  And one thing that they got right is there's only one button on the front, a home button.
[01:11:53.700 --> 01:11:55.380]  There's a button to turn it on.
[01:11:55.380 --> 01:12:00.180]  It's got the exact same buttons as the iPhone, except it doesn't have a mute switch.
