[00:00.000 --> 00:03.480]  Is this the show are we on the show is this the show could be
[01:29:48.800 --> 01:29:49.960]  this was
[01:29:49.960 --> 01:29:57.600]  My friend a year ago where me and you and Brent were somehow like in a back channel, you know with Q branch
[01:29:58.160 --> 01:30:00.160]  Soft, you know Q branch our software thing
[01:30:00.960 --> 01:30:04.000]  You guys had watched it and recommended it and well
[01:30:04.000 --> 01:30:09.520]  well Brent was he'd watched the first episode and recommended that we watch it but said it was terrible hmm and
[01:30:10.280 --> 01:30:14.640]  I so I watched it and I I strongly disagreed with his assessment
[01:30:14.640 --> 01:30:17.520]  I put it on my I put it on my list of things to watch and then
[01:30:17.520 --> 01:30:24.320]  It was like I hit one of those like June 30th. It was there on July 1st. It wasn't it was gone from Netflix and
[01:30:25.560 --> 01:30:27.060]  I thought
[01:30:27.060 --> 01:30:32.080]  And and I remember especially I don't think it was on iTunes either or yes, it should be on ice
[01:30:32.080 --> 01:30:36.300]  Well, maybe I don't know but at the time a year in fifteen dollars, but it was like well
[01:30:36.300 --> 01:30:43.640]  It's anyway, it's right now as we speak in in December 2014. It's back on Netflix and oddly enough. I actually
[01:30:43.640 --> 01:30:50.040]  Started watching it like four nights ago. Oh, how far in are you three out of four? What do you think?
[01:30:52.400 --> 01:30:59.240]  I'm making that gesture with my hand. That's like, you know, like so so like I'm glad it exists and I am enjoying it
[01:30:59.240 --> 01:31:03.480]  But it feels like a BBC TV show not like a movie
[01:31:04.360 --> 01:31:10.600]  The that attitude of I like it. I'm enjoying it. I'm glad it exists, but it's not great is kind of I mean the
[01:31:10.600 --> 01:31:17.480]  The worst Bond movies are still enjoyable and there's there's 24 of them. Yeah, so there's gonna be good ones
[01:31:17.480 --> 01:31:21.360]  There's gonna be bad ones. But even the worst of the Bond movies, even if you really hate
[01:31:22.000 --> 01:31:26.720]  Never Say Never Again, you really hate Majesty Secret Service. You still enjoy watching it
[01:31:26.720 --> 01:31:30.720]  It's still a Bond movie and what the show felt like to me was not so much
[01:31:31.240 --> 01:31:34.440]  Like a biopic about Fleming as it was kind of
[01:31:34.440 --> 01:31:39.960]  Kind of a semi sort of maybe a little bit sanctioned prequel
[01:31:41.640 --> 01:31:46.040]  Maybe I read it as this and it's it right there in the title the man who would be bonds
[01:31:46.040 --> 01:31:50.560]  It feels to me like this is the template for Bond by the way. I think you just grew bird
[01:31:51.280 --> 01:31:55.200]  The word biop I see I've always said it biopic
[01:31:55.920 --> 01:31:58.400]  like biography picture biopic
[01:31:59.200 --> 01:32:02.760]  Biopic would be like if it was like a disease or something like that
[01:32:02.760 --> 01:32:07.960]  It would be like if it was like a disease over the eye or something. Oh, let's let's find this out biopic
[01:32:07.960 --> 01:32:12.720]  I like that. You call it a group break, right? I'm gonna all right. I'm gonna let's look this up
[01:32:13.760 --> 01:32:15.120]  Now I want to know
[01:32:15.120 --> 01:32:20.860]  Well, my problem with looking up emphasis and maybe this is why I mispronounce so many words is I don't know how to read
[01:32:20.860 --> 01:32:22.840]  the diacritical marks
[01:32:22.840 --> 01:32:26.520]  In there's like three or four different systems of diacritical marks to show you how to like
[01:32:26.880 --> 01:32:30.400]  Pronounce a word and where the emphasis goes. I don't I don't understand any of them
[01:32:30.400 --> 01:32:33.480]  Once I call those Schwoz and everything starts showing up. I don't know
[01:32:34.000 --> 01:32:40.260]  Well, this is what the internet is for. Yeah, it'll uh, you can just listen a little a little audio clip. Here's one
[01:32:42.280 --> 01:32:48.520]  Biopic oh, you're right. Yeah, it's a yeah, it's a bio and a picture. So it's a biopic
[01:32:48.920 --> 01:32:53.520]  Bye-bye biopic to me sounds like somebody taking photographs in the bathroom. I
[01:32:53.520 --> 01:33:00.240]  I I just think it's industry lingo, you know, yeah. Yeah, they're like a chick flick. I've learned something today
[01:33:00.760 --> 01:33:02.680]  biopic
[01:33:02.680 --> 01:33:05.560]  And see if you had said biopic I would have called you out on that. Yeah
[01:33:06.560 --> 01:33:09.200]  I've had I and I I you know
[01:33:09.840 --> 01:33:13.320]  Whenever I hear somebody pronounce a word differently than I have pronounced it my entire life
[01:33:13.320 --> 01:33:17.040]  I generally assume I generally assume that I've just learned something
[01:33:17.040 --> 01:33:22.840]  Because it's usually a safe bet like it's you know, it's like with the Sith thing like you get you
[01:33:23.160 --> 01:33:28.840]  Mispronounce enough words that you've read visually but never pronounced enough and you're almost always wrong
[01:33:28.840 --> 01:33:31.920]  You start to assume that if I pronounce it differently, I'm wrong
[01:33:33.800 --> 01:33:39.700]  Wait, did you miss found Seth? No, but in the way that like you pointed out that maybe if you know
[01:33:39.700 --> 01:33:47.860]  I think down information if you killed you if you're a Sith apprentice and you just killed your master to become the master
[01:33:47.860 --> 01:33:51.500]  maybe you don't take an apprentice if you realize that you're completing like a
[01:33:52.340 --> 01:33:58.420]  Thousand generation chain of that happening, you know over and over again every time and if you're the new guy 30 years later
[01:33:58.620 --> 01:34:00.980]  You've got no idea how to pronounce medical organs
[01:34:00.980 --> 01:34:10.480]  Did you see the thing where the the poster that they unveil and there's a cool little movie they have to where it just shows
[01:34:10.480 --> 01:34:13.780]  The the name specter being like animated it
[01:34:13.780 --> 01:34:16.840]  Oh, yeah, it almost like the in the the the bullet in the glass
[01:34:16.840 --> 01:34:20.920]  It almost reminds me of the did you see you saw it at Singleton too?
[01:34:20.920 --> 01:34:24.880]  But you see Dave Addy's post on the opening credits of alien
[01:34:24.880 --> 01:34:31.060]  Yeah, it's sort of that same sort of effect where the word specter is revealed piece by piece in the letters
[01:34:31.600 --> 01:34:33.140]  and it's just a
[01:34:33.140 --> 01:34:39.420]  Like the type nerd in me and the bond nerd in me for being it was like maybe 20 seconds of video that shows you
[01:34:39.420 --> 01:34:42.020]  Nothing, it felt really good watching it
[01:34:42.020 --> 01:34:46.300]  Yeah, and the way that the you see and you mentioned did you just mention is that the logo looks like the old specter?
[01:34:46.300 --> 01:34:50.540]  Look the broken glass underneath. Yeah. Yeah, there's the the bullet like a bolt through the glass
[01:34:50.540 --> 01:34:54.980]  But the way the glass shatters, there's the like the tentacles like the Hydra style
[01:34:55.180 --> 01:34:58.480]  all right, but the specter logo middle of the the Hydra meaning that
[01:34:59.060 --> 01:35:04.300]  The Hydra logo from the Marvel Universe and the specter logo shares some visuals limited similarities, right?
[01:35:04.300 --> 01:35:07.680]  But the idea behind the logo is that it's like a multi tentacle
[01:35:08.180 --> 01:35:14.660]  Organization that you know, you can't you know kill one tentacle and still got other seven ones around the world or whatever
[01:35:15.780 --> 01:35:17.920]  You cut off one head and two Marshall appear
[01:35:17.920 --> 01:35:19.840]  So
[01:35:19.840 --> 01:35:23.120]  I the most interesting casting to me is Christoph Waltz. Oh
[01:35:23.840 --> 01:35:31.760]  Yeah, I mean there's there's there's lots of good all the news and casting is good news. But but Christoph Waltz that's that's like
[01:35:32.360 --> 01:35:34.360]  Now we got a fucking movie. Yeah
[01:35:34.960 --> 01:35:39.920]  It's funny. It's and it seems like they've really in and there's what's his name the guy from Guardians of the Galaxy
[01:35:39.920 --> 01:35:46.360]  Galaxy is David Bautista. Yeah is mr. Hinks, which is so obviously it's so
[01:35:46.960 --> 01:35:54.320]  Old-school bond henchmen. I mean, you know, look at the guy. Yeah. Yeah gotta be like a criminal henchman with the name. Mr
[01:35:54.320 --> 01:35:57.940]  Hanks sounds perfect, but it's totally taking it back like
[01:35:58.900 --> 01:36:04.100]  You know to to Connery and more era bond, you know
[01:36:04.100 --> 01:36:10.100]  It's got a little bit of camp in it. Yes, that's that's kind of what made bond fun. Then. Will it work now?
[01:36:10.980 --> 01:36:17.140]  Yeah, I don't know. So the the speculation has been there have been rumors and again, I've tried to avoid them
[01:36:17.140 --> 01:36:23.680]  But you know, I think everybody now that they're calling the movie specter. It's not spoiling anything that there were rumors that Christoph Waltz
[01:36:24.580 --> 01:36:30.580]  Was gonna play Blofeld for a while. You're saying you didn't see those rumors the the name that what was the name?
[01:36:30.580 --> 01:36:35.540]  They gave him for him in their announcement. They've saying he's playing a character named Oberhauser
[01:36:36.140 --> 01:36:36.940]  Yeah
[01:36:36.940 --> 01:36:41.780]  which if you google that name I googled it because I wanted to find out what it meant in German because I thought maybe that
[01:36:41.780 --> 01:36:46.040]  Was a hint at something because I kind of had it just has the scent of this is a codename for a character
[01:36:46.040 --> 01:36:47.220]  This isn't the characters real name
[01:36:47.220 --> 01:36:48.700]  And if you google that name
[01:36:48.700 --> 01:36:53.140]  It's the name of this like Nazi general who has tried for war crimes after World War two
[01:36:53.420 --> 01:36:57.500]  Like this very famous Nazi and to me that's that's so over-the-top
[01:36:57.500 --> 01:37:05.160]  That it can't possibly be a real character's name that has to be masking something. Yeah, I think he's Blofeld
[01:37:06.860 --> 01:37:08.860]  If you're gonna bring back
[01:37:08.960 --> 01:37:10.780]  Specter you might as well bring back Blofeld
[01:37:10.780 --> 01:37:13.260]  I mean you could make the argument that you bring back
[01:37:13.260 --> 01:37:18.500]  Specter and then Blofeld is revealed in the next movie in the same way that you got hints of Specter or maybe even
[01:37:19.780 --> 01:37:23.460]  Glimpses of Blofeld in even like as far back as doctor
[01:37:23.460 --> 01:37:31.180]  No, you don't really get to see Blofeld until two or three movies in four movies before yeah four movies in or five five
[01:37:32.020 --> 01:37:34.580]  It was so first movie was dr
[01:37:34.580 --> 01:37:39.940]  No, and Blofeld was a guy and a cat you saw him from behind a chair and he had the cat
[01:37:39.940 --> 01:37:46.380]  But you never saw his face and then in Russia with love you saw him in that secret meeting room where he was behind
[01:37:47.420 --> 01:37:52.420]  Phoenician blinds, so you still couldn't see his face and he'd like that was where he unveiled
[01:37:52.420 --> 01:37:56.620]  that was where they unveiled the the gag that dr. Evil used where he had like a
[01:37:58.500 --> 01:38:04.160]  Boardroom table and he could hit right right to kill a guy and then he wasn't in Goldfinger
[01:38:04.160 --> 01:38:09.140]  he wasn't in Goldfinger Goldfinger and Goldfinger had nothing to do with the specter and then in
[01:38:10.980 --> 01:38:12.980]  The next movie was
[01:38:13.480 --> 01:38:17.620]  thunderball, which was a specter plot to steal a
[01:38:17.620 --> 01:38:21.460]  A nuclear missile
[01:38:22.380 --> 01:38:26.860]  But Blofeld, I don't even know if he was even pictured in it. It was Largo
[01:38:27.300 --> 01:38:33.660]  The the guy with the eyepatch was the the head operative of the mission. Oh, I think maybe we saw him
[01:38:33.660 --> 01:38:37.180]  I don't think we even see him in thunderball. I don't even think he makes a
[01:38:37.780 --> 01:38:40.940]  Blow feldian like you don't get to see his face, but he's there
[01:38:40.940 --> 01:38:42.060]  I think that
[01:38:42.060 --> 01:38:48.620]  Largo is the only guy and then the next movie is you only live twice and that's where we finally see him and he's played
[01:38:48.620 --> 01:38:50.620]  by David Pleasence
[01:38:52.260 --> 01:38:57.780]  The the the and it's the one everybody remembers it's the guy the bald guy with the scarred face
[01:38:58.260 --> 01:39:03.260]  Right in the in the crazy suit, right the like the you know, the dr. Evil the dr. Evil look
[01:39:03.260 --> 01:39:09.300]  I want to say we saw him and we saw a glimpse of him in two movies prior mostly because
[01:39:09.300 --> 01:39:14.500]  The the three times that we see him the first two hints and then the time when we actually see him
[01:39:14.500 --> 01:39:21.460]  There's like three different looks the clearly three different actors. It's always different actors. Yeah, and in fact, it was part of the way that they
[01:39:22.340 --> 01:39:26.540]  they just had this loosey-goosey continuity that would never fly anymore and
[01:39:27.740 --> 01:39:30.300]  The guy who played him and dr. No
[01:39:32.140 --> 01:39:36.040]  Even though he was just seen in a chair from behind stroking his pussy
[01:39:36.040 --> 01:39:43.000]  Was the actor who played I think his name was
[01:39:46.640 --> 01:39:52.120]  Strang wise or maybe it was the guy who played the guy who'd played him in in from Russia with love was
[01:39:54.080 --> 01:40:00.560]  The guy who played strang wise the strang ways the guy who was yeah the guy who in in Jamaica in
[01:40:01.800 --> 01:40:03.440]  dr. No
[01:40:03.440 --> 01:40:04.600]  was
[01:40:04.600 --> 01:40:06.600]  the the like
[01:40:07.240 --> 01:40:09.800]  mineralogist who was crooked and
[01:40:10.200 --> 01:40:15.620]  Tried to sneak in and bond killed him while he was playing member bond post playing solitaire to wait for him to come back
[01:40:15.620 --> 01:40:17.980]  And he's right, right, right. That's that guy played
[01:40:18.800 --> 01:40:22.640]  played below felt in the next movie and then the craziest one is
[01:40:25.240 --> 01:40:27.240]  In
[01:40:27.240 --> 01:40:33.240]  You only live twice the one where he goes to Japan and before before it gets all crazy racist and he dawned the
[01:40:33.240 --> 01:40:38.080]  The yellow face makeup. He meets the mi6 operative in
[01:40:38.800 --> 01:40:40.800]  Tokyo and the guy is
[01:40:42.040 --> 01:40:47.200]  Wearing a kimono and it's like he's been stationed there. He's a British guy who's been stationed there for 30 years and
[01:40:48.840 --> 01:40:50.840]  It's a nice little touch he makes he
[01:40:51.760 --> 01:40:57.060]  He makes him a martini and he says stirred not shaken right which is of course wrong
[01:40:57.060 --> 01:41:03.860]  But bond being a polite British person says perfect. Thank you, you know, it just accepts it and doesn't bother correct him
[01:41:03.860 --> 01:41:11.140]  And then he gets stabbed by like a ninja assassin and bond has to go chasing him that actor the guy who played a
[01:41:12.740 --> 01:41:15.860]  British intelligence agent in you only live
[01:41:16.460 --> 01:41:21.620]  Twice two movies later is the guy who played blow felled in diamonds or forever
[01:41:22.300 --> 01:41:24.300]  Really? Yeah, and he doesn't even look different
[01:41:24.300 --> 01:41:28.100]  It wasn't even like they gave him different makeup or a different hairstyle. Oh, that's right. That's right
[01:41:28.260 --> 01:41:32.820]  So a lot of this blurs together for me because I watch all of the bond movies over the course of a month
[01:41:33.380 --> 01:41:35.380]  It's it's 20
[01:41:35.900 --> 01:41:42.440]  You would never ever have like a like a recasting. It's almost like, you know, like they were they were casting out of like
[01:41:43.980 --> 01:41:50.140]  You know like Saturday night live like where you have like a an ensemble cast and you just have to keep reusing actors
[01:41:50.140 --> 01:41:54.540]  Oh, well, you say that but look at Doctor Who Peter Capaldi the new doctor
[01:41:54.540 --> 01:41:59.060]  He was in an episode as you know, just some side character like five years ago
[01:41:59.620 --> 01:42:05.860]  The the previous companion was always in that same episode. In fact as a totally different character
[01:42:07.740 --> 01:42:11.060]  Maybe there's just not that many actors in the UK. Yeah, I don't know
[01:42:11.060 --> 01:42:14.100]  There's ran out of people at least it was like an old boys club back then
[01:42:14.100 --> 01:42:20.220]  I don't know people and I think cuz nobody got to rewatch movies on home video that everybody just assumed that they would slide I
[01:42:20.380 --> 01:42:24.340]  Do it was like I think ahead. It was like nobody's ever gonna watch this again
[01:42:24.860 --> 01:42:31.140]  Right, I don't know but it's crazy that just two movies apart the same guy played a British agent and blow felt
[01:42:34.700 --> 01:42:36.900]  Yeah, I'm guessing see his face too
[01:42:37.500 --> 01:42:41.820]  I'm guessing that Christoph Waltz is blow felt because you're gonna bring back specter
[01:42:41.820 --> 01:42:46.900]  You got to bring back blow felt and if you're gonna have blow felt who I mean, he's as good an actor as anybody
[01:42:46.900 --> 01:42:50.820]  I mean, he's that's just it. That's just it like in these procedural TV shows
[01:42:51.820 --> 01:42:57.420]  They try to do the thing where they they want to keep you guessing as to who the who the guy was who committed the
[01:42:57.420 --> 01:43:02.540]  Murder, but like you can just say look, but this is the character actor that I've seen in other TV shows clearly
[01:43:02.540 --> 01:43:03.740]  That's the murderer
[01:43:03.740 --> 01:43:10.340]  Right you look at this a big-budget big production like this. You don't bring in Christoph Waltz to just play some dude
[01:43:10.340 --> 01:43:16.540]  Yeah, that's it. I look at it this way if blow felt is in the movie. It's got to be Christoph Waltz and
[01:43:18.340 --> 01:43:23.820]  If blow felts not in the movie then when because how many more does Daniel Craig have in him
[01:43:23.820 --> 01:43:26.980]  right if you're gonna bring back specter for at least for the end of
[01:43:28.660 --> 01:43:33.220]  Daniel Craig's run in the role you got to have blow felt in there as soon as possible
[01:43:33.220 --> 01:43:36.140]  I figure you bring them you got to bring them in and you know
[01:43:36.140 --> 01:43:43.220]  You know finally have you know like in the old Bond movies finally have a movie where Bond doesn't get that guy at the end
[01:43:43.220 --> 01:43:46.100]  You know blow fell to skin. I'm expecting blow felt
[01:43:46.100 --> 01:43:50.260]  Whatever his crazy scheme is in this movie will escape at the end and will be back in the next movie
[01:43:51.500 --> 01:43:55.840]  You know, whatever hard lessons Bond has learned in Casino Royale quantum of solace and Skyfall
[01:43:56.420 --> 01:44:02.100]  He hasn't had a huge failure yet other than the just the failure of Vesper land
[01:44:02.100 --> 01:44:08.120]  All right, that's pretty bad. Well, yeah, but it wasn't it wasn't a failure. That was a personal failure
[01:44:08.300 --> 01:44:12.060]  That wasn't a failure on the level of the guy who was trying to destroy the world
[01:44:12.260 --> 01:44:14.340]  Kinda got away with blowing up a chunk of it
[01:44:15.980 --> 01:44:23.540]  Speaking of specter and evil worldwide multi-tenacled organizations. I want to tell you about our good friends at back blaze
[01:44:23.540 --> 01:44:33.120]  Back blaze is unlimited un-throttled online backup for your Mac
[01:44:33.520 --> 01:44:38.840]  They have over 100 petabytes of data backed up for all their customers
[01:44:40.640 --> 01:44:43.720]  Sounds dirty it really that's I forget what did
[01:44:44.520 --> 01:44:47.560]  They even told us how big a petabyte is and I forget how big it is
[01:44:47.840 --> 01:44:51.880]  They sent us an email and it was just it was it's so much more data than you have
[01:44:51.880 --> 01:44:55.160]  It's crazy and it's they've done great stuff
[01:44:55.160 --> 01:45:00.240]  You know if you google it and they talk about like how to set up a data center that's reliable and cheap and how much
[01:45:00.240 --> 01:45:02.240]  You know cost to get drives and stuff like that
[01:45:03.880 --> 01:45:10.920]  It's crazy how much data they have backed up but how they figured out a way to do it cheap because there's a factor with
[01:45:10.920 --> 01:45:13.000]  Back blaze and I've talked about for a while
[01:45:13.000 --> 01:45:16.880]  But it is a factor where there's almost a too-good-to-be-true feel to it
[01:45:16.880 --> 01:45:24.480]  because it's just five bucks a month per computer for unlimited un-throttled backup and
[01:45:24.760 --> 01:45:27.880]  It's again. It's one of these things. It's such a great product
[01:45:27.880 --> 01:45:31.040]  But it I remember I heard about it for a long time before I signed up
[01:45:31.040 --> 01:45:33.520]  I because I remembered there's other shows that they sponsored
[01:45:35.200 --> 01:45:39.560]  And one of the reasons I didn't sign up is it had like this too-good-to-be-true feel to it
[01:45:40.400 --> 01:45:43.720]  Because you think things like well it probably only backs up your startup drive
[01:45:43.720 --> 01:45:51.240]  No, it backs up like if you have like an external hard drive that is three terabytes or four terabytes or bigger where you keep
[01:45:51.240 --> 01:45:54.540]  All of your you know digital media and stuff like that
[01:45:55.160 --> 01:46:00.160]  They back that up to right it might take a while depending on your upstream, but once it's backed up
[01:46:00.160 --> 01:46:06.640]  It's up there, and you you know then after that everything is you know incremental when you add new files and stuff like that
[01:46:07.720 --> 01:46:13.440]  But it's not just your startup drive. It's you know it's everything and five bucks per Mac
[01:46:13.440 --> 01:46:19.640]  per month for unlimited un-throttled backup, and it just works, and it just runs you install their software and
[01:46:20.680 --> 01:46:23.800]  Forget about it you see like like fate
[01:46:23.800 --> 01:46:24.880]  Well, you don't use Facebook
[01:46:24.880 --> 01:46:30.480]  But sometimes you see posts from people or emails from people or YouTube comments from people where every other word is misspelled
[01:46:30.480 --> 01:46:34.520]  And there's no punctuation or capitalization and you wonder in 2014
[01:46:34.920 --> 01:46:39.040]  When every device you could possibly touch that that has a battery has spell check
[01:46:39.040 --> 01:46:45.660]  How it's possible that these people like there's no excuse for misspelling words unless autocorrect gets you in the same way
[01:46:45.880 --> 01:46:50.240]  You've got no excuse if your hard drive crashes, and you don't have a backup at five dollars a month
[01:46:50.240 --> 01:46:53.680]  There's just it's it's unfathomable to me that you wouldn't have had something in place
[01:46:54.040 --> 01:46:55.720]  It's I here's what I'm gonna
[01:46:55.720 --> 01:47:00.540]  Do this holiday season is I because I have a bunch of family members with Macs who don't have backblaze yet
[01:47:00.540 --> 01:47:04.700]  And I'm not gonna give it as a gift because you know here's here's backup. Here's your present
[01:47:04.700 --> 01:47:11.000]  I'll get him a real gift but talking stuffer, but when I'm at their house. I am going to in addition to a gift
[01:47:11.000 --> 01:47:12.560]  I'm gonna give them backblaze
[01:47:12.560 --> 01:47:16.360]  And I'm gonna set it up for him and just soak it up because I I feel better
[01:47:16.360 --> 01:47:18.840]  I'm like my parents don't have backblaze on their Mac yet
[01:47:18.840 --> 01:47:22.860]  But I'm gonna make that make sure it's like my commitment this year when we go home for the holidays
[01:47:22.860 --> 01:47:28.640]  I'm gonna do it because I would feel so much better if all the pictures my mom has on her Mac are backed up somewhere
[01:47:28.840 --> 01:47:30.840]  outside of her house and
[01:47:30.840 --> 01:47:36.140]  And just do that for everybody in your family when you go home for the holidays
[01:47:36.920 --> 01:47:38.480]  and
[01:47:38.480 --> 01:47:40.600]  It'll be you're gonna feel so much better about it
[01:47:40.600 --> 01:47:44.920]  I think it's you know it's like a in addition to a gift give them backblaze because
[01:47:46.400 --> 01:47:50.600]  Eventually, it's gonna happen. I had somebody in my and Amy's family. Just had a Mac have a
[01:47:51.120 --> 01:47:56.200]  Hard drive go bad like so bad that like when you reboot and go into disc
[01:47:56.200 --> 01:47:58.200]  Disc
[01:47:59.160 --> 01:48:01.160]  Disc utility it's like I
[01:48:01.560 --> 01:48:04.960]  Got nothing. You know and then they took it to the Apple store, and they were like
[01:48:05.480 --> 01:48:10.840]  Yeah, we got nothing so like everything. You know they'd lost photos. They had a whole bunch of photos. You know that
[01:48:11.760 --> 01:48:13.760]  just gone I
[01:48:14.160 --> 01:48:18.480]  Feel and I had the same thought you did I feel terrible about it because I felt like there's so many things you could
[01:48:18.480 --> 01:48:22.360]  Do like if they had backblaze I feel bad. I felt a little guilty that I hadn't
[01:48:22.360 --> 01:48:26.160]  To yet told them that they should have back please because it would have saved them
[01:48:27.120 --> 01:48:31.560]  five bucks a month per computer unlimited unthralled backup and
[01:48:32.360 --> 01:48:40.880]  Here's the thing you get a risk-free no credit card required trial to start out just go to back blaze comm slash daring fireball and
[01:48:41.900 --> 01:48:45.240]  You can get it to try out you could just do that for your relatives
[01:48:45.240 --> 01:48:50.600]  Just give them the free trial over Christmas and show them how easy it is and you know let them put the bill
[01:48:50.600 --> 01:48:53.880]  So great and tell them to let back blaze know that
[01:48:54.360 --> 01:48:59.240]  You heard it on the talk show. Yeah use that use RL back blaze comm slash daring fireball
[01:49:00.200 --> 01:49:02.200]  You can't go wrong
[01:49:02.560 --> 01:49:08.560]  There's no excuse. There's no excuse for for not having how many do you even have a camera that takes pictures on film?
[01:49:09.080 --> 01:49:12.600]  No, well, I do I but I haven't I don't even know if it works anymore
[01:49:13.040 --> 01:49:18.160]  yeah, I but I take I don't know probably hundreds of pictures a month and
[01:49:18.160 --> 01:49:21.680]  and they're all digital, and they're all on my hard drive or
[01:49:22.400 --> 01:49:29.040]  Somewhere yeah, if anything happens, and I didn't have a backup, and that's like every record of my life I
[01:49:30.240 --> 01:49:34.560]  Lose my hard drive. I just don't exist anymore. I'm like Michael J Fox and back to the future in that photo
[01:49:34.840 --> 01:49:36.840]  My hand starts disappearing
[01:49:37.440 --> 01:49:41.560]  It's a hit they can definitely happen especially I mean SSDs can go bad too
[01:49:41.560 --> 01:49:45.120]  But if you have anybody has anything stored on a spinning hard disk man
[01:49:45.120 --> 01:49:50.040]  You got to have it backed up somewhere else or your laptop gets stolen, or I mean there's a million things that can happen
[01:49:50.040 --> 01:49:55.600]  It's just that there's five bucks a month imagine. You could get health insurance for five dollars a month of course
[01:49:55.600 --> 01:50:01.280]  You'd do it of course your free like unlimited unthrottle online backup for five dollars a month. Yeah
[01:50:02.520 --> 01:50:06.800]  Well imagine if health insurance meant that if you got hit by a bus you could like reboot to where you were yesterday
[01:50:06.800 --> 01:50:14.000]  All right, I would definitely pay five dollars a month for that right. That's what backblaze is for your data five bucks a month
[01:50:15.500 --> 01:50:17.500]  If only there was back place for us
[01:50:18.320 --> 01:50:20.800]  It'd be great that should be their 2.0 product
[01:50:21.600 --> 01:50:23.600]  The engineers are working on yeah
[01:50:25.520 --> 01:50:30.500]  So what else would specter here's the thing I was thinking about with specter and and and that one it's
[01:50:30.500 --> 01:50:37.460]  That this was just resolved legally last year this whole backstory and those of you who've been listening listen to that whole bond
[01:50:38.060 --> 01:50:42.540]  5x5 the talk show thing from years ago know that we covered this but
[01:50:43.740 --> 01:50:46.340]  The basic stories there was a guy named Kevin McClory
[01:50:47.380 --> 01:50:48.900]  who
[01:50:48.900 --> 01:50:54.140]  Ian Fleming had collaborated with before the bond thing even really got big. I don't think
[01:50:54.140 --> 01:50:59.980]  Yeah, they were there doing it wasn't it supposed to be like a TV movie. Yeah, and they came up with collaboratively
[01:51:00.780 --> 01:51:04.700]  I think there was even a third collaborator though who who'd never you know
[01:51:04.700 --> 01:51:10.220]  Who somehow got bought out of his rights early on in the process somebody got screwed but forget about the third guy
[01:51:10.220 --> 01:51:17.260]  The gist of it is Ian Fleming and Kevin McClory came up with the premise. That was basically Thunderbolt. What if a
[01:51:17.940 --> 01:51:19.940]  criminal organization
[01:51:20.660 --> 01:51:22.660]  Could somehow
[01:51:22.660 --> 01:51:30.700]  Compromise a pilot who would be flying a test flight with a nuclear-armed fighter plane and
[01:51:31.540 --> 01:51:33.540]  get the compromised pilot to
[01:51:34.580 --> 01:51:39.060]  Drop the bomb not, you know ignite it but just drop it in the ocean somewhere where they could
[01:51:39.060 --> 01:51:42.700]  You know then pick it up from the bottom of the ocean and then hold the world
[01:51:43.540 --> 01:51:45.540]  You know the Western world hostage
[01:51:46.980 --> 01:51:49.140]  Which is really pretty clever like it, you know
[01:51:49.140 --> 01:51:54.580]  One of the things about that thunderbolt plot is in the grand scheme of the whole world is at risk
[01:51:55.420 --> 01:51:57.020]  James Bond plots
[01:51:57.020 --> 01:52:01.980]  It's actually seems pretty plausible right that there are by today's standards, right?
[01:52:01.980 --> 01:52:06.620]  that you know that there are pilots who are flying planes that have
[01:52:07.340 --> 01:52:13.500]  Nuclear-armed weapons and then at that point you've got one guy who you know, if you could compromise that one guy
[01:52:13.500 --> 01:52:15.500]  Maybe you know you get them to do something with it
[01:52:15.500 --> 01:52:17.260]  Um
[01:52:17.260 --> 01:52:18.260]  Nothing came of it
[01:52:18.260 --> 01:52:22.540]  I guess whatever the original what TV movie that was supposed to be somehow it fell through
[01:52:22.820 --> 01:52:27.780]  but Ian Fleming thought well, that was a hell of a good story and he went ahead and just used it for the
[01:52:28.500 --> 01:52:33.300]  Novel thunderball. Well, wouldn't you I mean I can hardly I mean I can see the
[01:52:34.340 --> 01:52:40.540]  Contention there, but yeah, I guess I you know, I don't know I'd you know who came up with how much of it who knows?
[01:52:40.540 --> 01:52:47.540]  you know, I mean like only really maybe maybe only in Fleming and and and McClory really know how much of it Ian Fleming truly
[01:52:47.540 --> 01:52:49.840]  Had a right to reuse how much of it he came up with
[01:52:51.460 --> 01:52:55.540]  But regardless they you know that the McClory sued and
[01:52:56.060 --> 01:53:00.980]  There was even some I remember reading about it that the eon productions, you know
[01:53:00.980 --> 01:53:06.580]  The the people who make the movies even they were aware of it and they even you know were wary of making
[01:53:06.580 --> 01:53:10.500]  Done, you know doing a movie of thunderball until it was resolved
[01:53:10.500 --> 01:53:15.700]  But they had lawyer enough lawyers who said nah, this is all gonna go away. This McClory is a crock, you know a crackpot
[01:53:17.420 --> 01:53:22.220]  But it ended up that he got the rights it by the time it was ended it ended with
[01:53:22.860 --> 01:53:28.740]  It was like a you know, like the the fable of Solomon where you know, two women come in saying this is our baby
[01:53:28.940 --> 01:53:32.820]  Right and he's like, yeah cut it in half and the woman who said no
[01:53:32.820 --> 01:53:38.380]  No, just you know, he's a god you must be the real mother because you know, you're more concerned about the baby than you are
[01:53:38.380 --> 01:53:39.500]  about this
[01:53:39.500 --> 01:53:44.620]  It was like a Solomonic decision with this where they both had the rights to thunderball
