[00:00.000 --> 00:03.920]  My favorite story of the last few weeks was from your colleagues at the Wall Street Journal
[52:26.560 --> 52:31.600]  It's like what are you trying to tell me Amazon? And then one of them was that for typing tutor and it was like
[52:31.600 --> 52:35.880]  What why would I am a great typer? I'm the best typer. I know
[52:37.680 --> 52:39.680]  Just like Donald Trump, yeah
[52:40.280 --> 52:45.480]  I've seen you type you are believe me. I'm a great typer. You're love typing
[52:46.880 --> 52:50.680]  It is true though. Like you do take those things personally. Yeah
[52:52.360 --> 52:55.600]  I don't need to go in a diet. I mean, I probably do but whatever I
[52:56.240 --> 52:58.240]  Don't need Mavis Bacon telling me
[52:58.240 --> 53:00.400]  It
[53:00.400 --> 53:08.080]  Definitely interesting and I mean what's what's really interesting is how cheap that hardware is and how impressive it it is for the price
[53:08.080 --> 53:14.440]  You know, I'm impressed that their CEO was so honest with you, you know that this is a phone people buy when they you know
[53:14.640 --> 53:20.640]  You know can't afford to you know, they just broke their two-year-old $700 iPhone or a galaxy
[53:21.040 --> 53:24.660]  Yeah, I mean at a $50 price point, but they have phones at a hundred and thirty dollars
[53:24.660 --> 53:31.780]  But but you know, probably not great cameras, but certainly good enough for many people and they're selling a lot of those too, you know
[53:32.680 --> 53:38.440]  It's the it's and there's this whole phenomenon happening in Android phones. The best Android phones right now are $400
[53:38.800 --> 53:42.960]  They're great. This one this new one plus is amazing for the price
[53:44.220 --> 53:49.440]  You know a great camera fingerprint sensors work great good builds good screens
[53:49.440 --> 53:56.520]  You know, you're when you when you want to go up and you want to get sort of the iPhone equivalent in Android or Samsung
[53:56.520 --> 53:58.800]  that's what you're paying six hundred and fifty dollars for but
[53:59.280 --> 54:04.520]  Look, if you want a good phone and you do want to pay $400 you're getting an Android phone. Yeah, it's funny
[54:04.520 --> 54:09.160]  I guess you're getting a S an SE right? I mean s no an SE is
[54:10.440 --> 54:17.080]  What is an iPhone se costs 450? Yeah for 99. I forget maybe 399
[54:17.080 --> 54:19.400]  I think it might start but that is 16 gigabytes
[54:20.120 --> 54:22.200]  Yeah, so I always I just pretend like it doesn't exist
[54:23.040 --> 54:26.100]  Right. I think it's like for 99 to get like a reasonable amount of it
[54:26.100 --> 54:29.400]  Well, that was my scoop of the summer and that was the my you know
[54:29.400 --> 54:34.080]  The the next iPhone will start at 32 gigabytes my sources say oh, that's great news
[54:34.520 --> 54:40.760]  Yeah, that is I hope you're I really hope you're sure. Oh, I mean I reported it in that piece on
[54:41.560 --> 54:45.720]  You know don't upgrade your iPhone right now or don't buy an iPhone right now is sort of hidden in there
[54:45.720 --> 54:49.080]  But that was that was the best I could dig up on the on the new iPhone
[54:49.080 --> 54:52.240]  I missed that but that is actually wonderful. I would have been on that
[54:52.240 --> 54:57.800]  I have no inside information on that whatsoever, but it's just my gut feeling that it's just preposterous
[54:58.480 --> 55:04.580]  If yeah, and then I think Apple heard that but I think also the cost of storage is so down that it doesn't affect their
[55:04.580 --> 55:10.720]  Bottom line anymore to just give us 32 the question and what I couldn't get sources on was sort of the tears
[55:10.720 --> 55:12.720]  That would be happening after that
[55:12.720 --> 55:17.040]  Obviously, there's these rumors that will go all the way up to 256 and I believe that
[55:18.760 --> 55:20.360]  So
[55:20.360 --> 55:25.920]  Because of the camera in my opinion. It's the single biggest reason is that these cameras that
[55:26.800 --> 55:29.800]  The still images are like if you have live picture on
[55:30.680 --> 55:36.240]  They're like 13 megabytes. Yeah, I think yeah, this was my argument in the in my success review last year
[55:36.240 --> 55:44.040]  um, which was that you know two things absolutely need to be improved and number one was storage or number one was battery life and
[55:44.040 --> 55:50.120]  number two was storage and it was because the camera that I had gotten better and you want then we had added 4k they had
[55:50.120 --> 55:52.120]  added 4k video and
[55:52.160 --> 55:54.240]  We were still stuck with a base of 16
[55:56.080 --> 56:00.280]  4k video at a 16 gigabyte storage card is it's right
[56:00.280 --> 56:04.800]  It just does not it doesn't job and it's and look it's not enabled out of the box
[56:04.800 --> 56:10.920]  But I'm Apple was marketing that this was this was a 4k capable phone and they were certainly I mean
[56:10.920 --> 56:15.240]  the biggest marketing point was the live photos which were three times the size of your regular photos, so
[56:15.980 --> 56:20.360]  You know give us the storage and it sounds like we're gonna get the storage so I'll stop complaining
[56:20.640 --> 56:24.240]  Yeah, I don't know if I'll stop complaining about battery life, but we'll see about that
[56:24.560 --> 56:31.760]  Yeah, so it's $4.99 for the 64 gigabyte SE and it is $3.99 for the 16 gigabyte SE
[56:32.640 --> 56:34.280]  alright, so
[56:34.280 --> 56:35.960]  Yeah
[56:35.960 --> 56:37.960]  All right, so there's decent
[56:38.960 --> 56:40.560]  um
[56:40.560 --> 56:46.160]  Decent value in comparison to the $400 Android phones on the Apple side. Yeah, I
[56:47.040 --> 56:51.400]  think that's so unbelievable that the blue is just admits that you know, hey, that's what these, you know
[56:51.400 --> 56:53.400]  some of the market for this is people who just need a
[56:54.120 --> 56:57.720]  Stopover phone just pop your sim in there and get by for a while
[56:58.000 --> 56:59.120]  Yeah, you know
[56:59.120 --> 57:05.640]  I actually I might end up buying one because what I usually do is I have this new process which I wrote about last year
[57:05.640 --> 57:10.440]  Which is that I will sell my iPhone about a month ahead of the new launch
[57:10.880 --> 57:16.120]  To make back a good amount of money on it, and then I'll put that money towards the next iPhone
[57:16.920 --> 57:18.480]  Instead of doing these upgrade plans
[57:18.480 --> 57:23.440]  This has just worked for me and I'm lucky enough to have enough phones lying around that
[57:23.440 --> 57:28.000]  I have a phone a loaner phone for the month of you know, August or September
[57:28.000 --> 57:33.880]  But you know, the blue is actually a great option for people who are just like I know I'm gonna get the next iPhone
[57:33.880 --> 57:40.560]  I want to make you know, 500, you know, 550 depending on what size phone you have and you know
[57:40.560 --> 57:45.400]  Sell it at the end of August or beginning of August and use the blue phone. Yeah
[57:46.440 --> 57:47.560]  I
[57:47.560 --> 57:52.960]  Also think and you were saying about how a lot of the the Android phones, you know, I'll have good screens
[57:52.960 --> 57:53.920]  I'll have good cameras
[57:53.920 --> 57:58.880]  It's I've noticed that too and it's not surprising because I think that it's the you know
[57:58.880 --> 58:05.280]  This is the single most competitive market in all of consumer electronics. I mean, it's everybody has a
[58:07.000 --> 58:09.600]  I just call them phones now, but everybody has a smartphone
[58:10.360 --> 58:17.360]  And it's funny how that the technology the the water finds its own level fairly quickly where just a few years ago
[58:17.360 --> 58:18.160]  I mean
[58:18.160 --> 58:23.600]  I remember that even the top of the line Android phones had the worst color on those OLED screens
[58:23.600 --> 58:26.800]  Like it it and for someone picky like me
[58:26.800 --> 58:32.700]  It was just unbearable like the way that like pinks would I remember the flicker logo
[58:32.700 --> 58:39.080]  it would like sear your retina because of that pink on the flicker logo because it like hit the sweet spot of OLED where it
[58:39.080 --> 58:45.560]  Just like went off the charts in terms of being like super saturated. Yeah, that used to be Samsung's huge problem
[58:45.560 --> 58:49.220]  Yeah screens and and it really made you know
[58:49.220 --> 58:52.540]  Like you could design around it in the user interface
[58:53.340 --> 58:56.460]  By picking colors that look good on OLED but like for a photography
[58:56.460 --> 59:02.340]  It was it was just dreadful because things it looked like you applied like a weird Instagram filter and your photo
[59:02.340 --> 59:04.820]  It was just like though. That's just your picture, right?
[59:05.300 --> 59:09.420]  Yeah, I mean that's that's that's over. That is it's like I haven't seen a
[59:09.980 --> 59:13.900]  Even medium to high level Android phone that has weird color issues
[59:13.900 --> 59:18.700]  I'm sure that you can you know that the experts, you know, you can look at them and see the fine differences
[59:18.700 --> 59:23.660]  But like just like to the just the basic eye of the eyeball test of looking at it. They all look good
[59:24.100 --> 59:30.740]  Yeah, I mean and then the Samsung phone is just it's is beautiful now that the screen is beautiful
[59:30.740 --> 59:33.420]  Yeah, and I think that the cameras are all decent
[59:33.420 --> 59:37.660]  I think I still think that the iPhone has a pretty, you know a noticeable advantage
[59:38.900 --> 59:42.660]  Maybe not over to the highest end get the new galaxy, which is yeah
[59:42.660 --> 59:48.740]  It seems to have a good camera, but that's a new that's brand new phone but over like the mid mid market Android phones, but
[59:49.100 --> 59:51.100]  even there the cameras are
[59:51.580 --> 59:56.940]  Really good compared to even like standalone point-and-shoots from a few years ago. Oh, yeah
[59:56.940 --> 01:00:03.260]  Yeah, I mean the the camera on that blue that $50 blue was horrendous. I mean like
[01:00:03.820 --> 01:00:10.460]  Horrendous when you go up even to a $200 Android phone Huawei makes a really good $200 phone with I think it's like a
[01:00:10.460 --> 01:00:14.060]  13 megapixel camera who knows what kind of sensor but
[01:00:15.020 --> 01:00:17.020]  That is a that's like, you know
[01:00:17.700 --> 01:00:18.960]  certainly
[01:00:18.960 --> 01:00:20.960]  passable for many people
[01:00:21.140 --> 01:00:21.780]  but yeah
[01:00:21.780 --> 01:00:28.640]  The $400 phones certainly don't take as good of shots as the s the s7 or the iPhone, but yeah, they're good
[01:00:30.180 --> 01:00:32.460]  Let me take one break before we wrap up the show
[01:00:32.740 --> 01:00:38.420]  And thank our third and final sponsor of the show and another one of our longtime good friends longtime sponsor of the show
[01:00:38.420 --> 01:00:44.820]  Fracture fracture is a photo decor company throughout to rescue your favorite images. We're just talking about photos right here on the show
[01:00:44.860 --> 01:00:46.860]  What do you do with them once you have them on your phone?
[01:00:46.860 --> 01:00:49.140]  Take your favorite ones and get them printed out
[01:00:49.660 --> 01:00:52.180]  Fracture is a place for you. They you send them your photos
[01:00:52.180 --> 01:00:57.420]  They print them directly onto glass and they add laser-cut rigid backing
[01:00:57.420 --> 01:01:01.520]  So they're ready to display right out of the box. You give them your photos you pick the sizes
[01:01:02.460 --> 01:01:06.460]  Couple days later you get them back in the mail and you just open them up and they're ready to hang up
[01:01:06.460 --> 01:01:09.980]  They even include the wall anchor if you get the smaller ones
[01:01:09.980 --> 01:01:15.000]  They have a little built-in thing you pop them up on your desk edge to edge. No frame necessary
[01:01:15.000 --> 01:01:17.020]  You don't need to put them in a frame. They don't have a frame
[01:01:17.020 --> 01:01:21.080]  They're just a piece of glass that you just hang up edge to edge and it is amazing
[01:01:21.460 --> 01:01:26.260]  I can assure you like people who haven't heard of it you hang them up on your wall when people come in your house
[01:01:26.260 --> 01:01:27.540]  They're gonna be like, how did you do that?
[01:01:27.540 --> 01:01:31.580]  because they've never seen anything like it because when you print pictures to traditional way on
[01:01:31.580 --> 01:01:37.220]  Paper and then put them behind glass. You have to have a frame behind it. You get this edge-to-edge effect
[01:01:37.220 --> 01:01:39.800]  That looks it almost looks futuristic. It is amazing
[01:01:40.500 --> 01:01:45.580]  All of their pictures that you buy from fracture come with a 60-day. They call it a happiness guarantee
[01:01:45.680 --> 01:01:49.180]  So you're sure to love your order if you're not happy with the way your image is coming you get them
[01:01:49.180 --> 01:01:55.140]  You have 60 days. You get all your money back. Each fracture is handmade in Gainesville, Florida from u.s
[01:01:55.140 --> 01:01:58.200]  sourced materials in their carbon neutral factory
[01:01:58.200 --> 01:02:05.320]  For more information and 10% off your first order visit fracture me calm slash
[01:02:06.280 --> 01:02:07.920]  podcast
[01:02:07.920 --> 01:02:10.300]  fracture me calm slash podcast
[01:02:11.680 --> 01:02:17.920]  It says here in bold print note the URL ends in quote podcast not the name of your podcast
[01:02:18.320 --> 01:02:21.040]  Which I love I don't know why they're switching to this method
[01:02:21.120 --> 01:02:26.860]  But then what they want to do when you bet your order is they're gonna have you take a consumer survey and their survey
[01:02:26.860 --> 01:02:34.020]  Has one question and the question is where did you hear a fracture and that's where you'll tell them you heard it here
[01:02:34.540 --> 01:02:36.620]  Helps it up does help support the show
[01:02:36.620 --> 01:02:41.760]  So go to fracture me calm slash podcast and get all your vacation photos from this summer and print it out
[01:02:42.260 --> 01:02:46.020]  Alright last thing I wanted to talk to you about and then you can bring up anything else you want with our remaining time
[01:02:46.020 --> 01:02:52.780]  Is I want to talk to you about this whole windows 10 upgrade thing because this is like I'm vaguely aware of it
[01:02:52.780 --> 01:02:55.820]  But my weird like I don't use any windows stuff
[01:02:55.820 --> 01:03:00.120]  Means that I'm not really aware of it. Can you explain this to me? Sure
[01:03:02.740 --> 01:03:06.140]  Okay, you ready for the for the deep explanation yes, okay
[01:03:06.140 --> 01:03:10.860]  So it's actually pretty complicated and I said in that piece that like it's you know
[01:03:10.860 --> 01:03:14.900]  these I don't understand why Microsoft didn't just do these updates in one fell swoop, but
[01:03:16.220 --> 01:03:19.420]  So last year a year ago today
[01:03:19.420 --> 01:03:27.060]  a day yep, right a year ago today Apple really Apple Microsoft released Windows 10 is a free update for Windows 8 and Windows
[01:03:27.180 --> 01:03:28.660]  7 users
[01:03:28.660 --> 01:03:31.300]  Windows 7 Windows 8 and Windows 8.1 users
[01:03:31.300 --> 01:03:36.940]  So you've been able and I'll just point out for those who don't remember they skip Windows 9. They did skip Windows 9. That's right
[01:03:38.140 --> 01:03:42.420]  And so for the last year you've been able to upgrade for free
[01:03:43.060 --> 01:03:45.060]  but today
[01:03:45.060 --> 01:03:51.820]  Tonight at 11 p.m. Hawaii time, which is the most random time zone ever
[01:03:53.100 --> 01:03:57.340]  You will no longer be able to upgrade for free
[01:03:58.460 --> 01:03:59.700]  so
[01:03:59.700 --> 01:04:01.700]  That is what today is
[01:04:02.980 --> 01:04:07.740]  Is everyone with me? All right, then on August 2nd, which is
[01:04:08.780 --> 01:04:09.860]  next
[01:04:09.860 --> 01:04:11.780]  Monday Monday
[01:04:11.780 --> 01:04:19.620]  next Tuesday Tuesday the anniversary update goes out so people who have had Windows 10
[01:04:20.660 --> 01:04:26.220]  For the last year or the last couple months. We'll get this push about
[01:04:27.220 --> 01:04:28.700]  download Windows
[01:04:28.700 --> 01:04:32.460]  10 anniversary update and that update adds
[01:04:33.220 --> 01:04:35.740]  very few new features some good stability
[01:04:35.740 --> 01:04:44.280]  fixes in Microsoft Edge browser, which is kind of a big deal because it's like what most people use on their on their computers
[01:04:44.380 --> 01:04:50.300]  It has extensions now. There's a lot of new stylus tricks that they have that you're actually pretty cool
[01:04:52.560 --> 01:04:54.560]  Cortana does some more things
[01:04:55.320 --> 01:04:57.720]  it's you know, it's small it's sort of like a
[01:04:58.920 --> 01:05:03.200]  you know the equivalent of a El Capitan release for for
[01:05:03.200 --> 01:05:05.940]  um grapple right a year a year in
[01:05:07.800 --> 01:05:11.000]  But yeah, it's kind of confusing right one day was the end of the
[01:05:11.640 --> 01:05:18.160]  Free updates for all for all users and then next week is this and then if you were one of the people who just updated
[01:05:18.160 --> 01:05:24.700]  Right now like today to Windows 10. You won't actually get that anniversary update for a month or so. So
[01:05:25.560 --> 01:05:27.560]  Yeah, it's pretty staggered
[01:05:27.560 --> 01:05:32.840]  Why would they do this? I think well the answer I got was basically it was two separate teams
[01:05:32.880 --> 01:05:35.440]  It was timing of two separate teams
[01:05:37.560 --> 01:05:39.560]  Yeah, yeah
[01:05:39.600 --> 01:05:44.720]  Why is there like an accounting angle like where where for accounting purposes?
[01:05:44.720 --> 01:05:48.220]  They can't just continue to give Windows 10 to other people for free
[01:05:49.240 --> 01:05:53.920]  No, I mean, I think that was just like us. I think that was if an offer and that was a marketing push
[01:05:53.920 --> 01:05:55.920]  You know, it was a marketing push. I think
[01:05:55.920 --> 01:06:00.320]  Um, they're still in the business of selling window idea, right?
[01:06:00.320 --> 01:06:06.560]  They're still in the business of selling windows, but they are you know, there's definitely hints that windows as a service or a subscription
[01:06:07.800 --> 01:06:13.880]  Could be something that happens. I certainly think they're they're setting up for that
[01:06:17.360 --> 01:06:20.160]  But I don't know and I don't know
[01:06:20.160 --> 01:06:25.560]  Yeah, I just don't know what they're really sort of thinking in terms of
[01:06:26.320 --> 01:06:28.760]  And it does seem to me, you know
[01:06:28.760 --> 01:06:35.160]  Somebody who casually looks at all these big companies quarterly reports when they come out just to keep an eye on you know
[01:06:35.160 --> 01:06:40.920]  Who's doing well and whatever it really does seem to me that under Saudi and Nadella Microsoft is very successfully
[01:06:41.480 --> 01:06:47.660]  weaning itself or maybe has already weaned itself away from being the company that sells windows and office that they have
[01:06:47.660 --> 01:06:51.700]  Serious significant, you know, same scale, you know
[01:06:51.700 --> 01:06:58.340]  The company is as big as it was as revenue that you know on these services that make up for it that they could definitely
[01:06:58.640 --> 01:07:03.020]  You know, it it doesn't seem foolish, you know, ten years ago
[01:07:03.020 --> 01:07:05.460]  It would have been ridiculous to say that they should just make windows free
[01:07:05.820 --> 01:07:10.380]  But it seems now it seems like well as a front end to these services that they're selling
[01:07:10.380 --> 01:07:15.060]  You know and to do it on a subscription model. It doesn't seem silly at all, right?
[01:07:15.060 --> 01:07:18.980]  Well, they want to obviously be a services
[01:07:19.700 --> 01:07:24.580]  Company and I think you know as they move into more of these, you know sort of
[01:07:25.620 --> 01:07:31.780]  AI or you know the Cortana's of the world and the other types of services they're trying to build into the operating system
[01:07:33.060 --> 01:07:38.500]  You know the more we come to lean on those types of things and the more we we sort of want to pay Mike
[01:07:38.500 --> 01:07:41.620]  Or we may we may use Microsoft services across our devices
[01:07:41.620 --> 01:07:44.820]  You know, especially on the iPhone Apple's done a
[01:07:45.940 --> 01:07:48.340]  Microsoft's done a really good job with some of those iPhone apps
[01:07:49.180 --> 01:07:53.820]  You know, maybe there's a chance they think you know you buy a you know
[01:07:53.820 --> 01:08:00.220]  You sort of lumped in with your office 365 subscription and you get all of this other stuff. I don't know. I don't know
[01:08:00.860 --> 01:08:06.060]  What about this whole thing where too many people are obviously getting like?
[01:08:06.060 --> 01:08:11.580]  A surprise your computer has been updated to Windows 10. Yeah, it's hugely a huge problem
[01:08:11.860 --> 01:08:16.660]  So like my understanding is that they have configured default settings or made it
[01:08:16.900 --> 01:08:22.820]  So that if you just click through set up like maybe like two years ago or whenever when you got your Windows 8 computer
[01:08:23.020 --> 01:08:29.420]  That it's all set up so that at some point overnight. It's going to update itself to Windows 10, which is a major update
[01:08:29.820 --> 01:08:33.260]  Yeah, and people are very upset about this. People are really upset about
[01:08:33.260 --> 01:08:36.700]  Ones in one. I think what happened was and I've gotten
[01:08:38.220 --> 01:08:43.340]  In general, I've never gotten so many reader angry reader emails as I have gotten this week
[01:08:43.340 --> 01:08:46.220]  It's not about what I'm about to talk about but it is about
[01:08:47.100 --> 01:08:50.780]  Huge customer service problems that Microsoft seems to have on this
[01:08:51.660 --> 01:08:58.060]  and you really want to talk about Microsoft needing to control the hardware and software experience is I
[01:08:58.780 --> 01:09:01.260]  Mean I see it in every single one of these emails
[01:09:01.260 --> 01:09:06.140]  Which I wish I could respond to so I'm sure none of these listeners are actually the people who have emailed me
[01:09:06.140 --> 01:09:09.820]  They're they're they're quite old. I can tell from the fonts and the
[01:09:10.700 --> 01:09:12.780]  signatures that I get in these emails, but
[01:09:13.580 --> 01:09:15.180]  they're just
[01:09:15.180 --> 01:09:21.980]  Infuriated that you know, they updated and their printer doesn't work they updated and the driver for their the graphics driver doesn't work
[01:09:23.180 --> 01:09:26.220]  You know there I and I and I have not had these problems
[01:09:26.220 --> 01:09:30.060]  I upgraded three old laptops in the last two weeks when I was writing that piece
[01:09:30.060 --> 01:09:34.380]  I actually think Windows 7 is Windows 10 is really stable and I really like using it
[01:09:34.380 --> 01:09:40.220]  There's a lot of similarities to the Mac when it comes to handling your your apps and stuff like that
[01:09:40.860 --> 01:09:43.500]  So yeah, I think I think it's a huge customer service problem
[01:09:43.500 --> 01:09:49.660]  But the issue on the upgrade what happened was there was a pop-up like I turned on these old computers and I had tons of Windows 10
[01:09:49.820 --> 01:09:56.300]  Upgrade pop-ups and my whole video is basically the pop-up interrupting my sentence because it I couldn't like
[01:09:56.300 --> 01:10:00.220]  I would launch these and it was like every five minutes, you know would say oh
[01:10:00.220 --> 01:10:05.260]  Did you know Windows 10 is up and your upgrades expiring and it's like I freaking told you to go away
[01:10:06.140 --> 01:10:11.100]  But what happened was was one of those pop-ups, I guess, you know, you don't read it very closely
[01:10:11.100 --> 01:10:17.340]  And so one of them said, you know, your computer will upgrade to Windows 10 tonight if you know at this scheduled time
[01:10:17.340 --> 01:10:22.860]  And you know if you have a problem with that, you know, kick cancel or whatever and people didn't hit those they hit the red X
[01:10:22.860 --> 01:10:33.420]  right and there it ended up just it didn't end up overriding the pop-up or whatever the command was to start upgrading and that's
[01:10:34.300 --> 01:10:39.420]  What happened right and it's the people just were like my computer upgraded overnight and I told them no
[01:10:40.380 --> 01:10:43.740]  Right, and it's one of those things that's always bugged me about Windows as a UI
[01:10:44.700 --> 01:10:48.140]  nerd and critic is the way that they often have those windows where there's both like
[01:10:48.140 --> 01:10:53.980]  Okay, cancel and a red X right and it's like I think it is if you're a that's a bad design
[01:10:53.980 --> 01:10:55.180]  It's a really bad design
[01:10:55.180 --> 01:11:02.620]  But if you're gonna do that the it is very natural to think as a just a normal person who doesn't think about the UI
[01:11:03.180 --> 01:11:09.340]  Just you know reacts to it that the red X means do nothing that it's like cancel right that that should not
[01:11:10.060 --> 01:11:16.940]  hitting the red X to close the window should not mean okay go ahead and do this super significant almost risky thing
[01:11:16.940 --> 01:11:21.740]  Right and actually it the pop-up that I put in the in the article I wrote this week
[01:11:21.740 --> 01:11:27.340]  It says, you know, sorry to interrupt, but this is important Windows 10 free upgrade offer will end July 29th
[01:11:27.340 --> 01:11:34.940]  Right. It's this big text, right and then underneath it says upgrade now within a box or remind me remind me later in a box
[01:11:35.500 --> 01:11:41.900]  And that's all those are the main options, right? But then in the bottom left hand corner and I'll send you this link
[01:11:41.900 --> 01:11:48.620]  It says do not notify me again in a similar purple to the purple pop-up
[01:11:48.620 --> 01:11:54.860]  So it's almost like so hard to see that it's like it you wouldn't you wouldn't notice it, right?
[01:11:54.860 --> 01:11:59.420]  Like if you get this pop-up, you just want it to go away either hit the X or you hit remind me later
[01:11:59.420 --> 01:12:05.260]  Right because you don't have any other option is this in your survival guide to perpetual windows. Yeah
[01:12:05.260 --> 01:12:09.420]  Yeah, I've already got that link. I've got that purple, you know the and it's crazy
[01:12:09.420 --> 01:12:17.420]  It's just like that's not fair to people but and then and you know what I couldn't get and and I think this is something that happens
[01:12:17.420 --> 01:12:23.020]  It's happening and I think this is actually a separate piece. It's happening to every all of our operating systems
[01:12:23.020 --> 01:12:27.820]  I talked about in this piece, but you know Android iOS it doesn't matter Mac Windows
[01:12:27.820 --> 01:12:34.460]  These companies want to get you on their newest operating system. They want to do it for a couple of reasons
[01:12:34.460 --> 01:12:40.220]  You know in in Microsoft's case, it's actually a little bit unclear. Obviously. They would love everyone to be on it
[01:12:40.220 --> 01:12:44.820]  I think there there is some some data mining going on that I think really does benefit
[01:12:45.580 --> 01:12:48.320]  Microsoft in the cases of Apple
[01:12:48.320 --> 01:12:52.380]  It always seems like it's security and it seems like a bragging right that they get to say
[01:12:52.700 --> 01:12:55.420]  Everyone is on this latest operating system
[01:12:55.420 --> 01:13:02.180]  But certainly security and features play pretty high on the top of the list of why they want people on the new software
[01:13:02.180 --> 01:13:08.620]  Unless there's something else I'm missing. I mean, what is the other main reason these companies want us on their latest software?
[01:13:09.540 --> 01:13:12.940]  No, I think you hit them. Yeah, I think you know security is one
[01:13:12.940 --> 01:13:18.300]  I think new features that they want people to have access to or another, you know, I know with with iOS
[01:13:18.940 --> 01:13:21.780]  Mac OS to a lesser degree I think but
[01:13:22.380 --> 01:13:26.100]  With iOS, I know that there are and I've written about it many times
[01:13:26.100 --> 01:13:33.820]  There's often complaints from people with like three-year-old iPhones who find that their experience degrades after they go ahead
[01:13:33.820 --> 01:13:41.300]  And do what is obviously what Apple wants you to do is and I think that they've changed it
[01:13:41.300 --> 01:13:47.220]  I don't think that it automatically updates, but they've made it even more aggressive. I think starting last year in terms of yeah
[01:13:47.940 --> 01:13:52.620]  automatically, but it will say it's I think there's the same options upgrade now remind me later and
[01:13:52.620 --> 01:13:57.300]  You know, there's oh, I think what they've changed. I know it
[01:13:57.300 --> 01:14:01.840]  I know what they've done is that they've changed it where it's like upgrade now and like the next schedule it
[01:14:01.940 --> 01:14:08.300]  Yeah, the next button which makes you think like it's maybe like now don't do it really means I'm gonna do it when you plug
[01:14:08.300 --> 01:14:10.500]  Me in. Oh, right. I'm gonna schedule it. Yeah
[01:14:11.020 --> 01:14:17.620]  Yeah, that's what it is. And it's a you know, it's nowhere near as sneaky as I think what Microsoft is doing
[01:14:17.620 --> 01:14:21.820]  But you could argue that it's it's not bad UI design. It's sort of
[01:14:21.820 --> 01:14:23.940]  sneaky UI design
[01:14:24.940 --> 01:14:29.560]  Right. It's definitely the case that the security issues are real though. Like oh, yeah for sure
[01:14:30.020 --> 01:14:35.660]  I was talking on this show last week with Glenn Fleishman about these these bugs that were fixed in this
[01:14:36.380 --> 01:14:38.820]  these image format things where you know,
[01:14:39.020 --> 01:14:44.500]  all these bugs were discovered where the the way that you could send somebody an iMessage with a
[01:14:45.100 --> 01:14:49.640]  Maliciously designed image and just by looking at the iMessage you you know
[01:14:49.640 --> 01:14:55.960]  You could be exploited and they fixed it but they've only fixed it in the very latest versions of iOS and Mac OS X and
[01:14:56.140 --> 01:14:59.940]  At least to my knowledge. They haven't done like so if you're along like, you know
[01:15:01.640 --> 01:15:04.740]  Yosemite still you do, you know, you don't have a fix for this yet
[01:15:04.740 --> 01:15:08.460]  So the only way to get these fixes is to stay like totally up-to-date
[01:15:08.980 --> 01:15:12.480]  Mm-hmm, right, right, which yeah, I mean
[01:15:13.620 --> 01:15:18.980]  That's certainly the the right incentive to also tell users because that's that's scary
[01:15:18.980 --> 01:15:22.460]  That's you know, you don't want to be put at the put it blame for that
[01:15:24.700 --> 01:15:27.700]  Yeah, anything else that you wanted to talk about this week Joanna
[01:15:29.300 --> 01:15:31.780]  So many things to talk about I don't know I
[01:15:32.660 --> 01:15:36.660]  don't know if there's only one more thing I'd pick your brain about is I
[01:15:37.900 --> 01:15:45.140]  Looking at everybody's results some strong quarters from lots of people Facebook and and Google both did really well online advertising Twitter
[01:15:45.300 --> 01:15:46.660]  Not so good
[01:15:46.660 --> 01:15:50.100]  And I I don't know. I'm not a business expert. I could be totally wrong
[01:15:50.100 --> 01:15:55.180]  I have a gut feeling like Twitter is not long for this world as an independent company
[01:15:55.180 --> 01:15:59.020]  I think somebody is gonna acquire them and I my question is who?
[01:16:00.660 --> 01:16:04.500]  Like a question if Verizon bought Yahoo, why not Verizon I
[01:16:05.020 --> 01:16:10.300]  Think Verizon's got all this money and they want content, right? I'm not saying it'd be a good idea
[01:16:10.300 --> 01:16:16.860]  I'm not saying that Verizon would be good or bad as a parent, but I could see them being interested in it. I
[01:16:16.860 --> 01:16:20.860]  Could see that too. Also just for the sort of TV integration to yeah
[01:16:21.860 --> 01:16:27.300]  Comcast is would be another one that I would think might because they have more money than they know what to do with and are
[01:16:27.300 --> 01:16:29.020]  Sort of looking to own
[01:16:29.020 --> 01:16:31.020]  content, right
[01:16:32.380 --> 01:16:37.420]  Right, just a gut feeling I want to be I want to be able to say I was right when Twitter ends up being acquired
[01:16:37.420 --> 01:16:41.540]  sometime in the near future no, I think I think that's a
[01:16:42.860 --> 01:16:46.260]  Yeah, I don't know where where makes sense. I don't know
[01:16:46.260 --> 01:16:50.540]  I don't know that makes sense is the right way to think about it because I don't think it makes any sense for
[01:16:50.740 --> 01:16:54.140]  Verizon to buy Yahoo's web, but they did it, you know
[01:16:54.140 --> 01:16:59.420]  I think that's maybe that's what I've the it's the Yahoo thing that put put it in my head to where
[01:16:59.940 --> 01:17:02.300]  Verizon buying Yahoo doesn't make much sense to me
[01:17:02.300 --> 01:17:07.660]  Mm-hmm, but then I realized like so stop thinking of who would make sense for what to buy Twitter and just think who would do
[01:17:07.660 --> 01:17:08.980]  it
[01:17:08.980 --> 01:17:13.240]  Hmm, and that's what made me think like Comcast or Verizon or somebody like that
[01:17:13.940 --> 01:17:15.940]  right
[01:17:16.180 --> 01:17:19.980]  Yeah, I mean I think the when you think of Twitter as like, you know
