[00:00.000 --> 00:04.000]  Glenn Fleischman, it is so good to have you back on the show.
[01:28:58.000 --> 01:29:01.000]  So the pace, it's just unbelievable.
[01:29:01.000 --> 01:29:04.000]  But the most interesting thing to me is they chose to stay downtown.
[01:29:04.000 --> 01:29:13.000]  They were they were kind of always around there, like Jeff founded the business in his garage in Bellevue, which is on the east side, not Seattle proper.
[01:29:13.000 --> 01:29:14.000]  And that was just a temporary thing.
[01:29:14.000 --> 01:29:18.000]  But then they had an office down south of what used to be the Kingdome.
[01:29:18.000 --> 01:29:21.000]  We still call it Soto next to Pecos Pit, the best barbecue in Seattle.
[01:29:21.000 --> 01:29:24.000]  Then they were in the beautiful heroin district of Seattle.
[01:29:24.000 --> 01:29:27.000]  That's why I worked there for about six months, 11 years ago.
[01:29:27.000 --> 01:29:30.000]  We were across the street from the methadone clinic.
[01:29:30.000 --> 01:29:38.000]  And then they started then they moved to the Lex Luthor building on the hill is the tallest building or the highest point in Seattle with a giant building on it.
[01:29:38.000 --> 01:29:39.000]  It's an old medical center.
[01:29:39.000 --> 01:29:40.000]  They leased the whole thing.
[01:29:40.000 --> 01:29:41.000]  They immediately outstripped that.
[01:29:41.000 --> 01:29:46.000]  Then they started having all these they started leasing all these Paul Allen buildings and then they have all this stuff built.
[01:29:46.000 --> 01:29:51.000]  So Vulcan and some other local Vulcan is Paul Allen's real estate company.
[01:29:51.000 --> 01:29:54.000]  They've been selling property to Amazon, other local contractors anyway.
[01:29:54.000 --> 01:29:57.000]  So it's this massive, massive building boom.
[01:29:57.000 --> 01:30:01.000]  And it's not just Amazon, it's Google and Facebook have bigger and bigger operations.
[01:30:01.000 --> 01:30:07.000]  I was in Facebook's kind of small temporary offices, which I think has like a thousand people in it.
[01:30:07.000 --> 01:30:09.000]  That's not quite in downtown and they're building.
[01:30:09.000 --> 01:30:11.000]  So it's it's out of control.
[01:30:11.000 --> 01:30:13.000]  But here's my thing.
[01:30:13.000 --> 01:30:17.000]  They're downtown and Apple is in Cupertino.
[01:30:17.000 --> 01:30:18.000]  Facebook's in what Mountain View or something?
[01:30:18.000 --> 01:30:20.000]  They're out in the middle of nowhere.
[01:30:20.000 --> 01:30:26.000]  All these other companies are often the burbs because they got founded out there and they grew and there's no they're not part of the life of the city.
[01:30:26.000 --> 01:30:30.000]  So this whole long thing is employee retention.
[01:30:30.000 --> 01:30:34.000]  A lot of young people and a lot of people looking for a change in life who are not necessarily young, young.
[01:30:34.000 --> 01:30:38.000]  They want to be in a city and they're making wages where they can afford to have a condo and apartment.
[01:30:38.000 --> 01:30:40.000]  That's very nice.
[01:30:40.000 --> 01:30:44.000]  And it's within walking distance or we have streetcars and light rail now and all this stuff.
[01:30:44.000 --> 01:30:48.000]  So being, you know, the spaceship in the suburb is maybe not the best.
[01:30:48.000 --> 01:30:52.000]  And it's not cheap. Seattle's not cheap, but it's the housing is not crazy.
[01:30:52.000 --> 01:30:54.000]  Like San Francisco, San Francisco.
[01:30:54.000 --> 01:30:56.000]  We're like half or something.
[01:30:56.000 --> 01:30:57.000]  We're like half as much, I think.
[01:30:57.000 --> 01:31:01.000]  But it's it's it's growing very rapidly, but we're still much.
[01:31:01.000 --> 01:31:03.000]  But that's it's a big it is and it is a recruiting problem in it.
[01:31:03.000 --> 01:31:07.000]  And it certainly is true for the younger you are, the more likely you are to want to live in a city.
[01:31:07.000 --> 01:31:14.000]  And it's a big problem for these valued companies because they can shove all the money they want and make the buses as nice as they can.
[01:31:14.000 --> 01:31:17.000]  And they are, by all accounts, very nice buses.
[01:31:17.000 --> 01:31:26.000]  You know, you know, so that if you live in San Francisco, you can catch the Apple bus instead of driving to work and be annoyed.
[01:31:26.000 --> 01:31:28.000]  It's like still an hour plus on the on the bus, right?
[01:31:28.000 --> 01:31:29.000]  Right.
[01:31:29.000 --> 01:31:30.000]  Something or more than an hour, at least on the.
[01:31:30.000 --> 01:31:31.000]  It depends on the time of day.
[01:31:31.000 --> 01:31:41.000]  There are a lot of Amazon employees who are living in an apartment that like a view of the water and they go downstairs and they walk a few blocks there at work, which may be healthy or not.
[01:31:41.000 --> 01:31:44.000]  But or we have we like there's all these condos.
[01:31:44.000 --> 01:31:51.000]  I mean, I have I've lived in Seattle for 20 something years and I much prefer talking to nonprofits to about how this has affected them.
[01:31:51.000 --> 01:31:58.000]  Nonprofits that serve like endangered communities, women who need shelter and homeless, voting homelessness and so forth.
[01:31:58.000 --> 01:32:02.000]  And everyone's saying the same thing is like this is really hard and everybody that housing increase.
[01:32:02.000 --> 01:32:04.000]  But would we prefer the reverse?
[01:32:04.000 --> 01:32:08.000]  No, like less money, no growth, no jobs.
[01:32:08.000 --> 01:32:09.000]  No, that's terrible.
[01:32:09.000 --> 01:32:15.000]  So we can with money and resources, we can kind of help people and lift up folks because there's the work there for them.
[01:32:15.000 --> 01:32:24.000]  But it is it is like being in one of those cartoons where there's going bump, bump, bump, bump, bump, bump, bump, bump, bump in the background the whole time.
[01:32:24.000 --> 01:32:35.000]  So anyway, I understand I don't know what the original Apple plan was with the new campus with it was if the if the original idea was that almost all Apple employees would move there and they would like it was.
[01:32:35.000 --> 01:32:37.000]  I think I think so.
[01:32:37.000 --> 01:32:48.000]  And I seem to recall that Jobs kind of tackled it the way he tackled his deep, deep involvement with Pixar's.
[01:32:48.000 --> 01:32:56.000]  Campus, you know, and that he, you know, which by all accounts is, you know, Pixar people love their their building and they love.
[01:32:56.000 --> 01:33:11.000]  You know, there's these ideas that he had that, you know, everybody would have to, you know, restrooms are located strategically in a way that you're going to bump into people who aren't just from your team, you know, and and and stuff like that.
[01:33:11.000 --> 01:33:14.000]  And that all of these ideas that that he had worked out.
[01:33:14.000 --> 01:33:25.000]  And I think that that was sort of the idea, a lot of the idea of Apple Park, or at least the spaceship, that it would be designed in a way that would foster people bumping into each other and blah, blah, blah.
[01:33:25.000 --> 01:33:30.000]  But my understanding now is that Apple isn't isn't leaving any office space.
[01:33:30.000 --> 01:33:35.000]  I don't know. Maybe some of that's what I heard is they're keeping I think they're keeping everything because they've grown faster than they could have.
[01:33:35.000 --> 01:33:39.000]  I mean, I thought they were gonna try to get almost all their core teams.
[01:33:39.000 --> 01:33:45.000]  So maybe there's outlying teams or different groups or maybe I don't even marketing wouldn't be in there. I mean, and there might be marketing, maybe not.
[01:33:45.000 --> 01:33:53.000]  But there might be some small, you know, some of the small buildings that aren't you wouldn't think of as Apple buildings when you drive down the street in Cupertino.
[01:33:53.000 --> 01:33:58.000]  Maybe they'll they'll get rid of. But, you know, the main Infinite Loop campus is going to remain fully occupied.
[01:33:58.000 --> 01:34:07.000]  Yeah, I think it's interesting. This is actually one more Amazon point related to that, though, is because Apple's in, you know, they're in a suburb and they're not I mean, you've walked there.
[01:34:07.000 --> 01:34:12.000]  I mean, one if you're in one spot, but there's not enough restaurants to absorb this many people.
[01:34:12.000 --> 01:34:17.000]  And Amazon specifically, I met with the VP of real estate. They specifically designed their facilities.
[01:34:17.000 --> 01:34:24.000]  They can only feed about a third. There's only like room to have a third of the staff actually eat lunch inside the buildings.
[01:34:24.000 --> 01:34:27.000]  And they have all these restaurants and cafeterias and whatever.
[01:34:27.000 --> 01:34:32.000]  So they are essentially either forcing people to bring food in and people who are working in these environments typically buy food.
[01:34:32.000 --> 01:34:37.000]  Let me bring it in because they're making they're paying piles of money to eat out.
[01:34:37.000 --> 01:34:41.000]  So there's a bazillion restaurants and they also encourage local restaurants.
[01:34:41.000 --> 01:34:46.000]  So it's not just big chains, a lot of like one off or small chains all across this neighborhood.
[01:34:46.000 --> 01:34:51.000]  And it's part of their philosophy of creating this, you know, downtown or this environment.
[01:34:51.000 --> 01:34:58.000]  And Apple began by being in the burbs. Like, I don't know if you've been to Microsoft's campus, but it's kind of this very self-contained world.
[01:34:58.000 --> 01:35:01.000]  I have never stepped foot in the state of Washington.
[01:35:01.000 --> 01:35:06.000]  No, is it? Well, someday you will get to a record. I can't explain why stuff doesn't happen.
[01:35:06.000 --> 01:35:11.000]  I have I have I probably have more friends in and I really do.
[01:35:11.000 --> 01:35:15.000]  I have enormous you know, Brent Simmons is up there.
[01:35:15.000 --> 01:35:20.000]  I know a bunch of people on the Molt's. Oh, that's funny.
[01:35:20.000 --> 01:35:22.000]  I didn't really never been here. Well, I mean, Jesus come out at some point.
[01:35:22.000 --> 01:35:27.000]  Well, I mean, geez, with you and Molt's, I mean, it's like half the regular rotation of the talk shows from last year.
[01:35:27.000 --> 01:35:31.000]  But I've never had reason to go there. I've never had reason to go there.
[01:35:31.000 --> 01:35:37.000]  Microsoft's off in the suburbs. They started out there. They're kind of, you know, they're suburban kids that started Microsoft and they stayed out there.
[01:35:37.000 --> 01:35:42.000]  But, you know, you can drive places from campus or some stuff within walking distance, but not very much.
[01:35:42.000 --> 01:35:49.000]  So, it's really an insular thing. And I just think, again, I think this is one of the reasons Amazon built its whole thing.
[01:35:49.000 --> 01:35:53.000]  They planned this partly not just to have room for stuff, but they planned it partly to appeal.
[01:35:53.000 --> 01:35:57.000]  They are creating a lifestyle mall of sorts around their offices.
[01:35:57.000 --> 01:36:02.000]  And they're saying, when you come to work for us, you're not going to be off in a sterile thing with an hour commute away.
[01:36:02.000 --> 01:36:05.000]  I mean, you can choose to live out of town. You can choose to live wherever.
[01:36:05.000 --> 01:36:09.000]  And they're paying highly competitive salaries so people can choose to live essentially wherever.
[01:36:09.000 --> 01:36:12.000]  But, like, and they've been underwriting, they underwrite some streetcar service.
[01:36:12.000 --> 01:36:15.000]  They've been helping promote transit taxes and ballot measures.
[01:36:15.000 --> 01:36:19.000]  So, like, you can take streetcars to Amazon from all these different places now.
[01:36:19.000 --> 01:36:23.000]  It's a very different thing than this, come to the spaceship, or maybe the spaceship.
[01:36:23.000 --> 01:36:27.000]  Maybe you'll be in our old building and we're off in the suburbs.
[01:36:27.000 --> 01:36:34.000]  I don't know. I do think, judging from the private feedback I've gotten from some Apple employees,
[01:36:34.000 --> 01:36:42.000]  there is, I'm 100% certain there's going to be some degree of attrition based on the open floor plans
[01:36:42.000 --> 01:36:47.000]  where good employees are going to choose to leave because they don't want to work there.
[01:36:47.000 --> 01:36:52.000]  And they don't want, you know, if they don't find.
[01:36:52.000 --> 01:36:55.000]  And, like, the one email I got from somebody was perfect.
[01:36:55.000 --> 01:37:00.000]  And it's perfectly Apple person sensibility.
[01:37:00.000 --> 01:37:02.000]  He's not screaming. He's not angry.
[01:37:02.000 --> 01:37:04.000]  You know, it's just, you know, it is what it is.
[01:37:04.000 --> 01:37:07.000]  And he's dealing with it. He said, you know, I'm working on something.
[01:37:07.000 --> 01:37:12.000]  It's a new thing that I think is going to blow people's minds when we ship.
[01:37:12.000 --> 01:37:17.000]  And, like, a typical Apple employee, you know, offers me no clue what it is.
[01:37:17.000 --> 01:37:20.000]  And, of course, I don't ask because I know he's not going to tell me, you know, this is how it is.
[01:37:20.000 --> 01:37:23.000]  But he's working on some team. He's working on something cool.
[01:37:23.000 --> 01:37:29.000]  He definitely wants to see it ship. But his team is moving to Apple Campus, too.
[01:37:29.000 --> 01:37:32.000]  And then once they ship, if he doesn't like it, he's out.
[01:37:32.000 --> 01:37:36.000]  And he's been there. He's an 18-year veteran of Apple. He's been at Apple for 18 years.
[01:37:36.000 --> 01:37:39.000]  So, and I got a couple of others from people like that, too.
[01:37:39.000 --> 01:37:42.000]  Like, I'm not going to quit before they move me there.
[01:37:42.000 --> 01:37:47.000]  I'm going to see what it's like. But if it's as shitty as I think it's going to be, I'm out.
[01:37:47.000 --> 01:37:57.000]  Yep. I can under—yep. It's like, what's it like to go to work every day and have your entire day, you know, disrupted, if that's what it turns out to be?
[01:37:57.000 --> 01:38:02.000]  It may be that they're—that what we've seen isn't as full a realization of what it's going to look like.
[01:38:02.000 --> 01:38:04.000]  But it's clear there aren't a lot of offices with doors.
[01:38:04.000 --> 01:38:08.000]  And even the spaces that look like they're closed spaces are all glass.
[01:38:08.000 --> 01:38:09.000]  Right.
[01:38:09.000 --> 01:38:14.000]  Look, I have—I discovered in my relatively old age here, I clearly have sensory processing disorder.
[01:38:14.000 --> 01:38:15.000]  Yeah, yeah.
[01:38:15.000 --> 01:38:21.000]  It's a very interesting thing. I'm trying to—and it's very common among folks who are programmers and engineer types like myself.
[01:38:21.000 --> 01:38:25.000]  I've done a lot of programming in my life. I have a mind for it. And there's an affinity, I think, between different things.
[01:38:25.000 --> 01:38:31.000]  And I'm super highly attentive to anything. So, high registration, it's called.
[01:38:31.000 --> 01:38:39.000]  And so, I see and it's very hard for me. I get keyed up. And I can't—I try to work in a coworking space. I really like the people and the space.
[01:38:39.000 --> 01:38:45.000]  It was open. It was very affordable. And even with headphones and a screen I was staring at, it was just too much stuff around me.
[01:38:45.000 --> 01:38:52.000]  I could not focus. I had to go back into my quiet, day-lit basement. So, I have a lot of sympathy for the folks who are going to be in that environment.
[01:38:52.000 --> 01:38:58.000]  I think I have a touch of that. You know what I do? I cannot help but look at a TV.
[01:38:58.000 --> 01:39:04.000]  And so, whenever we go out to eat as a family, I strategically—and I don't make a big deal out of it.
[01:39:04.000 --> 01:39:11.000]  It's not like I'm a princess on the P. And I absolutely have to have a seat with no view of a TV.
[01:39:11.000 --> 01:39:17.000]  But I do try—when we get like, oh, here's your table, I try to pick a seat where I don't have a sight line to a TV.
[01:39:17.000 --> 01:39:20.000]  Because if I do, I'm going to be looking at it. And my wife's going to be like, what are you looking at?
[01:39:20.000 --> 01:39:24.000]  You don't even know if it's like a basketball game or something of two teams I don't care about.
[01:39:24.000 --> 01:39:31.000]  Like, why are you watching that? And it's like, I don't know. I don't know. But there's a TV in my viewline.
[01:39:31.000 --> 01:39:33.000]  I'm going to be looking at it.
[01:39:33.000 --> 01:39:36.000]  There's a book called Too Loud, Too Bright that I've been reading and marking up.
[01:39:36.000 --> 01:39:40.000]  I don't mark up books. And this one, I've never done it before. My wife's like, you should mark this up.
[01:39:40.000 --> 01:39:44.000]  I have highlighters and like those post-it tags all over the thing.
[01:39:44.000 --> 01:39:48.000]  Because I'm just—it's like I feel like I've been written in a book.
[01:39:48.000 --> 01:39:52.000]  It's a bunch of different traits you have about yourself. You didn't realize we're actually all connected to one neurological state.
[01:39:52.000 --> 01:39:56.000]  And there's ways to train yourself out of responsiveness to it.
[01:39:56.000 --> 01:40:01.000]  So, I haven't gotten to that part yet. But you desensitize yourself so you can function better in the world.
[01:40:01.000 --> 01:40:08.000]  If you walk into Costco or Ikea and you need to go cry in a corner, you may have—well, you may be just a normal person also.
[01:40:08.000 --> 01:40:10.000]  But you may have this sensory processing as well.
[01:40:10.000 --> 01:40:16.000]  I have a friend who works at Apple who I know is not looking for—is definitely on a team that's moving to AC2.
[01:40:16.000 --> 01:40:21.000]  I keep calling it AC2. I can't get used to Apple Park and is not looking forward to it.
[01:40:21.000 --> 01:40:25.000]  He has not—I don't think he's—he hasn't said anything like, if I don't like it, I'm leaving.
[01:40:25.000 --> 01:40:27.000]  He just thinks it sucks.
[01:40:27.000 --> 01:40:31.000]  And so when I linked on Daring Fireball, I don't know if you saw it, but I—
[01:40:31.000 --> 01:40:35.000]  I saw that. It was like you Rick-rolled me and I'm like, wait, what are these?
[01:40:35.000 --> 01:40:41.000]  I love a post like that. It's like to really make this like a director's commentary, like me talking about how I write Daring Fireball.
[01:40:41.000 --> 01:40:46.000]  So I wrote—I had a post, a link post, very short.
[01:40:46.000 --> 01:40:50.000]  The headline was video footage from one of the open workspaces in Apple Park.
[01:40:50.000 --> 01:40:54.000]  And I wrote, really does seem like a different vibe from the Infinite Loop campus.
[01:40:54.000 --> 01:40:58.000]  Some engineers are getting—are getting their own offices, but they don't seem great either.
[01:40:58.000 --> 01:40:59.000]  Oh my God.
[01:40:59.000 --> 01:41:03.000]  And the link goes to footage from Terry Gilliam's masterpiece Brazil.
[01:41:03.000 --> 01:41:06.000]  And there's a great tracking shot of this open area.
[01:41:06.000 --> 01:41:11.000]  It's a—if you've not seen Brazil, it is—it is 1980.
[01:41:11.000 --> 01:41:16.000]  It's like the pitch is, let's do 1984, but make it—we'll make it a comedy.
[01:41:16.000 --> 01:41:17.000]  Except it's a—
[01:41:17.000 --> 01:41:18.000]  It's such a great film.
[01:41:18.000 --> 01:41:22.000]  A more profound tragedy at the end than 1984.
[01:41:22.000 --> 01:41:24.000]  Sidebar, have you seen the made-for-TV edit?
[01:41:24.000 --> 01:41:27.000]  Yes. I used to be upset when I was in the 90s.
[01:41:27.000 --> 01:41:28.000]  Travesty!
[01:41:28.000 --> 01:41:33.000]  When I was in the 90s—in the 90s, I actually thought maybe I would like to be a filmmaker.
[01:41:33.000 --> 01:41:36.000]  I really have such a profound love of movies.
[01:41:36.000 --> 01:41:40.000]  And a friend of mine and I from college, we got deep.
[01:41:40.000 --> 01:41:49.000]  And we just started—when our eyes were opened to the great world of cinema and that it was—
[01:41:49.000 --> 01:41:55.000]  and that old movies, there are old movies that are every bit as good or better than new movies.
[01:41:55.000 --> 01:42:00.000]  Don't let, you know, just don't let the production quality or like the black and white, you know, like deep dive.
[01:42:00.000 --> 01:42:02.000]  Like watch 20 Hitchcock films.
[01:42:02.000 --> 01:42:06.000]  Watch, you know, just went on benders like that.
[01:42:06.000 --> 01:42:11.000]  But Brazil became like one of our obsessions where like we watched it over and over again.
[01:42:11.000 --> 01:42:15.000]  And then when we found out that there was a terrible TV edit, we're like, well, we have to watch it.
[01:42:15.000 --> 01:42:22.000]  And it was great, though, because we had seen, you know, Gilliam's vision of it so many times that we knew it by heart.
[01:42:22.000 --> 01:42:26.000]  And so it's not just the brutal parts of the TV edit.
[01:42:26.000 --> 01:42:30.000]  It was like even the little things like, oh, my God, why would they take that out, you know?
[01:42:30.000 --> 01:42:32.000]  But anyway, I linked to that.
[01:42:32.000 --> 01:42:34.000]  And it's a very great movie.
[01:42:34.000 --> 01:42:39.000]  Anybody listening to this, if you've never seen Brazil, I swear to God, move it to the top of your like.
[01:42:39.000 --> 01:42:44.000]  I don't know if it's on Netflix, but if you go watch it, it is such a wonderful, wonderful movie.
[01:42:44.000 --> 01:42:48.000]  But it's a dystopic, open floor plan workspace.
[01:42:48.000 --> 01:42:55.000]  And it's a tiny admission is nice to get a little high as a kid back when before it was legal in my state and various states.
[01:42:55.000 --> 01:42:56.000]  And I was huge Brazil fan.
[01:42:56.000 --> 01:43:01.000]  I'd watched a bunch of times and it comes on TV and I'm at some friend's house and we're toasted.
[01:43:01.000 --> 01:43:04.000]  And I actually thought I had a psychotic break because I watched the TV.
[01:43:04.000 --> 01:43:07.000]  The first time I'd seen the made for TV version and it didn't end the way I remembered.
[01:43:07.000 --> 01:43:10.000]  I thought, oh, my God, I'm hallucinating.
[01:43:10.000 --> 01:43:13.000]  I was like, it's terrible. My hallucination is so awful.
[01:43:13.000 --> 01:43:17.000]  Nancy Reagan was right.
[01:43:17.000 --> 01:43:27.000]  No, but anyway, I sent I sent after I posted that, I sent my friend at Apple a DM and I just wrote I wrote I just wrote this was for you and send a link to it.
[01:43:27.000 --> 01:43:33.000]  And then he wrote he wrote that was the best post of the week.
[01:43:33.000 --> 01:43:39.000]  So anyway, Apple employees are definitely have strong opinions about this open floor plan.
[01:43:39.000 --> 01:43:46.000]  And for the most part, it's it ranges from hatred to, at best, ambivalence.
[01:43:46.000 --> 01:43:49.000]  This is this is something to keep an eye on, in my opinion, moving forward.
[01:43:49.000 --> 01:43:51.000]  Anyway, I got to take a break here. I got to thank our next sponsor.
[01:43:51.000 --> 01:43:55.000]  I got it. We got to wrap up the show. We've been getting close to the end here.
[01:43:55.000 --> 01:43:58.000]  And I want to thank our friends at Squarespace.
[01:43:58.000 --> 01:44:06.000]  Make your next move, make your next website, make your next move with Squarespace, make your next website using Squarespace.
[01:44:06.000 --> 01:44:16.000]  What is Squarespace? I can't explain strongly enough that Squarespace is literally an all in one website platform.
[01:44:16.000 --> 01:44:20.000]  You can register domain there. They host the site.
[01:44:20.000 --> 01:44:26.000]  They have the CMS so that if it's like a blog and you have updates, you know, you do it all through Squarespace.
[01:44:26.000 --> 01:44:31.000]  And it's a great interface for something like that. You can host a podcast there.
[01:44:31.000 --> 01:44:39.000]  You can have a store there. And if you have a store, if you need to have stuff to sell, the commerce part of it is all built into the Squarespace platform.
[01:44:39.000 --> 01:44:46.000]  So it's not like, oh, now you have to go to PayPal or whatever you want to use as your back end and figure out a way to hook it into.
[01:44:46.000 --> 01:44:53.000]  There's nothing to hook in or hook up. It's just turn it on and say, I want to have a store and I want to start entering SKUs and pictures of the items.
[01:44:53.000 --> 01:44:59.000]  That's all you have to do. I cannot explain just how all in one, the all in one nature of Squarespace is.
[01:44:59.000 --> 01:45:06.000]  And I also cannot emphasize strongly enough just how many of the websites you use on a daily basis are, in fact, Squarespace sites.
[01:45:06.000 --> 01:45:09.000]  You'd be shocked. I swear to God.
[01:45:09.000 --> 01:45:17.000]  Go look at Pixar.com. Pixar.com and then view source on it and you will find in the source that it's a Squarespace site.
[01:45:17.000 --> 01:45:22.000]  I don't know if the whole Pixar.com is. I wouldn't be surprised if they have parts that are not.
[01:45:22.000 --> 01:45:31.000]  But the home page with the big Cars 3 thing is made with Squarespace. I mean, this and I cannot emphasize in the back of my mind.
[01:45:31.000 --> 01:45:38.000]  I always think that if there's a reason that people don't try Squarespace is that they think because this is what I would think if I was out there listening to me tell you to try Squarespace.
[01:45:38.000 --> 01:45:44.000]  I would think I don't want to pick from 10 templates and all 10 of them look like a Squarespace site.
[01:45:44.000 --> 01:45:49.000]  You know, like back in the day when you'd install WordPress or something like that. And there were only like three default themes.
[01:45:49.000 --> 01:45:53.000]  And so as soon as you looked at a site, you could say, I can tell they use WordPress because it's a default thing.
[01:45:53.000 --> 01:46:06.000]  Squarespace is so profoundly open to design ideas that, you know, you don't have your brand on it to the degree that you would a site that you built from the ground up the old fashioned way with code.
[01:46:06.000 --> 01:46:14.000]  So go check them out. The website is squarespace.com and slash talk show.
[01:46:14.000 --> 01:46:24.000]  Go to squarespace.com slash talk show. Or maybe it's slash Gruber. I forget. Try them both. Try slash slash Gruber or slash talk show.
[01:46:24.000 --> 01:46:29.000]  And one of them is going to give you 10 percent off your first order. My thanks to Squarespace.
[01:46:29.000 --> 01:46:30.000]  Want to talk about some letterpress?
[01:46:30.000 --> 01:46:37.000]  Yes. Let's do that. I want to do that because I love, love, love getting people to pitch their things on this.
[01:46:37.000 --> 01:46:42.000]  So you tell me about you've got a book that is on the cusp of coming out.
[01:46:42.000 --> 01:46:52.000]  It's yeah. Well, it's been a very interesting thing is I've been it's a printing a book of reporting I did about I say reporting.
[01:46:52.000 --> 01:46:57.000]  I keep thinking of saying like, well, it's a book of writing on. It's like, no, these are actually reported pieces I did.
[01:46:57.000 --> 01:47:06.000]  Some appeared in the Atlantic, some appeared at Meh.com, which has had me write stuff for their forums and some I've written for the book or for other places.
[01:47:06.000 --> 01:47:13.000]  And it's reporting on things like the history of unintentionally or intentionally blank pages, which dates back to like the 1470s.
[01:47:13.000 --> 01:47:16.000]  It turns out people started to mark this page intentionally blank.
[01:47:16.000 --> 01:47:22.000]  And like whether I wrote a piece for the Atlantic about quotation marks, whether we're going to stop seeing curly quotation marks,
[01:47:22.000 --> 01:47:28.000]  they might disappear because people have lost the desire or finesse and was there ever a reason.
[01:47:28.000 --> 01:47:30.000]  And so I collected I was like, you know, I want to do something with this.
[01:47:30.000 --> 01:47:33.000]  I want to do something for myself that's new and creative in 2017.
[01:47:33.000 --> 01:47:42.000]  And I called up the woman who runs the letterpress program at the School of Visual Concepts here in Seattle who had taken a letterpress classroom.
[01:47:42.000 --> 01:47:45.000]  And I did some letterpress back in the 1980s also.
[01:47:45.000 --> 01:47:49.000]  You know, I've been a graphic designer for 30 years. I studied graphic design. I've designed books.
[01:47:49.000 --> 01:47:55.000]  I'm like, you know, I called her to see if she had any ideas about where I could get something like this printed, thinking some offset or digital printing thing.
[01:47:55.000 --> 01:48:00.000]  And she said, you should print it on letterpress. You should be our designer in residence for this year.
[01:48:00.000 --> 01:48:02.000]  We're starting the program. You should be our first person.
[01:48:02.000 --> 01:48:04.000]  I'm like, OK, great.
[01:48:04.000 --> 01:48:08.000]  So I threw myself into classes, got up to speed, designed the book.
[01:48:08.000 --> 01:48:18.000]  And then the last till about last week, I spent six weeks printing the book by hand on a proof press that's about 70 years old.
[01:48:18.000 --> 01:48:19.000]  Flatbed proof press.
[01:48:19.000 --> 01:48:24.000]  And it's getting close to being done. I got to do a little more work.
[01:48:24.000 --> 01:48:26.000]  I have endpapers to print and a cover.
[01:48:26.000 --> 01:48:31.000]  And then I've got a book binder who's actually putting the thing together for me and handing off that piece of expertise.
[01:48:31.000 --> 01:48:32.000]  But that's the project.
[01:48:32.000 --> 01:48:34.000]  And so you did a Kickstarter.
[01:48:34.000 --> 01:48:37.000]  And you only sold 100 copies of the book.
[01:48:37.000 --> 01:48:42.000]  Yeah, it's a sign-numbered limited edition run.
[01:48:42.000 --> 01:48:43.000]  I'll have some.
[01:48:43.000 --> 01:48:45.000]  I got to tell you something right now.
[01:48:45.000 --> 01:48:47.000]  I got to tell you.
[01:48:47.000 --> 01:48:49.000]  I knew you were going to do this.
[01:48:49.000 --> 01:48:51.000]  I think you told me before you did it.
[01:48:51.000 --> 01:48:55.000]  And right up my alley, I love, number one, I'm just fanning your work.
[01:48:55.000 --> 01:48:57.000]  But I love graphic design.
[01:48:57.000 --> 01:48:59.000]  I love the idea of doing something by hand.
[01:48:59.000 --> 01:49:01.000]  So, of course, I was on board.
[01:49:01.000 --> 01:49:02.000]  And then the Kickstarter came and went.
[01:49:02.000 --> 01:49:04.000]  And I just wasn't paying attention.
[01:49:04.000 --> 01:49:05.000]  And I didn't get in.
[01:49:05.000 --> 01:49:07.000]  So I didn't get a copy of your book.
[01:49:07.000 --> 01:49:10.000]  Well, you know, we'll have some artist proofs afterwards.
[01:49:10.000 --> 01:49:11.000]  So I'm going to have to make.
[01:49:11.000 --> 01:49:12.000]  So it's this whole.
[01:49:12.000 --> 01:49:15.000]  So actually, I'll tell you about this, too, because I thought this was this is actually great for you.
[01:49:15.000 --> 01:49:17.000]  Can you hook a brother up, Glenn?
[01:49:17.000 --> 01:49:18.000]  I can.
[01:49:18.000 --> 01:49:19.000]  I will have.
[01:49:19.000 --> 01:49:20.000]  Yeah.
[01:49:20.000 --> 01:49:21.000]  So you got to do.
[01:49:21.000 --> 01:49:22.000]  There's like a yield issue because this is the first time.
[01:49:22.000 --> 01:49:23.000]  I've never printed a book before.
[01:49:23.000 --> 01:49:24.000]  I've done other letterpress projects.
[01:49:24.000 --> 01:49:25.000]  The scale of this.
[01:49:25.000 --> 01:49:27.000]  And for starters, I didn't.
[01:49:27.000 --> 01:49:28.000]  This is not a handset book.
[01:49:28.000 --> 01:49:29.000]  This is a book I'm using.
[01:49:29.000 --> 01:49:35.000]  A process called using photopolymer plates, which is a technology used for printing packaging
[01:49:35.000 --> 01:49:36.000]  materials mostly.
[01:49:36.000 --> 01:49:40.000]  But there's a subculture of it that uses the same material.
[01:49:40.000 --> 01:49:41.000]  There's service bureaus.
[01:49:41.000 --> 01:49:46.000]  And so I designed this in InDesign, picked appropriate fonts that would work, and licensed
[01:49:46.000 --> 01:49:48.000]  correctly, and sent it off to the service bureau.
[01:49:48.000 --> 01:49:50.000]  And they sent me back printing plates.
[01:49:50.000 --> 01:49:52.000]  And it's like a rubbery material.
[01:49:52.000 --> 01:49:53.000]  So you expose it.
[01:49:53.000 --> 01:49:57.000]  Just like in the old days, you'd make film, and the film would be exposed to an offset
[01:49:57.000 --> 01:50:00.000]  plate, and you'd wind up with an offset plate that would go on press.
[01:50:00.000 --> 01:50:02.000]  I get this stuff is relief material.
